Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 16, 2023 at 18:06 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 16, 2023 at 19:05 with Stable 1.71.5 on PS019

Data File = Data_19629 ST2_29_A.txt,      Sample Weight = 403,                      Vial Location = 21,                       Initial Sam Beam = 1.0970e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2018e-08,                Max Ref Beam = 1.0657e-07,                

Analysis undertaken at mass 46.05084
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.01426e-08,,,,,,1.1982e-02,4.2127e-03,4.9062e-05,4.6449e-06,4.7440e-08,
Sam 1,3.83747e-08,1.20612e-02,4.2875e-03,5.0243e-05,4.8083e-06,5.4066e-08,,,,,,            6.6221,           17.7375,           24.0969,           35.1672,          143.9938,            3.5454,           11.7372,           -0.2938,           -0.6009,           97.3751,
Ref 2,3.94251e-08,,,,,,1.1982e-02,4.2128e-03,4.9060e-05,4.6450e-06,4.7079e-08,,,,,,,,,,,
Sam 2,3.76724e-08,1.20612e-02,4.2876e-03,5.0245e-05,4.8148e-06,4.9900e-08,,,,,,            6.6242,           17.7474,           24.1221,           36.3960,           67.7150,            3.5473,           11.7470,           -0.2810,            0.5660,           24.1829,
Ref 3,3.87531e-08,,,,,,1.1982e-02,4.2128e-03,4.9063e-05,4.6464e-06,4.6386e-08,,,,,,,,,,,
Sam 3,3.69979e-08,1.20612e-02,4.2876e-03,5.0247e-05,4.8103e-06,4.7790e-08,,,,,,            6.6228,           17.7419,           24.0580,           35.2987,           68.3286,            3.5460,           11.7415,           -0.3368,           -0.4825,           24.7839,
Ref 4,3.81003e-08,,,,,,1.1982e-02,4.2129e-03,4.9070e-05,4.6462e-06,4.3051e-08,,,,,,,,,,,
Sam 4,3.63377e-08,1.20612e-02,4.2876e-03,5.0245e-05,4.8143e-06,4.7201e-08,,,,,,            6.6224,           17.7210,           24.0232,           35.9586,           85.2533,            3.5463,           11.7208,           -0.3502,            0.1956,           41.0610,
Ref 5,3.74615e-08,,,,,,1.1982e-02,4.2129e-03,4.9063e-05,4.6483e-06,4.3943e-08,,,,,,,,,,,
Sam 5,3.56936e-08,1.20612e-02,4.2876e-03,5.0244e-05,4.8123e-06,5.0663e-08,,,,,,            6.6267,           17.7228,           24.1286,           35.3146,          135.2361,            3.5508,           11.7225,           -0.2534,           -0.4296,           88.9999,
Ref 6,3.68404e-08,,,,,,1.1982e-02,4.2129e-03,4.9058e-05,4.6479e-06,4.5324e-08,,,,,,,,,,,
Sam 6,3.50670e-08,1.20612e-02,4.2876e-03,5.0253e-05,4.8128e-06,4.6897e-08,,,,,,            6.6242,           17.7271,           24.2591,           36.2529,          113.0011,            3.5481,           11.7269,           -0.1277,            0.4677,           67.6644,
Ref 7,3.62325e-08,,,,,,1.1982e-02,4.2129e-03,4.9068e-05,4.6409e-06,3.8894e-08,,,,,,,,,,,
Sam 7,3.44587e-08,1.20611e-02,4.2876e-03,5.0246e-05,4.8126e-06,4.5530e-08,,,,,,            6.6095,           17.7199,           24.0664,           36.3198,          150.8581,            3.5326,           11.7197,           -0.2938,            0.5465,          104.0118,
Ref 8,3.56329e-08,,,,,,1.1982e-02,4.2130e-03,4.9062e-05,4.6469e-06,4.0241e-08,,,,,,,,,,,
Sam 8,3.38605e-08,1.20611e-02,4.2876e-03,5.0244e-05,4.8117e-06,4.6076e-08,,,,,,            6.6176,           17.7112,           24.0464,           35.6596,           68.2820,            3.5415,           11.7110,           -0.3131,           -0.0738,           24.8056,
Ref 9,3.50496e-08,,,,,,1.1982e-02,4.2129e-03,4.9066e-05,4.6451e-06,4.6069e-08,,,,,,,,,,,
Sam 9,3.32752e-08,1.20610e-02,4.2876e-03,5.0250e-05,4.8081e-06,4.5736e-08,,,,,,            6.6182,           17.7191,           24.2307,           35.0259,           22.2464,            3.5420,           11.7189,           -0.1416,           -0.7011,          -19.3720,
Ref 10,3.44800e-08,,,,,,1.1982e-02,4.2129e-03,4.9057e-05,4.6457e-06,4.3392e-08,,,,,,,,,,,
Sam 10,3.27092e-08,1.20610e-02,4.2876e-03,5.0240e-05,4.8081e-06,5.1262e-08,,,,,,            6.6201,           17.7199,           24.0686,           35.0604,          154.9358,            3.5439,           11.7197,           -0.3025,           -0.6695,          107.9111,
Ref 11,3.39271e-08,,,,,,1.1982e-02,4.2129e-03,4.9062e-05,4.6449e-06,4.5395e-08,,,,,,,,,,,
Sam 11,3.21551e-08,1.20607e-02,4.2876e-03,5.0251e-05,4.8136e-06,4.8480e-08,,,,,,            6.5998,           17.7268,           24.2285,           36.1277,           88.9143,            3.5221,           11.7266,           -0.1322,            0.3474,           44.5862,
Ref 12,3.33823e-08,,,,,,1.1982e-02,4.2130e-03,4.9064e-05,4.6467e-06,4.3634e-08,,,,,,,,,,,
Sam 12,3.16132e-08,1.20607e-02,4.2875e-03,5.0252e-05,4.8061e-06,4.5929e-08,,,,,,            6.6099,           17.7081,           24.2227,           34.4229,           39.1272,            3.5334,           11.7079,           -0.1301,           -1.2617,           -3.1485,
Ref 13,3.28519e-08,,,,,,1.1981e-02,4.2128e-03,4.9063e-05,4.6457e-06,4.4774e-08,,,,,,,,,,,
Sam 13,3.10875e-08,1.20607e-02,4.2876e-03,5.0244e-05,4.8073e-06,4.9812e-08,,,,,,            6.6215,           17.7280,           23.9413,           35.1938,          153.3812,            3.5451,           11.7277,           -0.4360,           -0.5566,          106.4009,
Ref 14,3.23261e-08,,,,,,1.1981e-02,4.2129e-03,4.9076e-05,4.6420e-06,4.1575e-08,,,,,,,,,,,
Sam 14,3.05681e-08,1.20608e-02,4.2875e-03,5.0245e-05,4.8078e-06,4.7102e-08,,,,,,            6.6269,           17.7176,           23.9556,           35.4300,          119.8385,            3.5513,           11.7174,           -0.4176,           -0.3080,           74.2399,
Ref 15,3.18173e-08,,,,,,1.1981e-02,4.2128e-03,4.9063e-05,4.6446e-06,4.2555e-08,,,,,,,,,,,
Sam 15,3.00626e-08,1.20607e-02,4.2875e-03,5.0245e-05,4.8110e-06,4.5497e-08,,,,,,            6.6209,           17.7192,           23.9897,           35.7029,           91.0091,            3.5447,           11.7189,           -0.3796,           -0.0477,           46.5880,
Ref 16,3.13141e-08,,,,,,1.1981e-02,4.2128e-03,4.9072e-05,4.6458e-06,4.0835e-08,,,,,,,,,,,
Sam 16,2.95693e-08,1.20608e-02,4.2875e-03,5.0249e-05,4.8131e-06,4.0378e-08,,,,,,            6.6140,           17.6983,           24.0250,           36.1612,           63.9926,            3.5381,           11.6983,           -0.3179,            0.4357,           20.7200,
Ref 17,3.08268e-08,,,,,,1.1982e-02,4.2130e-03,4.9068e-05,4.6446e-06,3.5018e-08,,,,,,,,,,,
Sam 17,2.90879e-08,1.20608e-02,4.2876e-03,5.0255e-05,4.8113e-06,4.4113e-08,,,,,,            6.6140,           17.7065,           24.1813,           36.1304,          177.0132,            3.5378,           11.7064,           -0.1732,            0.3900,          129.1261,
Ref 18,3.03475e-08,,,,,,1.1981e-02,4.2129e-03,4.9068e-05,4.6425e-06,3.9979e-08,,,,,,,,,,,
Sam 18,2.86163e-08,1.20607e-02,4.2875e-03,5.0248e-05,4.8100e-06,4.3741e-08,,,,,,            6.6162,           17.7051,           24.1009,           35.8820,          110.5450,            3.5403,           11.7049,           -0.2527,            0.1530,           65.3627,
Ref 19,2.98840e-08,,,,,,1.1981e-02,4.2129e-03,4.9062e-05,4.6442e-06,3.8786e-08,,,,,,,,,,,
Sam 19,2.81568e-08,1.20606e-02,4.2876e-03,5.0250e-05,4.8135e-06,4.2200e-08,,,,,,            6.6110,           17.7182,           24.1633,           36.8378,           47.2187,            3.5343,           11.7180,           -0.1990,            1.0500,            4.5930,
Ref 20,2.94305e-08,,,,,,1.1981e-02,4.2129e-03,4.9067e-05,4.6407e-06,4.1832e-08,,,,,,,,,,,
Sam 20,2.77043e-08,1.20607e-02,4.2876e-03,5.0257e-05,4.8109e-06,4.1837e-08,,,,,,            6.6089,           17.7076,           24.2884,           36.3314,           54.1252,            3.5324,           11.7074,           -0.0645,            0.5819,           11.2413,
Ref 21,2.89817e-08,,,,,,1.1982e-02,4.2130e-03,4.9063e-05,4.6438e-06,3.7513e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.87615e-08,,,,,,1.1982e-02,4.2129e-03,4.9067e-05,4.6443e-06,3.7900e-08,
Sam 1,2.70379e-08,1.20608e-02,4.2876e-03,5.0256e-05,4.8099e-06,3.9224e-08,,,,,,            6.6052,           17.7201,           24.1789,           35.6414,           81.6173,            3.5281,           11.7199,           -0.1798,           -0.1089,           37.5938,
Ref 2,2.83226e-08,,,,,,1.1982e-02,4.2129e-03,4.9072e-05,4.6445e-06,3.4604e-08,,,,,,,,,,,
Sam 2,2.66026e-08,1.20607e-02,4.2875e-03,5.0251e-05,4.8105e-06,4.3489e-08,,,,,,            6.6071,           17.7177,           24.0066,           36.2470,          182.5593,            3.5301,           11.7175,           -0.3474,            0.4806,          134.4303,
Ref 3,2.78956e-08,,,,,,1.1981e-02,4.2129e-03,4.9073e-05,4.6399e-06,3.8980e-08,,,,,,,,,,,
Sam 3,2.61852e-08,1.20607e-02,4.2875e-03,5.0253e-05,4.8123e-06,4.3186e-08,,,,,,            6.6151,           17.7153,           24.0434,           36.8734,          158.2065,            3.5387,           11.7151,           -0.3175,            1.0901,          111.0645,
Ref 4,2.74847e-08,,,,,,1.1981e-02,4.2129e-03,4.9073e-05,4.6424e-06,3.5568e-08,,,,,,,,,,,
Sam 4,2.57779e-08,1.20606e-02,4.2875e-03,5.0249e-05,4.8054e-06,3.7597e-08,,,,,,            6.6064,           17.7037,           23.9613,           35.0621,           38.3584,            3.5299,           11.7036,           -0.3776,           -0.6359,           -3.8739,
Ref 5,2.70761e-08,,,,,,1.1981e-02,4.2130e-03,4.9074e-05,4.6427e-06,3.6858e-08,,,,,,,,,,,
Sam 5,2.53787e-08,1.20606e-02,4.2876e-03,5.0251e-05,4.8076e-06,4.0401e-08,,,,,,            6.6053,           17.7091,           24.0341,           35.2864,           -2.1659,            3.5285,           11.7090,           -0.3106,           -0.4301,          -42.7589,
Ref 6,2.66761e-08,,,,,,1.1982e-02,4.2129e-03,4.9069e-05,4.6447e-06,4.4174e-08,,,,,,,,,,,
Sam 6,2.49902e-08,1.20606e-02,4.2875e-03,5.0254e-05,4.8080e-06,4.7011e-08,,,,,,            6.6048,           17.7039,           24.1360,           35.2654,           18.5018,            3.5281,           11.7038,           -0.2055,           -0.4401,          -22.9216,
Ref 7,2.62858e-08,,,,,,1.1981e-02,4.2129e-03,4.9070e-05,4.6437e-06,4.8170e-08,,,,,,,,,,,
Sam 7,2.46077e-08,1.20606e-02,4.2875e-03,5.0248e-05,4.8028e-06,5.7864e-08,,,,,,            6.6083,           17.7024,           23.9493,           34.3694,          139.6554,            3.5320,           11.7023,           -0.3900,           -1.3022,           93.3036,
Ref 8,2.59005e-08,,,,,,1.1981e-02,4.2129e-03,4.9076e-05,4.6426e-06,5.3415e-08,,,,,,,,,,,
Sam 8,2.42345e-08,1.20606e-02,4.2874e-03,5.0255e-05,4.8094e-06,5.1473e-08,,,,,,            6.6074,           17.6938,           24.0534,           35.7852,           54.3799,            3.5313,           11.6937,           -0.2790,            0.0817,           11.5143,
Ref 9,2.55227e-08,,,,,,1.1981e-02,4.2129e-03,4.9073e-05,4.6438e-06,4.4152e-08,,,,,,,,,,,
Sam 9,2.38699e-08,1.20604e-02,4.2875e-03,5.0254e-05,4.8111e-06,5.0273e-08,,,,,,            6.6047,           17.7106,           24.0776,           36.1239,           95.6957,            3.5278,           11.7105,           -0.2690,            0.3755,           51.1191,
Ref 10,2.51528e-08,,,,,,1.1981e-02,4.2128e-03,4.9072e-05,4.6429e-06,4.7638e-08,,,,,,,,,,,
Sam 10,2.35137e-08,1.20604e-02,4.2874e-03,5.0254e-05,4.8107e-06,5.0541e-08,,,,,,            6.6065,           17.6951,           24.1813,           36.3172,           87.3995,            3.5302,           11.6951,           -0.1546,            0.5927,           43.1897,
Ref 11,2.47919e-08,,,,,,1.1981e-02,4.2128e-03,4.9062e-05,4.6413e-06,4.5302e-08,,,,,,,,,,,
Sam 11,2.31651e-08,1.20605e-02,4.2874e-03,5.0253e-05,4.8108e-06,5.3926e-08,,,,,,            6.6207,           17.6965,           24.1083,           36.2747,          160.6999,            3.5454,           11.6964,           -0.2417,            0.5490,          113.4902,
Ref 12,2.44381e-08,,,,,,1.1981e-02,4.2128e-03,4.9078e-05,4.6436e-06,4.7634e-08,,,,,,,,,,,
Sam 12,2.28262e-08,1.20606e-02,4.2875e-03,5.0253e-05,4.8079e-06,4.6054e-08,,,,,,            6.6294,           17.7073,           24.0104,           35.6360,           10.8814,            3.5542,           11.7072,           -0.3566,           -0.0891,          -30.2637,
Ref 13,2.40936e-08,,,,,,1.1981e-02,4.2129e-03,4.9072e-05,4.6412e-06,4.3454e-08,,,,,,,,,,,
Sam 13,2.24941e-08,1.20603e-02,4.2874e-03,5.0254e-05,4.8074e-06,5.4262e-08,,,,,,            6.6063,           17.6872,           24.1942,           35.3394,          166.3249,            3.5304,           11.6872,           -0.1342,           -0.3359,          118.9234,
Ref 14,2.37613e-08,,,,,,1.1981e-02,4.2129e-03,4.9062e-05,4.6454e-06,4.9638e-08,,,,,,,,,,,
Sam 14,2.21690e-08,1.20603e-02,4.2874e-03,5.0247e-05,4.8107e-06,4.7509e-08,,,,,,            6.6080,           17.6984,           24.1833,           35.7031,            8.6805,            3.5318,           11.6983,           -0.1573,           -0.0066,          -32.3364,
Ref 15,2.34291e-08,,,,,,1.1981e-02,4.2128e-03,4.9060e-05,4.6443e-06,4.4526e-08,,,,,,,,,,,
Sam 15,2.18441e-08,1.20602e-02,4.2873e-03,5.0254e-05,4.8045e-06,4.8354e-08,,,,,,            6.6081,           17.6899,           24.2230,           34.8305,           62.2457,            3.5322,           11.6899,           -0.1105,           -0.8325,           19.0670,
Ref 16,2.31044e-08,,,,,,1.1981e-02,4.2128e-03,4.9071e-05,4.6413e-06,4.6529e-08,,,,,,,,,,,
Sam 16,2.15240e-08,1.20601e-02,4.2873e-03,5.0253e-05,4.8099e-06,4.6897e-08,,,,,,            6.6040,           17.6898,           24.0803,           36.7567,            5.0964,            3.5279,           11.6897,           -0.2455,            1.0276,          -35.7548,
Ref 17,2.27845e-08,,,,,,1.1981e-02,4.2128e-03,4.9073e-05,4.6375e-06,4.6790e-08,,,,,,,,,,,
Sam 17,2.12135e-08,1.20603e-02,4.2872e-03,5.0246e-05,4.8023e-06,5.0095e-08,,,,,,            6.6187,           17.6731,           23.8913,           35.1439,           20.8734,            3.5441,           11.6731,           -0.4289,           -0.4969,          -20.6026,
Ref 18,2.24739e-08,,,,,,1.1981e-02,4.2128e-03,4.9075e-05,4.6409e-06,5.1383e-08,,,,,,,,,,,
Sam 18,2.09074e-08,1.20601e-02,4.2873e-03,5.0251e-05,4.8107e-06,4.9135e-08,,,,,,            6.6066,           17.6849,           24.0929,           36.4643,            2.9416,            3.5308,           11.6849,           -0.2312,            0.7547,          -37.8156,
Ref 19,2.21613e-08,,,,,,1.1981e-02,4.2127e-03,4.9063e-05,4.6419e-06,4.6565e-08,,,,,,,,,,,
Sam 19,2.06075e-08,1.20600e-02,4.2873e-03,5.0262e-05,4.8112e-06,5.2974e-08,,,,,,            6.6054,           17.6978,           24.3247,           36.3396,          274.2430,            3.5290,           11.6977,           -0.0160,            0.6091,          222.4317,
Ref 20,2.18572e-08,,,,,,1.1981e-02,4.2127e-03,4.9073e-05,4.6430e-06,3.6512e-08,,,,,,,,,,,
Sam 20,2.03130e-08,1.20600e-02,4.2873e-03,5.0253e-05,4.8104e-06,3.9226e-08,,,,,,            6.6091,           17.7085,           24.0994,           35.8547,           64.2833,            3.5326,           11.7083,           -0.2500,            0.1200,           20.9842,
Ref 21,2.15601e-08,,,,,,1.1981e-02,4.2126e-03,4.9067e-05,4.6447e-06,3.7206e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.14143e-08,,,,,,1.1981e-02,4.2127e-03,4.9073e-05,4.6436e-06,3.9714e-08,
Sam 1,1.98860e-08,1.20602e-02,4.2874e-03,5.0254e-05,4.8081e-06,4.2280e-08,,,,,,            6.6206,           17.7271,           24.1379,           35.3669,          109.5374,            3.5442,           11.7269,           -0.2422,           -0.3877,           64.3458,
Ref 2,2.11236e-08,,,,,,1.1981e-02,4.2127e-03,4.9066e-05,4.6441e-06,3.6476e-08,,,,,,,,,,,
Sam 2,1.96070e-08,1.20600e-02,4.2872e-03,5.0246e-05,4.8039e-06,3.5303e-08,,,,,,            6.6063,           17.6866,           24.0126,           34.6680,            7.2613,            3.5303,           11.6866,           -0.3108,           -0.9829,          -33.6741,
Ref 3,2.08392e-08,,,,,,1.1981e-02,4.2127e-03,4.9070e-05,4.6417e-06,3.3602e-08,,,,,,,,,,,
Sam 3,1.93358e-08,1.20599e-02,4.2872e-03,5.0250e-05,4.8054e-06,3.6908e-08,,,,,,            6.6120,           17.6989,           23.9591,           35.6135,           -4.0743,            3.5361,           11.6988,           -0.3807,           -0.0941,          -44.5775,
Ref 4,2.05603e-08,,,,,,1.1981e-02,4.2127e-03,4.9078e-05,4.6385e-06,4.0563e-08,,,,,,,,,,,
Sam 4,1.90689e-08,1.20598e-02,4.2871e-03,5.0241e-05,4.8049e-06,4.6483e-08,,,,,,            6.5985,           17.6782,           23.8337,           35.5946,          180.9469,            3.5223,           11.6783,           -0.4694,           -0.0718,          132.9803,
Ref 5,2.02851e-08,,,,,,1.1981e-02,4.2126e-03,4.9064e-05,4.6410e-06,3.8143e-08,,,,,,,,,,,
Sam 5,1.88077e-08,1.20600e-02,4.2872e-03,5.0242e-05,4.8106e-06,4.2251e-08,,,,,,            6.6170,           17.7022,           24.0325,           36.4284,          145.8084,            3.5412,           11.7021,           -0.3174,            0.6862,           99.1966,
Ref 6,2.00170e-08,,,,,,1.1981e-02,4.2126e-03,4.9062e-05,4.6421e-06,3.5590e-08,,,,,,,,,,,
Sam 6,1.85509e-08,1.20598e-02,4.2871e-03,5.0251e-05,4.8041e-06,2.7973e-08,,,,,,            6.6028,           17.7032,           24.1602,           34.9993,         -122.0649,            3.5261,           11.7031,           -0.1792,           -0.6955,         -157.7683,
Ref 7,1.97510e-08,,,,,,1.1981e-02,4.2125e-03,4.9069e-05,4.6413e-06,2.8084e-08,,,,,,,,,,,
Sam 7,1.82992e-08,1.20597e-02,4.2871e-03,5.0250e-05,4.8061e-06,3.4152e-08,,,,,,            6.5983,           17.6848,           24.0817,           35.1987,           43.3050,            3.5220,           11.6848,           -0.2334,           -0.4670,            0.9165,
Ref 8,1.94920e-08,,,,,,1.1981e-02,4.2126e-03,4.9068e-05,4.6442e-06,3.7447e-08,,,,,,,,,,,
Sam 8,1.80518e-08,1.20599e-02,4.2871e-03,5.0256e-05,4.8083e-06,3.0767e-08,,,,,,            6.6166,           17.6920,           24.2308,           35.2736,          -83.5402,            3.5412,           11.6919,           -0.1136,           -0.4088,         -120.8041,
Ref 9,1.92361e-08,,,,,,1.1981e-02,4.2126e-03,4.9066e-05,4.6448e-06,2.9644e-08,,,,,,,,,,,
Sam 9,1.78094e-08,1.20598e-02,4.2871e-03,5.0231e-05,4.8103e-06,3.7943e-08,,,,,,            6.6110,           17.6940,           23.7068,           35.2311,          314.0450,            3.5351,           11.6939,           -0.6213,           -0.4538,          260.6170,
Ref 10,1.89855e-08,,,,,,1.1981e-02,4.2126e-03,4.9071e-05,4.6484e-06,2.8095e-08,,,,,,,,,,,
Sam 10,1.75720e-08,1.20596e-02,4.2870e-03,5.0246e-05,4.8096e-06,2.5287e-08,,,,,,            6.6038,           17.6648,           23.9927,           35.1186,         -125.7367,            3.5284,           11.6648,           -0.3066,           -0.5050,         -161.2293,
Ref 11,1.87380e-08,,,,,,1.1980e-02,4.2125e-03,4.9067e-05,4.6445e-06,2.9764e-08,,,,,,,,,,,
Sam 11,1.73372e-08,1.20597e-02,4.2870e-03,5.0247e-05,4.8095e-06,3.7553e-08,,,,,,            6.6175,           17.6809,           24.0016,           35.6124,          256.6155,            3.5424,           11.6809,           -0.3274,           -0.0599,          205.5450,
Ref 12,1.84977e-08,,,,,,1.1980e-02,4.2125e-03,4.9071e-05,4.6437e-06,3.0006e-08,,,,,,,,,,,
Sam 12,1.71076e-08,1.20595e-02,4.2871e-03,5.0251e-05,4.8093e-06,2.7908e-08,,,,,,            6.6073,           17.7070,           24.0953,           36.2118,          -90.0883,            3.5308,           11.7069,           -0.2509,            0.4675,         -127.1028,
Ref 13,1.82611e-08,,,,,,1.1980e-02,4.2125e-03,4.9067e-05,4.6387e-06,3.1345e-08,,,,,,,,,,,
Sam 13,1.68842e-08,1.20595e-02,4.2869e-03,5.0242e-05,4.8147e-06,3.7141e-08,,,,,,            6.6047,           17.6813,           23.8948,           37.3757,          214.9504,            3.5289,           11.6813,           -0.4190,            1.6419,          165.5880,
Ref 14,1.80279e-08,,,,,,1.1980e-02,4.2125e-03,4.9071e-05,4.6438e-06,2.9786e-08,,,,,,,,,,,
Sam 14,1.66645e-08,1.20594e-02,4.2869e-03,5.0257e-05,4.8154e-06,3.1246e-08,,,,,,            6.6023,           17.6616,           24.0898,           36.7266,          -22.2832,            3.5270,           11.6617,           -0.2072,            1.0540,          -61.9687,
Ref 15,1.77982e-08,,,,,,1.1980e-02,4.2125e-03,4.9078e-05,4.6459e-06,3.4159e-08,,,,,,,,,,,
Sam 15,1.64459e-08,1.20594e-02,4.2870e-03,5.0256e-05,4.8090e-06,3.8533e-08,,,,,,            6.6059,           17.6859,           24.1205,           35.0995,           61.4001,            3.5300,           11.6859,           -0.2044,           -0.5649,           18.2661,
Ref 16,1.75716e-08,,,,,,1.1980e-02,4.2125e-03,4.9065e-05,4.6460e-06,3.8477e-08,,,,,,,,,,,
Sam 16,1.62329e-08,1.20596e-02,4.2869e-03,5.0249e-05,4.8031e-06,4.2751e-08,,,,,,            6.6213,           17.6507,           23.9922,           33.9164,          109.3367,            3.5476,           11.6508,           -0.3114,           -1.6382,           64.3098,
Ref 17,1.73489e-08,,,,,,1.1980e-02,4.2125e-03,4.9078e-05,4.6451e-06,3.8599e-08,,,,,,,,,,,
Sam 17,1.60219e-08,1.20592e-02,4.2869e-03,5.0242e-05,4.8098e-06,4.6004e-08,,,,,,            6.5911,           17.6670,           23.7529,           35.3073,          218.4882,            3.5149,           11.6671,           -0.5298,           -0.3272,          169.0311,
Ref 18,1.71302e-08,,,,,,1.1980e-02,4.2124e-03,4.9074e-05,4.6465e-06,3.6900e-08,,,,,,,,,,,
Sam 18,1.58151e-08,1.20593e-02,4.2869e-03,5.0251e-05,4.8092e-06,2.9385e-08,,,,,,            6.6045,           17.6675,           23.9577,           34.8658,         -138.1901,            3.5291,           11.6676,           -0.3442,           -0.7545,         -173.1822,
Ref 19,1.69153e-08,,,,,,1.1980e-02,4.2125e-03,4.9077e-05,4.6478e-06,3.1259e-08,,,,,,,,,,,
Sam 19,1.56125e-08,1.20593e-02,4.2869e-03,5.0249e-05,4.8200e-06,3.7784e-08,,,,,,            6.5953,           17.6810,           23.9424,           37.1846,          346.0245,            3.5189,           11.6811,           -0.3628,            1.4579,          291.3500,
Ref 20,1.67059e-08,,,,,,1.1980e-02,4.2125e-03,4.9072e-05,4.6467e-06,2.4843e-08,,,,,,,,,,,
Sam 20,1.54117e-08,1.20593e-02,4.2870e-03,5.0242e-05,4.8094e-06,2.7475e-08,,,,,,            6.6015,           17.7041,           23.9359,           34.8922,           59.1931,            3.5247,           11.7040,           -0.3977,           -0.8008,           16.1178,
Ref 21,1.64936e-08,,,,,,1.1980e-02,4.2124e-03,4.9063e-05,4.6478e-06,2.7050e-08,,,,,,,,,,,


