Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 17, 2023 at 02:59 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 17, 2023 at 03:58 with Stable 1.71.5 on PS019

Data File = Data_19635 AU_LMW1_307_34.txt,Sample Weight = 909,                      Vial Location = 27,                       Initial Sam Beam = 1.7404e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7207e-08,                Max Ref Beam = 1.0611e-07,                

Analysis undertaken at mass 46.05079
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.62343e-08,,,,,,1.1980e-02,4.2107e-03,4.9007e-05,4.6360e-06,4.9410e-08,
Sam 1,6.51832e-08,1.20741e-02,4.2507e-03,4.9848e-05,4.7247e-06,4.9085e-08,,,,,,            7.7950,            9.4527,           17.1151,           18.7716,           19.8655,            5.0791,            3.4899,           -0.2901,           -0.2189,           -7.0667,
Ref 2,6.48867e-08,,,,,,1.1981e-02,4.2111e-03,4.9010e-05,4.6392e-06,4.6821e-08,,,,,,,,,,,
Sam 2,6.38022e-08,1.20744e-02,4.2509e-03,4.9849e-05,4.7244e-06,5.0316e-08,,,,,,            7.7791,            9.4292,           17.0274,           18.6184,           39.0435,            5.0630,            3.4666,           -0.3373,           -0.3227,           11.6681,
Ref 3,6.36270e-08,,,,,,1.1981e-02,4.2114e-03,4.9018e-05,4.6368e-06,5.0061e-08,,,,,,,,,,,
Sam 3,6.24836e-08,1.20748e-02,4.2512e-03,4.9856e-05,4.7281e-06,5.3873e-08,,,,,,            7.7797,            9.4350,           17.0382,           19.2035,           65.3050,            5.0635,            3.4724,           -0.3330,            0.2399,           37.2252,
Ref 4,6.23904e-08,,,,,,1.1982e-02,4.2116e-03,4.9023e-05,4.6413e-06,5.1090e-08,,,,,,,,,,,
Sam 4,6.11882e-08,1.20751e-02,4.2514e-03,4.9864e-05,4.7268e-06,5.1916e-08,,,,,,            7.7919,            9.4352,           17.1698,           18.4955,           28.9266,            5.0765,            3.4725,           -0.2163,           -0.4552,            1.7925,
Ref 5,6.11832e-08,,,,,,1.1982e-02,4.2117e-03,4.9021e-05,4.6405e-06,4.9810e-08,,,,,,,,,,,
Sam 5,5.99311e-08,1.20752e-02,4.2516e-03,4.9865e-05,4.7282e-06,4.8452e-08,,,,,,            7.7896,            9.4494,           17.1235,           18.9618,           -0.1396,            5.0735,            3.4867,           -0.2732,           -0.0257,          -26.5318,
Ref 6,6.00017e-08,,,,,,1.1982e-02,4.2119e-03,4.9031e-05,4.6400e-06,4.7080e-08,,,,,,,,,,,
Sam 6,5.86895e-08,1.20755e-02,4.2517e-03,4.9865e-05,4.7278e-06,5.0299e-08,,,,,,            7.7951,            9.4396,           17.0268,           18.7866,           17.4312,            5.0797,            3.4770,           -0.3644,           -0.1783,           -9.4117,
Ref 7,5.88375e-08,,,,,,1.1982e-02,4.2120e-03,4.9031e-05,4.6413e-06,5.1841e-08,,,,,,,,,,,
Sam 7,5.74949e-08,1.20755e-02,4.2518e-03,4.9870e-05,4.7252e-06,5.2865e-08,,,,,,            7.7907,            9.4484,           17.1075,           18.0136,           41.1721,            5.0747,            3.4857,           -0.2891,           -0.9544,           13.6901,
Ref 8,5.77173e-08,,,,,,1.1982e-02,4.2120e-03,4.9032e-05,4.6420e-06,4.9687e-08,,,,,,,,,,,
Sam 8,5.63544e-08,1.20756e-02,4.2519e-03,4.9875e-05,4.7282e-06,5.0616e-08,,,,,,            7.7929,            9.4482,           17.1400,           18.3264,           23.9530,            5.0770,            3.4855,           -0.2592,           -0.6469,           -3.0762,
Ref 9,5.66531e-08,,,,,,1.1982e-02,4.2122e-03,4.9037e-05,4.6442e-06,4.9172e-08,,,,,,,,,,,
Sam 9,5.52156e-08,1.20757e-02,4.2520e-03,4.9875e-05,4.7304e-06,5.2130e-08,,,,,,            7.7863,            9.4364,           17.0776,           19.0158,           30.0525,            5.0705,            3.4737,           -0.3023,            0.0530,            2.8923,
Ref 10,5.55776e-08,,,,,,1.1982e-02,4.2123e-03,4.9038e-05,4.6399e-06,5.2073e-08,,,,,,,,,,,
Sam 10,5.41200e-08,1.20759e-02,4.2522e-03,4.9878e-05,4.7311e-06,5.4232e-08,,,,,,            7.7958,            9.4550,           17.1181,           19.3074,            8.4190,            5.0799,            3.4922,           -0.2903,            0.3023,          -18.2162,
Ref 11,5.45414e-08,,,,,,1.1982e-02,4.2124e-03,4.9040e-05,4.6431e-06,5.5518e-08,,,,,,,,,,,
Sam 11,5.30426e-08,1.20760e-02,4.2522e-03,4.9880e-05,4.7305e-06,5.5543e-08,,,,,,            7.7976,            9.4396,           17.0444,           18.5855,           21.9583,            5.0823,            3.4769,           -0.3495,           -0.3756,           -5.0065,
Ref 12,5.35210e-08,,,,,,1.1983e-02,4.2125e-03,4.9049e-05,4.6453e-06,5.3159e-08,,,,,,,,,,,
Sam 12,5.19902e-08,1.20760e-02,4.2523e-03,4.9888e-05,4.7303e-06,5.5384e-08,,,,,,            7.7901,            9.4433,           17.0772,           18.3919,           39.6826,            5.0743,            3.4806,           -0.3134,           -0.5729,           12.2507,
Ref 13,5.25178e-08,,,,,,1.1983e-02,4.2126e-03,4.9053e-05,4.6444e-06,5.3384e-08,,,,,,,,,,,
Sam 13,5.09632e-08,1.20761e-02,4.2524e-03,4.9884e-05,4.7336e-06,5.5185e-08,,,,,,            7.7886,            9.4324,           16.9173,           19.2431,           15.2527,            5.0730,            3.4698,           -0.4583,            0.2840,          -11.5121,
Ref 14,5.15389e-08,,,,,,1.1983e-02,4.2126e-03,4.9055e-05,4.6441e-06,5.5345e-08,,,,,,,,,,,
Sam 14,4.99643e-08,1.20762e-02,4.2525e-03,4.9894e-05,4.7337e-06,5.9097e-08,,,,,,            7.7927,            9.4459,           17.0988,           19.2104,           62.6063,            5.0769,            3.4832,           -0.2973,            0.2251,           34.5615,
Ref 15,5.05883e-08,,,,,,1.1983e-02,4.2127e-03,4.9056e-05,4.6449e-06,5.5891e-08,,,,,,,,,,,
Sam 15,4.89971e-08,1.20761e-02,4.2524e-03,4.9892e-05,4.7321e-06,5.9921e-08,,,,,,            7.7887,            9.4221,           17.0358,           18.3361,           55.0957,            5.0735,            3.4595,           -0.3319,           -0.5856,           27.3013,
Ref 16,4.96596e-08,,,,,,1.1983e-02,4.2128e-03,4.9056e-05,4.6489e-06,5.7710e-08,,,,,,,,,,,
Sam 16,4.80456e-08,1.20762e-02,4.2525e-03,4.9899e-05,4.7330e-06,5.8231e-08,,,,,,            7.7944,            9.4304,           17.1782,           18.6243,          -16.5318,            5.0792,            3.4677,           -0.2057,           -0.3193,          -42.4606,
Ref 17,4.87509e-08,,,,,,1.1983e-02,4.2128e-03,4.9056e-05,4.6439e-06,6.0737e-08,,,,,,,,,,,
Sam 17,4.71247e-08,1.20762e-02,4.2526e-03,4.9895e-05,4.7304e-06,6.4157e-08,,,,,,            7.7946,            9.4424,           17.1013,           18.3677,           29.2392,            5.0791,            3.4798,           -0.2934,           -0.5950,            2.0798,
Ref 18,4.78611e-08,,,,,,1.1983e-02,4.2129e-03,4.9056e-05,4.6463e-06,6.3962e-08,,,,,,,,,,,
Sam 18,4.62276e-08,1.20761e-02,4.2526e-03,4.9897e-05,4.7343e-06,6.2215e-08,,,,,,            7.7830,            9.4210,           17.1106,           19.0428,            1.6462,            5.0675,            3.4584,           -0.2515,            0.1101,          -24.7323,
Ref 19,4.69976e-08,,,,,,1.1983e-02,4.2129e-03,4.9058e-05,4.6452e-06,6.0229e-08,,,,,,,,,,,
Sam 19,4.53509e-08,1.20762e-02,4.2527e-03,4.9902e-05,4.7380e-06,6.4841e-08,,,,,,            7.8027,            9.4456,           17.1439,           19.8274,           51.6218,            5.0876,            3.4829,           -0.2628,            0.8312,           23.8568,
Ref 20,4.61561e-08,,,,,,1.1983e-02,4.2129e-03,4.9064e-05,4.6466e-06,6.3113e-08,,,,,,,,,,,
Sam 20,4.44887e-08,1.20761e-02,4.2527e-03,4.9903e-05,4.7361e-06,6.4840e-08,,,,,,            7.7929,            9.4465,           17.0678,           18.8980,           31.5044,            5.0771,            3.4838,           -0.3285,           -0.0826,            4.2792,
Ref 21,4.53314e-08,,,,,,1.1983e-02,4.2129e-03,4.9068e-05,4.6499e-06,6.2601e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.49368e-08,,,,,,1.1983e-02,4.2130e-03,4.9066e-05,4.6499e-06,6.7213e-08,
Sam 1,4.32391e-08,1.20760e-02,4.2527e-03,4.9908e-05,4.7364e-06,6.9716e-08,,,,,,            7.7757,            9.4463,           17.1508,           18.5989,           68.5885,            5.0589,            3.4836,           -0.2292,           -0.3758,           40.4036,
Ref 2,4.41373e-08,,,,,,1.1983e-02,4.2129e-03,4.9067e-05,4.6498e-06,6.3233e-08,,,,,,,,,,,
Sam 2,4.24235e-08,1.20760e-02,4.2527e-03,4.9906e-05,4.7384e-06,6.6323e-08,,,,,,            7.7834,            9.4486,           17.0853,           19.0369,           65.2056,            5.0670,            3.4859,           -0.3037,            0.0495,           37.0969,
Ref 3,4.33587e-08,,,,,,1.1983e-02,4.2129e-03,4.9069e-05,4.6499e-06,6.1275e-08,,,,,,,,,,,
Sam 3,4.16336e-08,1.20760e-02,4.2527e-03,4.9911e-05,4.7390e-06,6.4579e-08,,,,,,            7.7834,            9.4231,           17.1078,           19.2773,           60.6510,            5.0678,            3.4605,           -0.2566,            0.3360,           32.7139,
Ref 4,4.25974e-08,,,,,,1.1983e-02,4.2130e-03,4.9073e-05,4.6488e-06,6.0490e-08,,,,,,,,,,,
Sam 4,4.08653e-08,1.20760e-02,4.2528e-03,4.9913e-05,4.7375e-06,6.2971e-08,,,,,,            7.7854,            9.4339,           17.1159,           18.7533,           24.4896,            5.0696,            3.4713,           -0.2613,           -0.1996,           -2.5181,
Ref 5,4.18562e-08,,,,,,1.1983e-02,4.2131e-03,4.9073e-05,4.6518e-06,6.2458e-08,,,,,,,,,,,
Sam 5,4.01118e-08,1.20761e-02,4.2528e-03,4.9907e-05,4.7356e-06,6.1724e-08,,,,,,            7.7905,            9.4249,           16.9833,           18.2551,          -18.8312,            5.0753,            3.4623,           -0.3882,           -0.6709,          -44.6854,
Ref 6,4.11289e-08,,,,,,1.1983e-02,4.2130e-03,4.9075e-05,4.6497e-06,6.3367e-08,,,,,,,,,,,
Sam 6,3.93828e-08,1.20761e-02,4.2529e-03,4.9909e-05,4.7380e-06,6.5977e-08,,,,,,            7.7934,            9.4542,           17.0777,           19.0439,           41.3988,            5.0774,            3.4914,           -0.3267,            0.0454,           13.8967,
Ref 7,4.04150e-08,,,,,,1.1983e-02,4.2130e-03,4.9068e-05,4.6492e-06,6.3340e-08,,,,,,,,,,,
Sam 7,3.86732e-08,1.20760e-02,4.2528e-03,4.9910e-05,4.7397e-06,6.8043e-08,,,,,,            7.7900,            9.4340,           17.1426,           18.9480,           61.2288,            5.0744,            3.4713,           -0.2398,           -0.0087,           33.2474,
Ref 8,3.97234e-08,,,,,,1.1983e-02,4.2131e-03,4.9071e-05,4.6540e-06,6.4907e-08,,,,,,,,,,,
Sam 8,3.79825e-08,1.20759e-02,4.2528e-03,4.9918e-05,4.7426e-06,6.5735e-08,,,,,,            7.7825,            9.4188,           17.1756,           19.1966,           29.5570,            5.0670,            3.4562,           -0.1849,            0.2654,            2.4484,
Ref 9,3.90415e-08,,,,,,1.1983e-02,4.2132e-03,4.9079e-05,4.6525e-06,6.2770e-08,,,,,,,,,,,
Sam 9,3.73070e-08,1.20759e-02,4.2528e-03,4.9913e-05,4.7424e-06,6.5272e-08,,,,,,            7.7804,            9.4252,           16.9664,           19.3971,            9.3899,            5.0645,            3.4626,           -0.3946,            0.4494,          -17.1979,
Ref 10,3.83776e-08,,,,,,1.1983e-02,4.2131e-03,4.9082e-05,4.6518e-06,6.6591e-08,,,,,,,,,,,
Sam 10,3.66473e-08,1.20759e-02,4.2528e-03,4.9926e-05,4.7386e-06,6.7681e-08,,,,,,            7.7852,            9.4253,           17.1987,           18.4149,           -5.3863,            5.0696,            3.4627,           -0.1712,           -0.5147,          -31.5900,
Ref 11,3.77282e-08,,,,,,1.1983e-02,4.2131e-03,4.9083e-05,4.6541e-06,6.9529e-08,,,,,,,,,,,
Sam 11,3.60056e-08,1.20759e-02,4.2528e-03,4.9914e-05,4.7404e-06,7.1475e-08,,,,,,            7.7819,            9.4165,           16.9779,           18.5124,           33.9251,            5.0664,            3.4540,           -0.3764,           -0.4017,            6.7064,
Ref 12,3.70984e-08,,,,,,1.1983e-02,4.2131e-03,4.9080e-05,4.6545e-06,6.8724e-08,,,,,,,,,,,
Sam 12,3.53819e-08,1.20756e-02,4.2528e-03,4.9915e-05,4.7428e-06,7.0728e-08,,,,,,            7.7704,            9.4140,           16.9338,           18.5648,          -13.3546,            5.0543,            3.4515,           -0.4055,           -0.3452,          -39.3122,
Ref 13,3.64820e-08,,,,,,1.1982e-02,4.2131e-03,4.9088e-05,4.6582e-06,7.4698e-08,,,,,,,,,,,
Sam 13,3.47793e-08,1.20756e-02,4.2528e-03,4.9920e-05,4.7440e-06,7.8658e-08,,,,,,            7.7806,            9.4233,           17.0276,           18.5359,           53.0780,            5.0649,            3.4607,           -0.3329,           -0.3919,           25.3430,
Ref 14,3.58854e-08,,,,,,1.1982e-02,4.2131e-03,4.9080e-05,4.6571e-06,7.4689e-08,,,,,,,,,,,
Sam 14,3.41880e-08,1.20755e-02,4.2527e-03,4.9919e-05,4.7408e-06,7.7294e-08,,,,,,            7.7733,            9.4126,           16.9995,           18.3155,           15.3843,            5.0575,            3.4501,           -0.3426,           -0.5871,          -11.3298,
Ref 15,3.53043e-08,,,,,,1.1982e-02,4.2131e-03,4.9090e-05,4.6540e-06,7.7580e-08,,,,,,,,,,,
Sam 15,3.36061e-08,1.20757e-02,4.2527e-03,4.9924e-05,4.7451e-06,8.4304e-08,,,,,,            7.7844,            9.4071,           17.0458,           19.1498,           73.6100,            5.0694,            3.4446,           -0.3030,            0.2426,           45.3631,
Ref 16,3.47330e-08,,,,,,1.1982e-02,4.2131e-03,4.9084e-05,4.6580e-06,7.9484e-08,,,,,,,,,,,
Sam 16,3.30287e-08,1.20755e-02,4.2528e-03,4.9920e-05,4.7479e-06,8.1284e-08,,,,,,            7.7761,            9.4306,           16.9888,           19.2703,            8.7006,            5.0598,            3.4680,           -0.3735,            0.3143,          -17.8750,
Ref 17,3.41646e-08,,,,,,1.1982e-02,4.2130e-03,4.9087e-05,4.6583e-06,8.1701e-08,,,,,,,,,,,
Sam 17,3.24705e-08,1.20755e-02,4.2528e-03,4.9925e-05,4.7484e-06,8.5022e-08,,,,,,            7.7831,            9.4437,           17.0310,           19.5127,           31.0206,            5.0668,            3.4810,           -0.3519,            0.5262,            3.8239,
Ref 18,3.36148e-08,,,,,,1.1982e-02,4.2131e-03,4.9091e-05,4.6567e-06,8.3240e-08,,,,,,,,,,,
Sam 18,3.19248e-08,1.20753e-02,4.2527e-03,4.9930e-05,4.7484e-06,8.3059e-08,,,,,,            7.7735,            9.4180,           17.1554,           19.4643,           28.0489,            5.0575,            3.4554,           -0.1947,            0.5297,            0.9910,
Ref 19,3.30682e-08,,,,,,1.1982e-02,4.2130e-03,4.9084e-05,4.6589e-06,7.8305e-08,,,,,,,,,,,
Sam 19,3.13817e-08,1.20753e-02,4.2527e-03,4.9925e-05,4.7473e-06,8.7015e-08,,,,,,            7.7822,            9.4071,           17.0051,           18.4915,           56.5916,            5.0672,            3.4446,           -0.3408,           -0.4035,           28.7947,
Ref 20,3.25372e-08,,,,,,1.1982e-02,4.2130e-03,4.9096e-05,4.6634e-06,8.6469e-08,,,,,,,,,,,
Sam 20,3.08706e-08,1.20753e-02,4.2527e-03,4.9920e-05,4.7477e-06,9.2162e-08,,,,,,            7.7770,            9.4077,           16.7589,           18.2568,           71.0504,            5.0615,            3.4452,           -0.5781,           -0.6351,           42.8777,
Ref 21,3.20302e-08,,,,,,1.1982e-02,4.2130e-03,4.9098e-05,4.6617e-06,8.5621e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.17777e-08,,,,,,1.1982e-02,4.2130e-03,4.9094e-05,4.6592e-06,8.3381e-08,
Sam 1,3.01120e-08,1.20752e-02,4.2527e-03,4.9933e-05,4.7486e-06,8.7424e-08,,,,,,            7.7709,            9.4092,           17.1561,           18.5420,           34.1101,            5.0549,            3.4467,           -0.1829,           -0.3582,            6.9126,
Ref 2,3.12767e-08,,,,,,1.1982e-02,4.2131e-03,4.9088e-05,4.6651e-06,8.5717e-08,,,,,,,,,,,
Sam 2,2.96223e-08,1.20751e-02,4.2527e-03,4.9934e-05,4.7551e-06,9.2147e-08,,,,,,            7.7686,            9.4106,           17.2563,           19.8617,           67.3241,            5.0525,            3.4481,           -0.0834,            0.9344,           39.2528,
Ref 3,3.07863e-08,,,,,,1.1982e-02,4.2130e-03,4.9087e-05,4.6599e-06,8.6961e-08,,,,,,,,,,,
Sam 3,2.91418e-08,1.20753e-02,4.2527e-03,4.9929e-05,4.7511e-06,9.3322e-08,,,,,,            7.7868,            9.4107,           16.9901,           19.3790,           94.5590,            5.0718,            3.4482,           -0.3638,            0.4603,           65.7506,
Ref 4,3.03010e-08,,,,,,1.1982e-02,4.2131e-03,4.9102e-05,4.6617e-06,8.3532e-08,,,,,,,,,,,
Sam 4,2.86737e-08,1.20752e-02,4.2527e-03,4.9940e-05,4.7445e-06,9.1809e-08,,,,,,            7.7843,            9.4165,           16.9950,           17.6922,           53.5953,            5.0690,            3.4540,           -0.3620,           -1.2066,           25.8563,
Ref 5,2.98326e-08,,,,,,1.1982e-02,4.2130e-03,4.9109e-05,4.6623e-06,9.0802e-08,,,,,,,,,,,
Sam 5,2.82147e-08,1.20750e-02,4.2526e-03,4.9939e-05,4.7501e-06,8.9874e-08,,,,,,            7.7728,            9.4062,           16.9606,           18.4696,          -18.0914,            5.0572,            3.4437,           -0.3741,           -0.4233,          -43.9123,
Ref 6,2.93736e-08,,,,,,1.1982e-02,4.2130e-03,4.9104e-05,4.6655e-06,9.2269e-08,,,,,,,,,,,
Sam 6,2.77721e-08,1.20750e-02,4.2527e-03,4.9935e-05,4.7552e-06,9.4075e-08,,,,,,            7.7830,            9.4313,           16.9658,           19.8848,           40.7249,            5.0672,            3.4687,           -0.4039,            0.9160,           13.2968,
Ref 7,2.89212e-08,,,,,,1.1982e-02,4.2130e-03,4.9100e-05,4.6594e-06,8.8488e-08,,,,,,,,,,,
Sam 7,2.73327e-08,1.20748e-02,4.2526e-03,4.9936e-05,4.7555e-06,9.1871e-08,,,,,,            7.7719,            9.4119,           17.0030,           20.1077,           44.5115,            5.0560,            3.4494,           -0.3369,            1.1732,           17.0340,
Ref 8,2.84824e-08,,,,,,1.1982e-02,4.2129e-03,4.9102e-05,4.6640e-06,8.7416e-08,,,,,,,,,,,
Sam 8,2.69058e-08,1.20748e-02,4.2526e-03,4.9932e-05,4.7527e-06,9.2379e-08,,,,,,            7.7756,            9.4128,           16.9601,           18.9861,           19.6426,            5.0599,            3.4502,           -0.3838,            0.0707,           -7.1862,
Ref 9,2.80519e-08,,,,,,1.1982e-02,4.2129e-03,4.9096e-05,4.6642e-06,9.3831e-08,,,,,,,,,,,
Sam 9,2.64908e-08,1.20747e-02,4.2525e-03,4.9941e-05,4.7570e-06,9.4312e-08,,,,,,            7.7727,            9.4101,           17.1901,           19.6383,           25.3785,            5.0568,            3.4476,           -0.1521,            0.7161,           -1.5929,
Ref 10,2.76313e-08,,,,,,1.1982e-02,4.2129e-03,4.9098e-05,4.6666e-06,9.0095e-08,,,,,,,,,,,
Sam 10,2.60822e-08,1.20747e-02,4.2525e-03,4.9940e-05,4.7524e-06,9.5145e-08,,,,,,            7.7719,            9.4022,           17.0281,           18.0971,           64.2166,            5.0563,            3.4397,           -0.3028,           -0.7808,           36.2404,
Ref 11,2.72189e-08,,,,,,1.1982e-02,4.2129e-03,4.9110e-05,4.6692e-06,8.8701e-08,,,,,,,,,,,
Sam 11,2.56851e-08,1.20748e-02,4.2525e-03,4.9941e-05,4.7542e-06,9.5975e-08,,,,,,            7.7900,            9.4135,           17.0118,           18.7241,           57.8617,            5.0752,            3.4510,           -0.3485,           -0.1880,           30.0100,
Ref 12,2.68143e-08,,,,,,1.1981e-02,4.2128e-03,4.9102e-05,4.6645e-06,9.2780e-08,,,,,,,,,,,
Sam 12,2.52964e-08,1.20746e-02,4.2525e-03,4.9947e-05,4.7533e-06,9.6807e-08,,,,,,            7.7751,            9.4081,           17.1463,           18.9216,           30.3222,            5.0595,            3.4456,           -0.1957,            0.0166,            3.2221,
Ref 13,2.64202e-08,,,,,,1.1982e-02,4.2129e-03,4.9108e-05,4.6655e-06,9.5153e-08,,,,,,,,,,,
Sam 13,2.49158e-08,1.20747e-02,4.2525e-03,4.9951e-05,4.7568e-06,9.7984e-08,,,,,,            7.7747,            9.4152,           17.1887,           19.4720,           -4.3548,            5.0588,            3.4527,           -0.1606,            0.5427,          -30.5560,
Ref 14,2.60380e-08,,,,,,1.1981e-02,4.2128e-03,4.9106e-05,4.6664e-06,1.0172e-07,,,,,,,,,,,
Sam 14,2.45466e-08,1.20746e-02,4.2524e-03,4.9944e-05,4.7613e-06,1.0300e-07,,,,,,            7.7764,            9.3893,           16.9730,           19.4822,           20.8972,            5.0615,            3.4269,           -0.3490,            0.6042,           -5.9200,
Ref 15,2.56568e-08,,,,,,1.1981e-02,4.2128e-03,4.9115e-05,4.6743e-06,1.0005e-07,,,,,,,,,,,
Sam 15,2.41774e-08,1.20745e-02,4.2524e-03,4.9943e-05,4.7557e-06,1.0393e-07,,,,,,            7.7734,            9.3963,           16.9178,           17.9813,            0.0405,            5.0581,            3.4338,           -0.4071,           -0.8827,          -26.2389,
Ref 16,2.52845e-08,,,,,,1.1981e-02,4.2128e-03,4.9110e-05,4.6691e-06,1.0786e-07,,,,,,,,,,,
Sam 16,2.38202e-08,1.20743e-02,4.2524e-03,4.9949e-05,4.7612e-06,1.1127e-07,,,,,,            7.7661,            9.4059,           17.1533,           19.0561,            4.0009,            5.0500,            3.4435,           -0.1775,            0.1529,          -22.3935,
Ref 17,2.49200e-08,,,,,,1.1981e-02,4.2128e-03,4.9104e-05,4.6753e-06,1.1385e-07,,,,,,,,,,,
Sam 17,2.34683e-08,1.20743e-02,4.2523e-03,4.9950e-05,4.7558e-06,1.1630e-07,,,,,,            7.7711,            9.3907,           17.1843,           17.5999,           39.1792,            5.0558,            3.4283,           -0.1373,           -1.2460,           11.8848,
Ref 18,2.45634e-08,,,,,,1.1981e-02,4.2127e-03,4.9108e-05,4.6718e-06,1.0996e-07,,,,,,,,,,,
Sam 18,2.31233e-08,1.20742e-02,4.2523e-03,4.9950e-05,4.7611e-06,1.1912e-07,,,,,,            7.7576,            9.4047,           17.0076,           19.4695,           53.3915,            5.0410,            3.4422,           -0.3108,            0.5612,           25.7104,
Ref 19,2.42109e-08,,,,,,1.1981e-02,4.2127e-03,4.9121e-05,4.6685e-06,1.1625e-07,,,,,,,,,,,
Sam 19,2.27853e-08,1.20743e-02,4.2523e-03,4.9951e-05,4.7594e-06,1.2337e-07,,,,,,            7.7745,            9.3988,           17.0038,           19.6487,           42.2819,            5.0592,            3.4363,           -0.3261,            0.7488,           14.8863,
Ref 20,2.38681e-08,,,,,,1.1981e-02,4.2127e-03,4.9111e-05,4.6669e-06,1.2052e-07,,,,,,,,,,,
Sam 20,2.24540e-08,1.20742e-02,4.2523e-03,4.9946e-05,4.7596e-06,1.2457e-07,,,,,,            7.7659,            9.3922,           16.9836,           19.4176,           24.6047,            5.0503,            3.4298,           -0.3308,            0.5349,           -2.3045,
Ref 21,2.35287e-08,,,,,,1.1981e-02,4.2127e-03,4.9113e-05,4.6711e-06,1.2265e-07,,,,,,,,,,,


