Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 17, 2023 at 08:36 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 17, 2023 at 09:35 with Stable 1.71.5 on PS019

Data File = Data_19639 ST2_21_6_A.txt,    Sample Weight = 421,                      Vial Location = 31,                       Initial Sam Beam = 1.0844e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2705e-08,                Max Ref Beam = 1.0662e-07,                

Analysis undertaken at mass 46.04589
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.07066e-08,,,,,,1.1982e-02,4.2128e-03,4.9057e-05,4.6464e-06,4.5223e-08,
Sam 1,3.76199e-08,1.20632e-02,4.2764e-03,5.0124e-05,4.7890e-06,5.1139e-08,,,,,,            6.7579,           15.0609,           21.6830,           30.6627,           92.6560,            3.7821,            9.0732,           -0.2012,            0.3049,           53.4219,
Ref 2,3.99764e-08,,,,,,1.1982e-02,4.2130e-03,4.9064e-05,4.6466e-06,4.8411e-08,,,,,,,,,,,
Sam 2,3.69339e-08,1.20632e-02,4.2764e-03,5.0122e-05,4.7898e-06,4.8289e-08,,,,,,            6.7538,           15.0508,           21.5476,           30.4973,           -2.4131,            3.7780,            9.0632,           -0.3197,            0.1641,          -38.2105,
Ref 3,3.92949e-08,,,,,,1.1982e-02,4.2130e-03,4.9066e-05,4.6494e-06,4.8400e-08,,,,,,,,,,,
Sam 3,3.62700e-08,1.20632e-02,4.2765e-03,5.0128e-05,4.7877e-06,5.2121e-08,,,,,,            6.7583,           15.0846,           21.7268,           30.0756,           56.1935,            3.7816,            9.0969,           -0.1817,           -0.3116,           18.2214,
Ref 4,3.86188e-08,,,,,,1.1982e-02,4.2129e-03,4.9059e-05,4.6463e-06,5.0312e-08,,,,,,,,,,,
Sam 4,3.56211e-08,1.20632e-02,4.2765e-03,5.0130e-05,4.7892e-06,5.0139e-08,,,,,,            6.7665,           15.0721,           21.8049,           30.2814,           48.0035,            3.7908,            9.0844,           -0.1015,           -0.0873,           10.3416,
Ref 5,3.79643e-08,,,,,,1.1982e-02,4.2130e-03,4.9061e-05,4.6506e-06,4.5330e-08,,,,,,,,,,,
Sam 5,3.49903e-08,1.20631e-02,4.2764e-03,5.0122e-05,4.7860e-06,5.3403e-08,,,,,,            6.7523,           15.0568,           21.5724,           29.4362,           75.4825,            3.7762,            9.0692,           -0.2997,           -0.8775,           36.8794,
Ref 6,3.73239e-08,,,,,,1.1982e-02,4.2130e-03,4.9065e-05,4.6478e-06,5.4055e-08,,,,,,,,,,,
Sam 6,3.43725e-08,1.20631e-02,4.2764e-03,5.0125e-05,4.7890e-06,5.2438e-08,,,,,,            6.7551,           15.0461,           21.6454,           30.6278,           21.8967,            3.7796,            9.0585,           -0.2208,            0.3002,          -14.7654,
Ref 7,3.67038e-08,,,,,,1.1982e-02,4.2130e-03,4.9061e-05,4.6455e-06,4.8528e-08,,,,,,,,,,,
Sam 7,3.37715e-08,1.20631e-02,4.2764e-03,5.0117e-05,4.7910e-06,4.8749e-08,,,,,,            6.7552,           15.0522,           21.4816,           31.1841,           16.4286,            3.7795,            9.0646,           -0.3871,            0.8281,          -20.0491,
Ref 8,3.60909e-08,,,,,,1.1982e-02,4.2130e-03,4.9064e-05,4.6466e-06,4.7385e-08,,,,,,,,,,,
Sam 8,3.31864e-08,1.20629e-02,4.2764e-03,5.0125e-05,4.7916e-06,4.9743e-08,,,,,,            6.7441,           15.0380,           21.5845,           31.2397,           64.3349,            3.7682,            9.0505,           -0.2613,            0.9100,           26.1781,
Ref 9,3.54971e-08,,,,,,1.1982e-02,4.2130e-03,4.9067e-05,4.6462e-06,4.6077e-08,,,,,,,,,,,
Sam 9,3.26173e-08,1.20629e-02,4.2764e-03,5.0131e-05,4.7933e-06,4.9778e-08,,,,,,            6.7474,           15.0495,           21.6625,           31.3216,           38.5679,            3.7713,            9.0619,           -0.1994,            0.9669,            1.3091,
Ref 10,3.49210e-08,,,,,,1.1982e-02,4.2130e-03,4.9068e-05,4.6494e-06,4.9813e-08,,,,,,,,,,,
Sam 10,3.20560e-08,1.20629e-02,4.2764e-03,5.0128e-05,4.7925e-06,5.4560e-08,,,,,,            6.7484,           15.0368,           21.6803,           30.9613,           85.9801,            3.7728,            9.0493,           -0.1708,            0.6421,           47.0450,
Ref 11,3.43511e-08,,,,,,1.1982e-02,4.2130e-03,4.9060e-05,4.6478e-06,5.0675e-08,,,,,,,,,,,
Sam 11,3.15147e-08,1.20628e-02,4.2764e-03,5.0126e-05,4.7913e-06,5.1872e-08,,,,,,            6.7397,           15.0293,           21.6870,           30.5234,           41.1963,            3.7637,            9.0419,           -0.1480,            0.2319,            3.8907,
Ref 12,3.37944e-08,,,,,,1.1982e-02,4.2131e-03,4.9063e-05,4.6510e-06,4.8949e-08,,,,,,,,,,,
Sam 12,3.09847e-08,1.20627e-02,4.2764e-03,5.0133e-05,4.7955e-06,5.7012e-08,,,,,,            6.7451,           15.0278,           21.6521,           31.2209,          133.9405,            3.7695,            9.0403,           -0.1862,            0.9120,           93.3090,
Ref 13,3.32565e-08,,,,,,1.1982e-02,4.2131e-03,4.9078e-05,4.6497e-06,5.1628e-08,,,,,,,,,,,
Sam 13,3.04647e-08,1.20627e-02,4.2763e-03,5.0128e-05,4.7922e-06,5.2309e-08,,,,,,            6.7551,           15.0127,           21.5851,           30.5865,            5.3684,            3.7808,            9.0253,           -0.2474,            0.3259,          -30.6381,
Ref 14,3.27185e-08,,,,,,1.1982e-02,4.2131e-03,4.9060e-05,4.6502e-06,5.2439e-08,,,,,,,,,,,
Sam 14,2.99608e-08,1.20627e-02,4.2763e-03,5.0131e-05,4.7897e-06,5.0790e-08,,,,,,            6.7472,           15.0168,           21.7928,           29.8698,            3.7289,            3.7722,            9.0294,           -0.0400,           -0.3779,          -32.2185,
Ref 15,3.22007e-08,,,,,,1.1982e-02,4.2130e-03,4.9064e-05,4.6514e-06,4.8734e-08,,,,,,,,,,,
Sam 15,2.94665e-08,1.20627e-02,4.2763e-03,5.0129e-05,4.7911e-06,5.2000e-08,,,,,,            6.7411,           15.0270,           21.6117,           30.1696,           70.8485,            3.7654,            9.0396,           -0.2210,           -0.1070,           32.4835,
Ref 16,3.16919e-08,,,,,,1.1982e-02,4.2130e-03,4.9073e-05,4.6502e-06,4.8382e-08,,,,,,,,,,,
Sam 16,2.89828e-08,1.20626e-02,4.2763e-03,5.0135e-05,4.7914e-06,5.7137e-08,,,,,,            6.7427,           15.0226,           21.6567,           30.0146,          104.0914,            3.7672,            9.0352,           -0.1743,           -0.2487,           64.5427,
Ref 17,3.11947e-08,,,,,,1.1982e-02,4.2130e-03,4.9072e-05,4.6534e-06,5.5172e-08,,,,,,,,,,,
Sam 17,2.85169e-08,1.20625e-02,4.2763e-03,5.0125e-05,4.7861e-06,5.7619e-08,,,,,,            6.7442,           15.0320,           21.4395,           28.5994,           96.0659,            3.7685,            9.0446,           -0.3975,           -1.6409,           56.7836,
Ref 18,3.07126e-08,,,,,,1.1982e-02,4.2130e-03,4.9074e-05,4.6527e-06,4.9925e-08,,,,,,,,,,,
Sam 18,2.80566e-08,1.20626e-02,4.2763e-03,5.0130e-05,4.7927e-06,5.3402e-08,,,,,,            6.7557,           15.0486,           21.5349,           30.1654,           11.6425,            3.7801,            9.0610,           -0.3319,           -0.1534,          -24.6570,
Ref 19,3.02338e-08,,,,,,1.1982e-02,4.2129e-03,4.9073e-05,4.6520e-06,5.5696e-08,,,,,,,,,,,
Sam 19,2.76041e-08,1.20625e-02,4.2762e-03,5.0127e-05,4.7934e-06,5.6862e-08,,,,,,            6.7465,           15.0232,           21.4535,           30.5085,           65.9345,            3.7713,            9.0357,           -0.3776,            0.2296,           27.7473,
Ref 20,2.97710e-08,,,,,,1.1982e-02,4.2129e-03,4.9076e-05,4.6509e-06,5.0957e-08,,,,,,,,,,,
Sam 20,2.71627e-08,1.20624e-02,4.2763e-03,5.0131e-05,4.7947e-06,5.3711e-08,,,,,,            6.7311,           15.0321,           21.5255,           30.8554,           88.7403,            3.7545,            9.0446,           -0.2999,            0.5487,           49.7352,
Ref 21,2.93208e-08,,,,,,1.1982e-02,4.2130e-03,4.9072e-05,4.6514e-06,4.7684e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.90984e-08,,,,,,1.1982e-02,4.2130e-03,4.9075e-05,4.6535e-06,5.0913e-08,
Sam 1,2.65165e-08,1.20624e-02,4.2763e-03,5.0139e-05,4.7886e-06,4.9437e-08,,,,,,            6.7390,           15.0352,           21.6715,           29.1452,           -8.2931,            3.7628,            9.0477,           -0.1682,           -1.1174,          -43.8356,
Ref 2,2.86600e-08,,,,,,1.1982e-02,4.2130e-03,4.9076e-05,4.6526e-06,4.8771e-08,,,,,,,,,,,
Sam 2,2.61005e-08,1.20624e-02,4.2763e-03,5.0126e-05,4.7926e-06,4.8614e-08,,,,,,            6.7415,           15.0297,           21.3371,           30.0556,           21.2644,            3.7657,            9.0422,           -0.4927,           -0.2229,          -15.3296,
Ref 3,2.82236e-08,,,,,,1.1982e-02,4.2130e-03,4.9081e-05,4.6530e-06,4.6415e-08,,,,,,,,,,,
Sam 3,2.56860e-08,1.20624e-02,4.2762e-03,5.0138e-05,4.7939e-06,5.2100e-08,,,,,,            6.7494,           15.0254,           21.6089,           30.7761,          147.1851,            3.7742,            9.0380,           -0.2306,            0.4848,          106.0789,
Ref 4,2.77961e-08,,,,,,1.1981e-02,4.2129e-03,4.9074e-05,4.6485e-06,4.4401e-08,,,,,,,,,,,
Sam 4,2.52825e-08,1.20623e-02,4.2762e-03,5.0132e-05,4.7961e-06,4.7556e-08,,,,,,            6.7510,           15.0171,           21.5312,           31.6890,           63.9744,            3.7762,            9.0297,           -0.3003,            1.3873,           25.8647,
Ref 5,2.73720e-08,,,,,,1.1981e-02,4.2129e-03,4.9077e-05,4.6491e-06,4.4998e-08,,,,,,,,,,,
Sam 5,2.48865e-08,1.20620e-02,4.2762e-03,5.0126e-05,4.7927e-06,5.1072e-08,,,,,,            6.7296,           15.0091,           21.3729,           30.9425,           73.8731,            3.7537,            9.0217,           -0.4255,            0.6786,           35.4483,
Ref 6,2.69615e-08,,,,,,1.1981e-02,4.2129e-03,4.9076e-05,4.6485e-06,5.0159e-08,,,,,,,,,,,
Sam 6,2.45041e-08,1.20621e-02,4.2762e-03,5.0131e-05,4.7960e-06,4.9242e-08,,,,,,            6.7409,           15.0175,           21.4804,           31.3805,           14.8977,            3.7655,            9.0301,           -0.3400,            1.0872,          -21.4444,
Ref 7,2.65581e-08,,,,,,1.1981e-02,4.2129e-03,4.9077e-05,4.6517e-06,4.6855e-08,,,,,,,,,,,
Sam 7,2.41298e-08,1.20621e-02,4.2761e-03,5.0135e-05,4.7951e-06,5.2007e-08,,,,,,            6.7459,           15.0095,           21.4511,           30.6951,           73.4628,            3.7711,            9.0221,           -0.3660,            0.4377,           35.0342,
Ref 8,2.61658e-08,,,,,,1.1981e-02,4.2129e-03,4.9087e-05,4.6529e-06,5.0065e-08,,,,,,,,,,,
Sam 8,2.37640e-08,1.20620e-02,4.2761e-03,5.0136e-05,4.8007e-06,5.7127e-08,,,,,,            6.7343,           15.0076,           21.5641,           31.2709,          128.1946,            3.7588,            9.0202,           -0.2418,            1.0004,           87.8239,
Ref 9,2.57775e-08,,,,,,1.1981e-02,4.2129e-03,4.9068e-05,4.6574e-06,5.1215e-08,,,,,,,,,,,
Sam 9,2.34053e-08,1.20621e-02,4.2761e-03,5.0132e-05,4.7943e-06,5.5924e-08,,,,,,            6.7499,           15.0077,           21.5301,           29.8335,           53.3409,            3.7754,            9.0204,           -0.2912,           -0.3952,           15.6316,
Ref 10,2.54028e-08,,,,,,1.1981e-02,4.2128e-03,4.9083e-05,4.6533e-06,5.4997e-08,,,,,,,,,,,
Sam 10,2.30594e-08,1.20617e-02,4.2760e-03,5.0134e-05,4.7971e-06,5.9360e-08,,,,,,            6.7258,           14.9936,           21.4944,           30.7313,           64.7762,            3.7502,            9.0064,           -0.2877,            0.5040,           26.7118,
Ref 11,2.50411e-08,,,,,,1.1981e-02,4.2128e-03,4.9075e-05,4.6550e-06,5.6512e-08,,,,,,,,,,,
Sam 11,2.27210e-08,1.20618e-02,4.2761e-03,5.0135e-05,4.7950e-06,5.9749e-08,,,,,,            6.7363,           15.0250,           21.5642,           30.3270,           83.6823,            3.7603,            9.0376,           -0.2605,            0.0497,           44.8669,
Ref 12,2.46837e-08,,,,,,1.1981e-02,4.2128e-03,4.9079e-05,4.6528e-06,5.3737e-08,,,,,,,,,,,
Sam 12,2.23907e-08,1.20617e-02,4.2760e-03,5.0138e-05,4.8007e-06,6.5406e-08,,,,,,            6.7390,           15.0082,           21.5577,           31.8084,          159.7944,            3.7638,            9.0209,           -0.2534,            1.5208,          118.2860,
Ref 13,2.43363e-08,,,,,,1.1981e-02,4.2127e-03,4.9081e-05,4.6526e-06,5.9090e-08,,,,,,,,,,,
Sam 13,2.20656e-08,1.20617e-02,4.2760e-03,5.0134e-05,4.7996e-06,6.0008e-08,,,,,,            6.7292,           15.0106,           21.4584,           30.5197,           36.9905,            3.7533,            9.0232,           -0.3429,            0.2652,           -0.1171,
Ref 14,2.39921e-08,,,,,,1.1981e-02,4.2127e-03,4.9082e-05,4.6623e-06,5.6628e-08,,,,,,,,,,,
Sam 14,2.17435e-08,1.20619e-02,4.2760e-03,5.0136e-05,4.8006e-06,6.1029e-08,,,,,,            6.7493,           15.0012,           21.4676,           30.8078,           97.4269,            3.7750,            9.0139,           -0.3454,            0.5633,           58.1534,
Ref 15,2.36547e-08,,,,,,1.1981e-02,4.2128e-03,4.9082e-05,4.6518e-06,5.4578e-08,,,,,,,,,,,
Sam 15,2.14248e-08,1.20617e-02,4.2759e-03,5.0131e-05,4.7966e-06,6.2229e-08,,,,,,            6.7426,           14.9979,           21.4546,           30.4238,          117.2281,            3.7680,            9.0106,           -0.3481,            0.1971,           77.2606,
Ref 16,2.33256e-08,,,,,,1.1981e-02,4.2127e-03,4.9074e-05,4.6583e-06,5.6836e-08,,,,,,,,,,,
Sam 16,2.11152e-08,1.20615e-02,4.2760e-03,5.0151e-05,4.8031e-06,6.4699e-08,,,,,,            6.7204,           15.0104,           21.7966,           31.0378,           92.1013,            3.7439,            9.0231,           -0.0027,            0.7685,           53.0319,
Ref 17,2.29995e-08,,,,,,1.1981e-02,4.2127e-03,4.9088e-05,4.6587e-06,6.1684e-08,,,,,,,,,,,
Sam 17,2.08096e-08,1.20616e-02,4.2759e-03,5.0147e-05,4.7958e-06,6.9533e-08,,,,,,            6.7324,           14.9880,           21.5380,           29.0820,           94.3657,            3.7574,            9.0007,           -0.2463,           -1.0857,           55.2478,
Ref 18,2.26794e-08,,,,,,1.1981e-02,4.2127e-03,4.9092e-05,4.6618e-06,6.5417e-08,,,,,,,,,,,
Sam 18,2.05105e-08,1.20618e-02,4.2759e-03,5.0142e-05,4.8082e-06,7.3503e-08,,,,,,            6.7488,           14.9926,           21.3570,           31.7923,          131.8742,            3.7747,            9.0053,           -0.4447,            1.5359,           91.3868,
Ref 19,2.23661e-08,,,,,,1.1981e-02,4.2127e-03,4.9094e-05,4.6583e-06,6.4454e-08,,,,,,,,,,,
Sam 19,2.02190e-08,1.20617e-02,4.2760e-03,5.0138e-05,4.8004e-06,7.3979e-08,,,,,,            6.7449,           15.0119,           21.4061,           29.7858,           94.0704,            3.7699,            9.0245,           -0.4115,           -0.4498,           54.9000,
Ref 20,2.20583e-08,,,,,,1.1981e-02,4.2127e-03,4.9081e-05,4.6649e-06,7.0826e-08,,,,,,,,,,,
Sam 20,1.99333e-08,1.20616e-02,4.2759e-03,5.0135e-05,4.7988e-06,7.9426e-08,,,,,,            6.7396,           15.0149,           21.4341,           29.4388,           68.3765,            3.7642,            9.0275,           -0.3815,           -0.7925,           30.1259,
Ref 21,2.17562e-08,,,,,,1.1981e-02,4.2126e-03,4.9085e-05,4.6583e-06,7.7908e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.16065e-08,,,,,,1.1981e-02,4.2127e-03,4.9085e-05,4.6627e-06,7.7934e-08,
Sam 1,1.95141e-08,1.20616e-02,4.2759e-03,5.0128e-05,4.8006e-06,8.1874e-08,,,,,,            6.7480,           15.0059,           21.3195,           29.7941,           83.8728,            3.7734,            9.0185,           -0.4934,           -0.4298,           45.0764,
Ref 2,2.13129e-08,,,,,,1.1981e-02,4.2127e-03,4.9078e-05,4.6607e-06,7.3110e-08,,,,,,,,,,,
Sam 2,1.92439e-08,1.20614e-02,4.2759e-03,5.0144e-05,4.8022e-06,7.7458e-08,,,,,,            6.7435,           15.0100,           21.6394,           30.0608,           71.0807,            3.7685,            9.0226,           -0.1798,           -0.1790,           32.7388,
Ref 3,2.10258e-08,,,,,,1.1980e-02,4.2126e-03,4.9085e-05,4.6634e-06,7.1514e-08,,,,,,,,,,,
Sam 3,1.89794e-08,1.20612e-02,4.2758e-03,5.0141e-05,4.8040e-06,7.7915e-08,,,,,,            6.7297,           14.9929,           21.5142,           30.0564,           53.1452,            3.7544,            9.0056,           -0.2716,           -0.1495,           15.4940,
Ref 4,2.07438e-08,,,,,,1.1981e-02,4.2127e-03,4.9084e-05,4.6642e-06,7.6486e-08,,,,,,,,,,,
Sam 4,1.87183e-08,1.20612e-02,4.2759e-03,5.0137e-05,4.8063e-06,7.9690e-08,,,,,,            6.7197,           15.0097,           21.4100,           30.2389,           50.2050,            3.7432,            9.0224,           -0.3797,           -0.0056,           12.6364,
Ref 5,2.04645e-08,,,,,,1.1981e-02,4.2126e-03,4.9088e-05,4.6663e-06,7.5267e-08,,,,,,,,,,,
Sam 5,1.84616e-08,1.20613e-02,4.2759e-03,5.0152e-05,4.8036e-06,8.1835e-08,,,,,,            6.7254,           15.0156,           21.6421,           30.0596,           64.5259,            3.7490,            9.0283,           -0.1641,           -0.1913,           26.4272,
Ref 6,2.01926e-08,,,,,,1.1981e-02,4.2126e-03,4.9092e-05,4.6605e-06,7.8503e-08,,,,,,,,,,,
Sam 6,1.82105e-08,1.20613e-02,4.2758e-03,5.0146e-05,4.8106e-06,8.2865e-08,,,,,,            6.7322,           15.0005,           21.5558,           31.6561,          127.0141,            3.7568,            9.0132,           -0.2409,            1.3881,           86.7030,
Ref 7,1.99230e-08,,,,,,1.1980e-02,4.2126e-03,4.9083e-05,4.6656e-06,6.8481e-08,,,,,,,,,,,
Sam 7,1.79612e-08,1.20610e-02,4.2757e-03,5.0147e-05,4.8092e-06,7.8231e-08,,,,,,            6.7242,           14.9916,           21.6711,           30.1501,           42.3052,            3.7485,            9.0044,           -0.1112,           -0.0561,            5.0498,
Ref 8,1.96587e-08,,,,,,1.1980e-02,4.2125e-03,4.9083e-05,4.6713e-06,8.1718e-08,,,,,,,,,,,
Sam 8,1.77213e-08,1.20610e-02,4.2756e-03,5.0142e-05,4.8118e-06,9.0823e-08,,,,,,            6.7325,           14.9823,           21.4774,           30.5888,           76.0255,            3.7577,            8.9951,           -0.3002,            0.3882,           37.5745,
Ref 9,1.94020e-08,,,,,,1.1980e-02,4.2125e-03,4.9092e-05,4.6667e-06,8.7131e-08,,,,,,,,,,,
Sam 9,1.74845e-08,1.20610e-02,4.2757e-03,5.0145e-05,4.8116e-06,9.3924e-08,,,,,,            6.7358,           15.0032,           21.4762,           30.8976,          125.9105,            3.7605,            9.0159,           -0.3250,            0.6465,           85.6290,
Ref 10,1.91491e-08,,,,,,1.1980e-02,4.2125e-03,4.9089e-05,4.6681e-06,7.9662e-08,,,,,,,,,,,
Sam 10,1.72536e-08,1.20608e-02,4.2756e-03,5.0142e-05,4.8076e-06,8.8849e-08,,,,,,            6.7289,           14.9955,           21.5286,           29.6754,          103.1235,            3.7535,            9.0082,           -0.2592,           -0.5245,           63.6810,
Ref 11,1.88988e-08,,,,,,1.1980e-02,4.2125e-03,4.9083e-05,4.6699e-06,8.1437e-08,,,,,,,,,,,
Sam 11,1.70243e-08,1.20611e-02,4.2756e-03,5.0150e-05,4.8105e-06,1.0019e-07,,,,,,            6.7500,           14.9965,           21.6053,           30.0745,          193.8166,            3.7758,            9.0092,           -0.2067,           -0.1392,          151.1032,
Ref 12,1.86532e-08,,,,,,1.1980e-02,4.2125e-03,4.9096e-05,4.6702e-06,8.6449e-08,,,,,,,,,,,
Sam 12,1.67993e-08,1.20609e-02,4.2757e-03,5.0144e-05,4.8099e-06,9.2817e-08,,,,,,            6.7224,           15.0009,           21.4463,           30.1175,           53.3451,            3.7463,            9.0137,           -0.3384,           -0.1062,           15.6786,
Ref 13,1.84119e-08,,,,,,1.1980e-02,4.2125e-03,4.9087e-05,4.6683e-06,8.9806e-08,,,,,,,,,,,
Sam 13,1.65793e-08,1.20608e-02,4.2756e-03,5.0149e-05,4.8123e-06,9.8287e-08,,,,,,            6.7194,           14.9717,           21.5821,           30.8652,           97.2367,            3.7442,            8.9846,           -0.1742,            0.6772,           58.0639,
Ref 14,1.81765e-08,,,,,,1.1980e-02,4.2125e-03,4.9093e-05,4.6682e-06,8.9345e-08,,,,,,,,,,,
Sam 14,1.63625e-08,1.20609e-02,4.2756e-03,5.0143e-05,4.8072e-06,9.7382e-08,,,,,,            6.7363,           15.0001,           21.3672,           30.2379,          100.4487,            3.7612,            9.0128,           -0.4292,            0.0125,           61.0840,
Ref 15,1.79428e-08,,,,,,1.1980e-02,4.2124e-03,4.9095e-05,4.6639e-06,8.7629e-08,,,,,,,,,,,
Sam 15,1.61467e-08,1.20607e-02,4.2755e-03,5.0154e-05,4.8128e-06,9.8506e-08,,,,,,            6.7326,           14.9820,           21.7084,           30.9302,          114.6876,            3.7579,            8.9948,           -0.0741,            0.7200,           74.8552,
Ref 16,1.77164e-08,,,,,,1.1980e-02,4.2124e-03,4.9081e-05,4.6729e-06,8.9123e-08,,,,,,,,,,,
Sam 16,1.59418e-08,1.20606e-02,4.2756e-03,5.0161e-05,4.8169e-06,9.3424e-08,,,,,,            6.7210,           15.0032,           21.7533,           30.9588,           87.2163,            3.7447,            9.0159,           -0.0387,            0.7060,           48.3356,
Ref 17,1.74912e-08,,,,,,1.1980e-02,4.2125e-03,4.9105e-05,4.6716e-06,8.2695e-08,,,,,,,,,,,
Sam 17,1.57350e-08,1.20608e-02,4.2756e-03,5.0161e-05,4.8066e-06,8.7583e-08,,,,,,            6.7375,           15.0026,           21.6356,           28.6382,           44.3691,            3.7624,            9.0153,           -0.1703,           -1.5454,            7.0043,
Ref 18,1.72687e-08,,,,,,1.1980e-02,4.2124e-03,4.9091e-05,4.6741e-06,8.5044e-08,,,,,,,,,,,
Sam 18,1.55324e-08,1.20607e-02,4.2756e-03,5.0151e-05,4.8228e-06,9.1535e-08,,,,,,            6.7368,           14.9929,           21.4812,           32.6616,           56.9870,            3.7619,            9.0057,           -0.3112,            2.3791,           19.1906,
Ref 19,1.70509e-08,,,,,,1.1980e-02,4.2124e-03,4.9102e-05,4.6664e-06,8.8175e-08,,,,,,,,,,,
Sam 19,1.53332e-08,1.20605e-02,4.2755e-03,5.0158e-05,4.8190e-06,9.7342e-08,,,,,,            6.7114,           14.9767,           21.5994,           32.4752,           61.3434,            3.7355,            8.9895,           -0.1538,            2.2303,           23.4509,
Ref 20,1.68362e-08,,,,,,1.1980e-02,4.2124e-03,4.9092e-05,4.6685e-06,9.5301e-08,,,,,,,,,,,
Sam 20,1.51381e-08,1.20607e-02,4.2756e-03,5.0151e-05,4.8125e-06,1.0248e-07,,,,,,            6.7427,           15.0123,           21.4929,           29.7441,           65.6607,            3.7676,            9.0250,           -0.3246,           -0.4910,           27.5091,
Ref 21,1.66254e-08,,,,,,1.1980e-02,4.2124e-03,4.9099e-05,4.6785e-06,9.7047e-08,,,,,,,,,,,


