Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 17, 2023 at 14:15 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 17, 2023 at 15:14 with Stable 1.71.5 on PS019

Data File = Data_19643 ETH-3.txt,         Sample Weight = 418,                      Vial Location = 35,                       Initial Sam Beam = 8.3989e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.9564e-08,                Max Ref Beam = 1.0614e-07,                

Analysis undertaken at mass 46.04836
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.33672e-08,,,,,,1.1982e-02,4.2121e-03,4.9041e-05,4.6426e-06,4.7874e-08,
Sam 1,5.15241e-08,1.20352e-02,4.2623e-03,4.9834e-05,4.7536e-06,4.8327e-08,,,,,,            4.4259,           11.8964,           16.0976,           23.8819,           26.4883,            1.4092,            5.9292,           -0.2206,           -0.0512,           -1.8148,
Ref 2,5.16243e-08,,,,,,1.1982e-02,4.2124e-03,4.9048e-05,4.6428e-06,4.6259e-08,,,,,,,,,,,
Sam 2,4.97131e-08,1.20354e-02,4.2625e-03,4.9835e-05,4.7508e-06,4.6616e-08,,,,,,            4.4191,           11.8708,           16.0284,           23.2933,           -6.3746,            1.4029,            5.9038,           -0.2568,           -0.5755,          -33.7165,
Ref 3,4.99810e-08,,,,,,1.1983e-02,4.2126e-03,4.9050e-05,4.6425e-06,4.7593e-08,,,,,,,,,,,
Sam 3,4.79907e-08,1.20355e-02,4.2626e-03,4.9842e-05,4.7549e-06,4.8453e-08,,,,,,            4.4181,           11.8534,           16.1274,           23.9396,           11.1975,            1.4024,            5.8864,           -0.1414,            0.0902,          -16.5936,
Ref 4,4.84073e-08,,,,,,1.1983e-02,4.2127e-03,4.9051e-05,4.6450e-06,4.8250e-08,,,,,,,,,,,
Sam 4,4.63511e-08,1.20356e-02,4.2627e-03,4.9842e-05,4.7557e-06,4.7687e-08,,,,,,            4.4204,           11.8617,           16.1296,           24.0884,           30.1448,            1.4046,            5.8946,           -0.1496,            0.2191,            1.8143,
Ref 5,4.69037e-08,,,,,,1.1983e-02,4.2127e-03,4.9051e-05,4.6426e-06,4.4269e-08,,,,,,,,,,,
Sam 5,4.47864e-08,1.20356e-02,4.2628e-03,4.9845e-05,4.7537e-06,4.5292e-08,,,,,,            4.4162,           11.8716,           16.0958,           23.6117,           36.1513,            1.3997,            5.9045,           -0.1882,           -0.2661,            7.6408,
Ref 6,4.54572e-08,,,,,,1.1983e-02,4.2128e-03,4.9060e-05,4.6454e-06,4.3137e-08,,,,,,,,,,,
Sam 6,4.32889e-08,1.20356e-02,4.2629e-03,4.9843e-05,4.7546e-06,4.2877e-08,,,,,,            4.4114,           11.8807,           15.9326,           23.3845,           -5.5491,            1.3943,            5.9136,           -0.3527,           -0.5059,          -32.9245,
Ref 7,4.40742e-08,,,,,,1.1983e-02,4.2129e-03,4.9063e-05,4.6465e-06,4.3095e-08,,,,,,,,,,,
Sam 7,4.18612e-08,1.20355e-02,4.2629e-03,4.9846e-05,4.7525e-06,4.5198e-08,,,,,,            4.4100,           11.8550,           15.9668,           23.3820,           74.6651,            1.3938,            5.8880,           -0.2927,           -0.4575,           45.1354,
Ref 8,4.27486e-08,,,,,,1.1983e-02,4.2129e-03,4.9062e-05,4.6411e-06,4.0988e-08,,,,,,,,,,,
Sam 8,4.04928e-08,1.20356e-02,4.2630e-03,4.9857e-05,4.7543e-06,4.2000e-08,,,,,,            4.4194,           11.8710,           16.2118,           24.0707,           15.0978,            1.4032,            5.9039,           -0.0768,            0.1834,          -12.8357,
Ref 9,4.14690e-08,,,,,,1.1983e-02,4.2130e-03,4.9062e-05,4.6439e-06,4.1775e-08,,,,,,,,,,,
Sam 9,3.91775e-08,1.20356e-02,4.2630e-03,4.9846e-05,4.7548e-06,4.2328e-08,,,,,,            4.4188,           11.8775,           16.0484,           23.9125,           27.8546,            1.4023,            5.9104,           -0.2433,            0.0161,           -0.4420,
Ref 10,4.02410e-08,,,,,,1.1983e-02,4.2130e-03,4.9056e-05,4.6436e-06,4.0570e-08,,,,,,,,,,,
Sam 10,3.79239e-08,1.20355e-02,4.2631e-03,4.9851e-05,4.7521e-06,4.3737e-08,,,,,,            4.4172,           11.8830,           16.0516,           23.3808,           52.1922,            1.4004,            5.9159,           -0.2438,           -0.5141,           23.2164,
Ref 11,3.90623e-08,,,,,,1.1983e-02,4.2130e-03,4.9071e-05,4.6434e-06,4.2595e-08,,,,,,,,,,,
Sam 11,3.67164e-08,1.20354e-02,4.2630e-03,4.9852e-05,4.7539e-06,4.6081e-08,,,,,,            4.4139,           11.8620,           16.0123,           23.7773,           92.0476,            1.3977,            5.8950,           -0.2587,           -0.0854,           62.0212,
Ref 12,3.79303e-08,,,,,,1.1982e-02,4.2130e-03,4.9062e-05,4.6435e-06,4.1787e-08,,,,,,,,,,,
Sam 12,3.55597e-08,1.20353e-02,4.2630e-03,4.9856e-05,4.7550e-06,4.6187e-08,,,,,,            4.4174,           11.8504,           16.1797,           23.6859,           83.2056,            1.4018,            5.8834,           -0.0863,           -0.1516,           53.4423,
Ref 13,3.68419e-08,,,,,,1.1982e-02,4.2130e-03,4.9062e-05,4.6464e-06,4.3517e-08,,,,,,,,,,,
Sam 13,3.44461e-08,1.20352e-02,4.2630e-03,4.9842e-05,4.7507e-06,4.2822e-08,,,,,,            4.4065,           11.8599,           15.8260,           22.5595,           -7.1373,            1.3898,            5.8929,           -0.4323,           -1.2706,          -34.4248,
Ref 14,3.57958e-08,,,,,,1.1982e-02,4.2131e-03,4.9068e-05,4.6454e-06,4.2731e-08,,,,,,,,,,,
Sam 14,3.33777e-08,1.20352e-02,4.2630e-03,4.9848e-05,4.7538e-06,4.1749e-08,,,,,,            4.4051,           11.8419,           15.9704,           23.7868,            7.4086,            1.3889,            5.8751,           -0.2713,           -0.0364,          -20.2431,
Ref 15,3.47894e-08,,,,,,1.1982e-02,4.2131e-03,4.9060e-05,4.6412e-06,4.0117e-08,,,,,,,,,,,
Sam 15,3.23572e-08,1.20352e-02,4.2630e-03,4.9854e-05,4.7517e-06,4.0723e-08,,,,,,            4.4105,           11.8409,           16.1968,           23.6010,           21.5542,            1.3947,            5.8740,           -0.0531,           -0.2159,           -6.4895,
Ref 16,3.38182e-08,,,,,,1.1982e-02,4.2131e-03,4.9060e-05,4.6432e-06,3.9603e-08,,,,,,,,,,,
Sam 16,3.13773e-08,1.20351e-02,4.2630e-03,4.9851e-05,4.7538e-06,4.0399e-08,,,,,,            4.4143,           11.8601,           16.1197,           24.1090,           58.7252,            1.3981,            5.8931,           -0.1514,            0.2425,           29.6187,
Ref 17,3.28793e-08,,,,,,1.1982e-02,4.2130e-03,4.9061e-05,4.6405e-06,3.6672e-08,,,,,,,,,,,
Sam 17,3.04402e-08,1.20351e-02,4.2630e-03,4.9850e-05,4.7560e-06,3.8618e-08,,,,,,            4.4162,           11.8633,           16.0563,           24.5515,           45.1543,            1.4000,            5.8962,           -0.2189,            0.6683,           16.4125,
Ref 18,3.19791e-08,,,,,,1.1982e-02,4.2130e-03,4.9063e-05,4.6436e-06,3.7234e-08,,,,,,,,,,,
Sam 18,2.95442e-08,1.20350e-02,4.2629e-03,4.9852e-05,4.7541e-06,3.8687e-08,,,,,,            4.4203,           11.8428,           16.0620,           23.5862,           65.3114,            1.4051,            5.8758,           -0.1976,           -0.2340,           36.0521,
Ref 19,3.11111e-08,,,,,,1.1982e-02,4.2131e-03,4.9065e-05,4.6455e-06,3.5371e-08,,,,,,,,,,,
Sam 19,2.86837e-08,1.20348e-02,4.2630e-03,4.9851e-05,4.7505e-06,4.1394e-08,,,,,,            4.4198,           11.8418,           15.9406,           22.8488,          154.9911,            1.4046,            5.8748,           -0.3156,           -0.9523,          123.2714,
Ref 20,3.02730e-08,,,,,,1.1982e-02,4.2131e-03,4.9073e-05,4.6433e-06,3.6320e-08,,,,,,,,,,,
Sam 20,2.78620e-08,1.20347e-02,4.2629e-03,4.9852e-05,4.7511e-06,3.4393e-08,,,,,,            4.4115,           11.8359,           15.9721,           23.7678,            0.7173,            1.3960,            5.8691,           -0.2705,           -0.0431,          -26.7460,
Ref 21,2.94710e-08,,,,,,1.1982e-02,4.2131e-03,4.9064e-05,4.6382e-06,3.2364e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.90806e-08,,,,,,1.1982e-02,4.2130e-03,4.9068e-05,4.6414e-06,3.2171e-08,
Sam 1,2.66888e-08,1.20347e-02,4.2629e-03,4.9847e-05,4.7510e-06,3.3627e-08,,,,,,            4.4050,           11.8414,           15.9046,           23.9497,           19.8071,            1.3888,            5.8745,           -0.3355,            0.1237,           -8.1838,
Ref 2,2.83206e-08,,,,,,1.1982e-02,4.2130e-03,4.9065e-05,4.6384e-06,3.3799e-08,,,,,,,,,,,
Sam 2,2.59454e-08,1.20346e-02,4.2629e-03,4.9846e-05,4.7515e-06,3.3391e-08,,,,,,            4.4096,           11.8512,           15.9217,           23.9016,           70.2839,            1.3934,            5.8843,           -0.3329,            0.0573,           40.8825,
Ref 3,2.75842e-08,,,,,,1.1982e-02,4.2130e-03,4.9065e-05,4.6429e-06,2.8529e-08,,,,,,,,,,,
Sam 3,2.52313e-08,1.20344e-02,4.2628e-03,4.9844e-05,4.7490e-06,2.7030e-08,,,,,,            4.4051,           11.8272,           15.9398,           23.0735,          -98.7534,            1.3894,            5.8604,           -0.2871,           -0.7040,         -123.4659,
Ref 4,2.68801e-08,,,,,,1.1982e-02,4.2129e-03,4.9058e-05,4.6409e-06,3.1492e-08,,,,,,,,,,,
Sam 4,2.45469e-08,1.20345e-02,4.2629e-03,4.9852e-05,4.7504e-06,2.8118e-08,,,,,,            4.4181,           11.8546,           16.0957,           23.0674,          -68.2536,            1.4024,            5.8876,           -0.1737,           -0.7641,          -93.8633,
Ref 5,2.61983e-08,,,,,,1.1982e-02,4.2129e-03,4.9067e-05,4.6457e-06,2.8830e-08,,,,,,,,,,,
Sam 5,2.38851e-08,1.20343e-02,4.2628e-03,4.9861e-05,4.7536e-06,2.3455e-08,,,,,,            4.4051,           11.8319,           16.1375,           24.2176,         -231.1590,            1.3893,            5.8650,           -0.0972,            0.4043,         -252.2476,
Ref 6,2.55402e-08,,,,,,1.1981e-02,4.2129e-03,4.9073e-05,4.6365e-06,3.2227e-08,,,,,,,,,,,
Sam 6,2.32511e-08,1.20343e-02,4.2627e-03,4.9849e-05,4.7533e-06,2.2649e-08,,,,,,            4.4127,           11.8195,           15.9571,           25.0615,         -197.3627,            1.3978,            5.8527,           -0.2704,            1.2530,         -219.3659,
Ref 7,2.49080e-08,,,,,,1.1981e-02,4.2129e-03,4.9060e-05,4.6376e-06,2.4107e-08,,,,,,,,,,,
Sam 7,2.26380e-08,1.20342e-02,4.2627e-03,4.9846e-05,4.7483e-06,1.9858e-08,,,,,,            4.4170,           11.8361,           16.0062,           23.9807,         -143.8038,            1.4019,            5.8692,           -0.2427,            0.1645,         -167.3059,
Ref 8,2.42962e-08,,,,,,1.1981e-02,4.2128e-03,4.9062e-05,4.6366e-06,2.2256e-08,,,,,,,,,,,
Sam 8,2.20478e-08,1.20340e-02,4.2627e-03,4.9846e-05,4.7470e-06,2.1427e-08,,,,,,            4.4017,           11.8376,           15.9624,           24.0417,          -43.1784,            1.3855,            5.8708,           -0.2715,            0.2211,          -69.4303,
Ref 9,2.37085e-08,,,,,,1.1981e-02,4.2128e-03,4.9064e-05,4.6344e-06,2.2536e-08,,,,,,,,,,,
Sam 9,2.14797e-08,1.20340e-02,4.2626e-03,4.9854e-05,4.7488e-06,1.5559e-08,,,,,,            4.4008,           11.8276,           16.2389,           24.8058,         -192.8764,            1.3848,            5.8608,            0.0112,            0.9872,         -215.0051,
Ref 10,2.31352e-08,,,,,,1.1981e-02,4.2128e-03,4.9051e-05,4.6334e-06,1.5937e-08,,,,,,,,,,,
Sam 10,2.09276e-08,1.20341e-02,4.2626e-03,4.9846e-05,4.7436e-06,1.3295e-08,,,,,,            4.4051,           11.8320,           16.1567,           23.4822,         -260.7865,            1.3893,            5.8652,           -0.0784,           -0.3144,         -281.0627,
Ref 11,2.25787e-08,,,,,,1.1981e-02,4.2128e-03,4.9055e-05,4.6362e-06,2.0084e-08,,,,,,,,,,,
Sam 11,2.03958e-08,1.20342e-02,4.2626e-03,4.9842e-05,4.7464e-06,1.7920e-08,,,,,,            4.4226,           11.8227,           15.9425,           24.0331,          -65.0612,            1.4083,            5.8559,           -0.2981,            0.2422,          -90.7066,
Ref 12,2.20429e-08,,,,,,1.1981e-02,4.2128e-03,4.9065e-05,4.6338e-06,1.8228e-08,,,,,,,,,,,
Sam 12,1.98845e-08,1.20339e-02,4.2626e-03,4.9843e-05,4.7401e-06,1.8489e-08,,,,,,            4.4082,           11.8285,           15.9014,           22.5913,           49.5938,            1.3927,            5.8617,           -0.3294,           -1.1776,           20.8074,
Ref 13,2.15257e-08,,,,,,1.1981e-02,4.2127e-03,4.9060e-05,4.6369e-06,1.6988e-08,,,,,,,,,,,
Sam 13,1.93872e-08,1.20338e-02,4.2625e-03,4.9839e-05,4.7491e-06,1.1640e-08,,,,,,            4.4068,           11.8120,           15.9324,           24.4189,         -167.4544,            1.3918,            5.8452,           -0.2813,            0.6402,         -190.2606,
Ref 14,2.10255e-08,,,,,,1.1981e-02,4.2127e-03,4.9056e-05,4.6348e-06,1.0903e-08,,,,,,,,,,,
Sam 14,1.89087e-08,1.20338e-02,4.2624e-03,4.9843e-05,4.7421e-06,7.0832e-09,,,,,,            4.3992,           11.7967,           15.9567,           23.4227,         -389.5114,            1.3842,            5.8301,           -0.2347,           -0.3027,         -406.2122,
Ref 15,2.05395e-08,,,,,,1.1981e-02,4.2127e-03,4.9066e-05,4.6323e-06,1.2319e-08,,,,,,,,,,,
Sam 15,1.84441e-08,1.20339e-02,4.2625e-03,4.9836e-05,4.7502e-06,1.0761e-08,,,,,,            4.4195,           11.8250,           15.7813,           24.8556,         -345.1566,            1.4049,            5.8581,           -0.4557,            1.0411,         -363.1195,
Ref 16,2.00686e-08,,,,,,1.1981e-02,4.2127e-03,4.9057e-05,4.6379e-06,2.0645e-08,,,,,,,,,,,
Sam 16,1.79947e-08,1.20336e-02,4.2624e-03,4.9837e-05,4.7357e-06,1.0424e-08,,,,,,            4.4059,           11.8133,           15.8993,           21.1762,         -391.9080,            1.3907,            5.8465,           -0.3142,           -2.5297,         -408.5665,
Ref 17,1.96126e-08,,,,,,1.1981e-02,4.2126e-03,4.9057e-05,4.6371e-06,1.3557e-08,,,,,,,,,,,
Sam 17,1.75611e-08,1.20336e-02,4.2624e-03,4.9844e-05,4.7417e-06,1.3828e-08,,,,,,            4.4055,           11.8274,           16.0092,           22.6892,          228.1896,            1.3898,            5.8606,           -0.2194,           -1.0798,          194.5111,
Ref 18,1.91720e-08,,,,,,1.1981e-02,4.2126e-03,4.9060e-05,4.6358e-06,8.9071e-09,,,,,,,,,,,
Sam 18,1.71408e-08,1.20336e-02,4.2623e-03,4.9826e-05,4.7450e-06,1.5596e-08,,,,,,            4.4101,           11.8091,           15.6230,           23.4471,          241.7238,            1.3954,            5.8424,           -0.5865,           -0.3034,          207.7110,
Ref 19,1.87403e-08,,,,,,1.1981e-02,4.2126e-03,4.9059e-05,4.6368e-06,1.6297e-08,,,,,,,,,,,
Sam 19,1.67335e-08,1.20334e-02,4.2624e-03,4.9833e-05,4.7436e-06,1.3058e-08,,,,,,            4.3982,           11.8169,           15.8785,           23.6633,         -287.0911,            1.3825,            5.8501,           -0.3304,           -0.1075,         -306.6203,
Ref 20,1.83268e-08,,,,,,1.1981e-02,4.2126e-03,4.9049e-05,4.6310e-06,2.0382e-08,,,,,,,,,,,
Sam 20,1.63424e-08,1.20332e-02,4.2622e-03,4.9844e-05,4.7447e-06,1.7299e-08,,,,,,            4.3963,           11.8040,           16.1275,           24.1340,          -61.8046,            1.3809,            5.8373,           -0.0709,            0.3776,          -87.4807,
Ref 21,1.79238e-08,,,,,,1.1980e-02,4.2125e-03,4.9057e-05,4.6349e-06,1.6451e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.77269e-08,,,,,,1.1981e-02,4.2125e-03,4.9053e-05,4.6386e-06,1.2548e-08,
Sam 1,1.57745e-08,1.20334e-02,4.2623e-03,4.9837e-05,4.7482e-06,1.9645e-08,,,,,,            4.4096,           11.8131,           15.9475,           24.3314,          350.3956,            1.3947,            5.8464,           -0.2705,            0.5525,          313.3967,
Ref 2,1.73416e-08,,,,,,1.1980e-02,4.2125e-03,4.9056e-05,4.6321e-06,1.6591e-08,,,,,,,,,,,
Sam 2,1.54155e-08,1.20335e-02,4.2622e-03,4.9832e-05,4.7407e-06,1.1971e-08,,,,,,            4.4155,           11.8091,           15.8930,           23.2855,          -44.5112,            1.4011,            5.8424,           -0.3263,           -0.4612,          -70.6887,
Ref 3,1.69702e-08,,,,,,1.1981e-02,4.2125e-03,4.9048e-05,4.6335e-06,8.3771e-09,,,,,,,,,,,
Sam 3,1.50638e-08,1.20331e-02,4.2622e-03,4.9840e-05,4.7438e-06,4.1426e-09,,,,,,            4.3877,           11.8051,           16.0904,           23.8752,         -611.6614,            1.3717,            5.8384,           -0.0996,            0.1227,         -622.2865,
Ref 4,1.66060e-08,,,,,,1.1980e-02,4.2124e-03,4.9053e-05,4.6329e-06,1.3008e-08,,,,,,,,,,,
Sam 4,1.47218e-08,1.20331e-02,4.2623e-03,4.9835e-05,4.7410e-06,1.8268e-08,,,,,,            4.3932,           11.8485,           15.9323,           23.0876,          125.2892,            1.3760,            5.8816,           -0.3030,           -0.7323,           94.4017,
Ref 5,1.62510e-08,,,,,,1.1980e-02,4.2123e-03,4.9053e-05,4.6351e-06,1.9531e-08,,,,,,,,,,,
Sam 5,1.43902e-08,1.20329e-02,4.2621e-03,4.9819e-05,4.7378e-06,2.0441e-08,,,,,,            4.3844,           11.8080,           15.6677,           22.0105,          413.4020,            1.3681,            5.8413,           -0.5150,           -1.7044,          374.7272,
Ref 6,1.59080e-08,,,,,,1.1980e-02,4.2124e-03,4.9047e-05,4.6364e-06,9.2847e-09,,,,,,,,,,,
Sam 6,1.40698e-08,1.20330e-02,4.2621e-03,4.9843e-05,4.7408e-06,9.2521e-09,,,,,,            4.3987,           11.7989,           16.0599,           22.8920,          -21.5818,            1.3837,            5.8323,           -0.1350,           -0.8255,          -48.3518,
Ref 7,1.55769e-08,,,,,,1.1980e-02,4.2124e-03,4.9064e-05,4.6330e-06,9.6312e-09,,,,,,,,,,,
Sam 7,1.37591e-08,1.20330e-02,4.2621e-03,4.9838e-05,4.7448e-06,1.0332e-08,,,,,,            4.4152,           11.7967,           15.9624,           24.3930,         -120.3234,            1.4013,            5.8300,           -0.2456,            0.6451,         -144.4030,
Ref 8,1.52535e-08,,,,,,1.1980e-02,4.2124e-03,4.9045e-05,4.6307e-06,1.3903e-08,,,,,,,,,,,
Sam 8,1.34565e-08,1.20328e-02,4.2620e-03,4.9841e-05,4.7362e-06,1.7461e-08,,,,,,            4.3925,           11.7733,           16.1422,           23.5304,          201.3779,            1.3779,            5.8067,           -0.0226,           -0.1512,          168.5736,
Ref 9,1.49382e-08,,,,,,1.1980e-02,4.2123e-03,4.9053e-05,4.6239e-06,1.5178e-08,,,,,,,,,,,
Sam 9,1.31617e-08,1.20328e-02,4.2620e-03,4.9825e-05,4.7351e-06,1.3029e-08,,,,,,            4.4023,           11.7905,           15.8427,           23.2191,         -216.7706,            1.3877,            5.8238,           -0.3441,           -0.4892,         -238.1903,
Ref 10,1.46330e-08,,,,,,1.1980e-02,4.2123e-03,4.9044e-05,4.6316e-06,1.8122e-08,,,,,,,,,,,
Sam 10,1.28776e-08,1.20327e-02,4.2619e-03,4.9838e-05,4.7351e-06,1.0803e-08,,,,,,            4.4021,           11.7730,           16.2397,           22.8559,         -531.7877,            1.3882,            5.8064,            0.0638,           -0.8095,         -544.5767,
Ref 11,1.43359e-08,,,,,,1.1980e-02,4.2123e-03,4.9040e-05,4.6269e-06,2.8127e-08,,,,,,,,,,,
Sam 11,1.26007e-08,1.20328e-02,4.2620e-03,4.9825e-05,4.7403e-06,3.7137e-08,,,,,,            4.4017,           11.7967,           15.8690,           24.2279,          408.1475,            1.3869,            5.8301,           -0.3237,            0.4839,          369.6213,
Ref 12,1.40458e-08,,,,,,1.1980e-02,4.2123e-03,4.9053e-05,4.6295e-06,2.4583e-08,,,,,,,,,,,
Sam 12,1.23318e-08,1.20326e-02,4.2619e-03,4.9812e-05,4.7452e-06,1.1136e-08,,,,,,            4.3947,           11.7945,           15.5263,           25.2712,         -413.4473,            1.3796,            5.8278,           -0.6516,            1.5074,         -429.4882,
Ref 13,1.37661e-08,,,,,,1.1980e-02,4.2121e-03,4.9049e-05,4.6269e-06,1.3275e-08,,,,,,,,,,,
Sam 13,1.20707e-08,1.20325e-02,4.2619e-03,4.9816e-05,4.7440e-06,2.5778e-09,,,,,,            4.3942,           11.8037,           15.8180,           25.5043,         -762.1381,            1.3787,            5.8371,           -0.3730,            1.7168,         -768.6469,
Ref 14,1.34923e-08,,,,,,1.1980e-02,4.2122e-03,4.9032e-05,4.6251e-06,8.3496e-09,,,,,,,,,,,
Sam 14,1.18160e-08,1.20323e-02,4.2619e-03,4.9812e-05,4.7358e-06,6.5528e-09,,,,,,            4.3807,           11.7975,           15.8487,           23.8003,         -465.5591,            1.3645,            5.8309,           -0.3229,            0.0645,         -480.1701,
Ref 15,1.32254e-08,,,,,,1.1980e-02,4.2121e-03,4.9039e-05,4.6263e-06,1.6251e-08,,,,,,,,,,,
Sam 15,1.15685e-08,1.20323e-02,4.2618e-03,4.9817e-05,4.7386e-06,1.6075e-08,,,,,,            4.3961,           11.7854,           15.8700,           24.8565,          182.7067,            1.3813,            5.8188,           -0.3060,            1.1202,          150.3807,
Ref 16,1.29677e-08,,,,,,1.1980e-02,4.2122e-03,4.9039e-05,4.6210e-06,1.0880e-08,,,,,,,,,,,
Sam 16,1.13297e-08,1.20323e-02,4.2617e-03,4.9827e-05,4.7319e-06,1.3068e-08,,,,,,            4.4083,           11.7708,           16.0873,           22.6200,         -189.5356,            1.3948,            5.8042,           -0.0905,           -1.0356,         -211.6750,
Ref 17,1.27165e-08,,,,,,1.1979e-02,4.2121e-03,4.9036e-05,4.6336e-06,2.1472e-08,,,,,,,,,,,
Sam 17,1.10944e-08,1.20324e-02,4.2617e-03,4.9816e-05,4.7299e-06,2.1179e-08,,,,,,            4.4197,           11.7944,           15.8891,           21.0010,          326.3690,            1.4061,            5.8278,           -0.3202,           -2.6638,          290.0614,
Ref 18,1.24695e-08,,,,,,1.1979e-02,4.2120e-03,4.9037e-05,4.6315e-06,1.0354e-08,,,,,,,,,,,
Sam 18,1.08665e-08,1.20325e-02,4.2617e-03,4.9822e-05,4.7321e-06,1.4876e-08,,,,,,            4.4244,           11.8046,           16.0529,           22.6298,          158.2647,            1.4108,            5.8379,           -0.1737,           -1.0929,          126.5309,
Ref 19,1.22292e-08,,,,,,1.1979e-02,4.2120e-03,4.9032e-05,4.6231e-06,1.5382e-08,,,,,,,,,,,
Sam 19,1.06447e-08,1.20325e-02,4.2616e-03,4.9818e-05,4.7381e-06,8.5336e-09,,,,,,            4.4152,           11.7698,           15.9963,           24.8512,         -378.4590,            1.4022,            5.8032,           -0.1860,            1.1460,         -395.4408,
Ref 20,1.19952e-08,,,,,,1.1980e-02,4.2120e-03,4.9035e-05,4.6233e-06,1.2045e-08,,,,,,,,,,,
Sam 20,1.04279e-08,1.20324e-02,4.2617e-03,4.9816e-05,4.7471e-06,9.9798e-09,,,,,,            4.4043,           11.7955,           15.8323,           26.3471,          255.8792,            1.3897,            5.8288,           -0.3613,            2.5563,          221.5186,
Ref 21,1.17675e-08,,,,,,1.1980e-02,4.2120e-03,4.9043e-05,4.6272e-06,3.7686e-09,,,,,,,,,,,


