Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 17, 2023 at 18:10 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 17, 2023 at 19:09 with Stable 1.71.5 on PS019

Data File = Data_19645 AU_LMW1_307_34.txt,Sample Weight = 1160,                     Vial Location = 37,                       Initial Sam Beam = 2.6899e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8665e-08,                Max Ref Beam = 1.0682e-07,                

Analysis undertaken at mass 46.04589
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.79289e-08,,,,,,1.1981e-02,4.2120e-03,4.9051e-05,4.6392e-06,4.5702e-08,
Sam 1,3.73597e-08,1.20740e-02,4.2519e-03,4.9895e-05,4.7293e-06,4.5144e-08,,,,,,            7.7935,            9.4379,           17.1056,           19.4429,           10.4790,            5.0781,            3.4752,           -0.2836,            0.4691,          -16.1755,
Ref 2,3.72731e-08,,,,,,1.1981e-02,4.2122e-03,4.9061e-05,4.6389e-06,4.3632e-08,,,,,,,,,,,
Sam 2,3.66807e-08,1.20742e-02,4.2519e-03,4.9878e-05,4.7271e-06,4.4391e-08,,,,,,            7.7969,            9.4172,           16.7825,           18.5943,           49.0223,            5.0824,            3.4546,           -0.5844,           -0.3226,           21.3888,
Ref 3,3.66464e-08,,,,,,1.1981e-02,4.2122e-03,4.9048e-05,4.6426e-06,4.0978e-08,,,,,,,,,,,
Sam 3,3.60228e-08,1.20741e-02,4.2518e-03,4.9888e-05,4.7281e-06,3.9498e-08,,,,,,            7.7915,            9.4010,           17.0703,           18.6546,          -17.6844,            5.0773,            3.4385,           -0.2803,           -0.2313,          -43.5252,
Ref 4,3.60375e-08,,,,,,1.1981e-02,4.2122e-03,4.9054e-05,4.6405e-06,3.9427e-08,,,,,,,,,,,
Sam 4,3.53809e-08,1.20740e-02,4.2518e-03,4.9889e-05,4.7282e-06,3.8723e-08,,,,,,            7.7806,            9.4127,           16.9605,           18.9267,           19.0386,            5.0652,            3.4502,           -0.3885,            0.0125,           -7.7795,
Ref 5,3.54411e-08,,,,,,1.1981e-02,4.2122e-03,4.9060e-05,4.6402e-06,3.6549e-08,,,,,,,,,,,
Sam 5,3.47593e-08,1.20739e-02,4.2518e-03,4.9889e-05,4.7267e-06,3.6196e-08,,,,,,            7.7746,            9.3989,           17.0354,           19.0212,           -1.7325,            5.0593,            3.4365,           -0.2952,            0.1326,          -27.9716,
Ref 6,3.48645e-08,,,,,,1.1981e-02,4.2122e-03,4.9046e-05,4.6367e-06,3.5963e-08,,,,,,,,,,,
Sam 6,3.41488e-08,1.20739e-02,4.2517e-03,4.9892e-05,4.7263e-06,3.8005e-08,,,,,,            7.7799,            9.3844,           17.1892,           19.1405,           89.0160,            5.0655,            3.4220,           -0.1354,            0.2785,           60.4157,
Ref 7,3.42965e-08,,,,,,1.1981e-02,4.2122e-03,4.9053e-05,4.6384e-06,3.3816e-08,,,,,,,,,,,
Sam 7,3.35542e-08,1.20739e-02,4.2518e-03,4.9882e-05,4.7235e-06,3.3163e-08,,,,,,            7.7889,            9.4040,           16.8859,           18.6019,           34.7595,            5.0744,            3.4415,           -0.4618,           -0.2889,            7.5360,
Ref 8,3.37441e-08,,,,,,1.1980e-02,4.2122e-03,4.9055e-05,4.6360e-06,3.0252e-08,,,,,,,,,,,
Sam 8,3.29751e-08,1.20738e-02,4.2518e-03,4.9886e-05,4.7226e-06,3.0638e-08,,,,,,            7.7841,            9.4005,           16.9696,           18.7419,          150.3498,            5.0694,            3.4380,           -0.3712,           -0.1446,          120.0985,
Ref 9,3.31988e-08,,,,,,1.1981e-02,4.2122e-03,4.9052e-05,4.6354e-06,2.2956e-08,,,,,,,,,,,
Sam 9,3.24086e-08,1.20737e-02,4.2518e-03,4.9883e-05,4.7176e-06,2.4619e-08,,,,,,            7.7791,            9.3940,           17.0523,           17.8783,           24.7707,            5.0642,            3.4315,           -0.2784,           -0.9793,           -2.1601,
Ref 10,3.26727e-08,,,,,,1.1980e-02,4.2121e-03,4.9042e-05,4.6340e-06,2.5110e-08,,,,,,,,,,,
Sam 10,3.18568e-08,1.20737e-02,4.2518e-03,4.9880e-05,4.7200e-06,2.2284e-08,,,,,,            7.7848,            9.4229,           17.1289,           18.4860,          -18.2147,            5.0693,            3.4603,           -0.2372,           -0.4402,          -44.0756,
Ref 11,3.21492e-08,,,,,,1.1980e-02,4.2121e-03,4.9039e-05,4.6347e-06,2.0246e-08,,,,,,,,,,,
Sam 11,3.13185e-08,1.20737e-02,4.2518e-03,4.9881e-05,4.7163e-06,1.2258e-08,,,,,,            7.7873,            9.4134,           17.1009,           18.1978,         -292.7948,            5.0723,            3.4509,           -0.2580,           -0.7043,         -311.4121,
Ref 12,3.16457e-08,,,,,,1.1980e-02,4.2121e-03,4.9046e-05,4.6294e-06,1.4375e-08,,,,,,,,,,,
Sam 12,3.07954e-08,1.20737e-02,4.2518e-03,4.9885e-05,4.7203e-06,1.3047e-08,,,,,,            7.7838,            9.3936,           17.1270,           19.4077,            0.8814,            5.0692,            3.4312,           -0.2094,            0.5225,          -25.4257,
Ref 13,3.11519e-08,,,,,,1.1981e-02,4.2123e-03,4.9045e-05,4.6315e-06,1.1675e-08,,,,,,,,,,,
Sam 13,3.02806e-08,1.20736e-02,4.2518e-03,4.9881e-05,4.7146e-06,1.1120e-08,,,,,,            7.7807,            9.3911,           17.0648,           18.1355,           58.6996,            5.0660,            3.4287,           -0.2649,           -0.7212,           30.8812,
Ref 14,3.06645e-08,,,,,,1.1980e-02,4.2122e-03,4.9043e-05,4.6298e-06,9.3124e-09,,,,,,,,,,,
Sam 14,2.97787e-08,1.20736e-02,4.2517e-03,4.9876e-05,4.7151e-06,9.7757e-09,,,,,,            7.7915,            9.3918,           16.9384,           18.8269,          570.7532,            5.0775,            3.4294,           -0.4010,           -0.0440,          529.4604,
Ref 15,3.01876e-08,,,,,,1.1980e-02,4.2121e-03,4.9047e-05,4.6260e-06,3.0860e-09,,,,,,,,,,,
Sam 15,2.92847e-08,1.20736e-02,4.2518e-03,4.9883e-05,4.7142e-06,4.0788e-09,,,,,,            7.7914,            9.4118,           17.1160,           18.9651,         -137.8013,            5.0767,            3.4493,           -0.2458,            0.0519,         -160.4999,
Ref 16,2.97223e-08,,,,,,1.1980e-02,4.2122e-03,4.9040e-05,4.6269e-06,6.4012e-09,,,,,,,,,,,
Sam 16,2.88081e-08,1.20735e-02,4.2518e-03,4.9870e-05,4.7078e-06,-1.9867e-10,,,,,,            7.7813,            9.4098,           16.9046,           17.9124,        -1088.6948,            5.0661,            3.4472,           -0.4413,           -0.9771,        -1086.3609,
Ref 17,2.92707e-08,,,,,,1.1980e-02,4.2121e-03,4.9043e-05,4.6229e-06,-1.9856e-09,,,,,,,,,,,
Sam 17,2.83438e-08,1.20735e-02,4.2517e-03,4.9876e-05,4.7062e-06,-2.7632e-09,,,,,,            7.7883,            9.4210,           17.0217,           18.3622,          445.6435,            5.0731,            3.4584,           -0.3442,           -0.5579,          407.5642,
Ref 18,2.88274e-08,,,,,,1.1980e-02,4.2120e-03,4.9039e-05,4.6198e-06,-1.8361e-09,,,,,,,,,,,
Sam 18,2.78838e-08,1.20732e-02,4.2516e-03,4.9873e-05,4.7077e-06,-7.2724e-09,,,,,,            7.7747,            9.3985,           17.0626,           18.8466,          545.3466,            5.0594,            3.4360,           -0.2682,           -0.0380,          504.7288,
Ref 19,2.83970e-08,,,,,,1.1980e-02,4.2121e-03,4.9035e-05,4.6214e-06,-7.6193e-09,,,,,,,,,,,
Sam 19,2.74293e-08,1.20733e-02,4.2516e-03,4.9873e-05,4.7086e-06,-1.3006e-08,,,,,,            7.7817,            9.3958,           17.1638,           19.0926,          299.8815,            5.0669,            3.4333,           -0.1733,            0.2089,          265.7128,
Ref 20,2.79710e-08,,,,,,1.1980e-02,4.2121e-03,4.9027e-05,4.6192e-06,-1.2428e-08,,,,,,,,,,,
Sam 20,2.69843e-08,1.20734e-02,4.2516e-03,4.9865e-05,4.7075e-06,-1.7070e-08,,,,,,            7.7805,            9.3863,           17.0334,           19.6816,           41.5287,            5.0661,            3.4239,           -0.2910,            0.8058,           14.1710,
Ref 21,2.75511e-08,,,,,,1.1980e-02,4.2121e-03,4.9032e-05,4.6139e-06,-2.0412e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.73461e-08,,,,,,1.1980e-02,4.2121e-03,4.9035e-05,4.6160e-06,-1.8237e-08,
Sam 1,2.63406e-08,1.20734e-02,4.2516e-03,4.9864e-05,4.7007e-06,-2.1574e-08,,,,,,            7.7888,            9.3910,           16.9712,           18.0080,           22.7812,            5.0746,            3.4286,           -0.3651,           -0.8462,           -4.1018,
Ref 2,2.69510e-08,,,,,,1.1980e-02,4.2121e-03,4.9030e-05,4.6192e-06,-2.3991e-08,,,,,,,,,,,
Sam 2,2.59364e-08,1.20732e-02,4.2517e-03,4.9864e-05,4.6977e-06,-2.6378e-08,,,,,,            7.7660,            9.4049,           16.9665,           17.5091,           54.4554,            5.0500,            3.4425,           -0.3601,           -1.3634,           26.7367,
Ref 3,2.65526e-08,,,,,,1.1980e-02,4.2121e-03,4.9033e-05,4.6145e-06,-2.6055e-08,,,,,,,,,,,
Sam 3,2.55301e-08,1.20734e-02,4.2517e-03,4.9861e-05,4.7009e-06,-3.2037e-08,,,,,,            7.7808,            9.3941,           16.9492,           19.0996,          134.3508,            5.0660,            3.4317,           -0.3817,            0.2190,          104.5378,
Ref 4,2.61627e-08,,,,,,1.1980e-02,4.2121e-03,4.9026e-05,4.6110e-06,-3.0462e-08,,,,,,,,,,,
Sam 4,2.51343e-08,1.20733e-02,4.2518e-03,4.9860e-05,4.6900e-06,-3.4924e-08,,,,,,            7.7804,            9.4195,           17.0184,           17.3766,           -4.5030,            5.0647,            3.4570,           -0.3380,           -1.5223,          -30.7142,
Ref 5,2.57808e-08,,,,,,1.1980e-02,4.2121e-03,4.9026e-05,4.6087e-06,-3.9771e-08,,,,,,,,,,,
Sam 5,2.47484e-08,1.20732e-02,4.2517e-03,4.9853e-05,4.6903e-06,-4.5303e-08,,,,,,            7.7739,            9.4059,           16.8394,           18.0398,           76.0035,            5.0583,            3.4435,           -0.4940,           -0.8445,           47.7076,
Ref 6,2.54055e-08,,,,,,1.1980e-02,4.2121e-03,4.9028e-05,4.6056e-06,-4.4469e-08,,,,,,,,,,,
Sam 6,2.43648e-08,1.20732e-02,4.2516e-03,4.9854e-05,4.6891e-06,-4.2596e-08,,,,,,            7.7816,            9.4029,           16.8969,           18.1288,          -56.4695,            5.0666,            3.4404,           -0.4424,           -0.7512,          -81.2837,
Ref 7,2.50322e-08,,,,,,1.1980e-02,4.2120e-03,4.9023e-05,4.6056e-06,-4.5832e-08,,,,,,,,,,,
Sam 7,2.39954e-08,1.20735e-02,4.2516e-03,4.9859e-05,4.6953e-06,-5.1195e-08,,,,,,            7.8107,            9.4004,           17.0763,           19.2573,           76.3321,            5.0976,            3.4379,           -0.2933,            0.3614,           47.9982,
Ref 8,2.46706e-08,,,,,,1.1980e-02,4.2120e-03,4.9022e-05,4.6076e-06,-4.9323e-08,,,,,,,,,,,
Sam 8,2.36350e-08,1.20732e-02,4.2516e-03,4.9848e-05,4.6907e-06,-5.8407e-08,,,,,,            7.7944,            9.3828,           16.8980,           19.0854,          235.6220,            5.0809,            3.4204,           -0.4348,            0.2276,          203.1568,
Ref 9,2.43177e-08,,,,,,1.1980e-02,4.2120e-03,4.9017e-05,4.5981e-06,-4.5186e-08,,,,,,,,,,,
Sam 9,2.32834e-08,1.20730e-02,4.2516e-03,4.9839e-05,4.6802e-06,-5.5426e-08,,,,,,            7.7915,            9.4125,           16.7610,           17.7147,           56.7334,            5.0768,            3.4499,           -0.5954,           -1.1765,           28.9120,
Ref 10,2.39739e-08,,,,,,1.1980e-02,4.2119e-03,4.9018e-05,4.5994e-06,-5.9819e-08,,,,,,,,,,,
Sam 10,2.29381e-08,1.20729e-02,4.2515e-03,4.9847e-05,4.6848e-06,-6.3814e-08,,,,,,            7.7847,            9.4038,           16.9298,           19.1141,            8.6961,            5.0699,            3.4413,           -0.4143,            0.2140,          -17.8370,
Ref 11,2.36353e-08,,,,,,1.1980e-02,4.2119e-03,4.9016e-05,4.5944e-06,-6.6759e-08,,,,,,,,,,,
Sam 11,2.26021e-08,1.20728e-02,4.2514e-03,4.9850e-05,4.6804e-06,-7.4035e-08,,,,,,            7.7799,            9.3777,           17.0386,           19.0199,           92.3448,            5.0657,            3.4154,           -0.2768,            0.1733,           63.6709,
Ref 12,2.33108e-08,,,,,,1.1980e-02,4.2119e-03,4.9012e-05,4.5916e-06,-6.8808e-08,,,,,,,,,,,
Sam 12,2.22724e-08,1.20729e-02,4.2515e-03,4.9845e-05,4.6748e-06,-7.0844e-08,,,,,,            7.7858,            9.4047,           16.9891,           17.8614,           22.0814,            5.0710,            3.4422,           -0.3578,           -1.0172,           -4.8066,
Ref 13,2.29889e-08,,,,,,1.1980e-02,4.2119e-03,4.9011e-05,4.5940e-06,-6.9826e-08,,,,,,,,,,,
Sam 13,2.19493e-08,1.20730e-02,4.2515e-03,4.9836e-05,4.6756e-06,-8.0603e-08,,,,,,            7.7828,            9.4026,           16.8125,           18.1160,           59.3853,            5.0679,            3.4401,           -0.5263,           -0.7632,           31.5234,
Ref 14,2.26707e-08,,,,,,1.1980e-02,4.2119e-03,4.9012e-05,4.5908e-06,-8.2432e-08,,,,,,,,,,,
Sam 14,2.16227e-08,1.20729e-02,4.2515e-03,4.9837e-05,4.6723e-06,-8.9760e-08,,,,,,            7.7865,            9.3971,           16.8788,           18.6111,           92.7297,            5.0721,            3.4346,           -0.4596,           -0.2662,           63.9981,
Ref 15,2.23578e-08,,,,,,1.1980e-02,4.2120e-03,4.9008e-05,4.5831e-06,-8.1850e-08,,,,,,,,,,,
Sam 15,2.13096e-08,1.20728e-02,4.2515e-03,4.9833e-05,4.6685e-06,-8.6824e-08,,,,,,            7.7829,            9.3944,           16.9468,           18.5522,           26.9325,            5.0683,            3.4319,           -0.3865,           -0.3188,           -0.0600,
Ref 16,2.20564e-08,,,,,,1.1980e-02,4.2119e-03,4.8996e-05,4.5838e-06,-8.7281e-08,,,,,,,,,,,
Sam 16,2.10008e-08,1.20727e-02,4.2515e-03,4.9836e-05,4.6652e-06,-9.6462e-08,,,,,,            7.7800,            9.4080,           17.1018,           17.7979,           74.8166,            5.0647,            3.4455,           -0.2444,           -1.0860,           46.5409,
Ref 17,2.17546e-08,,,,,,1.1979e-02,4.2118e-03,4.8999e-05,4.5834e-06,-9.2249e-08,,,,,,,,,,,
Sam 17,2.06991e-08,1.20726e-02,4.2514e-03,4.9831e-05,4.6701e-06,-1.0278e-07,,,,,,            7.7720,            9.4119,           16.9982,           19.2228,           61.4122,            5.0561,            3.4494,           -0.3419,            0.3046,           33.4899,
Ref 18,2.14583e-08,,,,,,1.1979e-02,4.2118e-03,4.8996e-05,4.5805e-06,-1.0147e-07,,,,,,,,,,,
Sam 18,2.04047e-08,1.20727e-02,4.2515e-03,4.9822e-05,4.6604e-06,-1.1668e-07,,,,,,            7.7755,            9.3995,           16.9248,           18.0328,           72.0015,            5.0602,            3.4371,           -0.4054,           -0.8387,           43.8221,
Ref 19,2.11674e-08,,,,,,1.1980e-02,4.2120e-03,4.8989e-05,4.5751e-06,-1.1632e-07,,,,,,,,,,,
Sam 19,2.01144e-08,1.20729e-02,4.2514e-03,4.9826e-05,4.6584e-06,-1.2495e-07,,,,,,            7.7884,            9.3897,           17.1408,           18.4944,           51.6230,            5.0743,            3.4273,           -0.1969,           -0.3663,           23.9848,
Ref 20,2.08808e-08,,,,,,1.1979e-02,4.2118e-03,4.8984e-05,4.5725e-06,-1.2134e-07,,,,,,,,,,,
Sam 20,1.98289e-08,1.20728e-02,4.2514e-03,4.9820e-05,4.6592e-06,-1.2565e-07,,,,,,            7.7859,            9.3971,           16.9938,           18.6875,           45.4490,            5.0714,            3.4347,           -0.3460,           -0.1915,           17.9611,
Ref 21,2.05988e-08,,,,,,1.1980e-02,4.2118e-03,4.8991e-05,4.5750e-06,-1.1903e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.04607e-08,,,,,,1.1980e-02,4.2118e-03,4.8987e-05,4.5769e-06,-1.2611e-07,
Sam 1,1.94151e-08,1.20726e-02,4.2513e-03,4.9817e-05,4.6514e-06,-1.3927e-07,,,,,,            7.7765,            9.3886,           17.0317,           16.8527,           94.6378,            5.0617,            3.4262,           -0.2908,           -1.9753,           65.8849,
Ref 2,2.01891e-08,,,,,,1.1979e-02,4.2118e-03,4.8978e-05,4.5716e-06,-1.2837e-07,,,,,,,,,,,
Sam 2,1.91472e-08,1.20726e-02,4.2514e-03,4.9805e-05,4.6489e-06,-1.3622e-07,,,,,,            7.7807,            9.3917,           16.9262,           17.6392,           56.4835,            5.0661,            3.4293,           -0.4018,           -1.2094,           28.7221,
Ref 3,1.99203e-08,,,,,,1.1979e-02,4.2118e-03,4.8974e-05,4.5650e-06,-1.2950e-07,,,,,,,,,,,
Sam 3,1.88820e-08,1.20726e-02,4.2514e-03,4.9802e-05,4.6481e-06,-1.3990e-07,,,,,,            7.7815,            9.4100,           16.8077,           18.6483,           64.1004,            5.0663,            3.4475,           -0.5370,           -0.2555,           36.1009,
Ref 4,1.96578e-08,,,,,,1.1979e-02,4.2117e-03,4.8984e-05,4.5609e-06,-1.3347e-07,,,,,,,,,,,
Sam 4,1.86244e-08,1.20727e-02,4.2513e-03,4.9793e-05,4.6465e-06,-1.4879e-07,,,,,,            7.7928,            9.4004,           16.6413,           18.8594,           83.3428,            5.0786,            3.4379,           -0.7027,           -0.0293,           54.8441,
Ref 5,1.94000e-08,,,,,,1.1979e-02,4.2117e-03,4.8971e-05,4.5601e-06,-1.4126e-07,,,,,,,,,,,
Sam 5,1.83697e-08,1.20724e-02,4.2513e-03,4.9806e-05,4.6336e-06,-1.5702e-07,,,,,,            7.7716,            9.3874,           17.1502,           16.5829,           62.3906,            5.0565,            3.4250,           -0.1682,           -2.2378,           34.4924,
Ref 6,1.91466e-08,,,,,,1.1979e-02,4.2117e-03,4.8962e-05,4.5560e-06,-1.5442e-07,,,,,,,,,,,
Sam 6,1.81167e-08,1.20725e-02,4.2513e-03,4.9802e-05,4.6322e-06,-1.5912e-07,,,,,,            7.7838,            9.4094,           17.0055,           17.2574,           39.8254,            5.0687,            3.4469,           -0.3442,           -1.6192,           12.4636,
Ref 7,1.88898e-08,,,,,,1.1979e-02,4.2116e-03,4.8977e-05,4.5511e-06,-1.5160e-07,,,,,,,,,,,
Sam 7,1.78720e-08,1.20723e-02,4.2513e-03,4.9799e-05,4.6328e-06,-1.6275e-07,,,,,,            7.7740,            9.4209,           16.8940,           17.1482,           54.3682,            5.0579,            3.4584,           -0.4551,           -1.7493,           26.6111,
Ref 8,1.86445e-08,,,,,,1.1979e-02,4.2117e-03,4.8965e-05,4.5583e-06,-1.5714e-07,,,,,,,,,,,
Sam 8,1.76294e-08,1.20723e-02,4.2511e-03,4.9798e-05,4.6342e-06,-1.7274e-07,,,,,,            7.7687,            9.3701,           16.9415,           17.6911,           82.2341,            5.0540,            3.4079,           -0.3535,           -1.1160,           53.8535,
Ref 9,1.84014e-08,,,,,,1.1979e-02,4.2117e-03,4.8971e-05,4.5489e-06,-1.6212e-07,,,,,,,,,,,
Sam 9,1.73935e-08,1.20724e-02,4.2512e-03,4.9790e-05,4.6344e-06,-1.8166e-07,,,,,,            7.7885,            9.4156,           16.8829,           19.0403,           58.6717,            5.0735,            3.4531,           -0.4756,            0.1183,           30.7962,
Ref 10,1.81661e-08,,,,,,1.1979e-02,4.2115e-03,4.8955e-05,4.5466e-06,-1.8118e-07,,,,,,,,,,,
Sam 10,1.71636e-08,1.20723e-02,4.2511e-03,4.9779e-05,4.6275e-06,-1.9524e-07,,,,,,            7.7904,            9.4020,           16.8431,           18.9536,           55.5700,            5.0760,            3.4395,           -0.5034,            0.0602,           27.8014,
Ref 11,1.79353e-08,,,,,,1.1979e-02,4.2115e-03,4.8955e-05,4.5361e-06,-1.8879e-07,,,,,,,,,,,
Sam 11,1.69373e-08,1.20722e-02,4.2512e-03,4.9775e-05,4.6240e-06,-2.0030e-07,,,,,,            7.7813,            9.3990,           16.7321,           19.4784,           37.8824,            5.0664,            3.4365,           -0.6003,            0.5812,           10.5948,
Ref 12,1.77080e-08,,,,,,1.1979e-02,4.2116e-03,4.8957e-05,4.5353e-06,-1.9723e-07,,,,,,,,,,,
Sam 12,1.67150e-08,1.20722e-02,4.2511e-03,4.9774e-05,4.6123e-06,-2.0541e-07,,,,,,            7.7871,            9.3694,           16.8060,           17.3273,           42.2770,            5.0736,            3.4071,           -0.5048,           -1.4716,           14.9260,
Ref 13,1.74829e-08,,,,,,1.1979e-02,4.2116e-03,4.8945e-05,4.5322e-06,-1.9692e-07,,,,,,,,,,,
Sam 13,1.64943e-08,1.20721e-02,4.2511e-03,4.9770e-05,4.6121e-06,-2.0251e-07,,,,,,            7.7665,            9.3826,           16.8124,           17.4489,           18.2844,            5.0512,            3.4203,           -0.4903,           -1.3783,           -8.4409,
Ref 14,1.72589e-08,,,,,,1.1979e-02,4.2115e-03,4.8949e-05,4.5338e-06,-2.0085e-07,,,,,,,,,,,
Sam 14,1.62773e-08,1.20722e-02,4.2511e-03,4.9762e-05,4.6108e-06,-2.1176e-07,,,,,,            7.7819,            9.3950,           16.7586,           17.2176,           44.5304,            5.0672,            3.4325,           -0.5710,           -1.6298,           17.0752,
Ref 15,1.70410e-08,,,,,,1.1979e-02,4.2115e-03,4.8936e-05,4.5317e-06,-2.0463e-07,,,,,,,,,,,
Sam 15,1.60646e-08,1.20720e-02,4.2510e-03,4.9770e-05,4.6081e-06,-2.2644e-07,,,,,,            7.7839,            9.3773,           17.0792,           17.4188,           76.0757,            5.0699,            3.4149,           -0.2406,           -1.3973,           47.8254,
Ref 16,1.68279e-08,,,,,,1.1979e-02,4.2116e-03,4.8932e-05,4.5266e-06,-2.1630e-07,,,,,,,,,,,
Sam 16,1.58573e-08,1.20721e-02,4.2511e-03,4.9755e-05,4.5938e-06,-2.3092e-07,,,,,,            7.7948,            9.3837,           16.7106,           14.7995,           58.0197,            5.0813,            3.4213,           -0.6203,           -3.9808,           30.2187,
Ref 17,1.66186e-08,,,,,,1.1979e-02,4.2115e-03,4.8942e-05,4.5269e-06,-2.2023e-07,,,,,,,,,,,
Sam 17,1.56522e-08,1.20720e-02,4.2511e-03,4.9756e-05,4.6001e-06,-2.3204e-07,,,,,,            7.7894,            9.3905,           16.8260,           16.8831,           36.7369,            5.0753,            3.4281,           -0.5081,           -1.9493,            9.4873,
Ref 18,1.64118e-08,,,,,,1.1979e-02,4.2115e-03,4.8924e-05,4.5204e-06,-2.2744e-07,,,,,,,,,,,
Sam 18,1.54505e-08,1.20720e-02,4.2511e-03,4.9756e-05,4.5942e-06,-2.3731e-07,,,,,,            7.7928,            9.4035,           17.0510,           16.6458,           27.9115,            5.0785,            3.4410,           -0.3029,           -2.2078,            0.8652,
Ref 19,1.62084e-08,,,,,,1.1979e-02,4.2115e-03,4.8921e-05,4.5176e-06,-2.3434e-07,,,,,,,,,,,
Sam 19,1.52526e-08,1.20719e-02,4.2511e-03,4.9749e-05,4.5976e-06,-2.5003e-07,,,,,,            7.7782,            9.4034,           16.9082,           19.0682,           47.4386,            5.0629,            3.4409,           -0.4284,            0.1698,           19.8943,
Ref 20,1.60084e-08,,,,,,1.1979e-02,4.2115e-03,4.8922e-05,4.5055e-06,-2.4313e-07,,,,,,,,,,,
Sam 20,1.50595e-08,1.20717e-02,4.2509e-03,4.9747e-05,4.5859e-06,-2.6850e-07,,,,,,            7.7678,            9.3616,           16.7851,           18.3170,           87.9351,            5.0533,            3.3994,           -0.4980,           -0.4848,           59.4237,
Ref 21,1.58135e-08,,,,,,1.1979e-02,4.2114e-03,4.8930e-05,4.5012e-06,-2.5052e-07,,,,,,,,,,,


