Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 17, 2023 at 20:54 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 17, 2023 at 21:53 with Stable 1.71.5 on PS019

Data File = Data_19647 IAEA-C2.txt,       Sample Weight = 432,                      Vial Location = 39,                       Initial Sam Beam = 1.2809e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7450e-08,                Max Ref Beam = 1.0618e-07,                

Analysis undertaken at mass 46.04345
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.67482e-08,,,,,,1.1981e-02,4.2121e-03,4.9043e-05,4.6438e-06,5.1401e-08,
Sam 1,4.60485e-08,1.19229e-02,4.2307e-03,4.8998e-05,4.6852e-06,4.9429e-08,,,,,,           -4.8938,            4.3779,           -0.9124,            8.8937,           -1.8240,           -8.2497,           -1.5325,           -0.1565,            0.1176,           -5.1895,
Ref 2,4.58670e-08,,,,,,1.1982e-02,4.2123e-03,4.9043e-05,4.6440e-06,4.7601e-08,,,,,,,,,,,
Sam 2,4.51405e-08,1.19228e-02,4.2307e-03,4.9001e-05,4.6820e-06,4.8930e-08,,,,,,           -4.9242,            4.3649,           -0.8823,            8.0783,           16.8711,           -8.2817,           -1.5454,           -0.0820,           -0.6647,           13.5014,
Ref 3,4.50417e-08,,,,,,1.1982e-02,4.2123e-03,4.9046e-05,4.6450e-06,4.8644e-08,,,,,,,,,,,
Sam 3,4.42697e-08,1.19229e-02,4.2308e-03,4.9002e-05,4.6836e-06,4.8810e-08,,,,,,           -4.9162,            4.3777,           -0.9429,            8.6079,            5.2357,           -8.2735,           -1.5327,           -0.1636,           -0.1652,            1.8709,
Ref 4,4.42408e-08,,,,,,1.1982e-02,4.2124e-03,4.9050e-05,4.6423e-06,4.8465e-08,,,,,,,,,,,
Sam 4,4.34228e-08,1.19229e-02,4.2308e-03,4.9008e-05,4.6839e-06,4.4581e-08,,,,,,           -4.9178,            4.3599,           -0.8462,            8.6859,           27.8286,           -8.2747,           -1.5504,           -0.0477,           -0.0524,           24.4256,
Ref 5,4.34591e-08,,,,,,1.1982e-02,4.2125e-03,4.9048e-05,4.6448e-06,3.8191e-08,,,,,,,,,,,
Sam 5,4.25964e-08,1.19230e-02,4.2309e-03,4.9006e-05,4.6801e-06,4.3200e-08,,,,,,           -4.9054,            4.3654,           -0.8683,            7.5762,           90.1180,           -8.2617,           -1.5449,           -0.0880,           -1.1635,           86.4826,
Ref 6,4.26922e-08,,,,,,1.1982e-02,4.2125e-03,4.9049e-05,4.6449e-06,4.1093e-08,,,,,,,,,,,
Sam 6,4.17879e-08,1.19229e-02,4.2310e-03,4.9003e-05,4.6832e-06,3.8443e-08,,,,,,           -4.9154,            4.3802,           -0.9374,            8.4908,          -62.9288,           -8.2728,           -1.5302,           -0.1614,           -0.2863,          -66.0708,
Ref 7,4.19486e-08,,,,,,1.1982e-02,4.2125e-03,4.9049e-05,4.6426e-06,4.0956e-08,,,,,,,,,,,
Sam 7,4.10067e-08,1.19231e-02,4.2310e-03,4.9007e-05,4.6807e-06,3.7196e-08,,,,,,           -4.8994,            4.3775,           -0.9166,            8.3478,          -64.1117,           -8.2557,           -1.5330,           -0.1544,           -0.4227,          -67.2608,
Ref 8,4.12226e-08,,,,,,1.1982e-02,4.2126e-03,4.9055e-05,4.6413e-06,3.8511e-08,,,,,,,,,,,
Sam 8,4.02429e-08,1.19230e-02,4.2311e-03,4.9002e-05,4.6848e-06,4.1843e-08,,,,,,           -4.9065,            4.3836,           -1.0724,            9.2407,           52.6878,           -8.2634,           -1.5268,           -0.3090,            0.4502,           49.1411,
Ref 9,4.05033e-08,,,,,,1.1982e-02,4.2126e-03,4.9053e-05,4.6426e-06,4.1009e-08,,,,,,,,,,,
Sam 9,3.94906e-08,1.19228e-02,4.2309e-03,4.9007e-05,4.6832e-06,3.9244e-08,,,,,,           -4.9207,            4.3594,           -0.8774,            8.9997,          -38.6006,           -8.2777,           -1.5508,           -0.0755,            0.2595,          -41.7799,
Ref 10,3.98097e-08,,,,,,1.1982e-02,4.2126e-03,4.9047e-05,4.6401e-06,4.0628e-08,,,,,,,,,,,
Sam 10,3.87687e-08,1.19229e-02,4.2310e-03,4.9003e-05,4.6829e-06,4.1008e-08,,,,,,           -4.9160,            4.3746,           -0.8830,            9.2498,           50.2961,           -8.2732,           -1.5358,           -0.1008,            0.4773,           46.7866,
Ref 11,3.91361e-08,,,,,,1.1982e-02,4.2126e-03,4.9046e-05,4.6398e-06,3.7434e-08,,,,,,,,,,,
Sam 11,3.80692e-08,1.19230e-02,4.2311e-03,4.9003e-05,4.6852e-06,3.9916e-08,,,,,,           -4.9140,            4.3748,           -0.9912,            9.4419,           33.4163,           -8.2712,           -1.5356,           -0.2113,            0.6673,           29.9607,
Ref 12,3.84725e-08,,,,,,1.1982e-02,4.2126e-03,4.9057e-05,4.6429e-06,3.9837e-08,,,,,,,,,,,
Sam 12,3.73754e-08,1.19229e-02,4.2311e-03,4.9005e-05,4.6817e-06,3.6375e-08,,,,,,           -4.9164,            4.3677,           -1.0319,            8.3202,          -51.4909,           -8.2735,           -1.5427,           -0.2425,           -0.4305,          -54.6470,
Ref 13,3.78195e-08,,,,,,1.1982e-02,4.2127e-03,4.9053e-05,4.6433e-06,3.6837e-08,,,,,,,,,,,
Sam 13,3.67041e-08,1.19230e-02,4.2312e-03,4.9012e-05,4.6796e-06,3.7284e-08,,,,,,           -4.9066,            4.3876,           -0.8288,            8.2875,            2.3491,           -8.2637,           -1.5229,           -0.0690,           -0.5026,           -1.0357,
Ref 14,3.71842e-08,,,,,,1.1982e-02,4.2126e-03,4.9053e-05,4.6390e-06,3.7562e-08,,,,,,,,,,,
Sam 14,3.60473e-08,1.19229e-02,4.2312e-03,4.9007e-05,4.6772e-06,3.3667e-08,,,,,,           -4.9111,            4.3919,           -0.9592,            8.4953,          -26.9846,           -8.2687,           -1.5186,           -0.1991,           -0.3052,          -30.2738,
Ref 15,3.65670e-08,,,,,,1.1982e-02,4.2127e-03,4.9055e-05,4.6367e-06,3.1590e-08,,,,,,,,,,,
Sam 15,3.54089e-08,1.19227e-02,4.2311e-03,4.9009e-05,4.6783e-06,3.3966e-08,,,,,,           -4.9189,            4.3679,           -0.8701,            9.0601,           20.1613,           -8.2761,           -1.5424,           -0.0783,            0.3025,           16.7689,
Ref 16,3.59575e-08,,,,,,1.1982e-02,4.2127e-03,4.9049e-05,4.6359e-06,3.5029e-08,,,,,,,,,,,
Sam 16,3.47840e-08,1.19228e-02,4.2311e-03,4.9003e-05,4.6812e-06,3.3425e-08,,,,,,           -4.9047,            4.3578,           -0.9495,            9.3234,            3.6752,           -8.2607,           -1.5525,           -0.1626,            0.5835,            0.3422,
Ref 17,3.53640e-08,,,,,,1.1982e-02,4.2127e-03,4.9049e-05,4.6401e-06,3.1547e-08,,,,,,,,,,,
Sam 17,3.41754e-08,1.19227e-02,4.2311e-03,4.9004e-05,4.6833e-06,3.2293e-08,,,,,,           -4.9046,            4.3644,           -0.9356,            9.5453,            8.0937,           -8.2608,           -1.5460,           -0.1552,            0.7905,            4.7330,
Ref 18,3.47848e-08,,,,,,1.1981e-02,4.2127e-03,4.9049e-05,4.6380e-06,3.2530e-08,,,,,,,,,,,
Sam 18,3.35979e-08,1.19227e-02,4.2310e-03,4.8999e-05,4.6780e-06,3.1220e-08,,,,,,           -4.8998,            4.3567,           -1.0862,            8.4654,           52.0712,           -8.2553,           -1.5536,           -0.3034,           -0.2647,           48.5742,
Ref 19,3.42287e-08,,,,,,1.1981e-02,4.2127e-03,4.9055e-05,4.6395e-06,2.6774e-08,,,,,,,,,,,
Sam 19,3.30129e-08,1.19227e-02,4.2311e-03,4.9009e-05,4.6793e-06,2.7787e-08,,,,,,           -4.8997,            4.3733,           -0.8960,            9.0455,           81.6969,           -8.2559,           -1.5371,           -0.1294,            0.2773,           78.0664,
Ref 20,3.36758e-08,,,,,,1.1981e-02,4.2128e-03,4.9052e-05,4.6351e-06,2.4585e-08,,,,,,,,,,,
Sam 20,3.24433e-08,1.19226e-02,4.2311e-03,4.9002e-05,4.6776e-06,2.9277e-08,,,,,,           -4.9087,            4.3604,           -1.1048,            8.8960,          142.6532,           -8.2650,           -1.5499,           -0.3165,            0.1548,          138.8578,
Ref 21,3.31392e-08,,,,,,1.1982e-02,4.2128e-03,4.9060e-05,4.6376e-06,2.6677e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.28722e-08,,,,,,1.1982e-02,4.2128e-03,4.9052e-05,4.6397e-06,2.6627e-08,
Sam 1,3.16095e-08,1.19227e-02,4.2311e-03,4.9004e-05,4.6793e-06,3.0027e-08,,,,,,           -4.9092,            4.3559,           -0.9745,            8.7703,          128.1585,           -8.2654,           -1.5544,           -0.1811,            0.0392,          124.4219,
Ref 2,3.23484e-08,,,,,,1.1981e-02,4.2127e-03,4.9051e-05,4.6375e-06,2.6605e-08,,,,,,,,,,,
Sam 2,3.10693e-08,1.19226e-02,4.2312e-03,4.8999e-05,4.6786e-06,2.4460e-08,,,,,,           -4.9110,            4.3811,           -1.0609,            8.7614,          -45.3228,           -8.2681,           -1.5293,           -0.2903,           -0.0198,          -48.5300,
Ref 3,3.18313e-08,,,,,,1.1981e-02,4.2127e-03,4.9050e-05,4.6385e-06,2.4621e-08,,,,,,,,,,,
Sam 3,3.05371e-08,1.19227e-02,4.2312e-03,4.9007e-05,4.6734e-06,2.0032e-08,,,,,,           -4.9002,            4.3855,           -0.9217,            7.2706,          -83.7540,           -8.2568,           -1.5250,           -0.1666,           -1.5065,          -86.8506,
Ref 4,3.13331e-08,,,,,,1.1981e-02,4.2127e-03,4.9054e-05,4.6409e-06,1.9061e-08,,,,,,,,,,,
Sam 4,3.00308e-08,1.19226e-02,4.2311e-03,4.9002e-05,4.6789e-06,1.9292e-08,,,,,,           -4.9017,            4.3652,           -1.0216,            9.0591,          -53.8381,           -8.2577,           -1.5452,           -0.2452,            0.3070,          -56.9968,
Ref 5,3.08359e-08,,,,,,1.1981e-02,4.2127e-03,4.9050e-05,4.6328e-06,2.1740e-08,,,,,,,,,,,
Sam 5,2.95285e-08,1.19225e-02,4.2310e-03,4.9006e-05,4.6750e-06,2.4767e-08,,,,,,           -4.9027,            4.3565,           -0.8703,            8.8268,          -63.1271,           -8.2585,           -1.5538,           -0.0841,            0.0940,          -66.2377,
Ref 6,3.03511e-08,,,,,,1.1981e-02,4.2127e-03,4.9048e-05,4.6354e-06,3.1207e-08,,,,,,,,,,,
Sam 6,2.90406e-08,1.19223e-02,4.2311e-03,4.9012e-05,4.6768e-06,2.8232e-08,,,,,,           -4.9142,            4.3791,           -0.7652,            8.5990,          -15.7163,           -8.2715,           -1.5313,            0.0108,           -0.1769,          -19.0158,
Ref 7,2.98785e-08,,,,,,1.1981e-02,4.2127e-03,4.9051e-05,4.6385e-06,2.6117e-08,,,,,,,,,,,
Sam 7,2.85687e-08,1.19223e-02,4.2311e-03,4.8999e-05,4.6729e-06,2.4248e-08,,,,,,           -4.9204,            4.3607,           -1.0556,            7.6636,          -55.3216,           -8.2775,           -1.5496,           -0.2553,           -1.0675,          -58.4481,
Ref 8,2.94206e-08,,,,,,1.1981e-02,4.2127e-03,4.9051e-05,4.6363e-06,2.5211e-08,,,,,,,,,,,
Sam 8,2.81081e-08,1.19224e-02,4.2310e-03,4.8997e-05,4.6739e-06,2.2393e-08,,,,,,           -4.9051,            4.3584,           -1.0851,            8.8674,          -63.0649,           -8.2611,           -1.5519,           -0.2985,            0.1305,          -66.1768,
Ref 9,2.89662e-08,,,,,,1.1981e-02,4.2126e-03,4.9051e-05,4.6293e-06,2.2569e-08,,,,,,,,,,,
Sam 9,2.76548e-08,1.19224e-02,4.2311e-03,4.8996e-05,4.6762e-06,2.0600e-08,,,,,,           -4.9013,            4.3898,           -1.1044,           10.0066,          -70.0819,           -8.2581,           -1.5207,           -0.3525,            1.1971,          -73.2314,
Ref 10,2.85210e-08,,,,,,1.1981e-02,4.2126e-03,4.9050e-05,4.6305e-06,2.1730e-08,,,,,,,,,,,
Sam 10,2.72141e-08,1.19223e-02,4.2311e-03,4.9007e-05,4.6725e-06,2.3300e-08,,,,,,           -4.9060,            4.3718,           -0.9082,            9.0703,          109.1871,           -8.2625,           -1.5386,           -0.1336,            0.3049,          105.4751,
Ref 11,2.80873e-08,,,,,,1.1981e-02,4.2127e-03,4.9053e-05,4.6304e-06,2.0270e-08,,,,,,,,,,,
Sam 11,2.67841e-08,1.19222e-02,4.2310e-03,4.9006e-05,4.6697e-06,1.8132e-08,,,,,,           -4.9155,            4.3460,           -0.8516,            8.2009,         -157.3325,           -8.2717,           -1.5643,           -0.0418,           -0.5055,         -160.1016,
Ref 12,2.76647e-08,,,,,,1.1981e-02,4.2127e-03,4.9043e-05,4.6330e-06,2.2784e-08,,,,,,,,,,,
Sam 12,2.63668e-08,1.19222e-02,4.2310e-03,4.9003e-05,4.6731e-06,2.0894e-08,,,,,,           -4.9120,            4.3577,           -0.9785,            8.3522,         -128.4985,           -8.2684,           -1.5526,           -0.1840,           -0.3788,         -131.3855,
Ref 13,2.72505e-08,,,,,,1.1981e-02,4.2127e-03,4.9060e-05,4.6359e-06,2.5184e-08,,,,,,,,,,,
Sam 13,2.59599e-08,1.19222e-02,4.2311e-03,4.8998e-05,4.6700e-06,2.4342e-08,,,,,,           -4.9095,            4.3680,           -1.1825,            6.9657,           68.4691,           -8.2661,           -1.5423,           -0.4008,           -1.7739,           64.9052,
Ref 14,2.68511e-08,,,,,,1.1981e-02,4.2126e-03,4.9052e-05,4.6396e-06,2.0345e-08,,,,,,,,,,,
Sam 14,2.55603e-08,1.19221e-02,4.2310e-03,4.8997e-05,4.6736e-06,1.5153e-08,,,,,,           -4.9052,            4.3532,           -1.1790,            8.0209,         -128.4226,           -8.2610,           -1.5570,           -0.3873,           -0.6985,         -131.3088,
Ref 15,2.64575e-08,,,,,,1.1981e-02,4.2126e-03,4.9057e-05,4.6331e-06,1.4382e-08,,,,,,,,,,,
Sam 15,2.51699e-08,1.19219e-02,4.2310e-03,4.8996e-05,4.6700e-06,1.7143e-08,,,,,,           -4.9161,            4.3718,           -1.2399,            7.7034,           51.4351,           -8.2733,           -1.5386,           -0.4551,           -1.0501,           47.9276,
Ref 16,2.60764e-08,,,,,,1.1981e-02,4.2126e-03,4.9057e-05,4.6355e-06,1.8254e-08,,,,,,,,,,,
Sam 16,2.47828e-08,1.19221e-02,4.2310e-03,4.9001e-05,4.6702e-06,2.2360e-08,,,,,,           -4.9015,            4.3692,           -1.0383,            8.2845,          321.0662,           -8.2577,           -1.5411,           -0.2659,           -0.4690,          316.6453,
Ref 17,2.57007e-08,,,,,,1.1981e-02,4.2125e-03,4.9047e-05,4.6280e-06,1.5578e-08,,,,,,,,,,,
Sam 17,2.44046e-08,1.19220e-02,4.2309e-03,4.8995e-05,4.6643e-06,1.5475e-08,,,,,,           -4.9144,            4.3644,           -1.1009,            7.7341,          146.7453,           -8.2712,           -1.5459,           -0.3105,           -1.0050,          142.9344,
Ref 18,2.53284e-08,,,,,,1.1981e-02,4.2126e-03,4.9052e-05,4.6289e-06,1.1381e-08,,,,,,,,,,,
Sam 18,2.40323e-08,1.19219e-02,4.2309e-03,4.9001e-05,4.6647e-06,8.9213e-09,,,,,,           -4.9142,            4.3550,           -1.0590,            8.1722,         -171.9224,           -8.2707,           -1.5553,           -0.2595,           -0.5519,         -174.6592,
Ref 19,2.49624e-08,,,,,,1.1981e-02,4.2125e-03,4.9053e-05,4.6249e-06,1.0158e-08,,,,,,,,,,,
Sam 19,2.36706e-08,1.19219e-02,4.2310e-03,4.8992e-05,4.6714e-06,1.1475e-08,,,,,,           -4.9081,            4.3725,           -1.1569,            9.5974,          123.5817,           -8.2648,           -1.5379,           -0.3810,            0.8260,          119.8224,
Ref 20,2.46053e-08,,,,,,1.1981e-02,4.2125e-03,4.9046e-05,4.6291e-06,1.0269e-08,,,,,,,,,,,
Sam 20,2.33092e-08,1.19218e-02,4.2309e-03,4.8998e-05,4.6704e-06,1.0072e-08,,,,,,           -4.9143,            4.3642,           -0.9113,            8.9213,          103.8512,           -8.2711,           -1.5461,           -0.1207,            0.1724,          100.1831,
Ref 21,2.42486e-08,,,,,,1.1981e-02,4.2125e-03,4.9040e-05,4.6291e-06,7.9641e-09,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.40762e-08,,,,,,1.1981e-02,4.2125e-03,4.9042e-05,4.6321e-06,1.1868e-08,
Sam 1,2.27916e-08,1.19218e-02,4.2309e-03,4.9001e-05,4.6691e-06,5.4369e-09,,,,,,           -4.9049,            4.3610,           -0.8443,            8.1170,         -407.6595,           -8.2609,           -1.5494,           -0.0603,           -0.6186,         -409.6300,
Ref 2,2.37317e-08,,,,,,1.1981e-02,4.2125e-03,4.9044e-05,4.6309e-06,6.4498e-09,,,,,,,,,,,
Sam 2,2.24562e-08,1.19219e-02,4.2309e-03,4.9003e-05,4.6699e-06,5.6219e-09,,,,,,           -4.8955,            4.3762,           -0.9763,            9.0277,         -111.0634,           -8.2515,           -1.5342,           -0.2170,            0.2539,         -114.0560,
Ref 3,2.34010e-08,,,,,,1.1981e-02,4.2124e-03,4.9058e-05,4.6252e-06,6.1971e-09,,,,,,,,,,,
Sam 3,2.21322e-08,1.19217e-02,4.2308e-03,4.8999e-05,4.6667e-06,4.1769e-09,,,,,,           -4.9126,            4.3642,           -1.1459,            8.9297,         -100.6788,           -8.2693,           -1.5462,           -0.3571,            0.1807,         -103.6687,
Ref 4,2.30687e-08,,,,,,1.1981e-02,4.2124e-03,4.9053e-05,4.6256e-06,3.0696e-09,,,,,,,,,,,
Sam 4,2.18042e-08,1.19218e-02,4.2308e-03,4.8990e-05,4.6703e-06,3.6075e-10,,,,,,           -4.9110,            4.3764,           -1.3252,            9.4943,         -890.2421,           -8.2680,           -1.5340,           -0.5503,            0.7160,         -890.6098,
Ref 5,2.27399e-08,,,,,,1.1981e-02,4.2124e-03,4.9058e-05,4.6273e-06,3.5072e-09,,,,,,,,,,,
Sam 5,2.14841e-08,1.19218e-02,4.2308e-03,4.9003e-05,4.6589e-06,-1.2901e-09,,,,,,           -4.9145,            4.3461,           -1.0115,            7.5667,        -1621.7969,           -8.2707,           -1.5642,           -0.2030,           -1.1345,        -1619.7526,
Ref 6,2.24194e-08,,,,,,1.1981e-02,4.2125e-03,4.9047e-05,4.6206e-06,6.2209e-10,,,,,,,,,,,
Sam 6,2.11735e-08,1.19218e-02,4.2308e-03,4.9001e-05,4.6618e-06,5.4048e-10,,,,,,           -4.9147,            4.3549,           -0.9370,            8.9785,        -2111.9685,           -8.2712,           -1.5554,           -0.1369,            0.2475,        -2108.2939,
Ref 7,2.21067e-08,,,,,,1.1981e-02,4.2125e-03,4.9047e-05,4.6201e-06,-1.6099e-09,,,,,,,,,,,
Sam 7,2.08671e-08,1.19217e-02,4.2309e-03,4.8998e-05,4.6633e-06,-2.8365e-09,,,,,,           -4.9156,            4.3710,           -1.0022,            8.7654,          961.6011,           -8.2726,           -1.5393,           -0.2170,            0.0041,          955.0590,
Ref 8,2.17991e-08,,,,,,1.1981e-02,4.2124e-03,4.9047e-05,4.6255e-06,-1.2798e-09,,,,,,,,,,,
Sam 8,2.05713e-08,1.19218e-02,4.2308e-03,4.8992e-05,4.6654e-06,1.1648e-09,,,,,,           -4.9109,            4.3685,           -1.0508,            8.6037,         -165.4723,           -8.2677,           -1.5419,           -0.2679,           -0.1511,         -168.2553,
Ref 9,2.15018e-08,,,,,,1.1981e-02,4.2124e-03,4.9041e-05,4.6257e-06,4.1083e-09,,,,,,,,,,,
Sam 9,2.02793e-08,1.19217e-02,4.2308e-03,4.8997e-05,4.6634e-06,-1.5431e-09,,,,,,           -4.9108,            4.3758,           -0.9087,            7.8981,        -1527.2639,           -8.2678,           -1.5346,           -0.1331,           -0.8651,        -1525.4978,
Ref 10,2.12086e-08,,,,,,1.1980e-02,4.2123e-03,4.9041e-05,4.6280e-06,1.7286e-09,,,,,,,,,,,
Sam 10,1.99934e-08,1.19216e-02,4.2308e-03,4.8995e-05,4.6579e-06,-2.0035e-09,,,,,,           -4.9084,            4.3765,           -0.9600,            8.0750,        -3636.4395,           -8.2653,           -1.5339,           -0.1875,           -0.6910,        -3627.5986,
Ref 11,2.09185e-08,,,,,,1.1980e-02,4.2124e-03,4.9042e-05,4.6131e-06,-2.2216e-10,,,,,,,,,,,
Sam 11,1.97137e-08,1.19214e-02,4.2307e-03,4.8986e-05,4.6649e-06,-8.9889e-09,,,,,,           -4.9181,            4.3445,           -1.0351,           10.0618,          982.1316,           -8.2744,           -1.5657,           -0.2214,            1.3422,          975.6289,
Ref 12,2.06406e-08,,,,,,1.1980e-02,4.2124e-03,4.9031e-05,4.6239e-06,-8.9059e-09,,,,,,,,,,,
Sam 12,1.94430e-08,1.19215e-02,4.2307e-03,4.8991e-05,4.6639e-06,-1.0043e-08,,,,,,           -4.9172,            4.3431,           -0.9733,            8.0361,          717.4185,           -8.2735,           -1.5671,           -0.1591,           -0.6633,          711.7874,
Ref 13,2.03660e-08,,,,,,1.1980e-02,4.2123e-03,4.9047e-05,4.6296e-06,-2.7482e-09,,,,,,,,,,,
Sam 13,1.91754e-08,1.19215e-02,4.2307e-03,4.8993e-05,4.6650e-06,-1.0276e-08,,,,,,           -4.9155,            4.3620,           -1.0624,            8.5152,         1203.9978,           -8.2723,           -1.5483,           -0.2686,           -0.2259,         1196.6860,
Ref 14,2.00956e-08,,,,,,1.1980e-02,4.2123e-03,4.9043e-05,4.6216e-06,-6.6027e-09,,,,,,,,,,,
Sam 14,1.89128e-08,1.19213e-02,4.2307e-03,4.8992e-05,4.6663e-06,-8.7646e-09,,,,,,           -4.9181,            4.3609,           -1.0161,            9.6274,           83.5933,           -8.2750,           -1.5494,           -0.2184,            0.8789,           80.0040,
Ref 15,1.98313e-08,,,,,,1.1980e-02,4.2123e-03,4.9040e-05,4.6220e-06,-9.5940e-09,,,,,,,,,,,
Sam 15,1.86571e-08,1.19213e-02,4.2307e-03,4.8990e-05,4.6593e-06,-1.2910e-08,,,,,,           -4.9105,            4.3705,           -1.1129,            7.6511,          688.2135,           -8.2673,           -1.5399,           -0.3325,           -1.0994,          682.5760,
Ref 16,1.95691e-08,,,,,,1.1980e-02,4.2122e-03,4.9048e-05,4.6258e-06,-5.6745e-09,,,,,,,,,,,
Sam 16,1.84017e-08,1.19216e-02,4.2307e-03,4.8984e-05,4.6628e-06,-6.8118e-09,,,,,,           -4.8938,            4.3810,           -1.2041,            9.3466,         -366.5270,           -8.2499,           -1.5294,           -0.4514,            0.5604,         -368.6666,
Ref 17,1.93098e-08,,,,,,1.1980e-02,4.2122e-03,4.9038e-05,4.6134e-06,-1.5900e-08,,,,,,,,,,,
Sam 17,1.81504e-08,1.19214e-02,4.2307e-03,4.8982e-05,4.6604e-06,-1.6344e-08,,,,,,           -4.9117,            4.3718,           -1.1677,            9.3798,           36.6601,           -8.2686,           -1.5386,           -0.3873,            0.6117,           33.1971,
Ref 18,1.90589e-08,,,,,,1.1980e-02,4.2123e-03,4.9041e-05,4.6208e-06,-1.5631e-08,,,,,,,,,,,
Sam 18,1.79076e-08,1.19215e-02,4.2307e-03,4.8987e-05,4.6569e-06,-1.0894e-08,,,,,,           -4.8984,            4.3653,           -1.1445,            6.9459,           56.8931,           -8.2542,           -1.5451,           -0.3716,           -1.7881,           53.3609,
Ref 19,1.88107e-08,,,,,,1.1980e-02,4.2123e-03,4.9046e-05,4.6289e-06,-4.9146e-09,,,,,,,,,,,
Sam 19,1.76678e-08,1.19214e-02,4.2307e-03,4.8994e-05,4.6588e-06,-5.1415e-09,,,,,,           -4.8998,            4.3746,           -0.9623,            6.8250,          -43.8598,           -8.2560,           -1.5358,           -0.1970,           -1.9266,          -47.0713,
Ref 20,1.85662e-08,,,,,,1.1980e-02,4.2122e-03,4.9037e-05,4.6256e-06,-5.8461e-09,,,,,,,,,,,
Sam 20,1.74299e-08,1.19213e-02,4.2306e-03,4.8987e-05,4.6615e-06,-1.0967e-08,,,,,,           -4.9190,            4.3620,           -1.0578,            8.9481,          397.4988,           -8.2760,           -1.5483,           -0.2603,            0.2033,          392.8679,
