Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 18, 2023 at 01:08 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 18, 2023 at 02:07 with Stable 1.71.5 on PS019

Data File = Data_19650 WS4_53_7_B.txt,    Sample Weight = 435,                      Vial Location = 42,                       Initial Sam Beam = 1.3354e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1381e-08,                Max Ref Beam = 1.0669e-07,                

Analysis undertaken at mass 46.04831
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.22955e-09,,,,,,1.3727e-02,5.7235e-03,2.5890e-05,-6.4300e-06,-2.0885e-06,
Sam 1,4.89051e-08,1.20506e-02,4.2706e-03,4.9991e-05,4.7702e-06,4.9006e-08,,,,,,           -8.2931,          -20.2864,           68.1799,          337.8478,        -1307.9020,          -11.0089,          -26.0701,           99.3415,          393.8255,        -1323.4150,
Ref 2,4.86626e-08,,,,,,1.1982e-02,4.2124e-03,4.9047e-05,4.6398e-06,4.8181e-08,,,,,,,,,,,
Sam 2,4.79168e-08,1.20509e-02,4.2707e-03,4.9987e-05,4.7691e-06,4.9289e-08,,,,,,            5.7367,           13.8269,           19.1197,           28.0210,           37.7241,            2.7377,            7.8475,           -0.4703,            0.1712,            3.9418,
Ref 3,4.77632e-08,,,,,,1.1982e-02,4.2125e-03,4.9051e-05,4.6384e-06,4.6801e-08,,,,,,,,,,,
Sam 3,4.69718e-08,1.20510e-02,4.2708e-03,4.9994e-05,4.7724e-06,4.8240e-08,,,,,,            5.7328,           13.8382,           19.2314,           28.2727,           45.3928,            2.7331,            7.8587,           -0.3676,            0.3939,           11.3431,
Ref 4,4.68912e-08,,,,,,1.1982e-02,4.2125e-03,4.9050e-05,4.6440e-06,4.5478e-08,,,,,,,,,,,
Sam 4,4.60486e-08,1.20510e-02,4.2708e-03,4.9991e-05,4.7716e-06,4.8640e-08,,,,,,            5.7293,           13.8348,           19.2621,           27.5544,           62.7892,            2.7296,            7.8553,           -0.3307,           -0.2982,           28.1833,
Ref 5,4.60423e-08,,,,,,1.1982e-02,4.2126e-03,4.9044e-05,4.6432e-06,4.6060e-08,,,,,,,,,,,
Sam 5,4.51554e-08,1.20511e-02,4.2709e-03,5.0000e-05,4.7731e-06,4.9234e-08,,,,,,            5.7397,           13.8288,           19.4924,           27.6914,           71.1489,            2.7409,            7.8493,           -0.1096,           -0.1530,           36.2714,
Ref 6,4.52202e-08,,,,,,1.1982e-02,4.2126e-03,4.9044e-05,4.6458e-06,4.5866e-08,,,,,,,,,,,
Sam 6,4.42843e-08,1.20511e-02,4.2709e-03,5.0004e-05,4.7699e-06,4.5931e-08,,,,,,            5.7349,           13.8328,           19.4984,           27.1428,           60.4314,            2.7356,            7.8533,           -0.1027,           -0.6947,           25.9002,
Ref 7,4.44112e-08,,,,,,1.1982e-02,4.2127e-03,4.9052e-05,4.6419e-06,4.0714e-08,,,,,,,,,,,
Sam 7,4.34380e-08,1.20510e-02,4.2710e-03,4.9999e-05,4.7712e-06,4.3030e-08,,,,,,            5.7286,           13.8363,           19.2994,           27.6174,           24.1033,            2.7288,            7.8569,           -0.2949,           -0.2400,           -9.2452,
Ref 8,4.36267e-08,,,,,,1.1982e-02,4.2127e-03,4.9053e-05,4.6441e-06,4.3344e-08,,,,,,,,,,,
Sam 8,4.26143e-08,1.20511e-02,4.2710e-03,5.0004e-05,4.7726e-06,4.5394e-08,,,,,,            5.7405,           13.8312,           19.3719,           27.7648,           82.8486,            2.7417,            7.8517,           -0.2310,           -0.0865,           47.5844,
Ref 9,4.28574e-08,,,,,,1.1982e-02,4.2128e-03,4.9055e-05,4.6432e-06,4.0471e-08,,,,,,,,,,,
Sam 9,4.18080e-08,1.20511e-02,4.2710e-03,5.0001e-05,4.7706e-06,3.9122e-08,,,,,,            5.7364,           13.8255,           19.2186,           27.4630,           40.7447,            2.7375,            7.8461,           -0.3716,           -0.3689,            6.8671,
Ref 10,4.21055e-08,,,,,,1.1982e-02,4.2128e-03,4.9060e-05,4.6430e-06,3.4658e-08,,,,,,,,,,,
Sam 10,4.10237e-08,1.20512e-02,4.2712e-03,5.0004e-05,4.7683e-06,3.5847e-08,,,,,,            5.7430,           13.8469,           19.2804,           27.1686,           29.5793,            2.7438,            7.8674,           -0.3386,           -0.6975,           -3.9832,
Ref 11,4.13725e-08,,,,,,1.1982e-02,4.2128e-03,4.9057e-05,4.6414e-06,3.4978e-08,,,,,,,,,,,
Sam 11,4.02638e-08,1.20510e-02,4.2711e-03,5.0005e-05,4.7712e-06,3.6079e-08,,,,,,            5.7231,           13.8314,           19.3434,           27.8508,           -8.3761,            2.7231,            7.8520,           -0.2414,           -0.0032,          -40.6522,
Ref 12,4.06579e-08,,,,,,1.1982e-02,4.2129e-03,4.9055e-05,4.6424e-06,3.7814e-08,,,,,,,,,,,
Sam 12,3.95218e-08,1.20511e-02,4.2712e-03,5.0004e-05,4.7688e-06,3.7951e-08,,,,,,            5.7307,           13.8288,           19.3823,           27.0082,           52.3239,            2.7312,            7.8493,           -0.2084,           -0.8178,           18.0692,
Ref 13,3.99585e-08,,,,,,1.1982e-02,4.2129e-03,4.9052e-05,4.6444e-06,3.4283e-08,,,,,,,,,,,
Sam 13,3.87948e-08,1.20511e-02,4.2712e-03,5.0004e-05,4.7717e-06,3.5588e-08,,,,,,            5.7344,           13.8390,           19.2666,           27.5925,            4.6810,            2.7349,            7.8595,           -0.3355,           -0.2694,          -28.0459,
Ref 14,3.92716e-08,,,,,,1.1982e-02,4.2129e-03,4.9065e-05,4.6426e-06,3.6581e-08,,,,,,,,,,,
Sam 14,3.80874e-08,1.20510e-02,4.2712e-03,5.0007e-05,4.7730e-06,3.5319e-08,,,,,,            5.7308,           13.8354,           19.2519,           28.0751,          -13.9534,            2.7312,            7.8559,           -0.3428,            0.2072,          -46.0630,
Ref 15,3.86058e-08,,,,,,1.1982e-02,4.2129e-03,4.9060e-05,4.6427e-06,3.5044e-08,,,,,,,,,,,
Sam 15,3.73982e-08,1.20510e-02,4.2712e-03,5.0003e-05,4.7709e-06,3.8791e-08,,,,,,            5.7345,           13.8292,           19.1586,           27.6400,           70.0111,            2.7353,            7.8498,           -0.4321,           -0.2040,           35.1755,
Ref 16,3.79496e-08,,,,,,1.1982e-02,4.2129e-03,4.9066e-05,4.6426e-06,3.7483e-08,,,,,,,,,,,
Sam 16,3.67249e-08,1.20510e-02,4.2711e-03,5.0010e-05,4.7698e-06,3.7185e-08,,,,,,            5.7432,           13.8244,           19.2735,           27.4742,          -24.4692,            2.7447,            7.8449,           -0.3236,           -0.3558,          -56.2286,
Ref 17,3.73147e-08,,,,,,1.1982e-02,4.2129e-03,4.9062e-05,4.6420e-06,3.8763e-08,,,,,,,,,,,
Sam 17,3.60709e-08,1.20508e-02,4.2711e-03,5.0001e-05,4.7709e-06,3.7081e-08,,,,,,            5.7263,           13.8168,           19.1808,           28.0999,           61.4050,            2.7271,            7.8375,           -0.3900,            0.2679,           26.8831,
Ref 18,3.66875e-08,,,,,,1.1982e-02,4.2130e-03,4.9059e-05,4.6391e-06,3.1042e-08,,,,,,,,,,,
Sam 18,3.54324e-08,1.20508e-02,4.2712e-03,5.0006e-05,4.7690e-06,3.2258e-08,,,,,,            5.7305,           13.8248,           19.3264,           27.7198,           51.3286,            2.7312,            7.8454,           -0.2592,           -0.1177,           17.1142,
Ref 19,3.60784e-08,,,,,,1.1982e-02,4.2130e-03,4.9057e-05,4.6416e-06,3.0318e-08,,,,,,,,,,,
Sam 19,3.48096e-08,1.20507e-02,4.2712e-03,5.0006e-05,4.7705e-06,3.2075e-08,,,,,,            5.7275,           13.8296,           19.3288,           27.9820,           95.1870,            2.7278,            7.8502,           -0.2584,            0.1280,           59.5389,
Ref 20,3.54846e-08,,,,,,1.1982e-02,4.2129e-03,4.9058e-05,4.6396e-06,2.8240e-08,,,,,,,,,,,
Sam 20,3.42002e-08,1.20507e-02,4.2712e-03,4.9998e-05,4.7702e-06,2.8197e-08,,,,,,            5.7367,           13.8412,           19.1680,           28.1029,            4.3217,            2.7372,            7.8618,           -0.4369,            0.2226,          -28.4002,
Ref 21,3.49052e-08,,,,,,1.1982e-02,4.2129e-03,4.9057e-05,4.6400e-06,2.7909e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.46221e-08,,,,,,1.1982e-02,4.2129e-03,4.9065e-05,4.6421e-06,3.0364e-08,
Sam 1,3.33062e-08,1.20507e-02,4.2712e-03,5.0006e-05,4.7716e-06,2.8519e-08,,,,,,            5.7320,           13.8357,           19.2040,           27.8450,          -36.3415,            2.7324,            7.8563,           -0.3913,           -0.0174,          -67.7238,
Ref 2,3.40588e-08,,,,,,1.1982e-02,4.2129e-03,4.9062e-05,4.6425e-06,2.8813e-08,,,,,,,,,,,
Sam 2,3.27259e-08,1.20507e-02,4.2712e-03,5.0009e-05,4.7709e-06,3.1117e-08,,,,,,            5.7379,           13.8337,           19.3002,           27.6573,           41.2515,            2.7387,            7.8543,           -0.3011,           -0.1960,            7.3398,
Ref 3,3.35069e-08,,,,,,1.1982e-02,4.2129e-03,4.9062e-05,4.6426e-06,3.0974e-08,,,,,,,,,,,
Sam 3,3.21568e-08,1.20507e-02,4.2712e-03,4.9999e-05,4.7697e-06,3.3225e-08,,,,,,            5.7433,           13.8370,           19.0559,           27.2972,           60.7974,            2.7445,            7.8576,           -0.5495,           -0.5530,           26.2366,
Ref 4,3.29643e-08,,,,,,1.1982e-02,4.2129e-03,4.9067e-05,4.6433e-06,3.1673e-08,,,,,,,,,,,
Sam 4,3.16055e-08,1.20505e-02,4.2711e-03,5.0005e-05,4.7711e-06,3.7318e-08,,,,,,            5.7304,           13.7976,           19.1967,           27.5904,          208.5786,            2.7321,            7.8183,           -0.3598,           -0.1899,          169.3086,
Ref 5,3.24340e-08,,,,,,1.1982e-02,4.2130e-03,4.9060e-05,4.6428e-06,3.0069e-08,,,,,,,,,,,
Sam 5,3.10693e-08,1.20506e-02,4.2712e-03,5.0014e-05,4.7649e-06,3.3225e-08,,,,,,            5.7387,           13.8324,           19.3631,           26.6356,          107.8580,            2.7397,            7.8530,           -0.2390,           -1.1875,           71.7788,
Ref 6,3.19173e-08,,,,,,1.1982e-02,4.2129e-03,4.9068e-05,4.6397e-06,2.9911e-08,,,,,,,,,,,
Sam 6,3.05440e-08,1.20505e-02,4.2712e-03,5.0008e-05,4.7664e-06,2.9166e-08,,,,,,            5.7339,           13.8332,           19.1943,           27.6035,           12.0299,            2.7346,            7.8538,           -0.4004,           -0.2474,          -20.9251,
Ref 7,3.14069e-08,,,,,,1.1982e-02,4.2129e-03,4.9065e-05,4.6370e-06,2.7710e-08,,,,,,,,,,,
Sam 7,3.00342e-08,1.20505e-02,4.2712e-03,5.0007e-05,4.7678e-06,3.2876e-08,,,,,,            5.7275,           13.8386,           19.1952,           27.7309,          122.6329,            2.7275,            7.8592,           -0.3982,           -0.1341,           86.0723,
Ref 8,3.09108e-08,,,,,,1.1982e-02,4.2129e-03,4.9065e-05,4.6413e-06,3.0885e-08,,,,,,,,,,,
Sam 8,2.95409e-08,1.20504e-02,4.2711e-03,5.0016e-05,4.7719e-06,3.0931e-08,,,,,,            5.7254,           13.8197,           19.3810,           28.1089,           34.3010,            2.7260,            7.8403,           -0.1954,            0.2710,            0.6562,
Ref 9,3.04309e-08,,,,,,1.1982e-02,4.2129e-03,4.9066e-05,4.6415e-06,2.8910e-08,,,,,,,,,,,
Sam 9,2.90595e-08,1.20504e-02,4.2711e-03,5.0012e-05,4.7702e-06,3.0699e-08,,,,,,            5.7303,           13.8196,           19.2321,           27.4166,           29.1259,            2.7312,            7.8402,           -0.3464,           -0.4023,           -4.3555,
Ref 10,2.99566e-08,,,,,,1.1982e-02,4.2129e-03,4.9070e-05,4.6443e-06,3.0765e-08,,,,,,,,,,,
Sam 10,2.85903e-08,1.20503e-02,4.2711e-03,5.0010e-05,4.7689e-06,3.3692e-08,,,,,,            5.7276,           13.8085,           19.1553,           27.0765,          100.4788,            2.7287,            7.8291,           -0.4082,           -0.7113,           64.7019,
Ref 11,2.94940e-08,,,,,,1.1982e-02,4.2129e-03,4.9070e-05,4.6420e-06,3.0465e-08,,,,,,,,,,,
Sam 11,2.81293e-08,1.20503e-02,4.2711e-03,5.0006e-05,4.7660e-06,2.9566e-08,,,,,,            5.7358,           13.8189,           19.1547,           27.3008,           -7.3867,            2.7370,            7.8395,           -0.4272,           -0.5136,          -39.6846,
Ref 12,2.90380e-08,,,,,,1.1982e-02,4.2129e-03,4.9062e-05,4.6367e-06,2.9096e-08,,,,,,,,,,,
Sam 12,2.76792e-08,1.20502e-02,4.2711e-03,5.0010e-05,4.7691e-06,3.0053e-08,,,,,,            5.7353,           13.8358,           19.2945,           28.4279,            7.9136,            2.7359,            7.8563,           -0.3060,            0.5496,          -24.9135,
Ref 13,2.85934e-08,,,,,,1.1982e-02,4.2128e-03,4.9065e-05,4.6380e-06,3.0549e-08,,,,,,,,,,,
Sam 13,2.72425e-08,1.20502e-02,4.2711e-03,5.0021e-05,4.7718e-06,2.9714e-08,,,,,,            5.7332,           13.8475,           19.4462,           28.5416,          -28.7749,            2.7333,            7.8679,           -0.1664,            0.6372,          -60.4263,
Ref 14,2.81638e-08,,,,,,1.1982e-02,4.2129e-03,4.9068e-05,4.6409e-06,3.0641e-08,,,,,,,,,,,
Sam 14,2.68167e-08,1.20504e-02,4.2711e-03,5.0014e-05,4.7669e-06,3.3600e-08,,,,,,            5.7468,           13.8211,           19.3204,           27.1236,           65.7434,            2.7486,            7.8417,           -0.2781,           -0.6904,           31.0496,
Ref 15,2.77422e-08,,,,,,1.1982e-02,4.2129e-03,4.9064e-05,4.6411e-06,3.2428e-08,,,,,,,,,,,
Sam 15,2.63953e-08,1.20502e-02,4.2711e-03,5.0021e-05,4.7648e-06,4.2991e-08,,,,,,            5.7256,           13.8145,           19.4913,           26.8580,          270.7763,            2.7264,            7.8351,           -0.0824,           -0.9357,          229.4511,
Ref 16,2.73341e-08,,,,,,1.1982e-02,4.2129e-03,4.9067e-05,4.6392e-06,3.5254e-08,,,,,,,,,,,
Sam 16,2.59830e-08,1.20502e-02,4.2710e-03,5.0012e-05,4.7641e-06,3.4527e-08,,,,,,            5.7273,           13.8023,           19.2518,           26.8543,            9.3254,            2.7285,            7.8230,           -0.3072,           -0.9152,          -23.4760,
Ref 17,2.69303e-08,,,,,,1.1982e-02,4.2129e-03,4.9069e-05,4.6398e-06,3.3146e-08,,,,,,,,,,,
Sam 17,2.55803e-08,1.20502e-02,4.2711e-03,5.0017e-05,4.7702e-06,4.1942e-08,,,,,,            5.7374,           13.8275,           19.3527,           28.3596,          263.1342,            2.7385,            7.8480,           -0.2430,            0.4996,          222.0116,
Ref 18,2.65344e-08,,,,,,1.1981e-02,4.2128e-03,4.9065e-05,4.6376e-06,3.3263e-08,,,,,,,,,,,
Sam 18,2.51815e-08,1.20500e-02,4.2710e-03,5.0016e-05,4.7661e-06,3.1365e-08,,,,,,            5.7303,           13.8183,           19.3751,           27.7253,           25.6522,            2.7312,            7.8390,           -0.2049,           -0.0995,           -7.7138,
Ref 19,2.61437e-08,,,,,,1.1981e-02,4.2128e-03,4.9066e-05,4.6375e-06,2.7858e-08,,,,,,,,,,,
Sam 19,2.47922e-08,1.20498e-02,4.2710e-03,5.0006e-05,4.7689e-06,2.6390e-08,,,,,,            5.7161,           13.8133,           19.1597,           27.8283,           10.8252,            2.7162,            7.8340,           -0.3967,            0.0106,          -22.0343,
Ref 20,2.57586e-08,,,,,,1.1981e-02,4.2128e-03,4.9065e-05,4.6422e-06,2.4332e-08,,,,,,,,,,,
Sam 20,2.44125e-08,1.20499e-02,4.2710e-03,5.0006e-05,4.7676e-06,2.7350e-08,,,,,,            5.7357,           13.8100,           19.1365,           27.4707,           39.5114,            2.7372,            7.8307,           -0.4364,           -0.3309,            5.7050,
Ref 21,2.53830e-08,,,,,,1.1981e-02,4.2128e-03,4.9069e-05,4.6381e-06,2.8319e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.51981e-08,,,,,,1.1981e-02,4.2127e-03,4.9069e-05,4.6375e-06,2.3730e-08,
Sam 1,2.38614e-08,1.20498e-02,4.2710e-03,5.0016e-05,4.7701e-06,2.8904e-08,,,,,,            5.7370,           13.8176,           19.2809,           28.3816,          131.3678,            2.7383,            7.8382,           -0.3035,            0.5405,           94.5564,
Ref 2,2.48325e-08,,,,,,1.1981e-02,4.2128e-03,4.9070e-05,4.6395e-06,2.7392e-08,,,,,,,,,,,
Sam 2,2.35019e-08,1.20498e-02,4.2709e-03,5.0014e-05,4.7652e-06,2.1966e-08,,,,,,            5.7424,           13.8103,           19.1921,           26.9992,         -288.8115,            2.7444,            7.8309,           -0.3889,           -0.7901,         -311.9454,
Ref 3,2.44765e-08,,,,,,1.1981e-02,4.2127e-03,4.9074e-05,4.6403e-06,3.4431e-08,,,,,,,,,,,
Sam 3,2.31529e-08,1.20496e-02,4.2709e-03,5.0014e-05,4.7653e-06,3.4716e-08,,,,,,            5.7214,           13.8183,           19.2243,           27.2431,           75.3136,            2.7217,            7.8389,           -0.3437,           -0.5686,           40.3418,
Ref 4,2.41260e-08,,,,,,1.1981e-02,4.2127e-03,4.9068e-05,4.6374e-06,3.0106e-08,,,,,,,,,,,
Sam 4,2.28104e-08,1.20497e-02,4.2709e-03,5.0018e-05,4.7696e-06,3.3293e-08,,,,,,            5.7262,           13.8043,           19.3338,           28.5916,           91.7303,            2.7273,            7.8250,           -0.2276,            0.7710,           56.2480,
Ref 5,2.37857e-08,,,,,,1.1981e-02,4.2127e-03,4.9070e-05,4.6366e-06,3.0890e-08,,,,,,,,,,,
Sam 5,2.24790e-08,1.20496e-02,4.2708e-03,5.0011e-05,4.7660e-06,3.5375e-08,,,,,,            5.7248,           13.7994,           19.2056,           27.5381,          131.3728,            2.7260,            7.8202,           -0.3472,           -0.2444,           94.6139,
Ref 6,2.34470e-08,,,,,,1.1981e-02,4.2127e-03,4.9067e-05,4.6399e-06,3.1649e-08,,,,,,,,,,,
Sam 6,2.21478e-08,1.20496e-02,4.2707e-03,5.0004e-05,4.7670e-06,2.8597e-08,,,,,,            5.7319,           13.7845,           19.1529,           27.2697,            5.4792,            2.7340,            7.8053,           -0.3917,           -0.4762,          -27.1684,
Ref 7,2.31156e-08,,,,,,1.1981e-02,4.2126e-03,4.9061e-05,4.6410e-06,2.5187e-08,,,,,,,,,,,
Sam 7,2.18283e-08,1.20494e-02,4.2708e-03,5.0015e-05,4.7655e-06,2.5706e-08,,,,,,            5.7166,           13.8035,           19.3330,           26.3352,          -60.3580,            2.7171,            7.8243,           -0.2178,           -1.4228,          -90.8866,
Ref 8,2.27950e-08,,,,,,1.1981e-02,4.2127e-03,4.9072e-05,4.6454e-06,2.9558e-08,,,,,,,,,,,
Sam 8,2.15134e-08,1.20495e-02,4.2708e-03,5.0006e-05,4.7666e-06,3.1518e-08,,,,,,            5.7289,           13.7905,           19.0670,           26.0594,          112.1789,            2.7307,            7.8113,           -0.4787,           -1.6655,           76.0577,
Ref 9,2.24779e-08,,,,,,1.1981e-02,4.2127e-03,4.9068e-05,4.6457e-06,2.7103e-08,,,,,,,,,,,
Sam 9,2.12070e-08,1.20495e-02,4.2708e-03,5.0007e-05,4.7685e-06,2.9866e-08,,,,,,            5.7336,           13.8073,           19.1803,           26.7742,          128.5181,            2.7351,            7.8280,           -0.3888,           -1.0031,           91.8251,
Ref 10,2.21710e-08,,,,,,1.1981e-02,4.2126e-03,4.9064e-05,4.6427e-06,2.5817e-08,,,,,,,,,,,
Sam 10,2.09067e-08,1.20494e-02,4.2707e-03,5.0020e-05,4.7693e-06,3.6128e-08,,,,,,            5.7326,           13.7999,           19.4644,           27.8267,          204.6116,            2.7343,            7.8206,           -0.1018,            0.0356,          165.4625,
Ref 11,2.18661e-08,,,,,,1.1981e-02,4.2126e-03,4.9066e-05,4.6376e-06,3.4224e-08,,,,,,,,,,,
Sam 11,2.06107e-08,1.20491e-02,4.2707e-03,5.0012e-05,4.7611e-06,3.3254e-08,,,,,,            5.7137,           13.7948,           19.3332,           26.7094,           14.6506,            2.7144,            7.8155,           -0.2062,           -1.0415,          -18.2955,
Ref 12,2.15635e-08,,,,,,1.1981e-02,4.2126e-03,4.9060e-05,4.6370e-06,3.1304e-08,,,,,,,,,,,
Sam 12,2.03175e-08,1.20492e-02,4.2707e-03,5.0013e-05,4.7664e-06,3.5354e-08,,,,,,            5.7300,           13.8045,           19.3689,           27.7024,          235.3709,            2.7313,            7.8252,           -0.1972,           -0.0945,          195.2147,
Ref 13,2.12690e-08,,,,,,1.1981e-02,4.2126e-03,4.9066e-05,4.6389e-06,2.5894e-08,,,,,,,,,,,
Sam 13,2.00321e-08,1.20493e-02,4.2707e-03,5.0008e-05,4.7657e-06,3.1207e-08,,,,,,            5.7392,           13.8083,           19.1364,           27.3853,           43.4963,            2.7411,            7.8290,           -0.4384,           -0.4105,            9.5599,
Ref 14,2.09804e-08,,,,,,1.1980e-02,4.2126e-03,4.9072e-05,4.6383e-06,3.3972e-08,,,,,,,,,,,
Sam 14,1.97524e-08,1.20490e-02,4.2706e-03,5.0022e-05,4.7619e-06,2.8372e-08,,,,,,            5.7183,           13.7895,           19.3198,           26.3136,         -119.8100,            2.7195,            7.8103,           -0.2190,           -1.4163,         -148.3855,
Ref 15,2.06977e-08,,,,,,1.1981e-02,4.2125e-03,4.9075e-05,4.6414e-06,3.0471e-08,,,,,,,,,,,
Sam 15,1.94803e-08,1.20491e-02,4.2707e-03,5.0011e-05,4.7660e-06,2.7886e-08,,,,,,            5.7264,           13.8151,           19.0721,           26.8795,          -33.4400,            2.7271,            7.8358,           -0.4950,           -0.9161,          -64.8739,
Ref 16,2.04184e-08,,,,,,1.1980e-02,4.2125e-03,4.9075e-05,4.6411e-06,2.7209e-08,,,,,,,,,,,
Sam 16,1.92094e-08,1.20493e-02,4.2707e-03,5.0010e-05,4.7646e-06,3.6537e-08,,,,,,            5.7476,           13.8116,           19.1477,           27.3532,          160.6163,            2.7498,            7.8323,           -0.4391,           -0.4483,          122.8537,
Ref 17,2.01436e-08,,,,,,1.1980e-02,4.2125e-03,4.9066e-05,4.6343e-06,3.5810e-08,,,,,,,,,,,
Sam 17,1.89409e-08,1.20491e-02,4.2706e-03,5.0005e-05,4.7717e-06,4.4777e-08,,,,,,            5.7292,           13.7836,           19.1237,           29.2576,          100.3177,            2.7312,            7.8044,           -0.4166,            1.4599,           64.5956,
Ref 18,1.98730e-08,,,,,,1.1980e-02,4.2125e-03,4.9067e-05,4.6379e-06,4.5646e-08,,,,,,,,,,,
Sam 18,1.86814e-08,1.20491e-02,4.2706e-03,5.0010e-05,4.7621e-06,4.1551e-08,,,,,,            5.7342,           13.7961,           19.2223,           26.0843,           19.4697,            2.7361,            7.8168,           -0.3372,           -1.6522,          -13.6567,
Ref 19,1.96123e-08,,,,,,1.1980e-02,4.2124e-03,4.9066e-05,4.6443e-06,3.5804e-08,,,,,,,,,,,
Sam 19,1.84262e-08,1.20489e-02,4.2706e-03,5.0009e-05,4.7630e-06,4.3242e-08,,,,,,            5.7236,           13.8218,           19.1928,           25.8908,           94.1168,            2.7240,            7.8425,           -0.3802,           -1.8912,           58.5238,
Ref 20,1.93517e-08,,,,,,1.1980e-02,4.2124e-03,4.9069e-05,4.6413e-06,4.3291e-08,,,,,,,,,,,
Sam 20,1.81746e-08,1.20488e-02,4.2705e-03,5.0018e-05,4.7708e-06,4.3133e-08,,,,,,            5.7181,           13.8017,           19.3840,           27.8854,           59.6586,            2.7188,            7.8224,           -0.1676,            0.0892,           25.2326,
Ref 21,1.90958e-08,,,,,,1.1980e-02,4.2124e-03,4.9064e-05,4.6415e-06,3.8083e-08,,,,,,,,,,,


