Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 18, 2023 at 06:35 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 18, 2023 at 07:34 with Stable 1.71.5 on PS019

Data File = Data_19654 SB1_98_A.txt,      Sample Weight = 476,                      Vial Location = 46,                       Initial Sam Beam = 1.0619e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8267e-08,                Max Ref Beam = 1.0646e-07,                

Analysis undertaken at mass 46.05075
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.35010e-08,,,,,,1.1969e-02,4.2020e-03,4.8839e-05,4.6171e-06,4.5719e-08,
Sam 1,9.23913e-08,1.20493e-02,4.2784e-03,5.0042e-05,4.7874e-06,4.9200e-08,,,,,,            6.5925,           17.9611,           24.2864,           36.3526,           64.8239,            3.5063,           11.9598,           -0.2948,            0.1040,           21.0220,
Ref 2,9.01520e-08,,,,,,1.1972e-02,4.2038e-03,4.8873e-05,4.6220e-06,4.6709e-08,,,,,,,,,,,
Sam 2,8.88993e-08,1.20514e-02,4.2799e-03,5.0071e-05,4.7905e-06,5.0396e-08,,,,,,            6.5932,           17.9581,           24.2870,           36.1235,           48.7868,            3.5071,           11.9568,           -0.2920,           -0.1112,            5.6497,
Ref 3,8.69951e-08,,,,,,1.1973e-02,4.2050e-03,4.8895e-05,4.6251e-06,4.9444e-08,,,,,,,,,,,
Sam 3,8.55337e-08,1.20532e-02,4.2813e-03,5.0097e-05,4.7953e-06,5.2935e-08,,,,,,            6.6091,           18.0003,           24.3685,           36.5129,           52.2842,            3.5225,           11.9988,           -0.2696,            0.1816,            8.9040,
Ref 4,8.39594e-08,,,,,,1.1975e-02,4.2061e-03,4.8916e-05,4.6276e-06,5.1197e-08,,,,,,,,,,,
Sam 4,8.22797e-08,1.20547e-02,4.2823e-03,5.0121e-05,4.7965e-06,5.3666e-08,,,,,,            6.6171,           18.0023,           24.4581,           36.1503,           57.0537,            3.5310,           12.0007,           -0.1922,           -0.1720,           13.4645,
Ref 5,8.10425e-08,,,,,,1.1976e-02,4.2071e-03,4.8933e-05,4.6307e-06,5.0326e-08,,,,,,,,,,,
Sam 5,7.91594e-08,1.20560e-02,4.2834e-03,5.0135e-05,4.7969e-06,5.2210e-08,,,,,,            6.6286,           18.0366,           24.4504,           35.5521,           52.6241,            3.5421,           12.0348,           -0.2447,           -0.8167,            9.1384,
Ref 6,7.82207e-08,,,,,,1.1977e-02,4.2079e-03,4.8945e-05,4.6338e-06,4.8848e-08,,,,,,,,,,,
Sam 6,7.61583e-08,1.20571e-02,4.2842e-03,5.0158e-05,4.8011e-06,5.1323e-08,,,,,,            6.6349,           18.0482,           24.5586,           36.1404,           54.4335,            3.5484,           12.0464,           -0.1567,           -0.2719,           10.8436,
Ref 7,7.55242e-08,,,,,,1.1978e-02,4.2087e-03,4.8968e-05,4.6335e-06,4.8494e-08,,,,,,,,,,,
Sam 7,7.32817e-08,1.20581e-02,4.2849e-03,5.0168e-05,4.8029e-06,5.2818e-08,,,,,,            6.6424,           18.0529,           24.3999,           36.2524,           95.0512,            3.5562,           12.0510,           -0.3238,           -0.1729,           49.7644,
Ref 8,7.29325e-08,,,,,,1.1979e-02,4.2093e-03,4.8978e-05,4.6363e-06,4.7964e-08,,,,,,,,,,,
Sam 8,7.05227e-08,1.20588e-02,4.2856e-03,5.0186e-05,4.8048e-06,5.2154e-08,,,,,,            6.6431,           18.0543,           24.5707,           36.2544,           58.8646,            3.5569,           12.0524,           -0.1592,           -0.1737,           15.0709,
Ref 9,7.04361e-08,,,,,,1.1980e-02,4.2099e-03,4.8987e-05,4.6370e-06,5.0591e-08,,,,,,,,,,,
Sam 9,6.78896e-08,1.20595e-02,4.2861e-03,5.0192e-05,4.8062e-06,5.3289e-08,,,,,,            6.6482,           18.0612,           24.4186,           36.3241,           60.1168,            3.5621,           12.0592,           -0.3194,           -0.1200,           16.2523,
Ref 10,6.80453e-08,,,,,,1.1980e-02,4.2103e-03,4.9003e-05,4.6386e-06,4.9932e-08,,,,,,,,,,,
Sam 10,6.53717e-08,1.20600e-02,4.2865e-03,5.0200e-05,4.8086e-06,5.2034e-08,,,,,,            6.6444,           18.0613,           24.3298,           36.4364,           52.0506,            3.5580,           12.0594,           -0.4023,           -0.0120,            8.5236,
Ref 11,6.57397e-08,,,,,,1.1981e-02,4.2107e-03,4.9012e-05,4.6405e-06,4.8971e-08,,,,,,,,,,,
Sam 11,6.29416e-08,1.20604e-02,4.2869e-03,5.0212e-05,4.8090e-06,5.2748e-08,,,,,,            6.6391,           18.0551,           24.4912,           35.9764,           54.3474,            3.5526,           12.0532,           -0.2334,           -0.4436,           10.7432,
Ref 12,6.35176e-08,,,,,,1.1981e-02,4.2110e-03,4.9012e-05,4.6435e-06,5.1124e-08,,,,,,,,,,,
Sam 12,6.06372e-08,1.20608e-02,4.2872e-03,5.0216e-05,4.8094e-06,5.4319e-08,,,,,,            6.6397,           18.0490,           24.4302,           35.7427,           65.9343,            3.5535,           12.0472,           -0.2878,           -0.6571,           21.8621,
Ref 13,6.13947e-08,,,,,,1.1981e-02,4.2113e-03,4.9025e-05,4.6434e-06,5.0789e-08,,,,,,,,,,,
Sam 13,5.84282e-08,1.20609e-02,4.2875e-03,5.0219e-05,4.8120e-06,5.4588e-08,,,,,,            6.6285,           18.0510,           24.2939,           36.2659,           61.7622,            3.5415,           12.0492,           -0.4112,           -0.1563,           17.8708,
Ref 14,5.93575e-08,,,,,,1.1982e-02,4.2116e-03,4.9030e-05,4.6439e-06,5.2059e-08,,,,,,,,,,,
Sam 14,5.63392e-08,1.20613e-02,4.2877e-03,5.0229e-05,4.8136e-06,5.3804e-08,,,,,,            6.6309,           18.0357,           24.3731,           36.5773,           43.7894,            3.5445,           12.0339,           -0.3215,            0.1743,            0.6681,
Ref 15,5.74120e-08,,,,,,1.1982e-02,4.2119e-03,4.9038e-05,4.6437e-06,5.1017e-08,,,,,,,,,,,
Sam 15,5.43339e-08,1.20615e-02,4.2880e-03,5.0240e-05,4.8172e-06,5.4355e-08,,,,,,            6.6261,           18.0485,           24.5030,           37.3559,           19.7172,            3.5390,           12.0467,           -0.2023,            0.9005,          -22.4289,
Ref 16,5.55520e-08,,,,,,1.1982e-02,4.2121e-03,4.9040e-05,4.6438e-06,5.5667e-08,,,,,,,,,,,
Sam 16,5.24080e-08,1.20617e-02,4.2881e-03,5.0236e-05,4.8159e-06,5.8174e-08,,,,,,            6.6230,           18.0301,           24.3567,           36.8227,           54.0088,            3.5364,           12.0283,           -0.3241,            0.4222,           10.4846,
Ref 17,5.37489e-08,,,,,,1.1982e-02,4.2123e-03,4.9043e-05,4.6460e-06,5.4703e-08,,,,,,,,,,,
Sam 17,5.05594e-08,1.20619e-02,4.2883e-03,5.0248e-05,4.8137e-06,5.7090e-08,,,,,,            6.6338,           18.0321,           24.5369,           36.2004,           65.1411,            3.5478,           12.0304,           -0.1612,           -0.1824,           21.1414,
Ref 18,5.20184e-08,,,,,,1.1982e-02,4.2124e-03,4.9046e-05,4.6450e-06,5.2456e-08,,,,,,,,,,,
Sam 18,4.88048e-08,1.20618e-02,4.2883e-03,5.0250e-05,4.8164e-06,5.4914e-08,,,,,,            6.6209,           18.0162,           24.4863,           36.6190,           47.1507,            3.5346,           12.0146,           -0.1820,            0.2528,            3.9388,
Ref 19,5.03576e-08,,,,,,1.1983e-02,4.2125e-03,4.9053e-05,4.6475e-06,5.2425e-08,,,,,,,,,,,
Sam 19,4.71249e-08,1.20619e-02,4.2885e-03,5.0252e-05,4.8161e-06,5.8124e-08,,,,,,            6.6177,           18.0220,           24.4626,           36.2666,           69.4872,            3.5310,           12.0204,           -0.2075,           -0.0987,           25.3454,
Ref 20,4.87633e-08,,,,,,1.1983e-02,4.2126e-03,4.9051e-05,4.6477e-06,5.6332e-08,,,,,,,,,,,
Sam 20,4.55196e-08,1.20620e-02,4.2885e-03,5.0256e-05,4.8137e-06,5.9659e-08,,,,,,            6.6196,           18.0188,           24.4664,           35.6085,           86.2675,            3.5331,           12.0171,           -0.2026,           -0.7273,           41.4376,
Ref 21,4.72416e-08,,,,,,1.1983e-02,4.2126e-03,4.9061e-05,4.6488e-06,5.3465e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.65002e-08,,,,,,1.1983e-02,4.2127e-03,4.9059e-05,4.6437e-06,5.3975e-08,
Sam 1,4.32311e-08,1.20620e-02,4.2886e-03,5.0257e-05,4.8104e-06,5.7068e-08,,,,,,            6.6201,           18.0138,           24.4375,           36.2775,           42.2685,            3.5338,           12.0122,           -0.2264,           -0.0720,           -0.7364,
Ref 2,4.50728e-08,,,,,,1.1983e-02,4.2128e-03,4.9057e-05,4.6401e-06,5.5557e-08,,,,,,,,,,,
Sam 2,4.17851e-08,1.20620e-02,4.2887e-03,5.0258e-05,4.8140e-06,5.9740e-08,,,,,,            6.6258,           18.0054,           24.3993,           37.0656,           90.5775,            3.5402,           12.0038,           -0.2615,            0.7051,           45.5900,
Ref 3,4.37002e-08,,,,,,1.1983e-02,4.2128e-03,4.9065e-05,4.6438e-06,5.3975e-08,,,,,,,,,,,
Sam 3,4.03943e-08,1.20620e-02,4.2887e-03,5.0260e-05,4.8146e-06,5.7822e-08,,,,,,            6.6258,           17.9969,           24.3281,           36.6848,           58.1252,            3.5404,           11.9953,           -0.3227,            0.3543,           14.4931,
Ref 4,4.23799e-08,,,,,,1.1983e-02,4.2129e-03,4.9066e-05,4.6447e-06,5.5336e-08,,,,,,,,,,,
Sam 4,3.90732e-08,1.20618e-02,4.2887e-03,5.0267e-05,4.8152e-06,5.5274e-08,,,,,,            6.6133,           17.9796,           24.4593,           36.4379,           -7.8417,            3.5278,           11.9781,           -0.1652,            0.1501,          -48.7092,
Ref 5,4.11110e-08,,,,,,1.1983e-02,4.2130e-03,4.9067e-05,4.6473e-06,5.6096e-08,,,,,,,,,,,
Sam 5,3.78086e-08,1.20618e-02,4.2887e-03,5.0269e-05,4.8134e-06,5.9279e-08,,,,,,            6.6184,           17.9922,           24.4783,           35.6422,           50.9171,            3.5327,           11.9907,           -0.1641,           -0.6426,            7.5991,
Ref 6,3.98907e-08,,,,,,1.1983e-02,4.2129e-03,4.9068e-05,4.6481e-06,5.6727e-08,,,,,,,,,,,
Sam 6,3.66027e-08,1.20617e-02,4.2887e-03,5.0265e-05,4.8153e-06,6.0489e-08,,,,,,            6.6175,           17.9770,           24.4256,           36.0759,           93.6355,            3.5323,           11.9755,           -0.1998,           -0.1941,           48.5887,
Ref 7,3.87179e-08,,,,,,1.1982e-02,4.2129e-03,4.9065e-05,4.6471e-06,5.3850e-08,,,,,,,,,,,
Sam 7,3.54460e-08,1.20615e-02,4.2887e-03,5.0275e-05,4.8117e-06,5.7777e-08,,,,,,            6.6031,           17.9793,           24.5479,           35.5133,           26.8041,            3.5169,           11.9779,           -0.0680,           -0.7417,          -15.4794,
Ref 8,3.75859e-08,,,,,,1.1982e-02,4.2130e-03,4.9077e-05,4.6461e-06,5.8760e-08,,,,,,,,,,,
Sam 8,3.43425e-08,1.20616e-02,4.2888e-03,5.0275e-05,4.8159e-06,6.1060e-08,,,,,,            6.6225,           17.9878,           24.4452,           36.2979,           50.9077,            3.5373,           11.9863,           -0.1963,           -0.0011,            7.5944,
Ref 9,3.65037e-08,,,,,,1.1982e-02,4.2130e-03,4.9074e-05,4.6484e-06,5.7425e-08,,,,,,,,,,,
Sam 9,3.32916e-08,1.20615e-02,4.2887e-03,5.0268e-05,4.8197e-06,6.7231e-08,,,,,,            6.6147,           17.9703,           24.3973,           37.5181,          107.3522,            3.5296,           11.9689,           -0.2182,            1.2106,           61.7570,
Ref 10,3.54631e-08,,,,,,1.1982e-02,4.2130e-03,4.9067e-05,4.6424e-06,6.4097e-08,,,,,,,,,,,
Sam 10,3.22787e-08,1.20615e-02,4.2887e-03,5.0272e-05,4.8149e-06,6.6133e-08,,,,,,            6.6152,           17.9682,           24.4832,           36.4251,           49.7340,            3.5301,           11.9668,           -0.1328,            0.1600,            6.5149,
Ref 11,3.44622e-08,,,,,,1.1982e-02,4.2130e-03,4.9074e-05,4.6491e-06,6.1870e-08,,,,,,,,,,,
Sam 11,3.13106e-08,1.20614e-02,4.2887e-03,5.0266e-05,4.8170e-06,6.8891e-08,,,,,,            6.6114,           17.9744,           24.2620,           36.1383,           82.0371,            3.5259,           11.9730,           -0.3507,           -0.1289,           37.4797,
Ref 12,3.34985e-08,,,,,,1.1982e-02,4.2130e-03,4.9077e-05,4.6489e-06,6.5518e-08,,,,,,,,,,,
Sam 12,3.03838e-08,1.20613e-02,4.2887e-03,5.0278e-05,4.8155e-06,6.9775e-08,,,,,,            6.6099,           17.9836,           24.5844,           35.8508,           47.7995,            3.5240,           11.9821,           -0.0434,           -0.4244,            4.6359,
Ref 13,3.25718e-08,,,,,,1.1982e-02,4.2129e-03,4.9065e-05,4.6487e-06,6.7695e-08,,,,,,,,,,,
Sam 13,2.94969e-08,1.20612e-02,4.2887e-03,5.0273e-05,4.8181e-06,6.8223e-08,,,,,,            6.6162,           17.9917,           24.4889,           36.7037,           13.0365,            3.5304,           11.9901,           -0.1509,            0.3828,          -28.7167,
Ref 14,3.16836e-08,,,,,,1.1982e-02,4.2129e-03,4.9077e-05,4.6464e-06,6.6986e-08,,,,,,,,,,,
Sam 14,2.86453e-08,1.20609e-02,4.2886e-03,5.0274e-05,4.8160e-06,6.6600e-08,,,,,,            6.5981,           17.9564,           24.3152,           36.0679,          -16.3697,            3.5123,           11.9551,           -0.2678,           -0.1614,          -56.8285,
Ref 15,3.08305e-08,,,,,,1.1982e-02,4.2129e-03,4.9085e-05,4.6503e-06,6.8450e-08,,,,,,,,,,,
Sam 15,2.78284e-08,1.20610e-02,4.2886e-03,5.0275e-05,4.8189e-06,7.0431e-08,,,,,,            6.6079,           17.9638,           24.2528,           35.9462,            7.6379,            3.5226,           11.9624,           -0.3460,           -0.2934,          -33.8322,
Ref 16,3.00096e-08,,,,,,1.1982e-02,4.2129e-03,4.9084e-05,4.6532e-06,7.1384e-08,,,,,,,,,,,
Sam 16,2.70408e-08,1.20608e-02,4.2886e-03,5.0279e-05,4.8190e-06,6.7946e-08,,,,,,            6.6006,           17.9576,           24.4014,           36.3891,           11.9257,            3.5150,           11.9563,           -0.1874,            0.1462,          -29.7019,
Ref 17,2.92204e-08,,,,,,1.1982e-02,4.2129e-03,4.9078e-05,4.6463e-06,6.2792e-08,,,,,,,,,,,
Sam 17,2.62752e-08,1.20609e-02,4.2885e-03,5.0275e-05,4.8173e-06,6.9810e-08,,,,,,            6.6077,           17.9543,           24.3475,           36.2552,          140.1324,            3.5226,           11.9530,           -0.2441,            0.0233,           93.2294,
Ref 18,2.84511e-08,,,,,,1.1982e-02,4.2129e-03,4.9081e-05,4.6513e-06,5.9625e-08,,,,,,,,,,,
Sam 18,2.55385e-08,1.20607e-02,4.2886e-03,5.0279e-05,4.8190e-06,6.8225e-08,,,,,,            6.6038,           17.9696,           24.4066,           36.8873,           70.4454,            3.5180,           11.9682,           -0.1972,            0.6033,           26.3832,
Ref 19,2.77110e-08,,,,,,1.1982e-02,4.2128e-03,4.9081e-05,4.6436e-06,6.7955e-08,,,,,,,,,,,
Sam 19,2.48273e-08,1.20607e-02,4.2885e-03,5.0273e-05,4.8215e-06,6.3510e-08,,,,,,            6.6087,           17.9707,           24.2608,           37.5130,          -59.0089,            3.5232,           11.9693,           -0.3456,            1.2051,          -97.7488,
Ref 20,2.69936e-08,,,,,,1.1981e-02,4.2128e-03,4.9084e-05,4.6509e-06,6.7018e-08,,,,,,,,,,,
Sam 20,2.41437e-08,1.20606e-02,4.2884e-03,5.0283e-05,4.8244e-06,7.7432e-08,,,,,,            6.6083,           17.9470,           24.4426,           36.6959,          199.5352,            3.5235,           11.9457,           -0.1449,            0.4630,          150.2039,
Ref 21,2.62973e-08,,,,,,1.1981e-02,4.2128e-03,4.9082e-05,4.6564e-06,6.2020e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.59623e-08,,,,,,1.1981e-02,4.2128e-03,4.9088e-05,4.6552e-06,6.6402e-08,
Sam 1,2.31698e-08,1.20605e-02,4.2884e-03,5.0279e-05,4.8212e-06,7.3024e-08,,,,,,            6.6041,           17.9517,           24.3138,           35.5477,           74.3282,            3.5189,           11.9504,           -0.2708,           -0.6542,           30.1415,
Ref 2,2.53106e-08,,,,,,1.1981e-02,4.2128e-03,4.9084e-05,4.6562e-06,6.9581e-08,,,,,,,,,,,
Sam 2,2.25548e-08,1.20603e-02,4.2883e-03,5.0279e-05,4.8231e-06,7.1542e-08,,,,,,            6.5971,           17.9393,           24.2970,           35.7363,           27.5498,            3.5118,           11.9381,           -0.2680,           -0.4479,          -14.6820,
Ref 3,2.46834e-08,,,,,,1.1981e-02,4.2127e-03,4.9088e-05,4.6571e-06,6.9668e-08,,,,,,,,,,,
Sam 3,2.19622e-08,1.20602e-02,4.2884e-03,5.0276e-05,4.8237e-06,7.7894e-08,,,,,,            6.5928,           17.9611,           24.2137,           35.8033,          106.7165,            3.5065,           11.9597,           -0.3660,           -0.4260,           61.1912,
Ref 4,2.40758e-08,,,,,,1.1981e-02,4.2127e-03,4.9087e-05,4.6568e-06,7.1115e-08,,,,,,,,,,,
Sam 4,2.13899e-08,1.20601e-02,4.2882e-03,5.0278e-05,4.8256e-06,7.9911e-08,,,,,,            6.6046,           17.9459,           24.2854,           36.7691,          125.8167,            3.5197,           11.9446,           -0.2934,            0.5359,           79.5238,
Ref 5,2.34919e-08,,,,,,1.1981e-02,4.2126e-03,4.9084e-05,4.6520e-06,7.0842e-08,,,,,,,,,,,
Sam 5,2.08436e-08,1.20601e-02,4.2883e-03,5.0280e-05,4.8277e-06,8.0933e-08,,,,,,            6.5985,           17.9602,           24.4605,           37.3860,          122.7260,            3.5127,           11.9588,           -0.1301,            1.1031,           76.5374,
Ref 6,2.29269e-08,,,,,,1.1981e-02,4.2127e-03,4.9075e-05,4.6555e-06,7.3360e-08,,,,,,,,,,,
Sam 6,2.03124e-08,1.20600e-02,4.2883e-03,5.0283e-05,4.8224e-06,7.9009e-08,,,,,,            6.5875,           17.9521,           24.5276,           35.5766,           38.9649,            3.5012,           11.9508,           -0.0455,           -0.6271,           -3.7506,
Ref 7,2.23800e-08,,,,,,1.1981e-02,4.2126e-03,4.9083e-05,4.6580e-06,7.8796e-08,,,,,,,,,,,
Sam 7,1.98018e-08,1.20600e-02,4.2881e-03,5.0278e-05,4.8214e-06,8.6798e-08,,,,,,            6.5835,           17.9317,           24.2909,           35.9243,          110.2701,            3.4976,           11.9306,           -0.2527,           -0.2516,           64.6694,
Ref 8,2.18515e-08,,,,,,1.1981e-02,4.2126e-03,4.9089e-05,4.6503e-06,7.7544e-08,,,,,,,,,,,
Sam 8,1.93074e-08,1.20601e-02,4.2882e-03,5.0282e-05,4.8232e-06,8.9151e-08,,,,,,            6.5935,           17.9418,           24.3052,           36.6257,          126.6896,            3.5080,           11.9405,           -0.2588,            0.4056,           80.3820,
Ref 9,2.13413e-08,,,,,,1.1981e-02,4.2126e-03,4.9089e-05,4.6553e-06,8.0746e-08,,,,,,,,,,,
Sam 9,1.88303e-08,1.20600e-02,4.2881e-03,5.0270e-05,4.8233e-06,8.4743e-08,,,,,,            6.5984,           17.9292,           24.0673,           36.4642,           68.5026,            3.5136,           11.9280,           -0.4838,            0.2745,           24.6063,
Ref 10,2.08426e-08,,,,,,1.1981e-02,4.2126e-03,4.9088e-05,4.6519e-06,7.7840e-08,,,,,,,,,,,
Sam 10,1.83668e-08,1.20599e-02,4.2881e-03,5.0286e-05,4.8258e-06,8.9384e-08,,,,,,            6.5986,           17.9267,           24.3549,           36.8489,          152.8844,            3.5140,           11.9255,           -0.2009,            0.6506,          105.5263,
Ref 11,2.03630e-08,,,,,,1.1981e-02,4.2125e-03,4.9094e-05,4.6568e-06,7.7214e-08,,,,,,,,,,,
Sam 11,1.79209e-08,1.20598e-02,4.2881e-03,5.0275e-05,4.8325e-06,8.2607e-08,,,,,,            6.5901,           17.9510,           24.1943,           37.6522,           91.4283,            3.5040,           11.9498,           -0.3724,            1.3779,           46.5551,
Ref 12,1.98969e-08,,,,,,1.1981e-02,4.2125e-03,4.9082e-05,4.6575e-06,7.4125e-08,,,,,,,,,,,
Sam 12,1.74899e-08,1.20598e-02,4.2880e-03,5.0289e-05,4.8309e-06,8.5410e-08,,,,,,            6.6013,           17.9208,           24.4018,           36.6107,          115.3844,            3.5170,           11.9197,           -0.1523,            0.4323,           69.5760,
Ref 13,1.94436e-08,,,,,,1.1981e-02,4.2125e-03,4.9101e-05,4.6631e-06,7.9081e-08,,,,,,,,,,,
Sam 13,1.70710e-08,1.20597e-02,4.2880e-03,5.0288e-05,4.8311e-06,7.8508e-08,,,,,,            6.5999,           17.9265,           24.2075,           36.3251,          -10.6667,            3.5153,           11.9253,           -0.3459,            0.1455,          -51.3071,
Ref 14,1.90054e-08,,,,,,1.1981e-02,4.2125e-03,4.9097e-05,4.6604e-06,7.9634e-08,,,,,,,,,,,
Sam 14,1.66669e-08,1.20599e-02,4.2879e-03,5.0292e-05,4.8284e-06,8.2676e-08,,,,,,            6.6059,           17.9200,           24.4268,           35.8112,           76.4465,            3.5219,           11.9188,           -0.1316,           -0.3376,           32.2340,
Ref 15,1.85807e-08,,,,,,1.1981e-02,4.2124e-03,4.9089e-05,4.6625e-06,7.3909e-08,,,,,,,,,,,
Sam 15,1.62732e-08,1.20597e-02,4.2880e-03,5.0296e-05,4.8319e-06,8.4049e-08,,,,,,            6.5966,           17.9450,           24.5461,           35.8693,          122.3311,            3.5112,           11.9438,           -0.0300,           -0.3308,           76.1923,
Ref 16,1.81595e-08,,,,,,1.1981e-02,4.2124e-03,4.9094e-05,4.6668e-06,7.5890e-08,,,,,,,,,,,
Sam 16,1.58888e-08,1.20596e-02,4.2880e-03,5.0281e-05,4.8271e-06,8.4980e-08,,,,,,            6.5872,           17.9406,           24.1605,           35.0258,           52.5797,            3.5013,           11.9394,           -0.3924,           -1.1360,            9.3272,
Ref 17,1.77584e-08,,,,,,1.1981e-02,4.2124e-03,4.9096e-05,4.6606e-06,8.5690e-08,,,,,,,,,,,
Sam 17,1.55210e-08,1.20595e-02,4.2879e-03,5.0287e-05,4.8380e-06,9.6187e-08,,,,,,            6.5905,           17.9364,           24.2701,           37.7830,           88.6826,            3.5050,           11.9352,           -0.2847,            1.5330,           43.9514,
Ref 18,1.73703e-08,,,,,,1.1980e-02,4.2123e-03,4.9095e-05,4.6632e-06,9.1073e-08,,,,,,,,,,,
Sam 18,1.51642e-08,1.20595e-02,4.2879e-03,5.0294e-05,4.8329e-06,1.0233e-07,,,,,,            6.5881,           17.9269,           24.5180,           36.2115,          118.5237,            3.5027,           11.9257,           -0.0311,            0.0351,           72.5888,
Ref 19,1.69945e-08,,,,,,1.1981e-02,4.2124e-03,4.9085e-05,4.6649e-06,9.1909e-08,,,,,,,,,,,
Sam 19,1.48177e-08,1.20594e-02,4.2878e-03,5.0282e-05,4.8358e-06,1.0021e-07,,,,,,            6.5812,           17.9110,           24.2983,           36.9339,           89.1625,            3.4959,           11.9099,           -0.2231,            0.7635,           44.4731,
Ref 20,1.66301e-08,,,,,,1.1980e-02,4.2123e-03,4.9093e-05,4.6622e-06,9.2105e-08,,,,,,,,,,,
Sam 20,1.44842e-08,1.20595e-02,4.2878e-03,5.0286e-05,4.8351e-06,1.0157e-07,,,,,,            6.6058,           17.9078,           24.1448,           37.1087,           91.5638,            3.5222,           11.9067,           -0.3950,            0.9386,           46.7551,
Ref 21,1.62764e-08,,,,,,1.1980e-02,4.2124e-03,4.9108e-05,4.6620e-06,9.4008e-08,,,,,,,,,,,


