Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 18, 2023 at 09:21 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 18, 2023 at 10:20 with Stable 1.71.5 on PS019

Data File = Data_19656 IAEA-C1.txt,       Sample Weight = 498,                      Vial Location = 48,                       Initial Sam Beam = 1.5597e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6768e-08,                Max Ref Beam = 1.0656e-07,                

Analysis undertaken at mass 46.04582
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.84647e-08,,,,,,1.1981e-02,4.2113e-03,4.9018e-05,4.6389e-06,4.9266e-08,
Sam 1,5.75786e-08,1.20422e-02,4.2589e-03,4.9794e-05,4.7403e-06,5.0751e-08,,,,,,            5.0967,           11.2699,           15.7516,           21.7988,           35.7669,            2.1447,            5.3042,           -0.6392,           -0.8487,            7.7206,
Ref 2,5.73008e-08,,,,,,1.1981e-02,4.2116e-03,4.9027e-05,4.6395e-06,4.8725e-08,,,,,,,,,,,
Sam 2,5.63793e-08,1.20423e-02,4.2592e-03,4.9803e-05,4.7440e-06,4.8973e-08,,,,,,            5.0771,           11.2636,           15.8405,           22.3220,           -1.5475,            2.1241,            5.2980,           -0.5256,           -0.3247,          -28.5515,
Ref 3,5.61946e-08,,,,,,1.1982e-02,4.2118e-03,4.9025e-05,4.6413e-06,4.9379e-08,,,,,,,,,,,
Sam 3,5.52203e-08,1.20426e-02,4.2593e-03,4.9801e-05,4.7430e-06,5.0425e-08,,,,,,            5.0866,           11.2776,           15.8090,           22.1097,           40.2461,            2.1338,            5.3119,           -0.5800,           -0.5600,           12.0739,
Ref 4,5.51200e-08,,,,,,1.1982e-02,4.2118e-03,4.9027e-05,4.6394e-06,4.7552e-08,,,,,,,,,,,
Sam 4,5.40957e-08,1.20426e-02,4.2594e-03,4.9800e-05,4.7443e-06,5.0664e-08,,,,,,            5.0832,           11.2737,           15.7547,           22.2832,           50.7487,            2.1303,            5.3080,           -0.6261,           -0.3825,           22.3036,
Ref 5,5.40784e-08,,,,,,1.1982e-02,4.2120e-03,4.9029e-05,4.6423e-06,4.8894e-08,,,,,,,,,,,
Sam 5,5.29954e-08,1.20428e-02,4.2595e-03,4.9802e-05,4.7469e-06,5.1213e-08,,,,,,            5.0835,           11.2668,           15.7311,           22.8009,           14.9318,            2.1308,            5.3012,           -0.6430,            0.1373,          -12.5308,
Ref 6,5.30555e-08,,,,,,1.1982e-02,4.2121e-03,4.9032e-05,4.6400e-06,5.2054e-08,,,,,,,,,,,
Sam 6,5.19282e-08,1.20428e-02,4.2596e-03,4.9807e-05,4.7454e-06,5.4207e-08,,,,,,            5.0878,           11.2753,           15.8296,           22.9782,           45.6022,            2.1350,            5.3097,           -0.5587,            0.2938,           17.2883,
Ref 7,5.20637e-08,,,,,,1.1982e-02,4.2121e-03,4.9029e-05,4.6377e-06,5.1628e-08,,,,,,,,,,,
Sam 7,5.08983e-08,1.20429e-02,4.2597e-03,4.9814e-05,4.7473e-06,5.3347e-08,,,,,,            5.0834,           11.2796,           15.9008,           23.1321,           35.9689,            2.1302,            5.3140,           -0.4883,            0.4358,            7.9120,
Ref 8,5.11027e-08,,,,,,1.1982e-02,4.2123e-03,4.9041e-05,4.6423e-06,5.1360e-08,,,,,,,,,,,
Sam 8,4.98898e-08,1.20430e-02,4.2598e-03,4.9809e-05,4.7463e-06,5.3838e-08,,,,,,            5.0791,           11.2650,           15.7178,           22.6110,           34.9847,            2.1262,            5.2995,           -0.6498,           -0.0449,            6.9877,
Ref 9,5.01565e-08,,,,,,1.1982e-02,4.2123e-03,4.9035e-05,4.6403e-06,5.2689e-08,,,,,,,,,,,
Sam 9,4.89073e-08,1.20430e-02,4.2598e-03,4.9819e-05,4.7459e-06,5.3428e-08,,,,,,            5.0855,           11.2706,           15.9389,           22.8300,            4.3527,            2.1328,            5.3050,           -0.4443,            0.1583,          -22.8329,
Ref 10,4.92266e-08,,,,,,1.1982e-02,4.2123e-03,4.9040e-05,4.6396e-06,5.3713e-08,,,,,,,,,,,
Sam 10,4.79449e-08,1.20430e-02,4.2599e-03,4.9815e-05,4.7458e-06,5.5604e-08,,,,,,            5.0943,           11.2764,           15.7960,           22.6356,           47.4995,            2.1420,            5.3107,           -0.5994,           -0.0433,           19.1250,
Ref 11,4.83209e-08,,,,,,1.1982e-02,4.2124e-03,4.9041e-05,4.6419e-06,5.2440e-08,,,,,,,,,,,
Sam 11,4.70061e-08,1.20429e-02,4.2599e-03,4.9819e-05,4.7482e-06,5.2762e-08,,,,,,            5.0771,           11.2669,           15.8323,           22.7311,           21.5529,            2.1240,            5.3013,           -0.5369,            0.0688,           -6.0823,
Ref 12,4.74474e-08,,,,,,1.1982e-02,4.2125e-03,4.9044e-05,4.6434e-06,5.0843e-08,,,,,,,,,,,
Sam 12,4.61043e-08,1.20429e-02,4.2599e-03,4.9819e-05,4.7492e-06,5.6897e-08,,,,,,            5.0692,           11.2558,           15.7559,           23.0762,           95.0247,            2.1160,            5.2903,           -0.5933,            0.4282,           65.4337,
Ref 13,4.65819e-08,,,,,,1.1982e-02,4.2125e-03,4.9048e-05,4.6407e-06,5.3097e-08,,,,,,,,,,,
Sam 13,4.52168e-08,1.20430e-02,4.2599e-03,4.9824e-05,4.7501e-06,5.5432e-08,,,,,,            5.0770,           11.2424,           15.8748,           23.4295,           37.7848,            2.1247,            5.2769,           -0.4712,            0.8002,            9.7587,
Ref 14,4.57555e-08,,,,,,1.1982e-02,4.2126e-03,4.9043e-05,4.6421e-06,5.3735e-08,,,,,,,,,,,
Sam 14,4.43610e-08,1.20430e-02,4.2600e-03,4.9828e-05,4.7489e-06,5.7613e-08,,,,,,            5.0786,           11.2713,           15.9170,           22.9172,          103.0514,            2.1254,            5.3057,           -0.4594,            0.2421,           73.2006,
Ref 15,4.49339e-08,,,,,,1.1982e-02,4.2126e-03,4.9051e-05,4.6429e-06,5.0699e-08,,,,,,,,,,,
Sam 15,4.35181e-08,1.20432e-02,4.2601e-03,4.9826e-05,4.7462e-06,5.1194e-08,,,,,,            5.0818,           11.2722,           15.8299,           21.9104,           12.4088,            2.1288,            5.3066,           -0.5493,           -0.7442,          -14.9941,
Ref 16,4.41300e-08,,,,,,1.1982e-02,4.2127e-03,4.9049e-05,4.6459e-06,5.0431e-08,,,,,,,,,,,
Sam 16,4.26927e-08,1.20431e-02,4.2601e-03,4.9827e-05,4.7455e-06,5.6422e-08,,,,,,            5.0695,           11.2502,           15.8086,           21.5829,          139.2898,            2.1165,            5.2848,           -0.5362,           -1.0210,          108.5144,
Ref 17,4.33420e-08,,,,,,1.1982e-02,4.2127e-03,4.9054e-05,4.6445e-06,4.8600e-08,,,,,,,,,,,
Sam 17,4.18934e-08,1.20431e-02,4.2602e-03,4.9833e-05,4.7489e-06,5.3337e-08,,,,,,            5.0816,           11.2617,           15.8647,           22.2951,           65.5618,            2.1289,            5.2961,           -0.5045,           -0.3471,           36.7417,
Ref 18,4.25727e-08,,,,,,1.1982e-02,4.2127e-03,4.9056e-05,4.6462e-06,5.1536e-08,,,,,,,,,,,
Sam 18,4.11162e-08,1.20430e-02,4.2601e-03,4.9836e-05,4.7474e-06,5.2349e-08,,,,,,            5.0763,           11.2539,           15.8752,           21.8662,           26.0985,            2.1236,            5.2883,           -0.4812,           -0.7511,           -1.6334,
Ref 19,4.18269e-08,,,,,,1.1982e-02,4.2128e-03,4.9058e-05,4.6454e-06,5.0489e-08,,,,,,,,,,,
Sam 19,4.03574e-08,1.20430e-02,4.2602e-03,4.9834e-05,4.7521e-06,5.3054e-08,,,,,,            5.0789,           11.2576,           15.8585,           23.4123,           10.7619,            2.1262,            5.2921,           -0.5039,            0.7533,          -16.5654,
Ref 20,4.10953e-08,,,,,,1.1982e-02,4.2128e-03,4.9055e-05,4.6414e-06,5.4525e-08,,,,,,,,,,,
Sam 20,3.96087e-08,1.20431e-02,4.2602e-03,4.9837e-05,4.7517e-06,5.5063e-08,,,,,,            5.0915,           11.2548,           15.8605,           23.1931,          -15.9661,            2.1397,            5.2893,           -0.5123,            0.5445,          -42.5784,
Ref 21,4.03821e-08,,,,,,1.1982e-02,4.2128e-03,4.9063e-05,4.6467e-06,5.7414e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.00313e-08,,,,,,1.1982e-02,4.2128e-03,4.9067e-05,4.6483e-06,5.3830e-08,
Sam 1,3.85265e-08,1.20430e-02,4.2602e-03,4.9832e-05,4.7519e-06,5.4006e-08,,,,,,            5.0734,           11.2515,           15.6586,           22.3178,            4.1403,            2.1206,            5.2860,           -0.6892,           -0.3050,          -22.9909,
Ref 2,3.93488e-08,,,,,,1.1982e-02,4.2128e-03,4.9060e-05,4.6480e-06,5.3737e-08,,,,,,,,,,,
Sam 2,3.78226e-08,1.20430e-02,4.2602e-03,4.9841e-05,4.7512e-06,5.8694e-08,,,,,,            5.0716,           11.2622,           15.9535,           22.2312,           66.8029,            2.1183,            5.2967,           -0.4075,           -0.4108,           37.9589,
Ref 3,3.86748e-08,,,,,,1.1982e-02,4.2128e-03,4.9057e-05,4.6477e-06,5.6324e-08,,,,,,,,,,,
Sam 3,3.71322e-08,1.20429e-02,4.2602e-03,4.9846e-05,4.7492e-06,5.7171e-08,,,,,,            5.0695,           11.2577,           16.0790,           21.9468,           -2.4568,            2.1162,            5.2922,           -0.2774,           -0.6799,          -29.4173,
Ref 4,3.80093e-08,,,,,,1.1982e-02,4.2128e-03,4.9058e-05,4.6468e-06,5.8317e-08,,,,,,,,,,,
Sam 4,3.64626e-08,1.20428e-02,4.2603e-03,4.9847e-05,4.7477e-06,5.9873e-08,,,,,,            5.0644,           11.2575,           15.9733,           21.3361,           22.0092,            2.1108,            5.2920,           -0.3760,           -1.2767,           -5.6068,
Ref 5,3.73663e-08,,,,,,1.1982e-02,4.2128e-03,4.9068e-05,4.6503e-06,5.8856e-08,,,,,,,,,,,
Sam 5,3.58172e-08,1.20428e-02,4.2602e-03,4.9838e-05,4.7505e-06,6.2205e-08,,,,,,            5.0718,           11.2496,           15.7185,           21.6974,           27.1346,            2.1189,            5.2841,           -0.6266,           -0.9078,           -0.6124,
Ref 6,3.67374e-08,,,,,,1.1982e-02,4.2128e-03,4.9066e-05,4.6490e-06,6.2297e-08,,,,,,,,,,,
Sam 6,3.51909e-08,1.20428e-02,4.2603e-03,4.9838e-05,4.7530e-06,6.6305e-08,,,,,,            5.0740,           11.2503,           15.6770,           22.3260,           85.2205,            2.1212,            5.2848,           -0.6704,           -0.2945,           55.9005,
Ref 7,3.61274e-08,,,,,,1.1982e-02,4.2129e-03,4.9071e-05,4.6494e-06,5.9880e-08,,,,,,,,,,,
Sam 7,3.45682e-08,1.20427e-02,4.2602e-03,4.9839e-05,4.7541e-06,5.8261e-08,,,,,,            5.0746,           11.2418,           15.7184,           22.6143,          -34.1221,            2.1222,            5.2763,           -0.6220,            0.0044,          -60.2027,
Ref 8,3.55176e-08,,,,,,1.1982e-02,4.2128e-03,4.9064e-05,4.6486e-06,6.0767e-08,,,,,,,,,,,
Sam 8,3.39671e-08,1.20427e-02,4.2603e-03,4.9843e-05,4.7518e-06,6.4172e-08,,,,,,            5.0748,           11.2653,           15.7591,           21.9892,           72.5567,            2.1216,            5.2998,           -0.6051,           -0.6536,           43.5474,
Ref 9,3.49308e-08,,,,,,1.1982e-02,4.2128e-03,4.9075e-05,4.6505e-06,5.8880e-08,,,,,,,,,,,
Sam 9,3.33874e-08,1.20427e-02,4.2602e-03,4.9844e-05,4.7536e-06,6.5543e-08,,,,,,            5.0846,           11.2450,           15.6995,           22.3164,           54.0420,            2.1327,            5.2795,           -0.6540,           -0.2934,           25.5634,
Ref 10,3.43570e-08,,,,,,1.1982e-02,4.2128e-03,4.9072e-05,4.6491e-06,6.5541e-08,,,,,,,,,,,
Sam 10,3.28046e-08,1.20426e-02,4.2602e-03,4.9848e-05,4.7536e-06,6.9134e-08,,,,,,            5.0708,           11.2429,           15.8348,           22.1350,           40.5658,            2.1181,            5.2775,           -0.5047,           -0.4666,           12.4702,
Ref 11,3.37898e-08,,,,,,1.1982e-02,4.2128e-03,4.9070e-05,4.6522e-06,6.7351e-08,,,,,,,,,,,
Sam 11,3.22485e-08,1.20425e-02,4.2602e-03,4.9852e-05,4.7541e-06,6.9738e-08,,,,,,            5.0718,           11.2429,           15.9338,           22.1728,           80.1912,            2.1192,            5.2775,           -0.4084,           -0.4297,           51.0245,
Ref 12,3.32396e-08,,,,,,1.1982e-02,4.2128e-03,4.9069e-05,4.6497e-06,6.1725e-08,,,,,,,,,,,
Sam 12,3.17094e-08,1.20426e-02,4.2601e-03,4.9846e-05,4.7552e-06,6.5375e-08,,,,,,            5.0884,           11.2375,           15.8548,           22.8596,           46.3680,            2.1370,            5.2721,           -0.4978,            0.2526,           18.1075,
Ref 13,3.27105e-08,,,,,,1.1982e-02,4.2128e-03,4.9066e-05,4.6481e-06,6.3243e-08,,,,,,,,,,,
Sam 13,3.11828e-08,1.20424e-02,4.2602e-03,4.9839e-05,4.7532e-06,7.2758e-08,,,,,,            5.0779,           11.2392,           15.6953,           22.5868,           73.8962,            2.1258,            5.2738,           -0.6457,           -0.0176,           44.9003,
Ref 14,3.21970e-08,,,,,,1.1982e-02,4.2129e-03,4.9072e-05,4.6483e-06,7.2332e-08,,,,,,,,,,,
Sam 14,3.06709e-08,1.20424e-02,4.2601e-03,4.9854e-05,4.7577e-06,7.1885e-08,,,,,,            5.0773,           11.2336,           15.9023,           23.3637,           23.2260,            2.1254,            5.2681,           -0.4359,            0.7534,           -4.3901,
Ref 15,3.16946e-08,,,,,,1.1981e-02,4.2127e-03,4.9076e-05,4.6500e-06,6.8141e-08,,,,,,,,,,,
Sam 15,3.01668e-08,1.20424e-02,4.2602e-03,4.9848e-05,4.7571e-06,7.3513e-08,,,,,,            5.0860,           11.2615,           15.6882,           22.7555,           74.6235,            2.1336,            5.2959,           -0.6825,            0.1034,           45.5538,
Ref 16,3.11992e-08,,,,,,1.1981e-02,4.2127e-03,4.9081e-05,4.6525e-06,6.8679e-08,,,,,,,,,,,
Sam 16,2.96689e-08,1.20423e-02,4.2601e-03,4.9841e-05,4.7592e-06,7.4174e-08,,,,,,            5.0836,           11.2461,           15.5662,           23.0283,           64.7222,            2.1316,            5.2807,           -0.7852,            0.4005,           35.9538,
Ref 17,3.07137e-08,,,,,,1.1981e-02,4.2128e-03,4.9072e-05,4.6517e-06,7.0667e-08,,,,,,,,,,,
Sam 17,2.91799e-08,1.20422e-02,4.2601e-03,4.9858e-05,4.7588e-06,7.2384e-08,,,,,,            5.0819,           11.2394,           16.0534,           22.9244,           10.1598,            2.1300,            5.2739,           -0.2975,            0.3123,          -17.1196,
Ref 18,3.02303e-08,,,,,,1.1981e-02,4.2128e-03,4.9068e-05,4.6527e-06,7.2661e-08,,,,,,,,,,,
Sam 18,2.86983e-08,1.20422e-02,4.2601e-03,4.9852e-05,4.7527e-06,7.1200e-08,,,,,,            5.0799,           11.2331,           15.9371,           21.8073,          -51.7559,            2.1281,            5.2677,           -0.4038,           -0.7677,          -77.3500,
Ref 19,2.97564e-08,,,,,,1.1981e-02,4.2128e-03,4.9071e-05,4.6498e-06,7.7549e-08,,,,,,,,,,,
Sam 19,2.82326e-08,1.20421e-02,4.2601e-03,4.9844e-05,4.7542e-06,7.9195e-08,,,,,,            5.0798,           11.2264,           15.6762,           22.2745,           79.8450,            2.1282,            5.2610,           -0.6538,           -0.2975,           50.7128,
Ref 20,2.93010e-08,,,,,,1.1981e-02,4.2127e-03,4.9079e-05,4.6514e-06,6.9064e-08,,,,,,,,,,,
Sam 20,2.77850e-08,1.20421e-02,4.2601e-03,4.9860e-05,4.7529e-06,7.2948e-08,,,,,,            5.0763,           11.2384,           15.8963,           21.9348,           30.8127,            2.1241,            5.2730,           -0.4455,           -0.6536,            2.9833,
Ref 21,2.88557e-08,,,,,,1.1981e-02,4.2128e-03,4.9080e-05,4.6503e-06,7.2497e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.86342e-08,,,,,,1.1981e-02,4.2127e-03,4.9074e-05,4.6528e-06,7.0478e-08,
Sam 1,2.71253e-08,1.20422e-02,4.2601e-03,4.9854e-05,4.7573e-06,7.2289e-08,,,,,,            5.0907,           11.2528,           15.8824,           21.8584,           -9.8765,            2.1389,            5.2873,           -0.4878,           -0.7567,          -36.6488,
Ref 2,2.81959e-08,,,,,,1.1981e-02,4.2127e-03,4.9074e-05,4.6583e-06,7.5582e-08,,,,,,,,,,,
Sam 2,2.66983e-08,1.20421e-02,4.2601e-03,4.9851e-05,4.7551e-06,7.6225e-08,,,,,,            5.0853,           11.2487,           15.7757,           21.3218,           15.1915,            2.1333,            5.2832,           -0.5833,           -1.2733,          -12.2452,
Ref 3,2.77625e-08,,,,,,1.1981e-02,4.2127e-03,4.9079e-05,4.6534e-06,7.4579e-08,,,,,,,,,,,
Sam 3,2.62763e-08,1.20419e-02,4.2600e-03,4.9854e-05,4.7534e-06,7.7830e-08,,,,,,            5.0719,           11.2190,           15.8247,           21.4520,           49.0114,            2.1201,            5.2537,           -0.4925,           -1.0873,           20.7340,
Ref 4,2.73442e-08,,,,,,1.1981e-02,4.2128e-03,4.9076e-05,4.6538e-06,7.3803e-08,,,,,,,,,,,
Sam 4,2.58716e-08,1.20420e-02,4.2600e-03,4.9849e-05,4.7540e-06,7.6221e-08,,,,,,            5.0762,           11.2237,           15.7304,           21.8584,           46.5171,            2.1245,            5.2583,           -0.5943,           -0.6992,           18.2931,
Ref 5,2.69409e-08,,,,,,1.1981e-02,4.2127e-03,4.9078e-05,4.6508e-06,7.1848e-08,,,,,,,,,,,
Sam 5,2.54772e-08,1.20418e-02,4.2600e-03,4.9854e-05,4.7581e-06,8.0349e-08,,,,,,            5.0704,           11.2301,           15.7712,           22.9008,           97.9899,            2.1181,            5.2647,           -0.5543,            0.3075,           68.3709,
Ref 6,2.65387e-08,,,,,,1.1981e-02,4.2127e-03,4.9082e-05,4.6524e-06,7.4528e-08,,,,,,,,,,,
Sam 6,2.50877e-08,1.20417e-02,4.2600e-03,4.9856e-05,4.7520e-06,7.7719e-08,,,,,,            5.0739,           11.2230,           15.8269,           21.8066,           78.7530,            2.1220,            5.2576,           -0.4962,           -0.7484,           49.6637,
Ref 7,2.61511e-08,,,,,,1.1981e-02,4.2127e-03,4.9077e-05,4.6488e-06,6.9526e-08,,,,,,,,,,,
Sam 7,2.47071e-08,1.20418e-02,4.2600e-03,4.9848e-05,4.7534e-06,7.2909e-08,,,,,,            5.0872,           11.2433,           15.6892,           22.0276,           44.6787,            2.1356,            5.2778,           -0.6651,           -0.5725,           16.4537,
Ref 8,2.57707e-08,,,,,,1.1981e-02,4.2126e-03,4.9078e-05,4.6533e-06,7.0059e-08,,,,,,,,,,,
Sam 8,2.43404e-08,1.20417e-02,4.2599e-03,4.9849e-05,4.7569e-06,7.8834e-08,,,,,,            5.0711,           11.2300,           15.6992,           22.6509,           89.5566,            2.1188,            5.2646,           -0.6258,            0.0634,           60.1646,
Ref 9,2.53965e-08,,,,,,1.1981e-02,4.2126e-03,4.9079e-05,4.6497e-06,7.4683e-08,,,,,,,,,,,
Sam 9,2.39720e-08,1.20417e-02,4.2599e-03,4.9854e-05,4.7604e-06,7.5451e-08,,,,,,            5.0780,           11.2213,           15.8121,           23.7248,           27.3328,            2.1265,            5.2559,           -0.5133,            1.1308,           -0.3709,
Ref 10,2.50288e-08,,,,,,1.1981e-02,4.2126e-03,4.9078e-05,4.6505e-06,7.2186e-08,,,,,,,,,,,
Sam 10,2.36213e-08,1.20419e-02,4.2600e-03,4.9852e-05,4.7532e-06,7.5844e-08,,,,,,            5.0883,           11.2391,           15.7946,           22.2599,           79.4713,            2.1368,            5.2736,           -0.5584,           -0.3369,           50.3137,
Ref 11,2.46627e-08,,,,,,1.1981e-02,4.2127e-03,4.9076e-05,4.6489e-06,6.8306e-08,,,,,,,,,,,
Sam 11,2.32609e-08,1.20416e-02,4.2600e-03,4.9850e-05,4.7607e-06,7.9264e-08,,,,,,            5.0683,           11.2431,           15.7635,           23.7112,          174.0976,            2.1155,            5.2776,           -0.5724,            1.0744,          142.3992,
Ref 12,2.43036e-08,,,,,,1.1981e-02,4.2125e-03,4.9078e-05,4.6521e-06,6.6703e-08,,,,,,,,,,,
Sam 12,2.29158e-08,1.20416e-02,4.2599e-03,4.9850e-05,4.7544e-06,7.0126e-08,,,,,,            5.0762,           11.2395,           15.6872,           21.8495,           24.3572,            2.1240,            5.2740,           -0.6520,           -0.7391,           -3.2998,
Ref 13,2.39582e-08,,,,,,1.1981e-02,4.2126e-03,4.9082e-05,4.6534e-06,7.0240e-08,,,,,,,,,,,
Sam 13,2.25820e-08,1.20415e-02,4.2600e-03,4.9856e-05,4.7539e-06,7.1408e-08,,,,,,            5.0692,           11.2566,           15.8435,           21.5695,           18.5197,            2.1159,            5.2910,           -0.5078,           -1.0466,           -9.0053,
Ref 14,2.36182e-08,,,,,,1.1981e-02,4.2125e-03,4.9075e-05,4.6537e-06,6.9979e-08,,,,,,,,,,,
Sam 14,2.22523e-08,1.20415e-02,4.2599e-03,4.9853e-05,4.7567e-06,6.9252e-08,,,,,,            5.0777,           11.2354,           15.7521,           22.7896,           33.1602,            2.1257,            5.2700,           -0.5857,            0.1883,            5.2720,
Ref 15,2.32852e-08,,,,,,1.1981e-02,4.2125e-03,4.9086e-05,4.6477e-06,6.4038e-08,,,,,,,,,,,
Sam 15,2.19297e-08,1.20415e-02,4.2599e-03,4.9854e-05,4.7576e-06,7.1192e-08,,,,,,            5.0826,           11.2380,           15.6816,           23.1436,          125.7710,            2.1308,            5.2725,           -0.6627,            0.5294,           95.3716,
Ref 16,2.29548e-08,,,,,,1.1981e-02,4.2125e-03,4.9083e-05,4.6523e-06,6.2428e-08,,,,,,,,,,,
Sam 16,2.16079e-08,1.20415e-02,4.2598e-03,4.9847e-05,4.7551e-06,7.1624e-08,,,,,,            5.0730,           11.2260,           15.6443,           21.7687,          122.7460,            2.1210,            5.2606,           -0.6779,           -0.7914,           92.4649,
Ref 17,2.26307e-08,,,,,,1.1981e-02,4.2125e-03,4.9076e-05,4.6554e-06,6.5179e-08,,,,,,,,,,,
Sam 17,2.12948e-08,1.20413e-02,4.2598e-03,4.9848e-05,4.7532e-06,6.4439e-08,,,,,,            5.0611,           11.2280,           15.7893,           21.1865,           -3.8615,            2.1083,            5.2626,           -0.5251,           -1.3648,          -30.7194,
Ref 18,2.23209e-08,,,,,,1.1981e-02,4.2125e-03,4.9072e-05,4.6538e-06,6.4193e-08,,,,,,,,,,,
Sam 18,2.09945e-08,1.20413e-02,4.2598e-03,4.9846e-05,4.7576e-06,6.4492e-08,,,,,,            5.0633,           11.2403,           15.6622,           22.4333,           21.3753,            2.1102,            5.2749,           -0.6643,           -0.1698,           -6.1893,
Ref 19,2.20099e-08,,,,,,1.1981e-02,4.2125e-03,4.9082e-05,4.6526e-06,6.2077e-08,,,,,,,,,,,
Sam 19,2.06945e-08,1.20412e-02,4.2598e-03,4.9859e-05,4.7486e-06,6.8883e-08,,,,,,            5.0639,           11.2309,           15.9112,           20.5325,           29.7939,            2.1112,            5.2655,           -0.4107,           -2.0099,            2.0199,
Ref 20,2.17056e-08,,,,,,1.1980e-02,4.2124e-03,4.9073e-05,4.6536e-06,7.1771e-08,,,,,,,,,,,
Sam 20,2.04011e-08,1.20411e-02,4.2597e-03,4.9844e-05,4.7519e-06,7.4248e-08,,,,,,            5.0712,           11.2263,           15.6781,           21.1470,           74.3032,            2.1191,            5.2610,           -0.6432,           -1.4001,           45.3299,
Ref 21,2.14089e-08,,,,,,1.1980e-02,4.2124e-03,4.9076e-05,4.6534e-06,6.6418e-08,,,,,,,,,,,


