Batch,20230518 clumped Oman KDB NTA,Collected on,2023/05/18 16:46:38,Analysis Instrument,PS019,Acquisition Software,,Stable 1.71.5,Reanalyzed  on,2023/05/18 17:45:34,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5

Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Ref Major,Sam Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,DELTA,DELTA,
Dir   ,Name   ,File   ,Name   ,  ,  ,Started   ,Collected   ,Weight   ,Location   ,Sam Beam   ,Yield   ,Status   ,Pressure   ,  ,Chops   ,  ,  ,Operations   ,Ref Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Factor  ,End   ,%  ,  ,  ,Pressure   ,Mass   ,Length    ,Offset   ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion   ,Depletion   ,Temperature   ,Signal(44),Signal(44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,Err,,,wrt PDB,Err,,,47,48,49,

C:\Nu Stable\Results\2023\20230518 clumped Oman KDB NTA,20230518 clumped Oman KDB NTA,Data_19659 ETH-1.txt,ETH-1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/18 16:46:38,2023/05/18 16:46:38,402,1,1.1871e-07,2.953006E-10,CF,19.989,5.573e-02,1,5.5732e-02,15552, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9654e-08,1.0660e-07,4.4218e-08,4.4333e-08,4.4293e-08,4.4209e-08,0.96,2023/05/18 16:45:52,0.19,7866,8447,5.5732e-02,46.048,20,0.000,-1.0643e-13,-5.5817e-14,-5.8541e-14,-6.1548e-15,9.7776e-14,3.2795e-12,23.00,23.00,64.22,2.70620e-08,2.62274e-08,1.20114e-02,4.2462e-03,4.9695e-05,4.7583e-06,9.0519e-08,1.1955e-02,4.1987e-03,4.8942e-05,4.6527e-06,8.6392e-08,4.6807,11.2977,15.3779,22.6883,47.2467,1.7011,0.0012,0,60,5.3328,0.0016,0,60,-0.6078,-0.0340,19.2828,
C:\Nu Stable\Results\2023\20230518 clumped Oman KDB NTA,20230518 clumped Oman KDB NTA,Data_19660 ETH-2.txt,ETH-2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/18 16:46:38,2023/05/18 18:08:22,460,2,1.3364e-07,2.905197E-10,CF,22.034,5.449e-02,1,5.2096e-02,15488, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9014e-08,1.0664e-07,5.0881e-08,5.1140e-08,5.1116e-08,5.0983e-08,0.96,2023/05/18 18:07:37,0.26,7190,8446,5.4493e-02,46.051,20,0.000,-1.0533e-13,-5.5310e-14,-5.7825e-14,-4.4096e-15,1.0080e-13,3.4985e-12,24.00,24.00,64.22,3.05632e-08,2.96724e-08,1.18705e-02,4.1766e-03,4.8277e-05,4.5907e-06,5.1452e-08,1.1956e-02,4.1986e-03,4.8917e-05,4.6405e-06,5.2031e-08,-7.1354,-5.2556,-13.0869,-10.7298,-9.3667,-10.3012,0.0310,0,60,-11.1146,0.0205,0,60,-0.6073,-0.2488,8.6054,
C:\Nu Stable\Results\2023\20230518 clumped Oman KDB NTA,20230518 clumped Oman KDB NTA,Data_19661 IAEA-C2.txt,IAEA-C2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/18 16:46:38,2023/05/18 19:30:43,420,3,1.1722e-07,2.790954E-10,CF,19.653,5.449e-02,1,5.3281e-02,15488, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8303e-08,1.0636e-07,4.3740e-08,4.3857e-08,4.3815e-08,4.3725e-08,0.96,2023/05/18 19:29:57,0.21,7756,8446,5.4493e-02,46.048,20,0.000,-1.0540e-13,-5.5102e-14,-5.7838e-14,-4.4382e-15,9.9367e-14,3.4350e-12,23.00,23.00,64.29,2.67627e-08,2.59219e-08,1.18970e-02,4.2170e-03,4.8872e-05,4.6736e-06,5.5781e-08,1.1955e-02,4.1986e-03,4.8918e-05,4.6327e-06,5.5078e-08,-4.8895,4.3792,-0.9422,8.8331,11.5372,-8.2452,0.0008,0,60,-1.5313,0.0018,0,60,-0.1919,0.0551,8.1194,
C:\Nu Stable\Results\2023\20230518 clumped Oman KDB NTA,20230518 clumped Oman KDB NTA,Data_19662 IAEA-C1.txt,IAEA-C1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/18 16:46:38,2023/05/18 20:52:40,504,4,1.6285e-07,3.231204E-10,CF,26.581,5.573e-02,1,5.3281e-02,15520, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7658e-08,1.0681e-07,6.3893e-08,6.4092e-08,6.4050e-08,6.3891e-08,0.96,2023/05/18 20:51:54,0.25,6208,8446,5.5732e-02,46.051,20,0.000,-1.0521e-13,-5.5089e-14,-5.7837e-14,-3.7319e-15,1.0182e-13,3.5816e-12,25.00,26.00,64.47,3.64418e-08,3.59727e-08,1.20170e-02,4.2459e-03,4.9684e-05,4.7366e-06,5.2515e-08,1.1956e-02,4.1987e-03,4.8910e-05,4.6328e-06,5.0984e-08,5.0828,11.2401,15.8151,22.3959,30.2144,2.1310,0.0013,0,60,5.2747,0.0021,0,60,-0.5336,-0.2060,2.3909,
C:\Nu Stable\Results\2023\20230518 clumped Oman KDB NTA,20230518 clumped Oman KDB NTA,Data_19663 ETH-3.txt,ETH-3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/18 16:46:38,2023/05/18 22:14:41,437,5,1.2597e-07,2.88272E-10,CF,21.027,5.449e-02,1,5.3281e-02,15520, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6845e-08,1.0690e-07,4.7505e-08,4.7714e-08,4.7676e-08,4.7574e-08,0.96,2023/05/18 22:13:55,0.21,7234,8444,5.4493e-02,46.048,20,0.000,-1.0512e-13,-5.5122e-14,-5.7800e-14,-4.3327e-15,1.0083e-13,3.5441e-12,23.00,24.00,64.47,2.87428e-08,2.78590e-08,1.20087e-02,4.2485e-03,4.9702e-05,4.7448e-06,5.1023e-08,1.1956e-02,4.1987e-03,4.8917e-05,4.6352e-06,4.8605e-08,4.4333,11.8470,16.0567,23.6577,49.9355,1.4188,0.0010,0,60,5.8800,0.0018,0,60,-0.2202,-0.1725,21.0763,
C:\Nu Stable\Results\2023\20230518 clumped Oman KDB NTA,20230518 clumped Oman KDB NTA,Data_19664 WS4_54_4_A.txt,WS4_54_4_A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/18 16:46:38,2023/05/18 23:37:09,463,6,1.4965e-07,3.232118E-10,CF,24.933,5.449e-02,1,5.3281e-02,15520, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6179e-08,1.0658e-07,5.7943e-08,5.8218e-08,5.8160e-08,5.8045e-08,0.96,2023/05/18 23:36:24,0.20,6398,8444,5.4493e-02,46.051,20,0.000,-1.0525e-13,-5.5126e-14,-5.7821e-14,-3.8838e-15,1.0260e-13,3.5924e-12,25.00,25.00,64.47,3.40401e-08,3.29379e-08,1.20251e-02,4.2659e-03,4.9964e-05,4.7833e-06,5.4526e-08,1.1956e-02,4.1988e-03,4.8913e-05,4.6346e-06,5.1878e-08,5.7716,15.9934,21.4807,32.0888,50.4356,2.7002,0.0010,0,60,10.0034,0.0022,0,60,-0.2929,-0.1489,11.9440,
C:\Nu Stable\Results\2023\20230518 clumped Oman KDB NTA,20230518 clumped Oman KDB NTA,Data_19665 KDW_51_0_A.txt,KDW_51_0_A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/18 16:46:38,2023/05/19 00:59:28,437,7,1.3959e-07,3.194331E-10,CF,22.980,5.573e-02,1,5.3281e-02,15552, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.5311e-08,1.0666e-07,5.3402e-08,5.3791e-08,5.3726e-08,5.3668e-08,0.96,2023/05/19 00:58:43,0.11,6608,8448,5.5732e-02,46.048,20,0.000,-1.0517e-13,-5.5042e-14,-5.7816e-14,-4.0466e-15,1.0099e-13,3.5539e-12,24.00,24.00,64.47,3.18095e-08,3.07826e-08,1.20233e-02,4.2491e-03,4.9766e-05,4.7438e-06,5.1603e-08,1.1956e-02,4.1987e-03,4.8917e-05,4.6326e-06,5.0007e-08,5.6453,11.9973,17.3541,23.9934,31.8917,2.7035,0.0012,0,60,6.0270,0.0022,0,60,-0.3330,-0.1417,1.9497,
C:\Nu Stable\Results\2023\20230518 clumped Oman KDB NTA,20230518 clumped Oman KDB NTA,Data_19666 WS2_9_2_A.txt,WS2_9_2_A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/18 16:46:38,2023/05/19 02:22:20,411,8,1.1152e-07,2.713349E-10,CF,18.585,5.573e-02,1,5.4493e-02,15520, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4648e-08,1.0686e-07,4.1298e-08,4.1113e-08,4.1083e-08,4.0997e-08,0.96,2023/05/19 02:21:35,0.21,7600,8448,5.5732e-02,46.046,20,0.000,-1.0516e-13,-5.5118e-14,-5.7834e-14,-4.7100e-15,1.0026e-13,3.4368e-12,23.00,23.00,64.47,2.53071e-08,2.45098e-08,1.20167e-02,4.2539e-03,4.9806e-05,4.7595e-06,5.4001e-08,1.1955e-02,4.1986e-03,4.8923e-05,4.6367e-06,5.1592e-08,5.1542,13.1686,18.0521,26.4826,47.1133,2.1405,0.0011,0,60,7.1936,0.0021,0,60,-0.2823,-0.0273,14.9459,
