Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 18, 2023 at 16:46 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 18, 2023 at 17:45 with Stable 1.71.5 on PS019

Data File = Data_19659 ETH-1.txt,         Sample Weight = 402,                      Vial Location = 1,                        Initial Sam Beam = 1.1871e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9654e-08,                Max Ref Beam = 1.0660e-07,                

Analysis undertaken at mass 46.04826
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.22715e-08,,,,,,1.1956e-02,4.1987e-03,4.8902e-05,4.6326e-06,5.0774e-08,
Sam 1,4.16552e-08,1.20121e-02,4.2462e-03,4.9660e-05,4.7388e-06,5.6239e-08,,,,,,            4.6903,           11.3033,           15.4639,           22.5777,           94.2248,            1.7110,            5.3384,           -0.5385,           -0.1532,           64.9839,
Ref 2,4.14956e-08,,,,,,1.1956e-02,4.1988e-03,4.8906e-05,4.6357e-06,5.2030e-08,,,,,,,,,,,
Sam 2,4.08690e-08,1.20122e-02,4.2463e-03,4.9669e-05,4.7417e-06,5.6069e-08,,,,,,            4.6735,           11.3041,           15.5446,           22.9798,           43.3921,            1.6932,            5.3392,           -0.4426,            0.2385,           15.5262,
Ref 3,4.07645e-08,,,,,,1.1956e-02,4.1989e-03,4.8911e-05,4.6347e-06,5.5476e-08,,,,,,,,,,,
Sam 3,4.00905e-08,1.20124e-02,4.2463e-03,4.9664e-05,4.7394e-06,5.8987e-08,,,,,,            4.6851,           11.3049,           15.3538,           22.3236,           51.9803,            1.7055,            5.3400,           -0.6431,           -0.4047,           23.8708,
Ref 4,4.00732e-08,,,,,,1.1956e-02,4.1989e-03,4.8915e-05,4.6371e-06,5.6679e-08,,,,,,,,,,,
Sam 4,3.93674e-08,1.20125e-02,4.2465e-03,4.9670e-05,4.7412e-06,6.0579e-08,,,,,,            4.6933,           11.3251,           15.3966,           22.4508,           62.2963,            1.7135,            5.3601,           -0.6290,           -0.3204,           33.8615,
Ref 5,3.93930e-08,,,,,,1.1956e-02,4.1990e-03,4.8918e-05,4.6372e-06,5.7380e-08,,,,,,,,,,,
Sam 5,3.86436e-08,1.20124e-02,4.2465e-03,4.9668e-05,4.7435e-06,6.0700e-08,,,,,,            4.6793,           11.3194,           15.3405,           22.7682,           44.2533,            1.6988,            5.3545,           -0.6643,            0.0012,           16.3278,
Ref 6,3.87180e-08,,,,,,1.1956e-02,4.1990e-03,4.8918e-05,4.6386e-06,5.8889e-08,,,,,,,,,,,
Sam 6,3.79326e-08,1.20123e-02,4.2465e-03,4.9674e-05,4.7461e-06,6.1786e-08,,,,,,            4.6723,           11.3123,           15.4567,           23.0280,           40.9118,            1.6916,            5.3473,           -0.5358,            0.2694,           13.0973,
Ref 7,3.80578e-08,,,,,,1.1956e-02,4.1990e-03,4.8918e-05,4.6399e-06,5.9835e-08,,,,,,,,,,,
Sam 7,3.72370e-08,1.20123e-02,4.2464e-03,4.9674e-05,4.7426e-06,6.3257e-08,,,,,,            4.6681,           11.3036,           15.4311,           22.1395,           58.1414,            1.6874,            5.3388,           -0.5482,           -0.5822,           29.8883,
Ref 8,3.74112e-08,,,,,,1.1956e-02,4.1990e-03,4.8920e-05,4.6400e-06,5.9727e-08,,,,,,,,,,,
Sam 8,3.65646e-08,1.20124e-02,4.2465e-03,4.9671e-05,4.7446e-06,6.3413e-08,,,,,,            4.6839,           11.3090,           15.3258,           22.6333,           46.4372,            1.7041,            5.3441,           -0.6734,           -0.1101,           18.4690,
Ref 9,3.67799e-08,,,,,,1.1956e-02,4.1990e-03,4.8922e-05,4.6392e-06,6.1486e-08,,,,,,,,,,,
Sam 9,3.59098e-08,1.20125e-02,4.2465e-03,4.9680e-05,4.7474e-06,6.3793e-08,,,,,,            4.6880,           11.3004,           15.4575,           22.8063,           39.2690,            1.7087,            5.3355,           -0.5396,            0.0760,           11.5048,
Ref 10,3.61675e-08,,,,,,1.1956e-02,4.1991e-03,4.8924e-05,4.6439e-06,6.1277e-08,,,,,,,,,,,
Sam 10,3.52654e-08,1.20123e-02,4.2465e-03,4.9675e-05,4.7481e-06,6.6226e-08,,,,,,            4.6788,           11.3002,           15.4237,           22.5079,           53.7328,            1.6989,            5.3353,           -0.5631,           -0.2152,           25.5928,
Ref 11,3.55612e-08,,,,,,1.1956e-02,4.1990e-03,4.8916e-05,4.6433e-06,6.4448e-08,,,,,,,,,,,
Sam 11,3.46412e-08,1.20122e-02,4.2464e-03,4.9671e-05,4.7483e-06,6.6485e-08,,,,,,            4.6774,           11.3070,           15.3254,           22.4257,           21.1535,            1.6972,            5.3421,           -0.6651,           -0.3091,           -6.1281,
Ref 12,3.49725e-08,,,,,,1.1956e-02,4.1989e-03,4.8927e-05,4.6450e-06,6.5779e-08,,,,,,,,,,,
Sam 12,3.40265e-08,1.20122e-02,4.2464e-03,4.9680e-05,4.7500e-06,6.6756e-08,,,,,,            4.6868,           11.3069,           15.4037,           22.8837,           18.9945,            1.7072,            5.3420,           -0.5976,            0.1389,           -8.2393,
Ref 13,3.43949e-08,,,,,,1.1956e-02,4.1990e-03,4.8925e-05,4.6424e-06,6.5240e-08,,,,,,,,,,,
Sam 13,3.34358e-08,1.20123e-02,4.2465e-03,4.9682e-05,4.7492e-06,7.0155e-08,,,,,,            4.6965,           11.3167,           15.4486,           22.7872,           49.7166,            1.7172,            5.3518,           -0.5729,            0.0251,           21.6317,
Ref 14,3.38375e-08,,,,,,1.1956e-02,4.1989e-03,4.8927e-05,4.6445e-06,6.8450e-08,,,,,,,,,,,
Sam 14,3.28610e-08,1.20120e-02,4.2464e-03,4.9682e-05,4.7512e-06,7.0990e-08,,,,,,            4.6792,           11.3207,           15.4383,           23.2461,           33.5282,            1.6986,            5.3558,           -0.5692,            0.4659,            5.8871,
Ref 15,3.32939e-08,,,,,,1.1956e-02,4.1989e-03,4.8926e-05,4.6420e-06,6.8928e-08,,,,,,,,,,,
Sam 15,3.22931e-08,1.20122e-02,4.2464e-03,4.9686e-05,4.7509e-06,7.3318e-08,,,,,,            4.6896,           11.2991,           15.4517,           22.9884,           48.3930,            1.7105,            5.3342,           -0.5457,            0.2568,           20.3861,
Ref 16,3.27534e-08,,,,,,1.1956e-02,4.1990e-03,4.8934e-05,4.6463e-06,7.0956e-08,,,,,,,,,,,
Sam 16,3.17436e-08,1.20121e-02,4.2464e-03,4.9686e-05,4.7523e-06,7.5545e-08,,,,,,            4.6797,           11.3101,           15.3555,           22.9092,           58.1695,            1.6995,            5.3452,           -0.6408,            0.1575,           29.8902,
Ref 17,3.22277e-08,,,,,,1.1956e-02,4.1988e-03,4.8935e-05,4.6453e-06,7.1836e-08,,,,,,,,,,,
Sam 17,3.11991e-08,1.20118e-02,4.2463e-03,4.9682e-05,4.7510e-06,7.2789e-08,,,,,,            4.6666,           11.2962,           15.2787,           23.0269,            8.6505,            1.6861,            5.3314,           -0.6896,            0.3001,          -18.2654,
Ref 18,3.17138e-08,,,,,,1.1956e-02,4.1990e-03,4.8935e-05,4.6429e-06,7.2498e-08,,,,,,,,,,,
Sam 18,3.06768e-08,1.20119e-02,4.2463e-03,4.9685e-05,4.7544e-06,7.7047e-08,,,,,,            4.6831,           11.2925,           15.3025,           23.6866,           59.0639,            1.7038,            5.3276,           -0.6794,            0.9525,           30.7921,
Ref 19,3.12136e-08,,,,,,1.1956e-02,4.1989e-03,4.8938e-05,4.6460e-06,7.3007e-08,,,,,,,,,,,
Sam 19,3.01639e-08,1.20119e-02,4.2464e-03,4.9689e-05,4.7504e-06,7.4540e-08,,,,,,            4.6851,           11.3140,           15.3122,           21.8705,           24.3030,            1.7052,            5.3491,           -0.6929,           -0.8659,           -3.0847,
Ref 20,3.07303e-08,,,,,,1.1956e-02,4.1989e-03,4.8941e-05,4.6516e-06,7.2532e-08,,,,,,,,,,,
Sam 20,2.96637e-08,1.20118e-02,4.2463e-03,4.9688e-05,4.7545e-06,7.7478e-08,,,,,,            4.6824,           11.2943,           15.3172,           22.2229,           54.0272,            1.7030,            5.3295,           -0.6661,           -0.4824,           25.8870,
Ref 21,3.02528e-08,,,,,,1.1956e-02,4.1989e-03,4.8935e-05,4.6508e-06,7.4498e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.00183e-08,,,,,,1.1956e-02,4.1989e-03,4.8939e-05,4.6480e-06,7.7254e-08,
Sam 1,2.89257e-08,1.20118e-02,4.2463e-03,4.9688e-05,4.7522e-06,8.1631e-08,,,,,,            4.6846,           11.3051,           15.3587,           22.5094,           66.9993,            1.7049,            5.3402,           -0.6379,           -0.2236,           38.4886,
Ref 2,2.95542e-08,,,,,,1.1956e-02,4.1989e-03,4.8934e-05,4.6472e-06,7.5745e-08,,,,,,,,,,,
Sam 2,2.84462e-08,1.20117e-02,4.2463e-03,4.9699e-05,4.7543e-06,8.0392e-08,,,,,,            4.6844,           11.2985,           15.6460,           22.6278,           41.0315,            1.7049,            5.3336,           -0.3484,           -0.0946,           13.2280,
Ref 3,2.90960e-08,,,,,,1.1956e-02,4.1989e-03,4.8933e-05,4.6511e-06,7.8726e-08,,,,,,,,,,,
Sam 3,2.79760e-08,1.20117e-02,4.2463e-03,4.9689e-05,4.7576e-06,8.0120e-08,,,,,,            4.6808,           11.3006,           15.3643,           23.3431,           12.2859,            1.7010,            5.3357,           -0.6241,            0.6006,          -14.7502,
Ref 4,2.86482e-08,,,,,,1.1956e-02,4.1989e-03,4.8941e-05,4.6471e-06,7.9575e-08,,,,,,,,,,,
Sam 4,2.75191e-08,1.20116e-02,4.2462e-03,4.9699e-05,4.7547e-06,8.2314e-08,,,,,,            4.6743,           11.2874,           15.4992,           22.7816,           13.5146,            1.6946,            5.3226,           -0.4718,            0.0777,          -13.5222,
Ref 5,2.82082e-08,,,,,,1.1956e-02,4.1988e-03,4.8941e-05,4.6506e-06,8.2884e-08,,,,,,,,,,,
Sam 5,2.70767e-08,1.20117e-02,4.2463e-03,4.9698e-05,4.7587e-06,8.4485e-08,,,,,,            4.6824,           11.2947,           15.4388,           23.3248,           15.3869,            1.7030,            5.3298,           -0.5467,            0.5944,          -11.7223,
Ref 6,2.77800e-08,,,,,,1.1956e-02,4.1988e-03,4.8944e-05,4.6499e-06,8.3530e-08,,,,,,,,,,,
Sam 6,2.66447e-08,1.20116e-02,4.2463e-03,4.9699e-05,4.7558e-06,8.5546e-08,,,,,,            4.6794,           11.2955,           15.4185,           22.3707,           36.4127,            1.6998,            5.3307,           -0.5644,           -0.3403,            8.7436,
Ref 7,2.73589e-08,,,,,,1.1956e-02,4.1988e-03,4.8945e-05,4.6536e-06,8.1535e-08,,,,,,,,,,,
Sam 7,2.62227e-08,1.20115e-02,4.2462e-03,4.9697e-05,4.7586e-06,8.6800e-08,,,,,,            4.6753,           11.2916,           15.2979,           22.6414,           43.9625,            1.6955,            5.3268,           -0.6751,           -0.0677,           16.1041,
Ref 8,2.69490e-08,,,,,,1.1956e-02,4.1988e-03,4.8953e-05,4.6529e-06,8.4779e-08,,,,,,,,,,,
Sam 8,2.58143e-08,1.20115e-02,4.2462e-03,4.9694e-05,4.7577e-06,8.8228e-08,,,,,,            4.6748,           11.3004,           15.2210,           22.7036,           36.0108,            1.6946,            5.3356,           -0.7588,           -0.0245,            8.3478,
Ref 9,2.65494e-08,,,,,,1.1956e-02,4.1988e-03,4.8945e-05,4.6512e-06,8.5550e-08,,,,,,,,,,,
Sam 9,2.54112e-08,1.20113e-02,4.2463e-03,4.9706e-05,4.7546e-06,8.7235e-08,,,,,,            4.6702,           11.3109,           15.5226,           22.0065,            7.7380,            1.6894,            5.3460,           -0.4675,           -0.7267,          -19.1853,
Ref 10,2.61536e-08,,,,,,1.1955e-02,4.1987e-03,4.8947e-05,4.6533e-06,8.7597e-08,,,,,,,,,,,
Sam 10,2.50192e-08,1.20113e-02,4.2462e-03,4.9693e-05,4.7543e-06,9.2419e-08,,,,,,            4.6787,           11.2930,           15.2515,           21.9767,           61.0238,            1.6990,            5.3281,           -0.7255,           -0.7204,           32.7037,
Ref 11,2.57682e-08,,,,,,1.1955e-02,4.1988e-03,4.8945e-05,4.6509e-06,8.6603e-08,,,,,,,,,,,
Sam 11,2.46347e-08,1.20113e-02,4.2462e-03,4.9700e-05,4.7647e-06,9.3985e-08,,,,,,            4.6743,           11.3058,           15.4251,           24.0042,           45.1951,            1.6939,            5.3410,           -0.5626,            1.2366,           17.2767,
Ref 12,2.53900e-08,,,,,,1.1955e-02,4.1987e-03,4.8945e-05,4.6551e-06,9.3288e-08,,,,,,,,,,,
Sam 12,2.42600e-08,1.20114e-02,4.2463e-03,4.9704e-05,4.7592e-06,9.5834e-08,,,,,,            4.6900,           11.3273,           15.4285,           22.0969,           47.8901,            1.7099,            5.3623,           -0.5963,           -0.6708,           19.8401,
Ref 13,2.50254e-08,,,,,,1.1955e-02,4.1988e-03,4.8953e-05,4.6575e-06,8.9595e-08,,,,,,,,,,,
Sam 13,2.38988e-08,1.20112e-02,4.2461e-03,4.9693e-05,4.7624e-06,9.7499e-08,,,,,,            4.6732,           11.2849,           15.1764,           22.9672,           67.1599,            1.6935,            5.3202,           -0.7861,            0.2640,           38.6982,
Ref 14,2.46691e-08,,,,,,1.1955e-02,4.1987e-03,4.8948e-05,4.6535e-06,9.3158e-08,,,,,,,,,,,
Sam 14,2.35426e-08,1.20112e-02,4.2461e-03,4.9695e-05,4.7624e-06,9.6848e-08,,,,,,            4.6724,           11.2873,           15.2476,           22.9592,           38.4622,            1.6925,            5.3225,           -0.7174,            0.2515,           10.7622,
Ref 15,2.43210e-08,,,,,,1.1955e-02,4.1988e-03,4.8949e-05,4.6577e-06,9.3366e-08,,,,,,,,,,,
Sam 15,2.31904e-08,1.20112e-02,4.2462e-03,4.9697e-05,4.7601e-06,9.7702e-08,,,,,,            4.6725,           11.2933,           15.3078,           22.2923,           74.3553,            1.6925,            5.3284,           -0.6641,           -0.4124,           45.6855,
Ref 16,2.39786e-08,,,,,,1.1955e-02,4.1987e-03,4.8947e-05,4.6548e-06,8.8480e-08,,,,,,,,,,,
Sam 16,2.28447e-08,1.20112e-02,4.2462e-03,4.9705e-05,4.7617e-06,9.6026e-08,,,,,,            4.6725,           11.3031,           15.4490,           22.4446,           48.2422,            1.6921,            5.3382,           -0.5346,           -0.2829,           20.2498,
Ref 17,2.36396e-08,,,,,,1.1955e-02,4.1987e-03,4.8950e-05,4.6596e-06,9.4779e-08,,,,,,,,,,,
Sam 17,2.25028e-08,1.20112e-02,4.2461e-03,4.9704e-05,4.7613e-06,9.9972e-08,,,,,,            4.6670,           11.2998,           15.3615,           22.2436,           60.2192,            1.6863,            5.3349,           -0.6118,           -0.4728,           31.9197,
Ref 18,2.33081e-08,,,,,,1.1955e-02,4.1987e-03,4.8954e-05,4.6558e-06,9.3802e-08,,,,,,,,,,,
Sam 18,2.21695e-08,1.20112e-02,4.2461e-03,4.9701e-05,4.7660e-06,9.8168e-08,,,,,,            4.6774,           11.2888,           15.3585,           24.0449,           27.3285,            1.6978,            5.3240,           -0.6149,            1.3102,           -0.0828,
Ref 19,2.29818e-08,,,,,,1.1955e-02,4.1987e-03,4.8944e-05,4.6523e-06,9.7336e-08,,,,,,,,,,,
Sam 19,2.18444e-08,1.20111e-02,4.2461e-03,4.9699e-05,4.7617e-06,1.0239e-07,,,,,,            4.6732,           11.3038,           15.3571,           22.7992,           53.0849,            1.6928,            5.3389,           -0.6265,            0.0625,           24.9610,
Ref 20,2.26603e-08,,,,,,1.1955e-02,4.1986e-03,4.8951e-05,4.6588e-06,9.7116e-08,,,,,,,,,,,
Sam 20,2.15239e-08,1.20111e-02,4.2461e-03,4.9703e-05,4.7637e-06,9.9966e-08,,,,,,            4.6743,           11.3073,           15.3963,           22.8724,           11.4160,            1.6939,            5.3424,           -0.5925,            0.1270,          -15.6030,
Ref 21,2.23444e-08,,,,,,1.1955e-02,4.1986e-03,4.8948e-05,4.6555e-06,1.0059e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.21886e-08,,,,,,1.1955e-02,4.1987e-03,4.8954e-05,4.6556e-06,9.5263e-08,
Sam 1,2.10569e-08,1.20111e-02,4.2461e-03,4.9707e-05,4.7657e-06,1.0342e-07,,,,,,            4.6957,           11.2912,           15.3693,           23.2696,           71.5136,            1.7172,            5.3264,           -0.6253,            0.5473,           42.8983,
Ref 2,2.18808e-08,,,,,,1.1955e-02,4.1986e-03,4.8955e-05,4.6590e-06,9.7796e-08,,,,,,,,,,,
Sam 2,2.07545e-08,1.20108e-02,4.2459e-03,4.9704e-05,4.7642e-06,1.0076e-07,,,,,,            4.6867,           11.2806,           15.2866,           22.5946,           33.6076,            1.7080,            5.3158,           -0.6871,           -0.0917,            6.0350,
Ref 3,2.15791e-08,,,,,,1.1955e-02,4.1986e-03,4.8957e-05,4.6590e-06,9.7167e-08,,,,,,,,,,,
Sam 3,2.04571e-08,1.20107e-02,4.2460e-03,4.9711e-05,4.7653e-06,1.0584e-07,,,,,,            4.6776,           11.2955,           15.3732,           22.8948,           64.9925,            1.6978,            5.3306,           -0.6070,            0.1723,           36.5625,
Ref 4,2.12835e-08,,,,,,1.1955e-02,4.1986e-03,4.8960e-05,4.6583e-06,1.0162e-07,,,,,,,,,,,
Sam 4,2.01691e-08,1.20107e-02,4.2459e-03,4.9717e-05,4.7719e-06,1.0616e-07,,,,,,            4.6694,           11.2945,           15.5688,           24.3262,           53.1375,            1.6891,            5.3297,           -0.4051,            1.5739,           25.0349,
Ref 5,2.09943e-08,,,,,,1.1955e-02,4.1985e-03,4.8949e-05,4.6589e-06,9.9976e-08,,,,,,,,,,,
Sam 5,1.98843e-08,1.20107e-02,4.2459e-03,4.9704e-05,4.7685e-06,1.0860e-07,,,,,,            4.6743,           11.2947,           15.3149,           23.6873,           76.9687,            1.6943,            5.3299,           -0.6603,            0.9488,           48.2243,
Ref 6,2.07109e-08,,,,,,1.1955e-02,4.1985e-03,4.8961e-05,4.6575e-06,1.0171e-07,,,,,,,,,,,
Sam 6,1.96063e-08,1.20108e-02,4.2460e-03,4.9710e-05,4.7666e-06,1.1224e-07,,,,,,            4.6987,           11.2945,           15.3663,           22.6268,           82.3752,            1.7204,            5.3296,           -0.6346,           -0.0877,           53.4596,
Ref 7,2.04317e-08,,,,,,1.1955e-02,4.1985e-03,4.8954e-05,4.6649e-06,1.0572e-07,,,,,,,,,,,
Sam 7,1.93332e-08,1.20109e-02,4.2459e-03,4.9712e-05,4.7625e-06,1.1043e-07,,,,,,            4.6990,           11.2799,           15.3843,           21.0522,           51.4541,            1.7211,            5.3150,           -0.6029,           -1.5985,           23.3934,
Ref 8,2.01579e-08,,,,,,1.1955e-02,4.1985e-03,4.8964e-05,4.6637e-06,1.0433e-07,,,,,,,,,,,
Sam 8,1.90643e-08,1.20105e-02,4.2459e-03,4.9710e-05,4.7732e-06,1.0834e-07,,,,,,            4.6658,           11.2985,           15.3509,           23.6345,           38.3056,            1.6851,            5.3337,           -0.6198,            0.8896,           10.5948,
Ref 9,1.98888e-08,,,,,,1.1955e-02,4.1985e-03,4.8954e-05,4.6622e-06,1.0436e-07,,,,,,,,,,,
Sam 9,1.88013e-08,1.20107e-02,4.2459e-03,4.9707e-05,4.7651e-06,1.0849e-07,,,,,,            4.6851,           11.2818,           15.4025,           22.1658,           34.2915,            1.7062,            5.3170,           -0.5726,           -0.5134,            6.6999,
Ref 10,1.96237e-08,,,,,,1.1955e-02,4.1985e-03,4.8953e-05,4.6613e-06,1.0543e-07,,,,,,,,,,,
Sam 10,1.85442e-08,1.20106e-02,4.2458e-03,4.9703e-05,4.7710e-06,1.1388e-07,,,,,,            4.6893,           11.2819,           15.3913,           23.1333,           78.7304,            1.7107,            5.3171,           -0.5881,            0.4324,           49.9484,
Ref 11,1.93633e-08,,,,,,1.1954e-02,4.1984e-03,4.8947e-05,4.6649e-06,1.0571e-07,,,,,,,,,,,
Sam 11,1.82913e-08,1.20105e-02,4.2458e-03,4.9708e-05,4.7694e-06,1.1439e-07,,,,,,            4.6882,           11.2788,           15.4148,           22.6416,           59.1078,            1.7097,            5.3140,           -0.5608,           -0.0422,           30.8567,
Ref 12,1.91085e-08,,,,,,1.1954e-02,4.1985e-03,4.8959e-05,4.6628e-06,1.1033e-07,,,,,,,,,,,
Sam 12,1.80422e-08,1.20105e-02,4.2458e-03,4.9715e-05,4.7671e-06,1.1387e-07,,,,,,            4.6921,           11.2775,           15.3727,           22.6798,           31.0228,            1.7139,            5.3128,           -0.6050,           -0.0024,            3.5193,
Ref 13,1.88563e-08,,,,,,1.1954e-02,4.1984e-03,4.8966e-05,4.6598e-06,1.1055e-07,,,,,,,,,,,
Sam 13,1.77994e-08,1.20104e-02,4.2457e-03,4.9709e-05,4.7687e-06,1.1514e-07,,,,,,            4.6805,           11.2660,           15.1645,           22.2613,           45.0008,            1.7019,            5.3013,           -0.7868,           -0.3889,           17.1597,
Ref 14,1.86123e-08,,,,,,1.1954e-02,4.1984e-03,4.8966e-05,4.6700e-06,1.0980e-07,,,,,,,,,,,
Sam 14,1.75614e-08,1.20104e-02,4.2458e-03,4.9717e-05,4.7683e-06,1.1538e-07,,,,,,            4.6875,           11.3010,           15.4210,           21.5908,           44.2030,            1.7082,            5.3361,           -0.5755,           -1.1136,           16.3064,
Ref 15,1.83705e-08,,,,,,1.1954e-02,4.1984e-03,4.8957e-05,4.6650e-06,1.1121e-07,,,,,,,,,,,
Sam 15,1.73266e-08,1.20103e-02,4.2458e-03,4.9703e-05,4.7642e-06,1.1912e-07,,,,,,            4.6744,           11.2810,           15.2333,           20.9298,           62.1812,            1.6949,            5.3163,           -0.7275,           -1.7205,           33.8587,
Ref 16,1.81314e-08,,,,,,1.1954e-02,4.1984e-03,4.8958e-05,4.6681e-06,1.1309e-07,,,,,,,,,,,
Sam 16,1.70953e-08,1.20104e-02,4.2457e-03,4.9710e-05,4.7723e-06,1.2236e-07,,,,,,            4.6854,           11.2692,           15.2673,           22.7017,           79.0767,            1.7071,            5.3045,           -0.6938,            0.0355,           50.3157,
Ref 17,1.79002e-08,,,,,,1.1954e-02,4.1983e-03,4.8967e-05,4.6646e-06,1.1370e-07,,,,,,,,,,,
Sam 17,1.68678e-08,1.20104e-02,4.2457e-03,4.9709e-05,4.7686e-06,1.2103e-07,,,,,,            4.6966,           11.3005,           15.2567,           22.2065,           45.4130,            1.7179,            5.3356,           -0.7462,           -0.5107,           17.4752,
Ref 18,1.76702e-08,,,,,,1.1954e-02,4.1982e-03,4.8958e-05,4.6654e-06,1.1787e-07,,,,,,,,,,,
Sam 18,1.66445e-08,1.20103e-02,4.2457e-03,4.9719e-05,4.7752e-06,1.2176e-07,,,,,,            4.6849,           11.3017,           15.5167,           23.2665,           44.4312,            1.7053,            5.3368,           -0.4793,            0.5236,           16.5301,
Ref 19,1.74430e-08,,,,,,1.1954e-02,4.1983e-03,4.8960e-05,4.6678e-06,1.1528e-07,,,,,,,,,,,
Sam 19,1.64249e-08,1.20102e-02,4.2457e-03,4.9717e-05,4.7734e-06,1.2191e-07,,,,,,            4.6686,           11.2889,           15.4011,           22.7662,           61.8177,            1.6884,            5.3241,           -0.5639,            0.0596,           33.4956,
Ref 20,1.72225e-08,,,,,,1.1954e-02,4.1983e-03,4.8965e-05,4.6665e-06,1.1434e-07,,,,,,,,,,,
Sam 20,1.62097e-08,1.20102e-02,4.2457e-03,4.9720e-05,4.7679e-06,1.2429e-07,,,,,,            4.6743,           11.2844,           15.4638,           21.5945,           58.8142,            1.6947,            5.3196,           -0.5038,           -1.0772,           30.5748,
Ref 21,1.70031e-08,,,,,,1.1954e-02,4.1983e-03,4.8961e-05,4.6677e-06,1.2047e-07,,,,,,,,,,,


