Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 18, 2023 at 19:30 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 18, 2023 at 20:29 with Stable 1.71.5 on PS019

Data File = Data_19661 IAEA-C2.txt,       Sample Weight = 420,                      Vial Location = 3,                        Initial Sam Beam = 1.1722e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8303e-08,                Max Ref Beam = 1.0636e-07,                

Analysis undertaken at mass 46.04824
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.17900e-08,,,,,,1.1956e-02,4.1985e-03,4.8902e-05,4.6318e-06,4.9455e-08,
Sam 1,4.11872e-08,1.18978e-02,4.2170e-03,4.8859e-05,4.6706e-06,5.2749e-08,,,,,,           -4.8944,            4.3934,           -0.8847,            8.5095,           30.5246,           -8.2509,           -1.5171,           -0.1433,           -0.2940,           27.0195,
Ref 2,4.10273e-08,,,,,,1.1956e-02,4.1986e-03,4.8903e-05,4.6306e-06,5.2950e-08,,,,,,,,,,,
Sam 2,4.03992e-08,1.18980e-02,4.2171e-03,4.8858e-05,4.6730e-06,5.1255e-08,,,,,,           -4.8860,            4.3908,           -0.9564,            9.1625,          -29.5233,           -8.2419,           -1.5197,           -0.2212,            0.3584,          -32.8279,
Ref 3,4.03041e-08,,,,,,1.1956e-02,4.1987e-03,4.8907e-05,4.6307e-06,5.2676e-08,,,,,,,,,,,
Sam 3,3.96420e-08,1.18980e-02,4.2171e-03,4.8860e-05,4.6724e-06,5.1648e-08,,,,,,           -4.8932,            4.3891,           -0.9078,            9.0150,          -20.1659,           -8.2495,           -1.5214,           -0.1633,            0.2157,          -23.4914,
Ref 4,3.96029e-08,,,,,,1.1957e-02,4.1987e-03,4.8903e-05,4.6306e-06,5.2746e-08,,,,,,,,,,,
Sam 4,3.89018e-08,1.18978e-02,4.2171e-03,4.8859e-05,4.6711e-06,5.4262e-08,,,,,,           -4.8986,            4.3836,           -0.9728,            8.4408,           35.4266,           -8.2551,           -1.5268,           -0.2175,           -0.3428,           31.9293,
Ref 5,3.89232e-08,,,,,,1.1956e-02,4.1987e-03,4.8910e-05,4.6334e-06,5.2059e-08,,,,,,,,,,,
Sam 5,3.81856e-08,1.18979e-02,4.2171e-03,4.8859e-05,4.6749e-06,5.2161e-08,,,,,,           -4.8862,            4.3867,           -1.0119,            8.9466,            7.0294,           -8.2420,           -1.5238,           -0.2725,            0.1526,            3.6087,
Ref 6,3.82576e-08,,,,,,1.1956e-02,4.1987e-03,4.8907e-05,4.6336e-06,5.1530e-08,,,,,,,,,,,
Sam 6,3.74805e-08,1.18979e-02,4.2172e-03,4.8870e-05,4.6759e-06,5.2770e-08,,,,,,           -4.8925,            4.4060,           -0.7787,            9.2981,           24.2083,           -8.2493,           -1.5046,           -0.0515,            0.4627,           20.6975,
Ref 7,3.76054e-08,,,,,,1.1956e-02,4.1987e-03,4.8908e-05,4.6321e-06,5.1516e-08,,,,,,,,,,,
Sam 7,3.67950e-08,1.18980e-02,4.2172e-03,4.8867e-05,4.6709e-06,5.2514e-08,,,,,,           -4.8888,            4.3811,           -0.8921,            8.1748,            7.9057,           -8.2445,           -1.5293,           -0.1445,           -0.6014,            4.4957,
Ref 8,3.69679e-08,,,,,,1.1956e-02,4.1989e-03,4.8913e-05,4.6340e-06,5.2699e-08,,,,,,,,,,,
Sam 8,3.61309e-08,1.18979e-02,4.2172e-03,4.8864e-05,4.6738e-06,5.2668e-08,,,,,,           -4.8910,            4.3826,           -0.9610,            8.8081,            5.8478,           -8.2469,           -1.5278,           -0.2126,            0.0233,            2.4441,
Ref 9,3.63483e-08,,,,,,1.1956e-02,4.1988e-03,4.8909e-05,4.6320e-06,5.2018e-08,,,,,,,,,,,
Sam 9,3.54818e-08,1.18979e-02,4.2172e-03,4.8865e-05,4.6720e-06,5.3581e-08,,,,,,           -4.8921,            4.3880,           -0.8736,            8.5144,           31.8169,           -8.2483,           -1.5225,           -0.1293,           -0.2785,           28.3158,
Ref 10,3.57438e-08,,,,,,1.1956e-02,4.1988e-03,4.8908e-05,4.6331e-06,5.1838e-08,,,,,,,,,,,
Sam 10,3.48508e-08,1.18979e-02,4.2172e-03,4.8866e-05,4.6733e-06,5.1750e-08,,,,,,           -4.8872,            4.3898,           -0.9504,            8.7152,           -1.3449,           -8.2431,           -1.5207,           -0.2129,           -0.0830,           -4.7421,
Ref 11,3.51513e-08,,,,,,1.1956e-02,4.1988e-03,4.8917e-05,4.6327e-06,5.1801e-08,,,,,,,,,,,
Sam 11,3.42320e-08,1.18979e-02,4.2173e-03,4.8863e-05,4.6752e-06,5.3579e-08,,,,,,           -4.8820,            4.3971,           -1.1224,            9.3389,           29.2697,           -8.2379,           -1.5135,           -0.3976,            0.5209,           25.7481,
Ref 12,3.45711e-08,,,,,,1.1956e-02,4.1988e-03,4.8919e-05,4.6313e-06,5.2313e-08,,,,,,,,,,,
Sam 12,3.36302e-08,1.18979e-02,4.2172e-03,4.8874e-05,4.6749e-06,5.3346e-08,,,,,,           -4.8864,            4.3882,           -0.8505,            9.5191,           11.0508,           -8.2422,           -1.5223,           -0.1122,            0.7171,            7.6137,
Ref 13,3.40053e-08,,,,,,1.1956e-02,4.1988e-03,4.8913e-05,4.6303e-06,5.3220e-08,,,,,,,,,,,
Sam 13,3.30420e-08,1.18978e-02,4.2172e-03,4.8875e-05,4.6726e-06,5.5562e-08,,,,,,           -4.8862,            4.3833,           -0.8170,            8.8350,           46.4593,           -8.2419,           -1.5272,           -0.0741,            0.0488,           42.9116,
Ref 14,3.34481e-08,,,,,,1.1956e-02,4.1988e-03,4.8917e-05,4.6330e-06,5.2968e-08,,,,,,,,,,,
Sam 14,3.24688e-08,1.18976e-02,4.2172e-03,4.8865e-05,4.6717e-06,5.2903e-08,,,,,,           -4.8897,            4.3958,           -1.0775,            8.2661,           21.2173,           -8.2460,           -1.5147,           -0.3435,           -0.5402,           17.7340,
Ref 15,3.29053e-08,,,,,,1.1956e-02,4.1988e-03,4.8919e-05,4.6338e-06,5.0620e-08,,,,,,,,,,,
Sam 15,3.19071e-08,1.18977e-02,4.2172e-03,4.8864e-05,4.6734e-06,5.2057e-08,,,,,,           -4.8806,            4.3771,           -1.1305,            8.4089,           11.5017,           -8.2357,           -1.5334,           -0.3876,           -0.3613,            8.0787,
Ref 16,3.23795e-08,,,,,,1.1956e-02,4.1988e-03,4.8919e-05,4.6351e-06,5.2325e-08,,,,,,,,,,,
Sam 16,3.13623e-08,1.18976e-02,4.2172e-03,4.8868e-05,4.6753e-06,5.2734e-08,,,,,,           -4.8913,            4.3702,           -1.1320,            8.8878,           -0.6883,           -8.2469,           -1.5402,           -0.3712,            0.1271,           -4.0451,
Ref 17,3.18573e-08,,,,,,1.1956e-02,4.1988e-03,4.8928e-05,4.6333e-06,5.3222e-08,,,,,,,,,,,
Sam 17,3.08291e-08,1.18976e-02,4.2171e-03,4.8871e-05,4.6743e-06,5.2468e-08,,,,,,           -4.8826,            4.3630,           -1.0209,            8.9520,           -3.0238,           -8.2373,           -1.5474,           -0.2621,            0.2052,           -6.3680,
Ref 18,3.13542e-08,,,,,,1.1956e-02,4.1988e-03,4.8914e-05,4.6324e-06,5.2023e-08,,,,,,,,,,,
Sam 18,3.03130e-08,1.18975e-02,4.2172e-03,4.8868e-05,4.6733e-06,5.0448e-08,,,,,,           -4.8852,            4.3889,           -0.9722,            8.8253,          -20.0708,           -8.2410,           -1.5216,           -0.2359,            0.0279,          -23.4047,
Ref 19,3.08581e-08,,,,,,1.1956e-02,4.1988e-03,4.8916e-05,4.6324e-06,5.0930e-08,,,,,,,,,,,
Sam 19,2.98010e-08,1.18974e-02,4.2171e-03,4.8869e-05,4.6772e-06,5.2910e-08,,,,,,           -4.8941,            4.3797,           -0.9709,            9.3839,           28.7574,           -8.2501,           -1.5307,           -0.2165,            0.5999,           25.2855,
Ref 20,3.03744e-08,,,,,,1.1956e-02,4.1987e-03,4.8918e-05,4.6352e-06,5.1941e-08,,,,,,,,,,,
Sam 20,2.93029e-08,1.18973e-02,4.2172e-03,4.8873e-05,4.6721e-06,5.3938e-08,,,,,,           -4.8878,            4.4061,           -0.8828,            8.1045,           36.1386,           -8.2443,           -1.5045,           -0.1607,           -0.7208,           32.5814,
Ref 21,2.99027e-08,,,,,,1.1956e-02,4.1987e-03,4.8916e-05,4.6340e-06,5.2174e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.96787e-08,,,,,,1.1956e-02,4.1988e-03,4.8916e-05,4.6348e-06,5.1737e-08,
Sam 1,2.85907e-08,1.18974e-02,4.2172e-03,4.8875e-05,4.6738e-06,5.2167e-08,,,,,,           -4.8931,            4.3811,           -0.8927,            8.5402,           -6.5583,           -8.2491,           -1.5294,           -0.1405,           -0.2391,           -9.9146,
Ref 2,2.92287e-08,,,,,,1.1956e-02,4.1988e-03,4.8922e-05,4.6336e-06,5.3298e-08,,,,,,,,,,,
Sam 2,2.81160e-08,1.18974e-02,4.2172e-03,4.8871e-05,4.6728e-06,5.4924e-08,,,,,,           -4.8892,            4.3797,           -1.0044,            8.7266,           52.0793,           -8.2450,           -1.5308,           -0.2550,           -0.0516,           48.5233,
Ref 3,2.87809e-08,,,,,,1.1956e-02,4.1989e-03,4.8918e-05,4.6311e-06,5.1095e-08,,,,,,,,,,,
Sam 3,2.76589e-08,1.18974e-02,4.2172e-03,4.8872e-05,4.6684e-06,5.5857e-08,,,,,,           -4.8945,            4.3788,           -1.0095,            7.7611,           69.5276,           -8.2505,           -1.5316,           -0.2538,           -1.0068,           65.9205,
Ref 4,2.83218e-08,,,,,,1.1956e-02,4.1988e-03,4.8926e-05,4.6339e-06,5.3376e-08,,,,,,,,,,,
Sam 4,2.71896e-08,1.18973e-02,4.2171e-03,4.8873e-05,4.6729e-06,5.5723e-08,,,,,,           -4.8953,            4.3749,           -0.9741,            8.1372,           33.2823,           -8.2512,           -1.5355,           -0.2137,           -0.6263,           29.8062,
Ref 5,2.78871e-08,,,,,,1.1956e-02,4.1987e-03,4.8915e-05,4.6364e-06,5.4490e-08,,,,,,,,,,,
Sam 5,2.67505e-08,1.18972e-02,4.2171e-03,4.8872e-05,4.6731e-06,5.5080e-08,,,,,,           -4.8901,            4.3821,           -0.9434,            8.1513,           -1.0978,           -8.2460,           -1.5283,           -0.1954,           -0.6267,           -4.4779,
Ref 6,2.74652e-08,,,,,,1.1956e-02,4.1988e-03,4.8920e-05,4.6341e-06,5.5802e-08,,,,,,,,,,,
Sam 6,2.63250e-08,1.18971e-02,4.2171e-03,4.8877e-05,4.6737e-06,5.4639e-08,,,,,,           -4.8915,            4.3745,           -0.8703,            8.3566,            5.2105,           -8.2472,           -1.5359,           -0.1134,           -0.4081,            1.8255,
Ref 7,2.70481e-08,,,,,,1.1956e-02,4.1987e-03,4.8918e-05,4.6359e-06,5.2888e-08,,,,,,,,,,,
Sam 7,2.59067e-08,1.18972e-02,4.2171e-03,4.8875e-05,4.6732e-06,5.3085e-08,,,,,,           -4.8892,            4.3939,           -0.9691,            8.2195,          -31.1876,           -8.2454,           -1.5167,           -0.2335,           -0.5825,          -34.4889,
Ref 8,2.66411e-08,,,,,,1.1956e-02,4.1987e-03,4.8926e-05,4.6344e-06,5.6729e-08,,,,,,,,,,,
Sam 8,2.55002e-08,1.18971e-02,4.2170e-03,4.8874e-05,4.6724e-06,5.6659e-08,,,,,,           -4.8875,            4.3716,           -0.9851,            8.1918,           -0.0332,           -8.2428,           -1.5388,           -0.2296,           -0.5657,           -3.3992,
Ref 9,2.62449e-08,,,,,,1.1956e-02,4.1987e-03,4.8918e-05,4.6345e-06,5.6591e-08,,,,,,,,,,,
Sam 9,2.51037e-08,1.18971e-02,4.2171e-03,4.8869e-05,4.6754e-06,5.8601e-08,,,,,,           -4.8862,            4.3905,           -0.9639,            9.0769,           66.0892,           -8.2421,           -1.5200,           -0.2282,            0.2741,           62.4599,
Ref 10,2.58591e-08,,,,,,1.1955e-02,4.1987e-03,4.8915e-05,4.6322e-06,5.3321e-08,,,,,,,,,,,
Sam 10,2.47182e-08,1.18970e-02,4.2171e-03,4.8870e-05,4.6757e-06,5.4813e-08,,,,,,           -4.8898,            4.3865,           -0.9415,            9.2262,           28.5308,           -8.2458,           -1.5240,           -0.1981,            0.4302,           25.0415,
Ref 11,2.54777e-08,,,,,,1.1955e-02,4.1986e-03,4.8917e-05,4.6337e-06,5.3263e-08,,,,,,,,,,,
Sam 11,2.43391e-08,1.18971e-02,4.2171e-03,4.8874e-05,4.6729e-06,5.5072e-08,,,,,,           -4.8769,            4.4003,           -0.9246,            8.2807,           18.1876,           -8.2325,           -1.5103,           -0.2082,           -0.5346,           14.6918,
Ref 12,2.51041e-08,,,,,,1.1955e-02,4.1986e-03,4.8922e-05,4.6353e-06,5.4925e-08,,,,,,,,,,,
Sam 12,2.39689e-08,1.18970e-02,4.2170e-03,4.8873e-05,4.6747e-06,5.6079e-08,,,,,,           -4.8845,            4.3971,           -1.0430,            8.7574,           29.2871,           -8.2405,           -1.5135,           -0.3155,           -0.0556,           25.7681,
Ref 13,2.47463e-08,,,,,,1.1955e-02,4.1986e-03,4.8927e-05,4.6329e-06,5.4035e-08,,,,,,,,,,,
Sam 13,2.36192e-08,1.18969e-02,4.2171e-03,4.8879e-05,4.6722e-06,5.5743e-08,,,,,,           -4.8880,            4.4014,           -0.9217,            8.3981,            8.8305,           -8.2444,           -1.5091,           -0.1948,           -0.4205,            5.3766,
Ref 14,2.44075e-08,,,,,,1.1955e-02,4.1986e-03,4.8922e-05,4.6337e-06,5.6492e-08,,,,,,,,,,,
Sam 14,2.32739e-08,1.18968e-02,4.2170e-03,4.8876e-05,4.6734e-06,5.5664e-08,,,,,,           -4.8973,            4.3746,           -0.8956,            8.3429,            1.2719,           -8.2533,           -1.5358,           -0.1328,           -0.4218,           -2.0938,
Ref 15,2.40650e-08,,,,,,1.1955e-02,4.1986e-03,4.8919e-05,4.6358e-06,5.4681e-08,,,,,,,,,,,
Sam 15,2.29244e-08,1.18967e-02,4.2171e-03,4.8879e-05,4.6759e-06,5.5202e-08,,,,,,           -4.8955,            4.4040,           -0.9094,            9.3116,            4.5779,           -8.2524,           -1.5065,           -0.1773,            0.4799,            1.1415,
Ref 16,2.37248e-08,,,,,,1.1955e-02,4.1985e-03,4.8928e-05,4.6297e-06,5.5224e-08,,,,,,,,,,,
Sam 16,2.25789e-08,1.18968e-02,4.2170e-03,4.8874e-05,4.6698e-06,5.4510e-08,,,,,,           -4.8823,            4.3900,           -1.0445,            8.4317,          -28.4729,           -8.2380,           -1.5206,           -0.3124,           -0.3643,          -31.7832,
Ref 17,2.33883e-08,,,,,,1.1955e-02,4.1986e-03,4.8922e-05,4.6319e-06,5.7005e-08,,,,,,,,,,,
Sam 17,2.22413e-08,1.18967e-02,4.2170e-03,4.8879e-05,4.6740e-06,5.4630e-08,,,,,,           -4.8892,            4.3800,           -0.8773,            8.7858,          -39.1188,           -8.2449,           -1.5305,           -0.1281,            0.0065,          -42.3672,
Ref 18,2.30591e-08,,,,,,1.1955e-02,4.1986e-03,4.8923e-05,4.6346e-06,5.6702e-08,,,,,,,,,,,
Sam 18,2.19127e-08,1.18967e-02,4.2170e-03,4.8878e-05,4.6735e-06,5.4307e-08,,,,,,           -4.8841,            4.3718,           -0.9157,            9.0120,          -24.2690,           -8.2392,           -1.5386,           -0.1638,            0.2470,          -27.5572,
Ref 19,2.27356e-08,,,,,,1.1955e-02,4.1986e-03,4.8923e-05,4.6288e-06,5.4598e-08,,,,,,,,,,,
Sam 19,2.15899e-08,1.18967e-02,4.2170e-03,4.8880e-05,4.6742e-06,5.3255e-08,,,,,,           -4.8819,            4.3769,           -0.8472,            9.5162,          -29.9778,           -8.2370,           -1.5335,           -0.1026,            0.7366,          -33.2588,
Ref 20,2.24198e-08,,,,,,1.1955e-02,4.1986e-03,4.8919e-05,4.6316e-06,5.5208e-08,,,,,,,,,,,
Sam 20,2.12750e-08,1.18966e-02,4.2169e-03,4.8875e-05,4.6703e-06,5.6800e-08,,,,,,           -4.8927,            4.3680,           -0.9432,            8.5577,           43.6085,           -8.2482,           -1.5424,           -0.1788,           -0.1958,           40.1087,
Ref 21,2.21073e-08,,,,,,1.1955e-02,4.1985e-03,4.8923e-05,4.6298e-06,5.3635e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.19546e-08,,,,,,1.1955e-02,4.1986e-03,4.8922e-05,4.6308e-06,5.5759e-08,
Sam 1,2.08144e-08,1.18965e-02,4.2169e-03,4.8881e-05,4.6743e-06,5.3633e-08,,,,,,           -4.9058,            4.3413,           -0.8554,            9.2517,          -38.8687,           -8.2612,           -1.5689,           -0.0512,            0.5455,          -42.0283,
Ref 2,2.16515e-08,,,,,,1.1955e-02,4.1986e-03,4.8925e-05,4.6322e-06,5.5845e-08,,,,,,,,,,,
Sam 2,2.05162e-08,1.18966e-02,4.2170e-03,4.8873e-05,4.6772e-06,5.5615e-08,,,,,,           -4.8905,            4.3766,           -0.9562,           10.0641,          -25.9048,           -8.2462,           -1.5338,           -0.2024,            1.2805,          -29.1900,
Ref 3,2.13528e-08,,,,,,1.1955e-02,4.1985e-03,4.8915e-05,4.6289e-06,5.8360e-08,,,,,,,,,,,
Sam 3,2.02231e-08,1.18965e-02,4.2169e-03,4.8874e-05,4.6713e-06,5.7747e-08,,,,,,           -4.8844,            4.3635,           -0.8340,            8.9444,           -9.7275,           -8.2393,           -1.5469,           -0.0736,            0.1965,          -13.0484,
Ref 4,2.10611e-08,,,,,,1.1955e-02,4.1985e-03,4.8914e-05,4.6310e-06,5.8268e-08,,,,,,,,,,,
Sam 4,1.99369e-08,1.18964e-02,4.2169e-03,4.8876e-05,4.6730e-06,5.7491e-08,,,,,,           -4.8834,            4.3741,           -0.9015,            8.2904,           20.3111,           -8.2385,           -1.5364,           -0.1525,           -0.4728,           16.8673,
Ref 5,2.07744e-08,,,,,,1.1955e-02,4.1985e-03,4.8927e-05,4.6381e-06,5.4399e-08,,,,,,,,,,,
Sam 5,1.96565e-08,1.18963e-02,4.2168e-03,4.8870e-05,4.6757e-06,5.6929e-08,,,,,,           -4.8876,            4.3721,           -1.0568,            8.9127,           36.1883,           -8.2429,           -1.5383,           -0.3018,            0.1480,           32.6995,
Ref 6,2.04950e-08,,,,,,1.1955e-02,4.1984e-03,4.8917e-05,4.6306e-06,5.5490e-08,,,,,,,,,,,
Sam 6,1.93823e-08,1.18963e-02,4.2169e-03,4.8873e-05,4.6710e-06,5.8943e-08,,,,,,           -4.8881,            4.3925,           -0.9508,            8.7054,           46.0716,           -8.2442,           -1.5181,           -0.2150,           -0.0980,           42.5086,
Ref 7,2.02206e-08,,,,,,1.1955e-02,4.1985e-03,4.8922e-05,4.6308e-06,5.7215e-08,,,,,,,,,,,
Sam 7,1.91146e-08,1.18963e-02,4.2167e-03,4.8877e-05,4.6737e-06,5.6288e-08,,,,,,           -4.8869,            4.3560,           -0.9763,            9.0539,          -31.2375,           -8.2416,           -1.5543,           -0.2061,            0.3201,          -34.4695,
Ref 8,1.99504e-08,,,,,,1.1955e-02,4.1985e-03,4.8928e-05,4.6328e-06,5.9003e-08,,,,,,,,,,,
Sam 8,1.88494e-08,1.18962e-02,4.2168e-03,4.8866e-05,4.6748e-06,6.0922e-08,,,,,,           -4.8987,            4.3718,           -1.1995,            8.9015,           34.5067,           -8.2548,           -1.5386,           -0.4327,            0.1375,           31.0366,
Ref 9,1.96839e-08,,,,,,1.1955e-02,4.1984e-03,4.8921e-05,4.6343e-06,5.8775e-08,,,,,,,,,,,
Sam 9,1.85899e-08,1.18962e-02,4.2167e-03,4.8874e-05,4.6727e-06,5.7146e-08,,,,,,           -4.8852,            4.3642,           -0.9094,            8.2854,          -47.9084,           -8.2401,           -1.5462,           -0.1489,           -0.4581,          -51.1017,
Ref 10,1.94237e-08,,,,,,1.1955e-02,4.1984e-03,4.8916e-05,4.6342e-06,6.1284e-08,,,,,,,,,,,
Sam 10,1.83353e-08,1.18962e-02,4.2167e-03,4.8877e-05,4.6764e-06,6.2659e-08,,,,,,           -4.8889,            4.3651,           -0.8275,            8.9265,           12.6213,           -8.2441,           -1.5453,           -0.0640,            0.1757,            9.2272,
Ref 11,1.91633e-08,,,,,,1.1955e-02,4.1984e-03,4.8918e-05,4.6359e-06,6.2481e-08,,,,,,,,,,,
Sam 11,1.80885e-08,1.18960e-02,4.2166e-03,4.8871e-05,4.6758e-06,6.3485e-08,,,,,,           -4.8940,            4.3501,           -0.9680,            9.1731,           22.5549,           -8.2490,           -1.5602,           -0.1847,            0.4499,           19.1629,
Ref 12,1.89183e-08,,,,,,1.1954e-02,4.1983e-03,4.8918e-05,4.6307e-06,6.1683e-08,,,,,,,,,,,
Sam 12,1.78442e-08,1.18961e-02,4.2167e-03,4.8886e-05,4.6766e-06,6.1588e-08,,,,,,           -4.8834,            4.3859,           -0.6838,            9.6332,           24.0133,           -8.2389,           -1.5246,            0.0536,            0.8347,           20.5333,
Ref 13,1.86707e-08,,,,,,1.1955e-02,4.1983e-03,4.8920e-05,4.6332e-06,5.8584e-08,,,,,,,,,,,
Sam 13,1.76025e-08,1.18959e-02,4.2166e-03,4.8881e-05,4.6783e-06,6.2657e-08,,,,,,           -4.9052,            4.3715,           -0.8095,           10.4256,           65.4812,           -8.2616,           -1.5389,           -0.0355,            1.6490,           61.9150,
Ref 14,1.84260e-08,,,,,,1.1955e-02,4.1983e-03,4.8921e-05,4.6268e-06,5.9032e-08,,,,,,,,,,,
Sam 14,1.73644e-08,1.18961e-02,4.2167e-03,4.8866e-05,4.6723e-06,5.6133e-08,,,,,,           -4.8833,            4.3790,           -1.1359,            9.2882,          -35.4813,           -8.2386,           -1.5315,           -0.3920,            0.5065,          -38.7461,
Ref 15,1.81860e-08,,,,,,1.1954e-02,4.1984e-03,4.8921e-05,4.6319e-06,5.7353e-08,,,,,,,,,,,
Sam 15,1.71346e-08,1.18960e-02,4.2167e-03,4.8869e-05,4.6753e-06,6.3095e-08,,,,,,           -4.8943,            4.3751,           -1.0424,            9.4388,           80.2490,           -8.2502,           -1.5353,           -0.2832,            0.6636,           76.6133,
Ref 16,1.79545e-08,,,,,,1.1955e-02,4.1983e-03,4.8918e-05,4.6313e-06,5.9477e-08,,,,,,,,,,,
Sam 16,1.69077e-08,1.18961e-02,4.2166e-03,4.8877e-05,4.6791e-06,6.0378e-08,,,,,,           -4.8888,            4.3537,           -0.8859,           10.2753,           12.0116,           -8.2436,           -1.5566,           -0.1114,            1.5354,            8.6419,
Ref 17,1.77236e-08,,,,,,1.1954e-02,4.1983e-03,4.8923e-05,4.6317e-06,5.9848e-08,,,,,,,,,,,
Sam 17,1.66831e-08,1.18960e-02,4.2166e-03,4.8879e-05,4.6710e-06,6.0119e-08,,,,,,           -4.8877,            4.3611,           -0.9551,            8.1821,           21.3580,           -8.2427,           -1.5493,           -0.1890,           -0.5543,           17.9413,
Ref 18,1.74975e-08,,,,,,1.1954e-02,4.1983e-03,4.8928e-05,4.6346e-06,5.7862e-08,,,,,,,,,,,
Sam 18,1.64627e-08,1.18960e-02,4.2166e-03,4.8882e-05,4.6736e-06,6.1815e-08,,,,,,           -4.8813,            4.3569,           -0.8165,            8.4866,           18.1774,           -8.2357,           -1.5534,           -0.0528,           -0.2441,           14.7727,
Ref 19,1.72751e-08,,,,,,1.1954e-02,4.1983e-03,4.8916e-05,4.6339e-06,6.3596e-08,,,,,,,,,,,
Sam 19,1.62476e-08,1.18958e-02,4.2166e-03,4.8873e-05,4.6726e-06,5.9606e-08,,,,,,           -4.9030,            4.3533,           -0.8903,            8.7786,          -27.6786,           -8.2587,           -1.5570,           -0.1007,            0.0526,          -30.9006,
Ref 20,1.70566e-08,,,,,,1.1954e-02,4.1983e-03,4.8918e-05,4.6299e-06,5.8980e-08,,,,,,,,,,,
Sam 20,1.60344e-08,1.18959e-02,4.2166e-03,4.8879e-05,4.6741e-06,6.2473e-08,,,,,,           -4.8943,            4.3671,           -0.8336,            9.0815,           63.3864,           -8.2499,           -1.5433,           -0.0665,            0.3253,           59.8241,
