Nu Stable Isotope Analysis Program
Data Collected on Friday, May 19, 2023 at 02:22 with Stable 1.71.5 on PS019,Reanalyzed on Friday, May 19, 2023 at 03:21 with Stable 1.71.5 on PS019

Data File = Data_19666 WS2_9_2_A.txt,     Sample Weight = 411,                      Vial Location = 8,                        Initial Sam Beam = 1.1152e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.4648e-08,                Max Ref Beam = 1.0686e-07,                

Analysis undertaken at mass 46.04581
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.92235e-08,,,,,,1.1956e-02,4.1986e-03,4.8895e-05,4.6310e-06,5.0056e-08,
Sam 1,3.86386e-08,1.20178e-02,4.2541e-03,4.9797e-05,4.7551e-06,5.3642e-08,,,,,,            5.1583,           13.1937,           18.3403,           26.5971,           78.6366,            2.1439,            7.2187,           -0.0278,            0.0347,           45.4448,
Ref 2,3.85140e-08,,,,,,1.1956e-02,4.1988e-03,4.8906e-05,4.6328e-06,4.9400e-08,,,,,,,,,,,
Sam 2,3.79113e-08,1.20179e-02,4.2541e-03,4.9791e-05,4.7575e-06,5.0402e-08,,,,,,            5.1520,           13.1809,           18.0611,           26.5698,           12.3451,            2.1377,            7.2059,           -0.2831,            0.0334,          -18.7757,
Ref 3,3.78495e-08,,,,,,1.1956e-02,4.1988e-03,4.8909e-05,4.6360e-06,5.0182e-08,,,,,,,,,,,
Sam 3,3.72074e-08,1.20179e-02,4.2542e-03,4.9794e-05,4.7581e-06,5.1005e-08,,,,,,            5.1534,           13.1801,           18.0875,           26.4825,           26.6327,            2.1392,            7.2051,           -0.2578,           -0.0500,           -4.9273,
Ref 4,3.72010e-08,,,,,,1.1956e-02,4.1989e-03,4.8911e-05,4.6346e-06,4.9172e-08,,,,,,,,,,,
Sam 4,3.65256e-08,1.20178e-02,4.2541e-03,4.9796e-05,4.7555e-06,4.9901e-08,,,,,,            5.1527,           13.1708,           18.0818,           25.9937,           26.7481,            2.1388,            7.1959,           -0.2537,           -0.5080,           -4.7968,
Ref 5,3.65753e-08,,,,,,1.1956e-02,4.1988e-03,4.8912e-05,4.6354e-06,4.8019e-08,,,,,,,,,,,
Sam 5,3.58663e-08,1.20178e-02,4.2543e-03,4.9798e-05,4.7586e-06,5.0449e-08,,,,,,            5.1513,           13.2048,           18.1082,           26.5970,           34.9295,            2.1362,            7.2297,           -0.2594,            0.0127,            3.0685,
Ref 6,3.59608e-08,,,,,,1.1956e-02,4.1989e-03,4.8913e-05,4.6352e-06,4.9486e-08,,,,,,,,,,,
Sam 6,3.52237e-08,1.20177e-02,4.2542e-03,4.9800e-05,4.7587e-06,5.0704e-08,,,,,,            5.1510,           13.1707,           18.1699,           26.6337,           42.9558,            2.1369,            7.1958,           -0.1653,            0.1158,           10.9150,
Ref 7,3.53647e-08,,,,,,1.1956e-02,4.1989e-03,4.8911e-05,4.6353e-06,4.7731e-08,,,,,,,,,,,
Sam 7,3.45981e-08,1.20178e-02,4.2542e-03,4.9795e-05,4.7596e-06,5.0448e-08,,,,,,            5.1577,           13.1753,           18.0656,           26.6703,           33.8337,            2.1439,            7.2003,           -0.2791,            0.1423,            2.0571,
Ref 8,3.47800e-08,,,,,,1.1956e-02,4.1989e-03,4.8912e-05,4.6366e-06,4.9881e-08,,,,,,,,,,,
Sam 8,3.39876e-08,1.20175e-02,4.2541e-03,4.9800e-05,4.7586e-06,5.2990e-08,,,,,,            5.1420,           13.1682,           18.1430,           26.3479,           56.0823,            2.1275,            7.1932,           -0.1800,           -0.1576,           23.6531,
Ref 9,3.42097e-08,,,,,,1.1956e-02,4.1988e-03,4.8914e-05,4.6363e-06,5.0477e-08,,,,,,,,,,,
Sam 9,3.33849e-08,1.20175e-02,4.2542e-03,4.9797e-05,4.7572e-06,5.0996e-08,,,,,,            5.1482,           13.1956,           18.0190,           26.2002,           26.4985,            2.1332,            7.2205,           -0.3348,           -0.3556,           -5.0818,
Ref 10,3.36420e-08,,,,,,1.1956e-02,4.1988e-03,4.8918e-05,4.6352e-06,4.8868e-08,,,,,,,,,,,
Sam 10,3.27934e-08,1.20175e-02,4.2542e-03,4.9799e-05,4.7585e-06,5.2434e-08,,,,,,            5.1536,           13.1774,           18.0076,           26.4056,           40.6008,            2.1395,            7.2024,           -0.3339,           -0.1196,            8.6166,
Ref 11,3.30924e-08,,,,,,1.1956e-02,4.1989e-03,4.8918e-05,4.6370e-06,5.1933e-08,,,,,,,,,,,
Sam 11,3.22330e-08,1.20175e-02,4.2542e-03,4.9796e-05,4.7599e-06,5.0388e-08,,,,,,            5.1520,           13.1831,           17.9785,           26.6292,          -10.8731,            2.1377,            7.2081,           -0.3664,            0.0868,          -41.2844,
Ref 12,3.25611e-08,,,,,,1.1956e-02,4.1988e-03,4.8915e-05,4.6360e-06,4.9936e-08,,,,,,,,,,,
Sam 12,3.16715e-08,1.20175e-02,4.2542e-03,4.9796e-05,4.7591e-06,5.2095e-08,,,,,,            5.1532,           13.1934,           17.9707,           26.4620,           38.2366,            2.1386,            7.2184,           -0.3853,           -0.0963,            6.2940,
Ref 13,3.20351e-08,,,,,,1.1956e-02,4.1988e-03,4.8919e-05,4.6368e-06,5.0421e-08,,,,,,,,,,,
Sam 13,3.11284e-08,1.20175e-02,4.2542e-03,4.9805e-05,4.7561e-06,5.4549e-08,,,,,,            5.1540,           13.1768,           18.1025,           25.9396,           91.6731,            2.1399,            7.2018,           -0.2404,           -0.5724,           58.1198,
Ref 14,3.15201e-08,,,,,,1.1956e-02,4.1989e-03,4.8920e-05,4.6349e-06,4.9508e-08,,,,,,,,,,,
Sam 14,3.05969e-08,1.20173e-02,4.2541e-03,4.9798e-05,4.7586e-06,5.3895e-08,,,,,,            5.1525,           13.1678,           18.0280,           26.6369,           76.1727,            2.1387,            7.1929,           -0.3034,            0.1246,           43.1156,
Ref 15,3.10215e-08,,,,,,1.1956e-02,4.1988e-03,4.8912e-05,4.6353e-06,5.0661e-08,,,,,,,,,,,
Sam 15,3.00835e-08,1.20174e-02,4.2541e-03,4.9801e-05,4.7589e-06,5.0630e-08,,,,,,            5.1659,           13.1704,           18.1329,           26.6096,           16.4070,            2.1528,            7.1954,           -0.2166,            0.0928,          -14.8331,
Ref 16,3.05275e-08,,,,,,1.1956e-02,4.1988e-03,4.8916e-05,4.6358e-06,4.8951e-08,,,,,,,,,,,
Sam 16,2.95756e-08,1.20174e-02,4.2541e-03,4.9806e-05,4.7588e-06,5.1197e-08,,,,,,            5.1612,           13.1564,           18.1437,           26.5605,           59.9410,            2.1483,            7.1815,           -0.1877,            0.0727,           27.3957,
Ref 17,3.00480e-08,,,,,,1.1956e-02,4.1989e-03,4.8920e-05,4.6355e-06,4.7643e-08,,,,,,,,,,,
Sam 17,2.90843e-08,1.20173e-02,4.2542e-03,4.9804e-05,4.7576e-06,5.2234e-08,,,,,,            5.1622,           13.1786,           18.1348,           26.3866,           52.9143,            2.1487,            7.2035,           -0.2189,           -0.1404,           20.5399,
Ref 18,2.95838e-08,,,,,,1.1956e-02,4.1988e-03,4.8914e-05,4.6351e-06,5.1606e-08,,,,,,,,,,,
Sam 18,2.86062e-08,1.20172e-02,4.2542e-03,4.9805e-05,4.7607e-06,5.2458e-08,,,,,,            5.1506,           13.1975,           18.1879,           26.8944,            6.0036,            2.1357,            7.2224,           -0.1733,            0.3168,          -24.9524,
Ref 19,2.91241e-08,,,,,,1.1956e-02,4.1988e-03,4.8916e-05,4.6369e-06,5.2691e-08,,,,,,,,,,,
Sam 19,2.81309e-08,1.20173e-02,4.2541e-03,4.9806e-05,4.7607e-06,5.4888e-08,,,,,,            5.1632,           13.1869,           18.1528,           26.4619,           36.8770,            2.1494,            7.2118,           -0.2103,           -0.0834,            4.9785,
Ref 20,2.86787e-08,,,,,,1.1956e-02,4.1988e-03,4.8920e-05,4.6391e-06,5.3185e-08,,,,,,,,,,,
Sam 20,2.76683e-08,1.20172e-02,4.2541e-03,4.9802e-05,4.7561e-06,5.2355e-08,,,,,,            5.1568,           13.1728,           18.0169,           25.4537,            5.0193,            2.1430,            7.1978,           -0.3235,           -1.0378,          -25.8658,
Ref 21,2.82401e-08,,,,,,1.1955e-02,4.1988e-03,4.8921e-05,4.6370e-06,5.0985e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.80275e-08,,,,,,1.1955e-02,4.1988e-03,4.8920e-05,4.6364e-06,5.2922e-08,
Sam 1,2.69922e-08,1.20174e-02,4.2541e-03,4.9808e-05,4.7595e-06,5.3938e-08,,,,,,            5.1747,           13.1729,           18.1643,           26.5719,           22.4369,            2.1621,            7.1978,           -0.1972,            0.0514,           -9.0024,
Ref 2,2.75987e-08,,,,,,1.1955e-02,4.1988e-03,4.8919e-05,4.6362e-06,5.2584e-08,,,,,,,,,,,
Sam 2,2.65536e-08,1.20171e-02,4.2541e-03,4.9806e-05,4.7582e-06,5.1145e-08,,,,,,            5.1501,           13.1614,           17.9970,           26.3305,          -12.6639,            2.1364,            7.1865,           -0.3252,           -0.1611,          -42.9778,
Ref 3,2.71833e-08,,,,,,1.1956e-02,4.1988e-03,4.8932e-05,4.6361e-06,5.1006e-08,,,,,,,,,,,
Sam 3,2.61286e-08,1.20172e-02,4.2541e-03,4.9802e-05,4.7645e-06,5.1820e-08,,,,,,            5.1627,           13.1815,           17.8682,           27.4982,           17.6135,            2.1491,            7.2064,           -0.4841,            0.9366,          -13.6816,
Ref 4,2.67775e-08,,,,,,1.1955e-02,4.1988e-03,4.8923e-05,4.6379e-06,5.0838e-08,,,,,,,,,,,
Sam 4,2.57150e-08,1.20170e-02,4.2540e-03,4.9804e-05,4.7569e-06,5.1874e-08,,,,,,            5.1458,           13.1640,           18.0388,           25.6291,           19.5228,            2.1317,            7.1891,           -0.2822,           -0.8496,          -11.7798,
Ref 5,2.63771e-08,,,,,,1.1955e-02,4.1987e-03,4.8920e-05,4.6382e-06,5.0925e-08,,,,,,,,,,,
Sam 5,2.53088e-08,1.20170e-02,4.2541e-03,4.9811e-05,4.7606e-06,5.1343e-08,,,,,,            5.1594,           13.1782,           18.1615,           26.2952,            0.9917,            2.1456,            7.2032,           -0.1894,           -0.2287,          -29.7825,
Ref 6,2.59849e-08,,,,,,1.1955e-02,4.1989e-03,4.8924e-05,4.6391e-06,5.1666e-08,,,,,,,,,,,
Sam 6,2.49122e-08,1.20170e-02,4.2541e-03,4.9807e-05,4.7613e-06,5.2197e-08,,,,,,            5.1676,           13.1682,           18.0655,           26.3231,           41.9307,            2.1548,            7.1932,           -0.2825,           -0.1818,            9.9086,
Ref 7,2.56003e-08,,,,,,1.1955e-02,4.1987e-03,4.8922e-05,4.6392e-06,4.8503e-08,,,,,,,,,,,
Sam 7,2.45272e-08,1.20167e-02,4.2541e-03,4.9804e-05,4.7576e-06,5.1077e-08,,,,,,            5.1460,           13.1887,           17.9801,           25.8011,           57.9721,            2.1311,            7.2137,           -0.3641,           -0.7308,           25.4396,
Ref 8,2.52275e-08,,,,,,1.1955e-02,4.1987e-03,4.8926e-05,4.6366e-06,4.8050e-08,,,,,,,,,,,
Sam 8,2.41497e-08,1.20169e-02,4.2540e-03,4.9806e-05,4.7638e-06,4.9906e-08,,,,,,            5.1605,           13.1811,           18.0310,           27.4564,           -4.0606,            2.1467,            7.2061,           -0.3215,            0.8967,          -34.6861,
Ref 9,2.48562e-08,,,,,,1.1955e-02,4.1987e-03,4.8922e-05,4.6364e-06,5.2199e-08,,,,,,,,,,,
Sam 9,2.37801e-08,1.20166e-02,4.2540e-03,4.9818e-05,4.7581e-06,5.3163e-08,,,,,,            5.1456,           13.1571,           18.2948,           26.5777,           30.8602,            2.1317,            7.1822,           -0.0239,            0.0881,           -0.7769,
Ref 10,2.44941e-08,,,,,,1.1955e-02,4.1987e-03,4.8924e-05,4.6334e-06,5.0934e-08,,,,,,,,,,,
Sam 10,2.34192e-08,1.20165e-02,4.2540e-03,4.9798e-05,4.7608e-06,5.1355e-08,,,,,,            5.1477,           13.1794,           17.8618,           27.2747,            0.5726,            2.1332,            7.2044,           -0.4729,            0.7230,          -30.1790,
Ref 11,2.41411e-08,,,,,,1.1955e-02,4.1986e-03,4.8924e-05,4.6355e-06,5.1723e-08,,,,,,,,,,,
Sam 11,2.30683e-08,1.20165e-02,4.2539e-03,4.9806e-05,4.7556e-06,5.3447e-08,,,,,,            5.1577,           13.1735,           17.9609,           26.0038,           34.4423,            2.1441,            7.1985,           -0.3802,           -0.5034,            2.6504,
Ref 12,2.37956e-08,,,,,,1.1955e-02,4.1986e-03,4.8929e-05,4.6347e-06,5.1610e-08,,,,,,,,,,,
Sam 12,2.27244e-08,1.20165e-02,4.2538e-03,4.9810e-05,4.7630e-06,5.3335e-08,,,,,,            5.1600,           13.1547,           18.0612,           27.6859,           15.0476,            2.1471,            7.1798,           -0.2658,            1.1725,          -16.1146,
Ref 13,2.34602e-08,,,,,,1.1955e-02,4.1986e-03,4.8924e-05,4.6346e-06,5.3491e-08,,,,,,,,,,,
Sam 13,2.23920e-08,1.20165e-02,4.2538e-03,4.9809e-05,4.7598e-06,5.4550e-08,,,,,,            5.1536,           13.1484,           18.1032,           26.7896,           20.7718,            2.1405,            7.1736,           -0.2119,            0.3116,          -10.5474,
Ref 14,2.31340e-08,,,,,,1.1955e-02,4.1986e-03,4.8924e-05,4.6367e-06,5.3388e-08,,,,,,,,,,,
Sam 14,2.20616e-08,1.20166e-02,4.2540e-03,4.9809e-05,4.7590e-06,5.3405e-08,,,,,,            5.1664,           13.1719,           17.9806,           26.4931,           18.7884,            2.1533,            7.1969,           -0.3681,           -0.0235,          -12.5283,
Ref 15,2.28109e-08,,,,,,1.1955e-02,4.1987e-03,4.8934e-05,4.6357e-06,5.1439e-08,,,,,,,,,,,
Sam 15,2.17339e-08,1.20165e-02,4.2539e-03,4.9811e-05,4.7599e-06,5.6605e-08,,,,,,            5.1599,           13.1518,           18.0024,           26.6568,           98.6906,            2.1472,            7.1769,           -0.3206,            0.1756,           64.9666,
Ref 16,2.24928e-08,,,,,,1.1955e-02,4.1986e-03,4.8926e-05,4.6369e-06,5.1602e-08,,,,,,,,,,,
Sam 16,2.14159e-08,1.20164e-02,4.2539e-03,4.9805e-05,4.7580e-06,5.4782e-08,,,,,,            5.1517,           13.1702,           17.9026,           26.0200,           59.6355,            2.1378,            7.1952,           -0.4280,           -0.4810,           27.0826,
Ref 17,2.21842e-08,,,,,,1.1955e-02,4.1986e-03,4.8931e-05,4.6379e-06,5.1796e-08,,,,,,,,,,,
Sam 17,2.11042e-08,1.20163e-02,4.2539e-03,4.9816e-05,4.7663e-06,5.3405e-08,,,,,,            5.1390,           13.1671,           18.1360,           27.6342,           48.2753,            2.1243,            7.1921,           -0.1827,            1.0976,           16.0912,
Ref 18,2.18793e-08,,,,,,1.1955e-02,4.1986e-03,4.8925e-05,4.6383e-06,5.0083e-08,,,,,,,,,,,
Sam 18,2.07984e-08,1.20163e-02,4.2539e-03,4.9809e-05,4.7568e-06,5.6176e-08,,,,,,            5.1501,           13.1738,           18.0909,           25.4188,           86.8158,            2.1360,            7.1988,           -0.2450,           -1.0738,           53.4223,
Ref 19,2.15783e-08,,,,,,1.1955e-02,4.1986e-03,4.8923e-05,4.6395e-06,5.3317e-08,,,,,,,,,,,
Sam 19,2.04970e-08,1.20163e-02,4.2539e-03,4.9816e-05,4.7619e-06,5.7089e-08,,,,,,            5.1504,           13.1782,           18.2243,           26.6790,           59.1891,            2.1361,            7.2032,           -0.1186,            0.1451,           26.6352,
Ref 20,2.12814e-08,,,,,,1.1955e-02,4.1985e-03,4.8925e-05,4.6367e-06,5.4489e-08,,,,,,,,,,,
Sam 20,2.02020e-08,1.20165e-02,4.2538e-03,4.9808e-05,4.7584e-06,6.0693e-08,,,,,,            5.1660,           13.1689,           18.0362,           26.2757,          111.0266,            2.1531,            7.1939,           -0.3103,           -0.2295,           76.8811,
Ref 21,2.09899e-08,,,,,,1.1955e-02,4.1985e-03,4.8925e-05,4.6365e-06,5.4769e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.08443e-08,,,,,,1.1955e-02,4.1985e-03,4.8924e-05,4.6363e-06,5.1943e-08,
Sam 1,1.97682e-08,1.20162e-02,4.2538e-03,4.9816e-05,4.7604e-06,5.4445e-08,,,,,,            5.1616,           13.1555,           18.1160,           27.0287,           69.2867,            2.1488,            7.1806,           -0.2143,            0.5305,           36.4560,
Ref 2,2.05605e-08,,,,,,1.1954e-02,4.1985e-03,4.8936e-05,4.6340e-06,4.9877e-08,,,,,,,,,,,
Sam 2,1.94896e-08,1.20162e-02,4.2537e-03,4.9810e-05,4.7690e-06,5.7673e-08,,,,,,            5.1526,           13.1481,           17.9761,           28.8041,           91.3821,            2.1395,            7.1732,           -0.3353,            2.2749,           57.8982,
Ref 3,2.02819e-08,,,,,,1.1955e-02,4.1985e-03,4.8925e-05,4.6371e-06,5.5852e-08,,,,,,,,,,,
Sam 3,1.92171e-08,1.20163e-02,4.2537e-03,4.9807e-05,4.7609e-06,6.1496e-08,,,,,,            5.1537,           13.1539,           17.8429,           26.5574,          135.4867,            2.1404,            7.1790,           -0.4729,            0.0746,          100.6361,
Ref 4,2.00118e-08,,,,,,1.1955e-02,4.1984e-03,4.8943e-05,4.6384e-06,5.2442e-08,,,,,,,,,,,
Sam 4,1.89524e-08,1.20160e-02,4.2537e-03,4.9813e-05,4.7617e-06,5.5288e-08,,,,,,            5.1461,           13.1680,           17.9092,           26.5490,           -9.6198,            2.1319,            7.1930,           -0.4137,            0.0387,          -40.0353,
Ref 5,1.97481e-08,,,,,,1.1954e-02,4.1984e-03,4.8930e-05,4.6387e-06,5.9254e-08,,,,,,,,,,,
Sam 5,1.86899e-08,1.20160e-02,4.2537e-03,4.9806e-05,4.7612e-06,5.8074e-08,,,,,,            5.1443,           13.1792,           18.0141,           26.8366,           36.0997,            2.1295,            7.2042,           -0.3196,            0.2968,            4.2602,
Ref 6,1.94852e-08,,,,,,1.1955e-02,4.1984e-03,4.8920e-05,4.6349e-06,5.2804e-08,,,,,,,,,,,
Sam 6,1.84333e-08,1.20161e-02,4.2536e-03,4.9807e-05,4.7589e-06,6.0105e-08,,,,,,            5.1669,           13.1445,           18.1312,           26.2359,          164.5453,            2.1549,            7.1696,           -0.1942,           -0.2199,          128.8075,
Ref 7,1.92244e-08,,,,,,1.1954e-02,4.1984e-03,4.8920e-05,4.6396e-06,5.0404e-08,,,,,,,,,,,
Sam 7,1.81809e-08,1.20160e-02,4.2537e-03,4.9807e-05,4.7603e-06,5.6140e-08,,,,,,            5.1591,           13.1563,           17.9844,           26.3059,           70.0305,            2.1461,            7.1814,           -0.3418,           -0.1751,           37.1781,
Ref 8,1.89749e-08,,,,,,1.1954e-02,4.1984e-03,4.8935e-05,4.6370e-06,5.4554e-08,,,,,,,,,,,
Sam 8,1.79353e-08,1.20159e-02,4.2536e-03,4.9808e-05,4.7564e-06,5.8972e-08,,,,,,            5.1514,           13.1363,           17.9317,           25.5942,          114.8956,            2.1386,            7.1615,           -0.3662,           -0.8289,           80.7164,
Ref 9,1.87284e-08,,,,,,1.1954e-02,4.1984e-03,4.8927e-05,4.6383e-06,5.1214e-08,,,,,,,,,,,
Sam 9,1.76949e-08,1.20158e-02,4.2538e-03,4.9804e-05,4.7548e-06,5.7560e-08,,,,,,            5.1438,           13.1934,           17.9509,           25.0878,          106.3099,            2.1285,            7.2183,           -0.3950,           -1.4349,           72.2838,
Ref 10,1.84853e-08,,,,,,1.1954e-02,4.1983e-03,4.8925e-05,4.6385e-06,5.2855e-08,,,,,,,,,,,
Sam 10,1.74539e-08,1.20159e-02,4.2536e-03,4.9811e-05,4.7595e-06,5.3499e-08,,,,,,            5.1508,           13.1605,           18.0426,           26.2274,            0.0474,            2.1371,            7.1855,           -0.2802,           -0.2598,          -30.6557,
Ref 11,1.82426e-08,,,,,,1.1954e-02,4.1983e-03,4.8931e-05,4.6372e-06,5.4146e-08,,,,,,,,,,,
Sam 11,1.72222e-08,1.20159e-02,4.2535e-03,4.9819e-05,4.7628e-06,5.9400e-08,,,,,,            5.1534,           13.1472,           18.1593,           27.1186,          111.3893,            2.1403,            7.1723,           -0.1554,            0.6346,           77.2926,
Ref 12,1.80076e-08,,,,,,1.1954e-02,4.1983e-03,4.8929e-05,4.6369e-06,5.2738e-08,,,,,,,,,,,
Sam 12,1.69931e-08,1.20158e-02,4.2536e-03,4.9804e-05,4.7568e-06,5.6370e-08,,,,,,            5.1454,           13.1602,           17.8050,           25.8561,           65.7279,            2.1314,            7.1853,           -0.5076,           -0.6209,           33.0149,
Ref 13,1.77763e-08,,,,,,1.1954e-02,4.1984e-03,4.8937e-05,4.6370e-06,5.3052e-08,,,,,,,,,,,
Sam 13,1.67686e-08,1.20156e-02,4.2535e-03,4.9810e-05,4.7604e-06,5.4811e-08,,,,,,            5.1344,           13.1557,           17.9600,           26.7463,           39.4532,            2.1199,            7.1808,           -0.3399,            0.2551,            7.5671,
Ref 14,1.75487e-08,,,,,,1.1954e-02,4.1983e-03,4.8926e-05,4.6358e-06,5.2405e-08,,,,,,,,,,,
Sam 14,1.65466e-08,1.20159e-02,4.2536e-03,4.9814e-05,4.7614e-06,5.7967e-08,,,,,,            5.1630,           13.1538,           18.1373,           26.6848,           87.7789,            2.1503,            7.1789,           -0.1932,            0.1989,           54.3824,
Ref 15,1.73254e-08,,,,,,1.1954e-02,4.1985e-03,4.8927e-05,4.6396e-06,5.4185e-08,,,,,,,,,,,
Sam 15,1.63297e-08,1.20157e-02,4.2535e-03,4.9817e-05,4.7588e-06,5.2594e-08,,,,,,            5.1577,           13.1352,           18.2104,           25.8557,           -4.2079,            2.1454,            7.1604,           -0.0980,           -0.5721,          -34.7400,
Ref 16,1.71061e-08,,,,,,1.1954e-02,4.1983e-03,4.8925e-05,4.6382e-06,5.1430e-08,,,,,,,,,,,
Sam 16,1.61155e-08,1.20154e-02,4.2535e-03,4.9809e-05,4.7576e-06,5.2794e-08,,,,,,            5.1522,           13.1578,           17.9159,           25.7718,           35.8398,            2.1388,            7.1829,           -0.4035,           -0.6983,            4.0415,
Ref 17,1.68905e-08,,,,,,1.1954e-02,4.1982e-03,4.8939e-05,4.6378e-06,5.0498e-08,,,,,,,,,,,
Sam 17,1.59054e-08,1.20156e-02,4.2535e-03,4.9808e-05,4.7585e-06,5.2940e-08,,,,,,            5.1682,           13.1687,           17.7827,           25.9829,           22.9964,            2.1554,            7.1937,           -0.5612,           -0.5143,           -8.4453,
Ref 18,1.66780e-08,,,,,,1.1954e-02,4.1982e-03,4.8936e-05,4.6381e-06,5.3018e-08,,,,,,,,,,,
Sam 18,1.56989e-08,1.20155e-02,4.2535e-03,4.9817e-05,4.7636e-06,5.8762e-08,,,,,,            5.1490,           13.1595,           18.0442,           26.9114,           93.9103,            2.1352,            7.1846,           -0.2759,            0.4083,           60.3293,
Ref 19,1.64699e-08,,,,,,1.1954e-02,4.1982e-03,4.8932e-05,4.6394e-06,5.4426e-08,,,,,,,,,,,
Sam 19,1.54969e-08,1.20155e-02,4.2535e-03,4.9814e-05,4.7631e-06,5.7209e-08,,,,,,            5.1408,           13.1660,           18.1324,           26.8984,           69.0943,            2.1263,            7.1910,           -0.1871,            0.3830,           36.2713,
Ref 20,1.62643e-08,,,,,,1.1954e-02,4.1983e-03,4.8921e-05,4.6372e-06,5.2586e-08,,,,,,,,,,,
Sam 20,1.52983e-08,1.20155e-02,4.2534e-03,4.9814e-05,4.7587e-06,5.4982e-08,,,,,,            5.1514,           13.1242,           18.1837,           25.9537,           46.8600,            2.1390,            7.1494,           -0.1071,           -0.4549,           14.7905,
Ref 21,1.60658e-08,,,,,,1.1954e-02,4.1982e-03,4.8928e-05,4.6395e-06,5.2456e-08,,,,,,,,,,,


