Nu Stable Isotope Analysis Program
Data Collected on Friday, May 19, 2023 at 12:05 with Stable 1.71.5 on PS019,Reanalyzed on Friday, May 19, 2023 at 13:04 with Stable 1.71.5 on PS019

Data File = Data_19673 ETH-1.txt,         Sample Weight = 411,                      Vial Location = 15,                       Initial Sam Beam = 1.2740e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8160e-08,                Max Ref Beam = 1.0652e-07,                

Analysis undertaken at mass 46.05204
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.53282e-08,,,,,,1.1956e-02,4.1985e-03,4.8900e-05,4.6298e-06,4.9204e-08,
Sam 1,4.46152e-08,1.20124e-02,4.2461e-03,4.9651e-05,4.7356e-06,5.2075e-08,,,,,,            4.6815,           11.3244,           15.3115,           22.5806,           47.9283,            1.7010,            5.3594,           -0.7000,           -0.1920,           19.8922,
Ref 2,4.44690e-08,,,,,,1.1957e-02,4.1987e-03,4.8905e-05,4.6322e-06,5.0191e-08,,,,,,,,,,,
Sam 2,4.37348e-08,1.20125e-02,4.2462e-03,4.9653e-05,4.7364e-06,5.0106e-08,,,,,,            4.6760,           11.3089,           15.2857,           22.4291,           13.1391,            1.6957,            5.3440,           -0.7047,           -0.3096,          -13.9308,
Ref 3,4.36653e-08,,,,,,1.1957e-02,4.1987e-03,4.8906e-05,4.6328e-06,4.8707e-08,,,,,,,,,,,
Sam 3,4.28908e-08,1.20126e-02,4.2462e-03,4.9658e-05,4.7349e-06,5.1821e-08,,,,,,            4.6765,           11.3044,           15.3553,           22.4785,           48.5257,            1.6963,            5.3395,           -0.6322,           -0.2523,           20.5188,
Ref 4,4.28851e-08,,,,,,1.1957e-02,4.1988e-03,4.8909e-05,4.6288e-06,5.0152e-08,,,,,,,,,,,
Sam 4,4.20751e-08,1.20126e-02,4.2462e-03,4.9661e-05,4.7342e-06,4.9991e-08,,,,,,            4.6782,           11.3037,           15.3766,           22.6491,           11.5143,            1.6981,            5.3388,           -0.6124,           -0.0842,          -15.5044,
Ref 5,4.21291e-08,,,,,,1.1957e-02,4.1988e-03,4.8910e-05,4.6298e-06,4.8679e-08,,,,,,,,,,,
Sam 5,4.12805e-08,1.20126e-02,4.2463e-03,4.9661e-05,4.7369e-06,5.1443e-08,,,,,,            4.6811,           11.3189,           15.3725,           22.8389,           58.4850,            1.7008,            5.3539,           -0.6342,            0.0714,           30.1779,
Ref 6,4.13899e-08,,,,,,1.1957e-02,4.1988e-03,4.8908e-05,4.6325e-06,4.8521e-08,,,,,,,,,,,
Sam 6,4.05021e-08,1.20126e-02,4.2463e-03,4.9661e-05,4.7340e-06,5.0785e-08,,,,,,            4.6793,           11.3137,           15.4041,           21.9081,           34.3050,            1.6990,            5.3488,           -0.5961,           -0.8284,            6.6567,
Ref 7,4.06633e-08,,,,,,1.1957e-02,4.1988e-03,4.8908e-05,4.6324e-06,4.9691e-08,,,,,,,,,,,
Sam 7,3.97413e-08,1.20125e-02,4.2463e-03,4.9664e-05,4.7350e-06,5.0718e-08,,,,,,            4.6731,           11.3073,           15.3957,           22.6015,           17.2531,            1.6927,            5.3424,           -0.5918,           -0.1378,           -9.9206,
Ref 8,3.99502e-08,,,,,,1.1957e-02,4.1989e-03,4.8915e-05,4.6283e-06,5.0027e-08,,,,,,,,,,,
Sam 8,3.90099e-08,1.20125e-02,4.2463e-03,4.9668e-05,4.7356e-06,5.1802e-08,,,,,,            4.6735,           11.2968,           15.4470,           22.5747,           50.7382,            1.6934,            5.3319,           -0.5315,           -0.1432,           22.6906,
Ref 9,3.92642e-08,,,,,,1.1957e-02,4.1989e-03,4.8909e-05,4.6338e-06,4.8561e-08,,,,,,,,,,,
Sam 9,3.82891e-08,1.20124e-02,4.2464e-03,4.9671e-05,4.7352e-06,5.1549e-08,,,,,,            4.6612,           11.3037,           15.5670,           21.9971,           44.8841,            1.6801,            5.3389,           -0.4076,           -0.7216,           16.9923,
Ref 10,3.85800e-08,,,,,,1.1957e-02,4.1989e-03,4.8910e-05,4.6328e-06,5.0122e-08,,,,,,,,,,,
Sam 10,3.75823e-08,1.20125e-02,4.2464e-03,4.9670e-05,4.7378e-06,5.1895e-08,,,,,,            4.6774,           11.3027,           15.4874,           22.8828,           40.1379,            1.6973,            5.3378,           -0.5015,            0.1464,           12.3574,
Ref 11,3.79206e-08,,,,,,1.1957e-02,4.1989e-03,4.8915e-05,4.6309e-06,4.9659e-08,,,,,,,,,,,
Sam 11,3.68965e-08,1.20125e-02,4.2465e-03,4.9674e-05,4.7365e-06,5.1895e-08,,,,,,            4.6778,           11.3276,           15.5543,           22.5288,           37.8399,            1.6969,            5.3626,           -0.4602,           -0.2489,           10.0716,
Ref 12,3.72736e-08,,,,,,1.1957e-02,4.1989e-03,4.8912e-05,4.6335e-06,5.0353e-08,,,,,,,,,,,
Sam 12,3.62318e-08,1.20124e-02,4.2464e-03,4.9662e-05,4.7353e-06,5.0828e-08,,,,,,            4.6748,           11.3028,           15.3370,           21.9396,           37.4684,            1.6946,            5.3379,           -0.6469,           -0.7761,            9.7619,
Ref 13,3.66461e-08,,,,,,1.1956e-02,4.1989e-03,4.8912e-05,4.6338e-06,4.7609e-08,,,,,,,,,,,
Sam 13,3.55863e-08,1.20123e-02,4.2464e-03,4.9669e-05,4.7369e-06,5.1916e-08,,,,,,            4.6781,           11.3088,           15.4237,           22.3730,           76.1757,            1.6979,            5.3439,           -0.5709,           -0.3642,           47.4194,
Ref 14,3.60302e-08,,,,,,1.1956e-02,4.1989e-03,4.8916e-05,4.6327e-06,4.8884e-08,,,,,,,,,,,
Sam 14,3.49528e-08,1.20122e-02,4.2463e-03,4.9669e-05,4.7363e-06,5.0964e-08,,,,,,            4.6773,           11.2964,           15.3767,           22.4249,           33.3362,            1.6975,            5.3315,           -0.6042,           -0.2889,            5.7498,
Ref 15,3.54299e-08,,,,,,1.1956e-02,4.1989e-03,4.8918e-05,4.6322e-06,4.9763e-08,,,,,,,,,,,
Sam 15,3.43362e-08,1.20123e-02,4.2464e-03,4.9667e-05,4.7383e-06,5.2249e-08,,,,,,            4.6836,           11.3071,           15.3235,           22.8818,           36.1734,            1.7038,            5.3422,           -0.6735,            0.1367,            8.4836,
Ref 16,3.48401e-08,,,,,,1.1956e-02,4.1989e-03,4.8917e-05,4.6325e-06,5.1098e-08,,,,,,,,,,,
Sam 16,3.37329e-08,1.20123e-02,4.2464e-03,4.9670e-05,4.7378e-06,5.3284e-08,,,,,,            4.6879,           11.3102,           15.3942,           22.7930,           52.8760,            1.7082,            5.3453,           -0.6113,            0.0437,           24.7289,
Ref 17,3.42604e-08,,,,,,1.1956e-02,4.1989e-03,4.8917e-05,4.6319e-06,5.0110e-08,,,,,,,,,,,
Sam 17,3.31441e-08,1.20123e-02,4.2464e-03,4.9674e-05,4.7350e-06,5.3503e-08,,,,,,            4.6888,           11.3038,           15.5216,           22.4385,           65.5595,            1.7094,            5.3389,           -0.4806,           -0.2902,           37.0854,
Ref 18,3.36992e-08,,,,,,1.1956e-02,4.1989e-03,4.8913e-05,4.6303e-06,5.0313e-08,,,,,,,,,,,
Sam 18,3.25677e-08,1.20122e-02,4.2464e-03,4.9672e-05,4.7397e-06,5.1688e-08,,,,,,            4.6814,           11.3194,           15.4685,           23.0143,           19.8849,            1.7010,            5.3545,           -0.5404,            0.2419,           -7.3912,
Ref 19,3.31478e-08,,,,,,1.1956e-02,4.1989e-03,4.8917e-05,4.6359e-06,5.1053e-08,,,,,,,,,,,
Sam 19,3.20009e-08,1.20121e-02,4.2465e-03,4.9670e-05,4.7395e-06,5.2369e-08,,,,,,            4.6734,           11.3219,           15.4058,           22.5192,           40.3139,            1.6924,            5.3570,           -0.5964,           -0.2472,           12.4951,
Ref 20,3.26135e-08,,,,,,1.1956e-02,4.1990e-03,4.8915e-05,4.6342e-06,4.9614e-08,,,,,,,,,,,
Sam 20,3.14476e-08,1.20122e-02,4.2464e-03,4.9673e-05,4.7385e-06,5.1874e-08,,,,,,            4.6807,           11.2936,           15.4214,           22.6280,           68.2306,            1.7012,            5.3287,           -0.5610,           -0.0848,           39.7145,
Ref 21,3.20912e-08,,,,,,1.1956e-02,4.1990e-03,4.8922e-05,4.6331e-06,4.7491e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.18326e-08,,,,,,1.1956e-02,4.1989e-03,4.8925e-05,4.6321e-06,5.0488e-08,
Sam 1,3.06394e-08,1.20122e-02,4.2464e-03,4.9674e-05,4.7388e-06,5.0745e-08,,,,,,            4.6891,           11.3064,           15.3845,           23.0573,           -2.1000,            1.7097,            5.3415,           -0.6184,            0.3096,          -28.7715,
Ref 2,3.13253e-08,,,,,,1.1956e-02,4.1990e-03,4.8917e-05,4.6318e-06,5.1220e-08,,,,,,,,,,,
Sam 2,3.01304e-08,1.20122e-02,4.2464e-03,4.9673e-05,4.7357e-06,5.5721e-08,,,,,,            4.6819,           11.3020,           15.3681,           22.4575,           66.5671,            1.7022,            5.3372,           -0.6230,           -0.2682,           38.0771,
Ref 3,3.08350e-08,,,,,,1.1956e-02,4.1989e-03,4.8926e-05,4.6316e-06,5.3282e-08,,,,,,,,,,,
Sam 3,2.96220e-08,1.20120e-02,4.2464e-03,4.9670e-05,4.7420e-06,5.4244e-08,,,,,,            4.6685,           11.3043,           15.2087,           23.9357,           12.6661,            1.6878,            5.3394,           -0.7682,            1.1726,          -14.3744,
Ref 4,3.03445e-08,,,,,,1.1956e-02,4.1989e-03,4.8925e-05,4.6306e-06,5.3854e-08,,,,,,,,,,,
Sam 4,2.91250e-08,1.20119e-02,4.2463e-03,4.9673e-05,4.7393e-06,5.4869e-08,,,,,,            4.6669,           11.2899,           15.3580,           22.8547,           41.6837,            1.6866,            5.3251,           -0.6057,            0.1441,           13.8984,
Ref 5,2.98652e-08,,,,,,1.1956e-02,4.1989e-03,4.8919e-05,4.6363e-06,5.1473e-08,,,,,,,,,,,
Sam 5,2.86414e-08,1.20120e-02,4.2464e-03,4.9672e-05,4.7407e-06,5.4104e-08,,,,,,            4.6797,           11.3121,           15.3758,           22.9417,           34.6820,            1.6995,            5.3472,           -0.6229,            0.1854,            7.0263,
Ref 6,2.93975e-08,,,,,,1.1956e-02,4.1989e-03,4.8922e-05,4.6325e-06,5.3120e-08,,,,,,,,,,,
Sam 6,2.81720e-08,1.20118e-02,4.2463e-03,4.9677e-05,4.7352e-06,5.3704e-08,,,,,,            4.6717,           11.2796,           15.3234,           22.1124,           19.6935,            1.6921,            5.3149,           -0.6347,           -0.5613,           -7.4904,
Ref 7,2.89389e-08,,,,,,1.1956e-02,4.1989e-03,4.8932e-05,4.6329e-06,5.2207e-08,,,,,,,,,,,
Sam 7,2.77161e-08,1.20117e-02,4.2463e-03,4.9673e-05,4.7397e-06,5.1761e-08,,,,,,            4.6626,           11.2865,           15.2075,           23.0442,           -9.4925,            1.6822,            5.3217,           -0.7461,            0.3362,          -35.9020,
Ref 8,2.84925e-08,,,,,,1.1956e-02,4.1989e-03,4.8926e-05,4.6330e-06,5.2309e-08,,,,,,,,,,,
Sam 8,2.72712e-08,1.20118e-02,4.2463e-03,4.9675e-05,4.7379e-06,5.4042e-08,,,,,,            4.6789,           11.2712,           15.4116,           22.0481,           23.2358,            1.7000,            5.3065,           -0.5470,           -0.6076,           -4.0338,
Ref 9,2.80553e-08,,,,,,1.1956e-02,4.1990e-03,4.8917e-05,4.6385e-06,5.3328e-08,,,,,,,,,,,
Sam 9,2.68319e-08,1.20116e-02,4.2463e-03,4.9670e-05,4.7357e-06,5.5106e-08,,,,,,            4.6667,           11.2774,           15.3409,           21.6734,           47.2816,            1.6868,            5.3126,           -0.6100,           -0.9862,           19.3721,
Ref 10,2.76259e-08,,,,,,1.1956e-02,4.1989e-03,4.8923e-05,4.6318e-06,5.1898e-08,,,,,,,,,,,
Sam 10,2.64183e-08,1.20117e-02,4.2463e-03,4.9670e-05,4.7373e-06,5.4020e-08,,,,,,            4.6790,           11.2970,           15.2463,           22.4515,           36.9100,            1.6993,            5.3322,           -0.7349,           -0.2642,            9.2252,
Ref 11,2.72226e-08,,,,,,1.1956e-02,4.1990e-03,4.8927e-05,4.6348e-06,5.2299e-08,,,,,,,,,,,
Sam 11,2.60080e-08,1.20115e-02,4.2463e-03,4.9683e-05,4.7363e-06,5.3353e-08,,,,,,            4.6681,           11.2711,           15.4768,           21.9256,           52.5116,            1.6885,            5.3064,           -0.4716,           -0.7271,           24.4738,
Ref 12,2.68158e-08,,,,,,1.1956e-02,4.1989e-03,4.8924e-05,4.6346e-06,4.9058e-08,,,,,,,,,,,
Sam 12,2.56026e-08,1.20114e-02,4.2464e-03,4.9679e-05,4.7380e-06,5.6810e-08,,,,,,            4.6635,           11.2982,           15.3934,           22.4223,           99.2335,            1.6827,            5.3334,           -0.5753,           -0.2951,           69.8998,
Ref 13,2.64190e-08,,,,,,1.1956e-02,4.1989e-03,4.8927e-05,4.6336e-06,5.4343e-08,,,,,,,,,,,
Sam 13,2.52046e-08,1.20116e-02,4.2463e-03,4.9678e-05,4.7367e-06,5.4287e-08,,,,,,            4.6838,           11.3076,           15.3442,           22.0365,            4.1988,            1.7040,            5.3427,           -0.6537,           -0.6908,          -22.6376,
Ref 14,2.60277e-08,,,,,,1.1956e-02,4.1988e-03,4.8928e-05,4.6356e-06,5.3773e-08,,,,,,,,,,,
Sam 14,2.48153e-08,1.20116e-02,4.2463e-03,4.9679e-05,4.7395e-06,5.4577e-08,,,,,,            4.6792,           11.3064,           15.3148,           22.2327,           38.6768,            1.6991,            5.3415,           -0.6768,           -0.4966,           10.9262,
Ref 15,2.56483e-08,,,,,,1.1956e-02,4.1989e-03,4.8931e-05,4.6373e-06,5.1298e-08,,,,,,,,,,,
Sam 15,2.44323e-08,1.20114e-02,4.2463e-03,4.9683e-05,4.7389e-06,5.1312e-08,,,,,,            4.6633,           11.2770,           15.2922,           22.3663,           10.9004,            1.6833,            5.3123,           -0.6542,           -0.3080,          -16.0354,
Ref 16,2.52743e-08,,,,,,1.1956e-02,4.1989e-03,4.8939e-05,4.6331e-06,5.0211e-08,,,,,,,,,,,
Sam 16,2.40568e-08,1.20115e-02,4.2462e-03,4.9682e-05,4.7375e-06,5.1934e-08,,,,,,            4.6832,           11.2687,           15.2876,           22.6592,           28.1418,            1.7047,            5.3040,           -0.6711,           -0.0051,            0.7417,
Ref 17,2.49085e-08,,,,,,1.1955e-02,4.1988e-03,4.8929e-05,4.6318e-06,5.0819e-08,,,,,,,,,,,
Sam 17,2.36873e-08,1.20113e-02,4.2462e-03,4.9680e-05,4.7390e-06,5.3069e-08,,,,,,            4.6749,           11.2729,           15.3127,           22.7028,           26.6533,            1.6957,            5.3082,           -0.6419,            0.0292,           -0.7065,
Ref 18,2.45453e-08,,,,,,1.1955e-02,4.1988e-03,4.8932e-05,4.6357e-06,5.2576e-08,,,,,,,,,,,
Sam 18,2.33282e-08,1.20112e-02,4.2462e-03,4.9690e-05,4.7372e-06,5.3733e-08,,,,,,            4.6690,           11.2800,           15.5392,           22.2444,           16.4980,            1.6892,            5.3152,           -0.4198,           -0.4329,          -10.5986,
Ref 19,2.41900e-08,,,,,,1.1955e-02,4.1988e-03,4.8928e-05,4.6324e-06,5.3149e-08,,,,,,,,,,,
Sam 19,2.29760e-08,1.20112e-02,4.2461e-03,4.9677e-05,4.7393e-06,5.2836e-08,,,,,,            4.6760,           11.2820,           15.2543,           22.7567,            4.5625,            1.6965,            5.3172,           -0.7093,            0.0639,          -22.2270,
Ref 20,2.38450e-08,,,,,,1.1955e-02,4.1987e-03,4.8933e-05,4.6353e-06,5.2036e-08,,,,,,,,,,,
Sam 20,2.26339e-08,1.20113e-02,4.2461e-03,4.9678e-05,4.7365e-06,5.1597e-08,,,,,,            4.6798,           11.2815,           15.3170,           21.7747,           -4.0145,            1.7007,            5.3167,           -0.6511,           -0.8951,          -30.5782,
Ref 21,2.35019e-08,,,,,,1.1955e-02,4.1988e-03,4.8924e-05,4.6358e-06,5.1570e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.33368e-08,,,,,,1.1955e-02,4.1988e-03,4.8931e-05,4.6336e-06,5.1897e-08,
Sam 1,2.21325e-08,1.20111e-02,4.2462e-03,4.9679e-05,4.7396e-06,5.0738e-08,,,,,,            4.6737,           11.2877,           15.2689,           22.8565,           20.4956,            1.6939,            5.3229,           -0.6981,            0.1502,           -6.7274,
Ref 2,2.30044e-08,,,,,,1.1955e-02,4.1988e-03,4.8932e-05,4.6337e-06,4.7509e-08,,,,,,,,,,,
Sam 2,2.18079e-08,1.20109e-02,4.2461e-03,4.9682e-05,4.7364e-06,5.0993e-08,,,,,,            4.6571,           11.2777,           15.2845,           21.8247,           13.5867,            1.6767,            5.3130,           -0.6562,           -0.8388,          -13.4155,
Ref 3,2.26790e-08,,,,,,1.1955e-02,4.1987e-03,4.8936e-05,4.6368e-06,5.3150e-08,,,,,,,,,,,
Sam 3,2.14890e-08,1.20112e-02,4.2462e-03,4.9673e-05,4.7376e-06,5.2390e-08,,,,,,            4.6843,           11.3002,           15.1358,           22.3971,            1.1673,            1.7048,            5.3353,           -0.8522,           -0.3237,          -25.5747,
Ref 4,2.23619e-08,,,,,,1.1955e-02,4.1988e-03,4.8929e-05,4.6307e-06,5.1497e-08,,,,,,,,,,,
Sam 4,2.11770e-08,1.20110e-02,4.2462e-03,4.9676e-05,4.7377e-06,5.3517e-08,,,,,,            4.6703,           11.2901,           15.1914,           23.0331,           48.7655,            1.6902,            5.3253,           -0.7734,            0.3181,           20.7873,
Ref 5,2.20505e-08,,,,,,1.1955e-02,4.1987e-03,4.8936e-05,4.6313e-06,5.0553e-08,,,,,,,,,,,
Sam 5,2.08719e-08,1.20110e-02,4.2460e-03,4.9677e-05,4.7380e-06,5.5276e-08,,,,,,            4.6736,           11.2639,           15.2221,           22.2099,           90.7879,            1.6946,            5.2992,           -0.7209,           -0.4349,           61.7390,
Ref 6,2.17470e-08,,,,,,1.1955e-02,4.1987e-03,4.8928e-05,4.6388e-06,5.0798e-08,,,,,,,,,,,
Sam 6,2.05776e-08,1.20109e-02,4.2460e-03,4.9673e-05,4.7393e-06,5.4971e-08,,,,,,            4.6699,           11.2649,           15.2396,           21.9624,           96.9974,            1.6907,            5.3003,           -0.7010,           -0.6790,           67.7852,
Ref 7,2.14482e-08,,,,,,1.1955e-02,4.1988e-03,4.8927e-05,4.6361e-06,4.9413e-08,,,,,,,,,,,
Sam 7,2.02849e-08,1.20109e-02,4.2460e-03,4.9675e-05,4.7362e-06,5.3525e-08,,,,,,            4.6804,           11.2668,           15.2491,           21.7672,           50.7010,            1.7018,            5.3021,           -0.7043,           -0.8735,           22.7066,
Ref 8,2.11540e-08,,,,,,1.1955e-02,4.1986e-03,4.8931e-05,4.6345e-06,5.2493e-08,,,,,,,,,,,
Sam 8,1.99956e-08,1.20108e-02,4.2459e-03,4.9681e-05,4.7385e-06,5.5400e-08,,,,,,            4.6679,           11.2596,           15.3513,           22.2922,           62.0286,            1.6888,            5.2950,           -0.5838,           -0.3459,           33.7604,
Ref 9,2.08651e-08,,,,,,1.1955e-02,4.1987e-03,4.8928e-05,4.6357e-06,5.1831e-08,,,,,,,,,,,
Sam 9,1.97123e-08,1.20108e-02,4.2460e-03,4.9679e-05,4.7396e-06,5.2123e-08,,,,,,            4.6736,           11.2733,           15.3550,           22.3877,          -41.7651,            1.6943,            5.3086,           -0.5993,           -0.2797,          -67.3010,
Ref 10,2.05784e-08,,,,,,1.1955e-02,4.1987e-03,4.8927e-05,4.6360e-06,5.6994e-08,,,,,,,,,,,
Sam 10,1.94362e-08,1.20106e-02,4.2460e-03,4.9683e-05,4.7368e-06,5.5955e-08,,,,,,            4.6558,           11.2652,           15.4002,           21.9372,           30.6466,            1.6757,            5.3005,           -0.5286,           -0.7040,            3.2158,
Ref 11,2.02989e-08,,,,,,1.1955e-02,4.1987e-03,4.8932e-05,4.6342e-06,5.1551e-08,,,,,,,,,,,
Sam 11,1.91698e-08,1.20108e-02,4.2461e-03,4.9682e-05,4.7385e-06,4.7656e-08,,,,,,            4.6731,           11.2830,           15.2502,           22.5486,          -35.6690,            1.6934,            5.3182,           -0.7114,           -0.1415,          -61.3845,
Ref 12,2.00347e-08,,,,,,1.1955e-02,4.1986e-03,4.8939e-05,4.6338e-06,4.7259e-08,,,,,,,,,,,
Sam 12,1.89050e-08,1.20107e-02,4.2460e-03,4.9681e-05,4.7426e-06,5.3384e-08,,,,,,            4.6717,           11.2859,           15.2081,           23.5354,           51.2408,            1.6919,            5.3212,           -0.7543,            0.8176,           23.2033,
Ref 13,1.97654e-08,,,,,,1.1955e-02,4.1986e-03,4.8934e-05,4.6333e-06,5.4353e-08,,,,,,,,,,,
Sam 13,1.86452e-08,1.20106e-02,4.2460e-03,4.9684e-05,4.7390e-06,5.2680e-08,,,,,,            4.6738,           11.3053,           15.3897,           22.2537,          -32.5480,            1.6934,            5.3404,           -0.5964,           -0.4739,          -58.3882,
Ref 14,1.95031e-08,,,,,,1.1955e-02,4.1985e-03,4.8928e-05,4.6384e-06,5.4552e-08,,,,,,,,,,,
Sam 14,1.83899e-08,1.20106e-02,4.2459e-03,4.9679e-05,4.7417e-06,5.3849e-08,,,,,,            4.6773,           11.2615,           15.3181,           22.5655,          -42.3622,            1.6987,            5.2968,           -0.6280,           -0.0824,          -67.8644,
Ref 15,1.92453e-08,,,,,,1.1955e-02,4.1987e-03,4.8931e-05,4.6358e-06,5.7931e-08,,,,,,,,,,,
Sam 15,1.81379e-08,1.20105e-02,4.2458e-03,4.9685e-05,4.7394e-06,5.5878e-08,,,,,,            4.6773,           11.2470,           15.3848,           22.8724,          -20.9589,            1.6991,            5.2824,           -0.5481,            0.2464,          -47.0041,
Ref 16,1.89865e-08,,,,,,1.1955e-02,4.1984e-03,4.8934e-05,4.6309e-06,5.6206e-08,,,,,,,,,,,
Sam 16,1.78872e-08,1.20104e-02,4.2458e-03,4.9683e-05,4.7375e-06,5.6932e-08,,,,,,            4.6721,           11.2822,           15.4149,           22.9535,           53.6072,            1.6924,            5.3175,           -0.5475,            0.2559,           25.5136,
Ref 17,1.87354e-08,,,,,,1.1955e-02,4.1984e-03,4.8923e-05,4.6314e-06,5.1834e-08,,,,,,,,,,,
Sam 17,1.76432e-08,1.20105e-02,4.2458e-03,4.9677e-05,4.7302e-06,5.9209e-08,,,,,,            4.6783,           11.2761,           15.2981,           21.0982,           90.3980,            1.6992,            5.3113,           -0.6628,           -1.5460,           61.3291,
Ref 18,1.84927e-08,,,,,,1.1955e-02,4.1985e-03,4.8934e-05,4.6335e-06,5.6798e-08,,,,,,,,,,,
Sam 18,1.74053e-08,1.20105e-02,4.2459e-03,4.9682e-05,4.7379e-06,5.6741e-08,,,,,,            4.6815,           11.2875,           15.3592,           23.1314,           13.1246,            1.7023,            5.3227,           -0.6172,            0.4195,          -13.9095,
Ref 19,1.82498e-08,,,,,,1.1955e-02,4.1985e-03,4.8927e-05,4.6281e-06,5.5203e-08,,,,,,,,,,,
Sam 19,1.71738e-08,1.20102e-02,4.2458e-03,4.9688e-05,4.7399e-06,6.0786e-08,,,,,,            4.6666,           11.2782,           15.5659,           23.0610,           88.2440,            1.6867,            5.3135,           -0.3893,            0.3690,           59.2411,
Ref 20,1.80146e-08,,,,,,1.1954e-02,4.1984e-03,4.8926e-05,4.6381e-06,5.6519e-08,,,,,,,,,,,
Sam 20,1.69452e-08,1.20104e-02,4.2458e-03,4.9678e-05,4.7374e-06,6.1468e-08,,,,,,            4.6847,           11.2906,           15.2888,           21.2738,           82.5335,            1.7056,            5.3258,           -0.6927,           -1.4030,           53.6373,
Ref 21,1.77817e-08,,,,,,1.1954e-02,4.1985e-03,4.8935e-05,4.6394e-06,5.7048e-08,,,,,,,,,,,


