Nu Stable Isotope Analysis Program
Data Collected on Friday, May 19, 2023 at 21:59 with Stable 1.71.5 on PS019,Reanalyzed on Friday, May 19, 2023 at 22:58 with Stable 1.71.5 on PS019

Data File = Data_19680 WS4_44_2A.txt,     Sample Weight = 476,                      Vial Location = 22,                       Initial Sam Beam = 1.2021e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1489e-08,                Max Ref Beam = 1.0637e-07,                

Analysis undertaken at mass 46.04945
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.28079e-08,,,,,,1.1957e-02,4.1988e-03,4.8903e-05,4.6291e-06,5.0990e-08,
Sam 1,4.21662e-08,1.20386e-02,4.2720e-03,5.0083e-05,4.7951e-06,5.1762e-08,,,,,,            6.8439,           17.4085,           24.1023,           35.5087,           24.4661,            3.7928,           11.4093,           -0.1975,            0.3754,          -16.8869,
Ref 2,4.20024e-08,,,,,,1.1957e-02,4.1990e-03,4.8905e-05,4.6323e-06,5.0052e-08,,,,,,,,,,,
Sam 2,4.13484e-08,1.20387e-02,4.2721e-03,5.0086e-05,4.7939e-06,5.4641e-08,,,,,,            6.8355,           17.3844,           24.1351,           34.8267,           75.4215,            3.7847,           11.3853,           -0.1335,           -0.2360,           32.0691,
Ref 3,4.12584e-08,,,,,,1.1957e-02,4.1991e-03,4.8907e-05,4.6328e-06,5.1579e-08,,,,,,,,,,,
Sam 3,4.05634e-08,1.20387e-02,4.2722e-03,5.0084e-05,4.7944e-06,5.2824e-08,,,,,,            6.8338,           17.3889,           24.0330,           35.1116,           40.2809,            3.7827,           11.3898,           -0.2358,            0.0303,           -1.6619,
Ref 4,4.05305e-08,,,,,,1.1957e-02,4.1992e-03,4.8910e-05,4.6308e-06,4.9964e-08,,,,,,,,,,,
Sam 4,3.97948e-08,1.20388e-02,4.2721e-03,5.0092e-05,4.7964e-06,5.3350e-08,,,,,,            6.8483,           17.3800,           24.1503,           35.6942,           85.0631,            3.7984,           11.3810,           -0.1276,            0.6107,           41.3166,
Ref 5,3.98248e-08,,,,,,1.1957e-02,4.1991e-03,4.8911e-05,4.6313e-06,4.8358e-08,,,,,,,,,,,
Sam 5,3.90508e-08,1.20387e-02,4.2722e-03,5.0085e-05,4.7953e-06,5.2146e-08,,,,,,            6.8431,           17.4148,           23.9720,           35.4682,           42.0246,            3.7917,           11.4156,           -0.3300,            0.3239,           -0.0484,
Ref 6,3.91328e-08,,,,,,1.1957e-02,4.1991e-03,4.8914e-05,4.6307e-06,5.1758e-08,,,,,,,,,,,
Sam 6,3.83274e-08,1.20386e-02,4.2722e-03,5.0093e-05,4.7952e-06,5.2617e-08,,,,,,            6.8378,           17.4031,           24.0711,           35.5458,           23.1594,            3.7865,           11.4039,           -0.2165,            0.4220,          -18.1241,
Ref 7,3.84592e-08,,,,,,1.1957e-02,4.1992e-03,4.8918e-05,4.6305e-06,5.1088e-08,,,,,,,,,,,
Sam 7,3.76196e-08,1.20385e-02,4.2722e-03,5.0088e-05,4.7950e-06,5.3360e-08,,,,,,            6.8375,           17.3940,           23.8913,           35.3214,           43.9792,            3.7865,           11.3949,           -0.3830,            0.2230,            1.8733,
Ref 8,3.77904e-08,,,,,,1.1957e-02,4.1991e-03,4.8921e-05,4.6325e-06,5.1136e-08,,,,,,,,,,,
Sam 8,3.69242e-08,1.20385e-02,4.2722e-03,5.0087e-05,4.7944e-06,5.4171e-08,,,,,,            6.8391,           17.3965,           23.9415,           35.0631,           64.2856,            3.7881,           11.3973,           -0.3380,           -0.0314,           21.3542,
Ref 9,3.71482e-08,,,,,,1.1957e-02,4.1992e-03,4.8910e-05,4.6314e-06,5.0658e-08,,,,,,,,,,,
Sam 9,3.62564e-08,1.20385e-02,4.2721e-03,5.0086e-05,4.7931e-06,5.2875e-08,,,,,,            6.8382,           17.3755,           24.0715,           34.4065,           57.8132,            3.7878,           11.3764,           -0.1897,           -0.6244,           15.1851,
Ref 10,3.65267e-08,,,,,,1.1957e-02,4.1992e-03,4.8907e-05,4.6360e-06,4.9302e-08,,,,,,,,,,,
Sam 10,3.56048e-08,1.20384e-02,4.2722e-03,5.0089e-05,4.7948e-06,5.7163e-08,,,,,,            6.8370,           17.3864,           24.1005,           34.4709,          148.3438,            3.7862,           11.3874,           -0.1708,           -0.5838,          102.0454,
Ref 11,3.59137e-08,,,,,,1.1957e-02,4.1992e-03,4.8912e-05,4.6340e-06,5.0263e-08,,,,,,,,,,,
Sam 11,3.49756e-08,1.20385e-02,4.2723e-03,5.0094e-05,4.7957e-06,5.3314e-08,,,,,,            6.8505,           17.4125,           24.0933,           34.9564,           44.7717,            3.7997,           11.4133,           -0.2170,           -0.1660,            2.5843,
Ref 12,3.53120e-08,,,,,,1.1957e-02,4.1991e-03,4.8918e-05,4.6334e-06,5.1808e-08,,,,,,,,,,,
Sam 12,3.43469e-08,1.20382e-02,4.2722e-03,5.0093e-05,4.7967e-06,5.2129e-08,,,,,,            6.8389,           17.4039,           24.0618,           35.0478,           25.5653,            3.7876,           11.4047,           -0.2275,           -0.0607,          -15.8179,
Ref 13,3.47194e-08,,,,,,1.1956e-02,4.1991e-03,4.8913e-05,4.6351e-06,4.9834e-08,,,,,,,,,,,
Sam 13,3.37382e-08,1.20382e-02,4.2722e-03,5.0090e-05,4.7965e-06,5.3997e-08,,,,,,            6.8404,           17.4088,           23.9965,           34.6761,           84.7546,            3.7890,           11.4096,           -0.2975,           -0.4295,           40.9713,
Ref 14,3.41401e-08,,,,,,1.1956e-02,4.1990e-03,4.8919e-05,4.6364e-06,4.9721e-08,,,,,,,,,,,
Sam 14,3.31439e-08,1.20381e-02,4.2722e-03,5.0092e-05,4.7951e-06,5.2402e-08,,,,,,            6.8352,           17.4108,           23.9935,           34.3957,           53.7873,            3.7835,           11.4116,           -0.2970,           -0.7043,           11.2556,
Ref 15,3.35773e-08,,,,,,1.1956e-02,4.1991e-03,4.8917e-05,4.6349e-06,4.9734e-08,,,,,,,,,,,
Sam 15,3.25640e-08,1.20380e-02,4.2721e-03,5.0090e-05,4.7937e-06,5.2748e-08,,,,,,            6.8254,           17.3817,           23.9484,           34.4540,           68.2596,            3.7740,           11.3826,           -0.3028,           -0.5907,           25.2122,
Ref 16,3.30303e-08,,,,,,1.1956e-02,4.1991e-03,4.8920e-05,4.6332e-06,4.9015e-08,,,,,,,,,,,
Sam 16,3.20044e-08,1.20380e-02,4.2721e-03,5.0098e-05,4.7951e-06,5.2491e-08,,,,,,            6.8291,           17.3841,           24.1133,           35.3505,           75.0720,            3.7779,           11.3851,           -0.1481,            0.2706,           31.7411,
Ref 17,3.24951e-08,,,,,,1.1956e-02,4.1991e-03,4.8916e-05,4.6295e-06,4.8634e-08,,,,,,,,,,,
Sam 17,3.14546e-08,1.20381e-02,4.2721e-03,5.0090e-05,4.7941e-06,5.3250e-08,,,,,,            6.8369,           17.3822,           23.9773,           34.6942,           88.3199,            3.7863,           11.3832,           -0.2870,           -0.3598,           44.4501,
Ref 18,3.19759e-08,,,,,,1.1956e-02,4.1991e-03,4.8919e-05,4.6373e-06,4.9228e-08,,,,,,,,,,,
Sam 18,3.09229e-08,1.20381e-02,4.2721e-03,5.0100e-05,4.7974e-06,5.2402e-08,,,,,,            6.8508,           17.3872,           24.1354,           34.8528,           49.7804,            3.8009,           11.3881,           -0.1516,           -0.2163,            7.4398,
Ref 19,3.14621e-08,,,,,,1.1956e-02,4.1991e-03,4.8920e-05,4.6343e-06,5.0617e-08,,,,,,,,,,,
Sam 19,3.03969e-08,1.20379e-02,4.2721e-03,5.0095e-05,4.7969e-06,5.4156e-08,,,,,,            6.8424,           17.3920,           24.0341,           35.1389,           97.4760,            3.7917,           11.3928,           -0.2466,            0.0508,           53.2113,
Ref 20,3.09637e-08,,,,,,1.1956e-02,4.1990e-03,4.8919e-05,4.6338e-06,4.8054e-08,,,,,,,,,,,
Sam 20,2.98833e-08,1.20380e-02,4.2721e-03,5.0090e-05,4.7957e-06,5.3561e-08,,,,,,            6.8534,           17.3972,           23.9252,           34.8662,           77.8266,            3.8033,           11.3981,           -0.3693,           -0.2231,           34.3319,
Ref 21,3.04750e-08,,,,,,1.1956e-02,4.1991e-03,4.8919e-05,4.6344e-06,5.1359e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.02372e-08,,,,,,1.1956e-02,4.1991e-03,4.8922e-05,4.6337e-06,5.2076e-08,
Sam 1,2.91296e-08,1.20379e-02,4.2721e-03,5.0098e-05,4.7974e-06,5.4891e-08,,,,,,            6.8359,           17.3934,           24.0392,           35.3541,           87.4258,            3.7848,           11.3943,           -0.2363,            0.2557,           43.5707,
Ref 2,2.97606e-08,,,,,,1.1956e-02,4.1991e-03,4.8922e-05,4.6336e-06,4.8855e-08,,,,,,,,,,,
Sam 2,2.86407e-08,1.20379e-02,4.2721e-03,5.0097e-05,4.7958e-06,5.4005e-08,,,,,,            6.8416,           17.3799,           24.0146,           35.2004,           93.9566,            3.7913,           11.3809,           -0.2531,            0.1338,           49.8592,
Ref 3,2.92952e-08,,,,,,1.1956e-02,4.1991e-03,4.8923e-05,4.6318e-06,4.9887e-08,,,,,,,,,,,
Sam 3,2.81649e-08,1.20379e-02,4.2721e-03,5.0100e-05,4.7955e-06,5.2181e-08,,,,,,            6.8386,           17.3921,           24.0174,           34.7338,           22.3669,            3.7877,           11.3930,           -0.2592,           -0.3410,          -18.8647,
Ref 4,2.88340e-08,,,,,,1.1956e-02,4.1991e-03,4.8927e-05,4.6374e-06,5.2210e-08,,,,,,,,,,,
Sam 4,2.77010e-08,1.20378e-02,4.2721e-03,5.0090e-05,4.7919e-06,5.2409e-08,,,,,,            6.8295,           17.3956,           23.8425,           33.5779,            9.0428,            3.7779,           11.3965,           -0.4239,           -1.4644,          -31.6486,
Ref 5,2.83945e-08,,,,,,1.1956e-02,4.1991e-03,4.8920e-05,4.6351e-06,5.1665e-08,,,,,,,,,,,
Sam 5,2.72496e-08,1.20377e-02,4.2721e-03,5.0105e-05,4.7954e-06,5.2543e-08,,,,,,            6.8380,           17.3909,           24.2639,           34.6399,           27.7137,            3.7871,           11.3918,           -0.0167,           -0.4293,          -13.7306,
Ref 6,2.79509e-08,,,,,,1.1956e-02,4.1991e-03,4.8917e-05,4.6347e-06,5.0578e-08,,,,,,,,,,,
Sam 6,2.68126e-08,1.20376e-02,4.2721e-03,5.0097e-05,4.7958e-06,5.4833e-08,,,,,,            6.8321,           17.3904,           24.0556,           34.4835,           74.5710,            3.7808,           11.3913,           -0.2135,           -0.5794,           31.2444,
Ref 7,2.75287e-08,,,,,,1.1956e-02,4.1991e-03,4.8924e-05,4.6372e-06,5.1484e-08,,,,,,,,,,,
Sam 7,2.63859e-08,1.20376e-02,4.2720e-03,5.0097e-05,4.7952e-06,5.4398e-08,,,,,,            6.8331,           17.3770,           23.9478,           34.4301,           51.2949,            3.7824,           11.3780,           -0.3068,           -0.6045,            8.9320,
Ref 8,2.71067e-08,,,,,,1.1956e-02,4.1991e-03,4.8927e-05,4.6340e-06,5.2008e-08,,,,,,,,,,,
Sam 8,2.59645e-08,1.20377e-02,4.2721e-03,5.0101e-05,4.7989e-06,5.6410e-08,,,,,,            6.8443,           17.3900,           24.0116,           35.6993,           78.8499,            3.7939,           11.3909,           -0.2686,            0.5960,           35.3382,
Ref 9,2.66975e-08,,,,,,1.1956e-02,4.1991e-03,4.8926e-05,4.6330e-06,5.2571e-08,,,,,,,,,,,
Sam 9,2.55550e-08,1.20376e-02,4.2721e-03,5.0098e-05,4.7987e-06,5.4061e-08,,,,,,            6.8389,           17.3903,           23.9999,           35.8586,           11.2712,            3.7882,           11.3912,           -0.2748,            0.7493,          -29.5098,
Ref 10,2.62965e-08,,,,,,1.1956e-02,4.1990e-03,4.8923e-05,4.6323e-06,5.4359e-08,,,,,,,,,,,
Sam 10,2.51565e-08,1.20377e-02,4.2720e-03,5.0091e-05,4.7920e-06,5.5194e-08,,,,,,            6.8491,           17.3766,           23.7848,           34.2415,           46.0095,            3.7995,           11.3776,           -0.4820,           -0.7861,            3.8433,
Ref 11,2.59045e-08,,,,,,1.1956e-02,4.1990e-03,4.8931e-05,4.6346e-06,5.1150e-08,,,,,,,,,,,
Sam 11,2.47685e-08,1.20375e-02,4.2719e-03,5.0095e-05,4.8006e-06,5.4817e-08,,,,,,            6.8412,           17.3720,           23.8448,           36.0401,           72.0101,            3.7912,           11.3730,           -0.4109,            0.9606,           28.8135,
Ref 12,2.55212e-08,,,,,,1.1956e-02,4.1989e-03,4.8925e-05,4.6327e-06,5.1120e-08,,,,,,,,,,,
Sam 12,2.43881e-08,1.20373e-02,4.2719e-03,5.0101e-05,4.7945e-06,5.3524e-08,,,,,,            6.8350,           17.3765,           24.0454,           34.3561,           29.4408,            3.7844,           11.3775,           -0.2129,           -0.6751,          -12.0424,
Ref 13,2.51486e-08,,,,,,1.1956e-02,4.1989e-03,4.8923e-05,4.6378e-06,5.2879e-08,,,,,,,,,,,
Sam 13,2.40230e-08,1.20373e-02,4.2719e-03,5.0088e-05,4.7959e-06,5.6109e-08,,,,,,            6.8410,           17.3632,           23.7851,           34.6224,           47.2523,            3.7912,           11.3642,           -0.4604,           -0.3916,            5.0708,
Ref 14,2.47806e-08,,,,,,1.1956e-02,4.1990e-03,4.8926e-05,4.6329e-06,5.4285e-08,,,,,,,,,,,
Sam 14,2.36513e-08,1.20372e-02,4.2719e-03,5.0102e-05,4.7949e-06,5.6008e-08,,,,,,            6.8326,           17.3743,           24.1150,           34.5470,           47.5059,            3.7819,           11.3753,           -0.1405,           -0.4864,            5.3014,
Ref 15,2.44247e-08,,,,,,1.1956e-02,4.1989e-03,4.8917e-05,4.6367e-06,5.2638e-08,,,,,,,,,,,
Sam 15,2.32960e-08,1.20371e-02,4.2719e-03,5.0099e-05,4.7956e-06,5.5427e-08,,,,,,            6.8276,           17.3775,           24.0463,           34.7359,           64.3092,            3.7766,           11.3785,           -0.2055,           -0.3101,           21.4268,
Ref 16,2.40820e-08,,,,,,1.1956e-02,4.1990e-03,4.8929e-05,4.6326e-06,5.1509e-08,,,,,,,,,,,
Sam 16,2.29469e-08,1.20373e-02,4.2719e-03,5.0101e-05,4.7926e-06,5.5834e-08,,,,,,            6.8468,           17.3819,           24.0468,           34.7936,           82.7334,            3.7968,           11.3828,           -0.2289,           -0.2630,           39.0787,
Ref 17,2.37361e-08,,,,,,1.1955e-02,4.1989e-03,4.8921e-05,4.6303e-06,5.1627e-08,,,,,,,,,,,
Sam 17,2.26018e-08,1.20371e-02,4.2718e-03,5.0099e-05,4.7953e-06,5.1702e-08,,,,,,            6.8392,           17.3746,           23.9909,           35.2790,           31.1621,            3.7890,           11.3756,           -0.2688,            0.2201,          -10.3914,
Ref 18,2.34004e-08,,,,,,1.1955e-02,4.1989e-03,4.8929e-05,4.6336e-06,4.8631e-08,,,,,,,,,,,
Sam 18,2.22642e-08,1.20371e-02,4.2719e-03,5.0103e-05,4.7960e-06,5.5015e-08,,,,,,            6.8471,           17.3937,           23.9824,           34.7125,           87.1250,            3.7967,           11.3945,           -0.3035,           -0.3646,           43.2692,
Ref 19,2.30643e-08,,,,,,1.1955e-02,4.1988e-03,4.8931e-05,4.6367e-06,5.2611e-08,,,,,,,,,,,
Sam 19,2.19341e-08,1.20372e-02,4.2718e-03,5.0094e-05,4.7919e-06,5.5615e-08,,,,,,            6.8503,           17.3810,           23.8605,           33.8917,           68.7055,            3.8006,           11.3819,           -0.4136,           -1.1326,           25.6143,
Ref 20,2.27390e-08,,,,,,1.1955e-02,4.1988e-03,4.8922e-05,4.6330e-06,5.1461e-08,,,,,,,,,,,
Sam 20,2.16092e-08,1.20370e-02,4.2719e-03,5.0100e-05,4.7921e-06,5.5533e-08,,,,,,            6.8388,           17.4014,           24.1005,           34.4094,           71.6012,            3.7876,           11.4023,           -0.1872,           -0.6726,           28.3652,
Ref 21,2.24214e-08,,,,,,1.1955e-02,4.1988e-03,4.8920e-05,4.6324e-06,5.2189e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.22642e-08,,,,,,1.1955e-02,4.1988e-03,4.8922e-05,4.6319e-06,5.2879e-08,
Sam 1,2.11396e-08,1.20369e-02,4.2718e-03,5.0100e-05,4.7961e-06,5.7773e-08,,,,,,            6.8385,           17.3896,           24.0542,           35.7129,           69.6796,            3.7877,           11.3905,           -0.2206,            0.6099,           26.5450,
Ref 2,2.19545e-08,,,,,,1.1955e-02,4.1988e-03,4.8924e-05,4.6294e-06,5.5156e-08,,,,,,,,,,,
Sam 2,2.08364e-08,1.20366e-02,4.2717e-03,5.0103e-05,4.7929e-06,5.3490e-08,,,,,,            6.8198,           17.3779,           24.0149,           35.1525,           -9.6941,            3.7682,           11.3789,           -0.2286,            0.0914,          -49.5877,
Ref 3,2.16516e-08,,,,,,1.1955e-02,4.1987e-03,4.8932e-05,4.6308e-06,5.2856e-08,,,,,,,,,,,
Sam 3,2.05361e-08,1.20368e-02,4.2718e-03,5.0105e-05,4.7948e-06,5.3550e-08,,,,,,            6.8388,           17.3974,           23.9188,           35.3942,           28.8500,            3.7878,           11.3983,           -0.3607,            0.2867,          -12.6534,
Ref 4,2.13512e-08,,,,,,1.1955e-02,4.1987e-03,4.8937e-05,4.6310e-06,5.1229e-08,,,,,,,,,,,
Sam 4,2.02422e-08,1.20367e-02,4.2718e-03,5.0099e-05,4.7901e-06,5.4831e-08,,,,,,            6.8342,           17.3993,           23.7484,           33.7697,           60.2739,            3.7828,           11.4001,           -0.5242,           -1.2864,           17.5041,
Ref 5,2.10583e-08,,,,,,1.1955e-02,4.1987e-03,4.8938e-05,4.6362e-06,5.2205e-08,,,,,,,,,,,
Sam 5,1.99588e-08,1.20367e-02,4.2716e-03,5.0101e-05,4.7971e-06,5.3612e-08,,,,,,            6.8414,           17.3675,           23.8111,           34.9275,           31.1106,            3.7916,           11.3685,           -0.4396,           -0.1054,          -10.4296,
Ref 6,2.07752e-08,,,,,,1.1955e-02,4.1987e-03,4.8933e-05,4.6342e-06,5.1780e-08,,,,,,,,,,,
Sam 6,1.96737e-08,1.20368e-02,4.2717e-03,5.0107e-05,4.7959e-06,5.6098e-08,,,,,,            6.8510,           17.3695,           23.9796,           34.9030,           67.9075,            3.8017,           11.3705,           -0.2868,           -0.1331,           24.8705,
Ref 7,2.04883e-08,,,,,,1.1955e-02,4.1988e-03,4.8934e-05,4.6341e-06,5.3291e-08,,,,,,,,,,,
Sam 7,1.93964e-08,1.20364e-02,4.2717e-03,5.0102e-05,4.7964e-06,5.7305e-08,,,,,,            6.8130,           17.3635,           24.0099,           35.2480,           79.7482,            3.7615,           11.3646,           -0.2126,            0.2121,           36.2877,
Ref 8,2.02121e-08,,,,,,1.1955e-02,4.1987e-03,4.8921e-05,4.6321e-06,5.2851e-08,,,,,,,,,,,
Sam 8,1.91277e-08,1.20364e-02,4.2717e-03,5.0101e-05,4.7961e-06,5.6165e-08,,,,,,            6.8206,           17.3840,           24.0283,           35.3788,           62.8571,            3.7688,           11.3850,           -0.2222,            0.2981,           20.0279,
Ref 9,1.99404e-08,,,,,,1.1955e-02,4.1987e-03,4.8929e-05,4.6324e-06,5.2836e-08,,,,,,,,,,,
Sam 9,1.88640e-08,1.20365e-02,4.2716e-03,5.0101e-05,4.7973e-06,5.7975e-08,,,,,,            6.8242,           17.3552,           23.9553,           35.9965,           93.5065,            3.7737,           11.3563,           -0.2693,            0.9516,           49.4966,
Ref 10,1.96761e-08,,,,,,1.1955e-02,4.1987e-03,4.8929e-05,4.6289e-06,5.3201e-08,,,,,,,,,,,
Sam 10,1.86047e-08,1.20364e-02,4.2715e-03,5.0102e-05,4.7980e-06,5.3160e-08,,,,,,            6.8235,           17.3489,           23.9263,           36.0861,            7.4696,            3.7731,           11.3500,           -0.2908,            1.0506,          -33.0649,
Ref 11,1.94141e-08,,,,,,1.1955e-02,4.1987e-03,4.8933e-05,4.6328e-06,5.2325e-08,,,,,,,,,,,
Sam 11,1.83488e-08,1.20365e-02,4.2716e-03,5.0099e-05,4.7901e-06,5.3784e-08,,,,,,            6.8343,           17.3766,           23.9109,           33.7858,           43.4992,            3.7837,           11.3776,           -0.3437,           -1.2263,            1.4499,
Ref 12,1.91575e-08,,,,,,1.1955e-02,4.1986e-03,4.8926e-05,4.6343e-06,5.0748e-08,,,,,,,,,,,
Sam 12,1.81000e-08,1.20364e-02,4.2715e-03,5.0094e-05,4.7958e-06,5.5531e-08,,,,,,            6.8255,           17.3468,           23.9382,           34.6865,          115.4871,            3.7754,           11.3479,           -0.2792,           -0.2976,           70.6085,
Ref 13,1.89063e-08,,,,,,1.1955e-02,4.1987e-03,4.8920e-05,4.6358e-06,4.8803e-08,,,,,,,,,,,
Sam 13,1.78545e-08,1.20365e-02,4.2716e-03,5.0101e-05,4.7961e-06,5.0697e-08,,,,,,            6.8498,           17.3609,           24.0268,           34.6745,           12.8308,            3.8007,           11.3619,           -0.2312,           -0.3369,          -27.9691,
Ref 14,1.86576e-08,,,,,,1.1955e-02,4.1986e-03,4.8931e-05,4.6350e-06,5.1322e-08,,,,,,,,,,,
Sam 14,1.76142e-08,1.20362e-02,4.2715e-03,5.0105e-05,4.7918e-06,5.2180e-08,,,,,,            6.8208,           17.3585,           24.1047,           34.8153,           21.1668,            3.7700,           11.3596,           -0.1232,           -0.1962,          -19.9344,
Ref 15,1.84153e-08,,,,,,1.1955e-02,4.1986e-03,4.8920e-05,4.6261e-06,5.0871e-08,,,,,,,,,,,
Sam 15,1.73742e-08,1.20362e-02,4.2714e-03,5.0095e-05,4.7909e-06,4.8691e-08,,,,,,            6.8217,           17.3577,           23.9271,           34.6412,           -6.6186,            3.7709,           11.3588,           -0.2967,           -0.3628,          -46.6008,
Ref 16,1.81751e-08,,,,,,1.1955e-02,4.1985e-03,4.8929e-05,4.6350e-06,4.7136e-08,,,,,,,,,,,
Sam 16,1.71434e-08,1.20361e-02,4.2714e-03,5.0103e-05,4.7873e-06,5.3164e-08,,,,,,            6.8236,           17.3561,           23.9908,           33.3535,          125.0612,            3.7730,           11.3572,           -0.2349,           -1.6038,           79.7801,
Ref 17,1.79400e-08,,,,,,1.1954e-02,4.1985e-03,4.8930e-05,4.6306e-06,4.7375e-08,,,,,,,,,,,
Sam 17,1.69144e-08,1.20361e-02,4.2714e-03,5.0101e-05,4.7968e-06,4.9243e-08,,,,,,            6.8297,           17.3577,           23.9168,           35.5500,           -3.1615,            3.7794,           11.3587,           -0.3149,            0.5154,          -43.2908,
Ref 18,1.77075e-08,,,,,,1.1955e-02,4.1985e-03,4.8931e-05,4.6337e-06,5.1450e-08,,,,,,,,,,,
Sam 18,1.66876e-08,1.20361e-02,4.2714e-03,5.0100e-05,4.7920e-06,4.8937e-08,,,,,,            6.8208,           17.3487,           23.9631,           34.4214,            1.0175,            3.7703,           11.3499,           -0.2520,           -0.5575,          -39.2545,
Ref 19,1.74755e-08,,,,,,1.1955e-02,4.1985e-03,4.8923e-05,4.6314e-06,4.6291e-08,,,,,,,,,,,
Sam 19,1.64591e-08,1.20362e-02,4.2714e-03,5.0100e-05,4.7881e-06,4.6151e-08,,,,,,            6.8341,           17.3508,           24.0121,           33.7092,           -9.7188,            3.7843,           11.3519,           -0.2197,           -1.2496,          -49.5758,
Ref 20,1.72484e-08,,,,,,1.1954e-02,4.1985e-03,4.8928e-05,4.6326e-06,4.6921e-08,,,,,,,,,,,
Sam 20,1.62402e-08,1.20360e-02,4.2714e-03,5.0091e-05,4.7920e-06,4.5265e-08,,,,,,            6.8225,           17.3745,           23.8442,           34.5868,          -19.6356,            3.7712,           11.3755,           -0.3947,           -0.4483,          -59.1251,
Ref 21,1.70147e-08,,,,,,1.1954e-02,4.1983e-03,4.8921e-05,4.6309e-06,4.5411e-08,,,,,,,,,,,


