Nu Stable Isotope Analysis Program
Data Collected on Saturday, May 20, 2023 at 15:55 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, May 20, 2023 at 16:54 with Stable 1.71.5 on PS019

Data File = Data_19693 ETH-3.txt,         Sample Weight = 416,                      Vial Location = 35,                       Initial Sam Beam = 1.2122e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8581e-08,                Max Ref Beam = 1.0669e-07,                

Analysis undertaken at mass 46.04945
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.25540e-08,,,,,,1.1957e-02,4.1989e-03,4.8908e-05,4.6316e-06,4.9630e-08,
Sam 1,4.18846e-08,1.20095e-02,4.2488e-03,4.9691e-05,4.7426e-06,5.1341e-08,,,,,,            4.4102,           11.8582,           15.9533,           23.7175,           28.6080,            1.3938,            5.8913,           -0.3093,           -0.1363,            0.3373,
Ref 2,4.17667e-08,,,,,,1.1957e-02,4.1991e-03,4.8913e-05,4.6338e-06,5.0202e-08,,,,,,,,,,,
Sam 2,4.10681e-08,1.20096e-02,4.2488e-03,4.9696e-05,4.7419e-06,5.2819e-08,,,,,,            4.4120,           11.8523,           16.0632,           23.3898,           56.1478,            1.3960,            5.8854,           -0.1972,           -0.4447,           27.1300,
Ref 3,4.10232e-08,,,,,,1.1957e-02,4.1991e-03,4.8907e-05,4.6331e-06,4.9817e-08,,,,,,,,,,,
Sam 3,4.02847e-08,1.20095e-02,4.2489e-03,4.9693e-05,4.7402e-06,5.0393e-08,,,,,,            4.4042,           11.8562,           16.0124,           23.1818,            8.7486,            1.3876,            5.8892,           -0.2430,           -0.6554,          -18.9661,
Ref 4,4.02977e-08,,,,,,1.1957e-02,4.1991e-03,4.8913e-05,4.6324e-06,5.0097e-08,,,,,,,,,,,
Sam 4,3.95207e-08,1.20095e-02,4.2489e-03,4.9694e-05,4.7419e-06,5.2363e-08,,,,,,            4.3965,           11.8423,           15.9580,           23.5574,           44.2374,            1.3798,            5.8754,           -0.2751,           -0.2612,           15.5833,
Ref 5,3.95979e-08,,,,,,1.1957e-02,4.1991e-03,4.8913e-05,4.6332e-06,5.0193e-08,,,,,,,,,,,
Sam 5,3.87748e-08,1.20097e-02,4.2490e-03,4.9698e-05,4.7428e-06,5.2286e-08,,,,,,            4.4154,           11.8592,           16.0298,           23.6674,           18.9955,            1.3993,            5.8922,           -0.2403,           -0.1871,           -9.0183,
Ref 6,3.89057e-08,,,,,,1.1957e-02,4.1992e-03,4.8914e-05,4.6332e-06,5.2451e-08,,,,,,,,,,,
Sam 6,3.80502e-08,1.20096e-02,4.2489e-03,4.9694e-05,4.7424e-06,5.0359e-08,,,,,,            4.4103,           11.8321,           15.9082,           23.6578,          -26.2801,            1.3949,            5.8653,           -0.3285,           -0.1431,          -52.9943,
Ref 7,3.82340e-08,,,,,,1.1957e-02,4.1993e-03,4.8917e-05,4.6325e-06,5.0973e-08,,,,,,,,,,,
Sam 7,3.73429e-08,1.20096e-02,4.2490e-03,4.9696e-05,4.7420e-06,5.2026e-08,,,,,,            4.4006,           11.8449,           15.9483,           23.6933,           10.6832,            1.3841,            5.8780,           -0.2914,           -0.1337,          -17.0595,
Ref 8,3.75762e-08,,,,,,1.1957e-02,4.1993e-03,4.8915e-05,4.6321e-06,5.1989e-08,,,,,,,,,,,
Sam 8,3.66579e-08,1.20097e-02,4.2490e-03,4.9699e-05,4.7443e-06,4.9813e-08,,,,,,            4.4080,           11.8469,           16.0238,           24.1695,          -41.1913,            1.3918,            5.8800,           -0.2266,            0.3275,          -67.5209,
Ref 9,3.69392e-08,,,,,,1.1957e-02,4.1993e-03,4.8915e-05,4.6326e-06,5.1917e-08,,,,,,,,,,,
Sam 9,3.59941e-08,1.20096e-02,4.2490e-03,4.9699e-05,4.7423e-06,5.2297e-08,,,,,,            4.4038,           11.8324,           15.9872,           23.7314,           18.4967,            1.3879,            5.8655,           -0.2442,           -0.0717,           -9.4396,
Ref 10,3.63143e-08,,,,,,1.1957e-02,4.1993e-03,4.8919e-05,4.6321e-06,5.0767e-08,,,,,,,,,,,
Sam 10,3.53410e-08,1.20094e-02,4.2490e-03,4.9704e-05,4.7425e-06,5.2398e-08,,,,,,            4.3898,           11.8401,           16.0124,           23.5558,           26.4310,            1.3727,            5.8732,           -0.2125,           -0.2584,           -1.7230,
Ref 11,3.57001e-08,,,,,,1.1957e-02,4.1993e-03,4.8923e-05,4.6346e-06,5.1335e-08,,,,,,,,,,,
Sam 11,3.47029e-08,1.20095e-02,4.2490e-03,4.9705e-05,4.7406e-06,5.1053e-08,,,,,,            4.3980,           11.8334,           16.0565,           23.0201,            9.0976,            1.3817,            5.8666,           -0.1711,           -0.7685,          -18.5769,
Ref 12,3.51006e-08,,,,,,1.1957e-02,4.1993e-03,4.8915e-05,4.6333e-06,4.9838e-08,,,,,,,,,,,
Sam 12,3.40854e-08,1.20094e-02,4.2490e-03,4.9700e-05,4.7416e-06,5.1112e-08,,,,,,            4.4011,           11.8563,           16.0427,           23.3416,            9.9795,            1.3842,            5.8893,           -0.2100,           -0.4995,          -17.7659,
Ref 13,3.45172e-08,,,,,,1.1957e-02,4.1992e-03,4.8916e-05,4.6337e-06,5.1390e-08,,,,,,,,,,,
Sam 13,3.34801e-08,1.20093e-02,4.2489e-03,4.9702e-05,4.7411e-06,5.4381e-08,,,,,,            4.4035,           11.8318,           16.0829,           23.2824,           62.9322,            1.3876,            5.8650,           -0.1491,           -0.5091,           33.7786,
Ref 14,3.39413e-08,,,,,,1.1957e-02,4.1992e-03,4.8915e-05,4.6328e-06,5.0929e-08,,,,,,,,,,,
Sam 14,3.28909e-08,1.20095e-02,4.2490e-03,4.9704e-05,4.7440e-06,5.0848e-08,,,,,,            4.4180,           11.8560,           16.0205,           23.8789,           17.0668,            1.4022,            5.8890,           -0.2489,            0.0258,          -10.8904,
Ref 15,3.33746e-08,,,,,,1.1957e-02,4.1992e-03,4.8926e-05,4.6341e-06,4.9045e-08,,,,,,,,,,,
Sam 15,3.23140e-08,1.20093e-02,4.2490e-03,4.9705e-05,4.7447e-06,5.1087e-08,,,,,,            4.4014,           11.8608,           15.9772,           24.0011,           20.5552,            1.3844,            5.8939,           -0.2793,            0.1356,           -7.4900,
Ref 16,3.28319e-08,,,,,,1.1957e-02,4.1992e-03,4.8921e-05,4.6329e-06,5.1087e-08,,,,,,,,,,,
Sam 16,3.17520e-08,1.20093e-02,4.2490e-03,4.9702e-05,4.7454e-06,5.3511e-08,,,,,,            4.4054,           11.8355,           16.0122,           23.8861,           53.6035,            1.3895,            5.8686,           -0.2242,            0.0734,           24.6963,
Ref 17,3.22912e-08,,,,,,1.1957e-02,4.1994e-03,4.8917e-05,4.6364e-06,5.0486e-08,,,,,,,,,,,
Sam 17,3.12060e-08,1.20092e-02,4.2490e-03,4.9705e-05,4.7430e-06,5.1944e-08,,,,,,            4.3922,           11.8365,           16.0773,           23.4228,           18.8431,            1.3755,            5.8697,           -0.1477,           -0.3813,           -9.0986,
Ref 18,3.17702e-08,,,,,,1.1957e-02,4.1992e-03,4.8920e-05,4.6324e-06,5.1488e-08,,,,,,,,,,,
Sam 18,3.06766e-08,1.20092e-02,4.2490e-03,4.9705e-05,4.7412e-06,5.3085e-08,,,,,,            4.4012,           11.8431,           16.0213,           23.5255,           40.4144,            1.3848,            5.8763,           -0.2185,           -0.2940,           11.8585,
Ref 19,3.12635e-08,,,,,,1.1957e-02,4.1992e-03,4.8922e-05,4.6321e-06,5.0550e-08,,,,,,,,,,,
Sam 19,3.01573e-08,1.20092e-02,4.2490e-03,4.9702e-05,4.7423e-06,5.4343e-08,,,,,,            4.4033,           11.8481,           15.9456,           23.7141,           79.7341,            1.3868,            5.8812,           -0.2999,           -0.1197,           50.0866,
Ref 20,3.07656e-08,,,,,,1.1956e-02,4.1993e-03,4.8921e-05,4.6327e-06,5.0106e-08,,,,,,,,,,,
Sam 20,2.96433e-08,1.20090e-02,4.2490e-03,4.9703e-05,4.7427e-06,5.5116e-08,,,,,,            4.3931,           11.8415,           15.9272,           24.0453,           66.1527,            1.3762,            5.8747,           -0.3012,            0.2169,           36.9026,
Ref 21,3.02778e-08,,,,,,1.1957e-02,4.1993e-03,4.8926e-05,4.6300e-06,5.3312e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.00375e-08,,,,,,1.1957e-02,4.1992e-03,4.8927e-05,4.6342e-06,5.3547e-08,
Sam 1,2.88966e-08,1.20091e-02,4.2489e-03,4.9710e-05,4.7399e-06,5.3273e-08,,,,,,            4.4038,           11.8334,           16.0457,           22.6426,           13.5115,            1.3878,            5.8665,           -0.1876,           -1.1371,          -14.2899,
Ref 2,2.95640e-08,,,,,,1.1956e-02,4.1993e-03,4.8924e-05,4.6356e-06,5.1562e-08,,,,,,,,,,,
Sam 2,2.84096e-08,1.20090e-02,4.2490e-03,4.9706e-05,4.7398e-06,5.3752e-08,,,,,,            4.4007,           11.8360,           16.0263,           22.6882,           22.9208,            1.3845,            5.8692,           -0.2061,           -1.0978,           -5.1406,
Ref 3,2.90986e-08,,,,,,1.1956e-02,4.1993e-03,4.8919e-05,4.6337e-06,5.3548e-08,,,,,,,,,,,
Sam 3,2.79409e-08,1.20089e-02,4.2489e-03,4.9710e-05,4.7435e-06,5.6330e-08,,,,,,            4.3998,           11.8145,           16.0941,           23.6674,           59.1876,            1.3842,            5.8478,           -0.1176,           -0.0989,           30.1754,
Ref 4,2.86449e-08,,,,,,1.1956e-02,4.1992e-03,4.8927e-05,4.6341e-06,5.2811e-08,,,,,,,,,,,
Sam 4,2.74888e-08,1.20089e-02,4.2489e-03,4.9710e-05,4.7410e-06,5.5936e-08,,,,,,            4.4094,           11.8225,           16.0186,           22.9384,           48.8872,            1.3942,            5.8557,           -0.2094,           -0.8267,           20.1309,
Ref 5,2.82024e-08,,,,,,1.1956e-02,4.1992e-03,4.8926e-05,4.6354e-06,5.3855e-08,,,,,,,,,,,
Sam 5,2.70431e-08,1.20088e-02,4.2488e-03,4.9697e-05,4.7410e-06,5.4471e-08,,,,,,            4.4043,           11.8186,           15.7934,           22.9856,           28.3642,            1.3889,            5.8518,           -0.4220,           -0.7729,            0.1836,
Ref 6,2.77691e-08,,,,,,1.1956e-02,4.1992e-03,4.8923e-05,4.6336e-06,5.2068e-08,,,,,,,,,,,
Sam 6,2.66066e-08,1.20088e-02,4.2488e-03,4.9705e-05,4.7434e-06,5.7495e-08,,,,,,            4.4052,           11.8248,           15.9811,           23.8199,           90.4932,            1.3896,            5.8580,           -0.2443,            0.0299,           60.5963,
Ref 7,2.73428e-08,,,,,,1.1956e-02,4.1992e-03,4.8923e-05,4.6325e-06,5.3390e-08,,,,,,,,,,,
Sam 7,2.61821e-08,1.20087e-02,4.2488e-03,4.9710e-05,4.7444e-06,5.6051e-08,,,,,,            4.3938,           11.8206,           16.0348,           23.8483,           41.0401,            1.3776,            5.8539,           -0.1756,            0.0657,           12.5194,
Ref 8,2.69247e-08,,,,,,1.1956e-02,4.1991e-03,4.8929e-05,4.6352e-06,5.4299e-08,,,,,,,,,,,
Sam 8,2.57675e-08,1.20088e-02,4.2489e-03,4.9698e-05,4.7435e-06,5.1706e-08,,,,,,            4.4028,           11.8317,           15.7981,           23.5554,          -35.2831,            1.3868,            5.8648,           -0.4286,           -0.2422,          -61.7419,
Ref 9,2.65186e-08,,,,,,1.1956e-02,4.1992e-03,4.8922e-05,4.6335e-06,5.2885e-08,,,,,,,,,,,
Sam 9,2.53631e-08,1.20086e-02,4.2488e-03,4.9708e-05,4.7434e-06,5.7057e-08,,,,,,            4.3961,           11.8135,           16.0213,           23.5391,           67.0075,            1.3804,            5.8467,           -0.1844,           -0.2221,           37.7872,
Ref 10,2.61219e-08,,,,,,1.1956e-02,4.1992e-03,4.8927e-05,4.6352e-06,5.4072e-08,,,,,,,,,,,
Sam 10,2.49698e-08,1.20086e-02,4.2488e-03,4.9704e-05,4.7421e-06,5.5442e-08,,,,,,            4.3944,           11.8338,           15.8593,           23.2955,           40.1302,            1.3778,            5.8670,           -0.3618,           -0.5003,           11.6078,
Ref 11,2.57346e-08,,,,,,1.1956e-02,4.1991e-03,4.8929e-05,4.6330e-06,5.2523e-08,,,,,,,,,,,
Sam 11,2.45850e-08,1.20086e-02,4.2489e-03,4.9727e-05,4.7441e-06,5.5648e-08,,,,,,            4.3915,           11.8489,           16.3138,           24.0690,           70.9442,            1.3743,            5.8820,            0.0736,            0.2253,           41.5493,
Ref 12,2.53512e-08,,,,,,1.1956e-02,4.1991e-03,4.8929e-05,4.6321e-06,5.1392e-08,,,,,,,,,,,
Sam 12,2.42064e-08,1.20085e-02,4.2487e-03,4.9706e-05,4.7435e-06,5.1288e-08,,,,,,            4.3969,           11.8159,           15.8377,           23.8550,            3.5072,            1.3811,            5.8491,           -0.3682,            0.0817,          -23.9795,
Ref 13,2.49807e-08,,,,,,1.1956e-02,4.1991e-03,4.8933e-05,4.6340e-06,5.0822e-08,,,,,,,,,,,
Sam 13,2.38411e-08,1.20085e-02,4.2488e-03,4.9708e-05,4.7431e-06,5.2862e-08,,,,,,            4.4087,           11.8398,           15.8902,           23.6722,           55.9706,            1.3929,            5.8729,           -0.3519,           -0.1440,           26.9863,
Ref 14,2.46201e-08,,,,,,1.1956e-02,4.1990e-03,4.8928e-05,4.6329e-06,4.9286e-08,,,,,,,,,,,
Sam 14,2.34788e-08,1.20083e-02,4.2487e-03,4.9699e-05,4.7439e-06,5.3274e-08,,,,,,            4.4003,           11.8182,           15.7082,           23.8531,           56.8365,            1.3847,            5.8514,           -0.5014,            0.0753,           27.8807,
Ref 15,2.42649e-08,,,,,,1.1956e-02,4.1990e-03,4.8932e-05,4.6338e-06,5.1548e-08,,,,,,,,,,,
Sam 15,2.31258e-08,1.20083e-02,4.2487e-03,4.9702e-05,4.7410e-06,5.5293e-08,,,,,,            4.3972,           11.8212,           15.7493,           23.1535,           54.8670,            1.3812,            5.8544,           -0.4607,           -0.6140,           25.9626,
Ref 16,2.39206e-08,,,,,,1.1956e-02,4.1991e-03,4.8932e-05,4.6335e-06,5.3299e-08,,,,,,,,,,,
Sam 16,2.27762e-08,1.20083e-02,4.2486e-03,4.9712e-05,4.7444e-06,5.6495e-08,,,,,,            4.3983,           11.8091,           15.9890,           23.8818,           43.8802,            1.3829,            5.8424,           -0.2142,            0.1212,           15.2994,
Ref 17,2.35778e-08,,,,,,1.1956e-02,4.1990e-03,4.8928e-05,4.6340e-06,5.4954e-08,,,,,,,,,,,
Sam 17,2.24322e-08,1.20081e-02,4.2486e-03,4.9703e-05,4.7429e-06,5.3408e-08,,,,,,            4.3888,           11.8042,           15.8620,           23.6108,          -22.7517,            1.3730,            5.8375,           -0.3247,           -0.1338,          -49.4895,
Ref 18,2.32367e-08,,,,,,1.1955e-02,4.1990e-03,4.8926e-05,4.6329e-06,5.4344e-08,,,,,,,,,,,
Sam 18,2.20961e-08,1.20082e-02,4.2487e-03,4.9708e-05,4.7430e-06,5.6373e-08,,,,,,            4.4040,           11.8164,           15.9785,           23.7402,           56.7968,            1.3887,            5.8496,           -0.2375,           -0.0314,           27.8417,
Ref 19,2.29089e-08,,,,,,1.1956e-02,4.1991e-03,4.8926e-05,4.6331e-06,5.2328e-08,,,,,,,,,,,
Sam 19,2.17712e-08,1.20080e-02,4.2486e-03,4.9716e-05,4.7401e-06,5.6803e-08,,,,,,            4.3890,           11.8196,           16.0712,           23.0157,           65.7685,            1.3726,            5.8529,           -0.1340,           -0.7455,           36.5775,
Ref 20,2.25847e-08,,,,,,1.1956e-02,4.1990e-03,4.8933e-05,4.6338e-06,5.4282e-08,,,,,,,,,,,
Sam 20,2.14506e-08,1.20081e-02,4.2486e-03,4.9703e-05,4.7404e-06,5.7969e-08,,,,,,            4.3944,           11.8151,           15.8060,           22.8010,           62.8883,            1.3785,            5.8484,           -0.3961,           -0.9463,           33.7794,
Ref 21,2.22671e-08,,,,,,1.1956e-02,4.1989e-03,4.8926e-05,4.6357e-06,5.4800e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.21097e-08,,,,,,1.1956e-02,4.1990e-03,4.8932e-05,4.6307e-06,5.6095e-08,
Sam 1,2.09827e-08,1.20080e-02,4.2486e-03,4.9707e-05,4.7442e-06,5.6271e-08,,,,,,            4.3952,           11.8292,           15.8162,           24.0531,           29.0213,            1.3789,            5.8624,           -0.4007,            0.2488,            0.8115,
Ref 2,2.17994e-08,,,,,,1.1955e-02,4.1989e-03,4.8934e-05,4.6348e-06,5.3252e-08,,,,,,,,,,,
Sam 2,2.06817e-08,1.20080e-02,4.2485e-03,4.9722e-05,4.7417e-06,5.3769e-08,,,,,,            4.4034,           11.8050,           16.1586,           23.5292,           15.8132,            1.3884,            5.8383,           -0.0485,           -0.2150,          -11.9965,
Ref 3,2.15018e-08,,,,,,1.1955e-02,4.1990e-03,4.8928e-05,4.6306e-06,5.2609e-08,,,,,,,,,,,
Sam 3,2.03852e-08,1.20079e-02,4.2486e-03,4.9706e-05,4.7433e-06,5.2999e-08,,,,,,            4.3935,           11.8138,           15.8945,           23.8140,           -1.5521,            1.3776,            5.8470,           -0.3068,            0.0458,          -28.8928,
Ref 4,2.12029e-08,,,,,,1.1955e-02,4.1989e-03,4.8929e-05,4.6354e-06,5.3561e-08,,,,,,,,,,,
Sam 4,2.00948e-08,1.20080e-02,4.2485e-03,4.9707e-05,4.7393e-06,5.5642e-08,,,,,,            4.4056,           11.8141,           15.9230,           22.3413,           25.1399,            1.3905,            5.8473,           -0.2915,           -1.3934,           -2.9451,
Ref 5,2.09129e-08,,,,,,1.1955e-02,4.1989e-03,4.8927e-05,4.6360e-06,5.5005e-08,,,,,,,,,,,
Sam 5,1.98084e-08,1.20078e-02,4.2484e-03,4.9704e-05,4.7423e-06,5.4822e-08,,,,,,            4.3918,           11.7956,           15.8275,           23.7266,           -2.2553,            1.3764,            5.8289,           -0.3533,           -0.0036,          -29.5406,
Ref 6,2.06258e-08,,,,,,1.1955e-02,4.1989e-03,4.8932e-05,4.6288e-06,5.4886e-08,,,,,,,,,,,
Sam 6,1.95287e-08,1.20078e-02,4.2485e-03,4.9705e-05,4.7422e-06,5.2723e-08,,,,,,            4.3881,           11.8065,           15.8557,           23.7954,          -23.9953,            1.3721,            5.8399,           -0.3324,            0.0420,          -50.7026,
Ref 7,2.03444e-08,,,,,,1.1955e-02,4.1989e-03,4.8926e-05,4.6353e-06,5.3140e-08,,,,,,,,,,,
Sam 7,1.92550e-08,1.20079e-02,4.2485e-03,4.9709e-05,4.7436e-06,5.6370e-08,,,,,,            4.3890,           11.8215,           15.8920,           23.9912,           38.3580,            1.3726,            5.8547,           -0.3122,            0.2037,            9.9141,
Ref 8,2.00708e-08,,,,,,1.1955e-02,4.1989e-03,4.8938e-05,4.6296e-06,5.5450e-08,,,,,,,,,,,
Sam 8,1.89875e-08,1.20078e-02,4.2485e-03,4.9710e-05,4.7421e-06,5.6863e-08,,,,,,            4.3917,           11.8183,           15.8905,           23.8096,           43.4446,            1.3755,            5.8516,           -0.3133,            0.0325,           14.8648,
Ref 9,1.98033e-08,,,,,,1.1955e-02,4.1988e-03,4.8926e-05,4.6340e-06,5.3527e-08,,,,,,,,,,,
Sam 9,1.87257e-08,1.20077e-02,4.2484e-03,4.9712e-05,4.7424e-06,4.8844e-08,,,,,,            4.3916,           11.8075,           16.0278,           23.4263,          -75.5847,            1.3758,            5.8408,           -0.1676,           -0.3206,         -100.8853,
Ref 10,1.95383e-08,,,,,,1.1955e-02,4.1989e-03,4.8930e-05,4.6337e-06,5.2139e-08,,,,,,,,,,,
Sam 10,1.84680e-08,1.20076e-02,4.2485e-03,4.9716e-05,4.7426e-06,5.8249e-08,,,,,,            4.3953,           11.8277,           16.0897,           23.4628,          155.3691,            1.3790,            5.8609,           -0.1301,           -0.3248,          123.6988,
Ref 11,1.92775e-08,,,,,,1.1955e-02,4.1988e-03,4.8928e-05,4.6340e-06,4.8670e-08,,,,,,,,,,,
Sam 11,1.82148e-08,1.20076e-02,4.2484e-03,4.9723e-05,4.7447e-06,5.6840e-08,,,,,,            4.3916,           11.8153,           16.2215,           24.2930,          104.5018,            1.3755,            5.8486,            0.0155,            0.5107,           74.2560,
Ref 12,1.90201e-08,,,,,,1.1955e-02,4.1988e-03,4.8930e-05,4.6302e-06,5.4292e-08,,,,,,,,,,,
Sam 12,1.79662e-08,1.20077e-02,4.2484e-03,4.9708e-05,4.7437e-06,5.5994e-08,,,,,,            4.4010,           11.8379,           15.9279,           24.3622,           73.2455,            1.3847,            5.8711,           -0.3051,            0.5335,           43.7993,
Ref 13,1.87696e-08,,,,,,1.1955e-02,4.1987e-03,4.8927e-05,4.6315e-06,5.0025e-08,,,,,,,,,,,
Sam 13,1.77234e-08,1.20075e-02,4.2484e-03,4.9712e-05,4.7412e-06,5.9092e-08,,,,,,            4.3924,           11.8314,           16.0438,           23.7698,          153.4416,            1.3758,            5.8646,           -0.1758,           -0.0322,          121.8196,
Ref 14,1.85246e-08,,,,,,1.1955e-02,4.1988e-03,4.8926e-05,4.6307e-06,5.2453e-08,,,,,,,,,,,
Sam 14,1.74842e-08,1.20076e-02,4.2484e-03,4.9703e-05,4.7419e-06,5.4859e-08,,,,,,            4.3910,           11.8209,           15.9287,           23.7721,            8.1520,            1.3747,            5.8542,           -0.2775,           -0.0093,          -19.4654,
Ref 15,1.82799e-08,,,,,,1.1955e-02,4.1988e-03,4.8922e-05,4.6329e-06,5.6403e-08,,,,,,,,,,,
Sam 15,1.72494e-08,1.20076e-02,4.2484e-03,4.9704e-05,4.7405e-06,5.4289e-08,,,,,,            4.3940,           11.8114,           15.9454,           23.2019,          -28.0212,            1.3782,            5.8447,           -0.2549,           -0.5474,          -54.6331,
Ref 16,1.80438e-08,,,,,,1.1955e-02,4.1988e-03,4.8925e-05,4.6332e-06,5.5298e-08,,,,,,,,,,,
Sam 16,1.70182e-08,1.20076e-02,4.2484e-03,4.9702e-05,4.7463e-06,6.0721e-08,,,,,,            4.4078,           11.8254,           15.8172,           24.7629,           72.7606,            1.3924,            5.8586,           -0.4089,            0.9496,           43.3456,
Ref 17,1.78089e-08,,,,,,1.1955e-02,4.1987e-03,4.8932e-05,4.6299e-06,5.7925e-08,,,,,,,,,,,
Sam 17,1.67914e-08,1.20074e-02,4.2484e-03,4.9711e-05,4.7403e-06,6.3735e-08,,,,,,            4.3954,           11.8300,           15.8695,           23.5306,           69.9204,            1.3791,            5.8632,           -0.3491,           -0.2630,           40.5876,
Ref 18,1.75787e-08,,,,,,1.1955e-02,4.1988e-03,4.8937e-05,4.6328e-06,6.1237e-08,,,,,,,,,,,
Sam 18,1.65695e-08,1.20073e-02,4.2483e-03,4.9713e-05,4.7452e-06,6.3973e-08,,,,,,            4.3750,           11.7944,           16.0646,           24.1580,           48.5540,            1.3585,            5.8278,           -0.1015,            0.4201,           19.8996,
Ref 19,1.73542e-08,,,,,,1.1955e-02,4.1987e-03,4.8918e-05,4.6338e-06,6.0782e-08,,,,,,,,,,,
Sam 19,1.63488e-08,1.20074e-02,4.2483e-03,4.9702e-05,4.7476e-06,6.1600e-08,,,,,,            4.3808,           11.8044,           15.8605,           25.1775,           32.7614,            1.3643,            5.8377,           -0.3181,            1.3962,            4.5130,
Ref 20,1.71283e-08,,,,,,1.1955e-02,4.1987e-03,4.8935e-05,4.6282e-06,5.8494e-08,,,,,,,,,,,
Sam 20,1.61303e-08,1.20074e-02,4.2483e-03,4.9707e-05,4.7386e-06,5.9895e-08,,,,,,            4.4001,           11.8024,           15.8372,           23.2294,           32.7816,            1.3850,            5.8358,           -0.3589,           -0.5028,            4.5159,
Ref 21,1.69114e-08,,,,,,1.1955e-02,4.1987e-03,4.8930e-05,4.6339e-06,5.7489e-08,,,,,,,,,,,


