Nu Stable Isotope Analysis Program
Data Collected on Saturday, May 20, 2023 at 17:17 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, May 20, 2023 at 18:16 with Stable 1.71.5 on PS019

Data File = Data_19694 WS4_30_0_A.txt,    Sample Weight = 408,                      Vial Location = 36,                       Initial Sam Beam = 1.1699e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7921e-08,                Max Ref Beam = 1.0645e-07,                

Analysis undertaken at mass 46.04945
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.12993e-08,,,,,,1.1957e-02,4.1990e-03,4.8908e-05,4.6359e-06,4.7610e-08,
Sam 1,4.06898e-08,1.20335e-02,4.2680e-03,5.0014e-05,4.7862e-06,5.0225e-08,,,,,,            6.4114,           16.4157,           22.5561,           32.6640,           56.3403,            3.3667,           10.4222,           -0.3049,           -0.4227,           16.1135,
Ref 2,4.05284e-08,,,,,,1.1957e-02,4.1991e-03,4.8913e-05,4.6338e-06,4.7483e-08,,,,,,,,,,,
Sam 2,3.99027e-08,1.20336e-02,4.2680e-03,5.0015e-05,4.7884e-06,5.2265e-08,,,,,,            6.4056,           16.3945,           22.5613,           33.3855,           98.5380,            3.3613,           10.4012,           -0.2735,            0.3172,           56.7538,
Ref 3,3.98082e-08,,,,,,1.1957e-02,4.1992e-03,4.8910e-05,4.6337e-06,4.7672e-08,,,,,,,,,,,
Sam 3,3.91443e-08,1.20336e-02,4.2680e-03,5.0016e-05,4.7900e-06,5.2181e-08,,,,,,            6.4052,           16.3923,           22.5573,           33.4983,           84.4168,            3.3609,           10.3990,           -0.2748,            0.4307,           43.1747,
Ref 4,3.91100e-08,,,,,,1.1957e-02,4.1992e-03,4.8915e-05,4.6358e-06,4.8574e-08,,,,,,,,,,,
Sam 4,3.84080e-08,1.20335e-02,4.2681e-03,5.0011e-05,4.7871e-06,4.9843e-08,,,,,,            6.4122,           16.4003,           22.3531,           32.7429,           24.0302,            3.3680,           10.4070,           -0.4892,           -0.3162,          -14.9378,
Ref 5,3.84167e-08,,,,,,1.1957e-02,4.1992e-03,4.8920e-05,4.6348e-06,4.8775e-08,,,,,,,,,,,
Sam 5,3.76849e-08,1.20335e-02,4.2680e-03,5.0019e-05,4.7857e-06,5.1217e-08,,,,,,            6.4091,           16.3861,           22.5051,           32.8592,           58.0266,            3.3652,           10.3928,           -0.3238,           -0.1757,           17.7963,
Ref 6,3.77657e-08,,,,,,1.1957e-02,4.1992e-03,4.8916e-05,4.6322e-06,4.8035e-08,,,,,,,,,,,
Sam 6,3.69900e-08,1.20334e-02,4.2681e-03,5.0017e-05,4.7872e-06,5.2503e-08,,,,,,            6.4024,           16.3907,           22.5238,           33.3574,           96.0509,            3.3579,           10.3974,           -0.3031,            0.2974,           54.3726,
Ref 7,3.71197e-08,,,,,,1.1957e-02,4.1992e-03,4.8914e-05,4.6331e-06,4.7768e-08,,,,,,,,,,,
Sam 7,3.63141e-08,1.20333e-02,4.2680e-03,5.0015e-05,4.7873e-06,4.8724e-08,,,,,,            6.4010,           16.3847,           22.4344,           33.0688,           18.9704,            3.3566,           10.3914,           -0.3832,            0.0300,          -19.7638,
Ref 8,3.64786e-08,,,,,,1.1957e-02,4.1992e-03,4.8922e-05,4.6351e-06,4.7867e-08,,,,,,,,,,,
Sam 8,3.56597e-08,1.20333e-02,4.2680e-03,5.0019e-05,4.7852e-06,4.9653e-08,,,,,,            6.4099,           16.3795,           22.4655,           32.4216,           19.0088,            3.3663,           10.3862,           -0.3569,           -0.5863,          -19.7261,
Ref 9,3.58625e-08,,,,,,1.1957e-02,4.1992e-03,4.8918e-05,4.6348e-06,4.9602e-08,,,,,,,,,,,
Sam 9,3.50060e-08,1.20332e-02,4.2680e-03,5.0021e-05,4.7878e-06,5.0693e-08,,,,,,            6.4039,           16.3755,           22.5152,           33.0217,           48.6778,            3.3601,           10.3823,           -0.2983,            0.0025,            8.8291,
Ref 10,3.52603e-08,,,,,,1.1957e-02,4.1993e-03,4.8920e-05,4.6347e-06,4.7056e-08,,,,,,,,,,,
Sam 10,3.43775e-08,1.20332e-02,4.2680e-03,5.0021e-05,4.7881e-06,5.1531e-08,,,,,,            6.4057,           16.3864,           22.4739,           33.2428,           82.7601,            3.3616,           10.3931,           -0.3511,            0.1950,           41.5923,
Ref 11,3.46687e-08,,,,,,1.1957e-02,4.1992e-03,4.8923e-05,4.6335e-06,4.8138e-08,,,,,,,,,,,
Sam 11,3.37677e-08,1.20333e-02,4.2680e-03,5.0022e-05,4.7858e-06,4.9078e-08,,,,,,            6.4074,           16.3717,           22.4841,           32.8822,           18.9172,            3.3639,           10.3785,           -0.3287,           -0.1251,          -19.7970,
Ref 12,3.40923e-08,,,,,,1.1957e-02,4.1993e-03,4.8921e-05,4.6333e-06,4.8196e-08,,,,,,,,,,,
Sam 12,3.31753e-08,1.20332e-02,4.2680e-03,5.0017e-05,4.7863e-06,5.1685e-08,,,,,,            6.3939,           16.3712,           22.4025,           32.6082,           81.7890,            3.3496,           10.3781,           -0.3942,           -0.3894,           40.7016,
Ref 13,3.35418e-08,,,,,,1.1957e-02,4.1992e-03,4.8922e-05,4.6370e-06,4.7351e-08,,,,,,,,,,,
Sam 13,3.25997e-08,1.20332e-02,4.2681e-03,5.0023e-05,4.7881e-06,4.9525e-08,,,,,,            6.3958,           16.3902,           22.4694,           32.8663,           40.7232,            3.3510,           10.3969,           -0.3490,           -0.1769,            1.1568,
Ref 14,3.29901e-08,,,,,,1.1957e-02,4.1993e-03,4.8927e-05,4.6345e-06,4.7828e-08,,,,,,,,,,,
Sam 14,3.20335e-08,1.20331e-02,4.2680e-03,5.0027e-05,4.7892e-06,5.2578e-08,,,,,,            6.3851,           16.3788,           22.5444,           33.3590,           77.0778,            3.3400,           10.3856,           -0.2537,            0.3224,           36.1639,
Ref 15,3.24546e-08,,,,,,1.1957e-02,4.1993e-03,4.8921e-05,4.6346e-06,4.9818e-08,,,,,,,,,,,
Sam 15,3.14885e-08,1.20331e-02,4.2681e-03,5.0027e-05,4.7877e-06,5.0506e-08,,,,,,            6.3881,           16.3940,           22.6019,           33.0466,           26.5152,            3.3426,           10.4007,           -0.2153,           -0.0098,          -12.5102,
Ref 16,3.19343e-08,,,,,,1.1957e-02,4.1992e-03,4.8922e-05,4.6345e-06,4.8575e-08,,,,,,,,,,,
Sam 16,3.09554e-08,1.20330e-02,4.2681e-03,5.0031e-05,4.7855e-06,5.1989e-08,,,,,,            6.3979,           16.3958,           22.6305,           32.3697,           74.2839,            3.3530,           10.4025,           -0.1991,           -0.6686,           33.4281,
Ref 17,3.14162e-08,,,,,,1.1956e-02,4.1993e-03,4.8925e-05,4.6363e-06,4.8209e-08,,,,,,,,,,,
Sam 17,3.04228e-08,1.20332e-02,4.2680e-03,5.0029e-05,4.7844e-06,4.9895e-08,,,,,,            6.4164,           16.3761,           22.5514,           32.0098,           41.1674,            3.3733,           10.3828,           -0.2763,           -0.9782,            1.5898,
Ref 18,3.09119e-08,,,,,,1.1956e-02,4.1993e-03,4.8926e-05,4.6357e-06,4.7631e-08,,,,,,,,,,,
Sam 18,2.99101e-08,1.20330e-02,4.2681e-03,5.0025e-05,4.7888e-06,5.1277e-08,,,,,,            6.4108,           16.3938,           22.4538,           33.0188,           66.5192,            3.3668,           10.4004,           -0.3831,           -0.0363,           25.9488,
Ref 19,3.04253e-08,,,,,,1.1956e-02,4.1992e-03,4.8926e-05,4.6357e-06,4.8533e-08,,,,,,,,,,,
Sam 19,2.94100e-08,1.20328e-02,4.2680e-03,5.0024e-05,4.7903e-06,4.7674e-08,,,,,,            6.3950,           16.3851,           22.3710,           33.2197,          -22.7583,            3.3503,           10.3918,           -0.4395,            0.1754,          -59.9010,
Ref 20,2.99445e-08,,,,,,1.1956e-02,4.1992e-03,4.8932e-05,4.6369e-06,4.9038e-08,,,,,,,,,,,
Sam 20,2.89181e-08,1.20330e-02,4.2680e-03,5.0028e-05,4.7877e-06,5.1502e-08,,,,,,            6.4073,           16.3771,           22.4427,           32.8012,           46.3324,            3.3636,           10.3839,           -0.3743,           -0.2142,            6.5661,
Ref 21,2.94816e-08,,,,,,1.1956e-02,4.1992e-03,4.8927e-05,4.6344e-06,4.9408e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.92505e-08,,,,,,1.1956e-02,4.1992e-03,4.8928e-05,4.6354e-06,4.8741e-08,
Sam 1,2.81995e-08,1.20329e-02,4.2680e-03,5.0038e-05,4.7873e-06,5.0963e-08,,,,,,            6.4032,           16.3690,           22.6829,           32.3961,           61.8826,            3.3596,           10.3758,           -0.1274,           -0.5904,           21.5457,
Ref 2,2.87981e-08,,,,,,1.1956e-02,4.1993e-03,4.8928e-05,4.6387e-06,4.7234e-08,,,,,,,,,,,
Sam 2,2.77294e-08,1.20327e-02,4.2679e-03,5.0032e-05,4.7884e-06,5.0685e-08,,,,,,            6.3887,           16.3559,           22.6175,           32.5105,           81.7679,            3.3446,           10.3628,           -0.1638,           -0.4538,           40.7181,
Ref 3,2.83447e-08,,,,,,1.1956e-02,4.1991e-03,4.8922e-05,4.6366e-06,4.6469e-08,,,,,,,,,,,
Sam 3,2.72778e-08,1.20327e-02,4.2680e-03,5.0028e-05,4.7890e-06,5.1328e-08,,,,,,            6.3940,           16.3958,           22.5196,           33.1190,           51.6332,            3.3488,           10.4025,           -0.3036,            0.0567,           11.6430,
Ref 4,2.79103e-08,,,,,,1.1956e-02,4.1992e-03,4.8930e-05,4.6343e-06,5.1183e-08,,,,,,,,,,,
Sam 4,2.68366e-08,1.20329e-02,4.2680e-03,5.0030e-05,4.7889e-06,5.0706e-08,,,,,,            6.4135,           16.3739,           22.4848,           33.5383,            8.3752,            3.3704,           10.3807,           -0.3363,            0.5057,          -29.9488,
Ref 5,2.74890e-08,,,,,,1.1956e-02,4.1992e-03,4.8930e-05,4.6327e-06,4.9372e-08,,,,,,,,,,,
Sam 5,2.64120e-08,1.20327e-02,4.2679e-03,5.0039e-05,4.7905e-06,4.9030e-08,,,,,,            6.3950,           16.3683,           22.6615,           33.4712,          -25.9189,            3.3509,           10.3751,           -0.1392,            0.4517,          -62.9111,
Ref 6,2.70709e-08,,,,,,1.1956e-02,4.1992e-03,4.8931e-05,4.6381e-06,5.1311e-08,,,,,,,,,,,
Sam 6,2.59898e-08,1.20326e-02,4.2680e-03,5.0032e-05,4.7872e-06,5.3569e-08,,,,,,            6.3956,           16.3868,           22.5204,           32.3564,           73.6060,            3.3508,           10.3935,           -0.2957,           -0.6637,           32.7967,
Ref 7,2.66598e-08,,,,,,1.1956e-02,4.1991e-03,4.8930e-05,4.6361e-06,4.8460e-08,,,,,,,,,,,
Sam 7,2.55789e-08,1.20325e-02,4.2678e-03,5.0030e-05,4.7884e-06,4.9774e-08,,,,,,            6.4034,           16.3647,           22.5139,           32.7638,          -10.2492,            3.3599,           10.3715,           -0.2886,           -0.2259,          -47.8382,
Ref 8,2.62635e-08,,,,,,1.1956e-02,4.1991e-03,4.8927e-05,4.6368e-06,5.2146e-08,,,,,,,,,,,
Sam 8,2.51824e-08,1.20326e-02,4.2679e-03,5.0032e-05,4.7887e-06,4.9464e-08,,,,,,            6.4078,           16.3692,           22.4561,           33.2841,          -19.6709,            3.3644,           10.3760,           -0.3540,            0.2688,          -56.9148,
Ref 9,2.58642e-08,,,,,,1.1956e-02,4.1992e-03,4.8939e-05,4.6322e-06,4.8741e-08,,,,,,,,,,,
Sam 9,2.47813e-08,1.20326e-02,4.2679e-03,5.0031e-05,4.7887e-06,5.1347e-08,,,,,,            6.4065,           16.3713,           22.3944,           33.2307,           31.6525,            3.3630,           10.3781,           -0.4151,            0.2130,           -7.5440,
Ref 10,2.54826e-08,,,,,,1.1956e-02,4.1991e-03,4.8931e-05,4.6373e-06,5.0818e-08,,,,,,,,,,,
Sam 10,2.44061e-08,1.20324e-02,4.2678e-03,5.0039e-05,4.7864e-06,5.1616e-08,,,,,,            6.4006,           16.3723,           22.6028,           32.1699,           29.3412,            3.3567,           10.3791,           -0.2062,           -0.8158,           -9.7631,
Ref 11,2.51078e-08,,,,,,1.1956e-02,4.1991e-03,4.8934e-05,4.6372e-06,4.9461e-08,,,,,,,,,,,
Sam 11,2.40274e-08,1.20325e-02,4.2678e-03,5.0035e-05,4.7914e-06,5.2452e-08,,,,,,            6.4147,           16.3729,           22.5846,           33.6828,           75.5365,            3.3716,           10.3796,           -0.2389,            0.6476,           34.6607,
Ref 12,2.47399e-08,,,,,,1.1956e-02,4.1991e-03,4.8925e-05,4.6333e-06,4.8064e-08,,,,,,,,,,,
Sam 12,2.36668e-08,1.20323e-02,4.2677e-03,5.0041e-05,4.7874e-06,5.1264e-08,,,,,,            6.4034,           16.3522,           22.6423,           32.8343,           45.7951,            3.3603,           10.3591,           -0.1509,           -0.1331,            6.1020,
Ref 13,2.43819e-08,,,,,,1.1956e-02,4.1991e-03,4.8941e-05,4.6371e-06,4.9988e-08,,,,,,,,,,,
Sam 13,2.33124e-08,1.20322e-02,4.2679e-03,5.0040e-05,4.7880e-06,5.1176e-08,,,,,,            6.3976,           16.3832,           22.6219,           32.8359,           18.2004,            3.3530,           10.3900,           -0.1950,           -0.1926,          -20.4982,
Ref 14,2.40343e-08,,,,,,1.1956e-02,4.1990e-03,4.8925e-05,4.6345e-06,5.0540e-08,,,,,,,,,,,
Sam 14,2.29675e-08,1.20323e-02,4.2678e-03,5.0041e-05,4.7887e-06,5.0318e-08,,,,,,            6.4014,           16.3750,           22.6445,           32.9999,           -3.0682,            3.3574,           10.3817,           -0.1688,           -0.0175,          -40.9470,
Ref 15,2.36941e-08,,,,,,1.1956e-02,4.1991e-03,4.8940e-05,4.6369e-06,5.0405e-08,,,,,,,,,,,
Sam 15,2.26242e-08,1.20321e-02,4.2678e-03,5.0037e-05,4.7878e-06,5.0670e-08,,,,,,            6.3932,           16.3727,           22.4766,           32.5363,           15.1143,            3.3488,           10.3795,           -0.3224,           -0.4619,          -23.4425,
Ref 16,2.33596e-08,,,,,,1.1956e-02,4.1991e-03,4.8935e-05,4.6371e-06,4.9420e-08,,,,,,,,,,,
Sam 16,2.22877e-08,1.20321e-02,4.2678e-03,5.0038e-05,4.7888e-06,5.1171e-08,,,,,,            6.4042,           16.3652,           22.4969,           32.9941,           12.4930,            3.3607,           10.3720,           -0.3065,           -0.0040,          -25.9615,
Ref 17,2.30286e-08,,,,,,1.1955e-02,4.1990e-03,4.8938e-05,4.6346e-06,5.1675e-08,,,,,,,,,,,
Sam 17,2.19522e-08,1.20320e-02,4.2676e-03,5.0031e-05,4.7910e-06,4.6617e-08,,,,,,            6.3925,           16.3522,           22.3822,           32.9300,          -70.3121,            3.3487,           10.3591,           -0.3941,           -0.0404,         -105.5880,
Ref 18,2.26993e-08,,,,,,1.1956e-02,4.1990e-03,4.8934e-05,4.6419e-06,4.8589e-08,,,,,,,,,,,
Sam 18,2.16277e-08,1.20319e-02,4.2676e-03,5.0033e-05,4.7911e-06,5.5221e-08,,,,,,            6.3880,           16.3586,           22.4937,           32.5229,          134.0209,            3.3437,           10.3655,           -0.2867,           -0.4472,           90.9832,
Ref 19,2.23801e-08,,,,,,1.1955e-02,4.1989e-03,4.8931e-05,4.6384e-06,4.8802e-08,,,,,,,,,,,
Sam 19,2.13115e-08,1.20319e-02,4.2676e-03,5.0035e-05,4.7930e-06,5.1677e-08,,,,,,            6.3934,           16.3615,           22.5638,           33.3479,            8.8173,            3.3493,           10.3684,           -0.2264,            0.3458,          -29.4795,
Ref 20,2.20709e-08,,,,,,1.1955e-02,4.1990e-03,4.8931e-05,4.6382e-06,5.3683e-08,,,,,,,,,,,
Sam 20,2.10014e-08,1.20319e-02,4.2677e-03,5.0032e-05,4.7894e-06,5.2432e-08,,,,,,            6.3978,           16.3608,           22.5117,           32.8993,           11.3744,            3.3540,           10.3677,           -0.2812,           -0.0871,          -27.0227,
Ref 21,2.17617e-08,,,,,,1.1955e-02,4.1989e-03,4.8930e-05,4.6354e-06,4.9975e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.16111e-08,,,,,,1.1955e-02,4.1990e-03,4.8941e-05,4.6399e-06,4.9157e-08,
Sam 1,2.05509e-08,1.20321e-02,4.2677e-03,5.0032e-05,4.7879e-06,5.4355e-08,,,,,,            6.4175,           16.3588,           22.2661,           32.3301,          104.4024,            3.3751,           10.3656,           -0.5396,           -0.6341,           62.4553,
Ref 2,2.13148e-08,,,,,,1.1955e-02,4.1990e-03,4.8942e-05,4.6359e-06,4.9278e-08,,,,,,,,,,,
Sam 2,2.02579e-08,1.20317e-02,4.2677e-03,5.0033e-05,4.7901e-06,5.3941e-08,,,,,,            6.3855,           16.3583,           22.4165,           33.3357,           81.0210,            3.3410,           10.3652,           -0.3593,            0.3403,           39.9982,
Ref 3,2.10216e-08,,,,,,1.1955e-02,4.1990e-03,4.8930e-05,4.6352e-06,5.0527e-08,,,,,,,,,,,
Sam 3,1.99682e-08,1.20320e-02,4.2678e-03,5.0035e-05,4.7884e-06,5.0748e-08,,,,,,            6.4055,           16.3731,           22.6209,           32.4907,           26.5443,            3.3618,           10.3799,           -0.1943,           -0.5069,          -12.4605,
Ref 4,2.07345e-08,,,,,,1.1955e-02,4.1990e-03,4.8927e-05,4.6403e-06,4.8329e-08,,,,,,,,,,,
Sam 4,1.96863e-08,1.20319e-02,4.2676e-03,5.0032e-05,4.7903e-06,5.4499e-08,,,,,,            6.3984,           16.3488,           22.5328,           32.7291,           76.9664,            3.3551,           10.3558,           -0.2497,           -0.2283,           36.1023,
Ref 5,2.04493e-08,,,,,,1.1955e-02,4.1989e-03,4.8932e-05,4.6367e-06,5.2912e-08,,,,,,,,,,,
Sam 5,1.94102e-08,1.20318e-02,4.2676e-03,5.0030e-05,4.7864e-06,5.1212e-08,,,,,,            6.3924,           16.3481,           22.3883,           31.9556,          -18.6182,            3.3488,           10.3550,           -0.3841,           -0.9756,          -55.8480,
Ref 6,2.01738e-08,,,,,,1.1955e-02,4.1989e-03,4.8937e-05,4.6397e-06,5.1445e-08,,,,,,,,,,,
Sam 6,1.91393e-08,1.20319e-02,4.2676e-03,5.0031e-05,4.7872e-06,5.5739e-08,,,,,,            6.4153,           16.3733,           22.3016,           31.8739,           84.2862,            3.3723,           10.3800,           -0.5167,           -1.1042,           43.0764,
Ref 7,1.99049e-08,,,,,,1.1955e-02,4.1989e-03,4.8943e-05,4.6389e-06,5.1367e-08,,,,,,,,,,,
Sam 7,1.88775e-08,1.20317e-02,4.2675e-03,5.0032e-05,4.7926e-06,5.2704e-08,,,,,,            6.4018,           16.3447,           22.3666,           33.8473,           78.6464,            3.3589,           10.3516,           -0.4116,            0.8624,           37.7232,
Ref 8,1.96374e-08,,,,,,1.1955e-02,4.1988e-03,4.8932e-05,4.6325e-06,4.6321e-08,,,,,,,,,,,
Sam 8,1.86147e-08,1.20317e-02,4.2676e-03,5.0032e-05,4.7862e-06,5.2708e-08,,,,,,            6.4003,           16.3652,           22.4605,           32.5220,           95.4848,            3.3566,           10.3720,           -0.3381,           -0.4610,           53.8826,
Ref 9,1.93742e-08,,,,,,1.1955e-02,4.1989e-03,4.8934e-05,4.6385e-06,4.9932e-08,,,,,,,,,,,
Sam 9,1.83600e-08,1.20317e-02,4.2675e-03,5.0035e-05,4.7881e-06,5.3109e-08,,,,,,            6.3951,           16.3335,           22.5530,           32.7095,           69.2165,            3.3522,           10.3405,           -0.2117,           -0.2171,           28.6805,
Ref 10,1.91170e-08,,,,,,1.1955e-02,4.1989e-03,4.8928e-05,4.6345e-06,4.9406e-08,,,,,,,,,,,
Sam 10,1.81087e-08,1.20316e-02,4.2675e-03,5.0037e-05,4.7873e-06,5.1614e-08,,,,,,            6.3986,           16.3392,           22.6299,           32.8677,           49.7314,            3.3557,           10.3462,           -0.1456,           -0.0751,            9.9193,
Ref 11,1.88653e-08,,,,,,1.1955e-02,4.1989e-03,4.8931e-05,4.6354e-06,4.8928e-08,,,,,,,,,,,
Sam 11,1.78618e-08,1.20317e-02,4.2674e-03,5.0029e-05,4.7936e-06,5.0445e-08,,,,,,            6.4084,           16.3273,           22.4308,           34.1276,            6.0448,            3.3665,           10.3343,           -0.3388,            1.1680,          -32.0982,
Ref 12,1.86148e-08,,,,,,1.1955e-02,4.1988e-03,4.8933e-05,4.6354e-06,5.1373e-08,,,,,,,,,,,
Sam 12,1.76194e-08,1.20315e-02,4.2675e-03,5.0032e-05,4.7917e-06,4.9384e-08,,,,,,            6.3908,           16.3627,           22.5191,           33.2263,          -40.4695,            3.3466,           10.3696,           -0.2687,            0.2257,          -76.8950,
Ref 13,1.83699e-08,,,,,,1.1955e-02,4.1988e-03,4.8928e-05,4.6398e-06,5.1561e-08,,,,,,,,,,,
Sam 13,1.73823e-08,1.20316e-02,4.2675e-03,5.0029e-05,4.7898e-06,4.7455e-08,,,,,,            6.3966,           16.3599,           22.4577,           33.3644,          -42.5901,            3.3529,           10.3668,           -0.3320,            0.3649,          -78.9357,
Ref 14,1.81320e-08,,,,,,1.1955e-02,4.1988e-03,4.8932e-05,4.6304e-06,4.7544e-08,,,,,,,,,,,
Sam 14,1.71502e-08,1.20314e-02,4.2675e-03,5.0035e-05,4.7952e-06,5.0912e-08,,,,,,            6.3827,           16.3464,           22.5961,           34.7250,           66.1418,            3.3385,           10.3534,           -0.1693,            1.7087,           25.7103,
Ref 15,1.78978e-08,,,,,,1.1955e-02,4.1988e-03,4.8925e-05,4.6383e-06,4.7966e-08,,,,,,,,,,,
Sam 15,1.69223e-08,1.20315e-02,4.2674e-03,5.0032e-05,4.7878e-06,5.1037e-08,,,,,,            6.3912,           16.3381,           22.5831,           32.1149,           45.1381,            3.3478,           10.3451,           -0.1828,           -0.8019,            5.5102,
Ref 16,1.76686e-08,,,,,,1.1955e-02,4.1988e-03,4.8929e-05,4.6394e-06,4.9711e-08,,,,,,,,,,,
Sam 16,1.66990e-08,1.20314e-02,4.2674e-03,5.0030e-05,4.7907e-06,5.0413e-08,,,,,,            6.3890,           16.3504,           22.4799,           33.0420,           22.3982,            3.3450,           10.3573,           -0.2932,            0.0715,          -16.3884,
Ref 17,1.74421e-08,,,,,,1.1955e-02,4.1988e-03,4.8931e-05,4.6355e-06,4.8901e-08,,,,,,,,,,,
Sam 17,1.64789e-08,1.20313e-02,4.2673e-03,5.0039e-05,4.7897e-06,4.9307e-08,,,,,,            6.3943,           16.3326,           22.6069,           33.8028,           52.6680,            3.3513,           10.3396,           -0.1573,            0.8432,           12.7621,
Ref 18,1.72173e-08,,,,,,1.1955e-02,4.1988e-03,4.8934e-05,4.6306e-06,4.4752e-08,,,,,,,,,,,
Sam 18,1.62606e-08,1.20312e-02,4.2674e-03,5.0039e-05,4.7919e-06,4.7858e-08,,,,,,            6.3935,           16.3511,           22.5650,           33.5744,          -11.6167,            3.3498,           10.3580,           -0.2153,            0.5856,          -49.1187,
Ref 19,1.69980e-08,,,,,,1.1955e-02,4.1987e-03,4.8935e-05,4.6421e-06,5.2136e-08,,,,,,,,,,,
Sam 19,1.60471e-08,1.20311e-02,4.2674e-03,5.0028e-05,4.7869e-06,5.0500e-08,,,,,,            6.3944,           16.3495,           22.3896,           31.4755,          -21.4734,            3.3508,           10.3564,           -0.3862,           -1.4432,          -58.5995,
Ref 20,1.67804e-08,,,,,,1.1955e-02,4.1987e-03,4.8930e-05,4.6396e-06,5.1075e-08,,,,,,,,,,,
Sam 20,1.58372e-08,1.20312e-02,4.2674e-03,5.0026e-05,4.7891e-06,5.1463e-08,,,,,,            6.3949,           16.3507,           22.4986,           32.5735,            3.3661,            3.3513,           10.3576,           -0.2812,           -0.3826,          -34.7051,
Ref 21,1.65694e-08,,,,,,1.1955e-02,4.1988e-03,4.8921e-05,4.6363e-06,5.1509e-08,,,,,,,,,,,


