Nu Stable Isotope Analysis Program
Data Collected on Saturday, May 20, 2023 at 20:01 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, May 20, 2023 at 21:00 with Stable 1.71.5 on PS019

Data File = Data_19696 SB1_98_A.txt,      Sample Weight = 451,                      Vial Location = 38,                       Initial Sam Beam = 1.4420e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6548e-08,                Max Ref Beam = 1.0698e-07,                

Analysis undertaken at mass 46.05446
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.26822e-08,,,,,,1.1957e-02,4.1985e-03,4.8893e-05,4.6302e-06,4.6979e-08,
Sam 1,5.19141e-08,1.20361e-02,4.2744e-03,5.0088e-05,4.7971e-06,4.9011e-08,,,,,,            6.6206,           18.0575,           24.4261,           36.0690,           44.7820,            3.5329,           12.0556,           -0.2803,           -0.3590,            1.5883,
Ref 2,5.16407e-08,,,,,,1.1957e-02,4.1987e-03,4.8895e-05,4.6301e-06,4.6839e-08,,,,,,,,,,,
Sam 2,5.08440e-08,1.20363e-02,4.2745e-03,5.0087e-05,4.7978e-06,4.9898e-08,,,,,,            6.6233,           18.0385,           24.3945,           36.2652,           58.2951,            3.5364,           12.0367,           -0.2956,           -0.1323,           14.5770,
Ref 3,5.06504e-08,,,,,,1.1957e-02,4.1988e-03,4.8894e-05,4.6297e-06,4.7466e-08,,,,,,,,,,,
Sam 3,4.98115e-08,1.20363e-02,4.2746e-03,5.0089e-05,4.7984e-06,4.7870e-08,,,,,,            6.6165,           18.0427,           24.4581,           36.1814,           15.1724,            3.5289,           12.0410,           -0.2306,           -0.2215,          -26.7651,
Ref 4,4.97068e-08,,,,,,1.1957e-02,4.1989e-03,4.8892e-05,4.6319e-06,4.6838e-08,,,,,,,,,,,
Sam 4,4.88115e-08,1.20363e-02,4.2746e-03,5.0084e-05,4.7987e-06,4.9778e-08,,,,,,            6.6118,           18.0282,           24.3055,           35.8913,           66.4240,            3.5245,           12.0265,           -0.3607,           -0.4729,           22.4030,
Ref 5,4.87733e-08,,,,,,1.1957e-02,4.1990e-03,4.8899e-05,4.6329e-06,4.6514e-08,,,,,,,,,,,
Sam 5,4.78424e-08,1.20365e-02,4.2747e-03,5.0098e-05,4.7990e-06,4.9444e-08,,,,,,            6.6098,           18.0364,           24.5479,           36.0681,           60.4087,            3.5220,           12.0346,           -0.1299,           -0.3183,           16.6221,
Ref 6,4.78674e-08,,,,,,1.1958e-02,4.1990e-03,4.8896e-05,4.6310e-06,4.6744e-08,,,,,,,,,,,
Sam 6,4.68841e-08,1.20365e-02,4.2748e-03,5.0099e-05,4.8000e-06,4.9173e-08,,,,,,            6.6135,           18.0329,           24.5378,           36.5143,           53.0834,            3.5261,           12.0312,           -0.1403,            0.1189,            9.6020,
Ref 7,4.69724e-08,,,,,,1.1957e-02,4.1990e-03,4.8903e-05,4.6308e-06,4.6645e-08,,,,,,,,,,,
Sam 7,4.59618e-08,1.20367e-02,4.2749e-03,5.0097e-05,4.7994e-06,4.9639e-08,,,,,,            6.6326,           18.0534,           24.4182,           35.9630,           53.4405,            3.5458,           12.0515,           -0.2964,           -0.4531,            9.8841,
Ref 8,4.61182e-08,,,,,,1.1957e-02,4.1991e-03,4.8903e-05,4.6348e-06,4.7605e-08,,,,,,,,,,,
Sam 8,4.50662e-08,1.20367e-02,4.2749e-03,5.0107e-05,4.8024e-06,4.8824e-08,,,,,,            6.6184,           18.0410,           24.5261,           36.4859,           18.5718,            3.5311,           12.0392,           -0.1645,            0.0757,          -23.5049,
Ref 9,4.52741e-08,,,,,,1.1958e-02,4.1992e-03,4.8913e-05,4.6318e-06,4.8268e-08,,,,,,,,,,,
Sam 9,4.41938e-08,1.20367e-02,4.2750e-03,5.0101e-05,4.8004e-06,5.0192e-08,,,,,,            6.6208,           18.0431,           24.3471,           36.1863,           53.9703,            3.5335,           12.0413,           -0.3437,           -0.2175,           10.4246,
Ref 10,4.44557e-08,,,,,,1.1957e-02,4.1992e-03,4.8907e-05,4.6337e-06,4.6964e-08,,,,,,,,,,,
Sam 10,4.33406e-08,1.20366e-02,4.2750e-03,5.0099e-05,4.7993e-06,4.9542e-08,,,,,,            6.6170,           18.0373,           24.3054,           35.9615,           46.0919,            3.5297,           12.0355,           -0.3749,           -0.4229,            2.8870,
Ref 11,4.36459e-08,,,,,,1.1957e-02,4.1993e-03,4.8913e-05,4.6316e-06,4.7762e-08,,,,,,,,,,,
Sam 11,4.25074e-08,1.20365e-02,4.2750e-03,5.0106e-05,4.7980e-06,5.1174e-08,,,,,,            6.6161,           18.0400,           24.4453,           35.7840,           69.5240,            3.5287,           12.0383,           -0.2402,           -0.5997,           25.3468,
Ref 12,4.28621e-08,,,,,,1.1957e-02,4.1992e-03,4.8908e-05,4.6328e-06,4.7935e-08,,,,,,,,,,,
Sam 12,4.17001e-08,1.20365e-02,4.2750e-03,5.0104e-05,4.7993e-06,5.1226e-08,,,,,,            6.6208,           18.0428,           24.3672,           35.6486,           66.1861,            3.5335,           12.0410,           -0.3238,           -0.7357,           22.1363,
Ref 13,4.21018e-08,,,,,,1.1957e-02,4.1993e-03,4.8917e-05,4.6354e-06,4.8159e-08,,,,,,,,,,,
Sam 13,4.09089e-08,1.20365e-02,4.2750e-03,5.0111e-05,4.7993e-06,5.0840e-08,,,,,,            6.6125,           18.0272,           24.4132,           35.5034,           46.0987,            3.5253,           12.0255,           -0.2554,           -0.8452,            2.9178,
Ref 14,4.13461e-08,,,,,,1.1957e-02,4.1993e-03,4.8916e-05,4.6340e-06,4.9048e-08,,,,,,,,,,,
Sam 14,4.01431e-08,1.20366e-02,4.2751e-03,5.0111e-05,4.7990e-06,5.1199e-08,,,,,,            6.6207,           18.0305,           24.3797,           35.6992,           52.3207,            3.5339,           12.0288,           -0.2997,           -0.6627,            8.8679,
Ref 15,4.06157e-08,,,,,,1.1957e-02,4.1994e-03,4.8919e-05,4.6332e-06,4.8252e-08,,,,,,,,,,,
Sam 15,3.94006e-08,1.20366e-02,4.2751e-03,5.0115e-05,4.8014e-06,5.0889e-08,,,,,,            6.6284,           18.0349,           24.4069,           36.3046,           54.8171,            3.5419,           12.0332,           -0.2853,           -0.0873,           11.2443,
Ref 16,3.99068e-08,,,,,,1.1957e-02,4.1993e-03,4.8922e-05,4.6333e-06,4.8236e-08,,,,,,,,,,,
Sam 16,3.86761e-08,1.20365e-02,4.2752e-03,5.0118e-05,4.8019e-06,4.8337e-08,,,,,,            6.6211,           18.0565,           24.4157,           36.6064,            9.2059,            3.5335,           12.0546,           -0.2901,            0.1615,          -32.5156,
Ref 17,3.92103e-08,,,,,,1.1957e-02,4.1994e-03,4.8925e-05,4.6313e-06,4.7551e-08,,,,,,,,,,,
Sam 17,3.79667e-08,1.20365e-02,4.2751e-03,5.0114e-05,4.8022e-06,5.0074e-08,,,,,,            6.6160,           18.0326,           24.3151,           36.7117,           62.4504,            3.5288,           12.0309,           -0.3600,            0.3100,           18.5802,
Ref 18,3.85287e-08,,,,,,1.1957e-02,4.1994e-03,4.8924e-05,4.6329e-06,4.6703e-08,,,,,,,,,,,
Sam 18,3.72729e-08,1.20365e-02,4.2751e-03,5.0108e-05,4.8003e-06,4.9442e-08,,,,,,            6.6145,           18.0285,           24.2586,           36.1609,           58.5084,            3.5273,           12.0268,           -0.4094,           -0.2133,           14.8107,
Ref 19,3.78634e-08,,,,,,1.1957e-02,4.1994e-03,4.8919e-05,4.6327e-06,4.6716e-08,,,,,,,,,,,
Sam 19,3.65992e-08,1.20363e-02,4.2751e-03,5.0108e-05,4.8026e-06,4.8340e-08,,,,,,            6.6062,           18.0274,           24.2336,           36.7819,           30.8266,            3.5186,           12.0257,           -0.4244,            0.3881,          -11.7176,
Ref 20,3.72101e-08,,,,,,1.1957e-02,4.1994e-03,4.8926e-05,4.6318e-06,4.7075e-08,,,,,,,,,,,
Sam 20,3.59383e-08,1.20364e-02,4.2751e-03,5.0113e-05,4.8027e-06,5.1000e-08,,,,,,            6.6203,           18.0390,           24.2542,           36.7659,           84.2819,            3.5332,           12.0373,           -0.4299,            0.3497,           39.4925,
Ref 21,3.65805e-08,,,,,,1.1957e-02,4.1993e-03,4.8926e-05,4.6330e-06,4.6996e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.62691e-08,,,,,,1.1957e-02,4.1994e-03,4.8924e-05,4.6330e-06,4.7626e-08,
Sam 1,3.49768e-08,1.20363e-02,4.2752e-03,5.0118e-05,4.7998e-06,4.8210e-08,,,,,,            6.6093,           18.0441,           24.3965,           36.1463,           -2.7623,            3.5213,           12.0423,           -0.2847,           -0.2581,          -43.9541,
Ref 2,3.56625e-08,,,,,,1.1957e-02,4.1994e-03,4.8925e-05,4.6317e-06,4.9073e-08,,,,,,,,,,,
Sam 2,3.43542e-08,1.20364e-02,4.2752e-03,5.0117e-05,4.8015e-06,4.9297e-08,,,,,,            6.6247,           18.0429,           24.3424,           36.4774,            5.4809,            3.5378,           12.0411,           -0.3522,            0.0638,          -36.0650,
Ref 3,3.50602e-08,,,,,,1.1957e-02,4.1994e-03,4.8927e-05,4.6334e-06,4.8982e-08,,,,,,,,,,,
Sam 3,3.37470e-08,1.20362e-02,4.2752e-03,5.0121e-05,4.8009e-06,4.8933e-08,,,,,,            6.6139,           18.0359,           24.3458,           36.3511,           23.2634,            3.5264,           12.0342,           -0.3309,           -0.0443,          -18.9928,
Ref 4,3.44751e-08,,,,,,1.1957e-02,4.1994e-03,4.8933e-05,4.6316e-06,4.6639e-08,,,,,,,,,,,
Sam 4,3.31570e-08,1.20362e-02,4.2751e-03,5.0111e-05,4.8010e-06,5.0262e-08,,,,,,            6.6149,           18.0346,           24.1954,           36.1652,           57.4888,            3.5275,           12.0329,           -0.4775,           -0.2212,           13.8207,
Ref 5,3.39018e-08,,,,,,1.1957e-02,4.1994e-03,4.8923e-05,4.6354e-06,4.8435e-08,,,,,,,,,,,
Sam 5,3.25809e-08,1.20361e-02,4.2752e-03,5.0121e-05,4.8025e-06,4.9730e-08,,,,,,            6.6145,           18.0401,           24.4264,           36.3550,           47.9998,            3.5270,           12.0384,           -0.2571,           -0.0489,            4.7132,
Ref 6,3.33402e-08,,,,,,1.1957e-02,4.1994e-03,4.8929e-05,4.6327e-06,4.6452e-08,,,,,,,,,,,
Sam 6,3.20072e-08,1.20360e-02,4.2750e-03,5.0120e-05,4.7993e-06,4.8034e-08,,,,,,            6.6075,           17.9987,           24.3231,           35.7665,           61.7178,            3.5209,           11.9972,           -0.3107,           -0.5354,           17.9537,
Ref 7,3.27792e-08,,,,,,1.1957e-02,4.1994e-03,4.8931e-05,4.6344e-06,4.4012e-08,,,,,,,,,,,
Sam 7,3.14618e-08,1.20359e-02,4.2751e-03,5.0115e-05,4.8045e-06,4.6383e-08,,,,,,            6.6134,           18.0205,           24.1659,           36.7892,           28.4687,            3.5264,           12.0189,           -0.4911,            0.4086,          -13.9726,
Ref 8,3.22489e-08,,,,,,1.1957e-02,4.1994e-03,4.8934e-05,4.6335e-06,4.6205e-08,,,,,,,,,,,
Sam 8,3.09277e-08,1.20359e-02,4.2751e-03,5.0113e-05,4.8035e-06,5.0584e-08,,,,,,            6.6206,           18.0280,           24.1994,           36.4638,           54.9840,            3.5339,           12.0263,           -0.4731,            0.0799,           11.4262,
Ref 9,3.17211e-08,,,,,,1.1957e-02,4.1993e-03,4.8924e-05,4.6355e-06,4.9719e-08,,,,,,,,,,,
Sam 9,3.04084e-08,1.20358e-02,4.2750e-03,5.0121e-05,4.8031e-06,4.8890e-08,,,,,,            6.6161,           18.0209,           24.3947,           36.1709,           -2.0081,            3.5293,           12.0193,           -0.2710,           -0.1888,          -43.1952,
Ref 10,3.12147e-08,,,,,,1.1957e-02,4.1993e-03,4.8931e-05,4.6354e-06,4.8246e-08,,,,,,,,,,,
Sam 10,2.99098e-08,1.20359e-02,4.2750e-03,5.0124e-05,4.8003e-06,5.1056e-08,,,,,,            6.6272,           18.0272,           24.3328,           35.5958,           64.3149,            3.5409,           12.0255,           -0.3489,           -0.7562,           20.3662,
Ref 11,3.07225e-08,,,,,,1.1957e-02,4.1993e-03,4.8935e-05,4.6353e-06,4.7691e-08,,,,,,,,,,,
Sam 11,2.94236e-08,1.20357e-02,4.2750e-03,5.0118e-05,4.8008e-06,5.0101e-08,,,,,,            6.6103,           18.0172,           24.2033,           35.8300,           54.2137,            3.5232,           12.0156,           -0.4483,           -0.5105,           10.7197,
Ref 12,3.02390e-08,,,,,,1.1957e-02,4.1994e-03,4.8932e-05,4.6342e-06,4.7354e-08,,,,,,,,,,,
Sam 12,2.89435e-08,1.20359e-02,4.2750e-03,5.0123e-05,4.8041e-06,4.6891e-08,,,,,,            6.6240,           18.0048,           24.3684,           36.7771,           -6.2002,            3.5383,           12.0032,           -0.2892,            0.4278,          -47.1925,
Ref 13,2.97601e-08,,,,,,1.1957e-02,4.1994e-03,4.8929e-05,4.6331e-06,4.7011e-08,,,,,,,,,,,
Sam 13,2.84703e-08,1.20357e-02,4.2751e-03,5.0121e-05,4.8036e-06,5.0258e-08,,,,,,            6.6067,           18.0174,           24.3115,           36.9521,           87.8617,            3.5194,           12.0158,           -0.3392,            0.5719,           42.9831,
Ref 14,2.92846e-08,,,,,,1.1957e-02,4.1994e-03,4.8933e-05,4.6318e-06,4.5374e-08,,,,,,,,,,,
Sam 14,2.80053e-08,1.20356e-02,4.2750e-03,5.0118e-05,4.8007e-06,4.7894e-08,,,,,,            6.5965,           18.0171,           24.2515,           36.0898,           56.4683,            3.5086,           12.0155,           -0.3870,           -0.2596,           12.8963,
Ref 15,2.88319e-08,,,,,,1.1957e-02,4.1993e-03,4.8930e-05,4.6352e-06,4.5293e-08,,,,,,,,,,,
Sam 15,2.75570e-08,1.20356e-02,4.2751e-03,5.0122e-05,4.8028e-06,4.8128e-08,,,,,,            6.6026,           18.0398,           24.2642,           36.1213,           77.2295,            3.5143,           12.0380,           -0.4028,           -0.2737,           32.7493,
Ref 16,2.83933e-08,,,,,,1.1957e-02,4.1993e-03,4.8938e-05,4.6355e-06,4.4053e-08,,,,,,,,,,,
Sam 16,2.71176e-08,1.20357e-02,4.2750e-03,5.0119e-05,4.8046e-06,4.7662e-08,,,,,,            6.6195,           18.0312,           24.2337,           36.3931,           41.6439,            3.5325,           12.0295,           -0.4416,            0.0054,           -1.3681,
Ref 17,2.79558e-08,,,,,,1.1956e-02,4.1992e-03,4.8928e-05,4.6363e-06,4.7486e-08,,,,,,,,,,,
Sam 17,2.66849e-08,1.20356e-02,4.2750e-03,5.0128e-05,4.7989e-06,4.8877e-08,,,,,,            6.6226,           18.0208,           24.4940,           35.1692,           44.8457,            3.5362,           12.0191,           -0.1807,           -1.1551,            1.7183,
Ref 18,2.75321e-08,,,,,,1.1956e-02,4.1993e-03,4.8931e-05,4.6354e-06,4.6061e-08,,,,,,,,,,,
Sam 18,2.62647e-08,1.20354e-02,4.2750e-03,5.0119e-05,4.8052e-06,4.6330e-08,,,,,,            6.6136,           18.0125,           24.2908,           36.8595,            4.7690,            3.5269,           12.0109,           -0.3617,            0.4922,          -36.6795,
Ref 19,2.71209e-08,,,,,,1.1956e-02,4.1993e-03,4.8930e-05,4.6333e-06,4.6159e-08,,,,,,,,,,,
Sam 19,2.58483e-08,1.20354e-02,4.2750e-03,5.0125e-05,4.8013e-06,4.5243e-08,,,,,,            6.6088,           18.0184,           24.4420,           36.2343,          -26.8857,            3.5216,           12.0168,           -0.2149,           -0.1227,          -67.0343,
Ref 20,2.67088e-08,,,,,,1.1956e-02,4.1993e-03,4.8929e-05,4.6335e-06,4.6831e-08,,,,,,,,,,,
Sam 20,2.54470e-08,1.20353e-02,4.2749e-03,5.0127e-05,4.8019e-06,4.6589e-08,,,,,,            6.6030,           18.0098,           24.4493,           36.8145,           -6.9071,            3.5157,           12.0082,           -0.1936,            0.4541,          -47.8583,
Ref 21,2.63074e-08,,,,,,1.1956e-02,4.1993e-03,4.8933e-05,4.6292e-06,4.6995e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.61081e-08,,,,,,1.1956e-02,4.1993e-03,4.8939e-05,4.6367e-06,4.2710e-08,
Sam 1,2.48489e-08,1.20353e-02,4.2750e-03,5.0117e-05,4.8035e-06,4.6451e-08,,,,,,            6.6060,           18.0126,           24.0870,           36.4137,           77.2152,            3.5188,           12.0110,           -0.5530,            0.0618,           32.7861,
Ref 2,2.57187e-08,,,,,,1.1956e-02,4.1993e-03,4.8937e-05,4.6327e-06,4.3538e-08,,,,,,,,,,,
Sam 2,2.44732e-08,1.20353e-02,4.2748e-03,5.0121e-05,4.8016e-06,4.9027e-08,,,,,,            6.6097,           17.9949,           24.2780,           36.4276,          109.4691,            3.5234,           11.9934,           -0.3533,            0.1100,           63.7419,
Ref 3,2.53364e-08,,,,,,1.1956e-02,4.1992e-03,4.8929e-05,4.6329e-06,4.4851e-08,,,,,,,,,,,
Sam 3,2.40966e-08,1.20353e-02,4.2749e-03,5.0116e-05,4.8019e-06,4.7033e-08,,,,,,            6.6097,           18.0131,           24.2135,           36.6523,           62.4259,            3.5227,           12.0115,           -0.4337,            0.2911,           18.6019,
Ref 4,2.49643e-08,,,,,,1.1956e-02,4.1993e-03,4.8933e-05,4.6314e-06,4.3679e-08,,,,,,,,,,,
Sam 4,2.37321e-08,1.20353e-02,4.2749e-03,5.0124e-05,4.8046e-06,4.7823e-08,,,,,,            6.6177,           18.0093,           24.3225,           37.0685,           87.0176,            3.5314,           12.0077,           -0.3320,            0.7001,           42.1779,
Ref 5,2.45979e-08,,,,,,1.1956e-02,4.1992e-03,4.8935e-05,4.6344e-06,4.4315e-08,,,,,,,,,,,
Sam 5,2.33733e-08,1.20350e-02,4.2748e-03,5.0127e-05,4.8048e-06,4.7868e-08,,,,,,            6.6038,           17.9995,           24.4189,           36.7486,           62.3006,            3.5169,           11.9980,           -0.2141,            0.4108,           18.5148,
Ref 6,2.42395e-08,,,,,,1.1956e-02,4.1992e-03,4.8929e-05,4.6347e-06,4.5818e-08,,,,,,,,,,,
Sam 6,2.30290e-08,1.20350e-02,4.2747e-03,5.0123e-05,4.7966e-06,4.3979e-08,,,,,,            6.6167,           17.9953,           24.3341,           35.2598,           14.7911,            3.5308,           11.9937,           -0.3060,           -1.0176,          -27.0417,
Ref 7,2.38944e-08,,,,,,1.1956e-02,4.1991e-03,4.8935e-05,4.6317e-06,4.0822e-08,,,,,,,,,,,
Sam 7,2.26791e-08,1.20349e-02,4.2747e-03,5.0129e-05,4.7972e-06,4.7102e-08,,,,,,            6.6070,           17.9932,           24.3863,           35.4087,          115.7564,            3.5206,           11.9916,           -0.2431,           -0.8697,           69.7767,
Ref 8,2.35460e-08,,,,,,1.1956e-02,4.1992e-03,4.8937e-05,4.6346e-06,4.3629e-08,,,,,,,,,,,
Sam 8,2.23516e-08,1.20350e-02,4.2748e-03,5.0123e-05,4.8032e-06,4.4040e-08,,,,,,            6.6110,           18.0253,           24.1724,           36.1673,           25.8596,            3.5237,           12.0237,           -0.4870,           -0.2010,          -16.4806,
Ref 9,2.32130e-08,,,,,,1.1956e-02,4.1991e-03,4.8942e-05,4.6365e-06,4.2221e-08,,,,,,,,,,,
Sam 9,2.20245e-08,1.20352e-02,4.2748e-03,5.0128e-05,4.8018e-06,4.4102e-08,,,,,,            6.6276,           18.0213,           24.2863,           35.8941,           50.4185,            3.5416,           12.0196,           -0.3890,           -0.4567,            7.0548,
Ref 10,2.28824e-08,,,,,,1.1956e-02,4.1992e-03,4.8937e-05,4.6343e-06,4.1745e-08,,,,,,,,,,,
Sam 10,2.16993e-08,1.20350e-02,4.2748e-03,5.0125e-05,4.8048e-06,4.3271e-08,,,,,,            6.6022,           18.0062,           24.2754,           37.1235,           20.4287,            3.5150,           12.0046,           -0.3590,            0.7594,          -21.6422,
Ref 11,2.25539e-08,,,,,,1.1956e-02,4.1991e-03,4.8937e-05,4.6313e-06,4.3074e-08,,,,,,,,,,,
Sam 11,2.13848e-08,1.20351e-02,4.2748e-03,5.0125e-05,4.8004e-06,4.3966e-08,,,,,,            6.6129,           18.0122,           24.3048,           36.2180,           44.5657,            3.5262,           12.0106,           -0.3471,           -0.1263,            1.4767,
Ref 12,2.22405e-08,,,,,,1.1956e-02,4.1992e-03,4.8934e-05,4.6339e-06,4.1092e-08,,,,,,,,,,,
Sam 12,2.10827e-08,1.20349e-02,4.2748e-03,5.0126e-05,4.8037e-06,4.5894e-08,,,,,,            6.6095,           18.0129,           24.3772,           36.6137,           88.2164,            3.5225,           12.0113,           -0.2735,            0.2543,           43.3292,
Ref 13,2.19315e-08,,,,,,1.1956e-02,4.1991e-03,4.8932e-05,4.6342e-06,4.3270e-08,,,,,,,,,,,
Sam 13,2.07809e-08,1.20350e-02,4.2747e-03,5.0122e-05,4.8019e-06,4.3316e-08,,,,,,            6.6184,           17.9958,           24.2982,           36.5352,           10.3710,            3.5327,           11.9943,           -0.3433,            0.2120,          -31.2823,
Ref 14,2.16254e-08,,,,,,1.1956e-02,4.1992e-03,4.8935e-05,4.6310e-06,4.2468e-08,,,,,,,,,,,
Sam 14,2.04844e-08,1.20348e-02,4.2747e-03,5.0122e-05,4.8030e-06,4.2573e-08,,,,,,            6.6094,           17.9896,           24.3259,           36.8600,           -0.1543,            3.5233,           11.9881,           -0.3011,            0.5376,          -41.3532,
Ref 15,2.13235e-08,,,,,,1.1956e-02,4.1991e-03,4.8930e-05,4.6336e-06,4.2692e-08,,,,,,,,,,,
Sam 15,2.01932e-08,1.20347e-02,4.2746e-03,5.0131e-05,4.8012e-06,4.7508e-08,,,,,,            6.6002,           17.9950,           24.5439,           36.3116,           64.3945,            3.5132,           11.9935,           -0.0841,           -0.0021,           20.5352,
Ref 16,2.10305e-08,,,,,,1.1956e-02,4.1990e-03,4.8931e-05,4.6323e-06,4.6603e-08,,,,,,,,,,,
Sam 16,1.99104e-08,1.20347e-02,4.2747e-03,5.0126e-05,4.8030e-06,4.5964e-08,,,,,,            6.6071,           18.0333,           24.3738,           37.0254,           -1.7375,            3.5193,           12.0316,           -0.2941,            0.6114,          -42.9495,
Ref 17,2.07445e-08,,,,,,1.1956e-02,4.1990e-03,4.8937e-05,4.6307e-06,4.5478e-08,,,,,,,,,,,
Sam 17,1.96309e-08,1.20348e-02,4.2746e-03,5.0111e-05,4.7999e-06,4.5307e-08,,,,,,            6.6162,           18.0064,           24.0306,           36.5042,           14.8969,            3.5299,           12.0048,           -0.6124,            0.1613,          -26.9606,
Ref 18,2.04601e-08,,,,,,1.1956e-02,4.1990e-03,4.8934e-05,4.6310e-06,4.3794e-08,,,,,,,,,,,
Sam 18,1.93542e-08,1.20347e-02,4.2746e-03,5.0127e-05,4.8037e-06,4.7221e-08,,,,,,            6.6104,           17.9942,           24.3995,           36.9220,          101.4585,            3.5241,           11.9927,           -0.2346,            0.5885,           56.0621,
Ref 19,2.01820e-08,,,,,,1.1956e-02,4.1990e-03,4.8933e-05,4.6344e-06,4.1935e-08,,,,,,,,,,,
Sam 19,1.90830e-08,1.20346e-02,4.2745e-03,5.0119e-05,4.7982e-06,4.9963e-08,,,,,,            6.6136,           17.9698,           24.1882,           34.6422,          191.2216,            3.5284,           11.9684,           -0.4206,           -1.5636,          142.1755,
Ref 20,1.99061e-08,,,,,,1.1955e-02,4.1991e-03,4.8937e-05,4.6407e-06,4.1950e-08,,,,,,,,,,,
Sam 20,1.88183e-08,1.20346e-02,4.2746e-03,5.0111e-05,4.8037e-06,4.6846e-08,,,,,,            6.6189,           18.0061,           24.0103,           36.3620,           85.3024,            3.5328,           12.0045,           -0.6347,            0.0248,           40.5387,
Ref 21,1.96402e-08,,,,,,1.1955e-02,4.1989e-03,4.8936e-05,4.6295e-06,4.4394e-08,,,,,,,,,,,


