Nu Stable Isotope Analysis Program
Data Collected on Sunday, May 21, 2023 at 01:39 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, May 21, 2023 at 02:38 with Stable 1.71.5 on PS019

Data File = Data_19700 WS2_9_2_A.txt,     Sample Weight = 474,                      Vial Location = 42,                       Initial Sam Beam = 1.6066e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1862e-08,                Max Ref Beam = 1.0652e-07,                

Analysis undertaken at mass 46.04945
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.96221e-08,,,,,,1.1956e-02,4.1979e-03,4.8874e-05,4.6281e-06,4.6507e-08,
Sam 1,5.87115e-08,1.20183e-02,4.2538e-03,4.9765e-05,4.7499e-06,4.8487e-08,,,,,,            5.1722,           13.2671,           18.1684,           26.3809,           40.5370,            2.1562,            7.2916,           -0.2822,           -0.3207,            8.3592,
Ref 2,5.84049e-08,,,,,,1.1957e-02,4.1982e-03,4.8879e-05,4.6275e-06,4.6690e-08,,,,,,,,,,,
Sam 2,5.74730e-08,1.20186e-02,4.2539e-03,4.9771e-05,4.7489e-06,4.8810e-08,,,,,,            5.1698,           13.2426,           18.2203,           26.1278,           35.9226,            2.1545,            7.2673,           -0.2049,           -0.5190,            3.9377,
Ref 3,5.72624e-08,,,,,,1.1957e-02,4.1984e-03,4.8881e-05,4.6284e-06,4.7553e-08,,,,,,,,,,,
Sam 3,5.62614e-08,1.20188e-02,4.2540e-03,4.9766e-05,4.7508e-06,4.7966e-08,,,,,,            5.1618,           13.2320,           17.9709,           26.4660,            4.4628,            2.1464,            7.2567,           -0.4313,           -0.1685,          -26.5224,
Ref 4,5.61409e-08,,,,,,1.1957e-02,4.1985e-03,4.8893e-05,4.6282e-06,4.7958e-08,,,,,,,,,,,
Sam 4,5.50892e-08,1.20190e-02,4.2542e-03,4.9771e-05,4.7504e-06,4.8786e-08,,,,,,            5.1731,           13.2638,           18.0355,           26.4128,           26.2805,            2.1573,            7.2884,           -0.4104,           -0.2832,           -5.4511,
Ref 5,5.50561e-08,,,,,,1.1957e-02,4.1986e-03,4.8886e-05,4.6280e-06,4.7107e-08,,,,,,,,,,,
Sam 5,5.39492e-08,1.20189e-02,4.2543e-03,4.9776e-05,4.7519e-06,5.0089e-08,,,,,,            5.1611,           13.2599,           18.1941,           26.5791,           47.3058,            2.1446,            7.2845,           -0.2385,           -0.1135,           14.9448,
Ref 6,5.39946e-08,,,,,,1.1957e-02,4.1986e-03,4.8887e-05,4.6296e-06,4.8560e-08,,,,,,,,,,,
Sam 6,5.28461e-08,1.20190e-02,4.2544e-03,4.9773e-05,4.7518e-06,4.9787e-08,,,,,,            5.1646,           13.2649,           18.1085,           26.4084,           31.5512,            2.1482,            7.2894,           -0.3310,           -0.2896,           -0.3363,
Ref 7,5.29539e-08,,,,,,1.1957e-02,4.1987e-03,4.8888e-05,4.6294e-06,4.7964e-08,,,,,,,,,,,
Sam 7,5.17640e-08,1.20190e-02,4.2544e-03,4.9781e-05,4.7540e-06,4.9042e-08,,,,,,            5.1612,           13.2551,           18.2590,           26.7524,           30.1430,            2.1450,            7.2797,           -0.1702,            0.0649,           -1.6786,
Ref 8,5.19407e-08,,,,,,1.1957e-02,4.1988e-03,4.8888e-05,4.6308e-06,4.7244e-08,,,,,,,,,,,
Sam 8,5.07145e-08,1.20192e-02,4.2545e-03,4.9780e-05,4.7540e-06,4.8961e-08,,,,,,            5.1770,           13.2636,           18.1619,           26.6308,           56.0503,            2.1615,            7.2881,           -0.2901,           -0.0704,           23.3945,
Ref 9,5.09617e-08,,,,,,1.1957e-02,4.1989e-03,4.8897e-05,4.6306e-06,4.5463e-08,,,,,,,,,,,
Sam 9,4.97006e-08,1.20192e-02,4.2546e-03,4.9783e-05,4.7548e-06,4.7171e-08,,,,,,            5.1662,           13.2676,           18.1646,           26.6714,           10.5010,            2.1498,            7.2921,           -0.2802,           -0.0388,          -20.7428,
Ref 10,4.99927e-08,,,,,,1.1957e-02,4.1989e-03,4.8894e-05,4.6320e-06,4.7922e-08,,,,,,,,,,,
Sam 10,4.86995e-08,1.20191e-02,4.2546e-03,4.9780e-05,4.7563e-06,4.9734e-08,,,,,,            5.1586,           13.2457,           18.0398,           26.9404,           42.2284,            2.1425,            7.2703,           -0.3736,            0.2666,           10.0549,
Ref 11,4.90499e-08,,,,,,1.1957e-02,4.1990e-03,4.8902e-05,4.6311e-06,4.7513e-08,,,,,,,,,,,
Sam 11,4.77304e-08,1.20192e-02,4.2547e-03,4.9786e-05,4.7563e-06,4.8433e-08,,,,,,            5.1682,           13.2760,           18.1172,           27.2645,           38.9682,            2.1516,            7.3004,           -0.3369,            0.5224,            6.8259,
Ref 12,4.81323e-08,,,,,,1.1957e-02,4.1990e-03,4.8897e-05,4.6290e-06,4.5703e-08,,,,,,,,,,,
Sam 12,4.67852e-08,1.20192e-02,4.2547e-03,4.9788e-05,4.7532e-06,4.9113e-08,,,,,,            5.1600,           13.2598,           18.1534,           26.7203,           66.6990,            2.1436,            7.2844,           -0.2774,            0.0242,           33.7401,
Ref 13,4.72323e-08,,,,,,1.1957e-02,4.1991e-03,4.8904e-05,4.6300e-06,4.6388e-08,,,,,,,,,,,
Sam 13,4.58661e-08,1.20191e-02,4.2547e-03,4.9789e-05,4.7534e-06,5.0152e-08,,,,,,            5.1571,           13.2511,           18.1029,           26.3485,           55.7249,            2.1407,            7.2757,           -0.3154,           -0.3206,           23.1257,
Ref 14,4.63632e-08,,,,,,1.1957e-02,4.1991e-03,4.8903e-05,4.6327e-06,4.8642e-08,,,,,,,,,,,
Sam 14,4.49714e-08,1.20191e-02,4.2547e-03,4.9788e-05,4.7525e-06,4.9368e-08,,,,,,            5.1615,           13.2441,           18.0929,           25.9577,           35.3602,            2.1457,            7.2687,           -0.3230,           -0.6875,            3.3986,
Ref 15,4.55111e-08,,,,,,1.1957e-02,4.1992e-03,4.8904e-05,4.6318e-06,4.6704e-08,,,,,,,,,,,
Sam 15,4.41104e-08,1.20190e-02,4.2547e-03,4.9791e-05,4.7554e-06,4.7462e-08,,,,,,            5.1506,           13.2266,           18.1243,           26.4632,           12.2987,            2.1346,            7.2513,           -0.2639,           -0.1606,          -18.9062,
Ref 16,4.46833e-08,,,,,,1.1957e-02,4.1992e-03,4.8905e-05,4.6338e-06,4.7069e-08,,,,,,,,,,,
Sam 16,4.32647e-08,1.20191e-02,4.2549e-03,4.9793e-05,4.7541e-06,5.0340e-08,,,,,,            5.1589,           13.2619,           18.1218,           26.2746,           61.2601,            2.1423,            7.2864,           -0.3092,           -0.4139,           28.4663,
Ref 17,4.38748e-08,,,,,,1.1957e-02,4.1992e-03,4.8907e-05,4.6310e-06,4.7806e-08,,,,,,,,,,,
Sam 17,4.24379e-08,1.20192e-02,4.2549e-03,4.9793e-05,4.7554e-06,5.0777e-08,,,,,,            5.1667,           13.2601,           18.1368,           26.7371,           62.4668,            2.1507,            7.2847,           -0.3008,            0.0399,           29.6306,
Ref 18,4.30701e-08,,,,,,1.1957e-02,4.1992e-03,4.8905e-05,4.6321e-06,4.7778e-08,,,,,,,,,,,
Sam 18,4.16406e-08,1.20191e-02,4.2549e-03,4.9793e-05,4.7557e-06,4.9487e-08,,,,,,            5.1568,           13.2542,           18.1283,           26.5511,           23.9261,            2.1403,            7.2789,           -0.2932,           -0.1296,           -7.6971,
Ref 19,4.23146e-08,,,,,,1.1957e-02,4.1993e-03,4.8908e-05,4.6332e-06,4.8893e-08,,,,,,,,,,,
Sam 19,4.08625e-08,1.20191e-02,4.2549e-03,4.9794e-05,4.7582e-06,4.8206e-08,,,,,,            5.1602,           13.2426,           18.0785,           26.8601,            0.5218,            2.1443,            7.2673,           -0.3343,            0.1944,          -30.3601,
Ref 20,4.15611e-08,,,,,,1.1957e-02,4.1993e-03,4.8912e-05,4.6343e-06,4.7456e-08,,,,,,,,,,,
Sam 20,4.00992e-08,1.20192e-02,4.2550e-03,4.9797e-05,4.7569e-06,4.8357e-08,,,,,,            5.1657,           13.2610,           18.1087,           26.8339,           14.6728,            2.1495,            7.2856,           -0.3282,            0.1325,          -16.6868,
Ref 21,4.13300e-08,,,,,,1.1958e-02,4.1993e-03,4.8911e-05,4.6309e-06,4.7860e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.05278e-08,,,,,,1.1957e-02,4.1993e-03,4.8905e-05,4.6316e-06,4.7673e-08,
Sam 1,3.90377e-08,1.20191e-02,4.2549e-03,4.9796e-05,4.7569e-06,4.7006e-08,,,,,,            5.1640,           13.2515,           18.1669,           27.2715,          -11.2370,            2.1480,            7.2761,           -0.2600,            0.5776,          -41.7763,
Ref 2,3.98111e-08,,,,,,1.1957e-02,4.1993e-03,4.8911e-05,4.6296e-06,4.7404e-08,,,,,,,,,,,
Sam 2,3.83141e-08,1.20191e-02,4.2549e-03,4.9800e-05,4.7572e-06,4.6680e-08,,,,,,            5.1629,           13.2385,           18.1132,           27.1439,          -18.4468,            2.1473,            7.2632,           -0.2990,            0.4789,          -48.7384,
Ref 3,3.91185e-08,,,,,,1.1957e-02,4.1994e-03,4.8918e-05,4.6334e-06,4.7713e-08,,,,,,,,,,,
Sam 3,3.76078e-08,1.20192e-02,4.2551e-03,4.9798e-05,4.7567e-06,4.8289e-08,,,,,,            5.1711,           13.2540,           18.0397,           26.4351,           11.5588,            2.1555,            7.2786,           -0.3948,           -0.2422,          -19.6969,
Ref 4,3.84349e-08,,,,,,1.1957e-02,4.1994e-03,4.8914e-05,4.6351e-06,4.7761e-08,,,,,,,,,,,
Sam 4,3.69220e-08,1.20191e-02,4.2550e-03,4.9802e-05,4.7565e-06,4.8256e-08,,,,,,            5.1631,           13.2379,           18.1015,           26.5332,            6.0581,            2.1475,            7.2626,           -0.3102,           -0.1148,          -24.9889,
Ref 5,3.77689e-08,,,,,,1.1957e-02,4.1994e-03,4.8920e-05,4.6319e-06,4.8173e-08,,,,,,,,,,,
Sam 5,3.62555e-08,1.20190e-02,4.2550e-03,4.9801e-05,4.7538e-06,4.7836e-08,,,,,,            5.1569,           13.2492,           18.0450,           26.4253,          -20.3335,            2.1406,            7.2738,           -0.3703,           -0.2421,          -50.5806,
Ref 6,3.71166e-08,,,,,,1.1957e-02,4.1994e-03,4.8917e-05,4.6310e-06,4.9496e-08,,,,,,,,,,,
Sam 6,3.56047e-08,1.20190e-02,4.2550e-03,4.9802e-05,4.7594e-06,4.9107e-08,,,,,,            5.1609,           13.2377,           18.0605,           27.4660,            5.9465,            2.1452,            7.2624,           -0.3480,            0.7942,          -25.0943,
Ref 7,3.64796e-08,,,,,,1.1957e-02,4.1994e-03,4.8921e-05,4.6334e-06,4.8125e-08,,,,,,,,,,,
Sam 7,3.49740e-08,1.20189e-02,4.2550e-03,4.9811e-05,4.7568e-06,4.8341e-08,,,,,,            5.1634,           13.2400,           18.2428,           26.6002,            4.5176,            2.1478,            7.2647,           -0.1738,           -0.0537,          -26.4862,
Ref 8,3.58614e-08,,,,,,1.1957e-02,4.1994e-03,4.8917e-05,4.6337e-06,4.8122e-08,,,,,,,,,,,
Sam 8,3.43570e-08,1.20189e-02,4.2550e-03,4.9805e-05,4.7564e-06,4.9235e-08,,,,,,            5.1677,           13.2460,           18.1301,           26.5666,           31.7002,            2.1522,            7.2706,           -0.2947,           -0.0982,           -0.1587,
Ref 9,3.52555e-08,,,,,,1.1957e-02,4.1994e-03,4.8919e-05,4.6329e-06,4.7316e-08,,,,,,,,,,,
Sam 9,3.37568e-08,1.20188e-02,4.2550e-03,4.9800e-05,4.7552e-06,5.0545e-08,,,,,,            5.1653,           13.2359,           18.0234,           26.1850,           51.1334,            2.1500,            7.2606,           -0.3871,           -0.4499,           18.6970,
Ref 10,3.46616e-08,,,,,,1.1957e-02,4.1994e-03,4.8918e-05,4.6348e-06,4.8870e-08,,,,,,,,,,,
Sam 10,3.31724e-08,1.20188e-02,4.2550e-03,4.9801e-05,4.7571e-06,4.8816e-08,,,,,,            5.1704,           13.2400,           18.0261,           26.4169,           23.2889,            2.1552,            7.2646,           -0.3936,           -0.2321,           -8.3013,
Ref 11,3.40866e-08,,,,,,1.1957e-02,4.1994e-03,4.8920e-05,4.6345e-06,4.6520e-08,,,,,,,,,,,
Sam 11,3.26059e-08,1.20186e-02,4.2550e-03,4.9808e-05,4.7545e-06,4.9006e-08,,,,,,            5.1582,           13.2384,           18.1248,           26.0589,           25.3467,            2.1423,            7.2631,           -0.2828,           -0.5777,           -6.2913,
Ref 12,3.35189e-08,,,,,,1.1957e-02,4.1994e-03,4.8922e-05,4.6330e-06,4.9090e-08,,,,,,,,,,,
Sam 12,3.20434e-08,1.20187e-02,4.2550e-03,4.9807e-05,4.7572e-06,4.8382e-08,,,,,,            5.1640,           13.2437,           18.0879,           26.5185,           31.6989,            2.1484,            7.2684,           -0.3301,           -0.1406,           -0.1517,
Ref 13,3.29693e-08,,,,,,1.1957e-02,4.1993e-03,4.8922e-05,4.6356e-06,4.4664e-08,,,,,,,,,,,
Sam 13,3.15025e-08,1.20186e-02,4.2550e-03,4.9806e-05,4.7555e-06,4.7759e-08,,,,,,            5.1576,           13.2450,           18.0671,           26.2856,           64.0397,            2.1415,            7.2696,           -0.3451,           -0.3698,           31.1953,
Ref 14,3.24291e-08,,,,,,1.1957e-02,4.1993e-03,4.8922e-05,4.6317e-06,4.5110e-08,,,,,,,,,,,
Sam 14,3.09729e-08,1.20185e-02,4.2550e-03,4.9805e-05,4.7571e-06,5.0042e-08,,,,,,            5.1501,           13.2498,           18.0473,           26.6812,           95.1769,            2.1333,            7.2744,           -0.3615,            0.0059,           61.3699,
Ref 15,3.19061e-08,,,,,,1.1957e-02,4.1994e-03,4.8922e-05,4.6353e-06,4.6287e-08,,,,,,,,,,,
Sam 15,3.04583e-08,1.20185e-02,4.2550e-03,4.9810e-05,4.7572e-06,4.6749e-08,,,,,,            5.1560,           13.2391,           18.1935,           26.2903,            7.8331,            2.1400,            7.2638,           -0.2137,           -0.3536,          -23.2635,
Ref 16,3.13997e-08,,,,,,1.1957e-02,4.1993e-03,4.8919e-05,4.6354e-06,4.6486e-08,,,,,,,,,,,
Sam 16,2.99533e-08,1.20187e-02,4.2549e-03,4.9807e-05,4.7555e-06,4.8451e-08,,,,,,            5.1736,           13.2352,           18.0852,           26.3045,           59.7414,            2.1589,            7.2599,           -0.3344,           -0.3323,           27.0317,
Ref 17,3.08928e-08,,,,,,1.1957e-02,4.1994e-03,4.8926e-05,4.6317e-06,4.4940e-08,,,,,,,,,,,
Sam 17,2.94580e-08,1.20185e-02,4.2549e-03,4.9810e-05,4.7566e-06,4.5878e-08,,,,,,            5.1656,           13.2314,           18.1475,           26.7728,           10.6697,            2.1505,            7.2561,           -0.2613,            0.1314,          -20.5099,
Ref 18,3.04046e-08,,,,,,1.1957e-02,4.1994e-03,4.8918e-05,4.6334e-06,4.5855e-08,,,,,,,,,,,
Sam 18,2.89619e-08,1.20185e-02,4.2550e-03,4.9809e-05,4.7556e-06,4.7973e-08,,,,,,            5.1794,           13.2418,           18.2194,           26.2261,           28.7942,            2.1648,            7.2664,           -0.2149,           -0.4217,           -2.9791,
Ref 19,2.99233e-08,,,,,,1.1957e-02,4.1994e-03,4.8917e-05,4.6347e-06,4.7418e-08,,,,,,,,,,,
Sam 19,2.84906e-08,1.20184e-02,4.2550e-03,4.9810e-05,4.7581e-06,4.9965e-08,,,,,,            5.1711,           13.2473,           18.1153,           26.6170,           57.3315,            2.1557,            7.2719,           -0.3139,           -0.0517,           24.6749,
Ref 20,2.94583e-08,,,,,,1.1957e-02,4.1994e-03,4.8931e-05,4.6347e-06,4.7092e-08,,,,,,,,,,,
Sam 20,2.80270e-08,1.20183e-02,4.2549e-03,4.9812e-05,4.7572e-06,4.8501e-08,,,,,,            5.1595,           13.2200,           18.0309,           26.4964,           40.5405,            2.1443,            7.2448,           -0.3583,           -0.1153,            8.4685,
Ref 21,2.89910e-08,,,,,,1.1957e-02,4.1994e-03,4.8929e-05,4.6342e-06,4.6124e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.87689e-08,,,,,,1.1957e-02,4.1994e-03,4.8933e-05,4.6336e-06,4.7076e-08,
Sam 1,2.73516e-08,1.20183e-02,4.2550e-03,4.9810e-05,4.7556e-06,4.9882e-08,,,,,,            5.1626,           13.2395,           17.9697,           26.1746,           30.7846,            2.1470,            7.2642,           -0.4406,           -0.4672,           -1.0280,
Ref 2,2.83205e-08,,,,,,1.1957e-02,4.1994e-03,4.8929e-05,4.6350e-06,4.9729e-08,,,,,,,,,,,
Sam 2,2.69084e-08,1.20183e-02,4.2549e-03,4.9802e-05,4.7567e-06,4.9474e-08,,,,,,            5.1547,           13.2174,           17.8793,           26.7203,            4.5248,            2.1393,            7.2422,           -0.4998,            0.1079,          -26.4275,
Ref 3,2.78820e-08,,,,,,1.1957e-02,4.1994e-03,4.8926e-05,4.6308e-06,4.8766e-08,,,,,,,,,,,
Sam 3,2.64835e-08,1.20182e-02,4.2549e-03,4.9812e-05,4.7560e-06,5.0086e-08,,,,,,            5.1544,           13.2187,           18.1288,           26.7268,           46.4145,            2.1389,            7.2435,           -0.2558,            0.1117,           14.1693,
Ref 4,2.74538e-08,,,,,,1.1956e-02,4.1994e-03,4.8924e-05,4.6335e-06,4.6948e-08,,,,,,,,,,,
Sam 4,2.60707e-08,1.20182e-02,4.2549e-03,4.9811e-05,4.7593e-06,4.6866e-08,,,,,,            5.1745,           13.2338,           18.1009,           27.3111,            6.7305,            2.1598,            7.2585,           -0.3184,            0.6510,          -24.3412,
Ref 5,2.70359e-08,,,,,,1.1956e-02,4.1993e-03,4.8928e-05,4.6320e-06,4.6152e-08,,,,,,,,,,,
Sam 5,2.56625e-08,1.20181e-02,4.2549e-03,4.9811e-05,4.7597e-06,4.6162e-08,,,,,,            5.1662,           13.2430,           17.9998,           27.3969,          -17.2029,            2.1506,            7.2677,           -0.4181,            0.7164,          -47.5445,
Ref 6,2.66268e-08,,,,,,1.1956e-02,4.1993e-03,4.8932e-05,4.6335e-06,4.7801e-08,,,,,,,,,,,
Sam 6,2.52633e-08,1.20180e-02,4.2548e-03,4.9813e-05,4.7540e-06,4.7656e-08,,,,,,            5.1597,           13.2313,           18.1037,           26.0637,            4.9317,            2.1441,            7.2560,           -0.2980,           -0.5590,          -26.0644,
Ref 7,2.62266e-08,,,,,,1.1956e-02,4.1992e-03,4.8922e-05,4.6330e-06,4.7038e-08,,,,,,,,,,,
Sam 7,2.48741e-08,1.20180e-02,4.2547e-03,4.9802e-05,4.7552e-06,5.1256e-08,,,,,,            5.1687,           13.2191,           17.9510,           26.4425,           61.2579,            2.1542,            7.2438,           -0.4454,           -0.1659,           28.5391,
Ref 8,2.58324e-08,,,,,,1.1956e-02,4.1992e-03,4.8924e-05,4.6323e-06,4.9576e-08,,,,,,,,,,,
Sam 8,2.44926e-08,1.20177e-02,4.2547e-03,4.9809e-05,4.7578e-06,5.1266e-08,,,,,,            5.1501,           13.2130,           18.0548,           26.9908,           22.4669,            2.1346,            7.2378,           -0.3185,            0.3802,           -9.0248,
Ref 9,2.54481e-08,,,,,,1.1956e-02,4.1992e-03,4.8927e-05,4.6333e-06,5.0711e-08,,,,,,,,,,,
Sam 9,2.41212e-08,1.20177e-02,4.2547e-03,4.9810e-05,4.7576e-06,5.1899e-08,,,,,,            5.1547,           13.2066,           18.0541,           26.7796,           69.0963,            2.1397,            7.2315,           -0.3177,            0.1869,           36.1762,
Ref 10,2.50742e-08,,,,,,1.1956e-02,4.1993e-03,4.8926e-05,4.6338e-06,4.6347e-08,,,,,,,,,,,
Sam 10,2.37592e-08,1.20177e-02,4.2547e-03,4.9803e-05,4.7607e-06,4.9002e-08,,,,,,            5.1520,           13.2148,           17.8602,           27.3581,           40.8807,            2.1366,            7.2396,           -0.5133,            0.7344,            8.8162,
Ref 11,2.47059e-08,,,,,,1.1956e-02,4.1992e-03,4.8932e-05,4.6340e-06,4.7820e-08,,,,,,,,,,,
Sam 11,2.34029e-08,1.20177e-02,4.2547e-03,4.9818e-05,4.7587e-06,4.9405e-08,,,,,,            5.1551,           13.2321,           18.1293,           26.7056,           46.2523,            2.1392,            7.2569,           -0.2691,            0.0646,           13.9849,
Ref 12,2.43482e-08,,,,,,1.1956e-02,4.1991e-03,4.8931e-05,4.6359e-06,4.6613e-08,,,,,,,,,,,
Sam 12,2.30561e-08,1.20177e-02,4.2548e-03,4.9809e-05,4.7588e-06,4.8031e-08,,,,,,            5.1691,           13.2504,           18.1080,           26.9010,           19.4763,            2.1535,            7.2750,           -0.3221,            0.2189,          -12.0149,
Ref 13,2.39943e-08,,,,,,1.1956e-02,4.1991e-03,4.8915e-05,4.6323e-06,4.7621e-08,,,,,,,,,,,
Sam 13,2.27138e-08,1.20176e-02,4.2547e-03,4.9809e-05,4.7595e-06,4.9187e-08,,,,,,            5.1694,           13.2291,           18.2598,           27.6990,           42.2280,            2.1546,            7.2538,           -0.1527,            1.0381,           10.0753,
Ref 14,2.36471e-08,,,,,,1.1956e-02,4.1991e-03,4.8918e-05,4.6302e-06,4.6762e-08,,,,,,,,,,,
Sam 14,2.23776e-08,1.20175e-02,4.2546e-03,4.9805e-05,4.7551e-06,4.8856e-08,,,,,,            5.1603,           13.2024,           18.0829,           26.6274,           63.4163,            2.1458,            7.2272,           -0.2910,            0.0471,           30.6734,
Ref 15,2.33118e-08,,,,,,1.1956e-02,4.1992e-03,4.8923e-05,4.6333e-06,4.5110e-08,,,,,,,,,,,
Sam 15,2.20522e-08,1.20175e-02,4.2546e-03,4.9810e-05,4.7553e-06,4.9236e-08,,,,,,            5.1658,           13.2157,           18.0366,           26.1361,           67.0109,            2.1512,            7.2405,           -0.3551,           -0.4578,           34.1245,
Ref 16,2.29769e-08,,,,,,1.1956e-02,4.1991e-03,4.8932e-05,4.6351e-06,4.7192e-08,,,,,,,,,,,
Sam 16,2.17280e-08,1.20175e-02,4.2546e-03,4.9807e-05,4.7545e-06,4.8794e-08,,,,,,            5.1644,           13.2261,           17.8997,           26.0037,           67.2173,            2.1494,            7.2508,           -0.4982,           -0.6072,           34.3053,
Ref 17,2.26491e-08,,,,,,1.1956e-02,4.1991e-03,4.8930e-05,4.6329e-06,4.4228e-08,,,,,,,,,,,
Sam 17,2.14146e-08,1.20173e-02,4.2546e-03,4.9808e-05,4.7512e-06,4.9967e-08,,,,,,            5.1415,           13.1950,           17.8830,           25.3559,           77.4360,            2.1261,            7.2199,           -0.4610,           -1.1769,           44.2972,
Ref 18,2.23321e-08,,,,,,1.1956e-02,4.1992e-03,4.8936e-05,4.6346e-06,4.8555e-08,,,,,,,,,,,
Sam 18,2.11020e-08,1.20173e-02,4.2546e-03,4.9809e-05,4.7590e-06,4.7877e-08,,,,,,            5.1422,           13.2230,           17.8861,           27.0795,          -17.0582,            2.1258,            7.2478,           -0.4857,            0.4468,          -47.3430,
Ref 19,2.20155e-08,,,,,,1.1956e-02,4.1990e-03,4.8930e-05,4.6325e-06,4.8863e-08,,,,,,,,,,,
Sam 19,2.08020e-08,1.20174e-02,4.2546e-03,4.9813e-05,4.7620e-06,4.8903e-08,,,,,,            5.1540,           13.2100,           17.9601,           28.2465,            7.4206,            2.1388,            7.2348,           -0.4125,            1.6092,          -23.6060,
Ref 20,2.17059e-08,,,,,,1.1956e-02,4.1992e-03,4.8939e-05,4.6298e-06,4.8217e-08,,,,,,,,,,,
Sam 20,2.05004e-08,1.20173e-02,4.2546e-03,4.9816e-05,4.7587e-06,4.7660e-08,,,,,,            5.1494,           13.2091,           18.0073,           27.4361,          -38.7685,            2.1339,            7.2340,           -0.3607,            0.8215,          -68.3664,
Ref 21,2.14056e-08,,,,,,1.1956e-02,4.1990e-03,4.8930e-05,4.6335e-06,5.0966e-08,,,,,,,,,,,


