Nu Stable Isotope Analysis Program
Data Collected on Sunday, May 21, 2023 at 08:32 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, May 21, 2023 at 09:31 with Stable 1.71.5 on PS019

Data File = Data_19705 ETH-4.txt,         Sample Weight = 490,                      Vial Location = 47,                       Initial Sam Beam = 1.5634e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7852e-08,                Max Ref Beam = 1.0644e-07,                

Analysis undertaken at mass 46.04945
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.76914e-08,,,,,,1.1956e-02,4.1981e-03,4.8882e-05,4.6282e-06,4.7785e-08,
Sam 1,5.68246e-08,1.18691e-02,4.1754e-03,4.8229e-05,4.5769e-06,4.7170e-08,,,,,,           -7.3292,           -5.4408,          -13.3990,          -11.1273,          -23.7191,          -10.5010,          -11.2984,           -0.5391,           -0.2784,           -5.4357,
Ref 2,5.65263e-08,,,,,,1.1957e-02,4.1983e-03,4.8887e-05,4.6287e-06,4.8858e-08,,,,,,,,,,,
Sam 2,5.56298e-08,1.18693e-02,4.1755e-03,4.8238e-05,4.5762e-06,4.7904e-08,,,,,,           -7.3407,           -5.4593,          -13.2729,          -11.2918,          -11.1195,          -10.5126,          -11.3169,           -0.3811,           -0.4075,            7.4493,
Ref 3,5.54192e-08,,,,,,1.1957e-02,4.1985e-03,4.8888e-05,4.6282e-06,4.8018e-08,,,,,,,,,,,
Sam 3,5.44630e-08,1.18693e-02,4.1756e-03,4.8243e-05,4.5779e-06,4.6884e-08,,,,,,           -7.3420,           -5.4608,          -13.2749,          -10.9595,          -24.0398,          -10.5140,          -11.3184,           -0.3803,           -0.0684,           -5.7093,
Ref 4,5.43423e-08,,,,,,1.1957e-02,4.1986e-03,4.8896e-05,4.6290e-06,4.8061e-08,,,,,,,,,,,
Sam 4,5.33194e-08,1.18695e-02,4.1758e-03,4.8248e-05,4.5807e-06,4.7333e-08,,,,,,           -7.3333,           -5.4491,          -13.2400,          -10.4444,           -8.9100,          -10.5051,          -11.3067,           -0.3656,            0.4287,            9.6718,
Ref 5,5.32782e-08,,,,,,1.1957e-02,4.1987e-03,4.8895e-05,4.6291e-06,4.7450e-08,,,,,,,,,,,
Sam 5,5.22302e-08,1.18696e-02,4.1758e-03,4.8245e-05,4.5783e-06,4.4551e-08,,,,,,           -7.3388,           -5.4659,          -13.3512,          -10.9675,          -33.1255,          -10.5105,          -11.3234,           -0.4558,           -0.0663,          -14.9590,
Ref 6,5.22738e-08,,,,,,1.1957e-02,4.1987e-03,4.8901e-05,4.6289e-06,4.4678e-08,,,,,,,,,,,
Sam 6,5.11747e-08,1.18696e-02,4.1759e-03,4.8245e-05,4.5795e-06,4.4051e-08,,,,,,           -7.3403,           -5.4571,          -13.3807,          -10.7105,          -25.4550,          -10.5123,          -11.3146,           -0.4929,            0.1758,           -7.1603,
Ref 7,5.12678e-08,,,,,,1.1957e-02,4.1988e-03,4.8899e-05,4.6293e-06,4.5736e-08,,,,,,,,,,,
Sam 7,5.01305e-08,1.18696e-02,4.1760e-03,4.8250e-05,4.5804e-06,4.4455e-08,,,,,,           -7.3417,           -5.4403,          -13.2881,          -10.4805,          -37.7644,          -10.5144,          -11.2979,           -0.4142,            0.3744,          -19.7318,
Ref 8,5.02965e-08,,,,,,1.1957e-02,4.1989e-03,4.8900e-05,4.6286e-06,4.6673e-08,,,,,,,,,,,
Sam 8,4.91140e-08,1.18696e-02,4.1760e-03,4.8253e-05,4.5789e-06,4.4694e-08,,,,,,           -7.3439,           -5.4569,          -13.2969,          -10.9171,          -24.8776,          -10.5162,          -11.3144,           -0.4045,           -0.0335,           -6.5685,
Ref 9,4.93541e-08,,,,,,1.1957e-02,4.1989e-03,4.8906e-05,4.6304e-06,4.4981e-08,,,,,,,,,,,
Sam 9,4.81406e-08,1.18696e-02,4.1760e-03,4.8254e-05,4.5786e-06,4.5201e-08,,,,,,           -7.3480,           -5.4614,          -13.3026,          -11.3118,          -11.0567,          -10.5203,          -11.3189,           -0.4016,           -0.4234,            7.5253,
Ref 10,4.84173e-08,,,,,,1.1958e-02,4.1990e-03,4.8903e-05,4.6316e-06,4.6446e-08,,,,,,,,,,,
Sam 10,4.71817e-08,1.18699e-02,4.1761e-03,4.8250e-05,4.5791e-06,4.5960e-08,,,,,,           -7.3326,           -5.4561,          -13.4222,          -11.5662,            4.3164,          -10.5042,          -11.3136,           -0.5439,           -0.6914,           23.1595,
Ref 11,4.75140e-08,,,,,,1.1958e-02,4.1990e-03,4.8909e-05,4.6338e-06,4.5067e-08,,,,,,,,,,,
Sam 11,4.62571e-08,1.18698e-02,4.1762e-03,4.8255e-05,4.5785e-06,4.3330e-08,,,,,,           -7.3353,           -5.4478,          -13.3933,          -11.7923,          -40.2838,          -10.5073,          -11.3054,           -0.5200,           -0.9365,          -22.2905,
Ref 12,4.66280e-08,,,,,,1.1957e-02,4.1990e-03,4.8911e-05,4.6325e-06,4.5233e-08,,,,,,,,,,,
Sam 12,4.53528e-08,1.18698e-02,4.1762e-03,4.8260e-05,4.5809e-06,4.5590e-08,,,,,,           -7.3290,           -5.4466,          -13.2751,          -11.0401,            9.1372,          -10.5007,          -11.3042,           -0.4080,           -0.1786,           28.0475,
Ref 13,4.57772e-08,,,,,,1.1957e-02,4.1991e-03,4.8907e-05,4.6317e-06,4.5120e-08,,,,,,,,,,,
Sam 13,4.44747e-08,1.18697e-02,4.1762e-03,4.8259e-05,4.5821e-06,4.5026e-08,,,,,,           -7.3365,           -5.4598,          -13.3357,          -10.9098,           -0.2693,          -10.5082,          -11.3174,           -0.4486,           -0.0202,           18.4997,
Ref 14,4.49429e-08,,,,,,1.1958e-02,4.1992e-03,4.8915e-05,4.6336e-06,4.4955e-08,,,,,,,,,,,
Sam 14,4.36219e-08,1.18698e-02,4.1763e-03,4.8265e-05,4.5823e-06,4.4374e-08,,,,,,           -7.3303,           -5.4600,          -13.2190,          -11.0749,          -23.3231,          -10.5016,          -11.3175,           -0.3367,           -0.1869,           -4.9933,
Ref 15,4.41194e-08,,,,,,1.1957e-02,4.1992e-03,4.8908e-05,4.6335e-06,4.5920e-08,,,,,,,,,,,
Sam 15,4.27839e-08,1.18698e-02,4.1763e-03,4.8262e-05,4.5786e-06,4.4110e-08,,,,,,           -7.3352,           -5.4563,          -13.2334,          -11.5157,          -16.6913,          -10.5070,          -11.3139,           -0.3497,           -0.6399,            1.7610,
Ref 16,4.33087e-08,,,,,,1.1958e-02,4.1991e-03,4.8910e-05,4.6303e-06,4.3778e-08,,,,,,,,,,,
Sam 16,4.19656e-08,1.18697e-02,4.1763e-03,4.8269e-05,4.5810e-06,4.5584e-08,,,,,,           -7.3422,           -5.4520,          -13.1536,          -10.8972,           39.8336,          -10.5145,          -11.3096,           -0.2659,           -0.0232,           59.3455,
Ref 17,4.25257e-08,,,,,,1.1958e-02,4.1992e-03,4.8915e-05,4.6325e-06,4.3899e-08,,,,,,,,,,,
Sam 17,4.11713e-08,1.18697e-02,4.1763e-03,4.8265e-05,4.5809e-06,4.3632e-08,,,,,,           -7.3448,           -5.4523,          -13.3439,          -11.2357,          -16.4956,          -10.5173,          -11.3099,           -0.4557,           -0.3648,            1.9628,
Ref 18,4.17677e-08,,,,,,1.1957e-02,4.1992e-03,4.8920e-05,4.6333e-06,4.4837e-08,,,,,,,,,,,
Sam 18,4.03945e-08,1.18697e-02,4.1764e-03,4.8260e-05,4.5831e-06,4.6653e-08,,,,,,           -7.3388,           -5.4361,          -13.4538,          -10.9270,           22.1720,          -10.5115,          -11.2938,           -0.5892,           -0.0853,           41.3160,
Ref 19,4.10202e-08,,,,,,1.1957e-02,4.1992e-03,4.8917e-05,4.6341e-06,4.6460e-08,,,,,,,,,,,
Sam 19,3.96557e-08,1.18698e-02,4.1764e-03,4.8271e-05,4.5826e-06,4.6413e-08,,,,,,           -7.3237,           -5.4300,          -13.2587,          -10.9703,           -8.8782,          -10.4956,          -11.2877,           -0.4134,           -0.1414,            9.6556,
Ref 20,4.02983e-08,,,,,,1.1957e-02,4.1992e-03,4.8922e-05,4.6327e-06,4.7204e-08,,,,,,,,,,,
Sam 20,3.89136e-08,1.18695e-02,4.1763e-03,4.8265e-05,4.5796e-06,4.7408e-08,,,,,,           -7.3439,           -5.4526,          -13.3835,          -11.4970,           11.6227,          -10.5164,          -11.3102,           -0.4964,           -0.6284,           30.6084,
Ref 21,3.95972e-08,,,,,,1.1957e-02,4.1992e-03,4.8918e-05,4.6329e-06,4.6518e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.92504e-08,,,,,,1.1957e-02,4.1992e-03,4.8919e-05,4.6328e-06,4.7967e-08,
Sam 1,3.78466e-08,1.18697e-02,4.1764e-03,4.8274e-05,4.5834e-06,4.5986e-08,,,,,,           -7.3329,           -5.4540,          -13.2762,          -10.6874,          -43.1414,          -10.5046,          -11.3116,           -0.3978,            0.1929,          -25.1923,
Ref 2,3.85686e-08,,,,,,1.1957e-02,4.1993e-03,4.8927e-05,4.6331e-06,4.8152e-08,,,,,,,,,,,
Sam 2,3.71484e-08,1.18696e-02,4.1763e-03,4.8273e-05,4.5820e-06,4.8246e-08,,,,,,           -7.3372,           -5.4708,          -13.3226,          -10.9689,           -2.1042,          -10.5086,          -11.3283,           -0.4237,           -0.0580,           16.6532,
Ref 3,3.79020e-08,,,,,,1.1957e-02,4.1994e-03,4.8922e-05,4.6326e-06,4.8546e-08,,,,,,,,,,,
Sam 3,3.64688e-08,1.18696e-02,4.1764e-03,4.8272e-05,4.5798e-06,4.8370e-08,,,,,,           -7.3385,           -5.4629,          -13.2992,          -11.6025,          -14.4032,          -10.5103,          -11.3204,           -0.4064,           -0.7144,            4.1087,
Ref 4,3.72423e-08,,,,,,1.1957e-02,4.1993e-03,4.8923e-05,4.6345e-06,4.9617e-08,,,,,,,,,,,
Sam 4,3.58075e-08,1.18696e-02,4.1764e-03,4.8272e-05,4.5830e-06,4.7805e-08,,,,,,           -7.3334,           -5.4439,          -13.3228,          -11.0009,          -21.8596,          -10.5054,          -11.3015,           -0.4545,           -0.1444,           -3.5307,
Ref 5,3.66013e-08,,,,,,1.1957e-02,4.1993e-03,4.8924e-05,4.6333e-06,4.8117e-08,,,,,,,,,,,
Sam 5,3.51670e-08,1.18696e-02,4.1765e-03,4.8279e-05,4.5822e-06,4.6571e-08,,,,,,           -7.3275,           -5.4434,          -13.2322,          -11.3044,          -32.1139,          -10.4992,          -11.3010,           -0.3693,           -0.4522,          -13.9844,
Ref 6,3.59819e-08,,,,,,1.1957e-02,4.1993e-03,4.8928e-05,4.6359e-06,4.8115e-08,,,,,,,,,,,
Sam 6,3.45438e-08,1.18696e-02,4.1764e-03,4.8275e-05,4.5824e-06,4.8219e-08,,,,,,           -7.3275,           -5.4656,          -13.3515,          -11.1985,            8.9863,          -10.4984,          -11.3231,           -0.4681,           -0.3005,           27.9309,
Ref 7,3.53693e-08,,,,,,1.1957e-02,4.1993e-03,4.8928e-05,4.6325e-06,4.7457e-08,,,,,,,,,,,
Sam 7,3.39322e-08,1.18695e-02,4.1765e-03,4.8271e-05,4.5820e-06,4.6637e-08,,,,,,           -7.3292,           -5.4426,          -13.3364,          -11.0234,           -4.9899,          -10.5010,          -11.3002,           -0.4739,           -0.1697,           13.6479,
Ref 8,3.47736e-08,,,,,,1.1957e-02,4.1993e-03,4.8919e-05,4.6337e-06,4.6275e-08,,,,,,,,,,,
Sam 8,3.33401e-08,1.18695e-02,4.1764e-03,4.8274e-05,4.5824e-06,4.6414e-08,,,,,,           -7.3354,           -5.4461,          -13.2738,          -10.8486,           -8.7361,          -10.5074,          -11.3037,           -0.4006,            0.0141,            9.8454,
Ref 9,3.41883e-08,,,,,,1.1957e-02,4.1993e-03,4.8927e-05,4.6317e-06,4.7381e-08,,,,,,,,,,,
Sam 9,3.27614e-08,1.18694e-02,4.1765e-03,4.8280e-05,4.5835e-06,4.6541e-08,,,,,,           -7.3415,           -5.4464,          -13.2571,          -10.8396,           -4.7370,          -10.5139,          -11.3040,           -0.3770,            0.0238,           13.9266,
Ref 10,3.36245e-08,,,,,,1.1957e-02,4.1993e-03,4.8930e-05,4.6359e-06,4.6133e-08,,,,,,,,,,,
Sam 10,3.22025e-08,1.18694e-02,4.1764e-03,4.8274e-05,4.5836e-06,4.6505e-08,,,,,,           -7.3343,           -5.4524,          -13.3784,          -10.8529,            3.5853,          -10.5061,          -11.3100,           -0.5014,            0.0224,           22.4092,
Ref 11,3.30760e-08,,,,,,1.1957e-02,4.1994e-03,4.8928e-05,4.6319e-06,4.6547e-08,,,,,,,,,,,
Sam 11,3.16571e-08,1.18694e-02,4.1765e-03,4.8279e-05,4.5823e-06,4.6668e-08,,,,,,           -7.3401,           -5.4388,          -13.2097,          -11.0087,          -15.0456,          -10.5127,          -11.2964,           -0.3380,           -0.1625,            3.4081,
Ref 12,3.25313e-08,,,,,,1.1957e-02,4.1992e-03,4.8924e-05,4.6347e-06,4.8228e-08,,,,,,,,,,,
Sam 12,3.11166e-08,1.18693e-02,4.1764e-03,4.8275e-05,4.5830e-06,4.5904e-08,,,,,,           -7.3376,           -5.4497,          -13.3413,          -11.4471,          -26.6467,          -10.5097,          -11.3073,           -0.4631,           -0.5838,           -8.3916,
Ref 13,3.19982e-08,,,,,,1.1957e-02,4.1993e-03,4.8932e-05,4.6375e-06,4.6075e-08,,,,,,,,,,,
Sam 13,3.05961e-08,1.18694e-02,4.1764e-03,4.8279e-05,4.5786e-06,4.6825e-08,,,,,,           -7.3254,           -5.4643,          -13.3269,          -12.3837,            6.7361,          -10.4963,          -11.3219,           -0.4467,           -1.5013,           25.6335,
Ref 14,3.14824e-08,,,,,,1.1957e-02,4.1994e-03,4.8930e-05,4.6345e-06,4.6955e-08,,,,,,,,,,,
Sam 14,3.00882e-08,1.18693e-02,4.1765e-03,4.8280e-05,4.5818e-06,4.5910e-08,,,,,,           -7.3364,           -5.4469,          -13.2666,          -11.3838,          -61.5275,          -10.5086,          -11.3045,           -0.3914,           -0.5254,          -43.9330,
Ref 15,3.09752e-08,,,,,,1.1957e-02,4.1994e-03,4.8928e-05,4.6346e-06,5.0916e-08,,,,,,,,,,,
Sam 15,2.95905e-08,1.18692e-02,4.1764e-03,4.8281e-05,4.5811e-06,4.6640e-08,,,,,,           -7.3383,           -5.4469,          -13.2058,          -11.5358,          -32.1227,          -10.5105,          -11.3045,           -0.3280,           -0.6791,          -13.9751,
Ref 16,3.04905e-08,,,,,,1.1957e-02,4.1993e-03,4.8926e-05,4.6345e-06,4.5415e-08,,,,,,,,,,,
Sam 16,2.91016e-08,1.18692e-02,4.1764e-03,4.8279e-05,4.5801e-06,4.4461e-08,,,,,,           -7.3296,           -5.4396,          -13.2152,          -11.6344,          -37.9626,          -10.5015,          -11.2973,           -0.3537,           -0.7934,          -19.9477,
Ref 17,2.99953e-08,,,,,,1.1957e-02,4.1992e-03,4.8926e-05,4.6336e-06,4.7030e-08,,,,,,,,,,,
Sam 17,2.86121e-08,1.18689e-02,4.1763e-03,4.8280e-05,4.5826e-06,4.6222e-08,,,,,,           -7.3357,           -5.4474,          -13.2043,          -11.1919,          -20.8526,          -10.5078,          -11.3050,           -0.3285,           -0.3305,           -2.4954,
Ref 18,2.95242e-08,,,,,,1.1957e-02,4.1992e-03,4.8926e-05,4.6354e-06,4.7386e-08,,,,,,,,,,,
Sam 18,2.81424e-08,1.18689e-02,4.1764e-03,4.8270e-05,4.5834e-06,4.7533e-08,,,,,,           -7.3376,           -5.4429,          -13.4741,          -11.0313,           19.3639,          -10.5099,          -11.3005,           -0.6044,           -0.1770,           38.4678,
Ref 19,2.90624e-08,,,,,,1.1957e-02,4.1992e-03,4.8934e-05,4.6336e-06,4.5863e-08,,,,,,,,,,,
Sam 19,2.76891e-08,1.18690e-02,4.1763e-03,4.8281e-05,4.5833e-06,4.7085e-08,,,,,,           -7.3353,           -5.4569,          -13.3048,          -10.9700,           36.9813,          -10.5070,          -11.3145,           -0.4214,           -0.0870,           56.4421,
Ref 20,2.86158e-08,,,,,,1.1957e-02,4.1993e-03,4.8930e-05,4.6346e-06,4.4941e-08,,,,,,,,,,,
Sam 20,2.72436e-08,1.18689e-02,4.1764e-03,4.8280e-05,4.5819e-06,4.5656e-08,,,,,,           -7.3251,           -5.4513,          -13.2608,          -11.4942,          -23.0996,          -10.4964,          -11.3089,           -0.3929,           -0.6283,           -4.7881,
Ref 21,2.81712e-08,,,,,,1.1956e-02,4.1992e-03,4.8928e-05,4.6359e-06,4.8558e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.79522e-08,,,,,,1.1957e-02,4.1992e-03,4.8936e-05,4.6344e-06,4.5836e-08,
Sam 1,2.65914e-08,1.18688e-02,4.1763e-03,4.8291e-05,4.5885e-06,4.6769e-08,,,,,,           -7.3292,           -5.4457,          -13.1458,           -9.7272,          -11.4279,          -10.5010,          -11.3033,           -0.2777,            1.1469,            7.0956,
Ref 2,2.75256e-08,,,,,,1.1956e-02,4.1992e-03,4.8932e-05,4.6327e-06,4.8807e-08,,,,,,,,,,,
Sam 2,2.61694e-08,1.18685e-02,4.1763e-03,4.8288e-05,4.5834e-06,4.5460e-08,,,,,,           -7.3496,           -5.4504,          -13.1448,          -11.0332,          -58.8518,          -10.5224,          -11.3079,           -0.2510,           -0.1640,          -41.1871,
Ref 3,2.71083e-08,,,,,,1.1956e-02,4.1992e-03,4.8930e-05,4.6365e-06,4.7790e-08,,,,,,,,,,,
Sam 3,2.57609e-08,1.18687e-02,4.1763e-03,4.8284e-05,4.5834e-06,4.7062e-08,,,,,,           -7.3385,           -5.4416,          -13.2821,          -10.6425,           -2.5773,          -10.5110,          -11.2992,           -0.4102,            0.2134,           16.1139,
Ref 4,2.66949e-08,,,,,,1.1956e-02,4.1991e-03,4.8939e-05,4.6288e-06,4.6568e-08,,,,,,,,,,,
Sam 4,2.53575e-08,1.18688e-02,4.1763e-03,4.8278e-05,4.5844e-06,4.4546e-08,,,,,,           -7.3289,           -5.4392,          -13.3999,          -10.3430,          -37.0678,          -10.5008,          -11.2969,           -0.5418,            0.5114,          -19.0376,
Ref 5,2.62917e-08,,,,,,1.1956e-02,4.1991e-03,4.8929e-05,4.6359e-06,4.5949e-08,,,,,,,,,,,
Sam 5,2.49654e-08,1.18687e-02,4.1763e-03,4.8283e-05,4.5846e-06,4.4959e-08,,,,,,           -7.3340,           -5.4473,          -13.2968,          -11.0999,          -24.2705,          -10.5059,          -11.3049,           -0.4242,           -0.2376,           -5.9794,
Ref 6,2.58967e-08,,,,,,1.1956e-02,4.1992e-03,4.8938e-05,4.6362e-06,4.6208e-08,,,,,,,,,,,
Sam 6,2.45811e-08,1.18686e-02,4.1763e-03,4.8279e-05,4.5803e-06,4.5203e-08,,,,,,           -7.3450,           -5.4401,          -13.3849,          -11.6897,          -25.5736,          -10.5180,          -11.2977,           -0.5090,           -0.8484,           -7.3094,
Ref 7,2.55122e-08,,,,,,1.1957e-02,4.1992e-03,4.8930e-05,4.6327e-06,4.6575e-08,,,,,,,,,,,
Sam 7,2.42064e-08,1.18686e-02,4.1763e-03,4.8280e-05,4.5829e-06,4.3665e-08,,,,,,           -7.3454,           -5.4314,          -13.2948,          -10.8389,          -38.5843,          -10.5186,          -11.2891,           -0.4260,           -0.0057,          -20.5803,
Ref 8,2.51352e-08,,,,,,1.1956e-02,4.1991e-03,4.8931e-05,4.6337e-06,4.4243e-08,,,,,,,,,,,
Sam 8,2.38382e-08,1.18684e-02,4.1762e-03,4.8280e-05,4.5818e-06,4.3882e-08,,,,,,           -7.3492,           -5.4702,          -13.3767,          -11.0233,           -6.1760,          -10.5214,          -11.3276,           -0.4667,           -0.1142,           12.5166,
Ref 9,2.47657e-08,,,,,,1.1956e-02,4.1991e-03,4.8938e-05,4.6321e-06,4.4065e-08,,,,,,,,,,,
Sam 9,2.34796e-08,1.18685e-02,4.1762e-03,4.8295e-05,4.5829e-06,4.3417e-08,,,,,,           -7.3405,           -5.4540,          -13.1574,          -10.9489,          -57.6465,          -10.5126,          -11.3115,           -0.2696,           -0.0716,          -39.9617,
Ref 10,2.43999e-08,,,,,,1.1956e-02,4.1991e-03,4.8940e-05,4.6351e-06,4.8111e-08,,,,,,,,,,,
Sam 10,2.31289e-08,1.18684e-02,4.1762e-03,4.8288e-05,4.5825e-06,4.3944e-08,,,,,,           -7.3381,           -5.4539,          -13.2911,          -10.9128,          -64.6583,          -10.5100,          -11.3114,           -0.4076,           -0.0352,          -47.1077,
Ref 11,2.40508e-08,,,,,,1.1956e-02,4.1990e-03,4.8937e-05,4.6310e-06,4.5836e-08,,,,,,,,,,,
Sam 11,2.27876e-08,1.18683e-02,4.1763e-03,4.8280e-05,4.5798e-06,4.3472e-08,,,,,,           -7.3353,           -5.4283,          -13.3459,          -11.1833,          -51.8922,          -10.5080,          -11.2860,           -0.4912,           -0.3600,          -34.1537,
Ref 12,2.37027e-08,,,,,,1.1956e-02,4.1991e-03,4.8930e-05,4.6323e-06,4.5868e-08,,,,,,,,,,,
Sam 12,2.24519e-08,1.18682e-02,4.1761e-03,4.8281e-05,4.5834e-06,4.5628e-08,,,,,,           -7.3447,           -5.4656,          -13.2745,          -10.5551,            1.5326,          -10.5167,          -11.3231,           -0.3724,            0.3500,           20.3559,
Ref 13,2.33620e-08,,,,,,1.1956e-02,4.1990e-03,4.8931e-05,4.6324e-06,4.5243e-08,,,,,,,,,,,
Sam 13,2.21217e-08,1.18683e-02,4.1762e-03,4.8288e-05,4.5781e-06,4.4506e-08,,,,,,           -7.3398,           -5.4334,          -13.2477,          -12.1109,          -21.8445,          -10.5126,          -11.2911,           -0.3822,           -1.2876,           -3.5291,
Ref 14,2.30275e-08,,,,,,1.1956e-02,4.1989e-03,4.8941e-05,4.6361e-06,4.5760e-08,,,,,,,,,,,
Sam 14,2.17969e-08,1.18681e-02,4.1761e-03,4.8273e-05,4.5825e-06,4.2692e-08,,,,,,           -7.3451,           -5.4454,          -13.6351,          -11.1632,          -75.4899,          -10.5179,          -11.3030,           -0.7572,           -0.3055,          -58.1513,
Ref 15,2.26928e-08,,,,,,1.1956e-02,4.1990e-03,4.8940e-05,4.6323e-06,4.6601e-08,,,,,,,,,,,
Sam 15,2.14789e-08,1.18681e-02,4.1761e-03,4.8289e-05,4.5778e-06,4.4348e-08,,,,,,           -7.3425,           -5.4569,          -13.2155,          -11.8125,          -36.7944,          -10.5147,          -11.3144,           -0.3235,           -0.9388,          -18.7105,
Ref 16,2.23778e-08,,,,,,1.1956e-02,4.1990e-03,4.8931e-05,4.6327e-06,4.5475e-08,,,,,,,,,,,
Sam 16,2.11679e-08,1.18681e-02,4.1761e-03,4.8287e-05,4.5836e-06,4.5405e-08,,,,,,           -7.3339,           -5.4512,          -13.2807,          -10.7977,           48.1628,          -10.5057,          -11.3088,           -0.4041,            0.0757,           67.8197,
Ref 17,2.20631e-08,,,,,,1.1956e-02,4.1990e-03,4.8943e-05,4.6347e-06,4.1131e-08,,,,,,,,,,,
Sam 17,2.08652e-08,1.18681e-02,4.1762e-03,4.8288e-05,4.5822e-06,3.9139e-08,,,,,,           -7.3261,           -5.4339,          -13.3376,          -11.0788,          -52.9118,          -10.4980,          -11.2916,           -0.4870,           -0.2432,          -35.1914,
Ref 18,2.17516e-08,,,,,,1.1956e-02,4.1990e-03,4.8938e-05,4.6323e-06,4.1523e-08,,,,,,,,,,,
Sam 18,2.05640e-08,1.18679e-02,4.1761e-03,4.8281e-05,4.5839e-06,4.2964e-08,,,,,,           -7.3361,           -5.4460,          -13.3303,          -10.5575,           14.7493,          -10.5082,          -11.3036,           -0.4573,            0.3081,           33.7714,
Ref 19,2.14485e-08,,,,,,1.1956e-02,4.1990e-03,4.8928e-05,4.6332e-06,4.3168e-08,,,,,,,,,,,
Sam 19,2.02697e-08,1.18680e-02,4.1761e-03,4.8274e-05,4.5793e-06,4.3668e-08,,,,,,           -7.3317,           -5.4457,          -13.4004,          -11.0564,          -21.6243,          -10.5035,          -11.3033,           -0.5332,           -0.1969,           -3.2893,
Ref 20,2.11510e-08,,,,,,1.1956e-02,4.1989e-03,4.8932e-05,4.6277e-06,4.6118e-08,,,,,,,,,,,
