Nu Stable Isotope Analysis Program
Data Collected on Tuesday, October 24, 2023 at 12:22 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, October 24, 2023 at 13:21 with Stable 1.71.5 on PS019

Data File = Data_20660 ETH-03.txt,        Sample Weight = 477,                      Vial Location = 1,                        Initial Sam Beam = 2.5022e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2217e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02168
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.38740e-08,,,,,,1.1879e-02,4.1802e-03,4.8667e-05,4.4649e-06,7.4542e-08,
Sam 1,9.26465e-08,1.19307e-02,4.2292e-03,4.9446e-05,4.5706e-06,7.9700e-08,,,,,,            4.3610,           11.6854,           16.0222,           23.2846,           64.7637,            1.3475,            5.7194,           -0.0230,           -0.2176,           35.9012,
Ref 2,9.16039e-08,,,,,,1.1879e-02,4.1805e-03,4.8666e-05,4.4684e-06,7.5171e-08,,,,,,,,,,,
Sam 2,9.05193e-08,1.19310e-02,4.2293e-03,4.9450e-05,4.5724e-06,7.9090e-08,,,,,,            4.3525,           11.6699,           16.0985,           23.2393,           46.8468,            1.3389,            5.7040,            0.0759,           -0.2313,           18.5098,
Ref 3,8.94852e-08,,,,,,1.1879e-02,4.1805e-03,4.8668e-05,4.4687e-06,7.5940e-08,,,,,,,,,,,
Sam 3,8.84727e-08,1.19311e-02,4.2293e-03,4.9447e-05,4.5716e-06,7.9163e-08,,,,,,            4.3570,           11.6761,           16.0509,           23.0891,           46.0889,            1.3434,            5.7101,            0.0186,           -0.3902,           17.7555,
Ref 4,8.74208e-08,,,,,,1.1879e-02,4.1805e-03,4.8664e-05,4.4682e-06,7.5405e-08,,,,,,,,,,,
Sam 4,8.64807e-08,1.19311e-02,4.2293e-03,4.9445e-05,4.5731e-06,7.9401e-08,,,,,,            4.3560,           11.6706,           16.0226,           23.4924,           51.2889,            1.3426,            5.7047,           -0.0030,            0.0147,           22.8266,
Ref 5,8.54338e-08,,,,,,1.1879e-02,4.1805e-03,4.8666e-05,4.4681e-06,7.5652e-08,,,,,,,,,,,
Sam 5,8.45605e-08,1.19311e-02,4.2293e-03,4.9447e-05,4.5733e-06,7.8994e-08,,,,,,            4.3478,           11.6710,           16.0468,           23.5130,           44.4966,            1.3338,            5.7050,            0.0289,            0.0341,           16.2263,
Ref 6,8.35070e-08,,,,,,1.1879e-02,4.1805e-03,4.8665e-05,4.4684e-06,7.5605e-08,,,,,,,,,,,
Sam 6,8.27050e-08,1.19311e-02,4.2293e-03,4.9440e-05,4.5728e-06,7.9668e-08,,,,,,            4.3544,           11.6773,           15.9133,           23.4229,           51.4368,            1.3406,            5.7113,           -0.1154,           -0.0666,           22.9589,
Ref 7,8.16440e-08,,,,,,1.1879e-02,4.1805e-03,4.8666e-05,4.4679e-06,7.5940e-08,,,,,,,,,,,
Sam 7,8.09041e-08,1.19311e-02,4.2293e-03,4.9443e-05,4.5708e-06,7.9585e-08,,,,,,            4.3532,           11.6681,           15.9844,           23.1995,           47.5998,            1.3397,            5.7022,           -0.0353,           -0.2666,           19.2454,
Ref 8,7.98398e-08,,,,,,1.1879e-02,4.1805e-03,4.8664e-05,4.4664e-06,7.5998e-08,,,,,,,,,,,
Sam 8,7.91615e-08,1.19311e-02,4.2293e-03,4.9439e-05,4.5707e-06,7.9358e-08,,,,,,            4.3581,           11.6662,           15.8729,           23.1415,           40.4079,            1.3450,            5.7003,           -0.1482,           -0.3195,           12.2466,
Ref 9,7.80962e-08,,,,,,1.1879e-02,4.1805e-03,4.8669e-05,4.4683e-06,7.6560e-08,,,,,,,,,,,
Sam 9,7.74824e-08,1.19309e-02,4.2292e-03,4.9438e-05,4.5721e-06,7.9811e-08,,,,,,            4.3520,           11.6671,           15.8426,           23.4040,           44.0769,            1.3384,            5.7012,           -0.1726,           -0.0648,           15.8211,
Ref 10,7.64193e-08,,,,,,1.1879e-02,4.1804e-03,4.8664e-05,4.4668e-06,7.6321e-08,,,,,,,,,,,
Sam 10,7.58862e-08,1.19309e-02,4.2292e-03,4.9444e-05,4.5714e-06,7.8638e-08,,,,,,            4.3559,           11.6746,           16.0051,           23.4088,           28.0013,            1.3424,            5.7086,           -0.0241,           -0.0749,            0.1618,
Ref 11,7.51312e-08,,,,,,1.1879e-02,4.1804e-03,4.8666e-05,4.4669e-06,7.6675e-08,,,,,,,,,,,
Sam 11,7.44417e-08,1.19308e-02,4.2291e-03,4.9439e-05,4.5703e-06,7.9506e-08,,,,,,            4.3479,           11.6676,           15.9346,           23.1999,           39.5994,            1.3341,            5.7017,           -0.0784,           -0.2652,           11.4681,
Ref 12,7.32321e-08,,,,,,1.1879e-02,4.1804e-03,4.8662e-05,4.4665e-06,7.6275e-08,,,,,,,,,,,
Sam 12,7.27884e-08,1.19307e-02,4.2291e-03,4.9437e-05,4.5695e-06,7.9541e-08,,,,,,            4.3539,           11.6595,           15.9122,           23.1239,           42.3226,            1.3408,            5.6936,           -0.0988,           -0.3235,           14.1271,
Ref 13,7.17223e-08,,,,,,1.1879e-02,4.1804e-03,4.8663e-05,4.4658e-06,7.6348e-08,,,,,,,,,,,
Sam 13,7.13158e-08,1.19307e-02,4.2291e-03,4.9433e-05,4.5694e-06,7.9651e-08,,,,,,            4.3603,           11.6598,           15.8415,           23.1261,           43.2929,            1.3475,            5.6938,           -0.1750,           -0.3218,           15.0638,
Ref 14,7.02429e-08,,,,,,1.1879e-02,4.1803e-03,4.8662e-05,4.4663e-06,7.6344e-08,,,,,,,,,,,
Sam 14,6.98843e-08,1.19306e-02,4.2291e-03,4.9435e-05,4.5689e-06,7.9441e-08,,,,,,            4.3552,           11.6723,           15.8714,           22.9315,           43.1851,            1.3417,            5.7063,           -0.1526,           -0.5367,           14.9397,
Ref 15,6.87872e-08,,,,,,1.1879e-02,4.1803e-03,4.8664e-05,4.4666e-06,7.5956e-08,,,,,,,,,,,
Sam 15,6.84872e-08,1.19305e-02,4.2290e-03,4.9436e-05,4.5697e-06,7.9380e-08,,,,,,            4.3554,           11.6664,           15.9564,           23.1578,           45.7471,            1.3422,            5.7005,           -0.0635,           -0.3040,           17.4437,
Ref 16,6.74075e-08,,,,,,1.1879e-02,4.1803e-03,4.8656e-05,4.4659e-06,7.5858e-08,,,,,,,,,,,
Sam 16,6.73032e-08,1.19304e-02,4.2290e-03,4.9436e-05,4.5699e-06,7.9493e-08,,,,,,            4.3541,           11.6591,           16.0064,           23.4840,           41.5825,            1.3409,            5.6932,           -0.0058,            0.0291,           13.4076,
Ref 17,6.61398e-08,,,,,,1.1879e-02,4.1802e-03,4.8659e-05,4.4643e-06,7.6790e-08,,,,,,,,,,,
Sam 17,6.59885e-08,1.19304e-02,4.2289e-03,4.9435e-05,4.5691e-06,7.9803e-08,,,,,,            4.3534,           11.6570,           15.9639,           23.3659,           38.8884,            1.3403,            5.6911,           -0.0449,           -0.0821,           10.7914,
Ref 18,6.48265e-08,,,,,,1.1879e-02,4.1802e-03,4.8657e-05,4.4653e-06,7.6842e-08,,,,,,,,,,,
Sam 18,6.47007e-08,1.19302e-02,4.2290e-03,4.9431e-05,4.5700e-06,7.9313e-08,,,,,,            4.3384,           11.6605,           15.8961,           23.4214,           33.2893,            1.3243,            5.6946,           -0.0997,           -0.0348,            5.3528,
Ref 19,6.34406e-08,,,,,,1.1879e-02,4.1802e-03,4.8659e-05,4.4655e-06,7.6672e-08,,,,,,,,,,,
Sam 19,6.33193e-08,1.19303e-02,4.2289e-03,4.9431e-05,4.5688e-06,7.9479e-08,,,,,,            4.3607,           11.6576,           15.9251,           23.3214,           41.0357,            1.3480,            5.6917,           -0.0911,           -0.1266,           12.8717,
Ref 20,6.22513e-08,,,,,,1.1878e-02,4.1801e-03,4.8653e-05,4.4640e-06,7.6014e-08,,,,,,,,,,,
Sam 20,6.21881e-08,1.19302e-02,4.2289e-03,4.9429e-05,4.5689e-06,7.8941e-08,,,,,,            4.3613,           11.6701,           15.9195,           23.3012,           35.6347,            1.3483,            5.7041,           -0.1094,           -0.1712,            7.5915,
Ref 21,6.10816e-08,,,,,,1.1878e-02,4.1801e-03,4.8656e-05,4.4658e-06,7.6439e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.04951e-08,,,,,,1.1878e-02,4.1800e-03,4.8657e-05,4.4632e-06,7.4183e-08,
Sam 1,6.04270e-08,1.19300e-02,4.2288e-03,4.9434e-05,4.5680e-06,8.0451e-08,,,,,,            4.3519,           11.6820,           15.9681,           23.3968,           64.6484,            1.3378,            5.7160,           -0.0635,           -0.1013,           35.8059,
Ref 2,5.93408e-08,,,,,,1.1878e-02,4.1800e-03,4.8658e-05,4.4640e-06,7.6976e-08,,,,,,,,,,,
Sam 2,5.93035e-08,1.19300e-02,4.2288e-03,4.9428e-05,4.5666e-06,7.9292e-08,,,,,,            4.3540,           11.6706,           15.8897,           23.1063,           32.3428,            1.3405,            5.7046,           -0.1318,           -0.3625,            4.3955,
Ref 3,5.81575e-08,,,,,,1.1878e-02,4.1801e-03,4.8651e-05,4.4630e-06,7.6636e-08,,,,,,,,,,,
Sam 3,5.81503e-08,1.19300e-02,4.2288e-03,4.9430e-05,4.5686e-06,7.9840e-08,,,,,,            4.3571,           11.6600,           16.0162,           23.6700,           34.6239,            1.3441,            5.6941,            0.0000,            0.2092,            6.6324,
Ref 4,5.70650e-08,,,,,,1.1878e-02,4.1801e-03,4.8651e-05,4.4629e-06,7.7711e-08,,,,,,,,,,,
Sam 4,5.70867e-08,1.19298e-02,4.2288e-03,4.9427e-05,4.5663e-06,7.9417e-08,,,,,,            4.3500,           11.6548,           15.9261,           23.0634,           25.1235,            1.3367,            5.6889,           -0.0764,           -0.3733,           -2.5934,
Ref 5,5.59975e-08,,,,,,1.1878e-02,4.1800e-03,4.8652e-05,4.4639e-06,7.7226e-08,,,,,,,,,,,
Sam 5,5.60456e-08,1.19297e-02,4.2287e-03,4.9424e-05,4.5660e-06,7.9859e-08,,,,,,            4.3438,           11.6522,           15.8193,           22.9700,           31.5557,            1.3303,            5.6863,           -0.1727,           -0.4593,            3.6766,
Ref 6,5.50111e-08,,,,,,1.1878e-02,4.1800e-03,4.8657e-05,4.4631e-06,7.7609e-08,,,,,,,,,,,
Sam 6,5.50874e-08,1.19296e-02,4.2287e-03,4.9423e-05,4.5669e-06,7.9767e-08,,,,,,            4.3438,           11.6548,           15.8425,           23.2819,           22.1201,            1.3302,            5.6890,           -0.1524,           -0.1599,           -5.5092,
Ref 7,5.39873e-08,,,,,,1.1878e-02,4.1799e-03,4.8647e-05,4.4628e-06,7.8481e-08,,,,,,,,,,,
Sam 7,5.40709e-08,1.19296e-02,4.2287e-03,4.9427e-05,4.5655e-06,7.9934e-08,,,,,,            4.3537,           11.6695,           15.9745,           23.2080,           33.5570,            1.3402,            5.7036,           -0.0469,           -0.2610,            5.5794,
Ref 8,5.29835e-08,,,,,,1.1878e-02,4.1799e-03,4.8652e-05,4.4611e-06,7.6175e-08,,,,,,,,,,,
Sam 8,5.31087e-08,1.19295e-02,4.2286e-03,4.9421e-05,4.5656e-06,8.0339e-08,,,,,,            4.3501,           11.6500,           15.8266,           23.3816,           46.9541,            1.3370,            5.6841,           -0.1697,           -0.0529,           18.6564,
Ref 9,5.20251e-08,,,,,,1.1878e-02,4.1800e-03,4.8650e-05,4.4614e-06,7.7307e-08,,,,,,,,,,,
Sam 9,5.21732e-08,1.19294e-02,4.2286e-03,4.9434e-05,4.5659e-06,7.9894e-08,,,,,,            4.3530,           11.6478,           16.1151,           23.4038,           32.7633,            1.3402,            5.6819,            0.1134,           -0.0268,            4.8504,
Ref 10,5.11357e-08,,,,,,1.1878e-02,4.1799e-03,4.8650e-05,4.4616e-06,7.7413e-08,,,,,,,,,,,
Sam 10,5.12850e-08,1.19295e-02,4.2286e-03,4.9429e-05,4.5647e-06,8.1198e-08,,,,,,            4.3604,           11.6627,           16.0210,           23.0036,           52.1316,            1.3476,            5.6967,           -0.0013,           -0.4473,           23.6575,
Ref 11,5.03032e-08,,,,,,1.1878e-02,4.1799e-03,4.8649e-05,4.4625e-06,7.6931e-08,,,,,,,,,,,
Sam 11,5.04904e-08,1.19294e-02,4.2286e-03,4.9424e-05,4.5656e-06,8.0708e-08,,,,,,            4.3549,           11.6590,           15.9136,           23.2237,           57.3996,            1.3418,            5.6931,           -0.0978,           -0.2248,           28.7963,
Ref 12,4.93309e-08,,,,,,1.1878e-02,4.1799e-03,4.8650e-05,4.4616e-06,7.5711e-08,,,,,,,,,,,
Sam 12,4.96551e-08,1.19293e-02,4.2285e-03,4.9425e-05,4.5646e-06,7.9848e-08,,,,,,            4.3598,           11.6399,           15.9649,           23.3077,           40.9074,            1.3477,            5.6741,           -0.0338,           -0.1051,           12.7825,
Ref 13,4.84636e-08,,,,,,1.1878e-02,4.1799e-03,4.8648e-05,4.4598e-06,7.7726e-08,,,,,,,,,,,
Sam 13,4.87060e-08,1.19292e-02,4.2286e-03,4.9422e-05,4.5646e-06,8.0611e-08,,,,,,            4.3617,           11.6492,           15.8613,           23.5427,           39.6338,            1.3494,            5.6833,           -0.1468,            0.1061,           11.5230,
Ref 14,4.76226e-08,,,,,,1.1877e-02,4.1799e-03,4.8653e-05,4.4594e-06,7.7345e-08,,,,,,,,,,,
Sam 14,4.78976e-08,1.19292e-02,4.2285e-03,4.9425e-05,4.5621e-06,7.9940e-08,,,,,,            4.3605,           11.6391,           15.8784,           23.0262,           41.0514,            1.3485,            5.6733,           -0.1190,           -0.3786,           12.9234,
Ref 15,4.68097e-08,,,,,,1.1877e-02,4.1798e-03,4.8652e-05,4.4594e-06,7.6221e-08,,,,,,,,,,,
Sam 15,4.71020e-08,1.19290e-02,4.2286e-03,4.9429e-05,4.5617e-06,8.0007e-08,,,,,,            4.3516,           11.6606,           16.0224,           22.8990,           54.2054,            1.3383,            5.6947,            0.0110,           -0.5454,           25.6889,
Ref 16,4.60095e-08,,,,,,1.1877e-02,4.1798e-03,4.8646e-05,4.4597e-06,7.5560e-08,,,,,,,,,,,
Sam 16,4.63313e-08,1.19291e-02,4.2286e-03,4.9422e-05,4.5632e-06,7.9984e-08,,,,,,            4.3603,           11.6570,           15.9310,           23.0928,           48.9911,            1.3477,            5.6911,           -0.0844,           -0.3490,           20.6132,
Ref 17,4.52314e-08,,,,,,1.1877e-02,4.1798e-03,4.8649e-05,4.4607e-06,7.6947e-08,,,,,,,,,,,
Sam 17,4.55705e-08,1.19290e-02,4.2285e-03,4.9419e-05,4.5620e-06,8.0330e-08,,,,,,            4.3532,           11.6470,           15.8529,           22.7367,           38.1141,            1.3405,            5.6812,           -0.1443,           -0.6771,           10.0578,
Ref 18,4.44730e-08,,,,,,1.1877e-02,4.1798e-03,4.8647e-05,4.4605e-06,7.7821e-08,,,,,,,,,,,
Sam 18,4.48361e-08,1.19288e-02,4.2285e-03,4.9419e-05,4.5627e-06,7.9409e-08,,,,,,            4.3468,           11.6445,           15.8654,           23.3147,           23.4328,            1.3338,            5.6787,           -0.1229,           -0.1074,           -4.2152,
Ref 19,4.37330e-08,,,,,,1.1877e-02,4.1798e-03,4.8649e-05,4.4571e-06,7.7355e-08,,,,,,,,,,,
Sam 19,4.41170e-08,1.19289e-02,4.2284e-03,4.9429e-05,4.5629e-06,8.0950e-08,,,,,,            4.3597,           11.6322,           16.0485,           23.6812,           50.1962,            1.3478,            5.6664,            0.0561,            0.2751,           21.8358,
Ref 20,4.30099e-08,,,,,,1.1877e-02,4.1798e-03,4.8647e-05,4.4576e-06,7.6802e-08,,,,,,,,,,,
Sam 20,4.34083e-08,1.19288e-02,4.2284e-03,4.9420e-05,4.5621e-06,8.0504e-08,,,,,,            4.3562,           11.6443,           15.8737,           23.6659,           46.8729,            1.3437,            5.6785,           -0.1241,            0.2362,           18.5821,
Ref 21,4.23001e-08,,,,,,1.1877e-02,4.1797e-03,4.8648e-05,4.4556e-06,7.7000e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.19547e-08,,,,,,1.1877e-02,4.1797e-03,4.8644e-05,4.4573e-06,7.8593e-08,
Sam 1,4.23875e-08,1.19288e-02,4.2284e-03,4.9423e-05,4.5614e-06,7.9368e-08,,,,,,            4.3568,           11.6373,           15.9637,           23.2165,           11.4245,            1.3446,            5.6715,           -0.0294,           -0.1892,          -15.8956,
Ref 2,4.12707e-08,,,,,,1.1877e-02,4.1797e-03,4.8649e-05,4.4586e-06,7.8348e-08,,,,,,,,,,,
Sam 2,4.17432e-08,1.19287e-02,4.2284e-03,4.9421e-05,4.5595e-06,7.9034e-08,,,,,,            4.3501,           11.6487,           15.8506,           22.7590,            5.3669,            1.3371,            5.6828,           -0.1449,           -0.6586,          -21.8043,
Ref 3,4.06439e-08,,,,,,1.1877e-02,4.1797e-03,4.8650e-05,4.4575e-06,7.8879e-08,,,,,,,,,,,
Sam 3,4.11146e-08,1.19285e-02,4.2284e-03,4.9419e-05,4.5610e-06,7.9920e-08,,,,,,            4.3454,           11.6437,           15.8390,           23.3074,           20.0755,            1.3323,            5.6778,           -0.1466,           -0.1128,           -7.4787,
Ref 4,3.99953e-08,,,,,,1.1877e-02,4.1798e-03,4.8648e-05,4.4567e-06,7.7807e-08,,,,,,,,,,,
Sam 4,4.04462e-08,1.19285e-02,4.2284e-03,4.9422e-05,4.5614e-06,8.1749e-08,,,,,,            4.3509,           11.6401,           15.9783,           23.6971,           48.8749,            1.3383,            5.6743,           -0.0117,            0.2751,           20.5440,
Ref 5,3.93194e-08,,,,,,1.1877e-02,4.1797e-03,4.8642e-05,4.4549e-06,7.8076e-08,,,,,,,,,,,
Sam 5,3.98184e-08,1.19284e-02,4.2283e-03,4.9418e-05,4.5610e-06,8.0667e-08,,,,,,            4.3476,           11.6440,           15.9498,           23.7578,           42.9942,            1.3346,            5.6782,           -0.0402,            0.3265,           14.8179,
Ref 6,3.86896e-08,,,,,,1.1877e-02,4.1797e-03,4.8642e-05,4.4555e-06,7.6596e-08,,,,,,,,,,,
Sam 6,3.92026e-08,1.19285e-02,4.2283e-03,4.9417e-05,4.5597e-06,8.0479e-08,,,,,,            4.3659,           11.6487,           15.9274,           23.4099,           46.1513,            1.3539,            5.6829,           -0.0856,           -0.0227,           17.8607,
Ref 7,3.80740e-08,,,,,,1.1877e-02,4.1796e-03,4.8643e-05,4.4552e-06,7.7267e-08,,,,,,,,,,,
Sam 7,3.86118e-08,1.19284e-02,4.2283e-03,4.9420e-05,4.5581e-06,8.0113e-08,,,,,,            4.3654,           11.6422,           15.9653,           23.0414,           25.5651,            1.3536,            5.6763,           -0.0414,           -0.3698,           -2.1555,
Ref 8,3.74795e-08,,,,,,1.1877e-02,4.1796e-03,4.8645e-05,4.4557e-06,7.8979e-08,,,,,,,,,,,
Sam 8,3.80550e-08,1.19282e-02,4.2283e-03,4.9414e-05,4.5596e-06,8.1064e-08,,,,,,            4.3440,           11.6412,           15.8356,           23.4506,           35.0621,            1.3309,            5.6755,           -0.1462,            0.0319,            7.1093,
Ref 9,3.68925e-08,,,,,,1.1877e-02,4.1797e-03,4.8643e-05,4.4546e-06,7.7647e-08,,,,,,,,,,,
Sam 9,3.74728e-08,1.19283e-02,4.2283e-03,4.9417e-05,4.5596e-06,8.0153e-08,,,,,,            4.3484,           11.6408,           15.8766,           23.4254,           30.8115,            1.3356,            5.6750,           -0.1100,            0.0080,            2.9697,
Ref 10,3.63585e-08,,,,,,1.1877e-02,4.1796e-03,4.8647e-05,4.4559e-06,7.7868e-08,,,,,,,,,,,
Sam 10,3.68994e-08,1.19283e-02,4.2283e-03,4.9417e-05,4.5570e-06,8.1500e-08,,,,,,            4.3562,           11.6365,           15.8018,           22.8943,           48.7789,            1.3440,            5.6707,           -0.1873,           -0.5023,           20.4521,
Ref 11,3.57799e-08,,,,,,1.1876e-02,4.1796e-03,4.8651e-05,4.4540e-06,7.7548e-08,,,,,,,,,,,
Sam 11,3.63790e-08,1.19281e-02,4.2282e-03,4.9417e-05,4.5589e-06,7.9151e-08,,,,,,            4.3463,           11.6221,           15.8153,           23.3791,           15.3912,            1.3340,            5.6564,           -0.1499,           -0.0001,          -11.9959,
Ref 12,3.52605e-08,,,,,,1.1877e-02,4.1796e-03,4.8645e-05,4.4555e-06,7.8361e-08,,,,,,,,,,,
Sam 12,3.58586e-08,1.19281e-02,4.2282e-03,4.9421e-05,4.5566e-06,7.8370e-08,,,,,,            4.3469,           11.6366,           16.0149,           23.1041,           14.8284,            1.3341,            5.6709,            0.0318,           -0.2976,          -12.5721,
Ref 13,3.47185e-08,,,,,,1.1876e-02,4.1796e-03,4.8640e-05,4.4519e-06,7.6071e-08,,,,,,,,,,,
Sam 13,3.53275e-08,1.19281e-02,4.2282e-03,4.9419e-05,4.5594e-06,8.0991e-08,,,,,,            4.3547,           11.6278,           15.9563,           24.2607,           46.9099,            1.3427,            5.6620,           -0.0253,            0.8501,           18.6524,
Ref 14,3.41913e-08,,,,,,1.1876e-02,4.1796e-03,4.8645e-05,4.4509e-06,7.8672e-08,,,,,,,,,,,
Sam 14,3.48052e-08,1.19280e-02,4.2281e-03,4.9414e-05,4.5545e-06,8.1040e-08,,,,,,            4.3514,           11.6273,           15.8565,           23.1461,           46.0125,            1.3392,            5.6616,           -0.1196,           -0.2381,           17.7836,
Ref 15,3.36713e-08,,,,,,1.1876e-02,4.1795e-03,4.8640e-05,4.4520e-06,7.6260e-08,,,,,,,,,,,
Sam 15,3.42910e-08,1.19279e-02,4.2282e-03,4.9418e-05,4.5559e-06,7.9992e-08,,,,,,            4.3445,           11.6525,           15.9310,           23.0052,           39.8777,            1.3310,            5.6867,           -0.0638,           -0.4257,           11.7721,
Ref 16,3.31360e-08,,,,,,1.1876e-02,4.1796e-03,4.8647e-05,4.4548e-06,7.7600e-08,,,,,,,,,,,
Sam 16,3.37766e-08,1.19280e-02,4.2281e-03,4.9412e-05,4.5582e-06,8.0273e-08,,,,,,            4.3522,           11.6230,           15.7523,           23.5139,           29.0953,            1.3402,            5.6573,           -0.2189,            0.1297,            1.3305,
Ref 17,3.26507e-08,,,,,,1.1876e-02,4.1795e-03,4.8644e-05,4.4521e-06,7.8414e-08,,,,,,,,,,,
Sam 17,3.32919e-08,1.19279e-02,4.2282e-03,4.9413e-05,4.5555e-06,7.8037e-08,,,,,,            4.3520,           11.6442,           15.8709,           23.6059,           -0.3000,            1.3392,            5.6784,           -0.1226,            0.1777,          -27.3116,
Ref 18,3.21653e-08,,,,,,1.1876e-02,4.1795e-03,4.8639e-05,4.4487e-06,7.7701e-08,,,,,,,,,,,
Sam 18,3.28270e-08,1.19278e-02,4.2281e-03,4.9418e-05,4.5545e-06,7.7845e-08,,,,,,            4.3475,           11.6152,           16.0401,           23.5958,            2.9018,            1.3355,            5.6495,            0.0768,            0.2253,          -24.1366,
Ref 19,3.16889e-08,,,,,,1.1876e-02,4.1795e-03,4.8636e-05,4.4502e-06,7.7538e-08,,,,,,,,,,,
Sam 19,3.23540e-08,1.19278e-02,4.2281e-03,4.9408e-05,4.5551e-06,8.1835e-08,,,,,,            4.3541,           11.6244,           15.7999,           23.4343,           47.8471,            1.3422,            5.6586,           -0.1753,            0.0493,           19.5716,
Ref 20,3.12270e-08,,,,,,1.1876e-02,4.1795e-03,4.8643e-05,4.4513e-06,7.8667e-08,,,,,,,,,,,
Sam 20,3.18897e-08,1.19278e-02,4.2281e-03,4.9413e-05,4.5568e-06,8.0111e-08,,,,,,            4.3549,           11.6321,           15.8862,           23.8439,           24.3359,            1.3428,            5.6663,           -0.0987,            0.4343,           -3.3209,
Ref 21,3.07755e-08,,,,,,1.1876e-02,4.1795e-03,4.8638e-05,4.4500e-06,7.7742e-08,,,,,,,,,,,


