Nu Stable Isotope Analysis Program
Data Collected on Tuesday, October 24, 2023 at 19:11 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, October 24, 2023 at 20:10 with Stable 1.71.5 on PS019

Data File = Data_20664 IAEA-C1.txt,       Sample Weight = 470,                      Vial Location = 5,                        Initial Sam Beam = 2.5023e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0337e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01929
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.46035e-08,,,,,,1.1880e-02,4.1806e-03,4.8675e-05,4.4631e-06,7.3385e-08,
Sam 1,9.34018e-08,1.19402e-02,4.2271e-03,4.9442e-05,4.5623e-06,7.4808e-08,,,,,,            5.0293,           11.1069,           15.6689,           22.1628,           20.2226,            2.0786,            5.1422,           -0.4930,           -0.1705,           -7.0173,
Ref 2,9.23149e-08,,,,,,1.1881e-02,4.1808e-03,4.8684e-05,4.4638e-06,7.3263e-08,,,,,,,,,,,
Sam 2,9.12788e-08,1.19403e-02,4.2272e-03,4.9445e-05,4.5620e-06,7.5584e-08,,,,,,            5.0193,           11.0897,           15.6561,           21.9631,           30.7829,            2.0686,            5.1251,           -0.4787,           -0.3318,            3.3052,
Ref 3,9.01926e-08,,,,,,1.1881e-02,4.1808e-03,4.8682e-05,4.4641e-06,7.3391e-08,,,,,,,,,,,
Sam 3,8.92242e-08,1.19402e-02,4.2272e-03,4.9442e-05,4.5617e-06,7.4873e-08,,,,,,            5.0154,           11.0986,           15.6652,           21.8371,           16.9465,            2.0641,            5.1340,           -0.4744,           -0.4727,          -10.1756,
Ref 4,8.81226e-08,,,,,,1.1881e-02,4.1808e-03,4.8678e-05,4.4644e-06,7.3865e-08,,,,,,,,,,,
Sam 4,8.72358e-08,1.19401e-02,4.2272e-03,4.9444e-05,4.5612e-06,7.5280e-08,,,,,,            5.0202,           11.0886,           15.6738,           21.5311,           22.8074,            2.0695,            5.1240,           -0.4611,           -0.7523,           -4.4565,
Ref 5,8.61228e-08,,,,,,1.1880e-02,4.1808e-03,4.8684e-05,4.4659e-06,7.3332e-08,,,,,,,,,,,
Sam 5,8.53091e-08,1.19400e-02,4.2271e-03,4.9438e-05,4.5624e-06,7.4916e-08,,,,,,            5.0126,           11.0773,           15.5603,           21.8518,           20.4403,            2.0619,            5.1128,           -0.5540,           -0.4162,           -6.7308,
Ref 6,8.41880e-08,,,,,,1.1880e-02,4.1808e-03,4.8677e-05,4.4638e-06,7.3501e-08,,,,,,,,,,,
Sam 6,8.34416e-08,1.19399e-02,4.2271e-03,4.9442e-05,4.5603e-06,7.5864e-08,,,,,,            5.0175,           11.0787,           15.7039,           21.6205,           25.5963,            2.0670,            5.1141,           -0.4190,           -0.6452,           -1.7198,
Ref 7,8.23229e-08,,,,,,1.1880e-02,4.1808e-03,4.8679e-05,4.4637e-06,7.4451e-08,,,,,,,,,,,
Sam 7,8.16451e-08,1.19398e-02,4.2271e-03,4.9439e-05,4.5615e-06,7.5288e-08,,,,,,            5.0135,           11.0827,           15.6285,           21.8743,           13.1717,            2.0627,            5.1181,           -0.4931,           -0.4048,          -13.8172,
Ref 8,8.05217e-08,,,,,,1.1880e-02,4.1807e-03,4.8678e-05,4.4639e-06,7.4165e-08,,,,,,,,,,,
Sam 8,7.99019e-08,1.19397e-02,4.2271e-03,4.9439e-05,4.5621e-06,7.5434e-08,,,,,,            5.0146,           11.0917,           15.6533,           22.0524,           13.6262,            2.0635,            5.1271,           -0.4785,           -0.2484,          -13.3931,
Ref 9,7.87757e-08,,,,,,1.1880e-02,4.1807e-03,4.8676e-05,4.4634e-06,7.4680e-08,,,,,,,,,,,
Sam 9,7.85497e-08,1.19395e-02,4.2270e-03,4.9438e-05,4.5621e-06,7.5594e-08,,,,,,            5.0045,           11.0806,           15.7054,           22.1599,           17.4070,            2.0531,            5.1161,           -0.4061,           -0.1213,           -9.6811,
Ref 10,7.72173e-08,,,,,,1.1880e-02,4.1806e-03,4.8671e-05,4.4629e-06,7.3913e-08,,,,,,,,,,,
Sam 10,7.67105e-08,1.19394e-02,4.2269e-03,4.9441e-05,4.5620e-06,7.6143e-08,,,,,,            5.0034,           11.0829,           15.7489,           22.1264,           21.2094,            2.0518,            5.1184,           -0.3645,           -0.1588,           -5.9833,
Ref 11,7.55725e-08,,,,,,1.1880e-02,4.1806e-03,4.8677e-05,4.4637e-06,7.5224e-08,,,,,,,,,,,
Sam 11,7.51127e-08,1.19394e-02,4.2269e-03,4.9437e-05,4.5621e-06,7.5237e-08,,,,,,            5.0193,           11.0889,           15.6366,           22.1289,            9.5543,            2.0686,            5.1243,           -0.4971,           -0.1682,          -17.3561,
Ref 12,7.39766e-08,,,,,,1.1880e-02,4.1806e-03,4.8675e-05,4.4629e-06,7.3811e-08,,,,,,,,,,,
Sam 12,7.35717e-08,1.19392e-02,4.2269e-03,4.9433e-05,4.5602e-06,7.5612e-08,,,,,,            5.0125,           11.0868,           15.6835,           21.6815,           21.5067,            2.0615,            5.1222,           -0.4419,           -0.6015,           -5.7110,
Ref 13,7.24371e-08,,,,,,1.1880e-02,4.1805e-03,4.8665e-05,4.4639e-06,7.4234e-08,,,,,,,,,,,
Sam 13,7.20817e-08,1.19391e-02,4.2268e-03,4.9441e-05,4.5620e-06,7.5302e-08,,,,,,            5.0118,           11.0872,           15.8824,           22.0012,           11.4490,            2.0607,            5.1226,           -0.2459,           -0.2897,          -15.5008,
Ref 14,7.09391e-08,,,,,,1.1880e-02,4.1805e-03,4.8672e-05,4.4636e-06,7.4670e-08,,,,,,,,,,,
Sam 14,7.06228e-08,1.19391e-02,4.2267e-03,4.9437e-05,4.5614e-06,7.5584e-08,,,,,,            5.0118,           11.0716,           15.7217,           22.0087,           17.2306,            2.0612,            5.1071,           -0.3887,           -0.2514,           -9.8431,
Ref 15,6.94867e-08,,,,,,1.1880e-02,4.1804e-03,4.8673e-05,4.4627e-06,7.3930e-08,,,,,,,,,,,
Sam 15,6.92309e-08,1.19389e-02,4.2267e-03,4.9432e-05,4.5614e-06,7.5740e-08,,,,,,            5.0062,           11.0770,           15.6368,           22.1864,           17.0266,            2.0551,            5.1125,           -0.4720,           -0.0884,          -10.0463,
Ref 16,6.80264e-08,,,,,,1.1879e-02,4.1804e-03,4.8669e-05,4.4622e-06,7.5026e-08,,,,,,,,,,,
Sam 16,6.77901e-08,1.19389e-02,4.2267e-03,4.9431e-05,4.5623e-06,7.5611e-08,,,,,,            5.0125,           11.0796,           15.6405,           22.4194,            8.8058,            2.0617,            5.1150,           -0.4773,            0.1346,          -18.0597,
Ref 17,6.68535e-08,,,,,,1.1879e-02,4.1803e-03,4.8671e-05,4.4624e-06,7.4876e-08,,,,,,,,,,,
Sam 17,6.65378e-08,1.19387e-02,4.2266e-03,4.9430e-05,4.5608e-06,7.6016e-08,,,,,,            5.0111,           11.0849,           15.5853,           22.1361,           20.3587,            2.0600,            5.1203,           -0.5353,           -0.1530,           -6.8232,
Ref 18,6.54415e-08,,,,,,1.1879e-02,4.1803e-03,4.8672e-05,4.4617e-06,7.4114e-08,,,,,,,,,,,
Sam 18,6.53088e-08,1.19387e-02,4.2266e-03,4.9432e-05,4.5605e-06,7.6959e-08,,,,,,            5.0206,           11.0854,           15.6790,           22.0472,           28.6753,            2.0701,            5.1208,           -0.4533,           -0.2411,            1.2607,
Ref 19,6.40720e-08,,,,,,1.1879e-02,4.1803e-03,4.8666e-05,4.4625e-06,7.5528e-08,,,,,,,,,,,
Sam 19,6.39642e-08,1.19386e-02,4.2266e-03,4.9432e-05,4.5606e-06,7.6995e-08,,,,,,            5.0143,           11.0778,           15.7065,           21.9669,           20.5290,            2.0637,            5.1132,           -0.4124,           -0.3046,           -6.6471,
Ref 20,6.28043e-08,,,,,,1.1879e-02,4.1802e-03,4.8670e-05,4.4627e-06,7.5362e-08,,,,,,,,,,,
Sam 20,6.27414e-08,1.19385e-02,4.2265e-03,4.9428e-05,4.5612e-06,7.6398e-08,,,,,,            5.0134,           11.0756,           15.5899,           21.9870,           21.7500,            2.0628,            5.1111,           -0.5241,           -0.2807,           -5.4536,
Ref 21,6.15910e-08,,,,,,1.1879e-02,4.1802e-03,4.8669e-05,4.4635e-06,7.4169e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.09923e-08,,,,,,1.1879e-02,4.1801e-03,4.8670e-05,4.4619e-06,7.3569e-08,
Sam 1,6.09129e-08,1.19384e-02,4.2264e-03,4.9430e-05,4.5598e-06,7.6228e-08,,,,,,            5.0159,           11.0744,           15.6467,           21.9343,           28.3993,            2.0654,            5.1099,           -0.4695,           -0.3298,            1.0185,
Ref 2,5.97629e-08,,,,,,1.1879e-02,4.1802e-03,4.8667e-05,4.4620e-06,7.4688e-08,,,,,,,,,,,
Sam 2,5.98026e-08,1.19383e-02,4.2264e-03,4.9429e-05,4.5583e-06,7.6214e-08,,,,,,            5.0153,           11.0778,           15.6068,           21.5450,           17.5096,            2.0648,            5.1133,           -0.5115,           -0.7173,           -9.5872,
Ref 3,5.87280e-08,,,,,,1.1879e-02,4.1801e-03,4.8671e-05,4.4624e-06,7.5121e-08,,,,,,,,,,,
Sam 3,5.87492e-08,1.19381e-02,4.2264e-03,4.9429e-05,4.5609e-06,7.6537e-08,,,,,,            5.0091,           11.0741,           15.6830,           22.1228,           16.2631,            2.0582,            5.1096,           -0.4266,           -0.1449,          -10.7869,
Ref 4,5.76279e-08,,,,,,1.1879e-02,4.1801e-03,4.8660e-05,4.4621e-06,7.5506e-08,,,,,,,,,,,
Sam 4,5.76079e-08,1.19380e-02,4.2264e-03,4.9430e-05,4.5595e-06,7.6662e-08,,,,,,            5.0091,           11.0753,           15.7681,           21.9863,           20.1150,            2.0582,            5.1108,           -0.3439,           -0.2807,           -7.0399,
Ref 5,5.64887e-08,,,,,,1.1878e-02,4.1800e-03,4.8665e-05,4.4607e-06,7.4788e-08,,,,,,,,,,,
Sam 5,5.65860e-08,1.19379e-02,4.2263e-03,4.9430e-05,4.5607e-06,7.7010e-08,,,,,,            5.0110,           11.0750,           15.7403,           22.2547,           23.7372,            2.0602,            5.1105,           -0.3730,           -0.0175,           -3.5155,
Ref 6,5.54593e-08,,,,,,1.1878e-02,4.1800e-03,4.8663e-05,4.4621e-06,7.5670e-08,,,,,,,,,,,
Sam 6,5.55514e-08,1.19379e-02,4.2263e-03,4.9423e-05,4.5605e-06,7.7382e-08,,,,,,            5.0188,           11.0762,           15.6268,           22.0741,           31.2020,            2.0685,            5.1117,           -0.4938,           -0.1966,            3.7399,
Ref 7,5.44254e-08,,,,,,1.1878e-02,4.1800e-03,4.8661e-05,4.4619e-06,7.4400e-08,,,,,,,,,,,
Sam 7,5.45535e-08,1.19378e-02,4.2263e-03,4.9425e-05,4.5595e-06,7.6693e-08,,,,,,            5.0200,           11.0759,           15.7033,           21.9751,           21.2567,            2.0698,            5.1113,           -0.4195,           -0.2928,           -5.9411,
Ref 8,5.34196e-08,,,,,,1.1878e-02,4.1800e-03,4.8661e-05,4.4610e-06,7.5807e-08,,,,,,,,,,,
Sam 8,5.35628e-08,1.19377e-02,4.2263e-03,4.9425e-05,4.5602e-06,7.6580e-08,,,,,,            5.0167,           11.0835,           15.7026,           22.4412,           13.2097,            2.0660,            5.1189,           -0.4242,            0.1481,          -13.7849,
Ref 9,5.25069e-08,,,,,,1.1878e-02,4.1799e-03,4.8660e-05,4.4592e-06,7.5351e-08,,,,,,,,,,,
Sam 9,5.26306e-08,1.19376e-02,4.2262e-03,4.9419e-05,4.5604e-06,7.7552e-08,,,,,,            5.0201,           11.0745,           15.5992,           22.5151,           33.0423,            2.0700,            5.1100,           -0.5208,            0.2381,            5.5331,
Ref 10,5.15210e-08,,,,,,1.1878e-02,4.1799e-03,4.8660e-05,4.4609e-06,7.4787e-08,,,,,,,,,,,
Sam 10,5.17351e-08,1.19375e-02,4.2261e-03,4.9424e-05,4.5605e-06,7.6454e-08,,,,,,            5.0111,           11.0678,           15.7167,           22.2906,           14.0825,            2.0605,            5.1034,           -0.3893,            0.0317,          -12.8995,
Ref 11,5.06242e-08,,,,,,1.1878e-02,4.1799e-03,4.8659e-05,4.4612e-06,7.6009e-08,,,,,,,,,,,
Sam 11,5.08447e-08,1.19374e-02,4.2261e-03,4.9421e-05,4.5603e-06,7.6031e-08,,,,,,            5.0090,           11.0612,           15.5879,           22.3069,            4.3111,            2.0586,            5.0968,           -0.5075,            0.0608,          -22.3961,
Ref 12,4.97203e-08,,,,,,1.1878e-02,4.1799e-03,4.8665e-05,4.4605e-06,7.5395e-08,,,,,,,,,,,
Sam 12,4.99691e-08,1.19373e-02,4.2261e-03,4.9423e-05,4.5589e-06,7.6508e-08,,,,,,            5.0104,           11.0589,           15.6385,           21.9872,           21.6610,            2.0602,            5.0944,           -0.4569,           -0.2473,           -5.5045,
Ref 13,4.88416e-08,,,,,,1.1878e-02,4.1798e-03,4.8659e-05,4.4612e-06,7.4368e-08,,,,,,,,,,,
Sam 13,4.90732e-08,1.19373e-02,4.2261e-03,4.9421e-05,4.5597e-06,7.7435e-08,,,,,,            5.0109,           11.0698,           15.6276,           22.0664,           26.8672,            2.0603,            5.1054,           -0.4788,           -0.1915,           -0.4587,
Ref 14,4.79889e-08,,,,,,1.1878e-02,4.1798e-03,4.8662e-05,4.4613e-06,7.6468e-08,,,,,,,,,,,
Sam 14,4.82942e-08,1.19373e-02,4.2261e-03,4.9429e-05,4.5584e-06,7.6766e-08,,,,,,            5.0119,           11.0846,           15.7687,           21.9928,            4.2781,            2.0609,            5.1201,           -0.3553,           -0.2928,          -22.4758,
Ref 15,4.71741e-08,,,,,,1.1878e-02,4.1798e-03,4.8662e-05,4.4592e-06,7.6409e-08,,,,,,,,,,,
Sam 15,4.74557e-08,1.19372e-02,4.2261e-03,4.9424e-05,4.5587e-06,7.8593e-08,,,,,,            5.0129,           11.0683,           15.6318,           22.2543,           29.7239,            2.0625,            5.1039,           -0.4753,           -0.0047,            2.3228,
Ref 16,4.63227e-08,,,,,,1.1878e-02,4.1798e-03,4.8665e-05,4.4598e-06,7.6239e-08,,,,,,,,,,,
Sam 16,4.67136e-08,1.19371e-02,4.2261e-03,4.9416e-05,4.5552e-06,7.7840e-08,,,,,,            5.0077,           11.0771,           15.4960,           21.5433,           22.9416,            2.0566,            5.1126,           -0.6121,           -0.7177,           -4.2905,
Ref 17,4.55750e-08,,,,,,1.1878e-02,4.1797e-03,4.8660e-05,4.4585e-06,7.5947e-08,,,,,,,,,,,
Sam 17,4.59022e-08,1.19369e-02,4.2260e-03,4.9424e-05,4.5578e-06,7.7708e-08,,,,,,            5.0017,           11.0654,           15.7362,           22.1269,           21.4239,            2.0506,            5.1009,           -0.3581,           -0.1235,           -5.7388,
Ref 18,4.47952e-08,,,,,,1.1878e-02,4.1797e-03,4.8657e-05,4.4598e-06,7.6212e-08,,,,,,,,,,,
Sam 18,4.51757e-08,1.19369e-02,4.2260e-03,4.9419e-05,4.5573e-06,7.6116e-08,,,,,,            5.0055,           11.0656,           15.6285,           21.9563,           -0.2929,            2.0547,            5.1011,           -0.4682,           -0.2908,          -26.8824,
Ref 19,4.40455e-08,,,,,,1.1877e-02,4.1797e-03,4.8660e-05,4.4588e-06,7.6064e-08,,,,,,,,,,,
Sam 19,4.44227e-08,1.19369e-02,4.2260e-03,4.9422e-05,4.5570e-06,7.6617e-08,,,,,,            5.0064,           11.0786,           15.6567,           21.8812,            6.7976,            2.0553,            5.1141,           -0.4541,           -0.3901,          -20.0063,
Ref 20,4.33150e-08,,,,,,1.1877e-02,4.1797e-03,4.8660e-05,4.4599e-06,7.6137e-08,,,,,,,,,,,
Sam 20,4.37239e-08,1.19368e-02,4.2259e-03,4.9422e-05,4.5580e-06,7.6791e-08,,,,,,            5.0071,           11.0653,           15.6458,           22.1130,            5.9230,            2.0565,            5.1008,           -0.4526,           -0.1370,          -20.8329,
Ref 21,4.25778e-08,,,,,,1.1877e-02,4.1797e-03,4.8662e-05,4.4589e-06,7.6544e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.21937e-08,,,,,,1.1877e-02,4.1796e-03,4.8653e-05,4.4581e-06,7.3337e-08,
Sam 1,4.26904e-08,1.19367e-02,4.2258e-03,4.9418e-05,4.5566e-06,7.7955e-08,,,,,,            5.0085,           11.0578,           15.6835,           21.9736,           45.0339,            2.0582,            5.0933,           -0.4096,           -0.2584,           17.2511,
Ref 2,4.14995e-08,,,,,,1.1877e-02,4.1796e-03,4.8656e-05,4.4591e-06,7.5874e-08,,,,,,,,,,,
Sam 2,4.20162e-08,1.19366e-02,4.2258e-03,4.9420e-05,4.5576e-06,7.7180e-08,,,,,,            5.0075,           11.0600,           15.7380,           22.3899,           14.1382,            2.0571,            5.0956,           -0.3571,            0.1443,          -12.8266,
Ref 3,4.08638e-08,,,,,,1.1877e-02,4.1796e-03,4.8653e-05,4.4565e-06,7.6337e-08,,,,,,,,,,,
Sam 3,4.13518e-08,1.19367e-02,4.2259e-03,4.9417e-05,4.5552e-06,7.7758e-08,,,,,,            5.0127,           11.0689,           15.6096,           22.0301,           15.0304,            2.0623,            5.1044,           -0.4974,           -0.2252,          -11.9806,
Ref 4,4.01908e-08,,,,,,1.1877e-02,4.1796e-03,4.8663e-05,4.4575e-06,7.6881e-08,,,,,,,,,,,
Sam 4,4.07007e-08,1.19365e-02,4.2259e-03,4.9420e-05,4.5560e-06,7.6638e-08,,,,,,            5.0140,           11.0643,           15.6349,           21.8149,            3.0867,            2.0638,            5.0999,           -0.4694,           -0.4267,          -23.5991,
Ref 5,3.95497e-08,,,,,,1.1877e-02,4.1796e-03,4.8656e-05,4.4600e-06,7.5916e-08,,,,,,,,,,,
Sam 5,4.00479e-08,1.19365e-02,4.2258e-03,4.9422e-05,4.5552e-06,7.7111e-08,,,,,,            5.0092,           11.0689,           15.7015,           21.5319,           10.0768,            2.0585,            5.1044,           -0.4033,           -0.7124,          -16.7986,
Ref 6,3.89172e-08,,,,,,1.1877e-02,4.1796e-03,4.8660e-05,4.4583e-06,7.6773e-08,,,,,,,,,,,
Sam 6,3.94315e-08,1.19365e-02,4.2258e-03,4.9417e-05,4.5540e-06,7.6661e-08,,,,,,            5.0178,           11.0694,           15.6543,           21.3786,           15.4025,            2.0676,            5.1049,           -0.4591,           -0.8635,          -11.6246,
Ref 7,3.82946e-08,,,,,,1.1877e-02,4.1796e-03,4.8651e-05,4.4590e-06,7.4202e-08,,,,,,,,,,,
Sam 7,3.88445e-08,1.19363e-02,4.2258e-03,4.9420e-05,4.5533e-06,7.5218e-08,,,,,,            5.0105,           11.0516,           15.7838,           21.2889,            8.3838,            2.0605,            5.0872,           -0.3069,           -0.9160,          -18.4149,
Ref 8,3.76894e-08,,,,,,1.1877e-02,4.1796e-03,4.8653e-05,4.4578e-06,7.4990e-08,,,,,,,,,,,
Sam 8,3.82416e-08,1.19364e-02,4.2258e-03,4.9415e-05,4.5548e-06,7.8055e-08,,,,,,            5.0135,           11.0537,           15.6314,           21.8883,           41.6304,            2.0636,            5.0893,           -0.4620,           -0.3339,           13.9407,
Ref 9,3.71027e-08,,,,,,1.1877e-02,4.1796e-03,4.8656e-05,4.4568e-06,7.4880e-08,,,,,,,,,,,
Sam 9,3.76833e-08,1.19363e-02,4.2258e-03,4.9418e-05,4.5570e-06,7.7366e-08,,,,,,            5.0141,           11.0578,           15.7029,           22.2140,           26.8113,            2.0641,            5.0933,           -0.3962,           -0.0233,           -0.4930,
Ref 10,3.65111e-08,,,,,,1.1877e-02,4.1795e-03,4.8653e-05,4.4592e-06,7.5819e-08,,,,,,,,,,,
Sam 10,3.70901e-08,1.19362e-02,4.2258e-03,4.9417e-05,4.5550e-06,7.7533e-08,,,,,,            5.0077,           11.0602,           15.6830,           21.6359,           18.5797,            2.0572,            5.0958,           -0.4116,           -0.5936,           -8.5037,
Ref 11,3.59511e-08,,,,,,1.1877e-02,4.1795e-03,4.8656e-05,4.4577e-06,7.6423e-08,,,,,,,,,,,
Sam 11,3.65613e-08,1.19362e-02,4.2257e-03,4.9415e-05,4.5557e-06,7.7480e-08,,,,,,            5.0107,           11.0503,           15.6194,           21.8240,           10.3759,            2.0608,            5.0859,           -0.4677,           -0.3901,          -16.4736,
Ref 12,3.54025e-08,,,,,,1.1877e-02,4.1795e-03,4.8654e-05,4.4590e-06,7.6950e-08,,,,,,,,,,,
Sam 12,3.60123e-08,1.19361e-02,4.2257e-03,4.9416e-05,4.5540e-06,7.6134e-08,,,,,,            5.0134,           11.0400,           15.6255,           21.6901,           -2.9827,            2.0640,            5.0756,           -0.4543,           -0.5006,          -29.4604,
Ref 13,3.48477e-08,,,,,,1.1877e-02,4.1795e-03,4.8658e-05,4.4556e-06,7.5764e-08,,,,,,,,,,,
Sam 13,3.54821e-08,1.19360e-02,4.2257e-03,4.9413e-05,4.5554e-06,7.7151e-08,,,,,,            5.0061,           11.0582,           15.5314,           21.8245,           22.7282,            2.0556,            5.0938,           -0.5572,           -0.4051,           -4.4599,
Ref 14,3.43207e-08,,,,,,1.1877e-02,4.1795e-03,4.8657e-05,4.4606e-06,7.5103e-08,,,,,,,,,,,
Sam 14,3.49573e-08,1.19360e-02,4.2257e-03,4.9414e-05,4.5563e-06,7.6989e-08,,,,,,            5.0059,           11.0506,           15.5702,           21.8702,           27.3128,            2.0556,            5.0862,           -0.5114,           -0.3454,            0.0178,
Ref 15,3.37861e-08,,,,,,1.1877e-02,4.1794e-03,4.8656e-05,4.4570e-06,7.4778e-08,,,,,,,,,,,
Sam 15,3.44281e-08,1.19361e-02,4.2257e-03,4.9416e-05,4.5520e-06,7.7856e-08,,,,,,            5.0152,           11.0564,           15.6190,           21.2419,           39.7555,            2.0654,            5.0919,           -0.4786,           -0.9714,           12.1085,
Ref 16,3.32727e-08,,,,,,1.1876e-02,4.1795e-03,4.8657e-05,4.4577e-06,7.4981e-08,,,,,,,,,,,
Sam 16,3.39348e-08,1.19359e-02,4.2256e-03,4.9414e-05,4.5521e-06,7.6764e-08,,,,,,            5.0101,           11.0477,           15.6088,           21.3879,           17.3441,            2.0602,            5.0834,           -0.4750,           -0.8116,           -9.6850,
Ref 17,3.27882e-08,,,,,,1.1876e-02,4.1795e-03,4.8653e-05,4.4557e-06,7.5936e-08,,,,,,,,,,,
Sam 17,3.34505e-08,1.19358e-02,4.2256e-03,4.9415e-05,4.5521e-06,7.6122e-08,,,,,,            5.0060,           11.0498,           15.6813,           21.6685,           -4.9184,            2.0558,            5.0854,           -0.4014,           -0.5411,          -31.3556,
Ref 18,3.22900e-08,,,,,,1.1876e-02,4.1795e-03,4.8652e-05,4.4553e-06,7.7069e-08,,,,,,,,,,,
Sam 18,3.29632e-08,1.19358e-02,4.2256e-03,4.9414e-05,4.5535e-06,7.6205e-08,,,,,,            5.0090,           11.0504,           15.6731,           21.7996,           -6.4283,            2.0589,            5.0860,           -0.4131,           -0.4140,          -32.8296,
Ref 19,3.18068e-08,,,,,,1.1876e-02,4.1794e-03,4.8652e-05,4.4575e-06,7.6323e-08,,,,,,,,,,,
Sam 19,3.24851e-08,1.19357e-02,4.2256e-03,4.9417e-05,4.5540e-06,7.6259e-08,,,,,,            5.0015,           11.0617,           15.6552,           21.9034,           -2.2984,            2.0505,            5.0972,           -0.4340,           -0.3348,          -28.8230,
Ref 20,3.13366e-08,,,,,,1.1876e-02,4.1794e-03,4.8658e-05,4.4553e-06,7.6549e-08,,,,,,,,,,,
Sam 20,3.20347e-08,1.19356e-02,4.2256e-03,4.9416e-05,4.5518e-06,7.7370e-08,,,,,,            4.9956,           11.0590,           15.5904,           21.4301,            9.9659,            2.0444,            5.0946,           -0.4892,           -0.7925,          -16.8736,
Ref 21,3.08785e-08,,,,,,1.1876e-02,4.1794e-03,4.8656e-05,4.4574e-06,7.6666e-08,,,,,,,,,,,


