Nu Stable Isotope Analysis Program
Data Collected on Tuesday, October 24, 2023 at 21:13 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, October 24, 2023 at 22:13 with Stable 1.71.5 on PS019

Data File = Data_20665 MBE 78A.txt,       Sample Weight = 439,                      Vial Location = 6,                        Initial Sam Beam = 2.5023e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9262e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02165
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.22087e-08,,,,,,1.1880e-02,4.1803e-03,4.8672e-05,4.4598e-06,7.4918e-08,
Sam 1,8.12965e-08,1.19165e-02,4.2079e-03,4.9126e-05,4.5181e-06,7.5897e-08,,,,,,            3.0873,            6.5765,            9.3487,           12.9520,           16.5851,            0.1683,            0.6380,           -0.3226,           -0.2412,            0.2765,
Ref 2,8.04080e-08,,,,,,1.1880e-02,4.1805e-03,4.8671e-05,4.4609e-06,7.4394e-08,,,,,,,,,,,
Sam 2,7.95838e-08,1.19165e-02,4.2080e-03,4.9127e-05,4.5201e-06,7.5982e-08,,,,,,            3.0807,            6.5632,            9.3753,           13.1322,           18.8050,            0.1617,            0.6247,           -0.2763,           -0.0367,            2.4941,
Ref 3,7.86815e-08,,,,,,1.1880e-02,4.1806e-03,4.8671e-05,4.4621e-06,7.4770e-08,,,,,,,,,,,
Sam 3,7.79192e-08,1.19165e-02,4.2080e-03,4.9126e-05,4.5196e-06,7.5680e-08,,,,,,            3.0825,            6.5661,            9.3249,           12.9402,           14.7502,            0.1635,            0.6276,           -0.3310,           -0.2319,           -1.5033,
Ref 4,7.70052e-08,,,,,,1.1880e-02,4.1806e-03,4.8674e-05,4.4615e-06,7.4386e-08,,,,,,,,,,,
Sam 4,7.63170e-08,1.19164e-02,4.2080e-03,4.9128e-05,4.5199e-06,7.6493e-08,,,,,,            3.0845,            6.5662,            9.3264,           12.9430,           28.4021,            0.1657,            0.6277,           -0.3317,           -0.2295,           11.9274,
Ref 5,7.58530e-08,,,,,,1.1880e-02,4.1805e-03,4.8674e-05,4.4627e-06,7.4375e-08,,,,,,,,,,,
Sam 5,7.49397e-08,1.19163e-02,4.2079e-03,4.9123e-05,4.5209e-06,7.5585e-08,,,,,,            3.0863,            6.5553,            9.2904,           13.0390,           11.7643,            0.1679,            0.6169,           -0.3585,           -0.1130,           -4.4245,
Ref 6,7.40112e-08,,,,,,1.1880e-02,4.1805e-03,4.8669e-05,4.4628e-06,7.5045e-08,,,,,,,,,,,
Sam 6,7.34362e-08,1.19162e-02,4.2079e-03,4.9125e-05,4.5204e-06,7.6053e-08,,,,,,            3.0778,            6.5580,            9.3439,           12.9591,            8.2816,            0.1587,            0.6196,           -0.2995,           -0.1974,           -7.8478,
Ref 7,7.27714e-08,,,,,,1.1880e-02,4.1804e-03,4.8672e-05,4.4623e-06,7.5819e-08,,,,,,,,,,,
Sam 7,7.19803e-08,1.19161e-02,4.2079e-03,4.9123e-05,4.5198e-06,7.6084e-08,,,,,,            3.0798,            6.5695,            9.3000,           12.8644,            3.3611,            0.1606,            0.6311,           -0.3563,           -0.3137,          -12.7140,
Ref 8,7.10199e-08,,,,,,1.1879e-02,4.1804e-03,4.8668e-05,4.4624e-06,7.5839e-08,,,,,,,,,,,
Sam 8,7.05340e-08,1.19161e-02,4.2078e-03,4.9121e-05,4.5204e-06,7.6914e-08,,,,,,            3.0884,            6.5730,            9.3151,           13.0607,           19.0523,            0.1695,            0.6346,           -0.3535,           -0.1269,            2.7099,
Ref 9,6.95731e-08,,,,,,1.1879e-02,4.1803e-03,4.8668e-05,4.4619e-06,7.5105e-08,,,,,,,,,,,
Sam 9,6.91442e-08,1.19159e-02,4.2078e-03,4.9122e-05,4.5186e-06,7.6686e-08,,,,,,            3.0781,            6.5690,            9.3493,           12.8034,           15.7271,            0.1587,            0.6306,           -0.3052,           -0.3729,           -0.5433,
Ref 10,6.83346e-08,,,,,,1.1879e-02,4.1803e-03,4.8667e-05,4.4610e-06,7.5899e-08,,,,,,,,,,,
Sam 10,6.77648e-08,1.19159e-02,4.2078e-03,4.9124e-05,4.5215e-06,7.6233e-08,,,,,,            3.0844,            6.5713,            9.3968,           13.5311,            4.6136,            0.1653,            0.6328,           -0.2668,            0.3408,          -11.4897,
Ref 11,6.67716e-08,,,,,,1.1879e-02,4.1803e-03,4.8666e-05,4.4613e-06,7.5868e-08,,,,,,,,,,,
Sam 11,6.64341e-08,1.19158e-02,4.2077e-03,4.9121e-05,4.5223e-06,7.7058e-08,,,,,,            3.0819,            6.5689,            9.3611,           13.5143,           18.3972,            0.1628,            0.6304,           -0.2973,            0.3290,            2.0803,
Ref 12,6.54405e-08,,,,,,1.1879e-02,4.1802e-03,4.8665e-05,4.4627e-06,7.5460e-08,,,,,,,,,,,
Sam 12,6.51479e-08,1.19157e-02,4.2077e-03,4.9122e-05,4.5201e-06,7.7119e-08,,,,,,            3.0855,            6.5853,            9.3885,           13.0007,           14.1295,            0.1661,            0.6468,           -0.2899,           -0.2106,           -2.1549,
Ref 13,6.41451e-08,,,,,,1.1879e-02,4.1802e-03,4.8665e-05,4.4614e-06,7.6641e-08,,,,,,,,,,,
Sam 13,6.38979e-08,1.19155e-02,4.2077e-03,4.9117e-05,4.5201e-06,7.6686e-08,,,,,,            3.0812,            6.5704,            9.3510,           13.2653,            7.5723,            0.1620,            0.6319,           -0.3080,            0.0804,           -8.5733,
Ref 14,6.28916e-08,,,,,,1.1879e-02,4.1802e-03,4.8659e-05,4.4605e-06,7.5567e-08,,,,,,,,,,,
Sam 14,6.26859e-08,1.19154e-02,4.2076e-03,4.9115e-05,4.5191e-06,7.6996e-08,,,,,,            3.0822,            6.5752,            9.3195,           13.0003,           13.3702,            0.1629,            0.6367,           -0.3449,           -0.1908,           -2.8788,
Ref 15,6.16712e-08,,,,,,1.1879e-02,4.1801e-03,4.8663e-05,4.4617e-06,7.6401e-08,,,,,,,,,,,
Sam 15,6.15095e-08,1.19154e-02,4.2075e-03,4.9117e-05,4.5183e-06,7.6457e-08,,,,,,            3.0934,            6.5576,            9.3858,           12.5453,            2.1834,            0.1754,            0.6191,           -0.2735,           -0.6048,          -13.8639,
Ref 16,6.04678e-08,,,,,,1.1879e-02,4.1801e-03,4.8657e-05,4.4631e-06,7.6177e-08,,,,,,,,,,,
Sam 16,6.03383e-08,1.19152e-02,4.2076e-03,4.9116e-05,4.5208e-06,7.7455e-08,,,,,,            3.0882,            6.5677,            9.3497,           13.2313,           13.2948,            0.1695,            0.6292,           -0.3138,            0.0521,           -2.9447,
Ref 17,5.93170e-08,,,,,,1.1878e-02,4.1801e-03,4.8664e-05,4.4604e-06,7.6705e-08,,,,,,,,,,,
Sam 17,5.91854e-08,1.19152e-02,4.2075e-03,4.9117e-05,4.5196e-06,7.6815e-08,,,,,,            3.0884,            6.5612,            9.3543,           12.9621,            4.5482,            0.1699,            0.6228,           -0.3032,           -0.2007,          -11.5387,
Ref 18,5.82336e-08,,,,,,1.1879e-02,4.1801e-03,4.8659e-05,4.4632e-06,7.6225e-08,,,,,,,,,,,
Sam 18,5.81908e-08,1.19151e-02,4.2075e-03,4.9115e-05,4.5208e-06,7.7013e-08,,,,,,            3.0813,            6.5593,            9.3135,           12.9979,            6.5693,            0.1624,            0.6209,           -0.3344,           -0.1617,           -9.5389,
Ref 19,5.71269e-08,,,,,,1.1878e-02,4.1801e-03,4.8664e-05,4.4624e-06,7.6801e-08,,,,,,,,,,,
Sam 19,5.71060e-08,1.19150e-02,4.2075e-03,4.9114e-05,4.5200e-06,7.7239e-08,,,,,,            3.0793,            6.5600,            9.3101,           13.0476,           11.9438,            0.1603,            0.6216,           -0.3364,           -0.1139,           -4.2496,
Ref 20,5.60550e-08,,,,,,1.1878e-02,4.1800e-03,4.8657e-05,4.4612e-06,7.5845e-08,,,,,,,,,,,
Sam 20,5.60687e-08,1.19149e-02,4.2074e-03,4.9115e-05,4.5181e-06,7.7561e-08,,,,,,            3.0789,            6.5717,            9.4049,           12.5498,           12.9455,            0.1595,            0.6333,           -0.2536,           -0.6285,           -3.2865,
Ref 21,5.50564e-08,,,,,,1.1878e-02,4.1799e-03,4.8658e-05,4.4630e-06,7.7308e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.45453e-08,,,,,,1.1878e-02,4.1799e-03,4.8662e-05,4.4620e-06,7.5561e-08,
Sam 1,5.45528e-08,1.19148e-02,4.2073e-03,4.9115e-05,4.5213e-06,7.7288e-08,,,,,,            3.0759,            6.5595,            9.3512,           13.2479,           10.2366,            0.1567,            0.6211,           -0.2916,            0.0848,           -5.9249,
Ref 2,5.35034e-08,,,,,,1.1878e-02,4.1800e-03,4.8657e-05,4.4623e-06,7.7467e-08,,,,,,,,,,,
Sam 2,5.35797e-08,1.19147e-02,4.2073e-03,4.9116e-05,4.5181e-06,7.8648e-08,,,,,,            3.0796,            6.5565,            9.4311,           12.8120,           10.5783,            0.1607,            0.6182,           -0.2135,           -0.3396,           -5.5869,
Ref 3,5.25448e-08,,,,,,1.1878e-02,4.1799e-03,4.8658e-05,4.4595e-06,7.8189e-08,,,,,,,,,,,
Sam 3,5.26956e-08,1.19147e-02,4.2073e-03,4.9115e-05,4.5185e-06,7.8407e-08,,,,,,            3.0861,            6.5565,            9.3773,           13.0123,            5.2332,            0.1677,            0.6181,           -0.2735,           -0.1419,          -10.8533,
Ref 4,5.15638e-08,,,,,,1.1878e-02,4.1799e-03,4.8658e-05,4.4614e-06,7.7804e-08,,,,,,,,,,,
Sam 4,5.17033e-08,1.19146e-02,4.2073e-03,4.9119e-05,4.5184e-06,7.8466e-08,,,,,,            3.0839,            6.5733,            9.4198,           12.8510,            2.7203,            0.1647,            0.6348,           -0.2454,           -0.3343,          -13.3560,
Ref 5,5.06982e-08,,,,,,1.1878e-02,4.1798e-03,4.8663e-05,4.4608e-06,7.8709e-08,,,,,,,,,,,
Sam 5,5.07694e-08,1.19145e-02,4.2073e-03,4.9118e-05,4.5179e-06,7.7680e-08,,,,,,            3.0884,            6.5775,            9.4191,           12.7793,          -10.3970,            0.1694,            0.6389,           -0.2549,           -0.4134,          -26.2756,
Ref 6,4.97713e-08,,,,,,1.1878e-02,4.1799e-03,4.8655e-05,4.4611e-06,7.8278e-08,,,,,,,,,,,
Sam 6,4.99848e-08,1.19145e-02,4.2072e-03,4.9112e-05,4.5197e-06,7.8588e-08,,,,,,            3.0939,            6.5487,            9.4412,           13.2174,           10.0696,            0.1762,            0.6103,           -0.2106,            0.0761,           -6.0874,
Ref 7,4.89687e-08,,,,,,1.1878e-02,4.1798e-03,4.8650e-05,4.4604e-06,7.7323e-08,,,,,,,,,,,
Sam 7,4.91372e-08,1.19143e-02,4.2072e-03,4.9110e-05,4.5215e-06,7.8335e-08,,,,,,            3.0836,            6.5527,            9.3428,           13.5917,           10.9253,            0.1651,            0.6143,           -0.3013,            0.4376,           -5.2422,
Ref 8,4.80718e-08,,,,,,1.1878e-02,4.1798e-03,4.8660e-05,4.4613e-06,7.7657e-08,,,,,,,,,,,
Sam 8,4.82580e-08,1.19143e-02,4.2072e-03,4.9113e-05,4.5180e-06,7.8343e-08,,,,,,            3.0845,            6.5615,            9.3806,           12.7462,           13.6069,            0.1658,            0.6231,           -0.2734,           -0.4143,           -2.6216,
Ref 9,4.72265e-08,,,,,,1.1878e-02,4.1798e-03,4.8654e-05,4.4610e-06,7.6919e-08,,,,,,,,,,,
Sam 9,4.74855e-08,1.19143e-02,4.2071e-03,4.9111e-05,4.5160e-06,7.7780e-08,,,,,,            3.0899,            6.5459,            9.4327,           12.3298,           10.1649,            0.1721,            0.6076,           -0.2121,           -0.7945,           -5.9840,
Ref 10,4.64571e-08,,,,,,1.1877e-02,4.1798e-03,4.8651e-05,4.4611e-06,7.7076e-08,,,,,,,,,,,
Sam 10,4.67019e-08,1.19141e-02,4.2071e-03,4.9114e-05,4.5179e-06,7.8131e-08,,,,,,            3.0812,            6.5454,            9.4436,           12.8746,            8.5660,            0.1629,            0.6071,           -0.1919,           -0.2557,           -7.5472,
Ref 11,4.56671e-08,,,,,,1.1878e-02,4.1797e-03,4.8659e-05,4.4599e-06,7.7866e-08,,,,,,,,,,,
Sam 11,4.58928e-08,1.19141e-02,4.2071e-03,4.9112e-05,4.5154e-06,7.9197e-08,,,,,,            3.0867,            6.5572,            9.3112,           12.3112,            9.5694,            0.1682,            0.6188,           -0.3401,           -0.8351,           -6.5884,
Ref 12,4.48496e-08,,,,,,1.1877e-02,4.1797e-03,4.8660e-05,4.4611e-06,7.9038e-08,,,,,,,,,,,
Sam 12,4.51594e-08,1.19140e-02,4.2071e-03,4.9109e-05,4.5163e-06,7.8452e-08,,,,,,            3.0824,            6.5560,            9.3037,           12.4981,           -7.2805,            0.1638,            0.6176,           -0.3420,           -0.6483,          -23.1619,
Ref 13,4.41011e-08,,,,,,1.1877e-02,4.1797e-03,4.8652e-05,4.4599e-06,7.9017e-08,,,,,,,,,,,
Sam 13,4.44574e-08,1.19139e-02,4.2071e-03,4.9111e-05,4.5187e-06,7.8830e-08,,,,,,            3.0823,            6.5489,            9.3591,           13.0373,           -0.3613,            0.1639,            0.6106,           -0.2801,           -0.1021,          -16.3397,
Ref 14,4.34007e-08,,,,,,1.1877e-02,4.1797e-03,4.8660e-05,4.4612e-06,7.8698e-08,,,,,,,,,,,
Sam 14,4.37291e-08,1.19139e-02,4.2070e-03,4.9106e-05,4.5178e-06,7.8569e-08,,,,,,            3.0939,            6.5449,            9.2601,           13.1111,            3.5039,            0.1764,            0.6065,           -0.3862,           -0.0213,          -12.5406,
Ref 15,4.26830e-08,,,,,,1.1877e-02,4.1797e-03,4.8652e-05,4.4575e-06,7.7884e-08,,,,,,,,,,,
Sam 15,4.30334e-08,1.19137e-02,4.2070e-03,4.9111e-05,4.5184e-06,7.9419e-08,,,,,,            3.0815,            6.5495,            9.4120,           13.3249,           18.5980,            0.1630,            0.6111,           -0.2275,            0.1808,            2.3164,
Ref 16,4.19457e-08,,,,,,1.1877e-02,4.1796e-03,4.8655e-05,4.4604e-06,7.8055e-08,,,,,,,,,,,
Sam 16,4.23528e-08,1.19138e-02,4.2070e-03,4.9112e-05,4.5165e-06,7.8449e-08,,,,,,            3.0851,            6.5589,            9.4333,           12.3895,            0.8090,            0.1666,            0.6205,           -0.2193,           -0.7613,          -15.2104,
Ref 17,4.12567e-08,,,,,,1.1877e-02,4.1796e-03,4.8651e-05,4.4621e-06,7.8722e-08,,,,,,,,,,,
Sam 17,4.16771e-08,1.19137e-02,4.2071e-03,4.9112e-05,4.5185e-06,8.0227e-08,,,,,,            3.0858,            6.5605,            9.4396,           12.8630,           21.9858,            0.1672,            0.6221,           -0.2153,           -0.2971,            5.6238,
Ref 18,4.06136e-08,,,,,,1.1877e-02,4.1797e-03,4.8654e-05,4.4601e-06,7.8278e-08,,,,,,,,,,,
Sam 18,4.10225e-08,1.19137e-02,4.2069e-03,4.9110e-05,4.5160e-06,7.9106e-08,,,,,,            3.0926,            6.5407,            9.4176,           12.7870,           11.1035,            0.1751,            0.6023,           -0.2248,           -0.3328,           -5.0530,
Ref 19,3.99288e-08,,,,,,1.1877e-02,4.1795e-03,4.8650e-05,4.4578e-06,7.8196e-08,,,,,,,,,,,
Sam 19,4.03788e-08,1.19135e-02,4.2070e-03,4.9106e-05,4.5176e-06,7.9025e-08,,,,,,            3.0861,            6.5623,            9.3432,           13.3634,            6.0002,            0.1674,            0.6239,           -0.3128,            0.1933,          -10.1097,
Ref 20,3.93148e-08,,,,,,1.1877e-02,4.1795e-03,4.8653e-05,4.4582e-06,7.8917e-08,,,,,,,,,,,
Sam 20,3.97544e-08,1.19136e-02,4.2070e-03,4.9110e-05,4.5176e-06,7.7891e-08,,,,,,            3.0950,            6.5680,            9.3646,           13.2095,          -13.8670,            0.1768,            0.6295,           -0.3064,            0.0300,          -29.6789,
Ref 21,3.86862e-08,,,,,,1.1877e-02,4.1796e-03,4.8657e-05,4.4593e-06,7.9058e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.83692e-08,,,,,,1.1877e-02,4.1796e-03,4.8645e-05,4.4585e-06,7.5512e-08,
Sam 1,3.88460e-08,1.19135e-02,4.2069e-03,4.9105e-05,4.5184e-06,7.8079e-08,,,,,,            3.0934,            6.5523,            9.3911,           13.4216,           24.9149,            0.1755,            0.6139,           -0.2631,            0.2705,            8.5141,
Ref 2,3.77377e-08,,,,,,1.1877e-02,4.1796e-03,4.8651e-05,4.4587e-06,7.6861e-08,,,,,,,,,,,
Sam 2,3.82597e-08,1.19133e-02,4.2069e-03,4.9104e-05,4.5166e-06,7.8532e-08,,,,,,            3.0806,            6.5504,            9.3039,           13.0540,           16.6895,            0.1620,            0.6120,           -0.3345,           -0.0885,            0.4376,
Ref 3,3.71467e-08,,,,,,1.1877e-02,4.1795e-03,4.8651e-05,4.4580e-06,7.7631e-08,,,,,,,,,,,
Sam 3,3.76703e-08,1.19133e-02,4.2070e-03,4.9107e-05,4.5165e-06,7.7706e-08,,,,,,            3.0775,            6.5610,            9.4052,           12.9441,          -10.9569,            0.1584,            0.6225,           -0.2413,           -0.2180,          -26.7839,
Ref 4,3.65945e-08,,,,,,1.1877e-02,4.1795e-03,4.8648e-05,4.4596e-06,7.9516e-08,,,,,,,,,,,
Sam 4,3.70982e-08,1.19133e-02,4.2069e-03,4.9104e-05,4.5134e-06,7.8885e-08,,,,,,            3.0937,            6.5407,            9.3611,           12.1439,            4.9305,            0.1763,            0.6023,           -0.2818,           -0.9675,          -11.1285,
Ref 5,3.60200e-08,,,,,,1.1876e-02,4.1795e-03,4.8650e-05,4.4588e-06,7.7463e-08,,,,,,,,,,,
Sam 5,3.65402e-08,1.19131e-02,4.2069e-03,4.9105e-05,4.5141e-06,7.9575e-08,,,,,,            3.0797,            6.5570,            9.3656,           12.5555,           22.8762,            0.1608,            0.6186,           -0.2789,           -0.5936,            6.5133,
Ref 6,3.54453e-08,,,,,,1.1877e-02,4.1795e-03,4.8649e-05,4.4575e-06,7.8134e-08,,,,,,,,,,,
Sam 6,3.60010e-08,1.19131e-02,4.2068e-03,4.9108e-05,4.5167e-06,8.1284e-08,,,,,,            3.0806,            6.5381,            9.4635,           13.4939,           38.4651,            0.1624,            0.5998,           -0.1644,            0.3701,           21.8896,
Ref 7,3.49173e-08,,,,,,1.1876e-02,4.1795e-03,4.8646e-05,4.4556e-06,7.8414e-08,,,,,,,,,,,
Sam 7,3.54807e-08,1.19132e-02,4.2068e-03,4.9106e-05,4.5173e-06,7.8398e-08,,,,,,            3.0920,            6.5339,            9.4325,           13.8390,          -14.3008,            0.1747,            0.5956,           -0.2027,            0.7191,          -30.0378,
Ref 8,3.43819e-08,,,,,,1.1876e-02,4.1795e-03,4.8648e-05,4.4556e-06,8.0675e-08,,,,,,,,,,,
Sam 8,3.49398e-08,1.19131e-02,4.2068e-03,4.9102e-05,4.5142e-06,8.1014e-08,,,,,,            3.0886,            6.5449,            9.3514,           12.5816,           16.5387,            0.1708,            0.6066,           -0.2904,           -0.5439,            0.2913,
Ref 9,3.38622e-08,,,,,,1.1876e-02,4.1794e-03,4.8647e-05,4.4607e-06,7.8703e-08,,,,,,,,,,,
Sam 9,3.44299e-08,1.19130e-02,4.2068e-03,4.9106e-05,4.5160e-06,7.9228e-08,,,,,,            3.0862,            6.5460,            9.3741,           12.4927,            0.4846,            0.1681,            0.6076,           -0.2665,           -0.6338,          -15.5057,
Ref 10,3.33396e-08,,,,,,1.1876e-02,4.1794e-03,4.8653e-05,4.4598e-06,7.9684e-08,,,,,,,,,,,
Sam 10,3.39184e-08,1.19130e-02,4.2068e-03,4.9114e-05,4.5161e-06,8.0449e-08,,,,,,            3.0846,            6.5368,            9.5124,           12.8628,           13.2469,            0.1668,            0.5984,           -0.1188,           -0.2501,           -2.9277,
Ref 11,3.28375e-08,,,,,,1.1876e-02,4.1795e-03,4.8649e-05,4.4576e-06,7.9106e-08,,,,,,,,,,,
Sam 11,3.34310e-08,1.19129e-02,4.2068e-03,4.9105e-05,4.5160e-06,8.0360e-08,,,,,,            3.0787,            6.5393,            9.4076,           13.2269,           12.9413,            0.1604,            0.6010,           -0.2190,            0.1041,           -3.2273,
Ref 12,3.23497e-08,,,,,,1.1876e-02,4.1794e-03,4.8645e-05,4.4564e-06,7.9563e-08,,,,,,,,,,,
Sam 12,3.29490e-08,1.19129e-02,4.2068e-03,4.9107e-05,4.5152e-06,7.9695e-08,,,,,,            3.0845,            6.5703,            9.4469,           13.4569,            2.5145,            0.1655,            0.6318,           -0.2163,            0.2696,          -13.5534,
Ref 13,3.18629e-08,,,,,,1.1876e-02,4.1794e-03,4.8649e-05,4.4542e-06,7.9426e-08,,,,,,,,,,,
Sam 13,3.24700e-08,1.19128e-02,4.2068e-03,4.9099e-05,4.5146e-06,7.7793e-08,,,,,,            3.0898,            6.5615,            9.2273,           13.3576,          -28.4053,            0.1714,            0.6230,           -0.4306,            0.1892,          -43.9664,
Ref 14,3.14066e-08,,,,,,1.1876e-02,4.1793e-03,4.8652e-05,4.4561e-06,8.0717e-08,,,,,,,,,,,
Sam 14,3.20216e-08,1.19128e-02,4.2068e-03,4.9092e-05,4.5144e-06,7.9781e-08,,,,,,            3.0890,            6.5616,            9.1259,           13.1436,           -5.4080,            0.1706,            0.6231,           -0.5304,           -0.0223,          -21.3368,
Ref 15,3.09349e-08,,,,,,1.1876e-02,4.1793e-03,4.8645e-05,4.4555e-06,7.9705e-08,,,,,,,,,,,
Sam 15,3.15594e-08,1.19127e-02,4.2068e-03,4.9105e-05,4.5119e-06,7.9726e-08,,,,,,            3.0843,            6.5690,            9.4357,           12.4726,            1.0371,            0.1654,            0.6305,           -0.2260,           -0.6992,          -15.0043,
Ref 16,3.04712e-08,,,,,,1.1876e-02,4.1793e-03,4.8647e-05,4.4572e-06,7.9580e-08,,,,,,,,,,,
Sam 16,3.11024e-08,1.19126e-02,4.2067e-03,4.9093e-05,4.5134e-06,8.0449e-08,,,,,,            3.0807,            6.5406,            9.2099,           12.6359,           21.2538,            0.1625,            0.6022,           -0.4181,           -0.4817,            4.9480,
Ref 17,3.00298e-08,,,,,,1.1876e-02,4.1794e-03,4.8642e-05,4.4570e-06,7.7957e-08,,,,,,,,,,,
Sam 17,3.06734e-08,1.19126e-02,4.2067e-03,4.9094e-05,4.5129e-06,8.1994e-08,,,,,,            3.0883,            6.5404,            9.2052,           12.5298,           52.1768,            0.1706,            0.6021,           -0.4305,           -0.5862,           35.3692,
Ref 18,2.95890e-08,,,,,,1.1876e-02,4.1793e-03,4.8650e-05,4.4571e-06,7.7898e-08,,,,,,,,,,,
Sam 18,3.02327e-08,1.19126e-02,4.2066e-03,4.9103e-05,4.5139e-06,7.8463e-08,,,,,,            3.0939,            6.5318,            9.2994,           12.8154,          -13.0954,            0.1768,            0.5934,           -0.3343,           -0.2870,          -28.8496,
Ref 19,2.91557e-08,,,,,,1.1876e-02,4.1794e-03,4.8651e-05,4.4564e-06,8.1134e-08,,,,,,,,,,,
Sam 19,2.98127e-08,1.19125e-02,4.2066e-03,4.9100e-05,4.5112e-06,7.8945e-08,,,,,,            3.0856,            6.5305,            9.3560,           12.4606,          -20.6515,            0.1680,            0.5922,           -0.2686,           -0.6347,          -36.2742,
Ref 20,2.87393e-08,,,,,,1.1876e-02,4.1793e-03,4.8639e-05,4.4549e-06,8.0076e-08,,,,,,,,,,,
Sam 20,2.93962e-08,1.19125e-02,4.2066e-03,4.9103e-05,4.5146e-06,8.2581e-08,,,,,,            3.0842,            6.5307,            9.5158,           13.3371,           28.2372,            0.1665,            0.5924,           -0.1091,            0.2301,           11.8357,
Ref 21,2.83335e-08,,,,,,1.1876e-02,4.1793e-03,4.8642e-05,4.4554e-06,8.0554e-08,,,,,,,,,,,


