Nu Stable Isotope Analysis Program
Data Collected on Tuesday, October 24, 2023 at 23:17 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, October 25, 2023 at 00:16 with Stable 1.71.5 on PS019

Data File = Data_20666 BD1 15.5A.txt,     Sample Weight = 412,                      Vial Location = 7,                        Initial Sam Beam = 2.5022e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8357e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02167
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.69925e-08,,,,,,1.1879e-02,4.1803e-03,4.8669e-05,4.4590e-06,7.2053e-08,
Sam 1,7.60857e-08,1.19439e-02,4.2277e-03,4.9478e-05,4.5593e-06,7.5114e-08,,,,,,            5.4200,           11.3245,           16.6276,           22.2008,           34.1378,            2.4869,            5.3579,           -0.1619,           -0.5635,            5.6848,
Ref 2,7.53663e-08,,,,,,1.1880e-02,4.1805e-03,4.8669e-05,4.4617e-06,7.3228e-08,,,,,,,,,,,
Sam 2,7.48891e-08,1.19439e-02,4.2277e-03,4.9470e-05,4.5605e-06,7.4812e-08,,,,,,            5.4132,           11.3104,           16.4604,           22.2398,           21.6832,            2.4802,            5.3439,           -0.3058,           -0.4977,           -6.3929,
Ref 3,7.41723e-08,,,,,,1.1880e-02,4.1805e-03,4.8670e-05,4.4610e-06,7.3221e-08,,,,,,,,,,,
Sam 3,7.34262e-08,1.19438e-02,4.2278e-03,4.9474e-05,4.5625e-06,7.3344e-08,,,,,,            5.4195,           11.3099,           16.5071,           22.8273,            3.3649,            2.4869,            5.3433,           -0.2657,            0.0779,          -24.2133,
Ref 4,7.24916e-08,,,,,,1.1879e-02,4.1805e-03,4.8670e-05,4.4603e-06,7.2972e-08,,,,,,,,,,,
Sam 4,7.17506e-08,1.19438e-02,4.2277e-03,4.9471e-05,4.5624e-06,7.4698e-08,,,,,,            5.4182,           11.3085,           16.4444,           22.8286,           22.2644,            2.4855,            5.3419,           -0.3247,            0.0820,           -5.8291,
Ref 5,7.10013e-08,,,,,,1.1879e-02,4.1804e-03,4.8670e-05,4.4608e-06,7.3171e-08,,,,,,,,,,,
Sam 5,7.03002e-08,1.19436e-02,4.2277e-03,4.9471e-05,4.5618e-06,7.5120e-08,,,,,,            5.4088,           11.3011,           16.4683,           22.6342,           30.4377,            2.4758,            5.3346,           -0.2844,           -0.0936,            2.1439,
Ref 6,6.95493e-08,,,,,,1.1879e-02,4.1804e-03,4.8668e-05,4.4609e-06,7.2624e-08,,,,,,,,,,,
Sam 6,6.89064e-08,1.19436e-02,4.2277e-03,4.9475e-05,4.5636e-06,7.5007e-08,,,,,,            5.4086,           11.3105,           16.5514,           22.9238,           25.0023,            2.4753,            5.3440,           -0.2117,            0.1709,           -3.1604,
Ref 7,6.81514e-08,,,,,,1.1879e-02,4.1804e-03,4.8670e-05,4.4618e-06,7.3741e-08,,,,,,,,,,,
Sam 7,6.75503e-08,1.19435e-02,4.2277e-03,4.9470e-05,4.5613e-06,7.5337e-08,,,,,,            4.7346,            9.9005,           14.3432,           19.4373,           14.3415,            1.8067,            3.9423,           -0.3221,           -0.4526,          -10.1115,
Ref 8,6.92423e-08,,,,,,1.1895e-02,4.1920e-03,4.8870e-05,4.4867e-06,7.4794e-08,,,,,,,,,,,
Sam 8,6.65368e-08,1.19434e-02,4.2277e-03,4.9469e-05,4.5613e-06,7.4577e-08,,,,,,            4.7282,            9.8788,           14.3116,           19.1956,            7.5983,            1.8006,            3.9207,           -0.3256,           -0.6468,          -16.6440,
Ref 9,6.57742e-08,,,,,,1.1879e-02,4.1803e-03,4.8667e-05,4.4635e-06,7.3193e-08,,,,,,,,,,,
Sam 9,6.52425e-08,1.19433e-02,4.2276e-03,4.9470e-05,4.5611e-06,7.4483e-08,,,,,,            5.4087,           11.3113,           16.4801,           22.1254,           13.2253,            2.4753,            5.3448,           -0.2826,           -0.6113,          -14.6154,
Ref 10,6.44686e-08,,,,,,1.1879e-02,4.1803e-03,4.8669e-05,4.4613e-06,7.3835e-08,,,,,,,,,,,
Sam 10,6.39821e-08,1.19432e-02,4.2276e-03,4.9467e-05,4.5598e-06,7.4966e-08,,,,,,            5.4139,           11.3093,           16.4084,           22.1993,           15.4705,            2.4810,            5.3428,           -0.3565,           -0.5350,          -12.4335,
Ref 11,6.32009e-08,,,,,,1.1879e-02,4.1802e-03,4.8668e-05,4.4602e-06,7.3814e-08,,,,,,,,,,,
Sam 11,6.27553e-08,1.19432e-02,4.2275e-03,4.9466e-05,4.5600e-06,7.5537e-08,,,,,,            5.4158,           11.3156,           16.4401,           22.2755,           19.8010,            2.4828,            5.3491,           -0.3335,           -0.4730,           -8.2362,
Ref 12,6.19753e-08,,,,,,1.1879e-02,4.1802e-03,4.8664e-05,4.4611e-06,7.4333e-08,,,,,,,,,,,
Sam 12,6.16173e-08,1.19431e-02,4.2275e-03,4.9469e-05,4.5604e-06,7.5490e-08,,,,,,            5.4135,           11.3118,           16.6208,           22.3189,           18.1565,            2.4805,            5.3453,           -0.1497,           -0.4230,           -9.8257,
Ref 13,6.07063e-08,,,,,,1.1879e-02,4.1802e-03,4.8658e-05,4.4606e-06,7.3951e-08,,,,,,,,,,,
Sam 13,6.03435e-08,1.19430e-02,4.2274e-03,4.9469e-05,4.5613e-06,7.5015e-08,,,,,,            5.4109,           11.2980,           16.5894,           22.6458,           14.7909,            2.4781,            5.3315,           -0.1644,           -0.0761,          -13.0695,
Ref 14,5.95524e-08,,,,,,1.1879e-02,4.1802e-03,4.8666e-05,4.4600e-06,7.3892e-08,,,,,,,,,,,
Sam 14,5.92689e-08,1.19428e-02,4.2274e-03,4.9467e-05,4.5595e-06,7.5310e-08,,,,,,            5.4041,           11.3041,           16.5522,           22.1831,           13.8998,            2.4707,            5.3377,           -0.2000,           -0.5406,          -13.9408,
Ref 15,5.84904e-08,,,,,,1.1879e-02,4.1801e-03,4.8658e-05,4.4611e-06,7.4671e-08,,,,,,,,,,,
Sam 15,5.81740e-08,1.19427e-02,4.2274e-03,4.9464e-05,4.5617e-06,7.5514e-08,,,,,,            5.4058,           11.2987,           16.5160,           22.7235,           12.6489,            2.4727,            5.3322,           -0.2320,           -0.0014,          -15.1487,
Ref 16,5.74324e-08,,,,,,1.1878e-02,4.1801e-03,4.8663e-05,4.4595e-06,7.4468e-08,,,,,,,,,,,
Sam 16,5.71314e-08,1.19427e-02,4.2274e-03,4.9463e-05,4.5613e-06,7.5330e-08,,,,,,            5.4122,           11.3166,           16.4807,           22.8249,           13.2343,            2.4789,            5.3500,           -0.2907,            0.0623,          -14.6204,
Ref 17,5.64377e-08,,,,,,1.1878e-02,4.1801e-03,4.8660e-05,4.4595e-06,7.4222e-08,,,,,,,,,,,
Sam 17,5.61529e-08,1.19426e-02,4.2274e-03,4.9467e-05,4.5596e-06,7.4967e-08,,,,,,            5.4050,           11.3138,           16.5432,           22.3183,            9.0593,            2.4713,            5.3472,           -0.2192,           -0.4275,          -18.6677,
Ref 18,5.52730e-08,,,,,,1.1878e-02,4.1801e-03,4.8665e-05,4.4606e-06,7.4369e-08,,,,,,,,,,,
Sam 18,5.50833e-08,1.19425e-02,4.2273e-03,4.9461e-05,4.5604e-06,7.4820e-08,,,,,,            5.4094,           11.3093,           16.3017,           22.5971,            5.7178,            2.4761,            5.3428,           -0.4568,           -0.1461,          -21.9135,
Ref 19,5.42520e-08,,,,,,1.1878e-02,4.1800e-03,4.8670e-05,4.4586e-06,7.4420e-08,,,,,,,,,,,
Sam 19,5.40948e-08,1.19425e-02,4.2273e-03,4.9464e-05,4.5595e-06,7.6937e-08,,,,,,            5.4143,           11.3071,           16.4545,           22.6774,           36.5124,            2.4815,            5.3406,           -0.3095,           -0.0632,            8.0341,
Ref 20,5.32770e-08,,,,,,1.1878e-02,4.1800e-03,4.8657e-05,4.4582e-06,7.4030e-08,,,,,,,,,,,
Sam 20,5.31880e-08,1.19423e-02,4.2272e-03,4.9463e-05,4.5611e-06,7.5845e-08,,,,,,            5.4112,           11.2980,           16.5894,           22.7922,           18.1952,            2.4785,            5.3316,           -0.1648,            0.0670,           -9.7591,
Ref 21,5.23916e-08,,,,,,1.1878e-02,4.1800e-03,4.8654e-05,4.4607e-06,7.4957e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.19223e-08,,,,,,1.1878e-02,4.1799e-03,4.8657e-05,4.4585e-06,7.3255e-08,
Sam 1,5.17702e-08,1.19422e-02,4.2272e-03,4.9462e-05,4.5601e-06,7.5877e-08,,,,,,            5.4131,           11.3080,           16.5293,           22.5316,           31.5601,            2.4801,            5.3415,           -0.2355,           -0.2075,            3.2175,
Ref 2,5.09646e-08,,,,,,1.1878e-02,4.1799e-03,4.8659e-05,4.4607e-06,7.3863e-08,,,,,,,,,,,
Sam 2,5.08770e-08,1.19421e-02,4.2272e-03,4.9463e-05,4.5586e-06,7.6341e-08,,,,,,            5.4138,           11.3012,           16.4705,           22.2285,           27.2309,            2.4812,            5.3347,           -0.2875,           -0.4904,           -0.9804,
Ref 3,5.00569e-08,,,,,,1.1878e-02,4.1799e-03,4.8663e-05,4.4582e-06,7.4781e-08,,,,,,,,,,,
Sam 3,4.99974e-08,1.19421e-02,4.2271e-03,4.9459e-05,4.5603e-06,7.6325e-08,,,,,,            5.4160,           11.2991,           16.4190,           22.6358,           20.2870,            2.4835,            5.3326,           -0.3383,           -0.0879,           -7.7317,
Ref 4,4.91602e-08,,,,,,1.1878e-02,4.1799e-03,4.8656e-05,4.4604e-06,7.4835e-08,,,,,,,,,,,
Sam 4,4.90896e-08,1.19420e-02,4.2272e-03,4.9461e-05,4.5602e-06,7.5132e-08,,,,,,            5.4095,           11.3102,           16.5187,           22.3720,            2.9404,            2.4763,            5.3437,           -0.2444,           -0.3679,          -24.6165,
Ref 5,4.82741e-08,,,,,,1.1878e-02,4.1799e-03,4.8658e-05,4.4604e-06,7.4990e-08,,,,,,,,,,,
Sam 5,4.83016e-08,1.19420e-02,4.2271e-03,4.9457e-05,4.5591e-06,7.6343e-08,,,,,,            5.4151,           11.3043,           16.4415,           22.3365,           24.5432,            2.4824,            5.3378,           -0.3203,           -0.3910,           -3.6016,
Ref 6,4.74797e-08,,,,,,1.1878e-02,4.1798e-03,4.8655e-05,4.4585e-06,7.4031e-08,,,,,,,,,,,
Sam 6,4.74473e-08,1.19419e-02,4.2271e-03,4.9457e-05,4.5590e-06,7.5751e-08,,,,,,            5.4207,           11.3016,           16.4112,           22.4975,           22.0980,            2.4884,            5.3351,           -0.3533,           -0.2282,           -5.9803,
Ref 7,4.66262e-08,,,,,,1.1877e-02,4.1798e-03,4.8661e-05,4.4589e-06,7.4197e-08,,,,,,,,,,,
Sam 7,4.66960e-08,1.19418e-02,4.2270e-03,4.9455e-05,4.5578e-06,7.5491e-08,,,,,,            5.4163,           11.2961,           16.3613,           22.0752,           13.5594,            2.4840,            5.3296,           -0.3924,           -0.6302,          -14.2692,
Ref 8,4.58810e-08,,,,,,1.1878e-02,4.1798e-03,4.8657e-05,4.4599e-06,7.4771e-08,,,,,,,,,,,
Sam 8,4.59266e-08,1.19418e-02,4.2270e-03,4.9458e-05,4.5599e-06,7.5829e-08,,,,,,            5.4151,           11.2890,           16.4855,           22.6072,           15.8575,            2.4829,            5.3226,           -0.2621,           -0.0960,          -12.0193,
Ref 9,4.50620e-08,,,,,,1.1877e-02,4.1798e-03,4.8655e-05,4.4583e-06,7.4519e-08,,,,,,,,,,,
Sam 9,4.51670e-08,1.19416e-02,4.2270e-03,4.9452e-05,4.5591e-06,7.5881e-08,,,,,,            5.4104,           11.2908,           16.3415,           22.5613,           17.5041,            2.4779,            5.3244,           -0.4008,           -0.1445,          -10.4165,
Ref 10,4.43355e-08,,,,,,1.1877e-02,4.1798e-03,4.8659e-05,4.4587e-06,7.4634e-08,,,,,,,,,,,
Sam 10,4.44204e-08,1.19416e-02,4.2270e-03,4.9458e-05,4.5617e-06,7.6013e-08,,,,,,            5.4090,           11.2983,           16.3993,           23.2023,           14.2869,            2.4761,            5.3318,           -0.3497,            0.4675,          -13.5582,
Ref 11,4.35770e-08,,,,,,1.1877e-02,4.1798e-03,4.8661e-05,4.4578e-06,7.5256e-08,,,,,,,,,,,
Sam 11,4.36941e-08,1.19414e-02,4.2269e-03,4.9457e-05,4.5557e-06,7.6336e-08,,,,,,            5.4013,           11.2800,           16.4175,           22.0976,           26.9728,            2.4685,            5.3136,           -0.3061,           -0.5764,           -1.1769,
Ref 12,4.28485e-08,,,,,,1.1877e-02,4.1797e-03,4.8655e-05,4.4566e-06,7.3389e-08,,,,,,,,,,,
Sam 12,4.29869e-08,1.19414e-02,4.2269e-03,4.9454e-05,4.5591e-06,7.6452e-08,,,,,,            5.4080,           11.2926,           16.3703,           22.8654,           30.3848,            2.4752,            5.3262,           -0.3717,            0.1492,            2.1097,
Ref 13,4.21323e-08,,,,,,1.1877e-02,4.1797e-03,4.8660e-05,4.4579e-06,7.5019e-08,,,,,,,,,,,
Sam 13,4.23116e-08,1.19414e-02,4.2269e-03,4.9458e-05,4.5597e-06,7.7004e-08,,,,,,            5.4134,           11.2845,           16.4514,           22.9572,           19.6981,            2.4813,            5.3181,           -0.2897,            0.2551,           -8.2737,
Ref 14,4.14229e-08,,,,,,1.1877e-02,4.1797e-03,4.8655e-05,4.4568e-06,7.6023e-08,,,,,,,,,,,
Sam 14,4.16187e-08,1.19414e-02,4.2269e-03,4.9454e-05,4.5571e-06,7.6581e-08,,,,,,            5.4085,           11.2945,           16.4267,           22.4283,           21.0761,            2.4757,            5.3281,           -0.3187,           -0.2819,           -6.9477,
Ref 15,4.07912e-08,,,,,,1.1877e-02,4.1797e-03,4.8654e-05,4.4575e-06,7.3961e-08,,,,,,,,,,,
Sam 15,4.09664e-08,1.19414e-02,4.2269e-03,4.9454e-05,4.5598e-06,7.6159e-08,,,,,,            5.4181,           11.3019,           16.4532,           22.9099,           27.0366,            2.4857,            5.3354,           -0.3095,            0.1744,           -1.1753,
Ref 16,4.01304e-08,,,,,,1.1877e-02,4.1796e-03,4.8653e-05,4.4577e-06,7.4350e-08,,,,,,,,,,,
Sam 16,4.03280e-08,1.19413e-02,4.2269e-03,4.9455e-05,4.5578e-06,7.7222e-08,,,,,,            5.4180,           11.2955,           16.4878,           22.6417,           40.6482,            2.4858,            5.3291,           -0.2693,           -0.0752,           12.0751,
Ref 17,3.94836e-08,,,,,,1.1877e-02,4.1797e-03,4.8653e-05,4.4560e-06,7.4060e-08,,,,,,,,,,,
Sam 17,3.96984e-08,1.19412e-02,4.2268e-03,4.9451e-05,4.5603e-06,7.5799e-08,,,,,,            5.4135,           11.2782,           16.4074,           23.2352,           16.8453,            2.4816,            5.3118,           -0.3269,            0.5394,          -11.0362,
Ref 18,3.88519e-08,,,,,,1.1877e-02,4.1797e-03,4.8653e-05,4.4574e-06,7.5034e-08,,,,,,,,,,,
Sam 18,3.90623e-08,1.19411e-02,4.2268e-03,4.9449e-05,4.5590e-06,7.6781e-08,,,,,,            5.4115,           11.2904,           16.3833,           22.9228,           26.6192,            2.4791,            5.3240,           -0.3604,            0.2098,           -1.5519,
Ref 19,3.82370e-08,,,,,,1.1877e-02,4.1796e-03,4.8652e-05,4.4562e-06,7.4543e-08,,,,,,,,,,,
Sam 19,3.84405e-08,1.19411e-02,4.2268e-03,4.9454e-05,4.5592e-06,7.6939e-08,,,,,,            5.4169,           11.2843,           16.4698,           23.4462,           22.6864,            2.4850,            5.3179,           -0.2749,            0.7337,           -5.3707,
Ref 20,3.76382e-08,,,,,,1.1877e-02,4.1797e-03,4.8655e-05,4.4533e-06,7.5933e-08,,,,,,,,,,,
Sam 20,3.78818e-08,1.19410e-02,4.2268e-03,4.9451e-05,4.5582e-06,7.6412e-08,,,,,,            5.4142,           11.2867,           16.4122,           23.1883,            8.7810,            2.4821,            5.3203,           -0.3311,            0.4768,          -18.8963,
Ref 21,3.70416e-08,,,,,,1.1877e-02,4.1796e-03,4.8651e-05,4.4565e-06,7.5558e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.67507e-08,,,,,,1.1877e-02,4.1795e-03,4.8643e-05,4.4546e-06,7.2274e-08,
Sam 1,3.70183e-08,1.19409e-02,4.2267e-03,4.9452e-05,4.5582e-06,7.6248e-08,,,,,,            5.4073,           11.2812,           16.5700,           23.2614,           36.9949,            2.4749,            5.3148,           -0.1635,            0.5591,            8.5617,
Ref 2,3.61728e-08,,,,,,1.1877e-02,4.1796e-03,4.8649e-05,4.4547e-06,7.4802e-08,,,,,,,,,,,
Sam 2,3.64199e-08,1.19409e-02,4.2268e-03,4.9453e-05,4.5567e-06,7.5866e-08,,,,,,            5.4154,           11.2964,           16.5040,           22.9078,           10.7811,            2.4830,            5.3299,           -0.2515,            0.1833,          -16.9709,
Ref 3,3.56154e-08,,,,,,1.1877e-02,4.1795e-03,4.8651e-05,4.4547e-06,7.5315e-08,,,,,,,,,,,
Sam 3,3.58817e-08,1.19409e-02,4.2268e-03,4.9449e-05,4.5564e-06,7.5868e-08,,,,,,            5.4155,           11.2984,           16.4660,           22.6875,           13.1278,            2.4830,            5.3320,           -0.2910,           -0.0362,          -14.6926,
Ref 4,3.50388e-08,,,,,,1.1877e-02,4.1796e-03,4.8645e-05,4.4559e-06,7.4447e-08,,,,,,,,,,,
Sam 4,3.53706e-08,1.19407e-02,4.2267e-03,4.9449e-05,4.5558e-06,7.5392e-08,,,,,,            5.4056,           11.2867,           16.4493,           22.4718,           12.6974,            2.4729,            5.3203,           -0.2859,           -0.2240,          -15.0785,
Ref 5,3.45278e-08,,,,,,1.1876e-02,4.1795e-03,4.8653e-05,4.4555e-06,7.4446e-08,,,,,,,,,,,
Sam 5,3.48500e-08,1.19407e-02,4.2267e-03,4.9449e-05,4.5542e-06,7.6092e-08,,,,,,            5.4087,           11.2929,           16.4152,           22.2103,           12.7244,            2.4760,            5.3265,           -0.3285,           -0.4919,          -15.0673,
Ref 6,3.40052e-08,,,,,,1.1876e-02,4.1795e-03,4.8647e-05,4.4550e-06,7.5837e-08,,,,,,,,,,,
Sam 6,3.43345e-08,1.19407e-02,4.2267e-03,4.9446e-05,4.5540e-06,7.9266e-08,,,,,,            5.4146,           11.2856,           16.4023,           22.0826,           65.9295,            2.4825,            5.3192,           -0.3402,           -0.6024,           36.6859,
Ref 7,3.34825e-08,,,,,,1.1876e-02,4.1795e-03,4.8649e-05,4.4563e-06,7.2866e-08,,,,,,,,,,,
Sam 7,3.38312e-08,1.19406e-02,4.2266e-03,4.9451e-05,4.5568e-06,7.5107e-08,,,,,,            5.4106,           11.2743,           16.4931,           22.6632,           10.9122,            2.4787,            5.3080,           -0.2358,           -0.0123,          -16.7961,
Ref 8,3.29784e-08,,,,,,1.1876e-02,4.1795e-03,4.8649e-05,4.4554e-06,7.5748e-08,,,,,,,,,,,
Sam 8,3.33474e-08,1.19406e-02,4.2267e-03,4.9449e-05,4.5555e-06,7.5687e-08,,,,,,            5.4161,           11.2920,           16.4663,           22.4008,            0.8322,            2.4839,            5.3255,           -0.2850,           -0.3037,          -26.6389,
Ref 9,3.24856e-08,,,,,,1.1876e-02,4.1795e-03,4.8647e-05,4.4560e-06,7.5498e-08,,,,,,,,,,,
Sam 9,3.28523e-08,1.19405e-02,4.2266e-03,4.9452e-05,4.5554e-06,7.6055e-08,,,,,,            5.4140,           11.2752,           16.6176,           22.2684,            4.4720,            2.4822,            5.3089,           -0.1178,           -0.4001,          -23.0651,
Ref 10,3.19990e-08,,,,,,1.1876e-02,4.1794e-03,4.8641e-05,4.4563e-06,7.5937e-08,,,,,,,,,,,
Sam 10,3.23751e-08,1.19405e-02,4.2266e-03,4.9445e-05,4.5545e-06,7.6104e-08,,,,,,            5.4130,           11.2771,           16.5032,           22.4051,           13.9603,            2.4811,            5.3107,           -0.2310,           -0.2700,          -13.8394,
Ref 11,3.15206e-08,,,,,,1.1876e-02,4.1795e-03,4.8644e-05,4.4530e-06,7.4162e-08,,,,,,,,,,,
Sam 11,3.19097e-08,1.19404e-02,4.2266e-03,4.9449e-05,4.5537e-06,7.6956e-08,,,,,,            5.4122,           11.2728,           16.5150,           22.5169,           35.2713,            2.4804,            5.3064,           -0.2144,           -0.1522,            6.8966,
Ref 12,3.10472e-08,,,,,,1.1876e-02,4.1795e-03,4.8647e-05,4.4538e-06,7.4510e-08,,,,,,,,,,,
Sam 12,3.14493e-08,1.19404e-02,4.2265e-03,4.9445e-05,4.5545e-06,7.5018e-08,,,,,,            5.4201,           11.2672,           16.4291,           22.5983,           17.1659,            2.4890,            5.3009,           -0.3016,           -0.0617,          -10.7101,
Ref 13,3.06084e-08,,,,,,1.1876e-02,4.1794e-03,4.8645e-05,4.4539e-06,7.2984e-08,,,,,,,,,,,
Sam 13,3.10180e-08,1.19404e-02,4.2265e-03,4.9440e-05,4.5527e-06,7.6730e-08,,,,,,            5.4117,           11.2745,           16.2234,           22.0947,           37.3932,            2.4798,            5.3082,           -0.5024,           -0.5685,            8.9574,
Ref 14,3.01547e-08,,,,,,1.1876e-02,4.1794e-03,4.8657e-05,4.4548e-06,7.4960e-08,,,,,,,,,,,
Sam 14,3.05666e-08,1.19402e-02,4.2266e-03,4.9450e-05,4.5554e-06,7.7038e-08,,,,,,            5.3954,           11.2943,           16.3430,           22.6999,           29.4260,            2.4618,            5.3278,           -0.3872,           -0.0158,            1.1875,
Ref 15,2.97046e-08,,,,,,1.1876e-02,4.1794e-03,4.8653e-05,4.4539e-06,7.4711e-08,,,,,,,,,,,
Sam 15,3.01322e-08,1.19403e-02,4.2266e-03,4.9457e-05,4.5538e-06,7.6220e-08,,,,,,            5.4109,           11.2818,           16.5997,           22.3237,            9.1961,            2.4787,            5.3154,           -0.1385,           -0.3589,          -18.4798,
Ref 16,2.92696e-08,,,,,,1.1876e-02,4.1794e-03,4.8646e-05,4.4548e-06,7.6353e-08,,,,,,,,,,,
Sam 16,2.97124e-08,1.19402e-02,4.2266e-03,4.9452e-05,4.5541e-06,7.5612e-08,,,,,,            5.4074,           11.2949,           16.4947,           22.3915,           -5.5002,            2.4745,            5.3284,           -0.2509,           -0.3186,          -32.7940,
Ref 17,2.88499e-08,,,,,,1.1876e-02,4.1793e-03,4.8652e-05,4.4539e-06,7.5703e-08,,,,,,,,,,,
Sam 17,2.92928e-08,1.19401e-02,4.2264e-03,4.9447e-05,4.5556e-06,7.7336e-08,,,,,,            5.4001,           11.2652,           16.3084,           23.0831,           33.0549,            2.4678,            5.2990,           -0.3979,            0.4163,            4.7686,
Ref 18,2.84405e-08,,,,,,1.1876e-02,4.1794e-03,4.8655e-05,4.4517e-06,7.4008e-08,,,,,,,,,,,
Sam 18,2.88908e-08,1.19402e-02,4.2265e-03,4.9448e-05,4.5513e-06,7.5008e-08,,,,,,            5.4166,           11.2802,           16.4294,           22.3184,            6.9922,            2.4848,            5.3139,           -0.3104,           -0.3611,          -20.6262,
Ref 19,2.80312e-08,,,,,,1.1876e-02,4.1793e-03,4.8642e-05,4.4522e-06,7.4974e-08,,,,,,,,,,,
Sam 19,2.84902e-08,1.19400e-02,4.2265e-03,4.9451e-05,4.5526e-06,7.6301e-08,,,,,,            5.4105,           11.2887,           16.6178,           22.6432,           16.1095,            2.4781,            5.3222,           -0.1271,           -0.0601,          -11.7688,
Ref 20,2.76383e-08,,,,,,1.1876e-02,4.1793e-03,4.8644e-05,4.4514e-06,7.5211e-08,,,,,,,,,,,
Sam 20,2.80986e-08,1.19400e-02,4.2265e-03,4.9445e-05,4.5527e-06,7.5736e-08,,,,,,            5.4019,           11.2892,           16.4927,           22.8584,           15.2837,            2.4689,            5.3228,           -0.2418,            0.1493,          -12.5639,
Ref 21,2.72437e-08,,,,,,1.1876e-02,4.1793e-03,4.8641e-05,4.4506e-06,7.3971e-08,,,,,,,,,,,


