Nu Stable Isotope Analysis Program
Data Collected on Wednesday, October 25, 2023 at 04:50 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, October 25, 2023 at 05:49 with Stable 1.71.5 on PS019

Data File = Data_20670 MBE 78B.txt,       Sample Weight = 449,                      Vial Location = 11,                       Initial Sam Beam = 2.5021e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2495e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01918
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.54414e-08,,,,,,1.1880e-02,4.1806e-03,4.8676e-05,4.4607e-06,7.2119e-08,
Sam 1,7.50684e-08,1.19564e-02,4.2061e-03,4.9279e-05,4.5160e-06,7.3478e-08,,,,,,            6.4563,            6.0818,           12.3519,           12.4181,           22.5115,            3.7708,            0.1383,           -0.3223,            0.2150,            3.4990,
Ref 2,7.39197e-08,,,,,,1.1880e-02,4.1808e-03,4.8679e-05,4.4605e-06,7.1596e-08,,,,,,,,,,,
Sam 2,7.35235e-08,1.19567e-02,4.2068e-03,4.9296e-05,4.5165e-06,7.2021e-08,,,,,,            6.4485,            6.1136,           12.5386,           12.4992,           16.0553,            3.7614,            0.1700,           -0.1612,            0.2318,           -2.8911,
Ref 3,7.22416e-08,,,,,,1.1880e-02,4.1816e-03,4.8693e-05,4.4609e-06,7.0153e-08,,,,,,,,,,,
Sam 3,7.21007e-08,1.19568e-02,4.2063e-03,4.9283e-05,4.5165e-06,7.3965e-08,,,,,,            6.4720,            6.0090,           12.2008,           12.3507,           39.3834,            3.7901,            0.0658,           -0.4165,            0.2932,           20.1854,
Ref 4,7.09626e-08,,,,,,1.1879e-02,4.1808e-03,4.8685e-05,4.4620e-06,7.2191e-08,,,,,,,,,,,
Sam 4,7.04650e-08,1.19574e-02,4.2065e-03,4.9285e-05,4.5116e-06,7.2282e-08,,,,,,            6.5691,            6.1796,           12.4361,           11.0036,           -0.0583,            3.8875,            0.2354,           -0.4504,           -1.3768,          -18.9558,
Ref 5,6.95682e-08,,,,,,1.1879e-02,4.1806e-03,4.8674e-05,4.4630e-06,7.2383e-08,,,,,,,,,,,
Sam 5,6.92131e-08,1.19577e-02,4.2067e-03,4.9287e-05,4.5129e-06,7.3923e-08,,,,,,            6.5552,            6.1902,           12.5104,           11.5277,           26.8190,            3.8723,            0.2459,           -0.3731,           -0.8800,            7.4076,
Ref 6,6.82561e-08,,,,,,1.1880e-02,4.1810e-03,4.8682e-05,4.4599e-06,7.1593e-08,,,,,,,,,,,
Sam 6,6.80198e-08,1.19568e-02,4.2072e-03,4.9300e-05,4.5173e-06,7.3863e-08,,,,,,            6.4899,            6.3182,           12.8146,           12.7897,           32.4361,            3.7985,            0.3735,           -0.1311,            0.1121,           12.7348,
Ref 7,6.69348e-08,,,,,,1.1879e-02,4.1806e-03,4.8671e-05,4.4605e-06,7.1491e-08,,,,,,,,,,,
Sam 7,6.67616e-08,1.19558e-02,4.2059e-03,4.9277e-05,4.5140e-06,7.3139e-08,,,,,,            6.4641,            6.0260,           12.3163,           11.7729,           15.5415,            3.7811,            0.0827,           -0.3109,           -0.3115,           -3.2409,
Ref 8,6.55675e-08,,,,,,1.1879e-02,4.1808e-03,4.8683e-05,4.4624e-06,7.2559e-08,,,,,,,,,,,
Sam 8,6.53278e-08,1.19559e-02,4.2061e-03,4.9281e-05,4.5150e-06,7.3398e-08,,,,,,            6.4867,            6.0780,           12.3476,           11.8630,            8.2031,            3.8033,            0.1345,           -0.3541,           -0.3260,          -10.5680,
Ref 9,6.41261e-08,,,,,,1.1879e-02,4.1807e-03,4.8676e-05,4.4618e-06,7.3047e-08,,,,,,,,,,,
Sam 9,6.38639e-08,1.19563e-02,4.2068e-03,4.9284e-05,4.5127e-06,7.3179e-08,,,,,,            6.5302,            6.2418,           12.5292,           11.4623,            5.8579,            3.8440,            0.2974,           -0.3795,           -1.0470,          -13.2309,
Ref 10,6.28653e-08,,,,,,1.1879e-02,4.1807e-03,4.8673e-05,4.4612e-06,7.2453e-08,,,,,,,,,,,
Sam 10,6.26352e-08,1.19569e-02,4.2064e-03,4.9276e-05,4.5112e-06,7.3018e-08,,,,,,            6.5902,            6.2151,           12.3919,           11.0655,            6.8292,            3.9087,            0.2707,           -0.5503,           -1.3861,          -12.2890,
Ref 11,6.17566e-08,,,,,,1.1878e-02,4.1802e-03,4.8672e-05,4.4625e-06,7.2595e-08,,,,,,,,,,,
Sam 11,6.15983e-08,1.19558e-02,4.2060e-03,4.9277e-05,4.5157e-06,7.4259e-08,,,,,,            6.5058,            6.1610,           12.4403,           11.9723,           18.2450,            3.8208,            0.2170,           -0.3632,           -0.3828,           -0.8952,
Ref 12,6.05125e-08,,,,,,1.1879e-02,4.1803e-03,4.8670e-05,4.4620e-06,7.3269e-08,,,,,,,,,,,
Sam 12,6.04986e-08,1.19559e-02,4.2059e-03,4.9282e-05,4.5154e-06,7.3676e-08,,,,,,            6.4948,            6.1212,           12.5990,           11.9340,            6.9730,            3.8105,            0.1774,           -0.1564,           -0.3416,          -11.8670,
Ref 13,5.93660e-08,,,,,,1.1879e-02,4.1804e-03,4.8667e-05,4.4622e-06,7.3061e-08,,,,,,,,,,,
Sam 13,5.93105e-08,1.19556e-02,4.2059e-03,4.9278e-05,4.5153e-06,7.5203e-08,,,,,,            6.4610,            6.0876,           12.3887,           11.8402,           32.8723,            3.7757,            0.1441,           -0.2966,           -0.3676,           13.6504,
Ref 14,5.82033e-08,,,,,,1.1879e-02,4.1805e-03,4.8682e-05,4.4626e-06,7.2554e-08,,,,,,,,,,,
Sam 14,5.82076e-08,1.19557e-02,4.2061e-03,4.9280e-05,4.5151e-06,7.4395e-08,,,,,,            6.4794,            6.1665,           12.3739,           11.7698,           13.5564,            3.7926,            0.2225,           -0.4072,           -0.5938,           -5.4788,
Ref 15,5.72442e-08,,,,,,1.1879e-02,4.1802e-03,4.8674e-05,4.4626e-06,7.4260e-08,,,,,,,,,,,
Sam 15,5.71560e-08,1.19555e-02,4.2057e-03,4.9275e-05,4.5170e-06,7.5169e-08,,,,,,            6.4792,            6.1000,           12.3686,           12.4332,           15.7094,            3.7946,            0.1564,           -0.3472,            0.1937,           -3.2363,
Ref 16,5.60633e-08,,,,,,1.1879e-02,4.1801e-03,4.8672e-05,4.4605e-06,7.3748e-08,,,,,,,,,,,
Sam 16,5.60266e-08,1.19554e-02,4.2056e-03,4.9267e-05,4.5142e-06,7.5038e-08,,,,,,            6.4774,            6.0810,           12.2613,           11.9779,           16.0861,            3.7934,            0.1374,           -0.4326,           -0.2182,           -2.8277,
Ref 17,5.50078e-08,,,,,,1.1878e-02,4.1802e-03,4.8669e-05,4.4611e-06,7.3953e-08,,,,,,,,,,,
Sam 17,5.50310e-08,1.19553e-02,4.2055e-03,4.9271e-05,4.5158e-06,7.4962e-08,,,,,,            6.4608,            6.0611,           12.3357,           12.5425,           18.4798,            3.7764,            0.1177,           -0.3228,            0.3790,           -0.4221,
Ref 18,5.39443e-08,,,,,,1.1879e-02,4.1802e-03,4.8672e-05,4.4586e-06,7.3244e-08,,,,,,,,,,,
Sam 18,5.40333e-08,1.19551e-02,4.2056e-03,4.9269e-05,4.5143e-06,7.4844e-08,,,,,,            6.4582,            6.0860,           12.2889,           12.4241,           21.6426,            3.7727,            0.1425,           -0.3906,            0.2126,            2.6360,
Ref 19,5.29463e-08,,,,,,1.1878e-02,4.1801e-03,4.8670e-05,4.4592e-06,7.3273e-08,,,,,,,,,,,
Sam 19,5.30702e-08,1.19552e-02,4.2055e-03,4.9267e-05,4.5127e-06,7.4426e-08,,,,,,            6.4819,            6.0575,           12.2221,           11.6533,           10.9115,            3.7990,            0.1141,           -0.4531,           -0.4924,           -7.8651,
Ref 20,5.20498e-08,,,,,,1.1878e-02,4.1802e-03,4.8675e-05,4.4623e-06,7.3979e-08,,,,,,,,,,,
Sam 20,5.20839e-08,1.19551e-02,4.2057e-03,4.9276e-05,4.5153e-06,7.4559e-08,,,,,,            6.4872,            6.0967,           12.3996,           11.9232,           14.8865,            3.8033,            0.1530,           -0.3215,           -0.3035,           -4.0458,
Ref 21,5.10765e-08,,,,,,1.1878e-02,4.1801e-03,4.8671e-05,4.4619e-06,7.2941e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.06819e-08,,,,,,1.1878e-02,4.1799e-03,4.8667e-05,4.4600e-06,7.2095e-08,
Sam 1,5.08173e-08,1.19547e-02,4.2053e-03,4.9266e-05,4.5145e-06,7.6069e-08,,,,,,            6.4426,            5.9483,           12.1415,           11.9978,           51.6820,            3.7609,            0.0055,           -0.3856,            0.0651,           32.4114,
Ref 2,4.97357e-08,,,,,,1.1878e-02,4.1809e-03,4.8683e-05,4.4620e-06,7.2571e-08,,,,,,,,,,,
Sam 2,4.99403e-08,1.19550e-02,4.2059e-03,4.9275e-05,4.5116e-06,7.5034e-08,,,,,,            6.4692,            6.0691,           12.2468,           11.3333,           32.8976,            3.7851,            0.1257,           -0.4271,           -0.8317,           13.7031,
Ref 3,4.88622e-08,,,,,,1.1878e-02,4.1802e-03,4.8674e-05,4.4601e-06,7.2719e-08,,,,,,,,,,,
Sam 3,4.90707e-08,1.19548e-02,4.2055e-03,4.9278e-05,4.5121e-06,7.4469e-08,,,,,,            6.4831,            6.0606,           12.4577,           11.5864,           20.7796,            3.8001,            0.1172,           -0.2247,           -0.5647,            1.8123,
Ref 4,4.80635e-08,,,,,,1.1878e-02,4.1801e-03,4.8670e-05,4.4608e-06,7.3191e-08,,,,,,,,,,,
Sam 4,4.82169e-08,1.19549e-02,4.2061e-03,4.9286e-05,4.5142e-06,7.4460e-08,,,,,,            6.5080,            6.2364,           12.6843,           11.9057,            7.9538,            3.8205,            0.2921,           -0.1983,           -0.5986,          -11.1411,
Ref 5,4.72298e-08,,,,,,1.1877e-02,4.1799e-03,4.8666e-05,4.4613e-06,7.4566e-08,,,,,,,,,,,
Sam 5,4.73981e-08,1.19548e-02,4.2059e-03,4.9278e-05,4.5144e-06,7.4143e-08,,,,,,            6.4745,            6.1530,           12.4159,           11.8690,           -3.7837,            3.7878,            0.2091,           -0.3476,           -0.4690,          -22.4623,
Ref 6,4.63644e-08,,,,,,1.1878e-02,4.1805e-03,4.8681e-05,4.4615e-06,7.4280e-08,,,,,,,,,,,
Sam 6,4.65567e-08,1.19549e-02,4.2062e-03,4.9287e-05,4.5135e-06,7.4937e-08,,,,,,            6.5103,            6.2446,           12.7351,           11.9738,           11.5923,            3.8227,            0.3002,           -0.1586,           -0.5475,           -7.5899,
Ref 7,4.56295e-08,,,,,,1.1877e-02,4.1796e-03,4.8654e-05,4.4587e-06,7.3874e-08,,,,,,,,,,,
Sam 7,4.58545e-08,1.19538e-02,4.2050e-03,4.9260e-05,4.5130e-06,7.3515e-08,,,,,,            6.3751,            5.7986,           12.1498,           12.8902,           11.1465,            3.6943,           -0.1433,           -0.1619,            1.2449,           -7.0199,
Ref 8,4.45857e-08,,,,,,1.1879e-02,4.1819e-03,4.8684e-05,4.4524e-06,7.1509e-08,,,,,,,,,,,
Sam 8,4.50672e-08,1.19545e-02,4.2061e-03,4.9274e-05,4.5130e-06,7.3772e-08,,,,,,            6.4028,            5.9922,           12.2775,           12.8387,           13.0436,            3.7171,            0.0493,           -0.2536,            0.8086,           -5.5627,
Ref 9,4.40601e-08,,,,,,1.1878e-02,4.1802e-03,4.8669e-05,4.4592e-06,7.4151e-08,,,,,,,,,,,
Sam 9,4.43358e-08,1.19545e-02,4.2056e-03,4.9275e-05,4.5134e-06,7.4440e-08,,,,,,            6.4769,            6.1095,           12.4619,           11.8303,           11.1987,            3.7918,            0.1658,           -0.2619,           -0.4207,           -7.6788,
Ref 10,4.33626e-08,,,,,,1.1877e-02,4.1799e-03,4.8667e-05,4.4621e-06,7.3072e-08,,,,,,,,,,,
Sam 10,4.35961e-08,1.19542e-02,4.2051e-03,4.9267e-05,4.5124e-06,7.5736e-08,,,,,,            6.4491,            6.0126,           12.3240,           11.7738,           26.0088,            3.7656,            0.0695,           -0.2750,           -0.2841,            7.0750,
Ref 11,4.26479e-08,,,,,,1.1878e-02,4.1800e-03,4.8668e-05,4.4576e-06,7.4573e-08,,,,,,,,,,,
Sam 11,4.28972e-08,1.19542e-02,4.2052e-03,4.9267e-05,4.5115e-06,7.4607e-08,,,,,,            6.4673,            6.0567,           12.2824,           12.0330,           -1.3922,            3.7834,            0.1133,           -0.3778,           -0.1156,          -19.9236,
Ref 12,4.19452e-08,,,,,,1.1877e-02,4.1798e-03,4.8671e-05,4.4582e-06,7.4850e-08,,,,,,,,,,,
Sam 12,4.21842e-08,1.19548e-02,4.2053e-03,4.9264e-05,4.5099e-06,7.4337e-08,,,,,,            6.5613,            6.1138,           12.2633,           11.6056,           -5.8518,            3.8815,            0.1699,           -0.5486,           -0.6513,          -24.5061,
Ref 13,4.12576e-08,,,,,,1.1877e-02,4.1797e-03,4.8664e-05,4.4582e-06,7.4698e-08,,,,,,,,,,,
Sam 13,4.15840e-08,1.19540e-02,4.2050e-03,4.9264e-05,4.5130e-06,7.4267e-08,,,,,,            6.4835,            6.0307,           12.2270,           12.1182,            1.0845,            3.8016,            0.0874,           -0.4236,            0.0203,          -17.4597,
Ref 14,4.05543e-08,,,,,,1.1877e-02,4.1800e-03,4.8675e-05,4.4597e-06,7.3665e-08,,,,,,,,,,,
Sam 14,4.09087e-08,1.19541e-02,4.2054e-03,4.9272e-05,4.5126e-06,7.4867e-08,,,,,,            6.4474,            6.0631,           12.3294,           12.0301,           14.5001,            3.7621,            0.1198,           -0.3173,           -0.1313,           -4.3178,
Ref 15,3.98253e-08,,,,,,1.1878e-02,4.1801e-03,4.8668e-05,4.4583e-06,7.3932e-08,,,,,,,,,,,
Sam 15,4.02371e-08,1.19547e-02,4.2055e-03,4.9263e-05,4.5103e-06,7.4188e-08,,,,,,            6.5023,            6.0980,           12.2890,           11.6197,            1.6220,            3.8192,            0.1544,           -0.4474,           -0.6061,          -17.0811,
Ref 16,3.92633e-08,,,,,,1.1877e-02,4.1799e-03,4.8661e-05,4.4588e-06,7.4207e-08,,,,,,,,,,,
Sam 16,3.94825e-08,1.19554e-02,4.2064e-03,4.9283e-05,4.5073e-06,7.3079e-08,,,,,,            6.5944,            6.3277,           12.7080,           10.9079,          -16.7367,            3.9094,            0.3827,           -0.3526,           -1.7650,          -35.6240,
Ref 17,3.86472e-08,,,,,,1.1877e-02,4.1800e-03,4.8668e-05,4.4586e-06,7.4441e-08,,,,,,,,,,,
Sam 17,3.90357e-08,1.19539e-02,4.2054e-03,4.9264e-05,4.5119e-06,7.4053e-08,,,,,,            6.4440,            6.0299,           12.2239,           12.3911,           -0.9625,            3.7595,            0.0867,           -0.3854,            0.2915,          -19.4263,
Ref 18,3.80125e-08,,,,,,1.1878e-02,4.1804e-03,4.8671e-05,4.4548e-06,7.3802e-08,,,,,,,,,,,
Sam 18,3.84221e-08,1.19537e-02,4.2049e-03,4.9264e-05,4.5116e-06,7.4193e-08,,,,,,            6.4285,            5.9489,           12.2805,           12.6355,            2.6515,            3.7459,            0.0061,           -0.2345,            0.6941,          -15.7072,
Ref 19,3.74358e-08,,,,,,1.1877e-02,4.1797e-03,4.8662e-05,4.4560e-06,7.4194e-08,,,,,,,,,,,
Sam 19,3.77117e-08,1.19545e-02,4.2056e-03,4.9273e-05,4.5110e-06,7.3405e-08,,,,,,            6.5439,            6.2333,           12.6296,           11.8907,          -12.3693,            3.8589,            0.2889,           -0.2861,           -0.6071,          -31.1101,
Ref 20,3.68645e-08,,,,,,1.1877e-02,4.1795e-03,4.8655e-05,4.4600e-06,7.4456e-08,,,,,,,,,,,
Sam 20,3.71885e-08,1.19537e-02,4.2050e-03,4.9268e-05,4.5121e-06,7.4332e-08,,,,,,            6.3936,            6.0366,           12.5593,           12.2950,            3.5617,            3.7057,            0.0935,           -0.0093,            0.1832,          -14.9463,
Ref 21,3.61671e-08,,,,,,1.1879e-02,4.1802e-03,4.8658e-05,4.4546e-06,7.3672e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.48164e-08,,,,,,1.1894e-02,4.1884e-03,4.8713e-05,4.4197e-06,6.2201e-08,
Sam 1,3.62698e-08,1.19537e-02,4.2053e-03,4.9267e-05,4.5128e-06,7.4169e-08,,,,,,            5.7763,            5.1069,           11.8916,           16.7216,           91.5847,            3.0809,           -0.8304,            0.8737,            6.4161,           74.1043,
Ref 2,3.53373e-08,,,,,,1.1877e-02,4.1796e-03,4.8663e-05,4.4572e-06,7.3606e-08,,,,,,,,,,,
Sam 2,3.57167e-08,1.19535e-02,4.2049e-03,4.9261e-05,4.5117e-06,7.5452e-08,,,,,,            6.4683,            6.0538,           12.2704,           12.2464,           22.5263,            3.7846,            0.1104,           -0.3878,            0.1010,            3.5556,
Ref 3,3.48047e-08,,,,,,1.1877e-02,4.1796e-03,4.8664e-05,4.4570e-06,7.3977e-08,,,,,,,,,,,
Sam 3,3.51609e-08,1.19550e-02,4.2064e-03,4.9280e-05,4.5109e-06,7.4133e-08,,,,,,            6.5675,            6.2987,           12.5533,           11.8829,            7.0579,            3.8817,            0.3539,           -0.4494,           -0.7447,          -12.2023,
Ref 4,3.42499e-08,,,,,,1.1877e-02,4.1805e-03,4.8675e-05,4.4588e-06,7.3244e-08,,,,,,,,,,,
Sam 4,3.46672e-08,1.19539e-02,4.2058e-03,4.9276e-05,4.5103e-06,7.5354e-08,,,,,,            6.4857,            6.1511,           12.3979,           11.6059,           22.8131,            3.7997,            0.2072,           -0.3749,           -0.7251,            3.6278,
Ref 5,3.37779e-08,,,,,,1.1877e-02,4.1797e-03,4.8670e-05,4.4584e-06,7.4108e-08,,,,,,,,,,,
Sam 5,3.41971e-08,1.19535e-02,4.2049e-03,4.9261e-05,4.5115e-06,7.4350e-08,,,,,,            6.4770,            6.0336,           12.2348,           12.0822,            1.9657,            3.7945,            0.0903,           -0.4120,           -0.0211,          -16.5937,
Ref 6,3.32542e-08,,,,,,1.1877e-02,4.1795e-03,4.8662e-05,4.4570e-06,7.4302e-08,,,,,,,,,,,
Sam 6,3.36830e-08,1.19534e-02,4.2048e-03,4.9260e-05,4.5108e-06,7.5543e-08,,,,,,            6.4739,            6.0537,           12.3556,           12.3263,            8.7421,            3.7906,            0.1103,           -0.3093,            0.1802,           -9.9784,
Ref 7,3.27452e-08,,,,,,1.1876e-02,4.1795e-03,4.8655e-05,4.4547e-06,7.5484e-08,,,,,,,,,,,
Sam 7,3.31894e-08,1.19533e-02,4.2048e-03,4.9256e-05,4.5089e-06,7.7022e-08,,,,,,            6.4748,            6.0729,           12.3078,           11.9559,           39.6634,            3.7908,            0.1295,           -0.3762,           -0.2241,           20.3296,
Ref 8,3.22694e-08,,,,,,1.1876e-02,4.1794e-03,4.8659e-05,4.4565e-06,7.2663e-08,,,,,,,,,,,
Sam 8,3.27152e-08,1.19534e-02,4.2050e-03,4.9261e-05,4.5104e-06,7.5335e-08,,,,,,            6.4326,            5.8817,           12.1086,           11.8019,           26.6204,            3.7525,           -0.0608,           -0.3426,            0.0040,            7.9511,
Ref 9,3.17301e-08,,,,,,1.1878e-02,4.1815e-03,4.8685e-05,4.4592e-06,7.4112e-08,,,,,,,,,,,
Sam 9,3.22289e-08,1.19534e-02,4.2052e-03,4.9268e-05,4.5101e-06,7.5157e-08,,,,,,            6.3388,            5.6518,           11.8591,           12.0702,           29.3460,            3.6607,           -0.2894,           -0.2682,            0.7266,           11.1819,
Ref 10,3.11784e-08,,,,,,1.1879e-02,4.1818e-03,4.8696e-05,4.4534e-06,7.1896e-08,,,,,,,,,,,
Sam 10,3.14507e-08,1.19586e-02,4.2080e-03,4.9298e-05,4.4997e-06,7.2690e-08,,,,,,            6.4619,            5.9691,           12.2485,           11.4728,           29.3678,            3.7807,            0.0261,           -0.3200,           -0.4949,           10.4445,
Ref 11,3.04505e-08,,,,,,1.1885e-02,4.1844e-03,4.8708e-05,4.4438e-06,6.9305e-08,,,,,,,,,,,
Sam 11,3.10826e-08,1.19579e-02,4.2081e-03,4.9300e-05,4.5013e-06,7.2521e-08,,,,,,            6.5071,            6.2384,           12.7329,           11.9696,           23.1923,            3.8195,            0.2940,           -0.1513,           -0.5392,            3.8058,
Ref 12,3.03637e-08,,,,,,1.1876e-02,4.1795e-03,4.8652e-05,4.4523e-06,7.2453e-08,,,,,,,,,,,
Sam 12,3.08560e-08,1.19530e-02,4.2047e-03,4.9260e-05,4.5059e-06,7.5157e-08,,,,,,            6.4678,            6.0415,           12.4233,           11.9454,           17.7928,            3.7845,            0.0982,           -0.2243,           -0.1720,           -1.0656,
Ref 13,2.99279e-08,,,,,,1.1876e-02,4.1794e-03,4.8659e-05,4.4532e-06,7.5253e-08,,,,,,,,,,,
Sam 13,3.04005e-08,1.19530e-02,4.2048e-03,4.9260e-05,4.5089e-06,7.4648e-08,,,,,,            6.4743,            6.0755,           12.3894,           12.2989,            1.8895,            3.7903,            0.1320,           -0.2977,            0.1097,          -16.7463,
Ref 14,2.94736e-08,,,,,,1.1876e-02,4.1794e-03,4.8654e-05,4.4551e-06,7.3750e-08,,,,,,,,,,,
Sam 14,2.99634e-08,1.19529e-02,4.2046e-03,4.9261e-05,4.5071e-06,7.4788e-08,,,,,,            6.4827,            6.0510,           12.4571,           11.8193,           23.5847,            3.8000,            0.1076,           -0.2153,           -0.3153,            4.5847,
Ref 15,2.90423e-08,,,,,,1.1876e-02,4.1794e-03,4.8655e-05,4.4538e-06,7.2370e-08,,,,,,,,,,,
Sam 15,2.95526e-08,1.19529e-02,4.2047e-03,4.9260e-05,4.5081e-06,7.3455e-08,,,,,,            6.4864,            6.0568,           12.4830,           12.0184,           13.0518,            3.8037,            0.1134,           -0.1993,           -0.1302,           -5.7679,
Ref 16,2.86321e-08,,,,,,1.1876e-02,4.1794e-03,4.8651e-05,4.4553e-06,7.2651e-08,,,,,,,,,,,
Sam 16,2.91290e-08,1.19530e-02,4.2047e-03,4.9263e-05,4.5081e-06,7.5481e-08,,,,,,            6.4962,            6.0606,           12.5601,           12.1264,           17.9884,            3.8141,            0.1172,           -0.1370,           -0.0312,           -0.9409,
Ref 17,2.82212e-08,,,,,,1.1876e-02,4.1793e-03,4.8652e-05,4.4528e-06,7.5666e-08,,,,,,,,,,,
Sam 17,2.87259e-08,1.19527e-02,4.2046e-03,4.9252e-05,4.5076e-06,7.4530e-08,,,,,,            6.4669,            6.0568,           12.2400,           12.3047,           -8.9225,            3.7830,            0.1134,           -0.4193,            0.1527,          -27.3139,
Ref 18,2.78144e-08,,,,,,1.1876e-02,4.1793e-03,4.8660e-05,4.4529e-06,7.4729e-08,,,,,,,,,,,
Sam 18,2.83287e-08,1.19529e-02,4.2047e-03,4.9259e-05,4.5088e-06,7.4559e-08,,,,,,            6.4596,            6.0307,           13.3282,           13.9555,           12.9406,            3.7762,            0.0875,            0.6882,            1.8356,           -5.7982,
Ref 19,2.74067e-08,,,,,,1.1876e-02,4.1796e-03,4.8561e-05,4.4406e-06,7.2467e-08,,,,,,,,,,,
Sam 19,2.74164e-08,1.19638e-02,4.2096e-03,4.9284e-05,4.4798e-06,6.7348e-08,,,,,,            7.3218,            7.0630,           13.8207,            7.6046,          -67.8622,            4.6581,            1.1129,           -0.7174,           -6.4793,          -87.7809,
Ref 20,2.69521e-08,,,,,,1.1877e-02,4.1806e-03,4.8664e-05,4.4514e-06,7.2031e-08,,,,,,,,,,,
Sam 20,2.75139e-08,1.19540e-02,4.2052e-03,4.9261e-05,4.5023e-06,7.5922e-08,,,,,,            6.3943,            5.7064,           12.1202,           11.9030,           66.0377,            3.7178,           -0.2351,           -0.1205,            0.4526,           47.0529,
Ref 21,2.65323e-08,,,,,,1.1879e-02,4.1821e-03,4.8679e-05,4.4472e-06,7.0394e-08,,,,,,,,,,,


