Nu Stable Isotope Analysis Program
Data Collected on Wednesday, October 25, 2023 at 16:24 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, October 25, 2023 at 17:24 with Stable 1.71.5 on PS019

Data File = Data_20677 BD1 ZEBRA 70mB1.txt,Sample Weight = 487,                      Vial Location = 18,                       Initial Sam Beam = 2.5019e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6778e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02145
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.31791e-08,,,,,,1.1880e-02,4.1806e-03,4.8672e-05,4.4634e-06,7.2382e-08,
Sam 1,9.22508e-08,1.19295e-02,4.2001e-03,4.9090e-05,4.5045e-06,7.3101e-08,,,,,,            4.1411,            4.6399,            8.5315,            9.2870,           10.9388,            1.3568,           -1.2916,           -0.3189,           -0.0141,           -2.6170,
Ref 2,9.14366e-08,,,,,,1.1880e-02,4.1808e-03,4.8678e-05,4.4627e-06,7.2236e-08,,,,,,,,,,,
Sam 2,9.05294e-08,1.19296e-02,4.2001e-03,4.9089e-05,4.5040e-06,7.2393e-08,,,,,,            4.1303,            4.6155,            8.4690,            9.2935,            5.8336,            1.3461,           -1.3158,           -0.3459,            0.0408,           -7.5950,
Ref 3,8.93965e-08,,,,,,1.1881e-02,4.1809e-03,4.8675e-05,4.4623e-06,7.1704e-08,,,,,,,,,,,
Sam 3,8.85135e-08,1.19296e-02,4.2002e-03,4.9090e-05,4.5034e-06,7.2573e-08,,,,,,            4.1277,            4.6250,            8.5199,            9.1203,           10.0545,            1.3430,           -1.3063,           -0.3021,           -0.1498,           -3.4462,
Ref 4,8.73946e-08,,,,,,1.1881e-02,4.1809e-03,4.8676e-05,4.4631e-06,7.2001e-08,,,,,,,,,,,
Sam 4,8.66029e-08,1.19296e-02,4.2002e-03,4.9089e-05,4.5032e-06,7.3204e-08,,,,,,            4.1290,            4.6111,            8.4884,            9.1613,           15.4505,            1.3448,           -1.3202,           -0.3209,           -0.0814,            1.9037,
Ref 5,8.54414e-08,,,,,,1.1881e-02,4.1809e-03,4.8677e-05,4.4616e-06,7.2182e-08,,,,,,,,,,,
Sam 5,8.47265e-08,1.19295e-02,4.2002e-03,4.9087e-05,4.5025e-06,7.3002e-08,,,,,,            4.1231,            4.6095,            8.4560,            9.0159,           11.6101,            1.3386,           -1.3217,           -0.3455,           -0.2223,           -1.8762,
Ref 6,8.35605e-08,,,,,,1.1880e-02,4.1809e-03,4.8673e-05,4.4629e-06,7.2146e-08,,,,,,,,,,,
Sam 6,8.26726e-08,1.19295e-02,4.2002e-03,4.9088e-05,4.5038e-06,7.3502e-08,,,,,,            4.1304,            4.6187,            8.5033,            9.2524,           11.1633,            1.3461,           -1.3126,           -0.3151,           -0.0063,           -2.3428,
Ref 7,8.17462e-08,,,,,,1.1880e-02,4.1808e-03,4.8675e-05,4.4621e-06,7.3248e-08,,,,,,,,,,,
Sam 7,8.10805e-08,1.19293e-02,4.2001e-03,4.9087e-05,4.5019e-06,7.3087e-08,,,,,,            4.1262,            4.6122,            8.4968,            8.9354,            0.4337,            1.3419,           -1.3191,           -0.3108,           -0.3074,          -12.9121,
Ref 8,7.99467e-08,,,,,,1.1880e-02,4.1808e-03,4.8671e-05,4.4619e-06,7.2857e-08,,,,,,,,,,,
Sam 8,7.93785e-08,1.19293e-02,4.2001e-03,4.9087e-05,4.5030e-06,7.2752e-08,,,,,,            4.1297,            4.6123,            8.5334,            9.1372,            0.3004,            1.3456,           -1.3190,           -0.2783,           -0.1077,          -13.0475,
Ref 9,7.82114e-08,,,,,,1.1880e-02,4.1808e-03,4.8672e-05,4.4626e-06,7.2601e-08,,,,,,,,,,,
Sam 9,7.77283e-08,1.19291e-02,4.2001e-03,4.9089e-05,4.5029e-06,7.3144e-08,,,,,,            4.1287,            4.6159,            8.5722,            8.9287,           -0.7248,            1.3444,           -1.3154,           -0.2423,           -0.3213,          -14.0648,
Ref 10,7.65266e-08,,,,,,1.1880e-02,4.1808e-03,4.8673e-05,4.4635e-06,7.3807e-08,,,,,,,,,,,
Sam 10,7.61448e-08,1.19290e-02,4.2000e-03,4.9089e-05,4.5038e-06,7.3869e-08,,,,,,            4.1326,            4.6141,            8.5203,            9.2109,            4.4017,            1.3486,           -1.3172,           -0.2960,           -0.0383,           -9.0074,
Ref 11,7.53733e-08,,,,,,1.1880e-02,4.1806e-03,4.8676e-05,4.4618e-06,7.3280e-08,,,,,,,,,,,
Sam 11,7.47806e-08,1.19290e-02,4.1999e-03,4.9088e-05,4.5032e-06,7.3562e-08,,,,,,            4.1317,            4.6157,            8.4997,            9.1209,            4.2204,            1.3475,           -1.3156,           -0.3170,           -0.1306,           -9.1884,
Ref 12,7.35181e-08,,,,,,1.1880e-02,4.1806e-03,4.8673e-05,4.4633e-06,7.3225e-08,,,,,,,,,,,
Sam 12,7.32458e-08,1.19288e-02,4.1999e-03,4.9083e-05,4.5029e-06,7.2619e-08,,,,,,            4.1217,            4.6009,            8.4349,            8.9221,          -14.5082,            1.3374,           -1.3303,           -0.3565,           -0.2981,          -27.6285,
Ref 13,7.20082e-08,,,,,,1.1880e-02,4.1806e-03,4.8671e-05,4.4629e-06,7.4160e-08,,,,,,,,,,,
Sam 13,7.17886e-08,1.19287e-02,4.1999e-03,4.9084e-05,4.5036e-06,7.3761e-08,,,,,,            4.1262,            4.6158,            8.4722,            9.1092,           -1.8023,            1.3417,           -1.3155,           -0.3388,           -0.1424,          -15.1252,
Ref 14,7.08506e-08,,,,,,1.1880e-02,4.1806e-03,4.8672e-05,4.4629e-06,7.3625e-08,,,,,,,,,,,
Sam 14,7.04091e-08,1.19286e-02,4.1998e-03,4.9084e-05,4.5033e-06,7.4259e-08,,,,,,            4.1265,            4.6069,            8.4578,            9.0374,            6.3617,            1.3424,           -1.3243,           -0.3447,           -0.1959,           -7.0532,
Ref 15,6.91332e-08,,,,,,1.1880e-02,4.1806e-03,4.8672e-05,4.4630e-06,7.3959e-08,,,,,,,,,,,
Sam 15,6.92890e-08,1.19286e-02,4.1998e-03,4.9087e-05,4.5028e-06,7.3480e-08,,,,,,            4.1323,            4.6039,            8.5466,            8.7943,           -3.2880,            1.3486,           -1.3273,           -0.2596,           -0.4307,          -16.5745,
Ref 16,6.77473e-08,,,,,,1.1879e-02,4.1805e-03,4.8671e-05,4.4641e-06,7.3482e-08,,,,,,,,,,,
Sam 16,6.76645e-08,1.19285e-02,4.1998e-03,4.9085e-05,4.5018e-06,7.3397e-08,,,,,,            4.1308,            4.6131,            8.5421,            8.7520,           -3.3868,            1.3467,           -1.3182,           -0.2715,           -0.4909,          -16.6880,
Ref 17,6.63925e-08,,,,,,1.1879e-02,4.1805e-03,4.8668e-05,4.4614e-06,7.3815e-08,,,,,,,,,,,
Sam 17,6.63701e-08,1.19283e-02,4.1997e-03,4.9084e-05,4.5034e-06,7.4002e-08,,,,,,            4.1296,            4.6155,            8.4834,            9.2397,           -1.0796,            1.3453,           -1.3158,           -0.3308,           -0.0124,          -14.4149,
Ref 18,6.51930e-08,,,,,,1.1879e-02,4.1804e-03,4.8673e-05,4.4629e-06,7.4353e-08,,,,,,,,,,,
Sam 18,6.51629e-08,1.19282e-02,4.1997e-03,4.9083e-05,4.5026e-06,7.4601e-08,,,,,,            4.1229,            4.6091,            8.4762,            8.8176,           -0.3967,            1.3384,           -1.3221,           -0.3249,           -0.4180,          -13.7220,
Ref 19,6.37155e-08,,,,,,1.1879e-02,4.1804e-03,4.8669e-05,4.4636e-06,7.4915e-08,,,,,,,,,,,
Sam 19,6.37952e-08,1.19282e-02,4.1996e-03,4.9086e-05,4.5023e-06,7.3776e-08,,,,,,            4.1273,            4.6023,            8.6025,            8.6728,           -7.4342,            1.3434,           -1.3289,           -0.1975,           -0.5480,          -20.6572,
Ref 20,6.25150e-08,,,,,,1.1879e-02,4.1804e-03,4.8666e-05,4.4637e-06,7.3731e-08,,,,,,,,,,,
Sam 20,6.26073e-08,1.19280e-02,4.1996e-03,4.9079e-05,4.5033e-06,7.4522e-08,,,,,,            4.1268,            4.6076,            8.4580,            9.0640,           14.1873,            1.3426,           -1.3237,           -0.3454,           -0.1708,            0.6665,
Ref 21,6.12931e-08,,,,,,1.1879e-02,4.1803e-03,4.8667e-05,4.4620e-06,7.3223e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.07073e-08,,,,,,1.1879e-02,4.1802e-03,4.8668e-05,4.4605e-06,7.3573e-08,
Sam 1,6.08545e-08,1.19279e-02,4.1996e-03,4.9081e-05,4.5021e-06,7.4579e-08,,,,,,            4.1253,            4.6279,            8.5679,            9.0747,           13.7491,            1.3403,           -1.3034,           -0.2549,           -0.2007,            0.1958,
Ref 2,5.95323e-08,,,,,,1.1879e-02,4.1802e-03,4.8660e-05,4.4628e-06,7.3562e-08,,,,,,,,,,,
Sam 2,5.97118e-08,1.19278e-02,4.1995e-03,4.9081e-05,4.5014e-06,7.3889e-08,,,,,,            4.1250,            4.6097,            8.5991,            8.8456,            6.7012,            1.3406,           -1.3216,           -0.2057,           -0.3913,           -6.7220,
Ref 3,5.84016e-08,,,,,,1.1879e-02,4.1802e-03,4.8665e-05,4.4610e-06,7.3229e-08,,,,,,,,,,,
Sam 3,5.86618e-08,1.19277e-02,4.1995e-03,4.9081e-05,4.5005e-06,7.4547e-08,,,,,,            4.1312,            4.6026,            8.5579,            8.7694,           13.5386,            1.3475,           -1.3287,           -0.2460,           -0.4527,            0.0316,
Ref 4,5.73718e-08,,,,,,1.1879e-02,4.1802e-03,4.8663e-05,4.4617e-06,7.3880e-08,,,,,,,,,,,
Sam 4,5.75761e-08,1.19276e-02,4.1994e-03,4.9074e-05,4.5010e-06,7.4509e-08,,,,,,            4.1344,            4.6097,            8.4573,            8.8141,           15.2844,            1.3507,           -1.3215,           -0.3560,           -0.4227,            1.7366,
Ref 5,5.63435e-08,,,,,,1.1879e-02,4.1802e-03,4.8661e-05,4.4616e-06,7.2886e-08,,,,,,,,,,,
Sam 5,5.65632e-08,1.19275e-02,4.1995e-03,4.9071e-05,4.5020e-06,7.4224e-08,,,,,,            4.1287,            4.6256,            8.4594,            9.0390,            6.9383,            1.3440,           -1.3058,           -0.3636,           -0.2314,           -6.5228,
Ref 6,5.52464e-08,,,,,,1.1878e-02,4.1801e-03,4.8658e-05,4.4617e-06,7.4557e-08,,,,,,,,,,,
Sam 6,5.55069e-08,1.19274e-02,4.1994e-03,4.9077e-05,4.5024e-06,7.4548e-08,,,,,,            4.1257,            4.6206,            8.5795,            9.2880,            5.0940,            1.3411,           -1.3107,           -0.2367,            0.0252,           -8.3298,
Ref 7,5.41872e-08,,,,,,1.1878e-02,4.1801e-03,4.8661e-05,4.4603e-06,7.3777e-08,,,,,,,,,,,
Sam 7,5.44999e-08,1.19273e-02,4.1993e-03,4.9073e-05,4.5004e-06,7.4128e-08,,,,,,            4.1240,            4.6023,            8.4217,            9.0532,            4.6545,            1.3398,           -1.3289,           -0.3734,           -0.1710,           -8.7259,
Ref 8,5.32164e-08,,,,,,1.1878e-02,4.1801e-03,4.8666e-05,4.4597e-06,7.3792e-08,,,,,,,,,,,
Sam 8,5.35243e-08,1.19272e-02,4.1993e-03,4.9073e-05,4.5030e-06,7.4450e-08,,,,,,            4.1220,            4.6057,            8.4341,            9.4978,            4.1308,            1.3376,           -1.3255,           -0.3624,            0.2628,           -9.2473,
Ref 9,5.22364e-08,,,,,,1.1878e-02,4.1801e-03,4.8659e-05,4.4616e-06,7.4502e-08,,,,,,,,,,,
Sam 9,5.25888e-08,1.19272e-02,4.1992e-03,4.9074e-05,4.5034e-06,7.4530e-08,,,,,,            4.1295,            4.5990,            8.5187,            9.4274,            4.7643,            1.3458,           -1.3322,           -0.2796,            0.2063,           -8.6171,
Ref 10,5.13210e-08,,,,,,1.1878e-02,4.1800e-03,4.8660e-05,4.4611e-06,7.3845e-08,,,,,,,,,,,
Sam 10,5.17363e-08,1.19271e-02,4.1993e-03,4.9082e-05,4.5011e-06,7.4610e-08,,,,,,            4.1278,            4.6099,            8.6743,            8.9362,            8.0542,            1.3437,           -1.3214,           -0.1344,           -0.3020,           -5.3904,
Ref 11,5.04410e-08,,,,,,1.1878e-02,4.1800e-03,4.8660e-05,4.4614e-06,7.4187e-08,,,,,,,,,,,
Sam 11,5.08659e-08,1.19271e-02,4.1992e-03,4.9077e-05,4.5016e-06,7.3792e-08,,,,,,            4.1339,            4.5902,            8.5477,            8.9408,          -14.4969,            1.3508,           -1.3410,           -0.2468,           -0.2583,          -27.6095,
Ref 12,4.96416e-08,,,,,,1.1878e-02,4.1800e-03,4.8662e-05,4.4621e-06,7.5579e-08,,,,,,,,,,,
Sam 12,5.00179e-08,1.19270e-02,4.1992e-03,4.9071e-05,4.5007e-06,7.4549e-08,,,,,,            4.1309,            4.6061,            8.4398,            8.5484,           -7.9735,            1.3471,           -1.3251,           -0.3662,           -0.6787,          -21.2004,
Ref 13,4.86496e-08,,,,,,1.1878e-02,4.1799e-03,4.8658e-05,4.4630e-06,7.4709e-08,,,,,,,,,,,
Sam 13,4.91325e-08,1.19268e-02,4.1992e-03,4.9071e-05,4.4995e-06,7.5231e-08,,,,,,            4.1268,            4.6069,            8.5039,            8.3846,            9.1303,            1.3427,           -1.3243,           -0.2993,           -0.8427,           -4.3219,
Ref 14,4.78598e-08,,,,,,1.1878e-02,4.1799e-03,4.8656e-05,4.4612e-06,7.4388e-08,,,,,,,,,,,
Sam 14,4.82609e-08,1.19269e-02,4.1992e-03,4.9068e-05,4.5000e-06,7.5441e-08,,,,,,            4.1412,            4.6102,            8.4538,            8.5901,           18.8602,            1.3579,           -1.3211,           -0.3669,           -0.6455,            5.2567,
Ref 15,4.69879e-08,,,,,,1.1878e-02,4.1799e-03,4.8657e-05,4.4621e-06,7.3694e-08,,,,,,,,,,,
Sam 15,4.74989e-08,1.19267e-02,4.1991e-03,4.9073e-05,4.4992e-06,7.5375e-08,,,,,,            4.1284,            4.5879,            8.5386,            8.5157,           18.6970,            1.3451,           -1.3433,           -0.2479,           -0.6749,            5.1531,
Ref 16,4.62360e-08,,,,,,1.1878e-02,4.1799e-03,4.8657e-05,4.4603e-06,7.4293e-08,,,,,,,,,,,
Sam 16,4.67141e-08,1.19267e-02,4.1991e-03,4.9067e-05,4.5018e-06,7.5068e-08,,,,,,            4.1321,            4.5922,            8.4288,            9.2504,           16.4801,            1.3488,           -1.3390,           -0.3647,            0.0446,            2.9534,
Ref 17,4.54704e-08,,,,,,1.1878e-02,4.1798e-03,4.8656e-05,4.4608e-06,7.3401e-08,,,,,,,,,,,
Sam 17,4.59181e-08,1.19266e-02,4.1991e-03,4.9065e-05,4.5008e-06,7.3920e-08,,,,,,            4.1320,            4.6071,            8.4175,            8.9937,           11.1044,            1.3482,           -1.3242,           -0.3904,           -0.2394,           -2.3798,
Ref 18,4.46608e-08,,,,,,1.1877e-02,4.1798e-03,4.8655e-05,4.4606e-06,7.2810e-08,,,,,,,,,,,
Sam 18,4.52050e-08,1.19265e-02,4.1990e-03,4.9070e-05,4.5013e-06,7.6154e-08,,,,,,            4.1250,            4.5977,            8.5126,            9.1752,           44.2081,            1.3411,           -1.3335,           -0.2798,           -0.0409,           30.3090,
Ref 19,4.39596e-08,,,,,,1.1877e-02,4.1798e-03,4.8657e-05,4.4601e-06,7.3052e-08,,,,,,,,,,,
Sam 19,4.44607e-08,1.19265e-02,4.1990e-03,4.9067e-05,4.5018e-06,7.4424e-08,,,,,,            4.1263,            4.6004,            8.4035,            9.4507,            6.3502,            1.3424,           -1.3308,           -0.3919,            0.2266,           -7.0517,
Ref 20,4.31811e-08,,,,,,1.1877e-02,4.1798e-03,4.8659e-05,4.4593e-06,7.4874e-08,,,,,,,,,,,
Sam 20,4.37625e-08,1.19263e-02,4.1991e-03,4.9069e-05,4.4994e-06,7.4316e-08,,,,,,            4.1219,            4.6155,            8.4191,            8.8741,           -9.6366,            1.3372,           -1.3158,           -0.3868,           -0.3747,          -22.8499,
Ref 21,4.25140e-08,,,,,,1.1877e-02,4.1798e-03,4.8659e-05,4.4604e-06,7.5208e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.21591e-08,,,,,,1.1877e-02,4.1797e-03,4.8657e-05,4.4597e-06,7.2655e-08,
Sam 1,4.27012e-08,1.19262e-02,4.1989e-03,4.9065e-05,4.4992e-06,7.5401e-08,,,,,,            4.1254,            4.5846,            8.4088,            9.1876,           32.1652,            1.3419,           -1.3466,           -0.3702,           -0.0025,           18.4521,
Ref 2,4.14251e-08,,,,,,1.1877e-02,4.1798e-03,4.8655e-05,4.4568e-06,7.3455e-08,,,,,,,,,,,
Sam 2,4.20209e-08,1.19263e-02,4.1990e-03,4.9066e-05,4.4998e-06,7.5537e-08,,,,,,            4.1338,            4.5966,            8.4519,            9.4316,           19.6925,            1.3505,           -1.3347,           -0.3479,            0.2154,            6.1125,
Ref 3,4.07547e-08,,,,,,1.1877e-02,4.1797e-03,4.8655e-05,4.4588e-06,7.4712e-08,,,,,,,,,,,
Sam 3,4.13549e-08,1.19261e-02,4.1990e-03,4.9067e-05,4.4996e-06,7.3562e-08,,,,,,            4.1223,            4.6096,            8.4877,            9.2057,          -12.1910,            1.3378,           -1.3216,           -0.3134,           -0.0344,          -25.3594,
Ref 4,4.00968e-08,,,,,,1.1877e-02,4.1797e-03,4.8653e-05,4.4583e-06,7.4225e-08,,,,,,,,,,,
Sam 4,4.06730e-08,1.19262e-02,4.1989e-03,4.9071e-05,4.4979e-06,7.4998e-08,,,,,,            4.1362,            4.5994,            8.5736,            8.8522,           16.3511,            1.3530,           -1.3318,           -0.2325,           -0.3643,            2.8075,
Ref 5,3.94655e-08,,,,,,1.1877e-02,4.1797e-03,4.8655e-05,4.4584e-06,7.3351e-08,,,,,,,,,,,
Sam 5,4.00549e-08,1.19261e-02,4.1989e-03,4.9072e-05,4.5004e-06,7.3186e-08,,,,,,            4.1339,            4.6093,            8.6628,            9.5768,           -8.4133,            1.3502,           -1.3220,           -0.1513,            0.3340,          -21.6434,
Ref 6,3.88535e-08,,,,,,1.1877e-02,4.1797e-03,4.8646e-05,4.4570e-06,7.4271e-08,,,,,,,,,,,
Sam 6,3.94382e-08,1.19260e-02,4.1989e-03,4.9074e-05,4.4993e-06,7.4050e-08,,,,,,            4.1356,            4.5983,            8.7183,            9.5968,           -8.4177,            1.3524,           -1.3329,           -0.0874,            0.3755,          -21.6286,
Ref 7,3.82384e-08,,,,,,1.1877e-02,4.1797e-03,4.8654e-05,4.4559e-06,7.5092e-08,,,,,,,,,,,
Sam 7,3.88141e-08,1.19260e-02,4.1989e-03,4.9070e-05,4.4978e-06,7.4033e-08,,,,,,            4.1424,            4.6051,            8.5703,            8.9501,          -12.0446,            1.3593,           -1.3262,           -0.2477,           -0.2786,          -25.2270,
Ref 8,3.76388e-08,,,,,,1.1877e-02,4.1796e-03,4.8652e-05,4.4598e-06,7.4778e-08,,,,,,,,,,,
Sam 8,3.82227e-08,1.19259e-02,4.1989e-03,4.9069e-05,4.4997e-06,7.6115e-08,,,,,,            4.1346,            4.6082,            8.6327,            9.0440,           21.1560,            1.3510,           -1.3230,           -0.1809,           -0.1919,            7.5326,
Ref 9,3.70341e-08,,,,,,1.1877e-02,4.1796e-03,4.8646e-05,4.4589e-06,7.4294e-08,,,,,,,,,,,
Sam 9,3.76769e-08,1.19258e-02,4.1988e-03,4.9059e-05,4.5001e-06,7.3814e-08,,,,,,            4.1235,            4.6024,            8.4748,            9.2164,           -7.0005,            1.3393,           -1.3289,           -0.3203,           -0.0094,          -20.2254,
Ref 10,3.64379e-08,,,,,,1.1877e-02,4.1796e-03,4.8648e-05,4.4591e-06,7.4376e-08,,,,,,,,,,,
Sam 10,3.70866e-08,1.19258e-02,4.1988e-03,4.9065e-05,4.4968e-06,7.4218e-08,,,,,,            4.1240,            4.6040,            8.5763,            8.8442,            1.4977,            1.3397,           -1.3272,           -0.2217,           -0.3815,          -11.8441,
Ref 11,3.59089e-08,,,,,,1.1877e-02,4.1796e-03,4.8647e-05,4.4556e-06,7.3833e-08,,,,,,,,,,,
Sam 11,3.65648e-08,1.19256e-02,4.1988e-03,4.9065e-05,4.4978e-06,7.4861e-08,,,,,,            4.1194,            4.5926,            8.6375,            9.2143,           10.2322,            1.3353,           -1.3386,           -0.1452,            0.0080,           -3.1987,
Ref 12,3.53242e-08,,,,,,1.1877e-02,4.1796e-03,4.8643e-05,4.4579e-06,7.4377e-08,,,,,,,,,,,
Sam 12,3.60132e-08,1.19257e-02,4.1988e-03,4.9059e-05,4.4978e-06,7.5387e-08,,,,,,            4.1285,            4.5985,            8.4862,            8.9905,           19.8606,            1.3448,           -1.3327,           -0.3102,           -0.2254,            6.2803,
Ref 13,3.48258e-08,,,,,,1.1877e-02,4.1796e-03,4.8650e-05,4.4577e-06,7.3455e-08,,,,,,,,,,,
Sam 13,3.54658e-08,1.19257e-02,4.1988e-03,4.9063e-05,4.4981e-06,7.4504e-08,,,,,,            4.1321,            4.5907,            8.4277,            9.0889,            5.9078,            1.3488,           -1.3405,           -0.3644,           -0.1125,           -7.4753,
Ref 14,3.42844e-08,,,,,,1.1876e-02,4.1796e-03,4.8657e-05,4.4576e-06,7.4687e-08,,,,,,,,,,,
Sam 14,3.49212e-08,1.19256e-02,4.1987e-03,4.9069e-05,4.4967e-06,7.4375e-08,,,,,,            4.1418,            4.5839,            8.5464,            8.5663,          -15.0848,            1.3594,           -1.3472,           -0.2499,           -0.6169,          -28.1858,
Ref 15,3.37561e-08,,,,,,1.1876e-02,4.1795e-03,4.8649e-05,4.4595e-06,7.6354e-08,,,,,,,,,,,
Sam 15,3.44295e-08,1.19255e-02,4.1987e-03,4.9059e-05,4.4975e-06,7.5583e-08,,,,,,            4.1287,            4.5916,            8.3745,            8.6749,            0.7663,            1.3452,           -1.3396,           -0.4145,           -0.5246,          -12.5467,
Ref 16,3.32474e-08,,,,,,1.1876e-02,4.1795e-03,4.8653e-05,4.4582e-06,7.4683e-08,,,,,,,,,,,
Sam 16,3.39087e-08,1.19254e-02,4.1987e-03,4.9069e-05,4.4993e-06,7.3828e-08,,,,,,            4.1291,            4.5960,            8.5853,            9.1494,          -11.4922,            1.3455,           -1.3352,           -0.2102,           -0.0630,          -24.6508,
Ref 17,3.27443e-08,,,,,,1.1876e-02,4.1795e-03,4.8649e-05,4.4588e-06,7.4689e-08,,,,,,,,,,,
Sam 17,3.34305e-08,1.19254e-02,4.1987e-03,4.9065e-05,4.4988e-06,7.5713e-08,,,,,,            4.1307,            4.6090,            8.5748,            9.2307,           15.0299,            1.3467,           -1.3223,           -0.2351,           -0.0085,            1.4909,
Ref 18,3.22520e-08,,,,,,1.1876e-02,4.1794e-03,4.8646e-05,4.4564e-06,7.4493e-08,,,,,,,,,,,
Sam 18,3.29047e-08,1.19254e-02,4.1987e-03,4.9065e-05,4.4967e-06,7.4363e-08,,,,,,            4.1323,            4.6131,            8.5833,            9.0512,          -14.2152,            1.3483,           -1.3182,           -0.2323,           -0.1945,          -27.3736,
Ref 19,3.17756e-08,,,,,,1.1876e-02,4.1795e-03,4.8648e-05,4.4563e-06,7.6392e-08,,,,,,,,,,,
Sam 19,3.24591e-08,1.19253e-02,4.1987e-03,4.9071e-05,4.4968e-06,7.5670e-08,,,,,,            4.1257,            4.5929,            8.6907,            9.1852,            6.9291,            1.3420,           -1.3382,           -0.0993,           -0.0216,           -6.4653,
Ref 20,3.12891e-08,,,,,,1.1876e-02,4.1794e-03,4.8649e-05,4.4554e-06,7.3888e-08,,,,,,,,,,,
Sam 20,3.19827e-08,1.19253e-02,4.1987e-03,4.9055e-05,4.4964e-06,7.4282e-08,,,,,,            4.1316,            4.6116,            8.3981,            8.9829,            9.6066,            1.3476,           -1.3197,           -0.4137,           -0.2591,           -3.8661,
Ref 21,3.08288e-08,,,,,,1.1876e-02,4.1794e-03,4.8644e-05,4.4572e-06,7.3257e-08,,,,,,,,,,,


