Nu Stable Isotope Analysis Program
Data Collected on Wednesday, October 25, 2023 at 17:45 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, October 25, 2023 at 18:45 with Stable 1.71.5 on PS019

Data File = Data_20678 ETH-03.txt,        Sample Weight = 449,                      Vial Location = 19,                       Initial Sam Beam = 2.5019e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6797e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01918
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.81120e-08,,,,,,1.1880e-02,4.1807e-03,4.8679e-05,4.4621e-06,7.1636e-08,
Sam 1,8.71484e-08,1.19330e-02,4.2305e-03,4.9471e-05,4.5697e-06,7.4217e-08,,,,,,            4.4289,           11.9063,           16.2224,           24.0602,           30.0421,            1.4120,            5.9390,           -0.1104,            0.1034,            1.6186,
Ref 2,8.61671e-08,,,,,,1.1881e-02,4.1808e-03,4.8684e-05,4.4625e-06,7.2478e-08,,,,,,,,,,,
Sam 2,8.52699e-08,1.19331e-02,4.2306e-03,4.9469e-05,4.5693e-06,7.4522e-08,,,,,,            4.4283,           11.9013,           16.1210,           23.8660,           29.8037,            1.4116,            5.9340,           -0.2047,           -0.0764,            1.3972,
Ref 3,8.42638e-08,,,,,,1.1880e-02,4.1809e-03,4.8684e-05,4.4631e-06,7.2250e-08,,,,,,,,,,,
Sam 3,8.34325e-08,1.19331e-02,4.2306e-03,4.9465e-05,4.5681e-06,7.3975e-08,,,,,,            4.4299,           11.8839,           16.0697,           23.4488,           23.4888,            1.4139,            5.9167,           -0.2399,           -0.4494,           -4.7116,
Ref 4,8.24039e-08,,,,,,1.1880e-02,4.1809e-03,4.8682e-05,4.4637e-06,7.2306e-08,,,,,,,,,,,
Sam 4,8.16298e-08,1.19330e-02,4.2306e-03,4.9468e-05,4.5697e-06,7.4277e-08,,,,,,            4.4286,           11.8897,           16.1716,           23.7534,           24.8085,            1.4123,            5.9225,           -0.1439,           -0.1635,           -3.4382,
Ref 5,8.05860e-08,,,,,,1.1880e-02,4.1808e-03,4.8679e-05,4.4637e-06,7.2656e-08,,,,,,,,,,,
Sam 5,7.98825e-08,1.19329e-02,4.2306e-03,4.9466e-05,4.5690e-06,7.4590e-08,,,,,,            4.4274,           11.8908,           16.1651,           23.5645,           23.9744,            1.4111,            5.9237,           -0.1502,           -0.3502,           -4.2503,
Ref 6,7.88361e-08,,,,,,1.1880e-02,4.1808e-03,4.8679e-05,4.4639e-06,7.3035e-08,,,,,,,,,,,
Sam 6,7.81940e-08,1.19328e-02,4.2305e-03,4.9466e-05,4.5697e-06,7.3774e-08,,,,,,            4.4302,           11.8895,           16.1262,           23.7444,           14.7957,            1.4140,            5.9224,           -0.1901,           -0.1719,          -13.1763,
Ref 7,7.71356e-08,,,,,,1.1880e-02,4.1808e-03,4.8682e-05,4.4636e-06,7.2355e-08,,,,,,,,,,,
Sam 7,7.65466e-08,1.19327e-02,4.2304e-03,4.9459e-05,4.5698e-06,7.4636e-08,,,,,,            4.4265,           11.8841,           16.0028,           23.7381,           31.6422,            1.4103,            5.9170,           -0.3025,           -0.1674,            3.2203,
Ref 8,7.55027e-08,,,,,,1.1880e-02,4.1807e-03,4.8678e-05,4.4640e-06,7.2338e-08,,,,,,,,,,,
Sam 8,7.53437e-08,1.19327e-02,4.2304e-03,4.9461e-05,4.5687e-06,7.4389e-08,,,,,,            4.4308,           11.8924,           16.0476,           23.6632,           22.1584,            1.4146,            5.9252,           -0.2709,           -0.2569,           -6.0228,
Ref 9,7.43075e-08,,,,,,1.1880e-02,4.1807e-03,4.8681e-05,4.4622e-06,7.3222e-08,,,,,,,,,,,
Sam 9,7.38283e-08,1.19325e-02,4.2304e-03,4.9463e-05,4.5693e-06,7.5264e-08,,,,,,            4.4278,           11.8898,           16.1188,           23.9221,           28.6592,            1.4115,            5.9226,           -0.1952,            0.0012,            0.3072,
Ref 10,7.25832e-08,,,,,,1.1880e-02,4.1806e-03,4.8675e-05,4.4629e-06,7.3112e-08,,,,,,,,,,,
Sam 10,7.21382e-08,1.19324e-02,4.2303e-03,4.9460e-05,4.5693e-06,7.4904e-08,,,,,,            4.4276,           11.8818,           16.1576,           23.8675,           23.3000,            1.4115,            5.9146,           -0.1490,           -0.0363,           -4.8886,
Ref 11,7.10779e-08,,,,,,1.1880e-02,4.1806e-03,4.8673e-05,4.4627e-06,7.3286e-08,,,,,,,,,,,
Sam 11,7.06824e-08,1.19323e-02,4.2302e-03,4.9459e-05,4.5692e-06,7.5088e-08,,,,,,            4.4289,           11.8822,           16.1204,           23.8728,           27.0565,            1.4129,            5.9150,           -0.1873,           -0.0320,           -1.2377,
Ref 12,6.96262e-08,,,,,,1.1880e-02,4.1805e-03,4.8675e-05,4.4626e-06,7.2929e-08,,,,,,,,,,,
Sam 12,6.92616e-08,1.19323e-02,4.2302e-03,4.9462e-05,4.5683e-06,7.4785e-08,,,,,,            4.4330,           11.8920,           16.1781,           23.6982,           20.9454,            1.4170,            5.9248,           -0.1443,           -0.2219,           -7.2039,
Ref 13,6.82125e-08,,,,,,1.1880e-02,4.1805e-03,4.8673e-05,4.4625e-06,7.3578e-08,,,,,,,,,,,
Sam 13,6.81621e-08,1.19322e-02,4.2302e-03,4.9459e-05,4.5694e-06,7.5377e-08,,,,,,            4.4357,           11.8903,           16.0791,           23.9096,           26.5276,            1.4199,            5.9231,           -0.2427,           -0.0120,           -1.7750,
Ref 14,6.68675e-08,,,,,,1.1879e-02,4.1805e-03,4.8679e-05,4.4630e-06,7.3277e-08,,,,,,,,,,,
Sam 14,6.68665e-08,1.19320e-02,4.2302e-03,4.9460e-05,4.5666e-06,7.5404e-08,,,,,,            4.4328,           11.8946,           16.0636,           23.1549,           25.6442,            1.4166,            5.9274,           -0.2593,           -0.7577,           -2.6394,
Ref 15,6.55571e-08,,,,,,1.1879e-02,4.1804e-03,4.8677e-05,4.4636e-06,7.3765e-08,,,,,,,,,,,
Sam 15,6.53728e-08,1.19320e-02,4.2301e-03,4.9459e-05,4.5682e-06,7.5732e-08,,,,,,            4.4335,           11.8937,           16.0483,           23.6619,           26.6751,            1.4174,            5.9265,           -0.2741,           -0.2607,           -1.6358,
Ref 16,6.42231e-08,,,,,,1.1879e-02,4.1804e-03,4.8678e-05,4.4616e-06,7.3764e-08,,,,,,,,,,,
Sam 16,6.39777e-08,1.19319e-02,4.2301e-03,4.9455e-05,4.5697e-06,7.5251e-08,,,,,,            4.4364,           11.8951,           15.9824,           24.0386,           22.5062,            1.4205,            5.9278,           -0.3433,            0.1045,           -5.6956,
Ref 17,6.29043e-08,,,,,,1.1879e-02,4.1804e-03,4.8676e-05,4.4633e-06,7.3422e-08,,,,,,,,,,,
Sam 17,6.27081e-08,1.19317e-02,4.2300e-03,4.9458e-05,4.5669e-06,7.5577e-08,,,,,,            4.4294,           11.8783,           16.1288,           23.1113,           21.9211,            1.4135,            5.9112,           -0.1758,           -0.7681,           -6.2247,
Ref 18,6.16803e-08,,,,,,1.1879e-02,4.1803e-03,4.8671e-05,4.4642e-06,7.4500e-08,,,,,,,,,,,
Sam 18,6.15844e-08,1.19316e-02,4.2300e-03,4.9452e-05,4.5688e-06,7.4665e-08,,,,,,            4.4267,           11.8824,           16.0447,           23.5930,           10.6700,            1.4105,            5.9153,           -0.2598,           -0.3058,          -17.1711,
Ref 19,6.04597e-08,,,,,,1.1879e-02,4.1803e-03,4.8671e-05,4.4627e-06,7.3241e-08,,,,,,,,,,,
Sam 19,6.03793e-08,1.19316e-02,4.2300e-03,4.9453e-05,4.5672e-06,7.6434e-08,,,,,,            4.4355,           11.8880,           16.0693,           23.4892,           34.1306,            1.4198,            5.9208,           -0.2501,           -0.4181,            5.6229,
Ref 20,5.93399e-08,,,,,,1.1879e-02,4.1803e-03,4.8671e-05,4.4620e-06,7.4593e-08,,,,,,,,,,,
Sam 20,5.92712e-08,1.19315e-02,4.2299e-03,4.9455e-05,4.5694e-06,7.5268e-08,,,,,,            4.4341,           11.8775,           16.1726,           24.0928,           10.9281,            1.4186,            5.9104,           -0.1368,            0.1921,          -16.9185,
Ref 21,5.82404e-08,,,,,,1.1879e-02,4.1803e-03,4.8664e-05,4.4618e-06,7.4313e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.76597e-08,,,,,,1.1879e-02,4.1802e-03,4.8668e-05,4.4613e-06,7.3982e-08,
Sam 1,5.76490e-08,1.19313e-02,4.2298e-03,4.9453e-05,4.5704e-06,7.6803e-08,,,,,,            4.4301,           11.8714,           16.0917,           24.5037,           30.4998,            1.4145,            5.9043,           -0.2063,            0.6054,            2.1303,
Ref 2,5.66874e-08,,,,,,1.1879e-02,4.1802e-03,4.8671e-05,4.4609e-06,7.5087e-08,,,,,,,,,,,
Sam 2,5.66598e-08,1.19313e-02,4.2299e-03,4.9456e-05,4.5666e-06,7.5004e-08,,,,,,            4.4353,           11.8933,           16.1420,           23.5654,            0.9060,            1.4193,            5.9260,           -0.1834,           -0.3541,          -26.6954,
Ref 3,5.55895e-08,,,,,,1.1879e-02,4.1802e-03,4.8669e-05,4.4620e-06,7.4782e-08,,,,,,,,,,,
Sam 3,5.56323e-08,1.19311e-02,4.2298e-03,4.9453e-05,4.5689e-06,7.4489e-08,,,,,,            4.4229,           11.8813,           16.1173,           24.0735,            1.1911,            1.4066,            5.9142,           -0.1834,            0.1657,          -26.3828,
Ref 4,5.45459e-08,,,,,,1.1879e-02,4.1801e-03,4.8668e-05,4.4610e-06,7.4013e-08,,,,,,,,,,,
Sam 4,5.46174e-08,1.19310e-02,4.2298e-03,4.9447e-05,4.5659e-06,7.4881e-08,,,,,,            4.4238,           11.8762,           16.0068,           23.3590,           11.0562,            1.4077,            5.9091,           -0.2882,           -0.5220,          -16.7807,
Ref 5,5.35354e-08,,,,,,1.1878e-02,4.1801e-03,4.8668e-05,4.4622e-06,7.4114e-08,,,,,,,,,,,
Sam 5,5.36122e-08,1.19310e-02,4.2298e-03,4.9455e-05,4.5674e-06,7.5932e-08,,,,,,            4.4333,           11.8794,           16.2328,           23.6842,           18.8575,            1.4177,            5.9123,           -0.0786,           -0.2107,           -9.2103,
Ref 6,5.25583e-08,,,,,,1.1878e-02,4.1801e-03,4.8662e-05,4.4612e-06,7.4947e-08,,,,,,,,,,,
Sam 6,5.26824e-08,1.19309e-02,4.2298e-03,4.9449e-05,4.5677e-06,7.5646e-08,,,,,,            4.4282,           11.8877,           16.1196,           23.6135,           14.7781,            1.4120,            5.9205,           -0.1927,           -0.2961,          -13.1877,
Ref 7,5.16506e-08,,,,,,1.1878e-02,4.1801e-03,4.8668e-05,4.4634e-06,7.4135e-08,,,,,,,,,,,
Sam 7,5.18411e-08,1.19309e-02,4.2297e-03,4.9453e-05,4.5662e-06,7.5591e-08,,,,,,            4.4345,           11.8704,           16.1569,           23.1242,           19.0122,            1.4193,            5.9033,           -0.1457,           -0.7399,           -9.0437,
Ref 8,5.07052e-08,,,,,,1.1878e-02,4.1800e-03,4.8666e-05,4.4626e-06,7.4227e-08,,,,,,,,,,,
Sam 8,5.08798e-08,1.19308e-02,4.2296e-03,4.9450e-05,4.5658e-06,7.6562e-08,,,,,,            4.4324,           11.8676,           16.1370,           23.2138,           32.5697,            1.4171,            5.9005,           -0.1603,           -0.6467,            4.1483,
Ref 9,4.98373e-08,,,,,,1.1878e-02,4.1800e-03,4.8663e-05,4.4618e-06,7.4066e-08,,,,,,,,,,,
Sam 9,4.99406e-08,1.19306e-02,4.2296e-03,4.9448e-05,4.5669e-06,7.6036e-08,,,,,,            4.4267,           11.8707,           16.1131,           23.7376,           26.6326,            1.4109,            5.9037,           -0.1811,           -0.1414,           -1.6255,
Ref 10,4.89257e-08,,,,,,1.1878e-02,4.1800e-03,4.8666e-05,4.4601e-06,7.4061e-08,,,,,,,,,,,
Sam 10,4.91689e-08,1.19306e-02,4.2296e-03,4.9454e-05,4.5659e-06,7.5542e-08,,,,,,            4.4303,           11.8602,           16.1811,           23.5400,           10.3032,            1.4152,            5.8932,           -0.1077,           -0.3136,          -17.4891,
Ref 11,4.81032e-08,,,,,,1.1878e-02,4.1800e-03,4.8667e-05,4.4617e-06,7.5495e-08,,,,,,,,,,,
Sam 11,4.82854e-08,1.19306e-02,4.2296e-03,4.9448e-05,4.5682e-06,7.4984e-08,,,,,,            4.4306,           11.8687,           16.0986,           24.1027,           -2.0253,            1.4152,            5.9016,           -0.1974,            0.2192,          -29.4947,
Ref 12,4.72273e-08,,,,,,1.1878e-02,4.1800e-03,4.8663e-05,4.4598e-06,7.4771e-08,,,,,,,,,,,
Sam 12,4.74753e-08,1.19305e-02,4.2295e-03,4.9449e-05,4.5648e-06,7.6226e-08,,,,,,            4.4345,           11.8619,           16.1556,           23.4170,           12.8212,            1.4196,            5.8948,           -0.1387,           -0.4370,          -15.0479,
Ref 13,4.64199e-08,,,,,,1.1878e-02,4.1800e-03,4.8663e-05,4.4609e-06,7.5759e-08,,,,,,,,,,,
Sam 13,4.67310e-08,1.19304e-02,4.2295e-03,4.9452e-05,4.5655e-06,7.5794e-08,,,,,,            4.4309,           11.8645,           16.2119,           23.4217,            8.1210,            1.4156,            5.8974,           -0.0821,           -0.4375,          -19.6199,
Ref 14,4.56867e-08,,,,,,1.1878e-02,4.1799e-03,4.8662e-05,4.4610e-06,7.4599e-08,,,,,,,,,,,
Sam 14,4.59749e-08,1.19303e-02,4.2295e-03,4.9450e-05,4.5650e-06,7.6465e-08,,,,,,            4.4234,           11.8656,           16.1786,           23.3567,           24.1780,            1.4076,            5.8986,           -0.1083,           -0.5033,           -3.9991,
Ref 15,4.48889e-08,,,,,,1.1878e-02,4.1799e-03,4.8663e-05,4.4605e-06,7.4722e-08,,,,,,,,,,,
Sam 15,4.52085e-08,1.19302e-02,4.2295e-03,4.9450e-05,4.5671e-06,7.5701e-08,,,,,,            4.4300,           11.8714,           16.2026,           23.9268,           16.8153,            1.4145,            5.9043,           -0.0971,            0.0421,          -11.1772,
Ref 16,4.41494e-08,,,,,,1.1878e-02,4.1799e-03,4.8660e-05,4.4603e-06,7.4171e-08,,,,,,,,,,,
Sam 16,4.44714e-08,1.19302e-02,4.2295e-03,4.9443e-05,4.5652e-06,7.7112e-08,,,,,,            4.4401,           11.8909,           16.0406,           23.6764,           42.1816,            1.4245,            5.9237,           -0.2858,           -0.2410,           13.4414,
Ref 17,4.33832e-08,,,,,,1.1877e-02,4.1798e-03,4.8665e-05,4.4589e-06,7.3808e-08,,,,,,,,,,,
Sam 17,4.37504e-08,1.19300e-02,4.2294e-03,4.9450e-05,4.5651e-06,7.6160e-08,,,,,,            4.4244,           11.8579,           16.1128,           23.7356,           30.8547,            1.4090,            5.8909,           -0.1666,           -0.1181,            2.5077,
Ref 18,4.26933e-08,,,,,,1.1877e-02,4.1799e-03,4.8667e-05,4.4596e-06,7.3954e-08,,,,,,,,,,,
Sam 18,4.30258e-08,1.19302e-02,4.2294e-03,4.9447e-05,4.5648e-06,7.5240e-08,,,,,,            4.4410,           11.8655,           16.0872,           23.4946,           12.6444,            1.4264,            5.8984,           -0.2163,           -0.3684,          -15.2337,
Ref 19,4.19749e-08,,,,,,1.1877e-02,4.1798e-03,4.8661e-05,4.4604e-06,7.4653e-08,,,,,,,,,,,
Sam 19,4.23256e-08,1.19300e-02,4.2294e-03,4.9448e-05,4.5673e-06,7.7236e-08,,,,,,            4.4368,           11.8515,           16.1141,           24.0305,           39.4706,            1.4223,            5.8845,           -0.1718,            0.1826,           10.8861,
Ref 20,4.13032e-08,,,,,,1.1877e-02,4.1799e-03,4.8667e-05,4.4598e-06,7.3949e-08,,,,,,,,,,,
Sam 20,4.16369e-08,1.19299e-02,4.2294e-03,4.9446e-05,4.5642e-06,7.7234e-08,,,,,,            4.4255,           11.8647,           16.0574,           23.6371,           31.6043,            1.4099,            5.8976,           -0.2288,           -0.2276,            3.2224,
Ref 21,4.06305e-08,,,,,,1.1877e-02,4.1798e-03,4.8662e-05,4.4578e-06,7.5802e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.02635e-08,,,,,,1.1877e-02,4.1797e-03,4.8662e-05,4.4582e-06,7.3367e-08,
Sam 1,4.06470e-08,1.19299e-02,4.2293e-03,4.9445e-05,4.5653e-06,7.6748e-08,,,,,,            4.4332,           11.8673,           16.1118,           23.7844,           35.8879,            1.4180,            5.9003,           -0.1857,           -0.0890,            7.3748,
Ref 2,3.96157e-08,,,,,,1.1877e-02,4.1798e-03,4.8660e-05,4.4602e-06,7.4824e-08,,,,,,,,,,,
Sam 2,4.00136e-08,1.19299e-02,4.2293e-03,4.9444e-05,4.5650e-06,7.5666e-08,,,,,,            4.4351,           11.8636,           16.1704,           23.5617,            8.7658,            1.4201,            5.8966,           -0.1264,           -0.2992,          -18.9957,
Ref 3,3.89984e-08,,,,,,1.1877e-02,4.1798e-03,4.8654e-05,4.4596e-06,7.5197e-08,,,,,,,,,,,
Sam 3,3.93703e-08,1.19297e-02,4.2293e-03,4.9453e-05,4.5638e-06,7.6385e-08,,,,,,            4.4243,           11.8596,           16.3413,           23.4261,           19.4012,            1.4088,            5.8926,            0.0567,           -0.4236,           -8.6339,
Ref 4,3.83823e-08,,,,,,1.1877e-02,4.1798e-03,4.8662e-05,4.4591e-06,7.4661e-08,,,,,,,,,,,
Sam 4,3.88161e-08,1.19297e-02,4.2293e-03,4.9442e-05,4.5619e-06,7.5600e-08,,,,,,            4.4222,           11.8525,           16.0621,           23.2007,           16.2388,            1.4068,            5.8855,           -0.2089,           -0.6297,          -11.6934,
Ref 5,3.77777e-08,,,,,,1.1877e-02,4.1798e-03,4.8659e-05,4.4578e-06,7.4119e-08,,,,,,,,,,,
Sam 5,3.82042e-08,1.19296e-02,4.2293e-03,4.9445e-05,4.5633e-06,7.6498e-08,,,,,,            4.4268,           11.8644,           16.1733,           23.7530,           35.4305,            1.4112,            5.8973,           -0.1158,           -0.1138,            6.9427,
Ref 6,3.71726e-08,,,,,,1.1877e-02,4.1797e-03,4.8656e-05,4.4571e-06,7.3637e-08,,,,,,,,,,,
Sam 6,3.75985e-08,1.19296e-02,4.2293e-03,4.9445e-05,4.5623e-06,7.7188e-08,,,,,,            4.4322,           11.8541,           16.1763,           23.4215,           26.9314,            1.4174,            5.8871,           -0.1084,           -0.4172,           -1.3085,
Ref 7,3.65858e-08,,,,,,1.1877e-02,4.1797e-03,4.8660e-05,4.4587e-06,7.6715e-08,,,,,,,,,,,
Sam 7,3.70508e-08,1.19295e-02,4.2293e-03,4.9448e-05,4.5611e-06,7.6148e-08,,,,,,            4.4245,           11.8528,           16.1740,           22.9746,            7.0526,            1.4092,            5.8858,           -0.1015,           -0.8512,          -20.6301,
Ref 8,3.60307e-08,,,,,,1.1877e-02,4.1797e-03,4.8661e-05,4.4587e-06,7.4497e-08,,,,,,,,,,,
Sam 8,3.64627e-08,1.19295e-02,4.2293e-03,4.9438e-05,4.5619e-06,7.5723e-08,,,,,,            4.4272,           11.8631,           16.0402,           23.2603,            5.2449,            1.4118,            5.8961,           -0.2460,           -0.5926,          -22.4106,
Ref 9,3.54565e-08,,,,,,1.1877e-02,4.1797e-03,4.8655e-05,4.4577e-06,7.6172e-08,,,,,,,,,,,
Sam 9,3.59262e-08,1.19294e-02,4.2292e-03,4.9442e-05,4.5643e-06,7.6630e-08,,,,,,            4.4293,           11.8613,           16.1409,           23.7902,           14.4176,            1.4140,            5.8943,           -0.1472,           -0.0714,          -13.4889,
Ref 10,3.49155e-08,,,,,,1.1877e-02,4.1797e-03,4.8659e-05,4.4589e-06,7.4900e-08,,,,,,,,,,,
Sam 10,3.54244e-08,1.19294e-02,4.2292e-03,4.9444e-05,4.5642e-06,7.7443e-08,,,,,,            4.4264,           11.8573,           16.1153,           23.8392,           30.3764,            1.4111,            5.8903,           -0.1656,           -0.0157,            2.0418,
Ref 11,3.43811e-08,,,,,,1.1877e-02,4.1797e-03,4.8661e-05,4.4569e-06,7.5424e-08,,,,,,,,,,,
Sam 11,3.48960e-08,1.19293e-02,4.2292e-03,4.9441e-05,4.5613e-06,7.6018e-08,,,,,,            4.4259,           11.8558,           16.1120,           23.4819,            7.5614,            1.4106,            5.8888,           -0.1668,           -0.3616,          -20.1424,
Ref 12,3.38694e-08,,,,,,1.1877e-02,4.1797e-03,4.8652e-05,4.4563e-06,7.5471e-08,,,,,,,,,,,
Sam 12,3.43618e-08,1.19294e-02,4.2292e-03,4.9440e-05,4.5632e-06,7.6767e-08,,,,,,            4.4411,           11.8588,           16.1821,           24.0598,           24.4995,            1.4267,            5.8918,           -0.1164,            0.1968,           -3.6920,
Ref 13,3.33593e-08,,,,,,1.1877e-02,4.1796e-03,4.8653e-05,4.4557e-06,7.4384e-08,,,,,,,,,,,
Sam 13,3.38846e-08,1.19292e-02,4.2292e-03,4.9438e-05,4.5633e-06,7.7294e-08,,,,,,            4.4304,           11.8662,           16.0923,           23.8481,           39.8463,            1.4150,            5.8991,           -0.2009,           -0.0244,           11.2295,
Ref 14,3.28500e-08,,,,,,1.1877e-02,4.1796e-03,4.8658e-05,4.4584e-06,7.4280e-08,,,,,,,,,,,
Sam 14,3.33857e-08,1.19291e-02,4.2292e-03,4.9446e-05,4.5610e-06,7.6007e-08,,,,,,            4.4233,           11.8595,           16.2136,           22.9397,           24.2296,            1.4077,            5.8925,           -0.0678,           -0.8985,           -3.9370,
Ref 15,3.23563e-08,,,,,,1.1877e-02,4.1797e-03,4.8657e-05,4.4590e-06,7.4137e-08,,,,,,,,,,,
Sam 15,3.29103e-08,1.19292e-02,4.2292e-03,4.9443e-05,4.5605e-06,7.6295e-08,,,,,,            4.4302,           11.8503,           16.1631,           23.3586,           24.1299,            1.4154,            5.8833,           -0.1156,           -0.4712,           -4.0233,
Ref 16,3.18747e-08,,,,,,1.1877e-02,4.1796e-03,4.8657e-05,4.4538e-06,7.4864e-08,,,,,,,,,,,
Sam 16,3.24252e-08,1.19291e-02,4.2292e-03,4.9444e-05,4.5613e-06,7.6119e-08,,,,,,            4.4270,           11.8673,           16.1760,           23.8856,           10.4177,            1.4114,            5.9002,           -0.1161,            0.0101,          -17.3877,
Ref 17,3.14036e-08,,,,,,1.1876e-02,4.1796e-03,4.8657e-05,4.4559e-06,7.5811e-08,,,,,,,,,,,
Sam 17,3.19479e-08,1.19291e-02,4.2292e-03,4.9449e-05,4.5630e-06,7.6629e-08,,,,,,            4.4367,           11.8570,           16.3405,           23.9879,           10.2822,            1.4220,            5.8899,            0.0458,            0.1303,          -17.5099,
Ref 18,3.09355e-08,,,,,,1.1876e-02,4.1796e-03,4.8651e-05,4.4562e-06,7.5889e-08,,,,,,,,,,,
Sam 18,3.14973e-08,1.19291e-02,4.2291e-03,4.9439e-05,4.5616e-06,7.7339e-08,,,,,,            4.4336,           11.8360,           16.1541,           23.6838,           34.8674,            1.4194,            5.8690,           -0.1140,           -0.1252,            6.4434,
Ref 19,3.04752e-08,,,,,,1.1876e-02,4.1797e-03,4.8655e-05,4.4558e-06,7.3561e-08,,,,,,,,,,,
Sam 19,3.10416e-08,1.19290e-02,4.2291e-03,4.9438e-05,4.5594e-06,7.6009e-08,,,,,,            4.4240,           11.8380,           15.9765,           23.1212,           22.6727,            1.4092,            5.8711,           -0.2809,           -0.6787,           -5.4103,
Ref 20,3.00298e-08,,,,,,1.1876e-02,4.1796e-03,4.8667e-05,4.4569e-06,7.5099e-08,,,,,,,,,,,
Sam 20,3.06048e-08,1.19290e-02,4.2291e-03,4.9448e-05,4.5597e-06,7.3548e-08,,,,,,            4.4289,           11.8535,           16.1775,           23.5574,          -33.0507,            1.4138,            5.8865,           -0.1032,           -0.2834,          -59.6366,
Ref 21,2.95917e-08,,,,,,1.1876e-02,4.1796e-03,4.8655e-05,4.4525e-06,7.7039e-08,,,,,,,,,,,


