Nu Stable Isotope Analysis Program
Data Collected on Wednesday, October 25, 2023 at 20:35 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, October 25, 2023 at 21:35 with Stable 1.71.5 on PS019

Data File = Data_20680 MDE 71B.txt,       Sample Weight = 431,                      Vial Location = 21,                       Initial Sam Beam = 2.5017e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2450e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01918
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.51672e-08,,,,,,1.1880e-02,4.1806e-03,4.8678e-05,4.4610e-06,7.2217e-08,
Sam 1,8.41886e-08,1.19510e-02,4.2077e-03,4.9272e-05,4.5195e-06,7.3863e-08,,,,,,            5.9570,            6.4665,           12.1752,           12.8640,           18.5889,            3.2262,            0.5222,           -0.3620,           -0.1094,           -0.5755,
Ref 2,8.32920e-08,,,,,,1.1880e-02,4.1808e-03,4.8681e-05,4.4633e-06,7.2821e-08,,,,,,,,,,,
Sam 2,8.23914e-08,1.19511e-02,4.2078e-03,4.9272e-05,4.5197e-06,7.3222e-08,,,,,,            5.9555,            6.4463,           12.1739,           12.6471,            4.1625,            3.2253,            0.5022,           -0.3420,           -0.2834,          -14.6900,
Ref 3,8.14803e-08,,,,,,1.1880e-02,4.1808e-03,4.8679e-05,4.4633e-06,7.3018e-08,,,,,,,,,,,
Sam 3,8.06481e-08,1.19511e-02,4.2077e-03,4.9272e-05,4.5198e-06,7.4492e-08,,,,,,            5.9604,            6.4449,           12.1899,           12.6687,           18.1647,            3.2305,            0.5007,           -0.3298,           -0.2592,           -0.9530,
Ref 4,7.97175e-08,,,,,,1.1880e-02,4.1808e-03,4.8679e-05,4.4632e-06,7.3311e-08,,,,,,,,,,,
Sam 4,7.89325e-08,1.19510e-02,4.2077e-03,4.9269e-05,4.5204e-06,7.4015e-08,,,,,,            5.9514,            6.4362,           12.1883,           12.8908,           10.4941,            3.2212,            0.4921,           -0.3137,           -0.0227,           -8.4533,
Ref 5,7.79951e-08,,,,,,1.1880e-02,4.1808e-03,4.8673e-05,4.4627e-06,7.3181e-08,,,,,,,,,,,
Sam 5,7.72785e-08,1.19509e-02,4.2077e-03,4.9273e-05,4.5199e-06,7.4942e-08,,,,,,            5.9489,            6.4368,           12.2551,           12.7748,           20.8061,            3.2186,            0.4927,           -0.2458,           -0.1383,            1.6668,
Ref 6,7.63286e-08,,,,,,1.1880e-02,4.1807e-03,4.8680e-05,4.4631e-06,7.3654e-08,,,,,,,,,,,
Sam 6,7.56865e-08,1.19508e-02,4.2076e-03,4.9268e-05,4.5201e-06,7.4081e-08,,,,,,            5.9495,            6.4485,           12.0794,           12.8154,            2.7882,            3.2188,            0.5043,           -0.4313,           -0.1216,          -16.0364,
Ref 7,7.51759e-08,,,,,,1.1880e-02,4.1806e-03,4.8679e-05,4.4626e-06,7.4098e-08,,,,,,,,,,,
Sam 7,7.43002e-08,1.19506e-02,4.2076e-03,4.9268e-05,4.5214e-06,7.4746e-08,,,,,,            5.9448,            6.4573,           12.1440,           13.2756,           10.1619,            3.2135,            0.5131,           -0.3713,            0.3153,           -8.8133,
Ref 8,7.33395e-08,,,,,,1.1880e-02,4.1806e-03,4.8674e-05,4.4618e-06,7.3886e-08,,,,,,,,,,,
Sam 8,7.27059e-08,1.19506e-02,4.2076e-03,4.9272e-05,4.5206e-06,7.4648e-08,,,,,,            5.9468,            6.4567,           12.2310,           13.1208,           15.6673,            3.2157,            0.5126,           -0.2869,            0.1636,           -3.4124,
Ref 9,7.21219e-08,,,,,,1.1880e-02,4.1806e-03,4.8679e-05,4.4623e-06,7.3101e-08,,,,,,,,,,,
Sam 9,7.13523e-08,1.19504e-02,4.2075e-03,4.9267e-05,4.5199e-06,7.4932e-08,,,,,,            5.9429,            6.4493,           12.1185,           12.8812,           16.8521,            3.2118,            0.5052,           -0.3868,           -0.0582,           -2.2312,
Ref 10,7.03718e-08,,,,,,1.1880e-02,4.1806e-03,4.8676e-05,4.4626e-06,7.4294e-08,,,,,,,,,,,
Sam 10,6.99130e-08,1.19504e-02,4.2075e-03,4.9269e-05,4.5201e-06,7.5034e-08,,,,,,            5.9411,            6.4398,           12.1962,           12.8441,            9.5241,            3.2102,            0.4958,           -0.2990,           -0.0760,           -9.4015,
Ref 11,6.90344e-08,,,,,,1.1880e-02,4.1806e-03,4.8675e-05,4.4630e-06,7.4360e-08,,,,,,,,,,,
Sam 11,6.87916e-08,1.19503e-02,4.2074e-03,4.9265e-05,4.5213e-06,7.5407e-08,,,,,,            5.9463,            6.4424,           12.1348,           12.9847,           15.6221,            3.2157,            0.4983,           -0.3675,            0.0577,           -3.4283,
Ref 12,6.75407e-08,,,,,,1.1880e-02,4.1805e-03,4.8673e-05,4.4638e-06,7.4133e-08,,,,,,,,,,,
Sam 12,6.74388e-08,1.19501e-02,4.2074e-03,4.9263e-05,4.5202e-06,7.5907e-08,,,,,,            5.9445,            6.4480,           12.1100,           12.8503,           22.7545,            3.2135,            0.5038,           -0.3955,           -0.0861,            3.5613,
Ref 13,6.61752e-08,,,,,,1.1879e-02,4.1804e-03,4.8674e-05,4.4619e-06,7.4306e-08,,,,,,,,,,,
Sam 13,6.58567e-08,1.19501e-02,4.2074e-03,4.9266e-05,4.5199e-06,7.4424e-08,,,,,,            5.9500,            6.4540,           12.1567,           12.8070,            2.2755,            3.2191,            0.5098,           -0.3609,           -0.1407,          -16.5506,
Ref 14,6.48626e-08,,,,,,1.1879e-02,4.1804e-03,4.8675e-05,4.4635e-06,7.4202e-08,,,,,,,,,,,
Sam 14,6.45699e-08,1.19500e-02,4.2074e-03,4.9269e-05,4.5197e-06,7.5364e-08,,,,,,            5.9562,            6.4545,           12.2166,           12.6439,           20.6988,            3.2258,            0.5103,           -0.3086,           -0.3028,            1.5191,
Ref 15,6.35719e-08,,,,,,1.1879e-02,4.1804e-03,4.8673e-05,4.4630e-06,7.3462e-08,,,,,,,,,,,
Sam 15,6.33320e-08,1.19499e-02,4.2073e-03,4.9266e-05,4.5174e-06,7.3968e-08,,,,,,            5.9537,            6.4428,           12.2121,           12.1518,            3.2984,            3.2235,            0.4986,           -0.2990,           -0.7653,          -15.5292,
Ref 16,6.23433e-08,,,,,,1.1879e-02,4.1804e-03,4.8671e-05,4.4633e-06,7.3994e-08,,,,,,,,,,,
Sam 16,6.21263e-08,1.19498e-02,4.2072e-03,4.9263e-05,4.5189e-06,7.5082e-08,,,,,,            5.9478,            6.4353,           12.1368,           12.5828,           14.0318,            3.2174,            0.4913,           -0.3601,           -0.3251,           -4.9765,
Ref 17,6.10568e-08,,,,,,1.1879e-02,4.1803e-03,4.8674e-05,4.4622e-06,7.4092e-08,,,,,,,,,,,
Sam 17,6.08950e-08,1.19496e-02,4.2072e-03,4.9266e-05,4.5200e-06,7.5552e-08,,,,,,            5.9437,            6.4452,           12.2163,           12.8974,           13.7327,            3.2128,            0.5011,           -0.2870,           -0.0340,           -5.2849,
Ref 18,5.99296e-08,,,,,,1.1879e-02,4.1803e-03,4.8669e-05,4.4626e-06,7.4972e-08,,,,,,,,,,,
Sam 18,5.97659e-08,1.19496e-02,4.2072e-03,4.9266e-05,4.5199e-06,7.6521e-08,,,,,,            5.9504,            6.4441,           12.2759,           12.8203,           23.5683,            3.2200,            0.5000,           -0.2340,           -0.1081,            4.3612,
Ref 19,5.87623e-08,,,,,,1.1879e-02,4.1803e-03,4.8669e-05,4.4627e-06,7.4542e-08,,,,,,,,,,,
Sam 19,5.86687e-08,1.19495e-02,4.2072e-03,4.9257e-05,4.5195e-06,7.5249e-08,,,,,,            5.9463,            6.4535,           12.0835,           12.6646,            6.7329,            3.2152,            0.5093,           -0.4289,           -0.2804,          -12.1721,
Ref 20,5.78102e-08,,,,,,1.1879e-02,4.1802e-03,4.8670e-05,4.4632e-06,7.4953e-08,,,,,,,,,,,
Sam 20,5.76203e-08,1.19494e-02,4.2071e-03,4.9262e-05,4.5206e-06,7.6267e-08,,,,,,            5.9469,            6.4437,           12.2301,           12.8240,           18.9233,            3.2162,            0.4996,           -0.2752,           -0.1035,           -0.1922,
Ref 21,5.66895e-08,,,,,,1.1879e-02,4.1802e-03,4.8664e-05,4.4635e-06,7.4747e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.61059e-08,,,,,,1.1879e-02,4.1801e-03,4.8670e-05,4.4607e-06,7.4259e-08,
Sam 1,5.60915e-08,1.19493e-02,4.2071e-03,4.9264e-05,4.5191e-06,7.5030e-08,,,,,,            5.9444,            6.4451,           12.1761,           12.9438,            7.2387,            3.2136,            0.5010,           -0.3274,            0.0120,          -11.6577,
Ref 2,5.50672e-08,,,,,,1.1879e-02,4.1801e-03,4.8672e-05,4.4621e-06,7.4728e-08,,,,,,,,,,,
Sam 2,5.50403e-08,1.19493e-02,4.2070e-03,4.9259e-05,4.5190e-06,7.5758e-08,,,,,,            5.9470,            6.4361,           12.1073,           12.9106,           13.1830,            3.2166,            0.4920,           -0.3891,           -0.0028,           -5.8101,
Ref 3,5.40325e-08,,,,,,1.1879e-02,4.1801e-03,4.8667e-05,4.4606e-06,7.4818e-08,,,,,,,,,,,
Sam 3,5.40390e-08,1.19492e-02,4.2070e-03,4.9258e-05,4.5179e-06,7.6497e-08,,,,,,            5.9456,            6.4324,           12.1460,           12.5914,           17.6579,            3.2152,            0.4883,           -0.3458,           -0.3106,           -1.4102,
Ref 4,5.30160e-08,,,,,,1.1878e-02,4.1801e-03,4.8666e-05,4.4629e-06,7.5528e-08,,,,,,,,,,,
Sam 4,5.30804e-08,1.19490e-02,4.2070e-03,4.9260e-05,4.5177e-06,7.6518e-08,,,,,,            5.9445,            6.4413,           12.2373,           12.3889,           19.8262,            3.2138,            0.4972,           -0.2632,           -0.5283,            0.7011,
Ref 5,5.21299e-08,,,,,,1.1878e-02,4.1801e-03,4.8664e-05,4.4619e-06,7.4524e-08,,,,,,,,,,,
Sam 5,5.21048e-08,1.19490e-02,4.2070e-03,4.9258e-05,4.5198e-06,7.6409e-08,,,,,,            5.9490,            6.4400,           12.2185,           12.9030,           21.4109,            3.2186,            0.4959,           -0.2851,           -0.0181,            2.2539,
Ref 6,5.12108e-08,,,,,,1.1878e-02,4.1800e-03,4.8664e-05,4.4624e-06,7.5097e-08,,,,,,,,,,,
Sam 6,5.13085e-08,1.19489e-02,4.2069e-03,4.9255e-05,4.5183e-06,7.6818e-08,,,,,,            5.9510,            6.4417,           12.1157,           12.5724,           15.8036,            3.2206,            0.4976,           -0.3904,           -0.3479,           -3.2537,
Ref 7,5.02520e-08,,,,,,1.1878e-02,4.1800e-03,4.8666e-05,4.4619e-06,7.6159e-08,,,,,,,,,,,
Sam 7,5.03704e-08,1.19489e-02,4.2069e-03,4.9259e-05,4.5178e-06,7.6790e-08,,,,,,            5.9589,            6.4481,           12.2163,           12.5516,           16.8160,            3.2289,            0.5039,           -0.3054,           -0.3813,           -2.2812,
Ref 8,4.93722e-08,,,,,,1.1878e-02,4.1799e-03,4.8662e-05,4.4618e-06,7.4869e-08,,,,,,,,,,,
Sam 8,4.95725e-08,1.19488e-02,4.2069e-03,4.9260e-05,4.5196e-06,7.6013e-08,,,,,,            5.9584,            6.4507,           12.2351,           12.9419,            7.9081,            3.2282,            0.5065,           -0.2888,           -0.0011,          -11.0262,
Ref 9,4.85035e-08,,,,,,1.1878e-02,4.1799e-03,4.8667e-05,4.4619e-06,7.5974e-08,,,,,,,,,,,
Sam 9,4.86626e-08,1.19486e-02,4.2069e-03,4.9263e-05,4.5195e-06,7.7453e-08,,,,,,            5.9454,            6.4562,           12.2666,           12.7830,           25.4050,            3.2142,            0.5120,           -0.2499,           -0.1689,            6.1449,
Ref 10,4.76627e-08,,,,,,1.1878e-02,4.1799e-03,4.8665e-05,4.4630e-06,7.5086e-08,,,,,,,,,,,
Sam 10,4.78468e-08,1.19486e-02,4.2068e-03,4.9262e-05,4.5189e-06,7.6217e-08,,,,,,            5.9511,            6.4453,           12.2973,           12.7536,           11.5960,            3.2206,            0.5012,           -0.2147,           -0.1762,           -7.3896,
Ref 11,4.68385e-08,,,,,,1.1878e-02,4.1799e-03,4.8662e-05,4.4609e-06,7.5605e-08,,,,,,,,,,,
Sam 11,4.70423e-08,1.19486e-02,4.2068e-03,4.9257e-05,4.5194e-06,7.6695e-08,,,,,,            5.9605,            6.4337,           12.1855,           13.1847,           11.8670,            3.2311,            0.4896,           -0.3234,            0.2724,           -7.1109,
Ref 12,4.60412e-08,,,,,,1.1878e-02,4.1799e-03,4.8666e-05,4.4603e-06,7.5990e-08,,,,,,,,,,,
Sam 12,4.62668e-08,1.19484e-02,4.2068e-03,4.9253e-05,4.5190e-06,7.6628e-08,,,,,,            5.9493,            6.4526,           12.0895,           13.2052,           10.2129,            3.2185,            0.5084,           -0.4253,            0.2551,           -8.7589,
Ref 13,4.52593e-08,,,,,,1.1878e-02,4.1798e-03,4.8663e-05,4.4600e-06,7.5715e-08,,,,,,,,,,,
Sam 13,4.55055e-08,1.19484e-02,4.2067e-03,4.9256e-05,4.5180e-06,7.6680e-08,,,,,,            5.9521,            6.4386,           12.2174,           12.7154,           13.5809,            3.2219,            0.4945,           -0.2880,           -0.2007,           -5.4299,
Ref 14,4.45012e-08,,,,,,1.1878e-02,4.1799e-03,4.8660e-05,4.4625e-06,7.5590e-08,,,,,,,,,,,
Sam 14,4.47661e-08,1.19483e-02,4.2068e-03,4.9257e-05,4.5178e-06,7.7160e-08,,,,,,            5.9482,            6.4490,           12.2941,           12.5369,           15.7329,            3.2174,            0.5048,           -0.2185,           -0.3975,           -3.3344,
Ref 15,4.37585e-08,,,,,,1.1878e-02,4.1798e-03,4.8657e-05,4.4612e-06,7.6346e-08,,,,,,,,,,,
Sam 15,4.40387e-08,1.19482e-02,4.2067e-03,4.9248e-05,4.5169e-06,7.6912e-08,,,,,,            5.9447,            6.4321,           12.1387,           12.4784,           13.6286,            3.2142,            0.4880,           -0.3518,           -0.4216,           -5.3625,
Ref 16,4.30330e-08,,,,,,1.1878e-02,4.1798e-03,4.8657e-05,4.4612e-06,7.5402e-08,,,,,,,,,,,
Sam 16,4.33125e-08,1.19482e-02,4.2068e-03,4.9253e-05,4.5173e-06,7.6872e-08,,,,,,            5.9514,            6.4644,           12.2791,           12.7767,           14.4659,            3.2203,            0.5202,           -0.2517,           -0.1915,           -4.6111,
Ref 17,4.23201e-08,,,,,,1.1878e-02,4.1798e-03,4.8654e-05,4.4594e-06,7.6156e-08,,,,,,,,,,,
Sam 17,4.26270e-08,1.19480e-02,4.2067e-03,4.9252e-05,4.5156e-06,7.6233e-08,,,,,,            5.9417,            6.4319,           12.2494,           12.6697,           -2.2899,            3.2111,            0.4879,           -0.2393,           -0.2324,          -20.9794,
Ref 18,4.16223e-08,,,,,,1.1877e-02,4.1798e-03,4.8657e-05,4.4588e-06,7.6664e-08,,,,,,,,,,,
Sam 18,4.19268e-08,1.19480e-02,4.2067e-03,4.9256e-05,4.5166e-06,7.6453e-08,,,,,,            5.9495,            6.4384,           12.2885,           12.6896,            3.7069,            3.2192,            0.4943,           -0.2149,           -0.2257,          -15.1155,
Ref 19,4.08942e-08,,,,,,1.1877e-02,4.1798e-03,4.8659e-05,4.4612e-06,7.5668e-08,,,,,,,,,,,
Sam 19,4.12485e-08,1.19481e-02,4.2067e-03,4.9251e-05,4.5163e-06,7.6227e-08,,,,,,            5.9573,            6.4360,           12.1400,           12.5999,            6.7171,            3.2276,            0.4919,           -0.3673,           -0.3096,          -12.1654,
Ref 20,4.02607e-08,,,,,,1.1877e-02,4.1798e-03,4.8662e-05,4.4590e-06,7.5770e-08,,,,,,,,,,,
Sam 20,4.06096e-08,1.19480e-02,4.2067e-03,4.9263e-05,4.5185e-06,7.6859e-08,,,,,,            5.9524,            6.4415,           12.3413,           13.2928,           11.3553,            3.2221,            0.4974,           -0.1688,            0.3637,           -7.6196,
Ref 21,3.96219e-08,,,,,,1.1877e-02,4.1798e-03,4.8662e-05,4.4596e-06,7.6225e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.92639e-08,,,,,,1.1877e-02,4.1797e-03,4.8660e-05,4.4590e-06,7.4456e-08,
Sam 1,3.96517e-08,1.19479e-02,4.2067e-03,4.9252e-05,4.5155e-06,7.7732e-08,,,,,,            5.9500,            6.4643,           12.2198,           12.5402,           29.8328,            3.2188,            0.5201,           -0.3086,           -0.4246,           10.4687,
Ref 2,3.86433e-08,,,,,,1.1877e-02,4.1796e-03,4.8655e-05,4.4601e-06,7.6522e-08,,,,,,,,,,,
Sam 2,3.90421e-08,1.19478e-02,4.2066e-03,4.9245e-05,4.5173e-06,7.5896e-08,,,,,,            5.9432,            6.4331,           12.0907,           12.8559,           -1.5442,            3.2127,            0.4891,           -0.3988,           -0.0511,          -20.2517,
Ref 3,3.80500e-08,,,,,,1.1877e-02,4.1797e-03,4.8658e-05,4.4599e-06,7.5497e-08,,,,,,,,,,,
Sam 3,3.84134e-08,1.19478e-02,4.2066e-03,4.9256e-05,4.5175e-06,7.5741e-08,,,,,,            5.9495,            6.4403,           12.3038,           13.1336,            3.4399,            3.2191,            0.4962,           -0.2017,            0.2088,          -15.3813,
Ref 4,3.74586e-08,,,,,,1.1877e-02,4.1797e-03,4.8657e-05,4.4581e-06,7.5467e-08,,,,,,,,,,,
Sam 4,3.78211e-08,1.19478e-02,4.2066e-03,4.9250e-05,4.5139e-06,7.6970e-08,,,,,,            5.9462,            6.4384,           12.1702,           12.3728,           15.1661,            3.2157,            0.4943,           -0.3285,           -0.5385,           -3.8679,
Ref 5,3.68617e-08,,,,,,1.1877e-02,4.1797e-03,4.8659e-05,4.4594e-06,7.6179e-08,,,,,,,,,,,
Sam 5,3.72776e-08,1.19476e-02,4.2066e-03,4.9249e-05,4.5146e-06,7.7315e-08,,,,,,            5.9411,            6.4437,           12.1765,           12.4669,           16.1908,            3.2101,            0.4996,           -0.3221,           -0.4561,           -2.8672,
Ref 6,3.62872e-08,,,,,,1.1877e-02,4.1797e-03,4.8655e-05,4.4585e-06,7.5986e-08,,,,,,,,,,,
Sam 6,3.67156e-08,1.19476e-02,4.2065e-03,4.9253e-05,4.5167e-06,7.8343e-08,,,,,,            5.9508,            6.4347,           12.1843,           12.8684,           42.7421,            3.2206,            0.4906,           -0.3156,           -0.0419,           23.1935,
Ref 7,3.57272e-08,,,,,,1.1877e-02,4.1796e-03,4.8664e-05,4.4602e-06,7.4264e-08,,,,,,,,,,,
Sam 7,3.61667e-08,1.19475e-02,4.2065e-03,4.9255e-05,4.5155e-06,7.7005e-08,,,,,,            5.9526,            6.4297,           12.1785,           12.4414,           25.6677,            3.2227,            0.4857,           -0.3183,           -0.4535,            6.4472,
Ref 8,3.51737e-08,,,,,,1.1877e-02,4.1796e-03,4.8661e-05,4.4598e-06,7.5905e-08,,,,,,,,,,,
Sam 8,3.55880e-08,1.19474e-02,4.2065e-03,4.9251e-05,4.5174e-06,7.8137e-08,,,,,,            5.9373,            6.4287,           12.1995,           12.9995,           18.6306,            3.2065,            0.4847,           -0.2810,            0.0994,           -0.4400,
Ref 9,3.46383e-08,,,,,,1.1877e-02,4.1796e-03,4.8654e-05,4.4591e-06,7.7523e-08,,,,,,,,,,,
Sam 9,3.50576e-08,1.19474e-02,4.2065e-03,4.9249e-05,4.5153e-06,7.7248e-08,,,,,,            5.9385,            6.4359,           12.0929,           12.4821,           -4.4724,            3.2076,            0.4918,           -0.3945,           -0.4255,          -23.1254,
Ref 10,3.40964e-08,,,,,,1.1877e-02,4.1796e-03,4.8666e-05,4.4602e-06,7.7669e-08,,,,,,,,,,,
Sam 10,3.45608e-08,1.19475e-02,4.2065e-03,4.9247e-05,4.5145e-06,7.7774e-08,,,,,,            5.9501,            6.4423,           12.0090,           12.3197,            2.4402,            3.2197,            0.4982,           -0.4955,           -0.5986,          -16.3668,
Ref 11,3.35828e-08,,,,,,1.1877e-02,4.1796e-03,4.8659e-05,4.4589e-06,7.7499e-08,,,,,,,,,,,
Sam 11,3.40482e-08,1.19473e-02,4.2065e-03,4.9251e-05,4.5126e-06,7.7737e-08,,,,,,            5.9439,            6.4283,           12.2147,           12.1054,           11.5598,            3.2135,            0.4843,           -0.2723,           -0.7824,           -7.3844,
Ref 12,3.30763e-08,,,,,,1.1877e-02,4.1796e-03,4.8653e-05,4.4584e-06,7.6188e-08,,,,,,,,,,,
Sam 12,3.35593e-08,1.19473e-02,4.2065e-03,4.9249e-05,4.5130e-06,7.7036e-08,,,,,,            5.9485,            6.4555,           12.1770,           12.3109,           -1.3132,            3.2175,            0.5113,           -0.3407,           -0.6335,          -20.0731,
Ref 13,3.25750e-08,,,,,,1.1877e-02,4.1795e-03,4.8660e-05,4.4579e-06,7.8102e-08,,,,,,,,,,,
Sam 13,3.30404e-08,1.19473e-02,4.2064e-03,4.9251e-05,4.5142e-06,7.7700e-08,,,,,,            5.9491,            6.4357,           12.1927,           12.6527,            3.7373,            3.2188,            0.4916,           -0.3066,           -0.2568,          -15.0801,
Ref 14,3.20896e-08,,,,,,1.1877e-02,4.1795e-03,4.8655e-05,4.4577e-06,7.6709e-08,,,,,,,,,,,
Sam 14,3.25964e-08,1.19472e-02,4.2065e-03,4.9250e-05,4.5186e-06,7.7732e-08,,,,,,            5.9418,            6.4394,           12.2188,           13.7078,           22.3742,            3.2109,            0.4953,           -0.2769,            0.7775,            3.2078,
Ref 15,3.16219e-08,,,,,,1.1877e-02,4.1795e-03,4.8655e-05,4.4573e-06,7.5344e-08,,,,,,,,,,,
Sam 15,3.21234e-08,1.19472e-02,4.2064e-03,4.9251e-05,4.5139e-06,7.7346e-08,,,,,,            5.9484,            6.4326,           12.2345,           12.7546,           33.8534,            3.2182,            0.4886,           -0.2615,           -0.1501,           14.4782,
Ref 16,3.11405e-08,,,,,,1.1877e-02,4.1796e-03,4.8656e-05,4.4567e-06,7.4275e-08,,,,,,,,,,,
Sam 16,3.16532e-08,1.19471e-02,4.2064e-03,4.9246e-05,4.5127e-06,7.7546e-08,,,,,,            5.9479,            6.4200,           12.1824,           12.6418,           23.5305,            3.2181,            0.4760,           -0.3001,           -0.2364,            4.3741,
Ref 17,3.06841e-08,,,,,,1.1876e-02,4.1795e-03,4.8651e-05,4.4561e-06,7.7274e-08,,,,,,,,,,,
Sam 17,3.12046e-08,1.19470e-02,4.2063e-03,4.9249e-05,4.5121e-06,8.0225e-08,,,,,,            5.9385,            6.4154,           12.2807,           12.6371,           45.5349,            3.2082,            0.4715,           -0.1889,           -0.2319,           25.9860,
Ref 18,3.02348e-08,,,,,,1.1876e-02,4.1795e-03,4.8652e-05,4.4556e-06,7.6181e-08,,,,,,,,,,,
Sam 18,3.07635e-08,1.19471e-02,4.2064e-03,4.9247e-05,4.5132e-06,7.8958e-08,,,,,,            5.9516,            6.4228,           12.1914,           12.9921,           39.4749,            3.2219,            0.4788,           -0.2978,            0.1039,           20.0105,
Ref 19,2.97873e-08,,,,,,1.1876e-02,4.1795e-03,4.8655e-05,4.4551e-06,7.5734e-08,,,,,,,,,,,
Sam 19,3.03220e-08,1.19469e-02,4.2064e-03,4.9251e-05,4.5114e-06,7.7459e-08,,,,,,            5.9398,            6.4467,           12.2777,           12.5322,            4.1636,            3.2086,            0.5026,           -0.2239,           -0.3976,          -14.6734,
Ref 20,2.93521e-08,,,,,,1.1876e-02,4.1795e-03,4.8653e-05,4.4560e-06,7.8563e-08,,,,,,,,,,,
Sam 20,2.99011e-08,1.19469e-02,4.2063e-03,4.9238e-05,4.5134e-06,7.5302e-08,,,,,,            5.9444,            6.4112,           12.0164,           13.4878,          -40.4997,            3.2146,            0.4673,           -0.4519,            0.6164,          -58.4381,
Ref 21,2.89350e-08,,,,,,1.1876e-02,4.1796e-03,4.8655e-05,4.4507e-06,7.8398e-08,,,,,,,,,,,


