Nu Stable Isotope Analysis Program
Data Collected on Thursday, October 26, 2023 at 03:21 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, October 26, 2023 at 04:20 with Stable 1.71.5 on PS019

Data File = Data_20685 BD1 15.5A.txt,     Sample Weight = 436,                      Vial Location = 26,                       Initial Sam Beam = 2.5015e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8772e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01918
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.27011e-08,,,,,,1.1880e-02,4.1807e-03,4.8680e-05,4.4627e-06,7.2346e-08,
Sam 1,8.17759e-08,1.19451e-02,4.2284e-03,4.9493e-05,4.5640e-06,7.4136e-08,,,,,,            5.4580,           11.3946,           16.6509,           22.6734,           20.1757,            2.5249,            5.4275,           -0.2462,           -0.2400,           -8.0683,
Ref 2,8.08803e-08,,,,,,1.1880e-02,4.1808e-03,4.8686e-05,4.4629e-06,7.3000e-08,,,,,,,,,,,
Sam 2,8.00295e-08,1.19452e-02,4.2284e-03,4.9495e-05,4.5650e-06,7.3003e-08,,,,,,            5.4514,           11.3715,           16.5866,           22.7500,           -1.4405,            2.5188,            5.4046,           -0.2802,           -0.1196,          -29.0358,
Ref 3,7.91413e-08,,,,,,1.1880e-02,4.1809e-03,4.8690e-05,4.4641e-06,7.3219e-08,,,,,,,,,,,
Sam 3,7.83451e-08,1.19451e-02,4.2284e-03,4.9493e-05,4.5639e-06,7.4331e-08,,,,,,            5.4405,           11.3686,           16.5573,           22.4333,           15.5208,            2.5073,            5.4017,           -0.2950,           -0.4234,          -12.5263,
Ref 4,7.74523e-08,,,,,,1.1880e-02,4.1808e-03,4.8684e-05,4.4634e-06,7.3170e-08,,,,,,,,,,,
Sam 4,7.66987e-08,1.19451e-02,4.2283e-03,4.9488e-05,4.5655e-06,7.3847e-08,,,,,,            5.4492,           11.3619,           16.4725,           22.6815,           10.9518,            2.5167,            5.3951,           -0.3809,           -0.1676,          -16.9653,
Ref 5,7.57916e-08,,,,,,1.1880e-02,4.1808e-03,4.8688e-05,4.4652e-06,7.2921e-08,,,,,,,,,,,
Sam 5,7.50941e-08,1.19449e-02,4.2283e-03,4.9493e-05,4.5655e-06,7.4644e-08,,,,,,            5.4393,           11.3583,           16.5780,           22.6165,           25.3849,            2.5063,            5.3915,           -0.2635,           -0.2240,           -2.9134,
Ref 6,7.41806e-08,,,,,,1.1880e-02,4.1808e-03,4.8684e-05,4.4638e-06,7.2668e-08,,,,,,,,,,,
Sam 6,7.38893e-08,1.19448e-02,4.2283e-03,4.9489e-05,4.5645e-06,7.5227e-08,,,,,,            5.4379,           11.3608,           16.4937,           22.6543,           32.8153,            2.5047,            5.3940,           -0.3473,           -0.1920,            4.3087,
Ref 7,7.27689e-08,,,,,,1.1880e-02,4.1807e-03,4.8687e-05,4.4630e-06,7.3008e-08,,,,,,,,,,,
Sam 7,7.22153e-08,1.19447e-02,4.2282e-03,4.9491e-05,4.5658e-06,7.5175e-08,,,,,,            5.4437,           11.3508,           16.5917,           22.9448,           27.3783,            2.5112,            5.3840,           -0.2472,            0.1119,           -0.9650,
Ref 8,7.12930e-08,,,,,,1.1880e-02,4.1807e-03,4.8679e-05,4.4638e-06,7.3339e-08,,,,,,,,,,,
Sam 8,7.07501e-08,1.19445e-02,4.2281e-03,4.9485e-05,4.5637e-06,7.4240e-08,,,,,,            5.4446,           11.3348,           16.5450,           22.6115,            9.9421,            2.5127,            5.3681,           -0.2784,           -0.1824,          -17.8905,
Ref 9,6.98383e-08,,,,,,1.1880e-02,4.1806e-03,4.8681e-05,4.4617e-06,7.3683e-08,,,,,,,,,,,
Sam 9,6.93387e-08,1.19445e-02,4.2281e-03,4.9490e-05,4.5665e-06,7.5625e-08,,,,,,            5.4530,           11.3659,           16.6434,           23.1544,           27.8753,            2.5206,            5.3990,           -0.2205,            0.2870,           -0.5208,
Ref 10,6.84199e-08,,,,,,1.1880e-02,4.1805e-03,4.8679e-05,4.4646e-06,7.3462e-08,,,,,,,,,,,
Sam 10,6.79706e-08,1.19443e-02,4.2280e-03,4.9482e-05,4.5638e-06,7.5150e-08,,,,,,            5.4348,           11.3283,           16.5298,           22.3899,           28.2144,            2.5025,            5.3617,           -0.2771,           -0.3863,           -0.0988,
Ref 11,6.70362e-08,,,,,,1.1880e-02,4.1808e-03,4.8675e-05,4.4632e-06,7.2706e-08,,,,,,,,,,,
Sam 11,6.66209e-08,1.19442e-02,4.2283e-03,4.9417e-05,4.5636e-06,7.4375e-08,,,,,,            5.4355,           11.3906,           15.2384,           22.4704,           14.3779,            2.5011,            5.4236,           -1.6082,           -0.4305,          -13.6745,
Ref 12,6.60069e-08,,,,,,1.1879e-02,4.1805e-03,4.8676e-05,4.4633e-06,7.3945e-08,,,,,,,,,,,
Sam 12,6.54480e-08,1.19439e-02,4.2280e-03,4.9482e-05,4.5643e-06,7.6025e-08,,,,,,            5.3677,           11.2404,           16.3959,           22.8831,           28.0477,            2.4342,            5.2743,           -0.2544,            0.2700,           -0.0189,
Ref 13,6.41524e-08,,,,,,1.1881e-02,4.1815e-03,4.8693e-05,4.4610e-06,7.3956e-08,,,,,,,,,,,
Sam 13,6.38447e-08,1.19455e-02,4.2294e-03,4.9505e-05,4.5613e-06,7.3691e-08,,,,,,            5.4150,           11.3822,           16.6373,           22.4690,            8.1608,            2.4796,            5.4153,           -0.2034,           -0.4154,          -19.6824,
Ref 14,6.28420e-08,,,,,,1.1882e-02,4.1822e-03,4.8697e-05,4.4611e-06,7.2215e-08,,,,,,,,,,,
Sam 14,6.28116e-08,1.19440e-02,4.2284e-03,4.9489e-05,4.5636e-06,7.4522e-08,,,,,,            5.2963,           11.0481,           16.2435,           22.8927,           25.1259,            2.3649,            5.0831,           -0.1441,            0.6599,           -2.4127,
Ref 15,6.16796e-08,,,,,,1.1881e-02,4.1821e-03,4.8700e-05,4.4618e-06,7.3184e-08,,,,,,,,,,,
Sam 15,6.16476e-08,1.19442e-02,4.2280e-03,4.9483e-05,4.5637e-06,7.5905e-08,,,,,,            5.3427,           10.8892,           15.9628,           23.0814,           42.7918,            2.4196,            4.9249,           -0.3131,            1.1591,           15.0428,
Ref 16,6.04187e-08,,,,,,1.1881e-02,4.1829e-03,4.8712e-05,4.4596e-06,7.2388e-08,,,,,,,,,,,
Sam 16,6.03067e-08,1.19439e-02,4.2291e-03,4.9504e-05,4.5635e-06,7.4910e-08,,,,,,            5.3729,           11.3189,           16.5960,           23.0508,           27.9079,            2.4370,            5.3524,           -0.1394,            0.2786,           -0.3131,
Ref 17,5.94459e-08,,,,,,1.1879e-02,4.1806e-03,4.8680e-05,4.4617e-06,7.3371e-08,,,,,,,,,,,
Sam 17,5.92924e-08,1.19435e-02,4.2279e-03,4.9487e-05,4.5624e-06,7.5473e-08,,,,,,            5.3543,           11.2349,           16.5921,           22.8889,           30.1047,            2.4201,            5.2689,           -0.0424,            0.2864,            2.0067,
Ref 18,5.81280e-08,,,,,,1.1880e-02,4.1811e-03,4.8678e-05,4.4589e-06,7.3162e-08,,,,,,,,,,,
Sam 18,5.79682e-08,1.19452e-02,4.2292e-03,4.9494e-05,4.5590e-06,7.2762e-08,,,,,,            5.5095,           11.4565,           16.5663,           21.7258,          -13.8835,            2.5776,            5.4891,           -0.4423,           -1.2887,          -41.3523,
Ref 19,5.72263e-08,,,,,,1.1879e-02,4.1815e-03,4.8696e-05,4.4653e-06,7.4421e-08,,,,,,,,,,,
Sam 19,5.70264e-08,1.19443e-02,4.2293e-03,4.9508e-05,4.5607e-06,7.5077e-08,,,,,,            5.5025,           11.5207,           16.7582,           21.4971,            9.4463,            2.5680,            5.5530,           -0.3090,           -1.6390,          -18.7876,
Ref 20,5.63291e-08,,,,,,1.1879e-02,4.1808e-03,4.8689e-05,4.4642e-06,7.4327e-08,,,,,,,,,,,
Sam 20,5.61436e-08,1.19438e-02,4.2286e-03,4.9489e-05,4.5633e-06,7.4368e-08,,,,,,            5.4427,           11.4309,           16.5726,           22.8352,           -0.0261,            2.5074,            5.4637,           -0.3429,           -0.1538,          -27.7638,
Ref 21,5.50295e-08,,,,,,1.1880e-02,4.1809e-03,4.8675e-05,4.4587e-06,7.4415e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.46046e-08,,,,,,1.1879e-02,4.1824e-03,4.8716e-05,4.4645e-06,7.2482e-08,
Sam 1,5.45566e-08,1.19438e-02,4.2294e-03,4.9508e-05,4.5643e-06,7.5047e-08,,,,,,            5.4239,           11.3356,           16.5238,           22.6684,           27.2683,            2.4907,            5.3690,           -0.2789,           -0.1284,           -1.0216,
Ref 2,5.35922e-08,,,,,,1.1879e-02,4.1817e-03,4.8692e-05,4.4617e-06,7.3638e-08,,,,,,,,,,,
Sam 2,5.35398e-08,1.19442e-02,4.2290e-03,4.9504e-05,4.5610e-06,7.4956e-08,,,,,,            5.4934,           11.4372,           16.7734,           22.0381,            7.8586,            2.5611,            5.4699,           -0.2034,           -0.9453,          -20.1623,
Ref 3,5.26819e-08,,,,,,1.1879e-02,4.1806e-03,4.8683e-05,4.4637e-06,7.5117e-08,,,,,,,,,,,
Sam 3,5.26834e-08,1.19430e-02,4.2278e-03,4.9484e-05,4.5634e-06,7.5804e-08,,,,,,            5.4243,           11.2820,           16.4781,           22.5060,           13.3382,            2.4930,            5.3156,           -0.2721,           -0.1811,          -14.4657,
Ref 4,5.16616e-08,,,,,,1.1879e-02,4.1807e-03,4.8681e-05,4.4622e-06,7.4490e-08,,,,,,,,,,,
Sam 4,5.17498e-08,1.19428e-02,4.2275e-03,4.9476e-05,4.5623e-06,7.6543e-08,,,,,,            5.4115,           11.2044,           16.3433,           22.2966,           27.7518,            2.4820,            5.2384,           -0.3160,           -0.2324,           -0.2830,
Ref 5,5.08183e-08,,,,,,1.1878e-02,4.1806e-03,4.8680e-05,4.4633e-06,7.4463e-08,,,,,,,,,,,
Sam 5,5.08139e-08,1.19438e-02,4.2287e-03,4.9495e-05,4.5691e-06,7.5162e-08,,,,,,            5.5000,           11.4556,           16.6913,           23.6160,           12.0927,            2.5676,            5.4882,           -0.3089,            0.5607,          -16.0881,
Ref 6,4.99244e-08,,,,,,1.1879e-02,4.1810e-03,4.8685e-05,4.4641e-06,7.4062e-08,,,,,,,,,,,
Sam 6,5.00176e-08,1.19429e-02,4.2278e-03,4.9484e-05,4.5633e-06,7.5565e-08,,,,,,            5.4329,           11.2885,           16.5889,           22.5551,            9.0374,            2.5019,            5.3220,           -0.1783,           -0.1460,          -18.6697,
Ref 7,4.90593e-08,,,,,,1.1878e-02,4.1803e-03,4.8668e-05,4.4613e-06,7.5729e-08,,,,,,,,,,,
Sam 7,4.91224e-08,1.19428e-02,4.2276e-03,4.9473e-05,4.5624e-06,7.6516e-08,,,,,,            5.4437,           11.3307,           16.4741,           22.8917,           11.4712,            2.5119,            5.3640,           -0.3433,            0.0997,          -16.3947,
Ref 8,4.82112e-08,,,,,,1.1878e-02,4.1801e-03,4.8674e-05,4.4593e-06,7.5567e-08,,,,,,,,,,,
Sam 8,4.83123e-08,1.19429e-02,4.2276e-03,4.9480e-05,4.5627e-06,7.5164e-08,,,,,,            5.4616,           11.3772,           16.5955,           22.9050,           -7.2496,            2.5294,            5.4103,           -0.2875,            0.0207,          -34.7054,
Ref 9,4.73563e-08,,,,,,1.1878e-02,4.1801e-03,4.8670e-05,4.4618e-06,7.5862e-08,,,,,,,,,,,
Sam 9,4.75957e-08,1.19425e-02,4.2274e-03,4.9476e-05,4.5634e-06,7.6187e-08,,,,,,            5.4262,           11.2990,           16.5062,           22.7358,           13.0899,            2.4944,            5.3325,           -0.2629,            0.0100,          -14.7416,
Ref 10,4.65035e-08,,,,,,1.1878e-02,4.1803e-03,4.8674e-05,4.4622e-06,7.4531e-08,,,,,,,,,,,
Sam 10,4.67150e-08,1.19425e-02,4.2275e-03,4.9480e-05,4.5623e-06,7.6525e-08,,,,,,            5.4355,           11.3500,           16.6580,           22.8470,           17.6576,            2.5026,            5.3832,           -0.1727,            0.0179,          -10.4073,
Ref 11,4.57632e-08,,,,,,1.1878e-02,4.1799e-03,4.8665e-05,4.4586e-06,7.5873e-08,,,,,,,,,,,
Sam 11,4.59432e-08,1.19421e-02,4.2273e-03,4.9468e-05,4.5619e-06,7.6300e-08,,,,,,            5.4167,           11.2826,           16.3788,           22.7718,            9.1840,            2.4849,            5.3162,           -0.3626,            0.0775,          -18.4993,
Ref 12,4.49592e-08,,,,,,1.1878e-02,4.1804e-03,4.8678e-05,4.4620e-06,7.5333e-08,,,,,,,,,,,
Sam 12,4.51159e-08,1.19430e-02,4.2278e-03,4.9480e-05,4.5597e-06,7.6483e-08,,,,,,            5.4989,           11.3442,           16.5027,           21.9618,           18.1833,            2.5702,            5.3773,           -0.3848,           -0.8361,           -9.9513,
Ref 13,4.42115e-08,,,,,,1.1878e-02,4.1803e-03,4.8676e-05,4.4614e-06,7.4896e-08,,,,,,,,,,,
Sam 13,4.44134e-08,1.19431e-02,4.2277e-03,4.9481e-05,4.5596e-06,7.6388e-08,,,,,,            5.5034,           11.3191,           16.5370,           21.9291,           15.9651,            2.5759,            5.3523,           -0.3313,           -0.8184,          -12.0647,
Ref 14,4.34768e-08,,,,,,1.1878e-02,4.1805e-03,4.8675e-05,4.4622e-06,7.5483e-08,,,,,,,,,,,
Sam 14,4.36408e-08,1.19430e-02,4.2281e-03,4.9488e-05,4.5599e-06,7.5831e-08,,,,,,            5.4890,           11.4082,           16.7118,           21.9173,            7.6206,            2.5575,            5.4410,           -0.2313,           -1.0061,          -20.3338,
Ref 15,4.27141e-08,,,,,,1.1878e-02,4.1804e-03,4.8674e-05,4.4620e-06,7.5027e-08,,,,,,,,,,,
Sam 15,4.29822e-08,1.19425e-02,4.2280e-03,4.9482e-05,4.5625e-06,7.7005e-08,,,,,,            5.2677,           11.1956,           16.4509,           23.6452,           42.6247,            2.3293,            5.2299,           -0.0543,            1.1038,           14.3557,
Ref 16,4.17768e-08,,,,,,1.1882e-02,4.1820e-03,4.8687e-05,4.4520e-06,7.2661e-08,,,,,,,,,,,
Sam 16,4.20839e-08,1.19448e-02,4.2288e-03,4.9487e-05,4.5549e-06,7.4022e-08,,,,,,            5.4430,           11.2977,           16.3584,           21.8792,            5.2137,            2.5123,            5.3311,           -0.4241,           -0.8250,          -22.4164,
Ref 17,4.13170e-08,,,,,,1.1878e-02,4.1811e-03,4.8694e-05,4.4629e-06,7.4625e-08,,,,,,,,,,,
Sam 17,4.15827e-08,1.19422e-02,4.2277e-03,4.9488e-05,4.5604e-06,7.5912e-08,,,,,,            5.4251,           11.2854,           16.6421,           22.1139,            4.8831,            2.4937,            5.3190,           -0.1149,           -0.5713,          -22.6960,
Ref 18,4.06709e-08,,,,,,1.1878e-02,4.1799e-03,4.8662e-05,4.4606e-06,7.6475e-08,,,,,,,,,,,
Sam 18,4.09978e-08,1.19421e-02,4.2272e-03,4.9472e-05,4.5607e-06,7.7479e-08,,,,,,            5.4425,           11.3395,           16.6381,           22.4722,           11.2225,            2.5104,            5.3728,           -0.1893,           -0.3279,          -16.6522,
Ref 19,4.00161e-08,,,,,,1.1877e-02,4.1798e-03,4.8662e-05,4.4603e-06,7.6765e-08,,,,,,,,,,,
Sam 19,4.03510e-08,1.19419e-02,4.2272e-03,4.9468e-05,4.5591e-06,7.6815e-08,,,,,,            5.4389,           11.3424,           16.4947,           22.1034,            6.6114,            2.5065,            5.3757,           -0.3296,           -0.6942,          -21.1380,
Ref 20,3.94011e-08,,,,,,1.1877e-02,4.1798e-03,4.8668e-05,4.4608e-06,7.5849e-08,,,,,,,,,,,
Sam 20,3.97145e-08,1.19419e-02,4.2272e-03,4.9478e-05,4.5606e-06,7.7290e-08,,,,,,            5.4433,           11.3310,           16.6948,           22.6851,           21.6334,            2.5115,            5.3643,           -0.1260,           -0.1029,           -6.5126,
Ref 21,3.87375e-08,,,,,,1.1877e-02,4.1798e-03,4.8663e-05,4.4582e-06,7.5454e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.84113e-08,,,,,,1.1877e-02,4.1797e-03,4.8660e-05,4.4609e-06,7.3930e-08,
Sam 1,3.87695e-08,1.19417e-02,4.2271e-03,4.9467e-05,4.5613e-06,7.6997e-08,,,,,,            5.4288,           11.3066,           16.5069,           22.4037,           23.6788,            2.4969,            5.3401,           -0.2723,           -0.3299,           -4.4613,
Ref 2,3.78138e-08,,,,,,1.1877e-02,4.1801e-03,4.8667e-05,4.4618e-06,7.6522e-08,,,,,,,,,,,
Sam 2,3.81984e-08,1.19418e-02,4.2275e-03,4.9470e-05,4.5609e-06,7.8190e-08,,,,,,            5.4411,           11.3341,           16.4524,           22.4686,           31.7909,            2.5090,            5.3674,           -0.3651,           -0.3207,            3.3613,
Ref 3,3.72409e-08,,,,,,1.1877e-02,4.1802e-03,4.8671e-05,4.4596e-06,7.5029e-08,,,,,,,,,,,
Sam 3,3.75953e-08,1.19416e-02,4.2272e-03,4.9472e-05,4.5601e-06,7.6448e-08,,,,,,            5.4334,           11.3140,           16.5430,           22.4830,           13.9873,            2.5016,            5.3474,           -0.2486,           -0.2669,          -13.9052,
Ref 4,3.66604e-08,,,,,,1.1877e-02,4.1797e-03,4.8662e-05,4.4600e-06,7.5763e-08,,,,,,,,,,,
Sam 4,3.70339e-08,1.19414e-02,4.2271e-03,4.9462e-05,4.5611e-06,7.5671e-08,,,,,,            5.4357,           11.3125,           16.4271,           22.9314,           -2.6402,            2.5041,            5.3459,           -0.3636,            0.1745,          -30.0749,
Ref 5,3.60782e-08,,,,,,1.1877e-02,4.1799e-03,4.8663e-05,4.4577e-06,7.5980e-08,,,,,,,,,,,
Sam 5,3.64680e-08,1.19414e-02,4.2270e-03,4.9467e-05,4.5599e-06,7.6300e-08,,,,,,            5.4356,           11.3089,           16.5274,           22.5321,            3.9253,            2.5040,            5.3424,           -0.2614,           -0.2089,          -23.6831,
Ref 6,3.55443e-08,,,,,,1.1877e-02,4.1797e-03,4.8662e-05,4.4612e-06,7.6024e-08,,,,,,,,,,,
Sam 6,3.59354e-08,1.19412e-02,4.2270e-03,4.9465e-05,4.5612e-06,7.7551e-08,,,,,,            5.4208,           11.3147,           16.4854,           22.9146,           26.7289,            2.4881,            5.3481,           -0.2931,            0.1537,           -1.5022,
Ref 7,3.49709e-08,,,,,,1.1877e-02,4.1797e-03,4.8664e-05,4.4568e-06,7.5031e-08,,,,,,,,,,,
Sam 7,3.53923e-08,1.19413e-02,4.2270e-03,4.9466e-05,4.5587e-06,7.7882e-08,,,,,,            5.4349,           11.3195,           16.4261,           22.5966,           29.5738,            2.5030,            5.3529,           -0.3706,           -0.1668,            1.2401,
Ref 8,3.44417e-08,,,,,,1.1877e-02,4.1798e-03,4.8669e-05,4.4592e-06,7.6268e-08,,,,,,,,,,,
Sam 8,3.48499e-08,1.19414e-02,4.2273e-03,4.9464e-05,4.5599e-06,7.7037e-08,,,,,,            5.4348,           11.3235,           16.3090,           22.7051,           23.0363,            2.5027,            5.3569,           -0.4896,           -0.0685,           -5.1251,
Ref 9,3.39073e-08,,,,,,1.1877e-02,4.1801e-03,4.8670e-05,4.4582e-06,7.4321e-08,,,,,,,,,,,
Sam 9,3.43063e-08,1.19413e-02,4.2270e-03,4.9467e-05,4.5579e-06,7.6574e-08,,,,,,            5.4415,           11.2851,           16.5420,           22.5689,           19.2916,            2.5112,            5.3186,           -0.2299,           -0.1257,           -8.6996,
Ref 10,3.34034e-08,,,,,,1.1877e-02,4.1796e-03,4.8655e-05,4.4564e-06,7.5940e-08,,,,,,,,,,,
Sam 10,3.38483e-08,1.19412e-02,4.2270e-03,4.9470e-05,4.5586e-06,7.6680e-08,,,,,,            5.4237,           11.2987,           16.6577,           22.7988,           17.7725,            2.4918,            5.3322,           -0.1110,            0.0721,          -10.1845,
Ref 11,3.28831e-08,,,,,,1.1877e-02,4.1799e-03,4.8665e-05,4.4576e-06,7.4733e-08,,,,,,,,,,,
Sam 11,3.33045e-08,1.19416e-02,4.2271e-03,4.9463e-05,4.5582e-06,7.5672e-08,,,,,,            5.4500,           11.3109,           16.3951,           22.7839,            5.2472,            2.5193,            5.3442,           -0.4081,            0.0335,          -22.4161,
Ref 12,3.23913e-08,,,,,,1.1877e-02,4.1798e-03,4.8666e-05,4.4557e-06,7.5829e-08,,,,,,,,,,,
Sam 12,3.28647e-08,1.19409e-02,4.2269e-03,4.9466e-05,4.5612e-06,7.5498e-08,,,,,,            5.4308,           11.3113,           16.5262,           23.6374,          -10.6627,            2.4989,            5.3447,           -0.2600,            0.8672,          -37.8694,
Ref 13,3.19178e-08,,,,,,1.1876e-02,4.1795e-03,4.8657e-05,4.4562e-06,7.6802e-08,,,,,,,,,,,
Sam 13,3.23773e-08,1.19410e-02,4.2271e-03,4.9475e-05,4.5561e-06,7.8225e-08,,,,,,            5.4423,           11.3597,           16.7351,           22.4578,           26.2379,            2.5094,            5.3928,           -0.1133,           -0.3818,           -2.0896,
Ref 14,3.14370e-08,,,,,,1.1877e-02,4.1797e-03,4.8664e-05,4.4559e-06,7.5639e-08,,,,,,,,,,,
Sam 14,3.19080e-08,1.19410e-02,4.2271e-03,4.9468e-05,4.5595e-06,7.5812e-08,,,,,,            5.4313,           11.3196,           16.4704,           23.4885,            6.3554,            2.4992,            5.3530,           -0.3234,            0.7051,          -21.3357,
Ref 15,3.09973e-08,,,,,,1.1876e-02,4.1798e-03,4.8668e-05,4.4539e-06,7.5022e-08,,,,,,,,,,,
Sam 15,3.14302e-08,1.19415e-02,4.2271e-03,4.9471e-05,4.5524e-06,7.7647e-08,,,,,,            5.4241,           11.2268,           16.5146,           22.0387,           36.4933,            2.4946,            5.2606,           -0.1822,           -0.5290,            8.1627,
Ref 16,3.04478e-08,,,,,,1.1878e-02,4.1805e-03,4.8667e-05,4.4547e-06,7.4802e-08,,,,,,,,,,,
Sam 16,3.09534e-08,1.19415e-02,4.2276e-03,4.9466e-05,4.5552e-06,7.5007e-08,,,,,,            5.4321,           11.3809,           16.4963,           22.2371,           -7.0513,            2.4979,            5.4140,           -0.3584,           -0.6395,          -34.4894,
Ref 17,3.00662e-08,,,,,,1.1876e-02,4.1796e-03,4.8659e-05,4.4576e-06,7.6287e-08,,,,,,,,,,,
Sam 17,3.05601e-08,1.19410e-02,4.2269e-03,4.9463e-05,4.5560e-06,7.7839e-08,,,,,,            5.4458,           11.3132,           16.4847,           21.9325,           12.9136,            2.5147,            5.3466,           -0.3179,           -0.8037,          -14.9608,
Ref 18,2.96398e-08,,,,,,1.1876e-02,4.1796e-03,4.8662e-05,4.4589e-06,7.7414e-08,,,,,,,,,,,
Sam 18,3.01362e-08,1.19409e-02,4.2269e-03,4.9476e-05,4.5560e-06,7.7955e-08,,,,,,            5.4354,           11.3197,           16.7355,           21.9388,           14.9677,            2.5035,            5.3530,           -0.0669,           -0.8101,          -12.9648,
Ref 19,2.91996e-08,,,,,,1.1876e-02,4.1796e-03,4.8661e-05,4.4574e-06,7.6187e-08,,,,,,,,,,,
Sam 19,2.96992e-08,1.19409e-02,4.2269e-03,4.9461e-05,4.5570e-06,7.6416e-08,,,,,,            5.4306,           11.3140,           16.4899,           22.4222,           13.1523,            2.4986,            5.3474,           -0.2980,           -0.3263,          -14.7143,
Ref 20,2.87681e-08,,,,,,1.1876e-02,4.1796e-03,4.8656e-05,4.4566e-06,7.4651e-08,,,,,,,,,,,
Sam 20,2.92784e-08,1.19410e-02,4.2269e-03,4.9462e-05,4.5554e-06,7.7460e-08,,,,,,            5.4371,           11.3004,           16.5125,           22.2570,           23.4823,            2.5060,            5.3339,           -0.2693,           -0.4610,           -4.6490,
Ref 21,2.83451e-08,,,,,,1.1876e-02,4.1798e-03,4.8661e-05,4.4557e-06,7.6730e-08,,,,,,,,,,,


