Nu Stable Isotope Analysis Program
Data Collected on Thursday, October 26, 2023 at 08:47 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, October 26, 2023 at 09:47 with Stable 1.71.5 on PS019

Data File = Data_20689 IAEA-C2.txt,       Sample Weight = 409,                      Vial Location = 30,                       Initial Sam Beam = 2.5012e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6266e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01693
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.55557e-08,,,,,,1.1880e-02,4.1805e-03,4.8689e-05,4.4622e-06,7.1314e-08,
Sam 1,7.47678e-08,1.18209e-02,4.1984e-03,4.8632e-05,4.5011e-06,7.2004e-08,,,,,,           -4.9630,            4.2447,           -1.1724,            8.4072,            5.1598,           -8.3188,           -1.6650,           -0.2144,           -0.0993,            2.1065,
Ref 2,7.40326e-08,,,,,,1.1880e-02,4.1807e-03,4.8690e-05,4.4649e-06,7.1960e-08,,,,,,,,,,,
Sam 2,7.32874e-08,1.18210e-02,4.1984e-03,4.8632e-05,4.5019e-06,7.1260e-08,,,,,,           -4.9680,            4.2542,           -1.1768,            8.2910,          -10.2294,           -8.3244,           -1.6555,           -0.2230,           -0.2335,          -13.2492,
Ref 3,7.28510e-08,,,,,,1.1880e-02,4.1806e-03,4.8689e-05,4.4649e-06,7.2033e-08,,,,,,,,,,,
Sam 3,7.21200e-08,1.18213e-02,4.1985e-03,4.8634e-05,4.4997e-06,7.2017e-08,,,,,,           -4.9369,            4.2718,           -1.1132,            7.9359,           -0.4182,           -8.2920,           -1.6381,           -0.2087,           -0.6206,           -3.5353,
Ref 4,7.12518e-08,,,,,,1.1880e-02,4.1808e-03,4.8687e-05,4.4637e-06,7.2061e-08,,,,,,,,,,,
Sam 4,7.05711e-08,1.18209e-02,4.1984e-03,4.8635e-05,4.4999e-06,7.2530e-08,,,,,,           -4.9576,            4.2364,           -1.0389,            8.0734,            8.8651,           -8.3127,           -1.6732,           -0.0784,           -0.4138,            5.8109,
Ref 5,6.98085e-08,,,,,,1.1880e-02,4.1806e-03,4.8684e-05,4.4641e-06,7.1722e-08,,,,,,,,,,,
Sam 5,6.91507e-08,1.18206e-02,4.1983e-03,4.8632e-05,4.5004e-06,7.2720e-08,,,,,,           -4.9756,            4.2309,           -1.1692,            8.1737,           12.2286,           -8.3317,           -1.6787,           -0.1847,           -0.3034,            9.1946,
Ref 6,6.83720e-08,,,,,,1.1880e-02,4.1807e-03,4.8693e-05,4.4638e-06,7.1963e-08,,,,,,,,,,,
Sam 6,6.77949e-08,1.18207e-02,4.1983e-03,4.8629e-05,4.5022e-06,7.2333e-08,,,,,,           -4.9687,            4.2405,           -1.2177,            8.6145,            1.2161,           -8.3247,           -1.6691,           -0.2498,            0.1145,           -1.8112,
Ref 7,6.70287e-08,,,,,,1.1880e-02,4.1805e-03,4.8685e-05,4.4637e-06,7.2533e-08,,,,,,,,,,,
Sam 7,6.64608e-08,1.18206e-02,4.1983e-03,4.8633e-05,4.5013e-06,7.2628e-08,,,,,,           -4.9632,            4.2465,           -1.0505,            8.4631,            7.3153,           -8.3190,           -1.6632,           -0.0941,           -0.0475,            4.2520,
Ref 8,6.57146e-08,,,,,,1.1880e-02,4.1805e-03,4.8684e-05,4.4634e-06,7.1659e-08,,,,,,,,,,,
Sam 8,6.51088e-08,1.18208e-02,4.1988e-03,4.8643e-05,4.5032e-06,7.2900e-08,,,,,,           -4.9444,            4.3591,           -0.9096,            8.9574,           19.2068,           -8.3029,           -1.5511,           -0.0828,            0.2182,           15.8628,
Ref 9,6.43715e-08,,,,,,1.1879e-02,4.1806e-03,4.8690e-05,4.4632e-06,7.1391e-08,,,,,,,,,,,
Sam 9,6.38463e-08,1.18208e-02,4.1984e-03,4.8624e-05,4.4995e-06,7.3748e-08,,,,,,           -4.9356,            4.2684,           -1.2794,            8.1132,           26.9366,           -8.2905,           -1.6414,           -0.3732,           -0.4382,           23.7393,
Ref 10,6.30780e-08,,,,,,1.1879e-02,4.1805e-03,4.8684e-05,4.4633e-06,7.2245e-08,,,,,,,,,,,
Sam 10,6.26160e-08,1.18203e-02,4.1983e-03,4.8632e-05,4.5000e-06,7.1916e-08,,,,,,           -4.9666,            4.2705,           -1.0507,            8.1116,          -11.4652,           -8.3235,           -1.6392,           -0.1142,           -0.4439,          -14.5142,
Ref 11,6.18857e-08,,,,,,1.1879e-02,4.1804e-03,4.8683e-05,4.4643e-06,7.3264e-08,,,,,,,,,,,
Sam 11,6.14265e-08,1.18203e-02,4.1982e-03,4.8628e-05,4.5015e-06,7.3308e-08,,,,,,           -4.9599,            4.2556,           -1.0776,            8.5225,            4.9385,           -8.3159,           -1.6541,           -0.1335,           -0.0069,            1.8610,
Ref 12,6.06572e-08,,,,,,1.1879e-02,4.1803e-03,4.8679e-05,4.4625e-06,7.2626e-08,,,,,,,,,,,
Sam 12,6.02276e-08,1.18206e-02,4.1983e-03,4.8626e-05,4.5001e-06,7.2158e-08,,,,,,           -4.9278,            4.2908,           -1.1059,            8.3918,           -3.8154,           -8.2829,           -1.6192,           -0.2295,           -0.2064,           -6.9687,
Ref 13,5.95062e-08,,,,,,1.1879e-02,4.1804e-03,4.8681e-05,4.4628e-06,7.2239e-08,,,,,,,,,,,
Sam 13,5.91592e-08,1.18200e-02,4.1981e-03,4.8626e-05,4.5026e-06,7.2944e-08,,,,,,           -4.9704,            4.2270,           -1.1355,            9.0829,            8.0363,           -8.3260,           -1.6825,           -0.1526,            0.6058,            5.0169,
Ref 14,5.83299e-08,,,,,,1.1879e-02,4.1805e-03,4.8681e-05,4.4613e-06,7.2488e-08,,,,,,,,,,,
Sam 14,5.80517e-08,1.18200e-02,4.1981e-03,4.8630e-05,4.5013e-06,7.3036e-08,,,,,,           -4.9654,            4.2284,           -1.0190,            8.6929,            4.7597,           -8.3207,           -1.6811,           -0.0426,            0.2163,            1.7419,
Ref 15,5.73226e-08,,,,,,1.1879e-02,4.1803e-03,4.8678e-05,4.4638e-06,7.2895e-08,,,,,,,,,,,
Sam 15,5.70950e-08,1.18196e-02,4.1979e-03,4.8620e-05,4.4999e-06,7.2979e-08,,,,,,           -4.9916,            4.2120,           -1.2239,            8.3897,           10.1315,           -8.3480,           -1.6975,           -0.2043,           -0.0516,            7.1583,
Ref 16,5.63636e-08,,,,,,1.1879e-02,4.1802e-03,4.8680e-05,4.4612e-06,7.1588e-08,,,,,,,,,,,
Sam 16,5.60388e-08,1.18198e-02,4.1979e-03,4.8629e-05,4.5006e-06,7.3391e-08,,,,,,           -4.9627,            4.2268,           -1.0966,            8.5813,           20.7285,           -8.3179,           -1.6827,           -0.1214,            0.1088,           17.6631,
Ref 17,5.52293e-08,,,,,,1.1879e-02,4.1804e-03,4.8684e-05,4.4635e-06,7.2219e-08,,,,,,,,,,,
Sam 17,5.49876e-08,1.18197e-02,4.1979e-03,4.8626e-05,4.5020e-06,7.2904e-08,,,,,,           -4.9650,            4.2314,           -1.1557,            8.6986,            3.9973,           -8.3204,           -1.6782,           -0.1826,            0.2161,            0.9756,
Ref 18,5.41636e-08,,,,,,1.1879e-02,4.1801e-03,4.8680e-05,4.4629e-06,7.3016e-08,,,,,,,,,,,
Sam 18,5.39788e-08,1.18196e-02,4.1980e-03,4.8623e-05,4.4999e-06,7.4581e-08,,,,,,           -4.9648,            4.2696,           -1.1646,            8.3101,           26.5999,           -8.3216,           -1.6401,           -0.2292,           -0.2453,           23.4334,
Ref 19,5.32002e-08,,,,,,1.1879e-02,4.1802e-03,4.8679e-05,4.4626e-06,7.2275e-08,,,,,,,,,,,
Sam 19,5.30220e-08,1.18196e-02,4.1979e-03,4.8628e-05,4.4988e-06,7.3975e-08,,,,,,           -4.9592,            4.2465,           -1.0144,            8.0321,           19.8464,           -8.3147,           -1.6632,           -0.0621,           -0.4749,           16.7405,
Ref 20,5.22047e-08,,,,,,1.1878e-02,4.1801e-03,4.8675e-05,4.4633e-06,7.2800e-08,,,,,,,,,,,
Sam 20,5.20762e-08,1.18194e-02,4.1978e-03,4.8626e-05,4.4995e-06,7.4085e-08,,,,,,           -4.9779,            4.1767,           -1.1481,            8.2043,           16.2310,           -8.3323,           -1.7326,           -0.1080,           -0.1651,           13.2950,
Ref 21,5.13351e-08,,,,,,1.1879e-02,4.1806e-03,4.8690e-05,4.4625e-06,7.3006e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.09183e-08,,,,,,1.1878e-02,4.1800e-03,4.8679e-05,4.4608e-06,7.1556e-08,
Sam 1,5.08499e-08,1.18194e-02,4.1978e-03,4.8620e-05,4.4995e-06,7.3027e-08,,,,,,           -4.9589,            4.2449,           -1.2446,            8.4531,            6.6240,           -8.3144,           -1.6647,           -0.2912,           -0.0544,            3.5612,
Ref 2,4.99787e-08,,,,,,1.1878e-02,4.1800e-03,4.8683e-05,4.4628e-06,7.3556e-08,,,,,,,,,,,
Sam 2,4.99639e-08,1.18193e-02,4.1978e-03,4.8623e-05,4.5006e-06,7.3270e-08,,,,,,           -4.9629,            4.2613,           -1.1377,            8.5522,            2.9329,           -8.3192,           -1.6484,           -0.1962,            0.0113,           -0.1465,
Ref 3,4.91015e-08,,,,,,1.1878e-02,4.1800e-03,4.8674e-05,4.4622e-06,7.2547e-08,,,,,,,,,,,
Sam 3,4.89965e-08,1.18193e-02,4.1977e-03,4.8622e-05,4.4973e-06,7.4414e-08,,,,,,           -4.9844,            4.1858,           -1.1306,            8.0115,           18.8132,           -8.3395,           -1.7235,           -0.0928,           -0.3745,           15.8587,
Ref 4,4.82185e-08,,,,,,1.1879e-02,4.1805e-03,4.8679e-05,4.4609e-06,7.3542e-08,,,,,,,,,,,
Sam 4,4.81876e-08,1.18192e-02,4.1981e-03,4.8631e-05,4.5004e-06,7.2412e-08,,,,,,           -4.9874,            4.2091,           -1.0964,            8.6418,          -11.4167,           -8.3435,           -1.7003,           -0.0783,            0.2041,          -14.3254,
Ref 5,4.73787e-08,,,,,,1.1878e-02,4.1806e-03,4.8690e-05,4.4628e-06,7.2950e-08,,,,,,,,,,,
Sam 5,4.73609e-08,1.18191e-02,4.1977e-03,4.8620e-05,4.4978e-06,7.3960e-08,,,,,,           -4.9675,            4.1624,           -1.3618,            7.9027,           15.3389,           -8.3208,           -1.7468,           -0.3188,           -0.4359,           12.4225,
Ref 6,4.65670e-08,,,,,,1.1878e-02,4.1799e-03,4.8682e-05,4.4622e-06,7.2732e-08,,,,,,,,,,,
Sam 6,4.65435e-08,1.18196e-02,4.1985e-03,4.8632e-05,4.4980e-06,7.4179e-08,,,,,,           -4.9144,            4.3973,           -0.9930,            7.9917,           14.5726,           -8.2724,           -1.5132,           -0.2347,           -0.8152,           11.1358,
Ref 7,4.57879e-08,,,,,,1.1878e-02,4.1803e-03,4.8679e-05,4.4626e-06,7.3501e-08,,,,,,,,,,,
Sam 7,4.58272e-08,1.18190e-02,4.1977e-03,4.8622e-05,4.4975e-06,7.4098e-08,,,,,,           -4.9644,            4.1974,           -1.1419,            7.9829,            8.6052,           -8.3186,           -1.7120,           -0.1362,           -0.4260,            5.6359,
Ref 8,4.50268e-08,,,,,,1.1878e-02,4.1799e-03,4.8676e-05,4.4612e-06,7.3429e-08,,,,,,,,,,,
Sam 8,4.50680e-08,1.18188e-02,4.1977e-03,4.8625e-05,4.4977e-06,7.3894e-08,,,,,,           -4.9644,            4.2643,           -1.0435,            8.1010,           11.6484,           -8.3210,           -1.6454,           -0.1032,           -0.4421,            8.5380,
Ref 9,4.42325e-08,,,,,,1.1878e-02,4.1799e-03,4.8677e-05,4.4619e-06,7.2650e-08,,,,,,,,,,,
Sam 9,4.42929e-08,1.18188e-02,4.1978e-03,4.8624e-05,4.4983e-06,7.3854e-08,,,,,,           -4.9597,            4.2756,           -1.0735,            8.3792,           17.7049,           -8.3163,           -1.6342,           -0.1492,           -0.1887,           14.5483,
Ref 10,4.34946e-08,,,,,,1.1878e-02,4.1799e-03,4.8675e-05,4.4598e-06,7.2488e-08,,,,,,,,,,,
Sam 10,4.35788e-08,1.18188e-02,4.1976e-03,4.8625e-05,4.5007e-06,7.4383e-08,,,,,,           -4.9608,            4.2448,           -1.0580,            8.9807,           19.4257,           -8.3164,           -1.6649,           -0.1023,            0.4691,           16.3264,
Ref 11,4.27730e-08,,,,,,1.1878e-02,4.1798e-03,4.8678e-05,4.4616e-06,7.3452e-08,,,,,,,,,,,
Sam 11,4.28770e-08,1.18187e-02,4.1976e-03,4.8622e-05,4.4988e-06,7.3653e-08,,,,,,           -4.9660,            4.2379,           -1.0736,            8.2704,            5.5892,           -8.3217,           -1.6717,           -0.1059,           -0.2215,            2.5510,
Ref 12,4.20686e-08,,,,,,1.1878e-02,4.1799e-03,4.8671e-05,4.4621e-06,7.3033e-08,,,,,,,,,,,
Sam 12,4.21906e-08,1.18187e-02,4.1976e-03,4.8619e-05,4.4988e-06,7.3457e-08,,,,,,           -4.9703,            4.2272,           -1.0570,            8.5879,            7.4603,           -8.3260,           -1.6824,           -0.0742,            0.1146,            4.4422,
Ref 13,4.13456e-08,,,,,,1.1878e-02,4.1800e-03,4.8669e-05,4.4589e-06,7.2792e-08,,,,,,,,,,,
Sam 13,4.15101e-08,1.18186e-02,4.1977e-03,4.8625e-05,4.4992e-06,7.2667e-08,,,,,,           -4.9020,            4.3512,           -0.6501,            9.3287,           -1.9970,           -8.2576,           -1.5591,            0.1407,            0.6021,           -5.3010,
Ref 14,4.07033e-08,,,,,,1.1876e-02,4.1790e-03,4.8643e-05,4.4563e-06,7.2833e-08,,,,,,,,,,,
Sam 14,4.08974e-08,1.18183e-02,4.1974e-03,4.8618e-05,4.4982e-06,7.4713e-08,,,,,,           -4.9268,            4.2908,           -0.8205,            8.9658,           21.0547,           -8.2818,           -1.6191,            0.0551,            0.3626,           17.8216,
Ref 15,4.00669e-08,,,,,,1.1878e-02,4.1799e-03,4.8674e-05,4.4601e-06,7.3517e-08,,,,,,,,,,,
Sam 15,4.02563e-08,1.18183e-02,4.1975e-03,4.8625e-05,4.4985e-06,7.3411e-08,,,,,,           -4.9897,            4.2266,           -0.9576,            8.4118,           -3.8625,           -8.3466,           -1.6829,            0.0459,           -0.0589,           -6.8250,
Ref 16,3.94457e-08,,,,,,1.1877e-02,4.1798e-03,4.8669e-05,4.4618e-06,7.3877e-08,,,,,,,,,,,
Sam 16,3.95797e-08,1.18184e-02,4.1979e-03,4.8624e-05,4.4949e-06,7.3347e-08,,,,,,           -4.9610,            4.3391,           -0.8963,            7.9357,           -2.4364,           -8.3199,           -1.5710,           -0.0328,           -0.7550,           -5.6529,
Ref 17,3.88107e-08,,,,,,1.1877e-02,4.1798e-03,4.8666e-05,4.4572e-06,7.3169e-08,,,,,,,,,,,
Sam 17,3.89584e-08,1.18185e-02,4.1979e-03,4.8626e-05,4.4990e-06,7.2919e-08,,,,,,           -4.9523,            4.3173,           -0.9266,            9.2868,          -11.3670,           -8.3100,           -1.5927,           -0.0507,            0.6280,          -14.5217,
Ref 18,3.81840e-08,,,,,,1.1877e-02,4.1799e-03,4.8676e-05,4.4581e-06,7.4356e-08,,,,,,,,,,,
Sam 18,3.83802e-08,1.18183e-02,4.1974e-03,4.8616e-05,4.4974e-06,7.4232e-08,,,,,,           -4.9562,            4.2131,           -1.1312,            8.5396,            4.1192,           -8.3104,           -1.6964,           -0.1494,            0.0948,            1.1236,
Ref 19,3.75694e-08,,,,,,1.1877e-02,4.1797e-03,4.8665e-05,4.4606e-06,7.3492e-08,,,,,,,,,,,
Sam 19,3.78134e-08,1.18183e-02,4.1975e-03,4.8621e-05,4.4943e-06,7.2073e-08,,,,,,           -4.9461,            4.2449,           -0.9819,            7.4545,          -16.5041,           -8.3008,           -1.6648,           -0.0414,           -1.0444,          -19.5098,
Ref 20,3.70141e-08,,,,,,1.1877e-02,4.1798e-03,4.8671e-05,4.4614e-06,7.3068e-08,,,,,,,,,,,
Sam 20,3.72256e-08,1.18183e-02,4.1975e-03,4.8618e-05,4.4959e-06,7.3883e-08,,,,,,           -4.9732,            4.1993,           -1.0954,            7.9687,           21.1835,           -8.3280,           -1.7101,           -0.0824,           -0.4438,           18.1830,
Ref 21,3.63894e-08,,,,,,1.1878e-02,4.1800e-03,4.8672e-05,4.4592e-06,7.1620e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.61137e-08,,,,,,1.1877e-02,4.1798e-03,4.8670e-05,4.4569e-06,7.2023e-08,
Sam 1,3.63640e-08,1.18183e-02,4.1978e-03,4.8619e-05,4.4962e-06,7.3809e-08,,,,,,           -4.9544,            4.3234,           -1.0647,            8.6137,           27.2102,           -8.3124,           -1.5866,           -0.1927,           -0.0515,           23.9224,
Ref 2,3.55771e-08,,,,,,1.1877e-02,4.1797e-03,4.8672e-05,4.4587e-06,7.1682e-08,,,,,,,,,,,
Sam 2,3.58303e-08,1.18181e-02,4.1974e-03,4.8618e-05,4.4978e-06,7.4569e-08,,,,,,           -4.9559,            4.2366,           -1.0905,            8.9107,           24.7732,           -8.3109,           -1.6730,           -0.1320,            0.4159,           21.6685,
Ref 3,3.50156e-08,,,,,,1.1877e-02,4.1797e-03,4.8670e-05,4.4574e-06,7.3868e-08,,,,,,,,,,,
Sam 3,3.52540e-08,1.18182e-02,4.1982e-03,4.8636e-05,4.4964e-06,7.2983e-08,,,,,,           -4.9416,            4.4173,           -0.7518,            8.6258,           -7.0968,           -8.3020,           -1.4932,            0.0152,           -0.2264,          -10.4703,
Ref 4,3.44787e-08,,,,,,1.1877e-02,4.1798e-03,4.8674e-05,4.4585e-06,7.3136e-08,,,,,,,,,,,
Sam 4,3.47602e-08,1.18180e-02,4.1975e-03,4.8619e-05,4.4954e-06,7.1921e-08,,,,,,           -4.9650,            4.2114,           -1.1021,            8.5383,          -16.9653,           -8.3197,           -1.6981,           -0.1095,            0.0970,          -19.8855,
Ref 5,3.39528e-08,,,,,,1.1877e-02,4.1799e-03,4.8670e-05,4.4561e-06,7.3189e-08,,,,,,,,,,,
Sam 5,3.42343e-08,1.18180e-02,4.1975e-03,4.8622e-05,4.4952e-06,7.2619e-08,,,,,,           -4.9842,            4.1598,           -1.1294,            8.3916,            3.7718,           -8.3384,           -1.7493,           -0.0664,            0.0541,            0.9116,
Ref 6,3.34097e-08,,,,,,1.1877e-02,4.1803e-03,4.8683e-05,4.4596e-06,7.1489e-08,,,,,,,,,,,
Sam 6,3.37300e-08,1.18179e-02,4.1976e-03,4.8616e-05,4.4938e-06,7.2687e-08,,,,,,           -4.9860,            4.2112,           -1.3061,            7.9722,            2.6495,           -8.3421,           -1.6982,           -0.2917,           -0.4640,           -0.3061,
Ref 7,3.29292e-08,,,,,,1.1877e-02,4.1797e-03,4.8675e-05,4.4570e-06,7.3515e-08,,,,,,,,,,,
Sam 7,3.32415e-08,1.18179e-02,4.1976e-03,4.8619e-05,4.4952e-06,7.3325e-08,,,,,,           -4.9572,            4.3020,           -1.1201,            8.5784,           -0.0314,           -8.3145,           -1.6080,           -0.2243,           -0.0438,           -3.1872,
Ref 8,3.24397e-08,,,,,,1.1877e-02,4.1796e-03,4.8672e-05,4.4570e-06,7.3136e-08,,,,,,,,,,,
Sam 8,3.27618e-08,1.18179e-02,4.1975e-03,4.8617e-05,4.4949e-06,7.3547e-08,,,,,,           -4.9469,            4.2877,           -1.0660,            8.3999,           14.1250,           -8.3032,           -1.6222,           -0.1668,           -0.1923,           10.9418,
Ref 9,3.19432e-08,,,,,,1.1877e-02,4.1796e-03,4.8666e-05,4.4579e-06,7.1899e-08,,,,,,,,,,,
Sam 9,3.22729e-08,1.18177e-02,4.1974e-03,4.8624e-05,4.4961e-06,7.1791e-08,,,,,,           -4.9868,            4.2249,           -0.9309,            8.7508,          -15.8859,           -8.3435,           -1.6846,            0.0714,            0.2808,          -18.8123,
Ref 10,3.14277e-08,,,,,,1.1877e-02,4.1798e-03,4.8672e-05,4.4563e-06,7.4017e-08,,,,,,,,,,,
Sam 10,3.17954e-08,1.18177e-02,4.1974e-03,4.8615e-05,4.4961e-06,7.2509e-08,,,,,,           -5.0439,            4.1038,           -1.3676,            8.9793,           -4.3522,           -8.4001,           -1.8050,           -0.1880,            0.7485,           -7.0169,
Ref 11,3.09410e-08,,,,,,1.1878e-02,4.1807e-03,4.8691e-05,4.4559e-06,7.1616e-08,,,,,,,,,,,
Sam 11,3.12687e-08,1.18203e-02,4.1984e-03,4.8621e-05,4.4918e-06,7.0574e-08,,,,,,           -4.7998,            4.3236,           -1.3098,            7.5775,          -26.9022,           -8.1478,           -1.5868,           -0.5982,           -1.0792,          -30.1774,
Ref 12,3.05255e-08,,,,,,1.1876e-02,4.1799e-03,4.8678e-05,4.4602e-06,7.3446e-08,,,,,,,,,,,
Sam 12,3.09145e-08,1.18175e-02,4.1973e-03,4.8622e-05,4.4955e-06,7.0983e-08,,,,,,           -4.9604,            4.2117,           -1.0005,            8.1032,          -43.8264,           -8.3149,           -1.6977,           -0.0129,           -0.3352,          -46.6722,
Ref 13,3.01138e-08,,,,,,1.1876e-02,4.1795e-03,4.8664e-05,4.4586e-06,7.5038e-08,,,,,,,,,,,
Sam 13,3.04731e-08,1.18175e-02,4.1972e-03,4.8610e-05,4.4940e-06,7.2287e-08,,,,,,           -4.9615,            4.2371,           -1.1625,            8.3377,          -17.6149,           -8.3169,           -1.6725,           -0.1987,           -0.1532,          -20.5862,
Ref 14,2.96544e-08,,,,,,1.1877e-02,4.1796e-03,4.8669e-05,4.4551e-06,7.2106e-08,,,,,,,,,,,
Sam 14,3.00409e-08,1.18175e-02,4.1973e-03,4.8617e-05,4.4959e-06,7.5369e-08,,,,,,           -4.9786,            4.1979,           -1.1200,            9.0363,           43.8776,           -8.3338,           -1.7115,           -0.1000,            0.6177,           40.8194,
Ref 15,2.92175e-08,,,,,,1.1877e-02,4.1799e-03,4.8673e-05,4.4562e-06,7.2297e-08,,,,,,,,,,,
Sam 15,2.95363e-08,1.18186e-02,4.1978e-03,4.8619e-05,4.4909e-06,7.2612e-08,,,,,,           -4.8774,            4.3160,           -0.9995,            7.4228,            9.6383,           -8.2302,           -1.5942,           -0.1999,           -1.2173,            6.3387,
Ref 16,2.88108e-08,,,,,,1.1876e-02,4.1796e-03,4.8663e-05,4.4595e-06,7.1536e-08,,,,,,,,,,,
Sam 16,2.92061e-08,1.18174e-02,4.1973e-03,4.8618e-05,4.4931e-06,7.3733e-08,,,,,,           -4.9651,            4.2343,           -0.9215,            7.9071,           18.7214,           -8.3206,           -1.6753,            0.0489,           -0.5747,           15.6496,
Ref 17,2.83949e-08,,,,,,1.1876e-02,4.1795e-03,4.8663e-05,4.4561e-06,7.3233e-08,,,,,,,,,,,
Sam 17,2.88036e-08,1.18175e-02,4.1972e-03,4.8608e-05,4.4923e-06,7.4459e-08,,,,,,           -4.9691,            4.1926,           -1.1836,            8.0572,           18.7756,           -8.3235,           -1.7167,           -0.1684,           -0.3429,           15.7910,
Ref 18,2.79648e-08,,,,,,1.1877e-02,4.1799e-03,4.8668e-05,4.4567e-06,7.2939e-08,,,,,,,,,,,
Sam 18,2.83487e-08,1.18179e-02,4.1976e-03,4.8626e-05,4.4958e-06,7.4008e-08,,,,,,           -4.9573,            4.2195,           -0.8503,            9.0320,            3.5178,           -8.3119,           -1.6900,            0.1267,            0.5704,            0.5126,
Ref 19,2.75354e-08,,,,,,1.1877e-02,4.1801e-03,4.8666e-05,4.4544e-06,7.4570e-08,,,,,,,,,,,
Sam 19,2.79484e-08,1.18182e-02,4.1976e-03,4.8619e-05,4.4942e-06,7.2905e-08,,,,,,           -4.9170,            4.2582,           -1.0511,            8.7673,           -9.1874,           -8.2703,           -1.6516,           -0.1540,            0.2307,          -12.2720,
Ref 20,2.71771e-08,,,,,,1.1876e-02,4.1795e-03,4.8674e-05,4.4559e-06,7.2579e-08,,,,,,,,,,,
Sam 20,2.76051e-08,1.18173e-02,4.1972e-03,4.8612e-05,4.4945e-06,7.3300e-08,,,,,,           -4.9632,            4.2103,           -1.1947,            8.4874,            1.3336,           -8.3178,           -1.6992,           -0.2029,            0.0486,           -1.6408,
