Nu Stable Isotope Analysis Program
Data Collected on Thursday, October 26, 2023 at 10:15 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, October 26, 2023 at 11:14 with Stable 1.71.5 on PS019

Data File = Data_20690 MBE 78A.txt,       Sample Weight = 466,                      Vial Location = 31,                       Initial Sam Beam = 2.5013e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2070e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01919
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.25419e-08,,,,,,1.1880e-02,4.1806e-03,4.8683e-05,4.4621e-06,7.1797e-08,
Sam 1,8.16742e-08,1.19158e-02,4.2082e-03,4.9129e-05,4.5199e-06,7.2971e-08,,,,,,            2.9902,            6.5774,            9.1420,           12.7486,           16.9150,            0.0648,            0.6391,           -0.4284,           -0.4436,            0.7025,
Ref 2,8.07313e-08,,,,,,1.1880e-02,4.1808e-03,4.8685e-05,4.4638e-06,7.1717e-08,,,,,,,,,,,
Sam 2,7.99656e-08,1.19159e-02,4.2083e-03,4.9136e-05,4.5213e-06,7.2972e-08,,,,,,            2.9467,            6.5060,            9.2143,           13.3630,           23.9549,            0.0210,            0.5682,           -0.2423,            0.3047,            7.8172,
Ref 3,7.87931e-08,,,,,,1.1881e-02,4.1814e-03,4.8689e-05,4.4594e-06,7.0801e-08,,,,,,,,,,,
Sam 3,7.82987e-08,1.19158e-02,4.2083e-03,4.9135e-05,4.5213e-06,7.2790e-08,,,,,,            2.9395,            6.4966,            9.1968,           13.3974,           21.7270,            0.0138,            0.5588,           -0.2432,            0.3573,            5.6504,
Ref 4,7.73213e-08,,,,,,1.1880e-02,4.1808e-03,4.8686e-05,4.4636e-06,7.1691e-08,,,,,,,,,,,
Sam 4,7.65348e-08,1.19166e-02,4.2088e-03,4.9142e-05,4.5207e-06,7.2269e-08,,,,,,            3.0571,            6.6952,            9.4163,           12.8930,           16.4797,            0.1320,            0.7561,           -0.3405,           -0.5349,           -0.0271,
Ref 5,7.56779e-08,,,,,,1.1880e-02,4.1808e-03,4.8682e-05,4.4627e-06,7.0490e-08,,,,,,,,,,,
Sam 5,7.53720e-08,1.19159e-02,4.2085e-03,4.9138e-05,4.5231e-06,7.2288e-08,,,,,,            3.0019,            6.6140,            9.3635,           13.3736,           16.9593,            0.0760,            0.6755,           -0.2569,            0.1005,            0.6620,
Ref 6,7.42065e-08,,,,,,1.1880e-02,4.1809e-03,4.8684e-05,4.4641e-06,7.1686e-08,,,,,,,,,,,
Sam 6,7.36478e-08,1.19154e-02,4.2083e-03,4.9138e-05,4.5215e-06,7.4165e-08,,,,,,            2.9688,            6.5832,            9.3393,           12.9851,           33.0868,            0.0419,            0.6449,           -0.2166,           -0.2217,           16.6280,
Ref 7,7.26522e-08,,,,,,1.1880e-02,4.1807e-03,4.8682e-05,4.4630e-06,7.1895e-08,,,,,,,,,,,
Sam 7,7.21756e-08,1.19154e-02,4.2081e-03,4.9135e-05,4.5208e-06,7.3611e-08,,,,,,            2.9492,            6.5184,            9.2791,           13.1680,           24.8297,            0.0233,            0.5805,           -0.1929,            0.0875,            8.6511,
Ref 8,7.10684e-08,,,,,,1.1881e-02,4.1810e-03,4.8684e-05,4.4610e-06,7.1759e-08,,,,,,,,,,,
Sam 8,7.07269e-08,1.19151e-02,4.2080e-03,4.9130e-05,4.5217e-06,7.3847e-08,,,,,,            2.9052,            6.4840,            9.1901,           13.5764,           35.0769,           -0.0224,            0.5463,           -0.2022,            0.5591,           18.8526,
Ref 9,6.96376e-08,,,,,,1.1880e-02,4.1808e-03,4.8681e-05,4.4613e-06,7.0922e-08,,,,,,,,,,,
Sam 9,6.93109e-08,1.19151e-02,4.2080e-03,4.9134e-05,4.5214e-06,7.4203e-08,,,,,,            2.9461,            6.5291,            9.3165,           13.2659,           38.7214,            0.0196,            0.5911,           -0.1630,            0.1631,           22.3056,
Ref 10,6.82817e-08,,,,,,1.1880e-02,4.1806e-03,4.8680e-05,4.4631e-06,7.1961e-08,,,,,,,,,,,
Sam 10,6.79519e-08,1.19150e-02,4.2080e-03,4.9131e-05,4.5218e-06,7.3779e-08,,,,,,            2.9748,            6.5492,            9.2583,           13.1743,           26.0392,            0.0495,            0.6110,           -0.2698,            0.0326,            9.7534,
Ref 11,6.69161e-08,,,,,,1.1880e-02,4.1805e-03,4.8680e-05,4.4630e-06,7.1850e-08,,,,,,,,,,,
Sam 11,6.66159e-08,1.19150e-02,4.2080e-03,4.9128e-05,4.5213e-06,7.3637e-08,,,,,,            2.9705,            6.5562,            9.2062,           13.1775,           20.0854,            0.0446,            0.6181,           -0.3239,            0.0218,            3.8848,
Ref 12,6.55262e-08,,,,,,1.1880e-02,4.1806e-03,4.8680e-05,4.4621e-06,7.2531e-08,,,,,,,,,,,
Sam 12,6.53290e-08,1.19150e-02,4.2079e-03,4.9126e-05,4.5220e-06,7.3818e-08,,,,,,            2.9848,            6.5537,            9.2135,           13.2472,           15.8665,            0.0600,            0.6155,           -0.3289,            0.0957,           -0.2773,
Ref 13,6.42887e-08,,,,,,1.1879e-02,4.1804e-03,4.8675e-05,4.4638e-06,7.2801e-08,,,,,,,,,,,
Sam 13,6.40557e-08,1.19148e-02,4.2081e-03,4.9134e-05,4.5221e-06,7.3172e-08,,,,,,            2.9945,            6.6255,            9.4567,           13.0503,            1.7115,            0.0678,            0.6869,           -0.1681,           -0.2413,          -14.3558,
Ref 14,6.30162e-08,,,,,,1.1879e-02,4.1804e-03,4.8672e-05,4.4639e-06,7.3298e-08,,,,,,,,,,,
Sam 14,6.28031e-08,1.19149e-02,4.2080e-03,4.9123e-05,4.5196e-06,7.3416e-08,,,,,,            3.0106,            6.5991,            9.3237,           12.8299,            4.7244,            0.0859,            0.6607,           -0.2907,           -0.4065,          -11.3572,
Ref 15,6.17836e-08,,,,,,1.1879e-02,4.1804e-03,4.8667e-05,4.4608e-06,7.2838e-08,,,,,,,,,,,
Sam 15,6.16394e-08,1.19145e-02,4.2077e-03,4.9124e-05,4.5216e-06,7.4639e-08,,,,,,            2.9610,            6.5161,            9.2308,           13.3519,           30.6623,            0.0359,            0.5782,           -0.2506,            0.2737,           14.3835,
Ref 16,6.05049e-08,,,,,,1.1880e-02,4.1806e-03,4.8682e-05,4.4632e-06,7.1990e-08,,,,,,,,,,,
Sam 16,6.05587e-08,1.19142e-02,4.2078e-03,4.9123e-05,4.5220e-06,7.3996e-08,,,,,,            2.9448,            6.5459,            9.1680,           13.2671,           18.9509,            0.0177,            0.6078,           -0.3252,            0.1308,            2.8159,
Ref 17,5.93841e-08,,,,,,1.1879e-02,4.1803e-03,4.8671e-05,4.4623e-06,7.3261e-08,,,,,,,,,,,
Sam 17,5.93142e-08,1.19141e-02,4.2076e-03,4.9126e-05,4.5210e-06,7.3788e-08,,,,,,            2.9686,            6.5446,            9.3541,           13.2027,            3.6536,            0.0431,            0.6065,           -0.1641,            0.0698,          -12.2616,
Ref 18,5.82718e-08,,,,,,1.1879e-02,4.1802e-03,4.8671e-05,4.4618e-06,7.3782e-08,,,,,,,,,,,
Sam 18,5.82669e-08,1.19142e-02,4.2077e-03,4.9125e-05,4.5213e-06,7.3693e-08,,,,,,            2.9877,            6.5870,            9.3244,           13.0671,            1.4516,            0.0619,            0.6487,           -0.2546,           -0.1483,          -14.5303,
Ref 19,5.71992e-08,,,,,,1.1879e-02,4.1801e-03,4.8672e-05,4.4642e-06,7.3387e-08,,,,,,,,,,,
Sam 19,5.72597e-08,1.19141e-02,4.2076e-03,4.9125e-05,4.5213e-06,7.4390e-08,,,,,,            2.9824,            6.5630,            9.2516,           12.7630,           14.2560,            0.0571,            0.6248,           -0.2978,           -0.4008,           -1.8779,
Ref 20,5.61418e-08,,,,,,1.1879e-02,4.1803e-03,4.8678e-05,4.4644e-06,7.3301e-08,,,,,,,,,,,
Sam 20,5.61818e-08,1.19141e-02,4.2076e-03,4.9121e-05,4.5206e-06,7.4467e-08,,,,,,            3.0128,            6.5772,            9.2152,           12.9989,           24.0496,            0.0890,            0.6389,           -0.3789,           -0.1962,            7.6995,
Ref 21,5.51422e-08,,,,,,1.1878e-02,4.1800e-03,4.8667e-05,4.4609e-06,7.2126e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.46218e-08,,,,,,1.1878e-02,4.1799e-03,4.8664e-05,4.4614e-06,7.2676e-08,
Sam 1,5.46853e-08,1.19140e-02,4.2075e-03,4.9123e-05,4.5198e-06,7.4148e-08,,,,,,            3.0127,            6.5914,            9.3055,           13.0126,           18.6726,            0.0883,            0.6530,           -0.3033,           -0.2109,            2.3807,
Ref 2,5.36343e-08,,,,,,1.1878e-02,4.1801e-03,4.8676e-05,4.4621e-06,7.2903e-08,,,,,,,,,,,
Sam 2,5.35699e-08,1.19162e-02,4.2091e-03,4.9136e-05,4.5162e-06,7.3268e-08,,,,,,            3.0969,            6.8010,            9.3482,           12.4859,           11.5105,            0.1707,            0.8614,           -0.5522,           -1.1466,           -5.1632,
Ref 3,5.25120e-08,,,,,,1.1880e-02,4.1813e-03,4.8687e-05,4.4589e-06,7.1955e-08,,,,,,,,,,,
Sam 3,5.27320e-08,1.19137e-02,4.2074e-03,4.9124e-05,4.5205e-06,7.4314e-08,,,,,,            2.8622,            6.3549,            9.1293,           13.6985,           29.5695,           -0.0636,            0.4180,           -0.0921,            0.9363,           13.7333,
Ref 4,5.15717e-08,,,,,,1.1879e-02,4.1804e-03,4.8671e-05,4.4600e-06,7.2407e-08,,,,,,,,,,,
Sam 4,5.18346e-08,1.19138e-02,4.2075e-03,4.9117e-05,4.5191e-06,7.4089e-08,,,,,,            2.9628,            6.5215,            9.1456,           12.8837,           12.9478,            0.0377,            0.5835,           -0.3421,           -0.1992,           -3.0637,
Ref 5,5.07530e-08,,,,,,1.1878e-02,4.1800e-03,4.8672e-05,4.4632e-06,7.3889e-08,,,,,,,,,,,
Sam 5,5.08259e-08,1.19142e-02,4.2078e-03,4.9125e-05,4.5197e-06,7.4050e-08,,,,,,            3.0261,            6.6340,            9.3141,           12.8425,           10.2417,            0.1012,            0.6954,           -0.3502,           -0.4634,           -6.0123,
Ref 6,4.97785e-08,,,,,,1.1878e-02,4.1800e-03,4.8671e-05,4.4616e-06,7.2699e-08,,,,,,,,,,,
Sam 6,5.00527e-08,1.19136e-02,4.2074e-03,4.9123e-05,4.5190e-06,7.4658e-08,,,,,,            2.9878,            6.5603,            9.2987,           12.9751,           20.6852,            0.0629,            0.6221,           -0.2540,           -0.1862,            4.4485,
Ref 7,4.90582e-08,,,,,,1.1878e-02,4.1800e-03,4.8671e-05,4.4607e-06,7.3599e-08,,,,,,,,,,,
Sam 7,4.91803e-08,1.19135e-02,4.2074e-03,4.9118e-05,4.5186e-06,7.3983e-08,,,,,,            2.9821,            6.5593,            9.2328,           12.9769,            9.1580,            0.0569,            0.6211,           -0.3125,           -0.1823,           -6.8872,
Ref 8,4.81299e-08,,,,,,1.1878e-02,4.1800e-03,4.8666e-05,4.4607e-06,7.3019e-08,,,,,,,,,,,
Sam 8,4.83122e-08,1.19135e-02,4.2075e-03,4.9119e-05,4.5197e-06,7.4909e-08,,,,,,            2.9481,            6.5253,            9.2463,           13.2449,           26.9068,            0.0219,            0.5873,           -0.2309,            0.1498,           10.6830,
Ref 9,4.71452e-08,,,,,,1.1879e-02,4.1804e-03,4.8672e-05,4.4604e-06,7.2872e-08,,,,,,,,,,,
Sam 9,4.74560e-08,1.19143e-02,4.2077e-03,4.9127e-05,4.5177e-06,7.2658e-08,,,,,,            3.0317,            6.5758,            9.4241,           12.6291,          -11.3097,            0.1091,            0.6374,           -0.1901,           -0.5584,          -27.1120,
Ref 10,4.64499e-08,,,,,,1.1878e-02,4.1799e-03,4.8664e-05,4.4624e-06,7.4117e-08,,,,,,,,,,,
Sam 10,4.66863e-08,1.19136e-02,4.2075e-03,4.9124e-05,4.5169e-06,7.3734e-08,,,,,,            3.0187,            6.6056,            9.4543,           12.1427,           -3.2198,            0.0943,            0.6671,           -0.1760,           -1.0977,          -19.1952,
Ref 11,4.56405e-08,,,,,,1.1878e-02,4.1799e-03,4.8664e-05,4.4631e-06,7.3825e-08,,,,,,,,,,,
Sam 11,4.59368e-08,1.19132e-02,4.2073e-03,4.9122e-05,4.5193e-06,7.4952e-08,,,,,,            2.9870,            6.5599,            9.2975,           12.6719,           14.0756,            0.0620,            0.6217,           -0.2540,           -0.4846,           -2.0542,
Ref 12,4.48723e-08,,,,,,1.1878e-02,4.1799e-03,4.8675e-05,4.4625e-06,7.4001e-08,,,,,,,,,,,
Sam 12,4.51859e-08,1.19021e-02,4.2035e-03,4.9067e-05,4.5209e-06,7.4710e-08,,,,,,            2.0569,            5.6553,            8.1646,           12.8977,           13.3565,           -0.8965,           -0.2765,            0.4639,            1.5377,           -0.0106,
Ref 13,4.41186e-08,,,,,,1.1878e-02,4.1799e-03,4.8665e-05,4.4642e-06,7.3445e-08,,,,,,,,,,,
Sam 13,4.44309e-08,1.19130e-02,4.2071e-03,4.9113e-05,4.5189e-06,7.3589e-08,,,,,,            2.9618,            6.4661,            9.1041,           12.6345,            5.4753,            0.0385,            0.5284,           -0.3281,           -0.3351,          -10.3098,
Ref 14,4.33289e-08,,,,,,1.1878e-02,4.1804e-03,4.8675e-05,4.4608e-06,7.2926e-08,,,,,,,,,,,
Sam 14,4.36985e-08,1.19132e-02,4.2074e-03,4.9118e-05,4.5167e-06,7.3807e-08,,,,,,            2.9433,            6.4961,            8.3612,           11.9472,           10.1349,            0.0178,            0.5583,           -1.0743,           -1.0731,           -5.7621,
Ref 15,4.25604e-08,,,,,,1.1878e-02,4.1801e-03,4.8746e-05,4.4660e-06,7.3210e-08,,,,,,,,,,,
Sam 15,4.27744e-08,1.19153e-02,4.2091e-03,4.9251e-05,4.5271e-06,7.3098e-08,,,,,,            3.1000,            6.9165,           11.1362,           14.6270,            4.9601,            0.1701,            0.9764,            1.1018,            0.7359,          -11.8320,
Ref 16,4.19058e-08,,,,,,1.1878e-02,4.1803e-03,4.8671e-05,4.4577e-06,7.2258e-08,,,,,,,,,,,
Sam 16,4.23117e-08,1.19133e-02,4.2074e-03,4.9105e-05,4.5139e-06,7.3002e-08,,,,,,            2.9422,            6.4629,            8.9771,           12.5989,           13.3765,            0.0177,            0.5252,           -0.4305,           -0.3639,           -2.5056,
Ref 17,4.12284e-08,,,,,,1.1878e-02,4.1804e-03,4.8666e-05,4.4577e-06,7.1815e-08,,,,,,,,,,,
Sam 17,4.15867e-08,1.19146e-02,4.2077e-03,4.9110e-05,4.5119e-06,7.3264e-08,,,,,,            3.0698,            6.5694,            9.1541,           11.7589,           12.8165,            0.1499,            0.6310,           -0.4904,           -1.4046,           -3.3993,
Ref 18,4.05909e-08,,,,,,1.1878e-02,4.1800e-03,4.8663e-05,4.4612e-06,7.2868e-08,,,,,,,,,,,
Sam 18,4.09300e-08,1.19142e-02,4.2078e-03,4.9114e-05,4.5148e-06,7.3706e-08,,,,,,            3.0629,            6.5956,            9.1888,           12.0892,           15.9787,            0.1416,            0.6570,           -0.4745,           -1.1305,           -0.3314,
Ref 19,3.99275e-08,,,,,,1.1878e-02,4.1804e-03,4.8670e-05,4.4605e-06,7.2220e-08,,,,,,,,,,,
Sam 19,4.03153e-08,1.19135e-02,4.2080e-03,4.9126e-05,4.5146e-06,7.3596e-08,,,,,,            2.9437,            6.5588,            9.4564,           12.7403,           17.5750,            0.0160,            0.6206,           -0.0510,           -0.4147,            1.4377,
Ref 20,3.91805e-08,,,,,,1.1879e-02,4.1807e-03,4.8660e-05,4.4552e-06,7.2433e-08,,,,,,,,,,,
Sam 20,3.96874e-08,1.19129e-02,4.2073e-03,4.9108e-05,4.5175e-06,7.4409e-08,,,,,,            2.8779,            6.4344,            9.1484,           13.8782,           19.9045,           -0.0497,            0.4971,           -0.1669,            0.9556,            4.0443,
Ref 21,3.86027e-08,,,,,,1.1878e-02,4.1802e-03,4.8666e-05,4.4562e-06,7.3489e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.83114e-08,,,,,,1.1878e-02,4.1805e-03,4.8683e-05,4.4602e-06,7.1420e-08,
Sam 1,3.88071e-08,1.19128e-02,4.2073e-03,4.9115e-05,4.5167e-06,7.5143e-08,,,,,,            2.9634,            6.4389,            9.0135,           12.7427,           41.1321,            0.0411,            0.5013,           -0.3928,           -0.1743,           24.8400,
Ref 2,3.77286e-08,,,,,,1.1877e-02,4.1804e-03,4.8669e-05,4.4595e-06,7.2941e-08,,,,,,,,,,,
Sam 2,3.81914e-08,1.19129e-02,4.2074e-03,4.9116e-05,4.5157e-06,7.3171e-08,,,,,,            2.9941,            6.5075,            9.2166,           12.5493,           -2.3833,            0.0715,            0.5695,           -0.2902,           -0.5015,          -18.1581,
Ref 3,3.71629e-08,,,,,,1.1877e-02,4.1800e-03,4.8666e-05,4.4600e-06,7.3757e-08,,,,,,,,,,,
Sam 3,3.74483e-08,1.19165e-02,4.2083e-03,4.9116e-05,4.5085e-06,7.3028e-08,,,,,,            3.3088,            6.7150,            9.1553,           10.8630,          -10.3400,            0.3992,            0.7753,           -0.8767,           -2.5773,          -26.7086,
Ref 4,3.65740e-08,,,,,,1.1877e-02,4.1804e-03,4.8675e-05,4.4602e-06,7.3826e-08,,,,,,,,,,,
Sam 4,3.70590e-08,1.19123e-02,4.2074e-03,4.9120e-05,4.5190e-06,7.3081e-08,,,,,,            2.9476,            6.4349,            9.1783,           13.6257,           -5.5131,            0.0245,            0.4974,           -0.2095,            0.7053,          -21.0513,
Ref 5,3.59699e-08,,,,,,1.1878e-02,4.1806e-03,4.8673e-05,4.4563e-06,7.3142e-08,,,,,,,,,,,
Sam 5,3.62258e-08,1.19170e-02,4.2099e-03,4.9142e-05,4.5091e-06,7.3133e-08,,,,,,            3.2626,            6.8934,            9.5479,           11.8226,            3.7036,            0.3438,            0.9529,           -0.6149,           -1.9842,          -13.1929,
Ref 6,3.53094e-08,,,,,,1.1879e-02,4.1815e-03,4.8682e-05,4.4567e-06,7.2580e-08,,,,,,,,,,,
Sam 6,3.56494e-08,1.19168e-02,4.2095e-03,4.9129e-05,4.5043e-06,7.1617e-08,,,,,,            3.2183,            6.6681,            9.1299,           10.6346,           -6.9056,            0.3045,            0.7289,           -0.7633,           -2.7099,          -23.1478,
Ref 7,3.47607e-08,,,,,,1.1878e-02,4.1817e-03,4.8687e-05,4.4571e-06,7.1643e-08,,,,,,,,,,,
Sam 7,3.53566e-08,1.19127e-02,4.2074e-03,4.9113e-05,4.5116e-06,7.3308e-08,,,,,,            2.8672,            6.1917,            8.8220,           12.1660,            4.4760,           -0.0527,            0.2556,           -0.2421,           -0.2526,          -10.6638,
Ref 8,3.42550e-08,,,,,,1.1879e-02,4.1813e-03,4.8679e-05,4.4575e-06,7.4339e-08,,,,,,,,,,,
Sam 8,3.47690e-08,1.19143e-02,4.2084e-03,4.9122e-05,4.5120e-06,7.3276e-08,,,,,,            2.8570,            6.2649,            8.7582,           11.7509,          -27.0698,           -0.0661,            0.3284,           -0.3664,           -0.8081,          -41.8609,
Ref 9,3.43550e-08,,,,,,1.1882e-02,4.1831e-03,4.8711e-05,4.4616e-06,7.6288e-08,,,,,,,,,,,
Sam 9,3.43783e-08,1.19146e-02,4.2082e-03,4.9120e-05,4.5129e-06,7.3121e-08,,,,,,            2.9320,            6.3240,            8.9153,           12.4146,          -28.1498,            0.0117,            0.3870,           -0.3455,           -0.2699,          -43.1111,
Ref 10,3.33738e-08,,,,,,1.1878e-02,4.1803e-03,4.8660e-05,4.4535e-06,7.4159e-08,,,,,,,,,,,
Sam 10,3.39545e-08,1.19122e-02,4.2074e-03,4.9118e-05,4.5167e-06,7.4634e-08,,,,,,            2.9400,            6.5513,            9.4548,           13.7573,           -2.1792,            0.0123,            0.6132,           -0.0414,            0.6039,          -17.9849,
Ref 11,3.29479e-08,,,,,,1.1877e-02,4.1797e-03,4.8656e-05,4.4574e-06,7.5443e-08,,,,,,,,,,,
Sam 11,3.34497e-08,1.19119e-02,4.2070e-03,4.9119e-05,4.5189e-06,7.4637e-08,,,,,,            2.9501,            6.4899,            9.4835,           14.0259,           13.5551,            0.0252,            0.5521,            0.0366,            0.9910,           -2.3909,
Ref 12,3.24155e-08,,,,,,1.1877e-02,4.1800e-03,4.8660e-05,4.4554e-06,7.1806e-08,,,,,,,,,,,
Sam 12,3.30049e-08,1.19118e-02,4.2069e-03,4.9111e-05,4.5147e-06,7.4739e-08,,,,,,            2.9553,            6.4487,            9.1843,           12.8622,           17.3471,            0.0322,            0.5111,           -0.2249,           -0.0758,            1.4166,
Ref 13,3.19572e-08,,,,,,1.1876e-02,4.1799e-03,4.8668e-05,4.4594e-06,7.5147e-08,,,,,,,,,,,
Sam 13,3.25228e-08,1.19119e-02,4.2071e-03,4.9122e-05,4.5167e-06,7.3163e-08,,,,,,            2.9567,            6.4447,            9.3683,           13.2800,           -8.5931,            0.0339,            0.5071,           -0.0401,            0.3447,          -24.1112,
Ref 14,3.14512e-08,,,,,,1.1877e-02,4.1805e-03,4.8664e-05,4.4555e-06,7.2427e-08,,,,,,,,,,,
Sam 14,3.20548e-08,1.19116e-02,4.2069e-03,4.9114e-05,4.5163e-06,7.4650e-08,,,,,,            2.9322,            6.4386,            9.2342,           13.2459,           22.2304,            0.0080,            0.5011,           -0.1419,            0.3231,            6.2679,
Ref 15,3.10276e-08,,,,,,1.1876e-02,4.1796e-03,4.8664e-05,4.4590e-06,7.3635e-08,,,,,,,,,,,
Sam 15,3.15412e-08,1.19125e-02,4.2079e-03,4.9123e-05,4.5156e-06,7.5276e-08,,,,,,            3.0482,            6.8056,            9.5284,           12.9101,           26.8531,            0.1187,            0.8660,           -0.3282,           -0.7373,            9.9695,
Ref 16,3.05875e-08,,,,,,1.1876e-02,4.1794e-03,4.8655e-05,4.4571e-06,7.2976e-08,,,,,,,,,,,
Sam 16,3.11315e-08,1.19114e-02,4.2068e-03,4.9087e-05,4.5124e-06,7.3326e-08,,,,,,            2.9735,            6.5635,            8.9333,           12.4908,           11.7391,            0.0476,            0.6253,           -0.6045,           -0.6705,           -4.3463,
Ref 17,3.01342e-08,,,,,,1.1876e-02,4.1794e-03,4.8650e-05,4.4564e-06,7.1967e-08,,,,,,,,,,,
Sam 17,3.06880e-08,1.19118e-02,4.2071e-03,4.9111e-05,4.5153e-06,7.3587e-08,,,,,,            2.9994,            6.5584,            9.2961,           12.9783,            8.1500,            0.0754,            0.6201,           -0.2667,           -0.1791,           -7.8956,
Ref 18,2.96744e-08,,,,,,1.1876e-02,4.1800e-03,4.8667e-05,4.4585e-06,7.4034e-08,,,,,,,,,,,
Sam 18,3.02675e-08,1.19116e-02,4.2069e-03,4.9112e-05,4.5167e-06,7.4994e-08,,,,,,            2.9925,            6.5230,            9.2345,           13.5639,           23.5143,            0.0692,            0.5850,           -0.2861,            0.4692,            7.3012,
Ref 19,2.92504e-08,,,,,,1.1876e-02,4.1793e-03,4.8657e-05,4.4540e-06,7.2497e-08,,,,,,,,,,,
Sam 19,2.98372e-08,1.19114e-02,4.2068e-03,4.9110e-05,4.5145e-06,7.4355e-08,,,,,,            2.9894,            6.5514,            9.2842,           13.2424,           14.4525,            0.0649,            0.6132,           -0.2613,            0.0954,           -1.6692,
Ref 20,2.88322e-08,,,,,,1.1876e-02,4.1795e-03,4.8660e-05,4.4570e-06,7.4106e-08,,,,,,,,,,,
Sam 20,2.94043e-08,1.19116e-02,4.2068e-03,4.9111e-05,4.5132e-06,7.3875e-08,,,,,,            2.9940,            6.5547,            9.3215,           12.6019,            8.1230,            0.0697,            0.6165,           -0.2324,           -0.5434,           -7.9095,
Ref 21,2.83946e-08,,,,,,1.1876e-02,4.1794e-03,4.8655e-05,4.4570e-06,7.2440e-08,,,,,,,,,,,


