Nu Stable Isotope Analysis Program
Data Collected on Thursday, October 26, 2023 at 11:36 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, October 26, 2023 at 12:36 with Stable 1.71.5 on PS019

Data File = Data_20691 MDE 71A.txt,       Sample Weight = 480,                      Vial Location = 32,                       Initial Sam Beam = 2.5019e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1267e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02144
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.01398e-07,,,,,,1.1881e-02,4.1809e-03,4.8684e-05,4.4619e-06,7.0275e-08,
Sam 1,1.00220e-07,1.19612e-02,4.2075e-03,4.9313e-05,4.5199e-06,7.0502e-08,,,,,,            6.7427,            6.2971,           12.8173,           12.6778,            5.3887,            4.0682,            0.3520,           -0.3665,            0.0434,          -14.0191,
Ref 2,9.89870e-08,,,,,,1.1881e-02,4.1814e-03,4.8694e-05,4.4647e-06,6.9969e-08,,,,,,,,,,,
Sam 2,9.78801e-08,1.19613e-02,4.2079e-03,4.9319e-05,4.5182e-06,7.1471e-08,,,,,,            6.7375,            6.3598,           12.9072,           11.9164,           19.1813,            4.0605,            0.4143,           -0.3338,           -0.8329,           -0.6096,
Ref 3,9.66803e-08,,,,,,1.1881e-02,4.1811e-03,4.8686e-05,4.4652e-06,7.0286e-08,,,,,,,,,,,
Sam 3,9.56621e-08,1.19612e-02,4.2075e-03,4.9310e-05,4.5199e-06,7.1853e-08,,,,,,            6.7299,            6.3149,           12.7933,           12.5621,           21.5391,            4.0540,            0.3697,           -0.3945,           -0.1062,            1.7982,
Ref 4,9.44050e-08,,,,,,1.1881e-02,4.1811e-03,4.8688e-05,4.4624e-06,7.0391e-08,,,,,,,,,,,
Sam 4,9.34795e-08,1.19611e-02,4.2075e-03,4.9310e-05,4.5196e-06,7.2199e-08,,,,,,            6.7305,            6.3116,           12.7856,           12.6042,           25.0346,            4.0547,            0.3665,           -0.3996,           -0.0582,            5.2321,
Ref 5,9.21901e-08,,,,,,1.1881e-02,4.1812e-03,4.8688e-05,4.4644e-06,7.0482e-08,,,,,,,,,,,
Sam 5,9.13281e-08,1.19610e-02,4.2079e-03,4.9319e-05,4.5194e-06,7.1574e-08,,,,,,            6.7304,            6.3935,           13.0006,           12.3152,           15.0641,            4.0518,            0.4479,           -0.2674,           -0.5061,           -4.7051,
Ref 6,9.00732e-08,,,,,,1.1881e-02,4.1811e-03,4.8684e-05,4.4644e-06,7.0542e-08,,,,,,,,,,,
Sam 6,8.92880e-08,1.19609e-02,4.2074e-03,4.9311e-05,4.5191e-06,7.1273e-08,,,,,,            6.7338,            6.2990,           12.8183,           12.2387,           11.8488,            4.0587,            0.3539,           -0.3584,           -0.3941,           -7.6780,
Ref 7,8.79658e-08,,,,,,1.1881e-02,4.1811e-03,4.8689e-05,4.4646e-06,7.0332e-08,,,,,,,,,,,
Sam 7,8.72838e-08,1.19609e-02,4.2075e-03,4.9306e-05,4.5200e-06,7.1221e-08,,,,,,            6.7503,            6.3201,           12.7073,           12.4361,            6.8704,            4.0755,            0.3748,           -0.5053,           -0.2409,          -12.6181,
Ref 8,8.60089e-08,,,,,,1.1881e-02,4.1809e-03,4.8685e-05,4.4644e-06,7.1148e-08,,,,,,,,,,,
Sam 8,8.53733e-08,1.19604e-02,4.2073e-03,4.9302e-05,4.5181e-06,7.1686e-08,,,,,,            6.7205,            6.2800,           12.7124,           12.1759,           13.5886,            4.0452,            0.3350,           -0.4306,           -0.4182,           -5.9209,
Ref 9,8.40517e-08,,,,,,1.1881e-02,4.1811e-03,4.8681e-05,4.4630e-06,7.0292e-08,,,,,,,,,,,
Sam 9,8.34977e-08,1.19605e-02,4.2074e-03,4.9305e-05,4.5181e-06,7.2087e-08,,,,,,            6.7129,            6.2868,           12.7664,           12.2700,           20.9435,            4.0369,            0.3418,           -0.3763,           -0.3389,            1.2871,
Ref 10,8.21917e-08,,,,,,1.1881e-02,4.1811e-03,4.8687e-05,4.4638e-06,7.0930e-08,,,,,,,,,,,
Sam 10,8.16723e-08,1.19604e-02,4.2074e-03,4.9309e-05,4.5196e-06,7.2060e-08,,,,,,            6.7077,            6.3022,           12.7671,           12.5168,           10.9783,            4.0308,            0.3571,           -0.3853,           -0.1257,           -8.5106,
Ref 11,8.04049e-08,,,,,,1.1881e-02,4.1811e-03,4.8689e-05,4.4637e-06,7.1632e-08,,,,,,,,,,,
Sam 11,7.99527e-08,1.19604e-02,4.2075e-03,4.9307e-05,4.5203e-06,7.1056e-08,,,,,,            6.7340,            6.3272,           12.7564,           12.7273,           -0.5518,            4.0580,            0.3820,           -0.4472,            0.0325,          -19.8936,
Ref 12,7.86502e-08,,,,,,1.1880e-02,4.1810e-03,4.8684e-05,4.4633e-06,7.0546e-08,,,,,,,,,,,
Sam 12,7.82507e-08,1.19603e-02,4.2075e-03,4.9308e-05,4.5192e-06,7.1280e-08,,,,,,            6.7344,            6.3514,           12.8458,           12.5470,           12.5609,            4.0575,            0.4060,           -0.3829,           -0.1936,           -7.0818,
Ref 13,7.69620e-08,,,,,,1.1880e-02,4.1809e-03,4.8681e-05,4.4630e-06,7.0244e-08,,,,,,,,,,,
Sam 13,7.65678e-08,1.19608e-02,4.2076e-03,4.9306e-05,4.5186e-06,7.1472e-08,,,,,,            6.7852,            6.3984,           12.8354,           12.3733,           12.7807,            4.1100,            0.4527,           -0.4913,           -0.4585,           -7.0110,
Ref 14,7.53182e-08,,,,,,1.1880e-02,4.1809e-03,4.8681e-05,4.4637e-06,7.0903e-08,,,,,,,,,,,
Sam 14,7.54858e-08,1.19599e-02,4.2072e-03,4.9304e-05,4.5169e-06,7.2385e-08,,,,,,            6.7263,            6.3081,           12.8803,           12.0959,           16.8505,            4.0504,            0.3630,           -0.2984,           -0.5531,           -2.7827,
Ref 15,7.39219e-08,,,,,,1.1880e-02,4.1807e-03,4.8672e-05,4.4621e-06,7.1473e-08,,,,,,,,,,,
Sam 15,7.37050e-08,1.19599e-02,4.2071e-03,4.9298e-05,4.5184e-06,7.2229e-08,,,,,,            6.7294,            6.3160,           12.8263,           12.4993,           14.3253,            4.0535,            0.3708,           -0.3626,           -0.1705,           -5.2778,
Ref 16,7.24081e-08,,,,,,1.1880e-02,4.1807e-03,4.8676e-05,4.4631e-06,7.0940e-08,,,,,,,,,,,
Sam 16,7.22237e-08,1.19599e-02,4.2071e-03,4.9301e-05,4.5158e-06,7.2809e-08,,,,,,            6.7373,            6.2974,           12.8465,           11.8044,           19.8379,            4.0624,            0.3522,           -0.3325,           -0.8196,            0.1565,
Ref 17,7.09099e-08,,,,,,1.1880e-02,4.1808e-03,4.8676e-05,4.4631e-06,7.1856e-08,,,,,,,,,,,
Sam 17,7.07757e-08,1.19595e-02,4.2069e-03,4.9296e-05,4.5178e-06,7.2748e-08,,,,,,            6.7214,            6.2855,           12.8041,           12.4024,           12.8596,            4.0459,            0.3404,           -0.3464,           -0.2054,           -6.6474,
Ref 18,6.94568e-08,,,,,,1.1880e-02,4.1805e-03,4.8670e-05,4.4618e-06,7.1792e-08,,,,,,,,,,,
Sam 18,6.93567e-08,1.19595e-02,4.2070e-03,4.9305e-05,4.5170e-06,7.3151e-08,,,,,,            6.7353,            6.3262,           13.0524,           12.1305,           25.2676,            4.0593,            0.3809,           -0.1553,           -0.5548,            5.4268,
Ref 19,6.80449e-08,,,,,,1.1880e-02,4.1805e-03,4.8670e-05,4.4639e-06,7.0895e-08,,,,,,,,,,,
Sam 19,6.79924e-08,1.19595e-02,4.2069e-03,4.9297e-05,4.5175e-06,7.3617e-08,,,,,,            6.7378,            6.3090,           12.8773,           12.3523,           38.2679,            4.0626,            0.3638,           -0.3139,           -0.3015,           18.2072,
Ref 20,6.66750e-08,,,,,,1.1879e-02,4.1805e-03,4.8670e-05,4.4607e-06,7.0912e-08,,,,,,,,,,,
Sam 20,6.66692e-08,1.19593e-02,4.2068e-03,4.9295e-05,4.5178e-06,7.3302e-08,,,,,,            6.7322,            6.3078,           12.7902,           12.7573,           28.9081,            4.0566,            0.3626,           -0.3930,            0.1007,            9.0365,
Ref 21,6.53450e-08,,,,,,1.1879e-02,4.1804e-03,4.8675e-05,4.4611e-06,7.1580e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.47027e-08,,,,,,1.1879e-02,4.1804e-03,4.8667e-05,4.4611e-06,7.0589e-08,
Sam 1,6.47405e-08,1.19592e-02,4.2068e-03,4.9293e-05,4.5164e-06,7.3685e-08,,,,,,            6.7255,            6.3159,           12.8262,           12.4406,           33.3229,            4.0492,            0.3707,           -0.3586,           -0.2283,           13.3570,
Ref 2,6.34309e-08,,,,,,1.1879e-02,4.1804e-03,4.8669e-05,4.4608e-06,7.2043e-08,,,,,,,,,,,
Sam 2,6.34919e-08,1.19591e-02,4.2068e-03,4.9295e-05,4.5171e-06,7.2630e-08,,,,,,            6.7300,            6.3152,           12.8980,           12.4161,            3.6686,            4.0541,            0.3700,           -0.2916,           -0.2510,          -15.7275,
Ref 3,6.21853e-08,,,,,,1.1879e-02,4.1804e-03,4.8665e-05,4.4626e-06,7.2693e-08,,,,,,,,,,,
Sam 3,6.22848e-08,1.19590e-02,4.2067e-03,4.9294e-05,4.5154e-06,7.2310e-08,,,,,,            6.7320,            6.3087,           12.9200,           11.7300,            4.5843,            4.0564,            0.3635,           -0.2655,           -0.9155,          -14.8190,
Ref 4,6.09977e-08,,,,,,1.1879e-02,4.1803e-03,4.8666e-05,4.4635e-06,7.1253e-08,,,,,,,,,,,
Sam 4,6.11231e-08,1.19589e-02,4.2067e-03,4.9289e-05,4.5165e-06,7.2558e-08,,,,,,            6.7336,            6.3054,           12.7546,           12.0973,           19.4762,            4.0582,            0.3602,           -0.4271,           -0.5463,           -0.2100,
Ref 5,5.97728e-08,,,,,,1.1879e-02,4.1803e-03,4.8671e-05,4.4615e-06,7.1089e-08,,,,,,,,,,,
Sam 5,5.99094e-08,1.19587e-02,4.2066e-03,4.9290e-05,4.5178e-06,7.2078e-08,,,,,,            6.7272,            6.3026,           12.7646,           12.6276,           13.5711,            4.0516,            0.3574,           -0.4081,           -0.0170,           -5.9889,
Ref 6,5.86221e-08,,,,,,1.1879e-02,4.1803e-03,4.8667e-05,4.4614e-06,7.1139e-08,,,,,,,,,,,
Sam 6,5.88319e-08,1.19587e-02,4.2067e-03,4.9291e-05,4.5175e-06,7.1700e-08,,,,,,            6.7295,            6.3239,           12.8088,           12.8022,           -2.7717,            4.0532,            0.3787,           -0.3876,            0.1130,          -22.0594,
Ref 7,5.76338e-08,,,,,,1.1879e-02,4.1801e-03,4.8669e-05,4.4594e-06,7.2672e-08,,,,,,,,,,,
Sam 7,5.77826e-08,1.19585e-02,4.2066e-03,4.9288e-05,4.5170e-06,7.2429e-08,,,,,,            6.7244,            6.3280,           12.7021,           12.6466,            4.7476,            4.0476,            0.3827,           -0.4917,           -0.0487,          -14.6882,
Ref 8,5.64782e-08,,,,,,1.1879e-02,4.1802e-03,4.8670e-05,4.4618e-06,7.1490e-08,,,,,,,,,,,
Sam 8,5.67131e-08,1.19585e-02,4.2066e-03,4.9298e-05,4.5154e-06,7.2181e-08,,,,,,            6.7369,            6.3237,           12.8466,           12.1377,            5.1538,            4.0612,            0.3784,           -0.3577,           -0.5428,          -14.2946,
Ref 9,5.54882e-08,,,,,,1.1878e-02,4.1802e-03,4.8675e-05,4.4608e-06,7.2137e-08,,,,,,,,,,,
Sam 9,5.57609e-08,1.19584e-02,4.2065e-03,4.9293e-05,4.5164e-06,7.2361e-08,,,,,,            6.7320,            6.3058,           12.7821,           12.4802,            5.4781,            4.0565,            0.3606,           -0.3988,           -0.1688,          -13.9369,
Ref 10,5.43886e-08,,,,,,1.1878e-02,4.1802e-03,4.8667e-05,4.4607e-06,7.1794e-08,,,,,,,,,,,
Sam 10,5.47655e-08,1.19583e-02,4.2065e-03,4.9289e-05,4.5163e-06,7.2478e-08,,,,,,            6.7284,            6.3099,           12.8300,           12.5661,            4.0833,            4.0525,            0.3648,           -0.3519,           -0.0924,          -15.3090,
Ref 11,5.33329e-08,,,,,,1.1878e-02,4.1801e-03,4.8662e-05,4.4597e-06,7.2581e-08,,,,,,,,,,,
Sam 11,5.37079e-08,1.19581e-02,4.2065e-03,4.9291e-05,4.5173e-06,7.2441e-08,,,,,,            6.7232,            6.3178,           12.9157,           12.8883,            1.1973,            4.0468,            0.3726,           -0.2697,            0.2103,          -18.1490,
Ref 12,5.24346e-08,,,,,,1.1878e-02,4.1801e-03,4.8663e-05,4.4599e-06,7.2123e-08,,,,,,,,,,,
Sam 12,5.27494e-08,1.19581e-02,4.2064e-03,4.9290e-05,4.5164e-06,7.2401e-08,,,,,,            6.7282,            6.2950,           12.9196,           12.6632,            5.8635,            4.0529,            0.3499,           -0.2487,            0.0333,          -13.5342,
Ref 13,5.14793e-08,,,,,,1.1878e-02,4.1800e-03,4.8659e-05,4.4599e-06,7.1832e-08,,,,,,,,,,,
Sam 13,5.18705e-08,1.19581e-02,4.2064e-03,4.9287e-05,4.5157e-06,7.3355e-08,,,,,,            6.7332,            6.3102,           12.8592,           12.6274,           25.4867,            4.0576,            0.3650,           -0.3283,           -0.0325,            5.6753,
Ref 14,5.06186e-08,,,,,,1.1878e-02,4.1800e-03,4.8663e-05,4.4588e-06,7.1227e-08,,,,,,,,,,,
Sam 14,5.10380e-08,1.19580e-02,4.2064e-03,4.9285e-05,4.5132e-06,7.3087e-08,,,,,,            6.7345,            6.3047,           12.7848,           12.1172,           23.8332,            4.0593,            0.3595,           -0.3977,           -0.5253,            4.0632,
Ref 15,4.97372e-08,,,,,,1.1878e-02,4.1800e-03,4.8663e-05,4.4596e-06,7.1548e-08,,,,,,,,,,,
Sam 15,5.01279e-08,1.19579e-02,4.2063e-03,4.9289e-05,4.5150e-06,7.3252e-08,,,,,,            6.7257,            6.2691,           12.8163,           12.5408,           25.8465,            4.0511,            0.3241,           -0.3226,           -0.0361,            6.1171,
Ref 16,4.88278e-08,,,,,,1.1878e-02,4.1802e-03,4.8668e-05,4.4586e-06,7.1262e-08,,,,,,,,,,,
Sam 16,4.92320e-08,1.19579e-02,4.2064e-03,4.9287e-05,4.5161e-06,7.2420e-08,,,,,,            6.7383,            6.2822,           12.7708,           12.5667,           15.5662,            4.0640,            0.3371,           -0.3934,           -0.0367,           -4.0043,
Ref 17,4.80018e-08,,,,,,1.1878e-02,4.1801e-03,4.8663e-05,4.4615e-06,7.1359e-08,,,,,,,,,,,
Sam 17,4.84461e-08,1.19578e-02,4.2064e-03,4.9281e-05,4.5151e-06,7.2454e-08,,,,,,            6.7406,            6.3332,           12.7024,           12.3233,           15.9472,            4.0648,            0.3879,           -0.5131,           -0.3783,           -3.7324,
Ref 18,4.71760e-08,,,,,,1.1878e-02,4.1798e-03,4.8662e-05,4.4586e-06,7.1274e-08,,,,,,,,,,,
Sam 18,4.75880e-08,1.19576e-02,4.2062e-03,4.9283e-05,4.5156e-06,7.2363e-08,,,,,,            6.7271,            6.3021,           12.7110,           12.9554,           14.3374,            4.0515,            0.3570,           -0.4605,            0.3076,           -5.2365,
Ref 19,4.63293e-08,,,,,,1.1878e-02,4.1799e-03,4.8666e-05,4.4570e-06,7.1407e-08,,,,,,,,,,,
Sam 19,4.68023e-08,1.19575e-02,4.2063e-03,4.9286e-05,4.5145e-06,7.2523e-08,,,,,,            6.7239,            6.3106,           12.8061,           12.8352,           15.0074,            4.0478,            0.3654,           -0.3716,            0.1720,           -4.5925,
Ref 20,4.55442e-08,,,,,,1.1878e-02,4.1799e-03,4.8660e-05,4.4576e-06,7.1495e-08,,,,,,,,,,,
Sam 20,4.60233e-08,1.19576e-02,4.2062e-03,4.9282e-05,4.5154e-06,7.2317e-08,,,,,,            6.7344,            6.2863,           12.7361,           12.8779,           13.7085,            4.0598,            0.3412,           -0.4276,            0.2624,           -5.8301,
Ref 21,4.47738e-08,,,,,,1.1878e-02,4.1799e-03,4.8665e-05,4.4585e-06,7.1180e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.43993e-08,,,,,,1.1878e-02,4.1798e-03,4.8657e-05,4.4590e-06,6.9638e-08,
Sam 1,4.49057e-08,1.19574e-02,4.2061e-03,4.9281e-05,4.5170e-06,7.1744e-08,,,,,,            6.7253,            6.2995,           12.8446,           12.9341,           14.6047,            4.0496,            0.3544,           -0.3242,            0.2917,           -4.9673,
Ref 2,4.36664e-08,,,,,,1.1877e-02,4.1798e-03,4.8656e-05,4.4596e-06,7.1802e-08,,,,,,,,,,,
Sam 2,4.42192e-08,1.19573e-02,4.2061e-03,4.9282e-05,4.5122e-06,7.1304e-08,,,,,,            6.7237,            6.2972,           12.8794,           11.9411,           -6.5232,            4.0480,            0.3521,           -0.2859,           -0.6843,          -25.6816,
Ref 3,4.29794e-08,,,,,,1.1877e-02,4.1798e-03,4.8656e-05,4.4583e-06,7.1743e-08,,,,,,,,,,,
Sam 3,4.35053e-08,1.19572e-02,4.2062e-03,4.9286e-05,4.5156e-06,7.3149e-08,,,,,,            6.7236,            6.3086,           12.9589,           12.8987,           20.3488,            4.0475,            0.3634,           -0.2184,            0.2388,            0.6500,
Ref 4,4.22799e-08,,,,,,1.1877e-02,4.1798e-03,4.8654e-05,4.4579e-06,7.1636e-08,,,,,,,,,,,
Sam 4,4.27729e-08,1.19571e-02,4.2061e-03,4.9280e-05,4.5132e-06,7.3226e-08,,,,,,            6.7275,            6.3132,           12.8496,           12.0979,           30.8509,            4.0515,            0.3680,           -0.3349,           -0.5612,           10.9361,
Ref 5,4.15679e-08,,,,,,1.1877e-02,4.1797e-03,4.8656e-05,4.4606e-06,7.0424e-08,,,,,,,,,,,
Sam 5,4.21279e-08,1.19571e-02,4.2061e-03,4.9279e-05,4.5146e-06,7.2913e-08,,,,,,            6.7294,            6.3154,           12.8144,           12.3487,           29.5769,            4.0534,            0.3702,           -0.3736,           -0.3178,            9.6804,
Ref 6,4.08926e-08,,,,,,1.1877e-02,4.1798e-03,4.8655e-05,4.4585e-06,7.1219e-08,,,,,,,,,,,
Sam 6,4.14531e-08,1.19570e-02,4.2061e-03,4.9282e-05,4.5150e-06,7.2379e-08,,,,,,            6.7260,            6.2958,           12.8812,           12.6740,           11.5206,            4.0505,            0.3507,           -0.2852,            0.0422,           -7.9856,
Ref 7,4.02349e-08,,,,,,1.1877e-02,4.1798e-03,4.8655e-05,4.4586e-06,7.1895e-08,,,,,,,,,,,
Sam 7,4.07631e-08,1.19569e-02,4.2061e-03,4.9283e-05,4.5121e-06,7.0744e-08,,,,,,            6.7250,            6.3088,           12.8974,           12.2703,          -18.1599,            4.0490,            0.3636,           -0.2809,           -0.3822,          -37.1172,
Ref 8,3.95825e-08,,,,,,1.1877e-02,4.1797e-03,4.8656e-05,4.4563e-06,7.2212e-08,,,,,,,,,,,
Sam 8,4.01696e-08,1.19569e-02,4.2060e-03,4.9283e-05,4.5152e-06,7.1010e-08,,,,,,            6.7255,            6.2803,           12.8676,           12.9699,           -1.9169,            4.0505,            0.3352,           -0.2828,            0.3653,          -21.1336,
Ref 9,3.89490e-08,,,,,,1.1877e-02,4.1797e-03,4.8659e-05,4.4584e-06,7.0063e-08,,,,,,,,,,,
Sam 9,3.95633e-08,1.19569e-02,4.2061e-03,4.9273e-05,4.5130e-06,7.2184e-08,,,,,,            6.7358,            6.3060,           12.7117,           12.2380,           20.8655,            4.0606,            0.3608,           -0.4724,           -0.4086,            1.1489,
Ref 10,3.83336e-08,,,,,,1.1877e-02,4.1797e-03,4.8651e-05,4.4585e-06,7.1365e-08,,,,,,,,,,,
Sam 10,3.89507e-08,1.19568e-02,4.2061e-03,4.9285e-05,4.5130e-06,6.9876e-08,,,,,,            6.6754,            6.2388,           12.9421,           12.4688,          -17.4851,            3.9986,            0.2941,           -0.1175,           -0.0471,          -36.2731,
Ref 11,3.76601e-08,,,,,,1.1878e-02,4.1803e-03,4.8658e-05,4.4564e-06,7.0870e-08,,,,,,,,,,,
Sam 11,3.82837e-08,1.19578e-02,4.2064e-03,4.9283e-05,4.5099e-06,7.1299e-08,,,,,,            6.7576,            6.3016,           12.7741,           11.9169,           -9.8386,            4.0839,            0.3564,           -0.4288,           -0.7170,          -28.9762,
Ref 12,3.71285e-08,,,,,,1.1877e-02,4.1798e-03,4.8664e-05,4.4573e-06,7.3161e-08,,,,,,,,,,,
Sam 12,3.77352e-08,1.19567e-02,4.2061e-03,4.9278e-05,4.5125e-06,7.3136e-08,,,,,,            6.7341,            6.3018,           12.6887,           12.4436,           10.1960,            4.0589,            0.3567,           -0.4893,           -0.1972,           -9.3047,
Ref 13,3.65452e-08,,,,,,1.1877e-02,4.1796e-03,4.8657e-05,4.4567e-06,7.1623e-08,,,,,,,,,,,
Sam 13,3.71915e-08,1.19567e-02,4.2060e-03,4.9276e-05,4.5138e-06,7.1196e-08,,,,,,            6.7375,            6.3050,           12.7520,           12.8226,           -6.6428,            4.0624,            0.3598,           -0.4333,            0.1707,          -25.8280,
Ref 14,3.59740e-08,,,,,,1.1877e-02,4.1796e-03,4.8654e-05,4.4566e-06,7.1721e-08,,,,,,,,,,,
Sam 14,3.66184e-08,1.19566e-02,4.2060e-03,4.9275e-05,4.5111e-06,7.1543e-08,,,,,,            6.7376,            6.3098,           12.7680,           12.0807,            5.3914,            4.0624,            0.3646,           -0.4223,           -0.5714,          -14.0354,
Ref 15,3.54212e-08,,,,,,1.1877e-02,4.1797e-03,4.8653e-05,4.4580e-06,7.0589e-08,,,,,,,,,,,
Sam 15,3.60737e-08,1.19565e-02,4.2059e-03,4.9278e-05,4.5111e-06,7.0780e-08,,,,,,            6.7293,            6.2898,           12.8291,           11.9585,           -2.4978,            4.0542,            0.3447,           -0.3340,           -0.6524,          -21.7254,
Ref 16,3.48752e-08,,,,,,1.1877e-02,4.1796e-03,4.8654e-05,4.4575e-06,7.1330e-08,,,,,,,,,,,
Sam 16,3.55529e-08,1.19564e-02,4.2060e-03,4.9281e-05,4.5125e-06,7.0916e-08,,,,,,            6.7276,            6.3166,           12.8953,           12.4820,           -3.0880,            4.0514,            0.3714,           -0.2931,           -0.1886,          -22.3536,
Ref 17,3.43444e-08,,,,,,1.1876e-02,4.1796e-03,4.8653e-05,4.4563e-06,7.0939e-08,,,,,,,,,,,
Sam 17,3.49992e-08,1.19563e-02,4.2059e-03,4.9280e-05,4.5124e-06,7.2871e-08,,,,,,            6.7286,            6.3162,           12.8483,           12.6475,           19.7452,            4.0526,            0.3710,           -0.3402,           -0.0244,            0.0379,
Ref 18,3.38032e-08,,,,,,1.1876e-02,4.1795e-03,4.8656e-05,4.4559e-06,7.1990e-08,,,,,,,,,,,
Sam 18,3.44589e-08,1.19561e-02,4.2058e-03,4.9271e-05,4.5137e-06,7.0568e-08,,,,,,            6.7142,            6.2429,           12.5706,           13.1077,          -14.1577,            4.0398,            0.2980,           -0.5279,            0.5759,          -33.0565,
Ref 19,3.32871e-08,,,,,,1.1876e-02,4.1798e-03,4.8662e-05,4.4547e-06,7.1167e-08,,,,,,,,,,,
Sam 19,3.39029e-08,1.19575e-02,4.2067e-03,4.9283e-05,4.5117e-06,7.1957e-08,,,,,,            6.8384,            6.4689,           12.8727,           12.7048,            9.1644,            4.1642,            0.5227,           -0.5777,           -0.2713,          -10.7484,
Ref 20,3.28028e-08,,,,,,1.1876e-02,4.1796e-03,4.8652e-05,4.4554e-06,7.1443e-08,,,,,,,,,,,
Sam 20,3.34789e-08,1.19563e-02,4.2059e-03,4.9287e-05,4.5115e-06,7.2676e-08,,,,,,            6.7342,            6.3050,           13.0001,           12.4242,           22.8091,            4.0589,            0.3598,           -0.1852,           -0.2226,            3.0586,
Ref 21,3.23177e-08,,,,,,1.1876e-02,4.1795e-03,4.8657e-05,4.4570e-06,7.0662e-08,,,,,,,,,,,


