Nu Stable Isotope Analysis Program
Data Collected on Thursday, October 26, 2023 at 12:57 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, October 26, 2023 at 13:57 with Stable 1.71.5 on PS019

Data File = Data_20692 MDE 71B.txt,       Sample Weight = 458,                      Vial Location = 33,                       Initial Sam Beam = 2.5025e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0472e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02358
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.45039e-08,,,,,,1.1880e-02,4.1810e-03,4.8684e-05,4.4602e-06,7.1110e-08,
Sam 1,9.37548e-08,1.19520e-02,4.2087e-03,4.9291e-05,4.5197e-06,7.2542e-08,,,,,,            6.0150,            6.6212,           12.5262,           13.1598,           16.9044,            3.2826,            0.6761,           -0.2260,           -0.1247,           -2.5911,
Ref 2,9.27990e-08,,,,,,1.1881e-02,4.1809e-03,4.8678e-05,4.4618e-06,7.1567e-08,,,,,,,,,,,
Sam 2,9.20336e-08,1.19522e-02,4.2082e-03,4.9280e-05,4.5182e-06,7.2496e-08,,,,,,            6.0152,            6.4817,           12.2053,           12.5598,           13.9614,            3.2876,            0.5372,           -0.4067,           -0.4398,           -5.2066,
Ref 3,9.06892e-08,,,,,,1.1881e-02,4.1814e-03,4.8694e-05,4.4626e-06,7.1428e-08,,,,,,,,,,,
Sam 3,9.00539e-08,1.19518e-02,4.2081e-03,4.9278e-05,4.5197e-06,7.2831e-08,,,,,,            5.9718,            6.3844,           12.0159,           12.8765,           21.8275,            3.2448,            0.4405,           -0.4543,            0.0662,            2.7475,
Ref 4,8.86435e-08,,,,,,1.1881e-02,4.1814e-03,4.8692e-05,4.4620e-06,7.1119e-08,,,,,,,,,,,
Sam 4,8.77809e-08,1.19532e-02,4.2090e-03,4.9285e-05,4.5163e-06,7.1981e-08,,,,,,            5.9596,            6.4346,           12.1058,           13.0461,           32.0978,            3.2301,            0.4905,           -0.4021,            0.1337,           12.7395,
Ref 5,8.60515e-08,,,,,,1.1884e-02,4.1827e-03,4.8700e-05,4.4542e-06,6.8324e-08,,,,,,,,,,,
Sam 5,8.60080e-08,1.19518e-02,4.2084e-03,4.9281e-05,4.5177e-06,7.1943e-08,,,,,,            5.7529,            6.2190,           12.0536,           13.8043,           35.7320,            3.0175,            0.2763,           -0.0311,            1.3114,           16.9563,
Ref 6,8.44395e-08,,,,,,1.1883e-02,4.1821e-03,4.8687e-05,4.4582e-06,7.0620e-08,,,,,,,,,,,
Sam 6,8.36544e-08,1.19557e-02,4.2101e-03,4.9292e-05,4.5106e-06,7.0173e-08,,,,,,            6.1809,            6.6812,           12.2579,           11.6849,            1.6805,            3.4571,            0.7354,           -0.7194,           -1.6993,          -17.8104,
Ref 7,8.24689e-08,,,,,,1.1881e-02,4.1822e-03,4.8702e-05,4.4588e-06,6.9478e-08,,,,,,,,,,,
Sam 7,8.15266e-08,1.19571e-02,4.2107e-03,4.9288e-05,4.5064e-06,6.9506e-08,,,,,,            6.4078,            6.9658,           12.1601,           10.1743,          -15.6269,            3.6887,            1.0182,           -1.3260,           -3.7534,          -35.5490,
Ref 8,8.10042e-08,,,,,,1.1880e-02,4.1811e-03,4.8688e-05,4.4633e-06,7.1763e-08,,,,,,,,,,,
Sam 8,8.05277e-08,1.19521e-02,4.2088e-03,4.9286e-05,4.5180e-06,7.2833e-08,,,,,,            5.6505,            6.3178,           12.5119,           14.2707,           38.1370,            2.9051,            0.3749,            0.4300,            1.5753,           19.2311,
Ref 9,7.84146e-08,,,,,,1.1890e-02,4.1837e-03,4.8665e-05,4.4453e-06,6.8500e-08,,,,,,,,,,,
Sam 9,7.89018e-08,1.19511e-02,4.2079e-03,4.9271e-05,4.5173e-06,7.2421e-08,,,,,,            5.3371,            5.7761,           12.1735,           15.8346,           59.1711,            2.5903,           -0.1634,            0.9472,            4.2004,           41.3291,
Ref 10,7.66652e-08,,,,,,1.1886e-02,4.1837e-03,4.8692e-05,4.4485e-06,6.8248e-08,,,,,,,,,,,
Sam 10,7.68267e-08,1.19532e-02,4.2098e-03,4.9291e-05,4.5113e-06,7.0937e-08,,,,,,            5.9073,            6.5381,           12.3751,           12.6463,            3.4056,            3.1709,            0.5936,           -0.1838,           -0.4665,          -15.5592,
Ref 11,7.58271e-08,,,,,,1.1880e-02,4.1812e-03,4.8685e-05,4.4615e-06,7.3172e-08,,,,,,,,,,,
Sam 11,7.55344e-08,1.19515e-02,4.2083e-03,4.9341e-05,4.5245e-06,7.3162e-08,,,,,,            5.9976,            6.4893,           13.5621,           14.0254,            7.4944,            3.2686,            0.5448,            0.9437,            0.9919,          -11.5477,
Ref 12,7.42366e-08,,,,,,1.1880e-02,4.1811e-03,4.8676e-05,4.4623e-06,7.2052e-08,,,,,,,,,,,
Sam 12,7.35032e-08,1.19560e-02,4.2102e-03,4.9286e-05,4.5065e-06,7.0788e-08,,,,,,            5.9131,            6.4508,           12.3531,           12.1434,           11.5959,            3.1800,            0.5067,           -0.1260,           -0.7895,           -7.3603,
Ref 13,7.17966e-08,,,,,,1.1891e-02,4.1855e-03,4.8692e-05,4.4422e-06,6.7831e-08,,,,,,,,,,,
Sam 13,7.28926e-08,1.19519e-02,4.2075e-03,4.9252e-05,4.5130e-06,7.2850e-08,,,,,,            5.5887,            5.8485,           11.6890,           13.7950,           38.5477,            2.8556,           -0.0919,            0.1392,            2.0398,           20.6369,
Ref 14,7.13974e-08,,,,,,1.1879e-02,4.1806e-03,4.8673e-05,4.4611e-06,7.2475e-08,,,,,,,,,,,
Sam 14,7.13251e-08,1.19506e-02,4.2077e-03,4.9269e-05,4.5183e-06,7.3406e-08,,,,,,            5.9772,            6.4278,           12.2202,           12.8679,           16.4013,            3.2490,            0.4837,           -0.3004,           -0.0287,           -2.6679,
Ref 15,6.99009e-08,,,,,,1.1880e-02,4.1810e-03,4.8677e-05,4.4606e-06,7.1962e-08,,,,,,,,,,,
Sam 15,6.96730e-08,1.19517e-02,4.2082e-03,4.9267e-05,4.5131e-06,7.3247e-08,,,,,,            6.0573,            6.5515,           12.1004,           11.7456,           19.5539,            3.3300,            0.6066,           -0.6217,           -1.3820,            0.0992,
Ref 16,6.84712e-08,,,,,,1.1880e-02,4.1807e-03,4.8679e-05,4.4608e-06,7.1720e-08,,,,,,,,,,,
Sam 16,6.85354e-08,1.19504e-02,4.2076e-03,4.9266e-05,4.5178e-06,7.3696e-08,,,,,,            5.9650,            6.4521,           12.1174,           12.7814,           23.6359,            3.2352,            0.5079,           -0.4132,           -0.1622,            4.3964,
Ref 17,6.74357e-08,,,,,,1.1879e-02,4.1805e-03,4.8674e-05,4.4608e-06,7.2273e-08,,,,,,,,,,,
Sam 17,6.72347e-08,1.19503e-02,4.2075e-03,4.9270e-05,4.5182e-06,7.3385e-08,,,,,,            5.9789,            6.4593,           12.2179,           12.9493,           16.1319,            3.2497,            0.5150,           -0.3352,           -0.0108,           -2.9953,
Ref 18,6.58283e-08,,,,,,1.1879e-02,4.1804e-03,4.8677e-05,4.4602e-06,7.2166e-08,,,,,,,,,,,
Sam 18,6.59189e-08,1.19502e-02,4.2074e-03,4.9268e-05,4.5176e-06,7.4408e-08,,,,,,            5.9804,            6.4644,           12.1628,           12.6541,           23.0373,            3.2512,            0.5201,           -0.3962,           -0.3125,            3.7684,
Ref 19,6.45403e-08,,,,,,1.1879e-02,4.1804e-03,4.8675e-05,4.4621e-06,7.3310e-08,,,,,,,,,,,
Sam 19,6.49211e-08,1.19501e-02,4.2074e-03,4.9267e-05,4.5176e-06,7.3466e-08,,,,,,            5.9858,            6.4708,           12.1903,           12.6323,            7.2013,            3.2567,            0.5265,           -0.3808,           -0.3466,          -11.7872,
Ref 20,6.32681e-08,,,,,,1.1879e-02,4.1804e-03,4.8672e-05,4.4603e-06,7.2565e-08,,,,,,,,,,,
Sam 20,6.34248e-08,1.19501e-02,4.2074e-03,4.9264e-05,4.5177e-06,7.4289e-08,,,,,,            5.9579,            6.4300,           12.1183,           12.2673,           28.4817,            3.2284,            0.4860,           -0.3835,           -0.6260,            9.2022,
Ref 21,6.19412e-08,,,,,,1.1880e-02,4.1806e-03,4.8676e-05,4.4656e-06,7.1891e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.14239e-08,,,,,,1.1879e-02,4.1804e-03,4.8669e-05,4.4600e-06,7.2150e-08,
Sam 1,6.16321e-08,1.19499e-02,4.2073e-03,4.9263e-05,4.5169e-06,7.4335e-08,,,,,,            5.9841,            6.4484,           12.2221,           12.8807,           20.1713,            3.2557,            0.5042,           -0.3258,           -0.0568,            0.9840,
Ref 2,6.02529e-08,,,,,,1.1879e-02,4.1803e-03,4.8667e-05,4.4589e-06,7.3594e-08,,,,,,,,,,,
Sam 2,6.03846e-08,1.19496e-02,4.2072e-03,4.9260e-05,4.5165e-06,7.3409e-08,,,,,,            5.9350,            6.3954,           12.1574,           13.2476,            7.6880,            3.2052,            0.4515,           -0.2875,            0.4107,          -11.1108,
Ref 3,5.88994e-08,,,,,,1.1879e-02,4.1806e-03,4.8669e-05,4.4561e-06,7.2088e-08,,,,,,,,,,,
Sam 3,5.80951e-08,1.19676e-02,4.2147e-03,4.9306e-05,4.4884e-06,6.6204e-08,,,,,,            7.0985,            7.8407,           12.9511,            8.9008,          -58.9275,            4.3935,            1.8873,           -2.1050,           -6.7359,          -80.2181,
Ref 4,5.71365e-08,,,,,,1.1887e-02,4.1832e-03,4.8682e-05,4.4412e-06,6.8557e-08,,,,,,,,,,,
Sam 4,5.77853e-08,1.19533e-02,4.2088e-03,4.9260e-05,4.5058e-06,7.1117e-08,,,,,,            5.8244,            6.2538,           11.7243,           13.1255,           18.0991,            3.0924,            0.3109,           -0.4637,            0.5716,           -0.5007,
Ref 5,5.65887e-08,,,,,,1.1881e-02,4.1820e-03,4.8697e-05,4.4537e-06,7.1161e-08,,,,,,,,,,,
Sam 5,5.71218e-08,1.19516e-02,4.2077e-03,4.9255e-05,4.5109e-06,7.2907e-08,,,,,,            5.9366,            6.2181,           11.7438,           12.9262,           23.6515,            3.2130,            0.2751,           -0.5243,            0.4459,            4.9015,
Ref 6,5.55314e-08,,,,,,1.1881e-02,4.1815e-03,4.8669e-05,4.4530e-06,7.1286e-08,,,,,,,,,,,
Sam 6,5.58749e-08,1.19519e-02,4.2083e-03,4.9260e-05,4.5089e-06,7.2518e-08,,,,,,            5.2975,            5.6407,           11.7087,           15.0391,           55.7938,            2.5529,           -0.2981,            0.6607,            3.6842,           38.3271,
Ref 7,5.36799e-08,,,,,,1.1897e-02,4.1881e-03,4.8712e-05,4.4308e-06,6.5996e-08,,,,,,,,,,,
Sam 7,5.40601e-08,1.19599e-02,4.2134e-03,4.9307e-05,4.4935e-06,6.6984e-08,,,,,,            5.9744,            6.8329,           12.7348,           11.9826,          -27.5862,            3.2321,            0.8868,           -0.1854,           -1.7064,          -46.5823,
Ref 8,5.33733e-08,,,,,,1.1881e-02,4.1815e-03,4.8661e-05,4.4499e-06,7.1789e-08,,,,,,,,,,,
Sam 8,5.37968e-08,1.19529e-02,4.2092e-03,4.9262e-05,4.5087e-06,7.2082e-08,,,,,,            6.1976,            6.8288,           12.4318,           12.3281,           -5.1362,            3.4697,            0.8823,           -0.7090,           -1.3575,          -24.7930,
Ref 9,5.26780e-08,,,,,,1.1878e-02,4.1798e-03,4.8653e-05,4.4578e-06,7.3127e-08,,,,,,,,,,,
Sam 9,5.30711e-08,1.19508e-02,4.2074e-03,4.9247e-05,4.5143e-06,7.3600e-08,,,,,,            6.0108,            6.3891,           14.1676,           15.6984,           21.1467,            3.2861,            0.4452,            1.6263,            2.8429,            2.0287,
Ref 10,5.17070e-08,,,,,,1.1881e-02,4.1815e-03,4.8463e-05,4.4310e-06,7.1004e-08,,,,,,,,,,,
Sam 10,5.24763e-08,1.19492e-02,4.2070e-03,4.9240e-05,4.5121e-06,7.4400e-08,,,,,,            5.9022,            6.3041,           14.0712,           15.2231,           42.3798,            3.1735,            0.3608,            1.7257,            2.5429,           23.1517,
Ref 11,5.09017e-08,,,,,,1.1877e-02,4.1798e-03,4.8652e-05,4.4581e-06,7.1752e-08,,,,,,,,,,,
Sam 11,5.14034e-08,1.19487e-02,4.2069e-03,4.9251e-05,4.5136e-06,7.5139e-08,,,,,,            5.9959,            6.4800,           12.2080,           12.6519,           32.2998,            3.2671,            0.5356,           -0.3827,           -0.3457,           12.8090,
Ref 12,5.00839e-08,,,,,,1.1878e-02,4.1798e-03,4.8663e-05,4.4562e-06,7.3841e-08,,,,,,,,,,,
Sam 12,5.05654e-08,1.19489e-02,4.2069e-03,4.9252e-05,4.5148e-06,7.4973e-08,,,,,,            6.0224,            6.5081,           12.3694,           13.1468,           11.2782,            3.2943,            0.5635,           -0.2778,            0.0870,           -7.8979,
Ref 13,4.92498e-08,,,,,,1.1877e-02,4.1796e-03,4.8638e-05,4.4561e-06,7.4438e-08,,,,,,,,,,,
Sam 13,4.96624e-08,1.19484e-02,4.2068e-03,4.9253e-05,4.5131e-06,7.5000e-08,,,,,,            5.9790,            6.4904,           12.5061,           12.4377,           14.2852,            3.2488,            0.5460,           -0.0811,           -0.5777,           -4.8679,
Ref 14,4.83405e-08,,,,,,1.1878e-02,4.1799e-03,4.8653e-05,4.4592e-06,7.3441e-08,,,,,,,,,,,
Sam 14,4.88359e-08,1.19485e-02,4.2068e-03,4.9253e-05,4.5136e-06,7.4900e-08,,,,,,            5.9742,            6.4474,           12.2916,           12.3830,           13.2254,            3.2451,            0.5032,           -0.2460,           -0.5463,           -5.8191,
Ref 15,4.75147e-08,,,,,,1.1878e-02,4.1799e-03,4.8657e-05,4.4576e-06,7.4413e-08,,,,,,,,,,,
Sam 15,4.79696e-08,1.19485e-02,4.2068e-03,4.9258e-05,4.5139e-06,7.3289e-08,,,,,,            5.9839,            6.4442,           12.3946,           12.8329,           -9.8444,            3.2556,            0.5000,           -0.1511,           -0.0957,          -28.4590,
Ref 16,4.66490e-08,,,,,,1.1877e-02,4.1798e-03,4.8652e-05,4.4557e-06,7.3616e-08,,,,,,,,,,,
Sam 16,4.71527e-08,1.19485e-02,4.2071e-03,4.9254e-05,4.5141e-06,7.4275e-08,,,,,,            5.9828,            6.5094,           12.2982,           12.9097,           11.0626,            3.2522,            0.5649,           -0.3089,           -0.1494,           -8.0704,
Ref 17,4.58616e-08,,,,,,1.1878e-02,4.1799e-03,4.8658e-05,4.4575e-06,7.3305e-08,,,,,,,,,,,
Sam 17,4.64324e-08,1.19485e-02,4.2068e-03,4.9252e-05,4.5151e-06,7.4861e-08,,,,,,            5.9767,            6.4331,           12.2008,           13.3461,           14.6290,            3.2483,            0.4889,           -0.3243,            0.4330,           -4.4166,
Ref 18,4.51094e-08,,,,,,1.1877e-02,4.1800e-03,4.8659e-05,4.4538e-06,7.4266e-08,,,,,,,,,,,
Sam 18,4.56769e-08,1.19483e-02,4.2067e-03,4.9256e-05,4.5160e-06,7.6420e-08,,,,,,            5.9673,            6.3794,           12.1891,           13.7146,           31.5961,            3.2402,            0.4355,           -0.2737,            0.9036,           12.3484,
Ref 19,4.43563e-08,,,,,,1.1878e-02,4.1802e-03,4.8666e-05,4.4559e-06,7.3890e-08,,,,,,,,,,,
Sam 19,4.49035e-08,1.19482e-02,4.2068e-03,4.9249e-05,4.5121e-06,7.5462e-08,,,,,,            5.9523,            6.3437,           11.9816,           12.4200,           19.3567,            3.2255,            0.4000,           -0.4284,           -0.3036,            0.4230,
Ref 20,4.35707e-08,,,,,,1.1877e-02,4.1804e-03,4.8666e-05,4.4576e-06,7.4172e-08,,,,,,,,,,,
Sam 20,4.41722e-08,1.19481e-02,4.2067e-03,4.9249e-05,4.5129e-06,7.5599e-08,,,,,,            5.9617,            6.3578,           12.1193,           12.6408,           16.8562,            3.2349,            0.4141,           -0.3158,           -0.1137,           -2.0686,
Ref 21,4.28860e-08,,,,,,1.1877e-02,4.1798e-03,4.8653e-05,4.4556e-06,7.4522e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.25166e-08,,,,,,1.1877e-02,4.1801e-03,4.8660e-05,4.4577e-06,7.1502e-08,
Sam 1,4.30911e-08,1.19475e-02,4.2066e-03,4.9249e-05,4.5127e-06,7.5337e-08,,,,,,            5.9167,            6.3809,           12.1241,           12.2907,           42.5800,            3.1863,            0.4371,           -0.2875,           -0.5053,           23.1791,
Ref 2,4.18219e-08,,,,,,1.1877e-02,4.1798e-03,4.8658e-05,4.4580e-06,7.3032e-08,,,,,,,,,,,
Sam 2,4.24076e-08,1.19481e-02,4.2067e-03,4.9248e-05,4.5145e-06,7.4410e-08,,,,,,            5.9748,            6.4354,           12.1249,           13.1913,           17.7919,            3.2462,            0.4913,           -0.3995,            0.2756,           -1.3156,
Ref 3,4.11221e-08,,,,,,1.1877e-02,4.1798e-03,4.8658e-05,4.4534e-06,7.3187e-08,,,,,,,,,,,
Sam 3,4.17409e-08,1.19480e-02,4.2067e-03,4.9246e-05,4.5133e-06,7.4981e-08,,,,,,            5.9289,            6.4019,           12.1448,           13.6615,           27.2693,            3.1985,            0.4580,           -0.3001,            0.8064,            8.0988,
Ref 4,4.03685e-08,,,,,,1.1878e-02,4.1801e-03,4.8652e-05,4.4516e-06,7.2791e-08,,,,,,,,,,,
Sam 4,4.09793e-08,1.19489e-02,4.2072e-03,4.9250e-05,4.5104e-06,7.3185e-08,,,,,,            6.0220,            6.5243,           12.3062,           12.7560,           -0.3027,            3.2934,            0.5796,           -0.3557,           -0.3308,          -19.2899,
Ref 5,3.97944e-08,,,,,,1.1877e-02,4.1797e-03,4.8651e-05,4.4557e-06,7.3630e-08,,,,,,,,,,,
Sam 5,4.04380e-08,1.19476e-02,4.2068e-03,4.9254e-05,4.5150e-06,7.4381e-08,,,,,,            5.9254,            6.4041,           12.3345,           13.3101,            5.7630,            3.1947,            0.4602,           -0.1113,            0.4552,          -13.0066,
Ref 6,3.91031e-08,,,,,,1.1878e-02,4.1803e-03,4.8656e-05,4.4556e-06,7.4287e-08,,,,,,,,,,,
Sam 6,3.97640e-08,1.19487e-02,4.2067e-03,4.9246e-05,4.5124e-06,7.5561e-08,,,,,,            6.0176,            6.3815,           12.0728,           12.6737,           10.8999,            3.2937,            0.4375,           -0.4421,           -0.1283,           -8.0185,
Ref 7,3.85573e-08,,,,,,1.1877e-02,4.1798e-03,4.8661e-05,4.4563e-06,7.5213e-08,,,,,,,,,,,
Sam 7,3.91981e-08,1.19478e-02,4.2067e-03,4.9247e-05,4.5152e-06,7.3678e-08,,,,,,            5.9757,            6.4439,           12.0413,           13.1201,          -23.9217,            3.2468,            0.4997,           -0.4913,            0.1884,          -42.2628,
Ref 8,3.79399e-08,,,,,,1.1877e-02,4.1797e-03,4.8661e-05,4.4571e-06,7.5758e-08,,,,,,,,,,,
Sam 8,3.85440e-08,1.19481e-02,4.2067e-03,4.9249e-05,4.5115e-06,7.3842e-08,,,,,,            5.9960,            6.4348,           12.1877,           12.6646,          -16.8275,            3.2688,            0.4906,           -0.3586,           -0.2432,          -35.3055,
Ref 9,3.73058e-08,,,,,,1.1877e-02,4.1799e-03,4.8651e-05,4.4531e-06,7.4443e-08,,,,,,,,,,,
Sam 9,3.79748e-08,1.19478e-02,4.2067e-03,4.9246e-05,4.5116e-06,7.5420e-08,,,,,,            5.9870,            6.4485,           12.2188,           12.9656,           17.7715,            3.2588,            0.5043,           -0.3321,            0.0267,           -1.3741,
Ref 10,3.67384e-08,,,,,,1.1877e-02,4.1796e-03,4.8652e-05,4.4547e-06,7.3758e-08,,,,,,,,,,,
Sam 10,3.74050e-08,1.19476e-02,4.2066e-03,4.9250e-05,4.5095e-06,7.3701e-08,,,,,,            5.9709,            6.4522,           12.2958,           12.5529,            2.9145,            3.2414,            0.5080,           -0.2431,           -0.3880,          -15.9418,
Ref 11,3.61604e-08,,,,,,1.1877e-02,4.1796e-03,4.8651e-05,4.4526e-06,7.3211e-08,,,,,,,,,,,
Sam 11,3.67362e-08,1.19493e-02,4.2072e-03,4.9252e-05,4.5078e-06,7.4570e-08,,,,,,            6.0788,            6.5334,           12.2400,           12.4053,           20.1484,            3.3535,            0.5886,           -0.4882,           -0.6951,            0.6949,
Ref 12,3.55339e-08,,,,,,1.1878e-02,4.1802e-03,4.8661e-05,4.4524e-06,7.2982e-08,,,,,,,,,,,
Sam 12,3.62584e-08,1.19475e-02,4.2063e-03,4.9224e-05,4.5074e-06,7.3566e-08,,,,,,            5.7238,            6.0205,           11.6437,           13.7746,           40.9179,            2.9934,            0.0789,           -0.2122,            1.6771,           22.4764,
Ref 13,3.46697e-08,,,,,,1.1882e-02,4.1822e-03,4.8653e-05,4.4397e-06,6.8308e-08,,,,,,,,,,,
Sam 13,3.56562e-08,1.19485e-02,4.2082e-03,4.9266e-05,4.5122e-06,7.3269e-08,,,,,,            5.7455,            6.3676,           12.5411,           15.2843,           44.9766,            3.0045,            0.4243,            0.3128,            2.4770,           25.7431,
Ref 14,3.43898e-08,,,,,,1.1879e-02,4.1811e-03,4.8658e-05,4.4488e-06,7.1937e-08,,,,,,,,,,,
Sam 14,3.51687e-08,1.19487e-02,4.2066e-03,4.9227e-05,4.5065e-06,7.5169e-08,,,,,,            5.3599,            5.7501,           11.8605,           15.7177,           78.7771,            2.6155,           -0.1894,            0.6397,            4.1368,           60.6332,
Ref 15,3.33511e-08,,,,,,1.1891e-02,4.1841e-03,4.8642e-05,4.4244e-06,6.7352e-08,,,,,,,,,,,
Sam 15,3.46749e-08,1.19483e-02,4.2067e-03,4.9243e-05,4.5089e-06,7.3259e-08,,,,,,            5.4205,            5.9013,           12.1917,           15.4885,           40.3196,            2.6748,           -0.0391,            0.7571,            3.6085,           22.4547,
Ref 16,3.34826e-08,,,,,,1.1877e-02,4.1799e-03,4.8657e-05,4.4559e-06,7.3475e-08,,,,,,,,,,,
Sam 16,3.41651e-08,1.19479e-02,4.2069e-03,4.9248e-05,4.5091e-06,7.4032e-08,,,,,,            6.0193,            6.5028,           12.1078,           12.0413,           -4.3855,            3.2912,            0.5582,           -0.5278,           -0.9936,          -23.2512,
Ref 17,3.30017e-08,,,,,,1.1876e-02,4.1795e-03,4.8660e-05,4.4551e-06,7.5255e-08,,,,,,,,,,,
Sam 17,3.35872e-08,1.19489e-02,4.2077e-03,4.9253e-05,4.5086e-06,7.3342e-08,,,,,,            6.0947,            6.7116,           12.2266,           11.9061,           -5.2350,            3.3642,            0.7659,           -0.6918,           -1.5413,          -24.5605,
Ref 18,3.24702e-08,,,,,,1.1877e-02,4.1798e-03,4.8656e-05,4.4561e-06,7.2175e-08,,,,,,,,,,,
Sam 18,3.31677e-08,1.19472e-02,4.2066e-03,4.9239e-05,4.5094e-06,7.5251e-08,,,,,,            5.8569,            6.3179,           11.3312,           12.8635,           40.3216,            3.1248,            0.3746,           -0.9480,            0.1855,           21.1529,
Ref 19,3.18653e-08,,,,,,1.1878e-02,4.1806e-03,4.8720e-05,4.4482e-06,7.2496e-08,,,,,,,,,,,
Sam 19,3.27203e-08,1.19471e-02,4.2065e-03,4.9203e-05,4.5061e-06,7.3514e-08,,,,,,            5.7949,            6.2118,           10.5492,           12.5477,           13.5327,            3.0625,            0.2691,           -1.5534,            0.0845,           -4.8707,
Ref 20,3.14312e-08,,,,,,1.1878e-02,4.1804e-03,4.8659e-05,4.4523e-06,7.2570e-08,,,,,,,,,,,
Sam 20,3.22436e-08,1.19470e-02,4.2064e-03,4.9238e-05,4.5079e-06,7.3381e-08,,,,,,            5.8202,            6.2520,           11.9261,           12.7347,            3.5553,            3.0880,            0.3090,           -0.2583,            0.1893,          -14.7708,
Ref 21,3.09866e-08,,,,,,1.1878e-02,4.1802e-03,4.8657e-05,4.4500e-06,7.3680e-08,,,,,,,,,,,


