Nu Stable Isotope Analysis Program
Data Collected on Thursday, October 26, 2023 at 17:05 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, October 26, 2023 at 18:04 with Stable 1.71.5 on PS019

Data File = Data_20695 BD1 15.5B.txt,     Sample Weight = 497,                      Vial Location = 36,                       Initial Sam Beam = 2.6643e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.7994e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01698
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.51682e-08,,,,,,1.1876e-02,4.1797e-03,4.8675e-05,4.4621e-06,7.6665e-08,
Sam 1,2.20088e-08,1.18977e-02,4.2162e-03,4.9179e-05,4.5422e-06,8.3457e-08,,,,,,            1.7999,            8.7562,           10.3698,           17.9754,           87.1484,           -1.2772,            2.8100,           -0.1170,            0.3796,           66.6208,
Ref 2,3.39754e-08,,,,,,1.1876e-02,4.1796e-03,4.8672e-05,4.4619e-06,7.6872e-08,,,,,,,,,,,
Sam 2,2.14020e-08,1.18976e-02,4.2161e-03,4.9184e-05,4.5384e-06,8.3784e-08,,,,,,            1.8010,            8.7428,           10.5961,           17.2544,           82.5624,           -1.2755,            2.7966,            0.1189,           -0.3024,           62.1478,
Ref 3,3.29093e-08,,,,,,1.1876e-02,4.1796e-03,4.8663e-05,4.4609e-06,7.7933e-08,,,,,,,,,,,
Sam 3,2.08170e-08,1.18976e-02,4.2162e-03,4.9185e-05,4.5372e-06,8.1535e-08,,,,,,            1.8127,            8.7564,           10.6416,           17.0923,           58.2501,           -1.2636,            2.8101,            0.1386,           -0.4886,           38.2536,
Ref 4,3.18356e-08,,,,,,1.1876e-02,4.1796e-03,4.8671e-05,4.4611e-06,7.6130e-08,,,,,,,,,,,
Sam 4,2.02506e-08,1.18974e-02,4.2162e-03,4.9178e-05,4.5382e-06,8.6164e-08,,,,,,            1.7965,            8.7634,           10.4127,           17.5674,          124.5224,           -1.2811,            2.8171,           -0.0780,           -0.0356,          103.2776,
Ref 5,3.08661e-08,,,,,,1.1876e-02,4.1795e-03,4.8671e-05,4.4587e-06,7.7131e-08,,,,,,,,,,,
Sam 5,1.97043e-08,1.18972e-02,4.2161e-03,4.9178e-05,4.5421e-06,8.3589e-08,,,,,,            1.7891,            8.7531,           10.4489,           18.4630,          100.9691,           -1.2886,            2.8069,           -0.0247,            0.8648,           80.1994,
Ref 6,2.98771e-08,,,,,,1.1876e-02,4.1795e-03,4.8669e-05,4.4608e-06,7.4675e-08,,,,,,,,,,,
Sam 6,1.91676e-08,1.18974e-02,4.2161e-03,4.9179e-05,4.5396e-06,8.2776e-08,,,,,,            1.8060,            8.7117,           10.4805,           17.5440,           81.7258,           -1.2692,            2.7656,            0.0297,            0.0439,           61.3858,
Ref 7,2.89369e-08,,,,,,1.1876e-02,4.1798e-03,4.8670e-05,4.4619e-06,7.8430e-08,,,,,,,,,,,
Sam 7,1.86648e-08,1.18979e-02,4.2168e-03,4.9187e-05,4.5351e-06,8.1452e-08,,,,,,            1.8522,            8.8950,           10.5841,           16.6197,           48.8074,           -1.2264,            2.9479,           -0.0941,           -1.2274,           28.6682,
Ref 8,2.80659e-08,,,,,,1.1876e-02,4.1795e-03,4.8673e-05,4.4601e-06,7.6869e-08,,,,,,,,,,,
Sam 8,1.81777e-08,1.18972e-02,4.2160e-03,4.9183e-05,4.5336e-06,8.3280e-08,,,,,,            1.8043,            8.7456,           10.4911,           16.7428,           85.7390,           -1.2722,            2.7994,            0.0088,           -0.8108,           65.2549,
Ref 9,2.71843e-08,,,,,,1.1876e-02,4.1795e-03,4.8671e-05,4.4577e-06,7.6533e-08,,,,,,,,,,,
Sam 9,1.77107e-08,1.18970e-02,4.2160e-03,4.9182e-05,4.5400e-06,8.1215e-08,,,,,,            1.8016,            8.7399,           10.5819,           18.8241,           57.6253,           -1.2748,            2.7937,            0.1070,            1.2460,           37.6862,
Ref 10,2.63665e-08,,,,,,1.1876e-02,4.1794e-03,4.8662e-05,4.4544e-06,7.7056e-08,,,,,,,,,,,
Sam 10,1.72481e-08,1.18969e-02,4.2159e-03,4.9179e-05,4.5371e-06,8.4171e-08,,,,,,            1.7580,            8.5961,           10.4578,           18.1371,           90.5953,           -1.3163,            2.6507,            0.1695,            0.8563,           70.3845,
Ref 11,2.55339e-08,,,,,,1.1877e-02,4.1806e-03,4.8678e-05,4.4582e-06,7.7306e-08,,,,,,,,,,,
Sam 11,1.67937e-08,1.18971e-02,4.2162e-03,4.9182e-05,4.5353e-06,8.3244e-08,,,,,,            1.7665,            8.6323,           10.5138,           17.2697,           76.9735,           -1.3084,            2.6868,            0.1806,           -0.0683,           56.9306,
Ref 12,2.48086e-08,,,,,,1.1876e-02,4.1796e-03,4.8662e-05,4.4584e-06,7.7281e-08,,,,,,,,,,,
Sam 12,1.63606e-08,1.18970e-02,4.2159e-03,4.9176e-05,4.5336e-06,8.4573e-08,,,,,,            1.8103,            8.7161,           10.5021,           17.1414,          104.0219,           -1.2648,            2.7701,            0.0423,           -0.3605,           83.2484,
Ref 13,2.40846e-08,,,,,,1.1875e-02,4.1793e-03,4.8668e-05,4.4559e-06,7.5907e-08,,,,,,,,,,,
Sam 13,1.59455e-08,1.18967e-02,4.2159e-03,4.9173e-05,4.5328e-06,8.4610e-08,,,,,,            1.7955,            8.7194,           10.3660,           16.8371,          102.2214,           -1.2806,            2.7733,           -0.0804,           -0.6661,           81.4918,
Ref 14,2.33773e-08,,,,,,1.1875e-02,4.1795e-03,4.8668e-05,4.4597e-06,7.7645e-08,,,,,,,,,,,
Sam 14,1.55402e-08,1.18969e-02,4.2159e-03,4.9176e-05,4.5319e-06,8.3929e-08,,,,,,            1.8104,            8.7078,           10.4369,           16.4408,           88.9807,           -1.2644,            2.7618,           -0.0142,           -1.0326,           68.5074,
Ref 15,2.27049e-08,,,,,,1.1875e-02,4.1794e-03,4.8669e-05,4.4574e-06,7.6480e-08,,,,,,,,,,,
Sam 15,1.51522e-08,1.18969e-02,4.2158e-03,4.9174e-05,4.5316e-06,8.0744e-08,,,,,,            1.8145,            8.7168,           10.3841,           17.0357,           47.9657,           -1.2603,            2.7707,           -0.0795,           -0.4657,           28.2409,
Ref 16,2.20635e-08,,,,,,1.1875e-02,4.1793e-03,4.8668e-05,4.4540e-06,7.7633e-08,,,,,,,,,,,
Sam 16,1.47802e-08,1.18967e-02,4.2158e-03,4.9173e-05,4.5337e-06,8.2244e-08,,,,,,            1.8004,            8.7384,           10.3123,           17.4733,           35.8597,           -1.2760,            2.7922,           -0.1571,           -0.0784,           16.3353,
Ref 17,2.14302e-08,,,,,,1.1875e-02,4.1793e-03,4.8673e-05,4.4578e-06,8.1212e-08,,,,,,,,,,,
Sam 17,1.44307e-08,1.18966e-02,4.2157e-03,4.9182e-05,4.5359e-06,8.2501e-08,,,,,,            1.7931,            8.6813,           10.5024,           17.6454,           41.5959,           -1.2819,            2.7354,            0.0943,            0.2038,           22.0851,
Ref 18,2.09603e-08,,,,,,1.1875e-02,4.1795e-03,4.8668e-05,4.4566e-06,7.7155e-08,,,,,,,,,,,
Sam 18,1.40727e-08,1.18967e-02,4.2157e-03,4.9179e-05,4.5316e-06,8.7420e-08,,,,,,            1.8110,            8.6828,           10.4985,           17.0695,          114.8376,           -1.2628,            2.7368,            0.0706,           -0.3650,           93.9309,
Ref 19,2.03733e-08,,,,,,1.1875e-02,4.1794e-03,4.8669e-05,4.4544e-06,7.9712e-08,,,,,,,,,,,
Sam 19,1.37166e-08,1.18966e-02,4.2158e-03,4.9178e-05,4.5340e-06,7.8544e-08,,,,,,            1.8116,            8.7104,           10.5060,           17.8077,          -11.8789,           -1.2632,            2.7644,            0.0504,            0.3056,          -30.4622,
Ref 20,1.98040e-08,,,,,,1.1875e-02,4.1795e-03,4.8664e-05,4.4550e-06,7.9258e-08,,,,,,,,,,,
Sam 20,1.33784e-08,1.18964e-02,4.2156e-03,4.9171e-05,4.5283e-06,8.1264e-08,,,,,,            1.8010,            8.6635,           10.3795,           16.4390,           43.2130,           -1.2728,            2.7177,           -0.0181,           -0.9465,           23.6988,
Ref 21,1.92606e-08,,,,,,1.1875e-02,4.1792e-03,4.8667e-05,4.4552e-06,7.6499e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.89991e-08,,,,,,1.1875e-02,4.1792e-03,4.8660e-05,4.4563e-06,7.5407e-08,
Sam 1,1.28851e-08,1.18963e-02,4.2155e-03,4.9174e-05,4.5335e-06,7.9296e-08,,,,,,            1.7887,            8.6708,           10.5134,           17.8126,           37.8274,           -1.2862,            2.7249,            0.1200,            0.3891,           18.4129,
Ref 2,1.84763e-08,,,,,,1.1875e-02,4.1793e-03,4.8666e-05,4.4520e-06,7.7434e-08,,,,,,,,,,,
Sam 2,1.25735e-08,1.18964e-02,4.2158e-03,4.9183e-05,4.5335e-06,8.5030e-08,,,,,,            1.7718,            8.6252,           10.4078,           17.5347,          112.0789,           -1.3026,            2.6797,            0.0773,            0.2063,           91.3918,
Ref 3,1.79622e-08,,,,,,1.1876e-02,4.1802e-03,4.8688e-05,4.4589e-06,7.5459e-08,,,,,,,,,,,
Sam 3,1.22585e-08,1.18973e-02,4.2169e-03,4.9188e-05,4.5280e-06,8.3073e-08,,,,,,            1.8164,            8.7335,           10.3032,           15.9055,          100.4368,           -1.2588,            2.7873,           -0.1777,           -1.6095,           79.6872,
Ref 4,1.74900e-08,,,,,,1.1876e-02,4.1805e-03,4.8685e-05,4.4553e-06,7.5523e-08,,,,,,,,,,,
Sam 4,1.19733e-08,1.18966e-02,4.2158e-03,4.9184e-05,4.5295e-06,7.7525e-08,,,,,,            1.7475,            8.4685,           10.2052,           16.4675,           -3.6150,           -1.3230,            2.5237,            0.0547,           -0.5322,          -21.8257,
Ref 5,1.70176e-08,,,,,,1.1876e-02,4.1804e-03,4.8690e-05,4.4569e-06,8.0152e-08,,,,,,,,,,,
Sam 5,1.16743e-08,1.18967e-02,4.2161e-03,4.9184e-05,4.5365e-06,8.1011e-08,,,,,,            1.7937,            8.6661,           10.3736,           18.1145,           32.9301,           -1.2807,            2.7203,           -0.0190,            0.6950,           13.6109,
Ref 6,1.65960e-08,,,,,,1.1875e-02,4.1794e-03,4.8668e-05,4.4546e-06,7.6661e-08,,,,,,,,,,,
Sam 6,1.13979e-08,1.18969e-02,4.2161e-03,4.9187e-05,4.5270e-06,8.3572e-08,,,,,,            1.8588,            8.7940,           10.7343,           16.5762,           89.8339,           -1.2158,            2.8474,            0.1462,           -1.0702,           69.1100,
Ref 7,1.61456e-08,,,,,,1.1875e-02,4.1793e-03,4.8661e-05,4.4519e-06,7.6706e-08,,,,,,,,,,,
Sam 7,1.11299e-08,1.18961e-02,4.2154e-03,4.9175e-05,4.5201e-06,8.1086e-08,,,,,,            1.7962,            8.6445,           10.5834,           15.0374,           82.8449,           -1.2773,            2.6988,            0.2072,           -2.2866,           62.6341,
Ref 8,1.57262e-08,,,,,,1.1875e-02,4.1792e-03,4.8658e-05,4.4545e-06,7.3010e-08,,,,,,,,,,,
Sam 8,1.08677e-08,1.18961e-02,4.2155e-03,4.9191e-05,4.5266e-06,8.1841e-08,,,,,,            1.7895,            8.7090,           10.9597,           15.9842,           84.6404,           -1.2866,            2.7630,            0.5235,           -1.4837,           64.2698,
Ref 9,1.53163e-08,,,,,,1.1875e-02,4.1791e-03,4.8658e-05,4.4564e-06,7.7964e-08,,,,,,,,,,,
Sam 9,1.06111e-08,1.18964e-02,4.2154e-03,4.9173e-05,4.5248e-06,8.2287e-08,,,,,,            1.8211,            8.6770,           10.5567,           15.6167,           65.5407,           -1.2520,            2.7311,            0.1235,           -1.7815,           45.5590,
Ref 10,1.49193e-08,,,,,,1.1875e-02,4.1792e-03,4.8661e-05,4.4540e-06,7.6467e-08,,,,,,,,,,,
Sam 10,1.03724e-08,1.18962e-02,4.2155e-03,4.9169e-05,4.5317e-06,8.3577e-08,,,,,,            1.8153,            8.6701,           10.3986,           17.6384,          113.7890,           -1.2578,            2.7242,           -0.0204,            0.2192,           92.9239,
Ref 11,1.45389e-08,,,,,,1.1875e-02,4.1793e-03,4.8664e-05,4.4522e-06,7.3573e-08,,,,,,,,,,,
Sam 11,1.01127e-08,1.18971e-02,4.2166e-03,4.9203e-05,4.5314e-06,8.1409e-08,,,,,,            1.8620,            8.8585,           10.8628,           17.4918,           99.4094,           -1.2147,            2.9116,            0.2071,           -0.2985,           78.3639,
Ref 12,1.41639e-08,,,,,,1.1875e-02,4.1799e-03,4.8684e-05,4.4548e-06,7.4536e-08,,,,,,,,,,,
Sam 12,9.87138e-09,1.18973e-02,4.2173e-03,4.9191e-05,4.5333e-06,8.0573e-08,,,,,,            1.8934,            9.0434,           10.6175,           18.0213,           69.4285,           -1.1876,            3.0956,           -0.2483,           -0.1447,           48.5440,
Ref 13,1.38133e-08,,,,,,1.1874e-02,4.1791e-03,4.8664e-05,4.4514e-06,7.6169e-08,,,,,,,,,,,
Sam 13,9.65458e-09,1.18962e-02,4.2158e-03,4.9189e-05,4.5259e-06,7.8511e-08,,,,,,            1.8306,            8.7593,           10.7425,           16.8684,           46.7388,           -1.2447,            2.8130,            0.2172,           -0.7144,           26.9345,
Ref 14,1.34645e-08,,,,,,1.1875e-02,4.1793e-03,4.8668e-05,4.4502e-06,7.3812e-08,,,,,,,,,,,
Sam 14,9.43217e-09,1.18962e-02,4.2156e-03,4.9184e-05,4.5258e-06,8.2998e-08,,,,,,            1.8177,            8.6815,           10.6366,           16.6219,          125.1425,           -1.2557,            2.7355,            0.2016,           -0.8024,          104.0376,
Ref 15,1.31323e-08,,,,,,1.1875e-02,4.1792e-03,4.8665e-05,4.4533e-06,7.3719e-08,,,,,,,,,,,
Sam 15,9.21767e-09,1.18959e-02,4.2154e-03,4.9173e-05,4.5230e-06,7.5307e-08,,,,,,            1.8060,            8.6615,           10.5542,           15.9628,           -1.0507,           -1.2674,            2.7157,            0.1516,           -1.4106,          -19.7382,
Ref 16,1.28360e-08,,,,,,1.1874e-02,4.1791e-03,4.8654e-05,4.4506e-06,7.7092e-08,,,,,,,,,,,
Sam 16,9.02098e-09,1.18957e-02,4.2153e-03,4.9177e-05,4.5282e-06,8.0953e-08,,,,,,            1.7926,            8.6676,           10.6944,           17.3100,           34.4784,           -1.2819,            2.7218,            0.2981,           -0.0986,           15.1285,
Ref 17,1.25116e-08,,,,,,1.1874e-02,4.1790e-03,4.8660e-05,4.4517e-06,7.9448e-08,,,,,,,,,,,
Sam 17,8.80909e-09,1.18957e-02,4.2152e-03,4.9177e-05,4.5250e-06,8.3266e-08,,,,,,            1.7935,            8.6487,           10.6857,           16.7482,           66.1207,           -1.2804,            2.7030,            0.3071,           -0.6135,           46.2165,
Ref 18,1.21944e-08,,,,,,1.1874e-02,4.1791e-03,4.8654e-05,4.4492e-06,7.6720e-08,,,,,,,,,,,
Sam 18,8.60142e-09,1.18959e-02,4.2155e-03,4.9169e-05,4.5174e-06,8.2428e-08,,,,,,            1.7934,            8.6749,           10.4140,           15.2831,           49.5955,           -1.2813,            2.7291,            0.0127,           -2.1053,           29.9473,
Ref 19,1.18818e-08,,,,,,1.1875e-02,4.1794e-03,4.8671e-05,4.4497e-06,8.0394e-08,,,,,,,,,,,
Sam 19,8.41552e-09,1.18958e-02,4.2152e-03,4.9181e-05,4.5188e-06,8.2825e-08,,,,,,            1.7738,            8.5736,           10.5596,           15.6653,           45.4786,           -1.2987,            2.6283,            0.2758,           -1.5291,           26.1315,
Ref 20,1.16103e-08,,,,,,1.1875e-02,4.1793e-03,4.8663e-05,4.4486e-06,7.8023e-08,,,,,,,,,,,
Sam 20,8.21870e-09,1.18966e-02,4.2159e-03,4.9181e-05,4.5208e-06,7.3778e-08,,,,,,            1.8413,            8.7048,           10.5959,           15.7526,          -52.7570,           -1.2314,            2.7587,            0.1143,           -1.7031,          -70.5906,
Ref 21,1.13272e-08,,,,,,1.1875e-02,4.1798e-03,4.8668e-05,4.4529e-06,7.7747e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.11959e-08,,,,,,1.1874e-02,4.1789e-03,4.8664e-05,4.4411e-06,7.6903e-08,
Sam 1,7.94734e-09,1.18960e-02,4.2154e-03,4.9168e-05,4.5175e-06,7.2495e-08,,,,,,            1.8227,            8.7326,           10.3572,           17.0086,          -83.0487,           -1.2521,            2.7864,           -0.1299,           -0.5237,         -100.3430,
Ref 2,1.09217e-08,,,,,,1.1874e-02,4.1789e-03,4.8663e-05,4.4429e-06,8.1273e-08,,,,,,,,,,,
Sam 2,7.76833e-09,1.18960e-02,4.2157e-03,4.9187e-05,4.5220e-06,7.7296e-08,,,,,,            1.7842,            8.6812,           10.6895,           17.1136,          -37.3113,           -1.2913,            2.7353,            0.2887,           -0.3186,          -55.3350,
Ref 3,1.06519e-08,,,,,,1.1875e-02,4.1799e-03,4.8672e-05,4.4490e-06,7.9285e-08,,,,,,,,,,,
Sam 3,7.59966e-09,1.18963e-02,4.2159e-03,4.9198e-05,4.5234e-06,7.3223e-08,,,,,,            1.7950,            8.7001,           10.8865,           17.4798,          -81.1841,           -1.2805,            2.7542,            0.4541,            0.0038,          -98.4299,
Ref 4,1.04016e-08,,,,,,1.1875e-02,4.1792e-03,4.8664e-05,4.4423e-06,8.0110e-08,,,,,,,,,,,
Sam 4,7.42666e-09,1.18960e-02,4.2153e-03,4.9180e-05,4.5160e-06,8.4824e-08,,,,,,            1.7705,            8.4967,           10.2920,           15.4112,           39.8011,           -1.2995,            2.5517,            0.0894,           -1.6266,           20.7158,
Ref 5,1.01479e-08,,,,,,1.1875e-02,4.1804e-03,4.8694e-05,4.4527e-06,8.3082e-08,,,,,,,,,,,
Sam 5,7.26024e-09,1.18959e-02,4.2160e-03,4.9191e-05,4.5205e-06,8.3567e-08,,,,,,            1.7753,            8.6335,           10.5424,           16.1864,           49.6629,           -1.2991,            2.6879,            0.1989,           -1.1354,           30.1164,
Ref 6,9.91369e-09,,,,,,1.1875e-02,4.1794e-03,4.8661e-05,4.4443e-06,7.6062e-08,,,,,,,,,,,
Sam 6,7.10032e-09,1.18964e-02,4.2160e-03,4.9183e-05,4.5251e-06,8.1848e-08,,,,,,            1.8517,            8.8171,           10.7033,           18.6869,           72.4900,           -1.2242,            2.8704,            0.1003,            0.9580,           52.0564,
Ref 7,9.68385e-09,,,,,,1.1874e-02,4.1789e-03,4.8664e-05,4.4398e-06,7.6575e-08,,,,,,,,,,,
Sam 7,6.94864e-09,1.18954e-02,4.2150e-03,4.9169e-05,4.5079e-06,8.1344e-08,,,,,,            1.7868,            8.6384,           10.2820,           14.8791,           40.7537,           -1.2871,            2.6927,           -0.0755,           -2.4301,           21.3509,
Ref 8,9.45612e-09,,,,,,1.1874e-02,4.1789e-03,4.8673e-05,4.4438e-06,7.9781e-08,,,,,,,,,,,
Sam 8,6.79733e-09,1.18956e-02,4.2150e-03,4.9158e-05,4.5195e-06,7.9077e-08,,,,,,            1.8011,            8.6178,           10.0406,           16.8190,            0.7934,           -1.2712,            2.6723,           -0.3091,           -0.4826,          -17.8399,
Ref 9,9.23667e-09,,,,,,1.1874e-02,4.1790e-03,4.8667e-05,4.4457e-06,7.8230e-08,,,,,,,,,,,
Sam 9,6.64923e-09,1.18955e-02,4.2149e-03,4.9171e-05,4.5201e-06,7.2421e-08,,,,,,            1.8008,            8.6002,           10.3989,           17.5511,          -58.5783,           -1.2708,            2.6547,            0.0630,            0.2720,          -76.0741,
Ref 10,9.02416e-09,,,,,,1.1874e-02,4.1789e-03,4.8663e-05,4.4384e-06,7.5594e-08,,,,,,,,,,,
Sam 10,6.50503e-09,1.18955e-02,4.2149e-03,4.9161e-05,4.5219e-06,8.0514e-08,,,,,,            1.7593,            8.4917,            9.9606,           18.8270,           64.4463,           -1.3113,            2.5468,           -0.2222,            1.7417,           44.9312,
Ref 11,8.80775e-09,,,,,,1.1875e-02,4.1799e-03,4.8690e-05,4.4383e-06,7.5686e-08,,,,,,,,,,,
Sam 11,6.36404e-09,1.18955e-02,4.2147e-03,4.9169e-05,4.5050e-06,8.1314e-08,,,,,,            1.7374,            8.3890,           10.0913,           14.4397,           68.8560,           -1.3310,            2.4446,            0.0300,           -2.3687,           49.4948,
Ref 12,8.61152e-09,,,,,,1.1875e-02,4.1794e-03,4.8665e-05,4.4436e-06,7.6476e-08,,,,,,,,,,,
Sam 12,6.22835e-09,1.18953e-02,4.2147e-03,4.9165e-05,4.5105e-06,7.4904e-08,,,,,,            1.7629,            8.5265,           10.3921,           15.4893,           22.4490,           -1.3087,            2.5814,            0.1673,           -1.6088,            3.6321,
Ref 13,8.41827e-09,,,,,,1.1874e-02,4.1787e-03,4.8654e-05,4.4397e-06,6.9969e-08,,,,,,,,,,,
Sam 13,6.09544e-09,1.18955e-02,4.2149e-03,4.9181e-05,4.5046e-06,7.4073e-08,,,,,,            1.7893,            8.6320,           10.7851,           14.6510,           37.6409,           -1.2842,            2.6864,            0.4261,           -2.6417,           18.3061,
Ref 14,8.22680e-09,,,,,,1.1874e-02,4.1788e-03,4.8659e-05,4.4394e-06,7.2836e-08,,,,,,,,,,,
Sam 14,5.96188e-09,1.18956e-02,4.2152e-03,4.9174e-05,4.5115e-06,7.7892e-08,,,,,,            1.7910,            8.6357,           10.4601,           16.6097,           47.9463,           -1.2825,            2.6901,            0.0990,           -0.7238,           28.4103,
Ref 15,8.03846e-09,,,,,,1.1874e-02,4.1794e-03,4.8670e-05,4.4362e-06,7.5855e-08,,,,,,,,,,,
Sam 15,5.83762e-09,1.18951e-02,4.2148e-03,4.9180e-05,4.5096e-06,7.6486e-08,,,,,,            1.7530,            8.5324,           10.5949,           16.4923,          -47.9274,           -1.3194,            2.5873,            0.3725,           -0.6344,          -65.4501,
Ref 16,7.86047e-09,,,,,,1.1874e-02,4.1790e-03,4.8657e-05,4.4367e-06,8.4920e-08,,,,,,,,,,,
Sam 16,5.71598e-09,1.18949e-02,4.2147e-03,4.9160e-05,4.5035e-06,7.7895e-08,,,,,,            1.7510,            8.5323,           10.3208,           14.1330,          -36.0807,           -1.3216,            2.5873,            0.1033,           -2.9538,          -53.8194,
Ref 17,7.68408e-09,,,,,,1.1874e-02,4.1792e-03,4.8659e-05,4.4449e-06,7.6607e-08,,,,,,,,,,,
Sam 17,5.59271e-09,1.18953e-02,4.2149e-03,4.9177e-05,4.5064e-06,8.0667e-08,,,,,,            1.7833,            8.5961,           10.5223,           14.0679,           76.4558,           -1.2894,            2.6506,            0.2072,           -3.1438,           56.4786,
Ref 18,7.51342e-09,,,,,,1.1874e-02,4.1788e-03,4.8672e-05,4.4427e-06,7.3230e-08,,,,,,,,,,,
Sam 18,5.47226e-09,1.18953e-02,4.2147e-03,4.9161e-05,4.5096e-06,8.0155e-08,,,,,,            1.7880,            8.5962,           10.1046,           15.2355,           54.5432,           -1.2843,            2.6507,           -0.2112,           -1.9962,           34.9672,
Ref 19,7.34509e-09,,,,,,1.1874e-02,4.1788e-03,4.8667e-05,4.4411e-06,7.8852e-08,,,,,,,,,,,
Sam 19,5.36166e-09,1.18950e-02,4.2145e-03,4.9180e-05,4.5101e-06,7.4572e-08,,,,,,            1.7698,            8.5778,           10.6781,           16.9143,          -86.7358,           -1.3030,            2.6324,            0.3931,           -0.3095,         -103.6396,
Ref 20,7.18489e-09,,,,,,1.1874e-02,4.1786e-03,4.8654e-05,4.4288e-06,8.4518e-08,,,,,,,,,,,
Sam 20,5.24678e-09,1.18951e-02,4.2146e-03,4.9184e-05,4.5029e-06,7.0752e-08,,,,,,            1.7831,            8.5813,           10.7550,           15.4398,         -133.2229,           -1.2890,            2.6360,            0.4521,           -1.7661,         -149.2842,
Ref 21,7.02146e-09,,,,,,1.1874e-02,4.1789e-03,4.8668e-05,4.4402e-06,7.8667e-08,,,,,,,,,,,


