Nu Stable Isotope Analysis Program
Data Collected on Thursday, October 26, 2023 at 18:26 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, October 26, 2023 at 19:25 with Stable 1.71.5 on PS019

Data File = Data_20696 BD1 ZEBRA 70mA.txt,Sample Weight = 422,                      Vial Location = 37,                       Initial Sam Beam = 2.5030e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6028e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01917
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.42246e-08,,,,,,1.1879e-02,4.1807e-03,4.8682e-05,4.4618e-06,7.0868e-08,
Sam 1,7.33653e-08,1.19431e-02,4.1955e-03,4.9111e-05,4.4939e-06,7.3027e-08,,,,,,            5.3784,            3.5369,            8.7917,            6.8688,           22.1945,            2.7117,           -2.3919,           -0.2484,           -0.2159,            9.3480,
Ref 2,7.26914e-08,,,,,,1.1879e-02,4.1807e-03,4.8684e-05,4.4647e-06,7.2026e-08,,,,,,,,,,,
Sam 2,7.19326e-08,1.19430e-02,4.1953e-03,4.9103e-05,4.4954e-06,7.3760e-08,,,,,,            5.3553,            3.4812,            8.5996,            6.9528,           31.8231,            2.6891,           -2.4473,           -0.3606,           -0.0214,           18.9918,
Ref 3,7.12446e-08,,,,,,1.1879e-02,4.1807e-03,4.8686e-05,4.4640e-06,7.0934e-08,,,,,,,,,,,
Sam 3,7.09442e-08,1.19428e-02,4.1952e-03,4.9102e-05,4.4949e-06,7.4296e-08,,,,,,            5.3515,            3.4729,            8.5921,            6.6626,           38.3243,            2.6853,           -2.4555,           -0.3560,           -0.2932,           25.4329,
Ref 4,7.00191e-08,,,,,,1.1879e-02,4.1807e-03,4.8681e-05,4.4663e-06,7.2185e-08,,,,,,,,,,,
Sam 4,6.93398e-08,1.19428e-02,4.1952e-03,4.9100e-05,4.4946e-06,7.3777e-08,,,,,,            5.3544,            3.4870,            8.6093,            6.6989,           20.2548,            2.6879,           -2.4415,           -0.3557,           -0.2853,            7.5568,
Ref 5,6.86306e-08,,,,,,1.1879e-02,4.1806e-03,4.8681e-05,4.4631e-06,7.2442e-08,,,,,,,,,,,
Sam 5,6.79950e-08,1.19427e-02,4.1951e-03,4.9103e-05,4.4959e-06,7.2722e-08,,,,,,            5.3485,            3.4656,            8.6446,            7.2790,            0.3801,            2.6824,           -2.4628,           -0.2937,            0.3337,          -12.0228,
Ref 6,6.72660e-08,,,,,,1.1879e-02,4.1807e-03,4.8683e-05,4.4638e-06,7.2952e-08,,,,,,,,,,,
Sam 6,6.66954e-08,1.19427e-02,4.1953e-03,4.9107e-05,4.4948e-06,7.3673e-08,,,,,,            5.3552,            3.5041,            8.7466,            7.0793,            7.6838,            2.6882,           -2.4245,           -0.2372,            0.0585,           -4.8920,
Ref 7,6.58950e-08,,,,,,1.1879e-02,4.1805e-03,4.8679e-05,4.4627e-06,7.3273e-08,,,,,,,,,,,
Sam 7,6.55122e-08,1.19427e-02,4.1951e-03,4.9100e-05,4.4943e-06,7.4616e-08,,,,,,            5.3591,            3.4948,            8.6374,            6.8098,           21.3362,            2.6926,           -2.4337,           -0.3403,           -0.1907,            8.6043,
Ref 8,6.46697e-08,,,,,,1.1879e-02,4.1805e-03,4.8681e-05,4.4651e-06,7.2837e-08,,,,,,,,,,,
Sam 8,6.42813e-08,1.19425e-02,4.1951e-03,4.9100e-05,4.4942e-06,7.3986e-08,,,,,,            5.3616,            3.4996,            8.6794,            6.8366,           11.0408,            2.6952,           -2.4290,           -0.3059,           -0.1735,           -1.5748,
Ref 9,6.34064e-08,,,,,,1.1879e-02,4.1804e-03,4.8675e-05,4.4623e-06,7.3526e-08,,,,,,,,,,,
Sam 9,6.31960e-08,1.19423e-02,4.1950e-03,4.9103e-05,4.4938e-06,7.3562e-08,,,,,,            5.3494,            3.4798,            8.7146,            6.7207,            8.9907,            2.6829,           -2.4487,           -0.2392,           -0.2492,           -3.5477,
Ref 10,6.21843e-08,,,,,,1.1879e-02,4.1806e-03,4.8682e-05,4.4654e-06,7.2274e-08,,,,,,,,,,,
Sam 10,6.17720e-08,1.19423e-02,4.1950e-03,4.9105e-05,4.4948e-06,7.3127e-08,,,,,,            5.3518,            3.4631,            8.7314,            6.7121,            6.8928,            2.6860,           -2.4653,           -0.2086,           -0.2245,           -5.5896,
Ref 11,6.09703e-08,,,,,,1.1879e-02,4.1804e-03,4.8677e-05,4.4643e-06,7.2986e-08,,,,,,,,,,,
Sam 11,6.06018e-08,1.19422e-02,4.1950e-03,4.9100e-05,4.4945e-06,7.4315e-08,,,,,,            5.3475,            3.4898,            8.7233,            6.8501,           16.6478,            2.6804,           -2.4387,           -0.2384,           -0.1407,            3.9965,
Ref 12,5.98096e-08,,,,,,1.1879e-02,4.1803e-03,4.8674e-05,4.4635e-06,7.3212e-08,,,,,,,,,,,
Sam 12,5.94598e-08,1.19422e-02,4.1949e-03,4.9099e-05,4.4944e-06,7.4076e-08,,,,,,            5.3539,            3.4964,            8.7172,            6.8132,           14.6873,            2.6871,           -2.4322,           -0.2575,           -0.1904,            2.0407,
Ref 13,5.86766e-08,,,,,,1.1879e-02,4.1803e-03,4.8675e-05,4.4646e-06,7.2791e-08,,,,,,,,,,,
Sam 13,5.83819e-08,1.19421e-02,4.1949e-03,4.9098e-05,4.4939e-06,7.4641e-08,,,,,,            5.3549,            3.5010,            8.6875,            6.5417,           20.5144,            2.6879,           -2.4276,           -0.2924,           -0.4691,            7.7851,
Ref 14,5.75757e-08,,,,,,1.1878e-02,4.1803e-03,4.8676e-05,4.4647e-06,7.3497e-08,,,,,,,,,,,
Sam 14,5.72337e-08,1.19419e-02,4.1949e-03,4.9096e-05,4.4922e-06,7.3617e-08,,,,,,            5.3474,            3.4925,            8.5992,            6.3247,            1.2693,            2.6803,           -2.4360,           -0.3639,           -0.6677,          -11.1957,
Ref 15,5.64727e-08,,,,,,1.1878e-02,4.1802e-03,4.8680e-05,4.4632e-06,7.3552e-08,,,,,,,,,,,
Sam 15,5.62399e-08,1.19420e-02,4.1949e-03,4.9099e-05,4.4960e-06,7.4257e-08,,,,,,            5.3601,            3.5041,            8.6110,            7.2704,           13.0063,            2.6934,           -2.4245,           -0.3765,            0.2482,            0.3591,
Ref 16,5.54893e-08,,,,,,1.1878e-02,4.1803e-03,4.8679e-05,4.4639e-06,7.3051e-08,,,,,,,,,,,
Sam 16,5.52486e-08,1.19418e-02,4.1948e-03,4.9097e-05,4.4944e-06,7.4651e-08,,,,,,            5.3436,            3.4823,            8.6477,            6.7296,           12.8568,            2.6766,           -2.4462,           -0.3020,           -0.2453,            0.2716,
Ref 17,5.44585e-08,,,,,,1.1878e-02,4.1802e-03,4.8674e-05,4.4647e-06,7.4368e-08,,,,,,,,,,,
Sam 17,5.42368e-08,1.19418e-02,4.1948e-03,4.9097e-05,4.4924e-06,7.3989e-08,,,,,,            5.3499,            3.4690,            8.6375,            6.1053,            1.6221,            2.6838,           -2.4594,           -0.3055,           -0.8388,          -10.8043,
Ref 18,5.34164e-08,,,,,,1.1878e-02,4.1804e-03,4.8679e-05,4.4655e-06,7.3362e-08,,,,,,,,,,,
Sam 18,5.32809e-08,1.19418e-02,4.1948e-03,4.9093e-05,4.4944e-06,7.4840e-08,,,,,,            5.3567,            3.4807,            8.5437,            6.5487,           12.2854,            2.6906,           -2.4478,           -0.4168,           -0.4218,           -0.3034,
Ref 19,5.24712e-08,,,,,,1.1878e-02,4.1801e-03,4.8675e-05,4.4648e-06,7.4513e-08,,,,,,,,,,,
Sam 19,5.23317e-08,1.19416e-02,4.1947e-03,4.9099e-05,4.4928e-06,7.5278e-08,,,,,,            5.3510,            3.4876,            8.7171,            6.4444,           14.2021,            2.6843,           -2.4409,           -0.2460,           -0.5391,            1.5819,
Ref 20,5.15660e-08,,,,,,1.1878e-02,4.1801e-03,4.8674e-05,4.4633e-06,7.3931e-08,,,,,,,,,,,
Sam 20,5.14079e-08,1.19415e-02,4.1947e-03,4.9093e-05,4.4941e-06,7.3751e-08,,,,,,            5.3477,            3.4882,            8.5815,            7.0464,            1.1689,            2.6807,           -2.4403,           -0.3776,            0.0575,          -11.2869,
Ref 21,5.06999e-08,,,,,,1.1878e-02,4.1801e-03,4.8677e-05,4.4621e-06,7.3395e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.02616e-08,,,,,,1.1878e-02,4.1801e-03,4.8671e-05,4.4614e-06,7.2274e-08,
Sam 1,5.01335e-08,1.19413e-02,4.1947e-03,4.9096e-05,4.4920e-06,7.3821e-08,,,,,,            5.3411,            3.4980,            8.6740,            6.6167,           16.2435,            2.6734,           -2.4305,           -0.2888,           -0.3889,            3.5878,
Ref 2,4.92858e-08,,,,,,1.1878e-02,4.1801e-03,4.8676e-05,4.4636e-06,7.3016e-08,,,,,,,,,,,
Sam 2,4.92903e-08,1.19413e-02,4.1947e-03,4.9099e-05,4.4938e-06,7.4863e-08,,,,,,            5.3510,            3.4678,            8.7179,            6.8032,           31.9831,            2.6850,           -2.4606,           -0.2257,           -0.1434,           19.1812,
Ref 3,4.85458e-08,,,,,,1.1878e-02,4.1802e-03,4.8674e-05,4.4632e-06,7.2062e-08,,,,,,,,,,,
Sam 3,4.83958e-08,1.19412e-02,4.1946e-03,4.9098e-05,4.4936e-06,7.3778e-08,,,,,,            5.3511,            3.4663,            8.7597,            6.6663,           11.5855,            2.6851,           -2.4620,           -0.1829,           -0.2765,           -0.9606,
Ref 4,4.76338e-08,,,,,,1.1878e-02,4.1801e-03,4.8670e-05,4.4644e-06,7.3821e-08,,,,,,,,,,,
Sam 4,4.76219e-08,1.19412e-02,4.1948e-03,4.9101e-05,4.4935e-06,7.4069e-08,,,,,,            5.3603,            3.5023,            8.8359,            6.8410,           -1.4155,            2.6937,           -2.4263,           -0.1522,           -0.1745,          -13.8794,
Ref 5,4.68049e-08,,,,,,1.1878e-02,4.1801e-03,4.8672e-05,4.4615e-06,7.4532e-08,,,,,,,,,,,
Sam 5,4.68233e-08,1.19411e-02,4.1946e-03,4.9097e-05,4.4944e-06,7.4625e-08,,,,,,            5.3516,            3.4636,            8.7517,            7.1780,            6.8561,            2.6857,           -2.4648,           -0.1887,            0.2372,           -5.6266,
Ref 6,4.60047e-08,,,,,,1.1877e-02,4.1800e-03,4.8669e-05,4.4632e-06,7.3695e-08,,,,,,,,,,,
Sam 6,4.60043e-08,1.19410e-02,4.1945e-03,4.9090e-05,4.4947e-06,7.4796e-08,,,,,,            5.3509,            3.4678,            8.5946,            6.8439,           14.2242,            2.6849,           -2.4606,           -0.3478,           -0.1030,            1.6426,
Ref 7,4.51911e-08,,,,,,1.1878e-02,4.1800e-03,4.8674e-05,4.4651e-06,7.3799e-08,,,,,,,,,,,
Sam 7,4.52488e-08,1.19410e-02,4.1945e-03,4.9094e-05,4.4928e-06,7.4223e-08,,,,,,            5.3537,            3.4736,            8.6635,            6.2817,            9.6165,            2.6877,           -2.4549,           -0.2881,           -0.6728,           -2.9221,
Ref 8,4.44352e-08,,,,,,1.1877e-02,4.1800e-03,4.8671e-05,4.4645e-06,7.3228e-08,,,,,,,,,,,
Sam 8,4.45121e-08,1.19410e-02,4.1946e-03,4.9090e-05,4.4945e-06,7.3872e-08,,,,,,            5.3586,            3.4942,            8.6444,            6.9157,            7.2760,            2.6922,           -2.4343,           -0.3323,           -0.0842,           -5.2790,
Ref 9,4.36910e-08,,,,,,1.1877e-02,4.1799e-03,4.8668e-05,4.4628e-06,7.3452e-08,,,,,,,,,,,
Sam 9,4.37874e-08,1.19409e-02,4.1945e-03,4.9094e-05,4.4917e-06,7.2951e-08,,,,,,            5.3426,            3.4183,            8.5908,            6.3453,           -4.5074,            2.6778,           -2.5098,           -0.2946,           -0.4995,          -16.7525,
Ref 10,4.29424e-08,,,,,,1.1878e-02,4.1805e-03,4.8683e-05,4.4639e-06,7.3108e-08,,,,,,,,,,,
Sam 10,4.31200e-08,1.19408e-02,4.1946e-03,4.9088e-05,4.4921e-06,7.4304e-08,,,,,,            5.3370,            3.4128,            8.3591,            6.1428,           19.4941,            2.6720,           -2.5153,           -0.5131,           -0.6896,            6.9707,
Ref 11,4.22946e-08,,,,,,1.1877e-02,4.1800e-03,4.8678e-05,4.4653e-06,7.2655e-08,,,,,,,,,,,
Sam 11,4.24267e-08,1.19408e-02,4.1944e-03,4.9090e-05,4.4942e-06,7.4393e-08,,,,,,            5.3521,            3.4629,            8.5568,            6.7635,            8.7585,            2.6863,           -2.4654,           -0.3818,           -0.1731,           -3.7470,
Ref 12,4.16046e-08,,,,,,1.1877e-02,4.1799e-03,4.8668e-05,4.4627e-06,7.4857e-08,,,,,,,,,,,
Sam 12,4.17633e-08,1.19407e-02,4.1944e-03,4.9091e-05,4.4930e-06,7.4885e-08,,,,,,            5.3533,            3.4835,            8.6878,            6.6389,            4.5479,            2.6868,           -2.4450,           -0.2733,           -0.3379,           -7.9466,
Ref 13,4.08937e-08,,,,,,1.1877e-02,4.1799e-03,4.8669e-05,4.4640e-06,7.4230e-08,,,,,,,,,,,
Sam 13,4.11103e-08,1.19406e-02,4.1944e-03,4.9090e-05,4.4920e-06,7.4552e-08,,,,,,            5.3438,            3.4873,            8.6223,            6.4812,           -8.4282,            2.6766,           -2.4411,           -0.3322,           -0.5021,          -20.7588,
Ref 14,4.02343e-08,,,,,,1.1877e-02,4.1798e-03,4.8672e-05,4.4621e-06,7.6158e-08,,,,,,,,,,,
Sam 14,4.04616e-08,1.19405e-02,4.1944e-03,4.9085e-05,4.4936e-06,7.3980e-08,,,,,,            5.3420,            3.4896,            8.6023,            6.8864,          -14.8568,            2.6746,           -2.4388,           -0.3524,           -0.1043,          -27.1100,
Ref 15,3.96391e-08,,,,,,1.1877e-02,4.1798e-03,4.8661e-05,4.4636e-06,7.4017e-08,,,,,,,,,,,
Sam 15,3.98261e-08,1.19404e-02,4.1944e-03,4.9088e-05,4.4903e-06,7.4312e-08,,,,,,            5.3401,            3.4545,            8.6434,            6.3808,            2.5697,            2.6738,           -2.4738,           -0.2754,           -0.5364,           -9.8302,
Ref 16,3.89729e-08,,,,,,1.1877e-02,4.1800e-03,4.8675e-05,4.4601e-06,7.4227e-08,,,,,,,,,,,
Sam 16,3.92148e-08,1.19403e-02,4.1944e-03,4.9080e-05,4.4914e-06,7.4987e-08,,,,,,            5.3353,            3.4348,            8.3933,            6.8581,           11.5368,            2.6694,           -2.4934,           -0.4990,           -0.0231,           -0.9301,
Ref 17,3.83860e-08,,,,,,1.1877e-02,4.1801e-03,4.8668e-05,4.4615e-06,7.4035e-08,,,,,,,,,,,
Sam 17,3.85733e-08,1.19407e-02,4.1950e-03,4.9100e-05,4.4924e-06,7.5006e-08,,,,,,            5.3694,            3.5335,            8.7466,            6.6294,           14.6102,            2.7023,           -2.3953,           -0.2806,           -0.4468,            1.8753,
Ref 18,3.77422e-08,,,,,,1.1877e-02,4.1803e-03,4.8680e-05,4.4642e-06,7.3815e-08,,,,,,,,,,,
Sam 18,3.79927e-08,1.19405e-02,4.1946e-03,4.9092e-05,4.4934e-06,7.3596e-08,,,,,,            5.3446,            3.4554,            8.5705,            6.9318,            8.4751,            2.6786,           -2.4729,           -0.3531,            0.0090,           -4.0043,
Ref 19,3.71793e-08,,,,,,1.1877e-02,4.1800e-03,4.8670e-05,4.4607e-06,7.2128e-08,,,,,,,,,,,
Sam 19,3.74059e-08,1.19403e-02,4.1945e-03,4.9088e-05,4.4925e-06,7.5262e-08,,,,,,            5.3430,            3.4797,            8.6083,            6.7925,           18.9658,            2.6760,           -2.4487,           -0.3378,           -0.1778,            6.3103,
Ref 20,3.66038e-08,,,,,,1.1877e-02,4.1798e-03,4.8668e-05,4.4638e-06,7.5622e-08,,,,,,,,,,,
Sam 20,3.68396e-08,1.19404e-02,4.1945e-03,4.9093e-05,4.4900e-06,7.4211e-08,,,,,,            5.3663,            3.5267,            8.8036,            6.0618,           -5.0617,            2.6992,           -2.4021,           -0.2142,           -0.9969,          -17.5334,
Ref 21,3.60144e-08,,,,,,1.1877e-02,4.1798e-03,4.8661e-05,4.4622e-06,7.3538e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.57194e-08,,,,,,1.1877e-02,4.1797e-03,4.8660e-05,4.4618e-06,7.1927e-08,
Sam 1,3.60293e-08,1.19402e-02,4.1943e-03,4.9087e-05,4.4922e-06,7.5234e-08,,,,,,            5.3498,            3.4903,            8.6759,            7.1329,           30.6621,            2.6829,           -2.4382,           -0.2882,            0.1393,           17.8330,
Ref 2,3.52050e-08,,,,,,1.1877e-02,4.1798e-03,4.8669e-05,4.4589e-06,7.4081e-08,,,,,,,,,,,
Sam 2,3.54897e-08,1.19400e-02,4.1943e-03,4.9089e-05,4.4921e-06,7.4867e-08,,,,,,            5.3405,            3.4820,            8.6809,            7.3389,            8.3821,            2.6733,           -2.4465,           -0.2656,            0.3603,           -4.1437,
Ref 3,3.46690e-08,,,,,,1.1877e-02,4.1798e-03,4.8665e-05,4.4598e-06,7.4411e-08,,,,,,,,,,,
Sam 3,3.49393e-08,1.19401e-02,4.1944e-03,4.9089e-05,4.4921e-06,7.5386e-08,,,,,,            5.3626,            3.5102,            8.7392,            7.0888,           11.3333,            2.6959,           -2.4184,           -0.2581,            0.0557,           -1.3078,
Ref 4,3.41449e-08,,,,,,1.1876e-02,4.1796e-03,4.8662e-05,4.4611e-06,7.4673e-08,,,,,,,,,,,
Sam 4,3.44534e-08,1.19399e-02,4.1943e-03,4.9091e-05,4.4937e-06,7.3958e-08,,,,,,            5.3515,            3.4918,            8.7021,            7.3097,           -6.6626,            2.6847,           -2.4367,           -0.2654,            0.3118,          -19.0317,
Ref 5,3.35943e-08,,,,,,1.1876e-02,4.1797e-03,4.8673e-05,4.4610e-06,7.4231e-08,,,,,,,,,,,
Sam 5,3.39502e-08,1.19398e-02,4.1942e-03,4.9090e-05,4.4912e-06,7.4638e-08,,,,,,            5.3309,            3.3979,            8.5558,            6.6888,            9.6308,            2.6660,           -2.5301,           -0.2974,           -0.1178,           -2.7361,
Ref 6,3.31168e-08,,,,,,1.1877e-02,4.1802e-03,4.8675e-05,4.4618e-06,7.3617e-08,,,,,,,,,,,
Sam 6,3.34578e-08,1.19399e-02,4.1943e-03,4.9092e-05,4.4895e-06,7.6768e-08,,,,,,            5.3453,            3.4350,            8.6604,            6.3848,           32.8167,            2.6801,           -2.4932,           -0.2448,           -0.4936,           20.0761,
Ref 7,3.26244e-08,,,,,,1.1876e-02,4.1796e-03,4.8665e-05,4.4602e-06,7.5051e-08,,,,,,,,,,,
Sam 7,3.29571e-08,1.19398e-02,4.1943e-03,4.9090e-05,4.4912e-06,7.5465e-08,,,,,,            5.3454,            3.4924,            8.6873,            6.7367,           -0.3015,            2.6781,           -2.4361,           -0.2744,           -0.2584,          -12.7446,
Ref 8,3.21211e-08,,,,,,1.1876e-02,4.1797e-03,4.8669e-05,4.4620e-06,7.5932e-08,,,,,,,,,,,
Sam 8,3.24737e-08,1.19399e-02,4.1944e-03,4.9088e-05,4.4937e-06,7.3759e-08,,,,,,            5.3544,            3.5103,            8.6962,            7.3578,          -15.7047,            2.6872,           -2.4183,           -0.2924,            0.3226,          -27.9996,
Ref 9,3.16393e-08,,,,,,1.1876e-02,4.1797e-03,4.8661e-05,4.4597e-06,7.3923e-08,,,,,,,,,,,
Sam 9,3.20042e-08,1.19398e-02,4.1943e-03,4.9085e-05,4.4873e-06,7.5131e-08,,,,,,            5.3514,            3.5154,            8.7106,            6.3522,            7.4542,            2.6837,           -2.4132,           -0.2800,           -0.6861,           -5.1368,
Ref 10,3.11726e-08,,,,,,1.1876e-02,4.1796e-03,4.8662e-05,4.4583e-06,7.5237e-08,,,,,,,,,,,
Sam 10,3.15335e-08,1.19398e-02,4.1944e-03,4.9096e-05,4.4893e-06,7.3185e-08,,,,,,            5.3602,            3.5386,            8.9343,            6.9285,          -18.9095,            2.6923,           -2.3902,           -0.0901,           -0.1600,          -31.2239,
Ref 11,3.07090e-08,,,,,,1.1876e-02,4.1797e-03,4.8661e-05,4.4586e-06,7.3945e-08,,,,,,,,,,,
Sam 11,3.10773e-08,1.19408e-02,4.1949e-03,4.9095e-05,4.4908e-06,7.3477e-08,,,,,,            5.4263,            3.5299,            8.7834,            6.8537,          -22.0755,            2.7630,           -2.3989,           -0.2989,           -0.2170,          -34.4013,
Ref 12,3.02544e-08,,,,,,1.1877e-02,4.1806e-03,4.8674e-05,4.4620e-06,7.6344e-08,,,,,,,,,,,
Sam 12,3.06492e-08,1.19400e-02,4.1944e-03,4.9094e-05,4.4896e-06,7.5081e-08,,,,,,            5.3591,            3.4138,            8.7308,            6.3451,           -9.9347,            2.6955,           -2.5144,           -0.1683,           -0.4907,          -22.1214,
Ref 13,2.98172e-08,,,,,,1.1876e-02,4.1796e-03,4.8663e-05,4.4606e-06,7.5316e-08,,,,,,,,,,,
Sam 13,3.02236e-08,1.19397e-02,4.1942e-03,4.9087e-05,4.4914e-06,7.4316e-08,,,,,,            5.3592,            3.4876,            8.7168,            7.1414,           -1.8651,            2.6930,           -2.4409,           -0.2547,            0.1529,          -14.2940,
Ref 14,2.93837e-08,,,,,,1.1876e-02,4.1797e-03,4.8662e-05,4.4586e-06,7.3580e-08,,,,,,,,,,,
Sam 14,2.97959e-08,1.19395e-02,4.1942e-03,4.9079e-05,4.4910e-06,7.4542e-08,,,,,,            5.3357,            3.4429,            8.4844,            7.1437,            8.3897,            2.6696,           -2.4853,           -0.4171,            0.2444,           -4.0549,
Ref 15,2.89568e-08,,,,,,1.1876e-02,4.1799e-03,4.8670e-05,4.4598e-06,7.4269e-08,,,,,,,,,,,
Sam 15,2.93772e-08,1.19396e-02,4.1942e-03,4.9085e-05,4.4916e-06,7.6725e-08,,,,,,            5.3440,            3.4660,            8.6235,            6.9813,           31.0213,            2.6776,           -2.4624,           -0.3103,            0.0371,           18.2425,
Ref 16,2.85469e-08,,,,,,1.1876e-02,4.1796e-03,4.8659e-05,4.4611e-06,7.4565e-08,,,,,,,,,,,
Sam 16,2.89608e-08,1.19396e-02,4.1942e-03,4.9080e-05,4.4875e-06,7.3666e-08,,,,,,            5.3614,            3.4917,            8.6017,            6.2281,            1.1562,            2.6952,           -2.4368,           -0.3751,           -0.7622,          -11.3205,
Ref 17,2.81269e-08,,,,,,1.1876e-02,4.1796e-03,4.8664e-05,4.4584e-06,7.2582e-08,,,,,,,,,,,
Sam 17,2.85720e-08,1.19392e-02,4.1940e-03,4.9082e-05,4.4863e-06,7.4619e-08,,,,,,            5.3352,            3.4235,            8.5713,            5.9500,           25.8681,            2.6696,           -2.5046,           -0.3114,           -0.9025,           13.2469,
Ref 18,2.77345e-08,,,,,,1.1876e-02,4.1797e-03,4.8666e-05,4.4612e-06,7.2894e-08,,,,,,,,,,,
Sam 18,2.81671e-08,1.19397e-02,4.1946e-03,4.9088e-05,4.4899e-06,7.4872e-08,,,,,,            5.3750,            3.5764,            8.6788,            6.5945,           18.3988,            2.7068,           -2.3526,           -0.3955,           -0.5670,            5.5258,
Ref 19,2.73427e-08,,,,,,1.1876e-02,4.1795e-03,4.8666e-05,4.4598e-06,7.4154e-08,,,,,,,,,,,
Sam 19,2.77807e-08,1.19395e-02,4.1942e-03,4.9084e-05,4.4863e-06,7.3854e-08,,,,,,            5.3587,            3.5126,            8.6777,            5.8227,           -4.7390,            2.6916,           -2.4160,           -0.3174,           -1.2064,          -17.1797,
Ref 20,2.69529e-08,,,,,,1.1876e-02,4.1795e-03,4.8658e-05,4.4607e-06,7.4258e-08,,,,,,,,,,,
Sam 20,2.74130e-08,1.19394e-02,4.1941e-03,4.9084e-05,4.4891e-06,7.1942e-08,,,,,,            5.3438,            3.4661,            8.7246,            6.7720,          -33.3805,            2.6773,           -2.4623,           -0.2100,           -0.1709,          -45.3611,
Ref 21,2.65860e-08,,,,,,1.1876e-02,4.1796e-03,4.8660e-05,4.4570e-06,7.4597e-08,,,,,,,,,,,


