Nu Stable Isotope Analysis Program
Data Collected on Thursday, October 26, 2023 at 19:49 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, October 26, 2023 at 20:48 with Stable 1.71.5 on PS019

Data File = Data_20697 BD1 ZEBRA 70mB1.txt,Sample Weight = 392,                      Vial Location = 38,                       Initial Sam Beam = 2.4392e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7108e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01918
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.73256e-08,,,,,,1.1879e-02,4.1805e-03,4.8683e-05,4.4628e-06,7.1429e-08,
Sam 1,6.62503e-08,1.19265e-02,4.1998e-03,4.9093e-05,4.5046e-06,7.2840e-08,,,,,,            4.0120,            4.6192,            8.4251,            9.4161,           11.7158,            1.2201,           -1.3119,           -0.2716,            0.1550,           -1.6734,
Ref 2,6.60889e-08,,,,,,1.1879e-02,4.1805e-03,4.8682e-05,4.4623e-06,7.2574e-08,,,,,,,,,,,
Sam 2,6.50367e-08,1.19264e-02,4.1997e-03,4.9088e-05,4.5039e-06,7.3396e-08,,,,,,            3.9937,            4.5931,            8.3863,            9.4117,           10.5425,            1.2015,           -1.3378,           -0.2657,            0.2027,           -2.7608,
Ref 3,6.51564e-08,,,,,,1.1879e-02,4.1805e-03,4.8677e-05,4.4614e-06,7.2688e-08,,,,,,,,,,,
Sam 3,6.39557e-08,1.19265e-02,4.1997e-03,4.9085e-05,4.5032e-06,7.3851e-08,,,,,,            4.0025,            4.5909,            8.3206,            9.1391,           12.9421,            1.2110,           -1.3400,           -0.3379,           -0.0632,           -0.3981,
Ref 4,6.36944e-08,,,,,,1.1879e-02,4.1805e-03,4.8682e-05,4.4635e-06,7.3132e-08,,,,,,,,,,,
Sam 4,6.26677e-08,1.19263e-02,4.1997e-03,4.9084e-05,4.5021e-06,7.3058e-08,,,,,,            3.9963,            4.5974,            8.2729,            8.8118,            3.4159,            1.2042,           -1.3335,           -0.3852,           -0.4005,           -9.8049,
Ref 5,6.24008e-08,,,,,,1.1879e-02,4.1804e-03,4.8680e-05,4.4620e-06,7.2479e-08,,,,,,,,,,,
Sam 5,6.14496e-08,1.19262e-02,4.1996e-03,4.9083e-05,4.5021e-06,7.3272e-08,,,,,,            3.9887,            4.5953,            8.2630,            8.8014,            5.3636,            1.1961,           -1.3356,           -0.3851,           -0.4065,           -7.8707,
Ref 6,6.11894e-08,,,,,,1.1879e-02,4.1804e-03,4.8681e-05,4.4636e-06,7.3291e-08,,,,,,,,,,,
Sam 6,6.03128e-08,1.19261e-02,4.1996e-03,4.9083e-05,4.5027e-06,7.3743e-08,,,,,,            3.9872,            4.5884,            8.2864,            8.6881,           12.8821,            1.1947,           -1.3424,           -0.3535,           -0.5051,           -0.4362,
Ref 7,6.00249e-08,,,,,,1.1879e-02,4.1804e-03,4.8678e-05,4.4642e-06,7.2309e-08,,,,,,,,,,,
Sam 7,5.91738e-08,1.19261e-02,4.1996e-03,4.9088e-05,4.5039e-06,7.3742e-08,,,,,,            3.9865,            4.5699,            8.3759,            8.7462,           17.9891,            1.1947,           -1.3609,           -0.2459,           -0.4106,            4.6410,
Ref 8,5.88792e-08,,,,,,1.1879e-02,4.1806e-03,4.8684e-05,4.4655e-06,7.2571e-08,,,,,,,,,,,
Sam 8,5.80765e-08,1.19260e-02,4.1995e-03,4.9081e-05,4.5024e-06,7.3775e-08,,,,,,            3.9941,            4.5642,            8.2372,            8.4911,           14.3687,            1.2029,           -1.3665,           -0.3857,           -0.6522,            1.0711,
Ref 9,5.77724e-08,,,,,,1.1878e-02,4.1803e-03,4.8676e-05,4.4634e-06,7.2891e-08,,,,,,,,,,,
Sam 9,5.70114e-08,1.19260e-02,4.1995e-03,4.9092e-05,4.5028e-06,7.3942e-08,,,,,,            3.9979,            4.5959,            8.5303,            9.1326,           18.4768,            1.2058,           -1.3350,           -0.1300,           -0.0795,            5.0589,
Ref 10,5.66675e-08,,,,,,1.1878e-02,4.1803e-03,4.8677e-05,4.4606e-06,7.2305e-08,,,,,,,,,,,
Sam 10,5.60107e-08,1.19258e-02,4.1994e-03,4.9082e-05,4.5028e-06,7.2524e-08,,,,,,            3.9890,            4.5764,            8.3255,            9.4167,           -0.1639,            1.1971,           -1.3544,           -0.3049,            0.2408,          -13.2892,
Ref 11,5.56536e-08,,,,,,1.1878e-02,4.1803e-03,4.8677e-05,4.4609e-06,7.2771e-08,,,,,,,,,,,
Sam 11,5.49805e-08,1.19257e-02,4.1994e-03,4.9078e-05,4.5027e-06,7.4842e-08,,,,,,            3.9905,            4.5838,            8.2974,            9.3303,           28.9266,            1.1984,           -1.3470,           -0.3415,            0.1404,           15.4030,
Ref 12,5.46267e-08,,,,,,1.1878e-02,4.1803e-03,4.8672e-05,4.4613e-06,7.2705e-08,,,,,,,,,,,
Sam 12,5.39596e-08,1.19257e-02,4.1994e-03,4.9083e-05,4.5032e-06,7.4472e-08,,,,,,            3.9983,            4.5799,            8.3642,            9.2497,           24.6615,            1.2068,           -1.3509,           -0.2795,            0.0683,           11.1933,
Ref 13,5.36019e-08,,,,,,1.1878e-02,4.1802e-03,4.8681e-05,4.4626e-06,7.2654e-08,,,,,,,,,,,
Sam 13,5.29865e-08,1.19256e-02,4.1996e-03,4.9087e-05,4.5023e-06,7.4277e-08,,,,,,            4.0017,            4.6499,            8.4337,            8.8190,           18.4713,            1.2080,           -1.2812,           -0.2826,           -0.4979,            4.9431,
Ref 14,5.26687e-08,,,,,,1.1878e-02,4.1802e-03,4.8673e-05,4.4633e-06,7.3211e-08,,,,,,,,,,,
Sam 14,5.20608e-08,1.19255e-02,4.1994e-03,4.9081e-05,4.5026e-06,7.3819e-08,,,,,,            3.9937,            4.5726,            8.2928,            8.9497,           11.0798,            1.2022,           -1.3581,           -0.3384,           -0.2145,           -2.1907,
Ref 15,5.17372e-08,,,,,,1.1878e-02,4.1803e-03,4.8683e-05,4.4621e-06,7.2805e-08,,,,,,,,,,,
Sam 15,5.11452e-08,1.19255e-02,4.1993e-03,4.9084e-05,4.5016e-06,7.4305e-08,,,,,,            3.9953,            4.5603,            8.3283,            8.8686,           19.0829,            1.2044,           -1.3704,           -0.2929,           -0.2702,            5.7299,
Ref 16,5.08229e-08,,,,,,1.1878e-02,4.1802e-03,4.8675e-05,4.4621e-06,7.3024e-08,,,,,,,,,,,
Sam 16,5.02327e-08,1.19254e-02,4.1993e-03,4.9082e-05,4.5021e-06,7.3127e-08,,,,,,            4.0030,            4.5914,            8.3420,            8.9923,           -3.4478,            1.2115,           -1.3395,           -0.3176,           -0.2096,          -16.5735,
Ref 17,4.99711e-08,,,,,,1.1878e-02,4.1801e-03,4.8676e-05,4.4618e-06,7.3743e-08,,,,,,,,,,,
Sam 17,4.94114e-08,1.19255e-02,4.2000e-03,4.9095e-05,4.5067e-06,7.3405e-08,,,,,,            4.0169,            4.7426,            8.6130,            9.9575,           -0.5999,            1.2210,           -1.1891,           -0.2112,            0.4456,          -14.0695,
Ref 18,4.90431e-08,,,,,,1.1878e-02,4.1802e-03,4.8675e-05,4.4627e-06,7.3151e-08,,,,,,,,,,,
Sam 18,4.85379e-08,1.19252e-02,4.1993e-03,4.9082e-05,4.5018e-06,7.3352e-08,,,,,,            3.9915,            4.5898,            8.3816,            8.8827,           -3.1245,            1.1993,           -1.3410,           -0.2650,           -0.3151,          -16.2395,
Ref 19,4.81862e-08,,,,,,1.1878e-02,4.1801e-03,4.8673e-05,4.4615e-06,7.4021e-08,,,,,,,,,,,
Sam 19,4.77706e-08,1.19251e-02,4.1992e-03,4.9082e-05,4.5030e-06,7.3089e-08,,,,,,            3.9896,            4.5663,            8.4398,            9.1552,          -14.9411,            1.1981,           -1.3645,           -0.1823,            0.0018,          -27.8538,
Ref 20,4.73589e-08,,,,,,1.1878e-02,4.1801e-03,4.8669e-05,4.4628e-06,7.4378e-08,,,,,,,,,,,
Sam 20,4.69645e-08,1.19250e-02,4.1992e-03,4.9078e-05,4.5036e-06,7.4481e-08,,,,,,            3.9959,            4.5849,            8.3731,            9.2435,           12.5741,            1.2041,           -1.3460,           -0.2731,            0.0523,           -0.7423,
Ref 21,4.65502e-08,,,,,,1.1878e-02,4.1800e-03,4.8673e-05,4.4619e-06,7.2720e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.61536e-08,,,,,,1.1878e-02,4.1800e-03,4.8674e-05,4.4610e-06,7.1307e-08,
Sam 1,4.57533e-08,1.19250e-02,4.1991e-03,4.9086e-05,4.5010e-06,7.3584e-08,,,,,,            4.0022,            4.5867,            8.5214,            8.9798,           19.7334,            1.2107,           -1.3442,           -0.1342,           -0.2125,            6.3126,
Ref 2,4.53349e-08,,,,,,1.1877e-02,4.1799e-03,4.8668e-05,4.4610e-06,7.3029e-08,,,,,,,,,,,
Sam 2,4.49930e-08,1.19249e-02,4.1992e-03,4.9078e-05,4.5014e-06,7.3234e-08,,,,,,            4.0002,            4.6032,            8.3604,            9.0231,            1.2433,            1.2081,           -1.3277,           -0.3081,           -0.2027,          -11.9641,
Ref 3,4.45650e-08,,,,,,1.1877e-02,4.1800e-03,4.8674e-05,4.4613e-06,7.3259e-08,,,,,,,,,,,
Sam 3,4.42489e-08,1.19248e-02,4.1992e-03,4.9078e-05,4.5019e-06,7.4219e-08,,,,,,            3.9931,            4.5952,            8.3634,            9.3006,           20.0545,            1.2008,           -1.3356,           -0.2900,            0.0882,            6.6222,
Ref 4,4.38152e-08,,,,,,1.1877e-02,4.1800e-03,4.8667e-05,4.4594e-06,7.2252e-08,,,,,,,,,,,
Sam 4,4.35253e-08,1.19248e-02,4.1991e-03,4.9074e-05,4.5003e-06,7.4019e-08,,,,,,            3.9987,            4.5823,            8.3086,            8.8423,           12.9693,            1.2072,           -1.3485,           -0.3374,           -0.3401,           -0.3503,
Ref 5,4.30798e-08,,,,,,1.1877e-02,4.1799e-03,4.8673e-05,4.4624e-06,7.3904e-08,,,,,,,,,,,
Sam 5,4.28544e-08,1.19247e-02,4.1992e-03,4.9083e-05,4.5008e-06,7.3534e-08,,,,,,            3.9954,            4.5950,            8.4520,            8.6458,           -2.9842,            1.2032,           -1.3359,           -0.2042,           -0.5601,          -16.1150,
Ref 6,4.24146e-08,,,,,,1.1877e-02,4.1800e-03,4.8671e-05,4.4621e-06,7.3601e-08,,,,,,,,,,,
Sam 6,4.21707e-08,1.19247e-02,4.1991e-03,4.9079e-05,4.4993e-06,7.5239e-08,,,,,,            3.9928,            4.5951,            8.3397,            8.4964,           23.7256,            1.2005,           -1.3358,           -0.3130,           -0.7084,           10.2455,
Ref 7,4.16896e-08,,,,,,1.1877e-02,4.1799e-03,4.8675e-05,4.4606e-06,7.3388e-08,,,,,,,,,,,
Sam 7,4.14998e-08,1.19246e-02,4.1991e-03,4.9079e-05,4.5002e-06,7.4344e-08,,,,,,            3.9945,            4.5978,            8.4027,            8.9204,           11.6060,            1.2021,           -1.3331,           -0.2550,           -0.2936,           -1.7215,
Ref 8,4.10032e-08,,,,,,1.1877e-02,4.1799e-03,4.8666e-05,4.4603e-06,7.3596e-08,,,,,,,,,,,
Sam 8,4.08333e-08,1.19245e-02,4.1990e-03,4.9080e-05,4.5003e-06,7.4257e-08,,,,,,            3.9945,            4.5866,            8.4699,            8.7423,           11.4554,            1.2025,           -1.3443,           -0.1773,           -0.4478,           -1.8481,
Ref 9,4.03664e-08,,,,,,1.1877e-02,4.1798e-03,4.8670e-05,4.4623e-06,7.3233e-08,,,,,,,,,,,
Sam 9,4.01627e-08,1.19244e-02,4.1990e-03,4.9079e-05,4.5007e-06,7.3462e-08,,,,,,            3.9873,            4.5938,            8.4069,            8.8145,           -8.1509,            1.1947,           -1.3370,           -0.2395,           -0.3907,          -21.2031,
Ref 10,3.97002e-08,,,,,,1.1877e-02,4.1798e-03,4.8671e-05,4.4605e-06,7.4912e-08,,,,,,,,,,,
Sam 10,3.95427e-08,1.19244e-02,4.1990e-03,4.9078e-05,4.5009e-06,7.3655e-08,,,,,,            3.9936,            4.5843,            8.3330,            9.0404,          -10.5439,            1.2016,           -1.3466,           -0.3098,           -0.1477,          -23.5527,
Ref 11,3.90702e-08,,,,,,1.1877e-02,4.1799e-03,4.8674e-05,4.4606e-06,7.3960e-08,,,,,,,,,,,
Sam 11,3.89262e-08,1.19244e-02,4.1990e-03,4.9076e-05,4.5005e-06,7.3995e-08,,,,,,            4.0087,            4.5835,            8.3169,            9.0670,            3.0909,            1.2178,           -1.3473,           -0.3406,           -0.1199,          -10.1116,
Ref 12,3.84581e-08,,,,,,1.1877e-02,4.1798e-03,4.8668e-05,4.4594e-06,7.3570e-08,,,,,,,,,,,
Sam 12,3.83372e-08,1.19245e-02,4.1990e-03,4.9072e-05,4.5001e-06,7.3667e-08,,,,,,            4.0141,            4.5898,            8.3022,            9.3215,            1.3770,            1.2233,           -1.3411,           -0.3668,            0.1197,          -11.8208,
Ref 13,3.78527e-08,,,,,,1.1877e-02,4.1799e-03,4.8668e-05,4.4576e-06,7.3561e-08,,,,,,,,,,,
Sam 13,3.77224e-08,1.19243e-02,4.1990e-03,4.9077e-05,4.4985e-06,7.3763e-08,,,,,,            4.0010,            4.5870,            8.3900,            8.8379,            6.4926,            1.2095,           -1.3439,           -0.2637,           -0.3539,           -6.7534,
Ref 14,3.72523e-08,,,,,,1.1877e-02,4.1798e-03,4.8669e-05,4.4605e-06,7.3009e-08,,,,,,,,,,,
Sam 14,3.71315e-08,1.19242e-02,4.1990e-03,4.9071e-05,4.5013e-06,7.4297e-08,,,,,,            4.0017,            4.5812,            8.3041,            9.0914,           15.5167,            1.2105,           -1.3496,           -0.3439,           -0.0912,            2.1626,
Ref 15,3.66648e-08,,,,,,1.1877e-02,4.1798e-03,4.8664e-05,4.4610e-06,7.3316e-08,,,,,,,,,,,
Sam 15,3.65811e-08,1.19242e-02,4.1990e-03,4.9074e-05,4.5012e-06,7.3894e-08,,,,,,            4.0006,            4.5861,            8.4231,            9.0273,            2.8295,            1.2090,           -1.3447,           -0.2295,           -0.1645,          -10.3661,
Ref 16,3.60856e-08,,,,,,1.1877e-02,4.1798e-03,4.8664e-05,4.4609e-06,7.4062e-08,,,,,,,,,,,
Sam 16,3.60597e-08,1.19241e-02,4.1989e-03,4.9077e-05,4.5000e-06,7.2022e-08,,,,,,            3.9959,            4.5820,            8.4181,            8.8532,          -28.5791,            1.2043,           -1.3489,           -0.2256,           -0.3287,          -41.3488,
Ref 17,3.55308e-08,,,,,,1.1877e-02,4.1798e-03,4.8670e-05,4.4601e-06,7.4222e-08,,,,,,,,,,,
Sam 17,3.55048e-08,1.19240e-02,4.1989e-03,4.9073e-05,4.5025e-06,7.4341e-08,,,,,,            3.9863,            4.5419,            8.2919,            9.5948,           12.2208,            1.1953,           -1.3887,           -0.3016,            0.4858,           -0.9968,
Ref 18,3.49905e-08,,,,,,1.1877e-02,4.1801e-03,4.8668e-05,4.4594e-06,7.2654e-08,,,,,,,,,,,
Sam 18,3.49105e-08,1.19254e-02,4.1999e-03,4.9088e-05,4.5002e-06,7.2616e-08,,,,,,            4.1063,            4.7705,            8.6419,            9.3326,          -22.0345,            1.3152,           -1.1615,           -0.3018,           -0.2290,          -35.3594,
Ref 19,3.44672e-08,,,,,,1.1876e-02,4.1798e-03,4.8666e-05,4.4577e-06,7.5874e-08,,,,,,,,,,,
Sam 19,3.44745e-08,1.19240e-02,4.1989e-03,4.9069e-05,4.4996e-06,7.3866e-08,,,,,,            3.9948,            4.5234,            8.1170,            9.0722,          -11.5246,            1.2051,           -1.4072,           -0.4656,            0.0049,          -24.4054,
Ref 20,3.39265e-08,,,,,,1.1877e-02,4.1802e-03,4.8682e-05,4.4606e-06,7.3562e-08,,,,,,,,,,,
Sam 20,3.39214e-08,1.19240e-02,4.1989e-03,4.9073e-05,4.4982e-06,7.3289e-08,,,,,,            3.9994,            4.5155,            8.1817,            8.4060,           -9.7199,            1.2103,           -1.4151,           -0.3984,           -0.6395,          -22.6139,
Ref 21,3.34285e-08,,,,,,1.1876e-02,4.1798e-03,4.8667e-05,4.4607e-06,7.4460e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.31772e-08,,,,,,1.1876e-02,4.1797e-03,4.8663e-05,4.4614e-06,7.2114e-08,
Sam 1,3.32044e-08,1.19238e-02,4.1988e-03,4.9078e-05,4.4999e-06,7.4085e-08,,,,,,            3.9923,            4.5775,            8.5047,            8.9059,           13.2691,            1.2005,           -1.3533,           -0.1317,           -0.2676,           -0.0382,
Ref 2,3.26772e-08,,,,,,1.1876e-02,4.1797e-03,4.8665e-05,4.4589e-06,7.4131e-08,,,,,,,,,,,
Sam 2,3.27181e-08,1.19239e-02,4.1988e-03,4.9073e-05,4.4967e-06,7.3590e-08,,,,,,            3.9979,            4.5788,            8.3464,            8.6039,           -4.6058,            1.2064,           -1.3520,           -0.2957,           -0.5695,          -17.6867,
Ref 3,3.21939e-08,,,,,,1.1876e-02,4.1797e-03,4.8668e-05,4.4578e-06,7.3727e-08,,,,,,,,,,,
Sam 3,3.22122e-08,1.19239e-02,4.1989e-03,4.9076e-05,4.4993e-06,7.4996e-08,,,,,,            4.0065,            4.5920,            8.3365,            9.6478,           16.7708,            1.2152,           -1.3389,           -0.3272,            0.4387,            3.3739,
Ref 4,3.16891e-08,,,,,,1.1876e-02,4.1798e-03,4.8673e-05,4.4547e-06,7.3790e-08,,,,,,,,,,,
Sam 4,3.17608e-08,1.19238e-02,4.1989e-03,4.9080e-05,4.4996e-06,7.3596e-08,,,,,,            4.0039,            4.5805,            8.4583,            9.6651,          -10.5426,            1.2128,           -1.3503,           -0.1925,            0.4787,          -23.5549,
Ref 5,3.12181e-08,,,,,,1.1876e-02,4.1797e-03,4.8664e-05,4.4582e-06,7.4978e-08,,,,,,,,,,,
Sam 5,3.12895e-08,1.19239e-02,4.1991e-03,4.9079e-05,4.5008e-06,7.2556e-08,,,,,,            4.0052,            4.6321,            8.5733,            9.6005,          -13.8012,            1.2124,           -1.2990,           -0.1305,            0.3119,          -26.8704,
Ref 6,3.07523e-08,,,,,,1.1876e-02,4.1797e-03,4.8660e-05,4.4578e-06,7.2142e-08,,,,,,,,,,,
Sam 6,3.08654e-08,1.19238e-02,4.1988e-03,4.9075e-05,4.4986e-06,7.3199e-08,,,,,,            3.9957,            4.5665,            8.4046,            9.1011,            4.1193,            1.2046,           -1.3643,           -0.2236,           -0.0522,           -9.0500,
Ref 7,3.03105e-08,,,,,,1.1876e-02,4.1796e-03,4.8671e-05,4.4583e-06,7.3666e-08,,,,,,,,,,,
Sam 7,3.04193e-08,1.19236e-02,4.1987e-03,4.9080e-05,4.4992e-06,7.2562e-08,,,,,,            3.9865,            4.5739,            8.4265,            9.3320,           -9.8678,            1.1945,           -1.3569,           -0.1998,            0.1618,          -22.8584,
Ref 8,2.98619e-08,,,,,,1.1876e-02,4.1796e-03,4.8669e-05,4.4569e-06,7.2898e-08,,,,,,,,,,,
Sam 8,2.99917e-08,1.19235e-02,4.1987e-03,4.9070e-05,4.5007e-06,7.4491e-08,,,,,,            3.9941,            4.5761,            8.3183,            9.8245,           10.3405,            1.2025,           -1.3547,           -0.3169,            0.6455,           -2.9274,
Ref 9,2.94345e-08,,,,,,1.1876e-02,4.1796e-03,4.8661e-05,4.4569e-06,7.4570e-08,,,,,,,,,,,
Sam 9,2.95773e-08,1.19234e-02,4.1987e-03,4.9071e-05,4.4967e-06,7.4428e-08,,,,,,            3.9880,            4.5760,            8.3615,            9.0631,           -2.7042,            1.1960,           -1.3548,           -0.2677,           -0.1088,          -15.7943,
Ref 10,2.90139e-08,,,,,,1.1876e-02,4.1796e-03,4.8667e-05,4.4557e-06,7.4690e-08,,,,,,,,,,,
Sam 10,2.91537e-08,1.19234e-02,4.1987e-03,4.9071e-05,4.4957e-06,7.4270e-08,,,,,,            3.9914,            4.5661,            8.3177,            8.7617,           14.1490,            1.2000,           -1.3647,           -0.3049,           -0.3877,            0.8535,
Ref 11,2.85828e-08,,,,,,1.1876e-02,4.1796e-03,4.8666e-05,4.4576e-06,7.1756e-08,,,,,,,,,,,
Sam 11,2.87464e-08,1.19235e-02,4.1988e-03,4.9070e-05,4.4976e-06,7.2063e-08,,,,,,            4.0076,            4.5906,            8.2535,            9.0914,           -7.1463,            1.2164,           -1.3403,           -0.4093,           -0.1098,          -20.2265,
Ref 12,2.81691e-08,,,,,,1.1876e-02,4.1796e-03,4.8670e-05,4.4565e-06,7.3419e-08,,,,,,,,,,,
Sam 12,2.83298e-08,1.19235e-02,4.1988e-03,4.9070e-05,4.4979e-06,7.3142e-08,,,,,,            4.0052,            4.5967,            8.2728,            9.1933,          -12.6100,            1.2136,           -1.3342,           -0.3936,           -0.0210,          -25.6273,
Ref 13,2.77518e-08,,,,,,1.1876e-02,4.1797e-03,4.8665e-05,4.4573e-06,7.4743e-08,,,,,,,,,,,
Sam 13,2.79463e-08,1.19233e-02,4.1988e-03,4.9081e-05,4.4998e-06,7.4242e-08,,,,,,            3.9988,            4.5839,            8.5415,            9.4563,           -7.8571,            1.2072,           -1.3469,           -0.1081,            0.2650,          -20.9061,
Ref 14,2.73575e-08,,,,,,1.1876e-02,4.1795e-03,4.8667e-05,4.4580e-06,7.4918e-08,,,,,,,,,,,
Sam 14,2.75476e-08,1.19234e-02,4.1987e-03,4.9065e-05,4.4988e-06,7.2226e-08,,,,,,            4.0111,            4.5884,            8.2341,            9.0811,          -24.8101,            1.2202,           -1.3425,           -0.4299,           -0.1156,          -37.6569,
Ref 15,2.69720e-08,,,,,,1.1876e-02,4.1796e-03,4.8661e-05,4.4587e-06,7.3198e-08,,,,,,,,,,,
Sam 15,2.71747e-08,1.19234e-02,4.1987e-03,4.9069e-05,4.4963e-06,7.1290e-08,,,,,,            4.0011,            4.5807,            8.4094,            8.6351,          -12.4423,            1.2098,           -1.3502,           -0.2382,           -0.5422,          -25.4270,
Ref 16,2.66021e-08,,,,,,1.1876e-02,4.1796e-03,4.8659e-05,4.4568e-06,7.1164e-08,,,,,,,,,,,
Sam 16,2.68236e-08,1.19234e-02,4.1987e-03,4.9070e-05,4.4953e-06,7.0116e-08,,,,,,            4.0034,            4.5816,            8.4225,            8.8858,          -14.8216,            1.2122,           -1.3492,           -0.2286,           -0.2956,          -27.7792,
Ref 17,2.62374e-08,,,,,,1.1876e-02,4.1796e-03,4.8661e-05,4.4547e-06,7.1178e-08,,,,,,,,,,,
Sam 17,2.64542e-08,1.19233e-02,4.1986e-03,4.9079e-05,4.4982e-06,7.3657e-08,,,,,,            4.0010,            4.5674,            8.6471,            9.6518,           23.6942,            1.2102,           -1.3634,            0.0105,            0.4917,           10.2607,
Ref 18,2.58669e-08,,,,,,1.1876e-02,4.1796e-03,4.8656e-05,4.4558e-06,7.2737e-08,,,,,,,,,,,
Sam 18,2.60897e-08,1.19233e-02,4.1987e-03,4.9071e-05,4.4967e-06,7.5070e-08,,,,,,            4.0029,            4.5971,            8.5631,            9.4432,           21.4776,            1.2112,           -1.3338,           -0.1040,            0.2258,            8.0124,
Ref 19,2.55110e-08,,,,,,1.1876e-02,4.1794e-03,4.8654e-05,4.4535e-06,7.4256e-08,,,,,,,,,,,
Sam 19,2.57395e-08,1.19232e-02,4.1987e-03,4.9067e-05,4.4950e-06,7.4521e-08,,,,,,            3.9948,            4.5955,            8.3818,            9.1282,           14.7743,            1.2026,           -1.3354,           -0.2737,           -0.0831,            1.4093,
Ref 20,2.51434e-08,,,,,,1.1876e-02,4.1795e-03,4.8664e-05,4.4553e-06,7.2604e-08,,,,,,,,,,,
Sam 20,2.53908e-08,1.19232e-02,4.1987e-03,4.9075e-05,4.4933e-06,7.0594e-08,,,,,,            3.9950,            4.5820,            8.4068,            8.3607,          -26.3758,            1.2032,           -1.3489,           -0.2358,           -0.8166,          -39.1735,
Ref 21,2.47970e-08,,,,,,1.1876e-02,4.1796e-03,4.8667e-05,4.4568e-06,7.2407e-08,,,,,,,,,,,


