Nu Stable Isotope Analysis Program
Data Collected on Thursday, October 26, 2023 at 21:10 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, October 26, 2023 at 22:09 with Stable 1.71.5 on PS019

Data File = Data_20698 ETH-02.txt,        Sample Weight = 413,                      Vial Location = 39,                       Initial Sam Beam = 2.5030e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6203e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01918
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.78166e-08,,,,,,1.1880e-02,4.1806e-03,4.8682e-05,4.4633e-06,7.2508e-08,
Sam 1,7.69452e-08,1.17935e-02,4.1582e-03,4.8037e-05,4.4156e-06,7.0872e-08,,,,,,           -7.2477,           -5.3624,          -13.3132,          -10.8174,          -21.1661,          -10.4171,          -11.2206,           -0.6143,           -0.1228,           -3.0765,
Ref 2,7.61975e-08,,,,,,1.1880e-02,4.1807e-03,4.8689e-05,4.4645e-06,7.2300e-08,,,,,,,,,,,
Sam 2,7.53685e-08,1.17935e-02,4.1581e-03,4.8041e-05,4.4160e-06,7.2189e-08,,,,,,           -7.2510,           -5.3988,          -13.3099,          -10.9251,           -5.6768,          -10.4193,          -11.2569,           -0.5715,           -0.1584,           12.7758,
Ref 3,7.46147e-08,,,,,,1.1880e-02,4.1807e-03,4.8688e-05,4.4649e-06,7.2909e-08,,,,,,,,,,,
Sam 3,7.38311e-08,1.17931e-02,4.1580e-03,4.8034e-05,4.4145e-06,7.1084e-08,,,,,,           -7.2820,           -5.4201,          -13.3862,          -11.4561,          -24.2195,          -10.4516,          -11.2780,           -0.5954,           -0.6523,           -6.0362,
Ref 4,7.30770e-08,,,,,,1.1880e-02,4.1807e-03,4.8683e-05,4.4665e-06,7.2786e-08,,,,,,,,,,,
Sam 4,7.27118e-08,1.17935e-02,4.1581e-03,4.8039e-05,4.4162e-06,7.2328e-08,,,,,,           -7.2485,           -5.3906,          -13.2178,          -11.1375,           -5.6398,          -10.4169,          -11.2487,           -0.4889,           -0.3895,           12.7942,
Ref 5,7.17845e-08,,,,,,1.1880e-02,4.1807e-03,4.8682e-05,4.4653e-06,7.2689e-08,,,,,,,,,,,
Sam 5,7.10662e-08,1.17933e-02,4.1581e-03,4.8036e-05,4.4161e-06,7.2317e-08,,,,,,           -7.2530,           -5.3935,          -13.3031,          -11.0847,           -7.5115,          -10.4217,          -11.2515,           -0.5677,           -0.3305,           10.8984,
Ref 6,7.03012e-08,,,,,,1.1879e-02,4.1806e-03,4.8685e-05,4.4658e-06,7.3043e-08,,,,,,,,,,,
Sam 6,6.95841e-08,1.17935e-02,4.1583e-03,4.8043e-05,4.4145e-06,7.0925e-08,,,,,,           -7.2161,           -5.3358,          -13.1614,          -11.2892,          -27.6008,          -10.3844,          -11.1942,           -0.5195,           -0.6530,           -9.7156,
Ref 7,6.88871e-08,,,,,,1.1879e-02,4.1806e-03,4.8682e-05,4.4640e-06,7.2832e-08,,,,,,,,,,,
Sam 7,6.82675e-08,1.17931e-02,4.1580e-03,4.8032e-05,4.4173e-06,7.2605e-08,,,,,,           -7.2410,           -5.3916,          -13.3773,          -10.5677,           -7.9616,          -10.4089,          -11.2496,           -0.6573,            0.1884,           10.4231,
Ref 8,6.75162e-08,,,,,,1.1879e-02,4.1805e-03,4.8683e-05,4.4649e-06,7.3550e-08,,,,,,,,,,,
Sam 8,6.69249e-08,1.17931e-02,4.1582e-03,4.8036e-05,4.4180e-06,7.2445e-08,,,,,,           -7.2513,           -5.3571,          -13.3065,          -10.3424,          -13.1951,          -10.4211,          -11.2153,           -0.6090,            0.3467,            5.0352,
Ref 9,6.61700e-08,,,,,,1.1879e-02,4.1806e-03,4.8684e-05,4.4633e-06,7.3274e-08,,,,,,,,,,,
Sam 9,6.55941e-08,1.17931e-02,4.1582e-03,4.8039e-05,4.4166e-06,7.3369e-08,,,,,,           -7.2466,           -5.3436,          -13.2252,          -10.5233,            2.9195,          -10.4166,          -11.2019,           -0.5449,            0.1367,           21.4151,
Ref 10,6.48366e-08,,,,,,1.1879e-02,4.1805e-03,4.8681e-05,4.4638e-06,7.3035e-08,,,,,,,,,,,
Sam 10,6.43519e-08,1.17929e-02,4.1579e-03,4.8036e-05,4.4170e-06,7.2871e-08,,,,,,           -7.2518,           -5.4015,          -13.2535,          -10.4786,           -1.9974,          -10.4200,          -11.2596,           -0.5109,            0.2985,           16.5297,
Ref 11,6.35857e-08,,,,,,1.1879e-02,4.1804e-03,4.8681e-05,4.4639e-06,7.2998e-08,,,,,,,,,,,
Sam 11,6.30989e-08,1.17928e-02,4.1579e-03,4.8032e-05,4.4155e-06,7.2774e-08,,,,,,           -7.2539,           -5.3933,          -13.3288,          -10.8933,           -3.6384,          -10.4226,          -11.2513,           -0.5930,           -0.1373,           14.8440,
Ref 12,6.23390e-08,,,,,,1.1879e-02,4.1804e-03,4.8681e-05,4.4644e-06,7.3081e-08,,,,,,,,,,,
Sam 12,6.19029e-08,1.17926e-02,4.1578e-03,4.8032e-05,4.4161e-06,7.1791e-08,,,,,,           -7.2512,           -5.3905,          -13.2563,          -10.8030,          -15.4510,          -10.4198,          -11.2486,           -0.5251,           -0.0515,            2.8039,
Ref 13,6.11380e-08,,,,,,1.1879e-02,4.1803e-03,4.8674e-05,4.4643e-06,7.2751e-08,,,,,,,,,,,
Sam 13,6.06873e-08,1.17924e-02,4.1578e-03,4.8033e-05,4.4171e-06,7.2943e-08,,,,,,           -7.2566,           -5.3892,          -13.2038,          -10.4123,            2.3304,          -10.4257,          -11.2472,           -0.4677,            0.3407,           20.9182,
Ref 14,5.99421e-08,,,,,,1.1879e-02,4.1803e-03,4.8678e-05,4.4629e-06,7.2797e-08,,,,,,,,,,,
Sam 14,5.95693e-08,1.17922e-02,4.1577e-03,4.8027e-05,4.4156e-06,7.2529e-08,,,,,,           -7.2595,           -5.3999,          -13.3516,          -10.5860,           -8.9840,          -10.4283,          -11.2579,           -0.6038,            0.1866,            9.4184,
Ref 15,5.87541e-08,,,,,,1.1878e-02,4.1802e-03,4.8675e-05,4.4627e-06,7.3584e-08,,,,,,,,,,,
Sam 15,5.83714e-08,1.17924e-02,4.1579e-03,4.8033e-05,4.4147e-06,7.2682e-08,,,,,,           -7.2338,           -5.4044,          -13.3677,          -10.9276,           -9.5925,          -10.4009,          -11.2624,           -0.6423,           -0.1497,            8.7798,
Ref 16,5.76389e-08,,,,,,1.1879e-02,4.1808e-03,4.8692e-05,4.4642e-06,7.3184e-08,,,,,,,,,,,
Sam 16,5.73458e-08,1.17920e-02,4.1577e-03,4.8025e-05,4.4147e-06,7.2438e-08,,,,,,           -7.2819,           -5.4531,          -13.5805,          -11.2198,          -18.6691,          -10.4503,          -11.3108,           -0.7600,           -0.3472,           -0.3174,
Ref 17,5.65829e-08,,,,,,1.1878e-02,4.1802e-03,4.8680e-05,4.4654e-06,7.4461e-08,,,,,,,,,,,
Sam 17,5.63603e-08,1.17922e-02,4.1577e-03,4.8032e-05,4.4160e-06,7.3140e-08,,,,,,           -7.2494,           -5.3715,          -13.2520,          -10.9739,           -7.8516,          -10.4185,          -11.2296,           -0.5416,           -0.2627,           10.5041,
Ref 18,5.56092e-08,,,,,,1.1878e-02,4.1801e-03,4.8674e-05,4.4646e-06,7.2964e-08,,,,,,,,,,,
Sam 18,5.53189e-08,1.17923e-02,4.1580e-03,4.8036e-05,4.4154e-06,7.3014e-08,,,,,,           -7.2327,           -5.2895,          -13.1426,          -10.9627,          -11.6553,          -10.4036,          -11.1481,           -0.5291,           -0.4160,            6.4489,
Ref 19,5.46201e-08,,,,,,1.1878e-02,4.1801e-03,4.8678e-05,4.4642e-06,7.4803e-08,,,,,,,,,,,
Sam 19,5.43398e-08,1.17915e-02,4.1574e-03,4.8025e-05,4.4144e-06,7.2852e-08,,,,,,           -7.3013,           -5.4991,          -13.4392,          -11.0582,          -20.5792,          -10.4693,          -11.3565,           -0.5511,           -0.0913,           -2.1517,
Ref 20,5.35226e-08,,,,,,1.1878e-02,4.1807e-03,4.8680e-05,4.4633e-06,7.3954e-08,,,,,,,,,,,
Sam 20,5.33534e-08,1.17919e-02,4.1578e-03,4.8031e-05,4.4152e-06,7.2543e-08,,,,,,           -7.2733,           -5.4149,          -13.2730,          -10.8329,          -25.2343,          -10.4425,          -11.2728,           -0.4950,           -0.0327,           -7.0894,
Ref 21,5.25890e-08,,,,,,1.1878e-02,4.1803e-03,4.8675e-05,4.4637e-06,7.4897e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.20841e-08,,,,,,1.1878e-02,4.1803e-03,4.8678e-05,4.4631e-06,7.2821e-08,
Sam 1,5.19060e-08,1.17919e-02,4.1576e-03,4.8025e-05,4.4162e-06,7.3516e-08,,,,,,           -7.2370,           -5.4147,          -13.3602,          -10.4380,            9.2836,          -10.4039,          -11.2727,           -0.6213,            0.3661,           28.0306,
Ref 2,5.11965e-08,,,,,,1.1878e-02,4.1800e-03,4.8673e-05,4.4624e-06,7.2858e-08,,,,,,,,,,,
Sam 2,5.10699e-08,1.17918e-02,4.1575e-03,4.8030e-05,4.4149e-06,7.2793e-08,,,,,,           -7.2486,           -5.3863,          -13.2957,          -10.8470,          -15.9112,          -10.4171,          -11.2444,           -0.5721,           -0.1047,            2.3239,
Ref 3,5.03358e-08,,,,,,1.1878e-02,4.1800e-03,4.8681e-05,4.4643e-06,7.5102e-08,,,,,,,,,,,
Sam 3,5.01909e-08,1.17918e-02,4.1576e-03,4.8029e-05,4.4146e-06,7.2476e-08,,,,,,           -7.2522,           -5.3952,          -13.3650,          -11.0009,          -31.1796,          -10.4207,          -11.2533,           -0.6296,           -0.2422,          -13.2061,
Ref 4,4.94045e-08,,,,,,1.1878e-02,4.1802e-03,4.8679e-05,4.4631e-06,7.4509e-08,,,,,,,,,,,
Sam 4,4.94066e-08,1.17917e-02,4.1576e-03,4.8029e-05,4.4134e-06,7.2790e-08,,,,,,           -7.2512,           -5.3802,          -13.2764,          -11.2700,          -20.7596,          -10.4201,          -11.2383,           -0.5558,           -0.5445,           -2.6237,
Ref 5,4.84977e-08,,,,,,1.1878e-02,4.1799e-03,4.8672e-05,4.4642e-06,7.4154e-08,,,,,,,,,,,
Sam 5,4.84728e-08,1.17915e-02,4.1575e-03,4.8031e-05,4.4146e-06,7.2211e-08,,,,,,           -7.2516,           -5.3734,          -13.1689,          -11.1176,          -23.1735,          -10.4208,          -11.2315,           -0.4532,           -0.4041,           -5.0951,
Ref 6,4.76937e-08,,,,,,1.1878e-02,4.1801e-03,4.8672e-05,4.4643e-06,7.3691e-08,,,,,,,,,,,
Sam 6,4.75506e-08,1.17925e-02,4.1595e-03,4.8055e-05,4.4159e-06,7.2871e-08,,,,,,           -7.1658,           -4.9470,          -12.7700,          -10.8586,           -7.2366,          -10.3444,          -10.8074,           -0.5599,           -0.9991,           10.1916,
Ref 7,4.68167e-08,,,,,,1.1878e-02,4.1802e-03,4.8681e-05,4.4646e-06,7.3108e-08,,,,,,,,,,,
Sam 7,4.68101e-08,1.17914e-02,4.1575e-03,4.8025e-05,4.4148e-06,7.3241e-08,,,,,,           -7.2653,           -5.4223,          -13.3487,          -11.1856,           -7.8130,          -10.4337,          -11.2802,           -0.5727,           -0.3745,           10.6623,
Ref 8,4.60187e-08,,,,,,1.1878e-02,4.1800e-03,4.8669e-05,4.4648e-06,7.4539e-08,,,,,,,,,,,
Sam 8,4.60810e-08,1.17913e-02,4.1574e-03,4.8027e-05,4.4137e-06,7.3383e-08,,,,,,           -7.2749,           -5.4211,          -13.2573,          -11.2671,          -13.8553,          -10.4440,          -11.2790,           -0.4713,           -0.4592,            4.5154,
Ref 9,4.52822e-08,,,,,,1.1878e-02,4.1801e-03,4.8676e-05,4.4631e-06,7.4286e-08,,,,,,,,,,,
Sam 9,4.53208e-08,1.17914e-02,4.1574e-03,4.8017e-05,4.4147e-06,7.2377e-08,,,,,,           -7.2635,           -5.4516,          -13.5346,          -10.8975,          -26.1500,          -10.4308,          -11.3094,           -0.7339,           -0.0243,           -7.9605,
Ref 10,4.45243e-08,,,,,,1.1878e-02,4.1802e-03,4.8677e-05,4.4637e-06,7.4354e-08,,,,,,,,,,,
Sam 10,4.45623e-08,1.17915e-02,4.1576e-03,4.8023e-05,4.4152e-06,7.3440e-08,,,,,,           -7.2395,           -5.3673,          -13.3145,          -10.7395,          -19.0580,          -10.4082,          -11.2255,           -0.6193,           -0.0342,           -0.9285,
Ref 11,4.37784e-08,,,,,,1.1877e-02,4.1799e-03,4.8666e-05,4.4626e-06,7.5388e-08,,,,,,,,,,,
Sam 11,4.38433e-08,1.17912e-02,4.1575e-03,4.8031e-05,4.4144e-06,7.2483e-08,,,,,,           -7.2572,           -5.3771,          -13.1632,          -10.8904,          -30.4340,          -10.4267,          -11.2352,           -0.4379,           -0.1669,          -12.4768,
Ref 12,4.30430e-08,,,,,,1.1877e-02,4.1801e-03,4.8678e-05,4.4633e-06,7.4117e-08,,,,,,,,,,,
Sam 12,4.31376e-08,1.17912e-02,4.1574e-03,4.8025e-05,4.4131e-06,7.2172e-08,,,,,,           -7.2548,           -5.3932,          -13.2800,          -11.1797,          -30.7495,          -10.4236,          -11.2512,           -0.5428,           -0.4271,          -12.7692,
Ref 13,4.23515e-08,,,,,,1.1877e-02,4.1799e-03,4.8665e-05,4.4627e-06,7.4812e-08,,,,,,,,,,,
Sam 13,4.24331e-08,1.17913e-02,4.1577e-03,4.8028e-05,4.4156e-06,7.1213e-08,,,,,,           -7.2454,           -5.3179,          -13.1934,          -10.5223,          -43.2603,          -10.4161,          -11.1763,           -0.5393,            0.0861,          -25.6671,
Ref 14,4.16493e-08,,,,,,1.1877e-02,4.1799e-03,4.8676e-05,4.4625e-06,7.4047e-08,,,,,,,,,,,
Sam 14,4.17699e-08,1.17913e-02,4.1574e-03,4.8024e-05,4.4102e-06,7.4137e-08,,,,,,           -7.2389,           -5.3761,          -13.4121,          -11.6446,           -5.4205,          -10.4073,          -11.2342,           -0.7100,           -0.9313,           12.9781,
Ref 15,4.09555e-08,,,,,,1.1877e-02,4.1799e-03,4.8678e-05,4.4618e-06,7.5044e-08,,,,,,,,,,,
Sam 15,4.11291e-08,1.17910e-02,4.1573e-03,4.8024e-05,4.4140e-06,7.2310e-08,,,,,,           -7.2438,           -5.3846,          -13.3278,          -10.5666,          -23.4160,          -10.4122,          -11.2427,           -0.6111,            0.1755,           -5.3283,
Ref 16,4.03304e-08,,,,,,1.1877e-02,4.1797e-03,4.8667e-05,4.4605e-06,7.3028e-08,,,,,,,,,,,
Sam 16,4.04696e-08,1.17909e-02,4.1575e-03,4.8017e-05,4.4127e-06,7.3824e-08,,,,,,           -7.2460,           -5.3164,          -13.3921,          -10.8704,           -4.1696,          -10.4168,          -11.1748,           -0.7415,           -0.2688,           14.1400,
Ref 17,3.96466e-08,,,,,,1.1877e-02,4.1797e-03,4.8670e-05,4.4619e-06,7.5257e-08,,,,,,,,,,,
Sam 17,3.98362e-08,1.17909e-02,4.1573e-03,4.8021e-05,4.4144e-06,7.2937e-08,,,,,,           -7.2506,           -5.3700,          -13.2914,          -10.8028,          -31.9598,          -10.4199,          -11.2282,           -0.5816,           -0.0926,          -14.0516,
Ref 18,3.90222e-08,,,,,,1.1877e-02,4.1798e-03,4.8665e-05,4.4632e-06,7.5435e-08,,,,,,,,,,,
Sam 18,3.91818e-08,1.17909e-02,4.1573e-03,4.8023e-05,4.4108e-06,7.2134e-08,,,,,,           -7.2538,           -5.4051,          -13.2981,          -11.5479,          -35.2054,          -10.4221,          -11.2631,           -0.5504,           -0.7753,          -17.2857,
Ref 19,3.83764e-08,,,,,,1.1877e-02,4.1801e-03,4.8676e-05,4.4613e-06,7.4086e-08,,,,,,,,,,,
Sam 19,3.86056e-08,1.17909e-02,4.1572e-03,4.8023e-05,4.4131e-06,7.3590e-08,,,,,,           -7.2434,           -5.4294,          -13.3136,          -10.7542,            2.5280,          -10.4101,          -11.2873,           -0.5529,            0.0760,           21.1862,
Ref 20,3.78046e-08,,,,,,1.1877e-02,4.1797e-03,4.8666e-05,4.4609e-06,7.2714e-08,,,,,,,,,,,
Sam 20,3.79992e-08,1.17909e-02,4.1572e-03,4.8024e-05,4.4134e-06,7.3494e-08,,,,,,           -7.2300,           -5.3813,          -13.2215,          -10.6523,           -4.4275,          -10.3976,          -11.2395,           -0.5210,            0.0822,           13.9902,
Ref 21,3.71864e-08,,,,,,1.1877e-02,4.1797e-03,4.8668e-05,4.4610e-06,7.4947e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.68857e-08,,,,,,1.1877e-02,4.1797e-03,4.8669e-05,4.4614e-06,7.2843e-08,
Sam 1,3.71421e-08,1.17908e-02,4.1572e-03,4.8023e-05,4.4116e-06,7.4391e-08,,,,,,           -7.2361,           -5.3732,          -13.2759,          -11.3079,            0.0338,          -10.4043,          -11.2314,           -0.5779,           -0.5968,           18.5244,
Ref 2,3.63529e-08,,,,,,1.1877e-02,4.1797e-03,4.8670e-05,4.4627e-06,7.5957e-08,,,,,,,,,,,
Sam 2,3.65805e-08,1.17907e-02,4.1572e-03,4.8021e-05,4.4112e-06,7.5083e-08,,,,,,           -7.2333,           -5.3804,          -13.2888,          -11.3301,          -10.8086,          -10.4012,          -11.2385,           -0.5866,           -0.6048,            7.4928,
Ref 3,3.57794e-08,,,,,,1.1877e-02,4.1797e-03,4.8666e-05,4.4608e-06,7.5850e-08,,,,,,,,,,,
Sam 3,3.60194e-08,1.17906e-02,4.1572e-03,4.8029e-05,4.4098e-06,7.3329e-08,,,,,,           -7.2420,           -5.3817,          -13.0731,          -11.5408,          -26.5358,          -10.4103,          -11.2398,           -0.3580,           -0.8152,           -8.5137,
Ref 4,3.52213e-08,,,,,,1.1877e-02,4.1796e-03,4.8664e-05,4.4617e-06,7.4798e-08,,,,,,,,,,,
Sam 4,3.54750e-08,1.17905e-02,4.1572e-03,4.8019e-05,4.4147e-06,7.2176e-08,,,,,,           -7.2398,           -5.3668,          -13.1654,          -10.6919,          -36.8251,          -10.4085,          -11.2250,           -0.4684,            0.0131,          -19.0244,
Ref 5,3.46838e-08,,,,,,1.1877e-02,4.1796e-03,4.8656e-05,4.4632e-06,7.5075e-08,,,,,,,,,,,
Sam 5,3.49171e-08,1.17905e-02,4.1572e-03,4.8017e-05,4.4093e-06,7.3124e-08,,,,,,           -7.2451,           -5.3624,          -13.2098,          -11.8333,          -17.5267,          -10.4143,          -11.2207,           -0.5122,           -1.1495,            0.6276,
Ref 6,3.41475e-08,,,,,,1.1877e-02,4.1796e-03,4.8664e-05,4.4610e-06,7.3772e-08,,,,,,,,,,,
Sam 6,3.44004e-08,1.17905e-02,4.1571e-03,4.8021e-05,4.4111e-06,7.2658e-08,,,,,,           -7.2457,           -5.3731,          -13.1703,          -10.9608,          -18.6870,          -10.4145,          -11.2312,           -0.4610,           -0.2462,           -0.5326,
Ref 7,3.36381e-08,,,,,,1.1876e-02,4.1796e-03,4.8660e-05,4.4590e-06,7.4315e-08,,,,,,,,,,,
Sam 7,3.38948e-08,1.17905e-02,4.1572e-03,4.8016e-05,4.4122e-06,7.1890e-08,,,,,,           -7.2356,           -5.3575,          -13.2647,          -10.6384,          -37.3755,          -10.4043,          -11.2157,           -0.5825,            0.0483,          -19.6077,
Ref 8,3.31263e-08,,,,,,1.1876e-02,4.1796e-03,4.8663e-05,4.4602e-06,7.5053e-08,,,,,,,,,,,
Sam 8,3.34299e-08,1.17903e-02,4.1572e-03,4.8021e-05,4.4119e-06,7.2029e-08,,,,,,           -7.2427,           -5.3581,          -13.1704,          -10.7657,          -35.4588,          -10.4119,          -11.2163,           -0.4790,           -0.0791,          -17.6469,
Ref 9,3.26414e-08,,,,,,1.1876e-02,4.1796e-03,4.8659e-05,4.4596e-06,7.4295e-08,,,,,,,,,,,
Sam 9,3.29429e-08,1.17903e-02,4.1571e-03,4.8018e-05,4.4121e-06,7.1954e-08,,,,,,           -7.2443,           -5.3662,          -13.2848,          -10.5975,          -36.4941,          -10.4133,          -11.2244,           -0.5853,            0.1071,          -18.6839,
Ref 10,3.21401e-08,,,,,,1.1876e-02,4.1795e-03,4.8669e-05,4.4591e-06,7.5070e-08,,,,,,,,,,,
Sam 10,3.24409e-08,1.17903e-02,4.1571e-03,4.8022e-05,4.4140e-06,7.3166e-08,,,,,,           -7.2341,           -5.3586,          -13.2376,          -10.1687,          -21.8568,          -10.4027,          -11.2168,           -0.5556,            0.5253,           -3.8020,
Ref 11,3.16655e-08,,,,,,1.1876e-02,4.1795e-03,4.8662e-05,4.4597e-06,7.4529e-08,,,,,,,,,,,
Sam 11,3.20052e-08,1.17903e-02,4.1571e-03,4.8021e-05,4.4076e-06,7.3330e-08,,,,,,           -7.2382,           -5.3678,          -13.1580,          -11.5571,          -19.7172,          -10.4067,          -11.2260,           -0.4617,           -0.8596,           -1.6003,
Ref 12,3.11903e-08,,,,,,1.1876e-02,4.1795e-03,4.8661e-05,4.4586e-06,7.5085e-08,,,,,,,,,,,
Sam 12,3.15328e-08,1.17901e-02,4.1570e-03,4.8012e-05,4.4140e-06,7.3124e-08,,,,,,           -7.2513,           -5.3815,          -13.3358,          -10.1690,          -38.4833,          -10.4202,          -11.2396,           -0.6146,            0.5712,          -20.6728,
Ref 13,3.07321e-08,,,,,,1.1876e-02,4.1795e-03,4.8661e-05,4.4601e-06,7.7031e-08,,,,,,,,,,,
Sam 13,3.10783e-08,1.17903e-02,4.1576e-03,4.8021e-05,4.4133e-06,7.1541e-08,,,,,,           -7.2572,           -5.2508,          -13.0737,          -10.0762,          -62.7544,          -10.4311,          -11.1095,           -0.4722,            0.4019,          -45.6344,
Ref 14,3.02647e-08,,,,,,1.1877e-02,4.1796e-03,4.8654e-05,4.4563e-06,7.5621e-08,,,,,,,,,,,
Sam 14,3.06296e-08,1.17902e-02,4.1576e-03,4.8013e-05,4.4106e-06,7.3833e-08,,,,,,           -7.2594,           -5.2677,          -13.1799,          -10.4721,          -19.0113,          -10.4328,          -11.1263,           -0.5607,            0.0358,           -1.0564,
Ref 15,2.98226e-08,,,,,,1.1876e-02,4.1797e-03,4.8656e-05,4.4583e-06,7.4901e-08,,,,,,,,,,,
Sam 15,3.02034e-08,1.17897e-02,4.1570e-03,4.7958e-05,4.4068e-06,7.1897e-08,,,,,,           -7.2715,           -5.4774,          -14.4622,          -12.0368,          -46.7700,          -10.4383,          -11.3350,           -1.6398,           -1.1242,          -28.9077,
Ref 16,2.93900e-08,,,,,,1.1876e-02,4.1801e-03,4.8668e-05,4.4628e-06,7.5955e-08,,,,,,,,,,,
Sam 16,2.97684e-08,1.17898e-02,4.1570e-03,4.8006e-05,4.4075e-06,7.1632e-08,,,,,,           -7.2545,           -5.4616,          -13.4207,          -11.6020,          -47.7081,          -10.4208,          -11.3193,           -0.6180,           -0.7164,          -29.9115,
Ref 17,2.89515e-08,,,,,,1.1876e-02,4.1795e-03,4.8651e-05,4.4557e-06,7.4474e-08,,,,,,,,,,,
Sam 17,2.93557e-08,1.17900e-02,4.1569e-03,4.8003e-05,4.4055e-06,7.3382e-08,,,,,,           -7.2185,           -5.3996,          -13.3780,          -11.5839,          -32.5764,          -10.3847,          -11.2577,           -0.6733,           -0.8227,          -14.6558,
Ref 18,2.85639e-08,,,,,,1.1876e-02,4.1794e-03,4.8658e-05,4.4585e-06,7.7250e-08,,,,,,,,,,,
Sam 18,2.89476e-08,1.17898e-02,4.1570e-03,4.8012e-05,4.4091e-06,7.4095e-08,,,,,,           -7.2522,           -5.4055,          -13.3971,          -11.0696,          -17.3583,          -10.4204,          -11.2635,           -0.6519,           -0.2910,            0.8919,
Ref 19,2.81389e-08,,,,,,1.1876e-02,4.1797e-03,4.8671e-05,4.4584e-06,7.3530e-08,,,,,,,,,,,
Sam 19,2.85389e-08,1.17900e-02,4.1571e-03,4.8019e-05,4.4098e-06,7.3389e-08,,,,,,           -7.2398,           -5.3725,          -13.3394,          -11.0315,          -11.9149,          -10.4083,          -11.2307,           -0.6390,           -0.3188,            6.3574,
Ref 20,2.77292e-08,,,,,,1.1876e-02,4.1794e-03,4.8664e-05,4.4597e-06,7.5029e-08,,,,,,,,,,,
