Nu Stable Isotope Analysis Program
Data Collected on Thursday, October 26, 2023 at 23:58 with Stable 1.71.5 on PS019,Reanalyzed on Friday, October 27, 2023 at 00:58 with Stable 1.71.5 on PS019

Data File = Data_20700 MBE 78B.txt,       Sample Weight = 453,                      Vial Location = 41,                       Initial Sam Beam = 2.5028e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1328e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02359
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.77094e-08,,,,,,1.1880e-02,4.1811e-03,4.8685e-05,4.4618e-06,7.0356e-08,
Sam 1,8.73231e-08,1.19553e-02,4.2067e-03,4.9279e-05,4.5157e-06,7.1871e-08,,,,,,            6.3103,            6.1458,           12.2467,           12.1116,           21.4070,            3.6132,            0.2023,           -0.3395,           -0.2150,            2.4441,
Ref 2,8.58216e-08,,,,,,1.1880e-02,4.1809e-03,4.8680e-05,4.4616e-06,7.0374e-08,,,,,,,,,,,
Sam 2,8.54336e-08,1.19553e-02,4.2068e-03,4.9278e-05,4.5163e-06,7.1998e-08,,,,,,            6.2743,            6.0756,           12.0983,           12.1636,           21.3849,            3.5774,            0.1326,           -0.3806,           -0.0242,            2.5980,
Ref 3,8.38266e-08,,,,,,1.1881e-02,4.1818e-03,4.8698e-05,4.4625e-06,7.0609e-08,,,,,,,,,,,
Sam 3,8.35313e-08,1.19555e-02,4.2069e-03,4.9279e-05,4.5169e-06,7.1923e-08,,,,,,            6.2909,            6.1030,           12.1470,           12.2201,           15.0818,            3.5941,            0.1598,           -0.3762,           -0.0229,           -3.6600,
Ref 4,8.20433e-08,,,,,,1.1880e-02,4.1810e-03,4.8677e-05,4.4623e-06,7.1104e-08,,,,,,,,,,,
Sam 4,8.17426e-08,1.19552e-02,4.2068e-03,4.9278e-05,4.5158e-06,7.2175e-08,,,,,,            6.3043,            6.1773,           12.2847,           12.0841,           19.1821,            3.6057,            0.2337,           -0.3266,           -0.3049,            0.2052,
Ref 5,8.02425e-08,,,,,,1.1880e-02,4.1809e-03,4.8682e-05,4.4615e-06,7.0523e-08,,,,,,,,,,,
Sam 5,7.99889e-08,1.19550e-02,4.2067e-03,4.9283e-05,4.5158e-06,7.3040e-08,,,,,,            6.2838,            6.1418,           12.3464,           12.1467,           32.4743,            3.5852,            0.1984,           -0.2100,           -0.1725,           13.3421,
Ref 6,7.84697e-08,,,,,,1.1881e-02,4.1811e-03,4.8682e-05,4.4617e-06,7.0968e-08,,,,,,,,,,,
Sam 6,7.82966e-08,1.19549e-02,4.2067e-03,4.9274e-05,4.5158e-06,7.2168e-08,,,,,,            6.2834,            6.1382,           12.2291,           12.0001,           14.4845,            3.5849,            0.1949,           -0.3220,           -0.3102,           -4.3069,
Ref 7,7.68249e-08,,,,,,1.1880e-02,4.1808e-03,4.8676e-05,4.4629e-06,7.1312e-08,,,,,,,,,,,
Sam 7,7.66634e-08,1.19549e-02,4.2066e-03,4.9279e-05,4.5158e-06,7.3137e-08,,,,,,            6.3035,            6.1779,           12.3782,           12.0325,           23.1517,            3.6049,            0.2343,           -0.2341,           -0.3570,            4.1006,
Ref 8,7.51937e-08,,,,,,1.1880e-02,4.1808e-03,4.8676e-05,4.4614e-06,7.1655e-08,,,,,,,,,,,
Sam 8,7.50672e-08,1.19548e-02,4.2066e-03,4.9276e-05,4.5160e-06,7.2643e-08,,,,,,            6.3100,            6.1774,           12.3578,           12.2569,           19.4778,            3.6119,            0.2338,           -0.2605,           -0.1344,            0.4889,
Ref 9,7.36215e-08,,,,,,1.1880e-02,4.1808e-03,4.8672e-05,4.4612e-06,7.0846e-08,,,,,,,,,,,
Sam 9,7.35323e-08,1.19547e-02,4.2066e-03,4.9273e-05,4.5165e-06,7.2589e-08,,,,,,            6.3083,            6.1840,           12.3296,           12.4638,           16.3189,            3.6098,            0.2404,           -0.2929,            0.0569,           -2.6220,
Ref 10,7.24381e-08,,,,,,1.1880e-02,4.1807e-03,4.8673e-05,4.4606e-06,7.2009e-08,,,,,,,,,,,
Sam 10,7.24081e-08,1.19545e-02,4.2065e-03,4.9273e-05,4.5159e-06,7.3034e-08,,,,,,            6.3054,            6.1803,           12.3434,           12.3429,           14.4813,            3.6068,            0.2367,           -0.2727,           -0.0552,           -4.4151,
Ref 11,7.09879e-08,,,,,,1.1880e-02,4.1807e-03,4.8672e-05,4.4610e-06,7.1974e-08,,,,,,,,,,,
Sam 11,7.09713e-08,1.19544e-02,4.2065e-03,4.9266e-05,4.5159e-06,7.3210e-08,,,,,,            6.3071,            6.1685,           12.2118,           12.1957,           24.3370,            3.6091,            0.2249,           -0.3928,           -0.1771,            5.2785,
Ref 12,6.95604e-08,,,,,,1.1879e-02,4.1806e-03,4.8672e-05,4.4619e-06,7.0957e-08,,,,,,,,,,,
Sam 12,6.95584e-08,1.19543e-02,4.2064e-03,4.9268e-05,4.5169e-06,7.3172e-08,,,,,,            6.3061,            6.1653,           12.2190,           12.5006,           23.1570,            3.6081,            0.2218,           -0.3816,            0.1304,            4.1276,
Ref 13,6.81499e-08,,,,,,1.1879e-02,4.1806e-03,4.8675e-05,4.4604e-06,7.2087e-08,,,,,,,,,,,
Sam 13,6.81985e-08,1.19542e-02,4.2064e-03,4.9267e-05,4.5157e-06,7.3491e-08,,,,,,            6.3083,            6.1640,           12.2024,           12.5662,           21.8269,            3.6105,            0.2204,           -0.3990,            0.1978,            2.8225,
Ref 14,6.64854e-08,,,,,,1.1879e-02,4.1806e-03,4.8671e-05,4.4590e-06,7.1751e-08,,,,,,,,,,,
Sam 14,6.65855e-08,1.19541e-02,4.2063e-03,4.9269e-05,4.5142e-06,7.2691e-08,,,,,,            6.3072,            6.1694,           12.2975,           12.3147,            5.3687,            3.6091,            0.2258,           -0.3092,           -0.0613,          -13.3388,
Ref 15,6.51747e-08,,,,,,1.1879e-02,4.1805e-03,4.8670e-05,4.4597e-06,7.2865e-08,,,,,,,,,,,
Sam 15,6.52993e-08,1.19541e-02,4.2063e-03,4.9270e-05,4.5157e-06,7.2753e-08,,,,,,            6.3145,            6.1744,           12.3460,           12.5469,            5.8390,            3.6168,            0.2308,           -0.2737,            0.1581,          -12.8945,
Ref 16,6.39293e-08,,,,,,1.1879e-02,4.1805e-03,4.8668e-05,4.4598e-06,7.1787e-08,,,,,,,,,,,
Sam 16,6.40340e-08,1.19539e-02,4.2063e-03,4.9271e-05,4.5151e-06,7.3415e-08,,,,,,            6.3143,            6.1693,           12.3826,           12.4147,           16.1938,            3.6167,            0.2257,           -0.2323,            0.0377,           -2.7224,
Ref 17,6.26484e-08,,,,,,1.1879e-02,4.1805e-03,4.8669e-05,4.4597e-06,7.2712e-08,,,,,,,,,,,
Sam 17,6.29305e-08,1.19539e-02,4.2062e-03,4.9264e-05,4.5142e-06,7.2343e-08,,,,,,            6.3170,            6.1617,           12.2058,           12.0773,            8.6847,            3.6199,            0.2181,           -0.4023,           -0.2805,          -10.0799,
Ref 18,6.15258e-08,,,,,,1.1879e-02,4.1805e-03,4.8670e-05,4.4610e-06,7.0711e-08,,,,,,,,,,,
Sam 18,6.17184e-08,1.19538e-02,4.2062e-03,4.9266e-05,4.5150e-06,7.3825e-08,,,,,,            6.3145,            6.1670,           12.2446,           12.3055,           38.2982,            3.6170,            0.2234,           -0.3666,           -0.0657,           18.9748,
Ref 19,6.02707e-08,,,,,,1.1879e-02,4.1804e-03,4.8670e-05,4.4593e-06,7.1501e-08,,,,,,,,,,,
Sam 19,6.05014e-08,1.19538e-02,4.2068e-03,4.9275e-05,4.5157e-06,7.3587e-08,,,,,,            6.3152,            6.2963,           12.4409,           12.7791,           21.8116,            3.6133,            0.3521,           -0.2999,            0.1451,            2.5409,
Ref 20,5.90983e-08,,,,,,1.1879e-02,4.1805e-03,4.8669e-05,4.4582e-06,7.2541e-08,,,,,,,,,,,
Sam 20,5.93770e-08,1.19535e-02,4.2062e-03,4.9273e-05,4.5152e-06,7.3514e-08,,,,,,            6.2957,            6.1194,           12.3435,           12.4821,           19.5973,            3.5986,            0.1761,           -0.2031,            0.2034,            0.7350,
Ref 21,5.79852e-08,,,,,,1.1879e-02,4.1807e-03,4.8676e-05,4.4609e-06,7.1652e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.74131e-08,,,,,,1.1878e-02,4.1804e-03,4.8673e-05,4.4569e-06,7.0949e-08,
Sam 1,5.77463e-08,1.19533e-02,4.2061e-03,4.9267e-05,4.5143e-06,7.3304e-08,,,,,,            6.3053,            6.1577,           12.3026,           12.5072,           31.6011,            3.6076,            0.2142,           -0.2909,            0.1520,           12.4305,
Ref 2,5.64372e-08,,,,,,1.1878e-02,4.1803e-03,4.8664e-05,4.4601e-06,7.1171e-08,,,,,,,,,,,
Sam 2,5.67896e-08,1.19532e-02,4.2062e-03,4.9265e-05,4.5144e-06,7.3727e-08,,,,,,            6.3050,            6.1823,           12.2478,           12.1514,           25.9528,            3.6063,            0.2387,           -0.3686,           -0.2483,            6.8392,
Ref 3,5.54366e-08,,,,,,1.1878e-02,4.1803e-03,4.8673e-05,4.4603e-06,7.2565e-08,,,,,,,,,,,
Sam 3,5.57085e-08,1.19532e-02,4.2062e-03,4.9270e-05,4.5139e-06,7.3636e-08,,,,,,            6.3120,            6.1987,           12.3548,           11.9116,           16.9790,            3.6132,            0.2550,           -0.2862,           -0.5178,           -2.0069,
Ref 4,5.44049e-08,,,,,,1.1878e-02,4.1802e-03,4.8664e-05,4.4612e-06,7.2246e-08,,,,,,,,,,,
Sam 4,5.46878e-08,1.19529e-02,4.2059e-03,4.9254e-05,4.5123e-06,7.3778e-08,,,,,,            6.3039,            6.1435,           12.2070,           11.6721,           15.5349,            3.6065,            0.2000,           -0.3699,           -0.6446,           -3.3078,
Ref 5,5.33717e-08,,,,,,1.1878e-02,4.1802e-03,4.8656e-05,4.4594e-06,7.3061e-08,,,,,,,,,,,
Sam 5,5.37362e-08,1.19528e-02,4.2059e-03,4.9256e-05,4.5133e-06,7.2519e-08,,,,,,            6.2991,            6.1560,           12.2762,           12.0927,           -4.8454,            3.6010,            0.2125,           -0.3088,           -0.2540,          -23.3289,
Ref 6,5.23998e-08,,,,,,1.1878e-02,4.1801e-03,4.8663e-05,4.4595e-06,7.2679e-08,,,,,,,,,,,
Sam 6,5.27610e-08,1.19530e-02,4.2060e-03,4.9262e-05,4.5118e-06,7.3890e-08,,,,,,            6.3064,            6.1823,           12.2796,           11.8252,           17.1659,            3.6079,            0.2386,           -0.3387,           -0.5704,           -1.7855,
Ref 7,5.15293e-08,,,,,,1.1878e-02,4.1801e-03,4.8666e-05,4.4587e-06,7.2606e-08,,,,,,,,,,,
Sam 7,5.18088e-08,1.19528e-02,4.2058e-03,4.9263e-05,4.5123e-06,7.2380e-08,,,,,,            6.3003,            6.1653,           12.2569,           11.8983,           -1.4425,            3.6020,            0.2217,           -0.3382,           -0.4644,          -20.0083,
Ref 8,5.04660e-08,,,,,,1.1878e-02,4.1801e-03,4.8667e-05,4.4598e-06,7.2360e-08,,,,,,,,,,,
Sam 8,5.09261e-08,1.19528e-02,4.2059e-03,4.9260e-05,4.5114e-06,7.4007e-08,,,,,,            6.3069,            6.1712,           12.2736,           11.7526,           25.5853,            3.6088,            0.2276,           -0.3343,           -0.6201,            6.4984,
Ref 9,4.97523e-08,,,,,,1.1878e-02,4.1800e-03,4.8659e-05,4.4582e-06,7.1957e-08,,,,,,,,,,,
Sam 9,5.01010e-08,1.19528e-02,4.2058e-03,4.9263e-05,4.5111e-06,7.4419e-08,,,,,,            6.3136,            6.1731,           12.4015,           11.8558,           33.3622,            3.6158,            0.2295,           -0.2167,           -0.5219,           14.1196,
Ref 10,4.88938e-08,,,,,,1.1878e-02,4.1800e-03,4.8660e-05,4.4583e-06,7.2076e-08,,,,,,,,,,,
Sam 10,4.91997e-08,1.19527e-02,4.2058e-03,4.9258e-05,4.5132e-06,7.3529e-08,,,,,,            6.3124,            6.1708,           12.2807,           12.1939,           22.3967,            3.6147,            0.2272,           -0.3325,           -0.1834,            3.3641,
Ref 11,4.80222e-08,,,,,,1.1878e-02,4.1800e-03,4.8660e-05,4.4593e-06,7.1757e-08,,,,,,,,,,,
Sam 11,4.84137e-08,1.19526e-02,4.2058e-03,4.9257e-05,4.5118e-06,7.2861e-08,,,,,,            6.3094,            6.1777,           12.3098,           11.9332,            4.7495,            3.6112,            0.2341,           -0.3075,           -0.4546,          -13.9648,
Ref 12,4.71370e-08,,,,,,1.1878e-02,4.1800e-03,4.8655e-05,4.4580e-06,7.3290e-08,,,,,,,,,,,
Sam 12,4.76471e-08,1.19533e-02,4.2061e-03,4.9260e-05,4.5124e-06,7.4757e-08,,,,,,            6.3216,            6.1748,           12.3123,           12.0799,           29.7148,            3.6243,            0.2312,           -0.3147,           -0.3041,           10.5282,
Ref 13,4.62353e-08,,,,,,1.1879e-02,4.1806e-03,4.8666e-05,4.4591e-06,7.1896e-08,,,,,,,,,,,
Sam 13,4.67537e-08,1.19525e-02,4.2059e-03,4.9261e-05,4.5124e-06,7.1650e-08,,,,,,            6.2774,            6.1288,           12.2531,           11.7674,           -3.0524,            3.5789,            0.1855,           -0.2829,           -0.5213,          -21.4948,
Ref 14,4.54964e-08,,,,,,1.1877e-02,4.1800e-03,4.8663e-05,4.4606e-06,7.1842e-08,,,,,,,,,,,
Sam 14,4.59954e-08,1.19519e-02,4.2056e-03,4.9245e-05,4.5120e-06,7.2194e-08,,,,,,            6.2903,            6.1274,           11.9402,           11.4852,           -0.0519,            3.5926,            0.1840,           -0.6037,           -0.7973,          -18.5604,
Ref 15,4.47336e-08,,,,,,1.1877e-02,4.1799e-03,4.8665e-05,4.4608e-06,7.2559e-08,,,,,,,,,,,
Sam 15,4.52853e-08,1.19518e-02,4.2056e-03,4.9257e-05,4.5124e-06,7.4321e-08,,,,,,            6.2853,            6.1436,           12.2345,           11.6795,           20.5391,            3.5867,            0.2002,           -0.3238,           -0.6376,            1.6229,
Ref 16,4.40460e-08,,,,,,1.1877e-02,4.1799e-03,4.8658e-05,4.4597e-06,7.3095e-08,,,,,,,,,,,
Sam 16,4.45081e-08,1.19522e-02,4.2057e-03,4.9260e-05,4.5139e-06,7.2300e-08,,,,,,            6.3114,            6.1585,           12.3656,           12.1504,           -9.9100,            3.6140,            0.2150,           -0.2356,           -0.2019,          -28.3168,
Ref 17,4.33045e-08,,,,,,1.1877e-02,4.1799e-03,4.8658e-05,4.4596e-06,7.2951e-08,,,,,,,,,,,
Sam 17,4.37820e-08,1.19520e-02,4.2057e-03,4.9256e-05,4.5114e-06,7.3573e-08,,,,,,            6.3050,            6.1816,           12.3205,           11.8895,           19.9582,            3.6064,            0.2379,           -0.2962,           -0.5055,            0.9576,
Ref 18,4.25862e-08,,,,,,1.1877e-02,4.1798e-03,4.8656e-05,4.4571e-06,7.1301e-08,,,,,,,,,,,
Sam 18,4.31132e-08,1.19522e-02,4.2057e-03,4.9256e-05,4.5119e-06,7.4502e-08,,,,,,            6.3219,            6.1668,           12.2997,           12.3155,           43.6274,            3.6249,            0.2232,           -0.3195,           -0.0554,           24.1973,
Ref 19,4.18739e-08,,,,,,1.1877e-02,4.1801e-03,4.8659e-05,4.4568e-06,7.1476e-08,,,,,,,,,,,
Sam 19,4.24114e-08,1.19521e-02,4.2058e-03,4.9259e-05,4.5128e-06,7.3522e-08,,,,,,            6.3129,            6.1748,           12.3055,           12.3035,           16.7324,            3.6151,            0.2312,           -0.3125,           -0.0831,           -2.2031,
Ref 20,4.11758e-08,,,,,,1.1877e-02,4.1799e-03,4.8661e-05,4.4591e-06,7.3161e-08,,,,,,,,,,,
Sam 20,4.17506e-08,1.19520e-02,4.2057e-03,4.9258e-05,4.5118e-06,7.3777e-08,,,,,,            6.3148,            6.1835,           12.2641,           11.9160,            2.2708,            3.6168,            0.2399,           -0.3638,           -0.4832,          -16.4142,
Ref 21,4.05449e-08,,,,,,1.1877e-02,4.1798e-03,4.8661e-05,4.4584e-06,7.4066e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.02110e-08,,,,,,1.1877e-02,4.1798e-03,4.8659e-05,4.4564e-06,7.2929e-08,
Sam 1,4.07642e-08,1.19519e-02,4.2057e-03,4.9253e-05,4.5105e-06,7.5278e-08,,,,,,            6.2987,            6.1686,           12.1969,           12.3303,           31.2353,            3.6001,            0.2250,           -0.3990,           -0.0443,           12.0572,
Ref 2,3.95550e-08,,,,,,1.1877e-02,4.1800e-03,4.8660e-05,4.4547e-06,7.3067e-08,,,,,,,,,,,
Sam 2,4.01475e-08,1.19518e-02,4.2056e-03,4.9254e-05,4.5105e-06,7.2532e-08,,,,,,            6.2930,            6.1603,           12.2586,           12.3016,           -3.1577,            3.5944,            0.2168,           -0.3243,           -0.0563,          -21.6746,
Ref 3,3.89431e-08,,,,,,1.1877e-02,4.1798e-03,4.8656e-05,4.4567e-06,7.2452e-08,,,,,,,,,,,
Sam 3,3.95097e-08,1.19517e-02,4.2056e-03,4.9246e-05,4.5099e-06,7.4160e-08,,,,,,            6.3050,            6.1616,           12.1276,           11.8451,           26.3380,            3.6071,            0.2181,           -0.4672,           -0.5097,            7.2580,
Ref 4,3.83019e-08,,,,,,1.1877e-02,4.1799e-03,4.8657e-05,4.4575e-06,7.2059e-08,,,,,,,,,,,
Sam 4,3.88994e-08,1.19517e-02,4.2055e-03,4.9256e-05,4.5100e-06,7.3788e-08,,,,,,            6.3037,            6.1482,           12.2902,           11.7687,           11.4561,            3.6062,            0.2047,           -0.2921,           -0.5586,           -7.3198,
Ref 5,3.77067e-08,,,,,,1.1877e-02,4.1798e-03,4.8658e-05,4.4575e-06,7.3860e-08,,,,,,,,,,,
Sam 5,3.83007e-08,1.19517e-02,4.2055e-03,4.9249e-05,4.5111e-06,7.5129e-08,,,,,,            6.3102,            6.1649,           12.1639,           12.0079,           25.9690,            3.6125,            0.2213,           -0.4398,           -0.3554,            6.8838,
Ref 6,3.71186e-08,,,,,,1.1877e-02,4.1798e-03,4.8655e-05,4.4576e-06,7.2583e-08,,,,,,,,,,,
Sam 6,3.77129e-08,1.19514e-02,4.2054e-03,4.9253e-05,4.5091e-06,7.2777e-08,,,,,,            6.3046,            6.1475,           12.4113,           11.8028,            7.8370,            3.6071,            0.2041,           -0.1728,           -0.5235,          -10.8715,
Ref 7,3.65262e-08,,,,,,1.1876e-02,4.1796e-03,4.8644e-05,4.4554e-06,7.1832e-08,,,,,,,,,,,
Sam 7,3.71449e-08,1.19514e-02,4.2054e-03,4.9249e-05,4.5102e-06,7.3620e-08,,,,,,            6.3066,            6.1547,           12.2889,           12.2043,           19.7543,            3.6090,            0.2112,           -0.3028,           -0.1411,            0.8085,
Ref 8,3.59370e-08,,,,,,1.1877e-02,4.1798e-03,4.8658e-05,4.4562e-06,7.2562e-08,,,,,,,,,,,
Sam 8,3.65525e-08,1.19516e-02,4.2055e-03,4.9250e-05,4.5110e-06,7.2582e-08,,,,,,            6.3174,            6.1689,           12.2164,           12.6385,            9.0841,            3.6200,            0.2253,           -0.3992,            0.2595,           -9.7022,
Ref 9,3.54007e-08,,,,,,1.1876e-02,4.1797e-03,4.8652e-05,4.4532e-06,7.1287e-08,,,,,,,,,,,
Sam 9,3.60206e-08,1.19514e-02,4.2054e-03,4.9250e-05,4.5102e-06,7.3594e-08,,,,,,            6.3102,            6.1559,           12.2636,           12.5690,           22.0621,            3.6128,            0.2124,           -0.3325,            0.2167,            3.0673,
Ref 10,3.48501e-08,,,,,,1.1876e-02,4.1797e-03,4.8654e-05,4.4551e-06,7.2736e-08,,,,,,,,,,,
Sam 10,3.54655e-08,1.19515e-02,4.2055e-03,4.9256e-05,4.5092e-06,7.1459e-08,,,,,,            6.3210,            6.1741,           12.4037,           12.2508,          -21.4725,            3.6237,            0.2305,           -0.2231,           -0.1338,          -39.7033,
Ref 11,3.43057e-08,,,,,,1.1876e-02,4.1796e-03,4.8651e-05,4.4541e-06,7.3323e-08,,,,,,,,,,,
Sam 11,3.49532e-08,1.19512e-02,4.2054e-03,4.9252e-05,4.5113e-06,7.5699e-08,,,,,,            6.2973,            6.1520,           12.3863,           12.7701,           42.6351,            3.5993,            0.2086,           -0.1944,            0.4230,           23.2795,
Ref 12,3.37982e-08,,,,,,1.1876e-02,4.1797e-03,4.8648e-05,4.4547e-06,7.1873e-08,,,,,,,,,,,
Sam 12,3.44379e-08,1.19512e-02,4.2054e-03,4.9247e-05,4.5089e-06,7.3560e-08,,,,,,            6.3006,            6.1432,           12.2451,           11.9750,           25.4866,            3.6031,            0.1997,           -0.3286,           -0.3448,            6.4633,
Ref 13,3.32809e-08,,,,,,1.1876e-02,4.1797e-03,4.8654e-05,4.4564e-06,7.1588e-08,,,,,,,,,,,
Sam 13,3.39318e-08,1.19512e-02,4.2054e-03,4.9257e-05,4.5091e-06,7.4014e-08,,,,,,            6.2921,            6.1245,           12.4420,           12.3960,           28.7386,            3.5946,            0.1812,           -0.1072,            0.1082,            9.7009,
Ref 14,3.27801e-08,,,,,,1.1876e-02,4.1798e-03,4.8649e-05,4.4512e-06,7.2311e-08,,,,,,,,,,,
Sam 14,3.34452e-08,1.19512e-02,4.2055e-03,4.9251e-05,4.5083e-06,7.4140e-08,,,,,,            6.2944,            6.1702,           12.3550,           12.2003,           14.6845,            3.5955,            0.2266,           -0.2401,           -0.1760,           -4.1845,
Ref 15,3.23003e-08,,,,,,1.1876e-02,4.1796e-03,4.8651e-05,4.4568e-06,7.3834e-08,,,,,,,,,,,
Sam 15,3.29315e-08,1.19512e-02,4.2054e-03,4.9257e-05,4.5096e-06,7.3423e-08,,,,,,            6.3098,            6.1655,           12.4408,           12.0390,            1.0105,            3.6121,            0.2220,           -0.1666,           -0.3260,          -17.6113,
Ref 16,3.18180e-08,,,,,,1.1876e-02,4.1796e-03,4.8653e-05,4.4551e-06,7.2856e-08,,,,,,,,,,,
Sam 16,3.24831e-08,1.19511e-02,4.2053e-03,4.9249e-05,4.5074e-06,7.2939e-08,,,,,,            6.3096,            6.1255,           12.1916,           11.7650,           -8.5658,            3.6132,            0.1821,           -0.3733,           -0.5171,          -26.9329,
Ref 17,3.13425e-08,,,,,,1.1876e-02,4.1798e-03,4.8659e-05,4.4549e-06,7.4293e-08,,,,,,,,,,,
Sam 17,3.19475e-08,1.19520e-02,4.2055e-03,4.9231e-05,4.5035e-06,7.2824e-08,,,,,,            6.4103,            6.2236,           12.0277,           11.1771,           -3.0697,            3.7170,            0.2795,           -0.7340,           -1.2925,          -21.8303,
Ref 18,3.08681e-08,,,,,,1.1876e-02,4.1792e-03,4.8632e-05,4.4525e-06,7.1785e-08,,,,,,,,,,,
Sam 18,3.15501e-08,1.19502e-02,4.2049e-03,4.9228e-05,4.5035e-06,7.2676e-08,,,,,,            6.3066,            6.1763,           12.2708,           11.6665,            2.2097,            3.6083,            0.2326,           -0.3417,           -0.7152,          -16.4516,
Ref 19,3.04137e-08,,,,,,1.1875e-02,4.1790e-03,4.8631e-05,4.4507e-06,7.3257e-08,,,,,,,,,,,
Sam 19,3.09713e-08,1.19530e-02,4.2059e-03,4.9230e-05,4.5002e-06,6.9727e-08,,,,,,            6.5124,            6.3382,           12.2476,           11.2794,          -38.5418,            3.8217,            0.3934,           -0.7336,           -1.4192,          -56.9480,
Ref 20,2.99009e-08,,,,,,1.1876e-02,4.1799e-03,4.8638e-05,4.4493e-06,7.1775e-08,,,,,,,,,,,
Sam 20,3.06477e-08,1.19504e-02,4.2052e-03,4.9251e-05,4.5067e-06,7.2628e-08,,,,,,            6.2541,            6.1065,           12.4538,           12.6266,            7.4720,            3.5549,            0.1633,           -0.0390,            0.3719,          -11.0976,
Ref 21,2.95455e-08,,,,,,1.1876e-02,4.1795e-03,4.8652e-05,4.4517e-06,7.2408e-08,,,,,,,,,,,


