Nu Stable Isotope Analysis Program
Data Collected on Friday, October 27, 2023 at 01:19 with Stable 1.71.5 on PS019,Reanalyzed on Friday, October 27, 2023 at 02:19 with Stable 1.71.5 on PS019

Data File = Data_20701 BD1 ZEBRA 70mB2.txt,Sample Weight = 429,                      Vial Location = 42,                       Initial Sam Beam = 2.5027e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0599e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01919
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.62347e-08,,,,,,1.1879e-02,4.1805e-03,4.8681e-05,4.4631e-06,7.1620e-08,
Sam 1,7.62722e-08,1.19464e-02,4.1960e-03,4.9129e-05,4.4951e-06,7.2314e-08,,,,,,            5.6186,            3.6646,            9.1747,            7.2170,           14.5362,            2.9630,           -2.2653,           -0.2402,           -0.1247,            1.2809,
Ref 2,7.49197e-08,,,,,,1.1880e-02,4.1808e-03,4.8684e-05,4.4628e-06,7.0929e-08,,,,,,,,,,,
Sam 2,7.47648e-08,1.19467e-02,4.1961e-03,4.9127e-05,4.4955e-06,7.2263e-08,,,,,,            5.6252,            3.6729,            9.1229,            7.2791,           10.1505,            2.9697,           -2.2571,           -0.3065,           -0.0795,           -3.0706,
Ref 3,7.33906e-08,,,,,,1.1880e-02,4.1807e-03,4.8683e-05,4.4633e-06,7.2156e-08,,,,,,,,,,,
Sam 3,7.37568e-08,1.19465e-02,4.1960e-03,4.9124e-05,4.4957e-06,7.3332e-08,,,,,,            5.6183,            3.6627,            9.0645,            7.0601,           18.1743,            2.9627,           -2.2672,           -0.3472,           -0.2766,            4.8756,
Ref 4,7.23501e-08,,,,,,1.1880e-02,4.1807e-03,4.8683e-05,4.4650e-06,7.1889e-08,,,,,,,,,,,
Sam 4,7.19551e-08,1.19464e-02,4.1961e-03,4.9131e-05,4.4979e-06,7.3270e-08,,,,,,            5.6049,            3.6756,            9.2265,            7.5624,           27.8403,            2.9479,           -2.2543,           -0.1856,            0.1962,           14.4041,
Ref 5,7.05373e-08,,,,,,1.1880e-02,4.1808e-03,4.8680e-05,4.4632e-06,7.0666e-08,,,,,,,,,,,
Sam 5,7.04334e-08,1.19469e-02,4.1963e-03,4.9131e-05,4.4949e-06,7.2642e-08,,,,,,            5.6701,            3.7494,            9.3150,            7.2394,           21.9133,            3.0148,           -2.1810,           -0.2371,           -0.2714,            8.3392,
Ref 6,6.90746e-08,,,,,,1.1879e-02,4.1805e-03,4.8675e-05,4.4620e-06,7.1511e-08,,,,,,,,,,,
Sam 6,6.90654e-08,1.19452e-02,4.1958e-03,4.9117e-05,4.4926e-06,7.2566e-08,,,,,,            5.5577,            3.5862,            8.9533,            6.6999,           17.8563,            2.9009,           -2.3432,           -0.3204,           -0.4819,            4.7767,
Ref 7,6.77304e-08,,,,,,1.1879e-02,4.1811e-03,4.8688e-05,4.4634e-06,7.1071e-08,,,,,,,,,,,
Sam 7,6.77577e-08,1.19457e-02,4.1957e-03,4.9119e-05,4.4960e-06,7.2919e-08,,,,,,            5.6061,            3.5642,            8.8604,            7.2894,           25.5648,            2.9531,           -2.3652,           -0.4403,            0.1473,           12.3782,
Ref 8,6.62926e-08,,,,,,1.1879e-02,4.1805e-03,4.8687e-05,4.4636e-06,7.1132e-08,,,,,,,,,,,
Sam 8,6.63068e-08,1.19457e-02,4.1962e-03,4.9134e-05,4.4944e-06,7.3296e-08,,,,,,            5.6199,            3.7650,            9.2173,            7.0114,           23.3386,            2.9608,           -2.1654,           -0.2978,           -0.5288,            9.7682,
Ref 9,6.53091e-08,,,,,,1.1879e-02,4.1804e-03,4.8684e-05,4.4627e-06,7.2124e-08,,,,,,,,,,,
Sam 9,6.52625e-08,1.19458e-02,4.1957e-03,4.9129e-05,4.4950e-06,7.3276e-08,,,,,,            5.6357,            3.6615,            9.1589,            7.3309,           15.2673,            2.9813,           -2.2684,           -0.2703,           -0.0054,            1.9905,
Ref 10,6.38294e-08,,,,,,1.1879e-02,4.1804e-03,4.8681e-05,4.4618e-06,7.2227e-08,,,,,,,,,,,
Sam 10,6.38619e-08,1.19458e-02,4.1959e-03,4.9130e-05,4.4943e-06,7.2352e-08,,,,,,            5.6401,            3.7130,            9.2788,            7.0665,           10.4622,            2.9842,           -2.2172,           -0.2066,           -0.3704,           -2.8570,
Ref 11,6.25810e-08,,,,,,1.1879e-02,4.1803e-03,4.8676e-05,4.4637e-06,7.0967e-08,,,,,,,,,,,
Sam 11,6.24027e-08,1.19458e-02,4.1958e-03,4.9104e-05,4.4884e-06,7.2356e-08,,,,,,            5.6747,            3.7393,            9.0031,            6.2332,           18.1529,            3.0201,           -2.1911,           -0.5409,           -1.2500,            4.6437,
Ref 12,6.12467e-08,,,,,,1.1878e-02,4.1801e-03,4.8656e-05,4.4574e-06,7.1167e-08,,,,,,,,,,,
Sam 12,6.12837e-08,1.19462e-02,4.1956e-03,4.9102e-05,4.4878e-06,7.1501e-08,,,,,,            5.6445,            3.6919,            9.2407,            7.1510,            6.1124,            2.9896,           -2.2382,           -0.2282,           -0.2447,           -7.1131,
Ref 13,5.98581e-08,,,,,,1.1880e-02,4.1803e-03,4.8649e-05,4.4544e-06,7.0963e-08,,,,,,,,,,,
Sam 13,5.97961e-08,1.19518e-02,4.1967e-03,4.9085e-05,4.4765e-06,6.9270e-08,,,,,,            5.9752,            3.6865,            8.5142,            4.6901,          -17.9439,            3.3417,           -2.2443,           -1.2809,           -2.6767,          -31.1815,
Ref 14,5.86174e-08,,,,,,1.1882e-02,4.1823e-03,4.8692e-05,4.4569e-06,7.0098e-08,,,,,,,,,,,
Sam 14,5.90114e-08,1.19455e-02,4.1960e-03,4.9127e-05,4.4938e-06,7.2375e-08,,,,,,            5.5213,            3.4994,            9.1543,            7.4658,           16.1231,            2.8651,           -2.4295,            0.0013,            0.4516,            3.2752,
Ref 15,5.78439e-08,,,,,,1.1878e-02,4.1803e-03,4.8671e-05,4.4642e-06,7.2371e-08,,,,,,,,,,,
Sam 15,5.80367e-08,1.19451e-02,4.1955e-03,4.9114e-05,4.4935e-06,7.2429e-08,,,,,,            5.6198,            3.6499,            9.0698,            6.7386,           -2.5274,            2.9648,           -2.2800,           -0.3310,           -0.5703,          -15.5326,
Ref 16,5.68133e-08,,,,,,1.1878e-02,4.1802e-03,4.8674e-05,4.4626e-06,7.2859e-08,,,,,,,,,,,
Sam 16,5.69159e-08,1.19458e-02,4.1967e-03,4.9133e-05,4.4942e-06,7.4013e-08,,,,,,            5.6802,            3.9532,            9.3997,            7.3046,           22.0712,            3.0185,           -1.9782,           -0.3633,           -0.6125,            8.0814,
Ref 17,5.57553e-08,,,,,,1.1878e-02,4.1802e-03,4.8677e-05,4.4607e-06,7.1961e-08,,,,,,,,,,,
Sam 17,5.59637e-08,1.19458e-02,4.1960e-03,4.9123e-05,4.4926e-06,7.2403e-08,,,,,,            5.6785,            3.7377,            9.1259,            6.7796,            9.0833,            3.0242,           -2.1927,           -0.4216,           -0.7044,           -4.3065,
Ref 18,5.47889e-08,,,,,,1.1878e-02,4.1806e-03,4.8681e-05,4.4641e-06,7.1537e-08,,,,,,,,,,,
Sam 18,5.49094e-08,1.19450e-02,4.1961e-03,4.9133e-05,4.4946e-06,7.2894e-08,,,,,,            5.4457,            3.3456,            8.9272,            7.3702,           23.4604,            2.7900,           -2.5824,            0.0046,            0.6634,           10.9053,
Ref 19,5.33986e-08,,,,,,1.1882e-02,4.1836e-03,4.8717e-05,4.4592e-06,7.0901e-08,,,,,,,,,,,
Sam 19,5.36004e-08,1.19501e-02,4.1987e-03,4.9144e-05,4.4894e-06,6.9507e-08,,,,,,            5.8962,            4.0422,            9.2566,            6.8162,          -26.4911,            3.2453,           -1.8902,           -0.8133,           -1.2741,          -40.2025,
Ref 20,5.27005e-08,,,,,,1.1878e-02,4.1800e-03,4.8668e-05,4.4589e-06,7.1902e-08,,,,,,,,,,,
Sam 20,5.28888e-08,1.19460e-02,4.1962e-03,4.9126e-05,4.4930e-06,7.1842e-08,,,,,,            5.7604,            3.8837,            9.3444,            7.4376,            0.1879,            3.1062,           -2.0476,           -0.4321,           -0.3422,          -13.4516,
Ref 21,5.17750e-08,,,,,,1.1877e-02,4.1800e-03,4.8674e-05,4.4607e-06,7.1754e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.11929e-08,,,,,,1.1879e-02,4.1818e-03,4.8697e-05,4.4619e-06,7.0177e-08,
Sam 1,5.12886e-08,1.19474e-02,4.1973e-03,4.9137e-05,4.4900e-06,7.1563e-08,,,,,,            5.7154,            3.8062,            9.2748,            6.6944,           18.1060,            3.0611,           -2.1247,           -0.3789,           -0.9253,            4.4226,
Ref 2,5.02727e-08,,,,,,1.1880e-02,4.1809e-03,4.8674e-05,4.4583e-06,7.0405e-08,,,,,,,,,,,
Sam 2,5.05941e-08,1.19463e-02,4.1969e-03,4.9130e-05,4.4913e-06,7.2149e-08,,,,,,            5.4454,            3.4771,            8.8590,            7.0150,           19.6237,            2.7851,           -2.4515,           -0.1917,            0.0484,            6.8563,
Ref 3,4.92951e-08,,,,,,1.1883e-02,4.1838e-03,4.8724e-05,4.4617e-06,7.1123e-08,,,,,,,,,,,
Sam 3,4.96840e-08,1.19472e-02,4.1975e-03,4.9142e-05,4.4917e-06,7.2985e-08,,,,,,            5.5978,            3.6887,            9.1050,            6.8845,           16.2666,            2.9400,           -2.2413,           -0.3116,           -0.5028,            2.9634,
Ref 4,4.86640e-08,,,,,,1.1878e-02,4.1803e-03,4.8673e-05,4.4602e-06,7.2519e-08,,,,,,,,,,,
Sam 4,4.89316e-08,1.19445e-02,4.1954e-03,4.9117e-05,4.4915e-06,7.3223e-08,,,,,,            5.5885,            3.5560,            9.0083,            6.7103,            9.3989,            2.9347,           -2.3733,           -0.2678,           -0.4114,           -3.5454,
Ref 5,4.77747e-08,,,,,,1.1878e-02,4.1808e-03,4.8685e-05,4.4631e-06,7.2563e-08,,,,,,,,,,,
Sam 5,4.81228e-08,1.19445e-02,4.1954e-03,4.9119e-05,4.4940e-06,7.3461e-08,,,,,,            5.6014,            3.5505,            9.0865,            7.0470,            9.7514,            2.9486,           -2.3788,           -0.1980,           -0.0661,           -3.2003,
Ref 6,4.70008e-08,,,,,,1.1878e-02,4.1802e-03,4.8667e-05,4.4620e-06,7.2944e-08,,,,,,,,,,,
Sam 6,4.73253e-08,1.19446e-02,4.1954e-03,4.9111e-05,4.4933e-06,7.3123e-08,,,,,,            5.6208,            3.6042,            9.0158,            7.1605,            6.9474,            2.9674,           -2.3254,           -0.3407,           -0.0604,           -6.0933,
Ref 7,4.61898e-08,,,,,,1.1878e-02,4.1804e-03,4.8678e-05,4.4607e-06,7.2289e-08,,,,,,,,,,,
Sam 7,4.65078e-08,1.19448e-02,4.1957e-03,4.9120e-05,4.4903e-06,7.2813e-08,,,,,,            5.5842,            3.5241,            8.9334,            6.3964,            7.6713,            2.9312,           -2.4051,           -0.3063,           -0.6595,           -5.1841,
Ref 8,4.52999e-08,,,,,,1.1879e-02,4.1816e-03,4.8693e-05,4.4628e-06,7.2228e-08,,,,,,,,,,,
Sam 8,4.56427e-08,1.19451e-02,4.1970e-03,4.9138e-05,4.4936e-06,7.2285e-08,,,,,,            5.6464,            3.8707,            9.3865,            7.0879,            1.3489,            2.9854,           -2.0603,           -0.2609,           -0.6632,          -12.1621,
Ref 9,4.46051e-08,,,,,,1.1877e-02,4.1801e-03,4.8669e-05,4.4612e-06,7.2147e-08,,,,,,,,,,,
Sam 9,4.49231e-08,1.19448e-02,4.1960e-03,4.9125e-05,4.4923e-06,7.3762e-08,,,,,,            5.6939,            3.8017,            9.3305,            7.1620,           20.5813,            3.0384,           -2.1291,           -0.2975,           -0.4523,            6.8963,
Ref 10,4.38542e-08,,,,,,1.1877e-02,4.1801e-03,4.8672e-05,4.4595e-06,7.2404e-08,,,,,,,,,,,
Sam 10,4.42600e-08,1.19441e-02,4.1956e-03,4.9114e-05,4.4924e-06,7.3441e-08,,,,,,            5.5972,            3.7006,            9.1189,            7.4932,           17.7921,            2.9389,           -2.2294,           -0.3089,            0.0777,            4.4462,
Ref 11,4.31257e-08,,,,,,1.1878e-02,4.1802e-03,4.8669e-05,4.4585e-06,7.1906e-08,,,,,,,,,,,
Sam 11,4.35513e-08,1.19435e-02,4.1953e-03,4.9114e-05,4.4909e-06,7.2472e-08,,,,,,            5.5387,            3.6119,            9.1411,            7.3845,            5.1704,            2.8797,           -2.3176,           -0.1399,            0.1465,           -7.7762,
Ref 12,4.24084e-08,,,,,,1.1878e-02,4.1802e-03,4.8669e-05,4.4575e-06,7.2296e-08,,,,,,,,,,,
Sam 12,4.27718e-08,1.19451e-02,4.1961e-03,4.9120e-05,4.4896e-06,7.2229e-08,,,,,,            5.7197,            3.8839,            9.3776,            7.2420,            2.6020,            3.0630,           -2.0473,           -0.3577,           -0.5366,          -11.0282,
Ref 13,4.17195e-08,,,,,,1.1877e-02,4.1796e-03,4.8657e-05,4.4571e-06,7.1784e-08,,,,,,,,,,,
Sam 13,4.21700e-08,1.19433e-02,4.1950e-03,4.9107e-05,4.4917e-06,7.3044e-08,,,,,,            5.5765,            3.6194,            9.1067,            7.4615,           12.0386,            2.9197,           -2.3102,           -0.2202,            0.2080,           -1.0511,
Ref 14,4.10295e-08,,,,,,1.1877e-02,4.1801e-03,4.8670e-05,4.4599e-06,7.2572e-08,,,,,,,,,,,
Sam 14,4.15045e-08,1.19438e-02,4.1955e-03,4.9121e-05,4.4943e-06,7.3487e-08,,,,,,            5.6050,            3.6998,            9.2134,            7.5664,            8.6513,            2.9473,           -2.2303,           -0.2225,            0.1521,           -4.5814,
Ref 15,4.04150e-08,,,,,,1.1877e-02,4.1799e-03,4.8675e-05,4.4613e-06,7.3145e-08,,,,,,,,,,,
Sam 15,4.08530e-08,1.19436e-02,4.1950e-03,4.9115e-05,4.4938e-06,7.4195e-08,,,,,,            5.6131,            3.6327,            9.1480,            7.3452,           11.3764,            2.9582,           -2.2971,           -0.2297,            0.0662,           -1.7692,
Ref 16,3.97830e-08,,,,,,1.1877e-02,4.1798e-03,4.8664e-05,4.4608e-06,7.3579e-08,,,,,,,,,,,
Sam 16,4.02156e-08,1.19436e-02,4.1951e-03,4.9118e-05,4.4927e-06,7.3401e-08,,,,,,            5.6178,            3.6625,            9.2867,            7.0723,           -0.6502,            2.9621,           -2.2674,           -0.1263,           -0.2642,          -13.7021,
Ref 17,3.91424e-08,,,,,,1.1877e-02,4.1798e-03,4.8667e-05,4.4615e-06,7.3317e-08,,,,,,,,,,,
Sam 17,3.95792e-08,1.19437e-02,4.1950e-03,4.9115e-05,4.4930e-06,7.3239e-08,,,,,,            5.6248,            3.6441,            9.1742,            6.9257,            0.4452,            2.9703,           -2.2857,           -0.2270,           -0.3730,          -12.5928,
Ref 18,3.85221e-08,,,,,,1.1877e-02,4.1798e-03,4.8670e-05,4.4627e-06,7.3095e-08,,,,,,,,,,,
Sam 18,3.89275e-08,1.19436e-02,4.1950e-03,4.9111e-05,4.4915e-06,7.2789e-08,,,,,,            5.6206,            3.6367,            9.0405,            6.8396,            3.2406,            2.9660,           -2.2931,           -0.3478,           -0.4438,           -9.8150,
Ref 19,3.79043e-08,,,,,,1.1877e-02,4.1799e-03,4.8671e-05,4.4592e-06,7.2004e-08,,,,,,,,,,,
Sam 19,3.83678e-08,1.19435e-02,4.1951e-03,4.9110e-05,4.4898e-06,7.3268e-08,,,,,,            5.6072,            3.6454,            9.0543,            6.7969,            9.0473,            2.9515,           -2.2844,           -0.3290,           -0.5035,           -4.0868,
Ref 20,3.72772e-08,,,,,,1.1877e-02,4.1798e-03,4.8667e-05,4.4598e-06,7.3229e-08,,,,,,,,,,,
Sam 20,3.77664e-08,1.19434e-02,4.1950e-03,4.9109e-05,4.4912e-06,7.3980e-08,,,,,,            5.6069,            3.6465,            9.1223,            6.9740,           13.2839,            2.9511,           -2.2833,           -0.2623,           -0.3298,            0.0929,
Ref 21,3.67290e-08,,,,,,1.1877e-02,4.1798e-03,4.8664e-05,4.4603e-06,7.2789e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.64358e-08,,,,,,1.1877e-02,4.1797e-03,4.8668e-05,4.4606e-06,6.9615e-08,
Sam 1,3.68837e-08,1.19440e-02,4.1954e-03,4.9118e-05,4.4907e-06,7.3269e-08,,,,,,            5.6618,            3.7543,            9.3003,            6.9899,           33.6101,            3.0058,           -2.1761,           -0.2480,           -0.5288,           19.8798,
Ref 2,3.58555e-08,,,,,,1.1877e-02,4.1797e-03,4.8662e-05,4.4585e-06,7.2178e-08,,,,,,,,,,,
Sam 2,3.63496e-08,1.19433e-02,4.1950e-03,4.9110e-05,4.4894e-06,7.2756e-08,,,,,,            5.6122,            3.6458,            9.1542,            6.9674,           -0.3464,            2.9568,           -2.2840,           -0.2355,           -0.3351,          -13.3643,
Ref 3,3.53174e-08,,,,,,1.1877e-02,4.1798e-03,4.8667e-05,4.4582e-06,7.3394e-08,,,,,,,,,,,
Sam 3,3.58080e-08,1.19432e-02,4.1949e-03,4.9104e-05,4.4928e-06,7.1300e-08,,,,,,            5.6073,            3.6284,            8.8958,            7.6233,          -25.5910,            2.9522,           -2.3014,           -0.4694,            0.3509,          -38.2421,
Ref 4,3.47616e-08,,,,,,1.1877e-02,4.1797e-03,4.8675e-05,4.4594e-06,7.2947e-08,,,,,,,,,,,
Sam 4,3.52565e-08,1.19434e-02,4.1950e-03,4.9104e-05,4.4907e-06,7.4677e-08,,,,,,            5.6277,            3.6685,            8.9021,            7.1139,           27.3766,            2.9725,           -2.2615,           -0.5234,           -0.2348,           13.9360,
Ref 5,3.42329e-08,,,,,,1.1877e-02,4.1796e-03,4.8666e-05,4.4586e-06,7.2423e-08,,,,,,,,,,,
Sam 5,3.47123e-08,1.19433e-02,4.1949e-03,4.9111e-05,4.4898e-06,7.3952e-08,,,,,,            5.6200,            3.6559,            9.1416,            6.7507,            8.9021,            2.9648,           -2.2740,           -0.2659,           -0.5702,           -4.2640,
Ref 6,3.36947e-08,,,,,,1.1876e-02,4.1797e-03,4.8667e-05,4.4608e-06,7.4190e-08,,,,,,,,,,,
Sam 6,3.41946e-08,1.19432e-02,4.1950e-03,4.9107e-05,4.4900e-06,7.2180e-08,,,,,,            5.6187,            3.6742,            9.0980,            6.6553,          -12.2284,            2.9628,           -2.2558,           -0.3257,           -0.7013,          -25.1524,
Ref 7,3.31902e-08,,,,,,1.1876e-02,4.1796e-03,4.8662e-05,4.4598e-06,7.1940e-08,,,,,,,,,,,
Sam 7,3.36836e-08,1.19433e-02,4.1953e-03,4.9118e-05,4.4903e-06,7.1343e-08,,,,,,            5.4023,            3.4231,            9.1925,            7.9445,            3.7291,            2.7411,           -2.5052,            0.2360,            1.0792,           -8.6892,
Ref 8,3.24509e-08,,,,,,1.1882e-02,4.1824e-03,4.8679e-05,4.4500e-06,7.0196e-08,,,,,,,,,,,
Sam 8,3.29153e-08,1.19485e-02,4.1983e-03,4.9135e-05,4.4789e-06,6.9325e-08,,,,,,            5.7667,            3.9540,            9.4313,            6.0719,          -10.0897,            3.1105,           -1.9777,           -0.4214,           -1.8371,          -23.7300,
Ref 9,3.20746e-08,,,,,,1.1878e-02,4.1811e-03,4.8673e-05,4.4538e-06,6.9865e-08,,,,,,,,,,,
Sam 9,3.22579e-08,1.19548e-02,4.2008e-03,4.9157e-05,4.4733e-06,6.6741e-08,,,,,,            6.3113,            4.4455,            9.5798,            4.5785,          -35.4241,            3.6731,           -1.4897,           -1.3130,           -4.2941,          -50.1775,
Ref 10,3.15100e-08,,,,,,1.1881e-02,4.1833e-03,4.8707e-05,4.4521e-06,6.8507e-08,,,,,,,,,,,
Sam 10,3.21142e-08,1.19456e-02,4.1967e-03,4.9119e-05,4.4837e-06,7.1121e-08,,,,,,            5.5526,            3.4548,            8.6129,            6.6078,           14.4343,            2.8999,           -2.4739,           -0.5236,           -0.3116,            1.6621,
Ref 11,3.11766e-08,,,,,,1.1878e-02,4.1812e-03,4.8692e-05,4.4565e-06,7.1728e-08,,,,,,,,,,,
Sam 11,3.17548e-08,1.19432e-02,4.1958e-03,4.9117e-05,4.4899e-06,7.1391e-08,,,,,,            5.5707,            3.6399,            8.9538,            7.4389,          -11.7370,            2.9128,           -2.2898,           -0.3858,            0.1449,          -24.5523,
Ref 12,3.07708e-08,,,,,,1.1876e-02,4.1800e-03,4.8670e-05,4.4570e-06,7.2756e-08,,,,,,,,,,,
Sam 12,3.12699e-08,1.19435e-02,4.1964e-03,4.9140e-05,4.4921e-06,7.3167e-08,,,,,,            5.6585,            3.9198,            9.5733,            7.6623,           13.5082,            2.9966,           -2.0115,           -0.1364,           -0.1911,           -0.2759,
Ref 13,3.03127e-08,,,,,,1.1876e-02,4.1801e-03,4.8677e-05,4.4588e-06,7.1620e-08,,,,,,,,,,,
Sam 13,3.08508e-08,1.19430e-02,4.1954e-03,4.9120e-05,4.4897e-06,7.4132e-08,,,,,,            5.6146,            3.7253,            9.2450,            7.2777,           25.6069,            2.9566,           -2.2049,           -0.2260,           -0.1853,           12.0908,
Ref 14,2.98789e-08,,,,,,1.1876e-02,4.1796e-03,4.8663e-05,4.4557e-06,7.2953e-08,,,,,,,,,,,
Sam 14,3.04259e-08,1.19430e-02,4.1951e-03,4.9113e-05,4.4910e-06,7.1847e-08,,,,,,            5.6251,            3.7218,            9.1873,            7.8212,           -8.5199,            2.9679,           -2.2084,           -0.2905,            0.3610,          -21.5903,
Ref 15,2.94476e-08,,,,,,1.1876e-02,4.1795e-03,4.8669e-05,4.4565e-06,7.1969e-08,,,,,,,,,,,
Sam 15,3.00037e-08,1.19428e-02,4.1948e-03,4.9111e-05,4.4890e-06,7.2476e-08,,,,,,            5.6191,            3.6585,            9.1112,            7.2169,           14.8906,            2.9637,           -2.2714,           -0.2977,           -0.1127,            1.6421,
Ref 16,2.90270e-08,,,,,,1.1876e-02,4.1796e-03,4.8667e-05,4.4572e-06,7.0849e-08,,,,,,,,,,,
Sam 16,2.95822e-08,1.19427e-02,4.1950e-03,4.9108e-05,4.4884e-06,7.1587e-08,,,,,,            5.6151,            3.6860,            9.0706,            7.0293,           -1.3274,            2.9585,           -2.2441,           -0.3607,           -0.3536,          -14.4131,
Ref 17,2.86021e-08,,,,,,1.1876e-02,4.1795e-03,4.8666e-05,4.4569e-06,7.2527e-08,,,,,,,,,,,
Sam 17,2.91621e-08,1.19428e-02,4.1948e-03,4.9109e-05,4.4872e-06,7.1870e-08,,,,,,            5.6238,            3.6528,            9.1595,            6.7810,            7.0963,            2.9689,           -2.2771,           -0.2490,           -0.5340,           -6.0442,
Ref 18,2.82191e-08,,,,,,1.1876e-02,4.1795e-03,4.8661e-05,4.4570e-06,7.0185e-08,,,,,,,,,,,
Sam 18,2.87788e-08,1.19426e-02,4.1948e-03,4.9108e-05,4.4876e-06,7.3504e-08,,,,,,            5.6103,            3.6465,            9.1750,            6.7707,           29.0256,            2.9548,           -2.2833,           -0.2137,           -0.5317,           15.6259,
Ref 19,2.78099e-08,,,,,,1.1876e-02,4.1795e-03,4.8663e-05,4.4578e-06,7.2696e-08,,,,,,,,,,,
Sam 19,2.83713e-08,1.19427e-02,4.1948e-03,4.9106e-05,4.4873e-06,7.2153e-08,,,,,,            5.6158,            3.6437,            9.1355,            6.5791,           -9.9589,            2.9607,           -2.2861,           -0.2558,           -0.7164,          -22.8512,
Ref 20,2.74253e-08,,,,,,1.1876e-02,4.1795e-03,4.8661e-05,4.4583e-06,7.3063e-08,,,,,,,,,,,
Sam 20,2.79814e-08,1.19426e-02,4.1948e-03,4.9105e-05,4.4873e-06,7.0538e-08,,,,,,            5.6108,            3.6529,            9.1057,            6.4619,          -26.6182,            2.9551,           -2.2769,           -0.2892,           -0.8509,          -39.3058,
Ref 21,2.70207e-08,,,,,,1.1876e-02,4.1795e-03,4.8664e-05,4.4586e-06,7.1861e-08,,,,,,,,,,,


