Nu Stable Isotope Analysis Program
Data Collected on Friday, October 27, 2023 at 08:48 with Stable 1.71.5 on PS019,Reanalyzed on Friday, October 27, 2023 at 09:47 with Stable 1.71.5 on PS019

Data File = Data_20706 IAEA-C2.txt,       Sample Weight = 405,                      Vial Location = 47,                       Initial Sam Beam = 2.5022e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6522e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01698
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.20748e-08,,,,,,1.1879e-02,4.1805e-03,4.8679e-05,4.4644e-06,7.1451e-08,
Sam 1,7.15393e-08,1.18205e-02,4.1984e-03,4.8630e-05,4.5018e-06,7.2249e-08,,,,,,           -4.9579,            4.2743,           -1.0261,            8.2784,           14.0747,           -8.3144,           -1.6355,           -0.1023,           -0.2860,           10.9301,
Ref 2,7.08742e-08,,,,,,1.1880e-02,4.1806e-03,4.8682e-05,4.4653e-06,7.1037e-08,,,,,,,,,,,
Sam 2,7.01855e-08,1.18205e-02,4.1984e-03,4.8629e-05,4.5009e-06,7.1928e-08,,,,,,           -4.9695,            4.2432,           -1.0872,            7.9613,            9.1331,           -8.3256,           -1.6664,           -0.1210,           -0.5386,            6.0775,
Ref 3,6.94643e-08,,,,,,1.1880e-02,4.1807e-03,4.8682e-05,4.4653e-06,7.1521e-08,,,,,,,,,,,
Sam 3,6.92325e-08,1.18204e-02,4.1984e-03,4.8632e-05,4.5017e-06,7.2396e-08,,,,,,           -4.9728,            4.2421,           -1.0606,            8.2665,            2.6120,           -8.3291,           -1.6675,           -0.0900,           -0.2338,           -0.4183,
Ref 4,6.82876e-08,,,,,,1.1879e-02,4.1806e-03,4.8686e-05,4.4642e-06,7.2905e-08,,,,,,,,,,,
Sam 4,6.78811e-08,1.18204e-02,4.1983e-03,4.8631e-05,4.5035e-06,7.3068e-08,,,,,,           -4.9685,            4.2451,           -1.1376,            8.6837,           -2.1860,           -8.3247,           -1.6645,           -0.1744,            0.1739,           -5.2122,
Ref 5,6.70971e-08,,,,,,1.1879e-02,4.1806e-03,4.8688e-05,4.4652e-06,7.3557e-08,,,,,,,,,,,
Sam 5,6.65352e-08,1.18203e-02,4.1983e-03,4.8628e-05,4.5026e-06,7.5613e-08,,,,,,           -4.9711,            4.2414,           -1.1854,            8.3791,           45.8162,           -8.3273,           -1.6682,           -0.2159,           -0.1208,           42.6550,
Ref 6,6.57832e-08,,,,,,1.1879e-02,4.1806e-03,4.8684e-05,4.4651e-06,7.1019e-08,,,,,,,,,,,
Sam 6,6.52591e-08,1.18203e-02,4.1984e-03,4.8632e-05,4.5039e-06,7.2650e-08,,,,,,           -4.9709,            4.2514,           -1.1029,            8.7714,           17.6992,           -8.3275,           -1.6583,           -0.1433,            0.2484,           14.6030,
Ref 7,6.44476e-08,,,,,,1.1879e-02,4.1807e-03,4.8688e-05,4.4644e-06,7.1761e-08,,,,,,,,,,,
Sam 7,6.39315e-08,1.18202e-02,4.1984e-03,4.8637e-05,4.5036e-06,7.2581e-08,,,,,,           -4.9638,            4.2649,           -0.9991,            8.7607,           13.4945,           -8.3203,           -1.6448,           -0.0601,            0.2108,           10.3765,
Ref 8,6.29984e-08,,,,,,1.1879e-02,4.1805e-03,4.8683e-05,4.4646e-06,7.1465e-08,,,,,,,,,,,
Sam 8,6.26589e-08,1.18202e-02,4.1985e-03,4.8634e-05,4.5026e-06,7.2686e-08,,,,,,           -4.9598,            4.2794,           -1.0535,            8.4245,           13.1072,           -8.3166,           -1.6304,           -0.1327,           -0.1514,            9.9576,
Ref 9,6.18534e-08,,,,,,1.1879e-02,4.1806e-03,4.8688e-05,4.4654e-06,7.2031e-08,,,,,,,,,,,
Sam 9,6.14604e-08,1.18200e-02,4.1982e-03,4.8630e-05,4.5020e-06,7.3492e-08,,,,,,           -4.9671,            4.2292,           -1.1326,            8.2769,           16.9401,           -8.3226,           -1.6804,           -0.1552,           -0.1977,           13.8861,
Ref 10,6.06753e-08,,,,,,1.1879e-02,4.1804e-03,4.8683e-05,4.4646e-06,7.2510e-08,,,,,,,,,,,
Sam 10,6.03022e-08,1.18199e-02,4.1982e-03,4.8627e-05,4.5017e-06,7.2000e-08,,,,,,           -4.9651,            4.2513,           -1.1483,            8.2380,           -0.3511,           -8.3212,           -1.6584,           -0.1947,           -0.2803,           -3.3985,
Ref 11,5.95119e-08,,,,,,1.1879e-02,4.1804e-03,4.8682e-05,4.4652e-06,7.1532e-08,,,,,,,,,,,
Sam 11,5.91832e-08,1.18198e-02,4.1981e-03,4.8629e-05,4.5010e-06,7.2881e-08,,,,,,           -4.9687,            4.2483,           -1.0915,            8.0258,           15.7614,           -8.3250,           -1.6613,           -0.1312,           -0.4849,           12.6746,
Ref 12,5.83525e-08,,,,,,1.1879e-02,4.1803e-03,4.8683e-05,4.4651e-06,7.1973e-08,,,,,,,,,,,
Sam 12,5.80785e-08,1.18198e-02,4.1981e-03,4.8628e-05,4.5027e-06,7.3233e-08,,,,,,           -4.9651,            4.2473,           -1.0305,            8.6391,           20.4274,           -8.3210,           -1.6624,           -0.0728,            0.1254,           17.3246,
Ref 13,5.72821e-08,,,,,,1.1879e-02,4.1803e-03,4.8673e-05,4.4631e-06,7.1557e-08,,,,,,,,,,,
Sam 13,5.69785e-08,1.18198e-02,4.1981e-03,4.8628e-05,4.5012e-06,7.3596e-08,,,,,,           -4.9611,            4.2556,           -0.9898,            8.3727,           22.4219,           -8.3171,           -1.6541,           -0.0444,           -0.1553,           19.2921,
Ref 14,5.61846e-08,,,,,,1.1879e-02,4.1803e-03,4.8679e-05,4.4646e-06,7.2414e-08,,,,,,,,,,,
Sam 14,5.59876e-08,1.18196e-02,4.1980e-03,4.8625e-05,4.5010e-06,7.2928e-08,,,,,,           -4.9690,            4.2491,           -1.0865,            8.2868,            8.1951,           -8.3253,           -1.6605,           -0.1268,           -0.2277,            5.1301,
Ref 15,5.52597e-08,,,,,,1.1879e-02,4.1803e-03,4.8678e-05,4.4634e-06,7.2254e-08,,,,,,,,,,,
Sam 15,5.49993e-08,1.18195e-02,4.1980e-03,4.8629e-05,4.5022e-06,7.3913e-08,,,,,,           -4.9701,            4.2546,           -1.0022,            8.7350,           20.7813,           -8.3267,           -1.6550,           -0.0465,            0.2058,           17.6682,
Ref 16,5.41872e-08,,,,,,1.1878e-02,4.1802e-03,4.8679e-05,4.4631e-06,7.2566e-08,,,,,,,,,,,
Sam 16,5.40109e-08,1.18196e-02,4.1979e-03,4.8623e-05,4.5016e-06,7.2938e-08,,,,,,           -4.9513,            4.2345,           -1.1345,            8.5866,            3.8007,           -8.3060,           -1.6751,           -0.1788,            0.0986,            0.7588,
Ref 17,5.32264e-08,,,,,,1.1878e-02,4.1803e-03,4.8678e-05,4.4635e-06,7.2760e-08,,,,,,,,,,,
Sam 17,5.31080e-08,1.18194e-02,4.1979e-03,4.8623e-05,4.5027e-06,7.3535e-08,,,,,,           -4.9636,            4.2260,           -1.1430,            8.7283,           10.0291,           -8.3187,           -1.6835,           -0.1661,            0.2562,            6.9984,
Ref 18,5.22250e-08,,,,,,1.1878e-02,4.1802e-03,4.8679e-05,4.4639e-06,7.2851e-08,,,,,,,,,,,
Sam 18,5.21338e-08,1.18193e-02,4.1979e-03,4.8618e-05,4.5020e-06,7.2529e-08,,,,,,           -4.9645,            4.2334,           -1.1832,            8.5810,            1.0618,           -8.3200,           -1.6762,           -0.2127,            0.0955,           -1.9555,
Ref 19,5.12870e-08,,,,,,1.1878e-02,4.1802e-03,4.8672e-05,4.4635e-06,7.2046e-08,,,,,,,,,,,
Sam 19,5.12038e-08,1.18192e-02,4.1979e-03,4.8625e-05,4.5028e-06,7.3326e-08,,,,,,           -4.9678,            4.2318,           -1.0566,            8.8122,           13.3137,           -8.3234,           -1.6778,           -0.0810,            0.3279,           10.2662,
Ref 20,5.04330e-08,,,,,,1.1878e-02,4.1802e-03,4.8681e-05,4.4634e-06,7.2684e-08,,,,,,,,,,,
Sam 20,5.02903e-08,1.18191e-02,4.1978e-03,4.8626e-05,4.5020e-06,7.3509e-08,,,,,,           -4.9661,            4.2275,           -1.0340,            8.5383,            8.7942,           -8.3215,           -1.6820,           -0.0559,            0.0648,            5.7668,
Ref 21,4.95401e-08,,,,,,1.1878e-02,4.1801e-03,4.8672e-05,4.4643e-06,7.3056e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.91851e-08,,,,,,1.1878e-02,4.1801e-03,4.8677e-05,4.4642e-06,7.1864e-08,
Sam 1,4.91124e-08,1.18190e-02,4.1978e-03,4.8616e-05,4.5011e-06,7.3539e-08,,,,,,           -4.9707,            4.2201,           -1.2017,            8.2838,           27.4404,           -8.3261,           -1.6894,           -0.2117,           -0.1729,           24.3770,
Ref 2,4.82674e-08,,,,,,1.1878e-02,4.1801e-03,4.8673e-05,4.4640e-06,7.1281e-08,,,,,,,,,,,
Sam 2,4.82385e-08,1.18190e-02,4.1978e-03,4.8621e-05,4.5013e-06,7.3815e-08,,,,,,           -4.9596,            4.2313,           -1.0844,            8.3591,           32.6359,           -8.3146,           -1.6783,           -0.1168,           -0.1204,           29.5222,
Ref 3,4.73958e-08,,,,,,1.1878e-02,4.1801e-03,4.8676e-05,4.4640e-06,7.1687e-08,,,,,,,,,,,
Sam 3,4.74606e-08,1.18189e-02,4.1977e-03,4.8617e-05,4.4983e-06,7.2866e-08,,,,,,           -4.9623,            4.2268,           -1.1515,            7.8855,           14.8658,           -8.3174,           -1.6828,           -0.1768,           -0.5810,           11.8176,
Ref 4,4.66204e-08,,,,,,1.1878e-02,4.1800e-03,4.8671e-05,4.4623e-06,7.1912e-08,,,,,,,,,,,
Sam 4,4.66288e-08,1.18189e-02,4.1977e-03,4.8620e-05,4.5001e-06,7.3058e-08,,,,,,           -4.9635,            4.2325,           -1.0487,            8.6170,           13.9657,           -8.3189,           -1.6771,           -0.0782,            0.1329,           10.9102,
Ref 5,4.57880e-08,,,,,,1.1878e-02,4.1800e-03,4.8672e-05,4.4611e-06,7.2193e-08,,,,,,,,,,,
Sam 5,4.58556e-08,1.18187e-02,4.1977e-03,4.8619e-05,4.5003e-06,7.3108e-08,,,,,,           -4.9671,            4.2413,           -1.0886,            8.6692,            7.2988,           -8.3230,           -1.6684,           -0.1230,            0.1672,            4.2500,
Ref 6,4.50158e-08,,,,,,1.1878e-02,4.1800e-03,4.8673e-05,4.4622e-06,7.2970e-08,,,,,,,,,,,
Sam 6,4.51020e-08,1.18187e-02,4.1977e-03,4.8624e-05,4.4992e-06,7.3188e-08,,,,,,           -4.9673,            4.2325,           -1.0037,            8.2135,            9.8048,           -8.3229,           -1.6771,           -0.0293,           -0.2671,            6.7659,
Ref 7,4.42594e-08,,,,,,1.1878e-02,4.1801e-03,4.8673e-05,4.4629e-06,7.1975e-08,,,,,,,,,,,
Sam 7,4.43654e-08,1.18186e-02,4.1977e-03,4.8620e-05,4.5000e-06,7.4113e-08,,,,,,           -4.9652,            4.2197,           -1.1344,            8.2459,           23.2609,           -8.3203,           -1.6898,           -0.1497,           -0.2096,           20.2048,
Ref 8,4.35209e-08,,,,,,1.1878e-02,4.1800e-03,4.8677e-05,4.4634e-06,7.2888e-08,,,,,,,,,,,
Sam 8,4.36429e-08,1.18186e-02,4.1979e-03,4.8626e-05,4.5021e-06,7.3426e-08,,,,,,           -4.9622,            4.2394,           -1.0676,            8.3011,           19.4798,           -8.3177,           -1.6702,           -0.1053,           -0.1941,           16.3926,
Ref 9,4.27912e-08,,,,,,1.1878e-02,4.1803e-03,4.8678e-05,4.4666e-06,7.1143e-08,,,,,,,,,,,
Sam 9,4.29332e-08,1.18188e-02,4.1980e-03,4.8628e-05,4.5012e-06,7.4519e-08,,,,,,           -4.9517,            4.2332,           -1.0243,            8.0465,           47.2987,           -8.3063,           -1.6764,           -0.0667,           -0.4341,           44.1282,
Ref 10,4.20878e-08,,,,,,1.1878e-02,4.1802e-03,4.8677e-05,4.4639e-06,7.1164e-08,,,,,,,,,,,
Sam 10,4.22589e-08,1.18185e-02,4.1976e-03,4.8619e-05,4.5023e-06,7.4887e-08,,,,,,           -4.9680,            4.1993,           -1.2065,            8.5917,           37.8006,           -8.3225,           -1.7101,           -0.1990,            0.1739,           34.7454,
Ref 11,4.14073e-08,,,,,,1.1877e-02,4.1799e-03,4.8678e-05,4.4640e-06,7.3171e-08,,,,,,,,,,,
Sam 11,4.15914e-08,1.18184e-02,4.1976e-03,4.8623e-05,4.4997e-06,7.3780e-08,,,,,,           -4.9692,            4.2237,           -1.1071,            8.0001,            4.0243,           -8.3247,           -1.6858,           -0.1222,           -0.4614,            1.0220,
Ref 12,4.07355e-08,,,,,,1.1877e-02,4.1799e-03,4.8676e-05,4.4639e-06,7.3803e-08,,,,,,,,,,,
Sam 12,4.09349e-08,1.18183e-02,4.1976e-03,4.8626e-05,4.5000e-06,7.2775e-08,,,,,,           -4.9626,            4.2345,           -1.0000,            8.1495,            0.2978,           -8.3180,           -1.6751,           -0.0324,           -0.3347,           -2.7215,
Ref 13,4.00772e-08,,,,,,1.1877e-02,4.1799e-03,4.8673e-05,4.4634e-06,7.1687e-08,,,,,,,,,,,
Sam 13,4.02934e-08,1.18184e-02,4.1976e-03,4.8621e-05,4.5010e-06,7.3539e-08,,,,,,           -4.9575,            4.2230,           -1.1386,            8.5152,           20.5162,           -8.3122,           -1.6865,           -0.1651,            0.0509,           17.4533,
Ref 14,3.94309e-08,,,,,,1.1877e-02,4.1800e-03,4.8681e-05,4.4625e-06,7.2440e-08,,,,,,,,,,,
Sam 14,3.96690e-08,1.18183e-02,4.1976e-03,4.8626e-05,4.5002e-06,7.3331e-08,,,,,,           -4.9581,            4.2328,           -1.1331,            8.5700,            6.2747,           -8.3131,           -1.6768,           -0.1687,            0.0856,            3.2359,
Ref 15,3.88100e-08,,,,,,1.1877e-02,4.1798e-03,4.8680e-05,4.4614e-06,7.3313e-08,,,,,,,,,,,
Sam 15,3.90551e-08,1.18182e-02,4.1976e-03,4.8623e-05,4.4978e-06,7.4964e-08,,,,,,           -4.9577,            4.2341,           -1.1028,            7.8031,           14.2617,           -8.3128,           -1.6755,           -0.1400,           -0.6774,           11.1958,
Ref 16,3.81957e-08,,,,,,1.1877e-02,4.1799e-03,4.8673e-05,4.4646e-06,7.4516e-08,,,,,,,,,,,
Sam 16,3.84535e-08,1.18181e-02,4.1976e-03,4.8615e-05,4.5007e-06,7.3347e-08,,,,,,           -4.9627,            4.2373,           -1.2068,            8.0871,           -4.5726,           -8.3182,           -1.6723,           -0.2420,           -0.4020,           -7.5824,
Ref 17,3.75952e-08,,,,,,1.1877e-02,4.1798e-03,4.8673e-05,4.4645e-06,7.2838e-08,,,,,,,,,,,
Sam 17,3.78580e-08,1.18182e-02,4.1975e-03,4.8615e-05,4.5003e-06,7.3055e-08,,,,,,           -4.9531,            4.2311,           -1.1875,            8.3650,            1.4045,           -8.3077,           -1.6785,           -0.2266,           -0.1143,           -1.6216,
Ref 18,3.70040e-08,,,,,,1.1877e-02,4.1798e-03,4.8673e-05,4.4615e-06,7.3069e-08,,,,,,,,,,,
Sam 18,3.72930e-08,1.18181e-02,4.1975e-03,4.8614e-05,4.4997e-06,7.2992e-08,,,,,,           -4.9602,            4.2327,           -1.1968,            8.6853,            9.7587,           -8.3154,           -1.6769,           -0.2300,            0.2002,            6.7120,
Ref 19,3.64323e-08,,,,,,1.1877e-02,4.1798e-03,4.8672e-05,4.4604e-06,7.1492e-08,,,,,,,,,,,
Sam 19,3.67167e-08,1.18180e-02,4.1975e-03,4.8620e-05,4.4991e-06,7.3582e-08,,,,,,           -4.9572,            4.2328,           -1.0386,            8.5716,           14.1785,           -8.3122,           -1.6768,           -0.0750,            0.0873,           11.1149,
Ref 20,3.58636e-08,,,,,,1.1877e-02,4.1798e-03,4.8670e-05,4.4614e-06,7.3632e-08,,,,,,,,,,,
Sam 20,3.61603e-08,1.18180e-02,4.1975e-03,4.8615e-05,4.4983e-06,7.5619e-08,,,,,,           -4.9536,            4.2355,           -1.1047,            8.2703,           11.4288,           -8.3085,           -1.6741,           -0.1475,           -0.2169,            8.3643,
Ref 21,3.53104e-08,,,,,,1.1877e-02,4.1797e-03,4.8668e-05,4.4613e-06,7.5915e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.50367e-08,,,,,,1.1877e-02,4.1798e-03,4.8664e-05,4.4654e-06,7.3467e-08,
Sam 1,3.53910e-08,1.18180e-02,4.1975e-03,4.8616e-05,4.5010e-06,7.5268e-08,,,,,,           -4.9566,            4.2246,           -1.0534,            8.2475,           18.8264,           -8.3113,           -1.6849,           -0.0823,           -0.2178,           15.7644,
Ref 2,3.45025e-08,,,,,,1.1877e-02,4.1799e-03,4.8670e-05,4.4630e-06,7.4293e-08,,,,,,,,,,,
Sam 2,3.48627e-08,1.18179e-02,4.1975e-03,4.8620e-05,4.4996e-06,7.4731e-08,,,,,,           -4.9622,            4.2235,           -1.0331,            8.2208,            7.5396,           -8.3172,           -1.6860,           -0.0551,           -0.2420,            4.5198,
Ref 3,3.39766e-08,,,,,,1.1877e-02,4.1798e-03,4.8671e-05,4.4627e-06,7.4049e-08,,,,,,,,,,,
Sam 3,3.43431e-08,1.18178e-02,4.1974e-03,4.8613e-05,4.4961e-06,7.4227e-08,,,,,,           -4.9620,            4.2185,           -1.1695,            7.6505,            8.4307,           -8.3168,           -1.6911,           -0.1869,           -0.7975,            5.4179,
Ref 4,3.34910e-08,,,,,,1.1877e-02,4.1797e-03,4.8669e-05,4.4612e-06,7.3157e-08,,,,,,,,,,,
Sam 4,3.37952e-08,1.18178e-02,4.1975e-03,4.8621e-05,4.4967e-06,7.4314e-08,,,,,,           -4.9566,            4.2485,           -1.0006,            7.9537,            8.3177,           -8.3121,           -1.6612,           -0.0529,           -0.5567,            5.2402,
Ref 5,3.29439e-08,,,,,,1.1877e-02,4.1797e-03,4.8669e-05,4.4613e-06,7.4253e-08,,,,,,,,,,,
Sam 5,3.33350e-08,1.18178e-02,4.1976e-03,4.8624e-05,4.4991e-06,7.5093e-08,,,,,,           -4.9652,            4.2463,           -1.0307,            8.5876,            7.4875,           -8.3211,           -1.6633,           -0.0720,            0.0762,            4.4260,
Ref 6,3.25003e-08,,,,,,1.1877e-02,4.1800e-03,4.8679e-05,4.4603e-06,7.4821e-08,,,,,,,,,,,
Sam 6,3.28392e-08,1.18178e-02,4.1974e-03,4.8612e-05,4.4978e-06,7.3036e-08,,,,,,           -4.9590,            4.1990,           -1.2381,            8.5064,          -23.5607,           -8.3130,           -1.7104,           -0.2397,            0.0898,          -26.4440,
Ref 7,3.19892e-08,,,,,,1.1877e-02,4.1797e-03,4.8664e-05,4.4594e-06,7.4775e-08,,,,,,,,,,,
Sam 7,3.23608e-08,1.18178e-02,4.1977e-03,4.8624e-05,4.4990e-06,7.2253e-08,,,,,,           -4.9511,            4.2858,           -0.8853,            8.7540,          -24.8250,           -8.3076,           -1.6241,            0.0203,            0.1626,          -27.8779,
Ref 8,3.15191e-08,,,,,,1.1877e-02,4.1798e-03,4.8669e-05,4.4606e-06,7.3400e-08,,,,,,,,,,,
Sam 8,3.18939e-08,1.18177e-02,4.1977e-03,4.8621e-05,4.5007e-06,7.4040e-08,,,,,,           -4.9514,            4.2774,           -0.9242,            8.7137,           17.2049,           -8.3075,           -1.6324,           -0.0102,            0.1394,           14.0373,
Ref 9,3.10496e-08,,,,,,1.1876e-02,4.1797e-03,4.8662e-05,4.4631e-06,7.2166e-08,,,,,,,,,,,
Sam 9,3.14507e-08,1.18176e-02,4.1974e-03,4.8623e-05,4.4973e-06,7.3275e-08,,,,,,           -4.9446,            4.2292,           -0.8771,            8.0002,            2.6838,           -8.2986,           -1.6804,            0.0771,           -0.4722,           -0.3516,
Ref 10,3.05917e-08,,,,,,1.1876e-02,4.1796e-03,4.8669e-05,4.4601e-06,7.4006e-08,,,,,,,,,,,
Sam 10,3.09831e-08,1.18176e-02,4.1976e-03,4.8616e-05,4.4991e-06,7.3948e-08,,,,,,           -4.9517,            4.2709,           -1.0643,            8.5731,            9.1303,           -8.3077,           -1.6389,           -0.1437,            0.0128,            6.0010,
Ref 11,3.01467e-08,,,,,,1.1877e-02,4.1799e-03,4.8667e-05,4.4617e-06,7.2542e-08,,,,,,,,,,,
Sam 11,3.05580e-08,1.18174e-02,4.1974e-03,4.8617e-05,4.4981e-06,7.4673e-08,,,,,,           -4.9644,            4.2068,           -0.9740,            8.2470,           26.0787,           -8.3190,           -1.7027,            0.0227,           -0.1827,           23.0393,
Ref 12,2.97081e-08,,,,,,1.1876e-02,4.1796e-03,4.8661e-05,4.4609e-06,7.3011e-08,,,,,,,,,,,
Sam 12,3.01334e-08,1.18174e-02,4.1973e-03,4.8615e-05,4.4970e-06,7.2977e-08,,,,,,           -4.9590,            4.2283,           -1.0419,            8.1728,           -5.6803,           -8.3140,           -1.6813,           -0.0720,           -0.2992,           -8.6732,
Ref 13,2.92785e-08,,,,,,1.1876e-02,4.1796e-03,4.8670e-05,4.4603e-06,7.3783e-08,,,,,,,,,,,
Sam 13,2.96768e-08,1.18174e-02,4.1973e-03,4.8617e-05,4.4973e-06,7.2365e-08,,,,,,           -4.9554,            4.2424,           -1.0568,            8.4502,          -29.8375,           -8.3106,           -1.6672,           -0.1044,           -0.0523,          -32.7882,
Ref 14,2.88556e-08,,,,,,1.1876e-02,4.1796e-03,4.8668e-05,4.4589e-06,7.5410e-08,,,,,,,,,,,
Sam 14,2.92971e-08,1.18174e-02,4.1973e-03,4.8616e-05,4.4967e-06,7.1765e-08,,,,,,           -4.9490,            4.2343,           -0.9922,            8.4903,          -35.9975,           -8.3035,           -1.6753,           -0.0385,            0.0037,          -38.9208,
Ref 15,2.84605e-08,,,,,,1.1876e-02,4.1796e-03,4.8661e-05,4.4588e-06,7.3466e-08,,,,,,,,,,,
Sam 15,2.88957e-08,1.18172e-02,4.1973e-03,4.8611e-05,4.4978e-06,7.3671e-08,,,,,,           -4.9616,            4.2445,           -1.0376,            8.7843,           -0.9745,           -8.3173,           -1.6651,           -0.0809,            0.2748,           -4.0105,
Ref 16,2.80477e-08,,,,,,1.1876e-02,4.1795e-03,4.8661e-05,4.4584e-06,7.4024e-08,,,,,,,,,,,
Sam 16,2.84992e-08,1.18172e-02,4.1973e-03,4.8609e-05,4.4968e-06,7.2688e-08,,,,,,           -4.9614,            4.2381,           -1.1042,            8.3206,          -10.3920,           -8.3169,           -1.6715,           -0.1414,           -0.1722,          -13.3871,
Ref 17,2.76426e-08,,,,,,1.1876e-02,4.1796e-03,4.8664e-05,4.4611e-06,7.2871e-08,,,,,,,,,,,
Sam 17,2.80939e-08,1.18173e-02,4.1973e-03,4.8606e-05,4.4953e-06,7.3069e-08,,,,,,           -4.9563,            4.2344,           -1.1792,            7.6240,            1.3766,           -8.3113,           -1.6752,           -0.2181,           -0.8555,           -1.6523,
Ref 18,2.72429e-08,,,,,,1.1876e-02,4.1795e-03,4.8664e-05,4.4616e-06,7.3067e-08,,,,,,,,,,,
Sam 18,2.76894e-08,1.18172e-02,4.1973e-03,4.8612e-05,4.4954e-06,7.1560e-08,,,,,,           -4.9575,            4.2464,           -1.0080,            7.8476,          -19.8089,           -8.3130,           -1.6633,           -0.0573,           -0.6577,          -22.7955,
Ref 19,2.68552e-08,,,,,,1.1876e-02,4.1796e-03,4.8657e-05,4.4593e-06,7.2943e-08,,,,,,,,,,,
Sam 19,2.73199e-08,1.18172e-02,4.1972e-03,4.8612e-05,4.4935e-06,7.4615e-08,,,,,,           -4.9559,            4.2243,           -0.9758,            7.9518,           26.9764,           -8.3105,           -1.6852,           -0.0052,           -0.5104,           23.8898,
Ref 20,2.64726e-08,,,,,,1.1876e-02,4.1795e-03,4.8662e-05,4.4567e-06,7.2363e-08,,,,,,,,,,,
Sam 20,2.69545e-08,1.18171e-02,4.1972e-03,4.8608e-05,4.4976e-06,7.3683e-08,,,,,,           -4.9580,            4.2407,           -1.1996,            8.8800,           16.6287,           -8.3133,           -1.6689,           -0.2430,            0.3774,           13.5429,
Ref 21,2.61000e-08,,,,,,1.1876e-02,4.1795e-03,4.8671e-05,4.4594e-06,7.2594e-08,,,,,,,,,,,

