Nu Stable Isotope Analysis Program
Data Collected on Friday, October 27, 2023 at 10:09 with Stable 1.71.5 on PS019,Reanalyzed on Friday, October 27, 2023 at 11:09 with Stable 1.71.5 on PS019

Data File = Data_20707 BD1 15.5A.txt,     Sample Weight = 396,                      Vial Location = 48,                       Initial Sam Beam = 2.5020e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6220e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01697
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.11211e-08,,,,,,1.1879e-02,4.1807e-03,4.8684e-05,4.4600e-06,7.0783e-08,
Sam 1,7.03380e-08,1.19446e-02,4.2288e-03,4.9502e-05,4.5642e-06,7.2641e-08,,,,,,            5.4259,           11.4219,           16.7178,           23.3280,           31.0159,            2.4898,            5.4548,           -0.1741,            0.3457,            2.4524,
Ref 2,6.99843e-08,,,,,,1.1881e-02,4.1815e-03,4.8692e-05,4.4603e-06,7.0124e-08,,,,,,,,,,,
Sam 2,6.91097e-08,1.19449e-02,4.2287e-03,4.9499e-05,4.5607e-06,7.3601e-08,,,,,,            5.4344,           11.3626,           16.6709,           22.4145,           44.2446,            2.5010,            5.3958,           -0.1713,           -0.4299,           15.4227,
Ref 3,6.85002e-08,,,,,,1.1880e-02,4.1808e-03,4.8683e-05,4.4612e-06,7.0849e-08,,,,,,,,,,,
Sam 3,6.78389e-08,1.19439e-02,4.2282e-03,4.9486e-05,4.5631e-06,7.3285e-08,,,,,,            5.4365,           11.3901,           16.5426,           22.6483,           23.3533,            2.5022,            5.4231,           -0.3262,           -0.2558,           -4.9474,
Ref 4,6.74172e-08,,,,,,1.1879e-02,4.1804e-03,4.8678e-05,4.4628e-06,7.2388e-08,,,,,,,,,,,
Sam 4,6.48374e-08,1.19642e-02,4.2385e-03,4.9582e-05,4.5361e-06,6.4204e-08,,,,,,            7.1134,           13.7546,           18.4786,           16.7219,         -102.5055,            4.2054,            7.7725,           -2.4360,          -10.6806,         -132.8626,
Ref 5,6.58751e-08,,,,,,1.1880e-02,4.1816e-03,4.8687e-05,4.4601e-06,7.0665e-08,,,,,,,,,,,
Sam 5,6.52647e-08,1.19469e-02,4.2298e-03,4.9503e-05,4.5581e-06,7.2236e-08,,,,,,            5.3990,           11.2964,           16.5817,           22.8698,           34.5771,            2.4655,            5.3300,           -0.1583,            0.1461,            6.1893,
Ref 6,6.39458e-08,,,,,,1.1885e-02,4.1834e-03,4.8705e-05,4.4522e-06,6.8952e-08,,,,,,,,,,,
Sam 6,6.39875e-08,1.19440e-02,4.2281e-03,4.9489e-05,4.5622e-06,7.2414e-08,,,,,,            4.9709,           10.7401,           16.2209,           24.8137,           58.1035,            2.0291,            4.7773,            0.4672,            3.1502,           30.6512,
Ref 7,6.26520e-08,,,,,,1.1885e-02,4.1830e-03,4.8694e-05,4.4513e-06,6.7913e-08,,,,,,,,,,,
Sam 7,6.27189e-08,1.19442e-02,4.2287e-03,4.9498e-05,4.5637e-06,7.2824e-08,,,,,,            5.2363,           11.2025,           16.6527,           23.8759,           38.3845,            2.2957,            5.2369,            0.1697,            1.3158,           10.2504,
Ref 8,6.20551e-08,,,,,,1.1879e-02,4.1807e-03,4.8681e-05,4.4634e-06,7.2373e-08,,,,,,,,,,,
Sam 8,6.16384e-08,1.19436e-02,4.2279e-03,4.9485e-05,4.5655e-06,7.3686e-08,,,,,,            5.4280,           11.3188,           16.5477,           22.9714,           20.1558,            2.4956,            5.3522,           -0.2432,            0.2011,           -7.9100,
Ref 9,6.08099e-08,,,,,,1.1879e-02,4.1805e-03,4.8677e-05,4.4626e-06,7.2084e-08,,,,,,,,,,,
Sam 9,6.04607e-08,1.19435e-02,4.2278e-03,4.9481e-05,4.5637e-06,7.4429e-08,,,,,,            5.4224,           11.3252,           16.4768,           22.6816,           31.6446,            2.4895,            5.3586,           -0.3135,           -0.0950,            3.2561,
Ref 10,5.96205e-08,,,,,,1.1879e-02,4.1804e-03,4.8680e-05,4.4624e-06,7.2209e-08,,,,,,,,,,,
Sam 10,5.92702e-08,1.19435e-02,4.2278e-03,4.9485e-05,4.5628e-06,7.3692e-08,,,,,,            5.4284,           11.3256,           16.6341,           22.2385,           16.1980,            2.4958,            5.3590,           -0.1653,           -0.5289,          -11.7724,
Ref 11,5.86232e-08,,,,,,1.1879e-02,4.1804e-03,4.8672e-05,4.4646e-06,7.2830e-08,,,,,,,,,,,
Sam 11,5.82911e-08,1.19434e-02,4.2278e-03,4.9480e-05,4.5637e-06,7.4669e-08,,,,,,            5.4294,           11.3282,           16.5226,           22.4666,           39.0393,            2.4968,            5.3615,           -0.2785,           -0.3110,           10.4340,
Ref 12,5.74492e-08,,,,,,1.1879e-02,4.1804e-03,4.8680e-05,4.4621e-06,7.0876e-08,,,,,,,,,,,
Sam 12,5.71542e-08,1.19433e-02,4.2277e-03,4.9478e-05,4.5629e-06,7.4596e-08,,,,,,            5.4315,           11.3226,           16.4777,           22.5384,           44.7851,            2.4993,            5.3560,           -0.3194,           -0.2298,           16.0303,
Ref 13,5.63635e-08,,,,,,1.1879e-02,4.1803e-03,4.8672e-05,4.4626e-06,7.1930e-08,,,,,,,,,,,
Sam 13,5.61412e-08,1.19432e-02,4.2277e-03,4.9477e-05,4.5627e-06,7.4426e-08,,,,,,            5.4291,           11.3248,           16.4847,           22.6296,           32.6118,            2.4966,            5.3582,           -0.3122,           -0.1449,            4.1903,
Ref 14,5.53356e-08,,,,,,1.1879e-02,4.1803e-03,4.8678e-05,4.4609e-06,7.2223e-08,,,,,,,,,,,
Sam 14,5.51055e-08,1.19431e-02,4.2276e-03,4.9480e-05,4.5623e-06,7.3855e-08,,,,,,            5.4290,           11.3102,           16.5134,           22.4079,           23.6120,            2.4970,            5.3436,           -0.2695,           -0.3327,           -4.5332,
Ref 15,5.42782e-08,,,,,,1.1879e-02,4.1803e-03,4.8675e-05,4.4638e-06,7.2078e-08,,,,,,,,,,,
Sam 15,5.40932e-08,1.19430e-02,4.2276e-03,4.9480e-05,4.5624e-06,7.4503e-08,,,,,,            5.4309,           11.3153,           16.5682,           22.1640,           31.0610,            2.4988,            5.3488,           -0.2226,           -0.5815,            2.6989,
Ref 16,5.32944e-08,,,,,,1.1879e-02,4.1802e-03,4.8673e-05,4.4630e-06,7.2442e-08,,,,,,,,,,,
Sam 16,5.31220e-08,1.19429e-02,4.2276e-03,4.9481e-05,4.5629e-06,7.5320e-08,,,,,,            5.4255,           11.3293,           16.5882,           22.3647,           43.9931,            2.4926,            5.3627,           -0.2110,           -0.4129,           15.2534,
Ref 17,5.23371e-08,,,,,,1.1878e-02,4.1802e-03,4.8674e-05,4.4631e-06,7.1844e-08,,,,,,,,,,,
Sam 17,5.22068e-08,1.19429e-02,4.2275e-03,4.9484e-05,4.5645e-06,7.4431e-08,,,,,,            5.4332,           11.3278,           16.5989,           22.7433,           27.6487,            2.5009,            5.3612,           -0.2070,           -0.0397,           -0.6463,
Ref 18,5.14354e-08,,,,,,1.1878e-02,4.1802e-03,4.8678e-05,4.4629e-06,7.3023e-08,,,,,,,,,,,
Sam 18,5.12579e-08,1.19428e-02,4.2275e-03,4.9481e-05,4.5627e-06,7.4473e-08,,,,,,            5.4335,           11.3149,           16.5512,           22.3993,           25.6661,            2.5017,            5.3483,           -0.2416,           -0.3506,           -2.5497,
Ref 19,5.05076e-08,,,,,,1.1878e-02,4.1802e-03,4.8673e-05,4.4627e-06,7.2187e-08,,,,,,,,,,,
Sam 19,5.04725e-08,1.19427e-02,4.2275e-03,4.9478e-05,4.5617e-06,7.3935e-08,,,,,,            5.4352,           11.3221,           16.4767,           22.3548,           18.1283,            2.5032,            5.3555,           -0.3236,           -0.4083,           -9.8956,
Ref 20,4.96622e-08,,,,,,1.1878e-02,4.1801e-03,4.8679e-05,4.4611e-06,7.3056e-08,,,,,,,,,,,
Sam 20,4.96297e-08,1.19426e-02,4.2274e-03,4.9483e-05,4.5628e-06,7.4927e-08,,,,,,            5.4286,           11.3216,           16.5333,           22.7379,           27.5013,            2.4962,            5.3550,           -0.2607,           -0.0327,           -0.7726,
Ref 21,4.88400e-08,,,,,,1.1878e-02,4.1801e-03,4.8677e-05,4.4616e-06,7.2785e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.84110e-08,,,,,,1.1878e-02,4.1801e-03,4.8676e-05,4.4598e-06,7.0209e-08,
Sam 1,4.83031e-08,1.19426e-02,4.2274e-03,4.9480e-05,4.5620e-06,7.5434e-08,,,,,,            5.4330,           11.3267,           16.5363,           22.6467,           60.4426,            2.5006,            5.3600,           -0.2671,           -0.1319,           31.2472,
Ref 2,4.74936e-08,,,,,,1.1878e-02,4.1801e-03,4.8674e-05,4.4621e-06,7.2077e-08,,,,,,,,,,,
Sam 2,4.74913e-08,1.19424e-02,4.2274e-03,4.9478e-05,4.5643e-06,7.4871e-08,,,,,,            5.4296,           11.3222,           16.5519,           22.7772,           41.7514,            2.4972,            5.3556,           -0.2440,            0.0045,           13.0831,
Ref 3,4.66802e-08,,,,,,1.1878e-02,4.1800e-03,4.8671e-05,4.4632e-06,7.1659e-08,,,,,,,,,,,
Sam 3,4.66926e-08,1.19424e-02,4.2273e-03,4.9476e-05,4.5629e-06,7.4068e-08,,,,,,            5.4325,           11.3184,           16.5609,           22.6374,           29.0903,            2.5005,            5.3518,           -0.2344,           -0.1246,            0.7747,
Ref 4,4.58838e-08,,,,,,1.1878e-02,4.1800e-03,4.8670e-05,4.4606e-06,7.2295e-08,,,,,,,,,,,
Sam 4,4.58779e-08,1.19423e-02,4.2273e-03,4.9480e-05,4.5625e-06,7.4047e-08,,,,,,            5.4235,           11.3181,           16.6524,           22.9036,           13.1374,            2.4909,            5.3515,           -0.1350,            0.1362,          -14.7293,
Ref 5,4.50736e-08,,,,,,1.1878e-02,4.1800e-03,4.8670e-05,4.4600e-06,7.3892e-08,,,,,,,,,,,
Sam 5,4.51225e-08,1.19422e-02,4.2272e-03,4.9479e-05,4.5612e-06,7.4062e-08,,,,,,            5.4230,           11.2962,           16.6382,           22.7801,           -0.1147,            2.4911,            5.3297,           -0.1272,            0.0587,          -27.5751,
Ref 6,4.43137e-08,,,,,,1.1878e-02,4.1800e-03,4.8669e-05,4.4593e-06,7.4252e-08,,,,,,,,,,,
Sam 6,4.43841e-08,1.19421e-02,4.2273e-03,4.9476e-05,4.5615e-06,7.5121e-08,,,,,,            5.4199,           11.3118,           16.5045,           22.7905,           21.3997,            2.4872,            5.3453,           -0.2706,            0.0380,           -6.6783,
Ref 7,4.35776e-08,,,,,,1.1878e-02,4.1800e-03,4.8677e-05,4.4605e-06,7.2830e-08,,,,,,,,,,,
Sam 7,4.36656e-08,1.19420e-02,4.2273e-03,4.9473e-05,4.5631e-06,7.5472e-08,,,,,,            5.4255,           11.3163,           16.3442,           22.8458,           32.4075,            2.4931,            5.3497,           -0.4384,            0.0834,            4.0122,
Ref 8,4.28535e-08,,,,,,1.1878e-02,4.1800e-03,4.8677e-05,4.4618e-06,7.3381e-08,,,,,,,,,,,
Sam 8,4.29567e-08,1.19421e-02,4.2272e-03,4.9472e-05,4.5646e-06,7.4599e-08,,,,,,            5.4330,           11.3052,           16.4332,           23.3477,           18.7654,            2.5014,            5.3387,           -0.3478,            0.5959,           -9.2413,
Ref 9,4.21421e-08,,,,,,1.1878e-02,4.1800e-03,4.8668e-05,4.4590e-06,7.3067e-08,,,,,,,,,,,
Sam 9,4.22723e-08,1.19420e-02,4.2272e-03,4.9475e-05,4.5619e-06,7.4792e-08,,,,,,            5.4264,           11.2978,           16.5336,           22.8078,           25.9054,            2.4947,            5.3313,           -0.2350,            0.0827,           -2.2762,
Ref 10,4.14555e-08,,,,,,1.1877e-02,4.1799e-03,4.8673e-05,4.4613e-06,7.2737e-08,,,,,,,,,,,
Sam 10,4.16023e-08,1.19419e-02,4.2272e-03,4.9474e-05,4.5605e-06,7.4844e-08,,,,,,            5.4267,           11.3124,           16.4656,           22.2704,           19.1192,            2.4945,            5.3459,           -0.3164,           -0.4717,           -8.9044,
Ref 11,4.07810e-08,,,,,,1.1877e-02,4.1799e-03,4.8672e-05,4.4610e-06,7.4155e-08,,,,,,,,,,,
Sam 11,4.09462e-08,1.19418e-02,4.2272e-03,4.9473e-05,4.5594e-06,7.4991e-08,,,,,,            5.4225,           11.3088,           16.4286,           22.1317,           16.8919,            2.4901,            5.3422,           -0.3450,           -0.6001,          -11.0591,
Ref 12,4.01209e-08,,,,,,1.1877e-02,4.1799e-03,4.8674e-05,4.4604e-06,7.3329e-08,,,,,,,,,,,
Sam 12,4.03018e-08,1.19418e-02,4.2272e-03,4.9474e-05,4.5594e-06,7.4176e-08,,,,,,            5.4301,           11.3131,           16.4426,           22.2447,            7.0639,            2.4981,            5.3465,           -0.3432,           -0.4981,          -20.6330,
Ref 13,3.94717e-08,,,,,,1.1877e-02,4.1799e-03,4.8674e-05,4.4599e-06,7.3987e-08,,,,,,,,,,,
Sam 13,3.96759e-08,1.19418e-02,4.2272e-03,4.9476e-05,4.5596e-06,7.4007e-08,,,,,,            5.4315,           11.3252,           16.5375,           22.6249,            3.2102,            2.4991,            5.3586,           -0.2631,           -0.1504,          -24.4052,
Ref 14,3.88404e-08,,,,,,1.1877e-02,4.1799e-03,4.8668e-05,4.4575e-06,7.3551e-08,,,,,,,,,,,
Sam 14,3.90550e-08,1.19417e-02,4.2271e-03,4.9473e-05,4.5619e-06,7.5175e-08,,,,,,            5.4311,           11.3086,           16.5477,           23.1113,           22.6269,            2.4993,            5.3421,           -0.2365,            0.3581,           -5.4905,
Ref 15,3.82276e-08,,,,,,1.1877e-02,4.1799e-03,4.8667e-05,4.4601e-06,7.3471e-08,,,,,,,,,,,
Sam 15,3.84763e-08,1.19416e-02,4.2271e-03,4.9476e-05,4.5594e-06,7.6282e-08,,,,,,            5.4301,           11.3001,           16.6698,           22.2732,           35.1618,            2.4985,            5.3336,           -0.1071,           -0.4446,            6.7175,
Ref 16,3.76259e-08,,,,,,1.1877e-02,4.1798e-03,4.8663e-05,4.4600e-06,7.3914e-08,,,,,,,,,,,
Sam 16,3.78939e-08,1.19417e-02,4.2273e-03,4.9475e-05,4.5600e-06,7.4364e-08,,,,,,            5.4401,           11.3522,           16.6443,           22.5014,           10.0370,            2.5074,            5.3854,           -0.1931,           -0.3245,          -17.8269,
Ref 17,3.70281e-08,,,,,,1.1877e-02,4.1799e-03,4.8666e-05,4.4594e-06,7.3331e-08,,,,,,,,,,,
Sam 17,3.72616e-08,1.19417e-02,4.2273e-03,4.9475e-05,4.5611e-06,7.4709e-08,,,,,,            5.4332,           11.3123,           16.5628,           22.3921,           19.1474,            2.5014,            5.3458,           -0.2274,           -0.3526,           -8.8836,
Ref 18,3.64145e-08,,,,,,1.1877e-02,4.1803e-03,4.8672e-05,4.4630e-06,7.3280e-08,,,,,,,,,,,
Sam 18,3.67318e-08,1.19413e-02,4.2270e-03,4.9478e-05,4.5602e-06,7.6054e-08,,,,,,            5.4102,           11.2451,           16.5346,           22.2784,           39.9910,            2.4792,            5.2789,           -0.1661,           -0.3307,           11.5436,
Ref 19,3.58669e-08,,,,,,1.1877e-02,4.1798e-03,4.8674e-05,4.4587e-06,7.2978e-08,,,,,,,,,,,
Sam 19,3.61359e-08,1.19413e-02,4.2273e-03,4.9482e-05,4.5605e-06,7.4414e-08,,,,,,            5.4313,           11.3649,           16.6486,           22.5496,           11.4901,            2.4975,            5.3981,           -0.1922,           -0.3025,          -16.4289,
Ref 20,3.53199e-08,,,,,,1.1877e-02,4.1798e-03,4.8669e-05,4.4613e-06,7.4169e-08,,,,,,,,,,,
Sam 20,3.56084e-08,1.19413e-02,4.2270e-03,4.9479e-05,4.5603e-06,7.3196e-08,,,,,,            5.4327,           11.3044,           16.6488,           22.2601,           -6.5658,            2.5011,            5.3379,           -0.1345,           -0.4659,          -33.8742,
Ref 21,3.47983e-08,,,,,,1.1877e-02,4.1797e-03,4.8668e-05,4.4607e-06,7.3184e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.45063e-08,,,,,,1.1877e-02,4.1797e-03,4.8667e-05,4.4605e-06,7.1253e-08,
Sam 1,3.48202e-08,1.19413e-02,4.2272e-03,4.9485e-05,4.5606e-06,7.5084e-08,,,,,,            5.4341,           11.3635,           16.7122,           22.4356,           49.4531,            2.5006,            5.3967,           -0.1312,           -0.4111,           20.4859,
Ref 2,3.40068e-08,,,,,,1.1877e-02,4.1797e-03,4.8676e-05,4.4606e-06,7.1843e-08,,,,,,,,,,,
Sam 2,3.42854e-08,1.19412e-02,4.2270e-03,4.9472e-05,4.5624e-06,7.5838e-08,,,,,,            5.4304,           11.3133,           16.4405,           22.8743,           42.1107,            2.4983,            5.3467,           -0.3458,            0.1170,           13.4492,
Ref 3,3.34858e-08,,,,,,1.1877e-02,4.1797e-03,4.8668e-05,4.4602e-06,7.3719e-08,,,,,,,,,,,
Sam 3,3.37951e-08,1.19412e-02,4.2272e-03,4.9478e-05,4.5580e-06,7.6145e-08,,,,,,            5.4399,           11.3748,           16.6861,           22.3528,           38.7838,            2.5064,            5.4079,           -0.1738,           -0.5143,           10.0828,
Ref 4,3.29472e-08,,,,,,1.1877e-02,4.1797e-03,4.8665e-05,4.4566e-06,7.2878e-08,,,,,,,,,,,
Sam 4,3.33071e-08,1.19411e-02,4.2270e-03,4.9474e-05,4.5582e-06,7.4774e-08,,,,,,            5.4289,           11.3093,           16.5552,           22.6146,           11.4327,            2.4969,            5.3428,           -0.2276,           -0.1291,          -16.3760,
Ref 5,3.24864e-08,,,,,,1.1877e-02,4.1797e-03,4.8670e-05,4.4582e-06,7.4996e-08,,,,,,,,,,,
Sam 5,3.28248e-08,1.19410e-02,4.2269e-03,4.9471e-05,4.5610e-06,7.4435e-08,,,,,,            5.4234,           11.2901,           16.5511,           23.1589,           -4.0633,            2.4917,            5.3236,           -0.2072,            0.4413,          -31.4039,
Ref 6,3.20112e-08,,,,,,1.1877e-02,4.1797e-03,4.8661e-05,4.4573e-06,7.4478e-08,,,,,,,,,,,
Sam 6,3.23486e-08,1.19410e-02,4.2268e-03,4.9474e-05,4.5624e-06,7.5520e-08,,,,,,            5.4255,           11.2834,           16.6210,           23.5313,           23.7878,            2.4942,            5.3170,           -0.1342,            0.8185,           -4.3068,
Ref 7,3.15099e-08,,,,,,1.1877e-02,4.1797e-03,4.8669e-05,4.4577e-06,7.3041e-08,,,,,,,,,,,
Sam 7,3.18436e-08,1.19409e-02,4.2269e-03,4.9473e-05,4.5604e-06,7.4662e-08,,,,,,            5.4157,           11.2931,           16.4865,           22.7188,           19.5649,            2.4835,            5.3266,           -0.2658,            0.0051,           -8.4221,
Ref 8,3.10475e-08,,,,,,1.1877e-02,4.1797e-03,4.8673e-05,4.4605e-06,7.3420e-08,,,,,,,,,,,
Sam 8,3.14238e-08,1.19409e-02,4.2268e-03,4.9470e-05,4.5594e-06,7.4687e-08,,,,,,            5.4245,           11.2926,           16.3910,           22.4929,            8.4181,            2.4928,            5.3261,           -0.3683,           -0.2148,          -19.2712,
Ref 9,3.05932e-08,,,,,,1.1876e-02,4.1796e-03,4.8671e-05,4.4576e-06,7.4715e-08,,,,,,,,,,,
Sam 9,3.09691e-08,1.19409e-02,4.2269e-03,4.9469e-05,4.5573e-06,7.6516e-08,,,,,,            5.4297,           11.3114,           16.4225,           22.2773,           29.6582,            2.4977,            5.3448,           -0.3608,           -0.4628,            1.3437,
Ref 10,3.01646e-08,,,,,,1.1876e-02,4.1796e-03,4.8667e-05,4.4584e-06,7.3904e-08,,,,,,,,,,,
Sam 10,3.05443e-08,1.19408e-02,4.2269e-03,4.9474e-05,4.5578e-06,7.5321e-08,,,,,,            5.4297,           11.3016,           16.6791,           22.4316,            6.7785,            2.4980,            5.3350,           -0.0989,           -0.2926,          -20.8882,
Ref 11,2.97010e-08,,,,,,1.1876e-02,4.1796e-03,4.8657e-05,4.4571e-06,7.5738e-08,,,,,,,,,,,
Sam 11,3.00777e-08,1.19409e-02,4.2268e-03,4.9470e-05,4.5566e-06,7.5734e-08,,,,,,            5.4437,           11.2950,           16.5944,           22.2870,           12.2817,            2.5131,            5.3285,           -0.1901,           -0.4210,          -15.5381,
Ref 12,2.92668e-08,,,,,,1.1876e-02,4.1796e-03,4.8669e-05,4.4575e-06,7.3880e-08,,,,,,,,,,,
Sam 12,2.96661e-08,1.19408e-02,4.2268e-03,4.9482e-05,4.5563e-06,7.4416e-08,,,,,,            5.4329,           11.2864,           16.7668,           21.9871,            4.4276,            2.5020,            5.3199,           -0.0013,           -0.6973,          -23.1490,
Ref 13,2.88390e-08,,,,,,1.1876e-02,4.1796e-03,4.8663e-05,4.4591e-06,7.4300e-08,,,,,,,,,,,
Sam 13,2.92531e-08,1.19406e-02,4.2268e-03,4.9477e-05,4.5560e-06,7.4648e-08,,,,,,            5.4262,           11.2901,           16.7434,           21.7348,           11.8099,            2.4947,            5.3236,           -0.0210,           -0.9512,          -15.9695,
Ref 14,2.84216e-08,,,,,,1.1876e-02,4.1796e-03,4.8660e-05,4.4591e-06,7.3245e-08,,,,,,,,,,,
Sam 14,2.88130e-08,1.19407e-02,4.2268e-03,4.9475e-05,4.5564e-06,7.7879e-08,,,,,,            5.4376,           11.2954,           16.6742,           22.0639,           52.9309,            2.5066,            5.3289,           -0.1059,           -0.6400,           23.9996,
Ref 15,2.80117e-08,,,,,,1.1876e-02,4.1796e-03,4.8666e-05,4.4570e-06,7.4694e-08,,,,,,,,,,,
Sam 15,2.84070e-08,1.19406e-02,4.2267e-03,4.9469e-05,4.5592e-06,7.5518e-08,,,,,,            5.4333,           11.2801,           16.5136,           23.0918,           14.7315,            2.5026,            5.3137,           -0.2446,            0.3954,          -13.1163,
Ref 16,2.76161e-08,,,,,,1.1876e-02,4.1796e-03,4.8666e-05,4.4555e-06,7.4145e-08,,,,,,,,,,,
Sam 16,2.80401e-08,1.19405e-02,4.2267e-03,4.9469e-05,4.5588e-06,7.4695e-08,,,,,,            5.4249,           11.2905,           16.5324,           23.0442,            5.9201,            2.4933,            5.3240,           -0.2276,            0.3283,          -21.6969,
Ref 17,2.72139e-08,,,,,,1.1876e-02,4.1795e-03,4.8664e-05,4.4568e-06,7.4367e-08,,,,,,,,,,,
Sam 17,2.76497e-08,1.19406e-02,4.2269e-03,4.9476e-05,4.5564e-06,7.3932e-08,,,,,,            5.4368,           11.3188,           16.6764,           22.2552,            7.9130,            2.5050,            5.3522,           -0.1257,           -0.4991,          -19.8252,
Ref 18,2.68409e-08,,,,,,1.1876e-02,4.1796e-03,4.8664e-05,4.4576e-06,7.2323e-08,,,,,,,,,,,
Sam 18,2.71586e-08,1.19432e-02,4.2292e-03,4.9499e-05,4.5536e-06,7.2372e-08,,,,,,            5.6403,           11.7940,           17.0523,           21.6337,           -9.4437,            2.7052,            5.8246,           -0.4268,           -2.0449,          -37.8010,
Ref 19,2.64298e-08,,,,,,1.1876e-02,4.1802e-03,4.8674e-05,4.4568e-06,7.3813e-08,,,,,,,,,,,
Sam 19,2.69105e-08,1.19404e-02,4.2268e-03,4.9466e-05,4.5569e-06,7.6395e-08,,,,,,            5.3896,           11.1469,           16.2932,           22.6271,           33.0021,            2.4606,            5.1812,           -0.2868,            0.2046,            4.9598,
Ref 20,2.60797e-08,,,,,,1.1876e-02,4.1802e-03,4.8673e-05,4.4554e-06,7.4098e-08,,,,,,,,,,,
Sam 20,2.65428e-08,1.19403e-02,4.2267e-03,4.9468e-05,4.5572e-06,7.6840e-08,,,,,,            5.3975,           11.1935,           16.3672,           22.7326,           42.7840,            2.4675,            5.2276,           -0.2676,            0.2154,           14.3755,
Ref 21,2.57123e-08,,,,,,1.1876e-02,4.1796e-03,4.8670e-05,4.4565e-06,7.3272e-08,,,,,,,,,,,


