Nu Stable Isotope Analysis Program
Data Collected on Saturday, October 28, 2023 at 01:23 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, October 28, 2023 at 02:22 with Stable 1.71.5 on PS019

Data File = Data_20715 BD1 ZEBRA 70m B2.txt,Sample Weight = 445,                      Vial Location = 6,                        Initial Sam Beam = 2.5017e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8902e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01919
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.57451e-08,,,,,,1.1862e-02,4.1633e-03,4.8302e-05,4.4056e-06,6.8671e-08,
Sam 1,8.49129e-08,1.19300e-02,4.1785e-03,4.8744e-05,4.4384e-06,6.9388e-08,,,,,,            5.7111,            3.6308,            9.0673,            7.4362,           17.0558,            3.0625,           -2.2991,           -0.4082,            0.1602,            3.7360,
Ref 2,8.41046e-08,,,,,,1.1862e-02,4.1636e-03,4.8309e-05,4.4057e-06,6.7769e-08,,,,,,,,,,,
Sam 2,8.32040e-08,1.19301e-02,4.1787e-03,4.8748e-05,4.4375e-06,6.9820e-08,,,,,,            5.6935,            3.6128,            9.1146,            6.9844,           22.4468,            3.0445,           -2.3170,           -0.3257,           -0.2523,            9.1108,
Ref 3,8.23492e-08,,,,,,1.1863e-02,4.1636e-03,4.8306e-05,4.4078e-06,6.8816e-08,,,,,,,,,,,
Sam 3,8.14998e-08,1.19302e-02,4.1787e-03,4.8749e-05,4.4370e-06,6.9525e-08,,,,,,            5.7000,            3.6137,            9.1357,            6.8655,           13.3788,            3.0514,           -2.3162,           -0.3124,           -0.3722,            0.1524,
Ref 4,8.06314e-08,,,,,,1.1863e-02,4.1637e-03,4.8309e-05,4.4058e-06,6.8393e-08,,,,,,,,,,,
Sam 4,7.98316e-08,1.19302e-02,4.1788e-03,4.8747e-05,4.4380e-06,6.9882e-08,,,,,,            5.6948,            3.6108,            9.0897,            7.3258,           22.4253,            3.0459,           -2.3190,           -0.3497,            0.0906,            9.0921,
Ref 5,7.89601e-08,,,,,,1.1863e-02,4.1638e-03,4.8307e-05,4.4057e-06,6.8305e-08,,,,,,,,,,,
Sam 5,7.82086e-08,1.19302e-02,4.1788e-03,4.8754e-05,4.4385e-06,7.0000e-08,,,,,,            5.6942,            3.6030,            9.2848,            7.2345,           19.0485,            3.0455,           -2.3268,           -0.1481,            0.0155,            5.7755,
Ref 6,7.73284e-08,,,,,,1.1863e-02,4.1639e-03,4.8305e-05,4.4075e-06,6.9085e-08,,,,,,,,,,,
Sam 6,7.69838e-08,1.19297e-02,4.1786e-03,4.8744e-05,4.4380e-06,6.9971e-08,,,,,,            5.6787,            3.5753,            9.0768,            7.1060,            9.6866,            3.0301,           -2.3544,           -0.3112,           -0.0569,           -3.3940,
Ref 7,7.61464e-08,,,,,,1.1862e-02,4.1636e-03,4.8307e-05,4.4058e-06,6.9517e-08,,,,,,,,,,,
Sam 7,7.54735e-08,1.19298e-02,4.1787e-03,4.8746e-05,4.4392e-06,7.0385e-08,,,,,,            5.6968,            3.6163,            9.1483,            7.4395,           17.5490,            3.0479,           -2.3136,           -0.2990,            0.1925,            4.2666,
Ref 8,7.45905e-08,,,,,,1.1862e-02,4.1636e-03,4.8302e-05,4.4070e-06,6.8819e-08,,,,,,,,,,,
Sam 8,7.36668e-08,1.19301e-02,4.1789e-03,4.8751e-05,4.4380e-06,6.9769e-08,,,,,,            5.7146,            3.6340,            9.1858,            7.0424,           15.5232,            3.0662,           -2.2960,           -0.2975,           -0.2370,            2.2136,
Ref 9,7.27892e-08,,,,,,1.1862e-02,4.1639e-03,4.8312e-05,4.4070e-06,6.8583e-08,,,,,,,,,,,
Sam 9,7.22316e-08,1.19299e-02,4.1789e-03,4.8749e-05,4.4376e-06,7.0348e-08,,,,,,            5.6871,            3.6113,            9.0866,            7.0764,           20.3769,            3.0377,           -2.3185,           -0.3454,           -0.1581,            7.0777,
Ref 10,7.13470e-08,,,,,,1.1862e-02,4.1639e-03,4.8308e-05,4.4058e-06,6.9311e-08,,,,,,,,,,,
Sam 10,7.08195e-08,1.19299e-02,4.1790e-03,4.8751e-05,4.4373e-06,7.0314e-08,,,,,,            5.6948,            3.6123,            9.1615,            7.1188,           12.9617,            3.0459,           -2.3176,           -0.2801,           -0.1180,           -0.2510,
Ref 11,6.99304e-08,,,,,,1.1862e-02,4.1640e-03,4.8308e-05,4.4061e-06,6.9520e-08,,,,,,,,,,,
Sam 11,6.96552e-08,1.19298e-02,4.1789e-03,4.8747e-05,4.4368e-06,7.0347e-08,,,,,,            5.6916,            3.5850,            9.1214,            6.7554,            8.0265,            3.0434,           -2.3447,           -0.2897,           -0.4244,           -5.0652,
Ref 12,6.86789e-08,,,,,,1.1862e-02,4.1639e-03,4.8305e-05,4.4079e-06,7.0058e-08,,,,,,,,,,,
Sam 12,6.82325e-08,1.19298e-02,4.1790e-03,4.8753e-05,4.4378e-06,6.9725e-08,,,,,,            5.6969,            3.6108,            9.2070,            6.8962,            2.2307,            3.0482,           -2.3190,           -0.2357,           -0.3360,          -10.8413,
Ref 13,6.73348e-08,,,,,,1.1862e-02,4.1640e-03,4.8311e-05,4.4068e-06,6.9072e-08,,,,,,,,,,,
Sam 13,6.69282e-08,1.19298e-02,4.1790e-03,4.8751e-05,4.4364e-06,7.0507e-08,,,,,,            5.6935,            3.6058,            9.0838,            6.7359,           13.0020,            3.0447,           -2.3240,           -0.3493,           -0.4851,           -0.1970,
Ref 14,6.60191e-08,,,,,,1.1862e-02,4.1640e-03,4.8315e-05,4.4067e-06,7.0143e-08,,,,,,,,,,,
Sam 14,6.55695e-08,1.19300e-02,4.1791e-03,4.8752e-05,4.4381e-06,7.1076e-08,,,,,,            5.7067,            3.6234,            9.1243,            7.1591,           19.9020,            3.0581,           -2.3065,           -0.3400,           -0.1001,            6.5642,
Ref 15,6.46661e-08,,,,,,1.1862e-02,4.1641e-03,4.8308e-05,4.4063e-06,6.9227e-08,,,,,,,,,,,
Sam 15,6.43371e-08,1.19299e-02,4.1792e-03,4.8755e-05,4.4368e-06,7.0923e-08,,,,,,            5.6945,            3.6146,            9.2411,            6.8681,           19.2426,            3.0454,           -2.3152,           -0.2031,           -0.3715,            5.9438,
Ref 16,6.34261e-08,,,,,,1.1862e-02,4.1642e-03,4.8310e-05,4.4067e-06,6.9948e-08,,,,,,,,,,,
Sam 16,6.31311e-08,1.19298e-02,4.1792e-03,4.8751e-05,4.4384e-06,7.0117e-08,,,,,,            5.6880,            3.6029,            9.1271,            7.2631,            4.6248,            3.0389,           -2.3269,           -0.2980,            0.0440,           -8.4538,
Ref 17,6.22132e-08,,,,,,1.1862e-02,4.1642e-03,4.8311e-05,4.4060e-06,6.9636e-08,,,,,,,,,,,
Sam 17,6.19566e-08,1.19299e-02,4.1792e-03,4.8753e-05,4.4370e-06,7.0996e-08,,,,,,            5.6995,            3.6063,            9.1199,            6.9720,           18.3438,            3.0510,           -2.3235,           -0.3201,           -0.2518,            5.0678,
Ref 18,6.11748e-08,,,,,,1.1862e-02,4.1641e-03,4.8314e-05,4.4066e-06,6.9798e-08,,,,,,,,,,,
Sam 18,6.07956e-08,1.19299e-02,4.1793e-03,4.8759e-05,4.4366e-06,7.0343e-08,,,,,,            5.7025,            3.6233,            9.2221,            6.7625,           10.6179,            3.0537,           -2.3066,           -0.2387,           -0.4935,           -2.5938,
Ref 19,5.99785e-08,,,,,,1.1862e-02,4.1642e-03,4.8314e-05,4.4071e-06,6.9405e-08,,,,,,,,,,,
Sam 19,5.98279e-08,1.19297e-02,4.1792e-03,4.8758e-05,4.4385e-06,6.9394e-08,,,,,,            5.6914,            3.5945,            9.2023,            7.2320,           -7.0749,            3.0428,           -2.3352,           -0.2187,            0.0298,          -19.9885,
Ref 20,5.89254e-08,,,,,,1.1862e-02,4.1642e-03,4.8313e-05,4.4061e-06,7.0381e-08,,,,,,,,,,,
Sam 20,5.86952e-08,1.19298e-02,4.1793e-03,4.8759e-05,4.4392e-06,7.0959e-08,,,,,,            5.7060,            3.6013,            9.2535,            7.4389,           13.0548,            3.0581,           -2.3285,           -0.1895,            0.2218,           -0.1493,
Ref 21,5.77663e-08,,,,,,1.1862e-02,4.1643e-03,4.8312e-05,4.4068e-06,6.9701e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.72687e-08,,,,,,1.1862e-02,4.1643e-03,4.8318e-05,4.4064e-06,6.8683e-08,
Sam 1,5.70566e-08,1.19298e-02,4.1794e-03,4.8757e-05,4.4372e-06,7.1909e-08,,,,,,            5.6943,            3.6314,            9.0747,            6.9523,           41.3886,            3.0446,           -2.2985,           -0.3842,           -0.3213,           27.7672,
Ref 2,5.61578e-08,,,,,,1.1862e-02,4.1643e-03,4.8319e-05,4.4066e-06,6.9427e-08,,,,,,,,,,,
Sam 2,5.60326e-08,1.19297e-02,4.1794e-03,4.8753e-05,4.4359e-06,7.1656e-08,,,,,,            5.6908,            3.6169,            9.0047,            6.7125,           26.9363,            3.0414,           -2.3129,           -0.4357,           -0.5306,           13.5365,
Ref 3,5.51462e-08,,,,,,1.1862e-02,4.1644e-03,4.8317e-05,4.4059e-06,7.0133e-08,,,,,,,,,,,
Sam 3,5.50682e-08,1.19297e-02,4.1794e-03,4.8755e-05,4.4378e-06,7.1122e-08,,,,,,            5.6942,            3.6120,            9.0814,            7.2926,           13.1807,            3.0453,           -2.3178,           -0.3586,            0.0552,           -0.0337,
Ref 4,5.42053e-08,,,,,,1.1862e-02,4.1644e-03,4.8316e-05,4.4054e-06,7.0262e-08,,,,,,,,,,,
Sam 4,5.42069e-08,1.19296e-02,4.1794e-03,4.8759e-05,4.4375e-06,7.1035e-08,,,,,,            5.6807,            3.5806,            9.1721,            7.0970,           17.6614,            3.0319,           -2.3491,           -0.2240,           -0.0764,            4.4649,
Ref 5,5.31388e-08,,,,,,1.1862e-02,4.1646e-03,4.8316e-05,4.4072e-06,6.9333e-08,,,,,,,,,,,
Sam 5,5.31482e-08,1.19297e-02,4.1795e-03,4.8755e-05,4.4381e-06,7.0482e-08,,,,,,            5.6907,            3.5972,            9.1048,            7.0555,           12.8347,            3.0420,           -2.3326,           -0.3172,           -0.1507,           -0.3424,
Ref 6,5.23274e-08,,,,,,1.1862e-02,4.1644e-03,4.8315e-05,4.4068e-06,6.9848e-08,,,,,,,,,,,
Sam 6,5.23053e-08,1.19297e-02,4.1795e-03,4.8759e-05,4.4380e-06,7.0753e-08,,,,,,            5.7029,            3.6072,            9.1946,            7.0158,           10.0356,            3.0546,           -2.3227,           -0.2505,           -0.2100,           -3.1373,
Ref 7,5.14466e-08,,,,,,1.1862e-02,4.1645e-03,4.8314e-05,4.4074e-06,7.0255e-08,,,,,,,,,,,
Sam 7,5.14124e-08,1.19296e-02,4.1796e-03,4.8764e-05,4.4355e-06,7.1581e-08,,,,,,            5.6939,            3.6145,            9.3066,            6.5016,           18.3875,            3.0448,           -2.3153,           -0.1376,           -0.7351,            5.1007,
Ref 8,5.04985e-08,,,,,,1.1862e-02,4.1645e-03,4.8315e-05,4.4063e-06,7.0324e-08,,,,,,,,,,,
Sam 8,5.04958e-08,1.19297e-02,4.1796e-03,4.8763e-05,4.4383e-06,6.9673e-08,,,,,,            5.7050,            3.6080,            9.2294,            7.1116,           -2.1454,            3.0568,           -2.3219,           -0.2190,           -0.1164,          -15.1633,
Ref 9,4.95823e-08,,,,,,1.1862e-02,4.1646e-03,4.8319e-05,4.4076e-06,6.9312e-08,,,,,,,,,,,
Sam 9,4.96219e-08,1.19299e-02,4.1804e-03,4.8773e-05,4.4374e-06,6.9761e-08,,,,,,            5.6760,            3.4349,            8.8423,            6.3258,           10.7620,            3.0320,           -2.4941,           -0.4030,           -0.5518,           -2.0550,
Ref 10,4.86102e-08,,,,,,1.1863e-02,4.1676e-03,4.8373e-05,4.4116e-06,6.8719e-08,,,,,,,,,,,
Sam 10,4.87232e-08,1.19306e-02,4.1825e-03,4.8812e-05,4.4399e-06,7.0703e-08,,,,,,            5.7358,            3.9240,            9.6462,            7.2714,           29.6180,            3.0787,           -2.0074,           -0.1476,           -0.5874,           15.5234,
Ref 11,4.78997e-08,,,,,,1.1862e-02,4.1647e-03,4.8318e-05,4.4040e-06,6.8618e-08,,,,,,,,,,,
Sam 11,4.80081e-08,1.19295e-02,4.1798e-03,4.8763e-05,4.4369e-06,7.1145e-08,,,,,,            5.6900,            3.6287,            9.1989,            7.2542,           28.1018,            3.0402,           -2.3012,           -0.2542,           -0.0163,           14.6641,
Ref 12,4.70885e-08,,,,,,1.1862e-02,4.1647e-03,4.8320e-05,4.4059e-06,6.9792e-08,,,,,,,,,,,
Sam 12,4.72145e-08,1.19294e-02,4.1802e-03,4.8767e-05,4.4351e-06,7.0731e-08,,,,,,            5.6679,            3.4983,            8.9078,            6.5773,           21.6900,            3.0212,           -2.4309,           -0.3921,           -0.4285,            8.6176,
Ref 13,4.62580e-08,,,,,,1.1862e-02,4.1665e-03,4.8354e-05,4.4065e-06,6.8657e-08,,,,,,,,,,,
Sam 13,4.64537e-08,1.19293e-02,4.1799e-03,4.8766e-05,4.4370e-06,7.0973e-08,,,,,,            5.6628,            3.4277,            8.8613,            7.0015,           27.9845,            3.0182,           -2.5012,           -0.3637,            0.1335,           14.9774,
Ref 14,4.55353e-08,,,,,,1.1862e-02,4.1648e-03,4.8321e-05,4.4059e-06,6.9432e-08,,,,,,,,,,,
Sam 14,4.57078e-08,1.19295e-02,4.1798e-03,4.8766e-05,4.4371e-06,6.9616e-08,,,,,,            5.6988,            3.5592,            9.1936,            7.0604,           10.5188,            3.0519,           -2.3704,           -0.2002,           -0.0702,           -2.5625,
Ref 15,4.47706e-08,,,,,,1.1862e-02,4.1651e-03,4.8322e-05,4.4061e-06,6.8341e-08,,,,,,,,,,,
Sam 15,4.49717e-08,1.19295e-02,4.1799e-03,4.8768e-05,4.4350e-06,6.9622e-08,,,,,,            5.7016,            3.5708,            9.1954,            6.5988,            6.6088,            3.0545,           -2.3589,           -0.2127,           -0.5515,           -6.4472,
Ref 16,4.40455e-08,,,,,,1.1862e-02,4.1649e-03,4.8325e-05,4.4057e-06,7.0002e-08,,,,,,,,,,,
Sam 16,4.42731e-08,1.19294e-02,4.1799e-03,4.8762e-05,4.4364e-06,7.1795e-08,,,,,,            5.6841,            3.5993,            9.0866,            6.9101,           19.7034,            3.0349,           -2.3305,           -0.3305,           -0.2992,            6.4399,
Ref 17,4.33298e-08,,,,,,1.1862e-02,4.1649e-03,4.8321e-05,4.4062e-06,7.0820e-08,,,,,,,,,,,
Sam 17,4.35474e-08,1.19295e-02,4.1799e-03,4.8764e-05,4.4363e-06,7.0828e-08,,,,,,            5.7062,            3.5742,            9.1982,            7.1531,            8.8434,            3.0593,           -2.3554,           -0.2180,           -0.0081,           -4.2533,
Ref 18,4.26122e-08,,,,,,1.1862e-02,4.1651e-03,4.8318e-05,4.4033e-06,6.9583e-08,,,,,,,,,,,
Sam 18,4.27943e-08,1.19275e-02,4.1811e-03,4.8747e-05,4.4325e-06,7.0052e-08,,,,,,            5.5468,            3.8573,            8.8798,            6.6267,            0.0350,            2.8798,           -2.0734,           -0.6476,           -1.0943,          -13.3286,
Ref 19,4.19354e-08,,,,,,1.1862e-02,4.1649e-03,4.8317e-05,4.4034e-06,7.0523e-08,,,,,,,,,,,
Sam 19,4.21859e-08,1.19293e-02,4.1800e-03,4.8765e-05,4.4359e-06,7.0549e-08,,,,,,            5.7091,            3.4610,            9.0816,            7.1804,            9.9367,            3.0663,           -2.4682,           -0.2255,            0.2447,           -2.9558,
Ref 20,4.12142e-08,,,,,,1.1861e-02,4.1661e-03,4.8334e-05,4.4051e-06,6.9175e-08,,,,,,,,,,,
Sam 20,4.15290e-08,1.19293e-02,4.1800e-03,4.8767e-05,4.4345e-06,7.0533e-08,,,,,,            5.6980,            3.4535,            9.1145,            6.9443,            2.9555,            3.0548,           -2.4756,           -0.1742,            0.0253,           -9.8217,
Ref 21,4.05966e-08,,,,,,1.1862e-02,4.1650e-03,4.8319e-05,4.4028e-06,7.1492e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.02695e-08,,,,,,1.1862e-02,4.1650e-03,4.8323e-05,4.4048e-06,6.8059e-08,
Sam 1,4.05797e-08,1.19294e-02,4.1801e-03,4.8768e-05,4.4359e-06,6.9927e-08,,,,,,            5.6994,            3.6180,            9.2149,            7.1202,           23.3477,            3.0506,           -2.3119,           -0.2375,           -0.1279,            9.9833,
Ref 2,3.96603e-08,,,,,,1.1862e-02,4.1652e-03,4.8323e-05,4.4043e-06,6.8608e-08,,,,,,,,,,,
Sam 2,3.99810e-08,1.19292e-02,4.1800e-03,4.8763e-05,4.4348e-06,7.1886e-08,,,,,,            5.6975,            3.5759,            9.1394,            6.9360,           34.7788,            3.0500,           -2.3538,           -0.2690,           -0.2269,           21.3515,
Ref 3,3.90570e-08,,,,,,1.1862e-02,4.1650e-03,4.8321e-05,4.4042e-06,7.0345e-08,,,,,,,,,,,
Sam 3,3.93691e-08,1.19292e-02,4.1800e-03,4.8765e-05,4.4356e-06,7.0242e-08,,,,,,            5.6903,            3.5969,            9.1321,            6.8754,            5.9692,            3.0416,           -2.3329,           -0.2894,           -0.3289,           -7.1175,
Ref 4,3.84380e-08,,,,,,1.1862e-02,4.1650e-03,4.8327e-05,4.4066e-06,6.9296e-08,,,,,,,,,,,
Sam 4,3.87665e-08,1.19292e-02,4.1800e-03,4.8767e-05,4.4350e-06,7.1006e-08,,,,,,            5.6914,            3.6002,            9.0780,            6.8241,           24.5381,            3.0427,           -2.3295,           -0.3475,           -0.3865,           11.2020,
Ref 5,3.78240e-08,,,,,,1.1862e-02,4.1650e-03,4.8331e-05,4.4032e-06,6.9315e-08,,,,,,,,,,,
Sam 5,3.81647e-08,1.19292e-02,4.1801e-03,4.8764e-05,4.4336e-06,7.0130e-08,,,,,,            5.6927,            3.6054,            9.0747,            6.9887,           11.3078,            3.0439,           -2.3244,           -0.3571,           -0.2335,           -1.8676,
Ref 6,3.72413e-08,,,,,,1.1862e-02,4.1651e-03,4.8321e-05,4.4025e-06,6.9377e-08,,,,,,,,,,,
Sam 6,3.75803e-08,1.19292e-02,4.1802e-03,4.8765e-05,4.4359e-06,7.0326e-08,,,,,,            5.6951,            3.6055,            9.1294,            7.1656,            3.9259,            3.0464,           -2.3244,           -0.3054,           -0.0579,           -9.1559,
Ref 7,3.66598e-08,,,,,,1.1862e-02,4.1652e-03,4.8326e-05,4.4061e-06,7.0736e-08,,,,,,,,,,,
Sam 7,3.69868e-08,1.19292e-02,4.1802e-03,4.8766e-05,4.4335e-06,7.0323e-08,,,,,,            5.6902,            3.6189,            9.1245,            6.6362,           -3.8381,            3.0407,           -2.3110,           -0.3184,           -0.6102,          -16.8396,
Ref 8,3.61003e-08,,,,,,1.1862e-02,4.1651e-03,4.8324e-05,4.4024e-06,7.0450e-08,,,,,,,,,,,
Sam 8,3.64503e-08,1.19291e-02,4.1802e-03,4.8772e-05,4.4346e-06,6.9435e-08,,,,,,            5.6864,            3.6031,            9.1913,            7.3585,          -13.5390,            3.0373,           -2.3267,           -0.2329,            0.1384,          -26.3798,
Ref 9,3.55465e-08,,,,,,1.1862e-02,4.1652e-03,4.8331e-05,4.4019e-06,7.0325e-08,,,,,,,,,,,
Sam 9,3.59352e-08,1.19291e-02,4.1802e-03,4.8767e-05,4.4357e-06,7.1117e-08,,,,,,            5.6863,            3.6008,            9.0933,            7.6161,           15.8823,            3.0372,           -2.3290,           -0.3276,            0.3987,            2.6632,
Ref 10,3.50006e-08,,,,,,1.1862e-02,4.1652e-03,4.8324e-05,4.4025e-06,6.9680e-08,,,,,,,,,,,
Sam 10,3.54093e-08,1.19291e-02,4.1802e-03,4.8766e-05,4.4344e-06,7.0840e-08,,,,,,            5.6974,            3.6034,            9.1629,            7.0325,           23.3247,            3.0489,           -2.3264,           -0.2726,           -0.1860,            9.9917,
Ref 11,3.44813e-08,,,,,,1.1861e-02,4.1652e-03,4.8323e-05,4.4045e-06,6.8764e-08,,,,,,,,,,,
Sam 11,3.48629e-08,1.19291e-02,4.1803e-03,4.8761e-05,4.4340e-06,7.1592e-08,,,,,,            5.6974,            3.6043,            9.0093,            6.7328,           34.8991,            3.0489,           -2.3255,           -0.4257,           -0.4853,           21.4134,
Ref 12,3.39556e-08,,,,,,1.1862e-02,4.1653e-03,4.8328e-05,4.4042e-06,6.9597e-08,,,,,,,,,,,
Sam 12,3.43753e-08,1.19292e-02,4.1803e-03,4.8771e-05,4.4351e-06,7.1619e-08,,,,,,            5.6944,            3.6076,            9.2076,            7.1801,           27.3686,            3.0456,           -2.3222,           -0.2294,           -0.0477,           13.9778,
Ref 13,3.34396e-08,,,,,,1.1862e-02,4.1654e-03,4.8324e-05,4.4028e-06,6.9826e-08,,,,,,,,,,,
Sam 13,3.38652e-08,1.19289e-02,4.1803e-03,4.8767e-05,4.4329e-06,6.9904e-08,,,,,,            5.6798,            3.5894,            9.1291,            6.9141,           -3.6078,            3.0307,           -2.3403,           -0.2743,           -0.2756,          -16.5447,
Ref 14,3.29454e-08,,,,,,1.1861e-02,4.1654e-03,4.8328e-05,4.4020e-06,7.0493e-08,,,,,,,,,,,
Sam 14,3.33743e-08,1.19291e-02,4.1803e-03,4.8764e-05,4.4326e-06,7.0289e-08,,,,,,            5.7033,            3.5821,            8.9926,            6.6883,           -2.0694,            3.0560,           -2.3476,           -0.4264,           -0.4852,          -15.0365,
Ref 15,3.24566e-08,,,,,,1.1861e-02,4.1655e-03,4.8332e-05,4.4044e-06,7.0376e-08,,,,,,,,,,,
Sam 15,3.29137e-08,1.19290e-02,4.1804e-03,4.8771e-05,4.4344e-06,7.1143e-08,,,,,,            5.6888,            3.5918,            9.1014,            6.9082,           21.1422,            3.0402,           -2.3379,           -0.3133,           -0.2863,            7.8697,
Ref 16,3.19803e-08,,,,,,1.1862e-02,4.1654e-03,4.8330e-05,4.4036e-06,6.8953e-08,,,,,,,,,,,
Sam 16,3.24398e-08,1.19291e-02,4.1804e-03,4.8765e-05,4.4339e-06,6.9481e-08,,,,,,            5.6915,            3.5947,            8.9689,            7.2324,           -3.8111,            3.0430,           -2.3350,           -0.4503,            0.0298,          -16.7677,
Ref 17,3.15060e-08,,,,,,1.1862e-02,4.1655e-03,4.8334e-05,4.4005e-06,7.0553e-08,,,,,,,,,,,
Sam 17,3.19768e-08,1.19291e-02,4.1805e-03,4.8773e-05,4.4339e-06,7.2008e-08,,,,,,            5.6924,            3.6046,            9.1303,            7.2376,           29.0146,            3.0436,           -2.3252,           -0.3010,            0.0154,           15.6104,
Ref 18,3.10452e-08,,,,,,1.1862e-02,4.1655e-03,4.8329e-05,4.4036e-06,6.9394e-08,,,,,,,,,,,
Sam 18,3.15034e-08,1.19290e-02,4.1805e-03,4.8764e-05,4.4324e-06,7.0411e-08,,,,,,            5.6934,            3.5922,            8.9678,            6.5756,           13.2697,            3.0450,           -2.3375,           -0.4508,           -0.6173,            0.0939,
Ref 19,3.06028e-08,,,,,,1.1861e-02,4.1656e-03,4.8333e-05,4.4032e-06,6.9585e-08,,,,,,,,,,,
Sam 19,3.10514e-08,1.19290e-02,4.1806e-03,4.8769e-05,4.4326e-06,6.8937e-08,,,,,,            5.6960,            3.6003,            8.9134,            6.9069,          -10.3278,            3.0476,           -2.3294,           -0.5153,           -0.3045,          -23.2150,
Ref 20,3.01553e-08,,,,,,1.1862e-02,4.1657e-03,4.8343e-05,4.4013e-06,6.9728e-08,,,,,,,,,,,
Sam 20,3.06411e-08,1.19290e-02,4.1806e-03,4.8784e-05,4.4336e-06,7.0128e-08,,,,,,            5.6924,            3.5890,            9.1734,            6.9051,            7.0752,            3.0441,           -2.3407,           -0.2430,           -0.2838,           -6.0128,
Ref 21,2.97425e-08,,,,,,1.1861e-02,4.1656e-03,4.8338e-05,4.4050e-06,6.9542e-08,,,,,,,,,,,


