Nu Stable Isotope Analysis Program
Data Collected on Saturday, October 28, 2023 at 02:43 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, October 28, 2023 at 03:43 with Stable 1.71.5 on PS019

Data File = Data_20716 MDE BKFF B2.txt,   Sample Weight = 468,                      Vial Location = 7,                        Initial Sam Beam = 2.5016e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7874e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02139
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.01321e-07,,,,,,1.1862e-02,4.1630e-03,4.8290e-05,4.4024e-06,6.8330e-08,
Sam 1,1.00365e-07,1.17982e-02,4.1743e-03,4.8139e-05,4.4268e-06,6.8223e-08,,,,,,           -5.4299,            2.6757,           -3.2044,            5.4722,            2.7785,           -8.7614,           -3.2253,           -0.2285,            0.1129,            3.3126,
Ref 2,9.91932e-08,,,,,,1.1863e-02,4.1633e-03,4.8298e-05,4.4031e-06,6.7731e-08,,,,,,,,,,,
Sam 2,9.81961e-08,1.17984e-02,4.1744e-03,4.8143e-05,4.4267e-06,6.8770e-08,,,,,,           -5.4375,            2.6577,           -3.2117,            5.1741,           12.8979,           -8.7689,           -3.2432,           -0.2103,           -0.1477,           13.4813,
Ref 3,9.69615e-08,,,,,,1.1863e-02,4.1634e-03,4.8298e-05,4.4048e-06,6.8061e-08,,,,,,,,,,,
Sam 3,9.60194e-08,1.17985e-02,4.1745e-03,4.8147e-05,4.4259e-06,6.9181e-08,,,,,,           -5.4411,            2.6553,           -3.1499,            4.8349,           14.1340,           -8.7726,           -3.2456,           -0.1421,           -0.4802,           14.7270,
Ref 4,9.47719e-08,,,,,,1.1863e-02,4.1635e-03,4.8300e-05,4.4044e-06,6.8377e-08,,,,,,,,,,,
Sam 4,9.39301e-08,1.17985e-02,4.1746e-03,4.8146e-05,4.4281e-06,6.8689e-08,,,,,,           -5.4393,            2.6566,           -3.2258,            5.3676,            5.1674,           -8.7707,           -3.2443,           -0.2214,            0.0471,            5.7505,
Ref 5,9.26668e-08,,,,,,1.1863e-02,4.1636e-03,4.8303e-05,4.4047e-06,6.8294e-08,,,,,,,,,,,
Sam 5,9.18860e-08,1.17985e-02,4.1747e-03,4.8146e-05,4.4266e-06,6.9069e-08,,,,,,           -5.4410,            2.6487,           -3.2540,            5.0297,            7.0292,           -8.7722,           -3.2522,           -0.2402,           -0.2734,            7.6309,
Ref 6,9.06111e-08,,,,,,1.1863e-02,4.1637e-03,4.8302e-05,4.4042e-06,6.8886e-08,,,,,,,,,,,
Sam 6,8.99181e-08,1.17985e-02,4.1747e-03,4.8146e-05,4.4278e-06,6.9580e-08,,,,,,           -5.4355,            2.6534,           -3.2311,            5.2873,            9.8411,           -8.7665,           -3.2475,           -0.2276,           -0.0264,           10.4292,
Ref 7,8.86308e-08,,,,,,1.1863e-02,4.1637e-03,4.8303e-05,4.4049e-06,6.8918e-08,,,,,,,,,,,
Sam 7,8.79993e-08,1.17985e-02,4.1748e-03,4.8144e-05,4.4283e-06,6.9045e-08,,,,,,           -5.4385,            2.6572,           -3.2713,            5.2716,            4.6109,           -8.7699,           -3.2437,           -0.2685,           -0.0497,            5.1916,
Ref 8,8.66910e-08,,,,,,1.1863e-02,4.1638e-03,4.8302e-05,4.4053e-06,6.8534e-08,,,,,,,,,,,
Sam 8,8.61340e-08,1.17985e-02,4.1748e-03,4.8153e-05,4.4264e-06,6.9068e-08,,,,,,           -5.4356,            2.6488,           -3.1342,            4.8774,           -0.6682,           -8.7665,           -3.2521,           -0.1257,           -0.4249,           -0.0770,
Ref 9,8.48203e-08,,,,,,1.1863e-02,4.1638e-03,4.8305e-05,4.4046e-06,6.9708e-08,,,,,,,,,,,
Sam 9,8.43292e-08,1.17985e-02,4.1749e-03,4.8147e-05,4.4268e-06,6.9175e-08,,,,,,           -5.4352,            2.6482,           -3.2635,            5.0470,           -7.2012,           -8.7660,           -3.2527,           -0.2553,           -0.2551,           -6.6131,
Ref 10,8.30060e-08,,,,,,1.1863e-02,4.1639e-03,4.8304e-05,4.4046e-06,6.9644e-08,,,,,,,,,,,
Sam 10,8.25696e-08,1.17984e-02,4.1749e-03,4.8148e-05,4.4269e-06,6.9521e-08,,,,,,           -5.4403,            2.6549,           -3.2479,            5.0256,            3.5895,           -8.7717,           -3.2460,           -0.2410,           -0.2899,            4.1761,
Ref 11,8.12288e-08,,,,,,1.1863e-02,4.1639e-03,4.8306e-05,4.4049e-06,6.8892e-08,,,,,,,,,,,
Sam 11,8.08583e-08,1.17984e-02,4.1750e-03,4.8150e-05,4.4270e-06,6.9616e-08,,,,,,           -5.4389,            2.6590,           -3.2433,            5.0448,            8.0912,           -8.7704,           -3.2419,           -0.2418,           -0.2789,            8.6708,
Ref 12,7.95152e-08,,,,,,1.1863e-02,4.1639e-03,4.8306e-05,4.4046e-06,6.9227e-08,,,,,,,,,,,
Sam 12,7.92010e-08,1.17984e-02,4.1750e-03,4.8147e-05,4.4276e-06,6.9870e-08,,,,,,           -5.4344,            2.6541,           -3.2983,            5.3495,            8.0201,           -8.7654,           -3.2468,           -0.2968,            0.0339,            8.6045,
Ref 13,7.78586e-08,,,,,,1.1863e-02,4.1640e-03,4.8307e-05,4.4035e-06,6.9403e-08,,,,,,,,,,,
Sam 13,7.77985e-08,1.17981e-02,4.1749e-03,4.8148e-05,4.4275e-06,6.9783e-08,,,,,,           -5.4569,            2.6176,           -3.3028,            5.3052,            8.8712,           -8.7881,           -3.2831,           -0.2421,            0.0628,            9.5529,
Ref 14,7.63371e-08,,,,,,1.1863e-02,4.1640e-03,4.8308e-05,4.4048e-06,6.8931e-08,,,,,,,,,,,
Sam 14,7.61378e-08,1.17982e-02,4.1750e-03,4.8146e-05,4.4282e-06,6.8794e-08,,,,,,           -5.4344,            2.6466,           -3.3209,            5.4526,           -4.8176,           -8.7651,           -3.2543,           -0.3120,            0.1516,           -4.2258,
Ref 15,7.48039e-08,,,,,,1.1863e-02,4.1640e-03,4.8304e-05,4.4036e-06,6.9327e-08,,,,,,,,,,,
Sam 15,7.50030e-08,1.17979e-02,4.1748e-03,4.8145e-05,4.4270e-06,6.9701e-08,,,,,,           -5.4529,            2.6017,           -3.2642,            5.1703,            3.8122,           -8.7832,           -3.2989,           -0.1921,           -0.0398,            4.5173,
Ref 16,7.33817e-08,,,,,,1.1862e-02,4.1639e-03,4.8301e-05,4.4048e-06,6.9548e-08,,,,,,,,,,,
Sam 16,7.32597e-08,1.17980e-02,4.1750e-03,4.8147e-05,4.4270e-06,6.9583e-08,,,,,,           -5.4339,            2.6568,           -3.2450,            5.1359,            3.1788,           -8.7650,           -3.2441,           -0.2465,           -0.1839,            3.7546,
Ref 17,7.19072e-08,,,,,,1.1862e-02,4.1640e-03,4.8307e-05,4.4039e-06,6.9173e-08,,,,,,,,,,,
Sam 17,7.18305e-08,1.17980e-02,4.1750e-03,4.8151e-05,4.4270e-06,6.9439e-08,,,,,,           -5.4373,            2.6526,           -3.2137,            5.2694,           -0.3214,           -8.7684,           -3.2483,           -0.2076,           -0.0428,            0.2642,
Ref 18,7.04693e-08,,,,,,1.1863e-02,4.1640e-03,4.8306e-05,4.4037e-06,6.9755e-08,,,,,,,,,,,
Sam 18,7.04364e-08,1.17979e-02,4.1750e-03,4.8153e-05,4.4253e-06,7.0128e-08,,,,,,           -5.4438,            2.6466,           -3.1859,            4.8350,           13.3194,           -8.7751,           -3.2543,           -0.1670,           -0.4628,           13.9321,
Ref 19,6.90759e-08,,,,,,1.1862e-02,4.1641e-03,4.8307e-05,4.4043e-06,6.8646e-08,,,,,,,,,,,
Sam 19,6.90853e-08,1.17980e-02,4.1751e-03,4.8150e-05,4.4269e-06,7.0242e-08,,,,,,           -5.4363,            2.6422,           -3.2564,            5.2595,           12.0818,           -8.7670,           -3.2586,           -0.2411,           -0.0318,           12.6943,
Ref 20,6.77392e-08,,,,,,1.1862e-02,4.1641e-03,4.8307e-05,4.4031e-06,7.0175e-08,,,,,,,,,,,
Sam 20,6.78043e-08,1.17979e-02,4.1751e-03,4.8146e-05,4.4266e-06,6.9649e-08,,,,,,           -5.4447,            2.6469,           -3.3174,            5.2382,           -2.5025,           -8.7761,           -3.2540,           -0.2983,           -0.0623,           -1.8991,
Ref 21,6.64135e-08,,,,,,1.1862e-02,4.1641e-03,4.8306e-05,4.4040e-06,6.9465e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.57700e-08,,,,,,1.1862e-02,4.1641e-03,4.8309e-05,4.4042e-06,6.8932e-08,
Sam 1,6.58584e-08,1.17979e-02,4.1751e-03,4.8149e-05,4.4248e-06,6.9776e-08,,,,,,           -5.4319,            2.6489,           -3.2676,            4.6499,            6.5992,           -8.7625,           -3.2520,           -0.2635,           -0.6516,            7.1904,
Ref 2,6.44686e-08,,,,,,1.1862e-02,4.1641e-03,4.8304e-05,4.4043e-06,6.9713e-08,,,,,,,,,,,
Sam 2,6.45576e-08,1.17979e-02,4.1752e-03,4.8148e-05,4.4261e-06,7.0094e-08,,,,,,           -5.4318,            2.6532,           -3.2547,            4.9893,            6.1147,           -8.7626,           -3.2477,           -0.2548,           -0.3225,            6.6971,
Ref 3,6.32133e-08,,,,,,1.1862e-02,4.1642e-03,4.8307e-05,4.4039e-06,6.9621e-08,,,,,,,,,,,
Sam 3,6.33339e-08,1.17980e-02,4.1753e-03,4.8154e-05,4.4265e-06,6.9875e-08,,,,,,           -5.4322,            2.6476,           -3.2175,            5.2834,            1.6931,           -8.7629,           -3.2533,           -0.2117,           -0.0188,            2.2843,
Ref 4,6.19822e-08,,,,,,1.1862e-02,4.1643e-03,4.8313e-05,4.4025e-06,6.9896e-08,,,,,,,,,,,
Sam 4,6.21849e-08,1.17980e-02,4.1753e-03,4.8152e-05,4.4259e-06,6.8975e-08,,,,,,           -5.4310,            2.6588,           -3.2802,            5.1933,          -13.4315,           -8.7620,           -3.2421,           -0.2868,           -0.1307,          -12.8721,
Ref 5,6.08859e-08,,,,,,1.1862e-02,4.1643e-03,4.8309e-05,4.4035e-06,6.9933e-08,,,,,,,,,,,
Sam 5,6.10573e-08,1.17979e-02,4.1753e-03,4.8157e-05,4.4264e-06,6.9318e-08,,,,,,           -5.4363,            2.6345,           -3.1495,            5.2708,           -5.7565,           -8.7667,           -3.2663,           -0.1264,           -0.0052,           -5.1399,
Ref 6,5.97280e-08,,,,,,1.1862e-02,4.1643e-03,4.8309e-05,4.4029e-06,6.9501e-08,,,,,,,,,,,
Sam 6,6.00696e-08,1.17977e-02,4.1753e-03,4.8151e-05,4.4246e-06,6.9889e-08,,,,,,           -5.4398,            2.6406,           -3.2555,            4.6237,            5.2608,           -8.7706,           -3.2602,           -0.2350,           -0.6611,            5.8760,
Ref 7,5.87386e-08,,,,,,1.1862e-02,4.1643e-03,4.8309e-05,4.4056e-06,6.9546e-08,,,,,,,,,,,
Sam 7,5.89049e-08,1.17979e-02,4.1754e-03,4.8151e-05,4.4255e-06,7.0017e-08,,,,,,           -5.4233,            2.6624,           -3.2462,            4.7425,            7.2474,           -8.7539,           -3.2386,           -0.2642,           -0.5864,            7.8030,
Ref 8,5.75301e-08,,,,,,1.1862e-02,4.1644e-03,4.8306e-05,4.4037e-06,6.9480e-08,,,,,,,,,,,
Sam 8,5.78337e-08,1.17979e-02,4.1754e-03,4.8154e-05,4.4246e-06,7.0389e-08,,,,,,           -5.4324,            2.6372,           -3.1948,            5.0017,           10.2889,           -8.7627,           -3.2636,           -0.1784,           -0.2784,           10.9060,
Ref 9,5.64734e-08,,,,,,1.1862e-02,4.1645e-03,4.8310e-05,4.4014e-06,6.9868e-08,,,,,,,,,,,
Sam 9,5.67592e-08,1.17979e-02,4.1755e-03,4.8156e-05,4.4248e-06,6.9655e-08,,,,,,           -5.4327,            2.6492,           -3.1832,            5.0677,           -7.6552,           -8.7634,           -3.2517,           -0.1783,           -0.2365,           -7.0720,
Ref 10,5.54755e-08,,,,,,1.1862e-02,4.1644e-03,4.8309e-05,4.4036e-06,7.0523e-08,,,,,,,,,,,
Sam 10,5.57889e-08,1.17979e-02,4.1755e-03,4.8157e-05,4.4249e-06,7.0498e-08,,,,,,           -5.4299,            2.6552,           -3.1214,            4.9401,            9.0512,           -8.7606,           -3.2458,           -0.1251,           -0.3754,            9.6293,
Ref 11,5.44965e-08,,,,,,1.1862e-02,4.1645e-03,4.8307e-05,4.4026e-06,6.9197e-08,,,,,,,,,,,
Sam 11,5.48339e-08,1.17978e-02,4.1756e-03,4.8155e-05,4.4238e-06,7.0559e-08,,,,,,           -5.4275,            2.6660,           -3.1378,            5.0141,           20.2782,           -8.7584,           -3.2350,           -0.1547,           -0.3232,           20.8384,
Ref 12,5.35399e-08,,,,,,1.1862e-02,4.1645e-03,4.8306e-05,4.4008e-06,6.9114e-08,,,,,,,,,,,
Sam 12,5.39824e-08,1.17977e-02,4.1754e-03,4.8157e-05,4.4241e-06,6.9525e-08,,,,,,           -5.4406,            2.6192,           -3.1605,            5.0948,           -2.4626,           -8.7708,           -3.2816,           -0.1179,           -0.1497,           -1.8092,
Ref 13,5.25477e-08,,,,,,1.1862e-02,4.1645e-03,4.8314e-05,4.4025e-06,7.0290e-08,,,,,,,,,,,
Sam 13,5.29866e-08,1.17978e-02,4.1756e-03,4.8155e-05,4.4251e-06,7.0484e-08,,,,,,           -5.4408,            2.6458,           -3.2711,            5.1189,            5.2237,           -8.7719,           -3.2550,           -0.2548,           -0.1789,            5.8297,
Ref 14,5.16328e-08,,,,,,1.1862e-02,4.1646e-03,4.8313e-05,4.4026e-06,6.9943e-08,,,,,,,,,,,
Sam 14,5.21065e-08,1.17977e-02,4.1756e-03,4.8157e-05,4.4260e-06,7.0779e-08,,,,,,           -5.4400,            2.6309,           -3.2198,            5.3417,           12.6969,           -8.7705,           -3.2699,           -0.1896,            0.0725,           13.3362,
Ref 15,5.07794e-08,,,,,,1.1862e-02,4.1646e-03,4.8313e-05,4.4023e-06,6.9840e-08,,,,,,,,,,,
Sam 15,5.11847e-08,1.17977e-02,4.1757e-03,4.8163e-05,4.4250e-06,7.0660e-08,,,,,,           -5.4337,            2.6507,           -3.1315,            5.2294,           13.4457,           -8.7646,           -3.2502,           -0.1269,           -0.0787,           14.0393,
Ref 16,4.98632e-08,,,,,,1.1862e-02,4.1647e-03,4.8315e-05,4.4016e-06,6.9603e-08,,,,,,,,,,,
Sam 16,5.03273e-08,1.17977e-02,4.1757e-03,4.8161e-05,4.4237e-06,7.0162e-08,,,,,,           -5.4312,            2.6426,           -3.1897,            4.9010,            0.8299,           -8.7616,           -3.2582,           -0.1799,           -0.3892,            1.4293,
Ref 17,4.90078e-08,,,,,,1.1862e-02,4.1647e-03,4.8315e-05,4.4027e-06,7.0613e-08,,,,,,,,,,,
Sam 17,4.94836e-08,1.17978e-02,4.1757e-03,4.8163e-05,4.4253e-06,7.0913e-08,,,,,,           -5.4272,            2.6374,           -3.1427,            5.0398,            8.5202,           -8.7572,           -3.2634,           -0.1318,           -0.2408,            9.1302,
Ref 18,4.81756e-08,,,,,,1.1862e-02,4.1647e-03,4.8314e-05,4.4035e-06,7.0010e-08,,,,,,,,,,,
Sam 18,4.86639e-08,1.17977e-02,4.1758e-03,4.8161e-05,4.4252e-06,7.0175e-08,,,,,,           -5.4378,            2.6436,           -3.2032,            5.1554,            3.3105,           -8.7687,           -3.2573,           -0.1876,           -0.1381,            3.9166,
Ref 19,4.73626e-08,,,,,,1.1862e-02,4.1647e-03,4.8318e-05,4.4015e-06,6.9876e-08,,,,,,,,,,,
Sam 19,4.78663e-08,1.17977e-02,4.1758e-03,4.8161e-05,4.4248e-06,7.0127e-08,,,,,,           -5.4350,            2.6394,           -3.2851,            5.2910,           -2.5176,           -8.7655,           -3.2614,           -0.2685,            0.0052,           -1.9098,
Ref 20,4.65699e-08,,,,,,1.1862e-02,4.1648e-03,4.8321e-05,4.4016e-06,7.0739e-08,,,,,,,,,,,
Sam 20,4.70872e-08,1.17977e-02,4.1758e-03,4.8155e-05,4.4251e-06,7.0425e-08,,,,,,           -5.4359,            2.6464,           -3.3817,            5.3255,           -2.0276,           -8.7667,           -3.2545,           -0.3714,            0.0254,           -1.4323,
Ref 21,4.57919e-08,,,,,,1.1862e-02,4.1648e-03,4.8315e-05,4.4018e-06,7.0394e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.54090e-08,,,,,,1.1862e-02,4.1648e-03,4.8311e-05,4.4018e-06,6.9161e-08,
Sam 1,4.59460e-08,1.17976e-02,4.1758e-03,4.8161e-05,4.4231e-06,7.1092e-08,,,,,,           -5.4351,            2.6452,           -3.1497,            4.8149,           22.0568,           -8.7659,           -3.2556,           -0.1382,           -0.4801,           22.6680,
Ref 2,4.46512e-08,,,,,,1.1862e-02,4.1648e-03,4.8316e-05,4.4020e-06,6.9962e-08,,,,,,,,,,,
Sam 2,4.52072e-08,1.17976e-02,4.1758e-03,4.8163e-05,4.4216e-06,6.9050e-08,,,,,,           -5.4354,            2.6364,           -3.1093,            4.4338,          -14.9707,           -8.7658,           -3.2645,           -0.0888,           -0.8415,          -14.3642,
Ref 3,4.39173e-08,,,,,,1.1862e-02,4.1649e-03,4.8310e-05,4.4022e-06,7.0239e-08,,,,,,,,,,,
Sam 3,4.44851e-08,1.17975e-02,4.1759e-03,4.8154e-05,4.4251e-06,7.0440e-08,,,,,,           -5.4366,            2.6242,           -3.2742,            5.5730,           11.7518,           -8.7667,           -3.2766,           -0.2410,            0.3160,           12.4002,
Ref 4,4.31988e-08,,,,,,1.1862e-02,4.1649e-03,4.8315e-05,4.3990e-06,6.8994e-08,,,,,,,,,,,
Sam 4,4.37831e-08,1.17975e-02,4.1759e-03,4.8157e-05,4.4241e-06,6.9450e-08,,,,,,           -5.4343,            2.6313,           -3.2602,            5.2334,           -0.3049,           -8.7645,           -3.2695,           -0.2363,           -0.0361,            0.3193,
Ref 5,4.24952e-08,,,,,,1.1862e-02,4.1649e-03,4.8314e-05,4.4032e-06,6.9956e-08,,,,,,,,,,,
Sam 5,4.30929e-08,1.17975e-02,4.1759e-03,4.8157e-05,4.4198e-06,6.9081e-08,,,,,,           -5.4337,            2.6346,           -3.2689,            4.0982,          -10.3140,           -8.7640,           -3.2662,           -0.2489,           -1.1718,           -9.7030,
Ref 6,4.18078e-08,,,,,,1.1862e-02,4.1650e-03,4.8317e-05,4.4004e-06,6.9643e-08,,,,,,,,,,,
Sam 6,4.24230e-08,1.17974e-02,4.1760e-03,4.8159e-05,4.4230e-06,7.0442e-08,,,,,,           -5.4377,            2.6467,           -3.2535,            5.2746,            9.5282,           -8.7687,           -3.2542,           -0.2411,           -0.0257,           10.1319,
Ref 7,4.11354e-08,,,,,,1.1862e-02,4.1650e-03,4.8315e-05,4.3993e-06,6.9912e-08,,,,,,,,,,,
Sam 7,4.17919e-08,1.17975e-02,4.1759e-03,4.8155e-05,4.4243e-06,7.0525e-08,,,,,,           -5.4309,            2.6258,           -3.2471,            5.5359,           12.4353,           -8.7607,           -3.2750,           -0.2213,            0.2760,           13.0748,
Ref 8,4.04793e-08,,,,,,1.1862e-02,4.1650e-03,4.8309e-05,4.4006e-06,6.9402e-08,,,,,,,,,,,
Sam 8,4.11026e-08,1.17975e-02,4.1760e-03,4.8161e-05,4.4235e-06,6.9855e-08,,,,,,           -5.4175,            2.6455,           -3.1513,            5.3955,           -0.8684,           -8.7471,           -3.2554,           -0.1584,            0.0970,           -0.2903,
Ref 9,3.98617e-08,,,,,,1.1862e-02,4.1650e-03,4.8317e-05,4.3990e-06,7.0437e-08,,,,,,,,,,,
Sam 9,4.04706e-08,1.17973e-02,4.1760e-03,4.8155e-05,4.4223e-06,7.0239e-08,,,,,,           -5.4281,            2.6450,           -3.3198,            5.0560,           -0.6693,           -8.7584,           -3.2559,           -0.3159,           -0.2398,           -0.0787,
Ref 10,3.92343e-08,,,,,,1.1862e-02,4.1650e-03,4.8314e-05,4.4011e-06,7.0132e-08,,,,,,,,,,,
Sam 10,3.98677e-08,1.17973e-02,4.1760e-03,4.8154e-05,4.4221e-06,6.9659e-08,,,,,,           -5.4277,            2.6462,           -3.3543,            5.0718,          -10.3660,           -8.7580,           -3.2547,           -0.3522,           -0.2264,           -9.7839,
Ref 11,3.86178e-08,,,,,,1.1862e-02,4.1650e-03,4.8318e-05,4.3985e-06,7.0650e-08,,,,,,,,,,,
Sam 11,3.92873e-08,1.17971e-02,4.1760e-03,4.8159e-05,4.4215e-06,6.9573e-08,,,,,,           -5.4403,            2.6285,           -3.2788,            5.0926,          -14.1930,           -8.7708,           -3.2723,           -0.2460,           -0.1705,          -13.5657,
Ref 12,3.80080e-08,,,,,,1.1862e-02,4.1650e-03,4.8318e-05,4.3997e-06,7.0499e-08,,,,,,,,,,,
Sam 12,3.86565e-08,1.17973e-02,4.1761e-03,4.8163e-05,4.4217e-06,6.9381e-08,,,,,,           -5.4289,            2.6498,           -3.1904,            5.1342,          -11.5621,           -8.7594,           -3.2512,           -0.1900,           -0.1715,          -10.9864,
Ref 13,3.73946e-08,,,,,,1.1862e-02,4.1651e-03,4.8317e-05,4.3986e-06,6.9881e-08,,,,,,,,,,,
Sam 13,3.80958e-08,1.17973e-02,4.1761e-03,4.8164e-05,4.4216e-06,6.9576e-08,,,,,,           -5.4251,            2.6327,           -3.1870,            5.0014,           -2.5652,           -8.7548,           -3.2681,           -0.1738,           -0.2696,           -1.9548,
Ref 14,3.68430e-08,,,,,,1.1862e-02,4.1651e-03,4.8319e-05,4.4006e-06,6.9627e-08,,,,,,,,,,,
Sam 14,3.75138e-08,1.17972e-02,4.1761e-03,4.8161e-05,4.4232e-06,7.1452e-08,,,,,,           -5.4302,            2.6380,           -3.2267,            5.1980,           12.2910,           -8.7604,           -3.2628,           -0.2136,           -0.0846,           12.9054,
Ref 15,3.62695e-08,,,,,,1.1862e-02,4.1651e-03,4.8315e-05,4.4000e-06,7.1556e-08,,,,,,,,,,,
Sam 15,3.69889e-08,1.17971e-02,4.1761e-03,4.8156e-05,4.4221e-06,7.0662e-08,,,,,,           -5.4361,            2.6364,           -3.3762,            4.9693,            3.3438,           -8.7666,           -3.2644,           -0.3559,           -0.3089,            3.9621,
Ref 16,3.57138e-08,,,,,,1.1862e-02,4.1651e-03,4.8322e-05,4.4003e-06,6.9280e-08,,,,,,,,,,,
Sam 16,3.64373e-08,1.17971e-02,4.1761e-03,4.8163e-05,4.4220e-06,6.9048e-08,,,,,,           -5.4342,            2.6319,           -3.2231,            5.0605,           -5.3744,           -8.7645,           -3.2689,           -0.1998,           -0.2093,           -4.7546,
Ref 17,3.51798e-08,,,,,,1.1862e-02,4.1652e-03,4.8315e-05,4.3990e-06,6.9564e-08,,,,,,,,,,,
Sam 17,3.59024e-08,1.17972e-02,4.1762e-03,4.8164e-05,4.4204e-06,6.9130e-08,,,,,,           -5.4218,            2.6385,           -3.1967,            4.8622,           -2.7802,           -8.7514,           -3.2624,           -0.1926,           -0.4195,           -2.1848,
Ref 18,3.46480e-08,,,,,,1.1861e-02,4.1652e-03,4.8322e-05,4.3990e-06,6.9078e-08,,,,,,,,,,,
Sam 18,3.53435e-08,1.17973e-02,4.1762e-03,4.8172e-05,4.4227e-06,7.1220e-08,,,,,,           -5.4159,            2.6421,           -3.0358,            5.5654,           29.4378,           -8.7453,           -3.2588,           -0.0409,            0.2728,           30.0386,
Ref 19,3.41370e-08,,,,,,1.1862e-02,4.1652e-03,4.8315e-05,4.3975e-06,6.9290e-08,,,,,,,,,,,
Sam 19,3.48258e-08,1.17972e-02,4.1762e-03,4.8166e-05,4.4214e-06,7.0066e-08,,,,,,           -5.4255,            2.6446,           -3.1566,            5.3439,           12.0443,           -8.7556,           -3.2563,           -0.1545,            0.0475,           12.6405,
Ref 20,3.36105e-08,,,,,,1.1862e-02,4.1653e-03,4.8322e-05,4.3984e-06,6.9173e-08,,,,,,,,,,,
Sam 20,3.43513e-08,1.17970e-02,4.1762e-03,4.8171e-05,4.4236e-06,7.0617e-08,,,,,,           -5.4343,            2.6300,           -3.0998,            5.7043,           20.8828,           -8.7644,           -3.2708,           -0.0742,            0.4351,           21.5229,
