Nu Stable Isotope Analysis Program
Data Collected on Saturday, October 28, 2023 at 11:41 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, October 28, 2023 at 12:40 with Stable 1.71.5 on PS019

Data File = Data_20722 MDS 211.5.txt,     Sample Weight = 418,                      Vial Location = 13,                       Initial Sam Beam = 2.5018e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0956e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01919
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.91180e-08,,,,,,1.1863e-02,4.1640e-03,4.8315e-05,4.4051e-06,6.9071e-08,
Sam 1,7.84189e-08,1.18085e-02,4.1862e-03,4.8323e-05,4.4539e-06,7.1091e-08,,,,,,           -4.5833,            5.3095,            0.1471,           10.5919,           25.8526,           -7.9515,           -0.6061,           -0.3305,           -0.0549,           20.1923,
Ref 2,7.76820e-08,,,,,,1.1863e-02,4.1643e-03,4.8316e-05,4.4093e-06,6.9533e-08,,,,,,,,,,,
Sam 2,7.69129e-08,1.18086e-02,4.1863e-03,4.8328e-05,4.4551e-06,7.0867e-08,,,,,,           -4.5892,            5.2822,            0.2041,           10.4354,           18.0338,           -7.9569,           -0.6332,           -0.2406,           -0.1554,           12.4773,
Ref 3,7.61385e-08,,,,,,1.1863e-02,4.1644e-03,4.8321e-05,4.4088e-06,6.9693e-08,,,,,,,,,,,
Sam 3,7.56202e-08,1.18084e-02,4.1863e-03,4.8326e-05,4.4542e-06,7.0870e-08,,,,,,           -4.5960,            5.2766,            0.1841,           10.3158,           18.7472,           -7.9639,           -0.6389,           -0.2480,           -0.2624,           13.2053,
Ref 4,7.49170e-08,,,,,,1.1863e-02,4.1642e-03,4.8313e-05,4.4086e-06,6.9438e-08,,,,,,,,,,,
Sam 4,7.42076e-08,1.18083e-02,4.1863e-03,4.8327e-05,4.4543e-06,7.0841e-08,,,,,,           -4.5909,            5.2907,            0.2137,           10.5182,           15.4678,           -7.9590,           -0.6249,           -0.2375,           -0.0901,            9.9105,
Ref 5,7.33998e-08,,,,,,1.1863e-02,4.1643e-03,4.8320e-05,4.4073e-06,7.0093e-08,,,,,,,,,,,
Sam 5,7.27490e-08,1.18083e-02,4.1863e-03,4.8325e-05,4.4556e-06,7.0290e-08,,,,,,           -4.5917,            5.2734,            0.0969,           10.8511,            2.4748,           -7.9592,           -0.6420,           -0.3366,            0.2735,           -2.9770,
Ref 6,7.19330e-08,,,,,,1.1863e-02,4.1643e-03,4.8321e-05,4.4083e-06,7.0141e-08,,,,,,,,,,,
Sam 6,7.11817e-08,1.18085e-02,4.1864e-03,4.8331e-05,4.4551e-06,7.0755e-08,,,,,,           -4.5811,            5.2874,            0.2107,           10.6658,            6.8538,           -7.9485,           -0.6281,           -0.2474,            0.0624,            1.3395,
Ref 7,7.03323e-08,,,,,,1.1863e-02,4.1645e-03,4.8322e-05,4.4078e-06,7.0410e-08,,,,,,,,,,,
Sam 7,6.97664e-08,1.18084e-02,4.1865e-03,4.8328e-05,4.4542e-06,7.0737e-08,,,,,,           -4.5719,            5.3141,            0.1969,           10.3541,            1.2245,           -7.9395,           -0.6015,           -0.2970,           -0.2993,           -4.3210,
Ref 8,6.93309e-08,,,,,,1.1862e-02,4.1642e-03,4.8314e-05,4.4093e-06,7.0895e-08,,,,,,,,,,,
Sam 8,6.85305e-08,1.18083e-02,4.1865e-03,4.8325e-05,4.4536e-06,7.1108e-08,,,,,,           -4.5763,            5.3203,            0.1461,           10.1256,            7.0342,           -7.9444,           -0.5954,           -0.3492,           -0.5375,            1.4493,
Ref 9,6.77622e-08,,,,,,1.1863e-02,4.1644e-03,4.8322e-05,4.4085e-06,7.0320e-08,,,,,,,,,,,
Sam 9,6.71858e-08,1.18084e-02,4.1865e-03,4.8330e-05,4.4545e-06,7.1024e-08,,,,,,           -4.5827,            5.2961,            0.1400,           10.4897,           14.3863,           -7.9504,           -0.6195,           -0.3250,           -0.1292,            8.8153,
Ref 10,6.63666e-08,,,,,,1.1863e-02,4.1645e-03,4.8324e-05,4.4081e-06,6.9708e-08,,,,,,,,,,,
Sam 10,6.59011e-08,1.18083e-02,4.1865e-03,4.8330e-05,4.4549e-06,7.1131e-08,,,,,,           -4.5922,            5.2795,            0.1256,           10.7097,           13.6080,           -7.9599,           -0.6360,           -0.3133,            0.1215,            8.0842,
Ref 11,6.50836e-08,,,,,,1.1863e-02,4.1646e-03,4.8325e-05,4.4073e-06,7.0653e-08,,,,,,,,,,,
Sam 11,6.46581e-08,1.18083e-02,4.1866e-03,4.8328e-05,4.4525e-06,7.1091e-08,,,,,,           -4.5925,            5.2690,            0.0902,           10.2958,            4.9236,           -7.9599,           -0.6464,           -0.3381,           -0.2672,           -0.5321,
Ref 12,6.37547e-08,,,,,,1.1863e-02,4.1647e-03,4.8323e-05,4.4070e-06,7.0833e-08,,,,,,,,,,,
Sam 12,6.33773e-08,1.18084e-02,4.1867e-03,4.8331e-05,4.4538e-06,7.0507e-08,,,,,,           -4.5857,            5.2822,            0.1393,           10.5559,           10.0853,           -7.9531,           -0.6333,           -0.3090,           -0.0361,            4.5684,
Ref 13,6.25465e-08,,,,,,1.1863e-02,4.1647e-03,4.8325e-05,4.4076e-06,6.8754e-08,,,,,,,,,,,
Sam 13,6.21924e-08,1.18083e-02,4.1867e-03,4.8337e-05,4.4528e-06,7.1454e-08,,,,,,           -4.5900,            5.2617,            0.2388,           10.1439,           31.8380,           -7.9570,           -0.6537,           -0.1850,           -0.4029,           26.2482,
Ref 14,6.13804e-08,,,,,,1.1863e-02,4.1648e-03,4.8326e-05,4.4086e-06,6.9754e-08,,,,,,,,,,,
Sam 14,6.10685e-08,1.18082e-02,4.1868e-03,4.8329e-05,4.4529e-06,7.1003e-08,,,,,,           -4.5859,            5.2971,            0.1212,           10.2125,           11.0976,           -7.9539,           -0.6184,           -0.3415,           -0.4056,            5.5461,
Ref 15,6.03678e-08,,,,,,1.1862e-02,4.1646e-03,4.8321e-05,4.4072e-06,7.0702e-08,,,,,,,,,,,
Sam 15,6.00668e-08,1.18080e-02,4.1866e-03,4.8332e-05,4.4538e-06,7.2208e-08,,,,,,           -4.6021,            5.2795,            0.1967,           10.6604,           24.3911,           -7.9705,           -0.6359,           -0.2321,            0.0726,           18.8193,
Ref 16,5.92104e-08,,,,,,1.1863e-02,4.1647e-03,4.8325e-05,4.4065e-06,7.0272e-08,,,,,,,,,,,
Sam 16,5.90516e-08,1.18081e-02,4.1867e-03,4.8332e-05,4.4504e-06,7.1699e-08,,,,,,           -4.6020,            5.2670,            0.1171,            9.6317,           13.1920,           -7.9699,           -0.6484,           -0.2995,           -0.9204,            7.7056,
Ref 17,5.80934e-08,,,,,,1.1863e-02,4.1648e-03,4.8328e-05,4.4095e-06,7.1269e-08,,,,,,,,,,,
Sam 17,5.78494e-08,1.18082e-02,4.1868e-03,4.8338e-05,4.4534e-06,7.0581e-08,,,,,,           -4.5903,            5.2781,            0.2124,           10.2922,           -4.7961,           -7.9578,           -0.6374,           -0.2271,           -0.2888,          -10.2189,
Ref 18,5.69925e-08,,,,,,1.1863e-02,4.1649e-03,4.8328e-05,4.4066e-06,7.0566e-08,,,,,,,,,,,
Sam 18,5.67488e-08,1.18083e-02,4.1869e-03,4.8335e-05,4.4550e-06,7.1530e-08,,,,,,           -4.5836,            5.2802,            0.0854,           10.6858,           14.9790,           -7.9508,           -0.6353,           -0.3632,            0.0965,            9.4371,
Ref 19,5.59926e-08,,,,,,1.1863e-02,4.1649e-03,4.8334e-05,4.4091e-06,7.0382e-08,,,,,,,,,,,
Sam 19,5.57638e-08,1.18082e-02,4.1869e-03,4.8337e-05,4.4551e-06,7.1473e-08,,,,,,           -4.5874,            5.2770,            0.1420,           10.5526,           18.7296,           -7.9548,           -0.6384,           -0.2995,           -0.0291,           13.1776,
Ref 20,5.49528e-08,,,,,,1.1863e-02,4.1650e-03,4.8327e-05,4.4079e-06,6.9931e-08,,,,,,,,,,,
Sam 20,5.47836e-08,1.18083e-02,4.1870e-03,4.8338e-05,4.4521e-06,7.2037e-08,,,,,,           -4.5822,            5.2725,            0.2441,           10.0402,           27.6351,           -7.9490,           -0.6430,           -0.1984,           -0.5271,           22.0379,
Ref 21,5.39079e-08,,,,,,1.1863e-02,4.1650e-03,4.8326e-05,4.4077e-06,7.0271e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.34333e-08,,,,,,1.1863e-02,4.1650e-03,4.8330e-05,4.4073e-06,6.8921e-08,
Sam 1,5.34286e-08,1.18082e-02,4.1869e-03,4.8341e-05,4.4549e-06,7.0744e-08,,,,,,           -4.0125,            4.5810,            0.1789,            9.4204,            9.3659,           -7.3188,           -1.3323,           -0.1761,            0.2351,            4.6164,
Ref 2,5.31516e-08,,,,,,1.1849e-02,4.1707e-03,4.8334e-05,4.4194e-06,7.1261e-08,,,,,,,,,,,
Sam 2,5.25234e-08,1.18082e-02,4.1871e-03,4.8337e-05,4.4534e-06,7.1644e-08,,,,,,           -3.9909,            4.5899,            0.1015,            9.1120,            3.0565,           -7.2961,           -1.3235,           -0.2845,           -0.0881,           -1.7037,
Ref 3,5.16955e-08,,,,,,1.1863e-02,4.1651e-03,4.8330e-05,4.4068e-06,7.1594e-08,,,,,,,,,,,
Sam 3,5.16703e-08,1.18081e-02,4.1870e-03,4.8343e-05,4.4550e-06,7.2539e-08,,,,,,           -4.5903,            5.2638,            0.2682,           10.8152,           17.4010,           -7.9574,           -0.6516,           -0.1573,            0.2572,           11.8856,
Ref 4,5.07999e-08,,,,,,1.1863e-02,4.1651e-03,4.8331e-05,4.4080e-06,7.0998e-08,,,,,,,,,,,
Sam 4,5.07453e-08,1.18081e-02,4.1870e-03,4.8337e-05,4.4541e-06,7.1162e-08,,,,,,           -4.5880,            5.2632,            0.1235,           10.4869,            3.2376,           -7.9549,           -0.6522,           -0.3039,           -0.0667,           -2.2024,
Ref 5,4.99150e-08,,,,,,1.1862e-02,4.1652e-03,4.8331e-05,4.4077e-06,7.0866e-08,,,,,,,,,,,
Sam 5,4.98877e-08,1.18081e-02,4.1871e-03,4.8340e-05,4.4539e-06,7.0801e-08,,,,,,           -4.5861,            5.2511,            0.1710,           10.5923,           -7.9959,           -7.9524,           -0.6643,           -0.2465,            0.0619,          -13.3536,
Ref 6,4.90550e-08,,,,,,1.1863e-02,4.1653e-03,4.8332e-05,4.4068e-06,7.1887e-08,,,,,,,,,,,
Sam 6,4.90479e-08,1.18080e-02,4.1871e-03,4.8338e-05,4.4544e-06,7.1824e-08,,,,,,           -4.5983,            5.2556,            0.1125,           10.7814,           -1.5628,           -7.9656,           -0.6598,           -0.2967,            0.2401,           -6.9510,
Ref 7,4.82163e-08,,,,,,1.1863e-02,4.1652e-03,4.8333e-05,4.4069e-06,7.1987e-08,,,,,,,,,,,
Sam 7,4.82263e-08,1.18080e-02,4.1872e-03,4.8341e-05,4.4527e-06,7.0804e-08,,,,,,           -4.5900,            5.2737,            0.2169,           10.5066,          -14.5745,           -7.9574,           -0.6417,           -0.2187,           -0.0680,          -19.9359,
Ref 8,4.74004e-08,,,,,,1.1862e-02,4.1652e-03,4.8328e-05,4.4058e-06,7.1714e-08,,,,,,,,,,,
Sam 8,4.74344e-08,1.18080e-02,4.1872e-03,4.8338e-05,4.4521e-06,7.0671e-08,,,,,,           -4.5901,            5.2773,            0.1901,           10.5607,          -14.5461,           -7.9576,           -0.6382,           -0.2489,           -0.0215,          -19.9145,
Ref 9,4.66022e-08,,,,,,1.1863e-02,4.1653e-03,4.8331e-05,4.4053e-06,7.1714e-08,,,,,,,,,,,
Sam 9,4.66619e-08,1.18080e-02,4.1873e-03,4.8340e-05,4.4528e-06,7.0431e-08,,,,,,           -4.5906,            5.2816,            0.2135,           10.5323,          -16.4474,           -7.9583,           -0.6338,           -0.2293,           -0.0583,          -21.8133,
Ref 10,4.58259e-08,,,,,,1.1862e-02,4.1652e-03,4.8329e-05,4.4076e-06,7.1501e-08,,,,,,,,,,,
Sam 10,4.59029e-08,1.18081e-02,4.1873e-03,4.8341e-05,4.4514e-06,7.0645e-08,,,,,,           -4.5800,            5.2821,            0.2340,            9.9248,          -14.8075,           -7.9471,           -0.6334,           -0.2202,           -0.6604,          -20.1942,
Ref 11,4.50569e-08,,,,,,1.1862e-02,4.1653e-03,4.8330e-05,4.4077e-06,7.1916e-08,,,,,,,,,,,
Sam 11,4.51538e-08,1.18081e-02,4.1873e-03,4.8337e-05,4.4527e-06,7.1258e-08,,,,,,           -4.5827,            5.2677,            0.1282,           10.4950,            5.1063,           -7.9495,           -0.6478,           -0.3090,           -0.0674,           -0.3581,
Ref 12,4.43071e-08,,,,,,1.1862e-02,4.1653e-03,4.8332e-05,4.4052e-06,6.9860e-08,,,,,,,,,,,
Sam 12,4.44292e-08,1.18079e-02,4.1873e-03,4.8336e-05,4.4522e-06,7.1092e-08,,,,,,           -4.5925,            5.2698,            0.0858,           10.5225,            3.1460,           -7.9599,           -0.6456,           -0.3434,           -0.0445,           -2.3017,
Ref 13,4.35818e-08,,,,,,1.1862e-02,4.1653e-03,4.8332e-05,4.4065e-06,7.1896e-08,,,,,,,,,,,
Sam 13,4.37192e-08,1.18079e-02,4.1873e-03,4.8339e-05,4.4530e-06,7.2251e-08,,,,,,           -4.5870,            5.2757,            0.1170,           10.6378,            6.9949,           -7.9542,           -0.6398,           -0.3237,            0.0579,            1.5090,
Ref 14,4.28781e-08,,,,,,1.1862e-02,4.1654e-03,4.8335e-05,4.4056e-06,7.1600e-08,,,,,,,,,,,
Sam 14,4.30334e-08,1.18078e-02,4.1874e-03,4.8334e-05,4.4508e-06,7.2534e-08,,,,,,           -4.5939,            5.2771,            0.0162,           10.2266,           10.3695,           -7.9617,           -0.6384,           -0.4186,           -0.3517,            4.8699,
Ref 15,4.21856e-08,,,,,,1.1862e-02,4.1654e-03,4.8331e-05,4.4059e-06,7.1982e-08,,,,,,,,,,,
Sam 15,4.23593e-08,1.18079e-02,4.1874e-03,4.8343e-05,4.4536e-06,7.1459e-08,,,,,,           -4.5835,            5.2740,            0.1549,           10.8395,           -3.0294,           -7.9505,           -0.6414,           -0.2877,            0.2608,           -8.4612,
Ref 16,4.15128e-08,,,,,,1.1862e-02,4.1654e-03,4.8340e-05,4.4058e-06,7.1366e-08,,,,,,,,,,,
Sam 16,4.16903e-08,1.18078e-02,4.1874e-03,4.8338e-05,4.4501e-06,7.1761e-08,,,,,,           -4.5845,            5.2722,            0.0371,            9.7760,            9.7500,           -7.9515,           -0.6432,           -0.4027,           -0.7880,            4.2532,
Ref 17,4.08441e-08,,,,,,1.1862e-02,4.1655e-03,4.8332e-05,4.4084e-06,7.0766e-08,,,,,,,,,,,
Sam 17,4.10390e-08,1.18078e-02,4.1875e-03,4.8344e-05,4.4531e-06,7.1667e-08,,,,,,           -4.5897,            5.2822,            0.2551,           10.2565,           12.8383,           -7.9573,           -0.6333,           -0.1891,           -0.3323,            7.3107,
Ref 18,4.01953e-08,,,,,,1.1862e-02,4.1655e-03,4.8332e-05,4.4075e-06,7.0751e-08,,,,,,,,,,,
Sam 18,4.03941e-08,1.18077e-02,4.1874e-03,4.8343e-05,4.4510e-06,7.0531e-08,,,,,,           -4.5935,            5.2716,            0.2255,            9.8256,          -16.3830,           -7.9610,           -0.6438,           -0.2044,           -0.7376,          -21.7269,
Ref 19,3.95561e-08,,,,,,1.1862e-02,4.1655e-03,4.8332e-05,4.4080e-06,7.2676e-08,,,,,,,,,,,
Sam 19,3.97853e-08,1.18077e-02,4.1875e-03,4.8344e-05,4.4529e-06,7.3112e-08,,,,,,           -4.5915,            5.2734,            0.2208,           10.2715,            9.0351,           -7.9589,           -0.6420,           -0.2130,           -0.3000,            3.5474,
Ref 20,3.89320e-08,,,,,,1.1862e-02,4.1655e-03,4.8334e-05,4.4073e-06,7.2234e-08,,,,,,,,,,,
Sam 20,3.91578e-08,1.18077e-02,4.1876e-03,4.8340e-05,4.4528e-06,7.2091e-08,,,,,,           -4.5788,            5.3045,            0.0975,           10.1891,            5.0457,           -7.9465,           -0.6111,           -0.3798,           -0.4434,           -0.4947,
Ref 21,3.83380e-08,,,,,,1.1862e-02,4.1655e-03,4.8337e-05,4.4085e-06,7.1217e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.80291e-08,,,,,,1.1862e-02,4.1656e-03,4.8335e-05,4.4067e-06,6.9374e-08,
Sam 1,3.82923e-08,1.18076e-02,4.1875e-03,4.8341e-05,4.4523e-06,7.1143e-08,,,,,,           -4.5943,            5.2606,            0.2144,           10.4339,            9.6137,           -7.9615,           -0.6548,           -0.2039,           -0.1138,            4.1510,
Ref 2,3.74115e-08,,,,,,1.1862e-02,4.1656e-03,4.8327e-05,4.4059e-06,7.1575e-08,,,,,,,,,,,
Sam 2,3.76880e-08,1.18077e-02,4.1876e-03,4.8344e-05,4.4500e-06,7.1771e-08,,,,,,           -4.5837,            5.2794,            0.2876,           10.1463,            1.2831,           -7.9509,           -0.6361,           -0.1601,           -0.4358,           -4.1824,
Ref 3,3.68713e-08,,,,,,1.1862e-02,4.1656e-03,4.8332e-05,4.4047e-06,7.1785e-08,,,,,,,,,,,
Sam 3,3.71122e-08,1.18077e-02,4.1876e-03,4.8347e-05,4.4530e-06,7.2210e-08,,,,,,           -4.5798,            5.2669,            0.3231,           10.9617,            1.9600,           -7.9464,           -0.6485,           -0.1164,            0.3959,           -3.4890,
Ref 4,3.62927e-08,,,,,,1.1862e-02,4.1657e-03,4.8331e-05,4.4047e-06,7.2358e-08,,,,,,,,,,,
Sam 4,3.65974e-08,1.18076e-02,4.1876e-03,4.8347e-05,4.4520e-06,7.3036e-08,,,,,,           -4.5827,            5.2597,            0.2028,           10.6881,           18.3291,           -7.9492,           -0.6557,           -0.2266,            0.1394,           12.8085,
Ref 5,3.57580e-08,,,,,,1.1862e-02,4.1656e-03,4.8343e-05,4.4052e-06,7.1075e-08,,,,,,,,,,,
Sam 5,3.60284e-08,1.18076e-02,4.1876e-03,4.8342e-05,4.4518e-06,7.1266e-08,,,,,,           -4.5771,            5.2662,           -0.0035,           10.6447,            1.4911,           -7.9434,           -0.6492,           -0.4450,            0.0836,           -3.9568,
Ref 6,3.52126e-08,,,,,,1.1862e-02,4.1657e-03,4.8342e-05,4.4046e-06,7.1246e-08,,,,,,,,,,,
Sam 6,3.55293e-08,1.18076e-02,4.1876e-03,4.8345e-05,4.4509e-06,7.2332e-08,,,,,,           -4.5815,            5.2616,            0.1330,           10.3793,           17.9448,           -7.9479,           -0.6538,           -0.2996,           -0.1698,           12.4212,
Ref 7,3.46676e-08,,,,,,1.1862e-02,4.1657e-03,4.8335e-05,4.4058e-06,7.0865e-08,,,,,,,,,,,
Sam 7,3.50120e-08,1.18075e-02,4.1876e-03,4.8339e-05,4.4508e-06,7.1557e-08,,,,,,           -4.5797,            5.2551,           -0.0152,           10.3010,           -0.2403,           -7.9458,           -0.6603,           -0.4431,           -0.2344,           -5.6543,
Ref 8,3.41604e-08,,,,,,1.1862e-02,4.1658e-03,4.8344e-05,4.4050e-06,7.2294e-08,,,,,,,,,,,
Sam 8,3.44589e-08,1.18075e-02,4.1878e-03,4.8346e-05,4.4513e-06,7.1907e-08,,,,,,           -4.5775,            5.2659,            0.1111,           10.4003,           -1.2346,           -7.9438,           -0.6495,           -0.3297,           -0.1577,           -6.6668,
Ref 9,3.36366e-08,,,,,,1.1862e-02,4.1658e-03,4.8338e-05,4.4059e-06,7.1692e-08,,,,,,,,,,,
Sam 9,3.39498e-08,1.18076e-02,4.1878e-03,4.8348e-05,4.4505e-06,7.2121e-08,,,,,,           -4.5726,            5.2692,            0.1739,            9.8636,            8.0932,           -7.9388,           -0.6462,           -0.2752,           -0.6953,            2.5987,
Ref 10,3.31379e-08,,,,,,1.1862e-02,4.1658e-03,4.8342e-05,4.4082e-06,7.1390e-08,,,,,,,,,,,
Sam 10,3.34905e-08,1.18076e-02,4.1880e-03,4.8348e-05,4.4480e-06,7.0649e-08,,,,,,           -4.5662,            5.3083,            0.1610,            9.6458,          -24.0722,           -7.9333,           -0.6074,           -0.3330,           -0.9885,          -29.4723,
Ref 11,3.26629e-08,,,,,,1.1862e-02,4.1659e-03,4.8338e-05,4.4029e-06,7.3408e-08,,,,,,,,,,,
Sam 11,3.30186e-08,1.18075e-02,4.1878e-03,4.8345e-05,4.4496e-06,7.1751e-08,,,,,,           -4.5776,            5.2499,            0.0634,           10.5547,           -4.8889,           -7.9433,           -0.6655,           -0.3617,            0.0271,          -10.2700,
Ref 12,3.21562e-08,,,,,,1.1862e-02,4.1659e-03,4.8345e-05,4.4034e-06,7.0778e-08,,,,,,,,,,,
Sam 12,3.25042e-08,1.18075e-02,4.1879e-03,4.8353e-05,4.4519e-06,7.2672e-08,,,,,,           -4.5784,            5.2656,            0.1789,           10.6863,           20.3450,           -7.9448,           -0.6499,           -0.2607,            0.1261,           14.7973,
Ref 13,3.16843e-08,,,,,,1.1862e-02,4.1660e-03,4.8343e-05,4.4063e-06,7.1674e-08,,,,,,,,,,,
Sam 13,3.20703e-08,1.18073e-02,4.1879e-03,4.8349e-05,4.4505e-06,6.9969e-08,,,,,,           -4.5965,            5.2607,            0.2160,           10.3306,          -18.3444,           -7.9638,           -0.6546,           -0.2002,           -0.2164,          -23.6538,
Ref 14,3.12195e-08,,,,,,1.1862e-02,4.1660e-03,4.8335e-05,4.4037e-06,7.0874e-08,,,,,,,,,,,
Sam 14,3.16217e-08,1.18074e-02,4.1879e-03,4.8350e-05,4.4507e-06,7.1635e-08,,,,,,           -4.5899,            5.2625,            0.2419,           10.6685,           12.6891,           -7.9570,           -0.6529,           -0.1827,            0.1146,            7.2015,
Ref 15,3.07637e-08,,,,,,1.1862e-02,4.1660e-03,4.8341e-05,4.4038e-06,7.0599e-08,,,,,,,,,,,
Sam 15,3.11794e-08,1.18075e-02,4.1879e-03,4.8342e-05,4.4479e-06,7.1860e-08,,,,,,           -4.5816,            5.2553,           -0.0564,            9.8219,           24.0246,           -7.9478,           -0.6601,           -0.4825,           -0.7088,           18.4808,
Ref 16,3.03182e-08,,,,,,1.1862e-02,4.1661e-03,4.8349e-05,4.4055e-06,6.9743e-08,,,,,,,,,,,
Sam 16,3.07344e-08,1.18074e-02,4.1880e-03,4.8356e-05,4.4492e-06,7.1416e-08,,,,,,           -4.5822,            5.2603,            0.1903,           10.2679,            8.2026,           -7.9486,           -0.6551,           -0.2403,           -0.2775,            2.7351,
Ref 17,2.98777e-08,,,,,,1.1862e-02,4.1661e-03,4.8346e-05,4.4025e-06,7.1944e-08,,,,,,,,,,,
Sam 17,3.03026e-08,1.18075e-02,4.1880e-03,4.8348e-05,4.4484e-06,6.7949e-08,,,,,,           -4.5714,            5.2513,            0.0329,           10.3205,          -54.6459,           -7.9368,           -0.6641,           -0.3999,           -0.2075,          -59.7668,
Ref 18,2.94656e-08,,,,,,1.1862e-02,4.1660e-03,4.8348e-05,4.4034e-06,7.1809e-08,,,,,,,,,,,
Sam 18,2.98947e-08,1.18073e-02,4.1880e-03,4.8352e-05,4.4494e-06,6.8894e-08,,,,,,           -4.5922,            5.2709,            0.0715,           10.5017,          -34.6395,           -7.9597,           -0.6445,           -0.3590,           -0.0672,          -39.8843,
Ref 19,2.90395e-08,,,,,,1.1862e-02,4.1661e-03,4.8350e-05,4.4029e-06,7.0917e-08,,,,,,,,,,,
Sam 19,2.94745e-08,1.18072e-02,4.1880e-03,4.8347e-05,4.4483e-06,7.2680e-08,,,,,,           -4.5962,            5.2596,           -0.0518,           10.4519,           19.6022,           -7.9635,           -0.6557,           -0.4671,           -0.0941,           14.0894,
Ref 20,2.86217e-08,,,,,,1.1862e-02,4.1661e-03,4.8348e-05,4.4016e-06,7.1653e-08,,,,,,,,,,,
Sam 20,2.90679e-08,1.18073e-02,4.1881e-03,4.8358e-05,4.4478e-06,7.3136e-08,,,,,,           -4.5838,            5.2633,            0.1724,           10.4223,           17.8331,           -7.9504,           -0.6521,           -0.2594,           -0.1306,           12.3092,
Ref 21,2.82165e-08,,,,,,1.1862e-02,4.1662e-03,4.8351e-05,4.4022e-06,7.2060e-08,,,,,,,,,,,


