Nu Stable Isotope Analysis Program
Data Collected on Saturday, October 28, 2023 at 15:06 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, October 28, 2023 at 16:05 with Stable 1.71.5 on PS019

Data File = Data_20724 IAEA-C2.txt,       Sample Weight = 399,                      Vial Location = 15,                       Initial Sam Beam = 2.5018e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8979e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01919
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.66531e-08,,,,,,1.1863e-02,4.1645e-03,4.8325e-05,4.4083e-06,6.9757e-08,
Sam 1,7.62293e-08,1.18042e-02,4.1823e-03,4.8276e-05,4.4450e-06,6.9915e-08,,,,,,           -4.9658,            4.2681,           -1.0603,            8.3198,            5.7951,           -8.3225,           -1.6416,           -0.1223,           -0.2327,            2.6967,
Ref 2,7.55161e-08,,,,,,1.1863e-02,4.1646e-03,4.8329e-05,4.4084e-06,6.9263e-08,,,,,,,,,,,
Sam 2,7.52628e-08,1.18039e-02,4.1821e-03,4.8265e-05,4.4459e-06,6.9499e-08,,,,,,           -4.9934,            4.2077,           -1.2711,            8.5521,            3.8506,           -8.3499,           -1.7017,           -0.2455,            0.1179,            0.9061,
Ref 3,7.42461e-08,,,,,,1.1863e-02,4.1645e-03,4.8324e-05,4.4080e-06,6.9201e-08,,,,,,,,,,,
Sam 3,7.35734e-08,1.18042e-02,4.1823e-03,4.8272e-05,4.4454e-06,6.9257e-08,,,,,,           -4.9610,            4.2505,           -1.0642,            8.3872,           -2.5722,           -8.3168,           -1.6592,           -0.1140,           -0.1309,           -5.6157,
Ref 4,7.27643e-08,,,,,,1.1863e-02,4.1646e-03,4.8324e-05,4.4088e-06,6.9676e-08,,,,,,,,,,,
Sam 4,7.21384e-08,1.18041e-02,4.1824e-03,4.8272e-05,4.4469e-06,6.9552e-08,,,,,,           -4.9685,            4.2640,           -1.0822,            8.7810,           -7.5460,           -8.3253,           -1.6458,           -0.1375,            0.2328,          -10.5924,
Ref 5,7.13270e-08,,,,,,1.1863e-02,4.1646e-03,4.8325e-05,4.4077e-06,7.0493e-08,,,,,,,,,,,
Sam 5,7.07484e-08,1.18042e-02,4.1824e-03,4.8269e-05,4.4473e-06,7.0127e-08,,,,,,           -4.9672,            4.2620,           -1.1341,            8.9134,            3.8332,           -8.3238,           -1.6477,           -0.1888,            0.3680,            0.7544,
Ref 6,6.99289e-08,,,,,,1.1863e-02,4.1646e-03,4.8324e-05,4.4083e-06,6.9213e-08,,,,,,,,,,,
Sam 6,6.93895e-08,1.18042e-02,4.1825e-03,4.8271e-05,4.4462e-06,6.9782e-08,,,,,,           -4.9663,            4.2725,           -1.1284,            8.4915,            6.0999,           -8.3232,           -1.6373,           -0.1943,           -0.0711,            2.9925,
Ref 7,6.85649e-08,,,,,,1.1863e-02,4.1647e-03,4.8328e-05,4.4091e-06,6.9507e-08,,,,,,,,,,,
Sam 7,6.80627e-08,1.18042e-02,4.1825e-03,4.8272e-05,4.4448e-06,6.9474e-08,,,,,,           -4.9636,            4.2676,           -1.1656,            8.0671,           -6.5270,           -8.3202,           -1.6422,           -0.2295,           -0.4822,           -9.5887,
Ref 8,6.72269e-08,,,,,,1.1863e-02,4.1648e-03,4.8329e-05,4.4093e-06,7.0361e-08,,,,,,,,,,,
Sam 8,6.67712e-08,1.18041e-02,4.1825e-03,4.8277e-05,4.4447e-06,7.0220e-08,,,,,,           -4.9720,            4.2324,           -1.0853,            8.1686,            6.5016,           -8.3279,           -1.6771,           -0.1060,           -0.3116,            3.4778,
Ref 9,6.58996e-08,,,,,,1.1863e-02,4.1649e-03,4.8329e-05,4.4081e-06,6.9160e-08,,,,,,,,,,,
Sam 9,6.55077e-08,1.18041e-02,4.1826e-03,4.8272e-05,4.4461e-06,7.0671e-08,,,,,,           -4.9731,            4.2427,           -1.1845,            8.5748,           21.3898,           -8.3294,           -1.6669,           -0.2142,            0.0706,           18.3019,
Ref 10,6.46569e-08,,,,,,1.1863e-02,4.1649e-03,4.8329e-05,4.4085e-06,6.9223e-08,,,,,,,,,,,
Sam 10,6.42523e-08,1.18041e-02,4.1827e-03,4.8276e-05,4.4443e-06,7.0663e-08,,,,,,           -4.9648,            4.2630,           -1.1053,            8.2278,           18.0939,           -8.3213,           -1.6467,           -0.1634,           -0.3138,           14.9667,
Ref 11,6.34007e-08,,,,,,1.1863e-02,4.1649e-03,4.8330e-05,4.4075e-06,6.9596e-08,,,,,,,,,,,
Sam 11,6.30452e-08,1.18041e-02,4.1827e-03,4.8268e-05,4.4479e-06,6.9784e-08,,,,,,           -4.9594,            4.2641,           -1.2530,            9.1052,           -1.3620,           -8.3157,           -1.6456,           -0.3179,            0.5539,           -4.4373,
Ref 12,6.22057e-08,,,,,,1.1863e-02,4.1649e-03,4.8327e-05,4.4081e-06,7.0168e-08,,,,,,,,,,,
Sam 12,6.18921e-08,1.18042e-02,4.1827e-03,4.8274e-05,4.4458e-06,7.0824e-08,,,,,,           -4.9587,            4.2441,           -1.0987,            8.5637,           13.2751,           -8.3141,           -1.6656,           -0.1446,            0.0570,           10.1935,
Ref 13,6.09959e-08,,,,,,1.1863e-02,4.1651e-03,4.8328e-05,4.4079e-06,6.9619e-08,,,,,,,,,,,
Sam 13,6.07461e-08,1.18041e-02,4.1828e-03,4.8275e-05,4.4453e-06,6.9844e-08,,,,,,           -4.9553,            4.2699,           -1.0487,            8.7353,           -5.3445,           -8.3115,           -1.6399,           -0.1233,            0.1758,           -8.4231,
Ref 14,6.00583e-08,,,,,,1.1863e-02,4.1649e-03,4.8324e-05,4.4057e-06,7.0828e-08,,,,,,,,,,,
Sam 14,5.96558e-08,1.18041e-02,4.1828e-03,4.8279e-05,4.4445e-06,7.1066e-08,,,,,,           -4.9565,            4.2586,           -0.9926,            8.4996,           16.6824,           -8.3124,           -1.6511,           -0.0549,           -0.0355,           13.5593,
Ref 15,5.88007e-08,,,,,,1.1863e-02,4.1651e-03,4.8330e-05,4.4084e-06,6.8952e-08,,,,,,,,,,,
Sam 15,5.87141e-08,1.18039e-02,4.1827e-03,4.8272e-05,4.4449e-06,7.0863e-08,,,,,,           -4.9779,            4.2341,           -1.2249,            8.1416,           19.2706,           -8.3343,           -1.6754,           -0.2412,           -0.3417,           16.2115,
Ref 16,5.77448e-08,,,,,,1.1863e-02,4.1650e-03,4.8333e-05,4.4096e-06,7.0105e-08,,,,,,,,,,,
Sam 16,5.76614e-08,1.18039e-02,4.1827e-03,4.8276e-05,4.4448e-06,7.0966e-08,,,,,,           -4.9738,            4.2370,           -1.1908,            8.1825,            7.6575,           -8.3300,           -1.6726,           -0.2141,           -0.3068,            4.6232,
Ref 17,5.66940e-08,,,,,,1.1863e-02,4.1651e-03,4.8333e-05,4.4079e-06,7.0754e-08,,,,,,,,,,,
Sam 17,5.65469e-08,1.18040e-02,4.1829e-03,4.8273e-05,4.4455e-06,7.0284e-08,,,,,,           -4.9710,            4.2734,           -1.2217,            8.5317,           -5.0932,           -8.3283,           -1.6364,           -0.2836,           -0.0331,           -8.1628,
Ref 18,5.56138e-08,,,,,,1.1863e-02,4.1652e-03,4.8331e-05,4.4079e-06,7.0531e-08,,,,,,,,,,,
Sam 18,5.54811e-08,1.18041e-02,4.1829e-03,4.8278e-05,4.4450e-06,7.1141e-08,,,,,,           -4.9666,            4.2540,           -1.1576,            8.3356,           16.2885,           -8.3229,           -1.6557,           -0.2051,           -0.1890,           13.1866,
Ref 19,5.45681e-08,,,,,,1.1863e-02,4.1653e-03,4.8337e-05,4.4086e-06,6.9460e-08,,,,,,,,,,,
Sam 19,5.45738e-08,1.18041e-02,4.1830e-03,4.8275e-05,4.4466e-06,7.0141e-08,,,,,,           -4.9713,            4.2463,           -1.2737,            8.6559,            0.8157,           -8.3277,           -1.6634,           -0.3088,            0.1441,           -2.2188,
Ref 20,5.35894e-08,,,,,,1.1863e-02,4.1653e-03,4.8336e-05,4.4083e-06,7.0719e-08,,,,,,,,,,,
Sam 20,5.35544e-08,1.18042e-02,4.1830e-03,4.8278e-05,4.4446e-06,7.0956e-08,,,,,,           -4.9501,            4.2638,           -1.1697,            8.2974,           -4.8180,           -8.3057,           -1.6459,           -0.2439,           -0.2464,           -7.8920,
Ref 21,5.27926e-08,,,,,,1.1863e-02,4.1652e-03,4.8333e-05,4.4077e-06,7.1888e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.22962e-08,,,,,,1.1863e-02,4.1653e-03,4.8322e-05,4.4067e-06,7.0320e-08,
Sam 1,5.21903e-08,1.18040e-02,4.1831e-03,4.8278e-05,4.4438e-06,7.0939e-08,,,,,,           -4.9572,            4.2711,           -1.0480,            8.2065,            4.6065,           -8.3135,           -1.6387,           -0.1218,           -0.3510,            1.4968,
Ref 2,5.13751e-08,,,,,,1.1863e-02,4.1653e-03,4.8334e-05,4.4086e-06,7.0913e-08,,,,,,,,,,,
Sam 2,5.12945e-08,1.18040e-02,4.1831e-03,4.8280e-05,4.4457e-06,7.0854e-08,,,,,,           -4.9560,            4.2666,           -1.0971,            8.6741,            3.1591,           -8.3121,           -1.6432,           -0.1678,            0.1217,            0.0614,
Ref 3,5.04443e-08,,,,,,1.1863e-02,4.1653e-03,4.8332e-05,4.4063e-06,7.0343e-08,,,,,,,,,,,
Sam 3,5.05225e-08,1.18038e-02,4.1831e-03,4.8281e-05,4.4433e-06,7.1483e-08,,,,,,           -4.9707,            4.2467,           -1.0697,            8.2228,           14.3397,           -8.3270,           -1.6630,           -0.1058,           -0.2862,           11.2627,
Ref 4,4.95807e-08,,,,,,1.1863e-02,4.1654e-03,4.8333e-05,4.4079e-06,7.0605e-08,,,,,,,,,,,
Sam 4,4.97463e-08,1.18037e-02,4.1831e-03,4.8278e-05,4.4433e-06,7.0618e-08,,,,,,           -4.9668,            4.2459,           -1.0959,            8.1309,           -3.0738,           -8.3229,           -1.6637,           -0.1352,           -0.3758,           -6.1005,
Ref 5,4.88387e-08,,,,,,1.1863e-02,4.1653e-03,4.8330e-05,4.4071e-06,7.1070e-08,,,,,,,,,,,
Sam 5,4.88418e-08,1.18038e-02,4.1831e-03,4.8279e-05,4.4454e-06,7.1560e-08,,,,,,           -4.9583,            4.2557,           -1.1311,            8.8031,           15.8723,           -8.3142,           -1.6540,           -0.1888,            0.2712,           12.7594,
Ref 6,4.79127e-08,,,,,,1.1863e-02,4.1654e-03,4.8338e-05,4.4061e-06,6.9801e-08,,,,,,,,,,,
Sam 6,4.79873e-08,1.18038e-02,4.1832e-03,4.8279e-05,4.4442e-06,7.1232e-08,,,,,,           -4.9635,            4.2624,           -1.2038,            8.7054,            7.9734,           -8.3199,           -1.6474,           -0.2627,            0.1611,            4.8771,
Ref 7,4.70812e-08,,,,,,1.1863e-02,4.1654e-03,4.8336e-05,4.4057e-06,7.1550e-08,,,,,,,,,,,
Sam 7,4.72064e-08,1.18038e-02,4.1832e-03,4.8280e-05,4.4427e-06,7.1133e-08,,,,,,           -4.9618,            4.2547,           -1.1598,            8.0964,           -4.0707,           -8.3179,           -1.6550,           -0.2130,           -0.4275,           -7.1169,
Ref 8,4.62963e-08,,,,,,1.1863e-02,4.1655e-03,4.8336e-05,4.4083e-06,7.1296e-08,,,,,,,,,,,
Sam 8,4.64354e-08,1.18038e-02,4.1832e-03,4.8281e-05,4.4433e-06,7.1783e-08,,,,,,           -4.9595,            4.2314,           -1.1018,            8.2032,           14.5936,           -8.3146,           -1.6782,           -0.1345,           -0.2753,           11.5340,
Ref 9,4.55238e-08,,,,,,1.1863e-02,4.1655e-03,4.8332e-05,4.4059e-06,7.0196e-08,,,,,,,,,,,
Sam 9,4.56825e-08,1.18037e-02,4.1832e-03,4.8283e-05,4.4455e-06,7.0676e-08,,,,,,           -4.9642,            4.2488,           -1.0479,            8.7030,            0.4324,           -8.3202,           -1.6608,           -0.0928,            0.1856,           -2.6135,
Ref 10,4.47669e-08,,,,,,1.1863e-02,4.1656e-03,4.8336e-05,4.4084e-06,7.1103e-08,,,,,,,,,,,
Sam 10,4.49494e-08,1.18038e-02,4.1833e-03,4.8282e-05,4.4437e-06,7.0826e-08,,,,,,           -4.9589,            4.2500,           -1.1130,            8.1668,           -5.9341,           -8.3146,           -1.6597,           -0.1645,           -0.3484,           -8.9686,
Ref 11,4.40287e-08,,,,,,1.1863e-02,4.1656e-03,4.8335e-05,4.4069e-06,7.1398e-08,,,,,,,,,,,
Sam 11,4.42291e-08,1.18036e-02,4.1833e-03,4.8286e-05,4.4454e-06,7.0229e-08,,,,,,           -4.9654,            4.2492,           -1.0500,            8.6618,          -23.3214,           -8.3215,           -1.6605,           -0.0938,            0.1441,          -26.2944,
Ref 12,4.33091e-08,,,,,,1.1862e-02,4.1656e-03,4.8338e-05,4.4075e-06,7.2423e-08,,,,,,,,,,,
Sam 12,4.35338e-08,1.18036e-02,4.1833e-03,4.8282e-05,4.4454e-06,7.1310e-08,,,,,,           -4.9604,            4.2460,           -1.1099,            8.5314,           -8.9834,           -8.3160,           -1.6637,           -0.1559,            0.0212,          -11.9990,
Ref 13,4.26086e-08,,,,,,1.1862e-02,4.1656e-03,4.8333e-05,4.4082e-06,7.1482e-08,,,,,,,,,,,
Sam 13,4.28491e-08,1.18035e-02,4.1833e-03,4.8278e-05,4.4443e-06,7.1894e-08,,,,,,           -4.9684,            4.2459,           -1.1549,            8.3522,           11.6526,           -8.3245,           -1.6637,           -0.1927,           -0.1564,            8.5828,
Ref 14,4.19192e-08,,,,,,1.1863e-02,4.1656e-03,4.8336e-05,4.4067e-06,7.0644e-08,,,,,,,,,,,
Sam 14,4.21769e-08,1.18036e-02,4.1834e-03,4.8285e-05,4.4433e-06,7.0959e-08,,,,,,           -4.9619,            4.2506,           -1.0561,            8.2800,            7.6734,           -8.3178,           -1.6591,           -0.1050,           -0.2373,            4.5995,
Ref 15,4.12433e-08,,,,,,1.1862e-02,4.1657e-03,4.8337e-05,4.4068e-06,7.0189e-08,,,,,,,,,,,
Sam 15,4.15203e-08,1.18035e-02,4.1834e-03,4.8283e-05,4.4423e-06,7.1228e-08,,,,,,           -4.9594,            4.2414,           -1.1753,            7.9703,           21.5760,           -8.3148,           -1.6683,           -0.2179,           -0.5260,           18.4754,
Ref 16,4.05858e-08,,,,,,1.1862e-02,4.1657e-03,4.8344e-05,4.4074e-06,6.9251e-08,,,,,,,,,,,
Sam 16,4.08792e-08,1.18035e-02,4.1834e-03,4.8284e-05,4.4441e-06,7.0630e-08,,,,,,           -4.9637,            4.2225,           -1.2200,            8.4402,            1.7688,           -8.3187,           -1.6870,           -0.2397,           -0.0225,           -1.2302,
Ref 17,3.99299e-08,,,,,,1.1862e-02,4.1659e-03,4.8342e-05,4.4063e-06,7.1781e-08,,,,,,,,,,,
Sam 17,4.02533e-08,1.18035e-02,4.1834e-03,4.8285e-05,4.4439e-06,7.2075e-08,,,,,,           -4.9649,            4.2275,           -1.1967,            8.6113,            8.1952,           -8.3202,           -1.6821,           -0.2200,            0.1373,            5.1684,
Ref 18,3.93080e-08,,,,,,1.1862e-02,4.1657e-03,4.8344e-05,4.4056e-06,7.1193e-08,,,,,,,,,,,
Sam 18,3.96372e-08,1.18035e-02,4.1834e-03,4.8282e-05,4.4430e-06,7.1531e-08,,,,,,           -4.9584,            4.2265,           -1.2484,            8.2472,           -4.6208,           -8.3132,           -1.6831,           -0.2776,           -0.2218,           -7.6141,
Ref 19,3.86918e-08,,,,,,1.1862e-02,4.1658e-03,4.8341e-05,4.4077e-06,7.2544e-08,,,,,,,,,,,
Sam 19,3.90804e-08,1.18034e-02,4.1834e-03,4.8283e-05,4.4436e-06,7.2152e-08,,,,,,           -4.9573,            4.2388,           -1.1858,            8.4581,            9.5882,           -8.3125,           -1.6708,           -0.2280,           -0.0372,            6.5267,
Ref 20,3.81191e-08,,,,,,1.1862e-02,4.1658e-03,4.8339e-05,4.4050e-06,7.0373e-08,,,,,,,,,,,
Sam 20,3.85052e-08,1.18033e-02,4.1834e-03,4.8276e-05,4.4441e-06,7.0963e-08,,,,,,           -4.9637,            4.2362,           -1.2938,            8.7929,            1.8146,           -8.3192,           -1.6734,           -0.3270,            0.3000,           -1.2112,
Ref 21,3.75466e-08,,,,,,1.1862e-02,4.1657e-03,4.8337e-05,4.4058e-06,7.1303e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.72530e-08,,,,,,1.1862e-02,4.1657e-03,4.8339e-05,4.4062e-06,6.9331e-08,
Sam 1,3.76124e-08,1.18033e-02,4.1835e-03,4.8281e-05,4.4427e-06,7.1041e-08,,,,,,           -4.9627,            4.2553,           -1.1436,            8.7169,            7.8306,           -8.3188,           -1.6544,           -0.1965,            0.1865,            4.7477,
Ref 2,3.66735e-08,,,,,,1.1862e-02,4.1658e-03,4.8334e-05,4.4024e-06,7.1665e-08,,,,,,,,,,,
Sam 2,3.70550e-08,1.18035e-02,4.1835e-03,4.8282e-05,4.4427e-06,7.2182e-08,,,,,,           -4.9547,            4.2390,           -1.1141,            8.8685,            0.5963,           -8.3097,           -1.6707,           -0.1592,            0.3694,           -2.4410,
Ref 3,3.61074e-08,,,,,,1.1862e-02,4.1659e-03,4.8338e-05,4.4049e-06,7.2620e-08,,,,,,,,,,,
Sam 3,3.65205e-08,1.18032e-02,4.1835e-03,4.8292e-05,4.4394e-06,6.9664e-08,,,,,,           -4.9687,            4.2341,           -1.0005,            7.9044,          -37.4403,           -8.3244,           -1.6755,           -0.0261,           -0.5769,          -40.3386,
Ref 4,3.55430e-08,,,,,,1.1862e-02,4.1658e-03,4.8342e-05,4.4043e-06,7.2123e-08,,,,,,,,,,,
Sam 4,3.59709e-08,1.18034e-02,4.1836e-03,4.8281e-05,4.4429e-06,7.2319e-08,,,,,,           -4.9466,            4.2679,           -1.3172,            8.5822,           14.3451,           -8.3021,           -1.6419,           -0.3992,            0.0279,           11.2001,
Ref 5,3.50155e-08,,,,,,1.1862e-02,4.1658e-03,4.8348e-05,4.4059e-06,7.0457e-08,,,,,,,,,,,
Sam 5,3.54528e-08,1.18031e-02,4.1835e-03,4.8284e-05,4.4419e-06,7.2055e-08,,,,,,           -4.9623,            4.2279,           -1.2314,            8.1256,           11.0003,           -8.3174,           -1.6817,           -0.2578,           -0.3452,            7.9615,
Ref 6,3.44973e-08,,,,,,1.1862e-02,4.1660e-03,4.8340e-05,4.4062e-06,7.2096e-08,,,,,,,,,,,
Sam 6,3.49372e-08,1.18032e-02,4.1836e-03,4.8287e-05,4.4378e-06,7.0283e-08,,,,,,           -4.9598,            4.2313,           -1.1581,            7.3576,          -22.9871,           -8.3149,           -1.6783,           -0.1904,           -1.1135,          -25.9329,
Ref 7,3.39673e-08,,,,,,1.1862e-02,4.1659e-03,4.8347e-05,4.4046e-06,7.1774e-08,,,,,,,,,,,
Sam 7,3.43952e-08,1.18032e-02,4.1837e-03,4.8283e-05,4.4445e-06,7.1057e-08,,,,,,           -4.9622,            4.2652,           -1.2788,            9.2489,           -3.9074,           -8.3186,           -1.6445,           -0.3420,            0.6943,           -6.9741,
Ref 8,3.34590e-08,,,,,,1.1862e-02,4.1660e-03,4.8342e-05,4.4029e-06,7.0892e-08,,,,,,,,,,,
Sam 8,3.39259e-08,1.18032e-02,4.1836e-03,4.8292e-05,4.4425e-06,7.1302e-08,,,,,,           -4.9708,            4.2333,           -0.9977,            8.9736,            4.2084,           -8.3267,           -1.6763,           -0.0204,            0.4850,            1.1886,
Ref 9,3.29507e-08,,,,,,1.1862e-02,4.1660e-03,4.8339e-05,4.4031e-06,7.1117e-08,,,,,,,,,,,
Sam 9,3.34437e-08,1.18031e-02,4.1837e-03,4.8287e-05,4.4400e-06,7.0513e-08,,,,,,           -4.9688,            4.2392,           -1.0142,            8.3122,           -8.2949,           -8.3247,           -1.6705,           -0.0448,           -0.1826,          -11.2907,
Ref 10,3.24513e-08,,,,,,1.1862e-02,4.1660e-03,4.8334e-05,4.4036e-06,7.1087e-08,,,,,,,,,,,
Sam 10,3.29608e-08,1.18032e-02,4.1837e-03,4.8292e-05,4.4401e-06,6.9555e-08,,,,,,           -4.9482,            4.2371,           -0.9936,            8.0206,          -24.7617,           -8.3028,           -1.6725,           -0.0434,           -0.4677,          -27.7252,
Ref 11,3.19985e-08,,,,,,1.1862e-02,4.1661e-03,4.8345e-05,4.4059e-06,7.1557e-08,,,,,,,,,,,
Sam 11,3.24834e-08,1.18031e-02,4.1838e-03,4.8291e-05,4.4399e-06,7.1887e-08,,,,,,           -4.9576,            4.2432,           -1.0853,            8.1266,            5.9296,           -8.3129,           -1.6665,           -0.1315,           -0.3746,            2.8709,
Ref 12,3.15120e-08,,,,,,1.1862e-02,4.1661e-03,4.8342e-05,4.4022e-06,7.1368e-08,,,,,,,,,,,
Sam 12,3.19994e-08,1.18031e-02,4.1838e-03,4.8287e-05,4.4424e-06,7.1270e-08,,,,,,           -4.9722,            4.2368,           -1.1887,            8.6204,           -9.9571,           -8.3283,           -1.6728,           -0.2135,            0.1277,          -12.9397,
Ref 13,3.10547e-08,,,,,,1.1862e-02,4.1662e-03,4.8347e-05,4.4067e-06,7.2615e-08,,,,,,,,,,,
Sam 13,3.15783e-08,1.18030e-02,4.1838e-03,4.8295e-05,4.4426e-06,7.0810e-08,,,,,,           -4.9714,            4.2422,           -1.0242,            8.6929,           -6.9332,           -8.3276,           -1.6674,           -0.0550,            0.1889,           -9.9361,
Ref 14,3.06033e-08,,,,,,1.1862e-02,4.1662e-03,4.8341e-05,4.4020e-06,6.9975e-08,,,,,,,,,,,
Sam 14,3.11083e-08,1.18031e-02,4.1839e-03,4.8295e-05,4.4404e-06,7.0455e-08,,,,,,           -4.9573,            4.2567,           -1.0726,            8.5560,            2.0565,           -8.3131,           -1.6530,           -0.1322,            0.0242,           -1.0171,
Ref 15,3.01670e-08,,,,,,1.1862e-02,4.1662e-03,4.8353e-05,4.4036e-06,7.0650e-08,,,,,,,,,,,
Sam 15,3.06811e-08,1.18030e-02,4.1839e-03,4.8301e-05,4.4417e-06,7.0445e-08,,,,,,           -4.9592,            4.2283,           -1.0534,            8.4950,           -4.5690,           -8.3141,           -1.6813,           -0.0833,            0.0203,           -7.5651,
Ref 16,2.97298e-08,,,,,,1.1862e-02,4.1663e-03,4.8350e-05,4.4050e-06,7.0889e-08,,,,,,,,,,,
Sam 16,3.02813e-08,1.18030e-02,4.1839e-03,4.8293e-05,4.4419e-06,7.0790e-08,,,,,,           -4.9622,            4.2309,           -1.1130,            8.4394,           -5.2500,           -8.3175,           -1.6787,           -0.1423,           -0.0400,           -8.2458,
Ref 17,2.93063e-08,,,,,,1.1862e-02,4.1663e-03,4.8344e-05,4.4044e-06,7.1443e-08,,,,,,,,,,,
Sam 17,2.98602e-08,1.18031e-02,4.1840e-03,4.8293e-05,4.4405e-06,6.9064e-08,,,,,,           -4.9638,            4.2458,           -1.0428,            8.3739,          -39.8811,           -8.3196,           -1.6638,           -0.0851,           -0.1347,          -42.7991,
Ref 18,2.88974e-08,,,,,,1.1862e-02,4.1663e-03,4.8343e-05,4.4027e-06,7.2429e-08,,,,,,,,,,,
Sam 18,2.94602e-08,1.18030e-02,4.1839e-03,4.8298e-05,4.4403e-06,7.1865e-08,,,,,,           -4.9635,            4.2213,           -1.0604,            8.5570,            4.9106,           -8.3185,           -1.6882,           -0.0789,            0.0957,            1.9044,
Ref 19,2.84846e-08,,,,,,1.1862e-02,4.1664e-03,4.8356e-05,4.4026e-06,7.0585e-08,,,,,,,,,,,
Sam 19,2.90561e-08,1.18031e-02,4.1840e-03,4.8299e-05,4.4425e-06,7.2120e-08,,,,,,           -4.9500,            4.2221,           -1.1110,            8.9147,           19.9305,           -8.3041,           -1.6874,           -0.1444,            0.4488,           16.8629,
Ref 20,2.80801e-08,,,,,,1.1862e-02,4.1664e-03,4.8350e-05,4.4039e-06,7.0838e-08,,,,,,,,,,,
Sam 20,2.86529e-08,1.18030e-02,4.1840e-03,4.8300e-05,4.4392e-06,7.0483e-08,,,,,,           -4.9646,            4.2137,           -1.0881,            7.7743,          -13.8950,           -8.3194,           -1.6958,           -0.0981,           -0.6654,          -16.8292,
