Nu Stable Isotope Analysis Program
Data Collected on Saturday, October 28, 2023 at 17:09 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, October 28, 2023 at 18:08 with Stable 1.71.5 on PS019

Data File = Data_20725 MDE BKFF A.txt,    Sample Weight = 422,                      Vial Location = 16,                       Initial Sam Beam = 2.5015e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8305e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02139
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.63483e-08,,,,,,1.1863e-02,4.1645e-03,4.8322e-05,4.4051e-06,6.9265e-08,
Sam 1,7.56711e-08,1.18244e-02,4.1833e-03,4.8362e-05,4.4469e-06,7.1437e-08,,,,,,           -3.2658,            4.5089,            0.8368,            9.2132,           22.0394,           -6.5217,           -1.4057,           -0.2203,            0.1734,           16.5634,
Ref 2,7.49551e-08,,,,,,1.1863e-02,4.1647e-03,4.8322e-05,4.4076e-06,7.0540e-08,,,,,,,,,,,
Sam 2,7.47238e-08,1.18241e-02,4.1831e-03,4.8360e-05,4.4449e-06,7.2139e-08,,,,,,           -3.3072,            4.4402,            0.7840,            8.6156,           22.3031,           -6.5633,           -1.4741,           -0.1629,           -0.2820,           17.0076,
Ref 3,7.36801e-08,,,,,,1.1863e-02,4.1646e-03,4.8321e-05,4.4062e-06,7.0591e-08,,,,,,,,,,,
Sam 3,7.30358e-08,1.18243e-02,4.1834e-03,4.8360e-05,4.4461e-06,7.1319e-08,,,,,,           -3.2832,            4.5100,            0.8214,            9.1496,           15.5888,           -6.5402,           -1.4046,           -0.2187,            0.1082,           10.1639,
Ref 4,7.22522e-08,,,,,,1.1863e-02,4.1647e-03,4.8319e-05,4.4053e-06,6.9850e-08,,,,,,,,,,,
Sam 4,7.16271e-08,1.18243e-02,4.1835e-03,4.8359e-05,4.4451e-06,7.0817e-08,,,,,,           -3.2784,            4.5130,            0.8177,            8.8777,            5.8196,           -6.5352,           -1.4016,           -0.2303,           -0.1673,            0.4360,
Ref 5,7.08275e-08,,,,,,1.1863e-02,4.1647e-03,4.8320e-05,4.4067e-06,7.0975e-08,,,,,,,,,,,
Sam 5,7.02495e-08,1.18243e-02,4.1835e-03,4.8358e-05,4.4459e-06,7.0813e-08,,,,,,           -3.2811,            4.5065,            0.7825,            8.8765,           -2.8745,           -6.5378,           -1.4080,           -0.2563,           -0.1555,           -8.1962,
Ref 6,6.94389e-08,,,,,,1.1863e-02,4.1647e-03,4.8320e-05,4.4070e-06,7.1061e-08,,,,,,,,,,,
Sam 6,6.89093e-08,1.18243e-02,4.1835e-03,4.8361e-05,4.4448e-06,7.1316e-08,,,,,,           -3.2776,            4.5078,            0.8670,            8.7375,           10.3504,           -6.5341,           -1.4068,           -0.1768,           -0.2958,            4.9519,
Ref 7,6.80836e-08,,,,,,1.1863e-02,4.1648e-03,4.8319e-05,4.4056e-06,7.0101e-08,,,,,,,,,,,
Sam 7,6.76054e-08,1.18243e-02,4.1836e-03,4.8364e-05,4.4453e-06,7.1533e-08,,,,,,           -3.2717,            4.5057,            0.8660,            8.9130,            8.7662,           -6.5278,           -1.4089,           -0.1818,           -0.1177,            3.3740,
Ref 8,6.67592e-08,,,,,,1.1863e-02,4.1648e-03,4.8325e-05,4.4066e-06,7.1738e-08,,,,,,,,,,,
Sam 8,6.63164e-08,1.18243e-02,4.1836e-03,4.8360e-05,4.4458e-06,7.2071e-08,,,,,,           -3.2698,            4.5100,            0.7443,            8.7377,           16.5627,           -6.5259,           -1.4047,           -0.3095,           -0.2998,           11.1183,
Ref 9,6.54750e-08,,,,,,1.1863e-02,4.1649e-03,4.8324e-05,4.4080e-06,7.0040e-08,,,,,,,,,,,
Sam 9,6.50771e-08,1.18243e-02,4.1837e-03,4.8360e-05,4.4463e-06,7.2230e-08,,,,,,           -3.2711,            4.5192,            0.7781,            8.7699,           24.6198,           -6.5277,           -1.3955,           -0.2834,           -0.2862,           19.1154,
Ref 10,6.42206e-08,,,,,,1.1863e-02,4.1649e-03,4.8322e-05,4.4074e-06,7.0957e-08,,,,,,,,,,,
Sam 10,6.38587e-08,1.18243e-02,4.1837e-03,4.8365e-05,4.4467e-06,7.2051e-08,,,,,,           -3.2677,            4.5047,            0.9020,            9.1025,           13.4393,           -6.5235,           -1.4099,           -0.1490,            0.0721,            8.0199,
Ref 11,6.29797e-08,,,,,,1.1863e-02,4.1650e-03,4.8322e-05,4.4058e-06,7.1236e-08,,,,,,,,,,,
Sam 11,6.26575e-08,1.18243e-02,4.1837e-03,4.8364e-05,4.4454e-06,7.1506e-08,,,,,,           -3.2776,            4.5001,            0.8463,            9.1562,            1.9104,           -6.5339,           -1.4145,           -0.1898,            0.1346,           -3.4278,
Ref 12,6.17554e-08,,,,,,1.1863e-02,4.1650e-03,4.8325e-05,4.4043e-06,7.1505e-08,,,,,,,,,,,
Sam 12,6.15179e-08,1.18241e-02,4.1838e-03,4.8360e-05,4.4463e-06,7.2063e-08,,,,,,           -3.2864,            4.4964,            0.7756,            9.3883,           14.8135,           -6.5432,           -1.4181,           -0.2477,            0.3719,            9.4233,
Ref 13,6.06479e-08,,,,,,1.1863e-02,4.1650e-03,4.8321e-05,4.4056e-06,7.0508e-08,,,,,,,,,,,
Sam 13,6.03948e-08,1.18242e-02,4.1838e-03,4.8362e-05,4.4467e-06,7.2571e-08,,,,,,           -3.2799,            4.5061,            0.8184,            9.1801,           24.7678,           -6.5365,           -1.4085,           -0.2213,            0.1463,           19.2983,
Ref 14,5.94797e-08,,,,,,1.1863e-02,4.1651e-03,4.8324e-05,4.4069e-06,7.1132e-08,,,,,,,,,,,
Sam 14,5.93616e-08,1.18242e-02,4.1838e-03,4.8366e-05,4.4457e-06,7.2527e-08,,,,,,           -3.2842,            4.4745,            0.8789,            8.9132,           23.2274,           -6.5401,           -1.4399,           -0.1254,           -0.0553,           17.8337,
Ref 15,5.84163e-08,,,,,,1.1863e-02,4.1652e-03,4.8322e-05,4.4058e-06,7.0624e-08,,,,,,,,,,,
Sam 15,5.82205e-08,1.18242e-02,4.1839e-03,4.8364e-05,4.4463e-06,7.2582e-08,,,,,,           -3.2678,            4.5056,            0.8677,            9.0864,           17.1503,           -6.5236,           -1.4090,           -0.1840,            0.0544,           11.7093,
Ref 16,5.74056e-08,,,,,,1.1863e-02,4.1651e-03,4.8322e-05,4.4066e-06,7.2104e-08,,,,,,,,,,,
Sam 16,5.72354e-08,1.18241e-02,4.1839e-03,4.8365e-05,4.4455e-06,7.3112e-08,,,,,,           -3.2738,            4.5043,            0.8455,            8.9540,           24.6391,           -6.5300,           -1.4103,           -0.1988,           -0.0744,           19.1671,
Ref 17,5.63322e-08,,,,,,1.1863e-02,4.1651e-03,4.8326e-05,4.4055e-06,7.0590e-08,,,,,,,,,,,
Sam 17,5.61621e-08,1.18241e-02,4.1840e-03,4.8366e-05,4.4471e-06,7.1768e-08,,,,,,           -3.2771,            4.5118,            0.8379,            9.1944,           16.4934,           -6.5337,           -1.4028,           -0.2104,            0.1490,           11.0536,
Ref 18,5.52561e-08,,,,,,1.1863e-02,4.1653e-03,4.8325e-05,4.4077e-06,7.0618e-08,,,,,,,,,,,
Sam 18,5.51855e-08,1.18242e-02,4.1840e-03,4.8370e-05,4.4460e-06,7.2691e-08,,,,,,           -3.2714,            4.4948,            0.8841,            8.9476,           24.7382,           -6.5271,           -1.4197,           -0.1534,           -0.0616,           19.2821,
Ref 19,5.42859e-08,,,,,,1.1863e-02,4.1653e-03,4.8329e-05,4.4054e-06,7.1261e-08,,,,,,,,,,,
Sam 19,5.42094e-08,1.18241e-02,4.1841e-03,4.8367e-05,4.4446e-06,7.2661e-08,,,,,,           -3.2704,            4.5096,            0.8270,            8.7543,           16.5124,           -6.5266,           -1.4050,           -0.2259,           -0.2828,           11.0696,
Ref 20,5.33691e-08,,,,,,1.1863e-02,4.1653e-03,4.8326e-05,4.4067e-06,7.1704e-08,,,,,,,,,,,
Sam 20,5.33903e-08,1.18240e-02,4.1840e-03,4.8359e-05,4.4458e-06,7.1857e-08,,,,,,           -3.2799,            4.4952,            0.6780,            8.9270,            1.9951,           -6.5362,           -1.4193,           -0.3509,           -0.0829,           -3.3317,
Ref 21,5.24427e-08,,,,,,1.1863e-02,4.1653e-03,4.8326e-05,4.4064e-06,7.1723e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.19821e-08,,,,,,1.1863e-02,4.1653e-03,4.8326e-05,4.4060e-06,7.0904e-08,
Sam 1,5.19083e-08,1.18240e-02,4.1841e-03,4.8362e-05,4.4452e-06,7.3054e-08,,,,,,           -3.2713,            4.5092,            0.6841,            8.7737,           30.9184,           -6.5275,           -1.4054,           -0.3674,           -0.2627,           25.4003,
Ref 2,5.10751e-08,,,,,,1.1863e-02,4.1654e-03,4.8332e-05,4.4071e-06,7.0822e-08,,,,,,,,,,,
Sam 2,5.10634e-08,1.18241e-02,4.1841e-03,4.8364e-05,4.4456e-06,7.3125e-08,,,,,,           -3.2664,            4.5083,            0.6696,            8.9368,           22.1833,           -6.5223,           -1.4064,           -0.3859,           -0.0992,           16.7085,
Ref 3,5.01602e-08,,,,,,1.1863e-02,4.1654e-03,4.8332e-05,4.4054e-06,7.2267e-08,,,,,,,,,,,
Sam 3,5.02897e-08,1.18239e-02,4.1841e-03,4.8369e-05,4.4456e-06,7.2027e-08,,,,,,           -3.2833,            4.4903,            0.8137,            8.9281,            3.9303,           -6.5396,           -1.4242,           -0.2071,           -0.0721,           -1.3937,
Ref 4,4.92841e-08,,,,,,1.1863e-02,4.1654e-03,4.8328e-05,4.4071e-06,7.1215e-08,,,,,,,,,,,
Sam 4,4.93592e-08,1.18240e-02,4.1842e-03,4.8366e-05,4.4471e-06,7.1541e-08,,,,,,           -3.2678,            4.5071,            0.8183,            9.1203,            0.4366,           -6.5237,           -1.4075,           -0.2349,            0.0850,           -4.9179,
Ref 5,4.84396e-08,,,,,,1.1863e-02,4.1655e-03,4.8326e-05,4.4067e-06,7.1810e-08,,,,,,,,,,,
Sam 5,4.85365e-08,1.18239e-02,4.1842e-03,4.8371e-05,4.4448e-06,7.3288e-08,,,,,,           -3.2699,            4.5000,            0.8745,            8.7880,           26.0711,           -6.5257,           -1.4146,           -0.1696,           -0.2302,           20.5957,
Ref 6,4.76143e-08,,,,,,1.1863e-02,4.1655e-03,4.8332e-05,4.4055e-06,7.1035e-08,,,,,,,,,,,
Sam 6,4.77377e-08,1.18239e-02,4.1842e-03,4.8370e-05,4.4462e-06,7.2361e-08,,,,,,           -3.2695,            4.4893,            0.7754,            9.0989,            7.1961,           -6.5249,           -1.4252,           -0.2586,            0.0992,            1.8420,
Ref 7,4.68158e-08,,,,,,1.1863e-02,4.1655e-03,4.8333e-05,4.4067e-06,7.2666e-08,,,,,,,,,,,
Sam 7,4.69559e-08,1.18239e-02,4.1843e-03,4.8376e-05,4.4456e-06,7.3284e-08,,,,,,           -3.2732,            4.5023,            0.9634,            9.0417,           10.8727,           -6.5293,           -1.4123,           -0.0796,            0.0166,            5.4776,
Ref 8,4.60327e-08,,,,,,1.1863e-02,4.1655e-03,4.8325e-05,4.4050e-06,7.2322e-08,,,,,,,,,,,
Sam 8,4.61938e-08,1.18238e-02,4.1843e-03,4.8368e-05,4.4457e-06,7.3606e-08,,,,,,           -3.2743,            4.5077,            0.8677,            9.2326,           35.8254,           -6.5307,           -1.4069,           -0.1794,            0.1950,           30.2874,
Ref 9,4.52637e-08,,,,,,1.1863e-02,4.1656e-03,4.8328e-05,4.4052e-06,6.9778e-08,,,,,,,,,,,
Sam 9,4.54462e-08,1.18238e-02,4.1844e-03,4.8369e-05,4.4463e-06,7.3991e-08,,,,,,           -3.2740,            4.5030,            0.8831,            9.3092,           43.1511,           -6.5301,           -1.4116,           -0.1598,            0.2804,           37.5832,
Ref 10,4.45163e-08,,,,,,1.1863e-02,4.1657e-03,4.8325e-05,4.4055e-06,7.2102e-08,,,,,,,,,,,
Sam 10,4.47216e-08,1.18238e-02,4.1844e-03,4.8371e-05,4.4473e-06,7.3118e-08,,,,,,           -3.2708,            4.5013,            0.8707,            9.5322,           11.7264,           -6.5267,           -1.4133,           -0.1738,            0.5047,            6.3260,
Ref 11,4.37861e-08,,,,,,1.1863e-02,4.1656e-03,4.8332e-05,4.4052e-06,7.2443e-08,,,,,,,,,,,
Sam 11,4.40081e-08,1.18237e-02,4.1844e-03,4.8373e-05,4.4432e-06,7.3512e-08,,,,,,           -3.2776,            4.4907,            0.8028,            8.5368,           22.8135,           -6.5335,           -1.4238,           -0.2242,           -0.4606,           17.3826,
Ref 12,4.30710e-08,,,,,,1.1862e-02,4.1657e-03,4.8336e-05,4.4061e-06,7.1292e-08,,,,,,,,,,,
Sam 12,4.33145e-08,1.18237e-02,4.1844e-03,4.8367e-05,4.4430e-06,7.3231e-08,,,,,,           -3.2700,            4.5012,            0.6699,            8.1802,           32.2065,           -6.5259,           -1.4134,           -0.3750,           -0.8349,           26.6962,
Ref 13,4.23758e-08,,,,,,1.1862e-02,4.1656e-03,4.8334e-05,4.4077e-06,7.0596e-08,,,,,,,,,,,
Sam 13,4.26354e-08,1.18236e-02,4.1844e-03,4.8376e-05,4.4441e-06,7.2414e-08,,,,,,           -3.2733,            4.4999,            0.8772,            8.4628,            9.9630,           -6.5294,           -1.4146,           -0.1633,           -0.5524,            4.5775,
Ref 14,4.16970e-08,,,,,,1.1862e-02,4.1657e-03,4.8333e-05,4.4059e-06,7.2822e-08,,,,,,,,,,,
Sam 14,4.19722e-08,1.18235e-02,4.1844e-03,4.8371e-05,4.4452e-06,7.1897e-08,,,,,,           -3.2806,            4.4938,            0.7991,            8.9725,          -14.5049,           -6.5369,           -1.4207,           -0.2279,           -0.0351,          -19.7406,
Ref 15,4.10348e-08,,,,,,1.1862e-02,4.1657e-03,4.8332e-05,4.4054e-06,7.3090e-08,,,,,,,,,,,
Sam 15,4.13231e-08,1.18235e-02,4.1844e-03,4.8373e-05,4.4458e-06,7.2529e-08,,,,,,           -3.2765,            4.4955,            0.8836,            9.3152,            1.0947,           -6.5325,           -1.4190,           -0.1493,            0.3013,           -4.2315,
Ref 16,4.03839e-08,,,,,,1.1862e-02,4.1657e-03,4.8329e-05,4.4042e-06,7.1798e-08,,,,,,,,,,,
Sam 16,4.06829e-08,1.18235e-02,4.1845e-03,4.8369e-05,4.4447e-06,7.3450e-08,,,,,,           -3.2752,            4.4959,            0.7745,            9.0529,           20.1762,           -6.5312,           -1.4186,           -0.2601,            0.0404,           14.7462,
Ref 17,3.97426e-08,,,,,,1.1862e-02,4.1658e-03,4.8334e-05,4.4054e-06,7.2200e-08,,,,,,,,,,,
Sam 17,4.00540e-08,1.18234e-02,4.1845e-03,4.8368e-05,4.4451e-06,7.3009e-08,,,,,,           -3.2794,            4.4974,            0.7637,            8.7819,            3.2946,           -6.5358,           -1.4171,           -0.2679,           -0.2311,           -2.0439,
Ref 18,3.91157e-08,,,,,,1.1862e-02,4.1658e-03,4.8329e-05,4.4074e-06,7.3348e-08,,,,,,,,,,,
Sam 18,3.94392e-08,1.18235e-02,4.1845e-03,4.8372e-05,4.4439e-06,7.4080e-08,,,,,,           -3.2662,            4.4882,            0.8802,            8.6465,           15.0306,           -6.5213,           -1.4263,           -0.1562,           -0.3470,            9.6335,
Ref 19,3.85032e-08,,,,,,1.1862e-02,4.1658e-03,4.8329e-05,4.4042e-06,7.2611e-08,,,,,,,,,,,
Sam 19,3.88361e-08,1.18235e-02,4.1845e-03,4.8369e-05,4.4430e-06,7.2003e-08,,,,,,           -3.2690,            4.4908,            0.8181,            8.7502,          -10.7829,           -6.5245,           -1.4237,           -0.2178,           -0.2494,          -16.0447,
Ref 20,3.79015e-08,,,,,,1.1862e-02,4.1659e-03,4.8329e-05,4.4047e-06,7.2966e-08,,,,,,,,,,,
Sam 20,3.82459e-08,1.18234e-02,4.1846e-03,4.8374e-05,4.4413e-06,7.3343e-08,,,,,,           -3.2721,            4.4891,            0.8952,            8.5329,           -0.8143,           -6.5276,           -1.4254,           -0.1360,           -0.4613,           -6.1225,
Ref 21,3.73147e-08,,,,,,1.1862e-02,4.1659e-03,4.8333e-05,4.4026e-06,7.3846e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.70254e-08,,,,,,1.1862e-02,4.1658e-03,4.8336e-05,4.4044e-06,7.0641e-08,
Sam 1,3.73838e-08,1.18233e-02,4.1845e-03,4.8376e-05,4.4439e-06,7.1471e-08,,,,,,           -3.2767,            4.4809,            0.8792,            8.7759,           -2.4467,           -6.5323,           -1.4336,           -0.1392,           -0.2042,           -7.7255,
Ref 2,3.64536e-08,,,,,,1.1862e-02,4.1659e-03,4.8331e-05,4.4061e-06,7.2666e-08,,,,,,,,,,,
Sam 2,3.68517e-08,1.18232e-02,4.1845e-03,4.8367e-05,4.4446e-06,7.2100e-08,,,,,,           -3.2798,            4.4665,            0.7210,            8.9492,           -9.5055,           -6.5350,           -1.4479,           -0.2800,           -0.0037,          -14.7159,
Ref 3,3.58933e-08,,,,,,1.1862e-02,4.1659e-03,4.8334e-05,4.4043e-06,7.2919e-08,,,,,,,,,,,
Sam 3,3.63132e-08,1.18232e-02,4.1846e-03,4.8379e-05,4.4430e-06,7.4489e-08,,,,,,           -3.2816,            4.4936,            0.8646,            8.7223,           17.2915,           -6.5380,           -1.4209,           -0.1611,           -0.2827,           11.8884,
Ref 4,3.53857e-08,,,,,,1.1862e-02,4.1659e-03,4.8341e-05,4.4048e-06,7.3530e-08,,,,,,,,,,,
Sam 4,3.57772e-08,1.18232e-02,4.1846e-03,4.8374e-05,4.4419e-06,7.3545e-08,,,,,,           -3.2740,            4.4858,            0.7515,            8.8524,            9.1248,           -6.5296,           -1.4287,           -0.2743,           -0.1382,            3.7723,
Ref 5,3.48392e-08,,,,,,1.1862e-02,4.1660e-03,4.8334e-05,4.4011e-06,7.2220e-08,,,,,,,,,,,
Sam 5,3.52636e-08,1.18232e-02,4.1846e-03,4.8371e-05,4.4424e-06,7.4094e-08,,,,,,           -3.2721,            4.4825,            0.7411,            8.9544,           26.7574,           -6.5275,           -1.4320,           -0.2834,           -0.0304,           21.3159,
Ref 6,3.43267e-08,,,,,,1.1862e-02,4.1659e-03,4.8337e-05,4.4049e-06,7.2106e-08,,,,,,,,,,,
Sam 6,3.47374e-08,1.18232e-02,4.1847e-03,4.8373e-05,4.4419e-06,7.4753e-08,,,,,,           -3.2702,            4.5013,            0.7458,            8.5812,           30.8636,           -6.5261,           -1.4133,           -0.2991,           -0.4378,           25.3605,
Ref 7,3.38007e-08,,,,,,1.1862e-02,4.1660e-03,4.8337e-05,4.4034e-06,7.2931e-08,,,,,,,,,,,
Sam 7,3.42323e-08,1.18231e-02,4.1847e-03,4.8376e-05,4.4459e-06,7.3986e-08,,,,,,           -3.2778,            4.4946,            0.8877,            9.3840,           11.1487,           -6.5340,           -1.4199,           -0.1429,            0.3712,            5.7723,
Ref 8,3.33083e-08,,,,,,1.1862e-02,4.1660e-03,4.8330e-05,4.4058e-06,7.3414e-08,,,,,,,,,,,
Sam 8,3.37429e-08,1.18232e-02,4.1846e-03,4.8368e-05,4.4447e-06,7.3475e-08,,,,,,           -3.2610,            4.4682,            0.8123,            8.6634,           -0.0366,           -6.5151,           -1.4463,           -0.2098,           -0.2903,           -5.3200,
Ref 9,3.28049e-08,,,,,,1.1862e-02,4.1660e-03,4.8328e-05,4.4072e-06,7.3543e-08,,,,,,,,,,,
Sam 9,3.32300e-08,1.18231e-02,4.1848e-03,4.8375e-05,4.4404e-06,7.3065e-08,,,,,,           -3.2749,            4.5039,            0.7628,            8.0177,           -1.3896,           -6.5312,           -1.4106,           -0.2799,           -1.0014,           -6.7207,
Ref 10,3.23066e-08,,,,,,1.1862e-02,4.1661e-03,4.8349e-05,4.4029e-06,7.2784e-08,,,,,,,,,,,
Sam 10,3.27732e-08,1.18231e-02,4.1848e-03,4.8378e-05,4.4423e-06,7.3385e-08,,,,,,           -3.2737,            4.4869,            0.6695,            9.0052,            5.7006,           -6.5293,           -1.4276,           -0.3576,            0.0111,            0.3638,
Ref 11,3.18392e-08,,,,,,1.1862e-02,4.1661e-03,4.8343e-05,4.4023e-06,7.3156e-08,,,,,,,,,,,
Sam 11,3.22644e-08,1.18231e-02,4.1849e-03,4.8381e-05,4.4416e-06,7.4071e-08,,,,,,           -3.2729,            4.4906,            0.8496,            8.7067,           14.1830,           -6.5286,           -1.4239,           -0.1822,           -0.2921,            8.7929,
Ref 12,3.13646e-08,,,,,,1.1862e-02,4.1662e-03,4.8337e-05,4.4042e-06,7.2912e-08,,,,,,,,,,,
Sam 12,3.18063e-08,1.18231e-02,4.1849e-03,4.8369e-05,4.4415e-06,7.3198e-08,,,,,,           -3.2678,            4.4975,            0.5860,            8.5539,            3.0290,           -6.5234,           -1.4170,           -0.4575,           -0.4573,           -2.3207,
Ref 13,3.09043e-08,,,,,,1.1862e-02,4.1662e-03,4.8344e-05,4.4035e-06,7.3043e-08,,,,,,,,,,,
Sam 13,3.13932e-08,1.18230e-02,4.1848e-03,4.8378e-05,4.4439e-06,7.2908e-08,,,,,,           -3.2729,            4.4614,            0.7417,            9.0094,            2.4199,           -6.5275,           -1.4529,           -0.2614,            0.0660,           -2.8507,
Ref 14,3.04630e-08,,,,,,1.1862e-02,4.1663e-03,4.8340e-05,4.4049e-06,7.2417e-08,,,,,,,,,,,
Sam 14,3.09535e-08,1.18230e-02,4.1849e-03,4.8375e-05,4.4443e-06,7.1321e-08,,,,,,           -3.2734,            4.4561,            0.7161,            8.7486,          -24.5756,           -6.5279,           -1.4583,           -0.2812,           -0.1819,          -29.6935,
Ref 15,2.99985e-08,,,,,,1.1862e-02,4.1663e-03,4.8340e-05,4.4066e-06,7.3830e-08,,,,,,,,,,,
Sam 15,3.05203e-08,1.18231e-02,4.1850e-03,4.8381e-05,4.4420e-06,7.4185e-08,,,,,,           -3.2680,            4.4811,            0.8022,            8.6113,           13.3129,           -6.5230,           -1.4334,           -0.2253,           -0.3676,            7.9411,
Ref 16,2.95880e-08,,,,,,1.1862e-02,4.1664e-03,4.8344e-05,4.4015e-06,7.2582e-08,,,,,,,,,,,
Sam 16,3.00935e-08,1.18230e-02,4.1849e-03,4.8389e-05,4.4430e-06,7.5689e-08,,,,,,           -3.2757,            4.4689,            0.8933,            8.9647,           46.0240,           -6.5308,           -1.4455,           -0.1143,            0.0069,           40.5121,
Ref 17,2.91704e-08,,,,,,1.1862e-02,4.1663e-03,4.8347e-05,4.4056e-06,7.2132e-08,,,,,,,,,,,
Sam 17,2.96778e-08,1.18230e-02,4.1850e-03,4.8380e-05,4.4421e-06,7.3116e-08,,,,,,           -3.2668,            4.4920,            0.7943,            8.4427,            9.2378,           -6.5221,           -1.4226,           -0.2450,           -0.5564,            3.8648,
Ref 18,2.87639e-08,,,,,,1.1862e-02,4.1664e-03,4.8337e-05,4.4043e-06,7.2766e-08,,,,,,,,,,,
Sam 18,2.92788e-08,1.18229e-02,4.1850e-03,4.8377e-05,4.4418e-06,7.2579e-08,,,,,,           -3.2745,            4.4776,            0.6903,            8.4302,            0.5823,           -6.5299,           -1.4368,           -0.3269,           -0.5403,           -4.7084,
Ref 19,2.83538e-08,,,,,,1.1862e-02,4.1664e-03,4.8351e-05,4.4050e-06,7.2304e-08,,,,,,,,,,,
Sam 19,2.88452e-08,1.18230e-02,4.1851e-03,4.8385e-05,4.4407e-06,7.3317e-08,,,,,,           -3.2650,            4.4948,            0.7823,            8.3850,            7.2088,           -6.5203,           -1.4197,           -0.2617,           -0.6194,            1.8391,
Ref 20,2.79372e-08,,,,,,1.1862e-02,4.1664e-03,4.8343e-05,4.4025e-06,7.3287e-08,,,,,,,,,,,
Sam 20,2.84335e-08,1.18230e-02,4.1852e-03,4.8390e-05,4.4426e-06,7.4303e-08,,,,,,           -3.2641,            4.5116,            0.9163,            9.3085,           21.5195,           -6.5199,           -1.4031,           -0.1452,            0.2626,           16.0391,
Ref 21,2.75379e-08,,,,,,1.1862e-02,4.1664e-03,4.8348e-05,4.4008e-06,7.2181e-08,,,,,,,,,,,


