Nu Stable Isotope Analysis Program
Data Collected on Saturday, October 28, 2023 at 21:14 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, October 28, 2023 at 22:13 with Stable 1.71.5 on PS019

Data File = Data_20728 ETH-03.txt,        Sample Weight = 486,                      Vial Location = 19,                       Initial Sam Beam = 2.5017e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6425e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01918
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.93284e-08,,,,,,1.1863e-02,4.1639e-03,4.8309e-05,4.4065e-06,6.8600e-08,
Sam 1,9.83287e-08,1.19149e-02,4.2131e-03,4.9082e-05,4.5104e-06,6.9884e-08,,,,,,            4.3492,           11.7554,           15.9268,           23.5145,           19.4433,            1.3324,            5.7890,           -0.1727,           -0.1313,           -8.3131,
Ref 2,9.72479e-08,,,,,,1.1864e-02,4.1643e-03,4.8315e-05,4.4070e-06,6.8502e-08,,,,,,,,,,,
Sam 2,9.62017e-08,1.19151e-02,4.2132e-03,4.9081e-05,4.5109e-06,7.0234e-08,,,,,,            4.3380,           11.7412,           15.8071,           23.4140,           22.6177,            1.3210,            5.7749,           -0.2652,           -0.2014,           -5.1859,
Ref 3,9.50577e-08,,,,,,1.1864e-02,4.1644e-03,4.8320e-05,4.4085e-06,6.8864e-08,,,,,,,,,,,
Sam 3,9.41059e-08,1.19152e-02,4.2133e-03,4.9083e-05,4.5101e-06,7.0750e-08,,,,,,            4.3392,           11.7354,           15.8236,           23.2286,           24.5357,            1.3225,            5.7692,           -0.2447,           -0.3712,           -3.3103,
Ref 4,9.29376e-08,,,,,,1.1864e-02,4.1645e-03,4.8317e-05,4.4068e-06,6.9251e-08,,,,,,,,,,,
Sam 4,9.22290e-08,1.19150e-02,4.2133e-03,4.9082e-05,4.5095e-06,7.0580e-08,,,,,,            4.3308,           11.7196,           15.8062,           23.1883,           15.8846,            1.3141,            5.7535,           -0.2378,           -0.3794,          -11.6870,
Ref 5,9.10635e-08,,,,,,1.1864e-02,4.1645e-03,4.8320e-05,4.4078e-06,6.9707e-08,,,,,,,,,,,
Sam 5,9.02609e-08,1.19150e-02,4.2133e-03,4.9084e-05,4.5111e-06,7.0612e-08,,,,,,            4.3388,           11.7202,           15.8057,           23.3644,           13.0237,            1.3226,            5.7541,           -0.2471,           -0.2085,          -14.4798,
Ref 6,8.90748e-08,,,,,,1.1864e-02,4.1645e-03,4.8320e-05,4.4085e-06,6.9701e-08,,,,,,,,,,,
Sam 6,8.83322e-08,1.19150e-02,4.2133e-03,4.9088e-05,4.5119e-06,7.1249e-08,,,,,,            4.3393,           11.7216,           15.8978,           23.3919,           22.3008,            1.3231,            5.7554,           -0.1583,           -0.1842,           -5.4577,
Ref 7,8.71318e-08,,,,,,1.1864e-02,4.1645e-03,4.8320e-05,4.4091e-06,6.9687e-08,,,,,,,,,,,
Sam 7,8.64627e-08,1.19150e-02,4.2134e-03,4.9079e-05,4.5119e-06,7.0797e-08,,,,,,            4.3346,           11.7282,           15.7320,           23.4062,           11.6591,            1.3178,            5.7620,           -0.3230,           -0.1834,          -15.8181,
Ref 8,8.52496e-08,,,,,,1.1864e-02,4.1646e-03,4.8319e-05,4.4083e-06,7.0282e-08,,,,,,,,,,,
Sam 8,8.46449e-08,1.19150e-02,4.2134e-03,4.9088e-05,4.5113e-06,7.0634e-08,,,,,,            4.3360,           11.7131,           15.8576,           23.4790,           10.0205,            1.3198,            5.7470,           -0.1862,           -0.0825,          -17.3850,
Ref 9,8.33892e-08,,,,,,1.1863e-02,4.1647e-03,4.8324e-05,4.4073e-06,6.9577e-08,,,,,,,,,,,
Sam 9,8.28812e-08,1.19149e-02,4.2135e-03,4.9086e-05,4.5096e-06,7.1182e-08,,,,,,            4.3381,           11.7238,           15.7965,           23.1606,           20.0869,            1.3217,            5.7576,           -0.2588,           -0.4145,           -7.6144,
Ref 10,8.16566e-08,,,,,,1.1863e-02,4.1647e-03,4.8321e-05,4.4078e-06,6.9987e-08,,,,,,,,,,,
Sam 10,8.11823e-08,1.19149e-02,4.2136e-03,4.9087e-05,4.5103e-06,7.0995e-08,,,,,,            4.3350,           11.7321,           15.7949,           23.2074,            8.7769,            1.3182,            5.7659,           -0.2654,           -0.3852,          -18.6300,
Ref 11,7.99480e-08,,,,,,1.1863e-02,4.1647e-03,4.8325e-05,4.4082e-06,7.0776e-08,,,,,,,,,,,
Sam 11,7.96506e-08,1.19148e-02,4.2139e-03,4.9099e-05,4.5116e-06,7.1543e-08,,,,,,            4.3189,           11.7831,           15.9889,           23.2941,           14.6106,            1.2993,            5.8167,           -0.1076,           -0.4015,          -13.0359,
Ref 12,7.80618e-08,,,,,,1.1864e-02,4.1650e-03,4.8327e-05,4.4097e-06,7.0243e-08,,,,,,,,,,,
Sam 12,7.77319e-08,1.19150e-02,4.2138e-03,4.9091e-05,4.5115e-06,7.1218e-08,,,,,,            4.3306,           11.7212,           15.8506,           23.2625,           15.1562,            1.3139,            5.7550,           -0.1955,           -0.3099,          -12.3985,
Ref 13,7.64958e-08,,,,,,1.1864e-02,4.1649e-03,4.8323e-05,4.4081e-06,7.0064e-08,,,,,,,,,,,
Sam 13,7.61802e-08,1.19149e-02,4.2138e-03,4.9091e-05,4.5108e-06,7.1347e-08,,,,,,            4.3307,           11.7263,           15.8136,           23.3088,           18.6866,            1.3137,            5.7602,           -0.2369,           -0.2749,           -8.9739,
Ref 14,7.49229e-08,,,,,,1.1864e-02,4.1649e-03,4.8330e-05,4.4080e-06,7.0012e-08,,,,,,,,,,,
Sam 14,7.49922e-08,1.19146e-02,4.2135e-03,4.9087e-05,4.5114e-06,7.1750e-08,,,,,,            4.3221,           11.6797,           15.7170,           23.3591,           18.9937,            1.3062,            5.7138,           -0.2779,           -0.1336,           -8.5762,
Ref 15,7.35779e-08,,,,,,1.1863e-02,4.1648e-03,4.8325e-05,4.4089e-06,7.0820e-08,,,,,,,,,,,
Sam 15,7.33582e-08,1.19147e-02,4.2137e-03,4.9087e-05,4.5110e-06,7.0743e-08,,,,,,            4.2991,           11.6700,           15.7025,           23.2698,            6.0741,            1.2820,            5.7041,           -0.2590,           -0.2015,          -21.1039,
Ref 16,7.20639e-08,,,,,,1.1864e-02,4.1653e-03,4.8330e-05,4.4080e-06,6.9800e-08,,,,,,,,,,,
Sam 16,7.19309e-08,1.19146e-02,4.2137e-03,4.9089e-05,4.5107e-06,7.2198e-08,,,,,,            4.2923,           11.6342,           15.6437,           23.0812,           29.0331,            1.2760,            5.6686,           -0.2752,           -0.3153,            1.3117,
Ref 17,7.06226e-08,,,,,,1.1863e-02,4.1652e-03,4.8335e-05,4.4099e-06,7.0530e-08,,,,,,,,,,,
Sam 17,7.03333e-08,1.19165e-02,4.2145e-03,4.9095e-05,4.5080e-06,7.0833e-08,,,,,,            4.4866,           11.8735,           15.8216,           22.4286,           -1.9134,            1.4747,            5.9062,           -0.5321,           -1.4252,          -29.4525,
Ref 18,6.92834e-08,,,,,,1.1863e-02,4.1649e-03,4.8326e-05,4.4083e-06,7.1416e-08,,,,,,,,,,,
Sam 18,6.91960e-08,1.19146e-02,4.2138e-03,4.9097e-05,4.5096e-06,7.1861e-08,,,,,,            4.3313,           11.7347,           15.9503,           23.0931,            6.6357,            1.3141,            5.7685,           -0.1111,           -0.5021,          -20.7141,
Ref 19,6.79278e-08,,,,,,1.1863e-02,4.1650e-03,4.8326e-05,4.4072e-06,7.1357e-08,,,,,,,,,,,
Sam 19,6.78825e-08,1.19147e-02,4.2138e-03,4.9095e-05,4.5106e-06,7.1821e-08,,,,,,            4.3371,           11.7223,           15.8981,           23.1918,           14.5274,            1.3207,            5.7561,           -0.1564,           -0.3811,          -13.0190,
Ref 20,6.66118e-08,,,,,,1.1863e-02,4.1650e-03,4.8326e-05,4.4096e-06,7.0216e-08,,,,,,,,,,,
Sam 20,6.65792e-08,1.19146e-02,4.2138e-03,4.9093e-05,4.5089e-06,7.2421e-08,,,,,,            4.3280,           11.7149,           15.8459,           22.4493,           30.4587,            1.3113,            5.7488,           -0.1913,           -1.0921,            2.5036,
Ref 21,6.53078e-08,,,,,,1.1863e-02,4.1650e-03,4.8328e-05,4.4103e-06,7.0345e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.46782e-08,,,,,,1.1863e-02,4.1650e-03,4.8330e-05,4.4081e-06,7.0521e-08,
Sam 1,6.46948e-08,1.19145e-02,4.2140e-03,4.9094e-05,4.5122e-06,7.2631e-08,,,,,,            4.2145,           11.5482,           15.6615,           24.3109,           42.2790,            1.1962,            5.5831,           -0.0942,            1.0566,           14.4540,
Ref 2,6.30945e-08,,,,,,1.1866e-02,4.1668e-03,4.8344e-05,4.4021e-06,6.8828e-08,,,,,,,,,,,
Sam 2,6.29364e-08,1.19184e-02,4.2160e-03,4.9089e-05,4.5009e-06,6.9961e-08,,,,,,            4.3789,           11.7594,           15.4215,           22.9197,           22.6914,            1.3639,            5.7929,           -0.7044,           -0.7203,           -5.1926,
Ref 3,6.16823e-08,,,,,,1.1867e-02,4.1673e-03,4.8342e-05,4.3980e-06,6.7980e-08,,,,,,,,,,,
Sam 3,6.19983e-08,1.19174e-02,4.2157e-03,4.9096e-05,4.5076e-06,7.1438e-08,,,,,,            4.3389,           11.7723,           15.5939,           24.1658,           32.5244,            1.3209,            5.8059,           -0.5062,            0.4714,            4.3897,
Ref 4,6.08164e-08,,,,,,1.1865e-02,4.1660e-03,4.8343e-05,4.4045e-06,7.0413e-08,,,,,,,,,,,
Sam 4,6.09352e-08,1.19163e-02,4.2151e-03,4.9106e-05,4.5060e-06,7.1112e-08,,,,,,            4.3176,           11.7261,           15.8528,           23.1550,           20.0306,            1.2998,            5.7599,           -0.1846,           -0.4247,           -7.6521,
Ref 5,5.96016e-08,,,,,,1.1865e-02,4.1665e-03,4.8337e-05,4.4035e-06,6.9004e-08,,,,,,,,,,,
Sam 5,5.99211e-08,1.19160e-02,4.2150e-03,4.9101e-05,4.5075e-06,7.1948e-08,,,,,,            4.3413,           11.7297,           15.7853,           23.2357,           33.0003,            1.3249,            5.7635,           -0.2789,           -0.3528,            4.9333,
Ref 6,5.87012e-08,,,,,,1.1863e-02,4.1657e-03,4.8339e-05,4.4067e-06,7.0306e-08,,,,,,,,,,,
Sam 6,5.89061e-08,1.19149e-02,4.2144e-03,4.9103e-05,4.5109e-06,7.2007e-08,,,,,,            4.3515,           11.7218,           15.8622,           23.2987,           15.9327,            1.3360,            5.7556,           -0.2060,           -0.2757,          -11.6660,
Ref 7,5.77335e-08,,,,,,1.1863e-02,4.1655e-03,4.8334e-05,4.4097e-06,7.1459e-08,,,,,,,,,,,
Sam 7,5.77813e-08,1.19152e-02,4.2149e-03,4.9107e-05,4.5098e-06,7.2285e-08,,,,,,            4.4053,           11.8859,           16.0099,           23.1309,           13.9296,            1.3877,            5.9188,           -0.2755,           -0.7639,          -13.9856,
Ref 8,5.66297e-08,,,,,,1.1863e-02,4.1652e-03,4.8333e-05,4.4059e-06,7.1122e-08,,,,,,,,,,,
Sam 8,5.67802e-08,1.19152e-02,4.2147e-03,4.9097e-05,4.5075e-06,7.1689e-08,,,,,,            4.4183,           11.8502,           15.7864,           22.7216,            2.6717,            1.4027,            5.8832,           -0.4739,           -1.0931,          -24.8792,
Ref 9,5.55610e-08,,,,,,1.1863e-02,4.1654e-03,4.8335e-05,4.4087e-06,7.1882e-08,,,,,,,,,,,
Sam 9,5.58362e-08,1.19144e-02,4.2142e-03,4.9105e-05,4.5121e-06,7.2623e-08,,,,,,            4.3409,           11.7095,           15.9441,           23.6042,           17.6837,            1.3252,            5.7434,           -0.1026,            0.0470,           -9.9279,
Ref 10,5.45906e-08,,,,,,1.1863e-02,4.1655e-03,4.8334e-05,4.4074e-06,7.0830e-08,,,,,,,,,,,
Sam 10,5.48565e-08,1.19145e-02,4.2142e-03,4.9099e-05,4.5085e-06,7.2029e-08,,,,,,            4.3384,           11.7026,           15.8406,           22.8666,           17.0032,            1.3228,            5.7365,           -0.1952,           -0.6600,          -10.5740,
Ref 11,5.36730e-08,,,,,,1.1863e-02,4.1655e-03,4.8333e-05,4.4081e-06,7.0819e-08,,,,,,,,,,,
Sam 11,5.38701e-08,1.19144e-02,4.2143e-03,4.9103e-05,4.5100e-06,7.2375e-08,,,,,,            4.3389,           11.7193,           15.8975,           23.2339,           18.0461,            1.3227,            5.7531,           -0.1558,           -0.3340,           -9.5920,
Ref 12,5.26990e-08,,,,,,1.1863e-02,4.1655e-03,4.8335e-05,4.4072e-06,7.1371e-08,,,,,,,,,,,
Sam 12,5.29599e-08,1.19145e-02,4.2144e-03,4.9099e-05,4.5092e-06,7.2171e-08,,,,,,            4.3451,           11.7254,           15.7711,           23.0930,           18.9874,            1.3291,            5.7592,           -0.2926,           -0.4839,           -8.6946,
Ref 13,5.17706e-08,,,,,,1.1863e-02,4.1655e-03,4.8339e-05,4.4076e-06,7.0271e-08,,,,,,,,,,,
Sam 13,5.21203e-08,1.19144e-02,4.2144e-03,4.9100e-05,4.5099e-06,7.1700e-08,,,,,,            4.3401,           11.7232,           15.7734,           23.4328,           15.1096,            1.3239,            5.7570,           -0.2832,           -0.1475,          -12.4576,
Ref 14,5.09817e-08,,,,,,1.1863e-02,4.1655e-03,4.8336e-05,4.4056e-06,7.1001e-08,,,,,,,,,,,
Sam 14,5.12799e-08,1.19143e-02,4.2143e-03,4.9099e-05,4.5098e-06,7.1976e-08,,,,,,            4.3329,           11.7037,           15.7745,           23.3864,            9.8532,            1.3169,            5.7376,           -0.2557,           -0.1543,          -17.5265,
Ref 15,5.00370e-08,,,,,,1.1863e-02,4.1656e-03,4.8337e-05,4.4079e-06,7.1551e-08,,,,,,,,,,,
Sam 15,5.03711e-08,1.19143e-02,4.2144e-03,4.9100e-05,4.5105e-06,7.3647e-08,,,,,,            4.3344,           11.7152,           15.7712,           23.3381,           25.7286,            1.3181,            5.7491,           -0.2717,           -0.2243,           -2.1056,
Ref 16,4.91280e-08,,,,,,1.1863e-02,4.1657e-03,4.8339e-05,4.4073e-06,7.2053e-08,,,,,,,,,,,
Sam 16,4.95337e-08,1.19143e-02,4.2144e-03,4.9105e-05,4.5094e-06,7.2517e-08,,,,,,            4.3327,           11.6927,           15.8334,           23.3927,            9.5470,            1.3171,            5.7267,           -0.1868,           -0.1264,          -17.8031,
Ref 17,4.82962e-08,,,,,,1.1863e-02,4.1657e-03,4.8339e-05,4.4053e-06,7.1605e-08,,,,,,,,,,,
Sam 17,4.87159e-08,1.19143e-02,4.2144e-03,4.9100e-05,4.5081e-06,7.2391e-08,,,,,,            4.3436,           11.6944,           15.7808,           23.4129,            8.5449,            1.3286,            5.7284,           -0.2514,           -0.1101,          -18.7927,
Ref 18,4.74768e-08,,,,,,1.1863e-02,4.1657e-03,4.8335e-05,4.4045e-06,7.1952e-08,,,,,,,,,,,
Sam 18,4.79071e-08,1.19142e-02,4.2145e-03,4.9104e-05,4.5090e-06,7.2269e-08,,,,,,            4.3379,           11.7043,           15.8722,           23.4864,            3.8650,            1.3222,            5.7382,           -0.1652,           -0.0577,          -23.3586,
Ref 19,4.66808e-08,,,,,,1.1863e-02,4.1658e-03,4.8337e-05,4.4065e-06,7.2030e-08,,,,,,,,,,,
Sam 19,4.71158e-08,1.19142e-02,4.2146e-03,4.9106e-05,4.5100e-06,7.2921e-08,,,,,,            4.3299,           11.7166,           15.8768,           23.5679,            8.7881,            1.3132,            5.7505,           -0.1644,           -0.0025,          -18.5842,
Ref 20,4.59002e-08,,,,,,1.1863e-02,4.1658e-03,4.8340e-05,4.4058e-06,7.2546e-08,,,,,,,,,,,
Sam 20,4.63649e-08,1.19141e-02,4.2145e-03,4.9103e-05,4.5091e-06,7.1572e-08,,,,,,            4.3270,           11.6743,           15.8084,           23.4808,          -10.7670,            1.3116,            5.7084,           -0.1877,           -0.0040,          -37.5267,
Ref 21,4.51366e-08,,,,,,1.1863e-02,4.1660e-03,4.8337e-05,4.4054e-06,7.2153e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.47605e-08,,,,,,1.1863e-02,4.1659e-03,4.8345e-05,4.4088e-06,7.0163e-08,
Sam 1,4.52426e-08,1.19141e-02,4.2145e-03,4.9108e-05,4.5089e-06,7.2561e-08,,,,,,            4.3300,           11.6837,           15.9001,           22.8083,           21.6115,            1.3144,            5.7177,           -0.1095,           -0.6796,           -6.0452,
Ref 2,4.40196e-08,,,,,,1.1863e-02,4.1659e-03,4.8335e-05,4.4080e-06,7.1904e-08,,,,,,,,,,,
Sam 2,4.45186e-08,1.19140e-02,4.2146e-03,4.9101e-05,4.5090e-06,7.2444e-08,,,,,,            4.3285,           11.6823,           15.7554,           23.1056,           19.5398,            1.3129,            5.7163,           -0.2491,           -0.3863,           -8.0566,
Ref 3,4.32996e-08,,,,,,1.1863e-02,4.1659e-03,4.8343e-05,4.4063e-06,7.0192e-08,,,,,,,,,,,
Sam 3,4.38134e-08,1.19141e-02,4.2146e-03,4.9103e-05,4.5091e-06,7.3091e-08,,,,,,            4.3408,           11.6863,           15.7766,           23.3128,           33.7181,            1.3258,            5.7203,           -0.2447,           -0.1918,            5.7170,
Ref 4,4.25957e-08,,,,,,1.1862e-02,4.1660e-03,4.8338e-05,4.4064e-06,7.1231e-08,,,,,,,,,,,
Sam 4,4.31225e-08,1.19139e-02,4.2147e-03,4.9107e-05,4.5081e-06,7.2678e-08,,,,,,            4.3324,           11.6983,           15.9003,           23.0987,           17.0456,            1.3165,            5.7323,           -0.1260,           -0.4248,          -10.5182,
Ref 5,4.19015e-08,,,,,,1.1863e-02,4.1659e-03,4.8338e-05,4.4062e-06,7.1694e-08,,,,,,,,,,,
Sam 5,4.24488e-08,1.19140e-02,4.2147e-03,4.9107e-05,4.5104e-06,7.1549e-08,,,,,,            4.3306,           11.6979,           15.8938,           23.6368,           -1.3763,            1.3147,            5.7319,           -0.1303,            0.1017,          -28.4383,
Ref 6,4.12320e-08,,,,,,1.1863e-02,4.1660e-03,4.8340e-05,4.4062e-06,7.1600e-08,,,,,,,,,,,
Sam 6,4.17868e-08,1.19140e-02,4.2147e-03,4.9111e-05,4.5070e-06,7.0919e-08,,,,,,            4.3362,           11.6858,           15.9501,           23.0964,          -17.6455,            1.3210,            5.7199,           -0.0689,           -0.4023,          -44.2498,
Ref 7,4.05722e-08,,,,,,1.1863e-02,4.1660e-03,4.8340e-05,4.4043e-06,7.2795e-08,,,,,,,,,,,
Sam 7,4.11455e-08,1.19139e-02,4.2147e-03,4.9103e-05,4.5089e-06,7.2590e-08,,,,,,            4.3301,           11.6842,           15.7441,           23.2728,           10.8751,            1.3146,            5.7182,           -0.2638,           -0.2268,          -16.4922,
Ref 8,3.99268e-08,,,,,,1.1862e-02,4.1661e-03,4.8343e-05,4.4084e-06,7.0806e-08,,,,,,,,,,,
Sam 8,4.05090e-08,1.19139e-02,4.2147e-03,4.9106e-05,4.5088e-06,7.3408e-08,,,,,,            4.3332,           11.6735,           15.8784,           23.1475,           25.6982,            1.3183,            5.7076,           -0.1244,           -0.3280,           -2.0528,
Ref 9,3.92956e-08,,,,,,1.1862e-02,4.1661e-03,4.8334e-05,4.4051e-06,7.2344e-08,,,,,,,,,,,
Sam 9,3.98772e-08,1.19138e-02,4.2148e-03,4.9108e-05,4.5074e-06,7.2970e-08,,,,,,            4.3254,           11.6896,           15.9471,           23.1741,           28.0388,            1.3093,            5.7236,           -0.0643,           -0.3339,            0.2014,
Ref 10,3.86643e-08,,,,,,1.1862e-02,4.1661e-03,4.8341e-05,4.4056e-06,6.9594e-08,,,,,,,,,,,
Sam 10,3.92987e-08,1.19138e-02,4.2147e-03,4.9111e-05,4.5084e-06,7.2388e-08,,,,,,            4.3289,           11.6735,           15.8877,           23.5292,           25.5571,            1.3136,            5.7076,           -0.1108,            0.0448,           -2.1856,
Ref 11,3.80608e-08,,,,,,1.1863e-02,4.1661e-03,4.8345e-05,4.4039e-06,7.1590e-08,,,,,,,,,,,
Sam 11,3.86991e-08,1.19138e-02,4.2147e-03,4.9109e-05,4.5045e-06,7.1555e-08,,,,,,            4.3324,           11.6677,           15.8913,           22.8437,            3.8190,            1.3176,            5.7018,           -0.1051,           -0.6134,          -23.3281,
Ref 12,3.74682e-08,,,,,,1.1862e-02,4.1661e-03,4.8337e-05,4.4040e-06,7.0971e-08,,,,,,,,,,,
Sam 12,3.81336e-08,1.19136e-02,4.2148e-03,4.9112e-05,4.5066e-06,7.2508e-08,,,,,,            4.3263,           11.6816,           16.0174,           23.0280,            5.0331,            1.3106,            5.7156,            0.0117,           -0.4607,          -22.1669,
Ref 13,3.69299e-08,,,,,,1.1862e-02,4.1661e-03,4.8339e-05,4.4063e-06,7.3337e-08,,,,,,,,,,,
Sam 13,3.75560e-08,1.19137e-02,4.2148e-03,4.9104e-05,4.5064e-06,7.2743e-08,,,,,,            4.3340,           11.6816,           15.7621,           22.9976,            4.3531,            1.3188,            5.7157,           -0.2476,           -0.4906,          -22.8368,
Ref 14,3.63464e-08,,,,,,1.1862e-02,4.1661e-03,4.8345e-05,4.4038e-06,7.1503e-08,,,,,,,,,,,
Sam 14,3.70145e-08,1.19136e-02,4.2148e-03,4.9102e-05,4.5062e-06,7.4478e-08,,,,,,            4.3335,           11.6787,           15.6713,           22.9665,           41.6156,            1.3184,            5.7127,           -0.3335,           -0.5151,           13.4233,
Ref 15,3.57993e-08,,,,,,1.1862e-02,4.1661e-03,4.8343e-05,4.4062e-06,7.1502e-08,,,,,,,,,,,
Sam 15,3.64218e-08,1.19137e-02,4.2149e-03,4.9107e-05,4.5087e-06,7.3319e-08,,,,,,            4.3465,           11.7029,           15.7847,           23.3821,           27.6079,            1.3313,            5.7369,           -0.2588,           -0.1570,           -0.2661,
Ref 16,3.52635e-08,,,,,,1.1862e-02,4.1661e-03,4.8346e-05,4.4051e-06,7.1194e-08,,,,,,,,,,,
Sam 16,3.59330e-08,1.19136e-02,4.2149e-03,4.9108e-05,4.5075e-06,7.3416e-08,,,,,,            4.3141,           11.6473,           15.7699,           23.5530,           31.8505,            1.2989,            5.6816,           -0.1861,            0.1199,            4.0044,
Ref 17,3.46993e-08,,,,,,1.1863e-02,4.1666e-03,4.8345e-05,4.4025e-06,7.1104e-08,,,,,,,,,,,
Sam 17,3.54108e-08,1.19137e-02,4.2150e-03,4.9103e-05,4.5072e-06,7.1317e-08,,,,,,            4.3061,           11.6085,           15.6452,           23.7883,            0.1498,            1.2916,            5.6430,           -0.2629,            0.4265,          -26.7591,
Ref 18,3.41869e-08,,,,,,1.1863e-02,4.1666e-03,4.8349e-05,4.4024e-06,7.1511e-08,,,,,,,,,,,
Sam 18,3.48632e-08,1.19134e-02,4.2149e-03,4.9108e-05,4.5063e-06,7.1796e-08,,,,,,            4.2568,           11.5477,           15.7031,           23.5125,            4.5990,            1.2413,            5.5826,           -0.0962,            0.2773,          -22.2630,
Ref 19,3.36434e-08,,,,,,1.1863e-02,4.1669e-03,4.8350e-05,4.4032e-06,7.1423e-08,,,,,,,,,,,
Sam 19,3.43827e-08,1.19134e-02,4.2149e-03,4.9107e-05,4.5051e-06,7.4178e-08,,,,,,            4.2786,           11.5770,           15.7720,           23.2881,           37.8035,            1.2634,            5.6116,           -0.0791,            0.0001,            9.9729,
Ref 20,3.31884e-08,,,,,,1.1862e-02,4.1664e-03,4.8340e-05,4.4019e-06,7.1529e-08,,,,,,,,,,,
Sam 20,3.38770e-08,1.19134e-02,4.2149e-03,4.9108e-05,4.5065e-06,7.3026e-08,,,,,,            4.3288,           11.6534,           15.8219,           23.5843,           18.6692,            1.3142,            5.6876,           -0.1558,            0.1385,           -8.8482,
Ref 21,3.26926e-08,,,,,,1.1862e-02,4.1664e-03,4.8348e-05,4.4034e-06,7.1848e-08,,,,,,,,,,,


