Nu Stable Isotope Analysis Program
Data Collected on Sunday, October 29, 2023 at 10:07 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, October 29, 2023 at 11:06 with Stable 1.71.5 on PS019

Data File = Data_20737 IAEA-C2.txt,       Sample Weight = 451,                      Vial Location = 28,                       Initial Sam Beam = 2.5024e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6958e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01698
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.08344e-08,,,,,,1.1863e-02,4.1644e-03,4.8323e-05,4.4045e-06,6.8632e-08,
Sam 1,9.00333e-08,1.18045e-02,4.1824e-03,4.8274e-05,4.4440e-06,6.8907e-08,,,,,,           -4.9634,            4.2865,           -1.0999,            8.5690,            3.1851,           -8.3206,           -1.6233,           -0.1825,           -0.0223,            0.0561,
Ref 2,8.90793e-08,,,,,,1.1864e-02,4.1648e-03,4.8331e-05,4.4079e-06,6.8746e-08,,,,,,,,,,,
Sam 2,8.81911e-08,1.18046e-02,4.1826e-03,4.8277e-05,4.4455e-06,7.0168e-08,,,,,,           -4.9775,            4.2795,           -1.1298,            8.3462,           14.4786,           -8.3354,           -1.6303,           -0.1909,           -0.2292,           11.3435,
Ref 3,8.71654e-08,,,,,,1.1864e-02,4.1648e-03,4.8332e-05,4.4094e-06,6.9597e-08,,,,,,,,,,,
Sam 3,8.63515e-08,1.18047e-02,4.1827e-03,4.8279e-05,4.4457e-06,6.9733e-08,,,,,,           -4.9759,            4.2731,           -1.1257,            8.2827,            2.7998,           -8.3335,           -1.6367,           -0.1822,           -0.2793,           -0.2882,
Ref 4,8.53088e-08,,,,,,1.1864e-02,4.1650e-03,4.8334e-05,4.4089e-06,6.9479e-08,,,,,,,,,,,
Sam 4,8.45429e-08,1.18047e-02,4.1828e-03,4.8276e-05,4.4445e-06,6.9772e-08,,,,,,           -4.9753,            4.2770,           -1.1382,            8.2483,            3.1339,           -8.3329,           -1.6328,           -0.1992,           -0.3213,            0.0364,
Ref 5,8.34790e-08,,,,,,1.1864e-02,4.1649e-03,4.8329e-05,4.4074e-06,6.9631e-08,,,,,,,,,,,
Sam 5,8.27881e-08,1.18047e-02,4.1828e-03,4.8279e-05,4.4443e-06,6.9763e-08,,,,,,           -4.9716,            4.2776,           -1.0380,            8.2369,           -1.7640,           -8.3290,           -1.6322,           -0.1033,           -0.3338,           -4.8515,
Ref 6,8.17156e-08,,,,,,1.1864e-02,4.1651e-03,4.8329e-05,4.4086e-06,7.0146e-08,,,,,,,,,,,
Sam 6,8.10800e-08,1.18046e-02,4.1828e-03,4.8279e-05,4.4449e-06,6.9342e-08,,,,,,           -4.9793,            4.2529,           -1.0692,            8.1803,           -5.2713,           -8.3364,           -1.6568,           -0.1023,           -0.3407,           -8.2917,
Ref 7,7.99846e-08,,,,,,1.1864e-02,4.1651e-03,4.8332e-05,4.4090e-06,6.9264e-08,,,,,,,,,,,
Sam 7,7.94206e-08,1.18047e-02,4.1829e-03,4.8279e-05,4.4466e-06,6.9456e-08,,,,,,           -4.9766,            4.2701,           -1.1182,            8.4748,           -1.8703,           -8.3341,           -1.6396,           -0.1711,           -0.0830,           -4.9376,
Ref 8,7.83206e-08,,,,,,1.1864e-02,4.1652e-03,4.8334e-05,4.4095e-06,6.9916e-08,,,,,,,,,,,
Sam 8,7.78131e-08,1.18046e-02,4.1830e-03,4.8276e-05,4.4451e-06,7.0450e-08,,,,,,           -4.9806,            4.2638,           -1.1737,            8.1507,            9.2544,           -8.3382,           -1.6458,           -0.2164,           -0.3919,            6.1696,
Ref 9,7.66991e-08,,,,,,1.1864e-02,4.1652e-03,4.8332e-05,4.4089e-06,6.9689e-08,,,,,,,,,,,
Sam 9,7.62560e-08,1.18046e-02,4.1830e-03,4.8285e-05,4.4448e-06,7.0699e-08,,,,,,           -4.9758,            4.2613,           -1.0163,            8.4238,           11.1735,           -8.3330,           -1.6484,           -0.0612,           -0.1159,            8.0828,
Ref 10,7.51307e-08,,,,,,1.1864e-02,4.1653e-03,4.8336e-05,4.4064e-06,7.0152e-08,,,,,,,,,,,
Sam 10,7.51594e-08,1.18041e-02,4.1827e-03,4.8274e-05,4.4460e-06,7.0872e-08,,,,,,           -5.0103,            4.2061,           -1.2412,            8.7553,           14.2196,           -8.3678,           -1.7033,           -0.1965,            0.3227,           11.2663,
Ref 11,7.37507e-08,,,,,,1.1863e-02,4.1652e-03,4.8333e-05,4.4085e-06,6.9600e-08,,,,,,,,,,,
Sam 11,7.34374e-08,1.18043e-02,4.1829e-03,4.8282e-05,4.4445e-06,7.0540e-08,,,,,,           -4.9785,            4.2642,           -1.0826,            8.4609,           10.7449,           -8.3359,           -1.6455,           -0.1277,           -0.0850,            7.6526,
Ref 12,7.22989e-08,,,,,,1.1863e-02,4.1652e-03,4.8335e-05,4.4059e-06,6.9983e-08,,,,,,,,,,,
Sam 12,7.20033e-08,1.18044e-02,4.1830e-03,4.8279e-05,4.4455e-06,7.0502e-08,,,,,,           -4.9701,            4.2661,           -1.1480,            8.5963,            4.5476,           -8.3271,           -1.6436,           -0.2037,            0.0455,            1.4616,
Ref 13,7.08542e-08,,,,,,1.1863e-02,4.1652e-03,4.8335e-05,4.4093e-06,7.0386e-08,,,,,,,,,,,
Sam 13,7.06081e-08,1.18043e-02,4.1830e-03,4.8280e-05,4.4439e-06,7.0915e-08,,,,,,           -4.9585,            4.2802,           -1.0852,            7.9962,           15.8513,           -8.3152,           -1.6296,           -0.1667,           -0.5777,           12.6900,
Ref 14,6.97444e-08,,,,,,1.1863e-02,4.1650e-03,4.8330e-05,4.4079e-06,6.9221e-08,,,,,,,,,,,
Sam 14,6.92885e-08,1.18043e-02,4.1830e-03,4.8282e-05,4.4455e-06,7.0861e-08,,,,,,           -4.9503,            4.3107,           -1.0008,            8.5068,           14.7060,           -8.3076,           -1.5993,           -0.1205,           -0.1320,           11.4792,
Ref 15,6.83560e-08,,,,,,1.1863e-02,4.1651e-03,4.8330e-05,4.4082e-06,7.0460e-08,,,,,,,,,,,
Sam 15,6.79595e-08,1.18042e-02,4.1830e-03,4.8284e-05,4.4437e-06,7.0732e-08,,,,,,           -4.9571,            4.2981,           -0.9627,            8.0554,            4.9286,           -8.3143,           -1.6118,           -0.0631,           -0.5546,            1.7646,
Ref 16,6.70540e-08,,,,,,1.1863e-02,4.1652e-03,4.8331e-05,4.4082e-06,7.0308e-08,,,,,,,,,,,
Sam 16,6.58376e-08,1.18042e-02,4.1831e-03,4.8286e-05,4.4447e-06,7.1564e-08,,,,,,           -4.9500,            4.3031,           -0.9639,            8.2665,           19.7693,           -8.3070,           -1.6069,           -0.0765,           -0.3551,           16.5412,
Ref 17,6.57771e-08,,,,,,1.1863e-02,4.1652e-03,4.8334e-05,4.4082e-06,7.0042e-08,,,,,,,,,,,
Sam 17,6.54071e-08,1.18040e-02,4.1831e-03,4.8280e-05,4.4437e-06,7.0851e-08,,,,,,           -4.9876,            4.2443,           -1.1405,            8.1442,            7.9989,           -8.3450,           -1.6653,           -0.1567,           -0.3594,            4.9641,
Ref 18,6.41221e-08,,,,,,1.1863e-02,4.1655e-03,4.8337e-05,4.4074e-06,7.0542e-08,,,,,,,,,,,
Sam 18,6.39179e-08,1.18043e-02,4.1833e-03,4.8282e-05,4.4454e-06,7.0250e-08,,,,,,           -4.9774,            4.2669,           -1.1667,            8.5250,           -9.7307,           -8.3348,           -1.6429,           -0.2156,           -0.0267,          -12.7666,
Ref 19,6.28856e-08,,,,,,1.1863e-02,4.1656e-03,4.8340e-05,4.4082e-06,7.1346e-08,,,,,,,,,,,
Sam 19,6.27651e-08,1.18043e-02,4.1834e-03,4.8290e-05,4.4447e-06,7.0942e-08,,,,,,           -4.9742,            4.2598,           -1.0079,            8.3141,           -0.3559,           -8.3312,           -1.6499,           -0.0530,           -0.2218,           -3.4102,
Ref 20,6.16877e-08,,,,,,1.1863e-02,4.1656e-03,4.8338e-05,4.4079e-06,7.0580e-08,,,,,,,,,,,
Sam 20,6.16372e-08,1.18042e-02,4.1834e-03,4.8289e-05,4.4456e-06,7.1015e-08,,,,,,           -4.9784,            4.2564,           -1.0166,            8.5998,            6.7762,           -8.3356,           -1.6532,           -0.0540,            0.0682,            3.7113,
Ref 21,6.06070e-08,,,,,,1.1863e-02,4.1656e-03,4.8338e-05,4.4075e-06,7.0494e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.01230e-08,,,,,,1.1863e-02,4.1655e-03,4.8339e-05,4.4078e-06,6.9946e-08,
Sam 1,6.00825e-08,1.18041e-02,4.1833e-03,4.8281e-05,4.4442e-06,7.0933e-08,,,,,,           -4.9776,            4.2497,           -1.2018,            8.2064,            8.9422,           -8.3345,           -1.6599,           -0.2337,           -0.3086,            5.8830,
Ref 2,5.88631e-08,,,,,,1.1863e-02,4.1657e-03,4.8339e-05,4.4083e-06,7.0671e-08,,,,,,,,,,,
Sam 2,5.89313e-08,1.18042e-02,4.1834e-03,4.8294e-05,4.4453e-06,7.0456e-08,,,,,,           -4.9757,            4.2570,           -0.9954,            8.2891,           -1.7098,           -8.3327,           -1.6527,           -0.0362,           -0.2409,           -4.7528,
Ref 3,5.77592e-08,,,,,,1.1863e-02,4.1656e-03,4.8347e-05,4.4093e-06,7.0480e-08,,,,,,,,,,,
Sam 3,5.78438e-08,1.18042e-02,4.1835e-03,4.8291e-05,4.4457e-06,7.0516e-08,,,,,,           -4.9733,            4.2674,           -1.1619,            8.4925,            4.9125,           -8.3305,           -1.6424,           -0.2156,           -0.0600,            1.8262,
Ref 4,5.66620e-08,,,,,,1.1863e-02,4.1658e-03,4.8349e-05,4.4073e-06,6.9857e-08,,,,,,,,,,,
Sam 4,5.68050e-08,1.18042e-02,4.1835e-03,4.8290e-05,4.4455e-06,7.1368e-08,,,,,,           -4.9663,            4.2641,           -1.1995,            8.5515,           12.4172,           -8.3229,           -1.6456,           -0.2573,            0.0050,            9.3068,
Ref 5,5.56675e-08,,,,,,1.1863e-02,4.1658e-03,4.8347e-05,4.4083e-06,7.1140e-08,,,,,,,,,,,
Sam 5,5.57910e-08,1.18042e-02,4.1835e-03,4.8291e-05,4.4436e-06,7.0935e-08,,,,,,           -4.9661,            4.2593,           -1.1190,            7.9923,           -0.2864,           -8.3226,           -1.6504,           -0.1721,           -0.5398,           -3.3485,
Ref 6,5.46451e-08,,,,,,1.1863e-02,4.1658e-03,4.8343e-05,4.4085e-06,7.0766e-08,,,,,,,,,,,
Sam 6,5.47992e-08,1.18041e-02,4.1836e-03,4.8293e-05,4.4447e-06,7.0590e-08,,,,,,           -4.9763,            4.2666,           -1.1148,            8.1268,           -0.8176,           -8.3337,           -1.6431,           -0.1646,           -0.4211,           -3.8815,
Ref 7,5.36158e-08,,,,,,1.1863e-02,4.1659e-03,4.8352e-05,4.4094e-06,7.0527e-08,,,,,,,,,,,
Sam 7,5.38304e-08,1.18041e-02,4.1837e-03,4.8295e-05,4.4451e-06,7.0931e-08,,,,,,           -4.9700,            4.2759,           -1.1884,            8.3004,           11.5033,           -8.3273,           -1.6339,           -0.2539,           -0.2674,            8.3765,
Ref 8,5.27870e-08,,,,,,1.1863e-02,4.1659e-03,4.8353e-05,4.4077e-06,6.9714e-08,,,,,,,,,,,
Sam 8,5.28853e-08,1.18041e-02,4.1837e-03,4.8295e-05,4.4443e-06,7.0443e-08,,,,,,           -4.9629,            4.2795,           -1.1368,            8.4367,           -4.6621,           -8.3198,           -1.6303,           -0.2131,           -0.1395,           -7.7535,
Ref 9,5.18513e-08,,,,,,1.1863e-02,4.1659e-03,4.8346e-05,4.4065e-06,7.1851e-08,,,,,,,,,,,
Sam 9,5.20035e-08,1.18041e-02,4.1837e-03,4.8293e-05,4.4443e-06,7.0390e-08,,,,,,           -4.9680,            4.2613,           -1.0932,            8.4608,          -16.0113,           -8.3247,           -1.6484,           -0.1463,           -0.0794,          -19.0271,
Ref 10,5.09153e-08,,,,,,1.1863e-02,4.1660e-03,4.8345e-05,4.4075e-06,7.1213e-08,,,,,,,,,,,
Sam 10,5.11755e-08,1.18040e-02,4.1838e-03,4.8290e-05,4.4445e-06,7.1354e-08,,,,,,           -4.9678,            4.2592,           -1.1672,            8.5525,            1.2021,           -8.3244,           -1.6505,           -0.2185,            0.0159,           -1.8625,
Ref 11,5.00508e-08,,,,,,1.1863e-02,4.1661e-03,4.8349e-05,4.4061e-06,7.1324e-08,,,,,,,,,,,
Sam 11,5.03404e-08,1.18040e-02,4.1838e-03,4.8293e-05,4.4430e-06,7.1124e-08,,,,,,           -4.9732,            4.2460,           -1.2094,            8.2183,           -2.5098,           -8.3297,           -1.6636,           -0.2423,           -0.2893,           -5.5317,
Ref 12,4.91685e-08,,,,,,1.1863e-02,4.1661e-03,4.8354e-05,4.4074e-06,7.1281e-08,,,,,,,,,,,
Sam 12,4.94854e-08,1.18039e-02,4.1838e-03,4.8295e-05,4.4441e-06,7.0094e-08,,,,,,           -4.9728,            4.2565,           -1.2030,            8.3157,          -10.8882,           -8.3297,           -1.6532,           -0.2465,           -0.2137,          -13.9054,
Ref 13,4.83209e-08,,,,,,1.1863e-02,4.1661e-03,4.8351e-05,4.4074e-06,7.0444e-08,,,,,,,,,,,
Sam 13,4.86687e-08,1.18040e-02,4.1838e-03,4.8292e-05,4.4440e-06,7.1935e-08,,,,,,           -4.9673,            4.2533,           -1.2566,            8.1859,           18.6152,           -8.3236,           -1.6564,           -0.3029,           -0.3360,           15.5083,
Ref 14,4.75063e-08,,,,,,1.1863e-02,4.1661e-03,4.8354e-05,4.4084e-06,7.0801e-08,,,,,,,,,,,
Sam 14,4.78712e-08,1.18039e-02,4.1839e-03,4.8289e-05,4.4431e-06,7.1550e-08,,,,,,           -4.9803,            4.2581,           -1.2840,            8.1693,            7.6164,           -8.3376,           -1.6516,           -0.3215,           -0.3621,            4.5477,
Ref 15,4.67141e-08,,,,,,1.1863e-02,4.1662e-03,4.8349e-05,4.4057e-06,7.1221e-08,,,,,,,,,,,
Sam 15,4.71033e-08,1.18038e-02,4.1839e-03,4.8294e-05,4.4433e-06,7.1354e-08,,,,,,           -4.9776,            4.2480,           -1.1770,            8.6402,           -2.3655,           -8.3344,           -1.6616,           -0.2073,            0.1250,           -5.3871,
Ref 16,4.59372e-08,,,,,,1.1863e-02,4.1662e-03,4.8352e-05,4.4047e-06,7.1830e-08,,,,,,,,,,,
Sam 16,4.63360e-08,1.18038e-02,4.1839e-03,4.8299e-05,4.4442e-06,7.0463e-08,,,,,,           -4.9705,            4.2600,           -1.0445,            8.6455,          -20.2893,           -8.3273,           -1.6497,           -0.0937,            0.1065,          -23.2869,
Ref 17,4.51777e-08,,,,,,1.1863e-02,4.1662e-03,4.8348e-05,4.4076e-06,7.2016e-08,,,,,,,,,,,
Sam 17,4.55831e-08,1.18037e-02,4.1839e-03,4.8300e-05,4.4436e-06,7.1501e-08,,,,,,           -4.9755,            4.2633,           -0.9942,            8.2131,            1.2307,           -8.3328,           -1.6464,           -0.0414,           -0.3290,           -1.8339,
Ref 18,4.44281e-08,,,,,,1.1863e-02,4.1661e-03,4.8349e-05,4.4073e-06,7.0800e-08,,,,,,,,,,,
Sam 18,4.48504e-08,1.18036e-02,4.1839e-03,4.8296e-05,4.4434e-06,7.1381e-08,,,,,,           -4.9832,            4.2594,           -1.0949,            8.2818,           10.6648,           -8.3408,           -1.6503,           -0.1304,           -0.2530,            7.5873,
Ref 19,4.36976e-08,,,,,,1.1863e-02,4.1662e-03,4.8349e-05,4.4065e-06,7.0453e-08,,,,,,,,,,,
Sam 19,4.41327e-08,1.18036e-02,4.1839e-03,4.8295e-05,4.4397e-06,7.1412e-08,,,,,,           -4.9807,            4.2390,           -1.0576,            7.5495,            4.0171,           -8.3374,           -1.6706,           -0.0757,           -0.9385,            0.9972,
Ref 20,4.29816e-08,,,,,,1.1863e-02,4.1662e-03,4.8343e-05,4.4062e-06,7.1810e-08,,,,,,,,,,,
Sam 20,4.34310e-08,1.18036e-02,4.1839e-03,4.8300e-05,4.4405e-06,7.0503e-08,,,,,,           -4.9772,            4.2514,           -0.9692,            7.8487,          -15.8817,           -8.3342,           -1.6582,           -0.0030,           -0.6666,          -18.8693,
Ref 21,4.22813e-08,,,,,,1.1863e-02,4.1662e-03,4.8350e-05,4.4056e-06,7.1469e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.19411e-08,,,,,,1.1863e-02,4.1662e-03,4.8352e-05,4.4052e-06,7.0019e-08,
Sam 1,4.24112e-08,1.18036e-02,4.1840e-03,4.8289e-05,4.4422e-06,6.9681e-08,,,,,,           -4.9696,            4.2588,           -1.3268,            8.4949,          -13.9645,           -8.3263,           -1.6509,           -0.3761,           -0.0405,          -16.9801,
Ref 2,4.12616e-08,,,,,,1.1863e-02,4.1663e-03,4.8354e-05,4.4044e-06,7.1328e-08,,,,,,,,,,,
Sam 2,4.17438e-08,1.18036e-02,4.1840e-03,4.8299e-05,4.4416e-06,7.1326e-08,,,,,,           -4.9729,            4.2619,           -1.1553,            8.3709,           -9.8317,           -8.3299,           -1.6478,           -0.2039,           -0.1697,          -12.8624,
Ref 3,4.06010e-08,,,,,,1.1863e-02,4.1663e-03,4.8356e-05,4.4050e-06,7.2753e-08,,,,,,,,,,,
Sam 3,4.10912e-08,1.18035e-02,4.1840e-03,4.8296e-05,4.4413e-06,7.0301e-08,,,,,,           -4.9761,            4.2576,           -1.1938,            8.3118,          -23.8862,           -8.3331,           -1.6521,           -0.2350,           -0.2197,          -26.8624,
Ref 4,3.99512e-08,,,,,,1.1863e-02,4.1663e-03,4.8353e-05,4.4044e-06,7.1277e-08,,,,,,,,,,,
Sam 4,4.04828e-08,1.18034e-02,4.1840e-03,4.8295e-05,4.4414e-06,7.1777e-08,,,,,,           -4.9884,            4.2452,           -1.1896,            8.4038,            0.9316,           -8.3458,           -1.6644,           -0.2058,           -0.1037,           -2.0829,
Ref 5,3.93069e-08,,,,,,1.1863e-02,4.1663e-03,4.8353e-05,4.4043e-06,7.2150e-08,,,,,,,,,,,
Sam 5,3.98303e-08,1.18036e-02,4.1841e-03,4.8304e-05,4.4394e-06,7.2243e-08,,,,,,           -4.9702,            4.2565,           -0.9572,            8.0045,           -0.1990,           -8.3269,           -1.6532,           -0.0032,           -0.5222,           -3.2515,
Ref 6,3.86923e-08,,,,,,1.1862e-02,4.1664e-03,4.8348e-05,4.4039e-06,7.2367e-08,,,,,,,,,,,
Sam 6,3.92527e-08,1.18034e-02,4.1840e-03,4.8299e-05,4.4416e-06,7.0496e-08,,,,,,           -4.9749,            4.2381,           -1.0518,            8.5360,          -24.1514,           -8.3312,           -1.6715,           -0.0749,            0.0414,          -27.0909,
Ref 7,3.80904e-08,,,,,,1.1862e-02,4.1663e-03,4.8352e-05,4.4041e-06,7.2112e-08,,,,,,,,,,,
Sam 7,3.86687e-08,1.18033e-02,4.1840e-03,4.8297e-05,4.4418e-06,7.1903e-08,,,,,,           -4.9783,            4.2286,           -1.0727,            8.6695,            1.0620,           -8.3345,           -1.6809,           -0.0831,            0.1927,           -1.9313,
Ref 8,3.75218e-08,,,,,,1.1862e-02,4.1664e-03,4.8347e-05,4.4031e-06,7.1537e-08,,,,,,,,,,,
Sam 8,3.80823e-08,1.18033e-02,4.1840e-03,4.8299e-05,4.4404e-06,7.0319e-08,,,,,,           -4.9744,            4.2365,           -1.0048,            8.4496,          -10.0792,           -8.3306,           -1.6730,           -0.0270,           -0.0412,          -13.0586,
Ref 9,3.69413e-08,,,,,,1.1862e-02,4.1664e-03,4.8349e-05,4.4033e-06,7.0526e-08,,,,,,,,,,,
Sam 9,3.74706e-08,1.18034e-02,4.1841e-03,4.8302e-05,4.4422e-06,7.1396e-08,,,,,,           -4.9568,            4.2342,           -0.9660,            8.7430,            3.7414,           -8.3118,           -1.6754,           -0.0041,            0.2544,            0.7062,
Ref 10,3.63496e-08,,,,,,1.1862e-02,4.1664e-03,4.8349e-05,4.4042e-06,7.1743e-08,,,,,,,,,,,
Sam 10,3.69281e-08,1.18033e-02,4.1841e-03,4.8296e-05,4.4388e-06,7.2507e-08,,,,,,           -4.9696,            4.2401,           -1.1013,            8.0947,            6.9890,           -8.3256,           -1.6696,           -0.1320,           -0.4000,            3.9462,
Ref 11,3.58150e-08,,,,,,1.1862e-02,4.1665e-03,4.8350e-05,4.4021e-06,7.2269e-08,,,,,,,,,,,
Sam 11,3.63992e-08,1.18034e-02,4.1841e-03,4.8297e-05,4.4401e-06,7.2858e-08,,,,,,           -4.9610,            4.2221,           -1.1517,            8.4921,           10.0528,           -8.3159,           -1.6874,           -0.1738,            0.0297,            7.0268,
Ref 12,3.52636e-08,,,,,,1.1862e-02,4.1665e-03,4.8354e-05,4.4033e-06,7.1995e-08,,,,,,,,,,,
Sam 12,3.58261e-08,1.18033e-02,4.1842e-03,4.8294e-05,4.4408e-06,7.0585e-08,,,,,,           -4.9658,            4.2485,           -1.2964,            8.4966,          -13.5602,           -8.3219,           -1.6612,           -0.3394,           -0.0183,          -16.5611,
Ref 13,3.47322e-08,,,,,,1.1862e-02,4.1664e-03,4.8358e-05,4.4035e-06,7.1109e-08,,,,,,,,,,,
Sam 13,3.53512e-08,1.18031e-02,4.1841e-03,4.8295e-05,4.4421e-06,7.0603e-08,,,,,,           -4.9813,            4.2393,           -1.2517,            9.0505,          -12.2305,           -8.3381,           -1.6703,           -0.2696,            0.5491,          -15.2015,
Ref 14,3.42074e-08,,,,,,1.1862e-02,4.1665e-03,4.8353e-05,4.4009e-06,7.1850e-08,,,,,,,,,,,
Sam 14,3.48295e-08,1.18031e-02,4.1841e-03,4.8296e-05,4.4389e-06,7.2112e-08,,,,,,           -4.9746,            4.2210,           -1.2322,            8.2560,            8.7797,           -8.3303,           -1.6886,           -0.2391,           -0.2020,            5.7744,
Ref 15,3.36744e-08,,,,,,1.1862e-02,4.1665e-03,4.8358e-05,4.4042e-06,7.1113e-08,,,,,,,,,,,
Sam 15,3.43294e-08,1.18031e-02,4.1842e-03,4.8298e-05,4.4409e-06,7.1110e-08,,,,,,           -4.9747,            4.2355,           -1.1417,            8.3924,           -7.1600,           -8.3309,           -1.6741,           -0.1626,           -0.0957,          -10.1458,
Ref 16,3.31946e-08,,,,,,1.1862e-02,4.1665e-03,4.8347e-05,4.4037e-06,7.2141e-08,,,,,,,,,,,
Sam 16,3.38154e-08,1.18031e-02,4.1842e-03,4.8295e-05,4.4385e-06,7.0927e-08,,,,,,           -4.9734,            4.2415,           -1.1094,            8.2380,          -12.6639,           -8.3297,           -1.6681,           -0.1375,           -0.2607,          -15.6462,
Ref 17,3.27085e-08,,,,,,1.1862e-02,4.1665e-03,4.8349e-05,4.4008e-06,7.1529e-08,,,,,,,,,,,
Sam 17,3.33344e-08,1.18031e-02,4.1843e-03,4.8299e-05,4.4411e-06,7.1291e-08,,,,,,           -4.9665,            4.2401,           -1.0949,            9.1022,           -6.1684,           -8.3223,           -1.6695,           -0.1288,            0.5988,           -9.1749,
Ref 18,3.22229e-08,,,,,,1.1862e-02,4.1666e-03,4.8354e-05,4.4014e-06,7.1941e-08,,,,,,,,,,,
Sam 18,3.28501e-08,1.18032e-02,4.1843e-03,4.8298e-05,4.4385e-06,7.1280e-08,,,,,,           -4.9586,            4.2261,           -1.1603,            8.1994,           -8.8362,           -8.3134,           -1.6835,           -0.1887,           -0.2684,          -11.8157,
Ref 19,3.17356e-08,,,,,,1.1862e-02,4.1667e-03,4.8354e-05,4.4034e-06,7.1891e-08,,,,,,,,,,,
Sam 19,3.23496e-08,1.18032e-02,4.1843e-03,4.8297e-05,4.4374e-06,7.0410e-08,,,,,,           -4.9584,            4.2311,           -1.2212,            8.0314,          -16.5257,           -8.3134,           -1.6785,           -0.2548,           -0.4450,          -19.4920,
Ref 20,3.12700e-08,,,,,,1.1862e-02,4.1667e-03,4.8359e-05,4.4008e-06,7.1291e-08,,,,,,,,,,,
Sam 20,3.19296e-08,1.18032e-02,4.1844e-03,4.8306e-05,4.4375e-06,7.0502e-08,,,,,,           -4.9624,            4.2445,           -1.0944,            8.2196,          -20.6298,           -8.3181,           -1.6651,           -0.1369,           -0.2851,          -23.6052,
