Nu Stable Isotope Analysis Program
Data Collected on Sunday, October 29, 2023 at 17:02 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, October 29, 2023 at 18:01 with Stable 1.71.5 on PS019

Data File = Data_20742 MDE2 176.txt,      Sample Weight = 449,                      Vial Location = 33,                       Initial Sam Beam = 2.5028e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1191e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01918
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.43247e-08,,,,,,1.1863e-02,4.1647e-03,4.8326e-05,4.4061e-06,6.7622e-08,
Sam 1,8.35356e-08,1.17845e-02,4.1849e-03,4.8210e-05,4.4478e-06,6.8603e-08,,,,,,           -6.6471,            4.8410,           -2.3822,            9.3505,            9.9950,          -10.1317,           -1.0678,           -0.2648,           -0.3517,            7.5653,
Ref 2,8.27658e-08,,,,,,1.1864e-02,4.1649e-03,4.8324e-05,4.4071e-06,6.8232e-08,,,,,,,,,,,
Sam 2,8.19069e-08,1.17846e-02,4.1851e-03,4.8205e-05,4.4490e-06,6.8234e-08,,,,,,           -6.6585,            4.8287,           -2.5109,            9.6261,           -0.7159,          -10.1435,           -1.0801,           -0.3698,           -0.0541,           -3.0835,
Ref 3,8.10644e-08,,,,,,1.1864e-02,4.1650e-03,4.8329e-05,4.4060e-06,6.8334e-08,,,,,,,,,,,
Sam 3,8.02490e-08,1.17846e-02,4.1851e-03,4.8207e-05,4.4490e-06,6.8365e-08,,,,,,           -6.6635,            4.8089,           -2.5303,            9.7010,           -3.3917,          -10.1481,           -1.0998,           -0.3647,            0.0595,           -5.7091,
Ref 4,7.93897e-08,,,,,,1.1864e-02,4.1651e-03,4.8330e-05,4.4065e-06,6.8866e-08,,,,,,,,,,,
Sam 4,7.86134e-08,1.17846e-02,4.1852e-03,4.8211e-05,4.4494e-06,6.8852e-08,,,,,,           -6.6593,            4.8224,           -2.4571,            9.5329,            4.4082,          -10.1441,           -1.0863,           -0.3089,           -0.1339,            2.0416,
Ref 5,7.77398e-08,,,,,,1.1864e-02,4.1651e-03,4.8330e-05,4.4082e-06,6.8227e-08,,,,,,,,,,,
Sam 5,7.70343e-08,1.17847e-02,4.1853e-03,4.8210e-05,4.4493e-06,6.8497e-08,,,,,,           -6.6527,            4.8310,           -2.4750,            9.3968,           -0.2581,          -10.1374,           -1.0778,           -0.3421,           -0.2858,           -2.6375,
Ref 6,7.61533e-08,,,,,,1.1864e-02,4.1651e-03,4.8330e-05,4.4076e-06,6.8808e-08,,,,,,,,,,,
Sam 6,7.54901e-08,1.17846e-02,4.1853e-03,4.8213e-05,4.4495e-06,6.9166e-08,,,,,,           -6.6596,            4.8259,           -2.4652,            9.4848,            5.6723,          -10.1445,           -1.0829,           -0.3201,           -0.1885,            3.2963,
Ref 7,7.46016e-08,,,,,,1.1864e-02,4.1652e-03,4.8333e-05,4.4078e-06,6.8744e-08,,,,,,,,,,,
Sam 7,7.39934e-08,1.17846e-02,4.1853e-03,4.8209e-05,4.4483e-06,6.9763e-08,,,,,,           -6.6412,            4.8513,           -2.4987,            9.3312,           13.4154,          -10.1258,           -1.0576,           -0.3977,           -0.3913,           10.9508,
Ref 8,7.35392e-08,,,,,,1.1863e-02,4.1649e-03,4.8326e-05,4.4066e-06,6.8937e-08,,,,,,,,,,,
Sam 8,7.27534e-08,1.17843e-02,4.1852e-03,4.8215e-05,4.4487e-06,6.8273e-08,,,,,,           -6.6530,            4.8386,           -2.3388,            9.3519,           -9.7163,          -10.1380,           -1.0702,           -0.2127,           -0.3454,          -12.0875,
Ref 9,7.18531e-08,,,,,,1.1863e-02,4.1651e-03,4.8329e-05,4.4084e-06,6.8949e-08,,,,,,,,,,,
Sam 9,7.13337e-08,1.17842e-02,4.1852e-03,4.8212e-05,4.4481e-06,6.9233e-08,,,,,,           -6.6602,            4.8110,           -2.3925,            9.0023,            5.6351,          -10.1446,           -1.0977,           -0.2320,           -0.6367,            3.2891,
Ref 10,7.04261e-08,,,,,,1.1863e-02,4.1651e-03,4.8326e-05,4.4084e-06,6.8739e-08,,,,,,,,,,,
Sam 10,6.99541e-08,1.17843e-02,4.1852e-03,4.8211e-05,4.4481e-06,6.9857e-08,,,,,,           -6.6527,            4.8202,           -2.4008,            9.1006,           11.7662,          -10.1370,           -1.0885,           -0.2572,           -0.5577,            9.3795,
Ref 11,6.90330e-08,,,,,,1.1863e-02,4.1652e-03,4.8329e-05,4.4075e-06,6.9357e-08,,,,,,,,,,,
Sam 11,6.85998e-08,1.17842e-02,4.1852e-03,4.8206e-05,4.4486e-06,6.9336e-08,,,,,,           -6.6616,            4.8156,           -2.5443,            9.2999,            2.2767,          -10.1463,           -1.0930,           -0.3873,           -0.3513,           -0.0692,
Ref 12,6.76750e-08,,,,,,1.1863e-02,4.1652e-03,4.8330e-05,4.4076e-06,6.8997e-08,,,,,,,,,,,
Sam 12,6.72880e-08,1.17842e-02,4.1853e-03,4.8206e-05,4.4502e-06,6.9513e-08,,,,,,           -6.6591,            4.8250,           -2.5587,            9.8266,           13.2661,          -10.1439,           -1.0838,           -0.4135,            0.1518,           10.8733,
Ref 13,6.63639e-08,,,,,,1.1863e-02,4.1652e-03,4.8330e-05,4.4062e-06,6.8202e-08,,,,,,,,,,,
Sam 13,6.60171e-08,1.17842e-02,4.1852e-03,4.8208e-05,4.4499e-06,6.9982e-08,,,,,,           -6.6605,            4.8031,           -2.5176,            9.8925,           22.2529,          -10.1446,           -1.1056,           -0.3495,            0.2607,           19.8842,
Ref 14,6.50874e-08,,,,,,1.1863e-02,4.1653e-03,4.8329e-05,4.4064e-06,6.8721e-08,,,,,,,,,,,
Sam 14,6.47419e-08,1.17842e-02,4.1854e-03,4.8212e-05,4.4479e-06,6.9853e-08,,,,,,           -6.6584,            4.8188,           -2.4263,            9.4867,           16.1994,          -10.1430,           -1.0900,           -0.2754,           -0.1724,           13.8113,
Ref 15,6.37832e-08,,,,,,1.1863e-02,4.1653e-03,4.8329e-05,4.4058e-06,6.8758e-08,,,,,,,,,,,
Sam 15,6.35112e-08,1.17842e-02,4.1854e-03,4.8215e-05,4.4493e-06,6.8388e-08,,,,,,           -6.6589,            4.8097,           -2.4110,            9.6676,          -14.2228,          -10.1432,           -1.0989,           -0.2508,            0.0246,          -16.5215,
Ref 16,6.25178e-08,,,,,,1.1863e-02,4.1654e-03,4.8335e-05,4.4076e-06,7.0004e-08,,,,,,,,,,,
Sam 16,6.22977e-08,1.17843e-02,4.1855e-03,4.8215e-05,4.4468e-06,6.9743e-08,,,,,,           -6.6514,            4.8151,           -2.4770,            8.9850,           -2.4943,          -10.1354,           -1.0936,           -0.3299,           -0.6620,           -4.8388,
Ref 17,6.13499e-08,,,,,,1.1863e-02,4.1654e-03,4.8335e-05,4.4068e-06,6.9829e-08,,,,,,,,,,,
Sam 17,6.13342e-08,1.17840e-02,4.1854e-03,4.8209e-05,4.4476e-06,6.9964e-08,,,,,,           -6.6657,            4.7832,           -2.5817,            9.2036,            5.6048,          -10.1496,           -1.1253,           -0.3888,           -0.3822,            3.3193,
Ref 18,6.02891e-08,,,,,,1.1863e-02,4.1654e-03,4.8333e-05,4.4073e-06,6.9314e-08,,,,,,,,,,,
Sam 18,6.01175e-08,1.17842e-02,4.1855e-03,4.8214e-05,4.4492e-06,6.8905e-08,,,,,,           -6.6517,            4.8065,           -2.5111,            9.4469,           -6.7806,          -10.1355,           -1.1022,           -0.3553,           -0.1873,           -9.0979,
Ref 19,5.91100e-08,,,,,,1.1863e-02,4.1655e-03,4.8337e-05,4.4079e-06,6.9438e-08,,,,,,,,,,,
Sam 19,5.89471e-08,1.17842e-02,4.1856e-03,4.8215e-05,4.4484e-06,6.9257e-08,,,,,,           -6.6486,            4.8223,           -2.4906,            9.4406,           -3.4561,          -10.1326,           -1.0865,           -0.3535,           -0.2251,           -5.8154,
Ref 20,5.81066e-08,,,,,,1.1863e-02,4.1655e-03,4.8333e-05,4.4057e-06,6.9557e-08,,,,,,,,,,,
Sam 20,5.79504e-08,1.17841e-02,4.1855e-03,4.8216e-05,4.4492e-06,6.9220e-08,,,,,,           -6.6523,            4.8177,           -2.4277,            9.8023,           -6.6846,          -10.1365,           -1.0910,           -0.2821,            0.1423,           -9.0233,
Ref 21,5.70760e-08,,,,,,1.1863e-02,4.1655e-03,4.8334e-05,4.4064e-06,6.9817e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.64786e-08,,,,,,1.1863e-02,4.1655e-03,4.8334e-05,4.4069e-06,6.8162e-08,
Sam 1,5.64230e-08,1.17840e-02,4.1856e-03,4.8220e-05,4.4501e-06,7.0676e-08,,,,,,           -6.6632,            4.8133,           -2.3238,            9.7828,           24.8651,          -10.1479,           -1.0954,           -0.1623,            0.1318,           22.4729,
Ref 2,5.54601e-08,,,,,,1.1863e-02,4.1655e-03,4.8330e-05,4.4071e-06,6.9775e-08,,,,,,,,,,,
Sam 2,5.53905e-08,1.17841e-02,4.1856e-03,4.8215e-05,4.4487e-06,7.0088e-08,,,,,,           -6.6533,            4.8103,           -2.3883,            9.2975,            0.8614,          -10.1372,           -1.0983,           -0.2344,           -0.3431,           -1.4797,
Ref 3,5.44051e-08,,,,,,1.1863e-02,4.1656e-03,4.8331e-05,4.4084e-06,7.0286e-08,,,,,,,,,,,
Sam 3,5.43801e-08,1.17842e-02,4.1857e-03,4.8218e-05,4.4500e-06,6.9710e-08,,,,,,           -6.6478,            4.8221,           -2.4033,            9.5316,           -1.6561,          -10.1318,           -1.0866,           -0.2666,           -0.1346,           -4.0201,
Ref 4,5.34964e-08,,,,,,1.1863e-02,4.1656e-03,4.8337e-05,4.4076e-06,6.9358e-08,,,,,,,,,,,
Sam 4,5.33860e-08,1.17842e-02,4.1858e-03,4.8215e-05,4.4475e-06,6.9763e-08,,,,,,           -6.6457,            4.8324,           -2.5562,            9.0759,            6.0927,          -10.1300,           -1.0764,           -0.4321,           -0.6065,            3.6879,
Ref 5,5.24640e-08,,,,,,1.1863e-02,4.1657e-03,4.8340e-05,4.4075e-06,6.9322e-08,,,,,,,,,,,
Sam 5,5.25362e-08,1.17840e-02,4.1857e-03,4.8219e-05,4.4492e-06,7.0258e-08,,,,,,           -6.6614,            4.8072,           -2.4835,            9.6768,            5.7450,          -10.1458,           -1.1015,           -0.3183,            0.0389,            3.4075,
Ref 6,5.15892e-08,,,,,,1.1863e-02,4.1657e-03,4.8337e-05,4.4057e-06,7.0400e-08,,,,,,,,,,,
Sam 6,5.16798e-08,1.17838e-02,4.1858e-03,4.8219e-05,4.4458e-06,7.0173e-08,,,,,,           -6.6653,            4.8097,           -2.4798,            9.0488,            0.6063,          -10.1501,           -1.0989,           -0.3130,           -0.5882,           -1.7200,
Ref 7,5.07469e-08,,,,,,1.1863e-02,4.1657e-03,4.8341e-05,4.4061e-06,6.9856e-08,,,,,,,,,,,
Sam 7,5.07763e-08,1.17839e-02,4.1858e-03,4.8221e-05,4.4474e-06,6.9738e-08,,,,,,           -6.6505,            4.8315,           -2.4900,            9.0467,           -2.2196,          -10.1350,           -1.0773,           -0.3599,           -0.6335,           -4.5976,
Ref 8,4.99585e-08,,,,,,1.1863e-02,4.1657e-03,4.8343e-05,4.4089e-06,6.9931e-08,,,,,,,,,,,
Sam 8,4.99400e-08,1.17839e-02,4.1857e-03,4.8215e-05,4.4494e-06,6.9395e-08,,,,,,           -6.6449,            4.8024,           -2.5966,            9.5483,           -8.2210,          -10.1281,           -1.1063,           -0.4440,           -0.0788,          -10.5343,
Ref 9,4.89880e-08,,,,,,1.1863e-02,4.1658e-03,4.8337e-05,4.4057e-06,7.0010e-08,,,,,,,,,,,
Sam 9,4.90666e-08,1.17839e-02,4.1859e-03,4.8218e-05,4.4497e-06,6.8713e-08,,,,,,           -6.6510,            4.8103,           -2.5069,            9.9373,          -11.6839,          -10.1349,           -1.0983,           -0.3555,            0.2906,          -13.9980,
Ref 10,4.81093e-08,,,,,,1.1863e-02,4.1659e-03,4.8340e-05,4.4063e-06,6.9033e-08,,,,,,,,,,,
Sam 10,4.82578e-08,1.17839e-02,4.1859e-03,4.8220e-05,4.4482e-06,7.0365e-08,,,,,,           -6.6489,            4.7883,           -2.4913,            9.2837,           13.9061,          -10.1319,           -1.1202,           -0.3206,           -0.3130,           11.5734,
Ref 11,4.72955e-08,,,,,,1.1863e-02,4.1659e-03,4.8340e-05,4.4083e-06,6.9774e-08,,,,,,,,,,,
Sam 11,4.74614e-08,1.17839e-02,4.1859e-03,4.8216e-05,4.4508e-06,7.1041e-08,,,,,,           -6.6519,            4.8062,           -2.5793,            9.9020,           18.0960,          -10.1356,           -1.1025,           -0.4232,            0.2639,           15.7213,
Ref 12,4.65007e-08,,,,,,1.1863e-02,4.1659e-03,4.8342e-05,4.4060e-06,6.9783e-08,,,,,,,,,,,
Sam 12,4.66915e-08,1.17838e-02,4.1859e-03,4.8224e-05,4.4468e-06,7.0164e-08,,,,,,           -6.6559,            4.8050,           -2.4046,            9.1259,            5.6998,          -10.1399,           -1.1037,           -0.2427,           -0.5023,            3.3608,
Ref 13,4.57282e-08,,,,,,1.1863e-02,4.1660e-03,4.8338e-05,4.4071e-06,6.9749e-08,,,,,,,,,,,
Sam 13,4.59385e-08,1.17837e-02,4.1860e-03,4.8219e-05,4.4486e-06,6.9858e-08,,,,,,           -6.6550,            4.8072,           -2.5058,            9.4787,           -1.6996,          -10.1390,           -1.1015,           -0.3473,           -0.1573,           -4.0266,
Ref 14,4.49757e-08,,,,,,1.1863e-02,4.1660e-03,4.8342e-05,4.4065e-06,7.0209e-08,,,,,,,,,,,
Sam 14,4.52050e-08,1.17837e-02,4.1860e-03,4.8224e-05,4.4474e-06,7.0034e-08,,,,,,           -6.6507,            4.7998,           -2.4189,            9.3069,            5.6055,          -10.1341,           -1.1088,           -0.2574,           -0.3129,            3.2713,
Ref 15,4.42389e-08,,,,,,1.1863e-02,4.1660e-03,4.8339e-05,4.4061e-06,6.9070e-08,,,,,,,,,,,
Sam 15,4.44838e-08,1.17836e-02,4.1860e-03,4.8228e-05,4.4493e-06,6.9719e-08,,,,,,           -6.6569,            4.7963,           -2.3523,            9.8662,            5.9916,          -10.1406,           -1.1123,           -0.1807,            0.2482,            3.6701,
Ref 16,4.35150e-08,,,,,,1.1863e-02,4.1660e-03,4.8345e-05,4.4055e-06,6.9541e-08,,,,,,,,,,,
Sam 16,4.37717e-08,1.17837e-02,4.1860e-03,4.8223e-05,4.4474e-06,7.0154e-08,,,,,,           -6.6492,            4.8016,           -2.4630,            9.4692,            5.5437,          -10.1327,           -1.1070,           -0.3049,           -0.1556,            3.2045,
Ref 17,4.28094e-08,,,,,,1.1863e-02,4.1660e-03,4.8339e-05,4.4060e-06,6.9998e-08,,,,,,,,,,,
Sam 17,4.30802e-08,1.17837e-02,4.1861e-03,4.8226e-05,4.4481e-06,7.0222e-08,,,,,,           -6.6447,            4.8122,           -2.3628,            9.4063,            6.4748,          -10.1282,           -1.0965,           -0.2196,           -0.2390,            4.1077,
Ref 18,4.21174e-08,,,,,,1.1863e-02,4.1661e-03,4.8342e-05,4.4073e-06,6.9539e-08,,,,,,,,,,,
Sam 18,4.23998e-08,1.17836e-02,4.1861e-03,4.8221e-05,4.4479e-06,7.1205e-08,,,,,,           -6.6538,            4.7940,           -2.5672,            9.5313,           30.2802,          -10.1372,           -1.1146,           -0.3972,           -0.0790,           27.9037,
Ref 19,4.14362e-08,,,,,,1.1862e-02,4.1661e-03,4.8347e-05,4.4046e-06,6.8680e-08,,,,,,,,,,,
Sam 19,4.17347e-08,1.17835e-02,4.1861e-03,4.8225e-05,4.4494e-06,6.9722e-08,,,,,,           -6.6580,            4.8058,           -2.5415,           10.1777,           -3.6084,          -10.1421,           -1.1029,           -0.3785,            0.5378,           -5.9251,
Ref 20,4.07737e-08,,,,,,1.1863e-02,4.1661e-03,4.8348e-05,4.4046e-06,7.1291e-08,,,,,,,,,,,
Sam 20,4.10836e-08,1.17835e-02,4.1861e-03,4.8225e-05,4.4459e-06,7.0288e-08,,,,,,           -6.6615,            4.8104,           -2.5477,            9.1575,            6.5307,          -10.1460,           -1.0983,           -0.3856,           -0.4818,            4.1851,
Ref 21,4.01224e-08,,,,,,1.1863e-02,4.1661e-03,4.8348e-05,4.4065e-06,6.8348e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.98028e-08,,,,,,1.1863e-02,4.1661e-03,4.8346e-05,4.4042e-06,6.7320e-08,
Sam 1,4.01700e-08,1.17834e-02,4.1862e-03,4.8227e-05,4.4492e-06,6.9603e-08,,,,,,           -6.6641,            4.8069,           -2.4309,            9.8805,           10.0921,          -10.1486,           -1.1017,           -0.2626,            0.2411,            7.7478,
Ref 2,3.91707e-08,,,,,,1.1862e-02,4.1662e-03,4.8344e-05,4.4072e-06,7.0520e-08,,,,,,,,,,,
Sam 2,3.95147e-08,1.17834e-02,4.1862e-03,4.8233e-05,4.4476e-06,6.9178e-08,,,,,,           -6.6594,            4.7927,           -2.3026,            9.1709,          -21.6883,          -10.1432,           -1.1158,           -0.1248,           -0.4335,          -23.9366,
Ref 3,3.85544e-08,,,,,,1.1862e-02,4.1662e-03,4.8345e-05,4.4071e-06,7.0905e-08,,,,,,,,,,,
Sam 3,3.89512e-08,1.17835e-02,4.1862e-03,4.8231e-05,4.4487e-06,6.9549e-08,,,,,,           -6.6514,            4.7879,           -2.3553,            9.4190,           -8.5362,          -10.1345,           -1.1207,           -0.1812,           -0.1780,          -10.8138,
Ref 4,3.79794e-08,,,,,,1.1862e-02,4.1662e-03,4.8344e-05,4.4073e-06,6.9380e-08,,,,,,,,,,,
Sam 4,3.83508e-08,1.17834e-02,4.1862e-03,4.8229e-05,4.4480e-06,7.0666e-08,,,,,,           -6.6466,            4.7932,           -2.4169,            9.3601,           25.0868,          -10.1296,           -1.1154,           -0.2532,           -0.2469,           22.7161,
Ref 5,3.73858e-08,,,,,,1.1862e-02,4.1662e-03,4.8346e-05,4.4063e-06,6.8487e-08,,,,,,,,,,,
Sam 5,3.77404e-08,1.17833e-02,4.1862e-03,4.8234e-05,4.4496e-06,6.9222e-08,,,,,,           -6.6513,            4.8002,           -2.3115,            9.9128,            0.0200,          -10.1348,           -1.1085,           -0.1495,            0.2866,           -2.3013,
Ref 6,3.67738e-08,,,,,,1.1862e-02,4.1663e-03,4.8346e-05,4.4056e-06,6.9967e-08,,,,,,,,,,,
Sam 6,3.72054e-08,1.17833e-02,4.1863e-03,4.8222e-05,4.4484e-06,6.9405e-08,,,,,,           -6.6504,            4.8190,           -2.6891,            9.6281,           -1.0201,          -10.1345,           -1.0897,           -0.5473,           -0.0330,           -3.3768,
Ref 7,3.62460e-08,,,,,,1.1862e-02,4.1662e-03,4.8358e-05,4.4065e-06,6.8978e-08,,,,,,,,,,,
Sam 7,3.66530e-08,1.17833e-02,4.1863e-03,4.8225e-05,4.4454e-06,6.8622e-08,,,,,,           -6.6410,            4.8308,           -2.6030,            9.1175,           -0.9846,          -10.1249,           -1.0781,           -0.4822,           -0.5620,           -3.3743,
Ref 8,3.57044e-08,,,,,,1.1862e-02,4.1662e-03,4.8343e-05,4.4039e-06,6.8397e-08,,,,,,,,,,,
Sam 8,3.61273e-08,1.17833e-02,4.1862e-03,4.8227e-05,4.4471e-06,6.9318e-08,,,,,,           -6.6403,            4.7989,           -2.4845,            9.7344,            9.4821,          -10.1231,           -1.1098,           -0.3330,            0.1124,            7.1295,
Ref 9,3.51574e-08,,,,,,1.1862e-02,4.1663e-03,4.8352e-05,4.4044e-06,6.8942e-08,,,,,,,,,,,
Sam 9,3.55734e-08,1.17832e-02,4.1863e-03,4.8220e-05,4.4468e-06,6.8880e-08,,,,,,           -6.6540,            4.8072,           -2.6257,            9.6280,            3.7577,          -10.1379,           -1.1015,           -0.4685,           -0.0095,            1.4168,
Ref 10,3.46124e-08,,,,,,1.1862e-02,4.1663e-03,4.8342e-05,4.4044e-06,6.8297e-08,,,,,,,,,,,
Sam 10,3.50506e-08,1.17832e-02,4.1863e-03,4.8223e-05,4.4480e-06,6.9300e-08,,,,,,           -6.6565,            4.7899,           -2.4966,            9.8366,            5.4715,          -10.1400,           -1.1187,           -0.3196,            0.2315,            3.1632,
Ref 11,3.40537e-08,,,,,,1.1862e-02,4.1664e-03,4.8345e-05,4.4049e-06,6.9559e-08,,,,,,,,,,,
Sam 11,3.45496e-08,1.17831e-02,4.1863e-03,4.8231e-05,4.4453e-06,6.8613e-08,,,,,,           -6.6621,            4.7898,           -2.2617,            9.2986,          -11.9507,          -10.1459,           -1.1188,           -0.0783,           -0.3011,          -14.2129,
Ref 12,3.35913e-08,,,,,,1.1862e-02,4.1663e-03,4.8335e-05,4.4037e-06,6.9324e-08,,,,,,,,,,,
Sam 12,3.40543e-08,1.17832e-02,4.1863e-03,4.8220e-05,4.4484e-06,7.0755e-08,,,,,,           -6.6520,            4.7850,           -2.4886,           10.1548,           11.4153,          -10.1350,           -1.1235,           -0.3115,            0.5564,            9.0981,
Ref 13,3.30813e-08,,,,,,1.1862e-02,4.1664e-03,4.8345e-05,4.4036e-06,7.0599e-08,,,,,,,,,,,
Sam 13,3.35257e-08,1.17831e-02,4.1864e-03,4.8223e-05,4.4465e-06,6.9535e-08,,,,,,           -6.6490,            4.7880,           -2.5934,            9.3796,          -22.6916,          -10.1319,           -1.1206,           -0.4225,           -0.2173,          -24.9394,
Ref 14,3.25743e-08,,,,,,1.1862e-02,4.1665e-03,4.8351e-05,4.4068e-06,7.1708e-08,,,,,,,,,,,
Sam 14,3.30617e-08,1.17831e-02,4.1865e-03,4.8224e-05,4.4483e-06,6.8883e-08,,,,,,           -6.6514,            4.7928,           -2.6136,            9.6160,          -28.6426,          -10.1346,           -1.1158,           -0.4450,            0.0073,          -30.8834,
Ref 15,3.20889e-08,,,,,,1.1862e-02,4.1665e-03,4.8350e-05,4.4050e-06,7.0107e-08,,,,,,,,,,,
Sam 15,3.25821e-08,1.17832e-02,4.1865e-03,4.8226e-05,4.4476e-06,6.8793e-08,,,,,,           -6.6545,            4.7957,           -2.5866,            9.4288,          -11.9811,          -10.1381,           -1.1130,           -0.4175,           -0.1838,          -14.2625,
Ref 16,3.16166e-08,,,,,,1.1862e-02,4.1665e-03,4.8353e-05,4.4072e-06,6.9141e-08,,,,,,,,,,,
Sam 16,3.21205e-08,1.17831e-02,4.1865e-03,4.8228e-05,4.4455e-06,6.9855e-08,,,,,,           -6.6574,            4.7805,           -2.5635,            8.9937,            8.0177,          -10.1406,           -1.1281,           -0.3765,           -0.5846,            5.7232,
Ref 17,3.11525e-08,,,,,,1.1862e-02,4.1666e-03,4.8352e-05,4.4046e-06,6.9459e-08,,,,,,,,,,,
Sam 17,3.16469e-08,1.17831e-02,4.1866e-03,4.8234e-05,4.4459e-06,7.0968e-08,,,,,,           -6.6490,            4.8081,           -2.4458,            9.4377,           16.0878,          -10.1326,           -1.1006,           -0.2943,           -0.1998,           13.7109,
Ref 18,3.07019e-08,,,,,,1.1862e-02,4.1666e-03,4.8353e-05,4.4041e-06,7.0234e-08,,,,,,,,,,,
Sam 18,3.12183e-08,1.17830e-02,4.1866e-03,4.8237e-05,4.4460e-06,7.0424e-08,,,,,,           -6.6555,            4.7826,           -2.3905,            9.3859,            8.7498,          -10.1387,           -1.1259,           -0.2071,           -0.2004,            6.4473,
Ref 19,3.02550e-08,,,,,,1.1862e-02,4.1667e-03,4.8352e-05,4.4052e-06,6.9386e-08,,,,,,,,,,,
Sam 19,3.07940e-08,1.17830e-02,4.1866e-03,4.8232e-05,4.4434e-06,6.9937e-08,,,,,,           -6.6488,            4.7756,           -2.4788,            8.8643,           -0.2865,          -10.1312,           -1.1329,           -0.2958,           -0.7031,           -2.5619,
Ref 20,2.98328e-08,,,,,,1.1862e-02,4.1667e-03,4.8352e-05,4.4035e-06,7.0536e-08,,,,,,,,,,,
Sam 20,3.03594e-08,1.17831e-02,4.1866e-03,4.8232e-05,4.4456e-06,7.0661e-08,,,,,,           -6.6443,            4.7921,           -2.5564,            9.3609,           -1.3082,          -10.1271,           -1.1166,           -0.3943,           -0.2439,           -3.6181,
