Nu Stable Isotope Analysis Program
Data Collected on Sunday, October 29, 2023 at 18:23 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, October 29, 2023 at 19:23 with Stable 1.71.5 on PS019

Data File = Data_20743 ETH-01.txt,        Sample Weight = 449,                      Vial Location = 34,                       Initial Sam Beam = 2.5027e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0359e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01918
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.42295e-08,,,,,,1.1863e-02,4.1643e-03,4.8315e-05,4.4059e-06,6.7495e-08,
Sam 1,9.33880e-08,1.19181e-02,4.2111e-03,4.9055e-05,4.5061e-06,6.9482e-08,,,,,,            4.6183,           11.1977,           15.2053,           22.5995,           21.8655,            1.6381,            5.2334,           -0.6164,            0.0771,           -5.1616,
Ref 2,9.23202e-08,,,,,,1.1864e-02,4.1646e-03,4.8325e-05,4.4071e-06,6.8506e-08,,,,,,,,,,,
Sam 2,9.14395e-08,1.19183e-02,4.2113e-03,4.9059e-05,4.5046e-06,6.9782e-08,,,,,,            4.6110,           11.1951,           15.2168,           22.0399,           15.1077,            1.6304,            5.2309,           -0.5951,           -0.4650,          -11.7279,
Ref 3,9.03173e-08,,,,,,1.1864e-02,4.1647e-03,4.8321e-05,4.4078e-06,6.8986e-08,,,,,,,,,,,
Sam 3,8.95017e-08,1.19184e-02,4.2114e-03,4.9065e-05,4.5066e-06,7.0330e-08,,,,,,            4.6073,           11.1968,           15.3550,           22.3766,           19.1258,            1.6264,            5.2326,           -0.4569,           -0.1393,           -7.8155,
Ref 4,8.83447e-08,,,,,,1.1864e-02,4.1648e-03,4.8325e-05,4.4081e-06,6.9034e-08,,,,,,,,,,,
Sam 4,8.75990e-08,1.19184e-02,4.2114e-03,4.9061e-05,4.5062e-06,7.0894e-08,,,,,,            4.6100,           11.1773,           15.2256,           22.2278,           30.3434,            1.6300,            5.2132,           -0.5682,           -0.2461,            3.1407,
Ref 5,8.64389e-08,,,,,,1.1864e-02,4.1649e-03,4.8326e-05,4.4082e-06,6.8572e-08,,,,,,,,,,,
Sam 5,8.57571e-08,1.19184e-02,4.2115e-03,4.9061e-05,4.5042e-06,6.9916e-08,,,,,,            4.6039,           11.1842,           15.1987,           21.9082,           23.0278,            1.6232,            5.2201,           -0.5952,           -0.5725,           -3.9887,
Ref 6,8.45875e-08,,,,,,1.1864e-02,4.1649e-03,4.8327e-05,4.4070e-06,6.8107e-08,,,,,,,,,,,
Sam 6,8.39697e-08,1.19184e-02,4.2115e-03,4.9066e-05,4.5058e-06,6.9995e-08,,,,,,            4.6063,           11.1809,           15.2951,           22.1897,           21.5484,            1.6259,            5.2168,           -0.4995,           -0.2906,           -5.4252,
Ref 7,8.27848e-08,,,,,,1.1864e-02,4.1650e-03,4.8326e-05,4.4089e-06,6.8938e-08,,,,,,,,,,,
Sam 7,8.22269e-08,1.19183e-02,4.2116e-03,4.9065e-05,4.5048e-06,7.0028e-08,,,,,,            4.6059,           11.1778,           15.2728,           21.9051,           14.3578,            1.6256,            5.2137,           -0.5180,           -0.5627,          -12.4194,
Ref 8,8.10258e-08,,,,,,1.1864e-02,4.1651e-03,4.8328e-05,4.4076e-06,6.9137e-08,,,,,,,,,,,
Sam 8,8.05303e-08,1.19184e-02,4.2116e-03,4.9066e-05,4.5058e-06,7.0220e-08,,,,,,            4.6090,           11.1742,           15.2591,           22.3519,           18.0752,            1.6290,            5.2101,           -0.5312,           -0.1187,           -8.7967,
Ref 9,7.93242e-08,,,,,,1.1864e-02,4.1651e-03,4.8329e-05,4.4071e-06,6.8805e-08,,,,,,,,,,,
Sam 9,7.88848e-08,1.19183e-02,4.2117e-03,4.9066e-05,4.5050e-06,7.1281e-08,,,,,,            4.6068,           11.1978,           15.2132,           22.1643,           31.7359,            1.6258,            5.2336,           -0.5970,           -0.3489,            4.4597,
Ref 10,7.76703e-08,,,,,,1.1864e-02,4.1651e-03,4.8332e-05,4.4076e-06,6.9377e-08,,,,,,,,,,,
Sam 10,7.72955e-08,1.19183e-02,4.2117e-03,4.9068e-05,4.5047e-06,7.0341e-08,,,,,,            4.6080,           11.1774,           15.2065,           21.9100,           12.9864,            1.6278,            5.2133,           -0.5850,           -0.5572,          -13.7561,
Ref 11,7.60803e-08,,,,,,1.1864e-02,4.1651e-03,4.8334e-05,4.4086e-06,6.9502e-08,,,,,,,,,,,
Sam 11,7.61563e-08,1.19178e-02,4.2115e-03,4.9061e-05,4.5064e-06,7.1362e-08,,,,,,            4.5816,           11.1357,           15.0920,           22.2892,           26.3030,            1.6012,            5.1718,           -0.6300,           -0.1038,           -0.6821,
Ref 12,7.46659e-08,,,,,,1.1863e-02,4.1651e-03,4.8329e-05,4.4077e-06,6.9566e-08,,,,,,,,,,,
Sam 12,7.43836e-08,1.19181e-02,4.2117e-03,4.9064e-05,4.5069e-06,7.1527e-08,,,,,,            4.6125,           11.1913,           15.1699,           22.5132,           27.7374,            1.6321,            5.2271,           -0.6391,            0.0053,            0.5737,
Ref 13,7.31662e-08,,,,,,1.1863e-02,4.1651e-03,4.8332e-05,4.4076e-06,6.9628e-08,,,,,,,,,,,
Sam 13,7.29322e-08,1.19179e-02,4.2117e-03,4.9064e-05,4.5053e-06,7.0906e-08,,,,,,            4.5988,           11.1721,           15.1901,           22.1821,           17.8705,            1.6182,            5.2080,           -0.5866,           -0.2806,           -8.9812,
Ref 14,7.16957e-08,,,,,,1.1863e-02,4.1652e-03,4.8329e-05,4.4075e-06,6.9694e-08,,,,,,,,,,,
Sam 14,7.15137e-08,1.19179e-02,4.2117e-03,4.9064e-05,4.5051e-06,7.1314e-08,,,,,,            4.6017,           11.1712,           15.1715,           22.0498,           23.9214,            1.6213,            5.2071,           -0.6070,           -0.4082,           -3.0911,
Ref 15,7.02679e-08,,,,,,1.1863e-02,4.1652e-03,4.8334e-05,4.4084e-06,6.9601e-08,,,,,,,,,,,
Sam 15,7.01368e-08,1.19179e-02,4.2117e-03,4.9069e-05,4.5054e-06,7.1037e-08,,,,,,            4.6004,           11.1760,           15.2494,           22.1407,           12.7370,            1.6198,            5.2119,           -0.5336,           -0.3288,          -13.9883,
Ref 16,6.88811e-08,,,,,,1.1863e-02,4.1652e-03,4.8331e-05,4.4073e-06,7.0696e-08,,,,,,,,,,,
Sam 16,6.87921e-08,1.19179e-02,4.2117e-03,4.9070e-05,4.5050e-06,7.1393e-08,,,,,,            4.6000,           11.1680,           15.2771,           22.0491,           18.9591,            1.6196,            5.2039,           -0.4980,           -0.4025,           -7.9145,
Ref 17,6.75397e-08,,,,,,1.1863e-02,4.1652e-03,4.8332e-05,4.4084e-06,6.9421e-08,,,,,,,,,,,
Sam 17,6.74922e-08,1.19178e-02,4.2118e-03,4.9071e-05,4.5051e-06,7.0509e-08,,,,,,            4.6010,           11.1696,           15.3091,           22.0944,           19.4604,            1.6206,            5.2055,           -0.4692,           -0.3614,           -7.4306,
Ref 18,6.62244e-08,,,,,,1.1863e-02,4.1653e-03,4.8330e-05,4.4071e-06,6.8899e-08,,,,,,,,,,,
Sam 18,6.62197e-08,1.19178e-02,4.2118e-03,4.9071e-05,4.5061e-06,7.1980e-08,,,,,,            4.6034,           11.1688,           15.3005,           22.5214,           29.5643,            1.6232,            5.2048,           -0.4794,            0.0577,            2.4057,
Ref 19,6.49510e-08,,,,,,1.1863e-02,4.1653e-03,4.8332e-05,4.4066e-06,7.0946e-08,,,,,,,,,,,
Sam 19,6.49871e-08,1.19178e-02,4.2119e-03,4.9068e-05,4.5047e-06,7.1532e-08,,,,,,            4.6016,           11.1752,           15.2128,           22.1427,           20.9622,            1.6211,            5.2111,           -0.5700,           -0.3252,           -5.9798,
Ref 20,6.36566e-08,,,,,,1.1863e-02,4.1653e-03,4.8333e-05,4.4077e-06,6.9161e-08,,,,,,,,,,,
Sam 20,6.37075e-08,1.19178e-02,4.2119e-03,4.9064e-05,4.5045e-06,7.1349e-08,,,,,,            4.6013,           11.1777,           15.1344,           22.0134,           28.2203,            1.6207,            5.2136,           -0.6495,           -0.4567,            1.0820,
Ref 21,6.24399e-08,,,,,,1.1863e-02,4.1654e-03,4.8333e-05,4.4072e-06,6.9624e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.18493e-08,,,,,,1.1863e-02,4.1654e-03,4.8337e-05,4.4084e-06,6.9772e-08,
Sam 1,6.19602e-08,1.19178e-02,4.2119e-03,4.9071e-05,4.5054e-06,7.1929e-08,,,,,,            4.6070,           11.1676,           15.2106,           22.1000,           31.2829,            1.6271,            5.2035,           -0.5704,           -0.3520,            4.0775,
Ref 2,6.07637e-08,,,,,,1.1863e-02,4.1654e-03,4.8336e-05,4.4075e-06,6.9723e-08,,,,,,,,,,,
Sam 2,6.08404e-08,1.19178e-02,4.2120e-03,4.9071e-05,4.5058e-06,7.2239e-08,,,,,,            4.6103,           11.1766,           15.1709,           22.1139,           36.1821,            1.6302,            5.2125,           -0.6216,           -0.3562,            8.8263,
Ref 3,5.95872e-08,,,,,,1.1863e-02,4.1654e-03,4.8339e-05,4.4092e-06,6.9710e-08,,,,,,,,,,,
Sam 3,5.98416e-08,1.19177e-02,4.2120e-03,4.9065e-05,4.5054e-06,7.1070e-08,,,,,,            4.6042,           11.1596,           15.0909,           21.8215,           14.1505,            1.6243,            5.1956,           -0.6775,           -0.6085,          -12.5845,
Ref 4,5.84928e-08,,,,,,1.1863e-02,4.1655e-03,4.8332e-05,4.4091e-06,7.0452e-08,,,,,,,,,,,
Sam 4,5.86388e-08,1.19177e-02,4.2120e-03,4.9071e-05,4.5050e-06,7.1667e-08,,,,,,            4.6089,           11.1669,           15.2179,           22.0690,           13.7961,            1.6291,            5.2028,           -0.5644,           -0.3809,          -12.9484,
Ref 5,5.74964e-08,,,,,,1.1863e-02,4.1655e-03,4.8339e-05,4.4063e-06,7.0936e-08,,,,,,,,,,,
Sam 5,5.76582e-08,1.19177e-02,4.2120e-03,4.9068e-05,4.5045e-06,7.0033e-08,,,,,,            4.5970,           11.1442,           15.0115,           22.1258,          -11.8352,            1.6173,            5.1803,           -0.7334,           -0.2805,          -37.8492,
Ref 6,5.62659e-08,,,,,,1.1863e-02,4.1657e-03,4.8347e-05,4.4077e-06,7.0806e-08,,,,,,,,,,,
Sam 6,5.65095e-08,1.19178e-02,4.2122e-03,4.9076e-05,4.5048e-06,7.0912e-08,,,,,,            4.6076,           11.1696,           15.1638,           21.9808,            3.8508,            1.6276,            5.2055,           -0.6190,           -0.4725,          -22.6353,
Ref 7,5.53075e-08,,,,,,1.1863e-02,4.1657e-03,4.8339e-05,4.4081e-06,7.0472e-08,,,,,,,,,,,
Sam 7,5.55979e-08,1.19177e-02,4.2121e-03,4.9073e-05,4.5057e-06,7.1686e-08,,,,,,            4.5991,           11.1371,           15.1919,           22.2171,           21.4200,            1.6197,            5.1732,           -0.5509,           -0.1772,           -5.4577,
Ref 8,5.42623e-08,,,,,,1.1863e-02,4.1658e-03,4.8339e-05,4.4074e-06,6.9888e-08,,,,,,,,,,,
Sam 8,5.45824e-08,1.19176e-02,4.2122e-03,4.9072e-05,4.5051e-06,7.1201e-08,,,,,,            4.6021,           11.1676,           15.1894,           22.1347,           14.8468,            1.6219,            5.2036,           -0.5862,           -0.3181,          -11.9198,
Ref 9,5.34419e-08,,,,,,1.1863e-02,4.1656e-03,4.8335e-05,4.4078e-06,7.0436e-08,,,,,,,,,,,
Sam 9,5.36226e-08,1.19177e-02,4.2123e-03,4.9076e-05,4.5042e-06,7.2206e-08,,,,,,            4.6139,           11.1865,           15.2508,           21.9580,           28.3446,            1.6338,            5.2223,           -0.5562,           -0.5282,            1.1727,
Ref 10,5.23965e-08,,,,,,1.1863e-02,4.1658e-03,4.8341e-05,4.4070e-06,6.9991e-08,,,,,,,,,,,
Sam 10,5.27491e-08,1.19177e-02,4.2122e-03,4.9073e-05,4.5060e-06,7.0374e-08,,,,,,            4.6072,           11.1546,           15.1124,           22.3852,            3.8656,            1.6277,            5.1906,           -0.6546,           -0.0474,          -22.5920,
Ref 11,5.15378e-08,,,,,,1.1863e-02,4.1657e-03,4.8343e-05,4.4078e-06,7.0217e-08,,,,,,,,,,,
Sam 11,5.19080e-08,1.19175e-02,4.2123e-03,4.9074e-05,4.5050e-06,7.2448e-08,,,,,,            4.6021,           11.1547,           15.1314,           22.0033,           28.7670,            1.6223,            5.1907,           -0.6308,           -0.4211,            1.6583,
Ref 12,5.06484e-08,,,,,,1.1863e-02,4.1658e-03,4.8341e-05,4.4082e-06,7.0631e-08,,,,,,,,,,,
Sam 12,5.09760e-08,1.19176e-02,4.2123e-03,4.9074e-05,4.5040e-06,7.2359e-08,,,,,,            4.6121,           11.1657,           15.1437,           21.8368,           31.3421,            1.6326,            5.2017,           -0.6397,           -0.6058,            4.1333,
Ref 13,4.97177e-08,,,,,,1.1863e-02,4.1658e-03,4.8343e-05,4.4073e-06,6.9680e-08,,,,,,,,,,,
Sam 13,5.01240e-08,1.19175e-02,4.2124e-03,4.9075e-05,4.5041e-06,7.0931e-08,,,,,,            4.6091,           11.1676,           15.1754,           22.0619,           16.0893,            1.6293,            5.2035,           -0.6072,           -0.3892,          -10.7175,
Ref 14,4.88696e-08,,,,,,1.1863e-02,4.1659e-03,4.8340e-05,4.4065e-06,6.9938e-08,,,,,,,,,,,
Sam 14,4.93459e-08,1.19174e-02,4.2123e-03,4.9079e-05,4.5033e-06,7.2242e-08,,,,,,            4.6000,           11.1479,           15.2473,           21.9429,           22.2159,            1.6203,            5.1840,           -0.5079,           -0.4667,           -4.7048,
Ref 15,4.80550e-08,,,,,,1.1863e-02,4.1659e-03,4.8344e-05,4.4067e-06,7.1418e-08,,,,,,,,,,,
Sam 15,4.85037e-08,1.19175e-02,4.2124e-03,4.9071e-05,4.5058e-06,7.2394e-08,,,,,,            4.6078,           11.1575,           14.9950,           22.5508,           15.7440,            1.6283,            5.1935,           -0.7736,            0.1089,          -11.0328,
Ref 16,4.72457e-08,,,,,,1.1863e-02,4.1659e-03,4.8348e-05,4.4062e-06,7.1123e-08,,,,,,,,,,,
Sam 16,4.77013e-08,1.19173e-02,4.2124e-03,4.9079e-05,4.5058e-06,7.1434e-08,,,,,,            4.5969,           11.1488,           15.1535,           22.5580,            8.4420,            1.6170,            5.1848,           -0.5980,            0.1332,          -18.1144,
Ref 17,4.64531e-08,,,,,,1.1863e-02,4.1660e-03,4.8344e-05,4.4067e-06,7.0543e-08,,,,,,,,,,,
Sam 17,4.69216e-08,1.19174e-02,4.2124e-03,4.9079e-05,4.5036e-06,7.1214e-08,,,,,,            4.6115,           11.1543,           15.2564,           21.9573,           10.6884,            1.6323,            5.1902,           -0.5169,           -0.4652,          -15.9528,
Ref 18,4.56829e-08,,,,,,1.1863e-02,4.1660e-03,4.8339e-05,4.4069e-06,7.0378e-08,,,,,,,,,,,
Sam 18,4.61681e-08,1.19173e-02,4.2125e-03,4.9081e-05,4.5032e-06,7.2299e-08,,,,,,            4.6055,           11.1555,           15.2800,           22.1545,           22.9432,            1.6259,            5.1915,           -0.4888,           -0.2748,           -4.0172,
Ref 19,4.49263e-08,,,,,,1.1863e-02,4.1660e-03,4.8346e-05,4.4043e-06,7.0982e-08,,,,,,,,,,,
Sam 19,4.54197e-08,1.19173e-02,4.2124e-03,4.9078e-05,4.5049e-06,7.1660e-08,,,,,,            4.6069,           11.1485,           15.2044,           22.8296,            4.6583,            1.6277,            5.1845,           -0.5578,            0.3994,          -21.8082,
Ref 20,4.41804e-08,,,,,,1.1863e-02,4.1660e-03,4.8340e-05,4.4045e-06,7.1679e-08,,,,,,,,,,,
Sam 20,4.46895e-08,1.19173e-02,4.2125e-03,4.9075e-05,4.5038e-06,7.2299e-08,,,,,,            4.6098,           11.1585,           15.1463,           22.3718,           11.7729,            1.6304,            5.1944,           -0.6277,           -0.0680,          -14.9032,
Ref 21,4.34557e-08,,,,,,1.1863e-02,4.1661e-03,4.8347e-05,4.4060e-06,7.1232e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.30949e-08,,,,,,1.1863e-02,4.1660e-03,4.8341e-05,4.4080e-06,6.8094e-08,
Sam 1,4.36237e-08,1.19172e-02,4.2125e-03,4.9080e-05,4.5047e-06,7.2048e-08,,,,,,            4.5998,           11.1563,           15.2883,           22.2912,           50.5150,            1.6199,            5.1923,           -0.4756,           -0.1427,           22.8324,
Ref 2,4.23962e-08,,,,,,1.1863e-02,4.1661e-03,4.8341e-05,4.4049e-06,6.9081e-08,,,,,,,,,,,
Sam 2,4.29411e-08,1.19171e-02,4.2125e-03,4.9080e-05,4.5028e-06,7.1211e-08,,,,,,            4.5942,           11.1382,           15.2681,           22.1374,           10.4296,            1.6145,            5.1743,           -0.4721,           -0.2573,          -16.1560,
Ref 3,4.17100e-08,,,,,,1.1863e-02,4.1661e-03,4.8344e-05,4.4056e-06,7.1894e-08,,,,,,,,,,,
Sam 3,4.22617e-08,1.19171e-02,4.2126e-03,4.9077e-05,4.5018e-06,7.1802e-08,,,,,,            4.5945,           11.1559,           15.1789,           21.8862,            5.5172,            1.6142,            5.1919,           -0.5773,           -0.5380,          -20.9732,
Ref 4,4.10386e-08,,,,,,1.1863e-02,4.1662e-03,4.8343e-05,4.4052e-06,7.0914e-08,,,,,,,,,,,
Sam 4,4.16049e-08,1.19171e-02,4.2126e-03,4.9081e-05,4.5055e-06,7.1332e-08,,,,,,            4.5981,           11.1500,           15.2558,           22.4982,           -3.9895,            1.6183,            5.1860,           -0.4996,            0.0723,          -30.2220,
Ref 5,4.03837e-08,,,,,,1.1863e-02,4.1662e-03,4.8344e-05,4.4076e-06,7.2334e-08,,,,,,,,,,,
Sam 5,4.09663e-08,1.19170e-02,4.2126e-03,4.9079e-05,4.5031e-06,7.3204e-08,,,,,,            4.5967,           11.1384,           15.2189,           21.8785,           37.7688,            1.6171,            5.1745,           -0.5232,           -0.5109,           10.4608,
Ref 6,3.97433e-08,,,,,,1.1863e-02,4.1663e-03,4.8343e-05,4.4058e-06,6.8717e-08,,,,,,,,,,,
Sam 6,4.03157e-08,1.19170e-02,4.2127e-03,4.9078e-05,4.5050e-06,7.1640e-08,,,,,,            4.5966,           11.1400,           15.0987,           22.2308,           17.7694,            1.6170,            5.1761,           -0.6431,           -0.1696,           -9.0155,
Ref 7,3.90997e-08,,,,,,1.1863e-02,4.1662e-03,4.8353e-05,4.4082e-06,7.2089e-08,,,,,,,,,,,
Sam 7,3.97101e-08,1.19170e-02,4.2127e-03,4.9077e-05,4.5021e-06,7.1458e-08,,,,,,            4.5970,           11.1444,           15.0830,           21.7026,           -9.1599,            1.6172,            5.1805,           -0.6631,           -0.6949,          -35.2446,
Ref 8,3.84822e-08,,,,,,1.1862e-02,4.1662e-03,4.8342e-05,4.4047e-06,7.2149e-08,,,,,,,,,,,
Sam 8,3.90977e-08,1.19170e-02,4.2127e-03,4.9078e-05,4.5023e-06,7.2792e-08,,,,,,            4.5943,           11.1521,           15.1877,           21.9253,           23.5104,            1.6141,            5.1881,           -0.5649,           -0.4921,           -3.4465,
Ref 9,3.78808e-08,,,,,,1.1862e-02,4.1663e-03,4.8345e-05,4.4067e-06,7.0075e-08,,,,,,,,,,,
Sam 9,3.85237e-08,1.19169e-02,4.2127e-03,4.9083e-05,4.5016e-06,7.0479e-08,,,,,,            4.5948,           11.1450,           15.1617,           21.4885,            0.9308,            1.6149,            5.1811,           -0.5841,           -0.9054,          -25.4185,
Ref 10,3.72956e-08,,,,,,1.1862e-02,4.1663e-03,4.8354e-05,4.4071e-06,7.0757e-08,,,,,,,,,,,
Sam 10,3.79406e-08,1.19170e-02,4.2127e-03,4.9082e-05,4.5011e-06,7.1044e-08,,,,,,            4.6049,           11.1504,           15.1184,           21.6196,           12.8115,            1.6255,            5.1864,           -0.6423,           -0.7879,          -13.8714,
Ref 11,3.67232e-08,,,,,,1.1862e-02,4.1663e-03,4.8349e-05,4.4045e-06,6.9523e-08,,,,,,,,,,,
Sam 11,3.73761e-08,1.19169e-02,4.2127e-03,4.9084e-05,4.5038e-06,7.1791e-08,,,,,,            4.5988,           11.1291,           15.2445,           22.5683,            0.2479,            1.6196,            5.1652,           -0.4910,            0.1823,          -26.0572,
Ref 12,3.61516e-08,,,,,,1.1862e-02,4.1664e-03,4.8345e-05,4.4043e-06,7.4060e-08,,,,,,,,,,,
Sam 12,3.68342e-08,1.19167e-02,4.2127e-03,4.9084e-05,4.5013e-06,7.2178e-08,,,,,,            4.5889,           11.1212,           15.2502,           21.9432,            4.0547,            1.6094,            5.1574,           -0.4677,           -0.4137,          -22.3255,
Ref 13,3.56341e-08,,,,,,1.1862e-02,4.1664e-03,4.8348e-05,4.4051e-06,6.9681e-08,,,,,,,,,,,
Sam 13,3.62938e-08,1.19168e-02,4.2128e-03,4.9081e-05,4.5024e-06,7.0045e-08,,,,,,            4.5949,           11.1422,           15.1525,           21.9682,          -15.1115,            1.6151,            5.1783,           -0.5905,           -0.4308,          -41.0333,
Ref 14,3.51023e-08,,,,,,1.1862e-02,4.1664e-03,4.8348e-05,4.4062e-06,7.2581e-08,,,,,,,,,,,
Sam 14,3.57669e-08,1.19167e-02,4.2128e-03,4.9085e-05,4.5010e-06,7.1762e-08,,,,,,            4.5909,           11.1308,           15.2293,           21.9189,            1.6078,            1.6113,            5.1670,           -0.4998,           -0.4564,          -24.7284,
Ref 15,3.45625e-08,,,,,,1.1862e-02,4.1664e-03,4.8350e-05,4.4026e-06,7.0698e-08,,,,,,,,,,,
Sam 15,3.52421e-08,1.19167e-02,4.2128e-03,4.9084e-05,4.5028e-06,7.1633e-08,,,,,,            4.5896,           11.1331,           15.1974,           22.2447,           -3.7090,            1.6098,            5.1692,           -0.5320,           -0.1422,          -29.9084,
Ref 16,3.40462e-08,,,,,,1.1862e-02,4.1664e-03,4.8349e-05,4.4070e-06,7.3120e-08,,,,,,,,,,,
Sam 16,3.47304e-08,1.19166e-02,4.2128e-03,4.9089e-05,4.5017e-06,7.1067e-08,,,,,,            4.5853,           11.1266,           15.3132,           21.9219,          -21.0434,            1.6054,            5.1628,           -0.4073,           -0.4451,          -46.7706,
Ref 17,3.35514e-08,,,,,,1.1862e-02,4.1665e-03,4.8349e-05,4.4033e-06,7.2061e-08,,,,,,,,,,,
Sam 17,3.42363e-08,1.19167e-02,4.2129e-03,4.9088e-05,4.5003e-06,7.1935e-08,,,,,,            4.6021,           11.1321,           15.2102,           22.2830,           14.6679,            1.6231,            5.1682,           -0.5312,           -0.1028,          -12.0257,
Ref 18,3.30125e-08,,,,,,1.1862e-02,4.1666e-03,4.8356e-05,4.4011e-06,6.9711e-08,,,,,,,,,,,
Sam 18,3.37311e-08,1.19166e-02,4.2129e-03,4.9082e-05,4.5010e-06,7.2584e-08,,,,,,            4.5904,           11.1201,           15.0947,           22.1487,           45.8657,            1.6111,            5.1563,           -0.6213,           -0.2104,           18.3877,
Ref 19,3.25403e-08,,,,,,1.1862e-02,4.1666e-03,4.8349e-05,4.4059e-06,6.9085e-08,,,,,,,,,,,
Sam 19,3.32187e-08,1.19168e-02,4.2130e-03,4.9086e-05,4.5035e-06,7.0226e-08,,,,,,            4.6041,           11.1344,           15.2308,           22.4194,            5.2911,            1.6251,            5.1705,           -0.5152,            0.0261,          -21.1623,
Ref 20,3.20601e-08,,,,,,1.1862e-02,4.1666e-03,4.8350e-05,4.4037e-06,7.0639e-08,,,,,,,,,,,
Sam 20,3.27612e-08,1.19167e-02,4.2130e-03,4.9081e-05,4.4981e-06,7.2123e-08,,,,,,            4.6044,           11.1243,           15.1359,           21.3475,           29.3582,            1.6258,            5.1605,           -0.5992,           -1.0024,            2.2907,
Ref 21,3.15910e-08,,,,,,1.1862e-02,4.1666e-03,4.8348e-05,4.4045e-06,6.9486e-08,,,,,,,,,,,


