Nu Stable Isotope Analysis Program
Data Collected on Monday, October 30, 2023 at 01:13 with Stable 1.71.5 on PS019,Reanalyzed on Monday, October 30, 2023 at 02:12 with Stable 1.71.5 on PS019

Data File = Data_20748 ETH-04.txt,        Sample Weight = 410,                      Vial Location = 39,                       Initial Sam Beam = 2.5030e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6464e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01919
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.23072e-08,,,,,,1.1863e-02,4.1647e-03,4.8327e-05,4.4085e-06,6.7131e-08,
Sam 1,8.15884e-08,1.17753e-02,4.1416e-03,4.7680e-05,4.3583e-06,6.7895e-08,,,,,,           -7.4092,           -5.5820,          -13.4601,          -11.4558,            2.9620,          -10.5813,          -11.4388,           -0.3782,           -0.3266,           22.1184,
Ref 2,8.07850e-08,,,,,,1.1864e-02,4.1649e-03,4.8335e-05,4.4091e-06,6.8270e-08,,,,,,,,,,,
Sam 2,8.00087e-08,1.17755e-02,4.1417e-03,4.7685e-05,4.3598e-06,6.7370e-08,,,,,,           -7.4182,           -5.5796,          -13.4293,          -11.1632,           -6.1466,          -10.5910,          -11.4364,           -0.3401,           -0.0355,           12.8407,
Ref 3,7.91484e-08,,,,,,1.1864e-02,4.1650e-03,4.8333e-05,4.4090e-06,6.7293e-08,,,,,,,,,,,
Sam 3,7.84162e-08,1.17755e-02,4.1418e-03,4.7684e-05,4.3616e-06,6.8134e-08,,,,,,           -7.4202,           -5.5858,          -13.4031,          -10.8473,            6.7720,          -10.5929,          -11.4426,           -0.3053,            0.2965,           26.0209,
Ref 4,7.75306e-08,,,,,,1.1864e-02,4.1651e-03,4.8331e-05,4.4098e-06,6.8066e-08,,,,,,,,,,,
Sam 4,7.68292e-08,1.17755e-02,4.1419e-03,4.7687e-05,4.3602e-06,6.8098e-08,,,,,,           -7.4184,           -5.5774,          -13.3984,          -11.1692,           -1.1809,          -10.5913,          -11.4342,           -0.3107,           -0.0461,           17.8969,
Ref 5,7.59307e-08,,,,,,1.1864e-02,4.1651e-03,4.8338e-05,4.4091e-06,6.8294e-08,,,,,,,,,,,
Sam 5,7.56438e-08,1.17752e-02,4.1416e-03,4.7680e-05,4.3593e-06,6.7929e-08,,,,,,           -7.4286,           -5.6175,          -13.5979,          -11.3038,           -9.5365,          -10.6007,          -11.4741,           -0.4627,           -0.1015,            9.4730,
Ref 6,7.47955e-08,,,,,,1.1863e-02,4.1648e-03,4.8336e-05,4.4092e-06,6.8876e-08,,,,,,,,,,,
Sam 6,7.38816e-08,1.17755e-02,4.1418e-03,4.7684e-05,4.3597e-06,6.7591e-08,,,,,,           -7.3992,           -5.5575,          -13.4657,          -11.2610,          -10.9742,          -10.5715,          -11.4144,           -0.4187,           -0.1789,            7.8561,
Ref 7,7.29841e-08,,,,,,1.1863e-02,4.1651e-03,4.8334e-05,4.4094e-06,6.7793e-08,,,,,,,,,,,
Sam 7,7.24510e-08,1.17754e-02,4.1419e-03,4.7683e-05,4.3592e-06,6.7220e-08,,,,,,           -7.4227,           -5.5852,          -13.4732,          -11.4286,          -10.6152,          -10.5956,          -11.4420,           -0.3743,           -0.2926,            8.3028,
Ref 8,7.15193e-08,,,,,,1.1863e-02,4.1652e-03,4.8334e-05,4.4097e-06,6.8094e-08,,,,,,,,,,,
Sam 8,7.10302e-08,1.17754e-02,4.1419e-03,4.7686e-05,4.3589e-06,6.8454e-08,,,,,,           -7.4218,           -5.5903,          -13.4131,          -11.4070,            1.7613,          -10.5945,          -11.4470,           -0.3094,           -0.2607,           20.9251,
Ref 9,7.01084e-08,,,,,,1.1863e-02,4.1653e-03,4.8335e-05,4.4088e-06,6.8579e-08,,,,,,,,,,,
Sam 9,6.96551e-08,1.17754e-02,4.1420e-03,4.7688e-05,4.3595e-06,6.8009e-08,,,,,,           -7.4117,           -5.5939,          -13.3838,          -11.1329,          -10.3803,          -10.5835,          -11.4506,           -0.2867,            0.0238,            8.5474,
Ref 10,6.87262e-08,,,,,,1.1863e-02,4.1652e-03,4.8335e-05,4.4082e-06,6.8868e-08,,,,,,,,,,,
Sam 10,6.83207e-08,1.17754e-02,4.1420e-03,4.7686e-05,4.3595e-06,6.8842e-08,,,,,,           -7.4160,           -5.5923,          -13.4478,          -11.0470,            1.5897,          -10.5882,          -11.4490,           -0.3486,            0.1075,           20.7480,
Ref 11,6.73753e-08,,,,,,1.1863e-02,4.1652e-03,4.8338e-05,4.4081e-06,6.8595e-08,,,,,,,,,,,
Sam 11,6.70227e-08,1.17753e-02,4.1420e-03,4.7691e-05,4.3592e-06,6.8399e-08,,,,,,           -7.4232,           -5.5818,          -13.3891,          -11.0899,           -8.2403,          -10.5962,          -11.4385,           -0.2921,            0.0429,           10.7166,
Ref 12,6.60659e-08,,,,,,1.1863e-02,4.1653e-03,4.8338e-05,4.4079e-06,6.9346e-08,,,,,,,,,,,
Sam 12,6.57694e-08,1.17752e-02,4.1420e-03,4.7685e-05,4.3591e-06,6.9071e-08,,,,,,           -7.4259,           -5.5910,          -13.4542,          -11.1615,            1.6035,          -10.5988,          -11.4477,           -0.3461,           -0.0109,           20.7702,
Ref 13,6.47997e-08,,,,,,1.1863e-02,4.1653e-03,4.8332e-05,4.4086e-06,6.8568e-08,,,,,,,,,,,
Sam 13,6.45355e-08,1.17753e-02,4.1421e-03,4.7686e-05,4.3600e-06,6.8660e-08,,,,,,           -7.4135,           -5.5812,          -13.4473,          -11.1696,           -9.1290,          -10.5859,          -11.4380,           -0.3617,           -0.0389,            9.7993,
Ref 14,6.36144e-08,,,,,,1.1863e-02,4.1653e-03,4.8341e-05,4.4098e-06,7.0031e-08,,,,,,,,,,,
Sam 14,6.33777e-08,1.17752e-02,4.1420e-03,4.7684e-05,4.3602e-06,6.9020e-08,,,,,,           -7.4240,           -5.5978,          -13.5181,          -10.9986,           -5.0720,          -10.5965,          -11.4545,           -0.4060,            0.1675,           13.9787,
Ref 15,6.24001e-08,,,,,,1.1863e-02,4.1654e-03,4.8334e-05,4.4076e-06,6.8700e-08,,,,,,,,,,,
Sam 15,6.21841e-08,1.17752e-02,4.1421e-03,4.7687e-05,4.3611e-06,6.8594e-08,,,,,,           -7.4245,           -5.6092,          -13.4582,          -10.5595,           -8.1263,          -10.5966,          -11.4658,           -0.3336,            0.6344,           10.8890,
Ref 16,6.12109e-08,,,,,,1.1863e-02,4.1656e-03,4.8341e-05,4.4076e-06,6.9620e-08,,,,,,,,,,,
Sam 16,6.10162e-08,1.17752e-02,4.1422e-03,4.7691e-05,4.3582e-06,6.8430e-08,,,,,,           -7.4201,           -5.5931,          -13.4570,          -11.2878,          -12.7005,          -10.5926,          -11.4498,           -0.3528,           -0.1344,            6.1905,
Ref 17,6.00430e-08,,,,,,1.1863e-02,4.1654e-03,4.8342e-05,4.4083e-06,6.8994e-08,,,,,,,,,,,
Sam 17,5.99200e-08,1.17752e-02,4.1422e-03,4.7690e-05,4.3583e-06,6.8210e-08,,,,,,           -7.4179,           -5.5749,          -13.4274,          -11.2354,          -15.6929,          -10.5908,          -11.4317,           -0.3431,           -0.1180,            3.1024,
Ref 18,5.90208e-08,,,,,,1.1863e-02,4.1654e-03,4.8335e-05,4.4073e-06,6.9607e-08,,,,,,,,,,,
Sam 18,5.88311e-08,1.17751e-02,4.1422e-03,4.7687e-05,4.3581e-06,6.8187e-08,,,,,,           -7.4195,           -5.5765,          -13.4058,          -11.4207,          -23.7375,          -10.5924,          -11.4333,           -0.3181,           -0.3021,           -5.0911,
Ref 19,5.79374e-08,,,,,,1.1863e-02,4.1654e-03,4.8335e-05,4.4096e-06,7.0088e-08,,,,,,,,,,,
Sam 19,5.78877e-08,1.17750e-02,4.1422e-03,4.7686e-05,4.3575e-06,6.8532e-08,,,,,,           -7.4138,           -5.5907,          -13.4325,          -11.5724,          -15.6474,          -10.5859,          -11.4474,           -0.3370,           -0.4271,            3.1756,
Ref 20,5.68997e-08,,,,,,1.1863e-02,4.1654e-03,4.8336e-05,4.4075e-06,6.9147e-08,,,,,,,,,,,
Sam 20,5.68190e-08,1.17750e-02,4.1422e-03,4.7688e-05,4.3581e-06,6.8402e-08,,,,,,           -7.4147,           -5.5888,          -13.4074,          -11.0958,           -7.3557,          -10.5870,          -11.4455,           -0.3125,            0.0510,           11.6230,
Ref 21,5.58453e-08,,,,,,1.1863e-02,4.1655e-03,4.8335e-05,4.4065e-06,6.8666e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.53334e-08,,,,,,1.1863e-02,4.1655e-03,4.8341e-05,4.4084e-06,6.8164e-08,
Sam 1,5.52530e-08,1.17751e-02,4.1423e-03,4.7692e-05,4.3583e-06,6.8638e-08,,,,,,           -7.4203,           -5.5830,          -13.3745,          -11.4287,           -8.5168,          -10.5931,          -11.4397,           -0.2790,           -0.2973,           10.4341,
Ref 2,5.42830e-08,,,,,,1.1863e-02,4.1656e-03,4.8335e-05,4.4089e-06,7.0313e-08,,,,,,,,,,,
Sam 2,5.42862e-08,1.17750e-02,4.1423e-03,4.7692e-05,4.3586e-06,6.8760e-08,,,,,,           -7.4227,           -5.5852,          -13.3245,          -11.3587,          -18.6387,          -10.5956,          -11.4420,           -0.2237,           -0.2220,            0.1258,
Ref 3,5.32891e-08,,,,,,1.1863e-02,4.1656e-03,4.8336e-05,4.4083e-06,6.9816e-08,,,,,,,,,,,
Sam 3,5.33004e-08,1.17751e-02,4.1424e-03,4.7689e-05,4.3590e-06,6.8989e-08,,,,,,           -7.4152,           -5.5709,          -13.4233,          -11.2001,           -0.5125,          -10.5881,          -11.4277,           -0.3457,           -0.0904,           18.5616,
Ref 4,5.23737e-08,,,,,,1.1863e-02,4.1657e-03,4.8339e-05,4.4083e-06,6.8219e-08,,,,,,,,,,,
Sam 4,5.24785e-08,1.17749e-02,4.1424e-03,4.7688e-05,4.3595e-06,6.8158e-08,,,,,,           -7.4277,           -5.5806,          -13.4131,          -11.0070,           -9.3013,          -10.6010,          -11.4374,           -0.3129,            0.1244,            9.6379,
Ref 5,5.15214e-08,,,,,,1.1863e-02,4.1656e-03,4.8335e-05,4.4078e-06,6.9386e-08,,,,,,,,,,,
Sam 5,5.15742e-08,1.17749e-02,4.1424e-03,4.7690e-05,4.3591e-06,6.9100e-08,,,,,,           -7.4219,           -5.5863,          -13.3980,          -10.9991,           -5.1612,          -10.5946,          -11.4430,           -0.2980,            0.1437,           13.8621,
Ref 6,5.06106e-08,,,,,,1.1863e-02,4.1657e-03,4.8340e-05,4.4074e-06,6.9532e-08,,,,,,,,,,,
Sam 6,5.06995e-08,1.17750e-02,4.1425e-03,4.7693e-05,4.3596e-06,6.9396e-08,,,,,,           -7.4085,           -5.5796,          -13.4109,          -10.6537,           -3.8262,          -10.5806,          -11.4364,           -0.3315,            0.4797,           15.1948,
Ref 7,4.97330e-08,,,,,,1.1863e-02,4.1657e-03,4.8344e-05,4.4057e-06,6.9795e-08,,,,,,,,,,,
Sam 7,4.98429e-08,1.17749e-02,4.1425e-03,4.7690e-05,4.3582e-06,6.7945e-08,,,,,,           -7.4110,           -5.5765,          -13.4390,          -11.0241,          -29.1879,          -10.5834,          -11.4333,           -0.3605,            0.0989,          -10.6546,
Ref 8,4.88751e-08,,,,,,1.1863e-02,4.1657e-03,4.8334e-05,4.4079e-06,7.0183e-08,,,,,,,,,,,
Sam 8,4.90057e-08,1.17749e-02,4.1425e-03,4.7692e-05,4.3572e-06,6.8314e-08,,,,,,           -7.4139,           -5.5803,          -13.3972,          -11.3946,          -20.6839,          -10.5863,          -11.4370,           -0.3114,           -0.2682,           -1.9778,
Ref 9,4.80369e-08,,,,,,1.1863e-02,4.1658e-03,4.8345e-05,4.4070e-06,6.9323e-08,,,,,,,,,,,
Sam 9,4.81959e-08,1.17748e-02,4.1425e-03,4.7694e-05,4.3595e-06,6.9102e-08,,,,,,           -7.4215,           -5.5901,          -13.4642,          -10.8568,          -13.2355,          -10.5941,          -11.4469,           -0.3617,            0.2955,            5.6408,
Ref 10,4.72247e-08,,,,,,1.1863e-02,4.1658e-03,4.8345e-05,4.4078e-06,7.0746e-08,,,,,,,,,,,
Sam 10,4.73999e-08,1.17748e-02,4.1426e-03,4.7694e-05,4.3588e-06,6.8930e-08,,,,,,           -7.4189,           -5.5564,          -13.4487,          -10.9812,          -14.3100,          -10.5925,          -11.4133,           -0.3820,            0.1018,            4.4758,
Ref 11,4.64332e-08,,,,,,1.1863e-02,4.1658e-03,4.8344e-05,4.4065e-06,6.9102e-08,,,,,,,,,,,
Sam 11,4.66288e-08,1.17748e-02,4.1426e-03,4.7695e-05,4.3581e-06,6.9200e-08,,,,,,           -7.4137,           -5.5808,          -13.4337,          -11.1362,            2.0994,          -10.5861,          -11.4376,           -0.3481,           -0.0059,           21.2416,
Ref 12,4.56555e-08,,,,,,1.1863e-02,4.1658e-03,4.8344e-05,4.4078e-06,6.9007e-08,,,,,,,,,,,
Sam 12,4.58742e-08,1.17747e-02,4.1426e-03,4.7697e-05,4.3583e-06,6.9477e-08,,,,,,           -7.4163,           -5.5714,          -13.4367,          -11.2858,            8.8149,          -10.5893,          -11.4282,           -0.3576,           -0.1760,           28.0692,
Ref 13,4.48998e-08,,,,,,1.1863e-02,4.1658e-03,4.8349e-05,4.4083e-06,6.8730e-08,,,,,,,,,,,
Sam 13,4.51342e-08,1.17747e-02,4.1426e-03,4.7688e-05,4.3587e-06,6.8983e-08,,,,,,           -7.4155,           -5.5799,          -13.5715,          -11.1605,            2.3043,          -10.5881,          -11.4366,           -0.4868,           -0.0323,           21.4505,
Ref 14,4.41658e-08,,,,,,1.1863e-02,4.1659e-03,4.8338e-05,4.4074e-06,6.8921e-08,,,,,,,,,,,
Sam 14,4.44162e-08,1.17746e-02,4.1426e-03,4.7700e-05,4.3590e-06,6.9076e-08,,,,,,           -7.4225,           -5.5787,          -13.2900,          -10.9707,            8.8411,          -10.5956,          -11.4355,           -0.1953,            0.1574,           28.1177,
Ref 15,4.34464e-08,,,,,,1.1863e-02,4.1659e-03,4.8346e-05,4.4073e-06,6.8013e-08,,,,,,,,,,,
Sam 15,4.37113e-08,1.17746e-02,4.1426e-03,4.7693e-05,4.3574e-06,6.9396e-08,,,,,,           -7.4138,           -5.5829,          -13.5006,          -11.1446,            2.7759,          -10.5862,          -11.4397,           -0.4135,           -0.0101,           21.9355,
Ref 16,4.27409e-08,,,,,,1.1863e-02,4.1659e-03,4.8346e-05,4.4058e-06,7.0415e-08,,,,,,,,,,,
Sam 16,4.30156e-08,1.17746e-02,4.1427e-03,4.7696e-05,4.3553e-06,6.9874e-08,,,,,,           -7.4113,           -5.5734,          -13.4132,          -11.6507,           -9.1568,          -10.5838,          -11.4303,           -0.3371,           -0.5410,            9.7531,
Ref 17,4.20486e-08,,,,,,1.1863e-02,4.1659e-03,4.8343e-05,4.4075e-06,7.0626e-08,,,,,,,,,,,
Sam 17,4.23363e-08,1.17746e-02,4.1428e-03,4.7697e-05,4.3601e-06,6.9365e-08,,,,,,           -7.4096,           -5.5654,          -13.3601,          -10.5993,           -7.5104,          -10.5823,          -11.4223,           -0.2930,            0.5061,           11.4131,
Ref 18,4.13741e-08,,,,,,1.1863e-02,4.1660e-03,4.8343e-05,4.4060e-06,6.9141e-08,,,,,,,,,,,
Sam 18,4.16750e-08,1.17746e-02,4.1428e-03,4.7689e-05,4.3557e-06,6.9711e-08,,,,,,           -7.4126,           -5.5756,          -13.5412,          -11.5281,           -3.2139,          -10.5851,          -11.4325,           -0.4633,           -0.4126,           15.8152,
Ref 19,4.07083e-08,,,,,,1.1862e-02,4.1660e-03,4.8345e-05,4.4071e-06,7.0742e-08,,,,,,,,,,,
Sam 19,4.10211e-08,1.17744e-02,4.1428e-03,4.7697e-05,4.3591e-06,6.9745e-08,,,,,,           -7.4241,           -5.5682,          -13.3663,          -10.9432,          -16.0055,          -10.5977,          -11.4250,           -0.2813,            0.1640,            2.7771,
Ref 20,4.00586e-08,,,,,,1.1862e-02,4.1660e-03,4.8342e-05,4.4075e-06,7.1019e-08,,,,,,,,,,,
Sam 20,4.04184e-08,1.17743e-02,4.1428e-03,4.7696e-05,4.3573e-06,6.9644e-08,,,,,,           -7.4241,           -5.5723,          -13.3448,          -11.5820,          -14.6874,          -10.5975,          -11.4291,           -0.2556,           -0.4738,            4.1285,
Ref 21,3.94517e-08,,,,,,1.1862e-02,4.1660e-03,4.8341e-05,4.4093e-06,7.0340e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.91407e-08,,,,,,1.1862e-02,4.1661e-03,4.8349e-05,4.4068e-06,6.8285e-08,
Sam 1,3.94852e-08,1.17743e-02,4.1428e-03,4.7702e-05,4.3569e-06,6.8713e-08,,,,,,           -7.4155,           -5.5801,          -13.3637,          -11.0360,           -3.9182,          -10.5880,          -11.4369,           -0.2760,            0.0940,           15.1095,
Ref 2,3.85248e-08,,,,,,1.1862e-02,4.1661e-03,4.8347e-05,4.4042e-06,6.9693e-08,,,,,,,,,,,
Sam 2,3.88608e-08,1.17743e-02,4.1428e-03,4.7696e-05,4.3573e-06,7.0139e-08,,,,,,           -7.4145,           -5.5766,          -13.4369,          -10.8362,            0.4123,          -10.5871,          -11.4334,           -0.3546,            0.2891,           19.5147,
Ref 3,3.78898e-08,,,,,,1.1862e-02,4.1660e-03,4.8344e-05,4.4059e-06,7.0535e-08,,,,,,,,,,,
Sam 3,3.82878e-08,1.17743e-02,4.1428e-03,4.7696e-05,4.3567e-06,6.9942e-08,,,,,,           -7.4126,           -5.5874,          -13.4425,          -11.1894,           -7.4124,          -10.5847,          -11.4441,           -0.3516,           -0.0464,           11.5601,
Ref 4,3.72934e-08,,,,,,1.1862e-02,4.1662e-03,4.8347e-05,4.4061e-06,7.0392e-08,,,,,,,,,,,
Sam 4,3.76918e-08,1.17743e-02,4.1430e-03,4.7706e-05,4.3557e-06,6.8742e-08,,,,,,           -7.4120,           -5.5748,          -13.2364,          -11.4662,          -18.4463,          -10.5845,          -11.4316,           -0.1559,           -0.3517,            0.2897,
Ref 5,3.67277e-08,,,,,,1.1862e-02,4.1662e-03,4.8344e-05,4.4065e-06,6.9670e-08,,,,,,,,,,,
Sam 5,3.71389e-08,1.17742e-02,4.1429e-03,4.7701e-05,4.3581e-06,6.7970e-08,,,,,,           -7.4185,           -5.5803,          -13.2797,          -10.9306,          -26.5857,          -10.5912,          -11.4371,           -0.1876,            0.2011,           -7.9874,
Ref 6,3.61721e-08,,,,,,1.1862e-02,4.1662e-03,4.8342e-05,4.4061e-06,6.9984e-08,,,,,,,,,,,
Sam 6,3.65724e-08,1.17743e-02,4.1429e-03,4.7698e-05,4.3563e-06,6.8925e-08,,,,,,           -7.4176,           -5.5832,          -13.3290,          -11.2448,          -13.1697,          -10.5902,          -11.4400,           -0.2355,           -0.1108,            5.6899,
Ref 7,3.56304e-08,,,,,,1.1862e-02,4.1662e-03,4.8343e-05,4.4056e-06,6.9703e-08,,,,,,,,,,,
Sam 7,3.60541e-08,1.17742e-02,4.1429e-03,4.7698e-05,4.3569e-06,6.9301e-08,,,,,,           -7.4156,           -5.5882,          -13.3733,          -11.1542,           -3.6264,          -10.5879,          -11.4450,           -0.2776,           -0.0092,           15.4234,
Ref 8,3.50928e-08,,,,,,1.1862e-02,4.1662e-03,4.8346e-05,4.4065e-06,6.9400e-08,,,,,,,,,,,
Sam 8,3.55233e-08,1.17741e-02,4.1430e-03,4.7702e-05,4.3543e-06,6.9400e-08,,,,,,           -7.4202,           -5.5575,          -13.3387,          -11.9408,            1.9658,          -10.5938,          -11.4143,           -0.2682,           -0.8665,           21.0653,
Ref 9,3.45573e-08,,,,,,1.1862e-02,4.1662e-03,4.8348e-05,4.4073e-06,6.9125e-08,,,,,,,,,,,
Sam 9,3.49905e-08,1.17743e-02,4.1430e-03,4.7694e-05,4.3574e-06,6.8709e-08,,,,,,           -7.4105,           -5.5591,          -13.5125,          -11.1517,           -9.9896,          -10.5835,          -11.4160,           -0.4526,           -0.0651,            8.8750,
Ref 10,3.40340e-08,,,,,,1.1862e-02,4.1662e-03,4.8347e-05,4.4058e-06,6.9684e-08,,,,,,,,,,,
Sam 10,3.44736e-08,1.17742e-02,4.1430e-03,4.7701e-05,4.3573e-06,6.8598e-08,,,,,,           -7.4090,           -5.5756,          -13.3558,          -10.8728,           -4.8499,          -10.5813,          -11.4325,           -0.2791,            0.2501,           14.1441,
Ref 11,3.35385e-08,,,,,,1.1862e-02,4.1662e-03,4.8346e-05,4.4046e-06,6.8170e-08,,,,,,,,,,,
Sam 11,3.39858e-08,1.17741e-02,4.1431e-03,4.7701e-05,4.3574e-06,7.0314e-08,,,,,,           -7.4099,           -5.5548,          -13.3641,          -10.6856,            4.7378,          -10.5830,          -11.4117,           -0.3072,            0.3976,           23.8737,
Ref 12,3.30381e-08,,,,,,1.1862e-02,4.1663e-03,4.8348e-05,4.4043e-06,7.1822e-08,,,,,,,,,,,
Sam 12,3.35017e-08,1.17740e-02,4.1431e-03,4.7696e-05,4.3577e-06,6.8154e-08,,,,,,           -7.4257,           -5.5844,          -13.4822,          -10.6274,          -39.1502,          -10.5988,          -11.4412,           -0.3811,            0.5160,          -20.7762,
Ref 13,3.25369e-08,,,,,,1.1862e-02,4.1663e-03,4.8348e-05,4.4047e-06,7.0027e-08,,,,,,,,,,,
Sam 13,3.30053e-08,1.17740e-02,4.1432e-03,4.7697e-05,4.3555e-06,6.9678e-08,,,,,,           -7.4162,           -5.5636,          -13.5155,          -11.2481,           -0.7350,          -10.5894,          -11.4205,           -0.4454,           -0.1536,           18.3213,
Ref 14,3.20659e-08,,,,,,1.1862e-02,4.1664e-03,4.8353e-05,4.4054e-06,6.9427e-08,,,,,,,,,,,
Sam 14,3.25281e-08,1.17740e-02,4.1432e-03,4.7703e-05,4.3568e-06,7.0189e-08,,,,,,           -7.4169,           -5.5744,          -13.4737,          -11.1808,            2.1573,          -10.5898,          -11.4312,           -0.3916,           -0.0639,           21.2912,
Ref 15,3.15782e-08,,,,,,1.1862e-02,4.1665e-03,4.8357e-05,4.4068e-06,7.0658e-08,,,,,,,,,,,
Sam 15,3.20717e-08,1.17740e-02,4.1432e-03,4.7712e-05,4.3583e-06,6.8751e-08,,,,,,           -7.4181,           -5.5664,          -13.3570,          -11.0770,          -30.9811,          -10.5913,          -11.4233,           -0.2799,            0.0251,          -12.4941,
Ref 16,3.11248e-08,,,,,,1.1862e-02,4.1664e-03,4.8360e-05,4.4075e-06,7.1245e-08,,,,,,,,,,,
Sam 16,3.16198e-08,1.17740e-02,4.1432e-03,4.7706e-05,4.3548e-06,6.8800e-08,,,,,,           -7.4183,           -5.5779,          -13.4218,          -11.9260,          -17.2692,          -10.5912,          -11.4346,           -0.3341,           -0.8105,            1.5022,
Ref 17,3.06702e-08,,,,,,1.1862e-02,4.1665e-03,4.8351e-05,4.4072e-06,6.8756e-08,,,,,,,,,,,
Sam 17,3.11695e-08,1.17742e-02,4.1433e-03,4.7713e-05,4.3570e-06,6.8440e-08,,,,,,           -7.4055,           -5.5731,          -13.2346,          -11.3907,          -12.6859,          -10.5777,          -11.4299,           -0.1624,           -0.2787,            6.1498,
Ref 18,3.02306e-08,,,,,,1.1862e-02,4.1666e-03,4.8355e-05,4.4072e-06,6.9892e-08,,,,,,,,,,,
Sam 18,3.07369e-08,1.17740e-02,4.1433e-03,4.7706e-05,4.3570e-06,6.7269e-08,,,,,,           -7.4199,           -5.5833,          -13.3698,          -11.5010,          -46.4966,          -10.5927,          -11.4400,           -0.2744,           -0.3698,          -28.2714,
Ref 19,2.97916e-08,,,,,,1.1862e-02,4.1666e-03,4.8351e-05,4.4081e-06,7.1216e-08,,,,,,,,,,,
Sam 19,3.02968e-08,1.17740e-02,4.1433e-03,4.7712e-05,4.3583e-06,6.8470e-08,,,,,,           -7.4120,           -5.5784,          -13.2663,          -10.8126,           -9.5700,          -10.5845,          -11.4352,           -0.1825,            0.3165,            9.3428,
Ref 20,2.93531e-08,,,,,,1.1862e-02,4.1666e-03,4.8357e-05,4.4038e-06,6.7016e-08,,,,,,,,,,,
