Nu Stable Isotope Analysis Program
Data Collected on Monday, October 30, 2023 at 06:45 with Stable 1.71.5 on PS019,Reanalyzed on Monday, October 30, 2023 at 07:44 with Stable 1.71.5 on PS019

Data File = Data_20752 MDS 220.5.txt,     Sample Weight = 411,                      Vial Location = 43,                       Initial Sam Beam = 2.5028e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1252e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01919
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.61943e-08,,,,,,1.1863e-02,4.1648e-03,4.8332e-05,4.4074e-06,6.7384e-08,
Sam 1,7.54497e-08,1.18295e-02,4.1897e-03,4.8450e-05,4.4595e-06,6.8163e-08,,,,,,           -2.8283,            5.9704,            2.4024,           11.5109,           10.1080,           -6.1066,            0.0477,           -0.5401,           -0.4600,            1.3594,
Ref 2,7.48763e-08,,,,,,1.1863e-02,4.1650e-03,4.8336e-05,4.4102e-06,6.7579e-08,,,,,,,,,,,
Sam 2,7.37907e-08,1.18333e-02,4.1911e-03,4.8448e-05,4.4525e-06,6.6582e-08,,,,,,           -2.5278,            6.2480,            2.2590,            9.6204,          -14.9910,           -5.7963,            0.3233,           -1.2646,           -2.8786,          -24.3648,
Ref 3,7.34264e-08,,,,,,1.1863e-02,4.1651e-03,4.8341e-05,4.4099e-06,6.7611e-08,,,,,,,,,,,
Sam 3,7.31560e-08,1.18293e-02,4.1895e-03,4.8453e-05,4.4620e-06,6.9110e-08,,,,,,           -2.8693,            5.8582,            2.3654,           11.9129,           17.7925,           -6.1463,           -0.0639,           -0.4249,            0.1603,            9.2429,
Ref 4,7.21786e-08,,,,,,1.1863e-02,4.1650e-03,4.8335e-05,4.4091e-06,6.8197e-08,,,,,,,,,,,
Sam 4,7.16717e-08,1.18295e-02,4.1897e-03,4.8459e-05,4.4618e-06,6.8572e-08,,,,,,           -2.8400,            5.9231,            2.5531,           11.7795,            6.5535,           -6.1174,            0.0007,           -0.3315,           -0.1006,           -2.0596,
Ref 5,7.07655e-08,,,,,,1.1863e-02,4.1651e-03,4.8336e-05,4.4106e-06,6.8053e-08,,,,,,,,,,,
Sam 5,7.04004e-08,1.18294e-02,4.1896e-03,4.8456e-05,4.4628e-06,6.8990e-08,,,,,,           -2.8454,            5.8692,            2.4803,           11.9687,            8.0019,           -6.1213,           -0.0529,           -0.3458,            0.1935,           -0.5126,
Ref 6,6.94037e-08,,,,,,1.1863e-02,4.1651e-03,4.8337e-05,4.4094e-06,6.8840e-08,,,,,,,,,,,
Sam 6,6.90280e-08,1.18290e-02,4.1895e-03,4.8455e-05,4.4609e-06,6.9427e-08,,,,,,           -2.8733,            5.8685,            2.4514,           11.5790,           16.3360,           -6.1510,           -0.0536,           -0.3450,           -0.1902,            7.7826,
Ref 7,6.80597e-08,,,,,,1.1863e-02,4.1651e-03,4.8336e-05,4.4102e-06,6.7772e-08,,,,,,,,,,,
Sam 7,6.75348e-08,1.18296e-02,4.1898e-03,4.8455e-05,4.4601e-06,6.9386e-08,,,,,,           -2.8238,            5.9211,            2.4865,           11.3783,           16.6266,           -6.1001,           -0.0013,           -0.4128,           -0.4932,            7.9137,
Ref 8,6.67379e-08,,,,,,1.1863e-02,4.1652e-03,4.8333e-05,4.4096e-06,6.8741e-08,,,,,,,,,,,
Sam 8,6.61891e-08,1.18295e-02,4.1898e-03,4.8459e-05,4.4624e-06,6.9735e-08,,,,,,           -2.8330,            5.9192,            2.5408,           11.9330,           14.2931,           -6.1098,           -0.0031,           -0.3473,            0.0587,            5.6138,
Ref 9,6.54336e-08,,,,,,1.1863e-02,4.1652e-03,4.8338e-05,4.4100e-06,6.8764e-08,,,,,,,,,,,
Sam 9,6.49318e-08,1.18297e-02,4.1899e-03,4.8460e-05,4.4611e-06,6.9486e-08,,,,,,           -2.8239,            5.9146,            2.4955,           11.5386,           11.6017,           -6.1000,           -0.0078,           -0.3973,           -0.3218,            2.9448,
Ref 10,6.40831e-08,,,,,,1.1863e-02,4.1653e-03,4.8341e-05,4.4104e-06,6.8612e-08,,,,,,,,,,,
Sam 10,6.36150e-08,1.18296e-02,4.1901e-03,4.8462e-05,4.4631e-06,6.8718e-08,,,,,,           -2.8302,            5.9189,            2.4069,           11.9144,            7.7006,           -6.1068,           -0.0035,           -0.4834,            0.0412,           -0.9246,
Ref 11,6.28890e-08,,,,,,1.1863e-02,4.1655e-03,4.8351e-05,4.4107e-06,6.7765e-08,,,,,,,,,,,
Sam 11,6.24788e-08,1.18295e-02,4.1900e-03,4.8460e-05,4.4614e-06,6.9435e-08,,,,,,           -2.8402,            5.9009,            2.3597,           11.6129,           15.6167,           -6.1168,           -0.0214,           -0.5025,           -0.2211,            6.9700,
Ref 12,6.17000e-08,,,,,,1.1863e-02,4.1654e-03,4.8341e-05,4.4096e-06,6.8981e-08,,,,,,,,,,,
Sam 12,6.13058e-08,1.18295e-02,4.1900e-03,4.8462e-05,4.4608e-06,6.9180e-08,,,,,,           -2.8385,            5.8893,            2.4741,           11.4529,            3.0467,           -6.1146,           -0.0330,           -0.3788,           -0.3561,           -5.4723,
Ref 13,6.05463e-08,,,,,,1.1863e-02,4.1655e-03,4.8344e-05,4.4111e-06,6.8958e-08,,,,,,,,,,,
Sam 13,6.01427e-08,1.18295e-02,4.1901e-03,4.8455e-05,4.4590e-06,6.9679e-08,,,,,,           -2.8424,            5.9185,            2.2961,           11.0339,           22.1242,           -6.1198,           -0.0039,           -0.5808,           -0.8283,           13.3895,
Ref 14,5.93839e-08,,,,,,1.1863e-02,4.1655e-03,4.8343e-05,4.4095e-06,6.7369e-08,,,,,,,,,,,
Sam 14,5.91263e-08,1.18296e-02,4.1901e-03,4.8460e-05,4.4616e-06,6.8563e-08,,,,,,           -2.8170,            5.9383,            2.4290,           11.6553,            7.8815,           -6.0935,            0.0158,           -0.4938,           -0.2536,           -0.7972,
Ref 15,5.86022e-08,,,,,,1.1863e-02,4.1652e-03,4.8342e-05,4.4109e-06,6.8694e-08,,,,,,,,,,,
Sam 15,5.81381e-08,1.18294e-02,4.1901e-03,4.8460e-05,4.4608e-06,6.9273e-08,,,,,,           -2.8232,            5.9429,            2.4484,           11.3092,            6.9562,           -6.1002,            0.0204,           -0.4726,           -0.6047,           -1.7169,
Ref 16,5.73471e-08,,,,,,1.1863e-02,4.1654e-03,4.8342e-05,4.4110e-06,6.8898e-08,,,,,,,,,,,
Sam 16,5.70825e-08,1.18294e-02,4.1903e-03,4.8466e-05,4.4632e-06,7.0025e-08,,,,,,           -2.8250,            5.9534,            2.6090,           11.7961,           16.3115,           -6.1025,            0.0308,           -0.3208,           -0.1443,            7.5391,
Ref 17,5.62173e-08,,,,,,1.1863e-02,4.1656e-03,4.8338e-05,4.4114e-06,6.8905e-08,,,,,,,,,,,
Sam 17,5.59057e-08,1.18298e-02,4.1903e-03,4.8462e-05,4.4603e-06,7.0117e-08,,,,,,           -2.7870,            5.9454,            2.5290,           11.2111,           13.5702,           -6.0617,            0.0227,           -0.4322,           -0.7066,            4.7964,
Ref 18,5.54261e-08,,,,,,1.1863e-02,4.1654e-03,4.8341e-05,4.4102e-06,6.9456e-08,,,,,,,,,,,
Sam 18,5.50070e-08,1.18294e-02,4.1902e-03,4.8467e-05,4.4622e-06,6.9612e-08,,,,,,           -2.8238,            5.9074,            2.5117,           11.7344,           15.8514,           -6.0996,           -0.0150,           -0.3742,           -0.1139,            7.1722,
Ref 19,5.41816e-08,,,,,,1.1863e-02,4.1659e-03,4.8350e-05,4.4106e-06,6.7573e-08,,,,,,,,,,,
Sam 19,5.40045e-08,1.18295e-02,4.1903e-03,4.8463e-05,4.4600e-06,7.0665e-08,,,,,,           -2.8335,            5.8937,            2.4097,           11.2236,           35.5909,           -6.1095,           -0.0285,           -0.4524,           -0.5916,           26.7811,
Ref 20,5.32352e-08,,,,,,1.1863e-02,4.1657e-03,4.8343e-05,4.4103e-06,6.8912e-08,,,,,,,,,,,
Sam 20,5.30812e-08,1.18294e-02,4.1903e-03,4.8466e-05,4.4619e-06,6.9948e-08,,,,,,           -2.8289,            5.9192,            2.4701,           11.7544,           17.1441,           -6.1055,           -0.0032,           -0.4220,           -0.1178,            8.4361,
Ref 21,5.23862e-08,,,,,,1.1863e-02,4.1657e-03,4.8349e-05,4.4097e-06,6.8623e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.19211e-08,,,,,,1.1863e-02,4.1656e-03,4.8345e-05,4.4113e-06,6.7619e-08,
Sam 1,5.18634e-08,1.18289e-02,4.1902e-03,4.8466e-05,4.4613e-06,7.0183e-08,,,,,,           -2.8603,            5.8739,            2.4580,           11.5652,           32.3263,           -6.1373,           -0.0482,           -0.3573,           -0.2146,           23.6132,
Ref 2,5.09900e-08,,,,,,1.1863e-02,4.1659e-03,4.8350e-05,4.4093e-06,6.8359e-08,,,,,,,,,,,
Sam 2,5.09511e-08,1.18292e-02,4.1903e-03,4.8467e-05,4.4623e-06,7.0412e-08,,,,,,           -2.8397,            5.8798,            2.4479,           11.8693,           21.8442,           -6.1155,           -0.0424,           -0.3944,            0.0743,           13.1856,
Ref 3,5.02032e-08,,,,,,1.1863e-02,4.1657e-03,4.8347e-05,4.4107e-06,6.9462e-08,,,,,,,,,,,
Sam 3,5.00537e-08,1.18292e-02,4.1904e-03,4.8467e-05,4.4612e-06,7.0052e-08,,,,,,           -2.8352,            5.9132,            2.4046,           11.6603,            7.3074,           -6.1119,           -0.0092,           -0.4749,           -0.1987,           -1.2980,
Ref 4,4.92241e-08,,,,,,1.1863e-02,4.1658e-03,4.8354e-05,4.4088e-06,6.9627e-08,,,,,,,,,,,
Sam 4,4.92552e-08,1.18292e-02,4.1904e-03,4.8469e-05,4.4620e-06,6.9492e-08,,,,,,           -2.8150,            5.9225,            2.5249,           12.2239,            5.3760,           -6.0907,            0.0000,           -0.3849,            0.3397,           -3.2525,
Ref 5,4.84317e-08,,,,,,1.1862e-02,4.1656e-03,4.8340e-05,4.4074e-06,6.8606e-08,,,,,,,,,,,
Sam 5,4.82667e-08,1.18304e-02,4.1910e-03,4.8462e-05,4.4570e-06,6.8915e-08,,,,,,           -2.7083,            6.0611,            2.4578,           10.8885,            6.6104,           -5.9820,            0.1377,           -0.6976,           -1.2552,           -2.4127,
Ref 6,4.75697e-08,,,,,,1.1863e-02,4.1658e-03,4.8347e-05,4.4106e-06,6.8316e-08,,,,,,,,,,,
Sam 6,4.75489e-08,1.18292e-02,4.1906e-03,4.8466e-05,4.4606e-06,7.0177e-08,,,,,,           -2.8259,            5.9288,            2.4584,           11.2011,           21.2932,           -6.1025,            0.0063,           -0.4462,           -0.6835,           12.5274,
Ref 7,4.67557e-08,,,,,,1.1863e-02,4.1659e-03,4.8348e-05,4.4117e-06,6.9119e-08,,,,,,,,,,,
Sam 7,4.67656e-08,1.18291e-02,4.1905e-03,4.8470e-05,4.4615e-06,7.0183e-08,,,,,,           -2.8418,            5.8933,            2.5704,           11.6289,           18.4913,           -6.1183,           -0.0289,           -0.2833,           -0.1903,            9.8367,
Ref 8,4.59776e-08,,,,,,1.1863e-02,4.1660e-03,4.8344e-05,4.4087e-06,6.8694e-08,,,,,,,,,,,
Sam 8,4.59870e-08,1.18292e-02,4.1907e-03,4.8470e-05,4.4589e-06,6.9205e-08,,,,,,           -2.8107,            5.9382,            2.5564,           11.1685,            8.0453,           -6.0868,            0.0157,           -0.3733,           -0.7345,           -0.6414,
Ref 9,4.52152e-08,,,,,,1.1862e-02,4.1659e-03,4.8348e-05,4.4106e-06,6.8611e-08,,,,,,,,,,,
Sam 9,4.52590e-08,1.18290e-02,4.1906e-03,4.8474e-05,4.4596e-06,7.0050e-08,,,,,,           -2.8043,            5.9413,            2.6661,           11.2186,           23.5571,           -6.0800,            0.0187,           -0.2735,           -0.6910,           14.7237,
Ref 10,4.44619e-08,,,,,,1.1862e-02,4.1658e-03,4.8343e-05,4.4097e-06,6.8261e-08,,,,,,,,,,,
Sam 10,4.45037e-08,1.18292e-02,4.1906e-03,4.8470e-05,4.4612e-06,6.8848e-08,,,,,,           -2.7966,            5.9277,            2.5752,           11.6731,           15.8431,           -6.0713,            0.0052,           -0.3589,           -0.2149,            7.0948,
Ref 11,4.37288e-08,,,,,,1.1863e-02,4.1660e-03,4.8348e-05,4.4098e-06,6.7279e-08,,,,,,,,,,,
Sam 11,4.38174e-08,1.18291e-02,4.1907e-03,4.8467e-05,4.4591e-06,6.9791e-08,,,,,,           -2.8193,            5.9187,            2.4355,           11.3056,           22.0641,           -6.0952,           -0.0038,           -0.4659,           -0.5602,           13.3047,
Ref 12,4.30167e-08,,,,,,1.1863e-02,4.1661e-03,4.8350e-05,4.4087e-06,6.9307e-08,,,,,,,,,,,
Sam 12,4.31221e-08,1.18290e-02,4.1907e-03,4.8473e-05,4.4600e-06,6.9714e-08,,,,,,           -2.8283,            5.9068,            2.5531,           11.5446,           -2.5431,           -6.1044,           -0.0156,           -0.3277,           -0.3003,          -11.0592,
Ref 13,4.23199e-08,,,,,,1.1863e-02,4.1661e-03,4.8349e-05,4.4095e-06,7.0486e-08,,,,,,,,,,,
Sam 13,4.24439e-08,1.18291e-02,4.1907e-03,4.8471e-05,4.4614e-06,6.9185e-08,,,,,,           -2.8241,            5.9106,            2.5356,           12.1117,           -5.9069,           -6.1001,           -0.0118,           -0.3531,            0.2526,          -14.4061,
Ref 14,4.16426e-08,,,,,,1.1863e-02,4.1660e-03,4.8347e-05,4.4065e-06,6.8691e-08,,,,,,,,,,,
Sam 14,4.17804e-08,1.18290e-02,4.1907e-03,4.8471e-05,4.4596e-06,6.9745e-08,,,,,,           -2.8226,            5.9211,            2.5074,           11.5213,            9.7928,           -6.0988,           -0.0013,           -0.3932,           -0.3518,            1.1372,
Ref 15,4.09760e-08,,,,,,1.1862e-02,4.1661e-03,4.8353e-05,4.4111e-06,6.9451e-08,,,,,,,,,,,
Sam 15,4.11223e-08,1.18290e-02,4.1909e-03,4.8476e-05,4.4607e-06,6.9856e-08,,,,,,           -2.8242,            5.9483,            2.5384,           11.4026,            2.5862,           -6.1014,            0.0257,           -0.3871,           -0.5231,           -6.0588,
Ref 16,4.03265e-08,,,,,,1.1863e-02,4.1662e-03,4.8354e-05,4.4097e-06,6.9905e-08,,,,,,,,,,,
Sam 16,4.04930e-08,1.18290e-02,4.1908e-03,4.8476e-05,4.4593e-06,6.8884e-08,,,,,,           -2.8221,            5.8971,            2.5149,           11.2642,           -6.3368,           -6.0975,           -0.0252,           -0.3626,           -0.5583,          -14.8084,
Ref 17,3.96923e-08,,,,,,1.1863e-02,4.1662e-03,4.8355e-05,4.4096e-06,6.8733e-08,,,,,,,,,,,
Sam 17,3.98664e-08,1.18288e-02,4.1908e-03,4.8467e-05,4.4595e-06,7.0586e-08,,,,,,           -2.8380,            5.8944,            2.2906,           11.4738,           25.5928,           -6.1142,           -0.0279,           -0.5673,           -0.3456,           16.8716,
Ref 18,3.90699e-08,,,,,,1.1862e-02,4.1662e-03,4.8357e-05,4.4082e-06,6.8917e-08,,,,,,,,,,,
Sam 18,3.92387e-08,1.18289e-02,4.1908e-03,4.8478e-05,4.4599e-06,6.9860e-08,,,,,,           -2.8270,            5.8996,            2.5320,           11.5642,           14.6818,           -6.1028,           -0.0228,           -0.3430,           -0.2666,            6.0315,
Ref 19,3.84325e-08,,,,,,1.1862e-02,4.1662e-03,4.8353e-05,4.4097e-06,6.8780e-08,,,,,,,,,,,
Sam 19,3.86333e-08,1.18289e-02,4.1909e-03,4.8475e-05,4.4576e-06,6.9798e-08,,,,,,           -2.8240,            5.9181,            2.5345,           10.9521,            6.2760,           -6.1002,           -0.0043,           -0.3617,           -0.9084,           -2.3421,
Ref 20,3.78316e-08,,,,,,1.1862e-02,4.1662e-03,4.8352e-05,4.4090e-06,6.9953e-08,,,,,,,,,,,
Sam 20,3.80788e-08,1.18288e-02,4.1908e-03,4.8474e-05,4.4581e-06,6.8795e-08,,,,,,           -2.8315,            5.9015,            2.4972,           11.1659,           -5.7582,           -6.1076,           -0.0208,           -0.3748,           -0.6640,          -14.2332,
Ref 21,3.72957e-08,,,,,,1.1862e-02,4.1663e-03,4.8355e-05,4.4088e-06,6.8422e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.69817e-08,,,,,,1.1862e-02,4.1662e-03,4.8351e-05,4.4075e-06,6.5710e-08,
Sam 1,3.72160e-08,1.18287e-02,4.1908e-03,4.8469e-05,4.4575e-06,7.0294e-08,,,,,,           -2.8334,            5.9023,            2.4427,           11.5324,           45.7480,           -6.1096,           -0.0200,           -0.4281,           -0.3035,           36.8342,
Ref 2,3.64394e-08,,,,,,1.1862e-02,4.1663e-03,4.8351e-05,4.4059e-06,6.8749e-08,,,,,,,,,,,
Sam 2,3.66866e-08,1.18287e-02,4.1908e-03,4.8475e-05,4.4598e-06,6.7891e-08,,,,,,           -2.8288,            5.8914,            2.5386,           12.1430,          -11.0184,           -6.1044,           -0.0308,           -0.3266,            0.3216,          -19.4322,
Ref 3,3.58622e-08,,,,,,1.1862e-02,4.1663e-03,4.8354e-05,4.4067e-06,6.8545e-08,,,,,,,,,,,
Sam 3,3.61378e-08,1.18286e-02,4.1909e-03,4.8478e-05,4.4574e-06,6.8967e-08,,,,,,           -2.8309,            5.9000,            2.5262,           11.0597,           17.0119,           -6.1069,           -0.0223,           -0.3452,           -0.7661,            8.3450,
Ref 4,3.53279e-08,,,,,,1.1862e-02,4.1663e-03,4.8358e-05,4.4107e-06,6.7071e-08,,,,,,,,,,,
Sam 4,3.55745e-08,1.18285e-02,4.1909e-03,4.8478e-05,4.4598e-06,7.0898e-08,,,,,,           -2.8376,            5.9079,            2.5050,           11.6436,           32.4165,           -6.1143,           -0.0144,           -0.3672,           -0.2048,           23.6097,
Ref 5,3.47738e-08,,,,,,1.1862e-02,4.1663e-03,4.8356e-05,4.4062e-06,7.0299e-08,,,,,,,,,,,
Sam 5,3.50804e-08,1.18285e-02,4.1909e-03,4.8471e-05,4.4578e-06,7.0047e-08,,,,,,           -2.8319,            5.8961,            2.4884,           11.3724,            1.9945,           -6.1078,           -0.0262,           -0.3780,           -0.4493,           -6.5358,
Ref 6,3.42481e-08,,,,,,1.1862e-02,4.1663e-03,4.8346e-05,4.4093e-06,6.9509e-08,,,,,,,,,,,
Sam 6,3.45429e-08,1.18286e-02,4.1909e-03,4.8481e-05,4.4600e-06,7.0531e-08,,,,,,           -2.8232,            5.8952,            2.7221,           11.8206,           32.4374,           -6.0985,           -0.0271,           -0.1531,           -0.0045,           23.6402,
Ref 7,3.37308e-08,,,,,,1.1862e-02,4.1664e-03,4.8353e-05,4.4064e-06,6.7103e-08,,,,,,,,,,,
Sam 7,3.40001e-08,1.18288e-02,4.1911e-03,4.8476e-05,4.4591e-06,6.8833e-08,,,,,,           -2.8180,            5.9185,            2.4901,           11.8084,           14.5541,           -6.0938,           -0.0039,           -0.4126,           -0.0629,            5.8579,
Ref 8,3.32218e-08,,,,,,1.1862e-02,4.1665e-03,4.8358e-05,4.4078e-06,6.8599e-08,,,,,,,,,,,
Sam 8,3.35409e-08,1.18286e-02,4.1911e-03,4.8480e-05,4.4578e-06,7.1039e-08,,,,,,           -2.8330,            5.9050,            2.5264,           11.5911,           19.7277,           -6.1093,           -0.0173,           -0.3477,           -0.2508,           11.0301,
Ref 9,3.27347e-08,,,,,,1.1862e-02,4.1664e-03,4.8357e-05,4.4055e-06,7.0745e-08,,,,,,,,,,,
Sam 9,3.30276e-08,1.18285e-02,4.1911e-03,4.8476e-05,4.4568e-06,6.8856e-08,,,,,,           -2.8392,            5.9026,            2.4806,           11.3654,          -22.8294,           -6.1158,           -0.0197,           -0.3846,           -0.4690,          -31.1530,
Ref 10,3.22440e-08,,,,,,1.1862e-02,4.1665e-03,4.8355e-05,4.4079e-06,7.0180e-08,,,,,,,,,,,
Sam 10,3.25794e-08,1.18287e-02,4.1911e-03,4.8475e-05,4.4586e-06,6.9941e-08,,,,,,           -2.8191,            5.8989,            2.5159,           11.7712,            6.1319,           -6.0944,           -0.0234,           -0.3665,           -0.0608,           -2.4527,
Ref 11,3.17735e-08,,,,,,1.1862e-02,4.1665e-03,4.8351e-05,4.4056e-06,6.8839e-08,,,,,,,,,,,
Sam 11,3.21180e-08,1.18286e-02,4.1912e-03,4.8478e-05,4.4593e-06,6.9470e-08,,,,,,           -2.8289,            5.9066,            2.5199,           12.0856,            0.0176,           -6.1050,           -0.0158,           -0.3599,            0.2348,           -8.5193,
Ref 12,3.13078e-08,,,,,,1.1862e-02,4.1666e-03,4.8361e-05,4.4065e-06,7.0109e-08,,,,,,,,,,,
Sam 12,3.16635e-08,1.18285e-02,4.1911e-03,4.8474e-05,4.4567e-06,6.8592e-08,,,,,,           -2.8298,            5.9032,            2.2862,           11.3170,            0.0095,           -6.1058,           -0.0191,           -0.5888,           -0.5182,           -8.5199,
Ref 13,3.08624e-08,,,,,,1.1862e-02,4.1665e-03,4.8367e-05,4.4071e-06,6.7053e-08,,,,,,,,,,,
Sam 13,3.12211e-08,1.18286e-02,4.1912e-03,4.8480e-05,4.4569e-06,6.9667e-08,,,,,,           -2.8264,            5.8977,            2.3538,           11.1423,           20.9035,           -6.1020,           -0.0246,           -0.5195,           -0.6800,           12.2030,
Ref 14,3.03802e-08,,,,,,1.1862e-02,4.1667e-03,4.8366e-05,4.4085e-06,6.9448e-08,,,,,,,,,,,
Sam 14,3.07776e-08,1.18287e-02,4.1912e-03,4.8481e-05,4.4604e-06,6.8010e-08,,,,,,           -2.8201,            5.8832,            2.4241,           11.7021,           -5.2929,           -6.0949,           -0.0390,           -0.4417,           -0.0979,          -13.7487,
Ref 15,2.99705e-08,,,,,,1.1862e-02,4.1667e-03,4.8362e-05,4.4091e-06,6.7282e-08,,,,,,,,,,,
Sam 15,3.03514e-08,1.18286e-02,4.1912e-03,4.8488e-05,4.4581e-06,6.9013e-08,,,,,,           -2.8259,            5.8922,            2.5596,           10.9268,           15.8637,           -6.1013,           -0.0301,           -0.3093,           -0.8818,            7.2167,
Ref 16,2.95396e-08,,,,,,1.1862e-02,4.1667e-03,4.8367e-05,4.4108e-06,6.8597e-08,,,,,,,,,,,
Sam 16,2.99251e-08,1.18285e-02,4.1913e-03,4.8483e-05,4.4584e-06,7.0677e-08,,,,,,           -2.8295,            5.8977,            2.4982,           10.9872,           29.1395,           -6.1054,           -0.0246,           -0.3722,           -0.8331,           20.3725,
Ref 17,2.91306e-08,,,,,,1.1862e-02,4.1667e-03,4.8358e-05,4.4091e-06,6.8756e-08,,,,,,,,,,,
Sam 17,2.95196e-08,1.18285e-02,4.1913e-03,4.8484e-05,4.4579e-06,6.9013e-08,,,,,,           -2.8264,            5.8888,            2.4942,           11.2409,           -3.7322,           -6.1018,           -0.0335,           -0.3707,           -0.5647,          -12.2053,
Ref 18,2.87099e-08,,,,,,1.1862e-02,4.1668e-03,4.8368e-05,4.4077e-06,6.9794e-08,,,,,,,,,,,
Sam 18,2.91066e-08,1.18285e-02,4.1914e-03,4.8492e-05,4.4546e-06,6.8001e-08,,,,,,           -2.8278,            5.8903,            2.6139,           10.6616,          -14.4503,           -6.1033,           -0.0320,           -0.2514,           -1.1403,          -22.8337,
Ref 19,2.82942e-08,,,,,,1.1862e-02,4.1668e-03,4.8364e-05,4.4075e-06,6.8191e-08,,,,,,,,,,,
Sam 19,2.87010e-08,1.18285e-02,4.1915e-03,4.8487e-05,4.4602e-06,6.8632e-08,,,,,,           -2.8193,            5.9042,            2.4885,           12.2395,           -3.2024,           -6.0948,           -0.0182,           -0.3988,            0.3916,          -11.7173,
Ref 20,2.78956e-08,,,,,,1.1862e-02,4.1669e-03,4.8371e-05,4.4051e-06,6.9524e-08,,,,,,,,,,,
Sam 20,2.83065e-08,1.18284e-02,4.1914e-03,4.8486e-05,4.4589e-06,6.9488e-08,,,,,,           -2.8237,            5.8735,            2.4307,           11.9023,            8.6949,           -6.0983,           -0.0487,           -0.4219,            0.1193,            0.1430,
Ref 21,2.74964e-08,,,,,,1.1862e-02,4.1669e-03,4.8366e-05,4.4078e-06,6.8244e-08,,,,,,,,,,,


