Nu Stable Isotope Analysis Program
Data Collected on Tuesday, October 31, 2023 at 04:37 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, October 31, 2023 at 05:36 with Stable 1.71.5 on PS019

Data File = Data_20765 MDS 211.5.txt,     Sample Weight = 439,                      Vial Location = 6,                        Initial Sam Beam = 2.5021e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6395e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01919
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.22790e-08,,,,,,1.1863e-02,4.1647e-03,4.8323e-05,4.4057e-06,6.7230e-08,
Sam 1,8.14845e-08,1.18092e-02,4.1868e-03,4.8336e-05,4.4520e-06,6.8270e-08,,,,,,           -4.5622,            5.2835,            0.2014,           10.2992,            7.6943,           -7.9281,           -0.6321,           -0.2725,           -0.2927,            2.1627,
Ref 2,8.07034e-08,,,,,,1.1864e-02,4.1649e-03,4.8329e-05,4.4075e-06,6.8277e-08,,,,,,,,,,,
Sam 2,7.99228e-08,1.18093e-02,4.1869e-03,4.8340e-05,4.4551e-06,6.9438e-08,,,,,,           -4.5758,            5.2546,            0.2164,           10.8763,           18.6947,           -7.9417,           -0.6608,           -0.2151,            0.3359,           13.1748,
Ref 3,7.90665e-08,,,,,,1.1864e-02,4.1650e-03,4.8330e-05,4.4068e-06,6.8048e-08,,,,,,,,,,,
Sam 3,7.83260e-08,1.18093e-02,4.1870e-03,4.8339e-05,4.4542e-06,6.8589e-08,,,,,,           -4.5707,            5.2591,            0.1662,           10.4912,            6.0952,           -7.9364,           -0.6563,           -0.2750,           -0.0541,            0.6293,
Ref 4,7.74518e-08,,,,,,1.1864e-02,4.1651e-03,4.8332e-05,4.4091e-06,6.8301e-08,,,,,,,,,,,
Sam 4,7.67702e-08,1.18093e-02,4.1870e-03,4.8339e-05,4.4524e-06,6.7973e-08,,,,,,           -4.5768,            5.2608,            0.1085,           10.0773,           -2.8621,           -7.9429,           -0.6546,           -0.3281,           -0.4671,           -8.2762,
Ref 5,7.58800e-08,,,,,,1.1864e-02,4.1651e-03,4.8335e-05,4.4069e-06,6.8033e-08,,,,,,,,,,,
Sam 5,7.52551e-08,1.18093e-02,4.1871e-03,4.8340e-05,4.4549e-06,6.8337e-08,,,,,,           -4.5822,            5.2640,            0.1278,           10.8132,           -2.1437,           -7.9487,           -0.6514,           -0.3064,            0.2547,           -7.5622,
Ref 6,7.43546e-08,,,,,,1.1864e-02,4.1652e-03,4.8332e-05,4.4076e-06,6.8943e-08,,,,,,,,,,,
Sam 6,7.37670e-08,1.18093e-02,4.1871e-03,4.8338e-05,4.4529e-06,6.8719e-08,,,,,,           -4.5781,            5.2627,            0.1223,           10.2274,            5.9109,           -7.9443,           -0.6527,           -0.3148,           -0.3224,            0.4468,
Ref 7,7.28553e-08,,,,,,1.1864e-02,4.1652e-03,4.8333e-05,4.4080e-06,6.7674e-08,,,,,,,,,,,
Sam 7,7.22902e-08,1.18093e-02,4.1871e-03,4.8341e-05,4.4543e-06,6.8602e-08,,,,,,           -4.5732,            5.2564,            0.1741,           10.3783,            8.4602,           -7.9389,           -0.6589,           -0.2620,           -0.1606,            2.9893,
Ref 8,7.13710e-08,,,,,,1.1863e-02,4.1653e-03,4.8333e-05,4.4091e-06,6.8385e-08,,,,,,,,,,,
Sam 8,7.09572e-08,1.18092e-02,4.1871e-03,4.8338e-05,4.4533e-06,6.9306e-08,,,,,,           -4.5528,            5.2750,            0.1806,           10.1570,           12.8653,           -7.9179,           -0.6405,           -0.2947,           -0.4165,            7.3120,
Ref 9,7.03804e-08,,,,,,1.1863e-02,4.1650e-03,4.8325e-05,4.4079e-06,6.8466e-08,,,,,,,,,,,
Sam 9,6.97974e-08,1.18089e-02,4.1870e-03,4.8335e-05,4.4522e-06,6.9558e-08,,,,,,           -4.5710,            5.2725,            0.1189,           10.0185,           17.3553,           -7.9372,           -0.6430,           -0.3351,           -0.5485,           11.8022,
Ref 10,6.88046e-08,,,,,,1.1863e-02,4.1652e-03,4.8333e-05,4.4081e-06,6.8275e-08,,,,,,,,,,,
Sam 10,6.86794e-08,1.18087e-02,4.1868e-03,4.8335e-05,4.4530e-06,6.9561e-08,,,,,,           -4.6081,            5.1863,            0.0342,           10.0578,           18.2881,           -7.9736,           -0.7287,           -0.2971,           -0.3382,           12.9406,
Ref 11,6.73518e-08,,,,,,1.1863e-02,4.1653e-03,4.8334e-05,4.4093e-06,6.8348e-08,,,,,,,,,,,
Sam 11,6.70323e-08,1.18090e-02,4.1871e-03,4.8336e-05,4.4534e-06,6.8824e-08,,,,,,           -4.5700,            5.2748,            0.0213,           10.5066,            1.6626,           -7.9362,           -0.6407,           -0.4360,           -0.0702,           -3.8106,
Ref 12,6.62695e-08,,,,,,1.1863e-02,4.1651e-03,4.8337e-05,4.4048e-06,6.9076e-08,,,,,,,,,,,
Sam 12,6.58650e-08,1.18089e-02,4.1871e-03,4.8340e-05,4.4519e-06,6.9327e-08,,,,,,           -4.5694,            5.2669,            0.0851,           10.5615,            3.1792,           -7.9353,           -0.6486,           -0.3650,            0.0000,           -2.2874,
Ref 13,6.49091e-08,,,,,,1.1863e-02,4.1652e-03,4.8334e-05,4.4060e-06,6.9138e-08,,,,,,,,,,,
Sam 13,6.46306e-08,1.18088e-02,4.1871e-03,4.8340e-05,4.4537e-06,6.8825e-08,,,,,,           -4.5763,            5.2523,            0.1123,           10.7649,           -7.9813,           -7.9421,           -0.6630,           -0.3164,            0.2302,          -13.3518,
Ref 14,6.36864e-08,,,,,,1.1863e-02,4.1653e-03,4.8334e-05,4.4065e-06,6.9623e-08,,,,,,,,,,,
Sam 14,6.34510e-08,1.18088e-02,4.1871e-03,4.8338e-05,4.4544e-06,6.9541e-08,,,,,,           -4.5757,            5.2337,            0.0713,           10.8355,            0.4609,           -7.9408,           -0.6816,           -0.3399,            0.3372,           -4.9196,
Ref 15,6.23917e-08,,,,,,1.1863e-02,4.1654e-03,4.8334e-05,4.4068e-06,6.9391e-08,,,,,,,,,,,
Sam 15,6.21982e-08,1.18089e-02,4.1872e-03,4.8343e-05,4.4526e-06,6.9110e-08,,,,,,           -4.5739,            5.2466,            0.1621,           10.2869,           -3.0157,           -7.9393,           -0.6687,           -0.2637,           -0.2315,           -8.4046,
Ref 16,6.12039e-08,,,,,,1.1863e-02,4.1654e-03,4.8336e-05,4.4077e-06,6.9245e-08,,,,,,,,,,,
Sam 16,6.10184e-08,1.18090e-02,4.1873e-03,4.8339e-05,4.4529e-06,6.9119e-08,,,,,,           -4.5669,            5.2498,            0.0691,           10.2305,           -2.9118,           -7.9319,           -0.6656,           -0.3669,           -0.2936,           -8.3147,
Ref 17,6.00442e-08,,,,,,1.1863e-02,4.1654e-03,4.8335e-05,4.4080e-06,6.9397e-08,,,,,,,,,,,
Sam 17,6.00222e-08,1.18087e-02,4.1872e-03,4.8345e-05,4.4542e-06,6.9035e-08,,,,,,           -4.5779,            5.2351,            0.2214,           10.3613,           -7.4641,           -7.9432,           -0.6802,           -0.1889,           -0.1350,          -12.8025,
Ref 18,5.90810e-08,,,,,,1.1863e-02,4.1653e-03,4.8334e-05,4.4091e-06,6.9715e-08,,,,,,,,,,,
Sam 18,5.89122e-08,1.18088e-02,4.1873e-03,4.8342e-05,4.4538e-06,7.0163e-08,,,,,,           -4.5678,            5.2555,            0.1493,           10.5070,           13.5131,           -7.9331,           -0.6599,           -0.2915,           -0.0314,            8.0108,
Ref 19,5.79566e-08,,,,,,1.1863e-02,4.1654e-03,4.8336e-05,4.4057e-06,6.8731e-08,,,,,,,,,,,
Sam 19,5.78433e-08,1.18087e-02,4.1873e-03,4.8344e-05,4.4527e-06,6.9815e-08,,,,,,           -4.5723,            5.2493,            0.2118,           10.4183,           12.3852,           -7.9377,           -0.6661,           -0.2182,           -0.1067,            6.9062,
Ref 20,5.69043e-08,,,,,,1.1863e-02,4.1655e-03,4.8331e-05,4.4079e-06,6.9195e-08,,,,,,,,,,,
Sam 20,5.67563e-08,1.18088e-02,4.1874e-03,4.8342e-05,4.4530e-06,6.9876e-08,,,,,,           -4.5718,            5.2536,            0.1565,           10.3606,           11.5333,           -7.9374,           -0.6618,           -0.2782,           -0.1725,            6.0499,
Ref 21,5.57586e-08,,,,,,1.1863e-02,4.1656e-03,4.8339e-05,4.4068e-06,6.8962e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.52731e-08,,,,,,1.1863e-02,4.1656e-03,4.8337e-05,4.4050e-06,6.8814e-08,
Sam 1,5.53272e-08,1.18087e-02,4.1874e-03,4.8343e-05,4.4513e-06,7.0750e-08,,,,,,           -4.5763,            5.2261,            0.0856,           10.2330,           24.3659,           -7.9412,           -0.6891,           -0.3175,           -0.2440,           18.8726,
Ref 2,5.42923e-08,,,,,,1.1863e-02,4.1656e-03,4.8341e-05,4.4074e-06,6.9326e-08,,,,,,,,,,,
Sam 2,5.43616e-08,1.18087e-02,4.1874e-03,4.8340e-05,4.4510e-06,6.9718e-08,,,,,,           -4.5757,            5.2276,           -0.0067,            9.9482,            3.2071,           -7.9406,           -0.6877,           -0.4118,           -0.5288,           -2.1762,
Ref 3,5.32974e-08,,,,,,1.1863e-02,4.1657e-03,4.8340e-05,4.4069e-06,6.9667e-08,,,,,,,,,,,
Sam 3,5.33831e-08,1.18085e-02,4.1875e-03,4.8344e-05,4.4511e-06,6.8668e-08,,,,,,           -4.5841,            5.2497,            0.0759,            9.9329,           -4.5485,           -7.9503,           -0.6656,           -0.3423,           -0.5880,           -9.9243,
Ref 4,5.25009e-08,,,,,,1.1863e-02,4.1656e-03,4.8342e-05,4.4078e-06,6.8285e-08,,,,,,,,,,,
Sam 4,5.24063e-08,1.18088e-02,4.1876e-03,4.8345e-05,4.4537e-06,6.9709e-08,,,,,,           -4.5562,            5.2703,            0.1021,           10.5538,            0.8190,           -7.9213,           -0.6452,           -0.3651,           -0.0144,           -4.6554,
Ref 5,5.15067e-08,,,,,,1.1863e-02,4.1657e-03,4.8339e-05,4.4065e-06,7.1044e-08,,,,,,,,,,,
Sam 5,5.15728e-08,1.18086e-02,4.1876e-03,4.8341e-05,4.4522e-06,6.9695e-08,,,,,,           -4.5706,            5.2501,            0.0517,           10.3939,           -9.9974,           -7.9359,           -0.6653,           -0.3808,           -0.1325,          -15.3587,
Ref 6,5.06153e-08,,,,,,1.1863e-02,4.1657e-03,4.8337e-05,4.4063e-06,6.9741e-08,,,,,,,,,,,
Sam 6,5.07138e-08,1.18085e-02,4.1876e-03,4.8345e-05,4.4520e-06,7.0022e-08,,,,,,           -4.5732,            5.2580,            0.1530,           10.2023,            8.9190,           -7.9389,           -0.6574,           -0.2846,           -0.3378,            3.4426,
Ref 7,4.97382e-08,,,,,,1.1863e-02,4.1657e-03,4.8338e-05,4.4078e-06,6.9058e-08,,,,,,,,,,,
Sam 7,4.98634e-08,1.18085e-02,4.1876e-03,4.8341e-05,4.4530e-06,7.0223e-08,,,,,,           -4.5719,            5.2427,            0.0618,           10.1818,           12.9540,           -7.9371,           -0.6727,           -0.3620,           -0.3277,            7.4845,
Ref 8,4.88818e-08,,,,,,1.1863e-02,4.1658e-03,4.8337e-05,4.4084e-06,6.9595e-08,,,,,,,,,,,
Sam 8,4.90493e-08,1.18085e-02,4.1876e-03,4.8345e-05,4.4516e-06,7.0571e-08,,,,,,           -4.5663,            5.2397,            0.1288,            9.8559,           22.6242,           -7.9310,           -0.6756,           -0.2980,           -0.6444,           17.1022,
Ref 9,4.80471e-08,,,,,,1.1863e-02,4.1658e-03,4.8339e-05,4.4080e-06,6.8415e-08,,,,,,,,,,,
Sam 9,4.82169e-08,1.18085e-02,4.1876e-03,4.8344e-05,4.4534e-06,6.9554e-08,,,,,,           -4.5651,            5.2343,            0.0911,           10.2451,           13.6351,           -7.9296,           -0.6810,           -0.3316,           -0.2483,            8.1712,
Ref 10,4.72337e-08,,,,,,1.1863e-02,4.1658e-03,4.8340e-05,4.4085e-06,6.8825e-08,,,,,,,,,,,
Sam 10,4.74252e-08,1.18084e-02,4.1877e-03,4.8351e-05,4.4541e-06,7.0466e-08,,,,,,           -4.5697,            5.2360,            0.2442,           10.5905,           19.7478,           -7.9344,           -0.6793,           -0.1756,            0.0902,           14.2525,
Ref 11,4.64390e-08,,,,,,1.1863e-02,4.1659e-03,4.8338e-05,4.4062e-06,6.9382e-08,,,,,,,,,,,
Sam 11,4.66497e-08,1.18084e-02,4.1877e-03,4.8344e-05,4.4508e-06,7.0219e-08,,,,,,           -4.5666,            5.2340,            0.1314,            9.9996,            8.3980,           -7.9311,           -0.6813,           -0.2895,           -0.4907,            2.9645,
Ref 12,4.56666e-08,,,,,,1.1863e-02,4.1658e-03,4.8336e-05,4.4073e-06,6.9890e-08,,,,,,,,,,,
Sam 12,4.58990e-08,1.18083e-02,4.1877e-03,4.8345e-05,4.4512e-06,7.1216e-08,,,,,,           -4.5704,            5.2452,            0.1671,            9.9373,           23.7183,           -7.9355,           -0.6701,           -0.2609,           -0.5746,           18.1839,
Ref 13,4.49105e-08,,,,,,1.1862e-02,4.1659e-03,4.8338e-05,4.4076e-06,6.9235e-08,,,,,,,,,,,
Sam 13,4.51618e-08,1.18084e-02,4.1877e-03,4.8348e-05,4.4511e-06,7.0901e-08,,,,,,           -4.5598,            5.2460,            0.1736,           10.0709,           14.2705,           -7.9243,           -0.6694,           -0.2661,           -0.4440,            8.7743,
Ref 14,4.41723e-08,,,,,,1.1863e-02,4.1659e-03,4.8341e-05,4.4059e-06,7.0583e-08,,,,,,,,,,,
Sam 14,4.44436e-08,1.18083e-02,4.1878e-03,4.8349e-05,4.4523e-06,6.9046e-08,,,,,,           -4.5657,            5.2488,            0.1507,           10.6299,          -20.2297,           -7.9306,           -0.6665,           -0.2857,            0.1035,          -25.5383,
Ref 15,4.34572e-08,,,,,,1.1862e-02,4.1659e-03,4.8343e-05,4.4052e-06,7.0358e-08,,,,,,,,,,,
Sam 15,4.37407e-08,1.18082e-02,4.1878e-03,4.8346e-05,4.4504e-06,7.1488e-08,,,,,,           -4.5692,            5.2479,            0.0784,           10.1320,           16.4342,           -7.9343,           -0.6674,           -0.3535,           -0.3874,           10.9325,
Ref 16,4.27542e-08,,,,,,1.1862e-02,4.1659e-03,4.8342e-05,4.4063e-06,7.0306e-08,,,,,,,,,,,
Sam 16,4.30449e-08,1.18083e-02,4.1878e-03,4.8343e-05,4.4513e-06,6.9233e-08,,,,,,           -4.5612,            5.2510,           -0.0005,           10.1187,           -7.0544,           -7.9260,           -0.6644,           -0.4436,           -0.4067,          -12.4433,
Ref 17,4.20615e-08,,,,,,1.1862e-02,4.1660e-03,4.8345e-05,4.4071e-06,6.9134e-08,,,,,,,,,,,
Sam 17,4.23628e-08,1.18082e-02,4.1878e-03,4.8346e-05,4.4517e-06,7.0343e-08,,,,,,           -4.5666,            5.2448,            0.0373,           10.0829,           17.4010,           -7.9315,           -0.6705,           -0.3941,           -0.4298,           11.8975,
Ref 18,4.13865e-08,,,,,,1.1862e-02,4.1660e-03,4.8343e-05,4.4074e-06,6.9147e-08,,,,,,,,,,,
Sam 18,4.17003e-08,1.18081e-02,4.1879e-03,4.8352e-05,4.4527e-06,6.9291e-08,,,,,,           -4.5710,            5.2449,            0.2061,           10.2805,           -1.7521,           -7.9362,           -0.6705,           -0.2209,           -0.2344,           -7.1475,
Ref 19,4.07215e-08,,,,,,1.1862e-02,4.1660e-03,4.8341e-05,4.4074e-06,6.9683e-08,,,,,,,,,,,
Sam 19,4.10481e-08,1.18080e-02,4.1878e-03,4.8348e-05,4.4505e-06,7.2134e-08,,,,,,           -4.5765,            5.2333,            0.1465,            9.9664,           27.8407,           -7.9416,           -0.6819,           -0.2636,           -0.5223,           22.3144,
Ref 20,4.00729e-08,,,,,,1.1862e-02,4.1660e-03,4.8341e-05,4.4057e-06,7.0686e-08,,,,,,,,,,,
Sam 20,4.04118e-08,1.18081e-02,4.1879e-03,4.8345e-05,4.4525e-06,7.0881e-08,,,,,,           -4.5686,            5.2480,            0.0334,           10.6490,            5.4475,           -7.9337,           -0.6673,           -0.3992,            0.1240,            0.0045,
Ref 21,3.94383e-08,,,,,,1.1862e-02,4.1660e-03,4.8346e-05,4.4053e-06,7.0305e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.91237e-08,,,,,,1.1862e-02,4.1661e-03,4.8343e-05,4.4052e-06,6.8946e-08,
Sam 1,3.94829e-08,1.18080e-02,4.1879e-03,4.8348e-05,4.4541e-06,6.9931e-08,,,,,,           -4.5684,            5.2302,            0.0827,           11.1791,            9.6381,           -7.9329,           -0.6851,           -0.3326,            0.6842,            4.2073,
Ref 2,3.85094e-08,,,,,,1.1862e-02,4.1661e-03,4.8345e-05,4.4046e-06,6.9586e-08,,,,,,,,,,,
Sam 2,3.88788e-08,1.18080e-02,4.1879e-03,4.8347e-05,4.4523e-06,7.0663e-08,,,,,,           -4.5631,            5.2315,            0.1937,           10.6241,           10.5335,           -7.9273,           -0.6838,           -0.2284,            0.1323,            5.0896,
Ref 3,3.79090e-08,,,,,,1.1862e-02,4.1661e-03,4.8331e-05,4.4064e-06,7.0273e-08,,,,,,,,,,,
Sam 3,3.82895e-08,1.18081e-02,4.1880e-03,4.8351e-05,4.4513e-06,7.1830e-08,,,,,,           -4.5529,            5.2456,            0.2455,           10.1621,           15.5546,           -7.9169,           -0.6698,           -0.2010,           -0.3529,           10.0448,
Ref 4,3.73179e-08,,,,,,1.1862e-02,4.1661e-03,4.8347e-05,4.4066e-06,7.1194e-08,,,,,,,,,,,
Sam 4,3.77134e-08,1.18080e-02,4.1880e-03,4.8353e-05,4.4510e-06,7.0391e-08,,,,,,           -4.5668,            5.2381,            0.0906,           10.1644,          -12.8853,           -7.9315,           -0.6772,           -0.3340,           -0.3357,          -18.2118,
Ref 5,3.67256e-08,,,,,,1.1862e-02,4.1663e-03,4.8351e-05,4.4058e-06,7.1427e-08,,,,,,,,,,,
Sam 5,3.71651e-08,1.18079e-02,4.1879e-03,4.8350e-05,4.4494e-06,7.1372e-08,,,,,,           -4.5785,            5.2031,            0.0618,            9.8342,           12.1277,           -7.9427,           -0.7120,           -0.3166,           -0.5930,            6.7475,
Ref 6,3.61604e-08,,,,,,1.1862e-02,4.1662e-03,4.8344e-05,4.4063e-06,6.9591e-08,,,,,,,,,,,
Sam 6,3.66109e-08,1.18079e-02,4.1880e-03,4.8345e-05,4.4531e-06,7.0962e-08,,,,,,           -4.5714,            5.2357,            0.0422,           10.5939,           18.8805,           -7.9363,           -0.6796,           -0.3754,            0.0940,           13.3922,
Ref 7,3.56171e-08,,,,,,1.1862e-02,4.1663e-03,4.8342e-05,4.4065e-06,6.9704e-08,,,,,,,,,,,
Sam 7,3.60782e-08,1.18077e-02,4.1880e-03,4.8348e-05,4.4506e-06,7.0330e-08,,,,,,           -4.5760,            5.2289,            0.1049,           10.4878,            6.6655,           -7.9410,           -0.6864,           -0.3012,            0.0026,            1.2613,
Ref 8,3.50982e-08,,,,,,1.1862e-02,4.1663e-03,4.8343e-05,4.4022e-06,7.0026e-08,,,,,,,,,,,
Sam 8,3.55464e-08,1.18078e-02,4.1881e-03,4.8360e-05,4.4512e-06,7.1100e-08,,,,,,           -4.5633,            5.2374,            0.2488,           10.9118,            7.9718,           -7.9277,           -0.6780,           -0.1789,            0.4053,            2.5304,
Ref 9,3.45840e-08,,,,,,1.1862e-02,4.1662e-03,4.8352e-05,4.4040e-06,7.1057e-08,,,,,,,,,,,
Sam 9,3.50147e-08,1.18077e-02,4.1881e-03,4.8354e-05,4.4500e-06,7.1761e-08,,,,,,           -4.5749,            5.2303,            0.0777,           10.3013,            5.6986,           -7.9398,           -0.6850,           -0.3310,           -0.1847,            0.2957,
Ref 10,3.40352e-08,,,,,,1.1862e-02,4.1663e-03,4.8349e-05,4.4052e-06,7.1657e-08,,,,,,,,,,,
Sam 10,3.45168e-08,1.18076e-02,4.1881e-03,4.8350e-05,4.4505e-06,7.0905e-08,,,,,,           -4.5796,            5.2207,            0.0137,           10.0722,            9.7986,           -7.9445,           -0.6945,           -0.3808,           -0.3924,            4.3975,
Ref 11,3.35180e-08,,,,,,1.1862e-02,4.1664e-03,4.8351e-05,4.4069e-06,6.8756e-08,,,,,,,,,,,
Sam 11,3.40259e-08,1.18076e-02,4.1881e-03,4.8352e-05,4.4503e-06,7.1587e-08,,,,,,           -4.5760,            5.2170,            0.0477,           10.1550,           35.6570,           -7.9405,           -0.6982,           -0.3469,           -0.3032,           30.1211,
Ref 12,3.30411e-08,,,,,,1.1862e-02,4.1663e-03,4.8349e-05,4.4041e-06,6.9494e-08,,,,,,,,,,,
Sam 12,3.35336e-08,1.18077e-02,4.1882e-03,4.8355e-05,4.4505e-06,7.1001e-08,,,,,,           -4.5689,            5.2375,            0.1062,           10.3227,            6.8827,           -7.9337,           -0.6779,           -0.3157,           -0.1779,            1.4529,
Ref 13,3.25504e-08,,,,,,1.1862e-02,4.1664e-03,4.8351e-05,4.4060e-06,7.1552e-08,,,,,,,,,,,
Sam 13,3.30411e-08,1.18076e-02,4.1882e-03,4.8356e-05,4.4503e-06,7.0755e-08,,,,,,           -4.5749,            5.2266,            0.0976,           10.1297,           -9.8760,           -7.9397,           -0.6886,           -0.3074,           -0.3472,          -15.1881,
Ref 14,3.20684e-08,,,,,,1.1862e-02,4.1664e-03,4.8351e-05,4.4055e-06,7.1367e-08,,,,,,,,,,,
Sam 14,3.25702e-08,1.18077e-02,4.1882e-03,4.8356e-05,4.4478e-06,7.1284e-08,,,,,,           -4.5720,            5.2279,            0.0813,            9.6263,           11.9852,           -7.9367,           -0.6873,           -0.3280,           -0.8481,            6.5502,
Ref 15,3.16113e-08,,,,,,1.1862e-02,4.1665e-03,4.8352e-05,4.4052e-06,6.9498e-08,,,,,,,,,,,
Sam 15,3.21128e-08,1.18077e-02,4.1883e-03,4.8353e-05,4.4502e-06,6.9693e-08,,,,,,           -4.5652,            5.2205,            0.1160,           10.3639,           -2.7174,           -7.9291,           -0.6947,           -0.2932,           -0.1033,           -8.0664,
Ref 16,3.11375e-08,,,,,,1.1862e-02,4.1666e-03,4.8342e-05,4.4039e-06,7.0274e-08,,,,,,,,,,,
Sam 16,3.16566e-08,1.18077e-02,4.1883e-03,4.8359e-05,4.4527e-06,7.1889e-08,,,,,,           -4.5651,            5.2304,            0.2393,           11.0308,           16.1108,           -7.9294,           -0.6848,           -0.1798,            0.5369,           10.6410,
Ref 17,3.06886e-08,,,,,,1.1862e-02,4.1665e-03,4.8352e-05,4.4044e-06,7.1232e-08,,,,,,,,,,,
Sam 17,3.12049e-08,1.18077e-02,4.1884e-03,4.8359e-05,4.4507e-06,7.1881e-08,,,,,,           -4.5598,            5.2418,            0.1226,           10.4438,           10.6835,           -7.9241,           -0.6735,           -0.3130,           -0.0667,            5.2149,
Ref 18,3.02409e-08,,,,,,1.1862e-02,4.1666e-03,4.8354e-05,4.4051e-06,7.1009e-08,,,,,,,,,,,
Sam 18,3.07696e-08,1.18075e-02,4.1884e-03,4.8360e-05,4.4500e-06,7.1741e-08,,,,,,           -4.5763,            5.2228,            0.1413,           10.4880,            6.4200,           -7.9410,           -0.6924,           -0.2587,            0.0148,            1.0293,
Ref 19,2.97971e-08,,,,,,1.1862e-02,4.1666e-03,4.8353e-05,4.4025e-06,7.1563e-08,,,,,,,,,,,
Sam 19,3.03437e-08,1.18076e-02,4.1884e-03,4.8361e-05,4.4500e-06,7.1040e-08,,,,,,           -4.5747,            5.2326,            0.1758,           10.5480,           -0.0197,           -7.9397,           -0.6827,           -0.2354,            0.0548,           -5.3965,
Ref 20,2.93537e-08,,,,,,1.1862e-02,4.1667e-03,4.8353e-05,4.4046e-06,7.0511e-08,,,,,,,,,,,
Sam 20,2.99108e-08,1.18076e-02,4.1884e-03,4.8358e-05,4.4515e-06,7.0747e-08,,,,,,           -4.5820,            5.2147,            0.0647,           10.5828,            2.4702,           -7.9468,           -0.7004,           -0.3214,            0.1248,           -2.8774,
Ref 21,2.89510e-08,,,,,,1.1862e-02,4.1667e-03,4.8357e-05,4.4052e-06,7.0634e-08,,,,,,,,,,,


