Nu Stable Isotope Analysis Program
Data Collected on Tuesday, October 31, 2023 at 05:58 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, October 31, 2023 at 06:57 with Stable 1.71.5 on PS019

Data File = Data_20766 MDS 5.0.txt,       Sample Weight = 444,                      Vial Location = 7,                        Initial Sam Beam = 2.5026e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6075e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01918
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.40416e-08,,,,,,1.1863e-02,4.1646e-03,4.8321e-05,4.4049e-06,6.7614e-08,
Sam 1,8.32382e-08,1.17846e-02,4.1839e-03,4.8193e-05,4.4452e-06,6.8389e-08,,,,,,           -6.6335,            4.5925,           -2.6940,            9.0562,           10.0082,          -10.1087,           -1.3152,           -0.3480,           -0.1485,            8.0543,
Ref 2,8.24266e-08,,,,,,1.1863e-02,4.1649e-03,4.8325e-05,4.4058e-06,6.7810e-08,,,,,,,,,,,
Sam 2,8.16036e-08,1.17848e-02,4.1840e-03,4.8197e-05,4.4463e-06,6.9097e-08,,,,,,           -6.6257,            4.5867,           -2.6929,            9.0845,           19.0434,          -10.1002,           -1.3210,           -0.3492,           -0.1089,           17.0752,
Ref 3,8.07372e-08,,,,,,1.1863e-02,4.1649e-03,4.8329e-05,4.4067e-06,6.7801e-08,,,,,,,,,,,
Sam 3,7.99517e-08,1.17848e-02,4.1841e-03,4.8194e-05,4.4461e-06,6.8637e-08,,,,,,           -6.6329,            4.5847,           -2.7976,            8.9604,           17.4327,          -10.1077,           -1.3229,           -0.4449,           -0.2281,           15.4791,
Ref 4,7.90619e-08,,,,,,1.1863e-02,4.1650e-03,4.8329e-05,4.4066e-06,6.7114e-08,,,,,,,,,,,
Sam 4,7.83435e-08,1.17847e-02,4.1841e-03,4.8194e-05,4.4458e-06,6.8907e-08,,,,,,           -6.6342,            4.5830,           -2.7952,            8.8360,           15.1821,          -10.1091,           -1.3246,           -0.4394,           -0.3479,           13.2377,
Ref 5,7.74355e-08,,,,,,1.1863e-02,4.1650e-03,4.8330e-05,4.4070e-06,6.8655e-08,,,,,,,,,,,
Sam 5,7.67620e-08,1.17847e-02,4.1841e-03,4.8200e-05,4.4458e-06,6.8181e-08,,,,,,           -6.6318,            4.5716,           -2.6974,            8.9644,           -2.3610,          -10.1061,           -1.3360,           -0.3327,           -0.1979,           -4.2520,
Ref 6,7.58385e-08,,,,,,1.1863e-02,4.1651e-03,4.8330e-05,4.4056e-06,6.8023e-08,,,,,,,,,,,
Sam 6,7.52309e-08,1.17847e-02,4.1842e-03,4.8198e-05,4.4464e-06,6.8913e-08,,,,,,           -6.6368,            4.5791,           -2.7516,            9.0900,            9.8043,          -10.1118,           -1.3285,           -0.3892,           -0.0885,            7.8806,
Ref 7,7.43035e-08,,,,,,1.1863e-02,4.1651e-03,4.8331e-05,4.4071e-06,6.8468e-08,,,,,,,,,,,
Sam 7,7.40642e-08,1.17843e-02,4.1839e-03,4.8189e-05,4.4462e-06,6.9817e-08,,,,,,           -6.6494,            4.5524,           -2.8739,            9.0180,           17.9411,          -10.1242,           -1.3550,           -0.4726,           -0.1067,           16.0688,
Ref 8,7.31557e-08,,,,,,1.1863e-02,4.1649e-03,4.8325e-05,4.4058e-06,6.8707e-08,,,,,,,,,,,
Sam 8,7.26476e-08,1.17843e-02,4.1840e-03,4.8194e-05,4.4459e-06,6.9492e-08,,,,,,           -6.6389,            4.5778,           -2.7301,            9.1908,           15.2358,          -10.1140,           -1.3298,           -0.3642,            0.0140,           13.3068,
Ref 9,7.17148e-08,,,,,,1.1863e-02,4.1649e-03,4.8326e-05,4.4049e-06,6.8187e-08,,,,,,,,,,,
Sam 9,7.12505e-08,1.17842e-02,4.1840e-03,4.8193e-05,4.4452e-06,6.9146e-08,,,,,,           -6.6486,            4.5642,           -2.7758,            8.9862,           12.2615,          -10.1238,           -1.3433,           -0.3865,           -0.1615,           10.3756,
Ref 10,7.01409e-08,,,,,,1.1863e-02,4.1650e-03,4.8329e-05,4.4064e-06,6.8432e-08,,,,,,,,,,,
Sam 10,6.96997e-08,1.17844e-02,4.1841e-03,4.8195e-05,4.4450e-06,7.0967e-08,,,,,,           -6.6381,            4.5699,           -2.7870,            8.8011,           27.1310,          -10.1128,           -1.3376,           -0.4143,           -0.3565,           25.1943,
Ref 11,6.87599e-08,,,,,,1.1863e-02,4.1651e-03,4.8331e-05,4.4061e-06,6.9765e-08,,,,,,,,,,,
Sam 11,6.83339e-08,1.17844e-02,4.1841e-03,4.8197e-05,4.4459e-06,6.9774e-08,,,,,,           -6.6375,            4.5649,           -2.7021,            9.0059,            7.3955,          -10.1120,           -1.3426,           -0.3249,           -0.1436,            5.5052,
Ref 12,6.73695e-08,,,,,,1.1863e-02,4.1652e-03,4.8325e-05,4.4064e-06,6.8747e-08,,,,,,,,,,,
Sam 12,6.70250e-08,1.17844e-02,4.1842e-03,4.8199e-05,4.4463e-06,6.8884e-08,,,,,,           -6.6389,            4.5572,           -2.6355,            9.0893,            3.6194,          -10.1132,           -1.3503,           -0.2492,           -0.0456,            1.7528,
Ref 13,6.60662e-08,,,,,,1.1863e-02,4.1652e-03,4.8328e-05,4.4061e-06,6.8523e-08,,,,,,,,,,,
Sam 13,6.57049e-08,1.17844e-02,4.1843e-03,4.8199e-05,4.4464e-06,6.9128e-08,,,,,,           -6.6373,            4.5712,           -2.6906,            9.1111,            6.5882,          -10.1120,           -1.3364,           -0.3197,           -0.0518,            4.6868,
Ref 14,6.47539e-08,,,,,,1.1863e-02,4.1652e-03,4.8330e-05,4.4064e-06,6.8832e-08,,,,,,,,,,,
Sam 14,6.44488e-08,1.17843e-02,4.1844e-03,4.8200e-05,4.4446e-06,7.0173e-08,,,,,,           -6.6386,            4.5881,           -2.7262,            8.8986,           17.3723,          -10.1139,           -1.3195,           -0.3707,           -0.2961,           15.4183,
Ref 15,6.35055e-08,,,,,,1.1863e-02,4.1653e-03,4.8333e-05,4.4043e-06,6.9120e-08,,,,,,,,,,,
Sam 15,6.33171e-08,1.17843e-02,4.1843e-03,4.8200e-05,4.4450e-06,6.9321e-08,,,,,,           -6.6391,            4.5555,           -2.7391,            9.1528,            5.8154,          -10.1133,           -1.3520,           -0.3512,            0.0209,            3.9484,
Ref 16,6.22980e-08,,,,,,1.1863e-02,4.1653e-03,4.8332e-05,4.4050e-06,6.8715e-08,,,,,,,,,,,
Sam 16,6.21085e-08,1.17843e-02,4.1844e-03,4.8197e-05,4.4453e-06,7.0065e-08,,,,,,           -6.6359,            4.5729,           -2.7523,            9.1021,           13.0074,          -10.1106,           -1.3347,           -0.3847,           -0.0641,           11.0891,
Ref 17,6.11201e-08,,,,,,1.1863e-02,4.1653e-03,4.8329e-05,4.4053e-06,6.9624e-08,,,,,,,,,,,
Sam 17,6.09387e-08,1.17843e-02,4.1844e-03,4.8202e-05,4.4461e-06,6.9981e-08,,,,,,           -6.6383,            4.5640,           -2.6359,            9.2336,           13.7995,          -10.1128,           -1.3435,           -0.2569,            0.0839,           11.8999,
Ref 18,5.99652e-08,,,,,,1.1863e-02,4.1654e-03,4.8329e-05,4.4056e-06,6.8421e-08,,,,,,,,,,,
Sam 18,5.98626e-08,1.17842e-02,4.1844e-03,4.8200e-05,4.4465e-06,7.0008e-08,,,,,,           -6.6408,            4.5781,           -2.7130,            9.3048,           22.1829,          -10.1160,           -1.3295,           -0.3453,            0.1264,           20.2422,
Ref 19,5.89094e-08,,,,,,1.1863e-02,4.1653e-03,4.8333e-05,4.4055e-06,6.8558e-08,,,,,,,,,,,
Sam 19,5.87905e-08,1.17843e-02,4.1844e-03,4.8200e-05,4.4459e-06,6.9332e-08,,,,,,           -6.6308,            4.5785,           -2.7661,            9.1366,           11.9314,          -10.1053,           -1.3291,           -0.4093,           -0.0410,            9.9985,
Ref 20,5.78848e-08,,,,,,1.1863e-02,4.1654e-03,4.8335e-05,4.4058e-06,6.8471e-08,,,,,,,,,,,
Sam 20,5.77553e-08,1.17842e-02,4.1844e-03,4.8199e-05,4.4444e-06,6.9847e-08,,,,,,           -6.6322,            4.5763,           -2.8127,            8.7140,           16.4187,          -10.1068,           -1.3313,           -0.4525,           -0.4555,           14.4831,
Ref 21,5.68057e-08,,,,,,1.1863e-02,4.1654e-03,4.8336e-05,4.4062e-06,6.8972e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.62711e-08,,,,,,1.1863e-02,4.1655e-03,4.8336e-05,4.4055e-06,6.7523e-08,
Sam 1,5.61499e-08,1.17842e-02,4.1845e-03,4.8206e-05,4.4467e-06,7.0389e-08,,,,,,           -6.6365,            4.5650,           -2.6515,            9.2434,           33.9567,          -10.1109,           -1.3426,           -0.2754,            0.0918,           32.0154,
Ref 2,5.51771e-08,,,,,,1.1863e-02,4.1656e-03,4.8331e-05,4.4064e-06,6.8642e-08,,,,,,,,,,,
Sam 2,5.52081e-08,1.17842e-02,4.1846e-03,4.8201e-05,4.4465e-06,7.0349e-08,,,,,,           -6.6409,            4.5628,           -2.6860,            9.1174,           14.5916,          -10.1155,           -1.3447,           -0.3032,           -0.0288,           12.6958,
Ref 3,5.41888e-08,,,,,,1.1863e-02,4.1656e-03,4.8331e-05,4.4062e-06,7.0046e-08,,,,,,,,,,,
Sam 3,5.42723e-08,1.17841e-02,4.1846e-03,4.8202e-05,4.4447e-06,7.0162e-08,,,,,,           -6.6373,            4.5659,           -2.6537,            8.6872,            9.2634,          -10.1117,           -1.3417,           -0.2776,           -0.4613,            7.3675,
Ref 4,5.33088e-08,,,,,,1.1863e-02,4.1655e-03,4.8330e-05,4.4065e-06,6.8981e-08,,,,,,,,,,,
Sam 4,5.33333e-08,1.17840e-02,4.1847e-03,4.8207e-05,4.4438e-06,6.9456e-08,,,,,,           -6.6345,            4.5876,           -2.6110,            8.5264,            8.6315,          -10.1096,           -1.3201,           -0.2589,           -0.6637,            6.6910,
Ref 5,5.23285e-08,,,,,,1.1863e-02,4.1656e-03,4.8336e-05,4.4059e-06,6.8739e-08,,,,,,,,,,,
Sam 5,5.24519e-08,1.17840e-02,4.1846e-03,4.8204e-05,4.4448e-06,7.0623e-08,,,,,,           -6.6302,            4.5635,           -2.6961,            8.9175,           27.7495,          -10.1041,           -1.3441,           -0.3251,           -0.2283,           25.8159,
Ref 6,5.14867e-08,,,,,,1.1863e-02,4.1656e-03,4.8332e-05,4.4051e-06,6.8693e-08,,,,,,,,,,,
Sam 6,5.15061e-08,1.17841e-02,4.1846e-03,4.8205e-05,4.4456e-06,6.9445e-08,,,,,,           -6.6227,            4.5612,           -2.6640,            8.9799,            6.8458,          -10.0961,           -1.3464,           -0.2985,           -0.1619,            4.9480,
Ref 7,5.05144e-08,,,,,,1.1863e-02,4.1657e-03,4.8335e-05,4.4070e-06,6.9257e-08,,,,,,,,,,,
Sam 7,5.06508e-08,1.17840e-02,4.1847e-03,4.8204e-05,4.4447e-06,7.0183e-08,,,,,,           -6.6312,            4.5550,           -2.7090,            8.7784,           18.8514,          -10.1049,           -1.3525,           -0.3286,           -0.3491,           16.9525,
Ref 8,4.96882e-08,,,,,,1.1863e-02,4.1657e-03,4.8335e-05,4.4050e-06,6.8505e-08,,,,,,,,,,,
Sam 8,4.97741e-08,1.17839e-02,4.1847e-03,4.8205e-05,4.4456e-06,6.8549e-08,,,,,,           -6.6290,            4.5684,           -2.6716,            9.2167,           -2.0809,          -10.1031,           -1.3392,           -0.3065,            0.0586,           -3.9692,
Ref 9,4.87913e-08,,,,,,1.1863e-02,4.1657e-03,4.8334e-05,4.4051e-06,6.8881e-08,,,,,,,,,,,
Sam 9,4.89211e-08,1.17840e-02,4.1848e-03,4.8208e-05,4.4446e-06,6.9919e-08,,,,,,           -6.6274,            4.5744,           -2.6217,            8.9848,           11.2182,          -10.1016,           -1.3332,           -0.2642,           -0.1834,            9.2910,
Ref 10,4.79581e-08,,,,,,1.1863e-02,4.1658e-03,4.8335e-05,4.4050e-06,6.9411e-08,,,,,,,,,,,
Sam 10,4.81113e-08,1.17838e-02,4.1848e-03,4.8206e-05,4.4448e-06,6.9888e-08,,,,,,           -6.6378,            4.5625,           -2.7036,            9.0956,            1.3810,          -10.1122,           -1.3451,           -0.3237,           -0.0498,           -0.4928,
Ref 11,4.71445e-08,,,,,,1.1863e-02,4.1658e-03,4.8339e-05,4.4044e-06,7.0180e-08,,,,,,,,,,,
Sam 11,4.73214e-08,1.17839e-02,4.1848e-03,4.8208e-05,4.4463e-06,7.1104e-08,,,,,,           -6.6286,            4.5539,           -2.7227,            9.6624,           18.1591,          -10.1021,           -1.3536,           -0.3440,            0.5290,           16.2609,
Ref 12,4.63568e-08,,,,,,1.1862e-02,4.1659e-03,4.8342e-05,4.4031e-06,6.9486e-08,,,,,,,,,,,
Sam 12,4.65546e-08,1.17838e-02,4.1849e-03,4.8205e-05,4.4468e-06,6.9740e-08,,,,,,           -6.6327,            4.5652,           -2.8159,            9.8136,            5.3834,          -10.1069,           -1.3424,           -0.4443,            0.6563,            3.4912,
Ref 13,4.55859e-08,,,,,,1.1863e-02,4.1659e-03,4.8341e-05,4.4042e-06,6.9245e-08,,,,,,,,,,,
Sam 13,4.58030e-08,1.17838e-02,4.1849e-03,4.8211e-05,4.4443e-06,6.9776e-08,,,,,,           -6.6387,            4.5626,           -2.6967,            8.6921,           11.5021,          -10.1131,           -1.3449,           -0.3161,           -0.4499,            9.6099,
Ref 14,4.48368e-08,,,,,,1.1863e-02,4.1659e-03,4.8341e-05,4.4078e-06,6.8715e-08,,,,,,,,,,,
Sam 14,4.50731e-08,1.17838e-02,4.1849e-03,4.8210e-05,4.4448e-06,7.0819e-08,,,,,,           -6.6345,            4.5642,           -2.7029,            8.8177,           23.1007,          -10.1088,           -1.3433,           -0.3282,           -0.3287,           21.1791,
Ref 15,4.41085e-08,,,,,,1.1862e-02,4.1659e-03,4.8340e-05,4.4040e-06,6.9732e-08,,,,,,,,,,,
Sam 15,4.43521e-08,1.17838e-02,4.1849e-03,4.8207e-05,4.4455e-06,7.1679e-08,,,,,,           -6.6323,            4.5680,           -2.7240,            9.2215,           25.4331,          -10.1065,           -1.3396,           -0.3553,            0.0641,           23.4971,
Ref 16,4.33855e-08,,,,,,1.1862e-02,4.1659e-03,4.8337e-05,4.4056e-06,7.0074e-08,,,,,,,,,,,
Sam 16,4.36441e-08,1.17836e-02,4.1850e-03,4.8208e-05,4.4470e-06,7.0949e-08,,,,,,           -6.6492,            4.5699,           -2.6821,            9.6452,           27.1681,          -10.1246,           -1.3376,           -0.2977,            0.4800,           25.2435,
Ref 17,4.26835e-08,,,,,,1.1862e-02,4.1660e-03,4.8339e-05,4.4033e-06,6.8055e-08,,,,,,,,,,,
Sam 17,4.29502e-08,1.17838e-02,4.1850e-03,4.8210e-05,4.4458e-06,6.9893e-08,,,,,,           -6.6279,            4.5708,           -2.6200,            9.5846,           10.5603,          -10.1020,           -1.3368,           -0.2583,            0.4183,            8.6421,
Ref 18,4.19937e-08,,,,,,1.1862e-02,4.1660e-03,4.8334e-05,4.4039e-06,7.0289e-08,,,,,,,,,,,
Sam 18,4.22734e-08,1.17836e-02,4.1850e-03,4.8208e-05,4.4443e-06,6.9574e-08,,,,,,           -6.6325,            4.5633,           -2.7246,            8.9403,           -0.5862,          -10.1066,           -1.3442,           -0.3511,           -0.2053,           -2.4638,
Ref 19,4.13219e-08,,,,,,1.1862e-02,4.1660e-03,4.8345e-05,4.4060e-06,6.8930e-08,,,,,,,,,,,
Sam 19,4.16087e-08,1.17836e-02,4.1850e-03,4.8211e-05,4.4433e-06,7.0307e-08,,,,,,           -6.6328,            4.5709,           -2.7741,            8.7994,           17.9451,          -10.1071,           -1.3367,           -0.4079,           -0.3601,           16.0179,
Ref 20,4.06576e-08,,,,,,1.1862e-02,4.1660e-03,4.8344e-05,4.4031e-06,6.9208e-08,,,,,,,,,,,
Sam 20,4.09582e-08,1.17835e-02,4.1850e-03,4.8208e-05,4.4430e-06,7.0830e-08,,,,,,           -6.6370,            4.5730,           -2.8088,            9.0001,           13.0693,          -10.1117,           -1.3345,           -0.4404,           -0.1654,           11.1518,
Ref 21,4.00072e-08,,,,,,1.1862e-02,4.1660e-03,4.8344e-05,4.4037e-06,7.0637e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.96856e-08,,,,,,1.1862e-02,4.1660e-03,4.8341e-05,4.4038e-06,6.8636e-08,
Sam 1,4.00092e-08,1.17835e-02,4.1850e-03,4.8209e-05,4.4434e-06,7.1022e-08,,,,,,           -6.6347,            4.5556,           -2.7247,            9.1596,           32.7689,          -10.1086,           -1.3519,           -0.3414,            0.0273,           30.8467,
Ref 2,3.90571e-08,,,,,,1.1862e-02,4.1660e-03,4.8341e-05,4.4022e-06,6.8903e-08,,,,,,,,,,,
Sam 2,3.93903e-08,1.17835e-02,4.1851e-03,4.8206e-05,4.4432e-06,7.0572e-08,,,,,,           -6.6290,            4.5727,           -2.7209,            9.3491,           17.9978,          -10.1032,           -1.3349,           -0.3602,            0.1811,           16.0629,
Ref 3,3.84408e-08,,,,,,1.1862e-02,4.1661e-03,4.8333e-05,4.4019e-06,6.9752e-08,,,,,,,,,,,
Sam 3,3.87759e-08,1.17835e-02,4.1851e-03,4.8203e-05,4.4444e-06,7.1326e-08,,,,,,           -6.6327,            4.5595,           -2.7525,            9.3893,           14.3025,          -10.1067,           -1.3481,           -0.3751,            0.2473,           12.4048,
Ref 4,3.78273e-08,,,,,,1.1862e-02,4.1661e-03,4.8339e-05,4.4042e-06,7.0897e-08,,,,,,,,,,,
Sam 4,3.81876e-08,1.17835e-02,4.1851e-03,4.8207e-05,4.4420e-06,6.9587e-08,,,,,,           -6.6282,            4.5434,           -2.7737,            8.7714,           -9.6358,          -10.1014,           -1.3640,           -0.3853,           -0.3331,          -11.4624,
Ref 5,3.72393e-08,,,,,,1.1862e-02,4.1662e-03,4.8343e-05,4.4026e-06,6.9621e-08,,,,,,,,,,,
Sam 5,3.76117e-08,1.17834e-02,4.1852e-03,4.8209e-05,4.4415e-06,7.0300e-08,,,,,,           -6.6303,            4.5595,           -2.7136,            8.4866,            1.7739,          -10.1042,           -1.3480,           -0.3386,           -0.6474,           -0.1030,
Ref 6,3.66652e-08,,,,,,1.1862e-02,4.1661e-03,4.8337e-05,4.4056e-06,7.0740e-08,,,,,,,,,,,
Sam 6,3.70499e-08,1.17834e-02,4.1852e-03,4.8210e-05,4.4441e-06,7.0218e-08,,,,,,           -6.6328,            4.5668,           -2.7151,            8.8621,          -11.8636,          -10.1070,           -1.3408,           -0.3446,           -0.2898,          -13.7263,
Ref 7,3.61051e-08,,,,,,1.1862e-02,4.1662e-03,4.8345e-05,4.4045e-06,7.1387e-08,,,,,,,,,,,
Sam 7,3.65371e-08,1.17833e-02,4.1851e-03,4.8209e-05,4.4430e-06,7.0435e-08,,,,,,           -6.6416,            4.5424,           -2.7729,            8.8488,           -1.0820,          -10.1156,           -1.3650,           -0.3696,           -0.2544,           -2.9080,
Ref 8,3.55814e-08,,,,,,1.1862e-02,4.1662e-03,4.8342e-05,4.4036e-06,6.9623e-08,,,,,,,,,,,
Sam 8,3.59597e-08,1.17834e-02,4.1853e-03,4.8207e-05,4.4443e-06,7.1397e-08,,,,,,           -6.6250,            4.5793,           -2.8414,            9.1712,           16.6757,          -10.0992,           -1.3283,           -0.4915,           -0.0084,           14.7259,
Ref 9,3.50597e-08,,,,,,1.1862e-02,4.1662e-03,4.8346e-05,4.4042e-06,7.0838e-08,,,,,,,,,,,
Sam 9,3.54786e-08,1.17833e-02,4.1852e-03,4.8211e-05,4.4435e-06,7.0480e-08,,,,,,           -6.6305,            4.5568,           -2.7308,            8.9163,            6.5114,          -10.1043,           -1.3507,           -0.3530,           -0.2161,            4.6312,
Ref 10,3.45362e-08,,,,,,1.1862e-02,4.1662e-03,4.8340e-05,4.4043e-06,6.9198e-08,,,,,,,,,,,
Sam 10,3.49503e-08,1.17833e-02,4.1852e-03,4.8210e-05,4.4408e-06,7.1904e-08,,,,,,           -6.6226,            4.5473,           -2.7441,            8.5248,           42.2064,          -10.0955,           -1.3602,           -0.3652,           -0.5851,           40.2702,
Ref 11,3.39993e-08,,,,,,1.1862e-02,4.1663e-03,4.8346e-05,4.4023e-06,6.8782e-08,,,,,,,,,,,
Sam 11,3.44083e-08,1.17834e-02,4.1853e-03,4.8218e-05,4.4441e-06,7.1482e-08,,,,,,           -6.6203,            4.5614,           -2.6768,            9.3392,           23.9275,          -10.0936,           -1.3461,           -0.3140,            0.1937,           21.9944,
Ref 12,3.34927e-08,,,,,,1.1862e-02,4.1663e-03,4.8348e-05,4.4036e-06,7.0858e-08,,,,,,,,,,,
Sam 12,3.39351e-08,1.17832e-02,4.1853e-03,4.8212e-05,4.4436e-06,7.0429e-08,,,,,,           -6.6319,            4.5402,           -2.8441,            9.0701,            1.0394,          -10.1051,           -1.3673,           -0.4489,           -0.0307,           -0.7966,
Ref 13,3.29943e-08,,,,,,1.1862e-02,4.1663e-03,4.8350e-05,4.4037e-06,6.9847e-08,,,,,,,,,,,
Sam 13,3.34442e-08,1.17832e-02,4.1854e-03,4.8216e-05,4.4411e-06,7.0945e-08,,,,,,           -6.6299,            4.5565,           -2.7484,            8.8864,           13.3674,          -10.1036,           -1.3511,           -0.3709,           -0.2451,           11.4744,
Ref 14,3.24970e-08,,,,,,1.1862e-02,4.1664e-03,4.8348e-05,4.4003e-06,7.0173e-08,,,,,,,,,,,
Sam 14,3.29303e-08,1.17833e-02,4.1855e-03,4.8215e-05,4.4420e-06,7.2377e-08,,,,,,           -6.6242,            4.5591,           -2.7268,            9.5828,           30.8063,          -10.0976,           -1.3484,           -0.3578,            0.4397,           28.8692,
Ref 15,3.20182e-08,,,,,,1.1862e-02,4.1665e-03,4.8345e-05,4.3995e-06,7.0256e-08,,,,,,,,,,,
Sam 15,3.24934e-08,1.17832e-02,4.1854e-03,4.8219e-05,4.4421e-06,7.0715e-08,,,,,,           -6.6308,            4.5520,           -2.6675,            9.4177,           -5.5728,          -10.1044,           -1.3555,           -0.2845,            0.2902,           -7.4208,
Ref 16,3.15528e-08,,,,,,1.1862e-02,4.1664e-03,4.8351e-05,4.4019e-06,7.1978e-08,,,,,,,,,,,
Sam 16,3.20317e-08,1.17831e-02,4.1854e-03,4.8219e-05,4.4415e-06,7.0573e-08,,,,,,           -6.6367,            4.5307,           -2.6731,            8.5781,           -2.9990,          -10.1100,           -1.3766,           -0.2632,           -0.4994,           -4.8040,
Ref 17,3.10883e-08,,,,,,1.1862e-02,4.1666e-03,4.8346e-05,4.4055e-06,6.9574e-08,,,,,,,,,,,
Sam 17,3.15773e-08,1.17832e-02,4.1855e-03,4.8217e-05,4.4421e-06,7.0694e-08,,,,,,           -6.6299,            4.5465,           -2.6691,            8.8211,           13.7582,          -10.1033,           -1.3610,           -0.2816,           -0.2899,           11.8844,
Ref 18,3.06455e-08,,,,,,1.1862e-02,4.1665e-03,4.8346e-05,4.4009e-06,6.9897e-08,,,,,,,,,,,
Sam 18,3.11366e-08,1.17832e-02,4.1855e-03,4.8206e-05,4.4409e-06,7.0695e-08,,,,,,           -6.6291,            4.5430,           -2.9052,            8.7398,            6.5774,          -10.1023,           -1.3644,           -0.5157,           -0.3637,            4.7227,
Ref 19,3.02042e-08,,,,,,1.1862e-02,4.1666e-03,4.8347e-05,4.4039e-06,7.0574e-08,,,,,,,,,,,
Sam 19,3.07040e-08,1.17832e-02,4.1856e-03,4.8217e-05,4.4410e-06,7.1382e-08,,,,,,           -6.6308,            4.5696,           -2.6540,            8.3157,           11.6674,          -10.1050,           -1.3380,           -0.2883,           -0.8368,            9.7525,
Ref 20,2.97737e-08,,,,,,1.1862e-02,4.1665e-03,4.8345e-05,4.4048e-06,7.0544e-08,,,,,,,,,,,
Sam 20,3.02699e-08,1.17830e-02,4.1856e-03,4.8219e-05,4.4412e-06,7.1183e-08,,,,,,           -6.6391,            4.5690,           -2.6885,            8.6231,           13.0769,          -10.1138,           -1.3385,           -0.3137,           -0.5311,           11.1695,
