Nu Stable Isotope Analysis Program
Data Collected on Tuesday, October 31, 2023 at 10:44 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, October 31, 2023 at 11:43 with Stable 1.71.5 on PS019

Data File = Data_20769 ETH-3.txt,         Sample Weight = 448,                      Vial Location = 10,                       Initial Sam Beam = 2.5037e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.3871e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01919
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.54524e-08,,,,,,1.1863e-02,4.1646e-03,4.8343e-05,4.4056e-06,7.3882e-08,
Sam 1,8.46268e-08,1.19146e-02,4.2133e-03,4.9091e-05,4.5090e-06,6.8143e-08,,,,,,            4.3409,           11.6704,           15.6401,           23.1710,          -34.7533,            1.3265,            5.7044,           -0.3637,           -0.2989,          -60.8707,
Ref 2,8.38182e-08,,,,,,1.1863e-02,4.1649e-03,4.8327e-05,4.4081e-06,6.7248e-08,,,,,,,,,,,
Sam 2,8.29543e-08,1.19147e-02,4.2135e-03,4.9089e-05,4.5092e-06,6.8079e-08,,,,,,            4.3307,           11.6639,           15.7382,           23.0155,           16.7410,            1.3159,            5.6980,           -0.2504,           -0.4381,          -10.7466,
Ref 3,8.20852e-08,,,,,,1.1863e-02,4.1649e-03,4.8331e-05,4.4073e-06,6.6663e-08,,,,,,,,,,,
Sam 3,8.12787e-08,1.19147e-02,4.2135e-03,4.9093e-05,4.5084e-06,6.8920e-08,,,,,,            4.3312,           11.6526,           15.7814,           23.0421,           30.4660,            1.3169,            5.6868,           -0.1975,           -0.3898,            2.6288,
Ref 4,8.03743e-08,,,,,,1.1863e-02,4.1650e-03,4.8329e-05,4.4064e-06,6.7106e-08,,,,,,,,,,,
Sam 4,7.96189e-08,1.19146e-02,4.2135e-03,4.9092e-05,4.5076e-06,6.8564e-08,,,,,,            4.3275,           11.6404,           15.7607,           22.8210,           22.0771,            1.3133,            5.6747,           -0.2021,           -0.5817,           -5.5060,
Ref 5,7.87032e-08,,,,,,1.1863e-02,4.1651e-03,4.8332e-05,4.4077e-06,6.7060e-08,,,,,,,,,,,
Sam 5,7.79880e-08,1.19147e-02,4.2136e-03,4.9089e-05,4.5087e-06,6.8716e-08,,,,,,            4.3346,           11.6535,           15.6989,           23.1556,           23.7359,            1.3204,            5.6876,           -0.2830,           -0.2805,           -3.9247,
Ref 6,7.70643e-08,,,,,,1.1863e-02,4.1651e-03,4.8329e-05,4.4057e-06,6.7187e-08,,,,,,,,,,,
Sam 6,7.64122e-08,1.19147e-02,4.2137e-03,4.9094e-05,4.5095e-06,6.8495e-08,,,,,,            4.3325,           11.6530,           15.8221,           23.2948,           23.3993,            1.3182,            5.6872,           -0.1591,           -0.1436,           -4.2491,
Ref 7,7.54862e-08,,,,,,1.1863e-02,4.1652e-03,4.8328e-05,4.4080e-06,6.6666e-08,,,,,,,,,,,
Sam 7,7.53266e-08,1.19141e-02,4.2133e-03,4.9082e-05,4.5074e-06,6.8903e-08,,,,,,            4.3079,           11.6096,           15.6734,           22.8924,           30.3290,            1.2935,            5.6440,           -0.2380,           -0.4510,            2.6042,
Ref 8,7.43858e-08,,,,,,1.1863e-02,4.1648e-03,4.8321e-05,4.4050e-06,6.7087e-08,,,,,,,,,,,
Sam 8,7.36182e-08,1.19144e-02,4.2136e-03,4.9090e-05,4.5105e-06,6.9460e-08,,,,,,            4.3389,           11.6739,           15.8341,           23.8054,           35.3269,            1.3243,            5.7080,           -0.1741,            0.3139,            7.3085,
Ref 9,7.26735e-08,,,,,,1.1863e-02,4.1651e-03,4.8328e-05,4.4063e-06,6.7093e-08,,,,,,,,,,,
Sam 9,7.21644e-08,1.19143e-02,4.2136e-03,4.9090e-05,4.5088e-06,6.8711e-08,,,,,,            4.3245,           11.6388,           15.7595,           23.1210,           21.7587,            1.3102,            5.6731,           -0.1987,           -0.2854,           -5.8096,
Ref 10,7.12113e-08,,,,,,1.1863e-02,4.1651e-03,4.8330e-05,4.4075e-06,6.7406e-08,,,,,,,,,,,
Sam 10,7.07527e-08,1.19144e-02,4.2136e-03,4.9091e-05,4.5101e-06,6.9049e-08,,,,,,            4.3319,           11.6476,           15.7473,           23.4185,           24.8892,            1.3178,            5.6818,           -0.2270,           -0.0121,           -2.7884,
Ref 11,6.98056e-08,,,,,,1.1863e-02,4.1651e-03,4.8330e-05,4.4063e-06,6.7337e-08,,,,,,,,,,,
Sam 11,6.93899e-08,1.19143e-02,4.2136e-03,4.9091e-05,4.5100e-06,6.9183e-08,,,,,,            4.3289,           11.6495,           15.7785,           23.5130,           27.9538,            1.3145,            5.6837,           -0.1950,            0.0764,            0.1928,
Ref 12,6.84405e-08,,,,,,1.1863e-02,4.1651e-03,4.8327e-05,4.4065e-06,6.7266e-08,,,,,,,,,,,
Sam 12,6.80592e-08,1.19143e-02,4.2137e-03,4.9090e-05,4.5097e-06,6.9346e-08,,,,,,            4.3312,           11.6564,           15.7672,           23.3655,           36.0883,            1.3167,            5.6906,           -0.2151,           -0.0812,            8.0918,
Ref 13,6.71106e-08,,,,,,1.1863e-02,4.1652e-03,4.8328e-05,4.4069e-06,6.6588e-08,,,,,,,,,,,
Sam 13,6.67602e-08,1.19142e-02,4.2137e-03,4.9095e-05,4.5082e-06,6.8839e-08,,,,,,            4.3342,           11.6558,           15.9140,           23.1257,           29.7707,            1.3199,            5.6899,           -0.0732,           -0.3143,            1.9430,
Ref 14,6.58053e-08,,,,,,1.1863e-02,4.1652e-03,4.8324e-05,4.4056e-06,6.7115e-08,,,,,,,,,,,
Sam 14,6.54975e-08,1.19142e-02,4.2137e-03,4.9096e-05,4.5081e-06,6.9912e-08,,,,,,            4.3331,           11.6443,           15.9349,           23.0790,           38.6401,            1.3192,            5.6785,           -0.0402,           -0.3372,           10.5965,
Ref 15,6.45398e-08,,,,,,1.1863e-02,4.1652e-03,4.8328e-05,4.4072e-06,6.7511e-08,,,,,,,,,,,
Sam 15,6.41763e-08,1.19142e-02,4.2138e-03,4.9097e-05,4.5085e-06,6.8587e-08,,,,,,            4.3265,           11.6513,           15.8373,           22.9937,           20.6942,            1.3119,            5.6855,           -0.1364,           -0.4345,           -6.8716,
Ref 16,6.31959e-08,,,,,,1.1863e-02,4.1653e-03,4.8336e-05,4.4073e-06,6.6876e-08,,,,,,,,,,,
Sam 16,6.29648e-08,1.19143e-02,4.2138e-03,4.9091e-05,4.5093e-06,6.9615e-08,,,,,,            4.3308,           11.6423,           15.6997,           23.2662,           31.6989,            1.3168,            5.6765,           -0.2675,           -0.1504,            3.8489,
Ref 17,6.20137e-08,,,,,,1.1863e-02,4.1653e-03,4.8329e-05,4.4062e-06,6.8087e-08,,,,,,,,,,,
Sam 17,6.18092e-08,1.19142e-02,4.2139e-03,4.9097e-05,4.5084e-06,6.9727e-08,,,,,,            4.3273,           11.6473,           15.8614,           23.1764,           30.7437,            1.3129,            5.6815,           -0.1095,           -0.2480,            2.9136,
Ref 18,6.08507e-08,,,,,,1.1863e-02,4.1654e-03,4.8332e-05,4.4063e-06,6.7199e-08,,,,,,,,,,,
Sam 18,6.06767e-08,1.19143e-02,4.2139e-03,4.9095e-05,4.5085e-06,6.9614e-08,,,,,,            4.3326,           11.6464,           15.7873,           23.1246,           30.6808,            1.3185,            5.6806,           -0.1870,           -0.2968,            2.8485,
Ref 19,5.97385e-08,,,,,,1.1863e-02,4.1654e-03,4.8331e-05,4.4068e-06,6.7891e-08,,,,,,,,,,,
Sam 19,5.95594e-08,1.19141e-02,4.2139e-03,4.9097e-05,4.5084e-06,6.8812e-08,,,,,,            4.3184,           11.6395,           15.8239,           23.2528,            9.8273,            1.3036,            5.6738,           -0.1297,           -0.1579,          -17.4139,
Ref 20,5.86406e-08,,,,,,1.1863e-02,4.1654e-03,4.8334e-05,4.4051e-06,6.8399e-08,,,,,,,,,,,
Sam 20,5.84952e-08,1.19142e-02,4.2140e-03,4.9098e-05,4.5101e-06,7.0034e-08,,,,,,            4.3322,           11.6601,           15.8140,           23.6838,           33.2246,            1.3177,            5.6943,           -0.1737,            0.2224,            5.2971,
Ref 21,5.76754e-08,,,,,,1.1863e-02,4.1654e-03,4.8333e-05,4.4064e-06,6.7154e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.71240e-08,,,,,,1.1863e-02,4.1654e-03,4.8331e-05,4.4055e-06,6.7057e-08,
Sam 1,5.70022e-08,1.19141e-02,4.2140e-03,4.9094e-05,4.5074e-06,6.9562e-08,,,,,,            4.3335,           11.6373,           15.7547,           23.1034,           30.5444,            1.3198,            5.6715,           -0.2112,           -0.2995,            2.7325,
Ref 2,5.60207e-08,,,,,,1.1863e-02,4.1655e-03,4.8335e-05,4.4057e-06,6.7953e-08,,,,,,,,,,,
Sam 2,5.59294e-08,1.19141e-02,4.2140e-03,4.9099e-05,4.5074e-06,6.8911e-08,,,,,,            4.3275,           11.6439,           15.7759,           23.0437,           19.4654,            1.3132,            5.6781,           -0.1906,           -0.3709,           -8.0538,
Ref 3,5.50023e-08,,,,,,1.1863e-02,4.1655e-03,4.8337e-05,4.4059e-06,6.7231e-08,,,,,,,,,,,
Sam 3,5.49043e-08,1.19142e-02,4.2141e-03,4.9096e-05,4.5073e-06,6.9527e-08,,,,,,            4.3380,           11.6621,           15.7213,           23.1456,           33.6474,            1.3238,            5.6962,           -0.2729,           -0.3074,            5.6984,
Ref 4,5.40270e-08,,,,,,1.1863e-02,4.1656e-03,4.8334e-05,4.4048e-06,6.7296e-08,,,,,,,,,,,
Sam 4,5.40213e-08,1.19140e-02,4.2140e-03,4.9099e-05,4.5076e-06,6.9015e-08,,,,,,            4.3244,           11.6291,           15.8478,           23.3530,           15.4398,            1.3104,            5.6634,           -0.1022,           -0.0396,          -11.9391,
Ref 5,5.30634e-08,,,,,,1.1863e-02,4.1656e-03,4.8333e-05,4.4048e-06,6.8647e-08,,,,,,,,,,,
Sam 5,5.30924e-08,1.19140e-02,4.2141e-03,4.9094e-05,4.5081e-06,7.0034e-08,,,,,,            4.3302,           11.6365,           15.7100,           23.4563,           26.1447,            1.3163,            5.6708,           -0.2511,            0.0469,           -1.5434,
Ref 6,5.21091e-08,,,,,,1.1863e-02,4.1657e-03,4.8336e-05,4.4049e-06,6.7845e-08,,,,,,,,,,,
Sam 6,5.21415e-08,1.19140e-02,4.2142e-03,4.9099e-05,4.5094e-06,6.9720e-08,,,,,,            4.3254,           11.6392,           15.8046,           23.5823,           23.5274,            1.3111,            5.6735,           -0.1556,            0.1646,           -4.0902,
Ref 7,5.12070e-08,,,,,,1.1863e-02,4.1657e-03,4.8334e-05,4.4063e-06,6.8394e-08,,,,,,,,,,,
Sam 7,5.12631e-08,1.19139e-02,4.2142e-03,4.9096e-05,4.5071e-06,6.9104e-08,,,,,,            4.3242,           11.6379,           15.7074,           22.9368,           18.8809,            1.3099,            5.6722,           -0.2488,           -0.4636,           -8.6076,
Ref 8,5.03180e-08,,,,,,1.1863e-02,4.1657e-03,4.8340e-05,4.4058e-06,6.7243e-08,,,,,,,,,,,
Sam 8,5.03965e-08,1.19139e-02,4.2142e-03,4.9097e-05,4.5074e-06,6.9533e-08,,,,,,            4.3282,           11.6275,           15.7324,           23.2656,           36.5125,            1.3145,            5.6619,           -0.2182,           -0.1218,            8.5643,
Ref 9,4.94506e-08,,,,,,1.1862e-02,4.1658e-03,4.8333e-05,4.4041e-06,6.6922e-08,,,,,,,,,,,
Sam 9,4.95507e-08,1.19139e-02,4.2142e-03,4.9098e-05,4.5085e-06,6.9453e-08,,,,,,            4.3342,           11.6354,           15.7626,           23.5428,           32.4781,            1.3206,            5.6697,           -0.2024,            0.1334,            4.6170,
Ref 10,4.86056e-08,,,,,,1.1862e-02,4.1658e-03,4.8338e-05,4.4056e-06,6.7622e-08,,,,,,,,,,,
Sam 10,4.87271e-08,1.19138e-02,4.2143e-03,4.9102e-05,4.5062e-06,7.0466e-08,,,,,,            4.3248,           11.6347,           15.8180,           22.7632,           36.0611,            1.3107,            5.6690,           -0.1374,           -0.6268,            8.1148,
Ref 11,4.77752e-08,,,,,,1.1863e-02,4.1658e-03,4.8337e-05,4.4062e-06,6.8411e-08,,,,,,,,,,,
Sam 11,4.79234e-08,1.19138e-02,4.2143e-03,4.9100e-05,4.5072e-06,6.9692e-08,,,,,,            4.3299,           11.6309,           15.8158,           23.0592,           12.6322,            1.3162,            5.6652,           -0.1412,           -0.3303,          -14.6804,
Ref 12,4.69674e-08,,,,,,1.1862e-02,4.1658e-03,4.8335e-05,4.4051e-06,6.9242e-08,,,,,,,,,,,
Sam 12,4.71349e-08,1.19138e-02,4.2143e-03,4.9103e-05,4.5089e-06,7.0794e-08,,,,,,            4.3313,           11.6324,           15.8337,           23.6575,           40.9726,            1.3176,            5.6666,           -0.1264,            0.2516,           12.8914,
Ref 13,4.61875e-08,,,,,,1.1862e-02,4.1659e-03,4.8340e-05,4.4043e-06,6.6752e-08,,,,,,,,,,,
Sam 13,4.63759e-08,1.19137e-02,4.2144e-03,4.9100e-05,4.5064e-06,7.0078e-08,,,,,,            4.3272,           11.6337,           15.8050,           23.0703,           37.9060,            1.3132,            5.6680,           -0.1517,           -0.3248,            9.9093,
Ref 14,4.54217e-08,,,,,,1.1862e-02,4.1659e-03,4.8332e-05,4.4053e-06,6.8299e-08,,,,,,,,,,,
Sam 14,4.56271e-08,1.19137e-02,4.2144e-03,4.9099e-05,4.5092e-06,7.0002e-08,,,,,,            4.3261,           11.6358,           15.9061,           23.7934,           22.1380,            1.3120,            5.6701,           -0.0531,            0.3776,           -5.4364,
Ref 15,4.46750e-08,,,,,,1.1862e-02,4.1660e-03,4.8330e-05,4.4034e-06,6.8676e-08,,,,,,,,,,,
Sam 15,4.48941e-08,1.19136e-02,4.2144e-03,4.9097e-05,4.5078e-06,7.0169e-08,,,,,,            4.3186,           11.6239,           15.7850,           23.4601,           23.8211,            1.3044,            5.6583,           -0.1530,            0.0754,           -3.7677,
Ref 16,4.39438e-08,,,,,,1.1862e-02,4.1660e-03,4.8338e-05,4.4055e-06,6.8394e-08,,,,,,,,,,,
Sam 16,4.41769e-08,1.19136e-02,4.2143e-03,4.9102e-05,4.5065e-06,7.1122e-08,,,,,,            4.3206,           11.6141,           15.8376,           22.9159,           42.1491,            1.3069,            5.6485,           -0.0938,           -0.4370,           14.0836,
Ref 17,4.32264e-08,,,,,,1.1862e-02,4.1659e-03,4.8335e-05,4.4056e-06,6.8094e-08,,,,,,,,,,,
Sam 17,4.34663e-08,1.19136e-02,4.2145e-03,4.9105e-05,4.5077e-06,6.8524e-08,,,,,,            4.3157,           11.6430,           15.8954,           23.3427,           12.1799,            1.3007,            5.6773,           -0.0600,           -0.0770,          -15.1288,
Ref 18,4.25173e-08,,,,,,1.1862e-02,4.1660e-03,4.8338e-05,4.4041e-06,6.7299e-08,,,,,,,,,,,
Sam 18,4.27759e-08,1.19136e-02,4.2144e-03,4.9099e-05,4.5087e-06,7.0404e-08,,,,,,            4.3221,           11.6263,           15.7621,           23.8090,           52.5401,            1.3081,            5.6606,           -0.1816,            0.4116,           24.1688,
Ref 19,4.18300e-08,,,,,,1.1862e-02,4.1660e-03,4.8337e-05,4.4035e-06,6.6473e-08,,,,,,,,,,,
Sam 19,4.21004e-08,1.19135e-02,4.2145e-03,4.9104e-05,4.5094e-06,6.9626e-08,,,,,,            4.3244,           11.6118,           15.7864,           24.2018,           40.1316,            1.3110,            5.6462,           -0.1459,            0.8240,           12.1208,
Ref 20,4.11607e-08,,,,,,1.1862e-02,4.1661e-03,4.8345e-05,4.4020e-06,6.7415e-08,,,,,,,,,,,
Sam 20,4.14420e-08,1.19134e-02,4.2145e-03,4.9101e-05,4.5058e-06,6.9952e-08,,,,,,            4.3212,           11.6175,           15.7144,           23.2560,           36.0434,            1.3074,            5.6518,           -0.2190,           -0.1113,            8.1351,
Ref 21,4.05023e-08,,,,,,1.1862e-02,4.1660e-03,4.8338e-05,4.4047e-06,6.7623e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.01805e-08,,,,,,1.1862e-02,4.1660e-03,4.8341e-05,4.4041e-06,6.6331e-08,
Sam 1,4.04691e-08,1.19134e-02,4.2145e-03,4.9100e-05,4.5076e-06,6.8492e-08,,,,,,            4.3203,           11.6271,           15.7294,           23.6360,           26.5312,            1.3061,            5.6615,           -0.2127,            0.2409,           -1.1387,
Ref 2,3.95309e-08,,,,,,1.1862e-02,4.1661e-03,4.8339e-05,4.4029e-06,6.7118e-08,,,,,,,,,,,
Sam 2,3.98395e-08,1.19134e-02,4.2145e-03,4.9101e-05,4.5064e-06,6.9875e-08,,,,,,            4.3270,           11.6227,           15.7577,           23.3782,           34.7275,            1.3134,            5.6571,           -0.1874,           -0.0023,            6.8382,
Ref 3,3.89010e-08,,,,,,1.1862e-02,4.1661e-03,4.8340e-05,4.4040e-06,6.7948e-08,,,,,,,,,,,
Sam 3,3.92281e-08,1.19134e-02,4.2146e-03,4.9101e-05,4.5058e-06,6.9587e-08,,,,,,            4.3296,           11.6281,           15.7450,           23.0527,           31.4777,            1.3160,            5.6624,           -0.2078,           -0.3310,            3.6627,
Ref 4,3.82956e-08,,,,,,1.1862e-02,4.1662e-03,4.8339e-05,4.4045e-06,6.6972e-08,,,,,,,,,,,
Sam 4,3.86411e-08,1.19133e-02,4.2145e-03,4.9099e-05,4.5085e-06,7.0593e-08,,,,,,            4.3230,           11.6083,           15.7372,           23.6476,           55.0105,            1.3096,            5.6428,           -0.1895,            0.2894,           26.6076,
Ref 5,3.77515e-08,,,,,,1.1862e-02,4.1661e-03,4.8336e-05,4.4043e-06,6.6852e-08,,,,,,,,,,,
Sam 5,3.81010e-08,1.19133e-02,4.2145e-03,4.9098e-05,4.5059e-06,7.0993e-08,,,,,,            4.3314,           11.6076,           15.7273,           23.2335,           60.5518,            1.3186,            5.6420,           -0.2072,           -0.1138,           31.9918,
Ref 6,3.71639e-08,,,,,,1.1862e-02,4.1662e-03,4.8339e-05,4.4029e-06,6.7029e-08,,,,,,,,,,,
Sam 6,3.75332e-08,1.19131e-02,4.2145e-03,4.9105e-05,4.5045e-06,6.8656e-08,,,,,,            4.3181,           11.6004,           15.8102,           23.0706,           16.6864,            1.3047,            5.6348,           -0.1048,           -0.2587,          -10.6643,
Ref 7,3.65548e-08,,,,,,1.1862e-02,4.1662e-03,4.8342e-05,4.4028e-06,6.8038e-08,,,,,,,,,,,
Sam 7,3.69380e-08,1.19132e-02,4.2146e-03,4.9108e-05,4.5034e-06,7.0532e-08,,,,,,            4.3219,           11.6053,           15.8398,           22.4215,           35.9127,            1.3085,            5.6397,           -0.0843,           -0.9026,            8.0311,
Ref 8,3.60218e-08,,,,,,1.1862e-02,4.1662e-03,4.8343e-05,4.4065e-06,6.8137e-08,,,,,,,,,,,
Sam 8,3.64019e-08,1.19132e-02,4.2145e-03,4.9105e-05,4.5065e-06,7.0520e-08,,,,,,            4.3282,           11.5960,           15.8166,           22.9072,           27.0862,            1.3156,            5.6304,           -0.1046,           -0.4097,           -0.5464,
Ref 9,3.54491e-08,,,,,,1.1862e-02,4.1662e-03,4.8339e-05,4.4046e-06,6.9192e-08,,,,,,,,,,,
Sam 9,3.58778e-08,1.19131e-02,4.2146e-03,4.9104e-05,4.5069e-06,6.9118e-08,,,,,,            4.3216,           11.6005,           15.8656,           23.3269,            1.9557,            1.3084,            5.6349,           -0.0541,           -0.0085,          -25.0025,
Ref 10,3.49382e-08,,,,,,1.1862e-02,4.1663e-03,4.8335e-05,4.4038e-06,6.8771e-08,,,,,,,,,,,
Sam 10,3.53430e-08,1.19130e-02,4.2146e-03,4.9100e-05,4.5057e-06,7.0887e-08,,,,,,            4.3221,           11.6067,           15.7453,           23.1133,           54.3660,            1.3087,            5.6411,           -0.1789,           -0.2295,           25.9847,
Ref 11,3.44098e-08,,,,,,1.1862e-02,4.1663e-03,4.8344e-05,4.4040e-06,6.5669e-08,,,,,,,,,,,
Sam 11,3.48242e-08,1.19131e-02,4.2146e-03,4.9107e-05,4.5076e-06,6.9094e-08,,,,,,            4.3238,           11.6006,           15.7251,           23.6653,           36.6986,            1.3107,            5.6350,           -0.1946,            0.3221,            8.8031,
Ref 12,3.38639e-08,,,,,,1.1862e-02,4.1663e-03,4.8350e-05,4.4027e-06,6.7642e-08,,,,,,,,,,,
Sam 12,3.43004e-08,1.19131e-02,4.2147e-03,4.9112e-05,4.5066e-06,6.9419e-08,,,,,,            4.3182,           11.6044,           15.7884,           23.3603,           26.1835,            1.3047,            5.6388,           -0.1304,            0.0165,           -1.4306,
Ref 13,3.33691e-08,,,,,,1.1862e-02,4.1664e-03,4.8346e-05,4.4047e-06,6.7653e-08,,,,,,,,,,,
Sam 13,3.37987e-08,1.19131e-02,4.2148e-03,4.9104e-05,4.5054e-06,6.9724e-08,,,,,,            4.3190,           11.6094,           15.6800,           23.1166,           35.2789,            1.3054,            5.6438,           -0.2428,           -0.2316,            7.4093,
Ref 14,3.28748e-08,,,,,,1.1862e-02,4.1664e-03,4.8345e-05,4.4025e-06,6.7039e-08,,,,,,,,,,,
Sam 14,3.33115e-08,1.19131e-02,4.2147e-03,4.9108e-05,4.5048e-06,7.0019e-08,,,,,,            4.3158,           11.5958,           15.6454,           23.2294,           49.1188,            1.3024,            5.6303,           -0.2603,           -0.0945,           20.9071,
Ref 15,3.23829e-08,,,,,,1.1862e-02,4.1664e-03,4.8358e-05,4.4025e-06,6.6439e-08,,,,,,,,,,,
Sam 15,3.28309e-08,1.19131e-02,4.2149e-03,4.9115e-05,4.5048e-06,6.9601e-08,,,,,,            4.3190,           11.6107,           15.8319,           23.4097,           53.2372,            1.3053,            5.6451,           -0.0945,            0.0524,           24.8817,
Ref 16,3.19039e-08,,,,,,1.1862e-02,4.1665e-03,4.8340e-05,4.4010e-06,6.5722e-08,,,,,,,,,,,
Sam 16,3.23321e-08,1.19132e-02,4.2149e-03,4.9120e-05,4.5046e-06,7.0669e-08,,,,,,            4.3310,           11.6110,           16.0821,           23.4276,           46.8270,            1.3181,            5.6454,            0.1391,            0.0692,           18.6305,
Ref 17,3.14391e-08,,,,,,1.1862e-02,4.1665e-03,4.8345e-05,4.4020e-06,6.9321e-08,,,,,,,,,,,
Sam 17,3.19046e-08,1.19130e-02,4.2149e-03,4.9111e-05,4.5061e-06,6.9010e-08,,,,,,            4.3226,           11.5917,           15.8472,           23.5405,           -3.9470,            1.3098,            5.6262,           -0.0646,            0.2177,          -30.7310,
Ref 18,3.09749e-08,,,,,,1.1862e-02,4.1666e-03,4.8345e-05,4.4029e-06,6.9245e-08,,,,,,,,,,,
Sam 18,3.14205e-08,1.19131e-02,4.2150e-03,4.9117e-05,4.5061e-06,6.8724e-08,,,,,,            4.3314,           11.5988,           15.8957,           23.3605,           -5.2279,            1.3189,            5.6333,           -0.0328,            0.0276,          -31.9998,
Ref 19,3.05256e-08,,,,,,1.1862e-02,4.1666e-03,4.8352e-05,4.4035e-06,6.8923e-08,,,,,,,,,,,
Sam 19,3.10166e-08,1.19129e-02,4.2149e-03,4.9107e-05,4.5052e-06,7.0248e-08,,,,,,            4.3210,           11.5772,           15.6695,           23.4593,           26.6299,            1.3085,            5.6118,           -0.2238,            0.1669,           -0.9464,
Ref 20,3.00915e-08,,,,,,1.1862e-02,4.1667e-03,4.8347e-05,4.4005e-06,6.7921e-08,,,,,,,,,,,
Sam 20,3.05696e-08,1.19130e-02,4.2150e-03,4.9114e-05,4.5066e-06,6.9672e-08,,,,,,            4.3344,           11.6017,           15.8132,           23.6379,           28.7299,            1.3220,            5.6362,           -0.1200,            0.2930,            1.0353,
Ref 21,2.96438e-08,,,,,,1.1862e-02,4.1667e-03,4.8353e-05,4.4046e-06,6.7529e-08,,,,,,,,,,,


