Nu Stable Isotope Analysis Program
Data Collected on Tuesday, October 31, 2023 at 14:14 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, October 31, 2023 at 15:13 with Stable 1.71.5 on PS019

Data File = Data_20771 MDS 5.0.txt,       Sample Weight = 389,                      Vial Location = 12,                       Initial Sam Beam = 2.4131e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0197e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01918
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.11328e-08,,,,,,1.1863e-02,4.1650e-03,4.8328e-05,4.4052e-06,6.7772e-08,
Sam 1,7.07272e-08,1.17843e-02,4.1841e-03,4.8200e-05,4.4474e-06,6.8343e-08,,,,,,           -6.6382,            4.5711,           -2.7288,            9.4568,           13.4377,          -10.1130,           -1.3364,           -0.3570,            0.2909,           11.5245,
Ref 2,7.01463e-08,,,,,,1.1863e-02,4.1651e-03,4.8335e-05,4.4063e-06,6.7096e-08,,,,,,,,,,,
Sam 2,6.95743e-08,1.17843e-02,4.1841e-03,4.8202e-05,4.4443e-06,6.8406e-08,,,,,,           -6.6502,            4.5692,           -2.7406,            8.4630,           10.6785,          -10.1256,           -1.3383,           -0.3546,           -0.6900,            8.7873,
Ref 3,6.88450e-08,,,,,,1.1863e-02,4.1651e-03,4.8334e-05,4.4078e-06,6.8282e-08,,,,,,,,,,,
Sam 3,6.82942e-08,1.17843e-02,4.1842e-03,4.8201e-05,4.4474e-06,6.8639e-08,,,,,,           -6.6474,            4.5783,           -2.7148,            9.1377,            7.1380,          -10.1230,           -1.3292,           -0.3405,           -0.0396,            5.2324,
Ref 4,6.75508e-08,,,,,,1.1863e-02,4.1652e-03,4.8330e-05,4.4064e-06,6.8020e-08,,,,,,,,,,,
Sam 4,6.70594e-08,1.17843e-02,4.1842e-03,4.8203e-05,4.4459e-06,6.9502e-08,,,,,,           -6.6464,            4.5674,           -2.6662,            8.8753,           21.9834,          -10.1215,           -1.3401,           -0.2823,           -0.2780,           20.0704,
Ref 5,6.63035e-08,,,,,,1.1863e-02,4.1652e-03,4.8334e-05,4.4073e-06,6.7994e-08,,,,,,,,,,,
Sam 5,6.58105e-08,1.17843e-02,4.1842e-03,4.8197e-05,4.4476e-06,6.9072e-08,,,,,,           -6.6431,            4.5731,           -2.8408,            9.3466,           16.1081,          -10.1182,           -1.3345,           -0.4662,            0.1778,           14.1912,
Ref 6,6.50624e-08,,,,,,1.1863e-02,4.1652e-03,4.8335e-05,4.4055e-06,6.7958e-08,,,,,,,,,,,
Sam 6,6.46222e-08,1.17842e-02,4.1843e-03,4.8198e-05,4.4459e-06,6.8529e-08,,,,,,           -6.6509,            4.5821,           -2.8453,            8.9236,            5.1941,          -10.1268,           -1.3255,           -0.4714,           -0.2592,            3.2886,
Ref 7,6.38461e-08,,,,,,1.1863e-02,4.1652e-03,4.8335e-05,4.4077e-06,6.8396e-08,,,,,,,,,,,
Sam 7,6.34874e-08,1.17842e-02,4.1842e-03,4.8200e-05,4.4479e-06,6.8856e-08,,,,,,           -6.6477,            4.5679,           -2.7989,            9.3362,            2.2414,          -10.1230,           -1.3396,           -0.4143,            0.1778,            0.3659,
Ref 8,6.27757e-08,,,,,,1.1863e-02,4.1652e-03,4.8335e-05,4.4057e-06,6.9012e-08,,,,,,,,,,,
Sam 8,6.22722e-08,1.17842e-02,4.1843e-03,4.8208e-05,4.4462e-06,6.9858e-08,,,,,,           -6.6383,            4.5855,           -2.6220,            9.0631,           14.8635,          -10.1136,           -1.3221,           -0.2640,           -0.1279,           12.9192,
Ref 9,6.14896e-08,,,,,,1.1863e-02,4.1653e-03,4.8334e-05,4.4069e-06,6.8653e-08,,,,,,,,,,,
Sam 9,6.11560e-08,1.17841e-02,4.1843e-03,4.8205e-05,4.4465e-06,7.0057e-08,,,,,,           -6.6504,            4.5662,           -2.6087,            9.0416,           22.7069,          -10.1257,           -1.3413,           -0.2192,           -0.1108,           20.7993,
Ref 10,6.03315e-08,,,,,,1.1863e-02,4.1653e-03,4.8328e-05,4.4064e-06,6.8347e-08,,,,,,,,,,,
Sam 10,6.00080e-08,1.17842e-02,4.1844e-03,4.8205e-05,4.4471e-06,6.8861e-08,,,,,,           -6.6498,            4.5689,           -2.6250,            9.1689,            4.2226,          -10.1252,           -1.3386,           -0.2388,            0.0101,            2.3437,
Ref 11,5.92030e-08,,,,,,1.1863e-02,4.1654e-03,4.8335e-05,4.4071e-06,6.8801e-08,,,,,,,,,,,
Sam 11,5.89303e-08,1.17841e-02,4.1845e-03,4.8208e-05,4.4454e-06,6.9690e-08,,,,,,           -6.6456,            4.5831,           -2.6768,            8.5689,           17.8920,          -10.1212,           -1.3245,           -0.3089,           -0.6127,           15.9547,
Ref 12,5.81571e-08,,,,,,1.1863e-02,4.1654e-03,4.8339e-05,4.4082e-06,6.8122e-08,,,,,,,,,,,
Sam 12,5.79198e-08,1.17841e-02,4.1844e-03,4.8203e-05,4.4470e-06,6.9911e-08,,,,,,           -6.6430,            4.5691,           -2.6824,            8.9976,           21.6169,          -10.1180,           -1.3384,           -0.3036,           -0.1601,           19.6976,
Ref 13,5.72417e-08,,,,,,1.1863e-02,4.1653e-03,4.8326e-05,4.4065e-06,6.8746e-08,,,,,,,,,,,
Sam 13,5.69480e-08,1.17839e-02,4.1844e-03,4.8200e-05,4.4465e-06,7.0963e-08,,,,,,           -6.6549,            4.5671,           -2.7250,            9.0743,           28.2013,          -10.1305,           -1.3404,           -0.3321,           -0.0801,           26.2866,
Ref 14,5.61225e-08,,,,,,1.1863e-02,4.1654e-03,4.8336e-05,4.4065e-06,6.9292e-08,,,,,,,,,,,
Sam 14,5.58989e-08,1.17840e-02,4.1845e-03,4.8208e-05,4.4473e-06,6.9381e-08,,,,,,           -6.6456,            4.5789,           -2.6549,            9.3973,            6.4521,          -10.1211,           -1.3286,           -0.2829,            0.2164,            4.5447,
Ref 15,5.50686e-08,,,,,,1.1863e-02,4.1655e-03,4.8336e-05,4.4052e-06,6.8573e-08,,,,,,,,,,,
Sam 15,5.48974e-08,1.17840e-02,4.1845e-03,4.8202e-05,4.4473e-06,7.0920e-08,,,,,,           -6.6515,            4.5658,           -2.7416,            9.3845,           31.0374,          -10.1269,           -1.3417,           -0.3509,            0.2299,           29.1164,
Ref 16,5.40708e-08,,,,,,1.1863e-02,4.1655e-03,4.8333e-05,4.4067e-06,6.9001e-08,,,,,,,,,,,
Sam 16,5.38952e-08,1.17840e-02,4.1846e-03,4.8210e-05,4.4465e-06,6.9983e-08,,,,,,           -6.6504,            4.5552,           -2.6320,            8.8762,           14.3138,          -10.1254,           -1.3523,           -0.2318,           -0.2527,           12.4437,
Ref 17,5.30258e-08,,,,,,1.1863e-02,4.1657e-03,4.8341e-05,4.4082e-06,6.8989e-08,,,,,,,,,,,
Sam 17,5.30031e-08,1.17839e-02,4.1846e-03,4.8205e-05,4.4474e-06,7.1069e-08,,,,,,           -6.6570,            4.5519,           -2.7961,            9.0717,           26.6033,          -10.1323,           -1.3556,           -0.3862,           -0.0523,           24.7246,
Ref 18,5.22153e-08,,,,,,1.1863e-02,4.1656e-03,4.8339e-05,4.4067e-06,6.9470e-08,,,,,,,,,,,
Sam 18,5.20960e-08,1.17838e-02,4.1846e-03,4.8208e-05,4.4456e-06,7.1308e-08,,,,,,           -6.6559,            4.5573,           -2.7390,            8.6396,           33.3486,          -10.1313,           -1.3501,           -0.3353,           -0.4914,           31.4454,
Ref 19,5.12664e-08,,,,,,1.1863e-02,4.1657e-03,4.8341e-05,4.4083e-06,6.8535e-08,,,,,,,,,,,
Sam 19,5.12532e-08,1.17837e-02,4.1846e-03,4.8205e-05,4.4453e-06,7.0858e-08,,,,,,           -6.6620,            4.5454,           -2.8152,            8.4449,           31.2630,          -10.1374,           -1.3620,           -0.3938,           -0.6607,           29.3942,
Ref 20,5.03874e-08,,,,,,1.1863e-02,4.1656e-03,4.8342e-05,4.4077e-06,6.8889e-08,,,,,,,,,,,
Sam 20,5.03667e-08,1.17838e-02,4.1846e-03,4.8206e-05,4.4467e-06,7.0171e-08,,,,,,           -6.6513,            4.5584,           -2.8189,            9.0113,           14.3658,          -10.1264,           -1.3491,           -0.4214,           -0.1252,           12.4902,
Ref 21,4.95261e-08,,,,,,1.1863e-02,4.1657e-03,4.8342e-05,4.4062e-06,6.9470e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.91012e-08,,,,,,1.1863e-02,4.1657e-03,4.8340e-05,4.4064e-06,6.8006e-08,
Sam 1,4.91024e-08,1.17837e-02,4.1847e-03,4.8213e-05,4.4451e-06,7.0903e-08,,,,,,           -6.6559,            4.5676,           -2.6422,            8.8174,           32.9394,          -10.1316,           -1.3399,           -0.2485,           -0.3356,           31.0161,
Ref 2,4.82667e-08,,,,,,1.1863e-02,4.1657e-03,4.8342e-05,4.4060e-06,6.9289e-08,,,,,,,,,,,
Sam 2,4.82871e-08,1.17837e-02,4.1847e-03,4.8211e-05,4.4468e-06,7.0252e-08,,,,,,           -6.6499,            4.5510,           -2.7687,            9.0861,           16.1365,          -10.1247,           -1.3565,           -0.3652,           -0.0363,           14.2710,
Ref 3,4.74501e-08,,,,,,1.1863e-02,4.1658e-03,4.8347e-05,4.4075e-06,6.8982e-08,,,,,,,,,,,
Sam 3,4.74853e-08,1.17837e-02,4.1847e-03,4.8202e-05,4.4468e-06,7.0158e-08,,,,,,           -6.6472,            4.5526,           -2.9162,            9.0667,            9.3692,          -10.1219,           -1.3549,           -0.5173,           -0.0587,            7.5101,
Ref 4,4.66506e-08,,,,,,1.1863e-02,4.1658e-03,4.8338e-05,4.4063e-06,7.0041e-08,,,,,,,,,,,
Sam 4,4.66992e-08,1.17838e-02,4.1848e-03,4.8213e-05,4.4473e-06,7.0256e-08,,,,,,           -6.6380,            4.5522,           -2.6474,            9.1564,            3.5322,          -10.1120,           -1.3553,           -0.2572,            0.0310,            1.6747,
Ref 5,4.58695e-08,,,,,,1.1863e-02,4.1658e-03,4.8344e-05,4.4077e-06,6.9975e-08,,,,,,,,,,,
Sam 5,4.59336e-08,1.17836e-02,4.1848e-03,4.8206e-05,4.4447e-06,7.0784e-08,,,,,,           -6.6488,            4.5592,           -2.8242,            8.4424,           15.9596,          -10.1238,           -1.3483,           -0.4300,           -0.6906,           14.0768,
Ref 6,4.51103e-08,,,,,,1.1862e-02,4.1658e-03,4.8341e-05,4.4073e-06,6.9365e-08,,,,,,,,,,,
Sam 6,4.51932e-08,1.17837e-02,4.1848e-03,4.8212e-05,4.4454e-06,7.0820e-08,,,,,,           -6.6454,            4.5565,           -2.6787,            8.7943,           19.0593,          -10.1201,           -1.3510,           -0.2850,           -0.3365,           17.1725,
Ref 7,4.43665e-08,,,,,,1.1862e-02,4.1659e-03,4.8342e-05,4.4059e-06,6.9629e-08,,,,,,,,,,,
Sam 7,4.44645e-08,1.17836e-02,4.1849e-03,4.8210e-05,4.4456e-06,7.0702e-08,,,,,,           -6.6541,            4.5546,           -2.7218,            9.0722,           17.5506,          -10.1292,           -1.3529,           -0.3174,           -0.0572,           15.6798,
Ref 8,4.36373e-08,,,,,,1.1863e-02,4.1659e-03,4.8341e-05,4.4054e-06,6.9334e-08,,,,,,,,,,,
Sam 8,4.37531e-08,1.17835e-02,4.1849e-03,4.8216e-05,4.4487e-06,6.9379e-08,,,,,,           -6.6578,            4.5517,           -2.5641,            9.8452,           -3.6394,          -10.1331,           -1.3557,           -0.1526,            0.7145,           -5.4617,
Ref 9,4.29213e-08,,,,,,1.1862e-02,4.1659e-03,4.8338e-05,4.4053e-06,6.9936e-08,,,,,,,,,,,
Sam 9,4.30548e-08,1.17835e-02,4.1849e-03,4.8213e-05,4.4461e-06,7.0861e-08,,,,,,           -6.6497,            4.5518,           -2.6493,            9.0403,            9.4150,          -10.1245,           -1.3556,           -0.2465,           -0.0833,            7.5599,
Ref 10,4.22237e-08,,,,,,1.1862e-02,4.1659e-03,4.8344e-05,4.4071e-06,7.0469e-08,,,,,,,,,,,
Sam 10,4.23745e-08,1.17836e-02,4.1849e-03,4.8207e-05,4.4457e-06,7.0577e-08,,,,,,           -6.6408,            4.5588,           -2.8749,            8.6370,           10.6377,          -10.1152,           -1.3487,           -0.4888,           -0.4969,            8.7571,
Ref 11,4.15448e-08,,,,,,1.1862e-02,4.1659e-03,4.8349e-05,4.4080e-06,6.9189e-08,,,,,,,,,,,
Sam 11,4.17076e-08,1.17835e-02,4.1849e-03,4.8208e-05,4.4473e-06,7.0188e-08,,,,,,           -6.6455,            4.5635,           -2.8319,            9.1142,            7.6216,          -10.1204,           -1.3440,           -0.4453,           -0.0333,            5.7423,
Ref 12,4.08786e-08,,,,,,1.1862e-02,4.1659e-03,4.8341e-05,4.4062e-06,7.0133e-08,,,,,,,,,,,
Sam 12,4.10609e-08,1.17834e-02,4.1850e-03,4.8217e-05,4.4452e-06,7.1049e-08,,,,,,           -6.6488,            4.5632,           -2.6306,            8.8673,           26.0241,          -10.1239,           -1.3443,           -0.2399,           -0.2775,           24.1146,
Ref 13,4.02249e-08,,,,,,1.1862e-02,4.1660e-03,4.8347e-05,4.4061e-06,6.8347e-08,,,,,,,,,,,
Sam 13,4.04278e-08,1.17834e-02,4.1849e-03,4.8214e-05,4.4444e-06,7.1375e-08,,,,,,           -6.6515,            4.5505,           -2.7116,            8.4495,           33.6197,          -10.1264,           -1.3570,           -0.3057,           -0.6661,           31.7248,
Ref 14,3.95918e-08,,,,,,1.1862e-02,4.1660e-03,4.8344e-05,4.4082e-06,6.9770e-08,,,,,,,,,,,
Sam 14,3.98072e-08,1.17833e-02,4.1850e-03,4.8212e-05,4.4457e-06,7.1683e-08,,,,,,           -6.6576,            4.5491,           -2.6650,            8.7176,           32.4825,          -10.1328,           -1.3583,           -0.2514,           -0.3977,           30.5992,
Ref 15,3.89721e-08,,,,,,1.1862e-02,4.1661e-03,4.8338e-05,4.4064e-06,6.9081e-08,,,,,,,,,,,
Sam 15,3.91965e-08,1.17833e-02,4.1850e-03,4.8209e-05,4.4465e-06,7.1610e-08,,,,,,           -6.6455,            4.5523,           -2.7464,            9.1492,           14.8245,          -10.1200,           -1.3551,           -0.3488,            0.0235,           12.9538,
Ref 16,3.83631e-08,,,,,,1.1862e-02,4.1660e-03,4.8347e-05,4.4060e-06,7.2070e-08,,,,,,,,,,,
Sam 16,3.86022e-08,1.17832e-02,4.1850e-03,4.8213e-05,4.4446e-06,6.9757e-08,,,,,,           -6.6541,            4.5558,           -2.7012,            8.4749,           -6.2140,          -10.1294,           -1.3516,           -0.2979,           -0.6517,           -8.0434,
Ref 17,3.77655e-08,,,,,,1.1862e-02,4.1661e-03,4.8341e-05,4.4084e-06,6.8286e-08,,,,,,,,,,,
Sam 17,3.80085e-08,1.17833e-02,4.1851e-03,4.8216e-05,4.4460e-06,6.9458e-08,,,,,,           -6.6399,            4.5630,           -2.6463,            8.9548,            5.9222,          -10.1144,           -1.3445,           -0.2647,           -0.1903,            4.0410,
Ref 18,3.71816e-08,,,,,,1.1862e-02,4.1661e-03,4.8347e-05,4.4047e-06,6.9825e-08,,,,,,,,,,,
Sam 18,3.74680e-08,1.17832e-02,4.1850e-03,4.8214e-05,4.4477e-06,7.2298e-08,,,,,,           -6.6452,            4.5482,           -2.7089,            9.6455,           43.6363,          -10.1196,           -1.3592,           -0.3075,            0.5236,           41.7207,
Ref 19,3.66441e-08,,,,,,1.1862e-02,4.1661e-03,4.8342e-05,4.4057e-06,6.8717e-08,,,,,,,,,,,
Sam 19,3.68734e-08,1.17832e-02,4.1851e-03,4.8214e-05,4.4442e-06,7.0908e-08,,,,,,           -6.6491,            4.5557,           -2.6809,            8.8199,            7.7336,          -10.1240,           -1.3518,           -0.2827,           -0.3094,            5.8734,
Ref 20,3.60491e-08,,,,,,1.1862e-02,4.1662e-03,4.8345e-05,4.4050e-06,7.2038e-08,,,,,,,,,,,
Sam 20,3.63500e-08,1.17831e-02,4.1850e-03,4.8215e-05,4.4474e-06,7.1014e-08,,,,,,           -6.6486,            4.5265,           -2.6646,            9.7021,           -4.3785,          -10.1225,           -1.3808,           -0.2382,            0.6229,           -6.1602,
Ref 21,3.55329e-08,,,,,,1.1862e-02,4.1662e-03,4.8342e-05,4.4043e-06,7.0604e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.52589e-08,,,,,,1.1862e-02,4.1661e-03,4.8350e-05,4.4069e-06,6.8105e-08,
Sam 1,3.55615e-08,1.17831e-02,4.1851e-03,4.8218e-05,4.4445e-06,7.1166e-08,,,,,,           -6.6509,            4.5385,           -2.6754,            8.7126,           24.8382,          -10.1253,           -1.3688,           -0.2585,           -0.3817,           22.9827,
Ref 2,3.47414e-08,,,,,,1.1862e-02,4.1662e-03,4.8346e-05,4.4053e-06,7.0797e-08,,,,,,,,,,,
Sam 2,3.50379e-08,1.17830e-02,4.1851e-03,4.8225e-05,4.4459e-06,7.1065e-08,,,,,,           -6.6481,            4.5542,           -2.4911,            8.8945,           18.1345,          -10.1229,           -1.3532,           -0.0920,           -0.2326,           16.2568,
Ref 3,3.41946e-08,,,,,,1.1862e-02,4.1662e-03,4.8345e-05,4.4082e-06,6.8786e-08,,,,,,,,,,,
Sam 3,3.45019e-08,1.17832e-02,4.1853e-03,4.8217e-05,4.4445e-06,7.0988e-08,,,,,,           -6.6337,            4.5644,           -2.7208,            8.3606,           19.6537,          -10.1080,           -1.3432,           -0.3471,           -0.7819,           17.7374,
Ref 4,3.36688e-08,,,,,,1.1862e-02,4.1663e-03,4.8351e-05,4.4071e-06,7.0466e-08,,,,,,,,,,,
Sam 4,3.39502e-08,1.17831e-02,4.1853e-03,4.8213e-05,4.4464e-06,7.1251e-08,,,,,,           -6.6457,            4.5663,           -2.8375,            8.9555,           25.9179,          -10.1207,           -1.3412,           -0.4536,           -0.1963,           23.9990,
Ref 5,3.31697e-08,,,,,,1.1862e-02,4.1663e-03,4.8350e-05,4.4068e-06,6.8421e-08,,,,,,,,,,,
Sam 5,3.34944e-08,1.17831e-02,4.1853e-03,4.8219e-05,4.4455e-06,7.1244e-08,,,,,,           -6.6384,            4.5446,           -2.6602,            8.9830,           18.5270,          -10.1123,           -1.3628,           -0.2621,           -0.1258,           16.6573,
Ref 6,3.27057e-08,,,,,,1.1862e-02,4.1664e-03,4.8345e-05,4.4050e-06,7.1497e-08,,,,,,,,,,,
Sam 6,3.30295e-08,1.17829e-02,4.1853e-03,4.8219e-05,4.4439e-06,7.0926e-08,,,,,,           -6.6590,            4.5516,           -2.6744,            8.6591,            5.5404,          -10.1344,           -1.3558,           -0.2619,           -0.4607,            3.7028,
Ref 7,3.22008e-08,,,,,,1.1862e-02,4.1663e-03,4.8352e-05,4.4066e-06,6.9558e-08,,,,,,,,,,,
Sam 7,3.25555e-08,1.17829e-02,4.1853e-03,4.8220e-05,4.4455e-06,7.0827e-08,,,,,,           -6.6534,            4.5374,           -2.7205,            9.0301,           16.3443,          -10.1279,           -1.3700,           -0.2999,           -0.0648,           14.5091,
Ref 8,3.17369e-08,,,,,,1.1862e-02,4.1664e-03,4.8351e-05,4.4049e-06,6.9820e-08,,,,,,,,,,,
Sam 8,3.20728e-08,1.17830e-02,4.1855e-03,4.8217e-05,4.4423e-06,7.1832e-08,,,,,,           -6.6391,            4.5653,           -2.8154,            8.3188,           34.8819,          -10.1137,           -1.3422,           -0.4373,           -0.8252,           32.9410,
Ref 9,3.12610e-08,,,,,,1.1862e-02,4.1665e-03,4.8356e-05,4.4064e-06,6.8995e-08,,,,,,,,,,,
Sam 9,3.16284e-08,1.17830e-02,4.1854e-03,4.8223e-05,4.4457e-06,6.9924e-08,,,,,,           -6.6395,            4.5342,           -2.7342,            9.1907,          -13.2369,          -10.1130,           -1.3732,           -0.3250,            0.1007,          -15.0272,
Ref 10,3.08153e-08,,,,,,1.1862e-02,4.1665e-03,4.8354e-05,4.4039e-06,7.2755e-08,,,,,,,,,,,
Sam 10,3.11679e-08,1.17830e-02,4.1854e-03,4.8221e-05,4.4423e-06,7.1324e-08,,,,,,           -6.6352,            4.5507,           -2.7009,            8.7821,          -12.3085,          -10.1090,           -1.3567,           -0.3122,           -0.3371,          -14.1369,
Ref 11,3.03646e-08,,,,,,1.1862e-02,4.1664e-03,4.8350e-05,4.4033e-06,7.1662e-08,,,,,,,,,,,
Sam 11,3.07301e-08,1.17829e-02,4.1855e-03,4.8215e-05,4.4462e-06,7.1461e-08,,,,,,           -6.6481,            4.5634,           -2.8356,            9.4000,           13.5901,          -10.1232,           -1.3441,           -0.4463,            0.2499,           11.7026,
Ref 12,2.99247e-08,,,,,,1.1862e-02,4.1666e-03,4.8355e-05,4.4062e-06,6.9327e-08,,,,,,,,,,,
Sam 12,3.03061e-08,1.17828e-02,4.1855e-03,4.8219e-05,4.4461e-06,7.0284e-08,,,,,,           -6.6515,            4.5467,           -2.8153,            9.0776,            2.5504,          -10.1263,           -1.3608,           -0.4059,           -0.0361,            0.7200,
Ref 13,2.94979e-08,,,,,,1.1862e-02,4.1666e-03,4.8356e-05,4.4059e-06,7.0894e-08,,,,,,,,,,,
Sam 13,2.98947e-08,1.17829e-02,4.1855e-03,4.8220e-05,4.4434e-06,7.1789e-08,,,,,,           -6.6496,            4.5415,           -2.8030,            8.8072,           34.2992,          -10.1241,           -1.3659,           -0.3906,           -0.2937,           32.4192,
Ref 14,2.90473e-08,,,,,,1.1862e-02,4.1666e-03,4.8356e-05,4.4034e-06,6.7900e-08,,,,,,,,,,,
Sam 14,2.94531e-08,1.17828e-02,4.1856e-03,4.8232e-05,4.4478e-06,7.0158e-08,,,,,,           -6.6581,            4.5534,           -2.5820,           10.0962,            9.4933,          -10.1335,           -1.3541,           -0.1719,            0.9599,            7.6440,
Ref 15,2.86428e-08,,,,,,1.1862e-02,4.1667e-03,4.8358e-05,4.4033e-06,7.1119e-08,,,,,,,,,,,
Sam 15,2.90448e-08,1.17829e-02,4.1856e-03,4.8222e-05,4.4444e-06,6.9310e-08,,,,,,           -6.6398,            4.5377,           -2.8185,            9.0860,          -20.4986,          -10.1135,           -1.3697,           -0.4125,           -0.0099,          -22.2819,
Ref 16,2.82459e-08,,,,,,1.1862e-02,4.1667e-03,4.8360e-05,4.4056e-06,7.0396e-08,,,,,,,,,,,
Sam 16,2.86477e-08,1.17829e-02,4.1856e-03,4.8231e-05,4.4429e-06,7.1887e-08,,,,,,           -6.6361,            4.5303,           -2.7070,            8.5391,           26.7171,          -10.1093,           -1.3770,           -0.2975,           -0.5373,           24.8584,
Ref 17,2.78502e-08,,,,,,1.1862e-02,4.1667e-03,4.8364e-05,4.4049e-06,6.9631e-08,,,,,,,,,,,
Sam 17,2.82639e-08,1.17827e-02,4.1857e-03,4.8230e-05,4.4444e-06,7.0554e-08,,,,,,           -6.6529,            4.5535,           -2.7546,            8.7222,            6.0269,          -10.1279,           -1.3539,           -0.3505,           -0.4020,            4.1781,
Ref 18,2.74580e-08,,,,,,1.1862e-02,4.1666e-03,4.8362e-05,4.4071e-06,7.0639e-08,,,,,,,,,,,
Sam 18,2.78726e-08,1.17828e-02,4.1857e-03,4.8221e-05,4.4449e-06,7.0428e-08,,,,,,           -6.6531,            4.5586,           -2.8920,            8.8054,            0.1488,          -10.1283,           -1.3488,           -0.4930,           -0.3297,           -1.6990,
Ref 19,2.70614e-08,,,,,,1.1862e-02,4.1668e-03,4.8361e-05,4.4051e-06,7.0194e-08,,,,,,,,,,,
Sam 19,2.74768e-08,1.17830e-02,4.1858e-03,4.8231e-05,4.4461e-06,7.1228e-08,,,,,,           -6.6411,            4.5561,           -2.6845,            9.2560,           12.6782,          -10.1154,           -1.3514,           -0.2950,            0.1219,           10.7994,
Ref 20,2.66950e-08,,,,,,1.1862e-02,4.1668e-03,4.8360e-05,4.4056e-06,7.0481e-08,,,,,,,,,,,
Sam 20,2.71143e-08,1.17829e-02,4.1858e-03,4.8228e-05,4.4445e-06,7.0657e-08,,,,,,           -6.6431,            4.5505,           -2.8217,            8.7231,          -10.9747,          -10.1175,           -1.3570,           -0.4249,           -0.3951,          -12.7967,
