Nu Stable Isotope Analysis Program
Data Collected on Wednesday, November 01, 2023 at 16:19 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, November 01, 2023 at 17:18 with Stable 1.71.5 on PS019

Data File = Data_20783 ETH-02.txt,        Sample Weight = 441,                      Vial Location = 25,                       Initial Sam Beam = 2.5038e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0332e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.0214
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.99243e-08,,,,,,1.1863e-02,4.1641e-03,4.8314e-05,4.4017e-06,6.7815e-08,
Sam 1,7.92055e-08,1.17769e-02,4.1417e-03,4.7674e-05,4.3557e-06,6.8593e-08,,,,,,           -7.2582,           -5.4090,          -13.2920,          -10.6919,            4.4815,          -10.4266,          -11.2670,           -0.5358,            0.0979,           23.1511,
Ref 2,7.83875e-08,,,,,,1.1863e-02,4.1643e-03,4.8317e-05,4.4039e-06,6.8768e-08,,,,,,,,,,,
Sam 2,7.76709e-08,1.17770e-02,4.1418e-03,4.7673e-05,4.3550e-06,6.8665e-08,,,,,,           -7.2679,           -5.4201,          -13.3501,          -11.1104,           -0.9806,          -10.4365,          -11.2780,           -0.5737,           -0.3030,           17.6202,
Ref 3,7.68201e-08,,,,,,1.1863e-02,4.1645e-03,4.8319e-05,4.4041e-06,6.8697e-08,,,,,,,,,,,
Sam 3,7.61436e-08,1.17769e-02,4.1419e-03,4.7668e-05,4.3564e-06,6.8819e-08,,,,,,           -7.2753,           -5.4307,          -13.4822,          -10.8577,           -3.4369,          -10.4441,          -11.2885,           -0.6893,           -0.0262,           15.1475,
Ref 4,7.52595e-08,,,,,,1.1863e-02,4.1645e-03,4.8319e-05,4.4043e-06,6.9423e-08,,,,,,,,,,,
Sam 4,7.46307e-08,1.17770e-02,4.1419e-03,4.7671e-05,4.3550e-06,6.9431e-08,,,,,,           -7.2644,           -5.4328,          -13.4107,          -11.2424,            1.9499,          -10.4324,          -11.2906,           -0.6261,           -0.4108,           20.6271,
Ref 5,7.37330e-08,,,,,,1.1863e-02,4.1645e-03,4.8319e-05,4.4048e-06,6.9165e-08,,,,,,,,,,,
Sam 5,7.31724e-08,1.17770e-02,4.1419e-03,4.7674e-05,4.3559e-06,6.8097e-08,,,,,,           -7.2711,           -5.4342,          -13.3530,          -11.0639,          -24.9602,          -10.4395,          -11.2920,           -0.5593,           -0.2275,           -6.7746,
Ref 6,7.22772e-08,,,,,,1.1863e-02,4.1646e-03,4.8320e-05,4.4044e-06,7.0529e-08,,,,,,,,,,,
Sam 6,7.17382e-08,1.17771e-02,4.1421e-03,4.7675e-05,4.3563e-06,6.8830e-08,,,,,,           -7.2668,           -5.4135,          -13.3417,          -11.0024,          -19.6175,          -10.4357,          -11.2714,           -0.5728,           -0.2070,           -1.3779,
Ref 7,7.08144e-08,,,,,,1.1863e-02,4.1646e-03,4.8319e-05,4.4052e-06,6.9880e-08,,,,,,,,,,,
Sam 7,7.05826e-08,1.17766e-02,4.1418e-03,4.7668e-05,4.3573e-06,6.8303e-08,,,,,,           -7.2864,           -5.4576,          -13.4390,          -10.7097,          -21.1450,          -10.4550,          -11.3153,           -0.6073,            0.1777,           -2.8258,
Ref 8,6.96851e-08,,,,,,1.1863e-02,4.1644e-03,4.8315e-05,4.4037e-06,6.9675e-08,,,,,,,,,,,
Sam 8,6.92476e-08,1.17767e-02,4.1419e-03,4.7674e-05,4.3547e-06,6.8752e-08,,,,,,           -7.2698,           -5.4239,          -13.2919,          -11.2715,          -13.1888,          -10.4384,          -11.2817,           -0.5090,           -0.4581,            5.1943,
Ref 9,6.82565e-08,,,,,,1.1863e-02,4.1646e-03,4.8318e-05,4.4051e-06,6.9667e-08,,,,,,,,,,,
Sam 9,6.79012e-08,1.17768e-02,4.1419e-03,4.7671e-05,4.3565e-06,6.8709e-08,,,,,,           -7.2645,           -5.4288,          -13.3755,          -10.9242,          -15.2438,          -10.4326,          -11.2867,           -0.5943,           -0.0971,            3.1052,
Ref 10,6.69287e-08,,,,,,1.1863e-02,4.1645e-03,4.8317e-05,4.4041e-06,6.9881e-08,,,,,,,,,,,
Sam 10,6.66130e-08,1.17768e-02,4.1420e-03,4.7675e-05,4.3549e-06,6.9335e-08,,,,,,           -7.2617,           -5.4157,          -13.2837,          -11.2348,          -10.9284,          -10.4301,          -11.2737,           -0.5171,           -0.4374,            7.4718,
Ref 11,6.56423e-08,,,,,,1.1863e-02,4.1646e-03,4.8317e-05,4.4048e-06,7.0325e-08,,,,,,,,,,,
Sam 11,6.53652e-08,1.17768e-02,4.1420e-03,4.7676e-05,4.3556e-06,6.9039e-08,,,,,,           -7.2649,           -5.4236,          -13.2390,          -10.8616,          -10.6914,          -10.4332,          -11.2814,           -0.4608,           -0.0444,            7.7323,
Ref 12,6.43848e-08,,,,,,1.1863e-02,4.1647e-03,4.8314e-05,4.4020e-06,6.9235e-08,,,,,,,,,,,
Sam 12,6.41072e-08,1.17769e-02,4.1421e-03,4.7675e-05,4.3558e-06,6.9847e-08,,,,,,           -7.2601,           -5.4211,          -13.2697,          -10.6867,           -2.5204,          -10.4282,          -11.2789,           -0.4994,            0.1273,           16.0452,
Ref 13,6.31285e-08,,,,,,1.1863e-02,4.1647e-03,4.8319e-05,4.4036e-06,7.0828e-08,,,,,,,,,,,
Sam 13,6.29328e-08,1.17768e-02,4.1421e-03,4.7674e-05,4.3563e-06,6.9093e-08,,,,,,           -7.2677,           -5.4357,          -13.3921,          -10.9491,          -19.8023,          -10.4358,          -11.2935,           -0.6010,           -0.1085,           -1.5213,
Ref 14,6.19011e-08,,,,,,1.1863e-02,4.1648e-03,4.8322e-05,4.4054e-06,7.0144e-08,,,,,,,,,,,
Sam 14,6.17458e-08,1.17769e-02,4.1422e-03,4.7676e-05,4.3557e-06,6.9243e-08,,,,,,           -7.2564,           -5.4196,          -13.3224,          -11.1472,          -14.7790,          -10.4244,          -11.2775,           -0.5579,           -0.3410,            3.5517,
Ref 15,6.07552e-08,,,,,,1.1863e-02,4.1648e-03,4.8317e-05,4.4041e-06,7.0422e-08,,,,,,,,,,,
Sam 15,6.06260e-08,1.17768e-02,4.1423e-03,4.7673e-05,4.3555e-06,6.9994e-08,,,,,,           -7.2682,           -5.4179,          -13.3414,          -10.9172,           -4.9442,          -10.4369,          -11.2758,           -0.5667,           -0.1121,           13.5787,
Ref 16,5.96253e-08,,,,,,1.1863e-02,4.1648e-03,4.8318e-05,4.4031e-06,7.0260e-08,,,,,,,,,,,
Sam 16,5.95368e-08,1.17768e-02,4.1423e-03,4.7677e-05,4.3552e-06,7.0673e-08,,,,,,           -7.2644,           -5.4296,          -13.2529,          -10.8940,           12.5286,          -10.4325,          -11.2874,           -0.4694,           -0.0651,           31.3964,
Ref 17,5.85091e-08,,,,,,1.1863e-02,4.1649e-03,4.8316e-05,4.4032e-06,6.9329e-08,,,,,,,,,,,
Sam 17,5.84397e-08,1.17768e-02,4.1423e-03,4.7677e-05,4.3550e-06,6.8947e-08,,,,,,           -7.2603,           -5.4267,          -13.2939,          -10.9750,          -10.5993,          -10.4282,          -11.2846,           -0.5181,           -0.1527,            7.8275,
Ref 18,5.74393e-08,,,,,,1.1863e-02,4.1650e-03,4.8323e-05,4.4035e-06,7.0048e-08,,,,,,,,,,,
Sam 18,5.74518e-08,1.17767e-02,4.1424e-03,4.7675e-05,4.3551e-06,7.0188e-08,,,,,,           -7.2660,           -5.4286,          -13.3633,          -11.0966,            3.5954,          -10.4342,          -11.2865,           -0.5805,           -0.2718,           22.2966,
Ref 19,5.64353e-08,,,,,,1.1863e-02,4.1650e-03,4.8320e-05,4.4044e-06,6.9824e-08,,,,,,,,,,,
Sam 19,5.64592e-08,1.17767e-02,4.1424e-03,4.7678e-05,4.3555e-06,6.9782e-08,,,,,,           -7.2702,           -5.4429,          -13.3055,          -10.9195,          -11.2551,          -10.4382,          -11.3007,           -0.5035,           -0.0640,            7.2024,
Ref 20,5.54124e-08,,,,,,1.1863e-02,4.1651e-03,4.8323e-05,4.4027e-06,7.1342e-08,,,,,,,,,,,
Sam 20,5.54316e-08,1.17768e-02,4.1424e-03,4.7678e-05,4.3545e-06,6.9607e-08,,,,,,           -7.2587,           -5.4216,          -13.3163,          -10.9687,          -12.9407,          -10.4268,          -11.2795,           -0.5474,           -0.1566,            5.4307,
Ref 21,5.44142e-08,,,,,,1.1863e-02,4.1650e-03,4.8321e-05,4.4029e-06,6.9683e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.38851e-08,,,,,,1.1863e-02,4.1652e-03,4.8327e-05,4.4048e-06,6.9807e-08,
Sam 1,5.39289e-08,1.17768e-02,4.1426e-03,4.7676e-05,4.3548e-06,6.9902e-08,,,,,,           -7.2692,           -5.4299,          -13.4037,          -11.0407,           -2.6694,          -10.4376,          -11.2877,           -0.6168,           -0.2128,           15.9211,
Ref 2,5.29194e-08,,,,,,1.1863e-02,4.1652e-03,4.8320e-05,4.4020e-06,7.0378e-08,,,,,,,,,,,
Sam 2,5.30250e-08,1.17767e-02,4.1426e-03,4.7680e-05,4.3547e-06,7.0662e-08,,,,,,           -7.2651,           -5.4263,          -13.2444,          -10.6942,            0.5157,          -10.4333,          -11.2842,           -0.4633,            0.1304,           19.1539,
Ref 3,5.20536e-08,,,,,,1.1863e-02,4.1652e-03,4.8321e-05,4.4016e-06,7.0878e-08,,,,,,,,,,,
Sam 3,5.21520e-08,1.17767e-02,4.1426e-03,4.7681e-05,4.3530e-06,7.0573e-08,,,,,,           -7.2576,           -5.4272,          -13.2229,          -11.1350,           -1.9208,          -10.4253,          -11.2850,           -0.4485,           -0.3135,           16.6656,
Ref 4,5.11523e-08,,,,,,1.1863e-02,4.1652e-03,4.8319e-05,4.4024e-06,7.0537e-08,,,,,,,,,,,
Sam 4,5.12680e-08,1.17766e-02,4.1426e-03,4.7679e-05,4.3538e-06,7.0611e-08,,,,,,           -7.2697,           -5.4278,          -13.3211,          -11.0166,            3.3500,          -10.4382,          -11.2856,           -0.5348,           -0.1927,           22.0489,
Ref 5,5.02662e-08,,,,,,1.1863e-02,4.1652e-03,4.8326e-05,4.4022e-06,7.0211e-08,,,,,,,,,,,
Sam 5,5.04045e-08,1.17766e-02,4.1426e-03,4.7682e-05,4.3545e-06,7.0075e-08,,,,,,           -7.2692,           -5.4253,          -13.3002,          -10.7999,           -3.3540,          -10.4377,          -11.2832,           -0.5166,            0.0216,           15.2146,
Ref 6,4.94037e-08,,,,,,1.1863e-02,4.1652e-03,4.8323e-05,4.4018e-06,7.0413e-08,,,,,,,,,,,
Sam 6,4.95621e-08,1.17766e-02,4.1427e-03,4.7681e-05,4.3556e-06,7.0689e-08,,,,,,           -7.2671,           -5.4174,          -13.2581,          -10.3886,           -3.3972,          -10.4358,          -11.2753,           -0.4840,            0.4214,           15.1523,
Ref 7,4.92401e-08,,,,,,1.1863e-02,4.1653e-03,4.8320e-05,4.4009e-06,7.1449e-08,,,,,,,,,,,
Sam 7,4.88145e-08,1.17765e-02,4.1427e-03,4.7681e-05,4.3519e-06,7.1105e-08,,,,,,           -7.2722,           -5.4218,          -13.3065,          -11.3339,           -4.1279,          -10.4411,          -11.2797,           -0.5233,           -0.5254,           14.4225,
Ref 8,4.78156e-08,,,,,,1.1863e-02,4.1653e-03,4.8328e-05,4.4027e-06,7.1349e-08,,,,,,,,,,,
Sam 8,4.80158e-08,1.17765e-02,4.1427e-03,4.7687e-05,4.3522e-06,7.0079e-08,,,,,,           -7.2706,           -5.4243,          -13.2095,          -11.4716,           -5.0952,          -10.4392,          -11.2821,           -0.4243,           -0.6596,           13.4403,
Ref 9,4.70134e-08,,,,,,1.1863e-02,4.1653e-03,4.8323e-05,4.4027e-06,6.9512e-08,,,,,,,,,,,
Sam 9,4.72317e-08,1.17764e-02,4.1428e-03,4.7679e-05,4.3531e-06,7.0141e-08,,,,,,           -7.2738,           -5.4206,          -13.3696,          -11.1108,           -0.5342,          -10.4428,          -11.2785,           -0.5867,           -0.3023,           18.0825,
Ref 10,4.62275e-08,,,,,,1.1863e-02,4.1654e-03,4.8326e-05,4.4014e-06,7.0856e-08,,,,,,,,,,,
Sam 10,4.64626e-08,1.17765e-02,4.1428e-03,4.7685e-05,4.3526e-06,7.0517e-08,,,,,,           -7.2634,           -5.4275,          -13.2362,          -11.0823,           -5.7171,          -10.4315,          -11.2853,           -0.4556,           -0.2597,           12.8054,
Ref 11,4.54555e-08,,,,,,1.1863e-02,4.1654e-03,4.8323e-05,4.4013e-06,7.0990e-08,,,,,,,,,,,
Sam 11,4.57124e-08,1.17764e-02,4.1429e-03,4.7683e-05,4.3538e-06,7.0544e-08,,,,,,           -7.2640,           -5.4127,          -13.2896,          -10.7460,          -18.0814,          -10.4327,          -11.2706,           -0.5237,            0.0506,            0.1822,
Ref 12,4.47021e-08,,,,,,1.1863e-02,4.1654e-03,4.8328e-05,4.4009e-06,7.2710e-08,,,,,,,,,,,
Sam 12,4.49818e-08,1.17765e-02,4.1429e-03,4.7678e-05,4.3532e-06,6.8939e-08,,,,,,           -7.2622,           -5.4154,          -13.3946,          -10.7658,          -44.1640,          -10.4306,          -11.2733,           -0.6293,            0.0359,          -26.3823,
Ref 13,4.39758e-08,,,,,,1.1863e-02,4.1654e-03,4.8323e-05,4.4003e-06,7.1528e-08,,,,,,,,,,,
Sam 13,4.42685e-08,1.17764e-02,4.1429e-03,4.7683e-05,4.3540e-06,7.0009e-08,,,,,,           -7.2715,           -5.4250,          -13.2322,          -10.3825,          -19.3405,          -10.4402,          -11.2829,           -0.4456,            0.4428,           -1.0679,
Ref 14,4.32571e-08,,,,,,1.1863e-02,4.1655e-03,4.8322e-05,4.3991e-06,7.1249e-08,,,,,,,,,,,
Sam 14,4.35678e-08,1.17764e-02,4.1429e-03,4.7682e-05,4.3518e-06,6.9957e-08,,,,,,           -7.2660,           -5.4283,          -13.3146,          -11.1155,          -20.5063,          -10.4342,          -11.2862,           -0.5315,           -0.2915,           -2.2548,
Ref 15,4.25598e-08,,,,,,1.1863e-02,4.1655e-03,4.8329e-05,4.4024e-06,7.1597e-08,,,,,,,,,,,
Sam 15,4.28831e-08,1.17763e-02,4.1429e-03,4.7687e-05,4.3515e-06,6.8814e-08,,,,,,           -7.2657,           -5.4232,          -13.2509,          -11.3015,          -30.0812,          -10.4341,          -11.2811,           -0.4724,           -0.4899,          -12.0185,
Ref 16,4.18765e-08,,,,,,1.1863e-02,4.1655e-03,4.8325e-05,4.4000e-06,7.0289e-08,,,,,,,,,,,
Sam 16,4.22098e-08,1.17763e-02,4.1430e-03,4.7684e-05,4.3514e-06,7.0242e-08,,,,,,           -7.2692,           -5.4222,          -13.3043,          -10.7742,           -1.3358,          -10.4378,          -11.2800,           -0.5239,            0.0411,           17.2640,
Ref 17,4.12050e-08,,,,,,1.1862e-02,4.1656e-03,4.8329e-05,4.3975e-06,7.0384e-08,,,,,,,,,,,
Sam 17,4.15535e-08,1.17763e-02,4.1429e-03,4.7678e-05,4.3523e-06,7.0823e-08,,,,,,           -7.2651,           -5.4425,          -13.4744,          -10.8576,           -0.2626,          -10.4328,          -11.3003,           -0.6802,           -0.0023,           18.3938,
Ref 18,4.05525e-08,,,,,,1.1862e-02,4.1656e-03,4.8329e-05,4.4028e-06,7.1305e-08,,,,,,,,,,,
Sam 18,4.09103e-08,1.17762e-02,4.1430e-03,4.7685e-05,4.3504e-06,7.1385e-08,,,,,,           -7.2642,           -5.4307,          -13.3165,          -11.3423,            2.5626,          -10.4323,          -11.2885,           -0.5329,           -0.5161,           21.2468,
Ref 19,3.99108e-08,,,,,,1.1862e-02,4.1656e-03,4.8328e-05,4.3978e-06,7.1099e-08,,,,,,,,,,,
Sam 19,4.02825e-08,1.17763e-02,4.1430e-03,4.7686e-05,4.3497e-06,7.1415e-08,,,,,,           -7.2570,           -5.4280,          -13.3027,          -10.8754,           -3.4017,          -10.4247,          -11.2859,           -0.5290,           -0.0494,           15.1582,
Ref 20,3.92822e-08,,,,,,1.1862e-02,4.1656e-03,4.8330e-05,4.3972e-06,7.2227e-08,,,,,,,,,,,
Sam 20,3.96623e-08,1.17762e-02,4.1430e-03,4.7686e-05,4.3514e-06,7.0322e-08,,,,,,           -7.2649,           -5.4305,          -13.2615,          -10.7128,          -23.3390,          -10.4330,          -11.2884,           -0.4767,            0.1200,           -5.1371,
Ref 21,3.86703e-08,,,,,,1.1862e-02,4.1656e-03,4.8324e-05,4.3999e-06,7.1775e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.83651e-08,,,,,,1.1862e-02,4.1657e-03,4.8325e-05,4.3998e-06,7.0309e-08,
Sam 1,3.87554e-08,1.17762e-02,4.1431e-03,4.7684e-05,4.3506e-06,7.1151e-08,,,,,,           -7.2688,           -5.4255,          -13.3639,          -11.3086,           -4.8980,          -10.4373,          -11.2833,           -0.5814,           -0.4925,           13.6416,
Ref 2,3.77706e-08,,,,,,1.1862e-02,4.1657e-03,4.8334e-05,4.4009e-06,7.2713e-08,,,,,,,,,,,
Sam 2,3.81732e-08,1.17762e-02,4.1431e-03,4.7686e-05,4.3506e-06,7.0873e-08,,,,,,           -7.2610,           -5.4239,          -13.3564,          -11.3043,          -20.6428,          -10.4291,          -11.2818,           -0.5833,           -0.4911,           -2.4078,
Ref 3,3.71901e-08,,,,,,1.1862e-02,4.1657e-03,4.8328e-05,4.3999e-06,7.2016e-08,,,,,,,,,,,
Sam 3,3.76012e-08,1.17761e-02,4.1432e-03,4.7690e-05,4.3514e-06,7.3368e-08,,,,,,           -7.2586,           -5.4154,          -13.1354,          -10.9312,           26.8319,          -10.4268,          -11.2734,           -0.3704,           -0.1311,           45.9305,
Ref 4,3.66191e-08,,,,,,1.1862e-02,4.1658e-03,4.8322e-05,4.3992e-06,7.0878e-08,,,,,,,,,,,
Sam 4,3.70419e-08,1.17761e-02,4.1433e-03,4.7687e-05,4.3512e-06,7.0190e-08,,,,,,           -7.2638,           -5.4108,          -13.2905,          -10.9200,          -22.8129,          -10.4326,          -11.2687,           -0.5267,           -0.1292,           -4.6412,
Ref 5,3.60609e-08,,,,,,1.1862e-02,4.1658e-03,4.8337e-05,4.3993e-06,7.2793e-08,,,,,,,,,,,
Sam 5,3.64902e-08,1.17761e-02,4.1432e-03,4.7685e-05,4.3512e-06,7.0932e-08,,,,,,           -7.2652,           -5.4254,          -13.4359,          -10.8192,           -8.7859,          -10.4335,          -11.2832,           -0.6581,            0.0021,            9.6773,
Ref 6,3.55088e-08,,,,,,1.1862e-02,4.1658e-03,4.8333e-05,4.3982e-06,7.0309e-08,,,,,,,,,,,
Sam 6,3.59555e-08,1.17761e-02,4.1433e-03,4.7685e-05,4.3513e-06,7.0983e-08,,,,,,           -7.2668,           -5.4142,          -13.3876,          -10.7645,            3.5117,          -10.4356,          -11.2721,           -0.6186,            0.0348,           22.1830,
Ref 7,3.49711e-08,,,,,,1.1862e-02,4.1659e-03,4.8332e-05,4.3992e-06,7.1165e-08,,,,,,,,,,,
Sam 7,3.54221e-08,1.17761e-02,4.1433e-03,4.7691e-05,4.3516e-06,7.0618e-08,,,,,,           -7.2664,           -5.4324,          -13.2882,          -10.7798,          -14.0143,          -10.4345,          -11.2902,           -0.5003,            0.0560,            4.3667,
Ref 8,3.44408e-08,,,,,,1.1862e-02,4.1660e-03,4.8335e-05,4.3988e-06,7.2085e-08,,,,,,,,,,,
Sam 8,3.48998e-08,1.17760e-02,4.1434e-03,4.7691e-05,4.3501e-06,7.0307e-08,,,,,,           -7.2630,           -5.4368,          -13.3254,          -10.7825,          -27.9143,          -10.4308,          -11.2946,           -0.5372,            0.0622,           -9.7873,
Ref 9,3.39222e-08,,,,,,1.1862e-02,4.1661e-03,4.8334e-05,4.3964e-06,7.2570e-08,,,,,,,,,,,
Sam 9,3.43891e-08,1.17760e-02,4.1434e-03,4.7688e-05,4.3516e-06,7.2594e-08,,,,,,           -7.2599,           -5.4425,          -13.4240,          -10.5416,            1.3196,          -10.4273,          -11.3003,           -0.6346,            0.3173,           19.9998,
Ref 10,3.34126e-08,,,,,,1.1862e-02,4.1660e-03,4.8339e-05,4.3995e-06,7.2425e-08,,,,,,,,,,,
Sam 10,3.38932e-08,1.17761e-02,4.1434e-03,4.7689e-05,4.3497e-06,7.1492e-08,,,,,,           -7.2484,           -5.4262,          -13.4586,          -11.1948,           -6.7627,          -10.4155,          -11.2841,           -0.6978,           -0.3760,           11.7215,
Ref 11,3.29193e-08,,,,,,1.1862e-02,4.1660e-03,4.8339e-05,4.3984e-06,7.1527e-08,,,,,,,,,,,
Sam 11,3.34474e-08,1.17759e-02,4.1435e-03,4.7687e-05,4.3499e-06,7.1617e-08,,,,,,           -7.2624,           -5.4201,          -13.4855,          -11.1843,           -0.1867,          -10.4307,          -11.2780,           -0.7165,           -0.3776,           18.4229,
Ref 12,3.24453e-08,,,,,,1.1862e-02,4.1661e-03,4.8339e-05,4.3998e-06,7.1735e-08,,,,,,,,,,,
Sam 12,3.29419e-08,1.17759e-02,4.1435e-03,4.7691e-05,4.3500e-06,7.2140e-08,,,,,,           -7.2670,           -5.4303,          -13.3939,          -10.8295,           -0.4422,          -10.4352,          -11.2881,           -0.6089,            0.0015,           18.1881,
Ref 13,3.19552e-08,,,,,,1.1862e-02,4.1661e-03,4.8337e-05,4.3955e-06,7.2616e-08,,,,,,,,,,,
Sam 13,3.24678e-08,1.17758e-02,4.1435e-03,4.7691e-05,4.3508e-06,7.1993e-08,,,,,,           -7.2708,           -5.4111,          -13.3922,          -10.4097,          -10.9356,          -10.4400,          -11.2690,           -0.6221,            0.3873,            7.4651,
Ref 14,3.15211e-08,,,,,,1.1862e-02,4.1661e-03,4.8340e-05,4.3976e-06,7.2964e-08,,,,,,,,,,,
Sam 14,3.20291e-08,1.17759e-02,4.1435e-03,4.7692e-05,4.3471e-06,7.2851e-08,,,,,,           -7.2603,           -5.4144,          -13.4077,          -11.4067,           10.7203,          -10.4287,          -11.2724,           -0.6454,           -0.6139,           29.5191,
Ref 15,3.10431e-08,,,,,,1.1862e-02,4.1662e-03,4.8339e-05,4.3969e-06,7.1179e-08,,,,,,,,,,,
Sam 15,3.15824e-08,1.17759e-02,4.1435e-03,4.7692e-05,4.3493e-06,7.3021e-08,,,,,,           -7.2572,           -5.4349,          -13.4133,          -11.0165,           12.0929,          -10.4246,          -11.2928,           -0.6342,           -0.1782,           30.9556,
Ref 16,3.06054e-08,,,,,,1.1862e-02,4.1662e-03,4.8342e-05,4.3985e-06,7.3131e-08,,,,,,,,,,,
Sam 16,3.11272e-08,1.17759e-02,4.1436e-03,4.7689e-05,4.3489e-06,7.3031e-08,,,,,,           -7.2596,           -5.4243,          -13.4326,          -11.2716,            7.9636,          -10.4275,          -11.2821,           -0.6617,           -0.4575,           26.7303,
Ref 17,3.01532e-08,,,,,,1.1862e-02,4.1662e-03,4.8335e-05,4.3985e-06,7.1767e-08,,,,,,,,,,,
Sam 17,3.06716e-08,1.17759e-02,4.1437e-03,4.7698e-05,4.3490e-06,7.1306e-08,,,,,,           -7.2612,           -5.4260,          -13.2589,          -10.9371,          -16.6649,          -10.4292,          -11.2839,           -0.4824,           -0.1158,            1.6485,
Ref 18,2.97312e-08,,,,,,1.1862e-02,4.1663e-03,4.8343e-05,4.3958e-06,7.3273e-08,,,,,,,,,,,
Sam 18,3.02654e-08,1.17759e-02,4.1436e-03,4.7699e-05,4.3468e-06,7.2257e-08,,,,,,           -7.2523,           -5.4342,          -13.3343,          -11.0290,           -9.7894,          -10.4195,          -11.2921,           -0.5598,           -0.1922,            8.6588,
Ref 19,2.92881e-08,,,,,,1.1862e-02,4.1662e-03,4.8344e-05,4.3948e-06,7.2666e-08,,,,,,,,,,,
Sam 19,2.98420e-08,1.17757e-02,4.1437e-03,4.7702e-05,4.3503e-06,7.2294e-08,,,,,,           -7.2633,           -5.4096,          -13.2507,          -10.2927,            3.3499,          -10.4320,          -11.2676,           -0.4881,            0.5027,           22.0051,
Ref 20,2.88860e-08,,,,,,1.1862e-02,4.1663e-03,4.8341e-05,4.3963e-06,7.1430e-08,,,,,,,,,,,
