Nu Stable Isotope Analysis Program
Data Collected on Wednesday, November 01, 2023 at 17:40 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, November 01, 2023 at 18:40 with Stable 1.71.5 on PS019

Data File = Data_20784 WS 2.1A.txt,       Sample Weight = 446,                      Vial Location = 26,                       Initial Sam Beam = 2.5039e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9909e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01919
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.70350e-08,,,,,,1.1863e-02,4.1643e-03,4.8319e-05,4.4039e-06,6.8192e-08,
Sam 1,7.64206e-08,1.17774e-02,4.1843e-03,4.8168e-05,4.4478e-06,6.8429e-08,,,,,,           -7.2078,            4.7729,           -3.2020,            9.8572,            6.7128,          -10.7262,           -1.1344,           -0.4380,            0.2858,            5.0285,
Ref 2,7.56090e-08,,,,,,1.1863e-02,4.1646e-03,4.8326e-05,4.4049e-06,6.7750e-08,,,,,,,,,,,
Sam 2,7.49805e-08,1.17776e-02,4.1844e-03,4.8170e-05,4.4459e-06,6.8086e-08,,,,,,           -7.2057,            4.7604,           -3.1814,            9.0536,            1.8432,          -10.7234,           -1.1468,           -0.4074,           -0.4854,            0.1892,
Ref 3,7.41337e-08,,,,,,1.1863e-02,4.1646e-03,4.8322e-05,4.4071e-06,6.8177e-08,,,,,,,,,,,
Sam 3,7.35495e-08,1.17776e-02,4.1844e-03,4.8172e-05,4.4479e-06,6.8847e-08,,,,,,           -7.2120,            4.7555,           -3.1630,            9.2800,            7.7710,          -10.7300,           -1.1518,           -0.3775,           -0.2512,            6.1238,
Ref 4,7.26740e-08,,,,,,1.1863e-02,4.1647e-03,4.8329e-05,4.4069e-06,6.8458e-08,,,,,,,,,,,
Sam 4,7.20918e-08,1.17775e-02,4.1845e-03,4.8168e-05,4.4477e-06,6.8790e-08,,,,,,           -7.2049,            4.7759,           -3.2448,            9.3812,            0.5252,          -10.7231,           -1.1314,           -0.4870,           -0.1917,           -1.1578,
Ref 5,7.15464e-08,,,,,,1.1863e-02,4.1645e-03,4.8322e-05,4.4059e-06,6.9055e-08,,,,,,,,,,,
Sam 5,7.10387e-08,1.17772e-02,4.1843e-03,4.8168e-05,4.4458e-06,6.9025e-08,,,,,,           -7.2221,            4.7393,           -3.2015,            9.1230,           -1.2879,          -10.7402,           -1.1678,           -0.3899,           -0.3747,           -2.8781,
Ref 6,7.00142e-08,,,,,,1.1863e-02,4.1646e-03,4.8324e-05,4.4053e-06,6.9174e-08,,,,,,,,,,,
Sam 6,6.95484e-08,1.17773e-02,4.1844e-03,4.8173e-05,4.4470e-06,6.8262e-08,,,,,,           -7.2186,            4.7422,           -3.1352,            9.3158,          -21.0065,          -10.7365,           -1.1649,           -0.3299,           -0.1894,          -22.5745,
Ref 7,6.86328e-08,,,,,,1.1863e-02,4.1647e-03,4.8326e-05,4.4066e-06,7.0290e-08,,,,,,,,,,,
Sam 7,6.82318e-08,1.17773e-02,4.1845e-03,4.8165e-05,4.4460e-06,6.9131e-08,,,,,,           -7.2193,            4.7490,           -3.3415,            8.8911,           -8.7374,          -10.7375,           -1.1582,           -0.5426,           -0.6235,          -10.3373,
Ref 8,6.73001e-08,,,,,,1.1863e-02,4.1647e-03,4.8326e-05,4.4071e-06,6.9179e-08,,,,,,,,,,,
Sam 8,6.69458e-08,1.17773e-02,4.1845e-03,4.8172e-05,4.4451e-06,6.8458e-08,,,,,,           -7.2192,            4.7454,           -3.1801,            8.8563,          -10.0819,          -10.7373,           -1.1617,           -0.3773,           -0.6509,          -11.6729,
Ref 9,6.60018e-08,,,,,,1.1863e-02,4.1647e-03,4.8324e-05,4.4051e-06,6.9131e-08,,,,,,,,,,,
Sam 9,6.56857e-08,1.17773e-02,4.1845e-03,4.8172e-05,4.4469e-06,6.8348e-08,,,,,,           -7.2195,            4.7473,           -3.1575,            9.3822,          -13.8374,          -10.7377,           -1.1599,           -0.3562,           -0.1337,          -15.4255,
Ref 10,6.46766e-08,,,,,,1.1863e-02,4.1648e-03,4.8324e-05,4.4061e-06,6.9486e-08,,,,,,,,,,,
Sam 10,6.43880e-08,1.17774e-02,4.1847e-03,4.8170e-05,4.4478e-06,6.9623e-08,,,,,,           -7.2161,            4.7633,           -3.1787,            9.5112,           -0.6709,          -10.7347,           -1.1440,           -0.3966,           -0.0378,           -2.3152,
Ref 11,6.34278e-08,,,,,,1.1863e-02,4.1649e-03,4.8324e-05,4.4056e-06,6.9856e-08,,,,,,,,,,,
Sam 11,6.31893e-08,1.17774e-02,4.1847e-03,4.8174e-05,4.4476e-06,6.9407e-08,,,,,,           -7.2142,            4.7379,           -3.0923,            9.5433,            1.7688,          -10.7317,           -1.1692,           -0.2872,            0.0446,            0.1681,
Ref 12,6.22039e-08,,,,,,1.1863e-02,4.1650e-03,4.8324e-05,4.4055e-06,6.8701e-08,,,,,,,,,,,
Sam 12,6.19960e-08,1.17774e-02,4.1847e-03,4.8173e-05,4.4477e-06,6.9445e-08,,,,,,           -7.2155,            4.7423,           -3.1124,            9.6324,           11.3769,          -10.7332,           -1.1648,           -0.3103,            0.1241,            9.7536,
Ref 13,6.10267e-08,,,,,,1.1863e-02,4.1650e-03,4.8322e-05,4.4050e-06,6.8626e-08,,,,,,,,,,,
Sam 13,6.08577e-08,1.17774e-02,4.1848e-03,4.8176e-05,4.4466e-06,6.9519e-08,,,,,,           -7.2163,            4.7432,           -3.0786,            9.0440,            0.6384,          -10.7341,           -1.1639,           -0.2764,           -0.4606,           -0.9687,
Ref 14,5.98913e-08,,,,,,1.1863e-02,4.1650e-03,4.8327e-05,4.4086e-06,7.0339e-08,,,,,,,,,,,
Sam 14,5.97779e-08,1.17773e-02,4.1848e-03,4.8177e-05,4.4479e-06,6.9497e-08,,,,,,           -7.2184,            4.7493,           -3.0849,            9.2717,           -9.4226,          -10.7366,           -1.1578,           -0.2866,           -0.2473,          -11.0232,
Ref 15,5.87801e-08,,,,,,1.1863e-02,4.1650e-03,4.8325e-05,4.4055e-06,6.9974e-08,,,,,,,,,,,
Sam 15,5.87080e-08,1.17772e-02,4.1848e-03,4.8172e-05,4.4469e-06,6.9856e-08,,,,,,           -7.2248,            4.7488,           -3.2066,            9.3493,            4.5112,          -10.7434,           -1.1583,           -0.4015,           -0.1694,            2.8960,
Ref 16,5.77154e-08,,,,,,1.1863e-02,4.1651e-03,4.8328e-05,4.4058e-06,6.9102e-08,,,,,,,,,,,
Sam 16,5.77261e-08,1.17772e-02,4.1848e-03,4.8171e-05,4.4468e-06,6.8603e-08,,,,,,           -7.2208,            4.7320,           -3.2574,            9.2694,           -5.9640,          -10.7386,           -1.1751,           -0.4400,           -0.2150,           -7.5338,
Ref 17,5.67192e-08,,,,,,1.1863e-02,4.1651e-03,4.8329e-05,4.4062e-06,6.8926e-08,,,,,,,,,,,
Sam 17,5.66620e-08,1.17772e-02,4.1849e-03,4.8174e-05,4.4468e-06,6.9456e-08,,,,,,           -7.2163,            4.7386,           -3.2458,            9.1860,            0.9387,          -10.7340,           -1.1685,           -0.4396,           -0.3108,           -0.6597,
Ref 18,5.56701e-08,,,,,,1.1863e-02,4.1652e-03,4.8332e-05,4.4066e-06,6.9865e-08,,,,,,,,,,,
Sam 18,5.56798e-08,1.17772e-02,4.1849e-03,4.8175e-05,4.4462e-06,6.9034e-08,,,,,,           -7.2228,            4.7355,           -3.1914,            9.1609,           -5.6357,          -10.7408,           -1.1716,           -0.3752,           -0.3296,           -7.2108,
Ref 19,5.46807e-08,,,,,,1.1863e-02,4.1652e-03,4.8327e-05,4.4052e-06,6.8977e-08,,,,,,,,,,,
Sam 19,5.46752e-08,1.17772e-02,4.1849e-03,4.8174e-05,4.4490e-06,6.9717e-08,,,,,,           -7.2161,            4.7289,           -3.1604,           10.0865,            6.6002,          -10.7334,           -1.1781,           -0.3447,            0.6006,            5.0114,
Ref 20,5.36513e-08,,,,,,1.1863e-02,4.1652e-03,4.8326e-05,4.4039e-06,6.9548e-08,,,,,,,,,,,
Sam 20,5.37743e-08,1.17771e-02,4.1849e-03,4.8173e-05,4.4472e-06,6.9418e-08,,,,,,           -7.2279,            4.7336,           -3.2121,            9.7425,           -8.4517,          -10.7462,           -1.1735,           -0.3888,            0.2504,          -10.0131,
Ref 21,5.27816e-08,,,,,,1.1863e-02,4.1652e-03,4.8330e-05,4.4048e-06,7.0480e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.23190e-08,,,,,,1.1863e-02,4.1652e-03,4.8328e-05,4.4053e-06,6.8516e-08,
Sam 1,5.22938e-08,1.17773e-02,4.1850e-03,4.8176e-05,4.4480e-06,6.9353e-08,,,,,,           -7.2131,            4.7508,           -3.1763,            9.7407,            3.2190,          -10.7310,           -1.1564,           -0.3851,            0.2145,            1.5896,
Ref 2,5.13715e-08,,,,,,1.1863e-02,4.1652e-03,4.8330e-05,4.4049e-06,6.9755e-08,,,,,,,,,,,
Sam 2,5.14778e-08,1.17770e-02,4.1850e-03,4.8172e-05,4.4477e-06,7.0476e-08,,,,,,           -7.2306,            4.7331,           -3.2875,            9.7003,           14.4302,          -10.7490,           -1.1740,           -0.4612,            0.2096,           12.8366,
Ref 3,5.04729e-08,,,,,,1.1863e-02,4.1654e-03,4.8331e-05,4.4050e-06,6.9187e-08,,,,,,,,,,,
Sam 3,5.06057e-08,1.17771e-02,4.1851e-03,4.8176e-05,4.4438e-06,7.0253e-08,,,,,,           -7.2138,            4.7297,           -3.2164,            8.9678,           16.1843,          -10.7311,           -1.1774,           -0.4040,           -0.5092,           14.5764,
Ref 4,4.96090e-08,,,,,,1.1863e-02,4.1654e-03,4.8332e-05,4.4037e-06,6.9080e-08,,,,,,,,,,,
Sam 4,4.97554e-08,1.17771e-02,4.1851e-03,4.8178e-05,4.4453e-06,6.9365e-08,,,,,,           -7.2096,            4.7420,           -3.2081,            9.2592,           -0.1946,          -10.7270,           -1.1651,           -0.4121,           -0.2452,           -1.8052,
Ref 5,4.87613e-08,,,,,,1.1863e-02,4.1654e-03,4.8333e-05,4.4055e-06,6.9683e-08,,,,,,,,,,,
Sam 5,4.89308e-08,1.17771e-02,4.1851e-03,4.8176e-05,4.4452e-06,6.9361e-08,,,,,,           -7.2090,            4.7315,           -3.2106,            9.1583,           -8.1863,          -10.7259,           -1.1756,           -0.4050,           -0.3242,           -9.7643,
Ref 6,4.79362e-08,,,,,,1.1863e-02,4.1654e-03,4.8330e-05,4.4043e-06,7.0188e-08,,,,,,,,,,,
Sam 6,4.81209e-08,1.17770e-02,4.1852e-03,4.8179e-05,4.4465e-06,6.9462e-08,,,,,,           -7.2145,            4.7332,           -3.1627,            9.5094,           -8.7922,          -10.7319,           -1.1739,           -0.3528,            0.0204,          -10.3666,
Ref 7,4.71251e-08,,,,,,1.1863e-02,4.1655e-03,4.8334e-05,4.4050e-06,6.9966e-08,,,,,,,,,,,
Sam 7,4.73304e-08,1.17770e-02,4.1852e-03,4.8180e-05,4.4444e-06,6.9364e-08,,,,,,           -7.2179,            4.7350,           -3.2063,            9.2211,           -8.1392,          -10.7356,           -1.1721,           -0.3948,           -0.2689,           -9.7146,
Ref 8,4.63356e-08,,,,,,1.1863e-02,4.1655e-03,4.8335e-05,4.4026e-06,6.9900e-08,,,,,,,,,,,
Sam 8,4.65582e-08,1.17771e-02,4.1852e-03,4.8181e-05,4.4463e-06,6.9666e-08,,,,,,           -7.2074,            4.7400,           -3.1671,            9.6204,            0.9946,          -10.7246,           -1.1671,           -0.3713,            0.1168,           -0.6162,
Ref 9,4.55579e-08,,,,,,1.1863e-02,4.1655e-03,4.8332e-05,4.4052e-06,6.9288e-08,,,,,,,,,,,
Sam 9,4.57972e-08,1.17769e-02,4.1853e-03,4.8175e-05,4.4449e-06,7.0281e-08,,,,,,           -7.2195,            4.7393,           -3.2171,            9.0350,           12.5544,          -10.7374,           -1.1678,           -0.4082,           -0.4618,           10.9393,
Ref 10,4.48033e-08,,,,,,1.1863e-02,4.1655e-03,4.8328e-05,4.4051e-06,6.9533e-08,,,,,,,,,,,
Sam 10,4.50673e-08,1.17770e-02,4.1853e-03,4.8180e-05,4.4459e-06,7.1256e-08,,,,,,           -7.2132,            4.7367,           -3.1018,            9.1745,           14.5600,          -10.7306,           -1.1704,           -0.2966,           -0.3183,           12.9402,
Ref 11,4.40696e-08,,,,,,1.1863e-02,4.1655e-03,4.8333e-05,4.4059e-06,7.0946e-08,,,,,,,,,,,
Sam 11,4.43494e-08,1.17769e-02,4.1853e-03,4.8182e-05,4.4460e-06,6.9853e-08,,,,,,           -7.2120,            4.7373,           -3.1550,            9.1663,          -11.1034,          -10.7294,           -1.1698,           -0.3517,           -0.3278,          -12.6847,
Ref 12,4.33507e-08,,,,,,1.1862e-02,4.1656e-03,4.8336e-05,4.4053e-06,7.0324e-08,,,,,,,,,,,
Sam 12,4.36451e-08,1.17768e-02,4.1853e-03,4.8185e-05,4.4465e-06,7.0837e-08,,,,,,           -7.2186,            4.7323,           -3.1226,            9.3099,           19.4644,          -10.7363,           -1.1747,           -0.3075,           -0.1756,           17.8514,
Ref 13,4.26405e-08,,,,,,1.1862e-02,4.1656e-03,4.8337e-05,4.4057e-06,6.8631e-08,,,,,,,,,,,
Sam 13,4.29590e-08,1.17768e-02,4.1853e-03,4.8178e-05,4.4457e-06,7.1057e-08,,,,,,           -7.2187,            4.7308,           -3.2546,            9.4151,           17.8525,          -10.7362,           -1.1762,           -0.4384,           -0.0684,           16.2450,
Ref 14,4.19604e-08,,,,,,1.1862e-02,4.1657e-03,4.8334e-05,4.4028e-06,7.1009e-08,,,,,,,,,,,
Sam 14,4.22895e-08,1.17769e-02,4.1853e-03,4.8179e-05,4.4459e-06,7.0262e-08,,,,,,           -7.2070,            4.7204,           -3.2250,            9.6398,           -2.7359,          -10.7234,           -1.1867,           -0.4106,            0.1750,           -4.3029,
Ref 15,4.12933e-08,,,,,,1.1862e-02,4.1656e-03,4.8335e-05,4.4042e-06,6.9892e-08,,,,,,,,,,,
Sam 15,4.16371e-08,1.17767e-02,4.1854e-03,4.8179e-05,4.4443e-06,7.0633e-08,,,,,,           -7.2150,            4.7285,           -3.2155,            9.1717,            9.9368,          -10.7323,           -1.1786,           -0.4006,           -0.3048,            8.3425,
Ref 16,4.06377e-08,,,,,,1.1862e-02,4.1657e-03,4.8333e-05,4.4036e-06,6.9985e-08,,,,,,,,,,,
Sam 16,4.09858e-08,1.17767e-02,4.1854e-03,4.8178e-05,4.4442e-06,7.0180e-08,,,,,,           -7.2139,            4.7260,           -3.2156,            9.1134,           -2.4370,          -10.7310,           -1.1811,           -0.3994,           -0.3575,           -4.0080,
Ref 17,3.99929e-08,,,,,,1.1862e-02,4.1657e-03,4.8334e-05,4.4046e-06,7.0725e-08,,,,,,,,,,,
Sam 17,4.03498e-08,1.17768e-02,4.1855e-03,4.8179e-05,4.4453e-06,6.9616e-08,,,,,,           -7.2140,            4.7254,           -3.2128,            9.4151,          -20.0648,          -10.7310,           -1.1816,           -0.3960,           -0.0577,          -21.6070,
Ref 18,3.93568e-08,,,,,,1.1862e-02,4.1658e-03,4.8334e-05,4.4032e-06,7.1363e-08,,,,,,,,,,,
Sam 18,3.97253e-08,1.17768e-02,4.1855e-03,4.8186e-05,4.4457e-06,7.1386e-08,,,,,,           -7.2152,            4.7155,           -3.0837,            9.7153,           12.6328,          -10.7320,           -1.1915,           -0.2556,            0.2596,           11.0602,
Ref 19,3.87384e-08,,,,,,1.1862e-02,4.1658e-03,4.8336e-05,4.4028e-06,6.9613e-08,,,,,,,,,,,
Sam 19,3.91190e-08,1.17767e-02,4.1855e-03,4.8184e-05,4.4431e-06,7.0065e-08,,,,,,           -7.2211,            4.7264,           -3.1707,            8.9430,            4.9622,          -10.7387,           -1.1807,           -0.3473,           -0.5272,            3.3865,
Ref 20,3.81336e-08,,,,,,1.1862e-02,4.1658e-03,4.8339e-05,4.4046e-06,6.9826e-08,,,,,,,,,,,
Sam 20,3.85226e-08,1.17767e-02,4.1855e-03,4.8180e-05,4.4436e-06,6.9534e-08,,,,,,           -7.2163,            4.7132,           -3.2386,            9.2462,           -2.5070,          -10.7331,           -1.1938,           -0.4074,           -0.2005,           -4.0503,
Ref 21,3.75411e-08,,,,,,1.1862e-02,4.1658e-03,4.8335e-05,4.4012e-06,6.9590e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.72504e-08,,,,,,1.1862e-02,4.1658e-03,4.8335e-05,4.4034e-06,6.9849e-08,
Sam 1,3.76505e-08,1.17766e-02,4.1856e-03,4.8178e-05,4.4447e-06,7.1154e-08,,,,,,           -7.2234,            4.7270,           -3.2777,            9.2073,           18.7998,          -10.7411,           -1.1800,           -0.4528,           -0.2666,           17.2036,
Ref 2,3.66754e-08,,,,,,1.1862e-02,4.1659e-03,4.8338e-05,4.4048e-06,6.9833e-08,,,,,,,,,,,
Sam 2,3.70852e-08,1.17767e-02,4.1856e-03,4.8177e-05,4.4445e-06,7.1757e-08,,,,,,           -7.2130,            4.7188,           -3.3434,            9.3455,           33.1429,          -10.7298,           -1.1882,           -0.5215,           -0.1133,           31.5293,
Ref 3,3.61094e-08,,,,,,1.1862e-02,4.1660e-03,4.8338e-05,4.4018e-06,6.9071e-08,,,,,,,,,,,
Sam 3,3.65319e-08,1.17766e-02,4.1856e-03,4.8179e-05,4.4433e-06,7.0856e-08,,,,,,           -7.2141,            4.7078,           -3.2576,            9.2261,           11.5192,          -10.7305,           -1.1992,           -0.4236,           -0.2098,            9.9622,
Ref 4,3.55599e-08,,,,,,1.1862e-02,4.1660e-03,4.8334e-05,4.4037e-06,7.1043e-08,,,,,,,,,,,
Sam 4,3.59922e-08,1.17765e-02,4.1856e-03,4.8181e-05,4.4436e-06,6.9931e-08,,,,,,           -7.2178,            4.7101,           -3.1637,            9.2248,           -6.9010,          -10.7345,           -1.1968,           -0.3279,           -0.2157,           -8.4302,
Ref 5,3.50187e-08,,,,,,1.1862e-02,4.1660e-03,4.8334e-05,4.4024e-06,6.9782e-08,,,,,,,,,,,
Sam 5,3.54632e-08,1.17765e-02,4.1857e-03,4.8186e-05,4.4450e-06,6.9568e-08,,,,,,           -7.2195,            4.7095,           -3.0894,            9.8236,          -10.1205,          -10.7364,           -1.1975,           -0.2509,            0.3788,          -11.6416,
Ref 6,3.44952e-08,,,,,,1.1862e-02,4.1661e-03,4.8337e-05,4.4011e-06,7.0784e-08,,,,,,,,,,,
Sam 6,3.49449e-08,1.17765e-02,4.1857e-03,4.8186e-05,4.4445e-06,7.0400e-08,,,,,,           -7.2111,            4.7075,           -3.1625,            9.6501,           -5.3379,          -10.7274,           -1.1994,           -0.3310,            0.2108,           -6.8715,
Ref 7,3.39756e-08,,,,,,1.1862e-02,4.1661e-03,4.8341e-05,4.4029e-06,7.0772e-08,,,,,,,,,,,
Sam 7,3.44219e-08,1.17765e-02,4.1858e-03,4.8185e-05,4.4445e-06,6.9730e-08,,,,,,           -7.2147,            4.7177,           -3.2144,            9.7083,          -23.5597,          -10.7315,           -1.1893,           -0.3893,            0.2483,          -25.0809,
Ref 8,3.34516e-08,,,,,,1.1862e-02,4.1661e-03,4.8339e-05,4.4007e-06,7.2062e-08,,,,,,,,,,,
Sam 8,3.39730e-08,1.17764e-02,4.1858e-03,4.8188e-05,4.4421e-06,7.0067e-08,,,,,,           -7.2171,            4.7320,           -3.1332,            9.4408,          -27.4749,          -10.7346,           -1.1751,           -0.3194,           -0.0453,          -29.0147,
Ref 9,3.29801e-08,,,,,,1.1862e-02,4.1660e-03,4.8340e-05,4.4003e-06,7.2030e-08,,,,,,,,,,,
Sam 9,3.34592e-08,1.17764e-02,4.1858e-03,4.8183e-05,4.4426e-06,7.0266e-08,,,,,,           -7.2121,            4.7380,           -3.2373,            9.3261,          -15.3831,          -10.7295,           -1.1691,           -0.4349,           -0.1708,          -16.9588,
Ref 10,3.25029e-08,,,,,,1.1862e-02,4.1661e-03,4.8339e-05,4.4028e-06,7.0688e-08,,,,,,,,,,,
Sam 10,3.29843e-08,1.17764e-02,4.1858e-03,4.8190e-05,4.4435e-06,6.9868e-08,,,,,,           -7.2179,            4.7258,           -3.1707,            9.0823,          -19.1851,          -10.7353,           -1.1812,           -0.3501,           -0.3880,          -20.7253,
Ref 11,3.20143e-08,,,,,,1.1862e-02,4.1661e-03,4.8347e-05,4.4042e-06,7.1790e-08,,,,,,,,,,,
Sam 11,3.25138e-08,1.17763e-02,4.1858e-03,4.8192e-05,4.4425e-06,7.0412e-08,,,,,,           -7.2238,            4.7124,           -3.1176,            8.8392,          -19.8571,          -10.7411,           -1.1945,           -0.2776,           -0.6023,          -21.3644,
Ref 12,3.15404e-08,,,,,,1.1862e-02,4.1662e-03,4.8339e-05,4.4029e-06,7.1887e-08,,,,,,,,,,,
Sam 12,3.20495e-08,1.17765e-02,4.1858e-03,4.8201e-05,4.4437e-06,6.9379e-08,,,,,,           -7.2041,            4.7124,           -2.9203,            9.4093,          -26.2901,          -10.7201,           -1.1946,           -0.1002,           -0.0374,          -27.8079,
Ref 13,3.10791e-08,,,,,,1.1862e-02,4.1662e-03,4.8346e-05,4.4017e-06,7.0607e-08,,,,,,,,,,,
Sam 13,3.15766e-08,1.17764e-02,4.1860e-03,4.8196e-05,4.4442e-06,6.9398e-08,,,,,,           -7.2095,            4.7386,           -3.1659,            9.5628,          -21.3183,          -10.7267,           -1.1686,           -0.3666,            0.0625,          -22.8884,
Ref 14,3.06371e-08,,,,,,1.1862e-02,4.1663e-03,4.8353e-05,4.4026e-06,7.1217e-08,,,,,,,,,,,
Sam 14,3.11161e-08,1.17764e-02,4.1860e-03,4.8197e-05,4.4422e-06,7.0971e-08,,,,,,           -7.2093,            4.7350,           -3.1691,            9.1601,            5.2200,          -10.7264,           -1.1721,           -0.3665,           -0.3292,            3.6142,
Ref 15,3.01877e-08,,,,,,1.1862e-02,4.1663e-03,4.8347e-05,4.4011e-06,6.9979e-08,,,,,,,,,,,
Sam 15,3.06817e-08,1.17763e-02,4.1860e-03,4.8190e-05,4.4423e-06,7.1376e-08,,,,,,           -7.2180,            4.7314,           -3.2686,            9.1944,           27.2106,          -10.7356,           -1.1756,           -0.4537,           -0.2882,           25.5864,
Ref 16,2.97497e-08,,,,,,1.1862e-02,4.1664e-03,4.8349e-05,4.4025e-06,6.8984e-08,,,,,,,,,,,
Sam 16,3.02538e-08,1.17764e-02,4.1861e-03,4.8198e-05,4.4453e-06,7.1310e-08,,,,,,           -7.2072,            4.7284,           -3.0981,            9.7403,           26.5046,          -10.7240,           -1.1787,           -0.2909,            0.2587,           24.8758,
Ref 17,2.93217e-08,,,,,,1.1862e-02,4.1664e-03,4.8346e-05,4.4022e-06,6.9960e-08,,,,,,,,,,,
Sam 17,2.98587e-08,1.17762e-02,4.1860e-03,4.8191e-05,4.4425e-06,7.0936e-08,,,,,,           -7.2180,            4.6968,           -3.3475,            9.1807,            4.8456,          -10.7344,           -1.2101,           -0.4989,           -0.2329,            3.3247,
Ref 18,2.89044e-08,,,,,,1.1862e-02,4.1665e-03,4.8359e-05,4.4020e-06,7.1236e-08,,,,,,,,,,,
Sam 18,2.94452e-08,1.17762e-02,4.1861e-03,4.8199e-05,4.4430e-06,6.9667e-08,,,,,,           -7.2167,            4.7186,           -3.2934,            9.1224,          -16.5925,          -10.7337,           -1.1884,           -0.4674,           -0.3340,          -18.1242,
Ref 19,2.85142e-08,,,,,,1.1862e-02,4.1664e-03,4.8358e-05,4.4036e-06,7.0443e-08,,,,,,,,,,,
Sam 19,2.90607e-08,1.17762e-02,4.1861e-03,4.8196e-05,4.4444e-06,7.0589e-08,,,,,,           -7.2138,            4.7156,           -3.3279,            9.5634,           -2.0029,          -10.7305,           -1.1915,           -0.5019,            0.1089,           -3.5544,
Ref 20,2.81130e-08,,,,,,1.1862e-02,4.1665e-03,4.8356e-05,4.4011e-06,7.1022e-08,,,,,,,,,,,
Sam 20,2.86420e-08,1.17763e-02,4.1862e-03,4.8197e-05,4.4428e-06,7.0272e-08,,,,,,           -7.2041,            4.7299,           -3.3110,            9.3639,           -8.6526,          -10.7207,           -1.1772,           -0.5092,           -0.1173,          -10.2319,
