Nu Stable Isotope Analysis Program
Data Collected on Thursday, November 02, 2023 at 01:08 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, November 02, 2023 at 02:07 with Stable 1.71.5 on PS019

Data File = Data_20789 WS 2.1A.txt,       Sample Weight = 436,                      Vial Location = 31,                       Initial Sam Beam = 2.4291e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2101e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.0262
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.09909e-08,,,,,,1.1863e-02,4.1645e-03,4.8308e-05,4.3997e-06,6.7278e-08,
Sam 1,7.03117e-08,1.17770e-02,4.1843e-03,4.8160e-05,4.4415e-06,6.7674e-08,,,,,,           -7.2243,            4.7442,           -3.1112,            9.4670,            6.6040,          -10.7426,           -1.1629,           -0.3018,           -0.0435,            4.9940,
Ref 2,6.97713e-08,,,,,,1.1863e-02,4.1647e-03,4.8313e-05,4.4000e-06,6.7180e-08,,,,,,,,,,,
Sam 2,6.90090e-08,1.17771e-02,4.1844e-03,4.8158e-05,4.4420e-06,6.8948e-08,,,,,,           -7.2093,            4.7685,           -3.1505,            9.4329,           22.2843,          -10.7276,           -1.1388,           -0.3805,           -0.1258,           20.5843,
Ref 3,6.89098e-08,,,,,,1.1862e-02,4.1644e-03,4.8308e-05,4.4010e-06,6.7714e-08,,,,,,,,,,,
Sam 3,6.79531e-08,1.17769e-02,4.1843e-03,4.8160e-05,4.4412e-06,6.9333e-08,,,,,,           -7.2233,            4.7383,           -3.0806,            9.1934,           20.3073,          -10.7415,           -1.1688,           -0.2664,           -0.3030,           18.6860,
Ref 4,6.73328e-08,,,,,,1.1863e-02,4.1647e-03,4.8310e-05,4.4004e-06,6.8198e-08,,,,,,,,,,,
Sam 4,6.66857e-08,1.17768e-02,4.1843e-03,4.8154e-05,4.4414e-06,6.9956e-08,,,,,,           -7.2410,            4.7064,           -3.2444,            9.5062,           35.0838,          -10.7592,           -1.2005,           -0.3810,            0.0706,           33.5234,
Ref 5,6.60586e-08,,,,,,1.1863e-02,4.1647e-03,4.8312e-05,4.3988e-06,6.6961e-08,,,,,,,,,,,
Sam 5,6.54364e-08,1.17769e-02,4.1844e-03,4.8160e-05,4.4433e-06,6.9502e-08,,,,,,           -7.2293,            4.7177,           -3.1129,            9.9169,           32.9812,          -10.7471,           -1.1893,           -0.2724,            0.4549,           31.3881,
Ref 6,6.48038e-08,,,,,,1.1863e-02,4.1648e-03,4.8309e-05,4.4007e-06,6.7611e-08,,,,,,,,,,,
Sam 6,6.42153e-08,1.17769e-02,4.1844e-03,4.8159e-05,4.4428e-06,6.8306e-08,,,,,,           -7.2316,            4.7199,           -3.1791,            9.4020,            8.3407,          -10.7496,           -1.1870,           -0.3385,           -0.0597,            6.7837,
Ref 7,6.35787e-08,,,,,,1.1863e-02,4.1648e-03,4.8316e-05,4.4022e-06,6.7874e-08,,,,,,,,,,,
Sam 7,6.30184e-08,1.17768e-02,4.1844e-03,4.8161e-05,4.4414e-06,6.9643e-08,,,,,,           -7.2325,            4.7109,           -3.1671,            9.0067,           24.6003,          -10.7503,           -1.1961,           -0.3167,           -0.4332,           23.0373,
Ref 8,6.23807e-08,,,,,,1.1863e-02,4.1648e-03,4.8312e-05,4.4014e-06,6.8071e-08,,,,,,,,,,,
Sam 8,6.17918e-08,1.17769e-02,4.1846e-03,4.8161e-05,4.4419e-06,6.9203e-08,,,,,,           -7.2288,            4.7276,           -3.1268,            9.2544,           19.3916,          -10.7469,           -1.1794,           -0.2966,           -0.2212,           17.7992,
Ref 9,6.11630e-08,,,,,,1.1863e-02,4.1649e-03,4.8312e-05,4.4010e-06,6.7698e-08,,,,,,,,,,,
Sam 9,6.06598e-08,1.17769e-02,4.1846e-03,4.8160e-05,4.4425e-06,6.9492e-08,,,,,,           -7.2302,            4.7052,           -3.1755,            9.3465,           27.9017,          -10.7476,           -1.2018,           -0.3220,           -0.0852,           26.3425,
Ref 10,5.99787e-08,,,,,,1.1863e-02,4.1650e-03,4.8315e-05,4.4017e-06,6.7511e-08,,,,,,,,,,,
Sam 10,5.95175e-08,1.17769e-02,4.1846e-03,4.8158e-05,4.4430e-06,7.0132e-08,,,,,,           -7.2374,            4.7176,           -3.2470,            9.4979,           37.4583,          -10.7557,           -1.1894,           -0.3983,            0.0400,           35.8676,
Ref 11,5.88966e-08,,,,,,1.1863e-02,4.1650e-03,4.8316e-05,4.4006e-06,6.7689e-08,,,,,,,,,,,
Sam 11,5.84410e-08,1.17769e-02,4.1847e-03,4.8162e-05,4.4421e-06,6.8820e-08,,,,,,           -7.2323,            4.7308,           -3.1884,            9.2734,           12.6139,          -10.7507,           -1.1762,           -0.3578,           -0.2087,           11.0295,
Ref 12,5.78021e-08,,,,,,1.1863e-02,4.1651e-03,4.8316e-05,4.4020e-06,6.8241e-08,,,,,,,,,,,
Sam 12,5.74083e-08,1.17769e-02,4.1847e-03,4.8161e-05,4.4427e-06,6.9382e-08,,,,,,           -7.2307,            4.7191,           -3.2016,            9.4725,           18.1617,          -10.7487,           -1.1879,           -0.3612,            0.0119,           16.5902,
Ref 13,5.67354e-08,,,,,,1.1863e-02,4.1651e-03,4.8315e-05,4.3999e-06,6.8046e-08,,,,,,,,,,,
Sam 13,5.63939e-08,1.17768e-02,4.1848e-03,4.8163e-05,4.4433e-06,6.9929e-08,,,,,,           -7.2310,            4.7224,           -3.1592,            9.8276,           26.6969,          -10.7491,           -1.1846,           -0.3216,            0.3571,           25.1059,
Ref 14,5.57633e-08,,,,,,1.1863e-02,4.1651e-03,4.8318e-05,4.4002e-06,6.8177e-08,,,,,,,,,,,
Sam 14,5.54294e-08,1.17767e-02,4.1847e-03,4.8162e-05,4.4418e-06,6.9375e-08,,,,,,           -7.2370,            4.7045,           -3.2042,            9.3685,           20.3441,          -10.7549,           -1.2024,           -0.3429,           -0.0620,           18.8053,
Ref 15,5.47577e-08,,,,,,1.1862e-02,4.1652e-03,4.8316e-05,4.4010e-06,6.7803e-08,,,,,,,,,,,
Sam 15,5.44009e-08,1.17767e-02,4.1848e-03,4.8166e-05,4.4437e-06,6.9835e-08,,,,,,           -7.2340,            4.7030,           -3.1272,            9.6819,           20.9908,          -10.7516,           -1.2039,           -0.2674,            0.2513,           19.4506,
Ref 16,5.37659e-08,,,,,,1.1863e-02,4.1652e-03,4.8318e-05,4.4011e-06,6.9007e-08,,,,,,,,,,,
Sam 16,5.34113e-08,1.17768e-02,4.1849e-03,4.8166e-05,4.4417e-06,6.8859e-08,,,,,,           -7.2171,            4.7160,           -3.1333,            9.1612,            3.0349,          -10.7340,           -1.1910,           -0.3039,           -0.2904,            1.4781,
Ref 17,5.28548e-08,,,,,,1.1862e-02,4.1652e-03,4.8317e-05,4.4016e-06,6.8288e-08,,,,,,,,,,,
Sam 17,5.25569e-08,1.17766e-02,4.1849e-03,4.8161e-05,4.4427e-06,6.9893e-08,,,,,,           -7.2267,            4.7364,           -3.2014,            9.6266,           17.8346,          -10.7449,           -1.1707,           -0.3822,            0.1301,           16.2247,
Ref 18,5.19959e-08,,,,,,1.1862e-02,4.1652e-03,4.8314e-05,4.3991e-06,6.9055e-08,,,,,,,,,,,
Sam 18,5.17269e-08,1.17766e-02,4.1849e-03,4.8161e-05,4.4425e-06,6.9442e-08,,,,,,           -7.2333,            4.7196,           -3.2345,            9.6308,            8.1792,          -10.7515,           -1.1874,           -0.3919,            0.1677,            6.6250,
Ref 19,5.10657e-08,,,,,,1.1862e-02,4.1653e-03,4.8320e-05,4.4011e-06,6.8699e-08,,,,,,,,,,,
Sam 19,5.07653e-08,1.17766e-02,4.1850e-03,4.8163e-05,4.4419e-06,6.8922e-08,,,,,,           -7.2314,            4.7237,           -3.2203,            9.3039,            4.5332,          -10.7496,           -1.1833,           -0.3837,           -0.1643,            2.9746,
Ref 20,5.01067e-08,,,,,,1.1862e-02,4.1654e-03,4.8317e-05,4.4007e-06,6.8522e-08,,,,,,,,,,,
Sam 20,4.99140e-08,1.17766e-02,4.1850e-03,4.8166e-05,4.4424e-06,6.9747e-08,,,,,,           -7.2296,            4.7075,           -3.1311,            9.5181,           18.0021,          -10.7471,           -1.1994,           -0.2803,            0.0800,           16.4527,
Ref 21,4.92530e-08,,,,,,1.1862e-02,4.1654e-03,4.8317e-05,4.4004e-06,6.8504e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.88290e-08,,,,,,1.1862e-02,4.1654e-03,4.8315e-05,4.4007e-06,6.6993e-08,
Sam 1,4.86549e-08,1.17766e-02,4.1850e-03,4.8168e-05,4.4405e-06,6.9468e-08,,,,,,           -7.2323,            4.7111,           -3.0842,            9.0635,           28.8260,          -10.7501,           -1.1958,           -0.2339,           -0.3775,           27.2559,
Ref 2,4.79992e-08,,,,,,1.1862e-02,4.1654e-03,4.8319e-05,4.4004e-06,6.8058e-08,,,,,,,,,,,
Sam 2,4.78492e-08,1.17766e-02,4.1851e-03,4.8168e-05,4.4407e-06,6.9143e-08,,,,,,           -7.2346,            4.7123,           -3.1662,            9.0933,           20.3117,          -10.7526,           -1.1947,           -0.3150,           -0.3502,           18.7548,
Ref 3,4.71942e-08,,,,,,1.1862e-02,4.1655e-03,4.8324e-05,4.4009e-06,6.7469e-08,,,,,,,,,,,
Sam 3,4.70566e-08,1.17765e-02,4.1851e-03,4.8166e-05,4.4413e-06,7.0136e-08,,,,,,           -7.2370,            4.7135,           -3.2443,            8.9995,           32.4314,          -10.7552,           -1.1934,           -0.3921,           -0.4456,           30.8562,
Ref 4,4.64019e-08,,,,,,1.1862e-02,4.1655e-03,4.8322e-05,4.4026e-06,6.8405e-08,,,,,,,,,,,
Sam 4,4.62788e-08,1.17764e-02,4.1851e-03,4.8166e-05,4.4411e-06,6.9982e-08,,,,,,           -7.2359,            4.7088,           -3.1584,            9.1656,           20.2610,          -10.7538,           -1.1981,           -0.3024,           -0.2717,           18.7124,
Ref 5,4.56221e-08,,,,,,1.1862e-02,4.1655e-03,4.8315e-05,4.3989e-06,6.8783e-08,,,,,,,,,,,
Sam 5,4.55189e-08,1.17765e-02,4.1852e-03,4.8164e-05,4.4393e-06,7.0180e-08,,,,,,           -7.2191,            4.7211,           -3.1554,            9.0309,           22.8000,          -10.7363,           -1.1859,           -0.3289,           -0.4296,           21.2046,
Ref 6,4.48722e-08,,,,,,1.1862e-02,4.1656e-03,4.8318e-05,4.4001e-06,6.8446e-08,,,,,,,,,,,
Sam 6,4.47867e-08,1.17765e-02,4.1852e-03,4.8167e-05,4.4415e-06,7.0313e-08,,,,,,           -7.2234,            4.7049,           -3.1946,            9.5036,           24.6762,          -10.7404,           -1.2020,           -0.3479,            0.0709,           23.1150,
Ref 7,4.41311e-08,,,,,,1.1862e-02,4.1656e-03,4.8326e-05,4.3991e-06,6.8797e-08,,,,,,,,,,,
Sam 7,4.40636e-08,1.17764e-02,4.1852e-03,4.8164e-05,4.4417e-06,6.9828e-08,,,,,,           -7.2318,            4.7046,           -3.3088,            9.7491,           12.6330,          -10.7493,           -1.2023,           -0.4534,            0.3147,           11.0999,
Ref 8,4.34083e-08,,,,,,1.1862e-02,4.1656e-03,4.8323e-05,4.3985e-06,6.9119e-08,,,,,,,,,,,
Sam 8,4.33632e-08,1.17763e-02,4.1852e-03,4.8164e-05,4.4414e-06,7.0011e-08,,,,,,           -7.2322,            4.6941,           -3.2632,            9.5862,           10.8177,          -10.7494,           -1.2127,           -0.3970,            0.1742,            9.3085,
Ref 9,4.27021e-08,,,,,,1.1862e-02,4.1657e-03,4.8321e-05,4.4000e-06,6.9407e-08,,,,,,,,,,,
Sam 9,4.26746e-08,1.17764e-02,4.1852e-03,4.8172e-05,4.4403e-06,6.9368e-08,,,,,,           -7.2251,            4.6959,           -3.0992,            9.1219,            2.5748,          -10.7419,           -1.2110,           -0.2417,           -0.2893,            1.0668,
Ref 10,4.20166e-08,,,,,,1.1862e-02,4.1656e-03,4.8322e-05,4.4003e-06,6.8969e-08,,,,,,,,,,,
Sam 10,4.20035e-08,1.17764e-02,4.1853e-03,4.8166e-05,4.4413e-06,6.9949e-08,,,,,,           -7.2189,            4.7115,           -3.2189,            9.2180,            9.7684,          -10.7358,           -1.1955,           -0.3834,           -0.2250,            8.2121,
Ref 11,4.13422e-08,,,,,,1.1862e-02,4.1657e-03,4.8320e-05,4.4013e-06,6.9580e-08,,,,,,,,,,,
Sam 11,4.13461e-08,1.17763e-02,4.1853e-03,4.8171e-05,4.4388e-06,7.0590e-08,,,,,,           -7.2290,            4.6941,           -3.0863,            8.5975,           16.5588,          -10.7459,           -1.2128,           -0.2230,           -0.8053,           15.0376,
Ref 12,4.06824e-08,,,,,,1.1862e-02,4.1657e-03,4.8321e-05,4.4006e-06,6.9297e-08,,,,,,,,,,,
Sam 12,4.07032e-08,1.17762e-02,4.1853e-03,4.8170e-05,4.4420e-06,6.9978e-08,,,,,,           -7.2348,            4.7122,           -3.1352,            9.5113,           10.8032,          -10.7528,           -1.1948,           -0.2836,            0.0640,            9.2612,
Ref 13,4.00356e-08,,,,,,1.1862e-02,4.1657e-03,4.8322e-05,4.3997e-06,6.9162e-08,,,,,,,,,,,
Sam 13,4.00721e-08,1.17762e-02,4.1853e-03,4.8167e-05,4.4401e-06,6.9389e-08,,,,,,           -7.2308,            4.7017,           -3.2477,            9.2101,           20.3370,          -10.7481,           -1.2052,           -0.3904,           -0.2135,           18.7969,
Ref 14,3.94009e-08,,,,,,1.1862e-02,4.1657e-03,4.8326e-05,4.3995e-06,6.6831e-08,,,,,,,,,,,
Sam 14,3.94538e-08,1.17762e-02,4.1854e-03,4.8173e-05,4.4426e-06,7.0377e-08,,,,,,           -7.2324,            4.7092,           -3.0680,            9.9913,           37.9652,          -10.7501,           -1.1977,           -0.2158,            0.5455,           36.3851,
Ref 15,3.87840e-08,,,,,,1.1862e-02,4.1658e-03,4.8317e-05,4.3978e-06,6.8789e-08,,,,,,,,,,,
Sam 15,3.88481e-08,1.17762e-02,4.1854e-03,4.8163e-05,4.4387e-06,7.0963e-08,,,,,,           -7.2308,            4.7164,           -3.2519,            9.0677,           18.9338,          -10.7486,           -1.1906,           -0.4090,           -0.3838,           17.3665,
Ref 16,3.81779e-08,,,,,,1.1862e-02,4.1658e-03,4.8323e-05,4.3999e-06,7.0513e-08,,,,,,,,,,,
Sam 16,3.82534e-08,1.17761e-02,4.1854e-03,4.8166e-05,4.4396e-06,6.8827e-08,,,,,,           -7.2371,            4.7086,           -3.2063,            9.0630,          -19.2444,          -10.7551,           -1.1984,           -0.3490,           -0.3728,          -20.7313,
Ref 17,3.75854e-08,,,,,,1.1862e-02,4.1658e-03,4.8318e-05,4.3996e-06,6.9836e-08,,,,,,,,,,,
Sam 17,3.76728e-08,1.17761e-02,4.1855e-03,4.8168e-05,4.4383e-06,7.0704e-08,,,,,,           -7.2358,            4.7201,           -3.0905,            8.7721,           15.3116,          -10.7541,           -1.1869,           -0.2455,           -0.6838,           13.7482,
Ref 18,3.70060e-08,,,,,,1.1862e-02,4.1658e-03,4.8316e-05,4.3997e-06,6.9436e-08,,,,,,,,,,,
Sam 18,3.71035e-08,1.17760e-02,4.1855e-03,4.8169e-05,4.4416e-06,6.9943e-08,,,,,,           -7.2368,            4.7083,           -3.1483,            9.4376,            6.9161,          -10.7547,           -1.1986,           -0.2909,           -0.0013,            5.3897,
Ref 19,3.64400e-08,,,,,,1.1862e-02,4.1659e-03,4.8328e-05,4.4005e-06,6.9489e-08,,,,,,,,,,,
Sam 19,3.65475e-08,1.17762e-02,4.1855e-03,4.8172e-05,4.4417e-06,6.9113e-08,,,,,,           -7.2269,            4.6977,           -3.1828,            9.3940,            8.4657,          -10.7438,           -1.2092,           -0.3254,           -0.0233,            6.9472,
Ref 20,3.58885e-08,,,,,,1.1862e-02,4.1660e-03,4.8324e-05,4.4002e-06,6.7563e-08,,,,,,,,,,,
Sam 20,3.60070e-08,1.17760e-02,4.1855e-03,4.8171e-05,4.4389e-06,7.1686e-08,,,,,,           -7.2377,            4.6977,           -3.1632,            8.8075,           48.3223,          -10.7553,           -1.2092,           -0.2946,           -0.6043,           46.7558,
Ref 21,3.53430e-08,,,,,,1.1862e-02,4.1659e-03,4.8323e-05,4.4001e-06,6.9213e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.50751e-08,,,,,,1.1862e-02,4.1659e-03,4.8327e-05,4.4009e-06,6.8477e-08,
Sam 1,3.52093e-08,1.17760e-02,4.1855e-03,4.8175e-05,4.4375e-06,7.0506e-08,,,,,,           -7.2260,            4.6972,           -3.1174,            8.5773,           19.0577,          -10.7429,           -1.2097,           -0.2601,           -0.8314,           17.5234,
Ref 2,3.45455e-08,,,,,,1.1862e-02,4.1660e-03,4.8325e-05,4.3987e-06,6.9910e-08,,,,,,,,,,,
Sam 2,3.47228e-08,1.17759e-02,4.1856e-03,4.8174e-05,4.4391e-06,7.0876e-08,,,,,,           -7.2323,            4.6959,           -3.1391,            9.4816,           10.5434,          -10.7495,           -1.2110,           -0.2742,            0.0671,            9.0312,
Ref 3,3.40746e-08,,,,,,1.1862e-02,4.1660e-03,4.8326e-05,4.3961e-06,7.0367e-08,,,,,,,,,,,
Sam 3,3.42244e-08,1.17759e-02,4.1855e-03,4.8169e-05,4.4388e-06,7.0936e-08,,,,,,           -7.2298,            4.6954,           -3.2135,            9.7617,           30.0213,          -10.7468,           -1.2114,           -0.3509,            0.3455,           28.4781,
Ref 4,3.35497e-08,,,,,,1.1862e-02,4.1660e-03,4.8323e-05,4.3956e-06,6.7348e-08,,,,,,,,,,,
Sam 4,3.37010e-08,1.17758e-02,4.1856e-03,4.8173e-05,4.4392e-06,6.9391e-08,,,,,,           -7.2330,            4.7123,           -3.1993,            9.4645,           20.1711,          -10.7508,           -1.1947,           -0.3499,            0.0175,           18.6125,
Ref 5,3.30508e-08,,,,,,1.1862e-02,4.1660e-03,4.8332e-05,4.3996e-06,6.8700e-08,,,,,,,,,,,
Sam 5,3.32022e-08,1.17759e-02,4.1857e-03,4.8173e-05,4.4393e-06,6.9630e-08,,,,,,           -7.2306,            4.7100,           -3.2290,            9.1561,            5.9091,          -10.7482,           -1.1970,           -0.3799,           -0.2834,            4.3743,
Ref 6,3.25345e-08,,,,,,1.1862e-02,4.1661e-03,4.8327e-05,4.3984e-06,6.9751e-08,,,,,,,,,,,
Sam 6,3.27321e-08,1.17758e-02,4.1857e-03,4.8177e-05,4.4392e-06,7.0844e-08,,,,,,           -7.2363,            4.7010,           -3.1262,            9.2138,           17.9684,          -10.7539,           -1.2059,           -0.2621,           -0.2083,           16.4394,
Ref 7,3.20556e-08,,,,,,1.1862e-02,4.1662e-03,4.8329e-05,4.3990e-06,6.9432e-08,,,,,,,,,,,
Sam 7,3.22333e-08,1.17759e-02,4.1858e-03,4.8175e-05,4.4395e-06,6.9760e-08,,,,,,           -7.2197,            4.7101,           -3.1537,            9.3087,           -1.2566,          -10.7366,           -1.1969,           -0.3158,           -0.1324,           -2.7922,
Ref 8,3.15619e-08,,,,,,1.1861e-02,4.1662e-03,4.8327e-05,4.3980e-06,7.0269e-08,,,,,,,,,,,
Sam 8,3.17976e-08,1.17758e-02,4.1857e-03,4.8176e-05,4.4405e-06,6.9023e-08,,,,,,           -7.2217,            4.6835,           -3.0985,            9.5901,          -23.9469,          -10.7378,           -1.2234,           -0.2323,            0.1993,          -25.3948,
Ref 9,3.11323e-08,,,,,,1.1862e-02,4.1662e-03,4.8324e-05,4.3985e-06,7.1170e-08,,,,,,,,,,,
Sam 9,3.13225e-08,1.17758e-02,4.1858e-03,4.8176e-05,4.4384e-06,7.0024e-08,,,,,,           -7.2231,            4.7086,           -3.2152,            9.0621,           -6.2222,          -10.7402,           -1.1984,           -0.3724,           -0.3738,           -7.7437,
Ref 10,3.06788e-08,,,,,,1.1861e-02,4.1662e-03,4.8338e-05,4.3986e-06,6.9745e-08,,,,,,,,,,,
Sam 10,3.08815e-08,1.17759e-02,4.1859e-03,4.8180e-05,4.4374e-06,6.9484e-08,,,,,,           -7.2190,            4.7054,           -3.2270,            8.8413,            9.9252,          -10.7357,           -1.2015,           -0.3855,           -0.5862,            8.3808,
Ref 11,3.02236e-08,,,,,,1.1861e-02,4.1663e-03,4.8335e-05,4.3984e-06,6.7843e-08,,,,,,,,,,,
Sam 11,3.04676e-08,1.17756e-02,4.1859e-03,4.8178e-05,4.4410e-06,7.1479e-08,,,,,,           -7.2443,            4.6933,           -3.1909,            9.6232,           51.8178,          -10.7622,           -1.2135,           -0.3112,            0.2125,           50.2626,
Ref 12,2.97827e-08,,,,,,1.1862e-02,4.1664e-03,4.8329e-05,4.3991e-06,6.8073e-08,,,,,,,,,,,
Sam 12,3.00570e-08,1.17757e-02,4.1859e-03,4.8180e-05,4.4406e-06,7.1241e-08,,,,,,           -7.2346,            4.6887,           -3.1083,            9.6016,           35.4513,          -10.7518,           -1.2182,           -0.2338,            0.2003,           33.9191,
Ref 13,2.93698e-08,,,,,,1.1861e-02,4.1663e-03,4.8331e-05,4.3976e-06,6.9541e-08,,,,,,,,,,,
Sam 13,2.96331e-08,1.17757e-02,4.1859e-03,4.8176e-05,4.4400e-06,7.0022e-08,,,,,,           -7.2258,            4.7028,           -3.3339,            9.5784,           30.7254,          -10.7428,           -1.2041,           -0.4831,            0.1492,           29.1619,
Ref 14,2.89615e-08,,,,,,1.1861e-02,4.1663e-03,4.8343e-05,4.3981e-06,6.6305e-08,,,,,,,,,,,
Sam 14,2.92243e-08,1.17758e-02,4.1859e-03,4.8180e-05,4.4379e-06,7.1619e-08,,,,,,           -7.2237,            4.6940,           -3.3650,            9.2000,           47.1669,          -10.7404,           -1.2128,           -0.5078,           -0.2082,           45.5941,
Ref 15,2.85340e-08,,,,,,1.1861e-02,4.1664e-03,4.8342e-05,4.3968e-06,7.0513e-08,,,,,,,,,,,
Sam 15,2.88204e-08,1.17756e-02,4.1860e-03,4.8183e-05,4.4393e-06,7.2058e-08,,,,,,           -7.2361,            4.6975,           -3.2757,            9.5914,           31.8559,          -10.7536,           -1.2093,           -0.4089,            0.1726,           30.3127,
Ref 16,2.81469e-08,,,,,,1.1861e-02,4.1665e-03,4.8341e-05,4.3975e-06,6.9145e-08,,,,,,,,,,,
Sam 16,2.84184e-08,1.17757e-02,4.1861e-03,4.8186e-05,4.4399e-06,7.0435e-08,,,,,,           -7.2214,            4.7061,           -3.1982,            9.2725,           13.4258,          -10.7383,           -1.2009,           -0.3548,           -0.1603,           11.8773,
Ref 17,2.77497e-08,,,,,,1.1861e-02,4.1664e-03,4.8340e-05,4.4007e-06,6.9864e-08,,,,,,,,,,,
Sam 17,2.80409e-08,1.17756e-02,4.1860e-03,4.8184e-05,4.4407e-06,6.9343e-08,,,,,,           -7.2315,            4.6939,           -3.1645,            9.2756,          -16.0972,          -10.7486,           -1.2130,           -0.2985,           -0.1330,          -17.5665,
Ref 18,2.73582e-08,,,,,,1.1861e-02,4.1664e-03,4.8335e-05,4.3991e-06,7.1099e-08,,,,,,,,,,,
Sam 18,2.76596e-08,1.17756e-02,4.1860e-03,4.8188e-05,4.4392e-06,6.9471e-08,,,,,,           -7.2338,            4.6849,           -3.0929,            8.9137,          -19.9909,          -10.7507,           -1.2219,           -0.2155,           -0.4738,          -21.4348,
Ref 19,2.69788e-08,,,,,,1.1861e-02,4.1665e-03,4.8341e-05,4.4010e-06,7.0674e-08,,,,,,,,,,,
Sam 19,2.72794e-08,1.17756e-02,4.1860e-03,4.8181e-05,4.4443e-06,7.0878e-08,,,,,,           -7.2364,            4.6803,           -3.3023,           10.0910,           10.2576,          -10.7533,           -1.2265,           -0.4184,            0.7019,            8.7811,
Ref 20,2.65825e-08,,,,,,1.1861e-02,4.1666e-03,4.8341e-05,4.3987e-06,6.9635e-08,,,,,,,,,,,
Sam 20,2.68735e-08,1.17758e-02,4.1862e-03,4.8190e-05,4.4368e-06,6.9081e-08,,,,,,           -7.2204,            4.6940,           -3.1186,            8.6348,          -15.9393,          -10.7368,           -1.2129,           -0.2642,           -0.7682,          -17.4209,
Ref 21,2.62161e-08,,,,,,1.1861e-02,4.1666e-03,4.8341e-05,4.3989e-06,7.0772e-08,,,,,,,,,,,


