Nu Stable Isotope Analysis Program
Data Collected on Thursday, November 02, 2023 at 05:12 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, November 02, 2023 at 06:11 with Stable 1.71.5 on PS019

Data File = Data_20792 ETH-04.txt,        Sample Weight = 476,                      Vial Location = 34,                       Initial Sam Beam = 2.5049e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0485e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02623
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.67468e-08,,,,,,1.1868e-02,4.1667e-03,4.8313e-05,4.3930e-06,6.3453e-08,
Sam 1,9.67004e-08,1.17753e-02,4.1409e-03,4.7660e-05,4.3521e-06,6.5882e-08,,,,,,           -7.5975,           -5.8872,          -13.4797,          -10.3085,           14.1485,          -10.7711,          -11.7421,            0.0995,            1.4483,           34.3515,
Ref 2,9.55642e-08,,,,,,1.1863e-02,4.1642e-03,4.8309e-05,4.4020e-06,6.6491e-08,,,,,,,,,,,
Sam 2,9.46969e-08,1.17753e-02,4.1410e-03,4.7660e-05,4.3519e-06,6.6271e-08,,,,,,           -7.4140,           -5.5955,          -13.4534,          -11.4308,           -6.5578,          -10.5860,          -11.4522,           -0.3532,           -0.2742,           12.4488,
Ref 3,9.34561e-08,,,,,,1.1863e-02,4.1643e-03,4.8312e-05,4.4025e-06,6.6931e-08,,,,,,,,,,,
Sam 3,9.26659e-08,1.17754e-02,4.1410e-03,4.7660e-05,4.3530e-06,6.5979e-08,,,,,,           -7.4177,           -5.6020,          -13.4773,          -11.2743,          -13.1401,          -10.5897,          -11.4587,           -0.3670,           -0.1028,            5.7576,
Ref 4,9.13929e-08,,,,,,1.1863e-02,4.1644e-03,4.8310e-05,4.4027e-06,6.6783e-08,,,,,,,,,,,
Sam 4,9.06737e-08,1.17753e-02,4.1412e-03,4.7664e-05,4.3543e-06,6.6581e-08,,,,,,           -7.6087,           -5.8081,          -13.4362,          -10.3984,           10.7788,          -10.7857,          -11.6634,            0.0769,            1.1980,           30.7656,
Ref 5,8.89178e-08,,,,,,1.1868e-02,4.1665e-03,4.8317e-05,4.3972e-06,6.4933e-08,,,,,,,,,,,
Sam 5,8.86996e-08,1.17753e-02,4.1412e-03,4.7663e-05,4.3523e-06,6.6678e-08,,,,,,           -7.6169,           -5.8224,          -13.4623,          -10.7035,           15.9219,          -10.7940,          -11.6776,            0.0731,            0.9181,           36.0488,
Ref 6,8.74181e-08,,,,,,1.1863e-02,4.1644e-03,4.8309e-05,4.4016e-06,6.6344e-08,,,,,,,,,,,
Sam 6,8.68565e-08,1.17752e-02,4.1412e-03,4.7660e-05,4.3514e-06,6.5200e-08,,,,,,           -7.4192,           -5.5905,          -13.4216,          -11.5275,          -20.2286,          -10.5916,          -11.4472,           -0.3206,           -0.3821,           -1.4879,
Ref 7,8.55217e-08,,,,,,1.1863e-02,4.1645e-03,4.8308e-05,4.4027e-06,6.6753e-08,,,,,,,,,,,
Sam 7,8.50333e-08,1.17752e-02,4.1412e-03,4.7661e-05,4.3519e-06,6.6434e-08,,,,,,           -7.4184,           -5.6085,          -13.4356,          -11.5828,           -3.8261,          -10.5902,          -11.4651,           -0.3177,           -0.4018,           15.2636,
Ref 8,8.36931e-08,,,,,,1.1863e-02,4.1645e-03,4.8312e-05,4.4030e-06,6.6624e-08,,,,,,,,,,,
Sam 8,8.32528e-08,1.17750e-02,4.1412e-03,4.7656e-05,4.3521e-06,6.6388e-08,,,,,,           -7.4276,           -5.6081,          -13.5450,          -11.4290,           -2.2919,          -10.5999,          -11.4647,           -0.4195,           -0.2471,           16.8365,
Ref 9,8.19095e-08,,,,,,1.1863e-02,4.1645e-03,4.8310e-05,4.4017e-06,6.6455e-08,,,,,,,,,,,
Sam 9,8.15194e-08,1.17751e-02,4.1412e-03,4.7662e-05,4.3537e-06,6.6733e-08,,,,,,           -7.4167,           -5.5989,          -13.4585,          -10.9714,           -1.7129,          -10.5887,          -11.4555,           -0.3522,            0.1971,           17.3961,
Ref 10,8.01705e-08,,,,,,1.1863e-02,4.1646e-03,4.8315e-05,4.4023e-06,6.7249e-08,,,,,,,,,,,
Sam 10,7.98571e-08,1.17752e-02,4.1413e-03,4.7662e-05,4.3532e-06,6.6555e-08,,,,,,           -7.4190,           -5.5938,          -13.4385,          -11.0138,          -10.7375,          -10.5914,          -11.4505,           -0.3345,            0.1441,            8.1912,
Ref 11,7.85224e-08,,,,,,1.1863e-02,4.1646e-03,4.8307e-05,4.4009e-06,6.7306e-08,,,,,,,,,,,
Sam 11,7.59233e-08,1.17931e-02,4.1495e-03,4.7704e-05,4.3128e-06,5.6211e-08,,,,,,           -5.8915,           -3.6148,          -12.5415,          -19.9999,         -166.3724,           -9.0344,           -9.4844,           -2.9630,          -12.8764,         -155.1206,
Ref 12,7.69026e-08,,,,,,1.1863e-02,4.1646e-03,4.8312e-05,4.4008e-06,6.7556e-08,,,,,,,,,,,
Sam 12,7.61056e-08,1.17791e-02,4.1440e-03,4.7703e-05,4.3482e-06,6.4274e-08,,,,,,           -7.3994,           -5.5369,          -12.9793,          -11.1623,          -20.2455,          -10.5724,          -11.3939,            0.0541,           -0.1205,           -1.6321,
Ref 13,7.44894e-08,,,,,,1.1871e-02,4.1697e-03,4.8348e-05,4.3937e-06,6.3585e-08,,,,,,,,,,,
Sam 13,7.46828e-08,1.17775e-02,4.1440e-03,4.7693e-05,4.3510e-06,6.5374e-08,,,,,,           -7.5866,           -5.7038,          -13.3184,          -10.6440,           -3.0126,          -10.7659,          -11.5596,            0.0700,            0.7394,           16.4675,
Ref 14,7.36163e-08,,,,,,1.1864e-02,4.1657e-03,4.8325e-05,4.4020e-06,6.7582e-08,,,,,,,,,,,
Sam 14,7.36560e-08,1.17750e-02,4.1414e-03,4.7668e-05,4.3525e-06,6.7055e-08,,,,,,           -7.4576,           -5.7348,          -13.5059,          -11.3451,           -2.6040,          -10.6275,          -11.5908,           -0.2232,            0.0926,           16.8060,
Ref 15,7.22721e-08,,,,,,1.1863e-02,4.1649e-03,4.8316e-05,4.4029e-06,6.6872e-08,,,,,,,,,,,
Sam 15,7.24219e-08,1.17747e-02,4.1413e-03,4.7658e-05,4.3525e-06,6.7867e-08,,,,,,           -7.4270,           -5.6381,          -13.5823,          -11.3713,           12.4947,          -10.5983,          -11.4946,           -0.4282,           -0.1284,           31.9671,
Ref 16,7.10414e-08,,,,,,1.1863e-02,4.1646e-03,4.8312e-05,4.4023e-06,6.7190e-08,,,,,,,,,,,
Sam 16,7.10047e-08,1.17747e-02,4.1414e-03,4.7660e-05,4.3519e-06,6.7464e-08,,,,,,           -7.4175,           -5.5834,          -13.5000,          -11.2955,           -1.6336,          -10.5901,          -11.4401,           -0.4087,           -0.1618,           17.4465,
Ref 17,6.96299e-08,,,,,,1.1863e-02,4.1646e-03,4.8313e-05,4.4009e-06,6.7966e-08,,,,,,,,,,,
Sam 17,6.96419e-08,1.17747e-02,4.1414e-03,4.7659e-05,4.3528e-06,6.7146e-08,,,,,,           -7.4144,           -5.5881,          -13.4895,          -10.9280,           -9.6908,          -10.5866,          -11.4449,           -0.3966,            0.2194,            9.2416,
Ref 18,6.82276e-08,,,,,,1.1863e-02,4.1647e-03,4.8308e-05,4.4009e-06,6.7636e-08,,,,,,,,,,,
Sam 18,6.82684e-08,1.17748e-02,4.1415e-03,4.7664e-05,4.3524e-06,6.6951e-08,,,,,,           -7.4155,           -5.5921,          -13.3758,          -11.1572,          -21.9046,          -10.5877,          -11.4488,           -0.2763,           -0.0044,           -3.1967,
Ref 19,6.68283e-08,,,,,,1.1863e-02,4.1648e-03,4.8311e-05,4.4022e-06,6.9283e-08,,,,,,,,,,,
Sam 19,6.69391e-08,1.17748e-02,4.1415e-03,4.7658e-05,4.3511e-06,6.7749e-08,,,,,,           -7.4169,           -5.5880,          -13.5357,          -11.3953,          -10.8991,          -10.5893,          -11.4447,           -0.4410,           -0.2534,            8.0127,
Ref 20,6.55282e-08,,,,,,1.1863e-02,4.1648e-03,4.8312e-05,4.4002e-06,6.7694e-08,,,,,,,,,,,
Sam 20,6.56613e-08,1.17748e-02,4.1416e-03,4.7664e-05,4.3507e-06,6.7358e-08,,,,,,           -7.4134,           -5.5849,          -13.4591,          -11.4614,          -16.6824,          -10.5857,          -11.4416,           -0.3701,           -0.3265,            2.1089,
Ref 21,6.42666e-08,,,,,,1.1863e-02,4.1649e-03,4.8316e-05,4.4020e-06,6.9323e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.36607e-08,,,,,,1.1863e-02,4.1649e-03,4.8311e-05,4.3997e-06,6.7637e-08,
Sam 1,6.38380e-08,1.17747e-02,4.1416e-03,4.7664e-05,4.3528e-06,6.7962e-08,,,,,,           -7.4151,           -5.5963,          -13.4276,          -10.7094,            6.4670,          -10.5871,          -11.4530,           -0.3251,            0.4569,           25.7257,
Ref 2,6.24868e-08,,,,,,1.1863e-02,4.1649e-03,4.8314e-05,4.4001e-06,6.7411e-08,,,,,,,,,,,
Sam 2,6.26965e-08,1.17746e-02,4.1416e-03,4.7664e-05,4.3517e-06,6.7896e-08,,,,,,           -7.4213,           -5.6045,          -13.4249,          -11.2310,            1.0897,          -10.5934,          -11.4612,           -0.3077,           -0.0541,           20.2688,
Ref 3,6.12633e-08,,,,,,1.1863e-02,4.1649e-03,4.8313e-05,4.4022e-06,6.8241e-08,,,,,,,,,,,
Sam 3,6.15064e-08,1.17739e-02,4.1414e-03,4.7661e-05,4.3512e-06,6.7332e-08,,,,,,           -7.4768,           -5.6534,          -13.4729,          -11.4558,          -14.3560,          -10.6508,          -11.5097,           -0.2504,           -0.1831,            4.6841,
Ref 4,6.01458e-08,,,,,,1.1863e-02,4.1649e-03,4.8310e-05,4.4010e-06,6.8385e-08,,,,,,,,,,,
Sam 4,6.03525e-08,1.17747e-02,4.1417e-03,4.7668e-05,4.3513e-06,6.7798e-08,,,,,,           -7.4170,           -5.5860,          -13.3450,          -11.3259,           -8.4907,          -10.5894,          -11.4428,           -0.2496,           -0.1872,           10.4633,
Ref 5,5.90009e-08,,,,,,1.1863e-02,4.1650e-03,4.8315e-05,4.4012e-06,6.8373e-08,,,,,,,,,,,
Sam 5,5.92719e-08,1.17746e-02,4.1418e-03,4.7669e-05,4.3527e-06,6.8347e-08,,,,,,           -7.4151,           -5.5829,          -13.3620,          -11.1049,            0.1968,          -10.5875,          -11.4397,           -0.2719,            0.0301,           19.3086,
Ref 6,5.79490e-08,,,,,,1.1863e-02,4.1650e-03,4.8313e-05,4.4019e-06,6.8293e-08,,,,,,,,,,,
Sam 6,5.82303e-08,1.17746e-02,4.1417e-03,4.7673e-05,4.3510e-06,6.7103e-08,,,,,,           -7.4038,           -5.5957,          -13.2541,          -11.4445,          -19.2437,          -10.5750,          -11.4524,           -0.1617,           -0.2877,           -0.4902,
Ref 7,5.69369e-08,,,,,,1.1862e-02,4.1650e-03,4.8314e-05,4.4007e-06,6.8549e-08,,,,,,,,,,,
Sam 7,5.72358e-08,1.17746e-02,4.1418e-03,4.7662e-05,4.3517e-06,6.7313e-08,,,,,,           -7.4084,           -5.5805,          -13.5312,          -11.1965,          -13.9612,          -10.5805,          -11.4373,           -0.4526,           -0.0675,            4.8680,
Ref 8,5.58711e-08,,,,,,1.1862e-02,4.1650e-03,4.8318e-05,4.4012e-06,6.7978e-08,,,,,,,,,,,
Sam 8,5.62022e-08,1.17745e-02,4.1418e-03,4.7664e-05,4.3522e-06,6.7288e-08,,,,,,           -7.4107,           -5.5866,          -13.4586,          -11.1420,          -12.9622,          -10.5827,          -11.4433,           -0.3707,           -0.0001,            5.9006,
Ref 9,5.48611e-08,,,,,,1.1862e-02,4.1651e-03,4.8311e-05,4.4013e-06,6.8369e-08,,,,,,,,,,,
Sam 9,5.52149e-08,1.17746e-02,4.1418e-03,4.7670e-05,4.3509e-06,6.7970e-08,,,,,,           -7.4084,           -5.6082,          -13.3415,          -11.2936,           -0.8816,          -10.5796,          -11.4649,           -0.2330,           -0.1099,           18.2532,
Ref 10,5.38574e-08,,,,,,1.1862e-02,4.1652e-03,4.8318e-05,4.3999e-06,6.7684e-08,,,,,,,,,,,
Sam 10,5.42541e-08,1.17745e-02,4.1419e-03,4.7663e-05,4.3520e-06,6.7961e-08,,,,,,           -7.4109,           -5.5942,          -13.5358,          -11.0855,            2.7554,          -10.5827,          -11.4509,           -0.4412,            0.0723,           21.9342,
Ref 11,5.28523e-08,,,,,,1.1862e-02,4.1652e-03,4.8317e-05,4.4017e-06,6.7865e-08,,,,,,,,,,,
Sam 11,5.32707e-08,1.17746e-02,4.1419e-03,4.7669e-05,4.3534e-06,6.7970e-08,,,,,,           -7.4053,           -5.5779,          -13.3399,          -10.7492,           -0.2039,          -10.5773,          -11.4347,           -0.2646,            0.3796,           18.8793,
Ref 12,5.19551e-08,,,,,,1.1862e-02,4.1652e-03,4.8311e-05,4.3996e-06,6.8104e-08,,,,,,,,,,,
Sam 12,5.23302e-08,1.17746e-02,4.1420e-03,4.7675e-05,4.3531e-06,6.8091e-08,,,,,,           -7.3987,           -5.5731,          -13.1853,          -10.7512,          -10.0315,          -10.5704,          -11.4299,           -0.1196,            0.3679,            8.8473,
Ref 13,5.10547e-08,,,,,,1.1862e-02,4.1652e-03,4.8313e-05,4.4012e-06,6.9470e-08,,,,,,,,,,,
Sam 13,5.15161e-08,1.17745e-02,4.1419e-03,4.7665e-05,4.3504e-06,6.7539e-08,,,,,,           -7.4063,           -5.5937,          -13.4820,          -11.5157,          -21.1853,          -10.5779,          -11.4504,           -0.3919,           -0.3638,           -2.4703,
Ref 14,5.01757e-08,,,,,,1.1862e-02,4.1652e-03,4.8320e-05,4.4009e-06,6.8524e-08,,,,,,,,,,,
Sam 14,5.06622e-08,1.17745e-02,4.1420e-03,4.7670e-05,4.3512e-06,6.7548e-08,,,,,,           -7.4050,           -5.5829,          -13.3784,          -11.1096,          -22.3584,          -10.5768,          -11.4397,           -0.2990,            0.0252,           -3.6886,
Ref 15,4.93180e-08,,,,,,1.1862e-02,4.1652e-03,4.8314e-05,4.3993e-06,6.9672e-08,,,,,,,,,,,
Sam 15,4.98148e-08,1.17744e-02,4.1420e-03,4.7667e-05,4.3517e-06,6.8396e-08,,,,,,           -7.4127,           -5.5828,          -13.4087,          -10.8258,           -7.6240,          -10.5851,          -11.4396,           -0.3217,            0.3121,           11.3355,
Ref 16,4.84752e-08,,,,,,1.1862e-02,4.1654e-03,4.8316e-05,4.3994e-06,6.8157e-08,,,,,,,,,,,
Sam 16,4.89884e-08,1.17743e-02,4.1421e-03,4.7670e-05,4.3506e-06,6.7557e-08,,,,,,           -7.4158,           -5.6006,          -13.4042,          -11.2529,          -11.9704,          -10.5877,          -11.4573,           -0.2964,           -0.0841,            6.9448,
Ref 17,4.76514e-08,,,,,,1.1862e-02,4.1654e-03,4.8318e-05,4.4008e-06,6.8597e-08,,,,,,,,,,,
Sam 17,4.81745e-08,1.17744e-02,4.1421e-03,4.7677e-05,4.3501e-06,6.8498e-08,,,,,,           -7.4077,           -5.5971,          -13.3490,          -11.5687,           -2.2262,          -10.5792,          -11.4538,           -0.2523,           -0.4106,           16.8596,
Ref 18,4.68499e-08,,,,,,1.1862e-02,4.1654e-03,4.8326e-05,4.4012e-06,6.8705e-08,,,,,,,,,,,
Sam 18,4.73889e-08,1.17744e-02,4.1422e-03,4.7668e-05,4.3502e-06,6.8626e-08,,,,,,           -7.4065,           -5.5760,          -13.5523,          -11.6395,            4.4665,          -10.5786,          -11.4328,           -0.4805,           -0.5246,           23.6363,
Ref 19,4.60690e-08,,,,,,1.1862e-02,4.1654e-03,4.8320e-05,4.4016e-06,6.7929e-08,,,,,,,,,,,
Sam 19,4.66151e-08,1.17743e-02,4.1422e-03,4.7669e-05,4.3521e-06,6.7555e-08,,,,,,           -7.4107,           -5.5845,          -13.4373,          -10.9316,           -8.9845,          -10.5828,          -11.4412,           -0.3512,            0.2084,            9.9501,
Ref 20,4.53031e-08,,,,,,1.1862e-02,4.1654e-03,4.8316e-05,4.3988e-06,6.8410e-08,,,,,,,,,,,
Sam 20,4.58612e-08,1.17743e-02,4.1421e-03,4.7666e-05,4.3528e-06,6.8385e-08,,,,,,           -7.4079,           -5.5869,          -13.5282,          -10.6775,            1.7765,          -10.5797,          -11.4437,           -0.4438,            0.4703,           20.9186,
Ref 21,4.45627e-08,,,,,,1.1862e-02,4.1654e-03,4.8324e-05,4.4008e-06,6.8115e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.41914e-08,,,,,,1.1862e-02,4.1655e-03,4.8322e-05,4.4001e-06,6.7072e-08,
Sam 1,4.47609e-08,1.17742e-02,4.1423e-03,4.7680e-05,4.3496e-06,6.7709e-08,,,,,,           -7.4054,           -5.5769,          -13.2619,          -11.4632,           -0.0448,          -10.5775,          -11.4337,           -0.1864,           -0.3445,           19.0396,
Ref 2,4.34620e-08,,,,,,1.1862e-02,4.1655e-03,4.8320e-05,4.4000e-06,6.8363e-08,,,,,,,,,,,
Sam 2,4.40455e-08,1.17741e-02,4.1422e-03,4.7674e-05,4.3504e-06,6.9207e-08,,,,,,           -7.4101,           -5.5733,          -13.3396,          -11.1208,           11.1602,          -10.5825,          -11.4302,           -0.2638,           -0.0053,           30.4563,
Ref 3,4.27566e-08,,,,,,1.1862e-02,4.1655e-03,4.8318e-05,4.3987e-06,6.8524e-08,,,,,,,,,,,
Sam 3,4.33514e-08,1.17741e-02,4.1423e-03,4.7672e-05,4.3505e-06,6.7972e-08,,,,,,           -7.4068,           -5.5799,          -13.3840,          -10.9200,          -13.4620,          -10.5788,          -11.4367,           -0.3058,            0.2108,            5.3737,
Ref 4,4.20600e-08,,,,,,1.1862e-02,4.1656e-03,4.8319e-05,4.3984e-06,6.9281e-08,,,,,,,,,,,
Sam 4,4.26668e-08,1.17741e-02,4.1423e-03,4.7673e-05,4.3493e-06,6.8082e-08,,,,,,           -7.4025,           -5.5886,          -13.4302,          -11.1068,          -10.6561,          -10.5740,          -11.4454,           -0.3484,            0.0397,            8.2460,
Ref 5,4.13847e-08,,,,,,1.1862e-02,4.1655e-03,4.8325e-05,4.3979e-06,6.8342e-08,,,,,,,,,,,
Sam 5,4.20022e-08,1.17740e-02,4.1423e-03,4.7675e-05,4.3490e-06,6.9376e-08,,,,,,           -7.4087,           -5.5867,          -13.4185,          -11.3085,            7.5244,          -10.5806,          -11.4435,           -0.3320,           -0.1682,           26.7769,
Ref 6,4.07250e-08,,,,,,1.1862e-02,4.1656e-03,4.8323e-05,4.3997e-06,6.9383e-08,,,,,,,,,,,
Sam 6,4.13551e-08,1.17741e-02,4.1423e-03,4.7672e-05,4.3497e-06,6.8382e-08,,,,,,           -7.4040,           -5.5865,          -13.4573,          -11.5473,           -5.7646,          -10.5756,          -11.4433,           -0.3764,           -0.4101,           13.2283,
Ref 7,4.00810e-08,,,,,,1.1862e-02,4.1655e-03,4.8321e-05,4.4012e-06,6.8164e-08,,,,,,,,,,,
Sam 7,4.07184e-08,1.17740e-02,4.1423e-03,4.7671e-05,4.3485e-06,6.8832e-08,,,,,,           -7.4079,           -5.5826,          -13.4514,          -11.7526,            3.0940,          -10.5800,          -11.4394,           -0.3702,           -0.6255,           22.2526,
Ref 8,3.94476e-08,,,,,,1.1862e-02,4.1656e-03,4.8320e-05,4.3991e-06,6.9082e-08,,,,,,,,,,,
Sam 8,4.00895e-08,1.17739e-02,4.1424e-03,4.7678e-05,4.3488e-06,6.7245e-08,,,,,,           -7.4062,           -5.5892,          -13.3320,          -11.3045,          -29.1904,          -10.5778,          -11.4460,           -0.2445,           -0.1592,          -10.6374,
Ref 9,3.88221e-08,,,,,,1.1862e-02,4.1657e-03,4.8324e-05,4.3979e-06,6.9454e-08,,,,,,,,,,,
Sam 9,3.94742e-08,1.17739e-02,4.1424e-03,4.7675e-05,4.3480e-06,6.8189e-08,,,,,,           -7.4049,           -5.5903,          -13.4101,          -11.4130,          -18.7980,          -10.5765,          -11.4471,           -0.3238,           -0.2666,           -0.0455,
Ref 10,3.82100e-08,,,,,,1.1862e-02,4.1657e-03,4.8321e-05,4.3985e-06,6.9537e-08,,,,,,,,,,,
Sam 10,3.88619e-08,1.17740e-02,4.1424e-03,4.7677e-05,4.3488e-06,6.7128e-08,,,,,,           -7.4007,           -5.5817,          -13.3363,          -11.5575,          -39.7154,          -10.5723,          -11.4385,           -0.2619,           -0.4301,          -21.3837,
Ref 11,3.76062e-08,,,,,,1.1862e-02,4.1657e-03,4.8321e-05,4.4009e-06,7.0278e-08,,,,,,,,,,,
Sam 11,3.82769e-08,1.17739e-02,4.1424e-03,4.7673e-05,4.3494e-06,6.7663e-08,,,,,,           -7.4049,           -5.5895,          -13.4367,          -11.1783,          -32.6101,          -10.5764,          -11.4463,           -0.3516,           -0.0309,          -14.1231,
Ref 12,3.70238e-08,,,,,,1.1862e-02,4.1657e-03,4.8323e-05,4.3962e-06,6.9606e-08,,,,,,,,,,,
Sam 12,3.77020e-08,1.17739e-02,4.1424e-03,4.7672e-05,4.3504e-06,6.6087e-08,,,,,,           -7.4070,           -5.5873,          -13.4281,          -10.5619,          -45.9824,          -10.5788,          -11.4440,           -0.3429,            0.5879,          -27.7531,
Ref 13,3.64566e-08,,,,,,1.1862e-02,4.1658e-03,4.8319e-05,4.3976e-06,6.8933e-08,,,,,,,,,,,
Sam 13,3.71418e-08,1.17738e-02,4.1425e-03,4.7679e-05,4.3501e-06,6.7594e-08,,,,,,           -7.4143,           -5.5751,          -13.2639,          -10.7853,          -23.6179,          -10.5870,          -11.4319,           -0.1810,            0.3375,           -4.9774,
Ref 14,3.58995e-08,,,,,,1.1862e-02,4.1657e-03,4.8320e-05,4.3975e-06,6.9529e-08,,,,,,,,,,,
Sam 14,3.65894e-08,1.17738e-02,4.1425e-03,4.7672e-05,4.3469e-06,6.8331e-08,,,,,,           -7.4116,           -5.5759,          -13.5067,          -11.3898,           -6.6946,          -10.5841,          -11.4327,           -0.4290,           -0.2721,           12.2676,
Ref 15,3.53520e-08,,,,,,1.1862e-02,4.1658e-03,4.8330e-05,4.3965e-06,6.8042e-08,,,,,,,,,,,
Sam 15,3.60830e-08,1.17737e-02,4.1424e-03,4.7680e-05,4.3474e-06,6.6396e-08,,,,,,           -7.5806,           -5.8772,          -13.7145,          -10.7886,          -18.1200,          -10.7534,          -11.7322,           -0.1661,            0.9423,            1.4021,
Ref 16,3.47078e-08,,,,,,1.1866e-02,4.1681e-03,4.8356e-05,4.3931e-06,6.7192e-08,,,,,,,,,,,
Sam 16,3.55638e-08,1.17735e-02,4.1425e-03,4.7679e-05,4.3486e-06,6.8848e-08,,,,,,           -7.5931,           -5.8562,          -13.6957,          -10.4964,           18.5032,          -10.7674,          -11.7112,           -0.1549,            1.1956,           38.7241,
Ref 17,3.43368e-08,,,,,,1.1862e-02,4.1658e-03,4.8326e-05,4.3965e-06,6.8007e-08,,,,,,,,,,,
Sam 17,3.50398e-08,1.17737e-02,4.1426e-03,4.7683e-05,4.3488e-06,6.6622e-08,,,,,,           -7.4080,           -5.5889,          -13.3528,          -10.9186,          -22.3121,          -10.5798,          -11.4457,           -0.2640,            0.2305,           -3.6263,
Ref 18,3.38040e-08,,,,,,1.1862e-02,4.1660e-03,4.8330e-05,4.3972e-06,6.8280e-08,,,,,,,,,,,
Sam 18,3.45439e-08,1.17736e-02,4.1426e-03,4.7679e-05,4.3478e-06,6.7599e-08,,,,,,           -7.4182,           -5.6137,          -13.4210,          -11.4031,          -17.5759,          -10.5898,          -11.4703,           -0.2979,           -0.2097,            1.2605,
Ref 19,3.33003e-08,,,,,,1.1862e-02,4.1659e-03,4.8326e-05,4.3987e-06,6.9345e-08,,,,,,,,,,,
Sam 19,3.39993e-08,1.17737e-02,4.1427e-03,4.7676e-05,4.3452e-06,6.8934e-08,,,,,,           -7.4038,           -5.5715,          -13.5168,          -11.8410,           10.6150,          -10.5759,          -11.4284,           -0.4517,           -0.7373,           29.8900,
Ref 20,3.28117e-08,,,,,,1.1861e-02,4.1659e-03,4.8332e-05,4.3959e-06,6.7059e-08,,,,,,,,,,,
