Nu Stable Isotope Analysis Program
Data Collected on Thursday, November 02, 2023 at 06:33 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, November 02, 2023 at 07:32 with Stable 1.71.5 on PS019

Data File = Data_20793 IAEA-C2.txt,       Sample Weight = 453,                      Vial Location = 35,                       Initial Sam Beam = 2.5049e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9834e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.0238
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.09626e-08,,,,,,1.1863e-02,4.1641e-03,4.8312e-05,4.4018e-06,6.6163e-08,
Sam 1,9.01051e-08,1.18041e-02,4.1820e-03,4.8263e-05,4.4414e-06,6.7189e-08,,,,,,           -4.9582,            4.2741,           -1.0093,            8.9291,           16.3383,           -8.3147,           -1.6357,           -0.0849,            0.3596,           13.1874,
Ref 2,8.91355e-08,,,,,,1.1863e-02,4.1644e-03,4.8312e-05,4.4024e-06,6.6055e-08,,,,,,,,,,,
Sam 2,8.82564e-08,1.18042e-02,4.1821e-03,4.8265e-05,4.4405e-06,6.6674e-08,,,,,,           -4.9710,            4.2487,           -1.0060,            8.3801,            2.8717,           -8.3274,           -1.6609,           -0.0436,           -0.1343,           -0.1741,
Ref 3,8.72305e-08,,,,,,1.1863e-02,4.1645e-03,4.8316e-05,4.4048e-06,6.6921e-08,,,,,,,,,,,
Sam 3,8.64131e-08,1.18043e-02,4.1824e-03,4.8261e-05,4.4416e-06,6.7345e-08,,,,,,           -4.9634,            4.2876,           -1.1721,            8.3289,            7.2647,           -8.3206,           -1.6223,           -0.2559,           -0.2625,            4.1209,
Ref 4,8.53562e-08,,,,,,1.1863e-02,4.1645e-03,4.8320e-05,4.4050e-06,6.6796e-08,,,,,,,,,,,
Sam 4,8.46020e-08,1.18043e-02,4.1823e-03,4.8264e-05,4.4407e-06,6.7388e-08,,,,,,           -4.9704,            4.2331,           -1.1611,            8.2683,            9.3832,           -8.3263,           -1.6765,           -0.1842,           -0.2140,            6.3477,
Ref 5,8.35177e-08,,,,,,1.1863e-02,4.1648e-03,4.8320e-05,4.4036e-06,6.6725e-08,,,,,,,,,,,
Sam 5,8.28493e-08,1.18044e-02,4.1823e-03,4.8263e-05,4.4410e-06,6.7533e-08,,,,,,           -4.9667,            4.2082,           -1.2377,            8.3479,            7.0353,           -8.3215,           -1.7013,           -0.2402,           -0.0854,            4.0519,
Ref 6,8.17574e-08,,,,,,1.1863e-02,4.1649e-03,4.8325e-05,4.4048e-06,6.7405e-08,,,,,,,,,,,
Sam 6,8.10616e-08,1.18032e-02,4.1828e-03,4.8269e-05,4.4416e-06,6.6934e-08,,,,,,           -4.8972,            4.5269,           -0.3039,            9.2857,           -0.7341,           -8.2585,           -1.3842,            0.3100,            0.2095,           -4.3901,
Ref 7,7.99932e-08,,,,,,1.1859e-02,4.1630e-03,4.8241e-05,4.3965e-06,6.6551e-08,,,,,,,,,,,
Sam 7,7.91521e-08,1.18041e-02,4.1826e-03,4.8239e-05,4.4335e-06,6.6499e-08,,,,,,           -4.8749,            4.3611,           -0.8830,            7.9144,            1.8535,           -8.2290,           -1.5493,           -0.1302,           -0.8197,           -1.5117,
Ref 8,7.80792e-08,,,,,,1.1865e-02,4.1658e-03,4.8323e-05,4.4010e-06,6.6197e-08,,,,,,,,,,,
Sam 8,7.63601e-08,1.18171e-02,4.1894e-03,4.8298e-05,4.4227e-06,6.0786e-08,,,,,,           -3.9260,            5.7854,           -0.5242,            4.6499,          -84.9880,           -7.2684,           -0.1340,           -2.1457,           -6.8746,          -91.5214,
Ref 9,7.67593e-08,,,,,,1.1863e-02,4.1647e-03,4.8323e-05,4.4035e-06,6.6672e-08,,,,,,,,,,,
Sam 9,7.59729e-08,1.18071e-02,4.1839e-03,4.8275e-05,4.4375e-06,6.6674e-08,,,,,,           -4.6907,            4.6147,           -0.9893,            7.5502,           -1.9046,           -8.0418,           -1.2973,           -0.6755,           -1.6850,           -5.9467,
Ref 10,7.51916e-08,,,,,,1.1863e-02,4.1647e-03,4.8323e-05,4.4050e-06,6.6934e-08,,,,,,,,,,,
Sam 10,7.46835e-08,1.18045e-02,4.1830e-03,4.8271e-05,4.4413e-06,6.8012e-08,,,,,,           -4.9643,            4.2853,           -1.2171,            8.6468,           17.1631,           -8.3215,           -1.6245,           -0.2977,            0.0572,           13.9939,
Ref 11,7.35006e-08,,,,,,1.1864e-02,4.1655e-03,4.8337e-05,4.4014e-06,6.6793e-08,,,,,,,,,,,
Sam 11,7.32558e-08,1.18040e-02,4.1825e-03,4.8267e-05,4.4419e-06,6.7658e-08,,,,,,           -5.0190,            4.1508,           -1.2711,            8.9709,           12.4871,           -8.3752,           -1.7582,           -0.1633,            0.6465,            9.6575,
Ref 12,7.21646e-08,,,,,,1.1863e-02,4.1649e-03,4.8320e-05,4.4034e-06,6.6855e-08,,,,,,,,,,,
Sam 12,7.18073e-08,1.18041e-02,4.1826e-03,4.8268e-05,4.4409e-06,6.7569e-08,,,,,,           -4.9523,            4.2644,           -1.0522,            8.6748,            6.2031,           -8.3081,           -1.6454,           -0.1245,            0.1267,            3.0964,
Ref 13,7.11346e-08,,,,,,1.1863e-02,4.1647e-03,4.8318e-05,4.4020e-06,6.7454e-08,,,,,,,,,,,
Sam 13,7.05966e-08,1.18039e-02,4.1825e-03,4.8269e-05,4.4405e-06,6.7968e-08,,,,,,           -4.9603,            4.2558,           -1.0457,            8.6325,            6.9291,           -8.3163,           -1.6540,           -0.1013,            0.1020,            3.8456,
Ref 14,6.95058e-08,,,,,,1.1863e-02,4.1648e-03,4.8320e-05,4.4030e-06,6.7548e-08,,,,,,,,,,,
Sam 14,6.92549e-08,1.18038e-02,4.1825e-03,4.8265e-05,4.4408e-06,6.8549e-08,,,,,,           -4.9791,            4.2083,           -1.1707,            8.7468,           17.3651,           -8.3346,           -1.7012,           -0.1604,            0.3099,           14.3644,
Ref 15,6.83017e-08,,,,,,1.1863e-02,4.1651e-03,4.8322e-05,4.4015e-06,6.7207e-08,,,,,,,,,,,
Sam 15,6.79712e-08,1.18038e-02,4.1825e-03,4.8263e-05,4.4407e-06,6.8220e-08,,,,,,           -4.9683,            4.2228,           -1.1629,            8.7468,            6.3939,           -8.3236,           -1.6867,           -0.1781,            0.2809,            3.3854,
Ref 16,6.69852e-08,,,,,,1.1862e-02,4.1647e-03,4.8317e-05,4.4029e-06,6.8378e-08,,,,,,,,,,,
Sam 16,6.66500e-08,1.18037e-02,4.1825e-03,4.8268e-05,4.4404e-06,6.8180e-08,,,,,,           -4.9532,            4.2875,           -0.9700,            8.5512,           -1.3056,           -8.3098,           -1.6223,           -0.0641,           -0.0420,           -4.4334,
Ref 17,6.58002e-08,,,,,,1.1862e-02,4.1646e-03,4.8313e-05,4.4027e-06,6.8158e-08,,,,,,,,,,,
Sam 17,6.54020e-08,1.18037e-02,4.1825e-03,4.8265e-05,4.4402e-06,6.7988e-08,,,,,,           -4.9549,            4.2630,           -1.0868,            8.4398,           -2.0957,           -8.3108,           -1.6467,           -0.1552,           -0.1036,           -5.1714,
Ref 18,6.42705e-08,,,,,,1.1863e-02,4.1649e-03,4.8322e-05,4.4035e-06,6.8103e-08,,,,,,,,,,,
Sam 18,6.41398e-08,1.18037e-02,4.1826e-03,4.8265e-05,4.4406e-06,6.8013e-08,,,,,,           -4.9685,            4.2497,           -1.1317,            8.5013,           -0.7351,           -8.3248,           -1.6599,           -0.1731,           -0.0162,           -3.7747,
Ref 19,6.30373e-08,,,,,,1.1863e-02,4.1649e-03,4.8318e-05,4.4029e-06,6.8023e-08,,,,,,,,,,,
Sam 19,6.29710e-08,1.18037e-02,4.1826e-03,4.8263e-05,4.4392e-06,6.8259e-08,,,,,,           -4.9714,            4.2391,           -1.2097,            8.2367,            3.9461,           -8.3275,           -1.6705,           -0.2377,           -0.2573,            0.9163,
Ref 20,6.17685e-08,,,,,,1.1863e-02,4.1651e-03,4.8325e-05,4.4030e-06,6.7958e-08,,,,,,,,,,,
Sam 20,6.16922e-08,1.18039e-02,4.1827e-03,4.8264e-05,4.4407e-06,6.8462e-08,,,,,,           -4.9601,            4.2427,           -1.1780,            8.5013,           10.3966,           -8.3156,           -1.6670,           -0.2212,           -0.0021,            7.3281,
Ref 21,6.05895e-08,,,,,,1.1863e-02,4.1650e-03,4.8318e-05,4.4036e-06,6.7554e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.00100e-08,,,,,,1.1863e-02,4.1650e-03,4.8318e-05,4.4029e-06,6.7101e-08,
Sam 1,5.99798e-08,1.18037e-02,4.1828e-03,4.8268e-05,4.4375e-06,6.9069e-08,,,,,,           -4.9711,            4.2548,           -1.0722,            7.9188,           18.1850,           -8.3277,           -1.6549,           -0.1158,           -0.6038,           15.0807,
Ref 2,5.88808e-08,,,,,,1.1863e-02,4.1651e-03,4.8322e-05,4.4023e-06,6.8585e-08,,,,,,,,,,,
Sam 2,5.88937e-08,1.18038e-02,4.1828e-03,4.8270e-05,4.4400e-06,6.8324e-08,,,,,,           -4.9669,            4.2480,           -1.0849,            8.4672,           -8.2013,           -8.3231,           -1.6617,           -0.1260,           -0.0465,          -11.2163,
Ref 3,5.78004e-08,,,,,,1.1863e-02,4.1651e-03,4.8322e-05,4.4032e-06,6.9199e-08,,,,,,,,,,,
Sam 3,5.78564e-08,1.18037e-02,4.1828e-03,4.8270e-05,4.4390e-06,6.8770e-08,,,,,,           -4.9604,            4.2435,           -1.1086,            8.1621,            2.0513,           -8.3160,           -1.6661,           -0.1522,           -0.3401,           -0.9932,
Ref 4,5.67662e-08,,,,,,1.1862e-02,4.1651e-03,4.8324e-05,4.4030e-06,6.8050e-08,,,,,,,,,,,
Sam 4,5.69173e-08,1.18035e-02,4.1827e-03,4.8266e-05,4.4388e-06,6.8997e-08,,,,,,           -4.9725,            4.2193,           -1.2305,            8.2373,           13.8321,           -8.3280,           -1.6902,           -0.2379,           -0.2174,           10.8128,
Ref 5,5.57080e-08,,,,,,1.1863e-02,4.1652e-03,4.8327e-05,4.4020e-06,6.8062e-08,,,,,,,,,,,
Sam 5,5.58051e-08,1.18037e-02,4.1829e-03,4.8272e-05,4.4398e-06,6.9779e-08,,,,,,           -4.9636,            4.2509,           -1.0697,            8.5102,           22.6908,           -8.3196,           -1.6588,           -0.1171,           -0.0096,           19.5725,
Ref 6,5.47186e-08,,,,,,1.1863e-02,4.1652e-03,4.8321e-05,4.4027e-06,6.8403e-08,,,,,,,,,,,
Sam 6,5.47205e-08,1.18038e-02,4.1830e-03,4.8271e-05,4.4381e-06,6.9287e-08,,,,,,           -4.9527,            4.2740,           -1.0539,            8.1713,           10.1474,           -8.3088,           -1.6358,           -0.1353,           -0.3917,            7.0097,
Ref 7,5.37005e-08,,,,,,1.1863e-02,4.1653e-03,4.8323e-05,4.4016e-06,6.8781e-08,,,,,,,,,,,
Sam 7,5.38647e-08,1.18036e-02,4.1829e-03,4.8272e-05,4.4382e-06,7.0085e-08,,,,,,           -4.9613,            4.2437,           -1.0817,            8.2240,           19.2882,           -8.3169,           -1.6659,           -0.1246,           -0.2792,           16.1919,
Ref 8,5.28014e-08,,,,,,1.1862e-02,4.1652e-03,4.8325e-05,4.4025e-06,6.8737e-08,,,,,,,,,,,
Sam 8,5.29444e-08,1.18035e-02,4.1829e-03,4.8270e-05,4.4398e-06,6.8828e-08,,,,,,           -4.9669,            4.2440,           -1.1594,            8.3921,            3.8734,           -8.3229,           -1.6656,           -0.1968,           -0.1131,            0.8294,
Ref 9,5.18309e-08,,,,,,1.1862e-02,4.1653e-03,4.8327e-05,4.4031e-06,6.8385e-08,,,,,,,,,,,
Sam 9,5.19222e-08,1.18037e-02,4.1830e-03,4.8273e-05,4.4382e-06,6.8478e-08,,,,,,           -4.9587,            4.2566,           -1.1017,            7.8368,            1.7705,           -8.3146,           -1.6531,           -0.1597,           -0.6886,           -1.3005,
Ref 10,5.09417e-08,,,,,,1.1862e-02,4.1653e-03,4.8324e-05,4.4044e-06,6.8329e-08,,,,,,,,,,,
Sam 10,5.11154e-08,1.18034e-02,4.1830e-03,4.8275e-05,4.4402e-06,6.7271e-08,,,,,,           -4.9734,            4.2318,           -1.0187,            8.4616,          -23.3477,           -8.3294,           -1.6778,           -0.0372,           -0.0198,          -26.2791,
Ref 11,5.00444e-08,,,,,,1.1862e-02,4.1654e-03,4.8324e-05,4.4014e-06,6.9440e-08,,,,,,,,,,,
Sam 11,5.02589e-08,1.18034e-02,4.1831e-03,4.8273e-05,4.4388e-06,6.8706e-08,,,,,,           -4.9690,            4.2424,           -1.1150,            8.4305,           -3.1265,           -8.3251,           -1.6672,           -0.1486,           -0.0719,           -6.1441,
Ref 12,4.91862e-08,,,,,,1.1862e-02,4.1654e-03,4.8330e-05,4.4019e-06,6.8394e-08,,,,,,,,,,,
Sam 12,4.94164e-08,1.18034e-02,4.1831e-03,4.8274e-05,4.4407e-06,7.0434e-08,,,,,,           -4.9646,            4.2463,           -1.1061,            8.7933,           31.0299,           -8.3205,           -1.6633,           -0.1480,            0.2802,           27.8964,
Ref 13,4.83499e-08,,,,,,1.1862e-02,4.1654e-03,4.8325e-05,4.4021e-06,6.8234e-08,,,,,,,,,,,
Sam 13,4.86105e-08,1.18034e-02,4.1831e-03,4.8279e-05,4.4396e-06,6.7383e-08,,,,,,           -4.9657,            4.2497,           -0.8921,            8.6598,          -16.9177,           -8.3218,           -1.6599,            0.0639,            0.1410,          -19.9109,
Ref 14,4.75472e-08,,,,,,1.1862e-02,4.1654e-03,4.8320e-05,4.4010e-06,6.8856e-08,,,,,,,,,,,
Sam 14,4.78201e-08,1.18034e-02,4.1831e-03,4.8272e-05,4.4373e-06,7.0116e-08,,,,,,           -4.9654,            4.2368,           -1.0822,            8.1119,           25.8950,           -8.3211,           -1.6728,           -0.1140,           -0.3764,           22.7970,
Ref 15,4.67577e-08,,,,,,1.1862e-02,4.1655e-03,4.8327e-05,4.4023e-06,6.7827e-08,,,,,,,,,,,
Sam 15,4.70406e-08,1.18033e-02,4.1831e-03,4.8274e-05,4.4380e-06,6.9103e-08,,,,,,           -4.9668,            4.2249,           -1.1232,            8.3339,            7.9376,           -8.3221,           -1.6847,           -0.1420,           -0.1327,            4.9187,
Ref 16,4.59760e-08,,,,,,1.1862e-02,4.1655e-03,4.8330e-05,4.4003e-06,6.9303e-08,,,,,,,,,,,
Sam 16,4.62723e-08,1.18033e-02,4.1832e-03,4.8269e-05,4.4376e-06,6.8995e-08,,,,,,           -4.9661,            4.2388,           -1.2169,            8.4570,            6.2011,           -8.3219,           -1.6708,           -0.2501,           -0.0384,            3.1593,
Ref 17,4.52128e-08,,,,,,1.1862e-02,4.1655e-03,4.8326e-05,4.4004e-06,6.7823e-08,,,,,,,,,,,
Sam 17,4.55251e-08,1.18033e-02,4.1832e-03,4.8276e-05,4.4370e-06,6.9939e-08,,,,,,           -4.9626,            4.2373,           -1.0276,            8.0660,           24.4707,           -8.3181,           -1.6723,           -0.0628,           -0.4230,           21.3729,
Ref 18,4.44691e-08,,,,,,1.1862e-02,4.1655e-03,4.8325e-05,4.4025e-06,6.8720e-08,,,,,,,,,,,
Sam 18,4.47949e-08,1.18032e-02,4.1832e-03,4.8276e-05,4.4377e-06,6.8843e-08,,,,,,           -4.9659,            4.2340,           -1.0710,            8.2762,            0.9301,           -8.3214,           -1.6756,           -0.0996,           -0.2080,           -2.0866,
Ref 19,4.37377e-08,,,,,,1.1862e-02,4.1656e-03,4.8330e-05,4.4001e-06,6.8839e-08,,,,,,,,,,,
Sam 19,4.40805e-08,1.18032e-02,4.1832e-03,4.8268e-05,4.4374e-06,6.9898e-08,,,,,,           -4.9700,            4.2228,           -1.3245,            8.5012,           15.4740,           -8.3255,           -1.6867,           -0.3381,            0.0374,           12.4402,
Ref 20,4.30286e-08,,,,,,1.1862e-02,4.1657e-03,4.8333e-05,4.3998e-06,6.8827e-08,,,,,,,,,,,
Sam 20,4.33807e-08,1.18032e-02,4.1833e-03,4.8280e-05,4.4383e-06,6.9381e-08,,,,,,           -4.9716,            4.2332,           -1.0523,            8.7251,            6.4871,           -8.3275,           -1.6763,           -0.0742,            0.2386,            3.4614,
Ref 21,4.23398e-08,,,,,,1.1862e-02,4.1656e-03,4.8327e-05,4.4000e-06,6.9043e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.19897e-08,,,,,,1.1862e-02,4.1656e-03,4.8325e-05,4.4007e-06,6.8929e-08,
Sam 1,4.23558e-08,1.18031e-02,4.1833e-03,4.8278e-05,4.4366e-06,6.9240e-08,,,,,,           -4.9660,            4.2421,           -1.0371,            8.0051,            4.5475,           -8.3219,           -1.6675,           -0.0734,           -0.4930,            1.5042,
Ref 2,4.13119e-08,,,,,,1.1862e-02,4.1656e-03,4.8330e-05,4.4020e-06,6.8925e-08,,,,,,,,,,,
Sam 2,4.16901e-08,1.18032e-02,4.1833e-03,4.8277e-05,4.4371e-06,6.9450e-08,,,,,,           -4.9636,            4.2473,           -1.1075,            8.2052,            5.8744,           -8.3195,           -1.6624,           -0.1514,           -0.3049,            2.8144,
Ref 3,4.06468e-08,,,,,,1.1862e-02,4.1657e-03,4.8330e-05,4.4001e-06,6.9165e-08,,,,,,,,,,,
Sam 3,4.10393e-08,1.18030e-02,4.1834e-03,4.8274e-05,4.4379e-06,6.9701e-08,,,,,,           -4.9752,            4.2502,           -1.1411,            8.5718,           -2.9418,           -8.3319,           -1.6595,           -0.1759,            0.0529,           -5.9684,
Ref 4,4.00036e-08,,,,,,1.1862e-02,4.1657e-03,4.8329e-05,4.4004e-06,7.0661e-08,,,,,,,,,,,
Sam 4,4.04075e-08,1.18030e-02,4.1834e-03,4.8276e-05,4.4359e-06,7.0884e-08,,,,,,           -4.9755,            4.2535,           -1.0944,            8.1932,           11.7162,           -8.3324,           -1.6561,           -0.1321,           -0.3292,            8.6389,
Ref 5,3.93719e-08,,,,,,1.1862e-02,4.1657e-03,4.8329e-05,4.3993e-06,6.9456e-08,,,,,,,,,,,
Sam 5,3.97843e-08,1.18030e-02,4.1834e-03,4.8280e-05,4.4364e-06,6.8929e-08,,,,,,           -4.9665,            4.2418,           -0.9568,            8.4448,           -0.6342,           -8.3224,           -1.6678,            0.0077,           -0.0565,           -3.6608,
Ref 6,3.87541e-08,,,,,,1.1862e-02,4.1657e-03,4.8323e-05,4.3992e-06,6.8482e-08,,,,,,,,,,,
Sam 6,3.91646e-08,1.18031e-02,4.1834e-03,4.8280e-05,4.4353e-06,6.8750e-08,,,,,,           -4.9542,            4.2414,           -1.0185,            8.0658,           -5.0235,           -8.3093,           -1.6683,           -0.0663,           -0.4313,           -8.0488,
Ref 7,3.81334e-08,,,,,,1.1862e-02,4.1658e-03,4.8336e-05,4.4005e-06,6.9723e-08,,,,,,,,,,,
Sam 7,3.85645e-08,1.18029e-02,4.1835e-03,4.8278e-05,4.4377e-06,7.1990e-08,,,,,,           -4.9613,            4.2438,           -1.1532,            8.4619,           35.6422,           -8.3169,           -1.6658,           -0.1962,           -0.0434,           32.4960,
Ref 8,3.75363e-08,,,,,,1.1862e-02,4.1658e-03,4.8330e-05,4.4004e-06,6.9299e-08,,,,,,,,,,,
Sam 8,3.79855e-08,1.18030e-02,4.1835e-03,4.8279e-05,4.4379e-06,6.9651e-08,,,,,,           -4.9586,            4.2353,           -1.0969,            8.5420,            3.5866,           -8.3137,           -1.6743,           -0.1343,            0.0529,            0.5515,
Ref 9,3.69604e-08,,,,,,1.1862e-02,4.1659e-03,4.8334e-05,4.4002e-06,6.9507e-08,,,,,,,,,,,
Sam 9,3.74164e-08,1.18028e-02,4.1835e-03,4.8277e-05,4.4368e-06,6.9253e-08,,,,,,           -4.9493,            4.2467,           -1.0710,            8.3542,           -2.6872,           -8.3042,           -1.6630,           -0.1292,           -0.1561,           -5.7354,
Ref 10,3.63863e-08,,,,,,1.1861e-02,4.1657e-03,4.8324e-05,4.3999e-06,6.9371e-08,,,,,,,,,,,
Sam 10,3.68570e-08,1.18026e-02,4.1835e-03,4.8285e-05,4.4393e-06,6.9824e-08,,,,,,           -4.9614,            4.2568,           -0.9188,            8.8588,           14.5733,           -8.3175,           -1.6529,            0.0258,            0.3243,           11.4656,
Ref 11,3.58324e-08,,,,,,1.1862e-02,4.1659e-03,4.8334e-05,4.4007e-06,6.8262e-08,,,,,,,,,,,
Sam 11,3.63419e-08,1.18028e-02,4.1835e-03,4.8288e-05,4.4389e-06,7.0159e-08,,,,,,           -5.0262,            4.1305,           -0.9684,            9.0428,           36.8692,           -8.3821,           -1.7785,            0.1671,            0.7584,           34.0206,
Ref 12,3.52608e-08,,,,,,1.1863e-02,4.1666e-03,4.8335e-05,4.3975e-06,6.7056e-08,,,,,,,,,,,
Sam 12,3.58232e-08,1.18025e-02,4.1835e-03,4.8280e-05,4.4398e-06,7.0596e-08,,,,,,           -5.0886,            3.9746,           -1.2627,            9.3968,           45.1275,           -8.4431,           -1.9335,            0.0898,            1.4204,           42.6441,
Ref 13,3.47003e-08,,,,,,1.1863e-02,4.1672e-03,4.8348e-05,4.3995e-06,6.8047e-08,,,,,,,,,,,
Sam 13,3.52495e-08,1.18027e-02,4.1837e-03,4.8294e-05,4.4403e-06,6.9736e-08,,,,,,           -5.0232,            4.0676,           -1.0005,            8.9307,           14.3031,           -8.3767,           -1.8411,            0.1935,            0.7727,           11.6379,
Ref 14,3.42347e-08,,,,,,1.1862e-02,4.1662e-03,4.8337e-05,4.4025e-06,6.9468e-08,,,,,,,,,,,
Sam 14,3.47866e-08,1.18027e-02,4.1835e-03,4.8284e-05,4.4367e-06,6.8885e-08,,,,,,           -5.1229,            3.9786,           -1.0980,            8.5181,            1.7685,           -8.4798,           -1.9294,            0.2864,            0.5407,           -0.5831,
Ref 15,3.35813e-08,,,,,,1.1865e-02,4.1676e-03,4.8338e-05,4.3958e-06,6.8046e-08,,,,,,,,,,,
Sam 15,3.42738e-08,1.18026e-02,4.1836e-03,4.8287e-05,4.4353e-06,6.9530e-08,,,,,,           -5.1147,            3.9838,           -1.0269,            8.2641,            9.7862,           -8.4712,           -1.9242,            0.3440,            0.2783,            7.3966,
Ref 16,3.32246e-08,,,,,,1.1862e-02,4.1663e-03,4.8336e-05,4.4022e-06,6.9675e-08,,,,,,,,,,,
Sam 16,3.37711e-08,1.18025e-02,4.1836e-03,4.8283e-05,4.4373e-06,7.0983e-08,,,,,,           -4.9676,            4.1891,           -1.0986,            8.1411,           43.7967,           -8.3217,           -1.7203,           -0.0814,           -0.2525,           40.7444,
Ref 17,3.27610e-08,,,,,,1.1861e-02,4.1660e-03,4.8337e-05,4.4007e-06,6.6311e-08,,,,,,,,,,,
Sam 17,3.32706e-08,1.18024e-02,4.1836e-03,4.8287e-05,4.4381e-06,6.8928e-08,,,,,,           -4.9712,            4.2132,           -1.0541,            8.6136,           16.2890,           -8.3265,           -1.6963,           -0.0566,            0.1681,           13.2732,
Ref 18,3.22672e-08,,,,,,1.1861e-02,4.1661e-03,4.8339e-05,4.3997e-06,6.9360e-08,,,,,,,,,,,
Sam 18,3.27865e-08,1.18027e-02,4.1838e-03,4.8295e-05,4.4354e-06,6.9979e-08,,,,,,           -4.9605,            4.2499,           -0.8425,            8.1597,           13.2026,           -8.3162,           -1.6597,            0.1080,           -0.3553,           10.1116,
Ref 19,3.17845e-08,,,,,,1.1862e-02,4.1662e-03,4.8333e-05,4.3993e-06,6.8770e-08,,,,,,,,,,,
Sam 19,3.23294e-08,1.18026e-02,4.1837e-03,4.8281e-05,4.4371e-06,6.9729e-08,,,,,,           -4.9767,            4.1751,           -1.2804,            8.6070,            8.0141,           -8.3309,           -1.7342,           -0.2402,            0.2374,            5.1037,
Ref 20,3.13117e-08,,,,,,1.1862e-02,4.1665e-03,4.8352e-05,4.3991e-06,6.9586e-08,,,,,,,,,,,
Sam 20,3.17193e-08,1.18054e-02,4.1852e-03,4.8303e-05,4.4384e-06,6.7418e-08,,,,,,           -4.7757,            4.4740,           -0.8046,            9.0878,          -31.1054,           -8.1274,           -1.4371,           -0.2650,            0.1187,          -34.6757,
