Nu Stable Isotope Analysis Program
Data Collected on Friday, November 03, 2023 at 03:08 with Stable 1.71.5 on PS019,Reanalyzed on Friday, November 03, 2023 at 04:07 with Stable 1.71.5 on PS019

Data File = Data_20806 IAEA-C2.txt,       Sample Weight = 486,                      Vial Location = 49,                       Initial Sam Beam = 2.5047e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5388e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02608
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.74276e-08,,,,,,1.1863e-02,4.1640e-03,4.8312e-05,4.4045e-06,6.5623e-08,
Sam 1,9.64624e-08,1.18042e-02,4.1820e-03,4.8264e-05,4.4449e-06,6.6691e-08,,,,,,           -4.9599,            4.2752,           -1.0450,            8.9608,           13.0976,           -8.3165,           -1.6346,           -0.1201,            0.3887,            9.9563,
Ref 2,9.54081e-08,,,,,,1.1863e-02,4.1644e-03,4.8317e-05,4.4064e-06,6.6039e-08,,,,,,,,,,,
Sam 2,9.44445e-08,1.18044e-02,4.1821e-03,4.8266e-05,4.4450e-06,6.6147e-08,,,,,,           -4.9728,            4.2594,           -1.0815,            8.7067,           -0.1719,           -8.3297,           -1.6503,           -0.1278,            0.1682,           -3.2275,
Ref 3,9.33242e-08,,,,,,1.1863e-02,4.1644e-03,4.8320e-05,4.4068e-06,6.6280e-08,,,,,,,,,,,
Sam 3,9.24194e-08,1.18044e-02,4.1822e-03,4.8267e-05,4.4447e-06,6.6602e-08,,,,,,           -4.9732,            4.2680,           -1.1237,            8.5221,            1.3810,           -8.3305,           -1.6417,           -0.1780,           -0.0320,           -1.6957,
Ref 4,9.12617e-08,,,,,,1.1863e-02,4.1645e-03,4.8324e-05,4.4074e-06,6.6745e-08,,,,,,,,,,,
Sam 4,9.03677e-08,1.18046e-02,4.1825e-03,4.8271e-05,4.4438e-06,6.6687e-08,,,,,,           -4.9670,            4.3103,           -1.0379,            8.4542,            2.5369,           -8.3253,           -1.5996,           -0.1401,           -0.1834,           -0.6328,
Ref 5,8.92547e-08,,,,,,1.1864e-02,4.1646e-03,4.8320e-05,4.4056e-06,6.6287e-08,,,,,,,,,,,
Sam 5,8.84845e-08,1.18045e-02,4.1824e-03,4.8275e-05,4.4434e-06,6.6062e-08,,,,,,           -4.9722,            4.2393,           -0.9648,            8.7214,           -2.8157,           -8.3284,           -1.6703,            0.0081,            0.2230,           -5.8246,
Ref 6,8.71918e-08,,,,,,1.1863e-02,4.1649e-03,4.8325e-05,4.4043e-06,6.6208e-08,,,,,,,,,,,
Sam 6,8.65899e-08,1.18042e-02,4.1825e-03,4.8269e-05,4.4435e-06,6.6817e-08,,,,,,           -4.9715,            4.2459,           -1.0787,            8.7700,           12.2862,           -8.3279,           -1.6637,           -0.1131,            0.2579,            9.2179,
Ref 7,8.53877e-08,,,,,,1.1863e-02,4.1646e-03,4.8319e-05,4.4056e-06,6.5800e-08,,,,,,,,,,,
Sam 7,8.47830e-08,1.18040e-02,4.1823e-03,4.8265e-05,4.4439e-06,6.6940e-08,,,,,,           -4.9789,            4.2306,           -1.1969,            8.7451,           16.4424,           -8.3352,           -1.6789,           -0.2088,            0.2636,           13.3997,
Ref 8,8.35587e-08,,,,,,1.1863e-02,4.1647e-03,4.8327e-05,4.4053e-06,6.5916e-08,,,,,,,,,,,
Sam 8,8.30033e-08,1.18045e-02,4.1825e-03,4.8269e-05,4.4417e-06,6.6256e-08,,,,,,           -4.9610,            4.2285,           -1.2369,            8.1156,            2.0368,           -8.3161,           -1.6811,           -0.2653,           -0.3563,           -0.9776,
Ref 9,8.17043e-08,,,,,,1.1863e-02,4.1650e-03,4.8330e-05,4.4067e-06,6.6331e-08,,,,,,,,,,,
Sam 9,8.12514e-08,1.18043e-02,4.1828e-03,4.8273e-05,4.4445e-06,6.7805e-08,,,,,,           -4.9692,            4.3084,           -1.1093,            8.5922,           18.4124,           -8.3276,           -1.6015,           -0.2073,           -0.0429,           15.1987,
Ref 10,8.00386e-08,,,,,,1.1863e-02,4.1647e-03,4.8323e-05,4.4065e-06,6.6833e-08,,,,,,,,,,,
Sam 10,7.95940e-08,1.18044e-02,4.1825e-03,4.8269e-05,4.4427e-06,6.7209e-08,,,,,,           -4.9667,            4.2654,           -1.1191,            8.2763,            6.6181,           -8.3235,           -1.6444,           -0.1775,           -0.2703,            3.5236,
Ref 11,7.83417e-08,,,,,,1.1863e-02,4.1648e-03,4.8323e-05,4.4059e-06,6.6699e-08,,,,,,,,,,,
Sam 11,7.78572e-08,1.18052e-02,4.1830e-03,4.8273e-05,4.4437e-06,6.7458e-08,,,,,,           -4.8982,            4.3685,           -1.0250,            8.4649,            7.7885,           -8.2540,           -1.5419,           -0.2554,           -0.2887,            4.4138,
Ref 12,7.67423e-08,,,,,,1.1863e-02,4.1648e-03,4.8322e-05,4.4070e-06,6.7180e-08,,,,,,,,,,,
Sam 12,7.64264e-08,1.18042e-02,4.1826e-03,4.8267e-05,4.4424e-06,6.7126e-08,,,,,,           -4.9744,            4.2555,           -1.1514,            8.1917,            4.5266,           -8.3313,           -1.6541,           -0.1923,           -0.3347,            1.4660,
Ref 13,7.51755e-08,,,,,,1.1863e-02,4.1649e-03,4.8324e-05,4.4056e-06,6.6459e-08,,,,,,,,,,,
Sam 13,7.48974e-08,1.18042e-02,4.1826e-03,4.8273e-05,4.4421e-06,6.7458e-08,,,,,,           -4.9703,            4.2456,           -1.0965,            8.1375,           10.4582,           -8.3266,           -1.6640,           -0.1319,           -0.3687,            7.3947,
Ref 14,7.36493e-08,,,,,,1.1863e-02,4.1649e-03,4.8329e-05,4.4070e-06,6.7066e-08,,,,,,,,,,,
Sam 14,7.34165e-08,1.18043e-02,4.1826e-03,4.8267e-05,4.4418e-06,6.7403e-08,,,,,,           -4.9657,            4.2518,           -1.2217,            7.9600,           -1.5064,           -8.3218,           -1.6579,           -0.2681,           -0.5570,           -4.5507,
Ref 15,7.21625e-08,,,,,,1.1863e-02,4.1649e-03,4.8323e-05,4.4065e-06,6.7952e-08,,,,,,,,,,,
Sam 15,7.19764e-08,1.18042e-02,4.1827e-03,4.8272e-05,4.4427e-06,6.7112e-08,,,,,,           -4.9684,            4.2589,           -1.0966,            8.1064,          -10.5249,           -8.3250,           -1.6508,           -0.1470,           -0.4260,          -13.5526,
Ref 16,7.07233e-08,,,,,,1.1863e-02,4.1649e-03,4.8328e-05,4.4074e-06,6.7697e-08,,,,,,,,,,,
Sam 16,7.09989e-08,1.18037e-02,4.1824e-03,4.8266e-05,4.4410e-06,6.7943e-08,,,,,,           -4.9935,            4.2092,           -1.2404,            7.6100,           -0.1540,           -8.3500,           -1.7002,           -0.2163,           -0.8193,           -3.0895,
Ref 17,6.95923e-08,,,,,,1.1863e-02,4.1648e-03,4.8324e-05,4.4075e-06,6.8214e-08,,,,,,,,,,,
Sam 17,6.94724e-08,1.18039e-02,4.1825e-03,4.8271e-05,4.4422e-06,6.7601e-08,,,,,,           -4.9656,            4.2498,           -1.0789,            8.0472,           -5.6236,           -8.3217,           -1.6598,           -0.1232,           -0.4666,           -8.6515,
Ref 18,6.82292e-08,,,,,,1.1863e-02,4.1649e-03,4.8323e-05,4.4059e-06,6.7747e-08,,,,,,,,,,,
Sam 18,6.81218e-08,1.18039e-02,4.1826e-03,4.8273e-05,4.4427e-06,6.7282e-08,,,,,,           -4.9722,            4.2401,           -1.0600,            8.3624,           -5.6013,           -8.3284,           -1.6695,           -0.0880,           -0.1346,           -8.6034,
Ref 19,6.67650e-08,,,,,,1.1863e-02,4.1650e-03,4.8325e-05,4.4058e-06,6.7573e-08,,,,,,,,,,,
Sam 19,6.67586e-08,1.18040e-02,4.1826e-03,4.8267e-05,4.4410e-06,6.7997e-08,,,,,,           -4.9642,            4.2413,           -1.1983,            8.0532,            5.9160,           -8.3199,           -1.6684,           -0.2358,           -0.4436,            2.8683,
Ref 20,6.54841e-08,,,,,,1.1863e-02,4.1650e-03,4.8325e-05,4.4053e-06,6.7622e-08,,,,,,,,,,,
Sam 20,6.55017e-08,1.18039e-02,4.1827e-03,4.8272e-05,4.4421e-06,6.7544e-08,,,,,,           -4.9668,            4.2626,           -1.0917,            8.3123,           -6.7296,           -8.3234,           -1.6472,           -0.1474,           -0.2291,           -9.7776,
Ref 21,6.42090e-08,,,,,,1.1863e-02,4.1650e-03,4.8325e-05,4.4056e-06,6.8388e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.35979e-08,,,,,,1.1863e-02,4.1650e-03,4.8327e-05,4.4058e-06,6.7066e-08,
Sam 1,6.36561e-08,1.18040e-02,4.1828e-03,4.8271e-05,4.4434e-06,6.8802e-08,,,,,,           -4.9619,            4.2714,           -1.1885,            8.6223,           19.5604,           -8.3185,           -1.6383,           -0.2580,            0.0606,           16.4087,
Ref 2,6.23916e-08,,,,,,1.1863e-02,4.1650e-03,4.8330e-05,4.4050e-06,6.7907e-08,,,,,,,,,,,
Sam 2,6.24687e-08,1.18039e-02,4.1828e-03,4.8277e-05,4.4441e-06,6.8066e-08,,,,,,           -4.9700,            4.2496,           -1.0468,            8.8769,           -1.5020,           -8.3264,           -1.6600,           -0.0864,            0.3565,           -4.5374,
Ref 3,6.12040e-08,,,,,,1.1863e-02,4.1651e-03,4.8326e-05,4.4050e-06,6.8436e-08,,,,,,,,,,,
Sam 3,6.13039e-08,1.18039e-02,4.1829e-03,4.8270e-05,4.4429e-06,6.8808e-08,,,,,,           -4.9684,            4.2564,           -1.1714,            8.6209,           -3.2200,           -8.3249,           -1.6533,           -0.2194,            0.0891,           -6.2651,
Ref 4,6.00610e-08,,,,,,1.1863e-02,4.1651e-03,4.8327e-05,4.4048e-06,6.9637e-08,,,,,,,,,,,
Sam 4,6.01992e-08,1.18039e-02,4.1829e-03,4.8278e-05,4.4419e-06,6.9058e-08,,,,,,           -4.9723,            4.2540,           -1.0432,            8.3562,           -0.0859,           -8.3289,           -1.6557,           -0.0847,           -0.1685,           -3.1317,
Ref 5,5.89134e-08,,,,,,1.1863e-02,4.1652e-03,4.8329e-05,4.4053e-06,6.8480e-08,,,,,,,,,,,
Sam 5,5.91484e-08,1.18038e-02,4.1828e-03,4.8271e-05,4.4414e-06,6.7918e-08,,,,,,           -4.9699,            4.2454,           -1.1992,            8.2970,           -8.1850,           -8.3262,           -1.6643,           -0.2348,           -0.2100,          -11.1919,
Ref 6,5.79581e-08,,,,,,1.1863e-02,4.1651e-03,4.8328e-05,4.4045e-06,6.8477e-08,,,,,,,,,,,
Sam 6,5.80699e-08,1.18037e-02,4.1829e-03,4.8276e-05,4.4409e-06,6.6938e-08,,,,,,           -4.9655,            4.2603,           -1.0360,            8.1892,          -18.3276,           -8.3220,           -1.6494,           -0.0906,           -0.3467,          -21.3370,
Ref 7,5.68923e-08,,,,,,1.1863e-02,4.1652e-03,4.8324e-05,4.4052e-06,6.7893e-08,,,,,,,,,,,
Sam 7,5.70973e-08,1.18037e-02,4.1829e-03,4.8279e-05,4.4422e-06,6.8147e-08,,,,,,           -4.9743,            4.2461,           -0.9511,            8.5530,            1.2294,           -8.3308,           -1.6635,            0.0173,            0.0424,           -1.8029,
Ref 8,5.57981e-08,,,,,,1.1863e-02,4.1653e-03,4.8325e-05,4.4039e-06,6.8237e-08,,,,,,,,,,,
Sam 8,5.59683e-08,1.18039e-02,4.1830e-03,4.8275e-05,4.4392e-06,6.8537e-08,,,,,,           -4.9660,            4.2569,           -1.0847,            7.9652,            6.2667,           -8.3224,           -1.6527,           -0.1356,           -0.5621,            3.1890,
Ref 9,5.47003e-08,,,,,,1.1863e-02,4.1654e-03,4.8331e-05,4.4043e-06,6.7982e-08,,,,,,,,,,,
Sam 9,5.50158e-08,1.18038e-02,4.1830e-03,4.8277e-05,4.4417e-06,6.9012e-08,,,,,,           -4.9699,            4.2502,           -1.0957,            8.3092,           17.6101,           -8.3263,           -1.6594,           -0.1359,           -0.2076,           14.5154,
Ref 10,5.37780e-08,,,,,,1.1863e-02,4.1653e-03,4.8329e-05,4.4059e-06,6.7651e-08,,,,,,,,,,,
Sam 10,5.40583e-08,1.18038e-02,4.1831e-03,4.8278e-05,4.4423e-06,6.8703e-08,,,,,,           -4.9688,            4.2508,           -1.1031,            8.4250,           12.9933,           -8.3252,           -1.6588,           -0.1451,           -0.0940,            9.9101,
Ref 11,5.27694e-08,,,,,,1.1863e-02,4.1654e-03,4.8334e-05,4.4045e-06,6.7995e-08,,,,,,,,,,,
Sam 11,5.30580e-08,1.18038e-02,4.1832e-03,4.8275e-05,4.4413e-06,6.8215e-08,,,,,,           -4.9620,            4.2718,           -1.1732,            8.4809,            7.8901,           -8.3187,           -1.6380,           -0.2429,           -0.0803,            4.7739,
Ref 12,5.19012e-08,,,,,,1.1863e-02,4.1654e-03,4.8330e-05,4.4033e-06,6.7362e-08,,,,,,,,,,,
Sam 12,5.22304e-08,1.18037e-02,4.1831e-03,4.8278e-05,4.4429e-06,6.8745e-08,,,,,,           -4.9676,            4.2501,           -1.1200,            8.8540,           18.5189,           -8.3238,           -1.6595,           -0.1627,            0.3327,           15.4189,
Ref 13,5.09917e-08,,,,,,1.1863e-02,4.1654e-03,4.8335e-05,4.4044e-06,6.7631e-08,,,,,,,,,,,
Sam 13,5.13495e-08,1.18037e-02,4.1832e-03,4.8275e-05,4.4403e-06,6.7079e-08,,,,,,           -4.9739,            4.2519,           -1.1900,            8.1740,          -16.0173,           -8.3306,           -1.6578,           -0.2278,           -0.3450,          -19.0088,
Ref 14,5.01147e-08,,,,,,1.1863e-02,4.1655e-03,4.8330e-05,4.4041e-06,6.8722e-08,,,,,,,,,,,
Sam 14,5.04940e-08,1.18037e-02,4.1832e-03,4.8276e-05,4.4414e-06,7.0755e-08,,,,,,           -4.9714,            4.2468,           -1.1281,            8.4892,           30.9080,           -8.3278,           -1.6628,           -0.1635,           -0.0224,           27.7813,
Ref 15,4.92582e-08,,,,,,1.1863e-02,4.1655e-03,4.8331e-05,4.4040e-06,6.8544e-08,,,,,,,,,,,
Sam 15,4.96446e-08,1.18036e-02,4.1832e-03,4.8274e-05,4.4399e-06,6.8400e-08,,,,,,           -4.9724,            4.2484,           -1.2467,            8.2748,           -8.7080,           -8.3290,           -1.6612,           -0.2827,           -0.2381,          -11.7165,
Ref 16,4.84175e-08,,,,,,1.1863e-02,4.1656e-03,4.8336e-05,4.4028e-06,6.9465e-08,,,,,,,,,,,
Sam 16,4.88204e-08,1.18036e-02,4.1833e-03,4.8277e-05,4.4393e-06,6.9236e-08,,,,,,           -4.9650,            4.2465,           -1.1559,            8.2003,            2.2958,           -8.3209,           -1.6631,           -0.1978,           -0.3082,           -0.7505,
Ref 17,4.75940e-08,,,,,,1.1862e-02,4.1656e-03,4.8329e-05,4.4035e-06,6.8683e-08,,,,,,,,,,,
Sam 17,4.80115e-08,1.18035e-02,4.1833e-03,4.8282e-05,4.4423e-06,6.7661e-08,,,,,,           -4.9677,            4.2427,           -0.9960,            8.6412,           -7.5003,           -8.3237,           -1.6670,           -0.0311,            0.1367,          -10.5064,
Ref 18,4.67908e-08,,,,,,1.1862e-02,4.1656e-03,4.8332e-05,4.4050e-06,6.7653e-08,,,,,,,,,,,
Sam 18,4.72193e-08,1.18036e-02,4.1832e-03,4.8279e-05,4.4420e-06,6.8456e-08,,,,,,           -4.9617,            4.2369,           -1.1072,            8.7381,            9.7453,           -8.3171,           -1.6727,           -0.1429,            0.2443,            6.6919,
Ref 19,4.60097e-08,,,,,,1.1862e-02,4.1656e-03,4.8334e-05,4.4019e-06,6.7939e-08,,,,,,,,,,,
Sam 19,4.64460e-08,1.18035e-02,4.1833e-03,4.8275e-05,4.4406e-06,6.8948e-08,,,,,,           -4.9641,            4.2516,           -1.2376,            8.6873,            4.5276,           -8.3202,           -1.6581,           -0.2854,            0.1645,            1.4637,
Ref 20,4.52423e-08,,,,,,1.1862e-02,4.1656e-03,4.8336e-05,4.4028e-06,6.9348e-08,,,,,,,,,,,
Sam 20,4.56927e-08,1.18035e-02,4.1834e-03,4.8277e-05,4.4405e-06,6.8414e-08,,,,,,           -4.9573,            4.2496,           -1.1928,            8.5827,          -19.2202,           -8.3128,           -1.6601,           -0.2456,            0.0649,          -22.2150,
Ref 21,4.44943e-08,,,,,,1.1862e-02,4.1657e-03,4.8332e-05,4.4027e-06,7.0168e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.41245e-08,,,,,,1.1862e-02,4.1657e-03,4.8330e-05,4.4022e-06,6.5760e-08,
Sam 1,4.45956e-08,1.18034e-02,4.1835e-03,4.8279e-05,4.4405e-06,6.8561e-08,,,,,,           -4.9671,            4.2694,           -1.0861,            8.4874,           17.0060,           -8.3240,           -1.6404,           -0.1481,           -0.0690,           13.8719,
Ref 2,4.34032e-08,,,,,,1.1862e-02,4.1657e-03,4.8332e-05,4.4040e-06,6.9098e-08,,,,,,,,,,,
Sam 2,4.38886e-08,1.18034e-02,4.1833e-03,4.8279e-05,4.4414e-06,6.8493e-08,,,,,,           -4.9648,            4.2210,           -1.0774,            8.6707,            2.1888,           -8.3199,           -1.6885,           -0.0944,            0.2090,           -0.8074,
Ref 3,4.26954e-08,,,,,,1.1862e-02,4.1658e-03,4.8330e-05,4.4025e-06,6.7576e-08,,,,,,,,,,,
Sam 3,4.31913e-08,1.18034e-02,4.1834e-03,4.8279e-05,4.4400e-06,6.8982e-08,,,,,,           -4.9633,            4.2345,           -1.0627,            8.3990,            9.9233,           -8.3187,           -1.6751,           -0.0944,           -0.0872,            6.8758,
Ref 4,4.20023e-08,,,,,,1.1862e-02,4.1658e-03,4.8331e-05,4.4036e-06,6.9044e-08,,,,,,,,,,,
Sam 4,4.25132e-08,1.18033e-02,4.1835e-03,4.8282e-05,4.4387e-06,6.8875e-08,,,,,,           -4.9644,            4.2463,           -1.0136,            8.0227,           -1.5394,           -8.3203,           -1.6634,           -0.0556,           -0.4838,           -4.5741,
Ref 5,4.13275e-08,,,,,,1.1862e-02,4.1658e-03,4.8331e-05,4.4032e-06,6.8917e-08,,,,,,,,,,,
Sam 5,4.18469e-08,1.18033e-02,4.1836e-03,4.8280e-05,4.4389e-06,6.8929e-08,,,,,,           -4.9696,            4.2547,           -1.0910,            8.1848,            4.6191,           -8.3261,           -1.6550,           -0.1360,           -0.3398,            1.5547,
Ref 6,4.06626e-08,,,,,,1.1862e-02,4.1659e-03,4.8335e-05,4.4025e-06,6.8302e-08,,,,,,,,,,,
Sam 6,4.11850e-08,1.18033e-02,4.1835e-03,4.8280e-05,4.4407e-06,6.8174e-08,,,,,,           -4.9678,            4.2401,           -1.1406,            8.5101,          -14.3764,           -8.3237,           -1.6695,           -0.1733,            0.0117,          -17.3566,
Ref 7,4.00035e-08,,,,,,1.1862e-02,4.1658e-03,4.8336e-05,4.4040e-06,7.0049e-08,,,,,,,,,,,
Sam 7,4.05505e-08,1.18032e-02,4.1836e-03,4.8279e-05,4.4376e-06,7.0123e-08,,,,,,           -4.9675,            4.2705,           -1.1256,            7.5789,            3.3686,           -8.3245,           -1.6392,           -0.1883,           -0.9721,            0.2748,
Ref 8,3.93698e-08,,,,,,1.1862e-02,4.1659e-03,4.8331e-05,4.4045e-06,6.9723e-08,,,,,,,,,,,
Sam 8,3.99312e-08,1.18032e-02,4.1836e-03,4.8284e-05,4.4385e-06,7.0812e-08,,,,,,           -4.9664,            4.2531,           -1.0037,            8.0313,           23.4123,           -8.3226,           -1.6566,           -0.0504,           -0.4889,           20.2902,
Ref 9,3.87520e-08,,,,,,1.1862e-02,4.1659e-03,4.8333e-05,4.4019e-06,6.8652e-08,,,,,,,,,,,
Sam 9,3.93171e-08,1.18033e-02,4.1836e-03,4.8278e-05,4.4391e-06,6.9284e-08,,,,,,           -4.9585,            4.2459,           -1.1776,            8.4534,            7.9673,           -8.3140,           -1.6638,           -0.2256,           -0.0559,            4.8982,
Ref 10,3.81439e-08,,,,,,1.1862e-02,4.1659e-03,4.8337e-05,4.4019e-06,6.8823e-08,,,,,,,,,,,
Sam 10,3.87383e-08,1.18031e-02,4.1836e-03,4.8291e-05,4.4378e-06,6.9512e-08,,,,,,           -4.9717,            4.2437,           -0.8706,            8.1686,            9.0450,           -8.3280,           -1.6660,            0.0977,           -0.3340,            5.9911,
Ref 11,3.75650e-08,,,,,,1.1862e-02,4.1659e-03,4.8329e-05,4.4019e-06,6.8955e-08,,,,,,,,,,,
Sam 11,3.81449e-08,1.18032e-02,4.1836e-03,4.8282e-05,4.4375e-06,6.8788e-08,,,,,,           -4.9595,            4.2448,           -1.0079,            8.2158,           -7.0998,           -8.3150,           -1.6649,           -0.0536,           -0.2894,          -10.1200,
Ref 12,3.69648e-08,,,,,,1.1862e-02,4.1660e-03,4.8333e-05,4.4007e-06,6.9610e-08,,,,,,,,,,,
Sam 12,3.75772e-08,1.18030e-02,4.1836e-03,4.8280e-05,4.4374e-06,6.9109e-08,,,,,,           -4.9704,            4.2344,           -1.1254,            8.0710,            7.2052,           -8.3263,           -1.6751,           -0.1497,           -0.4124,            4.1736,
Ref 13,3.63960e-08,,,,,,1.1862e-02,4.1660e-03,4.8336e-05,4.4031e-06,6.7603e-08,,,,,,,,,,,
Sam 13,3.70328e-08,1.18030e-02,4.1836e-03,4.8273e-05,4.4379e-06,7.0545e-08,,,,,,           -4.9678,            4.2302,           -1.3111,            8.0588,           32.2373,           -8.3234,           -1.6794,           -0.3341,           -0.4160,           29.1361,
Ref 14,3.58944e-08,,,,,,1.1862e-02,4.1660e-03,4.8336e-05,4.4017e-06,6.9091e-08,,,,,,,,,,,
Sam 14,3.64979e-08,1.18030e-02,4.1837e-03,4.8279e-05,4.4388e-06,6.9555e-08,,,,,,           -4.9672,            4.2330,           -1.1934,            8.4784,           12.2571,           -8.3229,           -1.6766,           -0.2197,           -0.0055,            9.2098,
Ref 15,3.53444e-08,,,,,,1.1862e-02,4.1660e-03,4.8338e-05,4.4012e-06,6.8330e-08,,,,,,,,,,,
Sam 15,3.59671e-08,1.18030e-02,4.1837e-03,4.8280e-05,4.4407e-06,6.9786e-08,,,,,,           -4.9610,            4.2395,           -1.1488,            8.9868,           24.9117,           -8.3164,           -1.6701,           -0.1880,            0.4857,           21.8064,
Ref 16,3.47998e-08,,,,,,1.1862e-02,4.1660e-03,4.8333e-05,4.4011e-06,6.7847e-08,,,,,,,,,,,
Sam 16,3.54248e-08,1.18030e-02,4.1837e-03,4.8282e-05,4.4355e-06,7.0204e-08,,,,,,           -4.9559,            4.2351,           -1.1249,            7.8175,           26.9700,           -8.3109,           -1.6745,           -0.1648,           -0.6650,           23.8619,
Ref 17,3.42776e-08,,,,,,1.1862e-02,4.1661e-03,4.8339e-05,4.4011e-06,6.8881e-08,,,,,,,,,,,
Sam 17,3.49231e-08,1.18030e-02,4.1837e-03,4.8283e-05,4.4352e-06,6.8068e-08,,,,,,           -4.9542,            4.2238,           -1.1529,            7.6332,            3.1820,           -8.3087,           -1.6858,           -0.1837,           -0.8253,            0.1660,
Ref 18,3.37643e-08,,,,,,1.1862e-02,4.1661e-03,4.8337e-05,4.4021e-06,6.6808e-08,,,,,,,,,,,
Sam 18,3.44036e-08,1.18029e-02,4.1838e-03,4.8286e-05,4.4363e-06,6.9803e-08,,,,,,           -4.9590,            4.2260,           -0.9843,            7.9788,           35.8464,           -8.3139,           -1.6836,           -0.0120,           -0.4869,           32.7331,
Ref 19,3.32532e-08,,,,,,1.1862e-02,4.1662e-03,4.8331e-05,4.4004e-06,6.7975e-08,,,,,,,,,,,
Sam 19,3.38985e-08,1.18030e-02,4.1839e-03,4.8282e-05,4.4392e-06,7.0595e-08,,,,,,           -4.9514,            4.2454,           -1.0401,            8.8617,           52.9081,           -8.3064,           -1.6642,           -0.0948,            0.3498,           49.6950,
Ref 20,3.27436e-08,,,,,,1.1862e-02,4.1662e-03,4.8335e-05,4.3999e-06,6.6106e-08,,,,,,,,,,,
Sam 20,3.33847e-08,1.18028e-02,4.1839e-03,4.8286e-05,4.4366e-06,6.9389e-08,,,,,,           -4.9624,            4.2572,           -1.0720,            8.2250,           39.0883,           -8.3186,           -1.6525,           -0.1269,           -0.3049,           35.9057,
