Batch,20231030 clumped Oman 4 CH,Collected on,2023/11/03 17:09:36,Analysis Instrument,PS019,Acquisition Software,,Stable 1.71.5,Reanalyzed  on,2023/11/03 18:08:53,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5

Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Ref Major,Sam Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,DELTA,DELTA,
Dir   ,Name   ,File   ,Name   ,  ,  ,Started   ,Collected   ,Weight   ,Location   ,Sam Beam   ,Yield   ,Status   ,Pressure   ,  ,Chops   ,  ,  ,Operations   ,Ref Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Factor  ,End   ,%  ,  ,  ,Pressure   ,Mass   ,Length    ,Offset   ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion   ,Depletion   ,Temperature   ,Signal(44),Signal(44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,Err,,,wrt PDB,Err,,,47,48,49,

C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20808 ETH-03.txt,ETH-03,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 17:09:36,442,1,2.5036e-07,5.664342E-10,CF,20.813,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.0731e-08,1.5000e-07,8.8708e-08,8.8869e-08,8.8810e-08,8.8647e-08,0.96,2023/11/03 17:08:50,0.18,5006,8449,1.0000e-03,46.031,20,0.000,2.1894e-15,3.7165e-15,5.3054e-16,6.9267e-14,4.2787e-13,1.6907e-11,24.00,26.00,63.85,4.96719e-08,5.01243e-08,1.19135e-02,4.2136e-03,4.9074e-05,4.5005e-06,7.1719e-08,1.1862e-02,4.1649e-03,4.8304e-05,4.3973e-06,6.8487e-08,4.3561,11.6792,15.9353,23.4617,46.7240,1.3424,0.0008,0,60,5.7132,0.0025,0,60,-0.0974,-0.0323,18.3681,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20809 ETH-01.txt,ETH-01,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 18:30:52,452,2,2.5041e-07,5.540136E-10,CF,24.902,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.0844e-08,1.5000e-07,1.0993e-07,1.1050e-07,1.1036e-07,1.1011e-07,0.96,2023/11/03 18:30:07,0.23,4340,8449,1.0000e-03,46.031,20,0.000,2.2066e-15,3.6752e-15,6.1995e-16,7.7732e-14,4.4789e-13,1.8724e-11,25.00,27.00,63.85,5.90455e-08,5.97923e-08,1.19173e-02,4.2112e-03,4.9041e-05,4.4956e-06,6.9187e-08,1.1863e-02,4.1649e-03,4.8306e-05,4.3984e-06,6.7481e-08,4.6072,11.1241,15.2061,22.0781,25.3730,1.6288,0.0007,0,60,5.1603,0.0024,0,60,-0.5327,-0.2875,-1.5922,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20810 ETH-02.txt,ETH-02,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 19:52:13,483,3,2.5044e-07,5.185086E-10,CF,24.536,1.000e-03,1,1.0000e-03,6272, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.0185e-08,1.5000e-07,1.0664e-07,1.0712e-07,1.0703e-07,1.0673e-07,0.96,2023/11/03 19:51:28,0.28,4359,8448,1.0000e-03,46.028,20,0.000,2.2427e-15,3.6451e-15,6.4176e-16,7.8805e-14,4.5147e-13,1.8898e-11,25.00,27.00,63.59,5.76761e-08,5.83559e-08,1.17763e-02,4.1422e-03,4.7670e-05,4.3521e-06,6.6153e-08,1.1862e-02,4.1648e-03,4.8313e-05,4.4002e-06,6.6696e-08,-7.2599,-5.4274,-13.3177,-10.9470,-8.4638,-10.4278,0.0010,0,60,-11.2853,0.0020,0,60,-0.5419,-0.1230,10.0037,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20811 IAEA-C2.txt,IAEA-C2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 21:13:10,445,4,2.5041e-07,5.627281E-10,CF,22.949,1.000e-03,1,1.0000e-03,6272, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9457e-08,1.5000e-07,9.7904e-08,9.8317e-08,9.8223e-08,9.7970e-08,0.96,2023/11/03 21:12:25,0.26,4540,8448,1.0000e-03,46.028,20,0.000,2.2413e-15,3.6430e-15,6.1369e-16,7.8328e-14,4.4882e-13,1.8832e-11,25.00,26.00,63.45,5.37809e-08,5.43027e-08,1.18034e-02,4.1826e-03,4.8263e-05,4.4366e-06,6.7405e-08,1.1862e-02,4.1650e-03,4.8316e-05,4.3995e-06,6.6652e-08,-4.9718,4.2280,-1.0976,8.4198,11.2831,-8.3276,0.0008,0,60,-1.6816,0.0017,0,60,-0.1141,-0.0537,8.2536,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20812 IAEA-C1.txt,IAEA-C1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 22:34:55,499,5,2.5040e-07,5.018048E-10,CF,25.574,1.000e-03,1,1.0000e-03,6272, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8747e-08,1.5000e-07,1.1501e-07,1.1484e-07,1.1471e-07,1.1443e-07,0.96,2023/11/03 22:34:10,0.24,4054,8448,1.0000e-03,46.031,20,0.000,2.2652e-15,3.6530e-15,6.7985e-16,7.9901e-14,4.5249e-13,1.9071e-11,25.00,27.00,63.85,6.09024e-08,6.16787e-08,1.19220e-02,4.2108e-03,4.9063e-05,4.4945e-06,6.7192e-08,1.1863e-02,4.1648e-03,4.8309e-05,4.3978e-06,6.5416e-08,5.0126,11.0352,15.6150,21.9729,26.8681,2.0633,0.0009,0,60,5.0709,0.0025,0,60,-0.4593,-0.2145,-0.3921,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20813 MRT-3 C.txt,MRT-3 C,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 23:56:20,451,6,2.5038e-07,5.55159E-10,CF,20.996,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7810e-08,1.5000e-07,9.2460e-08,9.2817e-08,9.2726e-08,9.2542e-08,0.96,2023/11/03 23:55:34,0.20,4560,8444,1.0000e-03,46.028,20,0.000,2.2638e-15,3.6172e-15,6.1226e-16,7.7734e-14,4.4843e-13,1.8672e-11,24.00,26.00,63.85,5.13948e-08,5.18728e-08,1.19135e-02,4.2151e-03,4.9096e-05,4.5060e-06,6.7975e-08,1.1862e-02,4.1652e-03,4.8322e-05,4.4005e-06,6.5852e-08,4.2990,11.9729,16.0199,23.9755,32.5896,1.2715,0.0009,0,60,6.0056,0.0026,0,60,-0.2412,-0.1109,4.1040,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20814 MDS 220.5.txt,MDS 220.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/04 01:18:08,433,7,2.5038e-07,5.782539E-10,CF,19.989,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6903e-08,1.5000e-07,8.5037e-08,8.5213e-08,8.5155e-08,8.4953e-08,0.96,2023/11/04 01:17:22,0.24,4738,8450,1.0000e-03,46.028,20,0.000,2.1944e-15,3.5961e-15,6.1584e-16,7.6388e-14,4.4369e-13,1.8392e-11,24.00,26.00,63.85,4.80401e-08,4.85142e-08,1.18273e-02,4.1896e-03,4.8440e-05,4.4512e-06,6.8393e-08,1.1862e-02,4.1654e-03,4.8325e-05,4.4003e-06,6.7005e-08,-2.9578,5.8128,2.3784,11.5788,20.5015,-6.2389,0.0008,0,60,-0.1089,0.0018,0,60,-0.2761,-0.0796,12.1145,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20815 MRT-3A.txt,MRT-3A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/04 02:40:18,473,8,2.5037e-07,5.293146E-10,CF,25.360,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6261e-08,1.5000e-07,1.1346e-07,1.1263e-07,1.1251e-07,1.1225e-07,0.96,2023/11/04 02:39:33,0.23,3918,8449,1.0000e-03,46.031,20,0.000,2.2466e-15,3.6078e-15,6.4266e-16,7.8979e-14,4.5086e-13,1.8944e-11,25.00,27.00,63.85,5.99943e-08,6.06720e-08,1.19188e-02,4.2126e-03,4.9081e-05,4.4993e-06,6.7335e-08,1.1863e-02,4.1651e-03,4.8314e-05,4.3987e-06,6.5447e-08,4.7167,11.4078,15.8906,22.8638,28.5233,1.7355,0.0039,0,60,5.4423,0.0065,0,60,-0.2472,-0.0801,0.8072,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20816 ETH-02.txt,ETH-02,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/04 04:01:45,443,9,2.5036e-07,5.651476E-10,CF,20.080,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.5490e-08,1.5000e-07,8.5640e-08,8.5817e-08,8.5719e-08,8.5553e-08,0.96,2023/11/04 04:00:59,0.19,4572,8448,1.0000e-03,46.028,20,0.000,2.2332e-15,3.5623e-15,5.6577e-16,7.7042e-14,4.4553e-13,1.8506e-11,24.00,26.00,63.85,4.83275e-08,4.87544e-08,1.17763e-02,4.1427e-03,4.7681e-05,4.3523e-06,6.6007e-08,1.1862e-02,4.1652e-03,4.8324e-05,4.4000e-06,6.5946e-08,-7.2594,-5.4162,-13.3010,-10.8331,0.6970,-10.4276,0.0009,0,60,-11.2741,0.0015,0,60,-0.5366,-0.0304,19.3120,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20817 ETH-01.txt,ETH-01,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/04 05:22:16,472,10,2.5034e-07,5.303719E-10,CF,24.811,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4660e-08,1.5000e-07,1.0900e-07,1.0891e-07,1.0883e-07,1.0857e-07,0.96,2023/11/04 05:21:30,0.25,3877,8448,1.0000e-03,46.028,20,0.000,2.1944e-15,3.5790e-15,6.8039e-16,7.8353e-14,4.5002e-13,1.8784e-11,25.00,27.00,63.85,5.83989e-08,5.91568e-08,1.19174e-02,4.2113e-03,4.9051e-05,4.4977e-06,6.8138e-08,1.1863e-02,4.1651e-03,4.8319e-05,4.4008e-06,6.6263e-08,4.6019,11.0900,15.1502,22.0125,28.1936,1.6244,0.0009,0,60,5.1263,0.0027,0,60,-0.5492,-0.2842,1.2264,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20818 MDS 220.5.txt,MDS 220.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/04 06:49:31,463,11,2.5034e-07,5.406807E-10,CF,21.149,1.000e-03,1,1.0000e-03,6272, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.2540e-08,1.5000e-07,9.2210e-08,9.2377e-08,9.2330e-08,9.2101e-08,0.96,2023/11/04 06:48:45,0.25,4978,8446,1.0000e-03,46.028,20,0.000,2.2382e-15,3.5782e-15,6.1351e-16,7.7376e-14,4.4771e-13,1.8581e-11,24.00,26.00,63.85,5.13389e-08,5.18441e-08,1.18276e-02,4.1895e-03,4.8438e-05,4.4513e-06,6.6857e-08,1.1863e-02,4.1653e-03,4.8323e-05,4.4002e-06,6.5732e-08,-2.9546,5.8035,2.3794,11.6043,16.7254,-6.2353,0.0011,0,60,-0.1181,0.0024,0,60,-0.2693,-0.0359,8.3845,
