Batch,20231030 clumped Oman 4 CH,Collected on,2023/11/03 17:09:36,Analysis Instrument,PS019,Acquisition Software,Stable 1.71.5,Reanalyzed  on,2023/11/03 18:08:53,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5


Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Num,CO,Cycle,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Water,Water,Ave, StdDev, Min, Max, Started, Stopped, Num,Ref Major,Std,Rejected,Num,Sam Major,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,
Dir  ,Name  ,File  ,Name  , , ,Started  ,Collected  ,Weight  ,Location  ,Sam Beam  ,Yield  ,Status  ,Pressure  , ,Chops  , , ,Operations  ,Ref Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Factor ,End  ,% , , ,Pressure  ,Mass  ,CO Cycles   ,Delay Time  ,Length  ,Length   ,Offset  ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion  ,Depletion  ,Temperature  ,Trap Temperature Hot ,Trap Temperature Cold ,Temp, , ,,,,,Signal(44),Dev,,,Signal(44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Delta(45/44),Err,,,Delta(46/44),Err,,,Delta(47/44),Err,,,Delta(48/44),Err,,,Delta(49/44),Err,,,wrt PDB,Err,,,wrt PDB,Err,,,47,Err,,,48,Err,,,49,Err,,,

C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20808 ETH-03.txt,ETH-03,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 17:09:36,442,1,2.5036e-07,5.664342E-10,CF,20.813,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.0731e-08,1.5000e-07,8.8708e-08,8.8869e-08,8.8810e-08,8.8647e-08,0.96,2023/11/03 17:08:50,0.18,5006,8449,1.0000e-03,46.031,20,8,20,20,0.000,2.1894e-15,3.7165e-15,5.3054e-16,6.9267e-14,4.2787e-13,1.6907e-11,24.00,26.00,63.85,-1.95e02,-1.61e02,63.85,0.00,63.85,63.85,2023/11/03 16:12:45,2023/11/03 17:09:16,113,4.96719e-08,0.000,0,63,5.01243e-08,1.94594e-09,0,60,1.19135e-02,3.57727e-08,0,60,4.2136e-03,9.2182e-08,0,60,4.9074e-05,9.0578e-10,0,60,4.5005e-06,4.0095e-10,0,60,7.1719e-08,9.8314e-11,0,60,1.1862e-02,4.4329e-08,0,63,4.1649e-03,9.9053e-08,0,63,4.8304e-05,1.0694e-09,0,63,4.3973e-06,3.9571e-10,0,63,6.8487e-08,1.2291e-10,0,63,4.3561,0.0008,0,60,11.6792,0.0025,0,60,15.9353,0.0102,0,60,23.4617,0.0416,0,60,46.7240,1.4993,0,60,1.3424,0.0008,0,60,5.7132,0.0025,0,60,-0.0974,0.0089,0,60,-0.0323,0.0416,0,60,18.3681,1.4583,0,60,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20809 ETH-01.txt,ETH-01,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 18:30:52,452,2,2.5041e-07,5.540136E-10,CF,24.902,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.0844e-08,1.5000e-07,1.0993e-07,1.1050e-07,1.1036e-07,1.1011e-07,0.96,2023/11/03 18:30:07,0.23,4340,8449,1.0000e-03,46.031,20,8,20,20,0.000,2.2066e-15,3.6752e-15,6.1995e-16,7.7732e-14,4.4789e-13,1.8724e-11,25.00,27.00,63.85,-1.95e02,-1.65e02,63.85,0.00,63.85,63.85,2023/11/03 17:33:22,2023/11/03 18:12:55,79,5.90455e-08,0.000,0,63,5.97923e-08,2.48944e-09,0,60,1.19173e-02,6.47114e-08,0,60,4.2112e-03,6.9497e-08,0,60,4.9041e-05,7.8746e-10,0,60,4.4956e-06,2.6652e-10,0,60,6.9187e-08,1.5656e-10,0,60,1.1863e-02,5.8817e-08,0,63,4.1649e-03,7.6585e-08,0,63,4.8306e-05,7.6886e-10,0,63,4.3984e-06,2.6974e-10,0,63,6.7481e-08,1.5989e-10,0,63,4.6072,0.0007,0,60,11.1241,0.0024,0,60,15.2061,0.0095,0,60,22.0781,0.0264,0,60,25.3730,1.3270,0,60,1.6288,0.0007,0,60,5.1603,0.0024,0,60,-0.5327,0.0093,0,60,-0.2875,0.0260,0,60,-1.5922,1.2920,0,60,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20810 ETH-02.txt,ETH-02,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 19:52:13,483,3,2.5044e-07,5.185086E-10,CF,24.536,1.000e-03,1,1.0000e-03,6272, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.0185e-08,1.5000e-07,1.0664e-07,1.0712e-07,1.0703e-07,1.0673e-07,0.96,2023/11/03 19:51:28,0.28,4359,8448,1.0000e-03,46.028,20,8,20,20,0.000,2.2427e-15,3.6451e-15,6.4176e-16,7.8805e-14,4.5147e-13,1.8898e-11,25.00,27.00,63.59,-1.95e02,-1.66e02,63.59,0.25,63.35,63.85,2023/11/03 18:55:25,2023/11/03 19:34:11,79,5.76761e-08,0.000,0,63,5.83559e-08,2.41283e-09,0,60,1.17763e-02,5.05536e-08,0,60,4.1422e-03,7.6886e-08,0,60,4.7670e-05,9.0374e-10,0,60,4.3521e-06,2.8508e-10,0,60,6.6153e-08,1.1133e-10,0,60,1.1862e-02,5.2644e-08,0,63,4.1648e-03,7.4660e-08,0,63,4.8313e-05,7.9855e-10,0,63,4.4002e-06,2.8289e-10,0,63,6.6696e-08,1.1804e-10,0,63,-7.2599,0.0010,0,60,-5.4274,0.0020,0,60,-13.3177,0.0089,0,60,-10.9470,0.0352,0,60,-8.4638,1.3506,0,60,-10.4278,0.0010,0,60,-11.2853,0.0020,0,60,-0.5419,0.0086,0,60,-0.1230,0.0350,0,60,10.0037,1.3757,0,60,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20811 IAEA-C2.txt,IAEA-C2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 21:13:10,445,4,2.5041e-07,5.627281E-10,CF,22.949,1.000e-03,1,1.0000e-03,6272, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9457e-08,1.5000e-07,9.7904e-08,9.8317e-08,9.8223e-08,9.7970e-08,0.96,2023/11/03 21:12:25,0.26,4540,8448,1.0000e-03,46.028,20,8,20,20,0.000,2.2413e-15,3.6430e-15,6.1369e-16,7.8328e-14,4.4882e-13,1.8832e-11,25.00,26.00,63.45,-1.95e02,-1.67e02,63.45,0.21,63.35,63.85,2023/11/03 20:16:35,2023/11/03 20:55:32,79,5.37809e-08,0.000,0,63,5.43027e-08,2.18393e-09,0,60,1.18034e-02,5.49938e-08,0,60,4.1826e-03,6.9314e-08,0,60,4.8263e-05,9.6379e-10,0,60,4.4366e-06,2.5400e-10,0,60,6.7405e-08,1.4596e-10,0,60,1.1862e-02,5.5313e-08,0,63,4.1650e-03,7.3484e-08,0,63,4.8316e-05,9.6866e-10,0,63,4.3995e-06,2.2796e-10,0,63,6.6652e-08,1.2428e-10,0,63,-4.9718,0.0008,0,60,4.2280,0.0017,0,60,-1.0976,0.0108,0,60,8.4198,0.0376,0,60,11.2831,1.6679,0,60,-8.3276,0.0008,0,60,-1.6816,0.0017,0,60,-0.1141,0.0109,0,60,-0.0537,0.0374,0,60,8.2536,1.6632,0,60,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20812 IAEA-C1.txt,IAEA-C1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 22:34:55,499,5,2.5040e-07,5.018048E-10,CF,25.574,1.000e-03,1,1.0000e-03,6272, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8747e-08,1.5000e-07,1.1501e-07,1.1484e-07,1.1471e-07,1.1443e-07,0.96,2023/11/03 22:34:10,0.24,4054,8448,1.0000e-03,46.031,20,8,20,20,0.000,2.2652e-15,3.6530e-15,6.7985e-16,7.9901e-14,4.5249e-13,1.9071e-11,25.00,27.00,63.85,-1.95e02,-1.73e02,63.85,0.00,63.85,63.85,2023/11/03 21:37:37,2023/11/03 22:16:29,78,6.09024e-08,0.000,0,63,6.16787e-08,2.60230e-09,0,60,1.19220e-02,6.58623e-08,0,60,4.2108e-03,7.0456e-08,0,60,4.9063e-05,8.3355e-10,0,60,4.4945e-06,2.6981e-10,0,60,6.7192e-08,1.1555e-10,0,60,1.1863e-02,5.8850e-08,0,63,4.1648e-03,7.7798e-08,0,63,4.8309e-05,7.7926e-10,0,63,4.3978e-06,2.2785e-10,0,63,6.5416e-08,1.1588e-10,0,63,5.0126,0.0009,0,60,11.0352,0.0026,0,60,15.6150,0.0094,0,60,21.9729,0.0372,0,60,26.8681,1.2023,0,60,2.0633,0.0009,0,60,5.0709,0.0025,0,60,-0.4593,0.0092,0,60,-0.2145,0.0354,0,60,-0.3921,1.1722,0,60,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20813 MRT-3 C.txt,MRT-3 C,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/03 23:56:20,451,6,2.5038e-07,5.55159E-10,CF,20.996,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7810e-08,1.5000e-07,9.2460e-08,9.2817e-08,9.2726e-08,9.2542e-08,0.96,2023/11/03 23:55:34,0.20,4560,8444,1.0000e-03,46.028,20,8,20,20,0.000,2.2638e-15,3.6172e-15,6.1226e-16,7.7734e-14,4.4843e-13,1.8672e-11,24.00,26.00,63.85,-1.95e02,-1.65e02,63.85,0.00,63.85,63.85,2023/11/03 22:59:10,2023/11/03 23:38:14,78,5.13948e-08,0.000,0,63,5.18728e-08,2.04898e-09,0,60,1.19135e-02,5.87910e-08,0,60,4.2151e-03,6.6590e-08,0,60,4.9096e-05,9.1709e-10,0,60,4.5060e-06,2.6127e-10,0,60,6.7975e-08,1.1640e-10,0,60,1.1862e-02,5.5422e-08,0,63,4.1652e-03,7.3454e-08,0,63,4.8322e-05,9.8681e-10,0,63,4.4005e-06,2.3605e-10,0,63,6.5852e-08,1.1488e-10,0,63,4.2990,0.0009,0,60,11.9729,0.0026,0,60,16.0199,0.0097,0,60,23.9755,0.0440,0,60,32.5896,1.8172,0,60,1.2715,0.0009,0,60,6.0056,0.0026,0,60,-0.2412,0.0097,0,60,-0.1109,0.0435,0,60,4.1040,1.7683,0,60,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20814 MDS 220.5.txt,MDS 220.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/04 01:18:08,433,7,2.5038e-07,5.782539E-10,CF,19.989,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6903e-08,1.5000e-07,8.5037e-08,8.5213e-08,8.5155e-08,8.4953e-08,0.96,2023/11/04 01:17:22,0.24,4738,8450,1.0000e-03,46.028,20,8,20,20,0.000,2.1944e-15,3.5961e-15,6.1584e-16,7.6388e-14,4.4369e-13,1.8392e-11,24.00,26.00,63.85,-1.95e02,-1.63e02,63.85,0.00,63.85,63.85,2023/11/04 00:20:39,2023/11/04 00:59:37,78,4.80401e-08,0.000,0,63,4.85142e-08,1.86887e-09,0,60,1.18273e-02,4.64425e-08,0,60,4.1896e-03,7.4431e-08,0,60,4.8440e-05,1.0793e-09,0,60,4.4512e-06,2.3178e-10,0,60,6.8393e-08,1.6035e-10,0,60,1.1862e-02,4.7519e-08,0,63,4.1654e-03,7.7394e-08,0,63,4.8325e-05,1.2168e-09,0,63,4.4003e-06,2.5993e-10,0,63,6.7005e-08,1.2833e-10,0,63,-2.9578,0.0008,0,60,5.8128,0.0018,0,60,2.3784,0.0117,0,60,11.5788,0.0414,0,60,20.5015,1.8769,0,60,-6.2389,0.0008,0,60,-0.1089,0.0018,0,60,-0.2761,0.0113,0,60,-0.0796,0.0407,0,60,12.1145,1.8618,0,60,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20815 MRT-3A.txt,MRT-3A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/04 02:40:18,473,8,2.5037e-07,5.293146E-10,CF,25.360,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6261e-08,1.5000e-07,1.1346e-07,1.1263e-07,1.1251e-07,1.1225e-07,0.96,2023/11/04 02:39:33,0.23,3918,8449,1.0000e-03,46.031,20,8,20,20,0.000,2.2466e-15,3.6078e-15,6.4266e-16,7.8979e-14,4.5086e-13,1.8944e-11,25.00,27.00,63.85,-1.95e02,-1.69e02,63.85,0.00,63.85,63.85,2023/11/04 01:42:14,2023/11/04 02:21:27,78,5.99943e-08,0.000,0,63,6.06720e-08,2.54698e-09,0,60,1.19188e-02,9.26233e-08,0,60,4.2126e-03,7.8878e-08,0,60,4.9081e-05,9.6077e-10,0,60,4.4993e-06,2.7195e-10,0,60,6.7335e-08,1.1881e-10,0,60,1.1863e-02,8.4937e-08,0,63,4.1651e-03,8.5760e-08,0,63,4.8314e-05,1.1558e-09,0,63,4.3987e-06,2.5970e-10,0,63,6.5447e-08,1.1747e-10,0,63,4.7167,0.0038,0,60,11.4078,0.0065,0,60,15.8906,0.0140,0,60,22.8638,0.0403,0,60,28.5233,1.2919,0,60,1.7355,0.0039,0,60,5.4423,0.0065,0,60,-0.2472,0.0133,0,60,-0.0801,0.0404,0,60,0.8072,1.2623,0,60,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20816 ETH-02.txt,ETH-02,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/04 04:01:45,443,9,2.5036e-07,5.651476E-10,CF,20.080,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.5490e-08,1.5000e-07,8.5640e-08,8.5817e-08,8.5719e-08,8.5553e-08,0.96,2023/11/04 04:00:59,0.19,4572,8448,1.0000e-03,46.028,20,8,20,20,0.000,2.2332e-15,3.5623e-15,5.6577e-16,7.7042e-14,4.4553e-13,1.8506e-11,24.00,26.00,63.85,-1.95e02,-1.71e02,63.85,0.00,63.85,63.85,2023/11/04 03:04:02,2023/11/04 03:43:37,80,4.83275e-08,0.000,0,63,4.87544e-08,1.88219e-09,0,60,1.17763e-02,5.02082e-08,0,60,4.1427e-03,7.4628e-08,0,60,4.7681e-05,1.1708e-09,0,60,4.3523e-06,2.1881e-10,0,60,6.6007e-08,1.3213e-10,0,60,1.1862e-02,5.3041e-08,0,63,4.1652e-03,7.1552e-08,0,63,4.8324e-05,9.5659e-10,0,63,4.4000e-06,2.4312e-10,0,63,6.5946e-08,1.3039e-10,0,63,-7.2594,0.0009,0,60,-5.4162,0.0015,0,60,-13.3010,0.0106,0,60,-10.8331,0.0328,0,60,0.6970,2.1898,0,60,-10.4276,0.0009,0,60,-11.2741,0.0015,0,60,-0.5366,0.0104,0,60,-0.0304,0.0335,0,60,19.3120,2.2304,0,60,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20817 ETH-01.txt,ETH-01,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/04 05:22:16,472,10,2.5034e-07,5.303719E-10,CF,24.811,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4660e-08,1.5000e-07,1.0900e-07,1.0891e-07,1.0883e-07,1.0857e-07,0.96,2023/11/04 05:21:30,0.25,3877,8448,1.0000e-03,46.028,20,8,20,20,0.000,2.1944e-15,3.5790e-15,6.8039e-16,7.8353e-14,4.5002e-13,1.8784e-11,25.00,27.00,63.85,-1.95e02,-1.68e02,63.85,0.00,63.85,63.85,2023/11/04 04:25:52,2023/11/04 05:05:04,78,5.83989e-08,0.000,0,63,5.91568e-08,2.45224e-09,0,60,1.19174e-02,6.61173e-08,0,60,4.2113e-03,6.4660e-08,0,60,4.9051e-05,8.8748e-10,0,60,4.4977e-06,2.0351e-10,0,60,6.8138e-08,1.6337e-10,0,60,1.1863e-02,6.2089e-08,0,63,4.1651e-03,7.2601e-08,0,63,4.8319e-05,8.2781e-10,0,63,4.4008e-06,2.1099e-10,0,63,6.6263e-08,1.3892e-10,0,63,4.6019,0.0009,0,60,11.0900,0.0027,0,60,15.1502,0.0098,0,60,22.0125,0.0361,0,60,28.1936,1.4677,0,60,1.6244,0.0009,0,60,5.1263,0.0027,0,60,-0.5492,0.0101,0,60,-0.2842,0.0353,0,60,1.2264,1.4309,0,60,
C:\Nu Stable\Results\2023\20231030 clumped Oman 4 CH,20231030 clumped Oman 4 CH,Data_20818 MDS 220.5.txt,MDS 220.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/11/03 17:09:36,2023/11/04 06:49:31,463,11,2.5034e-07,5.406807E-10,CF,21.149,1.000e-03,1,1.0000e-03,6272, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.2540e-08,1.5000e-07,9.2210e-08,9.2377e-08,9.2330e-08,9.2101e-08,0.96,2023/11/04 06:48:45,0.25,4978,8446,1.0000e-03,46.028,20,8,20,20,0.000,2.2382e-15,3.5782e-15,6.1351e-16,7.7376e-14,4.4771e-13,1.8581e-11,24.00,26.00,63.85,-1.95e02,3.02e01,63.85,0.00,63.85,63.85,2023/11/04 05:46:46,2023/11/04 06:25:35,77,5.13389e-08,0.000,0,63,5.18441e-08,2.04731e-09,0,60,1.18276e-02,5.52904e-08,0,60,4.1895e-03,6.8916e-08,0,60,4.8438e-05,9.8903e-10,0,60,4.4513e-06,2.4427e-10,0,60,6.6857e-08,1.3221e-10,0,60,1.1863e-02,5.5391e-08,0,63,4.1653e-03,7.2941e-08,0,63,4.8323e-05,9.3912e-10,0,63,4.4002e-06,2.2477e-10,0,63,6.5732e-08,1.0715e-10,0,63,-2.9546,0.0011,0,60,5.8035,0.0024,0,60,2.3794,0.0110,0,60,11.6043,0.0364,0,60,16.7254,1.5332,0,60,-6.2353,0.0011,0,60,-0.1181,0.0024,0,60,-0.2693,0.0106,0,60,-0.0359,0.0356,0,60,8.3845,1.5220,0,60,
